nation,ethnicity,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
China,Black,18-25,C,-52.85192765643547,-159.54637975538938,-134.6688054680766,B,D,B,D,C,-113.30048099657826,0
US,Asian,51-65,A,59.09092016375338,-28.64035937770587,-174.42066046152615,D,A,B,E,D,97.91372175335249,0
Mexico,White,26-35,B,-141.8829579475267,-101.22476524567816,34.501918039685165,D,B,D,A,E,-69.73777031575467,0
Brazil,Asian,26-35,E,-122.46228201304316,-51.06209566716505,-148.4483760546012,D,E,E,C,B,-149.57043165348702,0
US,White,51-65,B,52.8930240094046,75.68703713664705,-115.59532520829087,A,C,B,A,A,101.17759922679342,0
Mexico,Black,18-25,E,11.14812723354379,-132.17725323414027,14.84545030043128,E,A,B,A,C,17.21667245868541,1
Germany,White,36-50,B,-44.257460170492536,-36.88494806595139,-121.35865751389983,A,D,B,B,D,-65.15778684107623,1
UK,White,18-25,A,-54.50941626844783,-97.71310801849059,-20.078360650962708,B,B,D,B,B,171.58298642931095,1
UK,Other,26-35,E,132.42059946947307,118.683866736589,99.8119828820833,C,A,D,D,C,122.101102463537,1
Mexico,Hispanic,65+,D,42.93211025451132,-6.341051100942541,23.152681278906016,D,C,D,D,D,-179.01954448424127,1
China,Asian,51-65,E,96.02445472010211,-18.269306314902163,112.30387682875657,A,E,C,A,A,130.7989309821006,0
India,Black,18-25,B,85.48288572313015,-203.9000574423743,-28.312592374249267,E,B,D,E,A,173.70062856910323,1
Other,Black,36-50,E,313.68260676206916,82.0210761309696,-93.47916732900416,C,D,E,E,B,-210.85810549614794,1
Brazil,Asian,36-50,B,-58.9300598954807,78.25584919931968,-20.80082746343969,C,E,D,E,E,-129.5788413090877,1
UK,Hispanic,26-35,B,234.22245071859896,-140.46851506365937,13.00901288882576,E,B,A,A,D,66.55523934783551,0
US,African American,65+,A,37.126226164814355,-30.620426005793703,-18.43030350733306,C,A,C,A,D,75.54782245016789,0
Other,Hispanic,51-65,C,42.5203509108152,161.2911477728476,-35.80343952503146,B,D,B,D,A,34.190864550739626,1
Brazil,Hispanic,36-50,E,-5.660782614581325,-72.00263552404711,-83.93569103096371,C,D,B,B,E,139.99199495930716,1
US,African American,65+,B,64.2162593468869,-43.67609539383415,-119.97777883235104,D,B,E,A,D,-48.15958673751488,1
Mexico,African American,65+,B,-77.32016588794998,24.880348797495643,5.814900438978624,C,E,C,C,C,68.50331288778794,1
US,Other,18-25,B,61.50466150958128,-15.562518332774577,56.884868711298694,C,B,A,A,B,-3.0570917328224803,0
UK,Asian,18-25,C,238.91292518080877,89.1916084824966,20.62771532360992,E,E,C,B,B,-105.03839427591744,1
Brazil,Other,65+,C,84.98118039968399,183.05806545582615,-149.21277103369738,A,C,C,D,C,-49.746328731769246,0
China,Asian,36-50,A,-69.1183494839473,-40.40532139020133,-139.42429743307002,E,E,C,E,A,74.23609544312795,1
UK,African American,51-65,D,-59.693300625765744,-142.2858963731224,-118.92766366772103,E,A,A,C,C,101.09373492590646,1
Germany,Hispanic,36-50,A,21.494612700081237,-21.404466675022547,134.04635191857957,A,E,E,E,C,-7.771659197074849,1
India,White,18-25,A,-77.06050498217463,50.34611074728592,-67.4819609990714,A,D,B,D,C,-66.35858275842722,1
US,Asian,65+,B,-33.49737831954119,-217.29719606999817,-95.25829275597988,C,A,B,D,B,-72.9191289975072,1
India,African American,18-25,C,94.3708819478654,184.9535727507872,-122.33305470469868,E,C,B,B,B,25.712139381123865,1
Mexico,Black,36-50,B,-22.607396088409633,73.67676142339428,27.76222824727216,D,A,E,B,E,47.517527860289135,0
Mexico,Asian,36-50,C,-38.647071319279966,144.40099824924656,92.02716803700525,B,B,C,D,C,41.71345837859218,0
China,Other,36-50,B,99.77285746216992,-66.33594877876502,130.12219003919003,E,B,E,C,D,155.36127389827382,0
Mexico,African American,26-35,C,-17.014481003134005,83.95651346618754,-112.67539543696294,D,E,C,C,A,-233.40089401080783,0
UK,Other,18-25,D,-12.968285625837558,-173.2223208408673,57.83515200972269,C,A,B,E,C,-52.578625045362536,1
Other,White,36-50,D,-49.095212621175634,-151.37516360355318,-97.8246785434737,E,B,E,C,A,-54.261090568190006,0
Brazil,White,18-25,B,-65.79525051609777,46.22743825152938,-24.436784733829167,D,B,B,C,B,-124.57395126968646,1
Other,Other,51-65,A,10.130965313257338,151.8354352831075,-87.44342252451649,D,A,A,B,A,-62.878883323048015,1
Germany,White,51-65,B,-117.04385997564108,-67.16900986222963,-116.27591544470712,C,E,A,B,A,-81.49220204924774,0
India,Asian,51-65,C,15.148640726832085,-135.80843223544895,50.17386906352094,A,A,D,C,C,-135.17605738285923,0
US,Other,18-25,A,32.92777125922383,120.24382536270102,71.21568839613136,D,C,B,D,C,118.91265518185217,1
Brazil,Hispanic,65+,A,-68.63658009610675,-31.281001981453937,-21.65906998781831,A,B,E,D,A,-37.94314812175572,1
Other,White,65+,B,65.23908451989125,-406.90431344659163,-85.91257388585309,B,C,A,C,A,91.87082759226203,1
China,Other,36-50,C,-26.069513670048362,-1.1427340572484144,8.884577518964857,C,C,E,B,A,30.99665260222177,0
Brazil,Black,51-65,E,-101.20271098572569,-129.5468030479146,-22.0254403032426,A,A,E,D,C,8.323693285697981,1
Other,White,26-35,E,-28.048588400257607,-46.85394720220765,120.34775574655903,D,C,B,C,C,2.295471722698357,1
UK,White,18-25,A,198.8698761907402,84.08070823827863,82.1061323975902,A,B,B,D,C,-171.51888594659187,1
Other,White,65+,B,42.49992826843471,126.69198143869633,-128.50730496436344,D,C,E,E,D,-41.445276370111664,0
UK,African American,26-35,C,33.3630777537584,81.95832132341398,-114.43717007516612,A,B,E,B,D,37.5348709571954,0
UK,White,36-50,D,58.288669270427974,17.70363712257693,-128.24729333733032,B,A,A,A,C,-137.51736207890332,0
Brazil,Asian,51-65,D,-90.48043413633027,100.67866536030014,22.099123263204408,D,C,B,C,C,72.65361519137427,1
UK,Asian,65+,E,63.74544293000298,-217.20042834113724,-33.406529500375555,D,E,A,B,D,-268.529982012018,0
India,African American,26-35,C,201.21229128109306,-57.82620551356443,-112.73348336105873,B,A,C,A,E,65.30278546642705,0
Germany,Other,36-50,D,-7.154740669757039,-223.02611519186416,0.08363700833515225,B,E,D,A,D,50.72692685249864,0
Mexico,Black,51-65,C,149.4170491630201,20.06399635378362,69.33015490565326,D,E,B,A,E,-53.41285387409845,0
US,Hispanic,18-25,D,-66.56196822483193,-58.98541969115737,80.89181972166172,A,C,A,D,E,-98.16751772638561,1
Other,Black,18-25,B,210.67551056978,36.954681158179085,13.474212553631105,E,C,B,A,B,243.49417171483822,1
UK,White,26-35,B,16.832484987250897,-37.91165092421842,24.94034462987903,E,B,D,D,B,-6.742699292214326,1
UK,Hispanic,26-35,D,130.3598182778415,-10.987090220250128,216.8708131741361,B,C,E,C,E,-77.40221189244279,0
Other,Asian,36-50,C,-95.51183902550986,-38.97481669146284,-161.17308026633276,D,B,E,C,D,212.97910190182202,1
China,White,65+,A,-97.48657287054493,8.552369814270104,77.68273519171312,A,E,C,B,B,105.62594589861246,1
UK,African American,26-35,C,145.62062399153405,-37.74995288145945,-33.58656657112981,B,A,B,B,B,74.47035596136273,0
Other,Other,26-35,C,69.36949943694347,18.13367692658258,46.60671099376363,B,B,E,E,C,119.06870179644147,0
Other,Black,51-65,C,73.88828536975657,-134.05645025643432,-120.75394860314121,B,C,C,D,A,25.691993726043698,0
India,White,18-25,D,28.714291465058444,-53.75144750142902,-109.68249984932095,C,B,D,E,B,-37.36775643341213,1
Mexico,Hispanic,65+,E,99.44357425904381,67.34968530873448,-60.46559102479636,E,A,E,B,A,1.7361033742612786,1
Germany,Asian,51-65,E,-214.9516691087475,26.43808154287412,151.5694603118336,E,A,E,A,D,-103.83550296971096,1
Brazil,Hispanic,51-65,D,127.58584194688369,-47.680905936120624,-27.036419729447147,B,B,E,B,B,84.66040760388621,0
Other,Asian,36-50,E,5.464069461430139,133.07151417339992,-101.41417261976153,D,C,A,B,A,10.370682855189992,1
China,Black,65+,D,25.988452933546064,106.38263902834339,-54.692342413232765,E,A,C,E,B,-82.270138845316,1
China,African American,51-65,D,-62.01096160465794,195.24609858274823,26.00018133000006,E,A,D,A,C,56.70096968239763,0
US,Black,51-65,D,165.14331928505405,-12.212172179756175,97.11209286919936,C,B,C,C,D,50.25604013109104,0
Brazil,African American,26-35,D,47.40746064974987,21.258098397696575,-132.8499462014237,A,A,D,C,C,30.729249489265616,0
US,Hispanic,26-35,D,-53.52853572058559,-57.257695670649,145.00038316207934,B,D,B,C,C,49.32076646575938,0
UK,White,18-25,E,52.15915544808265,-131.06473426053958,95.71986212743482,C,B,D,D,E,17.59686134171244,1
UK,Black,65+,E,-169.33200452916563,40.66047006091865,-34.99592332308216,B,A,B,B,E,57.68687014858212,0
India,Asian,26-35,C,-5.5759692208822,-99.62662099881959,-99.37759352060705,D,A,B,B,E,-291.9827072626777,0
UK,White,36-50,D,-129.83795595934419,-1.124317102589694,146.8714313384519,D,B,C,B,C,-56.83662001486017,1
US,African American,51-65,E,21.78205253097228,-70.96195192693654,68.26085889075625,A,A,A,A,A,-40.540165308572696,0
Germany,Asian,18-25,B,-1.5513906283914387,-247.81767640374807,83.39538917442081,A,B,D,A,C,-115.83440575480033,1
Brazil,Black,65+,A,-44.208203862256056,-12.11101893752784,5.163231582445505,E,A,C,B,D,-84.73255932912579,0
UK,Asian,26-35,B,191.37122774417932,133.86140696281876,-24.576283963845277,D,D,A,E,C,59.96465154953704,1
Brazil,Black,26-35,A,27.31923061738372,-153.36016404836258,-93.38992716890175,A,B,C,E,B,57.603210615728386,0
Brazil,Asian,36-50,D,-96.28646010554202,71.29450503118119,-10.586497197516918,A,E,A,B,E,-75.10272209947645,0
UK,White,65+,C,93.84212911025503,49.09055378771625,-163.35124601601967,B,E,D,C,E,42.49292964751675,1
India,Asian,36-50,A,67.36490781556174,-122.01043640234366,27.366359298428204,C,B,E,A,A,-22.255666270313203,1
US,African American,36-50,C,-29.311872399059872,-114.94747457025012,139.64597221419535,C,C,E,C,D,15.446212054483272,1
Brazil,Hispanic,51-65,C,112.31063963561387,-77.14107761677019,163.42116768303097,B,B,D,D,E,153.76267468481967,1
US,White,51-65,D,11.051824074244289,209.0473841044657,-31.133692577229645,C,B,E,D,C,-21.060373078116406,1
Other,White,65+,A,25.66862932852519,-91.8357306666482,159.8422054695856,B,B,E,E,D,-184.63972491700983,0
India,Asian,18-25,A,163.9639191831693,-3.8179595253246434,82.66202699277778,E,A,B,B,B,-129.94619973530536,0
UK,White,51-65,E,-218.70548742675658,-118.45700844188276,72.18188493606912,C,A,B,B,D,15.578126267484008,0
Other,Other,18-25,C,-192.2205855715158,-201.6200761882687,-27.963797881919856,B,C,E,B,E,126.40920297136815,1
UK,Other,18-25,E,111.56431909668846,120.62910288099853,-120.35038751942564,C,D,B,C,A,87.14377870204027,1
US,Asian,18-25,D,32.78098678578713,-81.96519644202618,-32.330810963695676,D,B,D,E,E,140.31181852964397,0
India,African American,51-65,C,68.06978410883903,-187.33260271867243,26.43064624778902,A,E,A,C,D,227.28312587707643,1
China,Black,26-35,D,62.9584700078402,-138.47951041204928,-40.1175586266627,D,C,D,C,E,30.905496807840464,0
Germany,Asian,65+,C,191.06003500623163,126.68965578414839,69.73391067677274,E,A,D,D,D,3.367185088670923,1
Germany,Hispanic,26-35,D,-34.11002142882653,-41.4851989875078,45.62474200014068,C,A,C,E,B,35.549061102466084,1
India,Hispanic,65+,A,24.616980687293534,-11.832602843100801,7.041627200154201,C,A,B,B,B,43.6840178614945,1
China,Hispanic,36-50,D,-108.25567396459459,49.51925963051058,-13.235572547583224,C,C,D,B,E,38.299314111974994,1
US,Hispanic,26-35,C,-140.00236706647482,120.61290002979568,-46.72631518468185,C,B,D,E,C,-127.181410403755,1
China,White,26-35,A,50.03157828010013,-166.27527643591276,108.38788486511541,C,B,C,E,E,-76.66619015076445,1
Germany,Black,36-50,B,-172.22161381178952,175.2625244780455,-76.16378380963098,C,A,B,A,B,-28.174515846123015,0
Brazil,Black,18-25,A,-45.20308589683763,72.60243011276427,-169.60382054385812,E,E,B,C,A,-58.465104262872295,1
China,Black,36-50,E,-62.55444024059222,9.622703579934031,-137.85727497239594,C,B,B,C,D,58.37827275370784,1
India,African American,51-65,B,-50.4484167993614,-49.85751008002974,83.07843946965782,A,A,D,D,A,41.099319583396024,0
India,Hispanic,65+,C,-49.805350814970566,114.10134904656634,69.73495127191256,B,D,E,D,D,-32.04782210527793,0
Brazil,White,65+,C,63.049412042626955,-11.894139692726434,-29.25398089625547,D,C,B,B,B,36.512453874587464,0
China,White,65+,D,59.59129293176346,108.19507638339705,-5.477339137512163,B,C,B,A,A,89.69595715315141,0
India,White,51-65,E,19.994818155641823,29.39646001222077,169.7327891711494,C,A,B,B,C,-51.13869241301007,1
Brazil,Black,51-65,A,-124.45649916760098,56.73398374830454,-0.9513472926325993,A,A,D,E,B,-18.978996390789092,0
China,Other,26-35,B,-142.35669562883206,102.76625043641101,70.00622148882562,B,D,D,B,C,-117.4004746136034,1
China,Asian,51-65,B,-76.26295305714093,-166.43002988219214,70.23762268668702,E,E,D,E,B,-19.337574100467386,0
China,Black,36-50,D,165.93703879996363,95.12177336045717,123.59048718304722,D,A,C,A,A,65.58992608127613,0
UK,Black,26-35,C,14.498225386291141,123.92855048596134,-14.74293034545985,B,A,E,B,E,60.73856299910643,1
Mexico,Other,26-35,D,-109.80497343624229,-65.04416404648038,125.44918449733657,C,A,D,C,C,-137.2902131245403,0
US,Asian,18-25,D,-26.847498344499016,128.63181299895297,24.029989218750817,D,E,E,E,A,-99.3434676932613,1
UK,Asian,51-65,E,20.014194469721478,34.94171575061703,47.572417813599905,C,C,D,A,D,-45.25479849999005,0
Mexico,Asian,36-50,C,18.977106995471022,-120.1424413439027,-201.0379547049074,E,D,C,C,C,89.81114454456218,0
US,Hispanic,18-25,B,-78.32165281900491,20.410092339939478,-99.69002270379144,D,E,A,B,D,19.566775027103997,0
Other,Hispanic,26-35,A,0.011722166556472043,-120.95011853707605,51.1886268185033,D,B,D,B,B,74.22291975067647,1
Mexico,Asian,36-50,E,0.40596304292844193,23.848618448341664,131.73911512323994,B,D,A,B,D,2.3901487111162742,1
India,Hispanic,18-25,A,110.72793917400159,33.603616296234854,-22.791909339554035,B,C,B,C,B,-107.424330135957,1
India,Black,51-65,E,-23.67025533681758,-74.40328414283367,50.01498073047286,A,E,E,C,B,77.05484037572015,0
Mexico,White,36-50,D,-70.15768576986852,-54.690382788347414,102.70803603501415,E,E,D,D,E,-7.532615638271031,1
Brazil,Hispanic,65+,D,-34.674979716103486,-6.614652904180303,-39.86217057217052,A,E,E,E,B,-110.44037090822518,1
Other,White,51-65,C,-191.99914450610703,23.962256231606162,-184.26785899023994,D,C,C,D,C,182.33125671012135,1
US,Hispanic,36-50,C,66.675251393867,161.91811384274433,1.0038750215406769,E,A,D,C,A,24.950343826848595,0
China,Black,26-35,D,154.96125584784815,-83.03095014729163,-233.62353056764675,E,D,E,A,A,25.217462585078966,1
US,Black,65+,A,-101.2138093166736,181.47065450989712,-3.2643039625208328,E,E,B,C,B,-7.6858885837400965,1
Other,Other,26-35,A,-104.22427823080179,38.30094317470017,30.687430801044236,A,E,A,D,D,-34.12278303514538,0
Other,African American,51-65,C,35.73703210603875,-113.33023423359838,-79.31494504715482,E,E,E,E,C,80.83977695056006,1
UK,African American,51-65,A,34.44628967594477,33.668276983258096,-37.00885911937839,D,A,D,D,E,69.5296901305726,0
UK,Other,51-65,A,-61.72000469896523,127.8186745109011,7.47603547398837,B,B,B,E,E,-86.23124197681102,0
Brazil,African American,51-65,D,54.039426537517684,-25.48655386372163,-22.510732863043927,C,E,C,B,E,-20.06609151801602,0
Brazil,African American,65+,D,13.601074059755286,72.62176595510034,88.1229478021162,C,A,A,A,B,72.07245166863947,1
Other,Black,36-50,D,-88.00180989319777,-188.7089120279941,42.83089200315069,A,E,C,A,B,83.503345085163,0
Brazil,Hispanic,51-65,C,-35.91355719646436,-62.07635816832647,-96.9101296838767,D,A,D,B,A,-22.873953383848296,1
Brazil,Asian,65+,A,13.712874577951634,-57.6854779962605,152.24293540194057,E,A,E,B,C,-12.197154201770335,1
India,African American,18-25,D,-212.06653869320053,-54.12552803365299,235.541241438219,E,D,C,E,C,-173.85511369652994,1
Mexico,White,36-50,A,-112.04248293262611,191.27994579617658,205.15013001024127,B,B,A,D,A,37.968688288794354,1
Germany,African American,36-50,A,-194.0145787960999,-138.84832780949955,121.82766684178006,C,D,A,B,D,41.75499756665118,0
Germany,Other,36-50,C,-7.929556450112959,188.46688953119514,-9.480935708884438,C,B,D,B,A,-109.24686653994308,0
Germany,Hispanic,26-35,C,-23.560262396128184,-124.66641944043934,12.88797315091702,E,A,B,C,E,203.77078041767808,1
Mexico,Asian,26-35,B,-34.237602893963164,2.08782841516827,13.829632651995183,C,E,C,A,D,200.25006938849893,0
UK,African American,18-25,D,-103.22686035788354,-122.09876724793929,84.72476348417743,A,D,D,C,D,-117.38984623267477,0
China,Other,51-65,B,-60.83024480312535,17.383384495848095,-110.31805388659252,B,C,B,B,E,127.10012273369526,1
Brazil,Hispanic,65+,A,28.342371142977914,-45.225336290897644,-198.62029598687926,D,B,B,C,E,144.69365614749867,0
Mexico,White,51-65,E,9.964713293812864,-67.13769807634557,-303.43931430152514,C,B,C,D,A,31.58778136670276,1
US,Hispanic,51-65,D,-31.054659414327666,25.57250942511499,87.61620666685815,A,E,B,E,D,63.430615800447,1
Brazil,African American,36-50,C,-173.2469840823114,-94.24154326519728,-243.79615040000147,C,C,B,E,B,-210.00235051309352,1
Mexico,Asian,26-35,C,-16.203607548915887,4.774822363905871,-106.17045998058072,E,D,C,C,E,27.212632487652723,0
Germany,Hispanic,65+,A,29.69604631822733,-45.177024995148976,-167.61733601817562,A,A,E,B,E,36.761772748616636,0
Germany,Hispanic,36-50,A,47.1921850003544,65.26869451617631,-54.97736072288589,B,C,B,E,D,193.99819683688858,0
India,Hispanic,18-25,D,81.19158890898655,100.80222756527147,-39.368116557116075,A,A,B,C,D,-47.56563718187542,1
China,African American,18-25,E,-86.41379998289483,72.55634965651896,-87.20744660707797,E,B,D,B,C,-37.550357578474255,1
US,Other,65+,E,-53.480299556501606,121.35516013400054,90.36062855745354,B,C,E,C,A,-54.58643939383092,1
Other,White,26-35,C,2.48897412620711,-31.451578201134783,-10.668247649132955,E,C,D,D,D,-86.98964060691064,1
UK,White,51-65,A,-269.04159357276103,-148.46399498541166,-36.82091697986791,A,E,E,B,A,130.33336060482426,1
UK,Asian,36-50,D,75.83877425536237,-0.12039270081102794,-138.0665036320017,A,E,E,A,D,-57.20889524258639,1
China,White,65+,E,43.5422338871296,-120.51501298972711,21.41036227057392,E,E,B,C,C,-93.58224404163843,1
US,Other,36-50,C,134.36672496809314,-30.446763267438154,132.3484753335133,A,A,D,D,D,-50.00708322034277,1
Brazil,Asian,26-35,D,-122.47962685182931,-71.3589532922446,-49.00653940630683,B,D,C,A,C,9.651362307660015,0
India,Hispanic,51-65,A,-51.761005055913586,-14.49021306828557,-82.82106447052088,A,D,E,A,E,-96.04745563605846,0
US,White,18-25,D,-83.88332813157304,-11.561984540293697,66.06087187434862,E,E,E,E,C,-73.46638071185923,1
Germany,Other,51-65,C,-34.224883952939045,24.061121793739794,-39.41474920429992,A,A,E,E,D,-147.4329820097868,0
Other,Black,18-25,C,-18.221793765927124,-84.06983112132451,29.254659481367796,C,C,A,D,C,-101.13499843461884,0
US,African American,51-65,D,29.671067183271088,140.15049448197962,-193.0579077780166,D,E,B,D,C,40.53756103863573,1
Germany,White,18-25,D,75.62639653896063,-223.5237639395354,56.01699784629596,B,A,E,C,D,97.78445306984062,0
India,Asian,51-65,C,-72.45238374439778,-33.451661231500964,-55.65789121871651,A,B,E,C,E,-45.997993624707284,0
UK,Asian,18-25,E,-20.332030243711323,-108.4632103419271,-12.229238406028244,E,E,A,D,A,171.87293457978674,0
Other,Asian,65+,E,75.04895748269935,93.20079389521871,-85.97207527368518,D,E,B,B,E,57.95949627281075,1
Other,Other,65+,D,-90.98610433420066,63.22256494997177,-24.501974419471168,B,C,E,D,B,145.62087105348778,0
Mexico,Other,51-65,B,62.40142030922426,91.70479960166607,-264.38287442752124,A,C,E,B,C,89.83040003360418,1
UK,African American,65+,D,24.69966547852518,-17.886597257159348,-121.94449287161879,C,E,E,B,C,-77.21749605248242,1
UK,White,51-65,A,-23.260403411426648,125.18651516510356,149.49983630407814,E,C,E,E,C,-45.9630539671453,1
Mexico,Asian,26-35,B,-67.25764526255698,-90.87573976314916,-183.08640028730704,D,C,B,D,C,-107.73443965255889,1
US,Asian,51-65,B,-41.994691986795125,-53.87819341943497,-102.22764443888596,D,B,D,D,B,-8.613300265903751,0
UK,Asian,26-35,E,220.8075065064345,-119.82737824122383,32.35388439038852,C,B,E,B,C,64.35216702462601,0
Brazil,Hispanic,26-35,B,-12.091764146763627,-45.60973821100666,20.14363833686817,C,A,A,A,E,-123.06088236018546,0
US,White,18-25,E,77.6578627232471,-146.8894781465279,-23.149416456412496,A,E,D,B,E,-149.05888779279843,1
UK,White,26-35,A,-121.8288018229297,-142.72140833704407,77.2988552759093,C,B,A,B,B,-95.43896704619212,0
Brazil,White,65+,E,-56.25474350358998,61.51075786591337,-0.013582313794884126,D,C,B,C,E,-1.1974660803863324,0
Mexico,African American,18-25,B,125.02435860808512,-47.69749876628954,-113.68297985185222,A,D,C,A,C,-205.42530483867392,0
China,Hispanic,51-65,E,41.50778726516832,144.1011598604496,96.84611941177856,D,C,B,C,B,66.9532408267959,0
Brazil,Hispanic,36-50,E,99.03629693542987,-153.49784793700826,-11.600253399956802,B,C,E,A,A,52.831495568776766,0
Other,African American,65+,C,39.38870290852576,30.25390750764271,59.61078128656224,A,D,A,E,D,-60.54774858332272,0
Brazil,White,18-25,A,-81.53479667601117,-69.93941490714136,-6.556501646260633,C,B,E,E,C,-144.62741239799465,1
India,Black,36-50,B,59.45243732376548,218.71674125478174,-22.30180058492192,D,E,E,A,B,22.983029337071358,1
Mexico,Asian,51-65,A,103.24901838456772,34.68515942632393,10.00447250756559,B,D,B,A,A,-19.866817161746503,1
Brazil,Black,36-50,D,-68.95470960408868,2.8657853793772374,49.02592203684785,A,E,E,D,A,-2.805253121475787,1
Other,Hispanic,36-50,A,-42.46161652704094,-67.85620747340275,-25.44103954876089,E,D,E,C,E,0.5613861534782848,1
Mexico,Black,18-25,A,103.45379884635256,8.099010082588377,-57.52483799807593,B,E,A,E,D,76.46700617419006,1
Germany,African American,36-50,E,61.69718561784106,-68.49926927809116,13.819203044302217,A,E,B,D,A,-167.0701926437766,1
Brazil,White,65+,D,-114.45329258131814,15.106079885044219,-49.460692688343734,C,A,B,C,D,-78.91221440966181,1
