birth_year,civil_status,sexuality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
97,Single,Homosexual,Female,B,162.65715101470363,115.9811999642814,D,B,E,D,-88.49736592101624,187.37890060488496,-66.79780022138581,B,1
42,Single,Other,Other,C,-232.78643168615818,142.43387356984888,E,B,A,E,45.71645421396662,-50.96273262372,-107.6579640732047,D,1
74,Single,Other,F,A,-165.78704686724987,-82.10270671321527,E,E,B,D,-16.60425680696889,34.33917927943407,85.39101336239794,B,1
37,Divorced,Homosexual,Male,B,-23.139797481580537,-4.754549313255459,C,B,E,E,-81.07488623246577,-90.94783693477453,81.6846927840949,B,1
71,Married,Bisexual,Male,D,68.87599254452725,-7.121620334181489,D,D,C,E,6.06498716447558,87.68395090229805,88.60441719593594,E,0
24,Widowed,Homosexual,Non-binary,A,-36.42939172205985,169.59133826206786,D,C,C,E,53.41755345204589,-76.84449051198963,8.481053183155254,A,1
53,Widowed,Other,F,B,103.43923811051489,273.58144527990066,A,B,A,D,-60.78004890477271,-72.77298787739049,49.988453514181415,A,1
63,Married,Homosexual,Male,C,135.54573599985562,-92.77811192830492,D,E,C,E,-66.91921726199304,197.13820767675588,46.15966292123476,C,1
46,Married,Other,M,B,-183.01225449762637,156.2804115094098,E,B,E,E,15.623942527828518,42.88245151855337,26.75362108109639,B,0
30,Married,Other,F,B,-86.19330339408116,63.1942385982393,C,D,D,E,187.71214575634028,80.03891235024051,-89.85102367771806,B,1
23,Divorced,Other,F,D,-25.95590437795774,-26.344019753128016,A,B,A,B,44.43067828839734,-203.46647598809176,141.51947078754782,A,1
83,Divorced,Heterosexual,Male,A,36.36886299160928,121.73360108570976,E,A,C,A,11.096894189533451,23.645481989054794,-6.517205209368708,B,1
96,Married,Heterosexual,Female,D,66.32397269372099,35.2397411251461,A,D,A,C,30.474429148458604,103.62500580733939,55.96561461660594,A,1
77,Widowed,Heterosexual,Other,C,-18.696269323586616,106.82689910350076,B,E,A,D,299.8658283502807,-0.48881208254430675,46.96673640702365,D,1
84,Widowed,Heterosexual,Male,B,21.66306401319147,15.58824663101657,C,C,E,C,60.94428697321749,246.1208266889368,-21.856381776942488,D,0
86,Single,Bisexual,Male,B,53.817197238023994,-155.8256272461648,A,D,C,E,-119.27669333303552,120.11809624043823,-69.99303277396662,C,0
63,Divorced,Other,M,B,51.103315210661904,-89.44911205395594,A,B,E,E,-90.79672428623432,-17.80619570575453,-194.60082333072563,A,0
96,Single,Heterosexual,M,A,-34.73455179025732,-101.62007185827974,B,B,E,E,-13.491035926098661,11.112821198594922,177.2969423245919,C,0
55,Single,Homosexual,F,C,-82.53274540952499,-49.24288914593187,D,C,E,E,-178.94647418443458,67.70993399867875,102.09727770049044,B,0
25,Widowed,Bisexual,F,B,174.72853676523314,-107.79463903883648,E,E,E,B,112.1983326367298,-106.47994636956552,-103.03079999466979,E,0
54,Married,Homosexual,Male,E,-155.56276287388746,-104.31351164442866,D,E,D,A,50.535326505307474,-110.62468870629314,34.35926345630831,E,0
35,Divorced,Other,Male,B,-113.47897730121603,70.82395583146676,C,B,B,A,194.67347036075373,-57.19910868330677,-70.19575219312757,A,0
83,Divorced,Heterosexual,Female,D,-7.145744349352393,-194.06014664273974,C,C,E,D,-126.45093575273808,113.17148112242279,28.850263879071512,D,0
97,Widowed,Homosexual,Non-binary,E,-119.03008302885377,-70.50016941180142,E,D,D,C,-69.60528360218797,-109.92415209287397,-39.06961671954981,C,0
43,Married,Other,Other,A,-48.02954062280449,36.06010671097257,A,B,D,D,86.97835889605675,323.2133935071306,-142.4754483787564,B,0
96,Single,Bisexual,Male,A,225.62411431300964,15.543311224227146,A,E,E,D,151.83361255875207,-101.37828554773974,250.5600847072903,D,1
77,Divorced,Homosexual,M,D,-181.1905559633208,-75.83558931603284,E,D,B,D,64.58955405737692,33.0520905022646,-2.851212868561164,C,0
27,Widowed,Heterosexual,M,E,-76.42628561509018,-134.68546479350562,B,A,A,E,-35.03960835486432,55.13663609249305,-37.495436974374236,A,1
67,Married,Heterosexual,Non-binary,C,25.190816302577495,-42.75323854403265,C,A,E,D,-36.392566338175406,19.05527844733097,-178.4698850450814,A,0
50,Married,Homosexual,M,D,-53.459291094163575,151.75359391734048,D,B,A,A,-57.035830438641774,8.804785599384124,75.53025539396594,C,1
66,Single,Bisexual,Male,A,150.9630390060198,82.7678812185122,D,A,B,A,71.25327301712963,-34.67997412669414,171.58914807634252,D,1
39,Single,Homosexual,Non-binary,E,142.46226094966434,59.12655669824481,A,B,A,C,95.57571289915595,-99.3058418200272,117.340656838368,C,0
95,Divorced,Other,Male,C,-60.94463560487037,151.8953850240501,B,E,A,C,78.91957791925104,196.33867308496855,-10.963394841669931,C,0
62,Divorced,Other,F,B,207.9450626291299,-117.62927882562397,B,B,C,B,71.4885575614279,4.400545721471666,-183.16153953358761,C,0
62,Widowed,Bisexual,Female,D,-184.88357753041942,34.74596034460281,C,B,D,A,-75.08937293623059,35.18727479219431,-258.69842384963226,E,1
71,Divorced,Bisexual,Other,B,-68.91845332820806,91.60624009233301,B,C,D,E,105.9880511122854,82.93454498638746,-4.61653012589352,D,0
75,Divorced,Homosexual,Female,E,36.85250843903334,-63.3171916042138,C,C,C,E,-113.69782678650408,-89.24264890539155,91.38584752911459,B,0
83,Divorced,Homosexual,F,A,97.9525962503612,-58.21433658808078,C,B,E,A,150.64995763295775,-175.94696819413707,147.22213915391956,B,1
44,Single,Heterosexual,Other,A,-44.43492164750167,-106.84299664793777,C,D,D,B,-73.05902472247826,59.17482876873814,-168.9810203224222,E,0
54,Married,Heterosexual,Male,E,-150.437284987574,-147.79929350474356,C,C,E,E,12.222259167670204,-49.86776597503121,139.99056992860602,A,0
96,Married,Homosexual,Non-binary,B,34.89931571641076,41.52123223963255,A,C,E,D,111.36242437717061,-71.26116943627422,99.06226382133796,D,1
91,Widowed,Other,Other,C,82.06577140387785,-56.066916186762775,A,C,A,E,85.14445358055333,12.237005903290322,5.0611378177656245,A,0
98,Single,Heterosexual,Other,D,49.262352539015794,-69.36264512725467,B,A,D,D,-94.77570236519593,55.481461263223316,3.992479238270118,C,0
40,Divorced,Other,Other,D,-146.02313984993026,-50.020221726606984,E,B,E,D,-34.11824366555026,58.96750090978769,121.67254441301876,B,0
38,Widowed,Bisexual,Female,B,-18.84268729589321,1.1009293722584137,E,C,C,C,23.103405073921447,-189.89384815720476,-2.5865294289557963,B,1
47,Married,Heterosexual,Non-binary,D,-79.12599435061524,-46.55456605194667,B,A,E,B,26.51533590751734,147.31024855152006,134.870312340401,B,0
55,Single,Heterosexual,M,E,-211.43230848271463,-109.61714261593605,C,B,B,A,-84.96606486936736,62.6510004941267,73.41137783815009,E,1
49,Widowed,Other,M,B,82.07982512367796,90.34888009854335,C,E,A,A,37.550168802848006,-89.45492443077241,57.26703550461434,A,0
42,Single,Homosexual,M,C,6.364968135001224,66.410270895751,D,D,B,D,18.173801356905674,212.7011201833425,53.17871260945035,E,0
73,Widowed,Heterosexual,Female,A,-10.11478054944807,-16.758896997204573,D,C,D,A,-160.4771544890901,126.60657463528737,55.52354746588845,D,0
85,Widowed,Bisexual,Non-binary,E,-57.66608238282564,-48.090224147790686,E,E,C,C,-112.24161489144716,117.48964725417332,68.07655692884221,A,1
35,Widowed,Homosexual,Other,D,-149.4477357079077,-38.06002942137858,E,D,E,B,-29.927423975520444,-120.49757934397556,-145.49854494903144,B,1
92,Widowed,Homosexual,Female,C,60.54954346481548,156.45802117589474,D,D,A,D,-23.009668915633803,-129.10770160742325,64.98089815233227,B,1
48,Single,Other,Other,C,-15.822806098450915,183.45829600259685,D,D,A,D,233.96157087025244,42.50243349049377,-158.0550105736247,B,0
39,Married,Other,Male,C,31.380300837726093,-74.12027346964656,A,E,A,E,-119.8071554307003,-78.82504756501314,-118.85870937236287,A,0
48,Widowed,Heterosexual,Other,D,219.05413081542062,37.044113769201275,B,D,B,E,-170.64346140929513,43.422508218428746,43.12957555552355,D,1
97,Widowed,Homosexual,Male,A,94.52819080606051,23.602338695206402,C,D,E,C,-19.92779444280495,-21.726416639534836,-19.67737525605185,D,0
26,Divorced,Heterosexual,Male,E,31.4042436985708,125.54513587959781,C,E,D,C,30.63364278843766,67.268959241086,30.321169001677877,B,0
68,Married,Other,Female,D,-51.842630470034564,29.971306242828256,D,B,D,E,16.634320721272232,130.38416136982124,-130.4545097822411,E,1
43,Single,Homosexual,Female,B,62.86071621506842,75.40103341059837,A,C,A,C,-17.60739101819952,99.32817853421982,-50.62269750323538,D,1
79,Married,Bisexual,Other,D,17.44684525209637,-146.22657971114103,D,B,D,A,162.8609897463972,-50.80079812841235,137.59598964958005,A,1
53,Single,Heterosexual,Male,D,-68.98781350662853,38.427104064360826,A,A,E,D,-0.848450806409133,-135.49210713677564,51.00646185982761,C,0
73,Divorced,Heterosexual,Other,C,-8.237499906202267,72.1638017878731,B,C,B,C,22.373945119009676,-118.80422334484406,-49.6477427373742,A,0
25,Divorced,Bisexual,Other,E,-103.43992207019197,129.003131784373,B,C,C,D,-38.76597023220969,60.581335965071126,-25.213574852084452,A,1
34,Single,Other,Other,E,20.794800613211102,124.43240588693882,A,A,D,A,-46.44430331330297,106.17622428807907,-166.23565064844806,E,0
54,Divorced,Homosexual,Female,C,146.93591700606598,47.13692417540042,E,C,D,C,-5.310633399229741,51.5424296868694,-60.537937839445796,D,1
37,Divorced,Other,Non-binary,C,22.551080440130814,-152.97503913850693,D,C,D,B,-79.99621482000579,-110.04829177412168,33.246518626579885,D,0
78,Single,Homosexual,Male,C,143.91807535178904,-71.56890037884696,D,C,D,D,-74.98824305533981,63.20101337781311,34.62334515068962,E,0
32,Divorced,Heterosexual,Male,E,67.17148809432625,-71.7727600252383,D,A,B,C,103.6730092518282,-21.52679717979665,-144.6568992926557,C,1
83,Married,Other,M,B,-81.48324737159174,33.65895708928079,D,E,C,D,-24.284909732104694,71.4291595500752,-96.40906781453974,D,1
31,Married,Heterosexual,Non-binary,D,63.580591692573584,-117.53600042502839,B,A,D,C,39.64110828302627,89.05945219208297,-12.126033290746664,B,0
52,Widowed,Other,F,B,109.0351206113074,-16.851996175144606,A,B,E,C,6.443394802264052,6.298445389251166,97.2818261036906,A,0
39,Married,Heterosexual,F,D,69.11472090868264,-112.05134998648228,D,A,E,C,-12.271884582466882,162.58947843822648,131.3788671833481,D,1
80,Widowed,Heterosexual,Male,A,-99.09298219690567,101.78048056240993,D,E,A,D,-18.164699193485063,-120.0492432660246,-200.86028551892477,A,1
63,Divorced,Homosexual,F,D,227.29912685270693,70.00373361743665,E,B,D,B,103.3060009296415,-31.77343864549602,-101.24338016006985,A,0
47,Widowed,Bisexual,Female,C,-26.825457654027456,44.21041532684985,C,B,D,A,-57.46782123220462,1.604311276773232,-23.03784028540154,C,1
77,Married,Other,Other,A,38.10781693856575,70.7221227554761,E,E,B,C,82.22183007592812,-4.966932195249087,-32.5416818155877,E,1
75,Divorced,Homosexual,M,B,-132.11464805384043,42.845192552711026,B,C,A,D,157.51616773347547,-154.21898723458608,-16.944251466258567,B,1
96,Single,Other,Female,C,-2.0082170040656107,-105.85313218332047,D,C,D,B,-14.184422177094493,-19.609647205746626,97.12502070220587,C,1
60,Married,Other,F,A,49.88951542849643,-156.89023391489647,D,B,A,B,-71.85018048813383,134.08689037965982,104.87252135304281,E,1
82,Single,Heterosexual,Female,A,28.097380626860403,-95.39231914995705,C,E,E,C,108.05168670464728,97.08817496759464,-29.926648727128992,D,1
37,Widowed,Bisexual,Male,C,29.024829897442146,90.07564298265343,A,E,E,E,-14.091600477082341,-88.72860251823357,46.375910074991474,B,0
58,Divorced,Other,Male,A,-51.406784988479856,166.3458654652236,B,A,E,B,195.8483749846565,14.830324190867506,-5.273819818701993,A,0
67,Widowed,Bisexual,Male,E,67.06711651836127,87.78741609729586,D,B,E,D,43.09215242723072,78.7538853525033,-94.11053451966592,C,1
41,Married,Other,Female,B,-27.08189642582848,2.317905482893059,E,C,A,D,130.856844101521,-64.42823767484525,2.003369663906556,C,1
55,Married,Heterosexual,Other,C,-25.789177343606934,-0.7867692548310132,B,E,B,A,-103.08140467509989,58.99005018221002,64.98914749274519,E,0
77,Divorced,Heterosexual,F,E,111.05832878897604,-168.9638014700105,D,E,B,B,35.066525865129,-37.705148461713755,5.47377232246626,D,0
29,Married,Homosexual,F,C,-130.49871366245043,-75.891780327098,C,A,A,B,14.664594507532168,-88.11167948172084,106.92522025299549,E,1
81,Married,Bisexual,Non-binary,E,24.03739714235162,-37.64838008305931,E,A,C,E,173.94410614828845,23.50140760454151,-92.0635770236141,A,1
89,Single,Other,Other,B,-85.81031568350589,-55.71228499657897,C,D,B,E,76.24005661479285,-15.815949923667672,-18.125450925335716,A,0
56,Widowed,Heterosexual,F,C,-44.711044229088166,37.27706249053463,B,D,B,E,-95.91753075325175,-124.33551795423135,-133.5100979894712,A,0
39,Widowed,Bisexual,M,D,100.25182148572176,-102.92118147874028,C,C,E,A,-16.738769066593516,41.97664573654859,6.054875566533504,B,0
39,Married,Other,M,D,63.83179825854018,74.74748099764021,E,B,C,B,-120.81095685373428,-141.6422528618688,-154.38781190033905,A,1
49,Widowed,Homosexual,Male,B,-133.9607836305466,-226.02695753588083,B,B,D,B,-93.91378766852537,-18.996643132204817,-123.31596874249567,D,1
45,Married,Homosexual,Other,C,58.4178743497072,92.87921387967276,D,A,E,A,-29.822097678893744,-30.838380838677775,26.548462511359936,A,0
90,Widowed,Other,Non-binary,E,-150.65968168845728,253.99520693975188,A,E,A,C,-118.79905331411294,62.49299647589769,70.95589101490275,A,0
55,Divorced,Bisexual,M,C,65.89847053677043,86.22891708305269,B,D,A,E,34.49556510248061,145.15643767122447,187.40529336055715,B,0
96,Divorced,Heterosexual,Male,E,-73.85256605928242,65.54695314905774,C,E,B,D,-42.17005937387196,136.25293536430914,112.29949347697179,D,1
96,Divorced,Other,Other,B,-99.82978395783655,-95.10008494602342,D,D,B,B,100.41104835264352,-48.517292171948064,19.906620651813157,D,0
37,Widowed,Bisexual,Male,E,-18.317554325288,-264.72733470540277,B,A,C,E,-53.554150141578546,-316.29652115553216,-50.8683438132509,E,0
30,Single,Other,Other,A,30.96869285181112,-22.76623173860959,A,C,E,C,22.466931427332618,-27.884884078740964,10.961436545159085,C,0
97,Married,Heterosexual,Female,D,28.298851479965435,30.021277436205256,E,C,B,C,26.45365736247875,-134.88397272600182,71.59079417980772,A,0
86,Married,Homosexual,F,D,-102.45342431102395,-70.86356374886442,B,E,C,B,-47.52792139124487,-39.45024015036592,90.6809050345311,C,0
30,Married,Bisexual,Other,E,33.44802356505394,21.36787026796049,E,C,E,D,68.86934812142374,-118.06854039974543,-87.83997143481311,E,1
21,Single,Bisexual,M,E,-49.91069469100277,-23.670381584743097,A,B,E,E,127.43589005788714,97.71430578034101,-13.133256042997246,E,0
23,Divorced,Heterosexual,Non-binary,B,-22.38025154016005,-108.76347867794094,C,C,A,C,34.32109290657614,29.13740958306,55.63660890046991,E,1
60,Married,Heterosexual,Male,C,-113.25406002897208,-255.51524742294046,E,A,B,A,99.27187680965544,-67.42106284316313,-101.2762210757942,A,0
42,Married,Other,M,C,13.876975922426075,150.08737966406883,E,C,A,A,104.28844318681227,-43.67340529595099,-40.07791468778408,D,0
46,Married,Bisexual,Male,E,-181.98987301341631,-192.51137252590368,B,C,B,D,-74.04677275287224,-138.0283974334053,-48.126889543747154,C,0
81,Single,Bisexual,Other,D,-24.63632750533868,-59.42863042471489,A,E,A,B,114.59184488180772,-37.2753160772823,-126.41501098885645,D,0
36,Divorced,Homosexual,Non-binary,E,-40.14702090495228,31.382912640197063,D,D,D,B,-20.748488895805647,122.11425392758221,-101.87858976400473,C,0
27,Single,Bisexual,M,E,-138.0307151524351,-12.631890687038846,B,E,D,D,-231.21240549518177,-126.79294883084297,-138.43235409359414,A,1
85,Widowed,Other,F,A,-133.49434974690965,-216.32092945841106,B,B,A,C,-68.88979608677555,-31.552404727956457,70.69120383069732,B,1
73,Single,Bisexual,F,E,-52.85293462818714,51.66801162111088,E,A,D,E,-166.23729009017563,-149.62666763619893,33.8307302493376,B,0
68,Widowed,Other,Male,D,-26.25371666616165,-86.43974468101524,D,B,A,B,55.81444544065061,121.84199165709077,-96.86476420062348,C,0
78,Single,Bisexual,M,E,95.83084544586778,-150.1930949161135,D,C,D,C,187.37579983415608,-71.31908678596803,-71.03147004203683,A,1
83,Divorced,Heterosexual,Other,B,-95.8241889302922,55.495928470818214,C,D,E,D,-134.2038737296594,-20.602582508289323,-22.133898261060082,E,0
25,Widowed,Homosexual,Male,C,-145.51913968772848,106.64928742325061,C,D,E,E,-34.660805770729134,123.7956451888877,-41.640598170895046,D,0
34,Single,Bisexual,F,C,95.92326748215531,-11.239349047629798,A,B,A,A,35.081412984405624,-34.414737617143764,-94.16848714938176,A,1
19,Married,Other,Other,B,-16.853744520391096,182.3768924374764,D,E,E,B,-128.17265815038533,-120.1078223137356,-31.764447410843204,E,0
72,Widowed,Bisexual,Male,A,-120.45893046828363,22.03869252074709,B,C,C,B,163.51872474809684,44.661256986010834,45.59794718651603,A,0
34,Widowed,Other,M,C,-207.88047445670853,-165.4071248982426,E,D,B,E,112.00637841839014,46.18419857247507,57.952210262219985,A,0
88,Married,Other,Male,E,20.71738127336296,96.7601635810543,A,C,C,B,-17.27275001705064,237.66733643699908,-72.0460005326715,B,0
33,Widowed,Heterosexual,Non-binary,D,23.581399089354022,-159.1341274668927,E,D,A,B,165.30685028308352,-7.432866352729828,207.16462283353854,E,0
63,Widowed,Bisexual,Non-binary,C,104.94044461780476,-3.833010916579851,A,E,B,C,-132.51812918320272,-10.842308611812179,-16.38394268390532,D,0
73,Divorced,Homosexual,Female,A,-117.653356870586,46.75774246093962,A,E,D,A,-197.29421755292012,54.150665914519216,-39.54387919334523,B,0
36,Divorced,Other,Non-binary,C,22.128626630282866,-94.57854568398642,A,A,A,E,18.48941881516605,-68.13974835928165,-38.69348470411677,E,0
53,Married,Heterosexual,Non-binary,C,102.67768618401882,170.23678813812245,D,A,E,E,55.976695168833736,-129.97425819757618,-36.20501138026804,A,0
32,Widowed,Homosexual,Non-binary,A,-53.480662943782576,-21.652004391957007,B,C,B,A,-1.9868632307723202,181.43976517267237,39.4394358095821,B,0
74,Married,Bisexual,Non-binary,D,-228.45149543354952,3.7175831386785365,C,D,B,A,29.31491390042984,81.79704262233868,51.108393134700435,B,1
44,Widowed,Homosexual,Other,E,30.897845492878172,-181.62951059965997,B,C,D,E,-41.381188864412174,145.30205278267226,-57.87258520126801,D,0
60,Married,Bisexual,Other,E,62.48129729402737,131.37460745087816,B,C,A,D,0.33545386668223975,-20.703178942587712,75.41215878689397,E,0
64,Single,Other,Male,A,70.50248168920184,-77.75073887513415,B,E,A,A,200.76017976369695,-22.738738097786747,-161.4465921556821,C,0
68,Divorced,Bisexual,Other,E,-148.58635959375803,-3.7781754309886653,D,B,D,D,-180.12998103823566,51.37558914851654,-95.35697914655934,C,1
86,Married,Other,Male,E,22.46903688872895,116.78028955691089,B,B,D,A,-179.58711273104484,-171.92691603471698,33.74334028915055,D,1
38,Married,Bisexual,M,D,-116.23595911029507,19.923879882136145,C,B,D,B,-47.66554761713874,-59.666396943005836,74.62331698516273,A,1
86,Divorced,Heterosexual,Female,A,6.565706590417883,76.37898963346318,E,C,A,E,181.22228136030287,210.36427570636596,136.90980697610485,B,1
66,Divorced,Other,F,B,-36.6789704571615,28.787765316522336,C,A,A,E,75.38844264353226,62.83093863749746,-41.78725011393936,D,0
44,Single,Other,Female,D,-136.71987251726813,-104.14794087588368,A,C,E,E,246.94153465900493,-8.090536370829575,95.5656773460392,E,0
44,Single,Bisexual,F,D,234.97242073066013,55.87981284826006,B,C,E,B,36.42557551179037,-54.61917239003484,70.33165324367448,C,0
42,Widowed,Other,Female,A,22.692125080761564,31.695547090932326,B,A,A,E,85.22859559433039,4.50805452209634,-51.39329833991992,B,1
82,Married,Heterosexual,Other,A,-11.144914011544682,83.3025282023134,A,A,E,A,-80.08129037161208,-64.86787147715887,100.27091850924461,D,0
46,Divorced,Bisexual,Male,D,-7.748291537721835,-95.01326604250802,E,B,E,D,96.49205258040088,-100.79763083167911,3.398327458586544,D,1
38,Married,Bisexual,F,E,26.012979754532754,-46.46269963773438,A,B,A,B,-62.59382782946982,-81.6876037028581,75.64436136130801,E,0
29,Married,Bisexual,F,E,-112.56237325069979,158.0615559424537,D,C,D,C,104.8597234025824,-49.05725485830774,-120.27854729221407,C,0
98,Widowed,Homosexual,M,D,-44.821562813933554,-32.607043616604905,E,E,B,E,-18.186221519602963,-25.537663950205996,109.33914678061392,B,1
37,Widowed,Bisexual,Other,A,13.97053924182002,-42.78013905166004,E,B,B,E,64.18174518583002,137.10248553530326,-171.50873166640244,B,0
33,Widowed,Heterosexual,Male,D,32.100449495306826,-108.61029259675779,A,C,A,C,-167.49734918766003,-21.152708293937454,22.480132649431926,C,1
44,Single,Other,F,A,74.06996796855032,48.27867448370154,E,B,B,D,97.05110001719714,-10.78984753421373,17.89267992474537,E,1
18,Divorced,Homosexual,Female,D,114.30692731018783,40.097429113611206,B,C,B,A,19.24343442155217,23.8969915173879,-71.59366220274495,E,1
70,Widowed,Homosexual,Other,A,74.77672192624088,-10.578418400018533,E,E,C,A,-14.10739483697044,-85.61832006856305,-71.4080662946625,A,1
30,Divorced,Other,Male,D,96.19872755974765,2.4254326826020693,A,E,A,A,-81.07022087255308,11.096100667512621,25.950503502791243,A,1
23,Single,Other,Other,D,-313.1721152859017,63.30598149064747,B,C,D,B,98.0621533336955,-37.51079909972474,143.18436103381552,D,0
46,Single,Other,Non-binary,D,-64.91803367711599,-83.25637266221719,A,B,E,E,45.40528167650007,17.572531013920774,163.12468653182353,A,0
65,Divorced,Other,Non-binary,A,177.48455554229503,93.82452788745658,A,C,A,A,-44.252614651222125,216.45593702563298,-236.712197648092,E,1
19,Married,Homosexual,Male,A,52.62162684591445,-42.97579456416932,D,A,B,A,-51.48496749960274,-125.81927004323714,-51.19767757073765,E,0
44,Married,Heterosexual,Female,D,-264.4459187539945,173.63038279655333,E,A,C,E,-118.7828105307238,90.8076682011216,0.720142426263344,A,0
74,Divorced,Other,F,C,-91.9296056133915,-97.18202489853326,C,A,E,E,-12.063032231844794,-56.060582279854806,-31.84425536523017,B,0
95,Divorced,Heterosexual,F,A,49.65916911654002,-49.632524791821346,B,C,C,E,4.911425634285352,123.68891958994566,101.15451925372435,D,0
28,Widowed,Homosexual,F,D,-53.77359967189585,-94.824429672678,A,B,E,A,82.41965040228692,97.45633886736721,13.927611688124736,C,0
68,Widowed,Bisexual,F,D,-142.23652120298252,-76.37731939863104,A,E,D,A,-146.79181234651452,118.8772448729434,-124.79236573572048,A,0
70,Widowed,Heterosexual,Female,A,274.7684168487151,-31.94821037210899,C,A,D,B,-125.9883472278452,-67.4118434271156,49.44347058117423,B,1
41,Divorced,Other,Female,A,-154.77882483967952,-40.438707613018146,B,E,B,B,36.5313141545198,68.52225511553272,-232.19663138572466,B,0
93,Widowed,Other,Female,D,54.19898929651832,46.89147685769087,E,B,D,B,79.66515566074102,20.107711377733192,9.707274405206304,E,1
71,Married,Other,F,B,-137.84792005680254,200.0628933793342,D,B,B,A,44.85859633496484,3.19934711928434,-124.14827746476738,B,0
29,Divorced,Homosexual,F,B,-62.70267681169024,115.45080631573626,E,B,B,D,150.30817380754942,23.91897730285337,58.964704709860484,C,0
20,Widowed,Bisexual,Male,D,30.08983235965401,44.40552525359808,A,B,A,C,-218.17749676429057,-51.47815123008933,32.307562561106145,B,1
54,Married,Heterosexual,F,E,7.29133698567591,21.245530116610816,D,D,C,E,-54.39093786599313,-43.949240123120944,-50.63818347569775,E,0
28,Married,Homosexual,Other,A,-70.60006220039988,100.7592072318324,D,C,A,E,196.36311736254837,42.535903571651225,67.16031599228906,B,0
27,Married,Other,Non-binary,C,263.9560899721855,67.48797061150489,A,E,B,B,37.31939600356174,37.1457282054997,-8.183449507163337,D,1
40,Married,Heterosexual,F,B,158.73882969278057,183.22823620155137,B,E,A,D,32.51823115235492,17.963304651415935,-62.529180248608995,B,1
47,Single,Other,Non-binary,A,-47.529369499693956,-75.23425229682559,C,B,A,B,-165.00112688183927,-4.271889287486513,-71.65414786078738,B,1
43,Widowed,Heterosexual,M,D,-41.803312325713385,-75.1261377656037,B,D,B,A,97.21757759506843,-66.58943237531939,-29.334895525932446,B,0
44,Single,Other,Non-binary,A,177.56870069472686,128.7674950759562,D,D,B,A,16.780429402987902,-202.6119293254003,66.74034313038966,C,1
32,Married,Heterosexual,Female,E,27.64444129698436,23.570708875074693,D,E,D,E,8.887843922964379,-21.212465263160546,93.84483005521595,E,0
