religion,gender,Veteran,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Other,Female,Non-Veteran,Asian,-181.74655798332816,236.08503796148614,-48.53740299777263,D,-11.248353115348543,A,E,164.78871469564993,-182.67506066156903,0
Buddhist,M,No,White,116.40867124639824,24.271374739110342,-43.830671545234594,E,7.508746910871214,A,C,163.9075870861799,-44.52099410573518,0
Buddhist,F,Yes,Hispanic,46.26880131467191,-39.332170226924354,-11.203171213202467,B,-98.80182098565982,C,B,-40.158508408728046,74.31458887794288,1
Buddhist,M,Veteran,White,-38.43586030149261,-161.69525821021858,3.21316703429433,E,-88.75977861392936,D,E,-157.35795526712323,200.43253547338747,1
Buddhist,Female,Non-Veteran,Asian,38.779399520357735,-76.39173392056892,-58.63876484116995,B,98.80221540939255,B,A,-140.39960747366374,161.71659353237325,1
None,Non-binary,Yes,White,66.11114787652723,-100.62561666466208,45.613266086083954,D,57.02891900777682,C,E,-50.430035218977274,-178.33378469168534,0
Christian,Other,Yes,Black,-3.2503701164204513,83.16710721559552,-16.61580216293326,D,-100.56682676736237,C,C,68.83360220434149,22.269156004871366,0
None,M,No,Other,22.18678951819867,0.7810107348498517,104.868190229987,B,39.25385964122557,E,E,113.95125864813042,-12.22545731709367,1
Other,Non-binary,Yes,African American,35.25525381153488,-68.67841472419737,-88.74409210674472,B,-11.676884231398537,B,D,-55.73544387206504,93.04875667152047,1
None,M,No,Other,158.23056207313763,-5.319588668467814,-160.56076122176347,D,-113.8418735400295,C,C,-66.28775774321505,-105.61508158866081,1
Jewish,Non-binary,Veteran,Asian,252.28700529643143,-139.55794599370478,-36.17928267722294,D,29.540408395801283,B,D,83.83249333163553,-109.89316020982271,1
None,Female,No,White,99.87312506650329,91.15147324286865,-116.6629224816695,B,80.35659250523224,B,A,-49.449107349145685,50.416912154651925,1
Jewish,Non-binary,Non-Veteran,Hispanic,-197.34117243372037,-35.39260707866449,-165.56575833288258,D,29.762124691209753,C,E,-173.52899421239206,-88.43590703977642,0
Other,Non-binary,Non-Veteran,African American,115.95388100904933,67.28056128275968,4.128107233969916,A,-127.33288838038862,C,B,-22.26917482259881,-135.44888948687336,1
Jewish,Other,No,Other,43.791341812960795,32.33404533105267,34.248551771427614,E,7.957585366313771,D,D,95.91911126004959,84.14952764257234,1
Buddhist,F,Veteran,Black,-111.94866400660304,-106.66782957516074,108.1483855606566,E,190.4628321761845,D,D,-37.5587205941293,-9.795048493738754,1
Jewish,Non-binary,Veteran,Other,145.51946072676841,-73.04064046996366,-10.874952936198484,A,112.19682237241545,A,A,-181.9557137214519,156.8451651885387,1
Muslim,Female,Veteran,Hispanic,9.304348284808299,-35.35889400443735,-26.745965047731417,D,-86.23691471470659,B,C,177.9341425574446,-83.57684439965894,1
Other,Male,Veteran,Black,-125.4083921754449,121.9387661112065,-58.587443757817745,A,-36.308719405549645,C,B,132.75679677483862,30.86331490593431,1
Jewish,Non-binary,Yes,African American,123.92188924854605,-143.27675939897964,135.7517746104274,B,148.45436216597813,C,D,54.63726451920232,-7.7262834348684635,0
Buddhist,Female,Non-Veteran,Other,11.472538932273151,-140.79321559028892,45.49872094643516,A,-66.17624402347096,B,D,153.54825978974588,-74.57858248686023,1
Buddhist,Female,Veteran,Other,62.35602237357669,-150.75556317518243,-20.96087055061719,C,-153.5081363857431,C,D,-14.565885026095012,13.432965350450838,1
Muslim,Female,No,Hispanic,-1.9904814270165856,-88.79863470998056,101.95545883445527,A,104.5825173814021,D,A,-63.237387663498524,3.3676222413659493,0
Other,F,Yes,African American,-87.50169049331127,-2.1397973400070254,150.79144663186818,C,154.84091170054035,E,D,100.55889118096826,131.70775356990322,0
Christian,Non-binary,Veteran,African American,35.26124621259791,1.010312007780172,-32.078788581081824,D,-89.48502166205326,B,B,15.380620857718991,-122.14793968182288,0
Buddhist,Female,Yes,White,-182.98292389514089,-104.07155958333554,-128.53858851621985,B,-25.464486871416252,E,C,-99.15098724677168,86.71318022972478,0
Muslim,Male,Non-Veteran,Other,35.834277907624056,-51.22696228365439,-72.78208067336368,B,-45.366799294781096,D,D,112.41404054911041,-80.1185165608192,1
Buddhist,Other,Yes,African American,64.51315163037594,-63.290629101271335,133.150004903791,B,77.54898303764,C,E,81.96497548403443,193.03487685728754,1
Muslim,M,No,African American,154.6655386709339,-119.13237580468557,135.0018749706813,A,-115.27799895282462,E,D,57.57810422651245,99.0710258551253,0
Buddhist,M,Non-Veteran,Black,-66.57552866673836,-39.35974424743936,30.764431927944475,A,96.83655652121737,C,A,-41.61103842247735,107.42522510009076,1
Hindu,Female,No,Hispanic,-56.44482204147568,119.5766879001789,18.0579510003274,B,-165.8308445129316,B,C,-36.79623761225771,-172.85260003977655,1
Muslim,Non-binary,Veteran,Asian,-27.253606040274736,-146.5481129089256,-21.173322653266364,E,-130.0851956966061,D,A,66.7499121373077,-107.63031013119979,1
Other,M,No,White,101.7501520648616,99.2150079105886,11.603988593107616,B,78.4817859538606,A,E,-16.017601781600128,-33.479436896591714,0
Hindu,Male,Yes,Other,-96.87061748336113,-87.13267872326381,-138.55441039651296,C,7.379747462764373,E,C,-58.293365370294495,184.22445587258497,1
None,Other,No,White,-135.87916004669793,72.83697261817701,50.85896897085408,B,-88.16632992987623,E,E,61.448120130635175,77.60350027847585,1
Buddhist,F,Veteran,Asian,-218.52194844475324,12.64090047716701,125.49654813104259,E,-54.02519406915022,E,E,-52.02549303486402,-21.607648971577635,0
Muslim,Female,No,Hispanic,148.07223701492373,-12.603447339442322,16.378459404564953,E,20.38412270928642,D,C,36.11452226998988,176.861832560925,1
Jewish,Female,Veteran,Asian,59.15572835967583,-9.786422925722437,-127.28827290282013,D,-3.2662481587073424,C,B,231.38174002294073,126.53569248781038,0
Christian,M,Non-Veteran,White,-42.705277345413826,90.27229678360924,61.990992066343445,B,154.28451266995572,A,D,122.27513212127919,-16.744233053309827,0
Muslim,Male,Non-Veteran,Black,13.750146702203939,156.28737732193622,37.67329809835561,D,17.172878860489732,C,A,-103.75073235153313,-172.10996810263183,0
Christian,Non-binary,Yes,Hispanic,244.62313490909264,32.49749550002565,-146.8320621986016,D,40.75515153603691,E,E,92.47433852908804,-115.37703984253929,0
Muslim,Male,Yes,Other,0.06020130230398685,-7.733844302601373,-75.79945212325363,C,76.11089914660522,E,B,70.90392865505713,38.09487961138231,1
Muslim,M,Yes,Asian,-56.46907438201963,74.67503701784854,-167.35619889776567,C,42.55020107726792,A,C,30.863154854068135,-33.631039890701174,0
Christian,Other,No,Other,-47.27865179352532,-35.7115573631957,-90.38259815089332,D,99.29584853799663,E,C,59.28388150323982,-0.5938856689388952,0
Christian,Female,Non-Veteran,Hispanic,150.6058847990095,-71.63095305205738,24.975348918764944,E,-22.737756856490858,E,B,-16.344326478438322,105.10715299448346,1
Muslim,F,Veteran,Other,158.09658316090582,22.395615560384737,96.79928878533723,E,-101.27018807206952,D,D,-22.730826661723714,-226.3442848729546,0
Jewish,Other,No,Other,-121.30871917040211,-92.18945808072381,-138.5851947406711,C,62.023983792605385,C,E,-27.180815475435725,94.53881862764878,1
Hindu,Female,Non-Veteran,Asian,38.061646809558525,1.7778530583387384,120.03663556569735,B,-76.72397776882367,C,D,-125.7558592136785,-129.26394385607225,1
Buddhist,Female,Non-Veteran,Asian,104.07646088513616,-41.61613988165123,-12.63982190276504,C,-17.80691500170232,E,C,-101.09751968504312,-13.135864280843384,1
Jewish,F,Non-Veteran,White,-59.76708184596787,192.4176735091895,64.21851445594045,C,85.25260154761146,E,C,104.2817289592477,15.399526860774703,1
Christian,Male,Yes,Other,-107.7334347047411,-12.270933995397687,139.1967318947944,C,-124.23793286018856,B,C,2.7033007821321364,7.971722266129763,0
Christian,Female,No,Asian,-7.4342595665232905,-46.97527211301817,-78.41274285231158,B,-32.54656589354228,E,C,171.91781127773876,61.906261471433666,1
Jewish,Female,Non-Veteran,Other,17.991620768327017,107.70311308297669,28.667624390373486,A,-84.25046357207131,B,C,125.80182637546235,-60.80025004591387,0
Other,Other,Veteran,Hispanic,-148.7585617171191,-56.86222507366817,-2.3289638382416418,B,3.389056774119191,E,A,-101.50649778720424,-88.62059414333082,1
Christian,Female,Veteran,White,17.03149057704306,33.06016468815196,68.34609916476374,A,-158.07265736272947,C,C,166.5449964176345,-138.90235774833778,0
Buddhist,Other,Non-Veteran,White,-13.645448278851111,-47.60111345012354,-52.12536364373213,B,-160.64393262614377,C,C,161.06173374545963,157.61763640929283,0
Muslim,Non-binary,Veteran,Hispanic,-194.932685364611,33.27784382530375,-120.53087578124888,C,70.21492470305148,E,D,39.86349684519318,-72.19650257770869,1
Other,Female,Veteran,White,-19.855791503006675,25.47271826277641,45.75552355885464,C,3.724431573916613,E,A,148.84953328913258,-8.042841914969516,1
None,Other,Non-Veteran,Asian,-37.98941066647853,30.18746444323046,129.69461323981696,B,-21.413874262548813,A,A,-2.2763955957992477,91.64982131766793,1
Buddhist,Non-binary,Non-Veteran,Hispanic,51.649619372333554,92.53695689602411,-191.35929777310977,B,-255.9415241774814,E,A,-191.14238471266583,47.31503859532438,0
Hindu,M,No,Other,-44.42317573526241,-5.909873458611363,65.25564887014065,D,-53.01021744425341,A,E,56.9771975871629,45.91173557812019,1
Buddhist,F,Yes,Other,27.195377757659745,-48.67673366108402,-185.36606818301797,E,74.8661919888754,C,E,83.46923763502299,139.99331488071752,0
Other,Non-binary,No,Black,59.9490033012277,23.91194140716562,-163.99414278266153,A,-4.0941934279388414,B,D,-91.75340884913933,62.757620347993345,1
Muslim,Female,Non-Veteran,Asian,-233.06823423214698,100.42601240459845,-83.85753992698385,C,41.90361451676938,E,B,131.01711111167978,133.84563816665406,0
None,F,No,Asian,-104.57395115878919,57.84374962285458,-130.4009181917778,A,77.32321071959483,B,C,54.757309968667286,-23.02735994875878,0
Other,M,Non-Veteran,Other,-76.23269345273636,59.99710877386095,-15.302365658355265,B,-43.86323770706268,E,D,87.0010748686253,92.22943735869214,1
Hindu,Male,Non-Veteran,White,121.26122126887384,-51.96894698533935,188.08768591134185,B,-98.99829825047142,D,D,53.765874346144734,-8.525055619531505,1
Other,Female,Yes,Black,-67.12047093899703,-146.5791704850648,49.01210926479288,E,2.1085822989279532,C,C,-102.32832026178022,38.80034139484682,0
Christian,Non-binary,Non-Veteran,White,-17.417502484516618,18.940077570924995,-83.91038030600973,A,-159.3748558960612,B,B,72.76357617948537,-37.799154344788874,1
Muslim,Other,No,Black,24.27108913763932,-35.54107691436084,103.14380736080089,B,-22.6458227589241,B,A,-161.64638466377681,56.39463513190381,0
Jewish,Non-binary,Yes,Hispanic,-203.232441049189,-66.54127493159154,66.78881852407666,E,-173.19991609985718,C,C,275.45111707550814,-6.828719572288334,1
Muslim,F,No,Other,-88.20065810049603,-147.16622202221697,13.630540684887615,B,-233.96376596497782,A,D,-39.608626754095845,53.60591595128672,1
Other,Male,Veteran,Hispanic,38.87784520770051,-84.29699988684854,116.71044899367011,A,86.08711331959829,C,B,51.72824541045756,114.41500555540868,0
Jewish,M,Yes,African American,-5.793466387015086,37.27238650012528,103.53905804271464,D,-206.6589488920713,B,D,1.2300952599995187,-19.346688259486314,0
Muslim,M,Yes,African American,-39.00236122079589,36.26568702568571,-81.72691251309028,E,127.62645669369739,A,E,-180.8263956130431,-34.72804697313114,0
Hindu,M,No,Black,-19.36212678787014,100.50586348151671,63.82708405261418,C,-35.320512441616266,A,B,-39.780467527664506,-60.241251679357646,0
Other,Female,Non-Veteran,Hispanic,14.220403956847862,-64.59243522041157,12.957353334550243,A,132.13244913752246,C,D,-39.73002864335959,-35.78833311940577,1
Jewish,Non-binary,Veteran,Other,-53.29840603115675,-105.33921080291569,19.895695447667205,D,-226.2546035906999,E,B,-49.417280647861446,-62.64552227673145,1
Christian,Other,Non-Veteran,Hispanic,103.85113519272025,48.705491706342514,166.4444355972596,D,-53.56350594926401,C,A,-25.290453671410145,-3.8334831097465614,1
Buddhist,Other,Veteran,Other,-34.95158180587164,-0.009950204217596752,127.15164541983646,B,-17.15414599148276,E,A,-23.0274960738886,-69.04634179765705,0
Muslim,Other,Non-Veteran,Asian,43.170125019892474,7.110642736409514,100.94272928811363,D,-28.728914436978748,D,E,185.38662558322994,-35.524722897098926,0
Muslim,Other,Veteran,Black,120.48139881924386,-201.369452014392,122.01943109730189,D,4.343103016809456,E,A,-70.02002511498317,65.66104960527844,1
Other,Male,Veteran,White,64.1398214809292,-56.2692769816626,91.4541853948172,C,32.12268574236713,E,D,-122.86374606462407,-144.51018091787395,1
None,M,Yes,White,-89.1451470812139,190.86237188463102,-70.44303295064897,A,36.673516705425854,E,D,132.56053590003208,186.75345304073625,0
Hindu,Male,Veteran,Asian,-14.177501116323052,-96.36495294986894,73.34731812323871,E,-138.82855935953916,B,E,-32.55020484583376,5.473371668135743,1
None,Other,Non-Veteran,White,-53.91466914909194,171.48683662837627,-83.9014996597246,A,103.31850473845094,B,E,-40.8046025851809,-19.22509046392868,1
Other,Female,No,Black,-134.79059963975112,-96.53681023821879,101.62635584207827,E,-313.3372575354568,C,E,-85.10255581250316,-9.097192291847284,0
Christian,Female,Yes,Other,-77.0948381431178,75.88489997322952,38.432663176603874,E,-139.90529950690475,A,B,-100.49763111153567,175.80282514766552,1
Hindu,Male,Non-Veteran,Other,-50.0580569178499,-74.99121529301227,-7.552184946041518,B,96.22970177354627,A,B,109.92823491484931,-74.95251637108,1
None,Female,Yes,Other,59.78867463420584,134.1248644631932,230.25886774886604,D,-161.1151497754819,B,B,5.807207218699223,-2.9326738175549467,1
Hindu,Non-binary,Yes,Other,-33.36462071136868,47.547731116770464,-39.74852337910041,A,59.614984466845044,A,A,-17.34728065871924,163.462759567868,1
Other,Male,No,Other,4.170491782685474,88.35030697205151,126.89992645400248,E,60.05786424671439,A,A,26.200974480069423,116.62311743959286,1
Muslim,Male,Veteran,African American,87.55690939812825,-84.20582956929525,205.28875288013185,E,78.18359441520221,D,E,26.283562220791662,-103.57703181954531,1
Christian,Other,No,Other,196.0660942266385,-278.30717103024057,-1.0751163788439517,C,107.99570000747407,B,D,-81.96626665218916,-13.801671370887625,1
Hindu,Female,Non-Veteran,African American,0.6672007121994104,162.7275939780527,-182.49436020751895,A,-0.4155207431882889,E,D,-29.921106528426122,-73.55922563718381,0
Jewish,Other,Veteran,Asian,-19.885550966002317,-199.16658412819504,-123.86323326522633,A,43.61671251644107,C,D,-139.82978859859787,-99.71452861841664,0
Hindu,Non-binary,Veteran,White,91.82821581859851,-20.626968566660544,-26.58267602225277,E,69.27393415901594,C,A,-113.28548936296944,-114.57493925447577,1
None,M,Veteran,White,-73.57812649103917,1.7772814645238995,5.505031445057691,B,123.79477978629308,A,D,-18.445935812540007,-2.5249763469001425,0
Muslim,M,Veteran,African American,38.392755193107085,26.71384473373348,-99.02901635990608,E,50.9536949335616,A,C,38.237205884439526,-100.30985774918165,0
Hindu,Other,Non-Veteran,Black,-88.3803479991653,42.862957645275884,-133.19336286111283,A,98.11966219115858,D,B,-15.278338762962864,-178.2513638976335,1
Muslim,Other,Yes,Black,-19.953900629409414,-163.78522047511254,-25.831340845640042,A,-57.13490209785419,D,A,219.34727470542322,-23.783656891540737,1
