age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
51-65,None,E,B,B,B,71.68904536784908,A,118.70857845883884,B,D,A,A,-8.676479146224212,0
18-25,Muslim,A,B,B,C,54.33070491874091,B,-26.38881098546704,C,A,A,B,49.55277405287345,1
26-35,Jewish,B,D,E,A,-18.019417989782543,A,88.9831396398331,B,E,B,C,136.58023378597866,0
36-50,Buddhist,A,E,E,C,109.50723640293296,A,-32.950733337319264,D,E,C,A,-201.07724778394424,1
26-35,Jewish,A,A,A,B,41.20098978238345,D,-47.97414357250474,C,B,C,B,31.90859554557557,1
36-50,None,B,C,D,A,25.54196699313307,E,-126.30352695261016,A,C,A,C,-40.248247563448594,0
26-35,Buddhist,E,E,A,B,-20.612534354727668,D,181.93371553366094,D,A,C,E,43.20179205186141,0
18-25,Christian,C,B,D,A,-66.39936668790219,B,-43.06193936254849,B,D,C,C,162.3090900185777,0
51-65,Jewish,D,B,D,A,-78.21055597221641,C,-90.8624048279183,B,E,D,C,137.30898030801828,0
26-35,Buddhist,A,B,A,D,-44.97735350871237,E,113.48713204819751,A,E,E,C,-85.37149768786202,0
36-50,Christian,A,D,E,B,-45.73634780410826,E,-26.35698040593486,A,B,D,B,72.65976696413732,1
36-50,Christian,E,D,E,C,21.180047385437994,E,-108.22031662417575,E,B,E,B,-143.76994598643586,1
51-65,None,E,A,C,C,143.87213215223363,D,-56.378808907113154,E,B,A,A,122.2592991390205,1
26-35,Muslim,A,B,E,B,-38.24107320356343,A,9.99518758578957,C,A,C,B,85.30773103937393,1
51-65,Buddhist,B,D,E,E,86.0779936794127,B,-68.05034546173368,A,A,C,B,73.22977276155643,0
36-50,Jewish,D,B,C,A,-81.14735910794116,A,28.58043897037567,C,C,A,A,-37.80650280163747,1
26-35,Hindu,D,C,B,A,151.08838702734425,B,96.44344000099375,E,B,B,B,-37.46723349951977,1
18-25,Christian,E,C,B,E,45.18286279551157,E,55.9302999203672,D,C,C,A,-138.23099959115945,0
51-65,None,D,D,A,E,-68.64636797225977,B,78.76374512063997,B,D,D,C,19.76313541412593,1
65+,Hindu,D,A,A,E,80.73345463999333,C,194.5910501831527,E,B,A,C,-118.1251178567833,0
51-65,Jewish,A,C,E,E,53.60092638186041,C,29.725488256909305,A,E,D,D,24.360988095843044,0
65+,Christian,D,C,B,C,60.85964538904928,A,62.99700466752769,E,B,D,D,106.10914754107705,0
36-50,Jewish,C,D,E,C,15.792055466177738,A,37.71886534867646,A,C,C,A,-69.72156901087976,1
18-25,Christian,E,B,E,B,61.35235891059355,B,-12.068822759316447,D,E,B,C,13.931542177126444,1
65+,Jewish,D,A,C,E,13.925499297760952,D,10.181669945016075,D,E,D,D,-35.446018963656755,0
65+,Jewish,B,C,C,B,88.57135262786827,D,-134.69306992679637,D,E,B,E,-83.06314540666843,0
36-50,Muslim,E,C,A,C,-125.46984646847208,C,79.85391375075146,C,E,A,C,-55.07141420735756,1
51-65,Muslim,B,E,E,C,16.432004555096672,A,147.5789413351288,E,D,D,C,-100.75062828620686,0
18-25,Hindu,A,E,E,E,24.799112337330907,D,-7.070878894941364,B,A,D,A,153.8581343865098,1
18-25,Other,E,D,A,A,-98.65359461714888,A,-156.33478121915684,A,A,D,B,74.48438525898507,1
51-65,Christian,B,D,C,C,5.852438849404952,A,78.54867157940835,E,A,C,D,82.84653021778729,0
26-35,Hindu,B,C,B,E,55.14370196665188,C,131.96557696329842,C,B,E,D,24.78670359712401,1
65+,Christian,E,A,E,C,-8.944879478630504,A,84.25972415828612,E,E,B,C,-0.28797188958626685,0
18-25,Christian,B,D,A,A,-162.8768232344743,B,19.48537109829738,B,C,E,A,-203.52056265100583,0
65+,None,B,A,A,C,108.97385213243157,B,22.624675579931893,C,B,A,C,-66.85877894356915,1
65+,None,A,C,B,C,79.20443094478038,C,-53.48920332984377,B,D,E,A,-16.89894221918896,1
36-50,Other,A,A,D,C,56.12321846870605,E,-120.15045569096603,D,B,B,C,-6.211835539917716,0
65+,Christian,C,E,D,C,25.571086614568024,C,-108.77068226440352,A,C,E,E,32.90707992123429,0
51-65,Buddhist,E,E,B,D,-121.7459469571146,C,-34.917074503554964,D,B,E,A,-80.61077317768765,1
26-35,Christian,E,A,B,B,-28.908457884634974,A,71.21850914678062,D,D,C,D,38.737301470231884,1
65+,None,A,A,D,B,-47.01169252144003,B,-20.93715623249851,A,A,E,A,14.17633369361784,0
51-65,Other,E,C,C,C,-8.362795494032245,C,51.60038106624509,A,B,B,A,-20.14111248147035,1
51-65,Buddhist,B,D,D,C,113.96163302955189,C,107.55255453474773,B,C,E,D,-213.38829490038447,1
36-50,Muslim,C,A,B,A,-88.11260548609378,A,-44.62394585820596,D,D,C,A,-37.588650900734905,0
26-35,Hindu,B,E,B,E,-5.150329360427165,B,-108.14437858898629,D,B,B,A,60.632688833466595,0
65+,None,B,B,E,D,14.615425523572279,A,-106.33780990801147,B,B,E,B,150.41338170372026,1
51-65,Other,E,C,D,C,-59.52511119719479,D,5.193363502503388,E,B,C,C,-57.1083428440952,1
51-65,None,E,E,E,C,-126.82213711670943,C,113.60567452019907,C,D,A,A,101.1409893047528,0
36-50,Christian,A,C,A,E,131.0063173644756,E,-44.7311287948726,E,B,D,C,63.530891509762846,0
26-35,None,D,E,C,E,-83.56228275575921,B,-146.78906430664543,A,D,C,B,16.693683162283847,0
26-35,None,C,E,D,D,135.23958711851665,C,-80.93691777852781,E,C,C,D,-86.69242168791413,0
18-25,Muslim,D,A,B,D,4.644765180099865,C,-126.5001739628076,A,B,B,E,84.6026448360748,0
18-25,Buddhist,D,D,D,B,15.958899203333363,A,-158.4877753051634,D,A,B,E,-97.50473560398001,1
26-35,Jewish,A,D,D,A,-51.195342780831034,C,19.51436077788428,E,C,D,D,-218.17551018587375,0
26-35,Jewish,C,D,B,A,47.90622045370398,E,-2.1277737284604763,A,B,A,B,12.284400053449938,0
51-65,Jewish,E,E,A,A,-21.333622832872738,C,128.7014148034894,E,C,A,E,98.39504154128619,0
51-65,Other,C,A,D,D,4.77370885810926,A,-113.64275145029028,A,C,A,E,55.38803325631213,0
51-65,Other,C,D,A,A,85.71893464750451,E,49.84247110958702,C,E,A,B,-37.36944280795494,1
26-35,Jewish,B,D,D,C,36.552286361701135,B,-86.99613484357893,C,C,D,E,-21.23776092286926,0
18-25,Jewish,D,A,B,A,119.45854899098319,C,25.061677963213704,D,E,D,B,30.693701832959903,0
18-25,Hindu,D,D,A,C,111.83572435817979,E,-103.39757103458574,C,D,C,A,-176.69352847563823,1
65+,Muslim,A,D,A,C,-27.487228612767662,E,101.62529223528954,B,A,A,D,72.89263030024551,0
18-25,None,E,E,B,E,-66.47349604230524,E,-108.1469201437938,C,C,A,E,53.189065225248996,0
26-35,Jewish,D,E,E,B,71.24319407810187,C,64.94155077480278,E,D,C,C,-83.77652084758284,0
18-25,Buddhist,C,D,B,A,137.4481556762785,B,146.87157295889963,A,D,E,E,-125.65688906195996,0
26-35,Other,E,D,D,D,-20.879067533691497,A,-152.27057157667448,A,D,E,D,-117.04729797623882,1
36-50,Other,B,B,A,C,-21.99528251135372,C,136.2085577109797,B,B,C,B,-91.783352756782,0
51-65,Christian,A,C,E,D,-85.46948260751836,B,46.23756093913551,A,A,D,B,13.984294823983735,1
26-35,Jewish,A,D,A,E,100.25703122074493,D,-149.33022004501407,D,D,E,A,144.6215502988222,1
36-50,None,B,E,B,C,133.2941731731793,E,-71.91239860924938,D,C,B,C,-142.43059488253172,0
36-50,Other,D,A,A,D,-188.77603882480213,B,69.42555554716681,E,B,D,E,100.80437422326136,0
26-35,Hindu,C,C,B,D,234.43109208055085,D,20.111059640402722,C,B,E,E,-122.80026957345322,0
51-65,Buddhist,C,E,D,C,-36.1883882253905,E,32.75327561286845,B,D,A,B,-85.00363380087383,1
36-50,Jewish,C,C,D,E,167.70355555582114,B,44.425315127641184,E,A,D,A,-82.7908778211048,0
51-65,Muslim,D,A,C,A,-93.88257818809404,D,-19.300745731094466,A,A,E,A,-27.882786937704168,1
18-25,None,C,B,D,A,-155.57875996945646,C,-39.38462224800269,D,E,A,D,-162.4132122248127,0
26-35,Muslim,E,B,B,E,69.10731932730084,E,-137.77405687249217,A,D,D,C,14.125913095103385,0
18-25,Jewish,A,A,E,C,-3.7640498760281846,B,-35.32885177917764,D,B,B,B,116.56491638460477,0
18-25,Christian,C,D,A,A,-3.7293503168938607,E,-26.540409307057416,E,D,C,D,-51.990945060763124,0
18-25,Jewish,C,A,D,B,-26.136457139180642,B,15.474831540869205,A,D,C,E,-10.300580835518689,0
51-65,Buddhist,B,C,C,B,-43.8183763825626,E,-22.86249839939968,E,C,E,C,-16.663299802964303,0
36-50,None,A,B,E,E,79.30904169215839,D,63.21850133813929,C,D,C,A,-9.420435229741502,0
51-65,Other,C,A,E,D,-39.42656075545088,C,130.83835695004402,E,B,B,A,-15.90574293151971,1
26-35,Jewish,D,D,C,B,145.03195351698344,A,38.01785277838721,A,C,D,A,-32.55098905894208,1
36-50,Christian,A,C,B,C,-4.826320078222806,E,30.581113349191362,B,C,B,C,-167.76414925627182,1
65+,Christian,A,A,D,D,82.86517350928231,D,-66.93802915047903,A,A,D,E,-46.009442714445555,0
36-50,Other,B,A,D,E,135.61985261160797,B,-151.07166230082106,C,D,C,B,-105.77930312639097,0
18-25,Christian,A,A,B,C,-35.583030002767565,B,-48.77302971501241,D,A,A,E,-31.059649633384932,0
51-65,Other,D,E,D,B,24.037086710162708,C,-32.32746261809509,E,E,C,B,27.05047747516559,1
65+,Jewish,B,E,C,D,87.71231455720134,D,110.1232765422447,B,B,B,E,184.21321130993792,1
36-50,Buddhist,E,E,C,B,123.8199770416334,E,62.97536558405364,E,D,C,B,-49.041879712502094,0
51-65,Hindu,D,E,B,A,100.68445319366937,C,127.48604288804665,B,E,E,A,-52.38403996538084,0
18-25,Hindu,E,A,D,D,-95.58453713018869,C,60.4068111982152,C,E,E,A,95.47087381247438,0
36-50,Other,C,B,E,D,26.143462959874537,D,105.94639077138623,D,B,C,A,1.926729230817776,0
26-35,Jewish,E,A,C,D,111.01059123608097,E,5.010718766214685,C,C,D,D,-23.236354727761395,0
65+,Other,D,D,E,C,37.118663487794535,C,86.84913064015265,A,B,B,D,87.19427039591451,0
51-65,Muslim,D,A,B,E,-15.685917259860158,E,11.703658449754291,E,E,C,B,-19.11333830866107,1
65+,Other,A,A,B,D,-66.27108637962267,A,-112.14375851147543,A,C,B,A,-8.579688348652201,0
18-25,Buddhist,C,D,B,D,132.20324893359313,C,158.6874918961199,B,C,A,E,0.13118228111397603,1
26-35,Other,E,E,E,D,-35.561128111203615,E,37.57006328517253,D,C,E,E,-75.65175632254434,1
65+,Other,A,E,D,D,154.31519795527367,C,79.51183765555803,D,B,E,A,-132.62705523614022,1
36-50,Buddhist,D,E,B,A,-1.8280728599656766,E,-218.38280328415846,C,A,C,D,3.2142535821244294,0
18-25,Buddhist,B,B,E,D,-45.08790912227298,E,-163.99502896449243,B,D,D,E,-143.1629130889344,1
65+,Hindu,B,A,C,B,-117.60226934391191,C,92.30162690181598,A,A,D,C,-36.04710973172338,1
26-35,Hindu,B,D,D,C,39.1559733942703,C,-92.98713134497383,B,C,C,A,-35.52218028203958,1
65+,Jewish,E,C,D,B,-29.85729809550273,D,31.0193456695802,D,D,B,B,14.288076497449486,1
65+,Christian,E,E,C,C,-230.79176757001076,E,-51.14141778501917,C,E,A,C,-226.1998957271405,1
18-25,Other,C,B,D,A,-9.026761429193213,E,-30.387618526020066,A,E,E,A,102.2833298739063,1
36-50,Jewish,D,C,E,A,68.60034151163882,D,4.51010808452718,E,C,A,E,-7.766155239295506,0
36-50,Other,B,E,D,A,-66.24226886057986,D,-175.84429404141264,D,A,C,A,-67.3858354576538,1
36-50,Buddhist,A,C,D,C,-129.10076866065296,E,-56.11053249500524,C,D,A,D,-8.080686210499003,1
65+,Hindu,E,D,A,B,-135.5980736331276,A,95.24226161210066,D,D,D,B,81.72822662461392,0
36-50,None,B,D,B,A,-74.50665891388643,A,64.49336282888325,D,D,C,C,25.87822413002047,1
36-50,Hindu,A,D,C,E,30.429304617676955,B,-9.494092499311298,E,B,B,D,136.621976410399,0
36-50,Hindu,E,D,C,B,-265.6456158398439,B,-264.2296687699567,D,E,D,E,195.8602107272307,1
51-65,Other,C,A,C,A,152.98759722836218,C,-34.34992205870817,B,C,C,E,-23.456524412073563,0
26-35,Christian,D,B,D,A,-54.52075334824683,D,-89.33174462645484,C,B,E,B,-28.261806793591337,1
26-35,Muslim,E,C,B,B,-29.512736942156188,D,296.8973967409033,B,A,D,D,-113.70651119141625,1
51-65,None,E,D,D,E,20.06960120085811,E,26.364905668293805,B,B,E,B,4.3296786364249416,1
18-25,Jewish,D,A,D,C,-165.14777555861113,B,125.5100858783009,E,A,B,B,67.77275797536242,1
26-35,Buddhist,C,D,E,B,-41.39146509297073,B,-65.30176921253633,A,E,D,D,116.70611780089418,0
18-25,Jewish,B,C,A,B,-135.7771593401375,B,-174.3397466558561,A,E,D,D,-16.940117044373793,0
65+,Hindu,D,A,D,E,-23.39616128577405,C,-36.74519037815694,E,A,B,A,-133.90412223406642,0
65+,Christian,A,E,B,D,54.76877028673059,D,43.7355308636524,B,E,D,B,3.9885390949540134,0
26-35,Buddhist,C,E,E,B,-61.317308088064614,C,73.6255917962324,D,B,D,E,-63.83704467533513,0
26-35,Christian,A,E,A,A,159.2702988727551,E,10.059523056201634,D,B,B,A,-57.74605208919154,1
26-35,Jewish,A,C,E,E,-130.8460262022465,A,75.30188308866956,D,E,E,C,-57.479140110308855,0
36-50,Jewish,C,D,A,B,-211.36686175679182,B,-115.4427433531882,D,B,D,D,-16.39960470251529,1
18-25,Christian,A,E,D,D,17.191336557720437,E,-148.65928553609888,E,C,C,A,159.08313858569838,1
51-65,Other,A,D,C,D,71.1249159508728,D,-83.81157668639649,C,B,D,E,36.977034444369664,0
36-50,Christian,B,D,B,C,31.39800938913205,E,-198.07983821096138,C,A,B,A,-2.3082696111573693,0
36-50,Hindu,E,A,B,D,-135.06517255809257,B,-6.175761577538026,C,B,A,B,53.5013606648708,1
26-35,Other,E,A,A,C,-39.922617680225834,D,-2.8938640796744113,E,E,D,C,-113.57486412415601,0
65+,Jewish,C,E,B,B,75.192740625679,B,-93.61714778790878,E,C,D,A,46.01133105622327,0
26-35,Jewish,E,E,E,C,33.28698556977374,E,8.853186895972977,D,E,A,A,72.64595815616896,0
26-35,Buddhist,E,A,E,A,-4.079218374355205,D,121.81472695224448,C,D,D,E,-70.36658183161765,0
18-25,Other,E,D,E,C,-15.275838316734951,D,53.26010651443836,B,D,E,D,-96.52370466764555,0
65+,Buddhist,B,A,A,E,-78.51719945081653,E,52.76107846712003,D,A,D,C,-135.27268436531995,0
36-50,Muslim,B,A,E,E,45.00021639513127,E,81.09464589560986,D,C,A,A,-58.36346337861627,0
51-65,Buddhist,E,A,C,A,-55.70311699362445,D,129.01414371301735,A,B,D,B,-96.90856222037284,1
26-35,Hindu,A,C,E,B,-7.770965609996945,D,42.66343865788415,E,C,D,C,21.510816830449535,0
65+,Christian,D,B,D,E,13.804644988616696,E,49.88383612374124,D,C,E,E,1.036931480695367,1
36-50,Muslim,E,C,D,E,96.03088117364273,A,101.12369682913163,B,D,C,E,-82.71787853567292,0
36-50,Muslim,E,D,B,E,31.315734599760358,E,41.52957398197888,D,E,E,E,-89.80083446974513,0
65+,Christian,B,D,D,D,22.767654119041456,C,50.667669018655424,E,E,E,A,122.44660496506339,0
36-50,Christian,C,E,D,D,14.950342614833081,C,1.4898377647965402,B,A,E,E,125.72129904701978,0
26-35,Other,E,B,B,B,93.62748883610368,D,-175.0292417974768,D,A,D,D,79.00220043481193,1
36-50,Hindu,A,D,C,B,88.44629070224696,E,-80.83104622115526,A,E,A,C,92.4611307707689,0
65+,Hindu,D,B,B,D,-23.93995417312723,E,-49.393661006904004,C,B,E,E,83.94854891047989,1
18-25,Other,B,C,C,E,-59.0388548593581,C,54.66405282715194,E,B,C,E,-28.643313357890477,0
51-65,Christian,D,C,D,C,55.269513212726984,A,-120.41721247022792,D,D,B,B,-79.12221822431113,1
65+,Muslim,B,E,D,E,86.75603671241164,A,83.07461906270794,C,D,B,D,2.1718786656980944,1
51-65,Christian,D,B,E,A,120.81013360622464,E,69.27679194862442,D,A,B,E,-51.099099500891484,1
36-50,Buddhist,B,B,A,E,-33.86323065105137,C,-256.68085813340167,D,E,B,C,-194.40672633633395,1
51-65,Christian,E,D,D,E,-63.907665093858256,C,-187.06329373752789,E,B,A,A,19.516284662487372,0
26-35,Jewish,A,B,A,B,-123.49294373193018,A,-108.8280304591161,A,D,D,C,163.55571576318056,0
65+,Buddhist,A,D,D,B,2.3718202984556114,E,70.04969943508232,C,D,D,A,164.1076838044106,0
18-25,Hindu,E,A,C,C,-33.2932906957062,D,-64.47880301723423,D,C,C,A,-148.33460384897475,0
26-35,Jewish,C,E,A,A,114.60621605537614,D,121.17870960796951,D,E,A,D,97.93305947468039,0
65+,None,D,A,A,D,35.143166395394104,D,31.328927128441563,A,A,C,A,60.11595591968031,1
65+,Hindu,D,C,A,D,-46.65842773028439,D,-148.84931203039395,D,D,E,A,86.99948614919518,0
51-65,Christian,A,A,A,B,-88.5340250472737,E,-89.05197416148152,B,B,D,A,-110.76796527736978,0
51-65,Hindu,C,B,D,C,43.43462076194519,E,-14.61105008802304,E,A,A,B,-39.456132757661955,0
65+,Muslim,D,B,E,B,5.8267768913995015,D,-15.26920522530377,D,D,E,E,23.878963766071625,1
26-35,Christian,E,B,A,C,96.20967321135143,B,25.67854847263838,E,A,B,A,120.43320106307263,0
65+,Buddhist,C,C,C,E,-77.35505353513481,C,-44.14930265747753,D,A,E,B,-161.07726992252,1
51-65,Other,D,D,A,E,-46.26065638832472,E,5.664398373762703,C,D,B,C,-138.41820206406595,0
51-65,Other,E,C,C,A,80.45398385051851,D,63.39371136532783,E,B,D,E,71.41239043253356,1
26-35,Muslim,A,E,C,A,-37.16981022520302,C,42.348113707650356,D,B,E,E,46.47242641133961,1
65+,None,E,E,B,D,102.43328239308353,E,97.68947249899291,D,D,D,D,-114.82918465911722,1
51-65,Buddhist,D,B,D,B,78.06634341217335,A,-73.67111697550415,A,B,A,B,-121.76219046716226,1
65+,Hindu,D,E,B,C,112.7622078867593,A,60.75987924682619,A,D,C,E,108.71518273921698,0
26-35,Buddhist,D,E,B,B,-173.09169979948504,A,31.944779724819966,C,A,D,A,-13.239894630685884,0
65+,Jewish,C,E,E,C,24.299865594298442,C,43.21774663272475,B,C,A,A,-59.13449372383815,0
65+,Hindu,B,C,E,E,16.367199790477212,E,-91.8383287487244,D,A,E,C,-103.64933685009996,0
18-25,Other,E,D,B,A,-88.37020960263011,A,-116.02478189907114,D,D,B,E,60.415019958902725,0
51-65,None,B,A,A,C,-283.12231102113054,C,-20.307821655487917,C,C,D,C,-114.66685969172039,0
51-65,None,E,B,C,E,174.49268084450594,A,122.20048518606272,B,B,A,B,93.30292188995826,1
65+,Buddhist,B,D,C,B,58.78444079781045,B,-101.73329729077271,B,E,E,C,116.47842011774141,1
51-65,Other,A,D,C,C,-113.22846278840784,D,138.16376307377152,B,C,B,D,-2.907835411478043,0
26-35,Hindu,A,D,B,D,64.45146089854981,E,-196.92211196755474,C,C,E,C,-8.3380074735286,0
26-35,Jewish,B,C,D,B,-95.94368620445678,A,172.01582419828407,B,D,C,B,154.73385031518876,1
26-35,Christian,D,D,C,C,-102.58025217321429,C,30.921250782577765,C,B,A,B,73.43363633879683,0
36-50,None,C,D,A,C,41.763885238323184,B,52.10524545028352,E,E,B,E,46.126249695383684,1
51-65,None,E,A,B,D,123.74575371637351,D,156.74880060688008,D,D,C,C,-235.5681778110314,1
18-25,Muslim,A,D,C,B,-59.601706605401205,B,152.35239718700723,E,B,A,B,-60.313033376097856,1
36-50,Jewish,B,B,B,C,72.97236227454886,B,36.139314440835754,C,D,E,B,71.56617958566244,1
26-35,Other,E,B,C,A,46.3933417756648,D,71.35349430336058,E,B,C,E,50.0575448228708,0
26-35,Hindu,A,D,E,D,2.88257487114049,B,-29.09732405682292,B,B,C,B,-6.311294257204262,0
65+,Muslim,A,B,B,E,-243.69436300292045,D,-351.7008843864062,A,A,D,E,-150.09979282177594,0
36-50,Muslim,B,A,E,B,-74.72770491512848,E,-152.1404514998801,D,A,A,B,-18.54337297519685,1
65+,Other,B,C,D,D,110.8811293597866,D,117.69112428857763,C,B,C,B,-5.364043406362932,1
18-25,Christian,D,A,A,E,54.80487540324751,B,-126.85954625926503,B,C,E,D,-118.59726723977018,1
18-25,Jewish,B,D,D,D,101.49353403985468,D,-30.727586605175972,B,A,C,D,-8.103130861780171,1
18-25,Muslim,B,E,A,B,-60.00822628282296,E,-50.45808881988477,D,D,A,A,113.33029916479845,0
26-35,Buddhist,E,B,C,E,-76.47027798263684,D,117.32081333217003,B,C,C,A,-55.11752559701155,0
36-50,Buddhist,B,D,B,C,30.208289172207454,C,-7.299653237413331,E,D,A,B,39.04954669825159,0
26-35,Christian,A,E,E,C,-55.04963237947401,A,-43.640377107312986,E,A,E,E,-96.73701351343448,0
26-35,Other,A,D,A,A,142.36817496799773,E,-36.1410042922178,B,D,B,E,-8.126644651065835,1
65+,Buddhist,A,E,E,D,89.53644533566492,B,-146.94029534946387,D,B,B,B,-92.77012840096519,0
65+,Christian,D,D,A,A,-131.3151556995082,A,-172.73017485939528,C,A,A,D,137.28467234099045,1
26-35,Buddhist,C,D,C,A,142.81307273379633,A,166.61938464297964,E,C,D,B,-62.56619500622202,1
65+,Christian,B,A,B,B,158.51078074700175,E,-143.826954695586,D,E,E,C,-37.162802501886496,0
65+,Hindu,B,B,C,A,-69.78351896609547,B,106.63031582176892,C,E,E,B,-36.75789082324676,1
65+,Christian,A,B,A,D,73.86923096173209,D,112.42995815287375,C,A,C,E,-62.23241567807574,0
36-50,Buddhist,A,C,E,C,95.95395285224619,A,37.11170759155697,B,A,B,A,60.73625540747849,1
26-35,Other,A,E,C,E,26.64541127195416,B,98.83618838694902,A,D,B,C,15.216950687112746,1
51-65,Christian,D,D,A,A,-117.01021268796023,A,-168.10400904624046,C,E,B,B,100.67236695228105,0
18-25,Other,C,C,B,E,-142.0263238707576,A,-28.721113209964848,A,D,E,B,173.46442983839995,1
51-65,None,A,B,E,C,-91.37377637775465,D,-35.54587911584492,A,E,A,B,-6.782829888464469,0
18-25,Other,D,A,D,B,-142.84648776765707,E,46.65915484419578,D,E,C,B,-30.18746371251204,0
36-50,Christian,D,B,B,E,-105.87255116927578,C,-105.77514457907225,B,B,A,B,-158.60537914982194,1
51-65,Muslim,E,A,C,A,-26.978513341528064,E,74.75252382218306,C,E,B,B,45.07070833754323,1
51-65,Muslim,A,E,D,D,-90.83207508443704,B,-26.18300036937048,D,A,D,B,-56.74605428539788,1
