disability,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Physical,26-35,-70.87784456203056,-88.6263578203243,-72.44301769331595,B,-2.761454084433296,D,A,B,A,C,-156.2146413348167,C,0
Physical,51-65,88.80659792678092,-61.69048406403117,129.6213598559687,E,-40.224934028860105,C,E,E,C,C,-4.541852466869716,C,1
No,26-35,125.0611622277586,56.809202255467476,-135.47326083007084,A,60.87809765694335,B,E,B,C,B,36.011812050413496,C,1
Mental,65+,68.96368247054511,125.84908099154559,-38.20023983103808,C,2.9312022926441257,A,E,C,A,E,-63.30664679667526,C,1
Mental,65+,151.51568287005335,-10.19708088483151,-125.1225040410377,D,39.06004267107877,B,D,C,E,A,111.05426443540831,B,0
Mental,36-50,39.0568547314187,-156.47095026606044,171.1174476182503,D,40.5566391338572,A,A,C,E,D,56.01954261320709,D,1
Both,51-65,-41.500106258474254,-36.36191401880608,41.486790627053125,B,8.455554444980294,B,E,A,B,E,81.53736075187695,C,0
Mental,36-50,-5.900221911303454,-18.136080195740988,190.72617382700304,E,-43.6014918712356,E,D,E,A,C,103.72097815146297,B,1
Physical,26-35,-7.2605153301151875,191.40016537532983,60.64543134288449,B,-130.21088466022385,C,A,E,B,D,-167.04571925359383,D,0
Mental,26-35,39.61239054799274,112.72737166597844,62.98764064494093,D,-2.6701861129458537,B,A,D,C,A,-47.891583526620444,E,1
Physical,18-25,-5.094303760621843,8.473807725976776,108.31322152686683,E,47.34844306070292,D,A,A,A,A,2.314486761675,D,1
Yes,51-65,-100.44225090670571,56.624663828548925,47.7608057430324,A,121.74435473770518,C,D,E,E,E,7.100623001696057,D,0
Mental,18-25,127.21882458411568,-231.5842352620695,-32.49128556036312,A,116.46491965543993,C,E,E,D,A,33.97282833546738,A,1
None,65+,64.26754736117579,-33.18340618653137,83.92868937463248,C,48.915648743222945,D,A,B,D,D,-207.2544543193619,E,0
Mental,65+,53.12889251260541,-49.729797858224835,197.83603840741395,E,72.72642210643944,E,E,D,D,D,-91.16629967471802,D,0
Physical,26-35,-226.08628794512967,16.401773734147522,62.2544021728916,C,-170.5066220737,D,E,E,E,C,-73.88428392665138,C,1
Mental,18-25,-180.12811104029493,124.10632543813533,-149.87181115340275,C,-53.77512858095964,B,B,D,B,D,133.21964946497778,E,1
No,18-25,185.83680129531515,1.94768739624209,108.87300791274725,A,20.325010122156097,E,C,A,D,E,-42.38166292811558,C,0
Physical,18-25,-71.44989797197935,0.11007667721720824,-10.97352264109926,A,-212.03059152669348,A,B,A,C,E,56.17937297516987,A,1
No,36-50,-120.2534591056289,85.57343282615777,-214.72369941978857,C,-75.16652666668358,B,C,A,C,E,-103.52784834937924,A,1
Yes,18-25,67.94606498090306,-72.9959395052324,-0.8672033844030669,C,66.35954649964245,A,B,C,E,E,-3.9875132901856647,B,0
Both,51-65,-8.241906338668606,43.57907281874183,174.91725254526654,B,203.42242815321327,C,E,A,B,A,181.96727894690974,C,0
Both,18-25,-132.58366161753813,230.86585421833652,-78.61818423936666,C,-66.42855678386343,A,B,E,C,B,-54.441889805828524,B,1
No,36-50,-144.39582139573395,25.22934038421276,91.57962072049168,C,-95.79513553620232,A,C,A,C,C,-35.659834076325964,D,0
Both,65+,22.970959412348684,-98.59366916765791,-25.332293601528033,C,113.28137655265311,D,E,D,C,D,120.2051509813282,A,0
No,26-35,98.44791696927163,51.87897996013536,62.83928676982886,A,59.84526947751677,B,C,C,A,E,-105.73732082294012,E,1
No,65+,-57.40437727177744,214.44534571705987,29.585364991995018,B,133.90097729917653,A,D,B,C,D,-130.3252776739789,B,0
Yes,65+,227.98711613639253,-138.93969296501493,-155.83881941903343,B,-92.86889053674273,E,C,A,C,B,83.04442599120249,C,1
Physical,51-65,75.89826061874685,-79.4910613217249,-21.575367248511,A,-120.42778392517309,E,A,D,E,C,-7.441970352147356,E,0
Yes,36-50,-15.844482851345779,-45.405056447254616,63.18593395456116,C,86.29884729227166,C,B,B,B,D,-9.062070694406021,D,0
No,51-65,22.70902431465029,215.04716300198984,130.5154044943098,B,-87.93414559371222,A,D,D,B,A,-120.04968050007139,D,0
Mental,65+,-52.12296697000068,-48.834346673345244,166.20305568557373,E,118.07887454341721,E,A,D,A,E,-4.259238300247749,E,0
Yes,18-25,120.05904123536841,166.43114404801915,-38.163948207799756,E,-88.5587080248845,B,D,B,B,D,-325.85178149438786,C,0
Mental,51-65,60.12114871214581,110.59632388227385,200.63295389318637,B,43.03184950418391,D,D,B,A,A,122.28584047793048,D,0
None,36-50,-52.431643441196776,207.069104473153,-141.98984214614566,E,-135.4449653149916,C,B,D,B,B,-6.822109903759493,B,0
Both,36-50,102.36344592534803,108.52399522899294,196.64373551357266,E,-60.093497124366635,C,C,D,D,C,-119.63147097547402,B,1
Yes,65+,96.03664679752498,73.25633863914457,-114.33137801706128,A,-46.835119206517064,B,E,A,A,D,128.80825815188138,D,1
Yes,51-65,-11.341728003182771,223.12860810118704,-16.439408833584103,A,-168.74242391165518,B,C,A,A,B,-83.32456119840282,B,1
Both,36-50,108.04243432467995,-53.43917833267277,-4.920497720631145,E,198.253956858676,C,C,C,D,D,-103.23760185082094,D,1
Both,51-65,-67.80358733685746,101.04693283513491,-11.154963525008416,D,43.64837023843051,C,B,C,B,C,-55.48312464617447,B,0
None,36-50,2.9286555339694877,-12.945759919762253,-108.94260441978365,E,132.67924745596383,D,D,C,E,D,-0.44824741782468447,C,0
Both,51-65,37.49826435947982,62.869806648165124,32.72810696934993,B,90.37054049213818,E,C,C,C,B,28.318401802268646,B,1
Both,26-35,-49.014441042704746,53.15653320231439,195.21738365119833,E,-92.08270906346483,B,D,C,B,D,57.763908043694215,A,1
None,36-50,133.5194765026924,50.25108863698697,49.39866998550572,C,104.16567854770847,E,A,E,B,E,31.180460072393913,E,1
None,51-65,-58.59460455243419,-80.65133088358508,172.98243015760963,A,-29.37488160329997,A,A,E,E,B,-43.704519242714,B,0
None,18-25,-79.5218122730321,-5.829080142927359,-78.48730533552481,D,-159.52355071802506,E,E,D,E,B,124.52119572411371,C,1
Both,36-50,163.1510132668034,169.6882187621584,-135.68462119143456,E,-121.44203216534027,C,E,A,A,A,-7.286189427783669,C,0
None,26-35,59.5825590851146,-144.1227554720663,-91.90521717066034,E,3.907631551353785,C,D,D,A,A,-95.46685962590736,E,0
Yes,26-35,-11.330087161243156,-66.1274466844981,153.0911365664198,E,123.4250794830365,C,C,D,B,D,-87.5785618519679,B,1
Both,51-65,-71.82553321161241,-109.90462624100516,-89.3619980009576,E,-122.13768312004021,C,A,E,A,B,-67.42389067317895,C,0
Both,65+,-54.34303530287401,-89.68259938365667,44.69483506639165,E,-25.932356240698862,B,D,D,B,E,85.48561774919871,C,1
Both,18-25,-150.6565605027441,130.00574994095885,73.92132520614243,B,83.02093488140636,D,E,A,D,B,58.73119347064413,A,1
Physical,51-65,-87.99238250602649,-17.51403858374426,30.86346353189778,A,102.11010722836879,E,B,B,A,D,-25.427062140379558,B,0
Mental,51-65,-28.750939886833443,-116.25470936747718,47.46604116948014,C,-66.10205858227445,D,D,B,D,D,-125.85755370592156,B,1
Both,18-25,72.97667758152215,-110.38267963316774,20.63475535895455,C,-71.91632133273842,C,A,E,D,E,97.22965736082342,A,1
Yes,65+,26.776116783773098,68.3494505914385,24.525495943225835,C,-118.50026122351991,C,C,D,E,C,107.86703449733682,E,0
Physical,51-65,-187.33929999026154,-108.94032947390515,69.87131781806426,E,87.49399079066083,C,C,D,A,C,-218.8888061087534,E,1
Yes,36-50,-88.11891021053634,-126.29851086030166,-37.81491284865275,E,33.477534668676526,D,A,B,A,E,74.34827525161323,B,0
Yes,51-65,1.1459799897754641,200.7368078286829,-87.03229765834162,B,39.39301490925526,B,B,E,E,D,-145.72140038903188,C,0
Both,26-35,-2.766123378807376,-96.81873489138077,17.42871914999377,C,-54.5348289369338,C,D,A,D,B,105.14557548449741,E,1
None,18-25,-43.95931300330602,15.20285182269498,-34.45372857610437,D,-170.04543456891255,C,C,A,D,D,61.81125366853018,E,1
None,65+,73.98303218702239,130.0293175015051,-76.05005519073997,B,-128.01444836216834,C,A,A,B,C,4.314500211923886,C,0
Both,51-65,50.489323060488466,26.439358200009544,350.2969937392528,A,-1.4122670053911899,E,E,E,A,D,105.6226341393638,A,1
Physical,18-25,58.26139351968115,20.00726662780507,130.54611567247275,E,117.20789829908746,C,B,C,D,C,-22.798548421175354,A,1
Physical,18-25,-5.223843730741348,-138.0809363717278,77.54768098156397,E,-39.6754736465579,E,A,D,A,A,172.755183725607,B,1
Mental,36-50,93.9662074995395,-109.16203607286508,202.68248614842017,E,118.77453874945978,A,C,A,E,E,-121.50397184657014,A,0
Yes,18-25,-74.96932884266613,-10.061154108415309,-60.15892464019083,D,142.2853226172093,E,E,E,A,B,50.9560558237265,C,1
Both,26-35,57.758524932386536,111.78504523099953,53.346311205905785,E,66.44229732332747,B,A,B,C,B,-128.3769634905441,A,0
Mental,26-35,86.7561841034342,-16.36295886588931,-120.86594139918263,A,-6.085047333524872,A,E,B,E,A,132.37505545967494,A,1
None,26-35,14.466581599007514,48.13825622913853,203.51079356231696,D,199.46027500685784,E,D,B,D,D,-86.04368918379835,A,1
Physical,36-50,149.36967921869368,-4.796730654389704,72.70122314094397,E,34.37119744820652,B,D,C,E,A,-76.42939754464464,E,1
Yes,26-35,7.0053946561437614,-0.19082761168433668,38.94782032002031,E,-178.08467744075233,C,C,D,B,C,132.74263728231986,C,0
No,51-65,-40.988058168958105,88.43144381549007,106.40516781780134,E,88.92888643007302,A,A,C,E,B,62.43404173150867,C,0
Both,36-50,-24.00243259651271,121.06993537237318,-8.15893164447311,B,144.77932086016264,D,D,D,B,B,-25.418280481934424,B,1
Physical,18-25,162.07272746457392,111.77723387268024,55.130096732933524,A,28.907388651532983,E,D,E,D,C,-100.96440198222083,A,1
Yes,18-25,-122.65422465120793,-100.15950866175002,-25.983095963175646,D,93.38943750469507,E,C,E,B,E,-154.1842886362209,E,1
Mental,26-35,-173.57228337325824,75.36391589556813,-236.45023049679287,B,-174.15314445108405,C,A,C,C,E,124.24498924240768,C,0
Mental,18-25,-166.81732698859804,51.079342466184976,60.38380309924357,A,-108.6612007444072,A,A,E,A,C,-4.469866087785698,B,1
No,36-50,49.63509405772986,-35.302520593317325,-66.85429922640955,D,-33.85155457132362,D,D,C,D,A,-9.762074561365374,A,0
Mental,65+,6.67688304802432,-132.00511209246756,45.322197772917676,B,202.17440451924583,D,C,C,C,A,-37.31465405151323,B,1
None,51-65,-25.6543083118476,-10.234621248951761,43.52729460574096,E,-71.69087318839574,D,C,B,B,B,4.618349724255527,B,0
Yes,26-35,-58.31369871556254,-79.71805860445706,-129.8823794087646,A,45.1645809471201,C,E,B,D,D,163.39956457723673,B,1
Mental,26-35,-65.0380169583323,-87.2685920291895,-122.57785493744602,B,-56.79455990321814,D,E,A,A,A,166.11473324628219,C,1
No,26-35,-119.93756505293138,59.15586377179747,-42.68853557224803,D,-46.38176331360747,E,A,B,C,B,23.91146277577848,D,1
None,26-35,-44.88533376523898,-7.604349122638377,57.48035172566275,A,47.63420110813059,C,D,B,B,A,-139.07202430585505,A,0
Both,51-65,16.300118174247398,97.33008437750635,-22.928864203021813,E,196.32044018186156,C,D,E,C,A,80.03582688556982,D,0
Mental,26-35,-100.41062605001312,-101.87114600794254,64.87308851407728,B,17.43197978292774,D,D,B,D,C,61.68347754480106,A,0
Mental,18-25,-111.39192430154445,166.7058891065419,17.235165778612707,A,8.614774884252185,A,D,E,E,D,-60.895283269199005,B,1
None,65+,138.44195822270086,-15.145226153572528,50.817798107656884,C,-17.998816848404093,A,B,D,B,A,40.98392701813426,D,0
None,26-35,-4.618740532911589,136.04135734548638,87.38508369094778,A,-64.79768567203797,D,E,D,C,C,-38.07084767277475,D,0
Physical,26-35,4.760407091950102,-53.186564517433645,-42.15303710475159,C,87.6546507232314,D,B,D,B,E,-49.475373674933586,E,1
Yes,26-35,-125.75051324805722,-99.32647265082673,32.64522206382475,C,13.918046703195088,D,A,B,D,C,76.46873608494029,D,0
Mental,65+,150.78668970052092,-93.13882769062202,19.673462543589434,A,-91.92571632464114,B,B,B,A,D,105.70278533857098,C,0
None,65+,54.20909048639299,-187.00795782278362,174.18647462492635,D,3.2178938082606914,A,B,C,B,D,113.74356414254274,B,0
No,51-65,50.53013360202239,230.1383714087395,38.43014668442733,C,-160.62047213711915,E,A,B,E,C,-95.34874013210606,A,0
No,51-65,-96.88211685034831,-57.39557025060819,-45.652150281703484,C,71.39489390707155,A,D,B,A,A,155.97791719375007,A,1
None,51-65,187.07752077335223,20.114554090948868,-120.87609167695909,B,41.785002311410935,D,C,A,B,A,-121.63752725419035,C,0
Mental,51-65,-8.396579766956492,-45.23802108286587,-108.20668155066038,A,70.63714681103926,C,D,E,A,E,33.04945946518289,C,1
Mental,51-65,17.459783196099128,137.27689834625176,134.44775581872128,E,52.39385984005255,E,D,B,E,E,82.67232744985704,E,1
Yes,18-25,-27.766378479305448,10.848476330368669,59.25116989874852,A,1.6582719322598602,D,C,D,A,C,-193.7580190169748,A,0
Yes,65+,-37.166113377630744,91.36619715417127,-77.72831181938447,D,-60.59215891049743,C,C,E,A,E,68.0618957180828,A,0
No,51-65,-29.022037867763718,58.14555253826511,-104.27853110676233,D,-46.04574210115772,B,E,D,B,E,170.68846113649965,D,1
Both,18-25,-54.23160318299579,124.01888406306192,-20.615550284150075,D,-60.86006486947228,B,E,E,B,A,-29.74660715063049,D,1
Mental,18-25,-161.1751381201723,-8.473697295361148,66.7535647570146,A,61.49268454719062,B,B,D,E,A,-133.751809609549,C,1
Yes,26-35,-18.822236703376838,-7.454297107446706,-95.83427266328252,E,-116.65743672869591,E,B,C,B,C,-98.22758943608065,D,1
Mental,51-65,100.22645996597952,-62.29576064749234,102.27283236881502,B,75.43008504763718,A,C,C,A,C,43.08500569628379,C,1
No,36-50,72.17803999762565,-1.8726510380769106,10.005303300664776,E,23.096763076579908,A,E,B,A,E,20.87378412009569,E,1
Both,65+,115.65981999961336,-126.58867253088863,102.68519804739802,B,16.627372979674064,E,A,C,B,E,-38.35184358024477,A,0
Physical,36-50,-90.80693835774935,17.236603471728102,118.21113106379437,C,48.94267229308733,C,E,B,C,E,-99.2328103498691,D,0
Yes,18-25,25.20826427499529,-83.48622572306603,-9.121492413746985,E,-25.15887765333939,C,D,A,B,C,-2.9465482908391567,B,1
Yes,26-35,135.76714823776777,237.69700220211462,64.73770272985884,C,88.00021238372574,D,D,E,B,C,60.92650240746836,E,1
Yes,65+,152.63185368734466,51.47013947189703,-56.31145736956681,B,47.70024384269064,D,E,E,C,C,101.29064256628126,A,0
Yes,51-65,196.49898068520125,24.389446558119886,-14.794333746068528,D,222.37665306462037,C,E,A,D,B,-18.329659762605598,B,1
Both,51-65,-40.84564485403758,-58.630953260428555,1.1570248930593507,E,-12.869145831077782,A,E,D,D,B,-32.12255310202049,E,0
None,51-65,-30.2285445579649,-77.11209534405434,-20.858161863164685,B,-66.955853081911,A,E,E,A,D,-58.910155283784974,D,0
Both,36-50,-0.7712192984297989,-95.7039198858891,116.11713679134617,B,39.211572421862805,A,E,C,B,D,-56.81559558901491,D,1
Yes,51-65,-75.92090264860784,172.3648733438499,-161.48641452897928,C,-183.57601596511225,E,C,D,A,A,-46.16558080825743,B,1
Yes,18-25,48.9858473959055,154.90831631116563,-3.514900123722167,E,31.714969850782776,C,E,C,B,D,112.85421316096387,C,1
None,51-65,-114.09829356260457,-132.37548428453616,-5.388162512945404,A,-129.22509614982548,C,E,B,E,D,-82.82514443843169,D,0
Mental,36-50,79.64681543944982,1.947112852640099,190.27762257794225,A,-214.00219507608958,C,D,B,B,A,-17.977998469400237,A,1
None,18-25,-31.635889385570138,12.535168680295891,-93.48829775570294,D,123.91175113641854,C,C,A,A,A,-56.8943486382213,A,0
Both,36-50,-37.69212592354356,-2.3307281340818693,-19.419384297437876,E,86.77666711914944,E,B,C,C,C,-32.14592052248438,D,0
No,51-65,-137.9946007239632,61.57542690143322,130.44870663465454,A,34.30295361997416,E,E,D,C,E,78.15759494601129,E,0
None,65+,30.716416452413203,-167.78666745395324,45.48286466018429,E,38.90816096851167,C,C,B,B,C,81.53790401231359,D,0
Mental,26-35,122.39467015690606,57.99797389119025,186.75317498264062,B,137.94847914661145,A,E,B,A,E,42.14059201361212,D,1
Yes,65+,-93.73771086785138,14.623835024501187,15.803125724482328,B,132.31173675918586,A,B,D,B,C,111.51459818897791,D,1
None,26-35,-149.00795864907107,61.85272681504694,-98.02417369991424,E,-151.41070841413875,C,C,A,E,A,3.0809927348411836,E,1
None,51-65,151.94656613668914,-119.91095916091376,22.35693769587015,B,93.95960154364023,C,D,B,A,B,5.407848922496894,B,1
Both,65+,11.582232112508311,146.70161078012808,-1.0569514167083107,D,-101.39910085578006,C,C,C,C,C,99.13779895074039,A,1
Physical,65+,164.96604748632237,-23.99947221667837,-41.90454096977594,D,10.630226474487236,C,E,E,C,E,21.369733259730133,B,1
No,26-35,129.2885553461612,10.22887222781744,7.075008509264706,E,-19.088709728508373,D,C,B,D,E,-20.488004511384325,B,0
Physical,65+,-92.58484638593607,202.73990887499244,96.78229509151865,A,120.1518442220156,B,D,E,E,C,-91.72597335977738,A,1
None,51-65,-29.191893639841844,-64.51380109410141,66.15999041864369,C,100.56270627256325,A,A,A,E,D,118.92646900064841,C,0
No,65+,141.42842175485438,164.39930167006287,-195.76815718309675,A,-40.96803535314043,E,A,D,B,E,-77.1307260813949,C,0
Physical,26-35,29.133204949309576,-24.231224333809024,9.754274876758531,C,-21.26884344281303,A,D,B,D,A,47.61993511722669,B,0
None,18-25,-24.318104262594456,220.7568948132291,15.755499649437974,E,-0.13332315429352018,B,E,C,C,D,-79.56322665487625,D,1
Yes,51-65,-112.20660713420831,20.965176049869964,-109.4277998188335,E,-123.71149824052506,E,E,C,E,E,143.16741200020755,A,0
Physical,65+,37.26010494721193,-52.79383765452107,48.32862766081744,C,-175.66068162010552,D,D,C,C,C,-8.291904995790803,B,1
Mental,18-25,58.84830244755616,311.4081541454222,-135.49485600634728,C,6.488041706546708,C,E,A,C,A,-91.32695359485426,E,0
No,36-50,6.8391757641947395,-102.37175934145762,-193.34856611561327,E,193.14418278149583,C,A,E,A,D,-78.5899982163957,E,1
No,26-35,-68.61191057298981,-108.4879100005468,8.34219782274653,D,-134.88826177810554,B,B,D,E,A,-54.25534286656467,C,1
None,36-50,-50.12030757660592,-120.86897109019388,-10.51796691543918,D,101.79231821973642,D,B,D,B,A,-77.62045065167977,C,1
Physical,65+,7.212469723271023,-95.57736366373996,65.8757072121457,D,-97.0815561308383,B,D,A,E,A,28.91520916515055,E,1
No,26-35,-16.12061692586492,-162.46010858560746,-101.02166348060666,A,-118.02647969118787,D,E,C,D,B,130.80788640055962,C,0
Both,18-25,-149.09596540037276,86.83785464076594,87.23041105907285,A,167.33308628642206,C,C,A,E,E,40.9888188078,B,0
No,26-35,27.392109328411195,-105.91431036183285,-19.489700618905857,E,278.5671191624647,B,E,B,D,B,-147.62849588572848,D,1
No,26-35,-34.99601166041685,11.247864710255403,-24.03870152188612,A,10.794271141674386,B,B,C,A,A,35.2303963908665,E,1
No,36-50,41.994011415085424,-123.79433834948253,74.8039616971491,A,118.6615723397003,E,B,C,C,B,19.30656984938668,B,1
No,36-50,344.89737021370433,-24.38061385979558,-38.343488087354174,E,0.35798328412980374,D,B,C,C,B,-63.25162682226267,C,1
Yes,65+,-34.87689157266573,-74.70070392303573,0.6172553766605587,C,-109.9453347570505,C,D,A,D,C,70.91135236417007,C,1
Yes,26-35,-37.699630513493815,28.347012073743617,127.73911466381603,D,164.11753107114896,A,E,E,D,C,-136.65572812246046,B,0
No,36-50,-105.35948272508374,88.0345892770107,-62.961504556365036,B,-53.78206626146651,C,C,B,C,D,38.050300266237095,B,0
Physical,26-35,-179.95388206848835,178.33406072637703,3.537626410725167,D,-88.4851168666246,C,A,C,B,B,-207.05132943603158,A,0
Yes,65+,-50.200079833823175,-128.17151972788676,-94.8424680164696,E,-41.225832893421845,D,D,C,D,B,81.99726794035068,B,0
No,51-65,-153.8137307425213,-27.124980789578157,77.16158956412215,B,-1.80457466741359,A,C,C,B,C,91.00294629229711,B,1
Both,26-35,7.199351669282997,-71.89597846733842,-109.06466836828801,B,159.86563051621735,E,E,E,E,E,-65.47453206885812,C,1
Physical,26-35,-198.1493311112424,-123.27945107614416,-119.25949805480627,C,16.029400637341784,D,D,D,B,C,-178.34011965407328,E,0
Both,51-65,-45.00330643944092,-71.32405878260259,-90.70447651610168,A,-91.27751396640548,E,D,B,B,E,83.57331784694621,E,1
No,51-65,101.05795868016725,115.71841030993025,-70.83036875705797,D,113.83547279445622,C,B,A,C,A,-69.07752286973702,E,0
Both,65+,71.06127334562446,162.73319586483228,-83.82814090969354,E,108.71790818553839,E,A,A,B,A,126.76814868256763,C,0
No,51-65,3.144216770683983,99.63607842851283,145.31481728198733,A,34.82238585583558,A,B,E,E,C,23.34868338403135,C,0
Both,65+,15.507338565256987,191.7538741867202,139.19704520056777,C,32.34830509863716,D,B,E,C,A,25.763692663508802,D,0
Mental,65+,65.76994196221338,25.298118207971072,-1.2009907507442619,D,37.62512900076569,A,C,A,B,E,8.842433625455977,D,1
Mental,36-50,-221.03579276882587,-200.53914026656057,65.55997613448018,C,73.3225504518204,A,E,B,B,A,-42.34359370966694,D,0
