Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,72.23446328920153,C,-25.514589357404965,-25.93896350245245,192.399988749749,E,66.3109067253717,132.74233995786628,27.850809302362165,D,D,A,E,E,1
Non-Veteran,8.590260152057446,E,-71.33569153462544,11.93872599190981,-80.4786979131666,C,166.8305399426013,108.68173303279418,107.20367813370125,A,C,C,B,B,1
Non-Veteran,100.36727313552385,D,-166.5443641383266,-9.125738725362362,61.162997025607794,D,83.0018046072996,-30.590632280738323,21.073174909733254,D,E,D,C,D,0
Veteran,42.479394773020914,A,2.5290958462219715,71.72558472370562,-64.25905313354761,C,-16.07593932456563,-97.53963834710699,229.77291955218075,D,D,D,B,D,1
Non-Veteran,-64.8885241933867,E,87.14565296644378,91.69800517908558,130.4274613964541,B,21.593232574954126,8.29971441047708,-23.76580951175885,A,A,C,A,D,1
Veteran,125.90948645619126,D,164.69476006317322,181.93025199938347,29.381597963932126,B,-61.91964785421482,-35.21723878966739,-57.31324677585362,D,D,B,B,B,0
Non-Veteran,-3.6000686380039615,D,-46.8141075520465,115.0605892174134,-21.068241968359942,B,-38.004433845069194,-203.87706786601098,-70.8276902099233,D,A,E,E,A,0
Yes,-59.06289831022665,C,30.53746746031576,-120.43823427511767,67.26184090764859,E,0.7926720402409776,-102.08871373923003,226.74670199638393,C,E,D,A,A,0
Yes,-72.3788067139442,A,119.98759643597342,125.32424476835556,-136.18176278993565,D,68.1054772256394,50.56068256070774,45.604983112443556,D,C,A,A,A,1
Yes,-61.57154535451402,A,-21.117342915574888,12.452213543752375,28.55654080005191,E,-57.91124380935181,-79.14739540433804,188.88313675022343,C,A,C,D,C,0
Veteran,-103.28361604176466,B,-46.00914200355251,183.28650863402757,101.190650630334,E,-36.69478707657392,29.678040263482657,177.17522719529106,E,A,C,E,E,1
Non-Veteran,-40.07261898096976,E,134.22134972478946,-145.78403919380196,-27.331138520046196,B,-15.513889091032663,-135.0236355329067,18.802362352192706,D,B,D,B,C,0
No,183.17957533105428,E,34.15106364329608,-15.10475996344539,-12.460170476479112,B,-66.77229862820035,4.058247628502486,81.34015501052161,A,E,C,A,D,0
No,-115.97314167300794,E,12.742399176453976,-21.733473226558715,-55.79736929183563,D,-124.84502967851236,129.7978096116781,95.6540562916324,D,A,E,C,A,0
Non-Veteran,81.9246849534005,D,-52.586308950624364,-54.972481554977,40.669632314532485,A,317.07344954499365,-145.72242115888935,136.01038333963317,B,B,E,A,D,0
Veteran,-41.93301036414227,B,2.622545175060818,-71.55211276600538,67.35028156438932,A,94.90509924265233,6.077030005803503,-136.38133785027168,B,C,B,A,C,1
Non-Veteran,129.7301837755174,B,-46.293176436263664,-94.24250888467034,26.68988021553982,A,35.29099842829076,-19.195680045904467,-72.95298902622488,A,E,B,A,B,1
Yes,77.97993794132438,E,-99.00851809680279,236.1415320802684,-141.35574957614008,A,-35.7923227481409,-115.39721562937224,21.103445281771766,A,D,A,A,E,1
Yes,-30.68440693310916,A,8.686907674526157,79.75838411309655,48.27952060984121,A,187.42363707237465,-54.424379100741184,-67.88608474051358,C,A,D,A,B,0
No,1.1710947976375594,A,-2.58657554762659,200.92524734184684,65.751403038529,B,-22.215900385881156,-88.17778735925937,12.940977831088835,A,A,E,D,D,1
Non-Veteran,-0.02353856199690118,A,54.3845270205564,-19.745798953481255,28.88793190312119,D,122.13422441164087,-29.14045421850251,-28.14420225693776,D,E,B,E,B,0
Yes,-12.63108797476032,A,-24.059394037020983,48.92629116674281,-156.64004086402716,B,-186.84946018883258,-66.5581377567911,-35.45202226985499,B,C,C,E,E,1
Non-Veteran,153.38534423797014,D,81.77926015359137,181.26142300278673,0.8298558108491058,C,36.148534473973605,-107.81299696433884,75.03907408261344,E,A,B,C,C,1
Veteran,-49.44994302944149,A,-70.02921054005539,54.4269994373361,73.5276214291933,A,5.223941539234365,48.72732607966307,-30.516228905854735,A,B,B,D,D,1
No,-16.97595603981682,E,-75.25161456308055,-192.3953029180294,14.464342400408087,D,21.85472669506221,86.3386494020366,118.89197317489293,B,A,E,E,C,1
Non-Veteran,-51.8177693712582,B,64.92249279846135,146.59905946872422,-148.84098018597263,E,52.07562510033302,18.476500730170812,116.76858229283327,D,A,C,C,A,0
Yes,86.98749394052307,B,57.06243606316674,187.11328448362048,-70.56523409644532,C,131.31137032439378,-89.31313980457922,164.80843724957558,D,A,B,D,C,0
Yes,-18.523485144660732,B,-135.82448292094372,65.68631006349796,127.5002689568411,D,-34.90430581121761,-65.75428263720269,-99.48098194520834,D,E,A,B,C,0
Non-Veteran,-176.43260496144794,D,-15.567284044065788,14.262814927055953,-129.63129205505788,C,27.858396352851827,-99.1864662642817,51.850915847653624,E,E,D,A,C,0
Veteran,40.92946622584036,D,147.66320761819932,57.73357826468987,21.89980964003632,A,68.96024753029852,53.80083041864204,116.12663176521485,A,B,C,A,D,1
Non-Veteran,32.50473782844735,E,-81.72345491815085,8.867277295895738,9.380012873812332,A,-94.95346710496639,-22.58075870755094,169.02127571439172,D,C,B,E,E,1
No,-10.54958278108877,B,34.431044788155646,-65.82724201194722,-66.4649848485821,A,75.00509481925488,-161.8926438918195,42.37450203689904,D,E,A,E,E,0
Non-Veteran,-50.635165422827896,A,-85.36146168561199,102.74258464983407,47.31062790117741,D,-276.1064361027732,38.97292566534393,-21.210504261847877,A,B,E,B,E,0
No,53.534577928768435,B,48.48622533527496,20.61213366177078,19.994749616060453,D,-74.11003316558092,-130.81799578554362,-22.3830452116204,D,B,A,E,B,1
No,-51.27052769024909,A,-160.75709200662553,-58.65561051545253,180.0622997028694,C,20.712043654077174,-59.12609426636667,148.74103062950752,C,B,E,C,E,0
Yes,76.38794253451351,A,-41.998486065171875,45.25092292401945,-64.79558666444089,C,-192.87578573753404,105.1086882145434,27.961016448194155,E,E,B,C,B,1
Veteran,76.47705028943868,E,56.450217471349454,48.12547768273671,13.828638551995983,A,-69.46637812789123,15.37258291384627,-323.66117998386494,B,D,B,E,A,0
No,57.38691355410938,D,161.9439769209165,-58.61432013794289,-59.92687323641619,A,8.368977414784247,74.22702323918587,46.534288066550076,E,E,A,C,A,1
No,39.07490350737074,E,-45.344491299197706,60.3661277940838,161.77202356687945,C,37.42627087230729,3.0470465078610567,10.37499969797481,B,D,B,B,A,1
Yes,196.9853978062887,C,10.51233436297597,89.9650131752398,-11.301799067322483,C,-33.62238718645709,87.78206527117872,-217.2326810258102,D,E,D,E,E,0
Non-Veteran,-126.20655688551896,B,161.90322650922997,-1.9263173393198236,-111.78199124761451,E,194.0447188119709,-30.446369910101318,-25.264755645413533,B,D,E,C,C,1
Veteran,-137.5811398856086,E,-64.80831105108291,62.68728914172853,-84.63046055970835,A,-227.31168756599573,123.42416506445326,5.931112522504237,B,C,E,B,E,1
No,64.30318777633508,B,-147.11667382901334,247.5860480857505,-53.21230153808166,D,92.68633629168451,-53.703960783072816,-125.62959887055447,A,C,B,D,D,0
Yes,-49.3211556381234,E,133.1299058568373,-68.43792481613536,129.6784196405413,C,-30.081648871314687,-14.742676665251441,-24.952506339229302,E,C,E,D,A,1
Yes,-61.716661182361165,C,59.547509199509626,64.89551850762064,-117.10895559797063,C,14.725409191875604,9.501076250489293,-20.127716728934807,C,A,D,A,A,0
Non-Veteran,84.81152422152621,E,-36.3900825510478,56.017470005345736,-21.760801160565478,A,21.202756068217116,89.39858538767453,103.32189991030218,B,A,A,B,C,0
Veteran,1.2028213807255317,C,-48.36279531299605,-14.160768762355486,-25.533956856327038,C,-33.9639603080766,71.02846055610195,17.740237270531978,C,B,A,A,A,0
Non-Veteran,75.85977767547053,A,-46.95600907222216,-11.479682054810075,-96.84038610971456,D,8.648453043318323,-63.21280273876728,-147.06731961756836,E,E,E,D,E,1
Yes,81.6357292702739,B,-28.611383883548562,-16.465423843561915,-49.38669656854879,E,87.51736481342755,-13.860812215313642,-62.20927282233318,B,A,D,A,C,0
Yes,-61.45654763921205,E,-110.81357533095965,-113.59377842902931,17.98185248258481,D,-26.145340499161524,-22.737472951131252,-74.60835931345076,B,D,B,C,A,0
No,92.3089412837795,A,-142.36563097811987,-52.813385325300786,52.84442619228206,D,7.570346727939496,-9.856058443549259,-40.21292593816875,E,A,C,D,E,0
No,80.43001947296177,D,-78.47386911294461,28.90829221752299,-31.91840048739161,A,89.96540556582076,89.33672806548998,27.224117588720482,D,E,B,D,E,1
No,13.04489198552522,C,16.474968168370648,154.0786853791656,20.232585521474793,C,136.6338184768832,-153.18800843854322,-174.79412907203863,A,D,A,B,A,1
Non-Veteran,-157.47737967072368,D,-12.783490587298136,16.71246513029308,-50.25583229136211,C,29.32727439987261,-59.083542147290544,-108.30678739964092,E,B,A,C,B,1
Yes,58.78409310518915,D,143.36896659334923,-106.64234712050514,2.773137620069765,D,-15.784805780179639,-18.113285666432517,-33.499285154116976,C,E,B,B,E,1
Yes,-186.9226085983958,A,11.248775640770763,86.55693421341799,90.06603391168443,D,33.50636481328954,34.7705250700457,11.723277161055508,B,B,A,E,E,1
No,-0.23683307541208098,E,96.58420331823343,-61.676354288688074,-155.2354071563095,A,-85.64974824138821,118.42087939633603,-70.67484430358573,A,D,C,A,C,1
Yes,-8.289927544397024,D,-22.432364613388206,-7.872288660919373,42.188735498592536,A,12.248082344175101,-118.51117934840593,-72.54533220835822,A,C,B,D,E,1
Yes,-16.12126843388663,D,14.593634701018383,85.28404960354241,-97.7249331274798,D,62.69482703096331,-20.332315538854765,-19.486104226644095,A,C,E,C,B,0
Non-Veteran,-74.2145628293989,B,25.3180793818436,119.81068139927365,-93.11830614060256,D,78.90747515210103,91.90838651046523,31.39985898642224,E,D,D,B,A,1
Non-Veteran,36.42971937659438,E,-21.543873790512684,-160.70119403029992,-61.41059321619298,D,-99.47609314952334,-62.64577344366257,-49.49298318234128,A,C,B,A,A,1
Veteran,-54.23115500507867,A,194.71946602141233,-131.73354455624863,3.1895314561956356,C,-173.4664533409874,50.172925064892304,134.9287832259014,A,B,A,D,C,0
Non-Veteran,95.35835877271062,B,113.3658272829194,-25.17969662559106,88.14410943545596,B,-135.88449755551042,168.61362363427827,-191.96042210592748,B,E,B,E,C,1
Yes,-35.01513234454394,E,-148.77216252922014,34.300669874381065,176.05674691823629,A,-16.44082204721321,178.76202886013024,9.608351472407747,E,E,A,A,B,0
Yes,111.35184565924637,B,78.21117714207395,-106.15788256901344,103.71341123354401,A,-166.40902554733458,168.50742691071977,-32.840957325176376,E,C,E,C,C,0
No,50.28530140145976,D,-34.627229119730885,-135.62040249787023,220.34231137219157,A,-17.635698507912476,40.35828463004229,63.666188961215475,A,D,A,E,A,1
Yes,129.7665966566123,E,18.809278930150874,128.38621349146376,-56.20670039168243,C,60.99339504359277,87.07631266907528,-35.55581827709835,D,B,C,B,B,0
No,128.88344846789082,C,-31.358841257440595,1.6048455150800642,187.9178960006277,B,-19.729787169451114,-162.07515003156624,10.616893929255106,D,C,A,A,A,1
Non-Veteran,37.12738006194822,A,-19.087101116045208,94.20420935394355,-51.277465140606225,C,-16.736695401110886,142.2308908347319,27.132348420062435,E,E,C,B,B,0
Yes,-127.8454735092494,E,18.60241217486969,105.98095932032139,142.01932600179555,C,82.53740732235421,40.04832832781118,133.5660990799236,A,D,B,E,E,0
Veteran,-182.89990676450734,C,-133.89054025850984,51.641772260424624,7.04023370093265,E,245.99276305720372,-264.8640258256469,-257.81409839120874,E,E,C,E,A,1
No,-54.20380005958063,D,37.74283638454127,28.81244125083343,1.935155062142457,E,35.66029197009598,213.5342245486958,23.165823231781115,C,D,A,E,D,1
Non-Veteran,7.885893498590521,C,199.3494195855806,-30.77151475396623,133.06164093810133,D,-48.03848313003922,-116.53497403533044,45.24527127625903,A,E,D,C,D,0
Non-Veteran,45.49421599281138,C,-27.80961142468182,-167.8326071350036,-31.237517207245197,E,82.09041950096707,-110.61061843921824,-27.737595885512984,A,E,A,A,C,0
Veteran,-103.88601502639733,C,-25.87187416073245,-184.04558691818877,17.128214974389323,E,-6.645799830920001,-101.58110503899121,-38.62537955741573,C,C,B,E,E,1
No,-160.89923054818152,C,60.55523547926636,-214.5428586025198,76.8377907387158,E,-14.565897323598106,-86.40886829712166,52.759111749565626,D,D,C,D,C,1
Veteran,-171.70672662760185,A,7.392922004308669,59.39061112777576,-132.5915379836206,C,-80.2569143245791,-37.541525298608214,92.47140939380029,D,E,B,C,B,0
Non-Veteran,65.8467414737634,D,86.06391397685712,50.183761687512565,55.92015139772576,A,62.36192436706529,78.41689040976728,-22.596665337883728,D,A,C,B,A,1
Non-Veteran,40.96266339566713,C,-18.905802992596815,-185.66018060200872,-7.2222110419958,D,258.4115630294935,53.59547426004754,74.95915173851712,C,D,E,E,A,1
No,68.81924599527775,C,-100.84063226410298,93.63108105804683,105.14128772745114,E,-8.512090306181227,-10.951037765255439,-69.0710463011897,E,B,B,B,A,0
Yes,-22.28438322457173,C,-31.32750470928418,46.91600565439097,-104.73611240534429,B,46.355980862569645,-83.97845474806877,93.93525013191756,B,B,B,D,C,1
Veteran,-33.13566679861764,D,-57.238477195827834,25.127272523440404,94.3092050840555,B,-46.851496618842056,11.649520869652875,201.71567075688563,B,A,E,A,B,1
Non-Veteran,-84.20849955361331,E,-93.74349978141232,169.90564085264728,-59.491235846329445,A,24.179330515991577,-106.15632244405342,-187.55887173364087,D,E,E,E,E,1
No,-204.34239752249138,C,-56.263389921720716,-74.98266034520722,-162.52057453599812,E,-18.599925797074185,-99.74137060586713,50.47760258957537,A,C,C,A,B,1
Veteran,-25.529454141049413,E,46.7101839929154,61.1525563914048,-242.6038902715966,C,-28.11790413793842,-5.772792301272284,-151.84849255455276,A,A,B,A,E,1
Non-Veteran,254.091884333381,A,23.561573990333624,-88.73043515389789,10.14756916052999,D,44.33676769906143,21.878959605733627,-17.64166443502242,A,B,D,D,D,0
Non-Veteran,141.5957382937897,B,153.86478287509763,31.324273915217933,81.275295665449,C,-1.1563389770628196,-29.806564862245022,96.0393292075431,B,E,B,E,A,1
Non-Veteran,88.41464076092203,D,76.99408887340307,-12.553324149671674,-56.45353853709199,C,69.9267061015801,-98.95338240624245,-136.2680591606441,C,A,A,A,C,1
Non-Veteran,132.5311840619044,D,-45.24542238359314,-41.837540685563724,126.35555263393448,D,137.29452191476494,-173.50849046166198,128.45137321256772,D,E,A,B,C,0
Veteran,-83.97894693286626,A,-86.34397496759732,50.67037090688672,119.35506921667935,B,103.03170011975809,-38.17659037104623,54.59320596900451,D,C,B,D,B,1
No,-104.13397009320863,B,75.02883718444176,139.5405682823521,117.80827252889885,C,-30.195211411597768,70.08730294258052,-40.1927768210958,B,A,E,B,B,0
Yes,-78.05559666523227,B,-158.72155513832,-164.3480592511227,-47.87932425614992,D,162.08971754185194,9.108020874352132,-270.23770549783126,C,B,D,B,C,0
Non-Veteran,276.7510661920587,B,100.81524379285749,-89.73741544336356,78.12445434676054,B,70.04825979698299,1.5301287835772706,-120.26667352095251,E,D,E,C,E,1
No,70.80062801057817,E,-228.59008621734853,-231.46312662397537,48.0107213151302,E,15.872723231690996,49.73222881850996,158.29778326218135,A,D,A,C,E,0
Yes,66.84395079384717,B,-121.74778463392104,40.793934172791865,-68.52043371362988,B,46.244631389801036,-3.5585482663900727,135.86819772891644,B,E,A,A,C,1
No,-103.48541850197579,D,-50.124925224558424,-19.225664214704654,-207.73826511034153,B,42.037808543094414,60.465241208987095,18.894926440060146,B,B,A,C,A,1
Veteran,68.56051569968203,D,116.15992346358979,121.19250680132912,37.21520907287972,D,52.50290488933702,157.19920883045356,-138.06624527422102,A,E,A,E,C,0
Non-Veteran,-238.0618837125231,A,-20.33252244261195,-211.0344989687293,-87.4014992095697,E,103.87431927036349,-17.32211335011405,150.6973521332709,A,B,D,E,E,0
No,-68.77143717524687,E,127.18310670140225,115.90904585023874,-65.40367973816382,C,8.941720987175358,107.95000926167586,-32.76275971010657,E,D,B,B,C,1
Non-Veteran,-70.15409647401901,A,-161.91401329618742,-27.480083800451883,53.97688219880398,E,60.230712983068756,-99.26496214534022,121.54381496762281,B,B,A,D,A,1
Non-Veteran,127.1139533254999,D,-105.69112915934404,82.22812128023546,-185.37283128029165,B,-8.010682441917371,-84.66536748009811,-39.777971796043474,D,E,D,E,A,1
No,-38.5137608126603,E,66.16900589714858,-13.346087705276252,4.238366304807351,B,-211.10123385528357,-149.09215708216868,5.590995873859049,C,A,A,C,D,1
Yes,17.514156399982447,C,-142.67625989613856,-355.4859857147874,5.156658128692336,C,12.458445910637476,-39.38592926237388,2.660732646612992,E,D,C,E,E,0
Veteran,3.537336104982796,B,6.71862901134746,92.25425814218839,-41.04897526115385,C,95.92702858061925,-17.85372557266984,-237.87764975022583,A,D,B,E,D,1
Veteran,-33.038298216001344,A,54.485985508083616,-102.52430382190761,192.5395096771771,C,-14.101419188842357,238.90260227827494,164.16473190535302,A,E,C,E,D,1
No,-76.044883947845,B,63.932378949455405,24.34645068204854,132.38799906364594,B,40.1864731725138,-131.40062984518798,146.12024308906646,B,D,D,C,E,0
Yes,-41.30742968308835,A,-77.33625389889902,145.3405474299036,57.40803008292231,D,-19.002168718855643,19.14224524432683,-32.40413991158165,B,B,A,E,B,1
Yes,47.98151171359178,A,199.4181018713419,206.24058128615394,42.496887574904655,D,175.9547178470858,12.627151013517873,-12.55518874711567,E,B,B,D,E,1
Veteran,-39.9870339950806,A,44.325287610827154,88.01563068073608,-93.13428595687463,C,-57.07348860641209,54.72406137975862,-107.53384283636458,D,D,E,B,D,0
Non-Veteran,-110.04032999426263,D,-68.82880483649015,80.25044870717237,11.11522989030217,E,-174.13527001298897,-44.2971410242429,-140.5534765180326,A,E,E,B,C,0
Yes,-170.01179721953372,A,13.028749000533946,-182.25818852728025,60.62708117380813,E,-75.54635464065882,-156.48617789120541,-76.12051138399974,A,A,C,B,B,1
Veteran,146.72109691683534,B,-30.146066926534743,23.678116496500774,-15.74599159901988,D,-118.58651016601777,-75.13654431438987,17.743738089630245,A,E,B,C,D,1
No,-27.30143463547697,B,-160.64646114667752,33.1913818989737,-29.404031735844594,E,-35.03937043751614,35.574278561683506,-49.93451819430393,A,D,D,C,E,0
Veteran,-88.7820125896133,D,-108.12742059388316,-12.67797629422905,-198.65113848982134,C,129.04042442333207,-3.648844274734654,93.86386728711985,C,E,A,D,B,1
Non-Veteran,-38.945253185171794,A,70.7102762587209,78.84646796028467,32.13248952698001,C,-171.7336638101481,-190.7392631760241,126.23303293306805,B,E,E,B,D,0
No,22.01550360148111,A,-3.6742843027484366,-104.15344504152746,106.85544393503011,E,-53.01508308919553,58.264284978043946,83.06574937252518,A,E,E,E,D,1
Non-Veteran,8.629694014084022,E,4.855523979940101,42.3577365209695,-7.999965906015255,C,156.09787668978203,194.63231385294787,87.38860170606564,B,A,E,E,C,1
No,-29.201115736416554,C,-168.89743994172653,72.5004444840595,143.34885796933509,A,-117.00508586008924,6.05196169507293,-75.22917118402951,E,B,B,D,D,1
No,-26.426230568361024,B,-17.89652158820516,201.00677148966142,-29.361316553053594,E,5.6803091879010985,115.98806159727614,-2.3921147374414446,D,D,E,C,D,0
Yes,-52.70065169002287,D,-93.5269394796717,-45.704638342420054,-95.86958819552646,D,-132.25087079816078,127.71853254841344,129.55980595155435,A,C,B,D,E,1
Veteran,-206.4283345460196,D,110.94841559706666,35.78517865712715,-124.12591506319298,C,45.01516767359872,-66.37100982650915,-88.32046715002987,A,A,D,E,D,0
Non-Veteran,185.36387151278038,A,29.9753151817594,-100.3100240257839,-0.09003759930938299,A,170.42700014721598,20.59571794756973,95.45455570278304,E,D,D,C,E,0
No,-191.6835802220338,A,284.23566252971153,-79.2075863027859,68.62822064797366,B,-105.59593457551648,10.369483191307395,6.5631807441998715,A,E,E,A,D,1
Yes,-24.368980709990606,C,-71.89400678855846,140.71040850081275,-89.04094833905334,E,-113.49917314224582,-38.186536859642196,76.18889540047957,D,E,C,A,A,0
Yes,196.65195243043257,C,98.86098776579848,104.26145927207688,193.56334244169943,C,-77.79915042450588,-113.45946366922502,-133.72718903315717,B,D,A,C,D,0
No,-124.90657116376869,C,22.196135943601274,-36.679284628909684,-73.18541899560603,D,17.54986774073245,41.267984075009764,81.86414935478689,B,D,C,B,A,0
Veteran,-97.41088964778355,B,97.77772682140373,-0.37707207671019405,138.16549321545725,E,-45.11361544117474,-10.743954516141248,-109.2293950607623,E,B,E,E,E,1
Non-Veteran,-108.39173268840065,A,-79.27053471676798,-116.30688224630961,8.016816870992313,E,30.241563856062033,-101.301808487844,69.12146244048674,A,C,E,D,C,1
Yes,12.907425227889547,B,-120.33221050724192,160.89345129511014,23.861688475668892,E,79.53826987056102,73.29766740921617,-136.37304362364398,E,A,C,A,A,0
Non-Veteran,155.576928173948,C,75.99476187415692,19.863113950429202,-87.46809676806657,A,282.1999124076783,331.1029726696114,-81.85108055677416,E,E,D,A,C,0
Veteran,19.888204588194526,E,-188.54335189476436,-71.13899878460468,226.85849333492314,E,-51.96666901217893,3.663213876556764,-77.75871293996333,A,C,B,A,D,0
Veteran,-34.39858715296943,B,-187.6022161808965,30.803125482257325,-105.22613739173245,C,16.507733245543406,31.165582073808796,-49.103457344089946,E,E,C,C,C,1
Veteran,29.007259451268258,C,-36.93322949346491,48.50584628674279,-101.88835775646194,A,-9.871181033152778,-217.2135854723913,-275.8395357867148,D,D,B,C,A,1
No,-69.04644036114983,A,-72.97320910450419,-28.02457547509362,54.2038605374355,D,-107.89155316513532,-57.0640774473639,-58.04640219038573,C,D,A,B,B,1
Veteran,-28.838414229284165,C,23.750813214323465,6.031884201265814,-118.57941849543683,B,197.3064672112731,-46.427688627607296,84.23902216647912,E,C,E,C,B,0
Non-Veteran,10.695721182817902,A,-86.39674892604953,-289.7569523638666,117.79442989768685,B,-115.6769696006296,140.66154801585483,-119.13865045633594,B,E,E,B,A,0
Yes,-70.54086908477981,B,-121.97777574317945,48.175591293556586,-15.304813649815664,E,-94.04192123178474,-173.92124286749583,69.11929848658941,B,A,D,A,E,1
