age_range,civil_status,Veteran,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
26-35,Widowed,No,Bisexual,C,B,-108.37010876549431,-12.042980658415537,C,E,E,-60.39025653448229,-6.784180285098372,E,42.76771977516774,E,17.629371161966624,128.94272785398644,143.66870073414378,-12.515219378950837,1
26-35,Married,Non-Veteran,Heterosexual,A,E,69.59904978943582,105.33047387469179,D,B,C,20.317722074663617,133.1913720276937,C,-197.140763408035,C,4.7554978930380205,148.83784849665525,-10.150744813650862,-66.34017998910726,1
36-50,Widowed,Yes,Heterosexual,B,A,98.54584167758188,132.43366991719634,E,A,A,63.85671084902146,-16.97132075808863,C,-174.97456767322456,D,102.89945932576057,-113.1276293507378,-51.29522370050951,29.807083833296012,1
26-35,Married,Veteran,Other,C,A,11.749155402291859,35.8844445932548,C,B,E,75.08448586532167,17.946151104348218,D,-18.12526498563064,C,68.79227611290241,-25.43827013765181,-21.34176529801425,-125.25564072331645,0
65+,Single,Yes,Other,C,C,64.53020866952647,-62.81679904007328,E,C,C,19.708302931305383,120.5303649895509,B,29.423543071262515,C,142.01545378299124,-54.29826151902778,47.91016267936273,31.907388155705966,1
51-65,Married,Yes,Heterosexual,C,B,178.38994777755738,210.33633079524142,E,C,B,137.60728420444528,-42.191482342602534,A,122.93385803142387,D,131.5298464571373,-125.61721257058478,4.591895526726935,-98.68124116590987,0
36-50,Widowed,Veteran,Heterosexual,A,C,70.1986909221671,160.5284155015119,B,D,D,-86.75725219751696,-61.03231751127929,C,-177.95496050085413,D,-79.12881144763094,92.42047302808794,-27.08175493729855,97.97264820175258,0
18-25,Single,Non-Veteran,Heterosexual,D,D,-94.82721148884316,-207.1324062442755,D,D,B,136.11308788019244,-26.47914006129493,E,-9.79890959965018,D,45.584938624557225,-69.30805164495847,-63.489156541577785,32.058928330946515,0
18-25,Married,Veteran,Heterosexual,C,A,8.27612386740713,-133.40842831779892,A,D,E,56.64567857858012,-111.58224736208776,E,123.65927348594464,C,-248.35829466805794,99.88734064396807,69.14582717843045,-4.778253928532972,1
36-50,Married,Yes,Other,E,D,-116.35150352868966,7.64920595713077,B,E,D,-68.3894525883825,-60.637138629672705,B,-12.508801061406565,D,7.418803799199152,101.2179344720993,-43.88058381706911,69.4877084881769,1
51-65,Married,Non-Veteran,Heterosexual,C,E,-25.312653975680373,-244.7581840018544,E,C,A,-66.731706898087,21.814009937956754,C,-78.1886563471096,A,-54.03474366343356,46.674059603491216,13.313553243011519,-105.6071740472879,1
26-35,Widowed,Non-Veteran,Other,E,C,-9.900552742030056,-104.81696073540674,D,B,C,-214.90507817567078,-110.95474559424619,E,-229.0759830518474,D,61.188144119372865,-150.34665891033194,-139.1719953606552,132.6177697461421,0
36-50,Married,No,Homosexual,A,D,-219.5067343103966,138.40966036540993,E,E,A,145.20146000481756,-24.055290184799663,B,29.941970276927893,C,61.21290700063089,48.73803685298533,154.52986162860805,-151.15507432363978,0
18-25,Divorced,Non-Veteran,Homosexual,A,B,-7.340258929570655,127.30352077675835,B,A,A,-132.99979427353583,-14.371071405176721,D,-87.10342815329376,C,172.81671762672747,2.0224597363688352,148.1746701327401,-55.53108734368095,0
26-35,Single,Non-Veteran,Heterosexual,C,D,23.45013611833354,-195.08880932989817,D,A,D,-91.33311540880825,83.47792705696813,A,-46.596280490039256,B,-7.225903154627858,-147.0757358528989,8.941168494290023,-44.865330267921365,1
65+,Divorced,Non-Veteran,Other,C,D,37.92073024606943,48.45778220108484,A,B,E,-85.24315698153251,-78.25026032759806,D,98.03534667774728,A,-136.01085751542834,78.59339504311102,51.16628193838484,2.511060513902873,0
65+,Single,Veteran,Bisexual,C,B,-28.391502861178598,70.293579218297,E,C,B,143.61206891673854,38.26388986756732,C,268.6088216595799,E,47.97644686695596,-85.89826966013354,-157.7816861695915,-67.26276836050975,1
51-65,Married,Veteran,Heterosexual,D,D,155.97231557965796,-48.67744591287661,A,D,D,-252.86168582043328,-30.26549065522857,A,-12.800916539844401,D,81.42498969970686,86.27380502326768,-7.588622462859441,60.60635997884333,1
18-25,Widowed,Yes,Heterosexual,E,E,-66.1224421016474,13.566173094734859,B,B,C,-95.85097302288915,123.38890369563076,A,-99.1720638353388,C,21.965280364756282,-22.714090312522643,5.717554305578328,-200.22587175840917,1
65+,Single,No,Homosexual,A,E,190.10639253568476,-144.13266668533942,B,C,C,178.545552915723,-108.4997979544301,A,-156.56826730890967,B,-82.27893778789965,15.261275737474428,126.07979186652656,111.06583691669034,1
36-50,Married,Yes,Homosexual,A,A,10.842243262564551,-28.26965199969293,A,A,C,-86.73871315651137,-83.02641928085582,B,-1.2690616856267873,D,80.23898562481781,-55.83866074160828,-114.07198104454525,50.238817132709656,1
26-35,Divorced,No,Heterosexual,D,B,-46.84844578112429,32.179725878328455,C,B,E,-33.53455057078944,104.77941185848994,A,-8.200976163115845,E,-79.99303075697,-104.62139099855925,-111.91474965975776,188.95817254261578,1
36-50,Single,Non-Veteran,Other,D,B,33.79633039582858,120.68948162067248,B,E,A,89.88974558861716,-194.81548200234826,C,92.23570084068162,D,57.64466141180269,42.48640401162454,-84.08704185295886,-6.176449036280305,1
36-50,Divorced,Non-Veteran,Homosexual,E,E,-35.576494268860955,-117.8697173217748,E,D,D,57.21095440449664,86.75533681644974,A,-100.02422403501885,D,-1.0362039215810894,33.042841731260154,-97.60136961546587,-68.5707968073509,0
65+,Divorced,Yes,Heterosexual,C,A,-119.96456719256436,43.558540685615974,E,D,A,-98.01030263445847,67.35893588053752,A,-65.87380198381072,B,30.929796080379223,-18.624128119553852,26.120045133864057,67.6625323583728,0
36-50,Married,Yes,Homosexual,E,E,-18.296463221667075,-100.5534973294836,B,B,A,-46.1873546684048,125.74907455032785,E,43.89207683013578,C,-118.18588875924827,48.95192616639977,99.96012357464245,-58.837776717500134,1
26-35,Single,No,Bisexual,A,E,-107.87427032479184,101.53666362446552,D,B,A,65.70797216835854,-71.90166123533461,B,-79.5684342032019,E,-41.59980050956112,86.74188167423952,-46.16439193836456,154.80372647735902,1
18-25,Married,Non-Veteran,Other,A,A,-207.62969863240954,66.60144080772199,D,B,A,-174.33188755284291,112.50225921783516,A,-99.4292283586256,C,-66.6007275011274,101.53580499178996,133.97403682183716,62.82782554612828,1
26-35,Divorced,Non-Veteran,Bisexual,A,C,37.37732087162551,8.470127915784023,A,E,C,-107.63775714661728,-80.28763790926463,B,57.56759075478969,D,-127.79172368390752,-116.25978675868795,211.62394685600597,-90.49686204946565,1
18-25,Divorced,No,Other,C,C,39.853211117738965,38.13095312635603,A,D,B,-194.56669494629213,86.136231322513,E,85.99120210827849,B,-84.35208347330952,-44.894464995126306,79.00007124695786,54.51112019110895,0
18-25,Single,Non-Veteran,Heterosexual,A,E,177.1563369252099,238.24241526909353,E,D,C,152.27459627005047,-162.31229448875635,D,-35.07492822706625,D,127.4190298450756,48.888450515347195,-2.112741777840913,75.59570010867817,1
26-35,Single,Yes,Bisexual,A,B,1.134211966584945,28.401968600427622,E,D,B,101.82587241431249,-126.84041672144974,E,1.2338633974899578,B,-145.35871183126113,-151.0015211857537,-53.8467978073475,173.71284247626542,1
18-25,Married,Yes,Other,E,D,-153.8559223813919,121.22810206572858,A,E,B,102.3221821856879,143.12801979653645,B,-97.7656655586555,D,-97.95268553136563,13.135064364439211,128.7221999493489,-144.1319301755555,0
51-65,Widowed,Yes,Bisexual,E,C,-24.975745037242376,183.07809206649787,B,B,B,-9.700747909321418,12.525507308551271,D,-163.37359618764236,C,-120.72952647242003,-41.99583313139053,-189.49185893178392,-1.4383932280841119,0
18-25,Divorced,Non-Veteran,Homosexual,A,D,100.32475628242057,34.270393878544496,C,A,D,-3.6406264742364045,144.35584608285436,A,-0.25234777997205315,A,34.856267753149716,8.293806039410335,-52.32105841856929,-19.727178754349193,1
26-35,Widowed,Non-Veteran,Heterosexual,B,A,-68.87004232445176,113.1388445741725,B,A,C,-45.39378851473868,2.524399448432937,E,-169.6785292150453,E,-144.75907586859907,-23.491719973558318,-72.70699400119639,-98.43771636855507,1
18-25,Widowed,Veteran,Heterosexual,D,C,-105.87785103226419,88.33311337374363,A,A,D,-148.2750501927972,-213.31769511707995,B,128.35461115210444,C,-78.94321328277732,-87.39468090873679,140.68157277985023,-31.93670775684177,0
18-25,Single,Veteran,Other,E,D,115.53794707145211,129.5312966598154,C,D,C,-89.04745055940924,42.65146611550535,B,-12.029874015918908,A,-132.26877503812668,37.420894600817554,49.95772222140799,61.487284517375016,0
65+,Single,Non-Veteran,Heterosexual,B,A,-12.325285766865742,-140.00372898058896,A,A,B,-48.313731930976026,-38.30861017941579,C,9.39524625503846,A,-187.31803545115636,2.4522746081317273,-57.806452096685646,-20.168672896326093,1
18-25,Widowed,No,Heterosexual,D,C,56.02039663988892,31.696415988871284,C,B,E,-24.4209165428452,-224.64729195498774,E,114.47976806353961,D,0.6960726459432179,169.3380180945736,162.64479811425005,98.97934848365631,1
51-65,Single,Veteran,Heterosexual,A,B,40.16013223346499,-86.16972042545869,B,D,C,-54.13208463643491,-6.045577379675813,C,133.76689190793485,B,97.05660497761997,-88.15136170146386,-51.71569270562851,55.23748906609966,1
36-50,Widowed,No,Homosexual,C,D,-2.6643400269183464,153.42386728018312,D,C,D,-227.99704837313294,-39.99414507870851,D,4.4811478730666074,D,-146.73815865298556,-107.4883404672016,134.064097617388,-182.23507956512003,1
36-50,Divorced,Veteran,Other,E,B,-115.55886302881402,-124.62453469108104,E,D,B,-78.44450778566366,-58.18301877537656,E,106.49716553957738,E,-93.30319140751254,133.11313342760275,-13.86946573088996,26.649666799604493,0
18-25,Widowed,Yes,Other,A,D,76.77448546812712,108.51559397043185,D,C,A,-9.863891121406168,94.69831678377939,A,-65.72197139324672,B,-167.11397861262168,204.41218290062534,10.645820933408773,-110.858752986757,0
65+,Widowed,Yes,Heterosexual,C,B,201.25343523246607,-69.56530312575256,B,D,C,-57.403522993185774,-6.14891337669647,C,197.81584126886855,C,-129.30563751597458,-83.3865800654213,158.69757617746504,24.93237789848318,0
65+,Divorced,Non-Veteran,Homosexual,C,C,-124.53773911001566,98.91423357005554,B,E,B,-142.4315242749972,-35.330329001965396,A,54.13202013190745,E,-106.64196542431822,-46.96695616960941,68.30962860618037,-164.01415247470828,0
18-25,Widowed,Yes,Heterosexual,B,A,30.22190534551853,-49.18675819642196,E,A,D,33.07175726879174,17.132885814405448,C,112.3820873187799,A,153.89861837336832,-235.4268498795346,-96.53097101059694,-146.08525548050886,1
65+,Single,No,Other,A,D,82.49820186590267,-89.2325988544437,E,A,C,-149.2347508132156,-89.33659782154011,C,120.26141461022422,C,51.57524725685931,66.25831866325652,-69.8543093457515,58.724564494379315,0
26-35,Widowed,Non-Veteran,Other,A,D,-82.64951611123398,-28.556801529503417,E,C,B,-18.08514518002528,-44.68242385974804,A,66.26719219022668,A,123.31436729462072,-22.054520264429236,-39.52765339874714,207.07322407879096,1
65+,Single,Non-Veteran,Homosexual,D,B,14.795636609208648,-107.1598536780892,A,D,E,4.305335297498087,-66.58298802242484,B,191.35962120662552,A,-45.39855446917604,-55.07911209087406,-36.118273563849854,149.51560567797836,1
18-25,Widowed,Non-Veteran,Bisexual,B,D,-166.76859534708436,-139.27818611087702,D,D,E,122.60004428713971,114.63283932439255,E,-45.79755280740673,B,41.404430973582265,104.24646918877947,-101.24420844247955,-38.16764935550289,1
36-50,Married,Yes,Heterosexual,D,A,-51.01697015708959,32.90828370967289,B,B,B,-146.13421024865693,111.48918326023782,C,-2.3391058907816165,E,-167.75396301737257,79.15250531619483,22.600108262433277,30.513585552519057,0
26-35,Single,Yes,Bisexual,D,D,-48.43628461884951,2.0835331655839084,B,A,A,0.03664493716711018,-7.70749331800559,E,-29.032773397058026,C,11.892790747137036,-51.4643720151842,112.84388350031402,-35.888657113699395,0
51-65,Divorced,Veteran,Other,E,E,-110.63616019493358,43.352417244546,A,C,E,85.14949023243992,223.21189592753018,B,-30.692738161646783,B,100.01255149682133,-50.6057167783101,53.410550381038355,-163.27488503037875,0
26-35,Widowed,Veteran,Other,B,A,18.340550793540018,117.11914409597772,A,B,E,79.59969639906387,119.4221965627529,E,122.5614040886964,D,40.73029650316569,-56.13770974860648,135.15946260159623,-88.18686302439416,1
18-25,Single,Non-Veteran,Homosexual,D,E,-174.8835959973355,-28.341419859936963,B,B,B,-60.6945316696377,-6.985891118103882,D,-170.77621430890582,D,29.835396932422668,139.22243827473451,120.11343816844555,36.64750777972385,0
18-25,Married,Non-Veteran,Homosexual,C,D,40.48136240526997,88.86814194035686,A,B,E,-307.5320471054349,-45.31301742072208,C,-47.549187710346466,D,70.06343128128253,161.73284391679206,-45.67916279960667,4.893933022434807,1
18-25,Married,No,Other,A,D,-11.344136793879356,236.38274237799072,B,A,B,-89.69496749740054,-91.75459393306528,B,45.991942053555725,A,-92.005429976424,-45.39082058382,-72.31956237535138,91.3353691275095,1
26-35,Divorced,No,Homosexual,E,B,24.458862727822826,51.01099679340564,D,A,D,-8.396724667231316,-59.513432145448796,B,-76.76835458347051,E,-124.0426118590765,-41.13736100206024,160.8137740777362,-100.69184309249735,0
51-65,Single,No,Bisexual,E,D,-212.05237235233736,190.46852569428867,B,B,C,89.29302812671685,-127.72426182011513,A,111.16595434573145,C,77.22814611261292,45.396955033185485,6.006846404337388,-81.06256665946472,1
26-35,Divorced,Non-Veteran,Other,E,D,114.61053079757212,-144.55490121471743,D,C,D,56.38569058127146,74.6078388165772,A,109.18927346291657,A,30.803278507754843,-90.47683989650493,-209.89215616564246,36.90575465070726,1
65+,Single,Veteran,Bisexual,C,B,-19.00551220943919,-61.91261378630071,A,D,D,-114.22674006942913,94.18635735576233,B,-165.63842121115795,D,-133.93644440186583,-44.14753429935629,51.87449412226327,47.430559346280006,1
36-50,Single,Veteran,Heterosexual,D,B,48.79103917638791,-67.59790594921292,C,C,B,-142.80399525914277,-8.762629835468413,C,-133.2647148765424,E,-13.454487437945255,-99.16514607211944,-98.36479682545712,-53.11303247837558,0
51-65,Married,Veteran,Bisexual,E,D,47.37584662258729,-0.7989230997329323,D,E,B,-1.8812784301999397,-9.054890276712213,B,-59.1786405006446,B,-129.51652430258835,109.4343591370327,-35.82765973759348,-70.78998112603948,1
51-65,Widowed,No,Heterosexual,D,B,34.9561097549544,-128.0280946409345,A,A,B,115.34168575656338,-201.17025605220226,C,-21.053961971862307,D,37.018113594715295,-11.265264055181968,-83.05357630349576,-172.7931033516095,1
26-35,Divorced,Non-Veteran,Bisexual,B,E,-86.13642802471493,-26.12418863924883,C,B,A,-31.556367644470413,5.928765231635342,E,-141.19853322370838,C,-27.950678867790497,0.22281230277318465,139.5650306205836,-123.22424309517817,0
51-65,Single,Non-Veteran,Other,B,D,99.39090318319309,49.17824891550892,E,C,E,-3.777486017570564,102.24205290127277,D,100.8880122004266,D,-66.94654051431652,93.13225380059878,102.7984367240863,170.22063318978647,1
18-25,Single,Veteran,Other,A,A,-68.59745203622849,-102.77705272883277,E,D,B,144.44917793585475,59.58650291243652,D,58.89217259823775,B,-175.53695202131584,-60.252721164087234,39.65022066949512,62.24262064292895,1
36-50,Single,Non-Veteran,Other,A,A,32.42089089968403,11.758487683825274,C,A,B,0.5831469929221348,199.8347383474021,E,68.05371825675806,D,38.27448614049635,-48.08623640996193,202.3589817828659,31.82220271256595,0
26-35,Married,Non-Veteran,Heterosexual,A,C,142.7874558586921,78.21340888506711,C,D,C,33.48498690592335,-9.700377635159118,D,78.13986460656116,A,102.44476832600617,-26.985301301677232,54.04772146457007,93.73050321208586,0
18-25,Single,Yes,Heterosexual,C,C,-148.42917624303553,-192.90133796713732,C,C,C,114.3557958244992,-246.3293216226697,E,39.06483027810351,D,34.39595000425445,-8.09490105920446,213.5576717832409,64.93670477873236,1
26-35,Single,Yes,Other,A,C,-49.36515965674453,-11.105148601375243,A,E,B,56.36056835959401,182.7033697380754,D,-91.87350770572775,B,21.42633375921373,-57.84331245755639,-105.06691423963777,23.783017762142787,1
51-65,Single,No,Bisexual,B,E,-37.99654754254902,-86.35665913269804,C,A,E,37.00661701396879,-97.81412688442043,C,-216.54903371206956,E,136.2596115596135,23.820480134582795,51.16951936222641,-47.29863964957175,0
26-35,Widowed,Non-Veteran,Homosexual,C,A,-61.282113362888026,-118.92098808450544,A,D,C,-52.01663585063234,-150.33052182219296,B,-86.77385389338592,A,-70.35508984816195,-252.50168867326775,-90.36742344786478,35.33616451878808,0
18-25,Divorced,Yes,Other,A,C,-101.84620993018689,-72.31731964231288,C,C,A,-129.55573394030307,89.4033958535801,C,16.210942689626222,B,-124.75767708819654,57.17446095560567,-44.06032632806153,136.1491419597645,0
65+,Widowed,Yes,Homosexual,B,D,33.920498938642524,99.46900098392223,B,D,E,36.87440680896868,-134.44262734289504,A,-4.892442971066377,B,-27.74276281711941,-17.50887465586957,50.79464535718766,-212.80451059629274,1
65+,Divorced,Veteran,Bisexual,A,C,75.84939419211659,-19.446149980041795,A,E,E,3.019593805741531,-93.251230009019,A,100.53990583641652,D,-149.8616326024333,8.682199478560515,-49.14487547861771,95.52275105973746,1
65+,Widowed,Yes,Heterosexual,E,C,-49.94306200856387,-135.94649417207228,B,B,B,-156.71140652003257,102.91001788941827,C,140.00238319217684,E,8.845021652925467,-48.09749721757985,-85.39495168010546,-287.9408651532467,1
36-50,Married,Non-Veteran,Bisexual,D,D,90.45800300659825,-89.25300011874238,C,D,B,104.77966200102267,15.40838301604289,E,-17.59019683360379,D,-143.2456239345999,-41.92054061820008,-12.078120049352222,88.10469227732422,1
51-65,Married,No,Homosexual,A,A,104.59632106724477,-12.407246467939547,A,C,E,25.680713143587536,120.76197620938056,B,16.178583005804718,A,-62.919810262903106,-90.985816379,-13.237376937170708,29.739070660224982,0
65+,Widowed,Veteran,Bisexual,A,C,-39.81291586559449,44.29614290385609,D,E,C,169.68585033507966,-60.18021871917739,C,-98.13085268654052,E,-49.929737783378705,-44.00470581842093,-100.3641356082228,-61.3524449133871,1
26-35,Divorced,Veteran,Heterosexual,D,E,2.413492126516706,156.4257194476631,A,A,C,115.06018086565557,17.285870907100602,B,-92.75475952062612,C,-122.49958405398789,146.5283378732473,83.29743774301889,96.5211736337997,1
51-65,Married,Non-Veteran,Bisexual,B,E,-29.804007972714047,21.890374168222337,E,A,B,243.18232988163513,86.9887635717527,D,1.6490812347137735,C,38.00454515157378,-91.93338425846771,-208.88917551337136,-38.3082229837659,0
26-35,Married,No,Homosexual,E,D,-42.37056658987275,-98.66149146011239,E,B,D,-68.2942321295163,26.023712607980553,B,-26.81359786141673,D,-4.069531176304452,-44.867352179074246,-117.7052305857577,53.40243197502389,1
26-35,Widowed,No,Other,B,D,41.99973041454201,38.719877428789204,C,E,A,12.449724224627575,-1.9886280530585707,A,69.06594325440727,D,20.870689545066494,43.84765942831304,-60.099386684780754,25.147753344090212,1
26-35,Married,Non-Veteran,Other,A,B,-89.65385852692779,58.529128628719306,B,E,C,57.448568903976536,-95.67651536059,C,31.40959675593999,A,196.91298979681312,-6.158298043154564,-31.129471583804474,-83.32654582212491,0
26-35,Widowed,No,Homosexual,C,B,-108.51322013726204,-75.60724593944792,B,D,E,102.65262078283739,-77.27711113994725,D,-144.2052955788062,B,-111.67724187483618,-121.07592741582718,19.616443252511118,-113.03306105848394,0
26-35,Single,Veteran,Bisexual,E,A,282.88182543684877,78.24828767871448,D,A,C,-9.960525495695256,132.74640552019864,A,-18.61840356841391,A,-150.92992405920475,34.62454898431264,-129.30572988517181,-165.96743468693057,0
26-35,Married,Yes,Homosexual,E,A,174.89183893846115,99.43923957486639,A,C,E,-104.06985366351194,57.46543018348702,C,37.60870801273087,D,-119.00265151239165,43.326071411205746,-96.76097446565947,171.3960941735704,0
51-65,Widowed,Non-Veteran,Other,E,A,169.9810835901966,-99.23634259922584,C,C,A,-10.256107755525107,351.3730370415067,C,-13.070381705144648,C,45.058526589170775,48.23066170180358,-147.94752852518855,11.487640946917132,0
36-50,Widowed,No,Homosexual,B,A,0.766849533113194,-125.19335678306743,B,D,B,-60.77250773503986,12.664608715674493,B,-40.647695559795125,D,-55.06322391627605,-30.115238079244968,16.239874668873295,68.03810399142279,0
26-35,Married,Yes,Other,E,A,-13.862769709360379,139.1171080697523,B,C,D,92.88361270586338,71.09878691145029,B,-86.33515025360232,A,8.179433453798952,342.140206485296,-125.56971934930819,-38.12455253115514,0
18-25,Divorced,Non-Veteran,Other,A,E,29.98927711854388,-88.26938019760935,D,C,B,3.511143448653107,122.8797158451785,C,42.93916562516975,B,102.63448626897551,159.0684737030672,-128.3788369761464,-53.672066235916574,0
18-25,Divorced,Veteran,Other,E,D,-109.27544886793963,142.39449084063827,A,D,C,4.301750997826275,74.54713272591098,D,-276.78051905927106,B,53.43970388677069,-70.75442535309054,-32.707803379192114,50.57604950390277,0
18-25,Divorced,Veteran,Heterosexual,D,B,139.24433913827704,-54.949188738065224,D,C,C,61.837817030766,-26.83661240893487,E,1.6371485659298382,C,-164.6958688452874,60.69368230416907,-165.10478343798965,-81.49514972736861,0
51-65,Widowed,No,Bisexual,A,E,-105.56572026600566,-56.571392150049334,D,A,B,-108.71691964510653,226.80828646583242,A,35.612198262170374,E,-64.00712580768496,-35.330247363391045,-87.50082659968407,-143.4051997127788,1
36-50,Widowed,Veteran,Homosexual,C,A,-115.73841342358531,64.44294803570473,A,B,A,-106.29521228694468,132.57662249704308,C,-80.9798523611653,B,-57.37718580823006,-81.33075906567268,-11.030594271728003,11.283994574036107,1
18-25,Married,Yes,Homosexual,E,A,2.9195368376781516,47.285656659387556,E,E,C,-158.91948709197678,102.9756195997269,B,-31.56408889702991,B,-49.23406424633249,175.15170653922593,80.05910724941691,-120.22526688710427,0
18-25,Married,No,Bisexual,B,E,-131.55404959396287,-124.82160352137733,C,B,E,-45.18045987488186,-45.80784984750376,A,27.89922654672846,A,-96.94271757295547,100.48239770945568,-97.58649186383654,-118.42961116041879,0
51-65,Married,Yes,Homosexual,A,A,-2.822388794915028,60.84748343451789,B,B,E,-160.80462402775495,65.2865460218364,C,125.9507366021916,B,2.257796718812466,-19.49652870230183,-166.24285318472968,20.4036140580535,1
18-25,Single,Non-Veteran,Bisexual,E,B,-175.08017722491945,37.28418932848836,A,C,A,78.22285346067268,-76.08781920841152,A,-74.44985859637418,B,125.33474042084414,-35.51499388673038,61.73763636783772,23.20941807953645,1
65+,Single,Non-Veteran,Bisexual,D,C,80.40234703612548,-143.50253892168456,C,C,B,-183.21454120146802,-8.709422447137232,E,-76.98723327251288,A,-58.66579180106215,-56.024583484732915,120.68356693296505,-54.38774091527754,0
65+,Divorced,No,Other,E,D,169.02187904770923,-48.122035133250144,B,E,B,-8.981493870126728,110.84763470417478,E,250.63706719905636,A,33.1994565225661,156.302639639568,-102.90276706996922,-123.98251963394048,1
36-50,Married,No,Other,A,C,-66.08909437608416,-26.104330826577595,C,D,A,-9.128496356009672,-61.29712421602858,D,-197.4852343735499,B,-11.632501757671527,-6.001534540163071,-165.0989444685275,-7.9715384606957205,1
65+,Single,No,Homosexual,A,E,-104.25870609521628,-156.7415099370542,B,B,D,-129.61186482295523,75.51533135957447,B,138.58237156159183,E,-42.028145629503264,85.34746866589776,-283.9862201852765,65.5696325248682,0
26-35,Divorced,No,Homosexual,A,D,104.773192935684,-12.814292888156867,A,B,C,-145.95253633449812,2.0782850635515953,E,-98.37775017523408,E,18.602357676723962,47.66962156758539,26.73204656935402,-71.12412124398324,0
65+,Divorced,Veteran,Homosexual,E,B,-135.8468459299951,-110.81494167291017,E,D,C,-5.10620711590897,-154.67962784897605,D,11.333471732088777,C,-44.402449166599595,-79.65452868736608,5.756960203509608,-91.5309593062634,0
26-35,Married,Non-Veteran,Homosexual,E,A,23.963766187327206,-88.18135726213711,C,B,E,-37.34807025068058,59.96478378883546,A,45.81393864307118,C,-15.388401070604912,245.228289322126,35.583134755997186,12.0705859968554,0
