veteran,age_range,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Veteran,51-65,Homosexual,B,-4.493256476819596,-1.6832309595153832,B,-150.9827647936121,144.32760166396315,47.23194422659193,E,140.5324146432127,-235.78145563091363,-158.08719836392393,B,31.619980391179187,E,0
Yes,26-35,Bisexual,B,86.67821935768812,-76.35454028787647,C,195.0167197698235,176.40088556919892,-135.23449450140257,C,-52.776534614542236,29.492912950260656,92.26982999594475,D,-63.26033108816339,C,0
Yes,51-65,Other,E,65.1548023316839,220.8209144646482,D,54.549545116256425,-114.20512556820626,56.89409053479103,A,9.360709642721751,113.89510800907274,-5.69337815378185,C,-52.92804586696362,E,0
Veteran,51-65,Bisexual,A,-27.780283707850717,-65.76399962387285,E,-19.90051437713684,-169.6885451116965,165.69643616021827,A,-63.45930874972869,-14.185961918603873,-5.691812415324446,D,42.88570026801421,D,0
Non-Veteran,36-50,Bisexual,C,4.3929602837875725,-61.79316602353037,D,-44.217901760005766,-36.45428606658548,89.99016168805882,C,-59.767192812738216,-21.224567485786107,-69.67328499579938,B,61.170483257812315,D,0
No,26-35,Heterosexual,C,-91.65049288318222,-2.8046576680808264,D,-125.1298862820937,-32.99951325891332,53.603614071537166,D,151.39700698549788,78.31399807369412,-123.13709797734398,C,42.049281362172984,B,0
Non-Veteran,65+,Heterosexual,D,-83.61553141044253,-126.46930319671719,D,56.507550578340606,-133.10584087300126,14.551234381275496,B,40.532563380588904,162.01512776209083,-13.72273719322798,C,-2.2264438753123135,C,1
Yes,65+,Other,B,97.22019094376513,133.22049248201847,D,-110.49456384569127,60.81423676052889,-41.777271181939604,D,-25.735536658686538,-98.98102752833235,-40.56977714428406,E,38.76430618187289,E,0
Veteran,26-35,Other,C,-7.128193445506431,151.57825888928693,D,114.9702349571256,-24.7679960506739,20.00095373239694,E,98.63454095316668,-27.667562529818486,-100.65302847421884,B,-200.5081975054543,B,1
Veteran,51-65,Bisexual,E,-117.78782596542901,-113.96465652152057,D,-18.322949069834635,-130.3402100204857,109.38727460880466,C,10.115449492058321,90.2722965432729,56.917182694307414,E,45.87141666256401,E,1
Veteran,36-50,Heterosexual,A,-182.98965428951942,30.862389771104347,A,-99.34556640415916,123.97784322126006,-24.019295983605872,B,-181.9594087855744,57.483347504774564,-63.74672813424036,E,-150.485028018786,B,1
Yes,65+,Homosexual,A,-145.64230679641906,107.52692571525641,C,153.13179296355597,-224.42745262926857,-121.92231704733044,B,-82.05183511287079,0.07467683532911586,-151.89644357420326,C,-35.73721646481947,C,1
No,26-35,Other,C,36.8912557802864,-55.7084707516421,B,102.77136102643234,159.29663587836168,7.4272690125508145,C,-90.94379039900409,-179.8395152918268,22.10036292171738,D,-36.30538779697543,A,1
No,65+,Bisexual,C,3.9007985532157132,31.60018374046341,D,-94.38260807671249,-114.6654870021752,122.36045843177261,A,34.88402378750039,-102.88960046777606,182.1570696343084,B,-4.23885841455161,D,1
Yes,51-65,Bisexual,D,269.9248929922872,-200.88483783248768,A,-70.3509316960173,6.525803868874286,76.94385256055953,A,115.67964561042426,-65.5451795480346,97.52094674962578,C,12.857934001464596,D,1
No,65+,Other,E,-52.206736514961996,18.816775697188582,B,-33.34389956787091,-123.20992651637685,62.53491240023751,D,57.96742859986077,6.127859259526318,62.61998263228169,B,-22.683464444019773,D,0
Non-Veteran,18-25,Other,C,-24.863981112572183,309.27086926665595,B,185.10853351601827,73.50772145584335,-29.653048872447474,B,145.2082387331315,89.5411056460506,53.689682368934946,D,-8.593337376239365,D,0
Non-Veteran,26-35,Homosexual,D,55.13701239050719,12.2676522010677,D,-217.85900579244793,2.8446305663767135,-29.79879103243752,C,-169.3845221872306,19.906718112997076,-54.871372850983576,C,-86.0186232100547,D,0
Veteran,65+,Heterosexual,C,-38.65396693699362,-158.33624618383197,D,168.83020116219677,144.19615419842444,-125.7305299546892,C,164.25643758772694,-55.020006663766615,-35.03815850975604,A,-221.52182992596852,A,0
Veteran,51-65,Heterosexual,B,16.599668320894416,-47.1550941082041,A,-63.41015173114152,-154.04768891211685,-9.807426590787083,C,-129.53264016555485,-15.702780526918861,-101.57231875516588,A,-105.5229638663589,B,0
Veteran,36-50,Bisexual,A,301.89990430424814,53.60283984718064,D,-70.2111121031474,-172.70140173608763,-60.13726274620483,C,-58.33591316775654,-48.17890354007231,-6.4111474267762,E,26.169907378841707,D,1
No,26-35,Other,D,118.59399596320435,-25.302419540549476,B,54.83889470424306,-45.60447585638633,38.641639987659275,B,-6.965363126689403,-40.87933855215984,147.2144982521882,C,-149.56519890883203,B,0
No,51-65,Bisexual,E,44.32132539063448,-34.17459669702236,C,103.07540818277249,20.72806100898412,53.94267680329313,A,-62.79374503037267,73.74433051846945,-87.82393270690409,B,196.88919829642714,C,0
Non-Veteran,51-65,Bisexual,C,17.23065486008001,-123.48418585120069,B,23.255583045362577,-148.19157513723377,-340.24565721523265,A,-47.231003947699875,83.29631537518067,-117.93516735261267,D,-174.93597662302727,D,0
Yes,51-65,Heterosexual,E,-228.29802340027805,-247.25348097875903,E,35.4735261840084,27.404538994453347,-115.75971859809,A,75.92394354195177,-51.96649768956942,-53.33058226712151,C,-5.214320650319897,E,0
No,65+,Heterosexual,E,23.54298135466306,-184.26640978877833,B,136.3814053059071,2.3502926218424265,54.941939402805204,B,-183.85757138545463,-38.75048116176251,-98.70227974423449,C,-202.1061699246316,B,1
Non-Veteran,36-50,Bisexual,B,36.82453339018224,40.30089536383873,A,204.57661897716787,-71.7678074133838,84.7087936668172,E,176.09647986222865,52.69178896937304,56.16968945627914,D,-35.6206517423604,B,1
Yes,18-25,Bisexual,B,154.31218714117236,-11.381134377055396,A,-99.2658727965637,36.46872860325969,181.4305033309341,A,-127.4033979888462,-98.88003504942702,140.42947860914157,D,128.15983419855036,D,0
Non-Veteran,51-65,Homosexual,E,-35.469381622754966,65.14334830697223,D,-163.02885461284106,61.50458077021253,-106.89332441542791,C,87.29824619167019,-17.354340525565654,52.58429261665035,D,4.307998460381779,D,0
No,18-25,Bisexual,C,20.4756962352248,-4.391834934822784,E,126.81726903045443,101.23283928047107,-100.81326721025363,A,75.9350696101298,-128.7149945197867,239.07722483617454,A,20.440606090583394,E,1
Non-Veteran,36-50,Bisexual,E,113.5438925744,-11.631445702071703,A,92.15449085254423,-199.95753886563983,-38.098687645066775,D,-168.01499276176685,-24.34690563257282,1.996469023535048,E,234.82784816782174,A,0
No,18-25,Other,E,122.08819586315738,-8.122663735040938,A,-44.13244782033654,-42.10973827265869,17.819367041999016,C,128.04481532164712,-114.89373252972574,121.4258902616699,D,-183.53424511716096,A,1
No,36-50,Homosexual,D,88.78507192017389,51.40475313629149,E,-114.32402059647863,-15.580718727078125,40.09732986780271,B,106.55460624852307,-123.64418818242919,-85.45222454738462,D,57.25828266946834,B,0
Non-Veteran,18-25,Bisexual,D,-176.6202442248355,80.23406536991439,A,-63.59134310145191,-38.160105183141866,46.16816754010192,D,-56.2884864952058,-63.68263067552882,153.01819228166,C,-46.89090670661287,B,0
No,51-65,Homosexual,E,83.26330540902451,-10.08556311496899,B,-116.6305360657387,81.59490512235327,14.55207186195275,A,111.85365616141989,78.28188341082372,-3.4121810198180884,E,-18.98765673099449,C,1
Non-Veteran,51-65,Homosexual,D,-70.83838384945415,102.17927505450446,C,64.98099638785918,62.461627521519134,-46.65533435820956,D,160.3356448617157,-142.3760042886523,109.77007812124353,A,-5.694605992179284,A,1
Veteran,18-25,Homosexual,A,-65.49078005515246,154.7307262696022,D,53.36373302100166,-150.03495524528293,85.57211581214024,E,-25.34119824427326,211.82821826911754,-156.00181961776448,A,-86.02072558546305,C,1
Veteran,65+,Other,D,-49.26094118613945,92.99587075052739,D,-134.62552386500408,-77.83868902419104,121.51806437550334,E,47.200639244101616,-93.13002368884669,23.82232095934247,B,17.41742565086448,A,0
Non-Veteran,18-25,Homosexual,E,-23.519477711028305,65.37074717541225,C,60.171232540607924,-183.47843856769384,92.04433844321252,D,181.89182932918393,173.42473427473607,-70.05940858530731,A,46.99854956596129,C,1
Non-Veteran,65+,Homosexual,C,21.790185132781456,-95.55626026392169,C,76.26234453039062,1.9693445170573747,31.13649269890091,B,53.39193038974847,96.60512410743006,-90.75121005360383,E,106.86416965201866,E,1
Veteran,51-65,Homosexual,D,-144.95328095285169,-209.85341763975373,D,149.33969265236266,-11.015595901280836,38.93609578518589,D,-148.54495457859178,-28.312477101090426,43.07994121712074,A,-165.40610037387452,C,1
No,65+,Homosexual,C,-67.02142189945975,176.56479155857733,A,37.39664935725326,141.07455420820273,-86.81587280037583,C,126.39490184711768,162.15690801241666,-198.43708208917056,D,56.82736337235552,D,1
Veteran,36-50,Bisexual,C,102.58730648044052,-46.40608705256618,D,-55.99476190058192,-99.85402727036596,123.67751762103876,C,82.43580275294718,87.43160879477495,-69.29514380040432,A,86.57554606838762,D,0
No,36-50,Bisexual,B,-84.86947096352449,-114.2402995792091,D,-36.43929619925046,23.079939085334928,-41.28855823313509,D,31.260000376106877,206.7501761838819,6.345145805050533,A,78.57440464724887,A,0
Veteran,65+,Homosexual,A,-60.81627604647893,18.017158687033557,B,127.45338098863088,-86.5324153809631,-82.37904747817507,B,-90.63817208392653,75.16939648146159,88.74764278730652,C,3.599700749107921,E,0
Veteran,26-35,Heterosexual,D,36.02614270240183,-5.334088662324967,C,-3.813498723168493,-111.13943487504443,-19.59153504113923,E,49.32317330388184,60.915480168102384,136.48294333313316,D,-18.260728945470397,B,1
Veteran,36-50,Other,B,-118.16668924165552,36.83926102207449,D,-64.12410043719105,105.16860238473615,0.293213298650315,D,-3.8153119995192912,55.57326123852289,92.91612271787378,E,31.822761500757508,A,1
Veteran,65+,Other,A,-116.71101330492273,-69.42645040186987,C,-35.79778801764678,233.69870531050458,-143.6768640694949,E,71.1924896070456,143.1189591695766,-94.71411017737485,D,99.8266724634356,C,0
Veteran,18-25,Other,B,171.67241084094314,41.55897646798454,C,36.61285143061179,-215.74403573013706,80.82306464495615,A,118.71854150790912,-63.89189467847599,125.09030371939937,C,-112.13306816307474,D,0
Yes,51-65,Heterosexual,A,20.0573311166809,-30.233794642905387,E,-25.432317876660655,-50.09969002521606,-57.84885182302223,C,25.120457551402346,-88.98587684212373,158.45829392016734,A,180.95658428944137,A,1
No,65+,Other,E,130.5776534258854,121.28840464458423,A,70.0367705036044,20.670051745841683,61.02899913253519,A,-66.09490409225278,-114.8210442390115,-91.38741505171193,B,27.37511402114104,E,0
Non-Veteran,51-65,Other,C,32.52633635108659,-142.6200026002552,B,-110.76177281232067,-44.8304219425493,42.612161917915614,E,-37.61969543826848,-31.910890322944223,53.984027634097096,D,-108.09134057787264,B,0
Veteran,36-50,Homosexual,B,-12.916355524998451,217.96145791000558,E,235.26942559798601,-126.91310858355102,-81.74733947006618,C,-25.339831602776776,-7.193807507164443,-41.87767508527856,D,73.94121765754423,D,0
Yes,18-25,Bisexual,D,-191.69225731142564,-197.97783315967547,B,66.09115386373796,-14.022649135700965,-138.33125103184184,D,-47.43488730884835,-22.868407860539612,-45.629309553036514,B,45.29547483410825,C,0
Non-Veteran,36-50,Heterosexual,E,98.92489751351793,93.62147007934068,B,-84.14885557976544,-214.03026214487392,-56.50197875661169,B,-14.518955055342925,-39.72486021350289,-218.96648146621183,C,-200.8283933190456,D,1
Yes,65+,Heterosexual,C,173.62683645140203,111.64360429663178,A,-45.33046000677237,119.61245813511132,163.90132373737458,C,-74.73816405143651,82.8539824144307,56.01173266848095,D,-39.76424686126959,E,0
Veteran,26-35,Other,C,-146.54857027679407,178.74125051223118,A,156.26130832383237,79.84005500911377,161.43966718019828,A,-51.93693013464237,-179.6692298942097,-117.55498312753092,A,25.580831389871033,B,1
Veteran,51-65,Homosexual,E,-161.17899054488865,-9.085847825490553,A,-12.99662155416824,-36.96013698529704,37.35168182723164,A,48.87971743095129,102.47000475345827,-1.8919776316474302,A,-93.44781646831129,A,1
No,65+,Other,A,58.19863298687572,82.90268346606324,C,-62.07057564181664,36.15110747987927,8.329176057990606,A,54.58205960616386,9.68487978332306,-42.63938057403047,D,-50.37082543744636,A,0
Non-Veteran,18-25,Bisexual,A,-43.30269208364156,-30.59655561284067,E,47.55375945533966,27.084525885255506,-133.9186963430517,C,105.69749140046983,-25.06617769502589,77.1719829951221,B,-121.91246804555232,A,1
No,26-35,Heterosexual,D,83.02667213247146,-247.83494524693216,E,83.55814628838058,42.14040117988038,-86.35442573700767,B,-42.43729630731004,-78.23861082178504,-19.84282525359919,D,28.04434266990746,C,1
Non-Veteran,51-65,Bisexual,B,115.37954788930651,-46.64113519668013,E,-121.29295204500372,-78.40582462794055,38.51243055530641,E,-205.03529640263372,-72.09716700713807,-132.3997574863884,B,30.6398065957254,B,0
Non-Veteran,26-35,Other,E,180.43289656641193,-103.76894219717963,B,-15.364579735938946,-20.2078066670916,75.05907573439283,D,33.445187701536014,176.42147313344236,-174.6056802576998,A,-1.525433055817874,A,1
Veteran,36-50,Homosexual,A,82.15227977129052,56.08777117756772,A,-77.63333266732636,-90.5952718544589,163.02604444947866,E,-165.6838782575123,-66.63407949011496,72.35520804662153,D,-124.51205756555548,E,1
Non-Veteran,26-35,Heterosexual,D,137.9040164959965,25.882374989413353,B,-32.82279991515211,-28.973835188104367,-53.515924571420015,E,-8.928418013031914,11.22955114305709,177.09257937810693,E,267.20301671573765,A,0
Non-Veteran,18-25,Heterosexual,E,-181.49970454158841,22.5647318095653,C,-163.2872299084028,-65.06706743259573,121.52369060831987,A,23.070630553541452,-61.537441805062365,69.87958558743357,A,89.18334373348024,C,1
Yes,26-35,Bisexual,C,-92.86859945647548,17.30442247942305,C,166.44372371943993,106.95330067893252,116.50248553201108,D,-166.67656362729727,-178.01732500999668,-173.27430211685933,C,80.00860064496413,E,1
Veteran,51-65,Bisexual,C,-5.944968665380412,-12.975679244526606,A,32.508552753977284,165.39159299771177,90.46160058228267,A,110.73503339566938,77.74809603498595,14.851867053213924,A,-113.03280019795525,B,1
No,51-65,Bisexual,B,-63.14914068581871,-42.41428016423873,D,145.45632636193352,-57.39780699274256,109.44170025331547,C,-11.694327399120011,-21.252961180021053,-62.96496948061926,E,135.8863854135767,B,0
Non-Veteran,36-50,Other,A,173.66960054029374,93.76113018559857,E,5.717891525631922,-26.48725889238167,-52.55173726556166,B,-20.966076120022016,-29.7515521404678,-83.92654357921387,A,-83.74555121853435,E,1
Veteran,36-50,Heterosexual,E,-122.37261876538521,-144.65112110919418,D,34.207603047516905,49.085386896644444,-70.0979834428449,E,33.88866346976781,149.83697312789036,-59.77823657585579,A,210.8977508151519,D,0
Veteran,18-25,Homosexual,A,68.96896793683385,-225.73950559248757,B,-153.53393250419973,109.31281534876769,-73.49495677554833,B,-99.8461446657919,29.096503345700125,-24.139811940987535,E,-45.57988490361809,A,1
Veteran,26-35,Other,B,51.18311744556625,-63.69688933615475,A,98.34698113409765,165.43664735402703,-62.25726664375518,D,-13.887772071728936,186.6295921492675,69.45838120815576,B,-3.8125052734161926,D,1
No,26-35,Other,A,-31.65763354430749,-47.43696013739591,A,14.737632690564622,-15.317997801597244,-119.55859054451858,D,-33.57987488173447,44.56576999665421,179.76136001475737,B,-32.13805760750558,C,0
Veteran,26-35,Other,D,0.7122762928911036,-1.7152839727650373,B,85.46403951571988,-138.53716037909675,-99.604004873387,D,-20.966544696101668,-46.10577928904519,-3.992385814958083,B,-32.1503377346618,A,1
Yes,26-35,Heterosexual,D,-46.21564133734383,-4.414249537294142,B,-44.78156740389122,-99.56184503470446,-2.913518409946192,A,76.8983546396964,37.427698374956236,-128.3216672209249,B,8.373103771532367,D,1
Yes,18-25,Other,A,-9.89215239918836,60.703635713555556,A,-22.01833268823505,44.191872825450204,-39.7801431723982,A,-215.16842231052243,43.74736491691196,-174.8718752183645,D,10.497484716669726,E,1
Veteran,26-35,Homosexual,B,-104.2232712503006,-24.47948783899362,D,70.14936451983003,153.11602088838794,-3.8961123206350603,D,57.125817921678305,-189.7760574768168,47.58839400701998,B,63.21156543480774,E,0
Yes,36-50,Homosexual,E,156.10377145012157,91.01449990632821,A,47.60792866196857,-48.52326993367118,-55.76327948331716,E,78.73751765999451,-240.77981612739788,-37.140167513127714,E,31.90492056768558,B,0
Veteran,51-65,Homosexual,B,60.966485071901076,96.50375128249338,D,39.84077057224989,-117.71327852342428,-3.016997366445198,C,230.4318424286968,-10.343144124004148,118.61758064524501,A,-177.600129047235,A,0
No,26-35,Heterosexual,C,-106.24597905439923,95.22116899122166,B,-81.77393391349604,-73.87842238444094,-30.644159039447867,B,-113.61861233068188,151.63706916968923,11.341284025465367,B,-103.9716453983698,E,0
No,51-65,Heterosexual,E,-57.17503547909131,-157.6256067995813,A,-160.21586906496717,64.13310334009944,103.6217138975583,B,113.4151366186451,88.46262027021265,67.9103911324025,D,-83.05705757906793,C,1
Yes,65+,Other,B,53.439781447758904,-142.3422465681255,C,-19.271658644449296,161.6238482581397,-63.29135820274152,C,33.27189723599793,76.67135274355846,-14.645291490667853,A,134.03401809513414,A,1
No,65+,Bisexual,D,-196.09176989000346,42.0496343810231,A,-43.96061242880695,39.30773582488708,84.85890598392281,D,-108.39237843817808,-109.64173486595053,-137.89105131814918,B,-78.24855580501203,A,1
Veteran,51-65,Bisexual,B,-2.750048003726218,-182.58417483687492,B,-56.625657696295605,111.83120051495095,23.48713020904018,C,-76.2868880157345,136.6262023196607,-153.22545402931013,C,-13.184937792757841,E,0
Veteran,65+,Other,A,-57.656742044959785,-156.6881861700173,C,106.55886407812012,50.1594804747019,-55.06718783624829,A,-90.24786207507111,139.28163438498035,-60.57200480620851,D,7.2987304408719105,C,1
Yes,51-65,Bisexual,B,-48.285685806348134,-118.37799420604343,A,-58.35166110966895,-77.27424492084076,94.83193201438573,A,166.1960400162705,-78.79482155692777,4.247024600088112,B,19.587485560383488,C,1
Veteran,18-25,Other,C,-194.92366891739394,-147.33529702632023,E,-3.366550075205752,-175.06104788697291,58.50249941756993,A,-31.217852389678068,-67.43168958658721,-104.53965823881795,A,-19.959056831103457,C,1
Yes,51-65,Bisexual,D,103.5207980676928,-52.71053595366782,E,-23.725855922829382,42.10436425592403,-2.9636288227070966,C,-191.03664900404465,105.07203282007582,-46.82060494197503,C,-84.34042910117732,E,1
No,26-35,Homosexual,C,-80.58213612058118,79.14221662448672,A,-50.126412226285,220.34765830050418,-174.9212255526174,C,164.12897204652631,51.71524279969384,-30.76467201988739,A,24.94515295241167,B,1
Non-Veteran,26-35,Homosexual,C,-21.15743422287292,116.71707332500108,B,-109.23184631235445,51.94008632002672,-108.90696970268483,B,-5.025909818366526,-85.19678554873659,4.134427993758704,E,-6.030267304341571,E,0
Yes,18-25,Bisexual,A,92.38772510101822,-148.04745497349836,B,64.34338098093055,62.37008007573684,-145.2215867092685,B,30.351478485228355,-86.54153533442702,-118.58652766993598,B,161.04280202410416,D,0
No,36-50,Heterosexual,C,142.34099074174605,-40.735882103131885,C,-32.37568279146993,-61.806471160842456,-162.65479479666013,C,47.25695412787893,216.30534383015262,-195.1697445114131,C,-12.108220535741085,C,0
No,36-50,Other,E,66.88726396656891,-145.25957676186871,B,-16.788625953879045,12.35266519731477,-30.439248782473648,B,-58.8418316243223,-43.754334060366425,24.309450920438383,B,-34.67146150161997,C,0
No,36-50,Bisexual,D,-91.63697337081982,-301.0045222570424,E,35.45776994327726,-131.5402751662085,169.63194464727863,E,54.41705956135154,-31.85666302649358,-94.56051742334249,D,-113.18548005589663,C,1
No,65+,Other,A,-43.197953907722066,167.47116322399884,D,15.08091153819431,175.65061944596155,61.01973161450325,A,2.538521273010084,-7.5220798668021684,121.85536732151066,A,-96.65144036690111,B,1
Yes,26-35,Heterosexual,B,91.47690706181525,75.79469268870743,B,-135.22872927715224,140.44100493237826,48.85608865768816,D,-19.205163245196264,-100.50020352557124,-45.67152616660678,D,41.4742709276306,E,1
No,26-35,Other,A,185.97723009056037,-164.88502699578615,A,211.2375476362366,-112.76731816305885,78.33295364556486,A,-8.361200174701024,-107.94185577400668,103.15914434101184,C,98.42508398947083,E,0
Yes,51-65,Homosexual,B,90.81955259070699,-12.113225789006151,D,-179.66820688444116,-59.30505628174326,198.09955112752013,A,132.91069632078825,276.2068178444747,-67.29143148406489,A,99.05155694513189,C,1
Non-Veteran,65+,Homosexual,A,164.87634366942393,-51.01673288491053,C,-51.74970824562415,-8.856992355795864,-43.4394407519226,B,-90.78234465621749,-25.45221127374628,-39.41304647963925,B,16.528947301625756,B,0
No,36-50,Homosexual,C,28.491529661519603,179.53781721668963,B,34.40448612994335,69.21626897114724,-226.42674407297622,C,264.8287371762927,8.237617175231502,75.64064503510718,B,-95.60485768345337,D,0
