Nationality,sexuality,marital_status,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
China,Other,Single,36-50,C,A,-87.6038411542994,E,24.402851029057054,122.73538836372558,11.887651830108432,A,B,D,77.24457624640412,145.1187655659129,101.46398123248458,1
Brazil,Heterosexual,Single,18-25,D,E,-48.30596306500875,E,-44.146544502867904,-63.03235469158037,193.2746515515783,D,E,B,-19.34337330154101,4.248589090153535,50.33166477337947,0
Mexico,Other,Single,36-50,C,C,58.737643980097744,A,-25.565001963550188,11.519936982640184,249.58387470657505,E,A,C,-45.85474296832632,-30.487465889475423,-20.519065026034067,1
UK,Bisexual,Single,36-50,D,B,12.292209969624231,B,-22.944669830354474,136.45474979850275,-15.100825344527705,B,E,C,65.06874121978647,7.914772819202962,-103.10375976857577,1
Mexico,Homosexual,Married,36-50,A,B,-33.089327938046786,E,63.686072705469,123.46465845077863,67.11643428488873,A,B,B,81.46375858561214,131.87376116383362,-17.64356053770824,1
China,Other,Widowed,36-50,B,B,-62.4469053776286,A,12.620256318638287,-61.55531120134834,-97.2866983749619,B,E,A,-219.95471544616936,41.563640172620794,265.5658397458506,0
India,Bisexual,Single,51-65,E,D,8.565142180096794,D,7.454428576898849,-37.07846828113618,-118.0410353176479,C,D,E,-39.86959731780742,47.88498919272229,8.595505659909392,0
Brazil,Homosexual,Divorced,51-65,D,B,-40.780246559237696,C,-183.91555078923227,95.90645397946705,16.82401176753513,D,A,C,-40.26271648978141,7.29022110505669,-30.388789088555463,0
UK,Other,Widowed,65+,C,D,-157.6380556605352,B,45.65595616957166,-269.2580243961302,-72.31527668160315,C,E,C,-62.48082507293399,38.067451532086935,-73.27741718055366,1
Brazil,Bisexual,Married,36-50,B,A,-9.209231402902146,C,6.948197696018718,-26.855399881780155,-58.27542270783454,B,A,B,16.426565730653188,-58.80221685548904,-4.963708380642477,0
Germany,Homosexual,Married,65+,A,A,87.99473229477228,B,-243.77898323523794,281.4035438172994,116.11656802707641,A,E,E,-102.9384271838394,102.375569039442,-61.51930840797599,1
UK,Other,Divorced,65+,C,B,-21.20985480948125,E,1.4076993089095544,38.74874079254058,-94.75262135123835,B,E,D,-4.307489717841322,-14.8797277223176,-6.377607128983404,0
UK,Heterosexual,Widowed,26-35,A,D,-26.649396803124898,B,60.95748519707666,-88.580502507495,40.794211991184135,E,D,E,37.8842375112322,8.668306193321412,-1.119943681359325,0
Germany,Heterosexual,Divorced,26-35,C,A,-12.01343446964811,C,-31.0953533110083,74.45331543372518,-44.5848903949169,C,C,C,-31.21517470458085,-30.2032330382544,22.264365573079317,1
US,Bisexual,Divorced,51-65,B,E,-218.19688574976723,C,-98.6245259383336,113.94961920147573,11.953773663432623,D,D,A,171.7582840762478,23.365013116170818,-101.17602510781269,0
UK,Homosexual,Divorced,65+,E,E,82.31983716236722,A,-41.920484744208494,73.7445041978926,-1.1226579519367976,A,B,C,34.57642069454183,-98.25659438454153,-113.78392258733574,1
UK,Heterosexual,Divorced,36-50,E,B,-65.46303509219044,C,-123.06854675485965,-1.61112294211747,95.29206958312183,E,B,B,57.35040979974503,-26.186886910457503,-106.92743894018754,0
Other,Homosexual,Widowed,36-50,C,C,-48.93636684509767,E,-124.95991712209762,62.64739521477543,64.29548111843394,D,B,B,250.83530520482165,-20.089195507619458,-16.643627275869736,0
Germany,Other,Divorced,51-65,E,D,-118.48482452312857,E,19.469677505387175,111.12321406841788,-84.03038295038478,D,C,A,-161.31923445672516,-275.93598823575405,94.69684680758328,0
Other,Homosexual,Divorced,18-25,D,C,-105.56375560959472,B,66.89292561468478,2.3812817684801755,86.09869094662777,D,B,B,27.18316446710649,-72.3484125823728,12.139152924532379,0
Brazil,Bisexual,Divorced,65+,C,E,45.41035844069603,B,93.5323569358991,-25.184572572438956,-71.44460135760306,B,E,B,-23.528585511058502,-56.139235014083965,93.02713524895442,0
Germany,Other,Married,65+,D,A,14.348411473040462,B,18.767281938268734,26.24595603963378,57.092131338401245,A,E,A,138.98510985913103,-64.63507797047522,10.348571717790554,0
Brazil,Homosexual,Divorced,36-50,D,C,6.30150346035006,D,-30.31734918828497,77.15649406410319,45.108301756919964,B,B,B,17.090584470536918,94.84037230584443,194.10069134418268,1
Germany,Homosexual,Single,65+,D,C,114.09740934929434,C,-28.84088857501194,-83.0085078244595,-91.13364208386007,C,E,C,-7.064447049159934,15.662072342013714,-63.44096585543976,0
Mexico,Bisexual,Married,26-35,C,D,216.14445910956624,B,102.55928849598372,-84.93941928731822,121.97889473211771,D,C,C,88.52133479863997,25.043369351726863,-28.44629326046772,1
Mexico,Other,Married,26-35,A,B,101.79091129933906,B,-67.94409059597575,-8.875523979597457,-172.0449837166918,D,E,D,16.46455767911762,15.110947065171331,-75.24349771549072,1
UK,Other,Married,18-25,A,A,241.56116011561522,D,-104.04736858834043,136.1270191367719,152.48556823133464,B,D,B,-15.251702978460552,13.265244129312972,-95.09835832326222,0
China,Heterosexual,Single,18-25,E,E,71.68216753397897,B,-83.77603695722668,61.921234551494244,146.41729426311457,E,B,C,103.99913655923807,50.86555855587752,-64.5475181865649,1
Germany,Bisexual,Single,51-65,D,C,248.2855766109131,A,-68.37287198435071,-3.649767708219377,-27.391120221649146,E,B,C,29.875133592804392,-167.23572512184975,-4.35094804136966,1
China,Heterosexual,Married,65+,C,A,-11.464315946054601,B,-84.63807900977363,-156.90002874968576,-33.642164753632855,B,C,C,188.9338688629707,-20.271486747634892,-69.25728526307958,0
US,Other,Married,51-65,D,D,-9.777643321763078,B,28.11726543658033,58.10083362790254,36.270331938338316,A,D,B,-26.307223725768342,10.620981594956605,138.23013440141813,0
China,Other,Married,65+,A,A,-67.43223645469294,D,-126.98957389038115,31.274587010217974,-37.359769934094594,C,D,B,125.81109403325772,-181.3467339184644,9.27628528071673,1
Other,Heterosexual,Divorced,36-50,B,B,-17.094238440790317,E,-147.96112131154842,65.06437748394035,79.58520475624037,E,C,E,-63.97465658747613,-76.19076526518985,17.03205691656871,0
India,Other,Single,18-25,B,D,15.106387527812432,D,70.8983887280814,-7.8640542237826665,47.57049920723259,E,C,B,133.29708752635793,178.41655238562973,-43.978141658181116,0
Germany,Bisexual,Married,26-35,C,E,44.56439957233914,D,34.99264037742746,42.37953740539477,-20.652787059553415,B,E,D,19.08537644343489,123.54957012612388,82.67350153732875,0
UK,Other,Widowed,36-50,C,A,20.756798544983475,A,30.197518247745116,36.79171783854243,17.573658342810738,C,E,B,197.2543211659135,157.79421252509488,94.14962784730176,1
India,Bisexual,Single,26-35,C,E,4.918723861244347,E,-44.01297539191599,-60.53642372173357,67.39289124522398,A,C,E,-135.03260800477864,77.91384666685487,75.77072212572847,0
Other,Other,Single,36-50,E,C,-61.27413391244286,B,79.77626594842292,-53.35796491948383,274.5436636552193,B,B,A,64.85283885721749,5.478639385508983,42.683542539924886,0
Germany,Homosexual,Married,65+,C,C,-88.46666613722472,A,97.46137932086091,43.23795238208372,-137.44533813368204,A,C,C,55.628645045636716,-16.766205121143074,-124.73145686684694,1
Germany,Homosexual,Widowed,18-25,D,D,47.019434801346044,C,150.56871025345265,78.3005493456298,-35.49539358437163,D,A,D,-137.025211690599,63.06174745242771,2.7111850180700747,0
Other,Bisexual,Single,26-35,C,E,-74.45629309906433,E,-15.938348733252115,58.38370041557612,-71.72914065403549,E,B,C,-94.07088497642658,-109.89691034307516,-113.28753885948817,1
US,Heterosexual,Married,26-35,B,C,65.34762264403942,D,143.2017422985547,1.2691721796227644,95.94905219279943,D,A,D,-234.70080897297697,54.39443064848765,-22.489455037430886,0
UK,Other,Widowed,65+,E,D,-125.92214202259906,B,-53.52788663242137,22.320729715850078,-67.64081431929708,B,D,E,10.173028588051537,-96.02147349299437,27.465250516584476,1
Mexico,Homosexual,Single,18-25,D,B,-16.129403325145496,A,-26.718376891240396,29.724264620978786,355.65572908248845,D,A,D,-167.01030012892494,2.2930088672878735,-12.173117939261916,1
Germany,Homosexual,Divorced,65+,D,E,-62.279787204213456,C,2.4068723252924107,22.73346342150624,12.85006639261498,A,E,E,197.74183183463526,181.088081851984,-67.38084364578276,1
China,Homosexual,Divorced,65+,B,E,-50.09204604976429,D,45.288623949969065,66.7857343196741,-113.51648219857155,E,A,A,-160.59791399560447,-202.39636194619231,177.271452049441,1
US,Other,Single,18-25,E,D,19.698367087270064,D,26.349900909387262,-23.739474733679327,-70.52254178058122,D,B,C,32.2271349448057,45.69129918660141,-87.39788327978656,0
India,Homosexual,Single,36-50,B,C,122.592653198968,A,71.31211182705532,-27.62349723255038,-35.29836014044919,C,D,E,-163.47633748553093,163.12971072191968,-86.48161360166668,1
UK,Bisexual,Divorced,36-50,D,C,59.85591502184329,A,-31.163672104402316,-100.29874137624357,-179.6504343390285,A,A,E,-48.20473462034392,-121.63418227944913,151.32732419561424,0
Mexico,Homosexual,Married,36-50,C,A,-90.82764755286621,B,74.12861259241404,-26.505757340462104,9.404038155048081,E,D,D,-100.26750291067792,106.74186666336792,-107.73613961338864,0
UK,Bisexual,Single,65+,C,E,9.569418123875085,B,66.52284573331977,40.865546153799144,148.23661406608898,D,C,A,160.77969816120668,-3.219762496980451,36.054074888020516,1
Mexico,Heterosexual,Single,26-35,B,C,-124.57047274822482,E,51.02171314077123,108.42285658751436,155.31618655745038,B,D,C,29.291727821774444,-109.87290542783586,10.668660515136349,1
Mexico,Bisexual,Divorced,18-25,A,C,-38.31093458532606,A,57.8724464411077,145.45056216341845,51.345220980751286,E,C,A,-166.84882703584546,52.708165247656645,-22.67810314138282,1
Brazil,Bisexual,Single,65+,A,A,4.711440634098437,E,-177.00459277978496,26.330580337731924,135.30877832126924,E,E,E,-73.8102056544095,-61.570050888480424,-39.962202373159855,1
Mexico,Heterosexual,Single,65+,A,A,20.039399217563588,B,130.7075303904063,-128.2751483618589,-174.9092702915715,A,A,B,-25.753584030489048,-97.22836847426544,293.32666683057573,1
Brazil,Homosexual,Married,36-50,B,B,9.95081538039894,E,96.85777293433432,50.45008206121021,107.57393192486578,A,D,B,182.95220805855018,73.23472971820996,49.61609386688032,1
India,Other,Married,18-25,A,C,-17.68156251985108,B,-108.30633618519133,-62.65343484600486,16.501637501739676,E,A,B,-195.78804978911023,109.13038387167624,143.5144555852506,1
Germany,Bisexual,Married,18-25,C,C,-57.44383968117256,C,-36.06098380553869,-40.68053331117915,-42.57042165511029,D,A,C,-212.51112970303407,-3.4254183814545085,110.66041886751113,0
Brazil,Heterosexual,Widowed,65+,E,B,114.31186439839036,B,35.65020247510381,-109.04043555532586,23.315398463545872,E,B,E,83.76849053020169,-187.75220339022877,140.27285898776228,1
Other,Homosexual,Married,26-35,E,C,51.0270191273098,E,4.598514800793809,-142.34096728442276,-21.48727437639561,E,D,A,132.32197775991887,-125.9940853713442,139.09183373867555,0
US,Homosexual,Divorced,65+,B,C,-23.26067764006156,A,114.30787227342469,-10.314893696171643,-58.73327400479638,E,A,D,-174.75085081990713,-33.79913390012372,35.12398985081006,1
China,Heterosexual,Married,18-25,B,C,57.00436429008941,D,17.65053765890525,240.69368787258892,-91.57849675667622,B,C,A,-22.46319043088065,-129.8744646422796,-44.48045668588469,0
Germany,Other,Divorced,65+,D,D,-46.16516184443349,A,1.7777804635028767,105.17101187507143,98.48177973661538,A,C,A,-143.47630620366542,4.1045598281161855,14.69530544680022,1
Germany,Heterosexual,Single,65+,D,B,-86.52901358416423,D,17.86684275513898,89.17070354438104,104.77044852156058,D,C,C,-121.78049948940988,-133.55560184915834,122.02542432057923,0
Other,Heterosexual,Single,36-50,D,A,-3.880664373132704,D,140.32901322127879,-12.09571854976692,-62.9435034876708,D,A,B,206.46794253227276,7.515181488859957,-23.217584546947677,0
Mexico,Homosexual,Widowed,26-35,D,C,53.60192470628014,D,-63.76069110955381,-23.496380468907745,-44.824975698920525,D,A,E,-128.70630392460671,209.20265643844527,-3.809495390623592,1
Other,Heterosexual,Widowed,51-65,E,E,-146.0707691282624,B,95.55394651002811,24.253119839115126,230.06089770764726,D,D,E,-32.42178536462022,35.11741634340538,-19.918124158410635,0
US,Heterosexual,Married,36-50,C,B,26.058761897237698,C,-11.768717955994708,155.45998142038826,-42.02945566682425,D,B,C,134.76453231092455,-187.18446715636549,-36.04450065947497,1
UK,Bisexual,Divorced,36-50,C,D,175.50962465078342,B,-91.16231456944031,-149.15463100430856,-45.366354455545746,C,C,B,-117.60742274761593,162.11628609114555,67.03493235750645,1
China,Bisexual,Single,18-25,E,C,49.84055685252207,D,-1.2038382840308721,-65.24892172354967,-9.076718036499274,B,C,C,-129.89972054879792,-181.81566168569344,79.0055946776659,0
UK,Homosexual,Widowed,18-25,B,B,261.75196127786836,E,29.73165827813309,139.04494318528214,-10.377823793076308,A,D,A,-2.210599329197318,-129.8104250066449,29.324846078801887,1
UK,Other,Married,36-50,C,C,-84.5274236288573,B,-17.06916495144467,1.0105477446973827,-48.12655137555602,E,E,D,-41.23495660243325,56.04156511214662,-99.45672474129927,1
Germany,Homosexual,Married,26-35,B,B,183.4546529288618,D,127.70947809364995,-66.35420518134994,66.30965932464962,B,A,D,-132.96766150159834,-111.98405009684723,75.85895925681919,1
Other,Homosexual,Single,36-50,A,D,-90.90290065959363,D,180.66453163301884,21.29807477298943,-42.434964817745666,D,C,C,35.22399524399348,94.82548714998877,-212.72007658743246,0
China,Other,Divorced,18-25,D,E,73.53516512846004,D,-78.25604539452428,-76.20594257307899,-61.983493716531825,B,B,A,-25.020767372158403,18.952578430748236,-0.9411062663700953,1
Other,Homosexual,Single,51-65,E,E,131.1679416573773,E,-65.98326855985076,-69.82024926112366,18.121900692086392,D,B,B,-155.8935902583343,46.66828445690208,-176.18830160680474,1
UK,Homosexual,Divorced,36-50,E,E,24.705227084966776,E,-13.92200983878243,-59.192489588362406,-87.87237441438452,D,E,C,45.698524893293815,14.20244397913462,-263.93685316143785,0
Other,Other,Widowed,65+,A,D,119.72728373138679,E,-173.2347612912779,-160.6082027121545,90.32242210148283,A,E,B,-10.646770072908316,131.0661929100811,-37.08743769212665,0
Mexico,Heterosexual,Divorced,51-65,C,A,-46.1936498348283,D,4.670681892601439,12.245278956905864,-35.342054404779816,B,B,A,-42.178192055930595,71.2972677548428,192.7486153542044,0
India,Homosexual,Divorced,26-35,C,C,-84.16882782015576,E,87.3983823541628,-94.71539903901795,91.2686586909098,B,C,B,-136.57245258625116,63.84530190676762,81.42161359383653,1
US,Other,Divorced,51-65,C,D,-100.89486457549255,E,51.17700409509157,85.46319883390815,-111.90968248019723,D,C,A,120.7754066326999,90.01678567150468,160.80792174390305,1
India,Heterosexual,Married,36-50,A,C,15.294652646357513,C,72.02247709280142,27.672655278302415,-130.48048617488652,A,D,A,151.10137906652156,-116.59812103747522,59.1809811472477,0
China,Other,Divorced,51-65,D,D,-73.57181546852094,C,145.4112854005226,-114.08312359588402,18.034050367425138,B,B,B,-228.8861305913139,25.76594221784162,-36.71651158671387,0
India,Homosexual,Single,26-35,B,B,28.179177698357112,D,81.38344713430148,37.331622570397634,-0.9925766389677524,B,C,C,89.98536521423924,-95.57695085826714,19.283463575061912,1
UK,Other,Married,36-50,C,C,-73.1657491507308,C,38.92376773932679,-36.98613805479951,-269.4479486501932,E,B,B,102.96206476230832,-74.69442259081967,-70.75011268338488,0
Brazil,Heterosexual,Divorced,18-25,A,B,25.214476245961798,B,38.61495261995577,208.11439572824173,92.9566239316906,C,E,C,-1.2530957119465276,47.03325036202991,-75.45741313259911,1
UK,Bisexual,Married,36-50,C,E,53.31972712027348,A,-77.67598670939049,31.783323593113323,49.65972007732676,A,A,E,2.2466351726768914,-31.813886760200162,63.21454328034536,0
Brazil,Other,Single,26-35,C,B,-132.3806698762785,D,69.56461718748109,-11.663215702891733,44.489632393431286,C,D,D,151.86069492457136,-146.37896231280806,-160.3957159922163,1
India,Other,Widowed,26-35,B,D,54.34782144864374,C,-88.26276603300832,-13.161939112946822,-9.838539733454386,C,E,B,-19.421938501659564,-82.29617702325346,13.726597455490019,0
Germany,Other,Married,18-25,C,C,-100.59999730336122,D,-139.0843841640131,-8.643464515841078,29.01061517611675,C,D,B,145.8740027354889,139.50894830776892,-55.01753291557233,0
Mexico,Heterosexual,Married,18-25,A,A,162.14792655828973,E,33.38659503892081,-56.53906070516452,60.19113345696584,C,E,A,-117.86763109214218,-0.5074258382650415,10.7147225155722,0
Mexico,Other,Divorced,36-50,E,D,-28.563053907000622,E,-52.932065596691146,-13.231914879296044,-3.8427342947031,E,D,C,9.238923050810397,-262.3962797426813,-23.786135812448762,1
Other,Other,Married,51-65,B,C,69.51243798607464,C,42.81690125883713,-24.820408984147583,25.177480893226807,B,C,A,124.84838034209476,39.175872867150055,-112.61316238738326,1
Mexico,Heterosexual,Single,26-35,A,B,138.08555000765384,D,-41.881799914013314,-15.317325695725959,82.28508828674589,A,C,B,15.529477311461154,-13.33355309033705,22.627380280699608,0
India,Bisexual,Widowed,51-65,A,C,13.012740692182675,B,21.004251060480776,-14.280046934333015,-100.25103280037528,B,E,B,-72.53896176419921,44.153889852820015,8.337402176150807,1
India,Heterosexual,Married,26-35,C,C,11.726385230306565,B,-117.76841734209893,-86.79628602193993,16.940350116538404,C,B,B,-101.7210519141466,-97.49668890211184,95.58760528689209,0
Germany,Heterosexual,Married,26-35,B,C,-30.96419053316804,D,-134.31528806090753,-82.52342376656927,-197.1990923865966,A,C,E,147.62163711561504,2.380870585869669,48.298326019387225,0
Other,Heterosexual,Divorced,18-25,C,D,73.73308409104123,C,-1.6688634091293477,105.17705001343971,8.023335411735049,D,E,E,76.56873654643273,145.7978973362351,-88.34321834215382,1
Other,Other,Widowed,65+,D,E,121.48874525337865,A,-62.395474396278814,-147.190826630249,-63.56271833799085,A,B,D,46.23978791859923,81.37055698786911,-171.15004482511827,1
India,Other,Married,51-65,E,B,-67.95449555356392,D,97.287896077816,52.43407709864625,43.49003222155864,B,B,B,3.3452974002136386,147.11489179997903,8.497617325993996,0
US,Homosexual,Married,26-35,E,C,-251.27321461501296,C,66.4518769973839,-103.93767026287904,-46.506414083167854,A,E,C,73.68263755509929,131.62965340472644,-18.527137168526476,0
China,Homosexual,Married,26-35,B,C,193.14026138883025,B,39.79630156052048,-37.31059913104379,88.88651382349066,C,C,A,-9.200516697077115,22.395062921408755,-25.283575763738302,1
Brazil,Other,Widowed,18-25,B,D,-52.63589486000235,D,-26.920447623670697,-27.916381077361585,-35.074592513602674,C,A,B,42.18613332686274,66.60758299890536,105.93127139972577,0
Other,Bisexual,Divorced,26-35,C,E,80.0912725780765,C,10.77171836170468,-19.144880999734944,17.724735829791765,E,C,B,-26.41719363466013,-83.19125411676315,-44.611532539276745,1
India,Homosexual,Single,26-35,E,A,-90.47907227832263,D,77.37488835636972,-75.19708670059471,132.61394169958876,C,B,B,-48.095055632905144,42.54807717258144,-99.57171042306827,1
Other,Other,Widowed,65+,E,E,-142.07548464780635,B,211.75915230688895,56.74106633196788,21.738473547091544,C,A,E,133.8357313360396,-92.29299734103617,4.06692495014453,0
Mexico,Homosexual,Single,36-50,C,C,-92.41921763766216,B,169.3282242390791,31.994357172177995,-69.40308321830274,D,A,C,-142.9046894405439,-148.08841105412876,2.741837380960312,0
China,Other,Widowed,18-25,A,A,46.43011618701825,D,14.817463644061824,-37.89196548005852,36.44125302032349,B,B,E,-99.37371361772475,183.80062822212147,-131.39939290760708,1
US,Heterosexual,Divorced,26-35,C,E,-56.4801604038137,D,-189.20024317231596,-80.3083081107571,-2.8418135347687166,B,C,C,8.861425355680662,37.77827221798849,-29.3834943890543,0
Mexico,Other,Married,51-65,B,D,9.411302266379531,D,89.6236336773988,38.92525674937113,-98.2476493181278,D,B,D,11.162163249251666,67.71879100909092,0.5297899997044293,1
Germany,Heterosexual,Divorced,51-65,B,A,32.909858997490815,A,-210.52890335504327,2.572431462259217,-80.6830885426287,B,C,B,-124.11615754512584,8.936478048868095,-50.036967547589626,0
US,Bisexual,Divorced,18-25,A,B,-34.963515858838385,D,-115.4776917461617,151.55039113377572,62.98667089013665,A,A,D,-204.33065001836687,146.25440930140513,-89.89463626814718,0
Germany,Bisexual,Divorced,26-35,D,C,-34.34076113965576,B,-145.52459873918505,147.1625434409726,-24.13823110810119,E,B,B,205.47927715287946,28.88894813469024,-160.06093760609724,1
Germany,Other,Widowed,18-25,C,B,-6.431308071325305,E,-129.38325996457115,172.36278313956404,-168.43075295375132,C,C,B,-154.75558279163627,57.41383867370594,69.21747426454702,1
India,Bisexual,Single,18-25,E,E,-42.78027699067231,C,69.54781642624908,35.435154998290436,-71.05785102527679,A,C,E,-107.88482230965639,-48.730238856143075,-24.55425679163565,0
Mexico,Heterosexual,Divorced,51-65,B,B,128.9265386224143,A,-63.70146699323927,116.9842629102805,-172.0540973491471,E,D,B,35.29434174509494,132.447749742978,34.61547633707185,1
US,Homosexual,Divorced,36-50,E,D,-16.822339496769057,E,44.00874333378827,-56.452664142760334,-102.31767538576865,C,E,C,-109.95154850821865,-26.8301607235237,95.369299389927,0
Other,Other,Married,36-50,B,A,-85.7276388727329,E,-167.52229510045248,-223.18790744413343,133.6535985449761,E,A,E,-90.13265867860511,120.53770761282902,80.31737581152066,1
India,Homosexual,Widowed,65+,B,B,-12.710376396044465,E,53.53608710426212,115.2821472011633,135.1400394439551,B,D,C,-12.379981836299436,40.13063886091508,-215.6616500573565,1
China,Heterosexual,Widowed,65+,A,D,68.39991856446903,A,-61.3138192927368,3.2992479897257656,10.192522838234147,D,A,A,51.84430097009661,174.01929433972393,-86.6021434964297,0
China,Other,Single,51-65,B,D,-59.68429569702614,D,-35.088059001519554,-17.82703039317325,-67.60736622666342,E,B,A,69.70773789368212,-54.5444041023857,97.2968701786016,0
UK,Other,Single,51-65,C,E,-21.133661369609708,D,-37.78469379489418,67.07343080456248,-21.487608104768718,B,B,C,-75.96338688215424,-139.85858637858007,-7.972538257491123,1
UK,Heterosexual,Divorced,18-25,C,E,-83.19033576248911,E,36.544860522089216,-80.18903307491908,-93.84104568710484,C,B,E,-6.562492227801648,-29.311698582443363,-22.862638314158083,1
India,Other,Married,36-50,E,D,131.25252907127856,E,-66.67386919797397,65.37089650439698,-104.36717909187168,E,C,A,47.27526994433428,-92.5446438567058,-97.35359603722668,0
Other,Other,Single,26-35,A,B,-25.84757468094796,D,66.01854280164046,39.59791599478024,15.72569754146452,E,B,E,50.50736219348172,-8.15450741706839,121.08103924114579,1
Other,Homosexual,Widowed,65+,A,E,-136.14371938968787,C,32.606531210421416,112.3149080703576,-6.769541099763455,B,D,E,-41.13987801539824,-69.3955963135034,70.45345485742173,0
India,Bisexual,Divorced,18-25,D,E,91.15776150111273,C,65.18321440430257,91.80458012485558,-24.02129503343279,A,A,B,-131.04642337686357,162.83041972652993,-152.1390727504972,1
