Gender,country,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Female,US,67,-19.503053070836685,C,B,E,B,1
M,Germany,45,58.339827109049516,E,D,B,A,0
Other,UK,64,221.44262280185353,B,E,A,C,0
Other,US,89,63.22847462312742,A,D,D,D,1
Female,Brazil,28,-41.611572863743014,C,A,B,D,0
Other,UK,58,53.00134311891983,C,C,C,D,0
F,Mexico,78,51.494748885344556,B,A,B,D,0
Non-binary,UK,74,-53.46222995308329,B,C,B,A,0
M,US,65,229.26651031604996,D,D,D,E,1
M,UK,50,-87.96576165397005,A,D,A,D,0
Female,India,99,29.592569325276198,A,E,B,C,0
Non-binary,UK,71,43.44196150609666,A,E,B,D,1
Other,India,93,-51.36936181649588,A,B,D,C,0
M,Other,88,-5.909192187777084,E,E,B,B,1
Other,US,68,55.173175660990545,C,B,D,D,1
Other,China,76,153.77329711184916,B,B,B,B,0
Female,India,64,63.29815386554789,C,A,A,A,1
Other,India,33,-40.72065960930583,B,B,A,E,1
Other,Other,37,1.1503725125162796,C,E,B,D,1
Other,China,28,-140.41907834282935,E,A,D,E,1
F,Brazil,85,126.08891527666238,B,A,A,A,1
Male,China,45,-67.68775642694786,C,A,C,B,0
Non-binary,Mexico,88,-167.93493515390685,A,C,C,B,0
Non-binary,Brazil,93,12.983827262187805,E,C,A,B,0
F,Germany,77,-25.774476388097096,A,B,E,A,1
Male,India,88,-124.16222564493185,E,D,E,B,0
Non-binary,UK,85,-120.52012677726151,D,C,A,A,1
F,Brazil,77,-95.98316831403544,E,B,D,D,1
Male,Other,66,30.335126616957968,C,A,C,A,1
Non-binary,China,73,27.265142492898043,B,C,C,B,0
Non-binary,India,32,83.62942459859897,A,B,E,C,1
M,Other,56,107.02929182880261,B,E,D,E,0
Other,Other,80,140.3305113472775,A,C,B,B,1
F,UK,60,-56.68071336238071,C,B,A,A,0
Male,China,63,-30.707062848786247,B,E,C,B,1
M,China,28,-283.1404815437883,A,E,A,D,1
Other,Germany,71,25.89308866420389,D,A,A,E,0
Non-binary,UK,82,106.71809631128578,E,D,C,C,0
M,Mexico,70,-85.7266265283358,D,E,A,C,0
Other,India,69,-107.75502568514086,D,C,A,B,0
Other,Germany,57,90.60833755836686,B,E,C,E,1
Male,Germany,37,167.36004374612912,C,A,D,D,1
Female,Germany,46,-172.54175559385502,C,A,E,D,1
Male,Brazil,72,-226.23161392168703,E,E,A,D,1
Female,Germany,73,-24.40269839102592,B,B,A,D,1
Non-binary,Mexico,62,135.63095543569938,D,D,A,D,0
Male,UK,42,-263.103717369395,A,C,D,B,0
Non-binary,Brazil,47,-71.9062545452819,B,C,D,A,1
F,UK,39,20.538654082269613,D,E,B,E,0
Non-binary,Brazil,61,15.099323655004476,D,D,B,B,0
M,India,23,69.04047654719182,E,B,D,A,0
F,US,87,11.38729802023527,D,B,A,A,1
F,China,65,85.77594597577027,D,D,C,D,1
M,US,60,98.81936517431564,B,A,C,D,1
Male,India,72,53.952657028756775,B,E,A,E,0
Male,US,66,-77.67326570555802,B,E,B,D,0
Female,Other,73,-193.42088356817513,C,B,A,C,0
M,US,75,-21.849340752330896,C,B,E,C,0
M,UK,84,35.569279555429745,D,D,B,A,1
Non-binary,Germany,65,-61.57087849631016,A,D,E,C,0
Non-binary,UK,70,-51.18852535261966,C,B,A,E,1
Non-binary,Other,96,-147.33534663246192,D,B,D,A,0
Other,Germany,72,38.993529850168976,D,E,E,C,1
Male,China,82,-97.14411352807281,E,B,C,C,1
Other,Brazil,52,48.3665366808779,C,D,E,A,1
Non-binary,Germany,31,80.86174877858525,B,C,C,E,1
Other,China,62,47.089621633432415,E,C,D,D,0
M,Other,66,2.3198387219945595,D,C,E,D,0
F,China,89,-16.117257479489947,C,D,C,C,1
Female,China,30,124.1303908871769,A,A,E,B,0
Male,US,74,119.83677313990142,A,E,B,A,0
Female,India,31,-186.99411366279855,A,B,B,C,0
Male,India,98,13.111961191927263,D,D,B,E,0
Other,UK,44,270.3222873518944,A,E,C,A,1
M,India,89,37.809308519106324,D,D,A,A,1
Non-binary,UK,50,-58.320378943346995,D,C,D,B,1
Non-binary,Germany,83,124.08651968940237,A,D,C,B,1
M,Brazil,54,-79.16089361403678,C,E,B,C,1
Other,Mexico,30,57.50277804336734,E,B,C,A,0
F,India,70,123.20160477977149,D,A,B,E,1
F,Germany,43,124.04202574891019,D,E,D,B,0
F,Mexico,21,-68.64547683225987,B,C,A,B,1
Male,Brazil,18,1.767891788118034,D,D,C,B,0
Male,China,45,-22.679400888723286,D,B,A,D,0
M,India,98,-114.43420030070459,B,A,C,E,0
M,India,62,95.9184124130083,D,A,C,E,0
F,Germany,64,16.147505989879672,A,E,A,D,0
F,India,49,-88.22249729883023,A,B,E,C,1
M,Mexico,57,96.17482789897161,C,B,B,C,1
Female,US,53,-61.28847903483962,D,E,D,C,1
M,Mexico,50,-43.25121955762394,B,A,A,B,0
Male,UK,21,46.28011352107614,A,B,A,B,0
F,Other,71,-26.961583321108744,C,A,B,B,1
Other,Other,57,180.06254078370623,C,A,D,E,1
Other,China,90,-217.53500616674168,C,D,C,E,0
Male,India,45,7.337485908798075,D,B,C,A,0
Non-binary,UK,47,-129.6800236678775,C,D,A,B,0
Non-binary,Mexico,77,-11.79309441364061,E,E,E,D,1
Other,India,86,-42.49267302785103,E,C,A,A,0
Female,Brazil,49,-25.556796635025375,E,C,C,E,0
M,Other,30,-25.213735021760126,B,E,C,E,0
Non-binary,Brazil,99,-206.053833281725,B,D,A,C,1
Male,India,57,90.06791069551967,A,D,C,A,0
Female,India,93,-105.28776536594431,B,C,D,A,1
Non-binary,US,56,28.808609231246486,C,B,E,C,0
F,US,89,72.08059904105393,C,B,A,D,0
F,US,95,74.66364168831662,C,D,D,E,0
Female,US,20,83.17683395508256,C,E,E,B,1
M,Mexico,62,-180.5053520738576,E,C,D,A,0
M,Germany,87,-42.72256602669726,B,B,A,D,0
Female,Mexico,40,31.82756507093417,B,C,B,A,1
M,Mexico,87,33.5813980710346,D,C,D,E,1
Female,US,74,105.62195465942975,C,B,A,D,0
Female,Germany,69,17.757194996914123,B,D,D,C,1
F,Other,52,-104.00242008403472,B,B,C,B,1
Other,Mexico,42,144.28943560992573,A,D,C,D,1
M,Other,58,10.179499585138146,D,B,A,E,1
Other,Brazil,71,37.31389962894027,C,E,E,A,0
Non-binary,Brazil,52,61.34293102534119,C,B,A,C,1
Female,China,37,97.48214638121294,E,A,B,C,0
Male,Germany,64,36.58413614926382,D,D,B,D,1
Male,US,44,132.36918698035595,E,E,E,C,1
Male,Brazil,54,-95.62206970532145,A,B,E,D,0
Male,US,35,8.246787476720947,A,A,A,C,1
Male,Germany,37,-105.62587610740928,C,B,B,D,1
F,India,61,30.36915501229556,B,E,A,D,1
Non-binary,India,20,24.82277905872192,D,C,B,B,0
Female,India,51,60.872529232451946,E,D,D,B,0
F,UK,50,-85.65442864594435,D,A,C,E,0
Non-binary,Other,50,57.604161492697145,B,C,D,B,0
Female,UK,30,-174.9079760442079,E,E,A,A,0
M,Other,71,34.392605424156784,D,A,C,C,0
Male,India,97,-63.43923182896728,B,A,C,A,0
Other,US,19,-65.99836677081886,A,E,B,D,1
Non-binary,Brazil,55,277.33679941564395,A,D,B,E,1
Female,US,42,88.9055961434951,D,B,B,D,1
Non-binary,China,75,-134.892558743418,E,E,E,A,0
Male,Germany,35,32.924491004212285,D,B,B,D,0
Non-binary,UK,72,-59.377924849399946,C,D,E,E,0
Non-binary,Mexico,25,-35.540560570839745,D,E,A,E,0
Male,Mexico,78,-195.61088357898686,C,D,E,A,0
M,Brazil,38,54.95482710130257,C,E,A,B,1
Non-binary,Germany,79,-17.89879689011196,B,A,B,A,0
M,Other,66,-11.26386276017743,D,B,D,A,0
Male,Brazil,32,-13.39857485610887,E,A,D,A,0
Male,India,39,-18.331738132579453,D,C,C,E,0
Female,Germany,43,30.075176533087227,E,D,A,E,0
F,UK,65,-5.236745847235513,C,C,C,C,0
Female,UK,66,-167.32391000869129,B,D,E,C,0
F,India,39,127.30398954055543,E,E,A,A,1
Female,Other,84,147.6576775920172,A,E,A,E,1
Other,Mexico,56,-79.22583153644231,D,C,E,B,0
F,Brazil,83,147.68884745126078,E,A,A,C,0
Other,China,19,85.30515972340667,A,A,D,E,1
F,Brazil,54,-100.50708304545081,D,A,D,A,1
Male,China,55,-48.36872265985162,B,D,C,B,0
Male,UK,29,-44.73368913151286,E,C,E,C,0
Female,UK,29,-3.7662309320909326,B,A,B,A,1
Other,China,80,-130.53636905412594,D,A,C,A,1
Non-binary,UK,98,18.132495961421675,B,B,A,E,0
M,Other,94,67.54045109870638,A,A,B,E,0
M,Germany,81,152.99092921914755,C,C,D,B,1
Other,US,77,-4.026804682833615,E,B,B,C,1
F,Mexico,57,-163.8253318044172,E,E,E,A,1
Non-binary,US,33,-87.83001475390711,D,D,A,E,1
Other,India,21,-18.413389355743877,B,B,D,C,1
F,Mexico,44,-122.24280507853842,A,D,A,B,1
F,China,72,-47.14901659161028,E,E,A,E,0
Non-binary,Brazil,23,-6.264423998167532,E,E,D,E,1
Non-binary,Germany,74,-115.15099939353178,C,A,C,E,1
M,UK,41,158.79250464549943,C,D,D,A,1
Male,India,88,72.08130442913931,C,B,E,A,0
Non-binary,Germany,61,-61.145317336188974,B,C,A,A,0
Female,China,34,-22.74760458144667,B,A,A,C,1
Male,Other,99,26.790959461625903,D,D,A,D,0
Female,US,36,-103.80189657544294,D,B,D,A,1
Female,UK,47,-138.48030273449834,A,B,D,A,0
Male,Germany,47,-32.3593505280209,A,D,A,E,0
F,India,21,-74.71629873985579,A,E,D,D,0
Female,UK,85,-35.38868649173683,D,E,C,A,0
Female,India,25,-125.01069038214526,B,E,D,E,0
M,Mexico,18,-31.660325983741632,B,E,D,B,1
F,China,41,21.36892865689169,D,E,E,D,0
Male,India,45,126.67223293401011,C,B,E,E,1
Other,US,66,-33.065312488834756,D,E,D,B,1
F,China,93,139.13249046166467,D,A,E,A,1
M,China,57,-39.98075459582627,D,E,A,D,1
F,UK,79,180.97951420485427,E,C,B,E,1
Female,Germany,42,-130.7510932623876,D,A,A,B,1
Non-binary,UK,92,76.26727317406399,C,C,D,E,0
F,Mexico,51,80.80791208890193,D,A,B,A,0
M,India,62,17.37387704481789,A,D,C,E,0
Other,Other,22,-8.620983714695168,D,B,C,A,0
M,Brazil,26,-61.66053748091874,D,E,B,E,1
Female,UK,75,-174.8785563327284,A,E,C,C,0
Male,China,96,140.18366624728853,C,B,B,A,1
F,UK,90,150.2459435435336,D,E,D,A,0
F,Other,59,144.87703749504067,A,D,E,D,1
Female,China,85,-34.19023729535858,E,A,A,B,0
Female,Mexico,58,-67.06523119514662,A,A,E,B,0
Other,China,64,-95.40784668062663,E,C,E,D,1
Other,Other,81,82.14422350654019,D,B,D,B,0
Other,US,52,21.09300501035603,D,D,D,E,1
Non-binary,US,80,103.29338723960709,E,B,B,D,1
Male,Germany,39,-30.8495065483398,E,D,B,A,1
Non-binary,Other,56,48.28733077547311,B,B,C,B,0
Female,India,42,129.7148053504367,C,E,E,E,1
F,Brazil,22,141.3669654310254,C,A,B,A,0
Other,Other,77,-116.0869540713464,E,D,A,D,0
M,India,27,55.76488083614461,A,A,B,E,0
Female,US,51,107.743205722562,D,E,D,B,0
F,Other,27,-91.27007957569354,B,E,B,B,0
M,Germany,85,-39.697475291995744,A,A,B,D,1
Female,Other,22,40.89026382791558,D,B,B,C,1
Non-binary,India,89,89.88755325636102,B,D,D,E,0
Other,Mexico,97,-23.104563881363703,D,C,B,D,1
Male,UK,20,32.42743087865386,C,C,C,A,1
Other,Brazil,85,77.19383129896569,C,C,C,A,0
M,UK,69,143.77626944934602,A,E,E,A,0
Female,Germany,59,-15.212738694089733,A,E,A,C,1
Male,UK,64,23.830474985524116,C,D,E,B,0
Other,US,76,-178.6722799706794,B,E,C,C,0
Female,Germany,49,-76.65775630556323,E,B,B,A,0
Non-binary,China,52,116.53641590549759,C,C,B,C,0
Other,India,75,-37.65164087127939,B,E,C,C,0
Other,Germany,27,32.199551648120206,B,B,A,D,1
Female,US,77,-218.51793705557506,A,D,D,B,0
Non-binary,US,36,76.30687561868868,B,E,A,D,1
Female,India,21,75.34808510301907,E,E,E,D,1
Female,US,63,-36.979376231409276,D,B,B,A,0
Male,Germany,72,56.18727235050714,D,A,D,A,0
F,Brazil,89,149.35093520678194,E,E,E,A,0
F,US,58,-34.16709280342807,D,E,A,C,0
Female,Brazil,91,-88.2785465145232,C,C,D,C,1
Female,US,49,-30.15201764568218,C,A,E,E,1
F,China,32,-235.75545593718968,E,D,A,D,1
Female,Other,33,11.109838994046637,E,D,C,E,0
Male,China,76,-229.01950217235978,D,A,B,D,1
Female,US,94,53.23455509136525,A,E,C,E,1
Female,Mexico,61,15.153943900520666,B,A,D,A,1
Male,India,64,11.741536945886816,C,B,E,B,0
Other,Mexico,54,271.8191344160942,D,A,C,C,1
Female,Mexico,87,32.26426887269383,C,A,B,C,0
M,India,84,-42.65328120339472,D,C,C,D,0
Female,Germany,92,77.7286449594297,A,D,C,C,0
Male,Brazil,71,24.902473326614075,B,B,D,A,0
F,China,67,-84.19429274496906,A,B,C,A,0
Male,US,41,24.090176951975874,C,A,C,A,1
Non-binary,UK,66,106.44650348580116,C,D,B,D,0
F,Brazil,24,12.322663810348383,A,D,C,E,1
Male,US,88,-95.97112459620652,A,D,E,E,1
Female,India,84,-99.36929179142466,A,B,A,A,1
Other,China,45,123.71481285480543,B,A,B,D,1
M,Brazil,92,143.72687212355822,B,C,C,C,0
M,India,91,45.74887012465065,C,A,C,D,0
Other,India,58,-141.6225164800835,B,B,C,C,0
Other,Mexico,46,135.41428666200744,D,B,E,A,1
Other,Germany,19,45.0058243702169,C,B,E,A,0
F,Mexico,91,26.149755093845993,B,D,A,D,1
Non-binary,India,59,-52.34865229483587,E,D,A,E,1
M,India,77,-221.97881797259154,A,E,A,D,1
Male,Mexico,98,-152.94706002446142,D,B,C,D,0
F,Germany,35,-45.08326688268683,B,C,B,D,0
Male,China,61,18.869508356922037,E,D,E,B,1
Female,India,36,-95.75234208298804,C,B,A,E,1
Other,Germany,85,95.53308384243516,E,E,D,B,0
M,China,58,23.244524551541833,B,B,E,A,1
F,UK,90,-1.951832479565765,C,C,C,C,1
Non-binary,China,60,42.59908688799309,A,E,A,C,1
Other,UK,98,-161.45940811910324,D,A,D,B,1
Other,US,40,-9.187262182200357,C,E,C,C,1
Female,Brazil,81,-152.01169711614108,C,A,D,C,0
Other,Mexico,36,-132.69291669738826,E,A,C,B,1
Other,India,48,-30.734167378369033,C,E,A,E,0
Male,US,39,-4.6050514698500935,A,D,B,E,1
Female,Brazil,92,-112.32315651086422,B,C,E,E,1
Female,Brazil,29,-37.57191337885187,A,E,B,E,0
F,UK,57,-171.8213912952529,C,A,B,B,1
Female,Germany,81,-3.1117872852297292,D,B,B,A,0
Non-binary,India,38,-119.20257580426654,A,A,E,C,0
Non-binary,Other,87,78.90543819838732,C,E,A,D,1
Other,US,20,-28.673100028040622,B,B,E,C,0
Non-binary,UK,53,-69.83908684268827,D,C,C,A,0
F,UK,62,129.20496115547712,B,D,B,E,0
Other,China,39,5.700242999597289,E,B,C,E,0
Male,US,94,-72.18912716970978,B,B,B,D,0
F,India,58,-13.021692036124257,B,C,D,B,0
M,Other,56,106.24694215977885,A,B,D,C,1
F,Other,93,-54.98966233360013,D,E,A,B,0
Female,UK,24,104.48492796302232,C,B,E,C,1
Other,Germany,42,-69.57845562775776,B,D,A,A,1
M,Germany,49,25.714157462944666,C,A,E,E,0
M,US,24,-67.90513678944494,B,A,C,A,0
F,Brazil,18,-30.655139632223545,B,C,D,D,0
Other,Mexico,74,-100.58549485226067,B,B,E,B,1
Non-binary,US,91,6.998371461429015,C,E,D,B,0
Other,China,90,-125.70091765427588,B,D,A,D,0
F,US,32,73.57972801191104,D,B,E,A,0
Female,US,42,-132.5192253099042,C,D,E,C,0
M,India,47,-33.740288911615835,E,D,C,E,1
Other,China,72,51.52857546652974,C,B,D,D,1
F,UK,24,-114.25944112122026,E,A,C,C,0
Non-binary,Mexico,97,-23.393131782460614,A,B,C,C,1
F,Other,57,90.73495715243358,C,A,E,D,0
Other,Brazil,44,21.020189635012663,D,B,B,B,0
Female,China,57,54.92968252291559,B,B,B,C,0
Non-binary,Other,36,-153.195679271682,B,C,D,E,1
Other,US,71,-20.68469600432545,C,B,D,C,0
F,Mexico,44,-265.9583693844482,B,C,A,C,1
Other,Other,34,-36.18167665949942,C,D,B,C,1
F,Brazil,89,-14.591876047307842,D,B,E,D,0
Other,UK,22,38.0773977565844,E,B,B,D,0
Female,Germany,62,19.909510596301676,A,C,A,B,0
Female,UK,53,37.58629610743433,C,D,A,C,1
Female,India,40,261.2760767865116,B,E,D,A,0
F,UK,48,-35.186733673673146,A,C,E,D,0
F,Brazil,86,5.1840666614482895,C,C,A,B,1
F,Mexico,26,49.20449537945044,C,E,D,D,0
Male,Mexico,96,-22.841030340761158,B,A,D,C,0
F,Other,24,13.29590855850584,B,A,A,E,0
M,Mexico,89,139.67527139686305,A,A,E,C,1
Other,Other,20,19.97206882067762,C,C,D,E,0
Other,Germany,22,170.84283823654187,A,A,E,D,0
Non-binary,UK,83,10.021416119669317,A,E,D,C,1
F,US,49,-33.183147128863965,B,A,E,D,1
M,India,84,-80.28966234072307,E,B,B,A,0
M,UK,64,139.25618976054173,D,B,B,D,1
Other,Mexico,80,139.76469867234985,E,E,D,D,0
Male,India,67,-19.34158125100145,E,E,A,E,0
Male,Germany,89,37.03962851836601,C,C,B,D,0
Female,UK,72,-30.68317399936587,B,D,D,D,0
Male,China,53,29.937056745130874,D,C,B,B,0
Female,India,46,152.99518272164764,A,B,B,A,1
Female,UK,46,33.79551293042118,A,E,E,C,1
Male,China,42,-0.4107674800993615,A,E,A,D,1
Male,US,60,25.773387461213872,A,A,B,D,1
Other,China,94,129.8853591999276,D,C,C,E,0
Other,Mexico,71,-18.580005164264353,D,E,D,A,1
Other,UK,51,0.5786130826102884,B,B,A,E,1
Male,India,86,97.04874391542639,A,A,D,B,1
Other,China,25,-36.506288180976725,B,C,B,C,1
F,Brazil,45,112.95184500853692,D,C,D,B,1
M,Other,34,26.400432953830045,D,C,C,A,0
Female,China,60,-29.552978291421596,A,C,A,A,1
M,Mexico,64,84.4443237441703,D,A,B,D,0
Male,Brazil,81,-76.03666953873267,A,B,B,A,0
Other,India,91,-105.95968875139366,D,A,C,D,1
M,Other,25,120.02276600261487,D,A,A,C,1
Female,China,81,-34.10944152040593,C,B,B,C,0
Other,Other,42,8.475544082345314,C,D,C,E,1
F,Other,32,-169.00523068011253,C,B,B,D,1
Female,Other,79,115.44605811406817,D,C,D,C,0
F,China,55,-101.67752414145978,B,D,A,A,1
F,Mexico,91,58.86283724473167,B,A,B,D,1
M,China,37,-35.73361608173569,B,C,D,D,1
Non-binary,Brazil,35,9.913334258272677,B,D,C,C,0
Male,Other,27,-6.8688258070392525,B,E,A,A,1
Other,UK,67,-5.72425853559264,E,D,C,D,0
Male,Brazil,98,9.74203546458963,B,C,E,E,0
Male,India,34,25.54225967449717,D,C,B,A,0
Other,Germany,54,60.99134294008559,E,C,B,B,1
M,Other,64,-75.84692647400925,E,A,C,C,1
M,Other,29,-163.89859346385617,C,D,A,A,1
Other,US,41,-71.07431266352157,B,C,C,C,0
Other,UK,48,-54.23020549769008,D,A,A,D,0
