anos,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
34,White,321.9881690251515,E,E,-11.55086769290863,131.77960150540892,E,-81.54920074881467,C,D,38.75750975188556,C,C,A,37.83880297922749,D,1
43,Black,-48.0229276973307,D,E,10.879825450306484,16.84065398134039,E,-73.79421103768017,A,E,-87.15857629006194,C,A,E,-88.15013083635529,E,0
47,Other,96.92443261523339,D,D,-95.99255664648709,8.598357868248039,B,-47.74015115852369,A,A,119.8693443496792,E,D,E,-133.39635621105904,D,0
24,African American,-123.08419770492169,B,D,-14.636123299396903,-71.28280818017106,C,227.58085384642993,B,C,114.01399047611507,D,B,C,54.117551777664254,E,1
27,African American,3.903842347079235,E,E,61.291669849725274,-51.71980884011699,D,-188.59351421430856,C,D,145.61962379089724,A,E,A,-140.1988812408893,D,0
65,White,83.16638163691968,B,A,0.4951097960597071,43.82871172904591,E,42.0498721135058,C,C,48.93512736132379,E,A,D,314.89844172690135,A,0
59,Hispanic,-111.29143729130193,B,C,-106.61972343714538,86.99013579186912,B,10.520816566286575,C,B,-6.1747778203815304,D,B,B,-15.368626678079838,D,0
64,African American,-162.48122286102844,B,B,63.63178482331704,-60.67732824195022,D,-83.79115458249812,E,A,-5.649005696214067,E,E,A,63.29512791392062,B,0
36,Other,33.747404623460206,A,B,280.57191714726355,41.52592312086664,D,13.75352725323096,C,D,48.40914345290804,C,D,E,-124.18676812977203,E,0
39,Other,-201.3900275041727,B,A,0.51137605425404,-89.07593396619876,A,-121.36008498517164,D,D,70.79544540429427,D,D,C,-109.83825209306765,C,1
21,Black,-50.73253701203721,D,C,-103.95767385553596,-164.60874753230883,C,-24.225372605694442,A,D,-32.271466767868596,E,A,E,-96.3181000169471,C,1
48,Asian,151.4111671690401,C,E,29.660782235103483,-73.59716457140722,C,74.83975530232888,C,B,-29.81809027195054,A,D,A,89.74468098287002,E,1
35,Other,198.13021854073756,E,A,-70.27078896395462,5.384461357862456,A,-184.23340359300482,E,C,90.21342591221719,A,C,C,-43.19599806660731,E,0
63,Black,-122.08229642500324,C,A,44.055299519643455,119.68465682973341,A,-41.89197371181142,B,A,-38.905305520115434,D,A,E,-61.87110297925983,A,1
55,African American,56.13028397768737,D,B,-81.26756141391421,-39.094643226577,A,-136.15151430402898,B,D,31.43547067039023,A,D,E,-45.588535537766965,C,1
23,Asian,29.729268547129074,B,E,-79.79548797727062,54.932353717330706,E,77.69919523591949,C,E,87.78849078802047,C,C,C,-65.46995882604709,C,0
35,Hispanic,-94.68549991425043,A,E,-1.9448733581394695,55.3901806387539,C,-31.171919602082305,C,C,33.161306746305975,A,B,C,-45.49065783273491,D,0
57,Black,-42.00043898848388,A,A,69.4443751666882,-51.70250315761835,B,-252.0212924767281,C,A,-166.80884849817633,B,C,E,6.046105406903793,C,0
58,Hispanic,24.173739513947037,C,D,160.78365297202797,120.53802424583569,A,-77.23295454579801,B,B,-47.91758608076278,A,B,D,85.54639539481879,C,0
55,Other,109.96406303229259,C,B,-109.89752369715691,-61.94151904721694,C,36.80683651111422,C,C,14.882662285981038,E,E,A,-145.88359319064784,E,1
33,Hispanic,63.339441149014064,E,C,32.883734457759786,66.10353406939335,C,-36.72184410152829,C,E,-189.3771765717766,D,E,C,-14.931882367396145,A,0
75,Black,-17.23331886790749,A,E,67.17656390280568,142.13453970320586,A,45.67978756088926,D,B,-8.81145103274535,B,E,E,-0.04699097780457683,D,1
55,African American,-13.315132902346537,C,A,-25.960288540256492,-14.97234356275206,A,-184.0308630204598,E,E,17.454023128950887,E,D,C,131.27151211440233,D,1
74,White,-90.13399109999374,D,E,43.840733321859176,-97.99365296600342,C,44.69968315160821,E,C,-91.77883979329702,A,E,A,-46.625081802204484,B,1
36,Asian,18.83405180001522,E,C,74.6053116113207,6.753435659532377,C,-54.5138468954263,D,A,5.44112995752134,B,D,C,144.01585392056987,C,0
77,Hispanic,3.4107628703754225,B,E,-99.51930496567448,223.7170077365331,A,-26.888487831490853,C,B,122.61133560952868,C,E,A,67.97342696773818,D,1
49,Black,-100.70242254418193,D,C,-172.0876215073057,108.37679717063453,B,-63.55778111312921,D,D,-160.6214974687017,A,D,A,108.54898514024593,B,0
71,African American,-78.0598525944806,A,A,-55.23697664117789,-4.746656939301119,E,28.69793432098001,B,A,11.241427414580956,B,A,C,128.5584033110943,E,0
42,White,100.84291158619038,B,B,17.0127802477758,-33.43992534306049,E,-78.91526994135982,B,E,0.15700907669870526,A,E,A,183.6908490986416,D,0
44,Other,-10.416327563959065,C,B,-73.17307951114739,105.27136364409853,E,-82.46484975949508,A,B,66.67995869088371,A,B,A,38.73958865056532,B,1
59,Other,-193.44543728674572,A,C,33.98411218876182,-43.52519263185048,B,-138.22305883983833,C,E,-129.7693635452467,A,B,B,85.16182917342577,D,1
49,Asian,164.4167081089633,E,E,45.843300679503166,-227.48360864693672,E,-223.70705830587187,D,E,-148.25447861832274,C,E,E,-59.265629142293704,C,1
36,Asian,52.1380138632731,C,B,67.65018537638218,42.035482522589504,C,-26.256180629718806,C,C,66.226116566159,E,D,A,60.645653584794644,B,1
39,Black,-33.08934030644707,C,E,15.197160075049657,-58.30870761994172,E,140.62021440104556,A,C,-186.53338259874388,B,D,A,-200.20198675668271,C,1
42,Hispanic,-159.99220668487158,D,E,24.60677087218019,224.25632381986424,E,-17.03571459311016,E,C,118.92240318170953,C,E,A,40.77694305274069,E,1
27,Black,-79.134450272152,E,D,-4.332720821506666,105.2721233970478,B,103.91965025850244,A,B,-218.89466988763377,B,E,C,47.10832825054247,D,0
66,Other,64.28433579189672,E,A,133.5280070493513,-109.71725361492344,B,22.260783984707636,C,D,309.3704296966019,B,E,D,47.36969802792543,C,0
70,Asian,11.82975640725787,B,B,7.273323733603171,-72.95343713530332,E,146.5337856034632,B,E,26.69917156701925,B,C,A,-56.16918803183593,D,0
42,Hispanic,41.2610223585694,A,C,-90.30047445633555,-22.99977923715356,B,45.43610105734351,C,B,7.018675132002551,B,A,E,120.69279522701721,B,1
74,Other,126.70308180014847,E,B,-9.160145934009885,-193.27446327194951,B,102.84360660725982,C,A,-26.510070563348943,D,C,C,-52.02149501339848,D,1
70,Black,259.67296844404746,A,E,11.264074278594844,-38.70247433550674,B,-48.87842025808978,B,C,100.06339060395094,A,D,A,152.4411377594554,E,0
18,Hispanic,97.56295012515486,A,A,-53.658106874493384,-108.07786422360701,B,-41.75738665530419,E,B,15.41909726906416,B,D,C,73.15215090307458,C,1
20,Hispanic,53.09072389805204,A,B,97.58867987966524,-114.73197056820852,E,-194.97847626659566,A,D,174.60103721603159,C,B,E,-258.72659951971065,B,1
49,Other,-31.270191411977315,E,C,54.524373938257774,-15.38172132939384,B,-162.7337341090287,A,E,-42.568080740003055,D,D,A,-18.873880464691744,C,0
35,Hispanic,9.771536180362345,C,A,28.20953942799898,-141.65120843604558,B,-15.825660998097993,E,C,-2.1462140608793794,D,C,E,-10.73156192383463,E,1
34,African American,-26.900318500027037,A,E,27.609500979414246,-31.301283416112145,D,35.951460747951074,D,A,-19.796831545017394,D,A,E,144.23513249471404,E,1
48,White,-53.24786016805048,E,A,-6.448713899171723,-138.31958269346788,C,-102.85325218829283,E,A,121.48670246304567,D,B,D,-35.39041614281386,A,1
29,Asian,180.07219257686157,B,B,109.40295952067638,-18.975258641592447,C,-14.01490289677853,A,C,11.028635186878647,C,E,E,124.74064477958946,C,0
36,Black,36.88837349398262,A,D,18.911028238703757,-50.49202360666168,C,-90.9995472759214,A,B,61.83710316620071,D,D,D,66.54729259295576,A,1
25,Black,-5.000912778563242,D,A,-102.60470603448167,70.85756783319059,E,-51.653950763573185,A,E,-91.63562924542556,D,B,C,-185.49184346666286,E,1
70,African American,24.81760769987976,A,D,44.56909098239377,27.061611467757974,E,79.21664707902075,C,D,107.86554484663094,C,D,C,-34.89235224407017,D,0
66,Black,159.92215250087486,E,D,-67.88681152371392,-91.10087453231587,D,29.838574177248855,C,C,-30.016499681069362,E,B,B,60.867072336602604,C,1
52,Hispanic,165.8957533240808,B,C,-92.02814715683164,-196.7039745207239,E,101.3752967633404,D,C,139.86746568269152,E,D,C,-30.934100273989166,E,1
71,Hispanic,84.4118551188524,D,D,6.605990786704842,-27.09185388026187,A,-36.05623339197939,A,D,57.25283073741294,A,C,B,-133.50692033579386,A,1
40,Asian,20.49195152346744,A,E,189.69233155028016,117.62575046427324,B,-58.901954621836,A,E,-53.57858092050927,E,C,A,38.03611689565146,C,0
44,Other,27.47358625051864,E,D,-7.316096818488438,118.7913190507291,D,43.231600750200485,B,B,202.05223110986825,D,C,A,47.6344251196235,B,0
21,Black,-46.092840273522164,E,D,-67.9063068481794,-54.874445026793296,D,30.64247507486673,C,D,-145.67100160987775,C,B,C,-50.45263142490739,D,0
20,Asian,21.949905020658306,B,C,24.295155789155352,-132.0688058302317,C,-75.23276924067036,D,A,111.00656078340918,E,C,E,81.02592269591943,C,1
20,Other,64.29921336173312,B,D,-42.76621653474901,3.548636422798901,E,70.88047542865094,B,B,-32.041161264808,C,E,A,11.232684467070904,E,0
53,African American,-57.35148862373857,B,D,159.3575718101682,185.7342833403405,C,155.7739727325564,C,D,-45.116030112703164,E,D,A,-49.971471314818906,A,0
78,Hispanic,-101.39563939149907,C,C,33.85170994266037,-245.12206800744445,A,-22.311485833314357,B,E,-20.190314086030305,D,C,B,103.60488126027288,D,0
27,White,-167.86250180805578,A,C,-152.64703857889998,-189.0209249409023,C,80.75325455088999,A,B,129.6172822325213,E,B,C,-84.57898621566584,D,1
26,Other,105.04083711116188,A,E,-40.925107239324625,-110.03561491529004,C,179.43174454988574,A,B,-132.68208784566897,E,B,B,14.557985770171891,B,1
28,African American,145.36797398864246,A,E,40.013603174562135,-98.92521486185753,A,-56.514374398669595,D,B,-66.31150161638509,D,B,B,-62.68709404969497,D,0
46,African American,-32.57004387006484,A,D,-87.73762549223622,-20.215717157844004,E,-171.24691027417197,D,D,-156.2661623685686,A,A,C,-17.843922386338015,B,0
71,White,-125.31812172433028,D,C,54.442695862026326,-21.896346287681098,B,94.82233022195811,D,D,30.888072484121388,C,B,A,95.24580377293404,B,0
66,Other,8.838606922393536,B,E,-115.9870366080356,-86.95233620683396,B,-69.17968069290319,D,D,24.413667975869956,B,C,E,-108.76245640004909,B,1
55,Asian,20.190401835674677,E,E,-119.44864302964548,-28.044418371736885,B,-106.97941906839823,E,D,19.396829571983673,C,B,E,-84.20349297289805,E,1
42,White,-116.32921367166861,E,C,-173.47880105604398,30.6016403862959,C,-158.23489909269938,E,D,-10.175426948563917,D,B,C,-26.27693138940796,E,1
64,Black,208.83885839975696,C,E,-32.996430450915796,-176.26313289084138,A,24.7819818985282,E,B,46.7127035875521,C,C,A,-189.56685522054872,A,1
71,Other,-65.48952660597844,B,E,-116.24203504574588,-107.4175963194031,C,107.52095371125401,E,A,-44.643607536051604,A,D,A,177.79566276572376,D,0
64,White,118.98054089540666,C,D,88.23627048517623,17.14038893742433,D,-179.0583922513647,A,C,50.396151869995954,C,D,A,-3.3227067773578938,D,0
68,African American,-4.1596220088411,B,A,-174.25863924124943,-67.6259615424705,C,-171.01479016163677,B,E,-58.47830378639514,C,E,D,40.75021574196911,E,0
27,African American,45.565658837863026,D,D,-81.69166785573319,257.2271434715304,D,125.96450936149259,A,D,100.40431114829089,E,E,C,-110.10847110474546,A,1
37,Asian,64.84203246784168,B,D,-184.1639514977588,78.46165605527962,D,-39.38946454436562,C,E,134.11441537917068,B,C,D,18.779889882366447,A,0
79,Hispanic,59.37679693491303,E,C,35.80428506983931,-93.82130789172078,B,-23.95247622662894,B,D,49.011794928636085,B,E,C,-26.59506516774442,A,1
41,African American,103.1907471901833,B,B,-15.735172148258616,-40.59680616697356,B,186.00646372347143,C,A,-35.18521439003593,B,D,C,-139.85838923972443,A,1
44,African American,-126.6627618152958,D,E,111.50690078301074,25.809481603758393,C,97.71949488848338,A,C,27.763480636332705,A,B,C,122.29169376752711,D,1
58,White,-52.58851803974799,C,B,-44.136519732116504,-162.48407515360014,B,-48.32334797696291,B,A,-53.011156518926825,D,B,D,24.314625305558994,B,1
30,African American,26.80650409140229,C,B,6.737114468631204,-116.87074646765248,E,-25.478423124224847,E,D,114.95673554260539,D,D,A,55.448278555189155,A,0
62,Other,-24.445701302510297,D,C,61.014669135593635,-186.2104615038951,C,187.69460466152478,B,B,-217.65650141978577,B,D,B,38.35211970069835,D,1
42,Other,138.8100695652567,E,D,13.6883409477014,-82.20603371598894,B,-82.58844853049425,B,C,11.499412389791464,A,E,A,86.02680379172567,D,0
76,Other,-105.49481010120014,A,B,-24.84053126148798,-154.34817580680317,E,55.09067233273029,B,D,-186.44100892839836,E,C,E,-78.53041180782728,C,1
70,Asian,-33.02444518126406,A,A,24.10784957061247,-45.49549059241872,E,102.39721353212803,C,A,135.3970173179212,D,B,B,-124.92157873270786,A,0
47,African American,139.77447685985396,D,B,-165.08739774770856,-109.30691715003091,E,143.3195230632619,A,B,9.630020161262626,E,A,D,95.96014582989034,C,0
60,Black,-19.20468979690596,B,E,-172.6966756312027,5.55214684686419,B,-63.04648228826129,C,E,-88.91051597609514,C,C,D,127.21064769606822,C,1
46,African American,-110.48672278223499,D,E,-173.16972139150792,-22.26046592867842,B,-78.69686960092008,E,A,-118.79711161816205,E,D,D,21.738011070874215,D,1
28,Hispanic,20.014883870675217,D,E,-104.13003959201406,100.81772060242355,E,65.55450963878052,C,E,104.04183598778343,C,A,E,-160.25454010230794,E,1
56,Asian,75.79097129272341,C,A,-77.64266733989031,163.95952246779655,B,63.03532290744195,E,A,122.33278082402302,D,E,E,75.57144679907692,E,1
19,Hispanic,-48.64189916891532,E,E,87.57300831980479,122.82244857333033,B,146.1630248734006,E,B,-162.3234257687344,A,B,C,54.847909138057915,C,1
56,Black,-148.1820094942808,D,C,52.792051951720694,179.5717365836304,C,138.397844476218,B,B,-25.612290933076505,D,D,D,98.81795891555886,E,1
76,African American,-257.158938025888,B,E,123.81448626784658,35.26308600324038,E,15.507006681338902,C,C,-31.280544622714206,E,B,C,-63.59354158027715,A,0
65,Hispanic,-245.71778056136017,B,D,59.233261737797214,83.9936909994729,E,81.57480752633555,D,B,215.7993302803717,C,D,C,46.95764053961807,B,1
34,Black,-78.09596673856984,E,E,-23.50089998633474,-55.65328545807515,A,180.71127446420044,B,B,7.662959979883268,E,E,C,97.03482816901831,C,1
46,Hispanic,-211.6822270345177,E,E,-267.28713203494095,85.48657051704453,D,-17.61197663420071,D,C,94.3823905205493,A,A,C,3.883454629128407,B,0
55,Asian,126.47059155369307,D,C,-39.0572763313088,140.14719837141828,C,-43.72986536812354,D,B,182.926619912384,C,C,E,-129.77866869814486,A,0
44,Other,110.56193132587498,D,C,31.226483861638737,94.85165694230794,A,-4.159183369001472,A,C,-99.7638482867343,C,B,C,60.04255051687317,C,1
47,African American,85.60025611700318,A,B,48.40465730209005,-92.51432485753134,B,83.5863540279519,A,B,20.55721044484334,A,E,A,65.16499796837265,B,1
28,Asian,175.21437670544,B,C,172.17411120522135,-166.80258244535932,E,-59.198539653181115,C,B,-216.281148147358,C,C,B,-120.6646082365322,E,0
29,Other,85.1177246831658,D,C,-65.62949786505288,140.5700587017189,E,63.50173569506315,C,C,-91.28142581059333,C,B,D,-115.09770148134596,E,0
30,Hispanic,129.90401613545296,B,D,15.518529647147309,139.4854954484103,C,82.77274263740541,C,C,86.39381953867525,B,C,C,-86.44646756824855,E,0
37,African American,35.6838194305415,D,B,-51.97013858073718,55.33339601088769,A,-70.07893426467926,B,A,-40.166617695275306,C,E,E,89.08666665118542,E,1
18,Hispanic,-199.32032293743288,E,B,-75.64082123187376,-70.72060962088533,C,-59.23812746153605,E,D,148.14179620144085,D,C,C,173.6610150489429,B,1
53,African American,21.037436190206066,B,D,-15.985498662155706,-11.487850045548285,D,118.06989997952273,C,C,103.10485889614291,C,B,B,-74.99526359815967,D,1
58,Asian,30.285507686177155,D,E,-46.43373358120711,-4.982415823400735,E,90.64525348228328,A,A,71.07503518220079,D,B,A,21.766692997230212,B,1
47,Hispanic,23.445551478506207,D,C,-113.68359419721696,-72.75510488432069,B,11.505372272032943,B,A,116.15354754739928,B,C,C,-18.834240218593695,E,1
74,Hispanic,-59.777175180882914,B,D,21.08259643641682,-16.759411965236456,B,-32.24093994379751,E,C,121.5723217476109,B,D,A,-5.871888564901476,D,0
79,Other,-149.283730325047,E,A,-29.63001900351532,-163.6432705227652,C,-24.731795780264772,D,B,-149.93700824460322,C,A,B,15.007749260160072,A,1
47,White,-7.61294444854753,E,B,-4.892219832496809,122.389310211252,C,134.01609051472366,A,A,20.131064417536233,E,B,D,-80.99082007178252,C,0
35,Other,-145.33932597723563,A,C,-53.80429322660116,-54.82031902943777,E,41.06625219669834,E,A,-7.031673925756928,D,A,C,139.27271110802306,B,0
57,Asian,-30.6445134593978,A,A,-10.871190922857314,-81.71131590957562,C,-10.709622957308147,D,A,67.46242187714279,E,D,B,-61.67147686983677,E,1
75,African American,41.474433289511374,D,E,-40.0656433226685,-4.900305951073867,C,-25.975035170947784,E,A,52.3644023905519,C,C,B,-32.41175922922714,C,0
53,Black,59.59975137368351,E,E,56.41480544942951,-20.8437133306112,A,-13.774711663119069,D,A,38.702001505379314,E,E,A,3.682183248169429,E,1
19,White,0.8178584267668388,C,A,111.32754712918495,161.4099290893812,E,-6.672828430188252,D,B,-253.0554990208199,E,C,B,218.77304789557482,B,1
62,Black,-72.40981880442747,B,C,-119.79994418508208,-145.34210330465095,B,161.20385584176609,D,D,-61.15751669085161,A,A,C,-8.17091613013548,E,1
70,African American,89.3987443779175,D,D,258.30967528198374,58.31114522953228,A,-107.28064567785903,C,E,140.72131440179623,D,E,D,163.1818126912645,C,0
43,White,13.253854370558575,E,E,266.3212721723228,29.188656047997934,E,78.31762566740917,D,E,-99.2599839843727,A,A,B,-56.729194771512404,D,1
34,Black,6.256270322161263,E,B,53.47893617598838,116.15349784272631,D,-77.95384290028234,B,E,22.991729949508755,B,A,B,182.81076214887412,D,1
28,African American,9.71521780721361,B,D,-134.50524777083092,39.06466412971549,C,201.63524884513802,E,C,-48.54017883425537,A,A,D,-81.40089153467639,A,0
57,Asian,-78.83592655364681,D,D,-81.81781340067047,-157.20506516978062,E,162.61625418175467,B,A,-233.72896422221245,B,E,A,23.163598107171563,E,0
56,Other,23.33267519552169,D,C,-115.48463122618496,-41.08437738241078,B,138.52479399509227,A,A,-64.91826331414032,D,A,A,88.82241279302093,C,1
19,Asian,96.84975219390816,C,B,109.07393886777676,-50.46659426615283,A,-88.73574534169887,B,D,113.8221267866791,B,C,B,87.4931032885566,A,1
47,African American,-120.98033230435863,E,C,9.520982049239235,86.8064150598688,D,3.3000478078102162,E,D,-156.2630056670388,A,B,E,72.5256271545377,A,1
26,Other,50.94500055787062,C,D,76.23353752750988,44.9873347942096,C,85.96243500430313,A,E,72.28174321665779,A,E,A,-149.96622011575025,E,0
25,Other,-140.24124256316557,C,C,-29.61048360343122,3.146751888076659,B,-40.617684080569425,E,C,59.29428485618844,D,D,A,-37.73826673267158,B,0
34,Black,18.0869984284583,E,A,32.696335806535345,-35.450297138061195,D,-80.19000792956632,B,C,-128.88753751045212,C,A,B,-124.87730457821493,B,0
27,Asian,-83.49857200837808,D,D,-11.204363395261952,117.9072136445804,B,-145.5673211971075,E,E,-99.7362990373667,C,C,B,232.5870748575332,E,1
20,African American,63.1293629801695,A,E,94.67759562678158,22.69257510252109,A,49.86375471983703,C,A,-82.35980775077584,B,A,A,8.2483343557516,B,0
48,Asian,-11.744861658931223,E,C,101.33150740821995,2.82823702685264,B,33.57866928726562,B,A,-89.50044237089111,E,E,D,30.049778481283763,A,0
34,Black,23.704581755031846,C,C,64.17134058040523,111.39218624942669,E,-104.61353033746576,C,A,133.97174130922346,B,C,C,34.60129594736947,D,0
37,Asian,-92.22069286847417,C,C,3.443078206216728,27.13150646090424,E,-66.56319784707392,D,E,146.66497986144978,C,C,C,-55.09895131804505,D,1
76,White,-79.4046109139884,D,D,-63.87380409071809,136.32811699553,E,-159.36461723615523,D,E,-59.45211156304679,C,A,E,71.24599767476586,E,0
75,White,-64.99070971189406,B,D,109.86395327939597,-32.1496318330815,A,-23.551768153031887,D,B,25.697233309221783,A,E,B,11.245964012945736,B,1
66,Asian,-95.5100176531812,D,D,0.21771349693958134,113.6574080039628,A,246.58806496583026,C,C,77.79034242598767,A,C,A,-82.60062172444303,C,0
68,African American,-193.31770790395558,A,D,-135.5295673731128,31.895538528504126,E,196.07278985257906,B,B,71.41185466852895,A,D,C,-43.10397951086175,A,1
58,African American,-16.979810053035806,D,B,-87.16692800447103,-12.099863829727383,E,-63.02304529886401,C,C,63.65013510273712,A,D,A,162.2653365852129,C,0
42,Other,64.90941920262566,B,C,96.84962183897316,5.5682374163117165,A,112.08993060468704,B,A,-26.677756580374222,A,B,D,-185.581176406797,E,1
42,Asian,-63.88554753232025,D,E,120.95093656664693,-123.51935493764921,C,135.38954172534855,D,C,-50.87213769486899,D,D,D,27.277340359195417,E,0
79,White,64.67983766456747,B,A,-37.21376033705421,43.05377548104067,B,144.9794472793085,E,D,64.08815401519233,A,B,A,-1.476037359162777,B,0
57,Asian,-117.79660850687905,E,C,8.466127439455045,41.26526487270048,C,-138.5122850739545,A,E,-178.5240562709339,C,D,D,-127.65456715894632,E,0
66,Other,68.08916861112948,E,B,-225.48995639018102,-100.93601775860428,C,-70.27762849178401,D,D,57.77296608505375,A,C,E,-170.5764652048506,B,0
49,Other,-14.619975560440936,E,B,66.81615386425571,80.57964860890084,E,87.91690780064079,C,B,1.105304074521127,D,B,D,-80.74251144235514,A,0
50,Asian,-6.237471100716907,A,E,78.70075714416292,-97.79206170477369,E,81.6134472272504,D,C,168.62791478044642,D,D,B,40.194527605340525,C,1
78,Black,-33.62839056509486,B,A,-16.76170723578034,-48.6824000452212,D,22.17115068524539,A,C,69.49969660870961,E,E,A,131.25960996120224,A,0
68,Other,248.59705509482856,D,D,149.88856835233187,-20.89151403890789,C,128.85036981884156,A,C,-57.03438403137583,B,C,B,-125.14992907355558,D,0
68,Asian,62.58912601184132,E,D,122.58457242910075,50.09775054144673,C,-19.34385844056981,B,C,40.195667771373074,C,B,C,-161.89797805331438,E,0
31,Hispanic,84.56658137872145,A,E,20.71197000047947,-57.52031137770922,E,-64.04451145425996,C,D,-87.24165450448017,D,A,E,-129.564711827606,D,0
73,Black,-41.884040250219606,C,D,-189.74016813198065,-293.623187170674,D,-33.859033385454346,C,E,-34.441519892547475,A,B,B,-13.632857300752976,A,0
58,Hispanic,120.11130822457037,C,D,238.78483221384136,-129.44184669303877,B,-39.497612854688356,C,B,109.47941564609832,C,E,E,-61.96221953380437,E,0
74,Asian,-117.19422407597719,C,C,-80.28413975778936,-80.77878727094475,A,-11.583632091158181,B,B,15.893597766260982,E,E,B,224.46964702122943,A,1
48,Asian,221.38351440276728,D,B,4.057188154313967,6.1320578403772075,D,-218.31238708935592,C,B,10.531039804228868,E,D,E,-26.906169043823585,A,1
57,Hispanic,-93.02930551702623,C,C,42.669392629793826,-159.31598034613984,A,-164.02511825839838,C,B,82.4016938132222,A,C,A,-164.7016121477059,A,1
51,Black,-74.08286146780826,B,D,-100.15634967966282,41.60298007352266,D,-28.397639096261283,C,A,-91.45161387130014,D,A,A,83.00692045426493,A,1
42,Black,-45.208839641526986,E,B,-32.36977096340616,-54.19942439314996,C,-17.31947684609016,E,D,106.32234542962031,A,B,E,6.328616620342503,C,1
37,Hispanic,74.31913955647292,D,D,230.2954737209375,19.37865537314365,B,-182.65919710536977,C,B,-32.09845038130633,D,E,C,-77.63214095389708,B,1
23,Asian,-37.63627498404812,C,D,-44.964879364605274,89.99026931628087,A,-129.88896618400494,C,D,179.2513904521997,A,A,A,-88.43811164726415,D,0
22,Other,71.11925975144425,A,C,73.66386153033089,-9.638596522316162,C,127.08475433827292,D,B,-27.954451866829977,A,E,E,-108.84963238354435,D,0
51,African American,76.44699142385363,D,D,-30.195155834402005,108.38534970945213,A,-138.91744189969987,B,A,-39.67613451586406,C,E,E,-71.55789267755765,D,0
61,African American,-59.14446491284006,B,E,-78.21077776454835,-130.81003554107278,D,-3.1903648815958654,C,D,-47.26071859350635,C,D,B,120.67226568486946,B,1
63,Other,94.12053131509532,B,B,92.99588674069827,34.384093648345065,C,57.4551606848521,B,C,-55.103244217125926,C,E,D,-143.52694760851833,A,0
