age_range,disabled,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
18-25,Mental,Brazil,D,E,E,40.9869312624533,C,D,23.858273772777398,-123.56548266829104,-121.36413044313667,A,0
51-65,Both,India,B,A,E,119.83941930538047,C,C,-29.896309578796348,-110.60879501566005,-24.30175718278349,D,1
51-65,Mental,Other,B,C,C,-128.4101072616992,A,B,123.13295874215765,78.99701682040944,56.47450063539803,C,1
26-35,None,US,A,A,B,85.14249349244952,D,A,63.51368390644527,115.90420055350354,65.15539850694586,A,0
51-65,Yes,US,E,D,A,63.957252285532626,E,A,-36.051142541328545,96.89579032932116,32.77078758435974,A,0
18-25,No,China,A,D,B,95.51020204429017,A,A,-97.75714081513382,117.00842516551502,-73.44289274667364,C,0
51-65,Both,India,A,E,B,91.41556359364884,B,E,-152.6611022976717,-13.63857335698503,-88.40576636131546,B,1
26-35,Physical,Mexico,D,E,E,-110.20600507395935,D,C,-30.609547044365264,34.88700428770038,-14.356784753459701,B,1
51-65,Physical,China,B,A,D,-22.67389760898464,C,A,-31.661438079140975,106.66313524801242,81.80725684795318,B,1
26-35,Both,US,D,A,C,-49.69604451164344,B,B,-98.38646717163405,-19.720847832994107,-118.51213838480774,E,0
51-65,Physical,US,B,D,B,65.96911776313672,C,B,-99.84404751180749,-112.07633228135805,76.58857876499872,C,1
36-50,Physical,China,E,E,E,97.60366111526065,B,C,-29.190585785730917,174.50740039146112,39.99304961669459,B,0
36-50,Yes,Brazil,C,A,B,94.14825518334635,B,C,-33.54300401995466,10.422412110065405,137.17112732928572,B,0
26-35,Mental,Germany,E,C,D,112.1483405243322,A,A,-63.48441173938265,92.32236166511835,80.16518245950755,D,1
18-25,None,Mexico,E,A,C,-22.43330152584848,B,A,-45.51340282147979,-73.03789849055357,108.48149812226211,B,1
18-25,Physical,Germany,D,D,C,-3.6015119325730462,C,E,24.574958965391673,-176.5206549645728,28.96924629520831,D,0
36-50,Yes,UK,E,B,C,-101.60942550644458,C,C,54.6076433115993,-202.61423339546374,-72.15004544753893,B,0
65+,Yes,US,D,D,A,-60.342894388693324,B,D,-176.37365656779198,-83.7577624369725,-34.229081865952935,E,1
18-25,Physical,Brazil,B,D,E,122.83459475666723,A,C,-31.24157859701865,52.16531985996043,-128.13984335053178,E,1
36-50,No,Mexico,A,D,A,26.436651191138367,E,E,19.42512956998101,-270.89532966362674,-140.4315731704652,D,1
51-65,No,Mexico,D,B,A,-91.90079307231763,E,C,7.088188974464135,-154.48255205776852,95.98032963196239,C,1
36-50,No,Mexico,E,D,B,-18.47960976209937,B,A,-206.95020130830056,121.56573957153174,-12.97180391642046,C,0
18-25,No,Mexico,D,A,D,-116.43450409296987,B,D,33.47490747121669,37.44429643729485,-56.41296741457273,A,1
18-25,Mental,Mexico,A,B,B,-37.53043277942534,E,E,-69.12767526565746,-12.458326705117074,117.15934044548146,C,0
65+,Mental,Other,C,E,C,-16.281467608565904,A,B,-151.21503008777503,220.9554470087645,162.14152064518854,A,1
36-50,No,Mexico,B,E,D,-125.73735065781004,B,D,40.28077414356909,-93.35978093191517,-187.71847053208157,E,1
18-25,Yes,Other,B,E,E,139.43906378903176,A,B,110.30817967332543,-65.81507617236896,61.65280150583254,C,1
26-35,None,US,E,B,A,104.3225508759549,E,D,38.68321897166273,37.911025045419755,-25.170004861442045,D,0
18-25,No,India,E,A,B,-56.883079888734365,A,C,11.021585558398352,-12.897047213051268,101.58383263823434,B,1
36-50,No,India,D,A,D,64.5964619049667,B,D,-136.28984884244932,-71.24332505768804,-94.10272125229501,E,0
51-65,Yes,US,D,A,C,-24.101840907023238,A,B,-30.46721419958335,-227.67219863932425,-20.557845646610808,C,0
65+,None,India,D,C,C,26.00143440013911,E,A,61.05081220783881,-45.977250378341914,-134.3157495284054,E,0
36-50,None,China,A,A,C,-93.30827969117489,A,E,127.2738905838138,-15.806914252613657,121.60552253968844,B,1
36-50,None,UK,B,B,B,-181.85369633133882,A,E,75.49131650322705,-4.919778074345558,-75.99765626513289,B,0
18-25,Physical,China,D,A,D,-93.56747501903567,A,D,-196.70309263931358,130.7395387250132,-44.10371391363106,A,1
18-25,Mental,Brazil,B,D,B,18.360097861249447,E,A,-120.23037240575043,236.98175529436134,53.92648678493439,D,1
51-65,Mental,Other,A,E,C,-5.597685090814538,E,A,-2.7612722561527114,-2.220729170450028,-96.56647244396524,A,1
36-50,Both,India,D,D,E,78.65137870794139,E,A,190.48989743147328,132.36241983377192,174.88499041379146,E,1
51-65,Mental,US,A,B,A,-47.75982093279374,C,E,-73.174297947184,-256.04603428038473,-54.409914563686876,C,1
26-35,Mental,India,A,A,B,-224.25615995926594,C,C,-105.0906380958083,-59.88977769411039,-9.512973636506109,A,1
26-35,Physical,Mexico,E,B,C,-86.87323903376995,A,C,-144.49634846287736,-17.419079925632325,22.344699424036055,B,0
36-50,Yes,Germany,B,B,A,73.96245813562945,E,A,-120.5100562151492,58.53850648324336,151.3606395028022,A,0
65+,Both,US,A,E,A,-20.81557042147763,E,A,69.79998930311888,144.64228132893174,-94.79854025919904,A,1
51-65,Yes,Mexico,C,E,B,79.16555343012391,B,E,-51.48531515555893,143.30988683661317,-151.21505515328596,B,0
18-25,None,US,C,B,C,-91.36853334645888,E,C,-140.5268517358438,14.195310230398436,-40.16758017546684,E,1
18-25,Physical,Other,C,D,D,-21.546077679612686,A,C,-107.48784425574325,-199.07464368416,59.74390991021833,D,1
51-65,Yes,China,C,B,C,-9.383840525254481,A,D,112.09717616948373,-179.12915610033352,65.1938141414785,E,0
36-50,None,Germany,B,B,E,2.5334781556357857,B,A,67.68293455830276,-48.45089653378961,-109.39348781417178,A,0
36-50,Yes,Brazil,D,B,B,142.94568774662588,C,E,208.8921931647815,-23.707069163878565,72.31975852274822,A,1
26-35,Yes,China,C,D,E,-47.752750649089585,D,C,44.53832690946808,62.5861793877443,60.05322500179149,C,0
26-35,Both,Germany,C,E,E,47.89543638320267,C,A,94.63470043369597,-21.826888940677215,-256.39049386088624,E,1
26-35,Physical,India,E,B,E,-4.478239341810572,E,B,-114.5668410125921,-37.19182962945051,-66.2518078316684,B,1
36-50,Physical,India,B,A,A,33.67365349438861,B,E,41.168332708779225,-91.28778022500052,3.849928812134609,C,0
51-65,Yes,Brazil,C,C,B,71.28352463122694,E,A,4.98102080857706,-171.21687690658604,-31.25761917896497,D,0
65+,Physical,India,E,A,A,-100.43189456169198,C,C,14.755784746923245,103.15854736386893,-132.20335211908372,D,0
36-50,None,UK,B,E,C,12.147383146090833,B,E,273.6276513123889,-96.26237462375164,22.613500080862277,A,0
51-65,None,Other,E,D,B,49.44442143216567,D,D,-63.262948988074044,136.05279865798443,-83.09028515013202,C,0
18-25,None,China,D,E,C,-106.31234780963139,D,E,24.219797604551623,108.95254559772283,5.942450304077368,C,0
51-65,Mental,Other,C,B,A,-108.42889961823965,B,B,11.514557314946634,34.27729078886862,101.93716397310438,E,0
26-35,Yes,India,D,A,C,171.58682744545825,A,B,77.88416172353891,68.01739893948361,-5.275531518083074,A,0
36-50,Physical,China,A,E,D,90.89926728207307,E,C,-30.730355824611927,-52.27385473197882,72.06314628863647,B,1
26-35,Both,Mexico,A,A,B,-103.40051470649618,A,D,-31.094497761213013,-48.81156098808622,-56.70546491187123,A,1
26-35,No,Mexico,A,D,C,100.95631977695503,C,C,-95.69509329696615,50.806649016865194,-184.1169517115603,D,1
36-50,Mental,Brazil,E,A,A,1.588454231078559,B,C,185.4122610988163,9.853370252933766,5.778116296332624,C,0
51-65,None,Mexico,C,B,D,103.58339963185834,C,D,-23.328559083386487,93.61397415125425,16.011099358874006,C,1
36-50,None,Mexico,E,C,A,-71.37954762204973,C,E,92.24291286693492,-49.48636142713308,-98.93180725857205,C,1
26-35,None,India,C,C,E,83.44624775783572,B,C,18.223155929586778,-52.30055133425533,-121.84961799056472,E,1
51-65,Physical,India,C,B,B,-16.926862084817948,A,B,30.203539728155963,-120.76493129459058,-32.303512271240535,D,0
26-35,None,India,B,E,C,68.21822472820685,E,E,-191.47563857006955,25.22036167263721,220.0928423402289,E,1
26-35,Mental,US,D,D,A,142.39196493701442,C,E,-155.7844347486682,125.14730310989476,-91.88922220867083,B,1
18-25,Yes,Mexico,B,B,C,-59.04450970281449,C,D,-8.085065942844043,54.610026045832626,131.03583925849938,B,0
18-25,Physical,Germany,B,D,B,36.63250210699443,D,D,178.75066011893495,55.38112095644478,44.76312277187679,E,0
51-65,Both,UK,B,E,E,-188.86402087838204,E,D,49.92331830268643,-43.09577519825235,126.04945771480428,C,0
18-25,None,Mexico,A,C,B,-25.944940003269256,A,C,303.1335393708454,-54.86686887449456,66.75665532225696,A,0
18-25,No,Germany,E,B,C,-3.622622364545242,A,C,64.2325962150888,-67.76428856133765,-60.743898610936576,E,1
26-35,Mental,Other,B,B,D,-272.4788969704141,E,E,-48.03117331439269,23.370803041548633,-33.155263429000634,B,0
36-50,Physical,Other,B,B,B,-43.69627223136535,D,B,65.02464426035439,31.221516055647463,9.282863083056395,B,0
36-50,No,Brazil,D,A,B,165.67847539568018,A,D,18.247889222925142,-1.3424311243495757,-69.97278490825695,B,1
26-35,None,Mexico,A,A,E,-78.48347410811925,A,A,224.80355393670837,-127.80819995264643,-146.49347680339437,D,0
18-25,Mental,UK,C,C,C,-72.76589696000157,A,A,26.93296385618978,98.1493266653513,48.25042221994413,E,0
26-35,No,India,D,E,C,-18.821863239964685,E,C,-16.543589151281648,-27.624728915785695,-94.39193492370636,C,0
18-25,No,Mexico,A,B,D,-107.74350048903032,E,D,-73.07354505799631,-124.79416887849332,32.126558047776946,E,1
18-25,Mental,China,A,E,E,48.772831578495484,B,B,-291.8139654678584,70.07168060506388,88.65674997110587,C,0
18-25,Yes,China,D,A,E,-29.956243440315973,A,D,-127.28405580635108,90.22642603349847,-42.495290692401916,B,1
36-50,Both,US,A,D,A,-35.447177619622636,D,C,-65.85784298804394,33.65409430069249,115.43466843508448,C,1
51-65,Both,Mexico,D,D,E,85.38011029330632,A,D,92.03131122074633,7.668450154408438,114.27040117885107,E,0
26-35,Both,India,E,A,B,237.19983907181526,B,E,107.75318776102618,113.3615419083888,-36.21741218180346,D,0
51-65,Yes,UK,B,D,E,15.173735706332034,E,A,-185.72081575643494,110.82205666039474,-288.8961508587787,D,0
65+,None,US,D,E,C,178.6349335033838,A,E,-72.94762537415734,132.44367552324155,-37.00495004947352,B,1
26-35,None,Germany,A,B,C,-17.74048344303805,C,A,54.104373243687895,-5.779778690014852,-45.91233751259848,A,1
18-25,Both,UK,B,C,B,156.13201619188115,D,B,92.35649898186898,40.5850897644669,-87.97458737491195,C,0
18-25,Mental,Other,B,A,D,134.29601360571326,C,A,172.6283133519125,42.672612124861956,162.9279887346814,B,0
26-35,None,Brazil,B,D,B,100.3354326445421,B,A,74.75540660451485,5.338753565872532,-269.8930216150821,A,0
36-50,No,Mexico,E,D,C,66.71761663162783,D,D,100.34856251350884,-2.5025288776579853,37.47391843275063,B,0
18-25,Mental,Mexico,A,D,E,115.36788018917387,D,B,136.3819933983476,97.29041492150519,-50.018837476263535,A,0
65+,None,US,E,E,B,84.8154575881515,B,D,-9.489522089668691,-46.56123278175395,37.33781195533141,E,0
65+,Yes,India,D,B,A,-102.7916345321982,A,C,-84.21781667509893,-32.1075309552034,21.9727778879321,D,1
36-50,Physical,Brazil,E,A,C,-188.870365325549,D,E,49.92075030642043,35.883004170405165,-1.986858412192885,A,1
18-25,None,US,C,E,E,19.890142753749153,A,E,-132.4141143608718,-101.78238527995185,-7.458010922626962,E,1
36-50,Mental,Brazil,C,E,D,-30.45737136891031,A,B,-91.33706138923588,-104.27499200087877,191.42504743316113,A,0
36-50,Yes,US,C,A,C,-111.98706548555435,C,D,154.56515207090925,-211.22156479374263,-25.38588072730913,E,0
51-65,None,Brazil,C,C,E,-83.18646099705853,D,D,104.0046133705617,-117.65633925078973,-72.11375409509944,A,1
18-25,Both,US,B,D,C,26.41261847680879,D,C,-85.20731701014113,-75.7207516942209,189.91481918909287,C,1
18-25,None,Mexico,E,C,B,-7.254966139515287,C,A,-34.94203902160401,-91.9355661486142,-73.1742893049847,E,1
18-25,Mental,China,E,E,C,66.93770282063724,D,B,51.198150194993254,-24.886313497166704,-27.397809377974102,C,0
26-35,No,Germany,B,E,C,-224.9732692140973,D,E,-163.94775872272763,-222.095901566346,-13.30764385580413,D,1
51-65,Mental,Germany,C,D,C,-78.7787286671212,B,E,48.07346920935808,46.45227068891587,-156.33437696823756,D,0
51-65,None,Mexico,D,C,E,96.31799348608216,B,E,-192.99078191254858,-174.968300158952,-44.63051405347309,D,1
18-25,Physical,Brazil,D,C,D,-7.902514082187579,B,D,-106.58501707150695,-24.035593525373145,-166.19197488422296,C,0
65+,Yes,China,D,A,C,-164.3213134892553,C,D,-194.67654373260555,101.08093064789749,95.92668638701258,C,0
51-65,No,Mexico,A,E,C,32.84121983235278,C,C,10.778174830447714,-81.09353368305263,-13.64801363416294,B,1
26-35,None,China,C,A,A,-59.266921975448994,A,A,-100.67515147272623,104.07058953435661,-126.02285101020139,E,0
51-65,Physical,US,E,B,E,168.90123564006882,C,E,73.64125951756449,-122.08407857907955,-98.94149227087038,E,1
65+,None,Brazil,C,A,B,-185.54243905785484,C,C,-224.05652474720165,-178.21228079270568,-87.02780792869329,B,1
26-35,Yes,Germany,A,C,B,-18.27531866472253,E,E,-24.875608408591166,77.25010876189486,138.37770623281293,E,0
18-25,No,Germany,D,B,E,-64.11781571795676,E,E,-32.61048560180926,-85.78538725021814,102.56909853131282,E,0
36-50,Yes,Other,E,B,C,-182.93226788049026,C,D,-33.69719309831847,181.852684233664,-134.53151987912494,A,0
65+,Physical,US,A,C,A,-205.11620620591748,A,A,56.47535784863113,-147.65575812736847,138.4144194543183,D,0
26-35,None,India,D,A,B,-0.7752050721994905,B,B,-135.3261618859,2.155481543878258,-22.70013964052827,A,0
18-25,No,Other,E,C,D,201.26242383497365,C,C,69.82985547794482,-83.6611057106253,51.18009820387206,B,0
26-35,Physical,China,A,B,C,-77.14153670756096,A,D,-155.34655368926133,-171.88067228528382,-42.26919386240461,A,0
18-25,Physical,Germany,D,B,D,-99.2680560191994,B,E,16.782642442001023,-174.0837266769974,-94.1347497130972,E,0
26-35,Both,Other,C,B,B,25.301356335727387,A,A,61.989322614145436,130.95091251758066,200.74698796229177,E,0
36-50,None,Brazil,E,D,B,207.67578574117073,A,C,65.17761058782254,-55.20841480882762,-112.12122343565443,D,0
18-25,Physical,Brazil,B,D,E,81.7251007188762,A,B,-23.727121739267975,99.77255889064216,57.382399348769354,B,1
36-50,Both,India,E,D,A,-3.4650430720124215,A,D,50.367646485557984,-106.4541570739294,53.67166763673502,C,1
36-50,Physical,UK,C,E,C,-102.51359896803814,B,D,-16.2803255304248,107.99902678275987,6.634055346965381,D,1
26-35,Mental,Germany,A,D,E,74.03743890688868,A,A,227.12325136853954,10.253578868913685,125.27177619841947,B,0
26-35,Both,US,C,D,C,3.5780186376007683,B,D,-50.7987662089333,-21.293905572420535,-103.46688452920894,E,0
51-65,Physical,Mexico,E,D,B,-13.816797092880028,B,E,-5.451359348919472,59.654771411813456,23.2216794710854,D,1
26-35,Physical,Other,A,E,B,-8.639024827513074,A,C,-85.17357449409825,11.280575142637236,32.66542937337326,B,0
36-50,Mental,Brazil,B,C,A,109.78732259530484,C,C,-40.7289659807979,114.81131304448901,-114.86954059816365,A,1
36-50,No,Other,B,C,E,34.79886151347678,C,D,-33.97431183825186,-58.94561901241159,115.50106627386899,B,0
65+,Physical,US,B,A,E,-89.27825159457817,C,C,-20.732110376470963,8.972519836529811,-150.8303894751591,C,0
65+,Both,Mexico,A,E,A,25.754373097264683,E,B,-127.92904293474585,77.72454881336162,-2.925290009274669,C,1
51-65,Both,UK,E,D,C,67.54759819052231,D,C,-210.0352959615706,-161.91102353733888,40.693750412597815,E,1
18-25,None,US,C,B,E,-3.1480672763906514,D,E,9.316733387767684,-69.15300071609313,-113.73654314540312,A,0
36-50,Yes,Brazil,B,A,C,92.75806813899275,A,E,61.57857718325076,85.82227959750418,-115.18190907845013,A,0
36-50,Mental,Other,C,E,A,103.09100486780123,C,D,-43.017733673299276,4.7626560785121095,60.61529823011047,C,1
18-25,None,UK,B,E,D,-56.35293921537038,D,A,69.94944302274139,48.96791979269274,-5.095511326445098,D,1
36-50,Physical,Other,B,E,C,63.626853209955506,D,C,100.26591824882858,51.410314571755855,21.651200481879805,D,1
36-50,Yes,China,C,A,E,-117.984893713395,A,A,-59.63038476185937,-29.020764014728588,156.47284712175062,A,0
51-65,None,Germany,A,E,D,-130.83530490566827,C,A,222.05300746956493,-2.4030127215689747,-42.70168760339373,D,0
18-25,Yes,Germany,D,B,D,-22.765150473658938,D,B,105.17187915225877,61.10820118552003,89.54872747363352,C,0
36-50,Both,China,B,B,B,171.27627330716928,E,C,-59.61986630360959,13.184367235616602,12.606887124961752,B,1
65+,Physical,US,D,E,B,92.58354052743427,C,D,21.6561748086797,74.9379649676711,15.223870278525478,A,1
36-50,Both,Other,C,D,D,29.15350733383391,A,A,-63.781754953230795,203.4111163419814,-16.766342157128317,E,0
26-35,Physical,UK,B,E,A,-82.9132146859443,C,B,-8.673611308451399,-43.58297767678723,-17.073131898425338,D,0
26-35,Yes,US,D,C,E,124.45564822812014,E,C,134.4232787784893,-20.29099192439113,-68.28814467750595,C,0
26-35,Mental,Germany,E,A,B,-92.50082335166702,A,B,105.13435577658382,-46.68973765853796,-147.57263751313562,A,1
18-25,Both,UK,D,E,E,87.3349405898193,E,B,-16.888103484689474,180.15128407296996,151.23417830754497,C,0
26-35,Yes,Other,B,C,B,12.32675284139228,C,D,11.728403394251567,-34.48600037882046,25.202404994467802,B,1
65+,Physical,Germany,B,E,D,6.023250544918907,B,E,138.37596650177673,144.92952952722592,-65.33173220750359,C,0
65+,Yes,Germany,A,E,C,59.52727386076382,C,A,-98.70291741340921,-103.0118501427242,105.59409886309537,A,0
26-35,Both,Germany,D,E,A,85.649956841345,B,A,66.04259367743346,-1.6972641486131737,137.2094255191875,E,1
65+,Mental,UK,A,A,A,83.401336831539,A,C,43.404348147668834,89.24149133317971,-140.00248924975992,A,0
18-25,Both,China,B,D,D,118.46250627694266,B,D,-64.09982605505557,5.668776597951246,-235.34253231198994,E,0
26-35,Mental,China,C,D,C,-0.43435075258438344,E,A,-117.10391848298343,44.60766477954191,-66.67945977971537,C,0
36-50,None,Brazil,A,A,D,-83.45117412387691,C,D,47.64754202841209,-26.147418767567327,-175.8880123911357,B,1
36-50,Yes,US,E,A,A,-10.412476867669977,D,A,-141.89777091991894,78.14150278418035,-34.73926681884475,E,1
51-65,No,Other,B,E,D,89.71239113740417,A,E,6.173418956230656,-197.44862267955946,-72.17351441261101,B,0
36-50,Both,India,A,A,D,276.74295463798285,D,D,63.000138777746415,-217.70538547831512,-72.6931196439935,C,1
51-65,No,China,D,D,A,-49.89638797223706,A,A,116.55591698508144,5.828104731367211,-62.974744516840495,D,1
51-65,Yes,China,A,C,C,-33.63838489108358,E,A,-92.72745533928655,-23.23906302284599,-155.187639387976,A,0
65+,Yes,Germany,D,C,D,28.080497777710967,D,E,-134.62346441400248,19.76628878064949,74.67036962242467,C,1
36-50,Physical,Other,E,D,B,57.22738175962642,A,E,-203.5826510470502,69.54102150831083,-35.841773062435585,D,1
51-65,None,Other,D,C,D,27.18342656637936,D,C,9.888845302882142,106.16253327606226,-195.99880120485292,B,1
18-25,No,Mexico,B,D,A,63.36297958362569,C,C,28.6840856249464,-42.73368653729817,-72.02084422405957,B,0
18-25,Both,Brazil,C,A,B,13.204021198485624,D,A,125.11493654561004,-5.238742275707536,216.94811628865028,B,1
51-65,None,China,E,C,B,109.84212934571393,E,A,-74.06167032835191,114.84685309751026,-29.01286125824571,E,1
18-25,None,UK,E,E,A,-59.43167782368521,D,D,33.71048256842408,-90.4468215412622,-24.161577160775767,D,1
26-35,Both,Mexico,E,B,E,-36.70622237283687,A,A,-13.578263524618329,25.27102449538984,8.57224589050569,E,1
18-25,Yes,UK,B,E,E,52.73806493780262,B,A,-35.03169617084766,3.023423763355151,-1.198797157210027,D,0
36-50,None,Other,C,E,E,-26.954664326806473,E,B,-125.84969924252354,46.653576072417714,31.26593483907401,A,1
26-35,Mental,Brazil,D,D,C,-63.166374410596035,B,D,28.188020841904894,11.092942679285297,-157.05608160736787,C,0
36-50,No,Other,E,D,E,158.36214654396767,C,A,-75.57397081528518,92.10508512828211,-3.5568943890958824,E,1
18-25,Physical,India,E,C,B,-108.74090618025953,D,D,51.73550881849931,-98.92456702156021,157.7218804051634,B,1
18-25,Both,US,D,B,A,14.55645815695108,E,C,-96.7991215556064,180.39350504605943,-27.514670643513018,E,0
65+,Both,Germany,D,C,B,-84.1952890626397,C,C,100.86533516368826,-52.77250670509294,-49.90206396923262,C,1
26-35,Mental,India,D,E,D,-117.43816927875008,E,C,-67.90527058099613,-57.845289070144,-182.34328420131695,E,1
26-35,Physical,Mexico,A,A,D,-81.21473418341738,C,D,96.57693505568416,58.06134585349426,-0.9562968582123731,A,0
36-50,Mental,UK,B,C,A,-67.14399330376291,E,C,74.89737903597022,62.03303448474736,217.0251011163431,B,0
51-65,None,US,E,A,B,-136.38774456884315,D,B,102.68609720054589,-287.64479354735874,-10.696172152422932,E,0
18-25,Yes,Germany,A,C,D,158.25077249837176,E,D,-53.38560954530441,41.56745946739137,87.5217284497537,D,0
26-35,None,US,D,C,E,69.37371734056528,C,C,-136.05539234252055,64.3019998914449,-85.70681601345225,C,1
51-65,Both,Other,B,A,A,-263.95521351049035,B,A,107.46516132137953,125.09802975221463,-45.466094579052076,A,1
65+,Physical,Mexico,A,B,E,118.09657059091111,A,E,29.18199481411116,-239.53362028692862,77.4416336377733,D,0
65+,Mental,US,B,C,D,85.12260406758143,A,D,70.28504233902513,-56.23708645680124,55.49737552928479,C,1
36-50,Yes,India,B,E,E,11.38757277210952,B,C,31.212872387932546,46.359782330575214,134.583313563613,A,1
26-35,Mental,China,A,D,C,-8.055044843508602,E,E,-89.96613301131447,42.71462967434263,74.94070139164647,C,1
36-50,Physical,China,A,A,E,-77.26774488512268,E,C,96.39531514671457,-54.08672618791286,59.59533434153131,E,1
51-65,Physical,Germany,D,E,D,279.62893257672846,B,E,89.8532864393579,-64.92679586420329,-33.85516259559869,E,1
36-50,Both,Other,C,E,E,-44.1644869088399,C,A,-50.388517765008835,-17.97837307558297,72.28291014951611,D,1
26-35,Both,Other,D,A,E,-116.7469846472842,B,B,-70.28841337155428,-100.40827948404201,67.44775393516701,C,0
36-50,Mental,India,D,D,A,-41.31220687515445,B,D,73.31834088493125,83.97645201073207,-6.592333942139296,C,0
51-65,Yes,China,D,E,A,22.27396400990635,B,A,1.8242982190746275,95.80591326072995,-100.49356486577159,D,1
26-35,None,US,C,B,D,-80.0564958252135,A,C,-120.02435444266004,81.24934100786525,102.42793777328427,D,1
26-35,Both,Germany,C,E,D,-44.239933125313996,E,A,-89.87945036819596,67.52155278494018,-0.4469508689063566,E,1
18-25,Yes,Germany,E,B,B,64.95033628835986,A,C,91.5622785663296,-43.16014635492242,-76.48290006185164,D,1
51-65,Mental,Germany,D,C,D,-110.19638580917494,E,A,33.59405450151103,147.9780390082394,-350.4159445101536,E,0
65+,None,US,D,C,E,-15.346608241067312,D,B,7.575934546547808,-157.17374480600338,-52.875665720063324,E,0
26-35,Mental,India,B,D,E,-117.69630032015934,B,D,11.847253837879778,123.97835181305261,193.07441764934876,E,0
26-35,Yes,US,E,B,E,17.343661099710857,C,D,11.84627991460288,-3.6182315819353392,145.90500809697167,D,0
36-50,No,Other,A,D,C,5.905537515792301,C,A,28.99045019737757,19.26244485299236,-72.09696859183792,A,0
26-35,None,US,D,C,E,41.13288481424811,C,D,97.88214787268704,-2.7556052931208512,-19.804950821783795,A,0
36-50,None,India,E,D,A,-84.08612572520713,C,A,126.027200183583,23.67399921727765,-4.803993287099526,E,1
18-25,Both,India,E,E,D,-54.287666201892,E,A,196.3009618786403,165.48107262308193,99.41445616559461,B,0
26-35,Physical,Other,C,D,D,-30.33665969630578,A,E,-34.07808552524549,210.20139936765779,-100.85529135953047,D,1
65+,None,US,B,A,C,-22.280027890765613,B,E,41.20997404822729,159.37269504215976,76.59429335073948,D,1
65+,None,China,B,E,D,-156.42727876696367,A,D,-95.91297869648072,72.50226075594111,67.74698139937858,A,0
26-35,Both,Mexico,B,C,D,-54.79119688583061,A,E,5.87940071378169,82.80530826351125,135.48128833447296,D,0
26-35,Both,Other,B,B,A,111.25347835213739,E,B,150.69567751162234,6.502948477456896,-142.00538479671218,C,1
18-25,No,Brazil,D,B,D,-26.321751813420256,E,B,119.38663128297469,271.52820751817904,-111.22642625255384,E,1
65+,None,Mexico,A,C,B,-18.94294935424778,A,E,152.63542841087067,-158.1412254658041,-102.5871554358756,B,1
18-25,Both,China,C,A,D,-197.65408071720265,A,C,-75.431269465603,38.929913985420136,159.48359782747877,B,1
65+,Physical,US,E,C,D,91.07318650556294,D,E,-8.02806146571255,-27.066954282035244,-151.41037532004066,D,1
