Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Physical,17.891262155142986,A,D,C,E,17.21788793602327,-86.85670758660288,C,138.32480022698329,A,121.23158451107956,C,A,A,60.73634151217671,-68.79313246067625,1
None,-95.55593486305564,D,C,D,B,54.205494752041474,-204.47050436260776,C,68.23490711168535,D,-38.89681292222147,B,A,E,-81.16145613731703,74.04412854852077,0
No,26.485137607949316,E,E,A,C,-14.288425168890056,-24.40366981059755,C,-12.120799594903968,B,214.94891227751626,D,A,B,28.939362441952316,156.1466760294422,1
None,124.42486567910056,A,D,A,A,99.93178024273934,-58.1283751838404,B,-106.87004640708173,D,61.147071248958184,E,C,D,48.96271750263896,164.388257746285,0
Mental,-118.54952288080992,C,C,B,C,109.31323242155209,-36.1557199294185,C,241.5251580436002,B,-56.58587466763587,B,C,D,98.44333253787025,-53.502044346331346,0
Physical,-78.92573597174858,B,B,E,B,23.45261799220304,117.73578639458135,D,47.858883298958474,A,43.1406926032966,B,B,E,-78.47337119165357,-130.27719712300424,1
Mental,-72.05643030783696,C,C,A,D,101.61377080587502,-34.935478089638075,A,-81.08809148105559,D,-21.494838466080207,B,A,C,-75.66255982798097,-113.94208224931003,0
No,43.0607331734542,C,B,B,E,-191.18492441047226,-103.95137584896288,D,68.48975496515487,A,83.61387104468882,B,D,C,68.53230628105817,42.47629425997083,1
Yes,70.47716529386419,C,C,E,C,34.30300182486125,-146.11198831576624,E,79.36149444189707,A,45.77813386500338,B,A,A,7.273500933275563,30.279540601525675,1
Both,-64.84243860881593,C,B,B,A,195.53265755438284,-211.56880606938952,C,-121.21508129097181,C,-115.2780432205137,C,E,C,82.86972005085615,-75.37840424950933,1
None,68.97395823960704,A,C,B,A,-90.96397768431433,30.086405038156467,A,-116.2346923434322,E,-99.90801581284734,C,C,A,-62.95982079401657,-46.38462791679182,1
Both,54.9526310439159,B,B,C,B,-14.743129161655002,49.737791001008596,A,-142.10177266299715,B,-21.15527211390131,A,C,D,-53.78194308168168,-122.26867181705656,0
Both,79.42440513709646,C,A,E,D,2.832546802104804,134.0612634344563,C,94.85606752124794,A,-72.77853976927308,D,B,E,-81.52622683779576,0.9626518162043468,1
No,40.11780636944211,C,E,B,D,-21.57376054598815,50.66741798747054,D,312.92417325774886,A,102.05927849033188,C,E,C,61.94054873920989,25.94416843299909,0
None,-23.292014602517895,E,B,D,D,102.529125423978,-49.6929196623152,B,-11.84782582300677,E,46.38661847510354,D,A,B,152.0697225349233,29.149026289757067,1
No,75.56647833248607,C,C,D,B,-105.24093992690504,160.88720003149518,E,6.608190269635017,B,-27.59550971981136,D,A,D,-96.02919282206193,-13.551002923746477,1
None,-192.28795044848246,E,A,B,C,2.2399570704602234,-254.78526204590395,A,-27.858234397144855,E,-76.66764982855487,B,B,C,-64.05757572139325,-142.49255582606526,0
Mental,-49.03883014556308,B,E,A,A,67.40759344177499,37.40086488772113,A,-14.722062452167034,A,-105.81538417506154,B,B,A,-65.04946178709137,33.60338670195396,1
Both,27.581841824098564,E,A,D,E,-46.38812858274599,5.652188348216711,D,-98.31659314456046,B,-9.50690062466858,D,C,D,64.65207597762107,258.8231540515093,0
None,-47.96595083030889,C,E,A,A,-14.75389367549733,4.77854053248326,A,-78.52079307715766,A,-8.605574005239385,D,E,A,64.76975192243115,-7.865317616486765,0
No,-8.234257923412278,E,C,E,E,-107.04590509948441,-4.953471321464607,B,-12.449757435968396,D,91.17396885484827,B,C,E,87.04014500912746,-69.83297509992416,0
Mental,-58.00978995199202,A,A,C,A,25.547806171451388,109.80487836239092,D,65.73461695218967,A,14.769117585583402,E,A,A,63.85950530616914,3.380521144316906,1
Both,64.63167887570602,B,B,C,E,-58.91712618003796,-23.965944980752326,A,-99.88931022877124,A,-83.32166984937814,A,A,A,22.44083405852874,-11.90665163446304,1
Yes,0.5051026947228113,B,E,D,D,-76.24685537350129,139.88997706477764,B,-126.49109155864309,E,125.71679118610082,D,E,B,160.01366779470467,-52.471444740985326,1
Both,44.125736487285735,B,B,E,C,-27.215261211651963,-147.9258059906596,C,168.7883572773137,C,-10.745788651023881,C,B,E,-39.93389743915031,-56.429983283026644,1
Mental,-4.259124462264166,E,D,A,C,63.87843211688411,58.584713729158025,D,197.50348962395105,E,97.17151767897212,D,E,E,44.906585818295476,-27.78597379845968,1
Yes,-70.33133469913042,E,B,C,E,134.232548717077,-182.86984824770965,C,-69.19948709399993,C,46.88887711982258,C,E,D,58.42921142989405,47.988611099462034,0
Both,-2.4126455769118875,D,A,C,A,31.27083023047938,20.07435478189011,D,15.33407663086026,C,-26.533534222587495,C,B,A,-140.3238096779727,-1.515157859800189,0
None,-36.92810503044348,A,B,B,D,-192.80552395553013,-124.74787099031117,A,23.28661039070393,A,110.30901359757148,D,E,D,108.35308674593954,-23.955961790611063,0
Yes,-22.04486872769595,C,A,E,E,53.46229908881206,133.05855809360781,D,-228.40707605616402,D,-14.48159881890832,E,D,C,56.6977834471479,-138.02022458860088,1
Physical,89.87269142379442,C,A,A,D,-131.16234851108598,-6.589698440782687,D,50.81924576145694,C,-25.552859652914734,D,D,C,-19.76807854587489,-117.24330293131872,0
Mental,114.53129043853619,E,D,A,C,-14.687388927437576,31.509186551520884,A,-48.83677210850123,D,-81.75735694304763,D,B,C,-60.47854517590476,43.16871348012649,1
Yes,28.34823349303088,C,C,A,B,-72.45504624573586,-201.31538192182626,A,-6.3998531019009635,D,-17.31961729892943,B,C,C,34.05573760189483,-131.75250920620815,0
Mental,-56.76204677736754,C,D,B,E,-68.37546657851995,48.390883467404954,B,163.64570887221572,B,-75.28098824426147,A,C,E,55.37651849824034,62.0990682645641,1
Physical,-28.87312033262316,A,E,A,C,118.47501495737913,31.809700862650896,C,-115.26163791033133,C,33.77610405137829,E,D,B,154.07898035659105,-89.6024888824571,1
Physical,16.878605273713116,C,D,A,D,-47.10602740476973,60.47725894184796,E,-27.36789077590495,E,-16.808482478514602,A,C,D,-102.21996621791429,123.55627432006698,1
Both,-53.42255589327739,A,E,D,C,117.4544871647375,67.97827549017089,D,-194.41319583301998,E,-44.7351800628758,D,C,D,98.30570188372178,-71.41429585859521,1
None,13.787756735543107,C,E,C,B,-35.22271153258457,6.0629264509076055,A,189.62494855548397,B,-77.81932689677858,E,B,C,-152.62690870237708,82.13610231511211,1
Yes,127.02622015128333,B,D,D,E,244.4968753802015,-21.452382799229152,D,180.3285460448224,C,48.08948104499799,D,A,C,-151.1136657553684,88.10061662011512,0
None,-24.96053296609072,D,A,D,D,-8.469575312464055,-35.59306366293281,E,-52.19317697512853,A,-73.79042761891556,E,A,B,-36.98052269216116,-87.2463672315028,1
None,-77.14729090153381,B,C,C,E,-27.43486949235746,13.499619592356037,B,-25.46868063230153,A,-37.06896541498256,A,A,A,-184.14830328042783,73.51862758316307,0
Physical,4.238078074580092,E,A,A,B,9.251883964357319,-28.914485842289295,C,-23.819569606724635,A,105.38004276302364,E,B,A,10.279890097953638,-120.07171327436413,1
None,-112.83581969930694,B,D,B,B,-1.206843329767941,-67.19050229731432,B,53.108000474779914,E,-79.26775071210112,C,B,E,-105.91411937932152,-91.5320624248503,1
Yes,24.539140848567122,C,B,B,D,22.117099555094438,-29.151949959857927,D,-106.72843465618367,A,-26.43275685064198,C,B,B,147.49073092813796,-34.49371100170223,1
Mental,-23.810605363346916,A,A,C,B,127.40267626983659,139.8780830990257,D,334.12126533008546,C,27.528490428115372,C,C,E,162.39200276324618,130.05741830224488,0
Mental,-124.0243117976,B,C,C,D,-74.01327455884973,-71.98329212952225,E,-82.26949363511929,D,-10.32051229835059,D,B,B,111.39672554812906,-84.22721313975674,1
Both,44.98059704386664,A,C,B,C,156.59078774642822,-25.72956413804833,E,-77.93328338605183,B,-91.07099443957112,C,A,E,23.756754849427892,86.5106711942224,0
No,9.263330979452546,E,A,D,D,61.115820813850405,-55.408342802696176,D,-178.47693253481958,C,-77.38891039983336,B,A,E,-58.337433138511216,74.16017863784438,0
Yes,129.74031925956737,C,A,A,D,102.79496866685332,213.28711238822265,C,0.8937455979371807,E,2.174221040714518,B,B,E,31.60285148707479,-142.31640997562258,1
Yes,74.950818803132,E,E,D,A,-89.9351694432464,-26.11083264290162,D,16.46128892996775,C,14.368022673968344,B,D,B,-62.498351397069584,-32.76620216719263,1
None,59.69853107146801,B,C,E,E,-53.24947301489009,71.189899004539,B,-165.14757163403416,B,65.08922259723494,A,C,B,79.29562298534873,-5.270155522962672,1
None,6.236337000728115,C,B,C,D,43.87254357638554,80.54874220638317,A,-23.87983421170482,B,-54.598217432069475,A,B,A,-34.041256844052576,-74.47482463637226,1
Physical,-74.89385527523237,D,D,C,B,-198.7612026611104,51.88740758404591,D,-51.640245017712026,D,116.23912226843525,B,A,C,12.46938081991202,93.35883231380426,0
Both,-48.43756260831873,E,D,C,B,109.9003357087818,90.51541232200893,C,-2.56476772521068,B,-48.47872353662847,D,B,D,19.66579381298903,125.81096089039605,0
No,-37.31313981267247,A,B,A,E,60.13394527932905,231.1109010907896,B,-13.688520514715382,A,8.77013543958865,D,C,C,-117.4953952348025,-25.708819828848696,1
Yes,-218.9539741470776,E,C,E,C,-19.226531612001573,23.869479427624587,B,-135.9831053137606,C,57.91862728680349,E,B,E,-85.66557822100236,72.01385777718349,0
Physical,-112.19671344807634,A,E,A,B,-22.144621123836377,-66.84167066092529,C,166.68892957141023,B,-5.19896274724563,D,E,E,3.5397005153504164,-69.79184646353602,0
Mental,-14.628165328885848,B,B,A,C,-63.65595228170399,99.07363150380223,B,136.1585096506946,C,84.39264447799383,D,D,C,130.491817751505,57.61570946984439,1
Yes,115.27470502524271,A,C,A,C,-22.761403615565975,-37.4455103145995,A,229.28871602450033,B,-25.532739071713607,B,D,A,-5.451256601352895,27.871939446262424,1
Both,201.43914996654732,B,A,B,B,129.93834485976507,-182.5964362914571,D,51.64985770347806,A,-17.044664081950287,A,A,C,52.67479295164068,-5.935053553712379,1
Both,91.3435324821715,C,E,E,B,69.83381609623385,94.92273320588487,C,-124.41831190018098,D,130.2645510871624,A,B,B,76.77989677945648,-64.49526150727436,1
No,12.568835655620521,D,B,D,D,-156.31003932374915,-149.35205047671923,A,50.02768729125695,D,39.93684795098382,C,B,E,53.41256265623001,-82.60750880675008,0
No,-8.096152102595912,E,B,A,C,-49.27530342175469,-18.934747270137102,B,-73.95199537708804,D,133.96643899830846,E,B,E,5.712062666302666,-13.7109030375007,1
Physical,-247.04831450013504,D,E,D,D,37.77675783158773,77.95497486431012,E,146.44208126186743,E,-67.17376210559965,E,E,D,45.477704797850485,-145.6147070557658,0
No,-4.768256253823408,B,B,E,D,-72.34693496443838,-22.052748636294854,B,-57.705121648619404,D,71.23707363896092,E,D,A,-58.33678630055131,-52.73420026846215,0
Physical,-81.94533909243277,E,E,D,A,14.695584275856334,-67.48212614406678,A,-39.48135618324341,D,-121.02114951541066,E,E,C,17.0641809306388,41.994984828902524,0
No,41.28301920193862,C,A,C,E,-206.84792507290277,-16.17443127740984,D,-23.57272817664856,E,25.57319254320231,E,C,A,93.45584870493003,6.040526095755518,0
Mental,-52.21329940985419,A,C,E,D,-84.22266264192609,63.1780285593754,E,44.77692246272488,B,98.5812078741403,C,C,B,154.10084517504242,-64.7119342604359,0
Yes,-32.52888182071973,C,D,A,D,148.14727299620642,48.32232846441254,D,99.34623616066033,D,48.303204977108805,B,E,E,-73.10908868265868,15.905280815805153,1
None,-19.213004391847768,D,B,D,D,13.228525364902238,182.9502860846769,D,-118.5025300760776,A,-66.17299898878909,E,B,A,23.75874848399829,-5.7454234649100355,1
Both,-13.370539760359968,C,C,D,C,-24.396436315811503,-13.412098316903972,E,-85.97668104026502,E,-72.19324495619745,B,A,E,-9.275437403767011,16.733771287647876,0
No,-53.32196396510175,E,B,A,E,-54.14370916993613,-132.53319682886314,B,-83.78610826303866,E,-39.309352646177544,E,B,A,8.871028380080105,-146.07084990447015,0
Yes,-98.23067320405843,C,C,C,A,-5.767400644145177,170.1347022250569,D,-145.36336631667018,E,-52.21601255686513,A,D,C,-83.93529832963765,133.7612865783733,1
Mental,-3.4246966556998895,B,D,B,E,-79.09988932726928,-105.15268054766797,E,72.5517760464245,C,-158.58253032074424,E,A,E,2.9713746830262866,-153.732621120866,0
None,221.5421904720626,C,C,A,D,-73.46768299335,-9.853132436646911,D,-220.40253758731754,E,8.729888479979339,C,E,C,29.576478690782633,38.0936884869677,1
Both,2.722294207685758,A,C,E,C,167.47230903888104,20.233240304019038,C,-99.74536010085795,C,-93.586928724544,B,A,C,16.797124954471474,70.31368628739365,1
None,-68.72641398426438,A,C,B,D,-3.946295380842791,-186.9848805787027,E,100.43046239307427,D,17.74511850592776,B,A,C,-23.609306902116344,-12.251250176111304,1
Yes,2.1604725721102827,C,C,E,B,113.60720338461945,90.80251421732352,A,53.67690931841301,E,-65.66981532224358,D,E,A,1.7301818796515038,45.526685488748356,0
None,73.42925648523875,D,D,D,E,-13.485660641336969,-114.24165231402125,D,137.93731646261827,E,13.714230803725949,E,C,C,-141.60839324346472,60.935828446500985,1
None,33.44001907560085,E,B,B,A,-95.80283860690982,-51.41680280924742,B,-14.011460781451678,B,86.3297802000423,A,C,A,115.38130665008097,12.897300263170816,1
No,-111.5342683276381,A,B,A,C,105.70734281024492,-14.238659399513786,B,-47.92987672404868,D,-112.79271184453326,A,A,A,-60.59683105233573,149.40951872990843,1
No,13.853754493928912,E,E,E,E,34.8218700700373,61.60588163470104,D,-65.20826918937537,C,26.07056410118322,A,C,B,75.15563593097056,-55.06128682344631,0
Yes,-137.44110115656062,B,C,C,C,-40.5429921284449,-165.76430606465823,B,-1.714035845309244,C,-92.33118967929433,A,A,A,157.6101802912079,-125.22761108505358,0
Mental,65.24862555326061,E,A,C,E,53.33570522431735,99.5935814767138,A,-60.91661000846238,A,-154.94436935366363,C,E,C,121.74870261331083,-161.87906023427095,1
None,132.8695357257322,A,D,C,C,-16.248725730411348,-169.19241637695905,E,-171.35027934106674,B,-102.54623451534226,C,C,D,94.27385079129007,-3.653708136513259,1
Physical,91.301129786854,C,E,A,A,50.026798559123606,-14.93361390459027,E,19.97389473784816,C,-36.394417393403764,D,E,E,-80.25181437014118,152.89602432867392,1
Mental,-54.2569223841776,A,E,C,D,-86.80379185690146,-102.8422546645213,C,96.93924865111366,E,-37.63534097717787,B,C,E,31.83478397030593,63.98037985412041,0
Yes,-110.94828142389271,E,A,C,A,45.91360724064386,-39.13674751932737,E,87.64571327515098,E,90.47397640311593,B,D,B,-130.28297455522605,-39.354568719800625,1
Both,-44.8192697772936,A,B,C,D,173.55123708758458,-109.8170918331549,D,-95.07375467513714,A,424.05320156156483,D,D,D,-2.2280189304599096,92.95841074277742,0
None,60.28923713640325,D,E,C,B,-79.30125972999826,76.44879984695771,B,109.2133169320815,B,186.63254653648187,C,D,C,78.95361280071016,-34.81641862466428,1
None,112.67041609808517,B,E,D,E,126.81914338681932,41.840258593860625,E,-7.303093701897563,C,162.44510250857533,E,E,A,63.791207461474606,56.58622577052239,1
Mental,-180.94567967182132,E,B,D,E,170.5216416451126,27.34141398207613,C,-149.16918506801937,B,-58.97279997497844,E,C,A,-101.4602400317808,-11.135212283837829,0
Yes,17.013375111304967,B,A,C,B,26.2781044279114,151.58065081056662,B,-78.91973472368741,C,120.01808702097405,D,E,D,-32.475554265876745,21.618689773955165,0
No,-136.23028261456182,B,C,A,D,159.873493560951,28.30536712749868,B,-53.6146766757996,B,-68.72408777923681,B,E,E,-57.18611445291864,-62.17789732374652,1
Yes,-121.49818558079856,A,B,D,E,-103.20810846274537,52.00549814756612,D,-70.47940415420625,D,90.25439188057916,C,C,E,-117.18380493813648,-95.87736660155419,1
No,143.6112654715474,A,D,D,A,59.58444514123591,-121.72484588379662,C,-16.331273390195037,C,-27.843400213473206,A,A,B,79.95071474588616,169.09162613606412,0
Both,22.852704723612263,B,D,E,C,117.73420255704667,-40.263912603941506,B,-210.35385719061304,B,-68.46939698502999,D,C,B,-175.61675086382255,21.094875358382374,1
Both,30.668396689145403,E,C,A,B,-16.70704873809231,36.21914499802135,B,-70.81097712460085,B,26.93573994597534,E,C,B,-99.43214186860473,19.806112373743996,1
Yes,-10.067497497318502,E,E,A,C,-196.21753144922872,-96.86440327089602,D,13.613861148641448,E,115.00997124749728,B,D,B,-93.56244009744603,63.62610620811909,0
Physical,67.02459001083592,A,D,E,D,169.8200953749351,80.76495027362304,E,-20.62392106100903,B,113.93503254242529,A,C,B,-0.7749061603225404,148.9668477707449,1
None,29.240467565700605,E,C,A,E,-101.84715456156128,-32.843778462996944,E,-59.50889923269518,B,-103.76019594692029,B,B,B,158.21518650383513,-39.71161414946268,1
Both,19.856428468333682,B,A,E,B,214.1201203186331,-66.1299840768295,E,-126.11668520670527,B,82.9505884517012,B,D,E,3.7801869267387196,-63.388876519513815,0
Both,64.96897180951102,C,D,B,D,-197.09166366329094,6.262611624146544,B,84.01933943074516,C,103.5381768883189,D,D,B,67.92543964607228,-115.24309674222961,1
No,60.69002285184395,E,E,C,B,13.717388269810577,-130.72890061345734,C,-34.815598896554576,D,-172.77364152206584,A,A,B,-53.27561677023738,228.46523464920892,1
No,35.56941995509014,C,B,C,D,99.46160669025119,165.57230604969251,D,-109.14985202684339,B,52.399317067712644,C,D,B,-29.46039844387422,-22.54210034300535,1
None,117.71600441864453,A,A,C,E,-149.75272433671557,88.26968445563327,D,-61.72103815325731,A,-69.81139646742959,E,D,B,-129.51166084568203,-141.1350583946025,0
No,-15.19617977001769,D,A,A,A,-5.687514685642695,-74.75210052154118,D,-186.9176099770071,A,89.44623047802176,B,E,D,-181.60530011496735,49.712333691990715,1
Mental,-121.73576324561408,B,A,B,B,185.66633812111112,22.358200941432397,A,-23.961969506414107,B,-59.360535912122984,E,D,D,-65.65842432624738,114.30371636815373,0
Physical,-115.08979153730141,B,C,B,D,-96.70734317955275,-202.19525309895312,E,-79.48115488815363,A,44.94427797842473,D,B,E,-202.98486080498094,-30.20859522846101,1
Mental,40.15255048913573,E,B,C,E,-58.95940273370381,57.42415058236834,C,42.40022091822433,B,-88.6340359891225,E,B,C,-13.689819882190285,-145.70489402788894,0
No,-158.4337555989361,B,E,A,E,147.7017851903453,156.82064769659465,C,-177.66010004101258,A,68.91535245397478,B,A,E,143.65307314458022,-100.2417344547623,1
Both,-40.399297808496506,E,A,C,C,-98.88698419855042,-19.159478377816754,C,47.605834943699016,B,-34.782261479984186,C,B,A,-50.43958325944744,28.52835960051026,1
Both,-108.71996538256457,C,D,B,B,-56.574900933804706,118.56150093770236,B,-19.573096804854103,E,-11.255053733329804,A,D,E,41.85091556922955,14.081549303272855,1
No,15.575416298176611,E,A,D,D,-68.31608171412023,9.813327636443194,D,127.26369215190718,B,103.06608108866008,E,A,C,136.86880972790487,186.4952171544876,1
Physical,-276.7171776623787,D,C,A,A,-62.219572347905746,39.75229270436398,B,-133.16748646497004,E,-57.63204360381109,A,B,C,-17.8188587495664,127.99222464787141,0
None,-45.74737999701409,C,D,D,D,0.6400133975248092,-23.808998912890093,A,-55.47974723181134,D,-40.823918066593265,A,C,C,-96.71523635990272,-65.52873615128608,0
Both,-117.95547627991154,D,C,E,B,-134.9881229861783,-71.56987360511349,E,147.10933870052273,A,-83.65284924291532,C,B,D,-58.327743538287955,-33.21777624313577,1
Mental,71.46612466138068,E,A,E,D,34.84373141444459,-16.389900705116606,B,48.466625364577176,B,4.259881754035518,E,C,C,134.69008035719196,-60.60743253869124,1
Yes,-109.30444553975305,E,D,B,E,97.75908165911117,-86.44488794770507,E,-64.09130503013485,A,114.02403477901217,A,D,C,32.043028834725376,-118.19277280728527,0
Mental,90.43746576024665,B,B,D,C,4.9879023353338585,-111.2498759402061,B,-221.76180217946876,E,143.84449717386644,C,D,B,-84.07026689151475,9.805929270518785,1
No,114.85718825842437,D,C,A,E,77.30192782370496,-4.500332823068325,B,-19.292970504672834,A,71.61192671569026,C,B,B,-17.291508226321714,35.692161607963804,0
No,-122.53103736040676,E,D,C,B,-62.337420688785336,-16.291602698197657,D,31.83225446027399,D,-21.94913885181736,C,D,A,193.1978535017553,141.109529125852,0
Mental,65.6807284917943,C,E,C,D,-15.304537815990638,88.7147409497111,A,74.7949231671181,B,40.36359951748149,B,C,C,126.26939318424282,120.20936191184744,1
Both,-91.66252035200395,A,D,E,D,6.247204578498597,-13.464104685419539,D,73.93392808367145,A,-48.47928994771284,A,E,E,-5.183540639892943,105.75366311128053,0
None,-45.037778716391735,D,A,C,E,-62.428504517476156,-32.789746454979316,C,-85.75289992748186,B,45.64562710773099,B,C,D,45.52171016598961,116.58119647435971,0
None,-8.729866430798063,B,B,D,B,144.52204325198207,91.30515459470601,A,12.789695702747956,E,-105.33193379310073,A,B,D,112.27338423514217,-7.669391298628252,1
None,-171.01250409183845,D,A,E,A,17.27851824726709,7.085897719382259,E,21.943847502037432,B,-28.45586759339839,E,C,D,-104.99114454142986,136.5641273556435,1
Physical,-68.95761994281227,C,B,A,E,-30.373981029310166,93.37915585209946,D,85.28098056406192,D,-86.3464664519125,D,B,A,92.25187557279389,-161.8886148615376,0
Mental,40.976931487698124,A,B,E,A,-69.42106268998518,66.24828159862378,D,-35.38123434146788,C,12.46702628836204,D,E,E,-162.52298937262108,-42.78121657854143,1
None,-48.928317551759534,A,A,D,B,131.11858397299522,41.14237820433857,A,118.18560793143864,C,213.25269495772997,B,A,A,-41.34420938953379,-147.01745079686157,1
Mental,162.06674469897834,D,B,B,B,-146.80688315230236,78.48703468380947,A,-74.97042958366377,C,116.32850353338458,C,C,C,51.47458732915946,-21.277858908358084,1
No,-18.212618842509148,E,B,A,E,-91.73929616823952,-51.67523661417698,C,129.39152457074525,C,-22.81075316071279,E,C,C,-185.10799407576434,-310.72629136878567,1
Yes,-159.09094732064867,E,B,C,D,-114.41139589147873,187.4332337752694,A,73.47201046222654,B,98.40359022675985,A,A,B,53.30898750112313,185.35406037977776,0
None,33.32755907115923,D,C,A,C,-102.62585460240427,38.34799333664679,D,-151.70487325545128,A,32.78717062062616,A,E,E,-91.92531334363389,125.72638759827868,1
Mental,-96.30111381165143,D,B,C,A,203.06039587716654,7.016538142347644,E,-138.96161475008023,E,151.4618228799805,C,A,D,83.78672535318998,-64.36440406150031,1
None,-178.1563190588809,B,D,E,C,47.2995110773849,19.26373043039562,A,-230.9134050082264,D,-111.74724923207702,B,B,E,5.364995666092018,63.70894337420106,1
Yes,-300.2876707851404,A,C,A,A,80.08582062424755,35.806452734807166,B,136.770048969023,B,8.87114509785731,E,A,D,-69.75579851422914,-93.73858919278376,1
Physical,-43.49627439930042,B,D,E,B,59.47711132169804,26.444928390410404,C,4.788484247663342,C,24.888883620849274,E,A,D,-11.440504989226822,-131.1245141069134,1
