anos,age_range,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
25,65+,Physical,B,E,E,-28.87495399788943,115.26682144949609,C,0
80,36-50,Both,C,A,A,46.15477025517818,176.75556449604431,C,0
18,26-35,Yes,B,A,E,24.463018966839627,-29.017816032426722,D,0
67,65+,No,B,B,D,-9.178440977756885,88.04249157003686,A,0
82,36-50,Physical,D,B,B,140.06321203584363,48.28835753321784,E,0
56,18-25,No,B,A,B,-58.12204109638506,-90.47923745302855,B,1
31,51-65,None,A,C,E,21.271008065135653,79.10121226377214,A,0
72,18-25,None,E,B,E,173.33157295298142,-95.68525682146628,A,0
35,65+,None,A,E,E,-16.213175241761242,-7.06795798796971,C,0
67,36-50,No,B,B,C,-1.834307928753693,141.87444654505515,C,0
39,65+,Both,C,D,E,1.3053257402358398,156.59477029181357,E,0
93,26-35,Physical,C,A,E,4.079714290985574,-133.03981424656814,E,1
18,18-25,Both,E,B,C,-69.33113926193836,-165.7371098784549,D,1
93,26-35,Mental,E,E,B,-83.26777965860084,-96.29095697837613,E,0
27,51-65,Yes,A,B,E,-215.16183004647323,-3.8753402914180106,A,0
22,51-65,Physical,B,C,B,-1.8428779271300912,-21.48853462745279,D,0
26,36-50,Both,E,E,D,-45.3546209444599,31.30230961235178,B,1
46,36-50,Both,B,D,A,38.946086241160124,84.8144881232187,E,0
92,36-50,No,A,E,C,-111.03447193007878,-38.0748766508028,D,0
60,65+,Yes,D,C,C,-44.10393968063333,-39.46337002649805,E,0
89,26-35,None,E,C,A,-80.05277550131599,-56.036075913153795,E,0
56,18-25,No,C,D,C,43.631265209277736,-11.99530869345262,B,1
52,26-35,Both,A,E,B,48.76651477866812,-197.93030095127457,D,0
45,65+,Both,E,C,E,-11.037652509825156,12.01738677961833,D,1
22,65+,Physical,A,C,C,280.0348011106307,20.936895334230897,A,1
84,51-65,Physical,B,E,E,-19.61960087880485,-153.47131437161215,D,1
50,26-35,No,D,E,E,-8.75317366695341,9.324267736304739,D,0
69,18-25,Mental,E,E,D,77.169071936098,-100.04269781727841,A,1
89,18-25,Yes,C,B,E,141.87012959983429,-109.02157412444662,A,1
60,26-35,Mental,E,D,D,196.02239966134582,-99.27074783613085,E,0
72,65+,Yes,E,E,E,-60.85463415486804,-81.80547116804652,A,0
47,18-25,Both,B,D,C,13.240750751496957,-34.02080215412988,A,1
69,51-65,None,E,C,E,-11.242197760375548,31.06292450159305,B,1
31,51-65,Mental,D,A,A,-54.30210682661246,-55.7785633494271,A,0
71,36-50,Yes,A,C,A,-146.864034597328,-21.348180537205117,D,1
83,65+,Physical,D,E,B,-15.445077460732678,-106.07902762016886,B,1
44,51-65,Both,C,E,E,-115.06874680968484,5.137888974798946,C,0
63,65+,No,C,D,E,-17.286116566890904,-65.15433376508575,D,0
30,65+,Yes,B,A,C,76.49373278961302,-70.81859993191549,D,1
86,26-35,None,A,E,E,45.48041051956269,-11.571268532964334,A,1
51,26-35,None,A,E,B,34.5351940244126,-53.60269457945682,E,1
54,65+,Physical,C,A,E,-139.93001393640176,-114.67516676409394,D,1
31,18-25,None,A,D,B,96.85585611269126,16.5238559371537,A,0
28,65+,None,C,E,A,-88.03336493422263,83.27284623600727,D,0
28,26-35,No,A,B,A,-174.499112407484,-139.7014048859273,B,1
74,26-35,Both,E,C,E,72.45587868245171,128.10614739509012,A,0
54,18-25,Physical,A,B,A,-109.73419839793581,-90.70305776059855,C,1
51,26-35,No,B,A,B,-3.7241337477228234,48.75268191730855,A,1
26,26-35,Mental,A,A,D,-7.965846931705187,-51.857553772492935,B,1
50,51-65,Yes,A,B,C,69.96432221843338,236.739827812275,D,1
32,18-25,Physical,A,A,B,-12.73726548342004,208.47164586839887,A,1
44,36-50,Physical,C,A,D,80.07797249259157,-14.864075176603192,A,0
28,18-25,Mental,D,E,E,-88.48213878006358,107.14214912211368,A,0
90,51-65,No,B,C,B,-45.35409319567721,-75.16247925265354,E,0
53,36-50,Both,B,D,B,-39.425058352240825,131.59771577841747,D,1
70,18-25,Yes,D,E,E,46.97847460597321,-70.37985494837973,D,0
90,36-50,Mental,A,D,C,55.99504906786189,112.374482486625,E,0
34,26-35,Both,B,A,A,-120.39144353576268,-71.93743218214715,E,0
86,51-65,No,E,D,D,-165.16555838887936,-172.45959839336143,C,0
63,65+,Both,B,A,C,-47.353693454298416,46.33095025485139,B,1
70,36-50,Mental,B,E,E,217.1671422152708,148.05975696536294,A,1
37,26-35,Yes,E,D,D,131.22788490522356,8.713667878909465,B,1
67,51-65,Mental,E,B,D,47.808797460413,226.98141921768863,A,0
73,51-65,Both,A,B,A,74.41973125571805,-219.75441868480195,D,1
36,36-50,No,A,E,B,112.14190675653224,-93.27271492293768,A,1
21,18-25,Yes,E,E,B,-50.13450992222719,-42.75771748987425,A,0
62,36-50,No,A,E,A,-55.075600426674384,-80.24396721056132,B,0
39,26-35,Yes,C,E,C,-92.18056811055972,-125.06776370270443,C,0
50,51-65,Mental,B,D,D,54.730855905112804,-12.850058190568776,C,0
79,65+,Mental,C,B,B,-170.65832682037313,-115.57313093145363,E,0
85,26-35,Yes,C,A,C,103.8334172981264,-90.51968999123676,E,1
52,26-35,Mental,A,D,D,23.491882497330586,-79.00108183267764,E,0
35,26-35,No,D,E,E,-205.42018835075183,32.47668308909146,D,1
21,65+,Yes,C,C,B,-165.87032749666503,228.30417283817135,A,1
32,26-35,No,A,C,E,-0.8571566970543614,61.78922960649649,C,1
74,51-65,Yes,E,A,C,-59.31857244255067,53.15775219886339,E,0
66,26-35,None,A,E,E,7.130014060704924,25.12896655988933,D,0
60,51-65,Physical,C,E,D,-51.54217414604799,173.52822080565986,E,0
87,51-65,Mental,D,D,E,6.666443543721458,-153.87356357484973,A,1
59,65+,Yes,E,E,D,-99.22761934022749,21.772843200099047,B,1
84,51-65,Both,B,E,D,0.4518897603522203,-91.71257256955684,B,1
73,65+,Physical,E,A,A,-123.62373275466254,94.26117531772485,B,1
24,65+,Mental,D,D,A,-59.01692569165293,-224.20042572625582,C,1
30,65+,Mental,D,E,C,-53.17192995338937,152.59607989484857,B,0
60,65+,Both,B,C,B,37.61306326859515,-141.16910435265387,D,1
92,18-25,Physical,B,D,E,177.02170948405913,-121.70109454929494,E,1
43,36-50,Both,D,B,A,-27.753772807957333,34.56352529410832,C,1
50,65+,No,B,A,C,143.5970202990026,-54.9532081609806,C,0
53,18-25,No,C,B,E,-154.29926509811955,-16.25301051273889,E,1
39,18-25,Mental,A,D,A,-142.4100698143923,-35.850757427211015,A,1
79,26-35,None,D,D,B,-72.08304690199282,23.900367412707222,A,1
36,51-65,Both,E,B,D,-112.37661632225763,72.38704389344309,A,1
82,26-35,Both,A,C,C,-38.34332845891949,-135.3799895717466,D,1
73,26-35,No,A,A,D,-70.30055763435422,54.202155032078714,A,0
19,51-65,None,D,B,E,-50.43555834457959,39.98380990873873,D,1
79,18-25,Both,A,B,C,193.15271080211014,-12.714597302159806,D,0
47,26-35,Both,A,C,C,7.200265723667543,79.04624357050406,D,1
27,36-50,Physical,E,E,B,92.40678059799359,-187.74386733970246,D,1
99,51-65,No,A,C,B,-113.37087967911465,162.42402947370823,E,0
49,51-65,Mental,A,A,C,2.637822382656387,25.86381158739429,B,0
78,26-35,None,E,B,B,10.227608918056921,126.29849205167642,A,0
45,65+,No,B,C,A,-94.70717626311398,-7.741540637795223,D,0
48,26-35,Mental,E,E,E,20.45015557588171,-44.53726345254139,E,1
34,65+,Mental,E,D,C,5.783771014371493,27.17191150164294,A,0
72,18-25,None,C,E,C,268.48245481054056,-14.593801207455027,D,1
33,36-50,Yes,C,A,A,7.915714350931985,56.23357033932859,E,0
31,51-65,Mental,B,D,E,-16.985204267481933,112.58390470201927,E,0
27,65+,Yes,C,B,B,8.428673404436989,-38.20105098472937,A,0
57,26-35,Mental,A,C,B,-6.779456217270366,24.670008612282018,A,1
56,51-65,No,D,A,B,-179.3901591174033,16.163667344066653,D,1
89,65+,None,E,E,C,26.344452410528824,45.471083994369614,E,0
41,36-50,Yes,D,E,D,-34.12443378989534,-119.27281109191905,C,1
22,51-65,No,A,E,A,127.85174811344784,28.468285267886923,E,1
50,26-35,No,D,E,C,11.030768270009311,6.768759388968477,D,0
70,36-50,Physical,E,A,A,26.51380442339534,23.76558378949638,D,0
29,65+,Yes,C,E,C,4.418448006667543,-16.37029165279785,B,0
78,26-35,Physical,B,E,B,15.997397994746567,90.41115170771447,B,0
56,36-50,No,B,C,E,-0.6763072929922644,-11.519460386195462,A,0
60,18-25,Yes,A,E,E,89.27328436249562,-41.33148541519445,B,0
96,26-35,Physical,B,C,D,-6.611001895505847,-11.744690950537025,C,0
54,18-25,No,E,D,B,-30.28408993729664,-104.08125161371538,E,0
50,36-50,No,C,C,D,252.64967521608028,-117.52433590281343,D,0
52,36-50,Physical,D,E,A,-133.6133093266732,-122.80830268177002,B,1
60,51-65,Physical,D,B,D,-89.48188580739364,55.720693834688795,B,0
98,65+,Yes,E,A,D,68.97078075990025,63.20959058769382,B,1
38,18-25,None,A,E,A,-80.26872824831655,54.546786981119986,A,1
87,26-35,Mental,E,A,B,-91.02586539538797,147.31619655659816,B,0
78,65+,Physical,B,A,C,121.57732416326958,17.328952855098713,E,0
90,26-35,Both,B,C,A,27.064949197138304,-33.555696932020616,D,0
52,51-65,Mental,E,D,B,52.876389197885445,96.10484802598602,A,1
40,51-65,Yes,D,A,D,20.285656832777192,-26.774482732488213,B,1
45,51-65,No,C,C,D,-30.31384104073905,-96.88607528182891,E,0
29,51-65,Yes,E,E,A,31.02966308697908,-34.70270287558246,B,1
88,26-35,Physical,E,C,E,-83.97159095548476,45.21182336656932,A,1
69,65+,Yes,C,B,D,-61.89832196291578,6.154720942384991,A,0
75,65+,Both,D,E,C,-205.26765829606,-26.27255022940477,A,0
54,51-65,Both,D,D,D,16.652420655570204,-85.32321035829453,D,1
25,26-35,Physical,A,C,A,68.91955008074709,-21.616109283405653,B,1
93,26-35,Both,A,C,C,33.341619656695954,-111.5838824239867,D,1
32,18-25,Yes,D,B,B,-178.34920048456476,98.07648842380605,D,1
71,36-50,None,A,E,A,98.6686715174336,-45.60482455856653,E,1
81,26-35,Both,A,C,D,-78.70957319107312,32.34699042560415,B,0
26,65+,No,E,E,C,-126.2360347561458,1.068503918154289,D,0
54,65+,No,D,C,C,-20.10133704938128,-146.31124973483253,C,0
96,18-25,Yes,A,D,B,7.611397480063349,92.60801261168602,A,0
82,51-65,Physical,B,B,E,-8.236308216866181,39.221159504961605,C,1
26,65+,Both,D,B,D,-59.351249251695684,62.6549781663594,D,1
33,51-65,No,A,D,B,17.484362927893287,-77.7337365857549,D,0
38,51-65,Mental,E,A,E,111.50196076796402,99.62299759390247,A,1
70,36-50,Physical,C,C,D,-51.88404508084308,-50.124696633538115,C,1
30,65+,Yes,B,C,C,-189.22337293478247,128.20234366935952,B,0
84,18-25,Physical,D,C,A,-191.0087713013533,-42.879823885629044,C,0
32,36-50,No,A,A,D,-61.223490831402295,-89.52978439189478,D,0
61,65+,Both,A,A,A,-110.70922109011798,-16.525094987520642,C,0
48,18-25,Yes,E,E,E,-76.51492637473929,160.78329189911716,E,1
81,51-65,Yes,B,E,D,162.71372758875205,-78.69856308159953,A,0
44,36-50,None,A,B,A,69.07311469932822,63.29718588539198,E,0
88,18-25,Both,C,D,A,-213.67537818905024,133.5286844534343,A,1
63,26-35,Both,D,D,B,-107.6003417545219,20.8168810525926,A,0
90,18-25,Both,C,D,B,94.27887447634194,102.14248338180711,D,0
29,65+,Mental,C,E,E,19.373306739077847,-136.43377232919738,B,1
86,65+,Both,A,B,C,-39.04806047597023,3.2933123349441527,A,1
50,18-25,No,D,A,A,43.90629007902268,-105.02594564297067,D,0
58,18-25,Yes,A,A,A,-156.8386387489339,-26.713338102482364,A,1
90,26-35,Mental,C,D,A,-54.10706657419387,131.40672129767995,A,0
47,36-50,None,A,B,E,97.20689112787251,-89.90359381031102,B,1
31,65+,Physical,D,B,A,138.68330926316906,22.692866251004517,D,1
83,51-65,None,B,B,B,-146.37759569807264,98.39689055170712,E,1
94,18-25,Mental,B,D,C,220.68910749125502,-67.89321362634378,C,1
80,26-35,Physical,A,D,D,-45.59281003866634,-120.24277297682784,B,1
66,51-65,Both,A,C,B,37.79673563318183,85.09294678220151,E,1
35,65+,Physical,E,B,A,88.05177697135579,27.319218299978985,B,0
94,51-65,No,D,C,A,64.82006922334668,-175.18372775854013,E,0
26,18-25,Yes,D,C,E,31.765460270796847,46.315266370235705,E,1
20,26-35,Yes,E,B,A,85.28984051755378,63.88898216563865,D,0
46,26-35,No,E,B,E,189.12365703839495,-148.6296593768432,D,0
50,18-25,Mental,A,B,B,-30.467595738888058,22.508079883270376,D,0
69,18-25,Physical,C,B,A,-74.29216251584084,159.46610235192992,E,1
61,36-50,No,B,A,D,-59.99548398974645,-181.0200525462171,D,0
73,36-50,None,D,C,D,-27.542979225221675,-51.04084105068446,D,0
91,51-65,Yes,B,C,E,124.21887214856436,41.988021752111365,E,1
82,65+,Mental,B,B,A,114.28642338662944,-62.5786142975801,E,0
43,36-50,No,B,A,B,-43.624919464412066,67.01666113050493,D,0
62,18-25,No,D,E,D,112.12839289058054,26.59181360289725,C,0
74,51-65,Physical,B,E,B,-7.239305149270764,1.7035838968719959,E,1
84,36-50,Physical,B,B,C,-88.67644045995625,-132.61012383212886,A,1
24,18-25,None,E,D,B,15.77129327403316,77.27489158124737,D,1
99,26-35,Physical,A,E,E,-15.424912428063864,-87.08093745818168,D,1
94,51-65,Mental,E,E,B,77.94753528472125,-35.65010392425582,A,1
53,65+,No,B,B,E,-5.154570763360959,95.1910764166348,C,0
61,26-35,None,D,A,E,143.40568541520688,131.45948739405856,D,0
57,51-65,Mental,A,D,D,72.37561273472872,56.34656328065702,D,1
63,51-65,Physical,B,C,D,-130.41881610381537,-150.44519657532277,E,0
67,36-50,Yes,B,D,C,-126.00095375676266,98.6649933580826,E,0
63,26-35,No,B,E,B,-50.6961143055514,101.70592975100436,A,1
62,18-25,Physical,E,B,D,-95.86329435804177,143.88342509601125,D,0
19,26-35,Yes,E,B,E,-56.47464468353655,-77.54806269083973,A,0
33,65+,Physical,B,E,C,-90.30628276307247,68.75062002323325,D,0
34,18-25,Yes,E,E,D,80.85156295777895,-2.7651036135603198,A,1
59,65+,Yes,B,C,C,93.01150300037678,44.44546311398466,C,0
52,65+,Yes,C,A,C,-30.531297973099175,93.7076774620179,A,1
46,51-65,Mental,D,C,D,122.65993143342419,-57.01247529263328,B,1
80,65+,None,A,A,C,-54.999136320722265,92.11518303961945,B,0
54,36-50,Physical,D,B,D,-92.41251393935275,-51.06816001444289,D,0
52,51-65,Both,C,C,C,-110.4698731104289,95.05445997462229,B,0
19,51-65,Mental,E,D,D,121.62698015927677,-148.56910487799314,C,0
31,51-65,Mental,A,B,C,-39.61051896434092,93.27369735030315,A,1
96,51-65,No,B,A,E,-12.453423625411949,-90.89539166210164,C,0
21,51-65,Both,A,C,A,-38.155304701551636,-72.40155391748776,E,0
62,18-25,Physical,E,E,A,-62.001434940448284,-162.4157377269018,B,1
41,26-35,No,A,D,C,65.93525213667417,-69.45766398869408,B,1
54,26-35,Physical,D,D,B,114.52718796739842,6.042811531993469,A,0
47,26-35,Yes,E,E,C,25.729414133574576,145.58916664316598,E,1
65,65+,None,B,A,B,-142.91715095020027,-126.53708208036387,A,1
35,51-65,Both,E,E,A,-17.972752096195727,-51.495968776337065,A,1
70,18-25,Both,B,B,C,97.12965966176834,183.65925541185155,A,0
48,18-25,Yes,C,A,B,83.91166983292682,95.09990869333454,B,1
24,18-25,Both,D,C,C,-89.94295760775279,-74.01472144132114,E,0
66,65+,Mental,D,A,D,78.06191841849717,-19.848877436722177,C,1
53,18-25,None,A,C,B,139.93812829806643,-7.670989003982831,B,0
67,26-35,Physical,C,B,C,-76.11431611342,-76.22716530962644,E,0
93,18-25,Mental,D,C,E,78.66912283606128,-73.00417446475595,D,1
69,26-35,No,C,C,D,60.991096240445806,68.39084138560591,C,1
66,65+,Both,C,A,B,76.77943858489562,92.88613976529983,D,1
73,36-50,Physical,C,C,D,-187.5122572658419,-79.89762507024957,E,0
19,65+,Both,C,D,E,118.17964692104314,-107.63676811443086,D,0
88,18-25,Mental,C,E,C,-99.26840745910232,-87.79334562349625,D,0
20,26-35,Yes,D,A,B,118.45904086186103,53.9834954399098,C,1
45,51-65,Mental,A,E,D,76.73848521538417,-32.49683192978744,E,0
63,51-65,Both,E,D,E,-178.98772336654193,184.776754256419,A,0
24,51-65,None,E,D,C,122.00533014703903,127.44766367725866,A,1
21,65+,Mental,E,E,B,82.53233176234681,123.22185288724552,D,1
36,26-35,Yes,A,B,C,-41.08477882810268,122.21809924450295,E,1
25,18-25,Both,B,B,A,-36.774164246535264,-55.80614966506888,A,1
89,36-50,Both,C,C,E,112.03844992844299,12.291632848422106,B,1
85,18-25,Both,B,E,B,-101.27953417098621,-0.5123419431876146,E,1
33,36-50,Mental,C,D,D,-70.10208708474983,-232.41733778367188,E,0
98,18-25,Physical,A,E,B,93.74806283072779,129.97035950504727,B,0
41,51-65,None,C,D,E,-32.84910123291062,-115.6581176515089,B,0
92,18-25,No,E,E,E,-30.93361438914811,19.725621038825174,C,0
63,51-65,Mental,E,B,D,140.35281232703795,30.369124157260963,C,0
46,36-50,Physical,B,E,B,122.35346289092841,-132.128968769252,C,0
62,36-50,Mental,A,B,B,-50.33056821374456,-42.48598091376013,D,0
23,18-25,No,D,C,D,60.58697617064098,17.957252531781588,E,0
69,51-65,No,D,A,E,61.17771239321832,172.2073719175206,B,0
64,26-35,Yes,B,A,E,107.19842312522883,194.56498569267302,C,1
85,36-50,Physical,D,E,D,111.78046052471618,-82.86292407485963,C,0
42,65+,None,A,B,B,-24.988409175858283,-86.63710290293515,E,0
26,18-25,Physical,A,C,D,23.64640027747711,55.78346313358507,A,1
73,18-25,None,D,D,B,-168.55843154287368,130.43680666775475,A,0
93,36-50,None,E,B,D,6.932331590220661,-65.24263165821797,D,0
55,51-65,None,B,C,E,0.7734045027095079,-75.85940477707882,B,0
56,26-35,No,C,D,E,-79.86943014733251,-35.39580627696152,B,1
90,26-35,No,A,A,E,24.05378778968778,60.27489072096546,C,0
33,51-65,None,B,C,E,-103.58749414836647,-221.12904027611137,A,0
91,26-35,Yes,C,E,B,-3.9746881364755327,-47.42476707887364,D,0
37,36-50,Mental,A,D,B,-150.72779536345672,-248.54810675471845,C,0
88,26-35,Yes,E,D,C,14.792889968305763,-84.58117807327271,B,1
42,65+,Physical,A,C,C,-81.13510264072195,42.5780891356233,D,0
96,18-25,Mental,A,D,A,16.449427131625725,-91.97103135004527,B,0
57,26-35,Both,C,A,A,31.880069063498162,-13.95999923977896,E,0
83,26-35,Yes,B,C,A,-125.0601610085014,77.84427109071682,A,0
60,36-50,Both,A,A,B,57.62997805672166,-59.95542844751699,B,1
44,18-25,Both,D,D,C,131.72434884175323,-50.1636213679639,D,1
87,65+,None,E,D,E,-34.71946362940182,-25.575500891199482,C,1
50,65+,Yes,D,A,D,22.754106720772274,-9.435792173769952,B,1
92,51-65,No,A,E,B,-194.77618409917915,34.6955313693197,A,1
