sexuality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,target
Heterosexual,M,E,B,7.775100589875699,A,-24.411732149826403,0
Bisexual,M,C,C,237.02150214710213,D,45.45375347191169,0
Heterosexual,F,E,B,-105.44596503301533,B,155.82679359412455,0
Bisexual,Other,A,A,-25.152935453339698,C,90.97140483562947,0
Homosexual,Non-binary,A,A,-71.08817310163191,E,-19.628371074704308,0
Other,Male,A,D,44.9777867929429,C,56.21043730386235,0
Homosexual,F,D,E,1.968372847783122,C,-27.05760516622745,1
Heterosexual,Male,E,D,131.04478201146406,C,-39.07635548157269,1
Bisexual,Female,D,B,68.27931541784062,C,46.37744526764847,1
Heterosexual,F,A,D,-167.2554637315771,C,39.992356668088476,1
Homosexual,Female,C,B,34.36998078439462,B,133.69378234145304,1
Homosexual,F,E,E,1.7849846408387997,A,138.37652579679764,1
Bisexual,F,D,E,107.91584682504336,D,171.84810536491705,0
Other,F,D,B,161.42914858972355,E,91.42694305211425,1
Bisexual,Female,A,C,-20.557087355584372,C,-22.16302869398688,0
Heterosexual,Other,E,E,64.7134992065541,D,-58.42161998580097,1
Heterosexual,Female,E,E,65.56913612797702,E,6.114647715265937,1
Heterosexual,M,E,D,-75.26859776004463,A,-5.71952978671002,0
Bisexual,Non-binary,E,B,20.315704935174253,C,114.12434288427795,1
Other,M,A,E,-113.21435771006858,D,7.71316428913663,0
Heterosexual,M,A,B,-40.97703473062697,A,77.77816756560352,0
Other,Male,C,E,110.31445169795269,E,-136.31624261155153,1
Other,Other,A,E,55.516149378321664,E,-50.096117438541256,0
Homosexual,Non-binary,E,E,83.51516091677513,D,71.46098385387486,0
Heterosexual,Female,E,C,-58.711226349891845,C,25.852843107608912,0
Other,Female,C,C,146.75412362891632,E,-106.58602209357888,0
Homosexual,Non-binary,C,B,74.2080416891072,E,81.44933965268818,0
Bisexual,Male,B,B,90.82027947573465,A,-6.050996816996414,0
Homosexual,Other,E,E,112.46701221107077,A,-153.10068989799015,0
Homosexual,Male,A,A,-32.89248145332941,A,-146.0055446796183,0
Homosexual,Male,B,E,-1.4336947121737098,D,35.56234170598954,1
Heterosexual,Female,C,A,-24.4272494426395,B,-52.04691196444171,1
Homosexual,Other,C,D,-9.721910368928539,D,66.0505143802293,0
Bisexual,Female,E,E,6.596962728965486,A,-18.769398621278622,1
Other,Non-binary,E,A,-77.50833241382054,C,175.08497741947775,0
Heterosexual,Other,C,B,-3.704777273800662,C,-40.69809192173413,0
Other,Non-binary,B,A,-203.2986372633708,E,97.48618201169921,1
Heterosexual,Male,C,C,71.39713474926594,A,17.52096194727955,1
Homosexual,Female,E,C,146.0155242893712,A,-96.53170116111114,0
Bisexual,Female,A,E,11.314954375143364,E,59.24928445560398,0
Heterosexual,Male,E,B,4.5250968191088505,D,-40.424059577246595,1
Heterosexual,Other,C,A,30.645514957738317,B,35.151268350842734,0
Other,M,A,A,-122.47945957194165,B,-7.441833182862348,1
Bisexual,Female,D,D,79.12198583533865,D,194.09564235244167,0
Heterosexual,F,B,C,-23.88859143177333,C,-111.78729234145007,1
Heterosexual,M,D,C,60.23069571044136,C,-175.36493257996818,0
Other,M,C,A,81.00908036717944,C,-6.897629530543009,1
Other,Non-binary,E,E,166.43613557421065,E,-0.2449408582644711,1
Other,M,C,E,160.91592643249354,B,-0.03396270998525861,1
Bisexual,Male,D,D,48.08880616757409,C,51.21557333521416,1
Heterosexual,Female,A,E,66.54433827766542,A,64.27238851043265,1
Bisexual,Non-binary,D,D,81.8085673054335,D,49.90361177128909,0
Other,F,B,D,-86.56691687931604,C,-82.58298647466371,0
Heterosexual,F,E,C,122.01252355429808,D,-148.5839989504796,1
Other,F,D,D,-88.67352704157835,C,95.487047584873,0
Other,Male,D,C,-52.83790919798913,B,21.563708594289913,1
Heterosexual,F,D,C,-147.97293400032345,E,-22.749798253596087,0
Homosexual,M,A,D,113.1064939905378,C,112.53868878586724,1
Homosexual,F,A,B,23.81239789584029,C,-18.567265594022885,1
Homosexual,Other,A,C,110.66003865728544,E,-158.83069345173362,0
Bisexual,Other,C,B,38.14264399205886,E,119.92354076244331,1
Other,M,E,A,-176.36041733258298,A,-27.24003995708047,1
Bisexual,F,E,D,-66.83623758490539,A,-74.01412346551017,1
Heterosexual,Male,A,D,-43.23202152461674,E,-74.40201342408847,1
Other,Non-binary,E,C,135.145875183547,E,138.32856034012948,0
Bisexual,Non-binary,A,E,-167.67373689401558,A,48.65131863927265,0
Heterosexual,Other,C,A,-68.6255714977578,A,164.05981354283992,0
Heterosexual,Non-binary,B,E,33.07361176478969,A,-88.0208360783595,1
Heterosexual,F,D,E,-67.6366142536395,B,51.97700658834109,0
Homosexual,M,D,B,-102.45148576588696,D,111.2592196225931,0
Bisexual,M,A,E,-26.388824780698517,D,-50.75587763880483,0
Heterosexual,Female,A,C,-143.64276878057134,E,69.44109241926671,1
Other,Other,D,E,93.37120062677813,A,-15.674977788109029,0
Homosexual,Female,D,E,-50.51566647750624,C,67.65328175080325,1
Bisexual,Male,E,C,70.71097104612336,C,-154.40332358757118,0
Other,Non-binary,C,E,142.2157075737036,B,180.47414005116175,1
Bisexual,Male,B,E,38.58206137476834,D,-45.141955117920794,1
Homosexual,Non-binary,B,E,111.1223853812354,D,26.9113788797678,0
Other,Female,D,C,88.81124022553855,E,89.89407299636612,0
Other,Male,B,C,-35.904435497070494,B,-42.699571002886564,0
Other,Male,A,A,-210.47296672216888,E,-59.15497247428405,1
Other,Other,D,B,-66.99003694086629,E,98.41477963589767,1
Other,Other,B,B,153.28576271589597,C,213.34250358590046,0
Homosexual,Male,B,B,93.07699326854095,D,-171.38349587026423,1
Heterosexual,Non-binary,A,E,-30.124042733775507,C,-111.95074135584562,1
Bisexual,Male,B,D,129.38289866759126,E,12.570628953330484,0
Homosexual,Non-binary,B,B,-66.87418472903575,D,61.0260931650816,1
Bisexual,Non-binary,A,A,118.78934996157062,A,-20.4927375498623,0
Heterosexual,Female,B,D,83.43783695400182,D,-58.71484961139606,1
Heterosexual,Other,A,C,-49.03444930298372,C,-18.90366536260572,1
Other,Non-binary,B,B,61.41383025742052,A,14.0908908942037,0
Other,F,B,B,128.46421062410724,C,123.94801757350349,1
Bisexual,Non-binary,B,D,-66.74027467183285,A,-184.9713109788589,0
Other,Female,B,C,157.08593299014663,E,65.43357010610887,0
Homosexual,Male,E,D,-171.55444021033694,C,33.119559434652665,1
Homosexual,F,C,D,90.91574326729636,E,-60.72726895264688,1
Bisexual,Other,C,D,-14.039012586658398,C,87.71099920578327,1
Homosexual,F,D,B,18.23889088286019,C,147.98677133197586,1
Other,Other,E,A,-48.08119186456775,B,-49.9299397840044,0
Bisexual,Non-binary,B,B,-19.896258117380373,E,72.99299458010692,1
Heterosexual,Other,D,C,-25.818575948864996,C,-155.5681925266202,0
Heterosexual,Female,C,A,202.9371165968419,E,-17.44668752960359,0
Other,Male,B,E,204.32226788718464,E,-46.97525367830401,1
Homosexual,M,E,B,135.13254260325323,D,-44.97988330017794,1
Bisexual,F,B,A,22.365784434925057,C,195.75771743252199,1
Homosexual,Other,A,B,-49.238078314239424,B,-154.13559788151292,1
Homosexual,Male,D,A,-20.303908396375874,E,28.203914012591287,0
Homosexual,M,C,D,2.723413803461854,C,6.621669403490542,0
Heterosexual,M,C,D,-8.35232105210794,C,42.17028328518272,0
Heterosexual,Non-binary,B,C,94.63850291306744,A,-87.13988139588919,1
Other,Non-binary,C,B,82.405968447233,C,42.03235624364648,0
Heterosexual,Male,A,B,-44.08496751369459,A,134.0398472968204,0
Heterosexual,M,A,E,-56.021120865677865,E,-27.541353507367504,1
Heterosexual,Male,E,E,41.53443903244753,D,120.27109598999604,1
Homosexual,Female,A,E,11.409886158676603,A,-28.64142790807986,0
Other,F,D,C,34.211367663592874,E,-81.52716444842022,1
Homosexual,F,B,B,-96.9289369806677,A,-21.585409701250903,1
Bisexual,Male,A,C,3.390324558585696,E,41.13812724520486,1
Homosexual,F,A,D,-27.170519355808644,B,198.9820383850933,1
Bisexual,Female,D,E,93.53198245262088,D,116.4664394516742,1
Homosexual,M,D,B,74.14727158017604,D,-114.36884727608671,0
Homosexual,M,C,C,39.13950100283684,A,-24.012223792761453,0
Homosexual,Female,A,E,-63.69083698166137,E,132.32747053282003,0
Other,M,A,D,58.319989840537225,B,-108.08918678298247,0
Bisexual,Male,A,B,-109.57057023637786,D,-48.47036840319653,0
Other,Other,E,E,-54.53269109140809,C,-24.53312768586131,0
Homosexual,M,E,E,122.13018483892668,C,117.8605134510402,1
Homosexual,M,E,C,-43.75354741183079,B,127.05468322480505,1
Heterosexual,Other,C,E,85.76440617312274,A,-112.09909990341114,0
Bisexual,Female,A,C,80.2705666959596,B,-219.8995074888208,1
Homosexual,Male,C,C,19.083106772207568,B,-28.08561748981519,0
Homosexual,Other,A,B,-22.30370592792402,D,-73.61404753543233,0
Heterosexual,Other,D,E,72.46314787826402,B,-105.74808539404191,1
Bisexual,M,C,A,43.59984145602684,A,114.14575171663049,0
Bisexual,M,C,A,44.404147131886646,D,88.5438007456387,1
Bisexual,M,D,C,-6.678158899860715,E,-43.92283346368841,0
Other,Other,B,A,-121.68580090692174,D,-169.84669712156713,0
Homosexual,Female,E,B,189.1970648733773,B,133.79843267969162,0
Heterosexual,Non-binary,C,D,98.06889906523118,B,-298.339464450693,0
Other,Other,C,B,133.61528529230912,C,-127.54233945105136,0
Other,Other,B,A,-0.6061899396812118,D,-147.2551101533506,0
Homosexual,Other,B,D,-86.32128835759995,D,31.509151658807095,1
Other,Male,D,D,-19.76083689384216,C,44.228939772058574,0
Bisexual,Non-binary,D,A,223.3055770286135,A,72.6272945669598,0
Heterosexual,F,C,B,49.734074405755244,E,-52.040323984043354,0
Bisexual,Male,A,D,-21.831382788520912,A,-63.66525468197769,1
Heterosexual,Non-binary,C,C,22.16168269084437,D,-77.32717718663015,1
Heterosexual,F,D,E,-12.63506894807199,B,4.072203505068335,1
Heterosexual,Female,A,E,-73.41060489698117,B,41.27645994206641,1
Bisexual,Female,B,D,8.464022229315498,A,181.16442298969585,1
Heterosexual,Female,D,D,7.334165564736145,E,9.647646451221265,0
Other,Female,B,B,-55.31512504795567,A,68.82226038634481,0
Other,Non-binary,B,A,16.201555377701716,C,-97.19767515261822,0
Other,F,A,A,-14.246467088964051,E,-28.540715139285073,1
Other,Female,A,A,-62.65716557685567,C,39.57932595746045,0
Bisexual,Non-binary,C,B,-0.8146648719532402,D,-126.87400286184494,0
Other,M,A,C,109.48593930445325,A,-76.93315159164334,0
Homosexual,Non-binary,E,B,-4.493205241188484,C,-17.24019871149381,1
Other,M,B,C,-65.34609578363138,D,-52.64105875845001,1
Homosexual,M,C,E,62.6782950280232,E,146.05942635482475,0
Heterosexual,Female,E,C,-142.50693629873768,D,-150.44482606193395,1
Bisexual,Non-binary,B,A,-13.846215229959277,C,51.93302964191334,1
Homosexual,Male,D,A,40.65633094273911,A,-21.787682133440608,1
Bisexual,Other,A,A,33.57080543030465,A,-40.98764841768265,1
Other,Other,B,B,-151.51432915907253,E,-7.3784739698909405,1
Homosexual,Male,A,D,-182.52444193901155,C,-47.38558974640127,1
Heterosexual,Other,D,D,-39.96046783337509,E,-161.12249001521343,1
Heterosexual,F,C,E,-135.94734736306805,B,-72.14419980808154,0
Heterosexual,Other,B,C,5.647266779027278,D,13.008772428757053,1
Heterosexual,M,D,E,-5.685979862633076,C,-34.66881628346284,0
Homosexual,Male,C,B,-49.950855124530605,A,10.468759638294994,1
Bisexual,M,D,D,109.72911549515696,B,-30.49180028728054,0
Homosexual,Other,E,B,21.928454174503333,A,-97.9001920826925,0
Other,Non-binary,B,B,78.13184831099935,B,14.140104165074385,0
Homosexual,F,E,A,-185.16076423867418,A,185.88630132355522,1
Heterosexual,Male,A,E,-30.507316683002834,B,132.26979372892825,1
Bisexual,Male,B,A,-4.164481896675301,B,-14.048510331509986,0
Homosexual,Female,C,B,-188.05715697544343,E,-203.8300115323113,0
Other,Non-binary,B,D,-116.50588587982287,A,68.18135528864025,1
Homosexual,Non-binary,D,A,-61.103341268095825,D,176.64150925998646,0
Homosexual,Male,E,A,-33.92841824046046,A,185.87245627950037,1
Other,Male,B,D,-52.42645108397248,B,-7.571586790451539,0
Bisexual,Non-binary,B,E,34.66413531010566,E,112.4333128876308,1
Homosexual,Male,D,E,48.7478255946063,A,29.221339468395534,1
Homosexual,F,B,C,-18.85996118227228,A,108.75030158988312,1
Bisexual,F,B,A,-63.98999810963624,A,-44.63244100894768,0
Homosexual,Male,E,A,92.26682924175581,B,20.820509017578157,0
Other,M,C,B,-18.090618306293376,A,65.61291673397773,1
Bisexual,Other,B,A,-34.33207725573732,C,2.749976710970052,0
Heterosexual,Female,A,B,41.68982141655442,E,15.724761737644327,0
Other,Female,C,D,128.9033924345065,D,-53.213328524677216,0
Heterosexual,Other,E,B,-248.87279167216434,D,50.52870501538022,0
Bisexual,M,C,E,147.64597004665794,C,-228.6840981028468,1
Bisexual,Male,A,A,-40.27003620280873,B,9.642334194765306,0
Heterosexual,F,C,E,85.55354474751665,D,-79.1479581987253,0
Bisexual,Other,D,D,-179.69430108802916,A,80.91263838688874,1
Bisexual,M,D,B,-128.30619292037935,D,-54.17647620746041,1
Bisexual,Female,A,D,101.57784595545849,E,-9.408458617059003,0
Bisexual,M,B,A,44.83895078610434,E,37.90789944120501,0
Bisexual,Female,C,E,-45.16712071351473,E,-47.65955953713628,0
Other,Other,D,C,-10.330087354813559,D,216.02523590535637,1
Heterosexual,M,C,A,-5.441806322366925,E,50.207455565103366,0
Other,Female,B,D,36.162961997487336,B,28.26819582841641,0
Homosexual,Male,C,A,211.5986047539953,D,-0.6076160635846666,1
Other,Non-binary,E,C,-15.65001612936549,D,-0.9571985700179453,1
Heterosexual,Non-binary,C,B,-40.1188290003726,D,65.33901997631563,1
Heterosexual,Male,D,C,-25.54114906765626,A,82.1490935314548,1
Bisexual,Non-binary,A,C,-129.39340716281924,B,-57.62900904538078,0
Homosexual,M,E,A,148.12318052804977,C,-13.268996172948578,1
Heterosexual,Male,D,E,-30.599691644054033,B,64.73298300534108,0
Bisexual,F,C,E,-91.36427002983623,A,94.1863773571223,0
Homosexual,Other,D,D,122.88819568980426,D,-45.61447348849897,0
Heterosexual,F,D,C,137.90506602166795,E,-145.9506282807833,0
Bisexual,Non-binary,E,D,-17.996060508537493,E,-220.26688522569958,0
Homosexual,Non-binary,C,A,-98.17603079377523,B,-272.5776385257802,1
Homosexual,F,B,B,117.95214409405479,D,100.1932515055401,0
Heterosexual,Other,C,A,55.71200002614686,D,30.454359783373253,1
Homosexual,Non-binary,B,A,-41.11520573303882,E,-110.39214034989446,1
Heterosexual,M,B,D,99.59546578807895,D,-52.5268234391594,1
Heterosexual,Male,B,D,-94.35937274651732,D,62.53172519223268,1
Bisexual,Female,E,D,-25.13546602078928,B,-68.76361928611695,0
Other,Non-binary,C,C,-4.690589965519846,C,-5.783843371227047,0
Heterosexual,F,A,E,-125.6573848753175,B,66.16389913853659,1
Heterosexual,M,E,B,-7.623496131038686,A,107.57400073321341,1
Bisexual,Other,C,A,210.9627288317162,C,-163.26966084520848,1
Bisexual,Female,A,B,7.208182592095983,D,-103.08836182810282,0
Other,Female,E,E,-23.92405451440754,E,14.914061196493,1
Other,Non-binary,C,A,-119.52861469761919,D,-32.21594022536572,0
Homosexual,Other,C,D,111.1352946102929,D,-67.12928867836237,1
Homosexual,Non-binary,E,E,-83.13413267337114,C,100.99252536858437,0
Homosexual,Female,A,C,41.12419269199156,A,115.62434704307138,0
Homosexual,F,B,B,-52.01992541782568,E,-7.673745508117627,1
Other,Female,B,A,-159.47777944526334,A,36.49589283427553,0
Bisexual,M,D,B,-156.8003675015175,B,-129.15004020542978,0
Homosexual,F,E,A,-163.76432300116733,B,50.807175408878415,0
Other,Male,A,B,167.91010252470366,B,-77.64091946547062,0
Bisexual,Male,B,D,80.3055021759889,B,40.3155810743446,1
Other,Other,E,C,129.6001981929889,A,-28.52627204894178,1
Bisexual,F,B,E,35.314149566007735,A,75.6662276329338,0
Other,Male,B,C,31.70165762679763,C,18.659455366099913,1
Other,M,A,C,-159.86934993353276,C,162.35596374733666,1
Bisexual,Other,E,E,-13.303559318664943,C,204.3305551061914,1
Heterosexual,Non-binary,C,B,-0.6925458691551469,A,-44.175703623364896,1
Heterosexual,Non-binary,A,C,6.007052991830445,A,-127.81092100447286,0
Heterosexual,Non-binary,A,D,31.707828168428055,C,-54.04255075733225,1
Heterosexual,M,C,D,-48.8420296017628,C,-28.482303202738983,0
Heterosexual,Female,C,E,110.42891100589554,E,107.57371156503335,0
Homosexual,M,E,C,-190.77471387740346,C,-44.65434979413554,0
Heterosexual,Female,A,B,-101.75741851329157,A,-317.96540220111547,0
Other,Other,C,C,-159.43991391272337,A,112.28506878245258,0
Homosexual,Female,C,D,148.68552090167725,D,18.600378920161596,0
Other,M,C,D,-130.2921543885099,D,-143.17421001942344,1
Heterosexual,Other,B,D,87.79391253932015,B,115.71752796702437,0
Other,Male,B,A,21.48281607861313,A,-22.44835882057856,0
Other,Other,B,C,120.54800160035109,C,-97.15568172450647,0
Bisexual,M,E,C,52.33651660618286,D,-2.6323902017667913,1
Heterosexual,Female,B,C,-46.19636004683471,A,26.765109702992557,1
Heterosexual,Female,D,A,67.05070983906083,B,19.61501389087183,0
Heterosexual,Other,A,C,115.18845508980398,E,0.5322170549565033,1
Bisexual,M,D,C,-92.64909458326746,E,-32.418209824161345,0
Heterosexual,M,C,D,57.39633773909396,D,88.66664495444985,0
Bisexual,M,D,A,-22.455436426788996,E,-124.83876668229202,1
Bisexual,Non-binary,D,E,8.8234811641096,A,-124.00062322348109,0
Heterosexual,Female,C,B,60.76967942115197,E,-84.49336703373899,1
Bisexual,Other,D,C,-62.71724040818384,A,5.182060179951391,0
Bisexual,Male,E,A,105.42654426699217,C,100.61861340026526,1
Bisexual,M,C,C,57.8517934997283,D,31.881547864169868,0
Heterosexual,Female,E,E,27.790679265002105,B,103.56112211927173,1
Bisexual,Other,E,A,-418.84419448382096,B,-93.65052967310831,0
Bisexual,Non-binary,C,A,-35.98827144109258,A,-220.26097897110373,0
Other,F,B,A,-21.623914438977707,A,202.04678760983964,1
Homosexual,Female,B,B,-66.61142053053827,A,-78.07781103335896,1
Homosexual,M,E,D,202.67182739121594,B,-100.10148095584721,0
Bisexual,Non-binary,B,A,47.13602353564429,A,-35.77895533857179,0
Homosexual,M,B,A,156.04445502492146,B,-254.7968899298328,1
Bisexual,Male,D,C,-49.57559595655998,B,19.143148622942576,1
Other,F,D,E,-21.07836994189334,A,71.37944082327549,1
Bisexual,Female,A,B,57.869271461670394,C,-81.69287368539658,1
Other,M,C,C,29.956830123016314,B,73.12978481210338,0
Heterosexual,Female,B,D,121.89917551364553,E,-80.1804203050392,1
Other,Other,A,A,-65.83529201796536,B,77.20881900710695,1
Heterosexual,Other,A,C,58.581472366977096,E,-202.6926261150836,0
Homosexual,Female,D,B,69.48198776990031,A,194.29499938905036,1
Bisexual,Other,D,B,-88.90564954429018,C,-201.11442468706434,1
Homosexual,Non-binary,E,C,53.961011983245854,E,-32.77500244637893,1
Bisexual,Male,A,D,-180.79558934891404,D,-56.26600504155249,1
Bisexual,F,C,D,-141.26009810735036,E,-78.64754355890943,0
Other,F,D,C,-198.68929710881991,A,77.84392549025945,0
Other,F,A,B,100.6490721209786,C,64.95009703319427,0
Heterosexual,M,C,D,100.009306624613,E,106.33087279933153,1
Homosexual,Female,E,E,-41.80007699724992,D,-32.522450471879345,1
Other,Male,A,B,-119.24315827835524,C,-21.16109728167496,0
Other,M,B,D,-34.670862387789136,E,-100.25533138872294,1
Heterosexual,F,D,B,-1.9416519169087239,D,87.12520986620474,1
Homosexual,Male,B,C,173.0242835874671,A,-100.89521167216671,0
Homosexual,M,B,D,-7.185767116764083,A,104.53564495518476,0
Bisexual,M,A,E,-9.020713395617156,E,27.960014462003492,1
Homosexual,Other,B,C,-56.683041419245924,A,-15.808691067732529,0
Heterosexual,F,A,C,-71.88836741799442,B,-120.70090912659272,0
Bisexual,Female,D,B,15.020634331771806,A,90.62628998808216,1
Other,M,C,C,-103.32514816172751,B,83.41949135618772,0
Other,Other,B,C,-105.02526626295634,C,-24.85646656758943,0
Heterosexual,M,A,E,-40.92878330667442,A,22.54802916835061,1
Bisexual,Female,B,D,-124.66852267620267,E,-32.79216213138085,1
Heterosexual,M,C,D,132.59781960151034,B,-239.72347299481513,0
Homosexual,Other,A,C,7.122058990710372,E,-82.87529130278662,1
Heterosexual,Female,B,A,25.90927527017363,E,109.89051447198183,1
Homosexual,Non-binary,B,C,31.524402262455766,C,49.2048508751139,1
Bisexual,F,A,E,90.12958102836241,C,80.8543663825334,0
Homosexual,Female,C,E,-38.09826614302164,E,-91.41622991697916,0
Homosexual,Other,E,B,-119.29324019463337,C,-113.37601581783633,0
Bisexual,Female,A,C,77.54539213434316,C,-150.24859081203326,0
Homosexual,Female,B,D,99.55193377538727,C,108.57453407869923,0
Homosexual,Other,A,E,29.507779783174833,E,-53.658756543505746,1
Bisexual,F,A,D,-135.66521719969873,B,-190.33668323940745,1
Heterosexual,M,B,E,-28.524953790463293,C,12.008873770371986,0
Bisexual,Non-binary,E,C,104.69260530937927,A,-24.844390474198804,0
Other,Other,C,C,-85.18551281055711,C,35.68441866367001,1
Homosexual,Male,A,E,-90.0249965234734,B,5.2805946783713615,1
Homosexual,Male,D,C,-108.29288476444607,C,54.79687514571279,1
Heterosexual,M,C,C,14.41705449523515,D,-46.77715408312287,0
Homosexual,M,D,A,-123.01622858755054,A,29.745746465844153,0
Heterosexual,Other,A,D,-92.12800426495168,A,31.76107047481573,0
Other,F,D,E,142.03606634989552,D,65.95795954208224,0
Bisexual,Non-binary,A,D,-98.41188460095194,A,12.587021514624148,1
Heterosexual,Non-binary,C,A,8.659604171010313,B,-142.6917032553929,1
Homosexual,Other,E,A,24.158982428376913,A,68.58697380420132,0
Bisexual,Female,C,B,173.29852648122807,A,-18.918837554787835,0
Heterosexual,Non-binary,C,A,9.29010658790582,A,-129.57683518074273,1
Other,M,A,D,-109.75923609962248,B,33.69454625651903,1
Heterosexual,Other,B,D,65.46246767159323,D,23.31409029299024,0
Homosexual,M,E,C,22.240896782580734,D,-112.39092819263077,1
Bisexual,Other,E,C,-17.85082148654634,A,106.12382285864985,0
Other,Male,A,C,-130.3639990490856,C,-67.5542448539852,1
Homosexual,M,C,C,-85.44484540984838,E,12.731341858885575,0
Bisexual,M,A,C,3.2808432033347956,D,-26.838229406848125,0
Heterosexual,Non-binary,E,B,-153.3304246221067,D,69.40116972769614,0
Other,M,D,B,38.35498300499967,C,46.93935258158079,0
Heterosexual,Non-binary,C,D,-15.921960700676852,E,153.16438506539598,1
Bisexual,Non-binary,E,A,92.04398886660802,E,71.33832431462463,1
Bisexual,Female,A,B,9.448651350520654,A,18.596400385565246,1
Heterosexual,Non-binary,C,D,40.54163450008492,E,-203.34266328245084,0
Bisexual,Female,C,A,-38.375388070799076,B,-59.985913975112325,0
Bisexual,Female,D,C,55.923810750704796,D,-54.27017441819708,0
Homosexual,Female,D,E,46.21786281450996,D,-78.3692287584079,0
Heterosexual,Female,E,E,-11.326234411335658,A,119.31991705131144,1
Bisexual,M,E,D,30.564223484169478,E,36.93044171899217,0
Bisexual,F,D,C,-123.51110008840331,E,-126.71018937331348,0
Heterosexual,M,D,A,110.73926929030218,D,49.35317413182659,1
Other,Female,E,B,95.3479218777145,C,250.84774339008226,1
Bisexual,Other,B,E,0.20605344626836394,A,-123.637825311327,0
Other,Other,C,D,78.08261210754422,D,-115.01414276748456,1
Heterosexual,M,A,D,-78.62139842830734,D,65.15156591391312,0
Bisexual,Non-binary,D,A,-52.36117533559303,C,-94.79151459847661,1
