nationality,civil_status,Veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
India,Single,Yes,Homosexual,-86.0684689327615,B,A,E,E,-58.71264308083934,-116.76458945999421,-123.75156177591026,0
China,Widowed,Non-Veteran,Homosexual,74.02356236062175,D,C,E,E,20.20696028642266,-21.125440522824857,18.453950273176343,0
India,Married,Veteran,Homosexual,43.79661807228511,B,A,E,C,-21.65369936789493,6.329090644724554,-203.82384851019904,1
China,Widowed,Non-Veteran,Bisexual,-290.94474764254574,E,C,C,D,148.00320379564133,74.67990697273328,-107.59163793385366,0
US,Single,Veteran,Homosexual,36.21849317124953,E,C,D,B,148.81175736041976,-152.59205262010084,40.9384322956987,0
China,Single,No,Homosexual,50.16319078346617,B,A,A,E,42.94067849911715,-60.13599544092325,113.38712993617025,1
US,Married,Veteran,Other,-87.08431773833463,D,C,D,A,-55.781748389158594,-64.11649994638611,-111.50053426181043,1
Other,Married,No,Other,-72.16430486339638,A,C,D,B,102.44807903892408,-11.240421447995748,18.708820548126713,0
Brazil,Married,Veteran,Bisexual,26.230582042962126,A,B,A,C,31.183318736829257,61.47094144506903,-56.129054962478556,1
China,Single,Veteran,Heterosexual,39.562291351274155,A,D,D,A,-164.04099930968235,88.89978838671465,-67.02129744920909,0
Mexico,Divorced,Yes,Other,35.57860525361381,C,E,C,D,42.659993357065055,-196.02144576091575,-9.064979722686235,0
UK,Widowed,Veteran,Heterosexual,-142.175578586378,D,A,D,B,79.62165703325329,-2.0284098021595547,96.27294387077028,0
India,Divorced,Veteran,Other,87.85976610364511,C,B,C,B,-46.815017999288564,-120.59267205171729,81.1929367036296,0
Brazil,Single,No,Bisexual,35.439386679806596,B,D,B,D,86.095466753177,18.213565165020473,-57.087140800914405,0
India,Single,No,Other,26.670561098988472,D,D,C,D,46.47735769660583,-24.44808656952376,77.88661020047337,1
Germany,Married,Yes,Bisexual,91.3610734093275,B,C,E,C,9.120325022664387,64.41870443668515,165.39187855350056,1
UK,Single,Yes,Heterosexual,-63.98225808436601,E,E,C,E,-13.857855631279115,-115.36587396612907,76.75436872629838,0
Brazil,Widowed,No,Heterosexual,-119.52674364267666,E,C,A,E,30.34362344740303,89.08799993984911,130.8539486543141,0
US,Widowed,Non-Veteran,Bisexual,37.530196854972345,C,A,E,E,-21.550491406215276,366.02353114443696,-192.51093834316683,1
UK,Widowed,No,Homosexual,100.81112092561352,A,D,C,B,-30.24071122937826,101.53384106503502,6.476052432752617,1
US,Married,Yes,Other,-218.65898107565505,D,C,E,E,-72.75194069248889,5.3994318848296645,-54.114844596640424,1
Germany,Married,Non-Veteran,Homosexual,-89.015854204802,D,E,D,C,91.39696830317955,15.063569552942893,65.58041083347048,1
India,Widowed,Non-Veteran,Heterosexual,-236.1364725783789,D,B,E,C,-23.111559771424243,90.00550407147789,126.54153528562621,0
Germany,Married,Yes,Homosexual,-167.18799330926578,A,B,B,D,-2.3406255098017295,-6.047506657091934,-2.435455982065595,0
China,Married,No,Other,54.076798611395674,A,D,C,E,113.64254652779269,104.68058492235868,-57.60891408025104,1
Other,Single,Yes,Other,46.097935776047834,E,E,B,C,-162.5322470337776,17.89504179485914,-58.259502520562876,0
Brazil,Divorced,Non-Veteran,Other,161.8719649860893,D,E,A,B,-26.514593571024236,-89.15337113799583,148.7958758349977,0
China,Divorced,Veteran,Heterosexual,23.187123497044045,C,D,A,E,48.0250157150429,47.59972982263504,-71.91443637828976,0
US,Widowed,No,Homosexual,-7.78084617603715,E,C,E,A,-188.6968417825925,0.44296298712652915,31.337727870261546,1
India,Married,Non-Veteran,Heterosexual,-8.44230986520282,C,D,A,B,6.559880280674108,-60.981315368000885,7.371686300603198,0
UK,Divorced,Veteran,Heterosexual,-37.83482861655005,B,A,C,A,7.115209910074709,45.869108551533,44.35724479499538,0
US,Widowed,Veteran,Heterosexual,19.488954558552642,A,D,E,A,21.687478741743032,151.75770999589562,-14.723492245840161,1
US,Widowed,Yes,Homosexual,11.720454845938006,E,B,A,B,20.80203611119623,-19.263784014227156,28.46212843886502,1
UK,Divorced,Non-Veteran,Bisexual,5.90553982734615,E,C,B,C,-68.63911936092639,3.736608229829217,43.25393095269459,0
Brazil,Widowed,No,Bisexual,-38.437270523927126,C,B,B,B,67.71632255771324,140.6190122555049,110.18322600548723,0
Other,Widowed,Veteran,Bisexual,32.318221449457255,C,B,E,C,-89.76928242041834,-125.98940597235672,-46.8655630545818,1
US,Widowed,No,Heterosexual,-98.32752201943579,B,D,E,A,33.638692374426135,106.85569335232638,-11.627158496270065,1
China,Divorced,Non-Veteran,Heterosexual,99.94979451842934,C,B,A,B,-105.67957582085894,135.9233556326472,-94.54277128954189,1
Brazil,Divorced,Veteran,Bisexual,58.395848958326155,B,A,D,E,113.37321706844357,74.84435608347934,125.79597312086219,1
Other,Single,Non-Veteran,Bisexual,-35.573494281314574,B,A,B,B,-30.85045071763431,-129.8510151437648,-21.69585600992361,1
Germany,Widowed,Non-Veteran,Homosexual,-58.10856712456418,D,C,A,E,147.13494822411113,-41.11449807777339,113.64333843594332,0
India,Widowed,No,Other,162.2146849208497,C,D,B,D,-55.5212917576456,-154.47967574825464,41.87829130527465,1
China,Divorced,Yes,Other,6.132120048539554,D,B,E,C,-190.46612316974185,32.84056288364878,3.0040388272675886,1
UK,Married,Yes,Heterosexual,-103.17843222361998,E,E,B,D,19.028428664692694,-116.49245119131302,42.606486800312446,1
Other,Widowed,Veteran,Bisexual,40.48961880159716,B,B,B,A,85.80792859531691,53.39967931819469,-5.843112199752854,1
Brazil,Married,Yes,Heterosexual,109.51465539320029,E,A,C,B,67.88803798980028,-7.235587711873021,67.90040258939376,1
China,Widowed,Non-Veteran,Heterosexual,-40.07244841789271,A,B,D,E,13.08127114264229,26.212380716634677,-100.03625909272174,1
Brazil,Married,No,Bisexual,-13.660079651625656,C,D,A,D,-21.041333051955704,1.6089007856994648,71.40205525781931,1
US,Married,Yes,Homosexual,-106.33911176797864,A,C,D,D,28.994331352233438,4.510388998900149,-143.53913539181124,0
Brazil,Divorced,Yes,Heterosexual,11.146043270656717,B,C,E,D,-270.3877223477746,-139.60178008395135,-218.01653748593753,0
UK,Single,Non-Veteran,Heterosexual,-63.955971429044965,C,E,C,D,38.677214293346374,113.22599000661057,-3.4370548915156314,1
Mexico,Divorced,Veteran,Homosexual,-86.79805171681818,E,E,D,E,83.01285782692825,-13.610741364363971,35.44919902359302,1
India,Divorced,Yes,Bisexual,-286.1772285099975,A,C,E,A,-122.02599898015998,115.64069888512117,-38.237690178294265,1
Other,Single,Yes,Bisexual,54.29414988276077,E,B,D,D,-19.04397260506134,56.74091758275451,199.61811779341235,0
US,Divorced,Veteran,Heterosexual,-11.587655717307475,B,C,C,E,164.83043209020195,-91.93868809577847,-66.13111233459253,0
China,Divorced,Non-Veteran,Bisexual,-113.40192800126894,D,B,B,C,-81.27013255120463,-54.26577083632919,-93.09111526859995,1
Brazil,Married,Veteran,Heterosexual,34.99152460988524,B,E,C,C,76.08027915377016,74.51371798092988,47.64297204803313,1
US,Married,No,Bisexual,60.30382594426332,C,C,A,B,-154.87081011564337,94.35213005780176,48.15725473329776,0
UK,Single,Non-Veteran,Heterosexual,-33.14008558819115,C,E,C,E,31.89183091536228,42.14513063756151,174.63706253235333,0
Other,Single,Yes,Bisexual,60.52959966405962,A,C,D,A,-20.434582371559188,-27.77241458065342,-28.999874531505103,0
India,Widowed,No,Other,-194.11722753288214,C,D,B,A,111.47747083028987,37.36405594667505,-115.12627399044051,0
India,Widowed,No,Bisexual,-73.68873963188037,C,B,E,C,-75.63719957071125,38.633972154928074,-189.255666420771,0
China,Divorced,Non-Veteran,Heterosexual,-123.51684983501573,C,D,C,A,112.11995718308516,-118.9348582847414,25.67073529671339,0
India,Married,Yes,Heterosexual,-249.1286498715257,A,D,D,D,127.61435337053086,-12.9445701722135,22.71644813845604,0
Brazil,Single,No,Other,-100.03000374224665,C,C,E,A,-133.53272439597242,139.06908655208483,92.24976753207463,1
UK,Divorced,No,Homosexual,-130.07225778031756,E,E,D,E,-124.72439942882221,21.574974385749442,-32.941720190901194,1
China,Married,Yes,Heterosexual,-99.06559533840283,C,B,A,E,-286.67170758386135,-40.31487246147469,13.682961402994831,0
Other,Divorced,No,Other,-43.50338253986147,C,D,A,E,-29.994599150072155,6.082216846460018,34.3952330144759,1
Germany,Single,Veteran,Heterosexual,-1.3291376146781706,C,E,B,E,33.7323754928975,-4.134486876391672,70.15225427518736,1
Brazil,Divorced,Yes,Bisexual,104.51624434953904,B,A,A,A,-36.557061494659244,21.715058983246415,15.50269061160377,1
China,Married,Yes,Bisexual,-25.456219462445205,C,C,C,C,-114.41058195421374,-51.01580471163292,26.80470693026748,1
Other,Single,No,Heterosexual,-11.449028224588176,E,C,B,C,96.04018204020221,-125.4043287959318,177.16613524278867,0
Other,Divorced,Veteran,Other,120.37144543079354,D,D,C,E,11.10993708606756,108.67543761704317,70.99831540230343,1
Brazil,Divorced,Non-Veteran,Homosexual,51.5282456516517,B,B,E,E,-99.26628613917745,-112.2622074854784,-95.8804696793523,1
Brazil,Widowed,Non-Veteran,Bisexual,-99.81948866063148,C,E,E,D,108.5072658373186,-36.25085245761942,-35.236311890617046,0
US,Widowed,Non-Veteran,Bisexual,86.1930557449477,A,D,C,A,-19.34382716924051,-22.244926759945752,81.22423960214776,0
China,Single,Veteran,Homosexual,23.111090319442308,A,B,C,E,-38.885701229215954,137.18674353081596,-27.886081177835354,0
China,Widowed,Veteran,Homosexual,1.1125278685912192,B,B,A,B,-83.38974222954714,-60.98951427420267,-69.69487445601754,0
Brazil,Single,Veteran,Heterosexual,-230.9100320394032,B,D,B,A,6.429281740495642,43.192170407166316,33.75497795578287,0
Brazil,Divorced,No,Homosexual,-23.239894711988544,E,B,E,E,-102.00501340689341,60.51061045081799,27.9568035671011,0
Brazil,Single,Non-Veteran,Other,18.907715262967884,D,E,E,A,-0.5739099002555323,-91.1370692341388,-103.53079734246467,0
Other,Widowed,Non-Veteran,Heterosexual,23.986145947630746,D,A,E,D,120.53678488523832,121.3256063830004,54.054298390883325,1
Mexico,Widowed,Yes,Other,2.7073567782834194,E,A,E,D,-34.0505606114615,12.114165626304326,-21.981307231319246,1
Mexico,Divorced,No,Other,-2.41257407344063,D,D,E,E,-56.277842812922216,49.78658477427196,-78.64231374897545,1
US,Divorced,Yes,Homosexual,-79.59938435103547,E,A,C,B,54.69208282743953,244.96233094604872,-77.05416802040735,1
US,Widowed,No,Bisexual,71.96153271144743,C,A,C,B,-114.11037090348981,-23.17397952318536,131.33493706389714,1
US,Widowed,No,Other,-115.58546272221821,C,E,E,B,1.8138603631675774,23.61085140712051,-1.2306108159807057,0
China,Married,Non-Veteran,Bisexual,-187.44550156882195,A,B,D,C,11.143180342441637,165.3092031020602,73.18618109358631,1
Brazil,Married,Non-Veteran,Homosexual,24.951309823818185,D,C,C,D,-25.146255040758835,56.17310401972397,-20.778973127405017,1
Other,Widowed,Yes,Other,-44.551287270791725,A,C,C,B,-144.84671849225467,-42.0424007116347,-139.75000652035473,0
UK,Married,No,Heterosexual,54.25581364945421,E,B,D,C,-123.13567904937896,-112.49479970784093,27.13035633111075,0
Mexico,Single,Yes,Homosexual,3.6840008093116294,C,D,C,B,-179.29845845745962,60.21499503029998,148.59956015540783,0
Other,Married,Non-Veteran,Bisexual,-33.18110474806448,D,A,D,A,-123.57354903659467,33.59095423051507,-17.90734738507024,0
Germany,Married,Non-Veteran,Heterosexual,-139.5251449258592,C,E,A,A,35.8414486469033,-28.085592739229536,21.039187664062744,0
Other,Single,Yes,Other,18.179693825723003,D,C,A,C,-163.60811078452556,130.2384770489313,140.5711172132432,0
Germany,Widowed,No,Bisexual,194.85178339765693,B,D,B,B,50.288508233506676,113.15378706813262,97.45295163285537,0
UK,Married,No,Other,-104.813242404763,D,A,B,D,15.856216816422414,-13.573239789683267,35.56001182909384,0
UK,Divorced,Veteran,Heterosexual,-63.46615875041714,E,C,B,E,55.04644209323295,-130.129499336625,-57.025877543296964,1
US,Widowed,Non-Veteran,Bisexual,120.83195278280118,D,C,C,C,-103.9702967250558,187.6337025718933,17.802090475378495,1
Other,Married,Veteran,Bisexual,22.03705029391044,B,D,D,E,87.84907060237508,-82.85231379923182,79.26966427818472,0
Mexico,Widowed,Yes,Bisexual,-225.243735043832,B,D,C,A,-39.75573140004582,24.94166945646577,18.922383849685193,1
Germany,Widowed,No,Bisexual,56.96563428831575,B,E,E,C,86.6208372188618,121.48999983802788,81.0402741168482,0
UK,Widowed,Veteran,Bisexual,142.60806807655922,E,C,E,B,90.47560341576055,-175.77810769988315,-48.14059669204532,0
Other,Divorced,Non-Veteran,Homosexual,27.128999128262226,C,C,B,B,-53.693270794442725,71.8454953546307,61.467592138155325,1
Germany,Widowed,Veteran,Homosexual,-64.22657645213916,A,A,C,E,55.64719687016554,87.78780958185817,-17.099387371551174,1
Germany,Widowed,Non-Veteran,Other,118.33841136336541,E,E,D,A,-83.98850250433297,-45.67178678260987,-9.777421239363274,1
Mexico,Married,Yes,Bisexual,-25.461849377700425,A,A,B,B,-85.01392235613963,-197.6059994346176,103.64713672232986,1
China,Widowed,Veteran,Bisexual,-64.96081880603538,C,A,E,E,-33.52743691894905,-76.98700251163895,58.80701550489168,1
Other,Married,No,Other,-233.14331698298366,D,E,D,C,-144.15957265767602,46.31494458761946,-114.30295954093499,1
US,Married,Non-Veteran,Other,183.01306455827705,A,A,E,D,130.65944689817835,77.50299642425449,-154.48994616539997,1
UK,Divorced,Veteran,Other,175.89023493072526,D,B,A,E,27.825387630025627,-15.505368881890202,42.48966226239928,0
Germany,Married,Yes,Heterosexual,-17.469500646148,D,E,D,A,20.493716774175848,-79.34567309931532,-22.181635058930404,1
Brazil,Divorced,No,Bisexual,-78.9299339701937,A,A,D,B,-71.82411378494331,60.60016593580054,-71.25732386342177,0
US,Single,No,Homosexual,73.05198237269101,C,B,A,D,41.71397803259702,-129.7869614718837,2.0453795451537666,1
Brazil,Single,Veteran,Bisexual,107.71975651666123,A,D,B,D,-123.80645346452732,-28.447385681645727,92.46609580743328,1
Other,Widowed,Veteran,Homosexual,-49.68059009488226,B,E,A,E,-106.95164727534008,166.26777345590557,-7.162053478891379,1
Other,Divorced,Yes,Homosexual,76.77264125812712,A,B,E,D,-106.9793188731196,-35.401987642148526,8.885987244150236,1
UK,Married,Yes,Other,25.66175939665764,E,E,A,C,-89.75590923523852,85.48407862445487,77.75486946037086,1
Mexico,Widowed,Veteran,Other,62.060129497557604,D,E,B,E,-100.26220605210065,-104.61576055974162,97.19575913783332,0
Mexico,Single,Veteran,Homosexual,-115.03147411253698,E,E,E,D,-31.763147559170136,-235.7401451154769,-14.31007458838629,0
China,Divorced,No,Homosexual,-8.471609915660014,B,A,A,B,-28.590117880543232,-17.649093703483278,71.63141385231526,1
India,Married,No,Bisexual,92.64429432904673,A,B,C,C,59.64829480515086,62.18708586082607,-68.15710658923835,1
India,Widowed,Veteran,Bisexual,-124.99372333002982,A,B,A,D,121.73379384342122,-10.6901262837329,44.86697585714865,0
Other,Divorced,Yes,Bisexual,161.56329519742937,D,D,D,A,22.379813364189634,-5.299385760138833,-97.0356605951473,0
Brazil,Married,Yes,Bisexual,-29.778340375452295,A,C,A,E,15.18143095774563,256.71142433659156,183.2048755542076,1
Germany,Married,Yes,Other,-130.06885099610696,A,A,B,C,322.0587897435914,-106.38865857995346,-137.70948537233025,0
Germany,Widowed,Veteran,Heterosexual,-40.47880921817183,E,A,A,B,104.29272492743951,-228.45974101497472,-27.64329235092778,1
Brazil,Single,No,Heterosexual,-25.97411752781581,A,D,A,B,-5.99040354186577,24.98147013735573,67.18060513914736,1
Mexico,Single,No,Heterosexual,149.28891683559368,A,E,E,A,149.92808253431454,-78.01028529950352,-28.887359001074657,0
Other,Divorced,Veteran,Heterosexual,-237.88523272178898,C,B,A,C,87.49613864746496,29.413757809671857,-59.8605043675251,0
China,Single,No,Heterosexual,-67.18926783875187,B,B,A,E,36.87112341112216,-3.3817722080844757,2.6506119058242454,1
Germany,Divorced,Non-Veteran,Homosexual,104.0607016069895,A,A,A,B,90.31667268236781,-16.390067077842723,-2.6961418485806936,1
Mexico,Married,Veteran,Bisexual,12.707945110614643,B,C,B,A,66.16025509399212,97.40085536569516,126.74868016922483,1
UK,Single,Non-Veteran,Other,157.63180475229038,D,D,C,B,-74.24053013703373,-20.58488718415358,-326.98961781813597,0
Germany,Divorced,Yes,Heterosexual,55.547416648608596,D,A,B,C,18.23793578759752,-150.8231006757603,298.7311160732266,1
Other,Widowed,Veteran,Heterosexual,15.480998324638694,E,E,D,A,-11.740605224019424,35.807865595371425,67.76065814537492,0
US,Married,Yes,Homosexual,251.99571624556555,C,A,B,B,-15.550534748509099,-114.88028443913012,128.37351800713063,1
Mexico,Single,No,Bisexual,-58.21285900930439,D,D,B,C,-3.057485887975896,4.7910075138999115,126.29276185838665,1
Mexico,Married,Veteran,Bisexual,-97.96040442150836,E,E,C,A,1.204587114432322,-16.863109469422373,-17.85718771950932,1
Brazil,Divorced,Non-Veteran,Heterosexual,-113.10092789756328,A,B,B,C,80.52987064720068,17.605698523564765,-3.5391129882140846,0
Other,Married,Non-Veteran,Bisexual,55.456354466379175,E,B,A,E,-84.6004360213502,38.73753188845483,56.16728307617953,1
US,Married,Non-Veteran,Homosexual,50.863081890128484,C,C,B,E,-114.93890667490318,215.65731530641577,-43.1608433844569,0
Other,Divorced,Yes,Heterosexual,-51.265972705057294,B,A,A,E,-179.52462428279335,-0.22241749499366917,-55.32657910475602,0
US,Single,No,Homosexual,159.66625347863453,E,D,A,C,-37.8192677799374,175.0715127941985,79.04181022391653,0
China,Divorced,No,Bisexual,-6.253947622510288,C,C,C,C,-46.82824121278312,-83.88517760911793,-76.97138797075031,0
Other,Married,Non-Veteran,Bisexual,110.85730765864787,B,B,D,E,-204.42332482408565,-60.7010700283107,-18.947966843938083,1
China,Single,Veteran,Homosexual,-53.49724558105757,E,A,D,B,213.28665539332928,-141.34977759142362,-59.64276814825933,0
Germany,Married,Yes,Heterosexual,1.484914358752893,B,D,C,D,32.06943873646345,166.97244706043034,96.89943702311436,0
India,Married,Veteran,Bisexual,-16.29054710473112,C,D,E,D,-155.0198687822928,55.337264552616276,130.10310528395243,1
Brazil,Divorced,Non-Veteran,Heterosexual,39.39098294902105,D,E,A,A,15.581891620673833,-275.56834137791236,-77.87272978892287,0
Mexico,Widowed,Veteran,Heterosexual,132.68802583202938,C,E,E,D,91.2522938356879,-140.6722752205116,-14.330568569396041,1
Germany,Divorced,No,Heterosexual,78.37599127051274,E,D,D,C,-140.59566148705386,94.35906093567196,-50.81591590338611,1
US,Divorced,Non-Veteran,Bisexual,-81.86158614988204,D,A,B,E,201.72669128910186,17.449040115897667,38.37685930477167,0
Mexico,Widowed,Non-Veteran,Bisexual,-195.54426432111856,C,B,B,A,7.055084346146969,-45.72356479608532,-43.11751849726638,0
Other,Married,Non-Veteran,Other,-197.95393532163536,E,A,A,E,-43.17569704886027,-10.213953809049425,-140.15246178301084,1
Other,Married,Veteran,Homosexual,23.717968093489684,C,B,A,A,136.50389243738354,154.72061114460135,116.3077090803736,0
Brazil,Married,No,Homosexual,143.87429918011827,C,D,C,A,186.78621785066764,4.689483436964121,78.24519018598521,1
UK,Single,No,Heterosexual,-24.31248470868493,D,B,E,C,53.30088694027931,-33.51328383333452,78.98951866725324,0
US,Divorced,Non-Veteran,Heterosexual,-25.77840021408237,A,A,C,B,47.02248384097019,-97.13033962553664,-9.596271750473694,1
Brazil,Widowed,Non-Veteran,Other,93.93171666229097,C,A,C,E,111.24343991466694,49.21431310075278,-163.10154060894826,1
Germany,Widowed,Veteran,Bisexual,106.52627797614511,C,E,B,E,-77.69857513064814,-42.949271748237436,40.59406913433886,0
UK,Divorced,No,Homosexual,43.78298636871348,A,D,E,C,39.099151345565645,19.91503499314715,218.48457661613887,0
India,Single,Non-Veteran,Heterosexual,68.25730826007695,A,D,D,E,-128.86727104642307,-146.44692330290727,-98.40555645915725,0
India,Single,Veteran,Other,-42.788363091797954,A,B,D,D,78.88040668131859,31.33141803131774,-131.0288038094644,0
India,Widowed,No,Heterosexual,-65.62894030802617,E,E,D,D,-101.00596485846569,74.13617420001722,134.68761468204477,0
Germany,Divorced,Veteran,Other,86.96505489524877,B,D,C,C,-175.94355830936775,-24.08492199549338,38.97657952264667,1
Germany,Divorced,Non-Veteran,Bisexual,9.187134014269253,C,A,C,A,-174.47231050186463,-0.09297321831989466,43.30184427112473,1
China,Widowed,No,Bisexual,-53.286448841654334,D,D,D,C,-49.61473646163641,108.05279733154423,-49.755585475682196,0
Other,Single,Yes,Bisexual,48.554606047300155,E,D,A,A,-157.88878184461663,-53.53088605542576,-6.215379838198127,1
Other,Widowed,Veteran,Homosexual,135.09115577654939,C,E,D,D,126.76976050545643,-4.882160660994681,-95.54049563328297,0
UK,Divorced,No,Heterosexual,73.09921952347868,A,C,E,B,-119.21965715553591,78.70634712720415,-41.23206411314048,1
Other,Divorced,Yes,Bisexual,-162.41025544214008,A,C,C,D,121.4322746480592,-63.95709403303598,-32.68941591069087,1
Germany,Single,Veteran,Bisexual,-50.95935280274957,D,A,A,A,-73.84872931962038,19.694284036335556,92.01639520908668,1
India,Single,Non-Veteran,Heterosexual,-184.67574526626916,A,B,B,C,123.56454846028511,102.18315258284238,67.58719051471593,0
Other,Divorced,Yes,Heterosexual,-17.146861635317162,D,E,A,C,-84.78827926089967,-96.86148720108169,36.24575889347584,0
Germany,Divorced,Non-Veteran,Heterosexual,60.53123619199814,B,C,C,D,-14.326545238150604,228.1166820910931,143.2070695550096,0
Mexico,Widowed,No,Other,6.209966902462565,D,D,C,E,-33.141926214892216,-0.44414086467652475,75.80320815335925,0
UK,Divorced,Non-Veteran,Homosexual,25.567063376014044,E,A,B,C,0.9455701052864338,-70.85122845780852,-59.79098512890136,0
Germany,Divorced,Veteran,Homosexual,-257.138993840419,C,B,C,D,142.17717023566365,54.38713419594878,-104.48251472589152,1
US,Single,Veteran,Homosexual,-156.86454432846054,E,A,C,C,151.609632973728,159.01465646378682,-42.14200140357061,1
Other,Divorced,Non-Veteran,Other,-26.412060530726304,D,A,D,E,-3.7996527037108816,-111.9392665408983,-114.10472636198483,0
Germany,Widowed,Yes,Heterosexual,37.7348987432088,E,C,C,A,11.865215086215391,-12.14250787281103,13.133493462969245,0
China,Single,Veteran,Other,102.97614841428802,E,B,D,E,37.57654639575942,108.12175115399927,-16.473529767607367,0
India,Married,Veteran,Heterosexual,-79.30033847210147,B,D,D,E,25.726770940831628,-82.54308333009023,-85.39038370032964,1
India,Married,Yes,Heterosexual,3.133621873158019,E,B,D,C,18.293219513932097,128.7035461112012,65.17283923682108,1
China,Married,No,Heterosexual,-10.637785200214362,C,B,A,E,120.67035128728271,74.19794864719769,87.18709629962359,1
US,Married,Veteran,Heterosexual,82.44004703629415,A,E,D,D,63.874597293745985,63.95168173861849,-84.86577971237993,0
US,Widowed,Yes,Heterosexual,10.596426891772493,D,A,A,E,140.64868668185832,-42.35635135652104,81.58621828668875,0
Other,Married,No,Homosexual,-140.52293353120996,D,B,E,D,-27.034843380459495,-2.9410889434794703,-46.863142197835586,0
India,Married,Yes,Bisexual,-50.73971462438986,D,A,D,E,157.72210715779426,156.478436794175,41.28840666454431,0
Mexico,Widowed,Veteran,Bisexual,85.0354236865874,E,B,A,D,125.53124965227882,-16.862308317600807,-235.49697869630725,0
China,Single,No,Heterosexual,-165.80304730961691,A,C,A,D,-71.47091673493247,-196.84208066614352,-262.30184544244753,0
Brazil,Single,Yes,Heterosexual,154.89827808302772,E,A,B,C,58.321337958405785,101.40183843217281,-54.66967058816665,1
Other,Widowed,Veteran,Other,182.84412838821436,D,D,D,C,17.395265105384492,-5.158754436285266,-110.81432020580482,0
India,Divorced,Non-Veteran,Heterosexual,-137.45596102931984,A,B,C,E,140.44041551220195,61.290747617049924,111.1669293405648,1
US,Divorced,No,Heterosexual,133.28135047336067,C,C,B,C,-23.835644716815157,21.434758642547937,-144.0851235481573,0
UK,Single,Veteran,Homosexual,-46.73601962731805,B,D,D,A,-115.86799396966263,127.34854935005472,-116.6485292272925,1
