Gender,AGE,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,18,65+,-4.212197788494826,109.885677862301,B,65.35006788352564,1.731049340733146,-47.63956693830045,B,40.70938756163153,D,E,72.30019272745476,D,0
M,66,36-50,125.411488224479,38.4802117676561,D,20.888416667327277,208.5017107898721,-60.25655851993027,C,-25.136090320344163,D,E,-17.14660926366579,D,1
Non-binary,44,18-25,-121.40280441282445,180.96226594157184,A,-19.506022875841772,-117.25505300322396,-150.37915576682894,A,-78.20000406561866,C,C,85.08769070587098,A,0
Other,48,36-50,193.0455133298549,-146.51668081134707,D,123.04330699612693,25.831225297849002,-50.94252460775047,B,28.38572118057877,C,C,-78.70300235059239,B,1
Male,70,51-65,18.145720254576073,-178.95174673876863,C,-152.63549517325396,-2.27211687986362,39.09721129366167,B,238.96477795725718,C,E,4.562549209500478,D,0
M,52,51-65,107.01393165210082,-103.27000052551274,C,220.9722809935938,-104.75777215518463,126.25619281532354,C,94.37386578396733,B,B,-14.161348596633472,A,1
Other,45,51-65,93.48332972410526,-28.473791139502787,B,124.99044152192687,195.18425819376736,37.29316846636149,C,172.7205509515461,C,A,-37.75371749346451,A,1
Other,37,51-65,-197.39791560532277,-108.0083242671443,C,30.98716379890914,2.986438750250089,33.75369505826173,C,167.9191606602133,C,C,35.611009901320905,C,1
F,54,65+,-175.11485343882288,10.340188660852629,D,-47.552102621423025,2.0416035234836523,-17.171445705874984,C,-33.7042033861569,D,C,102.71393748622984,D,1
Female,46,18-25,-12.85140929042987,135.58654208663538,D,89.83900578952742,-64.79951564108651,-189.09030787493026,E,-0.15627562522132055,B,B,25.985022149001903,C,0
Non-binary,22,65+,146.51066253970933,29.909020238130996,A,-125.82953160500954,17.574865956569393,-69.93550560384818,D,-37.250617344820355,C,D,68.39799970197419,E,1
F,37,26-35,154.41968643641943,144.02072615959042,A,-15.169988396539544,71.43651565152506,58.2772591385476,D,58.87154954126553,D,A,94.08975138283888,D,1
Non-binary,28,26-35,-16.215811877979633,-66.70506983498254,A,108.95759085436445,173.37906879140598,158.34102447043844,C,-89.83938392191006,D,E,-11.109982009041941,E,0
Male,55,65+,91.42348132036318,-5.585173018745915,B,30.774340595924187,-9.220587385009626,-84.12774084294611,D,100.54843133074533,C,A,-94.13391746676025,D,1
F,36,36-50,-154.09761143351125,-151.33461708173257,C,-29.114070627685546,70.05556109153352,188.28522526138448,B,-143.26597580192447,B,C,-22.395063448493758,A,0
F,35,26-35,6.267082477200152,-149.5451908118802,A,49.88746226021024,150.56956987451997,135.17220972559937,D,-210.46579372522478,E,E,-7.486500398927823,C,1
F,71,65+,162.19965423521424,-238.40746093564496,E,-132.04752772923817,56.52941241576204,-26.681324467401325,E,-19.324002751794005,B,C,-139.7715059390146,C,0
M,48,26-35,-71.29229266496809,-57.77731440840317,E,152.2535467889653,-100.46709247411938,-83.5424410998378,B,80.72311469182189,A,C,94.47848121907745,E,0
Other,26,51-65,47.73642357343353,54.166561272286295,D,186.5923673942561,-86.6390874777413,-166.89165685488297,D,-61.55357109295533,C,A,-32.252146018994566,D,0
M,24,65+,14.864273963766092,30.95047432111635,E,-56.250959838131365,-64.33305671332849,-131.48476976070273,B,-80.94263568661478,C,D,49.28991459325805,C,1
M,73,18-25,173.21878472381306,147.15806158070282,D,17.462348829329084,-19.52954642499139,24.79720950564472,E,103.54363183654702,A,E,113.2624393750703,E,0
Female,40,18-25,-111.62056867821963,49.99881656263952,C,-60.2417056258812,15.08063125866329,13.880859084487081,A,-27.637034105970116,E,A,-213.3189176908761,B,1
M,18,51-65,-59.812978688996466,-18.59332220331434,A,-74.51165095710273,7.409785012467442,-95.13279091825238,C,-82.96047701644198,C,E,60.52488944494567,D,0
M,20,26-35,112.79774647048112,85.57607740141324,E,-142.8126300618091,-94.52704765182402,-68.24807967041606,C,42.4853196825629,C,C,33.283532809512366,D,1
F,48,26-35,-36.25753598701154,-34.570611299229945,B,-19.518586036398737,-51.09710772529324,20.349665259154182,E,30.323352827048872,E,D,-130.22302495014654,E,0
Female,72,51-65,-16.97777990992937,62.99927600102021,B,174.7279114937445,105.08973472976157,-164.08658945448593,D,58.13558102776394,C,E,3.492302505263191,E,0
M,66,65+,-144.90255646377426,-85.34778608531073,D,190.91320072663922,190.09359375085603,87.9434485862764,A,-53.99402909879465,B,A,18.691384212738566,A,1
Non-binary,26,18-25,24.20392549145322,-83.67580991017634,C,-35.56202664324288,-132.84489885440317,124.74159274497015,A,-84.8158774609345,C,E,-29.848612838171096,B,0
Non-binary,65,65+,73.56242371119602,-12.239501014416982,B,135.3232474164887,-115.52339150675508,-4.810197267532666,B,-54.42515815087937,E,D,155.24904652830256,E,1
Other,45,26-35,-178.2333118672508,4.85784701232554,D,-36.00994211628535,50.56005601796425,17.287957489035318,D,271.75856018004345,C,B,-13.88024272407153,D,0
Male,55,51-65,-208.94861255693482,66.0894778440548,D,-82.9556653798179,107.17029066450078,-131.27200357134367,B,114.68018735079235,D,C,2.0609829491103984,A,0
Other,69,51-65,-140.8426120602603,205.79291638989673,D,65.69893623775792,-130.55548145971022,-22.48548402538482,C,5.847422491375714,E,B,208.51576384458969,B,0
Non-binary,48,51-65,-183.83988449121838,-220.67908846075633,B,-47.471150470927945,-34.72255576340242,-0.4987182515552392,C,-166.880581410863,A,B,-233.48146186683474,D,1
Female,78,18-25,2.7762555524094665,150.610670635255,E,-251.48433370281867,-63.45213429365716,-114.76298609787692,D,-151.22369101445764,C,C,166.9367190350327,A,0
Female,50,51-65,-198.612504762813,-135.4697373361994,E,-109.3745547007318,73.8027409860048,-99.69801029261865,D,14.255415089520893,B,D,84.27538666891571,B,0
Non-binary,33,51-65,-80.10374636610155,56.75020125154728,B,-97.74655451408888,48.29663301007873,98.56332854772405,C,-46.69977907218764,B,B,89.53149493052354,D,1
Female,19,18-25,-73.1420598188923,64.36640549231996,B,21.4977852824093,-72.21826322853624,8.698321157907253,B,-1.3022544527833702,D,E,-4.001526782536714,E,1
Other,74,26-35,106.05440287330352,-17.082497692334435,A,-110.701742856396,16.281585627817876,-51.04997795976585,C,32.223100767855506,B,B,186.09701476279815,B,1
Female,34,18-25,84.57487393798974,-118.33522237104914,D,390.53520596292805,34.33790567389111,-53.5105197957004,C,-111.43417404144358,A,A,138.40610497612133,A,1
Other,21,65+,37.62650202530099,-39.873087706241876,B,-102.8799830418586,-97.40029746689002,-3.0355415322790726,B,74.65378341530398,B,B,98.77548347029335,C,1
F,70,18-25,-276.2391006179061,3.48710896083084,D,176.6827847264368,166.74435505777532,-52.85533287288246,A,57.586944759869105,D,D,-289.0366800059262,B,0
M,50,51-65,60.13362938456628,108.62832154684139,E,-1.1283796611065549,-50.5982593951126,143.23305564260147,E,-155.49870584066875,C,B,-44.66266852654201,E,0
Non-binary,44,51-65,-54.85608257354628,-77.05165059820057,A,-14.585972499197553,37.48117179841253,218.903946321882,B,-136.40153316654497,D,E,1.9030678736185,E,0
F,60,26-35,-161.71071606880295,88.77493402037334,B,86.94148047752812,42.492094572433224,-309.95301841619084,A,-103.66137674134607,D,B,22.853397882675562,E,1
Female,70,18-25,-63.059842422797566,56.72971219593843,D,39.12719678410912,-86.53834254352908,-240.59073330550115,D,-47.85529884358476,E,A,190.06768637697257,A,0
Non-binary,20,51-65,-203.970240119422,-60.39393577862373,C,87.370542179191,31.817702905996896,-109.1894098067454,D,32.84474175885817,C,E,125.23981717983845,B,0
Non-binary,46,51-65,141.5650067007835,-23.315512021030354,B,-42.31218294435293,119.20243809242479,70.41463674848542,B,2.9998272441063434,C,B,-144.50681057142566,B,0
F,29,26-35,-117.1818755502772,109.54132381369661,A,23.111549356195734,11.41624556804745,85.70951114471318,D,9.236335854254666,D,A,317.84952402603204,A,1
Female,73,36-50,86.70101243673732,107.3461694778548,B,176.27414833776584,1.2819247893505,7.894607086909682,D,-100.88312467845412,D,B,51.929700184259396,E,0
Female,48,18-25,-81.60476209947673,-32.37548018955922,C,-180.2197766917685,53.96982969046405,-94.01113653024264,A,83.28808484365683,D,B,-111.67596852188562,D,1
M,29,26-35,-352.4523259973802,179.27024583170834,C,-154.63824509522433,-64.37284532717419,-35.52682934976906,E,-77.61355671176064,B,C,58.09136612091578,A,1
Non-binary,73,18-25,-82.54663000847893,76.86590905002568,B,-21.23912996510519,133.33494368434464,-151.88514266413387,A,68.91833949396106,B,E,27.32631207853837,A,1
Non-binary,22,65+,-42.059087625499046,32.83058296609942,B,-43.51616044106195,130.69565411644524,-41.49396920162733,A,48.84294897666434,B,A,6.834468263872287,A,0
F,21,36-50,-44.60941372825611,17.48594636629948,B,-236.9001665727125,24.198382539445895,13.443123766906293,B,-68.34515587623545,B,A,18.608030034933535,A,1
Non-binary,55,26-35,-40.505661306194625,73.52209313301059,C,5.41446659606433,-106.04750521472207,175.18495897538438,E,-47.088950264759774,A,A,-35.838879530725315,B,0
Other,49,26-35,-16.737651472136385,151.636520467125,C,-171.5077201142186,-0.4285912905349106,189.25849506891993,B,-106.40871238562949,E,B,122.59116192681718,A,1
M,67,36-50,-190.60334463226792,-0.011835169086913695,D,24.81360135115191,9.419902205168391,160.56348065444882,A,4.478679189771237,C,C,7.753659617211796,B,1
F,46,18-25,-12.629571144372573,-114.13235374437318,D,-0.9687563835518878,66.49344536902817,71.64923704177248,B,8.81813011143029,D,E,90.86402003673255,D,0
Other,32,36-50,-14.516010184109906,83.00945216835954,E,13.835498631420592,113.71550317688481,-6.295501235869628,B,-138.98596941928,C,B,-144.12894934096846,B,0
Female,32,36-50,10.797408416694195,-13.892267396377084,B,114.11865163853159,-17.60928080474493,-62.03970771406275,B,-51.17413825672061,D,B,39.14948885562515,B,1
Other,67,18-25,-233.69275676506308,-130.93162923793355,D,-168.32910702592048,-39.644947747738776,34.02562770946604,D,52.584197409318776,B,A,135.43740247199852,A,1
Female,24,18-25,185.47599919497185,124.20936993936694,A,-57.817133979417804,-197.12230451980676,-23.53072132226154,A,38.196094704107466,B,A,-170.05541706649632,B,1
M,44,65+,-71.68199244679246,-117.66163508148513,C,122.49281796037461,-25.914140565502937,191.23541393173647,D,-56.26914991519531,A,E,22.05601355353694,A,1
F,26,51-65,-59.490895635672494,-68.16411604977185,B,193.22588999168423,-40.38779086317756,19.081657482543037,A,0.1526623408375033,A,E,98.77292831574248,E,0
Other,30,36-50,185.96801256808794,-68.7417162790144,A,-1.3772860942845417,-77.1842160786203,-79.18260067229306,C,-11.665323398028182,B,A,-119.08059804205216,B,0
Other,43,65+,-60.15407881259749,-8.384637224201983,A,91.84789870562376,60.3232233340673,-12.571208730098588,D,74.43433303409755,B,E,199.62818845927794,B,1
F,30,51-65,-155.19492797519138,3.6279494011341082,D,-9.491333485543326,149.25994331425917,56.089246472878706,A,136.73003066002107,B,C,42.49363056005795,A,0
F,77,26-35,94.82410487322565,-32.74924586237094,B,-25.80870703123778,-42.019046227275965,-118.45727726134234,B,-91.25962364703125,E,A,-34.68907166716521,A,1
F,67,26-35,50.428557171066714,64.47134845965292,A,82.37888633836718,-184.200508587391,-29.644482672954382,B,144.3067433117666,D,D,43.07750518508448,E,0
Other,43,26-35,-135.34032293522952,-65.11058553151797,A,6.1115700950138745,24.19078010131494,61.45899859958062,B,13.839349971034643,C,D,-75.96773531944844,C,1
F,63,18-25,-62.07911224070776,12.167496916237441,D,-116.86891642857591,167.06952505857012,-36.60642023125924,B,-75.86957539407355,D,D,-13.892477141387014,A,0
Female,28,26-35,50.01026282339933,21.179797972060527,D,-154.1068106786093,25.518709996909937,-42.383974280435844,B,125.28645653011839,C,B,33.63354419171984,D,1
Other,73,36-50,111.1188754226173,27.454505431246055,D,3.750924888435149,-2.337441071103488,138.66845339555147,C,177.0444390559106,E,D,-136.78304809906768,B,1
Other,43,51-65,-53.78349473937797,-94.69646408921355,E,-124.51306130894817,-143.07129905172934,9.44785618545466,D,28.50651414045018,C,A,159.17536146490747,A,0
M,26,51-65,-209.91853461645732,-26.612754740418872,E,61.54078421819706,-17.653205152824917,-138.98372522548314,D,32.610223140829646,D,E,-17.140460691134535,C,0
Female,69,65+,-16.41873830223508,169.11275604426217,D,-46.29211765937763,-109.96929574778802,-66.01633581345612,B,5.530819157483336,C,E,71.30017865045019,D,1
Female,53,51-65,121.90122023290914,-31.655083439427443,B,-78.11552464966266,128.25588637567787,-24.228109196307543,B,115.32144828622573,D,A,114.95338641250059,B,0
Non-binary,79,26-35,-17.510923121277667,120.41332971255456,B,88.37953287707505,-245.19989264195937,-20.394377098469555,C,172.77248979420844,A,B,-161.74627806728708,A,1
Other,42,18-25,-129.17359006833195,164.8287249684421,C,-24.088703427962464,-0.9680982869322625,-50.667650674540596,C,-40.014307659727955,A,A,-103.62862482624757,E,1
Female,44,26-35,-3.14232389079648,118.48071709690925,E,-109.32756754671149,32.713014540113996,0.6968207539434718,C,-30.58029363500996,D,B,49.13669478236514,D,0
F,66,26-35,190.07719033440088,-142.3082016648724,C,24.752977522849434,-159.60647421963964,53.2402476860299,C,-76.80316436216556,E,B,-169.10059568386183,B,1
Female,52,36-50,-3.810799102670633,6.685681047815138,A,21.267091003740163,8.633271070496821,-2.924103053063392,C,-47.56924691647135,C,B,-83.16913852090747,C,0
Male,39,65+,21.67896832464205,-84.80219795362038,A,10.55997870193252,178.78117118343,33.2967755590109,D,-50.648141056055216,A,D,-105.45131467839153,B,0
Other,18,65+,-9.243992533528509,178.92351531515166,D,45.86817825097914,-56.57185206773313,160.22474515366196,D,38.70689080198615,D,C,84.39828203597153,A,1
Other,44,26-35,124.10713700744623,-101.37409044047003,B,98.55371559047356,-89.05027245254735,7.8990544693155,E,-16.657959781655197,C,E,50.501277493289166,C,1
F,59,36-50,108.02913373623844,48.51084722000519,E,9.50106948325222,-167.9109588986488,117.50745739880746,C,330.2706493813021,B,E,-117.35869875617031,E,0
M,22,51-65,-116.38367306112751,41.254946913210915,C,12.808852125213887,-201.43775221464767,-10.0918014757989,E,-92.33994978002809,E,B,78.1621712265775,E,1
Other,37,51-65,-154.5746389981589,-5.242135894809459,D,-84.06192919889592,-29.419081153827026,-77.13727404096934,C,-45.134262380080195,D,C,-54.66922016044203,C,1
M,50,65+,18.002182825812273,14.536939805759582,E,103.6173148208035,129.96730789611638,192.79115489614193,B,45.76779046901257,B,D,34.91108049578611,E,1
F,55,36-50,-198.92220863477073,1.2365029166026789,D,-21.80830545779199,82.83010635700995,-72.28107059400966,C,-147.7942693932333,C,A,1.1937438797371611,D,0
Other,33,26-35,-5.752304065310439,-24.3117180000603,B,81.33694763424543,3.8821827708589156,-49.73725559682945,A,-5.355224053753,B,C,59.24107958658132,E,0
Female,69,51-65,113.72958449333834,148.1989603288757,E,-149.53259842224512,-106.93974949197353,-7.47081822969898,C,0.09272203431577039,D,B,-49.725079187938405,D,0
M,30,51-65,79.58712862457345,-234.3403619857603,C,-5.4945562921830495,-51.840741755663736,4.072272257096266,C,-129.37446695175862,A,D,-27.230960627968166,C,1
Female,46,36-50,148.53643350170816,-56.229985724364674,A,-169.1774642239539,152.4025928648571,-77.13684554618196,E,-94.11921265844175,E,B,14.828385003044914,A,0
Other,62,65+,-52.36445024976256,-25.15782132697504,C,-138.76395924654673,-31.412004545992005,-191.5223969070576,D,-45.07456174320678,B,D,-63.0629966199894,D,1
Non-binary,47,18-25,-31.27725618936229,-5.737312919885831,D,23.62071113255732,-95.34353317116094,31.910906815825257,A,-74.26382451859646,A,A,-145.76015775614715,C,1
Male,53,36-50,-43.843640881819184,-22.145220175764788,D,-102.85058669322905,-52.63914534392139,-132.16327584711206,B,14.618095781121676,A,D,53.103106283088884,A,0
Male,48,65+,-67.7996062635274,115.1111053717082,E,223.79093567798077,-157.2514873400199,-93.93261957500957,D,15.840989797121786,A,B,-117.3126423959071,C,0
F,74,26-35,-44.31878605472678,47.68266688308641,C,-173.42356594787182,84.32610358273928,44.50055231137128,B,-41.49919364831708,B,A,53.66661841814471,D,0
Other,31,18-25,-9.205404797104968,-68.88351401467754,A,-17.70874309961945,-76.97379374582867,126.20028724183454,B,-228.9336968998536,C,E,51.02590694385799,A,1
Male,60,65+,-33.940225043680336,-105.86884971492296,A,78.18952872076927,60.0663050585751,49.95769572388958,A,-63.65635836801338,E,B,-70.99598544279006,C,0
Female,66,36-50,38.94464582026214,95.9342213562595,C,-34.37053324978117,100.53123793856223,24.545354705860614,D,-72.3568407110011,A,E,-91.44218707003357,D,0
F,70,36-50,25.876601075519424,69.32492544901976,E,187.25063033120878,-105.14773798335193,-2.2816416194112357,D,-145.39122198943608,B,B,-84.0938711630824,E,1
Other,63,36-50,-120.89083202755295,87.05092644470142,B,-125.6140849720943,-187.0250774913817,84.1088601851779,C,-21.5624002338969,D,E,52.00445317924098,B,1
F,28,26-35,121.16906094033257,-12.562901563436006,C,97.6639253454192,46.465442822426574,-2.066084179563786,E,-3.1854725989788495,D,D,-203.5400512441194,B,0
Male,79,36-50,-94.03297057008916,6.0507356146615985,B,-107.31732351505742,1.7494803029791746,78.6792219908568,C,-49.90652139192528,B,A,169.28593774993632,D,0
M,76,65+,208.50869634430097,27.315030171242128,D,-33.72549807299395,-59.079766501019314,-92.13503973184582,B,-27.76842516950448,A,D,-67.56607636418511,B,1
Male,54,18-25,177.33125686413214,52.392773679441795,A,-76.28703848417767,68.69311792624565,-30.20865413854585,C,183.08193776195384,C,C,-14.372199718759918,A,1
F,43,26-35,190.3775216950777,-41.57018969863658,E,100.3589311159511,-118.83452735179691,21.289764453692854,E,142.01998630027603,A,A,-44.91933977706732,D,1
M,42,26-35,173.42113737622165,9.729903749701482,D,-29.431186490092532,-58.86316503910252,19.52056638849565,C,27.25994298363834,D,E,-82.85119125328883,B,1
Male,46,65+,45.890809955140384,60.84629318528898,A,-50.2006542508824,111.54306792745862,162.2889352881447,A,-49.83049552559169,C,B,-116.88002190510711,B,0
Female,21,65+,26.430660340571936,-53.30271259446582,A,-42.62098938894241,-15.881399927922333,-51.45305571595835,C,-112.44843230224777,C,D,9.223206039692903,C,0
Other,73,26-35,-83.91738653598647,-242.06069096531678,E,-60.41581375079933,-10.61597719213129,-5.8221908503017,C,61.98522535638907,C,E,-7.20801912552045,E,1
M,48,51-65,-26.52984569445661,-82.93203519266439,D,-3.0838268606124783,-21.924260222868458,-84.35576772181437,E,130.2713416087474,A,A,-70.76362687991579,C,1
Male,54,18-25,137.11740296674958,97.69487609833428,A,-110.4522806507505,20.1110493865026,69.35444804189457,D,-25.567760074953178,A,E,25.016893566202768,E,0
Male,73,26-35,47.48641293862229,-47.24643861108204,C,-30.21433520460169,1.4106485322763511,51.91716305998416,D,-91.76615414885349,B,C,-67.56891229614708,A,0
M,63,65+,-80.9494944116592,40.38099035384697,A,111.7093100168389,40.37944877421381,-69.78841168724828,B,-136.18580105118784,D,A,43.294092555478954,C,0
Non-binary,66,26-35,80.37125505043872,12.104206567797501,C,-203.31963442275307,-63.80619316990621,-159.49296758179665,D,-43.291642814050036,C,C,26.100553043346004,B,1
Male,53,26-35,-119.6188486419666,84.78491515649341,A,-18.298513951538755,124.31618077588138,32.37317233457488,B,-2.0631281148651555,B,E,-67.82781127545067,C,1
Female,68,51-65,209.76135258584782,-8.184856344089402,E,149.44405564645308,-6.353612731669012,39.37899408151661,C,-36.084305568896404,C,D,212.28257951270794,C,0
Non-binary,67,18-25,62.76253341412992,-132.04717282164694,A,-81.7218857926293,-237.85645154554396,222.6008356041678,C,-18.306979995936064,C,E,-4.03763537984474,B,1
Female,54,36-50,65.2598928892356,62.18413223891559,B,-19.878854725309232,125.58581648182685,-107.14496478707699,C,185.12441440471653,A,A,34.18070418485629,B,1
Male,36,51-65,278.1292157708897,188.4778924481782,A,59.70040090916808,89.33303982688963,-117.09305743470966,B,81.97108894423026,E,B,-249.60294926143644,A,1
Male,79,65+,-28.5304044714956,-48.74511100198621,D,68.15449050570635,-46.15355263194385,-102.48713157951255,C,-108.48439084383384,A,D,-83.40606264116326,A,0
Male,38,26-35,50.61430504267217,-66.22248573572672,D,-178.48920614202706,-50.62562059674134,93.48165767276285,A,-126.42324722923392,B,D,-88.35344428552499,D,1
M,41,18-25,22.734263681660597,56.97572945508135,B,162.76104402047937,-148.46468134545853,8.813814292493019,D,-14.95670367164324,E,D,58.700578379934996,E,1
F,23,65+,-35.94566196841263,-260.46413029897917,B,34.986254243391315,-148.19448623493506,-12.565766730820124,D,-136.78692788724703,C,E,17.972648335076745,A,1
M,38,26-35,-74.64046739610137,-112.11744406060635,B,-11.124208585839778,-12.643897364187723,-11.951525895797745,B,61.36402785942862,E,B,5.141455209786024,E,1
F,77,65+,54.810935716464556,117.98157534170781,A,-63.41831159343755,45.42619093647421,23.18094365790709,A,36.925754849663036,D,D,116.92701492616342,A,0
Other,58,36-50,102.35587889318407,1.6906213504144896,B,-79.82335458706746,150.38705000637157,-97.09187364753394,E,70.8235178207216,D,C,287.24680256151447,D,0
M,44,26-35,37.04445957952448,-46.01913972931537,C,-17.60850540545298,-31.563263869339686,55.90537597946388,C,60.87225667919011,C,D,-120.21411051632352,B,0
