SEX,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Male,26-35,B,B,97.45998594692955,D,A,87.19180384591242,46.21772088594779,-71.03379713454989,C,58.814169598214235,-69.93327715149223,B,131.8122588374461,A,-49.97886958452032,B,1
Female,26-35,C,B,56.765113802816046,A,D,-124.3212695184839,18.814286387720728,69.3575839959311,C,12.783004766201413,-30.270095802745224,D,-61.46535939410839,C,-67.85187991601333,E,1
F,51-65,E,B,84.11494652608461,C,C,-80.70223227953942,186.36803439733202,84.00346814312734,D,-0.05474573308810473,5.345326514927313,E,-20.87753918404934,D,79.14991767897848,D,0
Female,18-25,A,C,19.93966660168918,A,C,-237.32570727197384,53.891784301099776,-177.97321398798323,C,194.84665094887362,9.143417221420371,C,9.768211643695796,C,89.54476688452996,A,1
M,65+,B,A,-18.64899796838611,D,B,-93.87825981855525,-149.89107003984978,-1.0235815759963012,B,-13.744872500322314,-230.02435389508756,B,-37.53072278654443,E,-3.050801262149993,E,1
Male,51-65,B,B,2.877117317084021,B,B,-83.43380296790365,-13.662968266320203,64.19081636691837,A,87.63400818632118,139.6714010101465,E,23.07956991353223,E,-124.12823885586137,B,0
F,26-35,E,E,73.05584485955437,C,C,-87.65934832178728,23.325498174992116,-63.02944125168873,E,-64.9283589168757,-1.0147618265377205,C,56.95971080140028,B,86.77882401915706,B,1
F,18-25,E,D,6.278153593584536,A,C,-60.50966265584502,-43.7254410540662,61.972192484312416,A,-53.06002928128344,-67.20698463985744,C,-9.221966957042032,C,-70.78244771136887,A,0
Male,26-35,B,E,-108.83710071923048,A,A,-28.39392161541403,13.713464843922699,-16.536402477789057,E,40.74575810516202,-14.900801609627415,D,44.95688080587452,C,111.96979851188588,D,1
M,65+,C,E,50.09033880652753,C,B,19.570097656229613,-49.325231582685554,184.7788166514881,D,114.54676345311157,-185.24454059665806,B,120.17989445870553,A,31.55907459995444,E,1
M,36-50,D,C,-84.55380266976272,A,C,-47.5810008243377,75.09262062763246,111.30510269349227,A,-175.87330203526403,19.028506854188667,C,-29.334360099467993,C,-65.06335255468395,C,1
Other,65+,A,A,-182.32582107533815,E,B,-81.14528557706758,118.85189991269995,58.6782792590078,E,-60.78855496324353,-79.62750005970611,C,31.895922690788325,B,69.43826974036949,B,1
Non-binary,36-50,A,A,-9.17116532324697,C,B,-185.0242482384613,-328.45489944751085,148.85110040310408,B,67.40660266355299,9.114409376791887,C,58.351520954312676,D,-89.67292992024606,D,0
Male,36-50,B,A,29.233389781853404,C,E,106.23144061899796,9.95533457091771,-2.3358129435151644,E,-25.578185367819863,-100.6742899016968,C,-24.135749505955403,B,33.02880301979238,E,0
Other,36-50,E,C,-149.75528415623018,E,D,-98.47324844443818,58.482180382635974,5.029576583304805,E,-169.81853121197423,90.85426067581153,C,-120.98680374916837,B,148.90596109679996,E,0
M,36-50,D,C,-76.72404456615354,E,C,52.34804943308882,-34.14702762382969,147.44770936371083,B,79.18863662952081,279.34274991012126,B,-172.22545145789218,A,3.2584100150083803,B,0
Male,36-50,E,A,-49.293246628428875,E,D,75.52869310877716,-52.177654891326206,-93.89791520010719,B,145.73925088667997,-28.779020569363517,E,-152.56334265215295,B,17.11778798281435,E,0
Female,51-65,D,C,42.79790376518457,A,E,-52.97733034257328,59.62863881006317,-22.113712787001667,C,-99.36309583156373,137.89424486018888,C,-20.86774397258121,D,38.8406458637909,C,0
F,18-25,D,B,49.9253815505601,D,E,33.63654543499792,-60.82424810099929,-66.53842871152348,A,76.90079491795063,100.65982561438038,D,152.23696608505114,C,21.678126908724956,B,1
M,51-65,D,C,-21.84493396408871,B,A,139.26618670682302,218.18585444927115,-145.0688982596907,E,73.40591107145113,-9.261921478000737,C,-113.30217374966571,E,-23.575452993653172,A,0
Other,18-25,A,C,-32.47628750145754,A,A,-140.54478934374913,-142.45138324113773,25.488722309871253,C,-12.063800232803091,137.94380312632632,B,112.06372265346478,E,143.64820023144554,D,1
Female,26-35,C,D,207.61471410365297,B,B,-70.94887883830016,106.02856582920583,-30.97777013504871,D,-183.94697026861164,-21.57814896928268,E,78.94290897726891,D,-51.029961976306325,E,1
Male,65+,B,D,-1.403777022487343,D,A,-63.54613200029403,82.18731691541525,-56.21764518665747,E,12.823038005705772,83.18824928817278,C,51.863039181146775,E,-93.88057426852829,D,0
F,65+,D,E,102.00973927243209,D,D,187.56481411025734,128.61720435482638,53.30134418519488,A,-138.04775374977675,-41.80449260447346,D,-7.303806607559911,B,73.63646186553478,E,1
F,18-25,E,C,-114.69644096018085,A,D,-46.75430968760858,-74.24504277957423,-89.46418361234427,A,42.12736575770914,150.71737716672055,B,46.10007770395118,D,-6.312566751232958,C,0
Male,36-50,D,D,73.90920527439808,A,B,37.226693526356854,-105.80687861350827,-102.53600436522281,A,171.6175122268225,76.88217792841243,D,-107.88528798118442,B,-74.15466005961481,A,0
Male,26-35,A,D,61.28547004657121,D,B,97.55654767141642,-24.466272061470857,-21.279947507187785,C,-106.90918384895893,24.43012397661915,C,-124.8744736863025,C,109.39184700443417,B,0
F,36-50,D,C,142.9837926010862,C,C,-55.50649897602968,-36.3080966249748,149.3797005894618,E,-75.64047170513386,78.46812573755305,E,98.33287850123938,A,-53.72108953854129,A,0
Female,36-50,C,D,81.40191707885333,B,B,-94.72514850629454,25.63811540969958,177.0341220589263,C,87.91359076613328,228.23205691277403,A,-15.831625179944043,E,114.30928027904731,D,1
M,36-50,B,C,91.2855552894312,C,A,-30.32321422994434,280.2279937816701,-228.17694560231038,E,127.55749446441938,81.26364409036849,A,99.78824006597297,B,8.16084278946343,A,0
Non-binary,18-25,B,B,-1.3601639259946556,B,C,-63.12164796809615,-69.66655718021747,-7.5049456886813815,B,-17.53153588820419,-145.6091095073709,A,12.88890830823414,D,105.09101146875236,E,1
Female,36-50,D,E,-54.55328743645498,E,D,-57.43274952400059,147.66678588166036,-54.826941782308545,C,-75.78564094609514,-117.26429908914406,D,-92.45322260187295,D,13.157311392564486,C,0
Other,26-35,B,E,-25.249321962880778,E,B,114.0922845139681,-63.57315411065817,-233.71560803317823,D,59.67863137301266,105.43307739380339,B,-150.82102343223994,B,-15.475014934488723,D,1
Male,18-25,B,C,-176.1647164759179,E,A,124.23693452820679,113.94134204484412,-14.878319629835692,D,-88.35441947826452,88.13017927877851,E,-111.79067163046818,D,-92.77425934535285,A,0
Other,65+,C,D,36.9831052825292,A,B,-10.725547690102294,-69.18239675184688,54.277724250160794,B,-50.022466478604834,79.46789225205147,A,83.15121047303889,A,180.00202386526612,D,0
F,18-25,A,C,5.489067305274675,E,C,19.968311905334367,0.8173074784505897,2.8957612404753927,E,-57.45149817981553,33.5639408379556,A,168.31079705714836,A,-39.20329404319597,C,0
Non-binary,26-35,E,E,-30.206997630731465,D,E,184.73971980643697,-6.652449853959993,6.609775914927258,B,-17.27400277307878,59.93982936864718,C,-50.59110661380256,E,103.87802431143143,D,1
Female,65+,C,A,-142.49053893437537,B,B,-31.612645446176767,-33.69003103091409,-18.27960018149071,D,2.50003077579563,10.736254065792416,D,48.59808022452103,A,46.331093330739506,D,1
Male,36-50,A,E,12.192616841001968,E,B,-3.4923570064481537,-72.60400307772835,111.78914582080894,B,43.12501142779614,-17.931145521694525,D,-302.4453450440925,A,152.89879372406494,A,1
F,51-65,D,A,-95.44863582696786,D,C,134.19958708871764,30.87598461742252,123.74395081723408,A,2.252065666868916,35.01479820186411,A,36.032668993927615,D,35.895220523678226,D,1
Other,65+,A,C,-9.442879072532921,E,C,-4.884499926282928,211.9995216459865,-37.93818247948216,B,22.680980163054475,93.40285686347048,A,-144.54785660370425,E,6.604875634992331,E,1
Female,51-65,C,B,74.87246729867607,D,D,-87.43043783488973,198.21126091829515,64.04398481410053,E,-7.698787569975857,-0.6031576246406067,E,-0.21787301792695132,A,-140.33043617102607,B,0
Male,65+,B,A,26.240429495074014,A,A,31.287409037461227,2.902963596424836,-80.10864902806924,D,-57.80820325381699,-38.6566631056073,C,-111.17108962095703,D,72.42245879955746,C,0
Non-binary,36-50,D,A,12.33862567922345,A,C,-167.30365472404398,72.34138559689178,129.72074639000274,B,-60.69929456098574,-207.1426629095664,E,13.778313632650931,D,-113.36165213561043,A,1
Non-binary,36-50,D,D,-93.81440414101907,B,C,129.6072129623317,-88.75928224455069,87.7729420164772,B,27.355498083231712,-15.000193887857044,E,-9.277403403090199,A,100.73579618756898,A,0
Other,26-35,B,A,175.7665378381674,E,C,-30.27250189443318,-60.999959845631416,30.982849136011982,B,-113.34669796863335,-43.89152815714644,A,52.2983294604198,B,-96.03302083991842,C,0
Female,65+,D,B,143.00981529925406,E,B,111.2133565786161,-6.239662710441767,-151.85648574114407,B,-15.953167420246475,-16.72780942533531,E,-119.16793388446519,A,28.147654068733154,E,1
Female,26-35,D,C,-106.12709641728453,B,B,46.00128752148958,-10.003571581271627,-42.25097638408158,C,-87.38746795062444,3.641714614177712,D,-161.11887279341533,D,-142.02247810818213,E,1
M,65+,C,D,29.957434675959423,A,A,70.35171882382029,-91.9086314854501,-104.97650326298175,C,-27.123131000675816,-153.8013905205563,E,153.2103191533277,E,24.623951138945664,D,0
M,51-65,A,A,-131.22491460381275,C,C,96.54051481246367,76.33273537769824,38.76950541984204,D,155.16221781931893,-71.98767548989863,D,189.0386008670047,B,120.16422151669373,C,1
Male,51-65,B,C,-32.82467306075913,C,A,-77.4323301010335,-97.27552105007999,61.64498316254034,A,11.63622634307761,-19.425646203824375,A,124.99604144386718,C,159.85031335808455,E,0
Non-binary,51-65,A,D,-142.33611831972843,C,C,-76.70268505807003,-3.233310810654773,-31.48457312439471,E,-39.27596160511311,57.475204310171165,C,16.536978911708093,B,92.21354131940137,E,1
Non-binary,51-65,A,E,65.37978954051371,A,B,-27.013392606774744,140.2855008006979,51.218466760134596,B,-77.41251614691073,54.037419432941405,E,-211.46406493725283,D,55.583450709825975,E,0
F,26-35,E,C,12.477276669622658,D,A,-67.55239892159686,-153.51226943182976,-24.60355677604209,E,-103.92804593199398,3.2003142934802247,A,-67.18888795535123,E,86.05674202835888,E,1
Male,18-25,D,A,-103.52255058436992,C,E,-11.189514708426868,-112.98621433462172,56.21596957616253,E,-20.616750724541216,8.145253020014529,C,113.16874549374268,E,-112.73886070662142,C,1
Other,18-25,C,A,1.3456601340734504,D,B,-13.978137362959986,68.7188359650371,-68.50795386722871,A,50.020966044130525,-151.3300541045577,A,21.683828270613834,A,1.1727530126332537,B,1
Non-binary,51-65,A,E,43.67562338771092,E,D,-100.02417468416367,164.530239459278,38.02202145352867,D,11.799015508319718,3.389185051754525,E,-77.54471495973081,B,46.42127624530549,E,0
Female,51-65,B,D,72.73032431502814,A,B,77.15345031941949,-56.65205354221862,-80.24582089224633,C,-36.55507864586288,151.7314411804028,D,-170.9294454888961,A,-55.85770128935496,D,0
M,51-65,D,E,-62.56283481160237,E,A,78.78757047919905,69.48094045517966,-230.91208513812558,D,55.079743387737146,-4.472263756209745,B,-36.8752830668709,C,37.57973968802247,C,0
M,36-50,C,B,45.00016162008015,C,D,-3.670607083058585,-73.76848118115132,-98.52578523848562,E,26.179715663667036,-42.415379237976474,A,-196.11763774053105,D,25.653038188482036,C,1
Other,18-25,D,B,16.250237484913672,B,E,11.370025531821135,171.77469265523473,-97.3798199808763,B,97.3168153086714,77.86018698245498,D,-27.824003324223572,C,-5.960525884969088,C,1
Non-binary,36-50,B,A,85.95845769889439,A,A,49.338193034916856,17.01109734185012,197.19231367653464,E,-203.09218130273464,126.07692283888518,A,-66.55015593570845,B,113.41549308430825,D,1
F,65+,C,C,99.22148484086057,A,D,-56.60945698398352,83.71108772596033,76.4472527412059,D,-87.75400687692218,-129.36587785040032,B,-5.799047728151841,D,76.3148125952035,D,0
Other,36-50,D,C,189.58696531852087,C,B,21.928284766040132,-50.93521845305267,-48.80386314941718,C,106.67351580563043,2.580720096974232,C,-41.50892307423705,E,56.623845907149516,D,0
Male,26-35,D,D,-111.31780638662165,D,C,-74.02822727495104,137.11467977508403,-25.58182869823656,A,-170.17525042153858,-142.34451964438358,B,53.26951790033723,B,-163.36728599528635,B,0
M,51-65,D,E,-71.97781883871346,C,B,-144.68778438963113,144.40262258221128,-39.35546256707178,C,6.7302056650396125,112.11560463701066,A,-3.3986700376524994,B,1.8748316374312881,A,1
Male,36-50,B,B,-83.68153352641181,B,B,95.250274681623,111.64159215232701,-78.65009218438112,E,-36.160645604019685,219.7819487210431,E,-78.27924468917367,A,125.09534888983964,C,1
Male,51-65,A,E,-106.18150712608498,D,C,-14.831449452517074,24.91827042785871,-191.19182659702366,D,-45.332345887362955,82.9746274381107,B,117.94452465707724,A,113.5122282012718,E,1
Female,36-50,C,D,15.176437947087033,A,B,15.072224066263946,0.4453471720361837,-41.762280558960626,B,-52.34795620452525,56.32770714467075,A,-97.92324449305687,C,75.35842165404377,B,0
F,18-25,E,B,-127.50324214935678,B,E,-49.00938932511864,61.18376143406289,12.507929680522919,A,192.36644455451028,213.73462276087727,B,-4.878819662068826,D,73.57435270353082,C,0
Non-binary,18-25,E,C,-175.33049077407,A,B,71.68726575339286,-188.90262080274323,-37.32593622596803,D,137.04466085298853,85.00802648509406,A,-51.99165997387073,E,-101.8440845351716,E,0
Male,65+,A,A,55.69899620329647,C,E,156.30581339962086,-32.19082634729264,-53.96329775567883,E,155.7084722433938,-27.26975150541291,E,70.92759233996661,C,225.0923979088149,A,1
Female,26-35,D,C,58.62959516019374,E,B,20.300540321110777,-4.067462041005209,-96.94929117445417,B,-36.13751350092172,-115.75162065039703,B,-186.5267980679882,C,-45.67790221997559,A,1
F,36-50,B,B,-4.7825514230235,B,E,11.366287106188851,-11.882956889915002,-125.81337611006845,A,4.282238878862689,-56.611421899136616,A,63.14402124952693,A,-46.770408314422674,A,0
Non-binary,65+,D,A,-60.77944606881468,D,D,-43.219297876620026,-216.65975607535458,88.991021611502,A,196.46874785236685,5.767595751296265,B,58.478204072847426,B,-10.600700042890079,C,0
Non-binary,18-25,C,A,-111.35684186373393,B,B,-31.14861827682664,-35.50129156885153,-12.57756999216115,A,230.74873554230942,-54.04487958826702,D,97.39992654304288,C,212.3615868726102,C,0
Other,26-35,C,A,-60.41504878279454,E,C,212.37368700772495,-193.8591376836398,-47.399024020633604,C,97.31688999179259,79.80826399733262,A,17.548253330611356,D,-25.823092005171137,B,1
M,18-25,D,D,18.974552188660997,E,E,121.28183729572437,12.61239997204178,77.17852258433699,A,-53.90635714102871,-1.3434117083069472,D,1.43806881289177,B,-98.33583832623749,C,1
Non-binary,18-25,C,C,-123.05269046099532,B,D,-53.15785081102157,-57.425515557422116,68.3592172515112,C,162.55959443889319,-43.45225398882104,D,-145.35331986459087,A,-151.24250330972987,B,0
Male,51-65,A,C,-55.21370438875316,C,D,-68.44088195139014,13.712761389113325,95.24074467371719,D,-10.907761390139587,275.7484050781742,A,-162.50380023468432,E,102.0160740728956,A,1
Male,26-35,E,A,-22.141369138263865,C,E,-51.905249188290206,31.04691039087635,203.71062196202553,E,-235.24021277682942,72.05522366496754,C,-74.03340607553993,C,-31.986002216794013,C,0
Female,65+,D,A,53.437542767417426,E,A,57.185309515943096,-153.83048353793882,79.54808905663302,D,-55.260515985514594,78.91959777842831,A,18.72591666035485,C,-11.29028222826176,A,0
Other,36-50,B,D,-24.97171788959537,B,E,-142.64220418600254,-37.227102481875505,-17.003535052529923,A,-55.91758106829047,-82.04934118923487,E,-116.36459644644523,E,-27.069078290077762,A,1
M,18-25,B,C,94.7577210544278,B,A,52.668926097041066,64.18153944230058,-96.30583221575412,A,-70.87090764715882,-95.22034372475817,A,191.37543954085191,D,158.95213840147858,D,1
