Gender,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Male,79,E,-174.67281909150282,E,C,140.20484950475586,E,C,32.219984617958566,E,E,-139.520750670929,1
Non-binary,66,C,101.51345614480422,C,E,-114.12833443809379,C,C,17.975976775295514,E,A,-15.024757091335733,1
Female,99,D,97.95505696607708,B,E,170.08993459198533,A,E,-90.26467727728854,A,D,30.28092836742858,0
Male,22,E,-87.80739818730852,C,D,-14.034243220723361,A,B,18.13086784715172,D,C,-30.46220926493563,0
F,95,A,133.85884061225798,B,D,-33.95571941463801,B,B,-83.20290746202387,B,B,139.8126393937422,1
Male,28,C,-22.192189263873164,C,E,68.93171597461605,D,D,183.42078166871147,C,C,65.4839712408258,1
Female,90,C,-194.49477751800507,A,C,-37.93382696890749,B,D,42.96735743070707,D,D,-148.85863219650523,1
Other,47,C,41.62294361290378,A,D,42.44430210028142,C,C,72.84273325143617,B,C,56.352139979989545,1
Male,42,D,-21.09687026683339,E,C,41.398673252341226,E,A,-72.31631077021775,E,C,35.800634200506146,1
Non-binary,67,B,30.677218309804953,C,E,-47.863342868045926,A,D,25.658221705772238,B,B,2.018196238895399,1
Non-binary,55,A,-137.33343017031765,A,C,-102.44725112874298,E,B,206.83770938513297,C,A,143.64057136788142,1
Non-binary,35,D,-42.37701228599995,B,E,81.09428129948387,B,A,48.41754755328683,A,E,95.48440806466873,1
F,99,A,237.07437536432846,D,B,40.44074619188604,E,C,-22.5624679475064,A,A,-41.35635811965446,0
Male,44,D,118.8893647329513,D,C,124.21356753603735,D,E,70.52781437056693,D,B,-68.50862342628004,0
Other,24,A,96.49823310400014,A,A,87.2782978316361,E,C,-166.34343415637144,E,B,19.673759257319183,0
Female,58,A,105.52646699865281,B,D,85.05487626131027,B,B,42.33103420105716,A,B,23.057174048387477,1
F,68,A,123.10690088710969,E,D,-15.048802778582516,D,D,49.932538420613234,A,E,-58.113684805479096,1
Female,61,A,100.08268259553927,D,B,-19.81445285048171,A,E,3.3379309829075012,B,B,98.52835012098147,1
Male,37,C,18.308400846086364,E,C,53.733260263018835,A,D,15.96396624710827,C,A,-58.24419871232155,0
Non-binary,27,B,-55.867677872677234,A,C,-48.42609388183766,D,A,-129.11011062103205,D,E,204.4321992891538,1
F,79,D,32.448664156618044,A,D,27.223522548413825,B,B,-58.97061962036574,A,E,-147.2942161829044,1
Female,87,B,30.298803832049604,D,D,-98.86556265200257,A,E,-44.83236389093489,E,E,60.50055073856947,1
M,76,C,6.7515346191531185,A,D,113.59374306204613,D,C,-78.5405798021782,A,B,38.79224805520723,1
Male,36,A,-51.01495384692842,E,B,-78.23140837243493,C,D,-138.99427384897368,D,C,-173.232666423936,0
Non-binary,22,B,-113.52567272268779,E,E,-6.24753596831493,B,B,134.69539859327884,E,B,-117.96170419485226,1
Non-binary,37,C,-63.770661398556804,B,A,82.687579849157,C,C,-74.49124089041706,A,E,-59.11810731417185,0
F,32,D,7.74011427916493,B,D,-24.997587500018827,B,D,-204.87546817611042,E,D,-28.4569679820579,1
Other,53,E,-24.693408620398767,E,D,-95.08962771519961,A,E,-89.60800966999463,C,A,65.95039765311411,0
F,68,D,-95.05381386602963,E,B,53.43566340877794,C,D,-137.9524739950248,C,E,-102.20508333163893,1
M,93,A,70.25800492169296,B,D,114.11589650112634,E,C,82.30633324423917,D,B,51.93641011844272,1
M,63,E,1.9854865656599743,C,B,46.724065089446384,C,C,16.767326686826994,A,E,36.31466325967347,0
M,31,E,-311.6893647111039,B,A,17.44639571943495,E,E,83.89606139193037,A,E,53.98978038492383,0
Female,33,B,93.3382305010735,B,B,-192.84597829337864,D,A,-34.59806010173152,D,E,2.4419455313389444,1
Female,78,E,155.26351625304716,B,A,59.715735345898416,E,D,-67.21463578346335,A,E,70.57139196548187,0
M,55,A,-177.33686251826134,A,C,45.28366678860279,C,E,91.79764916141056,E,E,-52.02912324343589,0
F,81,E,16.54149768755188,A,B,-77.96234063055658,D,B,175.7450719221384,E,D,-84.71332367902228,1
Non-binary,93,E,132.97825451387803,A,B,46.353016357848134,D,C,-79.28911423777994,D,A,70.05671832408748,1
Female,64,C,-34.0150731725582,D,A,-17.292039322164825,A,D,-5.1147228945243315,B,D,-113.23690816496446,1
Other,43,A,-119.89244690035736,B,D,-10.615525438918366,C,C,163.22550960970835,B,A,109.83611276150505,0
F,71,C,-99.92185616364051,C,B,-173.64396562144498,C,A,111.44867611778224,C,A,-61.72379235597606,1
Other,91,C,-77.44852064452496,C,B,-195.30455336918465,D,E,199.81011674120305,B,E,45.72953823019631,0
Male,79,D,84.07488202178307,B,B,228.7026435346515,D,D,53.230885560140905,C,B,8.238166156331221,0
Male,95,D,-13.173405615029655,D,C,-60.97382333939972,B,B,10.196538482888148,A,C,114.15107559282953,0
F,92,D,33.010129438609354,E,C,-155.88966213779892,E,B,-233.15834290146307,A,D,-28.833221367458332,0
Other,82,D,25.2873667275826,C,B,-89.06342030230971,E,A,6.440452616043646,B,C,38.77250042655436,1
Non-binary,50,B,26.120155618297673,B,A,-82.8061239765241,C,D,11.223764249905411,B,B,64.71500130046608,1
Female,31,A,-159.045846158691,D,E,8.895989279812307,A,C,100.44868541204204,C,B,-2.7506019786052693,1
Female,55,D,-96.03719370868698,E,B,68.4208151744373,D,A,117.87964736907493,E,D,-118.70716210711716,0
F,82,D,261.41150043709797,E,E,-68.74506461441801,E,B,-21.88547270930899,D,B,-129.21018896534454,0
Non-binary,91,B,81.29436770414858,D,B,28.030289579112488,C,A,-49.052125191884,B,E,-156.88048834594576,1
Female,76,E,107.27118329889191,E,E,52.65776930492684,D,C,6.178462792636329,B,C,177.58625936345243,0
Other,42,D,192.83316797820612,E,C,-22.536176407728433,B,B,-101.32614576833741,B,A,-24.268489040576043,1
M,95,E,-39.048760996141006,A,C,-43.629541844361356,B,A,110.98381349310009,E,B,-9.13407610679153,1
Non-binary,36,C,-40.09356473270684,E,E,-34.689089474486046,D,D,-117.90181644176958,E,B,-86.28280536046596,1
F,79,C,-41.487829622948574,A,B,89.03654034039992,B,A,-11.030001766835326,E,D,64.45466798815282,1
Male,68,E,21.616325223683347,E,D,20.794162964263677,B,D,13.999220722727715,A,D,-56.426276824211186,0
Other,46,B,58.06342154384658,B,D,-106.09079619204932,D,A,-35.612989749425964,C,D,83.57553723610735,0
Female,28,A,12.052926307873333,A,B,98.36663458499017,E,B,11.82020195948437,A,D,-27.8324405635115,0
Other,66,E,-25.624748298164217,D,E,-7.3421732416759395,B,E,-95.13168977546643,B,C,-33.27978540081119,1
Other,66,E,138.26066029859558,B,A,-12.176759556175544,B,E,-24.35658439623253,D,B,-86.87169609118843,0
M,71,C,67.08119325523424,D,C,-180.02235438901508,E,E,-23.424853514410383,D,E,-90.34713821206304,0
Non-binary,41,D,32.93639311164958,D,E,158.01625439023195,A,D,-119.16266429485802,B,E,57.83213198440789,0
F,97,A,111.12253337113029,C,A,-97.00521062779201,D,B,-11.25203290831019,E,E,46.70545966530468,1
Non-binary,80,D,-48.931331284325964,A,E,142.75094398841037,E,C,3.708086741981198,E,D,61.634730655301226,1
Non-binary,62,B,188.80649640172064,C,A,176.6955523776968,E,D,-71.10594685794348,A,A,-69.3374036314509,0
Non-binary,23,D,131.405146337407,D,C,165.00947150795395,D,B,78.98943665052035,D,E,-56.31458999660735,1
M,43,D,-55.167867892381686,C,C,85.12991619348082,D,A,-52.179515163567416,E,A,-126.93608478177578,1
Other,70,E,98.07781510188987,A,E,100.92928084708997,A,A,156.79453921682884,B,B,135.03096239122758,0
Other,24,B,-12.323525011946893,E,D,-88.08567871879364,A,E,164.1309873394894,D,B,-82.10175779624724,1
Other,40,E,104.22090406109925,B,E,-129.04450542528247,B,A,70.02896321296822,C,E,108.72718415114923,0
Female,77,A,-19.833995462286968,A,C,52.030654901599604,C,C,-43.59390786273103,C,D,-31.042329318963823,1
Male,46,E,-174.61604705431367,A,B,-119.38841721474608,B,B,-56.56844259169617,B,B,-119.77278258253456,1
Female,39,C,8.150108099603944,E,E,-39.149145148214004,B,D,93.93013609005027,A,B,-57.715905023600826,0
F,43,E,174.11673310358503,D,A,71.90758925791387,B,A,-243.74692433965436,B,E,-133.18974189232333,1
F,38,A,130.55750150907443,A,A,140.81052753051807,C,A,-107.79326418319405,A,B,-4.430694605622988,0
Non-binary,89,B,-22.329200357943925,E,C,-81.0270095731205,B,D,46.603558395587314,C,B,86.05847727065274,1
F,47,A,-186.33620170418192,D,D,0.7664821917404081,C,E,34.72351866412516,A,A,45.00784198438444,0
M,56,E,-96.46561658872717,D,C,-74.50272200991328,B,D,123.63188090119877,D,C,26.404931703000965,0
F,63,A,-82.81187392385564,C,E,-208.29767279010647,B,B,-135.66368129928006,A,A,68.85248744288674,1
Female,87,C,-204.54394350422137,C,B,-98.38874788249203,D,D,-88.19899478092705,A,B,-112.0774794853212,0
Male,76,D,51.36935557446426,A,D,-117.38432546521199,C,E,-117.26102020581904,A,C,-36.362482108435884,1
Female,71,D,118.87430446630923,A,A,108.10906055242397,C,B,-150.87796628196446,D,D,-220.9648452981447,0
F,70,A,23.390034205607613,A,D,147.2580356994972,B,C,-174.66129769100226,A,B,-45.89600768612328,0
M,48,A,-84.60668661101806,E,C,70.89565272450511,D,D,-9.150375012038287,C,B,-174.80280557946014,0
Non-binary,42,A,-52.250953151789595,C,A,-74.3398557158292,A,D,143.3898214706108,E,E,-128.57593735294063,1
Non-binary,52,A,-82.75963536464458,B,E,-19.969706672217026,C,D,-12.082586280331247,D,A,-90.79867847900935,0
Other,48,E,-64.32877386013064,C,C,-39.54211292889929,E,B,124.98201402442521,A,B,-0.24789028427208074,1
Male,59,A,25.050785185462754,C,E,10.436902147836172,D,C,-14.789148595618903,A,A,-41.03517005290773,1
Male,55,E,17.692139862167274,A,D,-85.81897197912025,E,D,-85.37823808645012,A,C,-17.10810168822515,0
Other,77,C,-35.580740896173616,D,D,167.56021079697373,E,C,49.39366729601329,B,E,253.92595258011195,0
Female,55,D,50.02189494816085,B,D,-141.85256795212342,A,A,-7.3480677643716925,B,E,-35.125462480194486,0
Male,66,A,99.72706582176573,D,C,-117.82108289806932,D,A,25.38100258784543,E,B,-38.888402402438636,0
Male,88,B,-37.90417440092722,D,E,26.32158807447249,C,B,0.6018129748853932,C,C,-82.7910587452096,1
Female,76,C,156.865323621985,D,D,81.25805361444012,B,D,29.675844973924093,D,A,6.283050727290735,0
Other,73,A,-141.6842192529107,A,B,-12.883870355082456,C,C,27.73309807148357,D,E,87.99151170489782,1
Other,58,D,56.358300552391746,E,B,13.857402643245889,B,A,88.46068465185581,C,D,-81.8828296102798,1
Other,20,B,-59.98289250621457,C,D,32.627072981753244,B,B,65.52243108853209,D,B,232.8628223661413,1
Male,68,C,-183.19144094657028,D,D,86.68002392080211,E,A,174.95315806668563,D,E,55.45153728246483,0
M,52,B,-83.66832992553157,C,A,76.65701503383556,D,D,-192.54909700962068,D,B,92.7662955578953,0
Female,49,A,60.981594897777484,C,B,55.96604607287282,A,E,66.97376338934771,E,B,-99.09508100409167,1
Non-binary,72,C,-103.18906197798168,A,C,-41.49662728226197,A,D,109.62626192086738,E,A,67.71988005026934,0
F,23,B,130.17240193893844,D,D,63.70903103753559,C,E,-110.55796673318181,E,A,19.036129178314646,1
Other,47,B,-47.09933061649419,B,E,-161.56140378317374,E,D,-16.690371679337726,C,C,24.976553478293116,1
Non-binary,93,D,18.50718445703,C,E,-49.188589223440445,A,D,-49.16340074734873,B,C,-138.8843059771386,1
Female,92,E,64.71436195857345,E,B,49.88055148928768,E,D,-131.84816645684523,A,E,83.82651498982534,0
Male,66,A,-41.47928004697138,A,D,28.86315645645262,E,B,29.14100299355174,A,A,87.8597969229388,0
Non-binary,48,E,56.01590605209172,B,D,42.388169804598704,C,C,-50.312616718588345,C,B,34.294964590338886,0
Male,79,D,-97.28369808824955,C,C,205.2801320587046,D,B,-3.962933093446366,D,C,-35.192493204899236,0
F,79,E,-0.6391042384678185,C,E,-184.7316817750046,B,D,-104.76086988915736,C,C,116.44280001412861,1
Male,77,B,145.21031211555083,D,A,-38.605130048656136,B,A,55.236870687781746,D,C,-7.669462960202575,1
Female,36,D,136.10087280952237,D,D,32.67140888955999,B,E,93.69830808655742,C,B,25.68183229012318,0
Female,54,D,101.30894478808037,C,C,133.44065635002553,A,B,-138.00987592042574,A,B,43.11725019747489,0
F,92,E,85.02899278060502,B,C,47.96371837632302,C,A,50.211586137053246,C,D,78.10368688586372,1
Non-binary,65,C,219.170765341774,D,B,36.26375991375663,C,D,6.356802374130685,B,A,16.797131590011983,0
Male,31,B,101.65443021649203,D,C,-136.43993030402416,C,A,-174.98420162232037,D,D,-52.20536436280173,1
M,82,D,-148.8317144654406,C,D,79.4947179698222,B,E,69.67725963574648,B,C,62.0870489086077,1
Female,40,D,-184.20043567763724,D,C,78.55147743547379,D,B,21.623406973707247,D,C,-94.14147877442542,0
Male,77,A,-11.173538197426613,E,D,-88.19380370150327,C,E,113.68291500499681,C,A,77.52318886974217,1
Female,22,E,52.78445178769312,D,D,64.58683002152003,B,C,116.01923810673512,C,E,227.68508238712477,0
F,75,E,37.52204017845622,A,E,-228.09996733284504,C,B,115.73992023090851,A,E,262.5440666277361,0
Other,58,E,74.69914043486185,E,D,-39.16272268683749,D,E,51.14599071908906,A,C,-61.445685823615946,1
M,85,C,124.55082549101455,E,B,-91.38211208017466,C,E,-14.697667427609835,A,A,-139.22696083669436,1
M,97,C,63.015676336281665,E,A,-76.17479711219521,E,D,18.7874447361221,A,D,202.38905880685385,1
F,40,B,-186.2027907796122,D,A,22.400669765482068,E,C,-73.12753681418307,B,E,3.82802487308029,1
Other,38,A,65.13531794312578,B,B,19.737571679790822,B,C,-4.859251848549846,B,B,-26.21502556364475,0
F,27,C,-104.85428361150039,B,C,236.90237760827054,E,A,-76.66754525271435,B,C,144.36036300043727,1
M,49,D,121.97173827740751,E,B,17.667297478486965,B,C,-36.78289830876459,C,E,54.144380692029756,1
Non-binary,58,B,-99.1030714576706,E,B,-66.49384123271192,B,E,20.69156205785892,E,E,-36.2033676453557,0
Non-binary,85,C,-92.8499751693739,A,E,163.34902623906765,D,B,77.75816485927007,A,E,-79.85046506748708,1
Male,27,D,2.705547180177774,A,B,59.11626403958942,C,C,-70.80943030539784,B,C,75.83130395782328,0
Male,78,B,103.11914291892954,B,E,-145.2782008183059,E,B,-11.511489727216025,E,E,-206.0529685644222,1
Female,68,D,14.682688219505206,A,A,41.569186165837515,C,A,22.91773643453444,B,D,-17.39863301906348,0
M,80,D,63.6739572089176,D,A,75.14524687053672,A,A,-24.93771773111065,B,C,-332.24514082220463,1
M,54,C,128.32812311409762,B,A,113.55969207686726,B,E,107.4142197474253,C,C,36.22422436072646,1
Other,22,E,-146.68915937439252,A,E,107.89611155261909,B,B,40.94306777882428,D,D,-143.99840461462296,0
Male,40,A,175.23335979613685,D,E,45.99974815374201,B,C,-128.2019087370273,E,E,206.26487757979518,1
Male,62,E,4.513148933554123,A,C,84.42904336261337,E,A,53.273233985144245,A,A,39.01454007837516,1
Non-binary,47,A,-4.011499106421903,D,B,-105.77952732110248,E,A,-50.52747002306764,B,C,-144.5546920993986,1
Male,40,A,-17.962297072858856,A,E,92.66504176113848,C,B,-6.14266587792249,A,D,-45.24226428192225,1
Female,61,A,-212.78315582083246,C,E,29.408952231198725,A,C,-26.309903652955164,C,C,31.087881836503172,1
Male,37,E,120.84886262651544,B,B,132.1246065616932,C,E,-26.53071990139081,E,E,46.243964124638524,0
M,49,B,-35.061514816444884,C,C,17.918951094568282,C,D,73.25843502997041,B,E,-30.724548415363067,0
M,97,A,132.90886836796386,A,E,-92.88326190729695,E,C,-78.94869244162703,A,D,117.89200745275443,0
Other,94,E,97.99192394153783,E,E,-6.869125188808231,B,E,-63.59423418145626,C,B,-193.05291926207676,1
Female,34,B,86.8800142173482,A,A,113.93871321884438,A,D,192.56262432979,A,E,84.75144510929107,1
F,98,B,52.21902367493803,E,C,93.1651964232507,A,B,-26.115142721129597,B,B,-40.08203560779319,0
M,59,C,115.91659573536204,A,D,-81.81772634250251,D,B,-41.01039281268722,C,D,-124.34633364785424,0
Non-binary,34,C,41.73428163096036,C,D,-82.35982019325802,D,C,-30.544538138668997,D,C,66.9684216705687,1
M,64,D,-167.32473332131502,D,B,-122.09966715409237,A,A,-152.57614380916232,A,E,-29.30633465288497,0
Non-binary,50,D,-69.51718031977427,B,C,-132.70410908903924,D,B,9.140997588996923,D,D,-15.624792415351447,1
F,87,C,-156.77009677794118,B,E,-99.60054222108312,B,A,-189.96957137136798,C,C,180.58283932727426,1
F,52,D,-24.08457791346896,D,D,-9.573870480191957,A,C,-126.34694672588465,A,B,35.83519369215371,0
Other,64,C,21.8136471358269,A,B,-111.11131779319072,A,B,-89.06144333939608,A,B,110.42685232654692,1
Male,90,C,-90.73684831849516,C,A,-35.890756341352315,A,B,-36.37998220895318,E,E,132.0982584535429,0
Female,53,E,-124.71824888718619,E,A,43.80315768080504,A,C,66.7368525449484,C,A,60.97155015787285,0
Female,60,B,-183.51533368333506,B,C,8.75033865839651,E,C,-48.67324976047308,B,A,-32.478582001034475,1
F,61,B,54.68563825916966,A,B,-111.84169033825859,D,B,132.9601856221291,B,C,3.3675409058158627,1
M,27,D,-140.7047003772943,D,C,-152.29410061346962,D,E,56.699652002019086,A,A,142.79565585685592,0
F,51,B,-30.54289721629269,E,E,2.1174361721036314,B,E,-1.1285536619958951,B,C,66.56218873200393,0
Male,90,E,-174.4115985710904,D,C,-32.51027314599479,D,B,-14.707003194804003,D,A,-75.97139575770842,0
Female,46,A,-33.65015052229624,D,C,-219.09653314644552,A,D,-105.64296510829836,D,A,-109.96435246724224,0
Other,53,B,3.8061596681223095,A,E,-82.41063244928841,E,C,105.72788563966687,A,A,-38.456739821586346,1
Female,67,E,-6.273228571071334,D,C,78.69606796563932,A,E,-8.369130748043565,D,A,56.232809801253595,1
Male,52,D,79.54240869291253,D,E,-102.90362529843526,A,E,29.618680155041034,C,E,-40.697229695365564,0
Female,31,D,21.450392485619396,A,E,74.71152210486238,A,B,-64.0958157301607,E,C,-181.38855924686843,0
Male,94,D,42.82027655010936,C,C,-30.859525850539903,D,A,-15.535601353640594,B,A,-2.3400418965816674,0
Non-binary,54,A,-47.15226251472404,B,E,-27.312714031392055,A,D,119.65989387532976,C,C,109.87591226105692,1
Male,64,E,-175.34135799938844,E,E,-118.10098692704148,A,B,170.25962143606327,E,A,109.4497706629156,1
Male,68,A,55.31650628933945,C,B,49.99350524200642,D,A,148.90980271541346,B,B,-2.2639485775563704,0
F,19,B,191.95830530869736,B,D,-69.32110703078213,E,A,19.35069994377511,C,C,-21.526967860600575,0
Male,66,E,112.33686688396662,C,E,38.17936322234526,D,E,0.11443486946221239,E,D,136.0547784113912,1
Male,53,A,-195.97111526542133,A,D,-78.13176769654105,E,C,-108.70274264453768,D,D,-106.85725299046341,0
Other,50,B,29.684499256310133,E,D,-65.93676899824248,A,B,26.919212296699268,C,E,60.04336475094075,0
Other,80,C,-142.6911289644135,A,D,77.89455709767736,B,E,64.93152092621553,E,E,68.08123160497274,1
M,46,D,-48.04984170439723,D,C,1.1043615126486561,C,A,-124.53243766495883,A,A,57.47440381742474,0
Male,62,B,22.687504524096468,C,A,65.12408318432755,A,A,-2.146777940880021,C,D,-28.535812874792644,1
F,26,E,147.23512228564624,C,E,-48.71444958717557,E,B,64.57839055483828,B,B,64.99396650833856,1
M,67,B,-47.991099812197064,C,D,66.13268537429879,C,D,-123.69208425275373,D,B,44.374348759822695,0
Non-binary,66,C,22.70726290345167,A,E,-19.422255922011317,B,E,-19.771506641373215,A,A,-163.59413441779478,1
F,54,E,-26.523659980902732,C,C,-26.86814473916722,D,B,-39.967683269222846,D,D,-38.797248184397844,0
Non-binary,70,E,198.35010745556175,C,E,21.74733286350819,B,C,-215.8692251724815,A,A,29.988326288735756,0
M,73,B,-83.99862354421732,C,D,-78.59164314757162,C,C,-18.567570772161375,C,A,-29.492653558038096,1
F,68,A,-43.60529933589402,E,C,-223.27837187429273,C,A,-13.546224023530854,E,E,-32.44841475948017,0
Female,24,D,71.37346606036358,A,A,63.99350694625229,A,D,157.88368758869325,A,E,-25.793748250089045,1
Male,24,E,6.803154010493954,E,C,39.352756646810164,A,B,170.59395416410456,B,C,212.8557286777167,1
Other,66,C,-77.14517667124746,E,E,-69.92360274600712,B,B,35.85069089515962,C,A,81.85222809829348,1
Male,89,C,-23.894345746340203,E,C,-132.6939826574157,E,B,-42.42504526115864,D,C,56.98525823904256,1
M,18,D,-172.44132654555693,C,C,-63.43388768082545,E,A,-136.1497685639542,B,D,56.599217480107946,1
Non-binary,59,D,-114.83895630240681,A,E,-21.46635572767095,B,A,-159.4978336339545,E,A,87.98800686564478,1
Female,77,D,13.190587569696948,A,C,59.21976549410392,D,D,-227.36839621420208,A,A,-8.085059075768578,1
Female,78,D,14.73375459676376,E,D,-224.68125501324772,E,E,49.79750207167122,A,D,109.42845160749606,1
Non-binary,94,B,-55.720451483829066,B,E,-92.86395801509533,E,C,-15.701024210322531,C,C,84.46548577216105,0
M,94,C,49.16329239762357,B,C,176.06877210329557,A,C,350.26373454435407,D,B,12.946587871121814,0
Female,76,E,-25.440072401473675,A,A,-66.85912172181364,C,B,47.318802826272425,E,C,105.24970954876616,1
F,65,B,138.93482498257336,E,D,15.092983742915402,B,D,123.81469222730802,B,B,-119.5158631316307,0
Non-binary,77,C,-34.82687669091482,D,C,61.84886956961013,D,B,72.36536231131967,D,E,-22.91516913349605,0
Female,94,A,172.2133370277266,D,A,-49.32658260232479,E,C,49.486800782180495,C,B,-222.3605961033926,0
M,90,E,-32.13994495154514,E,D,-75.32266702717855,C,E,-33.42931271719982,D,A,52.78912271683346,1
M,70,C,72.52430537446988,C,B,64.61142636664034,C,A,-177.9649783178937,E,C,-18.859338163271122,0
Other,26,D,20.856797078332313,D,B,-23.27503629677557,D,D,134.9516052035111,A,C,-104.72743934801932,0
M,77,D,124.0313108689771,C,B,220.84343838962934,C,D,89.2605036741584,E,B,65.796433709368,0
M,61,E,-250.6608349081395,A,D,76.1474719072242,A,A,59.15227004784659,D,A,25.231375573426227,1
Non-binary,40,B,-42.15529818298305,A,E,226.5010671426393,C,B,56.98576091236931,D,D,-80.92074627805981,1
Male,67,C,-65.00332994227253,A,D,104.61848476363865,D,D,43.86852113824604,A,D,-34.88719000488614,1
Male,65,D,-7.521282058440808,E,B,36.940785423956804,E,A,-80.08622506336303,D,E,-2.1326261771154127,0
Non-binary,48,A,0.3914618745357335,A,E,-5.634006753741979,A,C,31.48250607532679,A,D,-67.93316388095583,0
F,21,A,-44.182508041407424,C,D,129.83825822789228,C,A,18.96533814887926,B,E,131.75518177313688,0
Female,76,C,110.18133614480463,E,E,-121.9817402579952,E,D,-149.72547007205296,A,E,156.83724549592617,1
Male,48,A,46.61535810594601,D,B,7.497855542469079,C,A,11.392087227087613,C,B,7.541034014652746,1
Non-binary,91,C,6.717629518543469,E,D,-168.3738709997819,C,E,-26.331156282605285,C,B,13.188551824363628,1
F,20,E,112.56979186019393,E,E,5.406054182953617,C,B,-111.25470971298803,D,A,-36.53561918299803,0
Male,60,C,41.571060888167516,D,C,3.3139601061549424,E,E,8.816459619105272,B,E,-29.79046682711866,1
Non-binary,49,A,3.3926040348063955,B,C,-55.63891837887538,D,D,-26.38982252037092,D,C,-5.324190990972525,0
Non-binary,59,D,79.30106806371455,B,B,120.8224768962997,C,E,65.79555643982363,B,B,15.33589780536842,1
Non-binary,44,E,54.33012991029905,A,B,110.95949743196556,B,E,57.950389442158404,E,E,-21.234735574293683,1
F,47,A,-125.98314209119566,A,B,31.0466457693041,E,E,-79.54011899991306,E,D,45.19173608592097,1
Other,92,A,-113.62201193995676,D,D,-154.3613591579903,A,A,-81.79358793387988,A,E,146.96317116132857,1
