sex,faith,military,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Male,Jewish,Veteran,37,D,B,52.474608140510924,C,D,E,B,B,B,-50.48989301464106,-66.73136157937407,A,D,E,A,C,0
M,Other,Non-Veteran,46,A,C,7.369036602633147,A,C,D,C,D,B,-17.909178706408667,-15.765073153097603,A,A,E,B,E,1
Other,Muslim,Non-Veteran,25,E,D,-16.104538298962407,A,C,D,D,A,B,12.330290182755284,-116.1461819161664,C,D,D,B,A,1
Non-binary,Muslim,No,92,C,A,121.74750614511034,A,B,E,C,A,B,-22.271101154787953,-55.67985160309884,E,A,A,D,A,0
Other,Christian,Veteran,37,C,B,-155.1957845471651,A,B,A,C,C,A,227.84831735622953,46.40979105740748,D,B,C,E,D,0
Male,Jewish,Veteran,67,E,B,-54.20813738668308,A,D,B,C,B,B,-137.73769353849946,74.33588532172126,C,B,D,D,D,0
Non-binary,Jewish,Veteran,52,B,B,-64.10006421465127,B,B,B,A,A,D,-227.3292657093695,-80.63407257086567,A,B,A,B,E,0
Non-binary,Buddhist,Veteran,97,B,C,-95.41775088606295,C,D,E,C,A,C,-64.21751095673376,-48.40943734851931,C,A,D,B,A,0
M,None,Yes,80,C,C,55.04099811498606,A,C,A,B,D,B,102.72820373356014,-64.72901611117372,D,C,A,B,A,0
F,Buddhist,Veteran,50,C,C,205.9073937030251,D,D,A,C,E,E,-36.28255346433531,20.601574097522153,B,A,A,E,D,1
M,Buddhist,Non-Veteran,42,C,A,82.1940556928653,D,B,D,D,E,A,133.612169739459,122.74274764683588,E,C,E,B,C,0
Non-binary,Hindu,Yes,53,A,E,-59.423726548923696,E,C,D,D,E,B,-55.0297549562037,80.92525200321101,A,D,B,C,C,1
M,None,Veteran,53,E,B,-45.93461699244382,C,A,E,E,E,A,-40.321952290460565,55.46743912688139,E,C,C,C,C,0
Non-binary,Muslim,Veteran,74,B,E,-98.14078928549337,B,C,C,A,C,D,-240.68055212600424,50.43217956341151,C,E,A,A,A,0
F,Muslim,Yes,56,C,A,-170.3648639139964,D,C,B,E,B,C,-11.049571427545738,-68.18798969631105,A,D,B,B,E,1
Male,None,Veteran,80,E,C,166.88520795703232,D,A,E,C,C,A,216.89655224118792,13.766698549154247,B,D,A,E,E,1
Non-binary,Jewish,Veteran,38,D,A,-10.131853214126307,E,A,D,D,B,D,-90.6659824966996,68.01565455832748,C,A,A,D,D,1
Non-binary,None,Yes,25,E,E,-92.06966425977589,B,D,E,E,A,D,-54.47419609471026,52.75603787993279,E,A,E,E,B,0
Male,Jewish,Veteran,98,C,C,116.67819565348796,C,D,B,C,E,D,-84.65909656012083,110.65048767940627,B,D,A,D,B,1
F,Christian,Veteran,73,A,D,88.9584751338355,B,C,E,E,A,E,-98.34424861767455,86.79599447278915,D,C,C,A,D,1
M,Other,Non-Veteran,36,E,B,-159.72709270510282,D,C,E,E,D,E,-34.242167318181075,-28.004204743638162,D,D,D,E,C,0
Non-binary,Other,Non-Veteran,62,A,E,-105.8389962875958,C,E,C,C,C,A,11.207728158011463,-31.809840861801064,E,D,B,A,B,1
Male,None,Yes,52,A,B,46.2065195543454,B,B,B,C,A,C,121.80608938558389,-7.0322755951379,D,E,D,C,D,1
M,Hindu,Veteran,40,E,B,98.19859636228645,B,C,B,E,C,E,-70.07084546216312,165.82409001385008,D,E,B,E,E,1
Other,Buddhist,Yes,43,A,C,-55.47572953949314,D,D,C,E,B,E,51.510293150265895,66.61442897537555,B,B,A,C,C,0
M,Christian,No,73,A,B,-7.569008110572634,B,A,D,C,E,B,-57.950954957806644,-55.39687060299173,B,E,D,D,A,1
F,Buddhist,No,95,A,D,-84.01599419196798,D,C,B,D,D,C,40.582320942208774,-116.88630896436885,E,B,A,D,D,1
Male,Hindu,Yes,66,B,B,29.882272249889493,E,E,A,E,A,C,53.705801120055106,-3.6262763949864594,E,B,A,D,B,0
Male,Other,Yes,77,D,E,70.61011762065313,E,E,E,E,C,D,16.209908728441917,-110.41309493369178,C,A,A,D,D,0
Male,Other,Yes,80,C,A,3.0803108332021862,E,A,D,C,B,C,166.74596322425802,32.66190888748084,B,C,C,D,C,1
Female,None,Non-Veteran,19,C,D,-78.04200544277302,D,D,D,E,A,C,53.7617996033748,36.551557758675116,E,D,E,E,C,1
Other,Buddhist,Yes,41,E,A,85.26710756095923,A,B,D,D,D,C,64.07245086477307,93.04067963074142,E,A,C,A,A,1
M,Hindu,Non-Veteran,64,A,B,-78.13629172999848,A,D,B,C,B,D,31.881576445575426,-186.7744359905398,B,D,D,A,E,0
M,Buddhist,No,83,A,C,-24.00831046732578,C,D,C,C,B,B,-70.54282703854436,-141.7058350749669,D,D,A,A,E,1
Male,Christian,Non-Veteran,68,D,A,-51.56286965899232,C,C,C,C,C,E,13.595894357918828,43.818884038025516,E,E,C,C,C,0
Male,Other,Veteran,19,C,B,204.0928090945792,C,D,B,B,C,A,-54.40585096772254,-146.4881014002724,D,D,D,D,C,1
F,Muslim,Veteran,92,B,A,61.66601712341729,D,A,C,B,C,C,3.7876632843666873,-274.5322659719096,D,C,B,B,B,0
Non-binary,None,Veteran,72,E,D,188.28542694769965,E,B,B,E,C,E,145.82921734618483,27.459802915225385,E,D,E,A,D,1
M,Muslim,Non-Veteran,31,E,E,233.13601799205702,C,A,B,B,D,E,-0.6848494631645605,76.01841865174805,E,A,B,A,D,1
M,Muslim,Veteran,79,C,A,57.38254552845853,D,A,C,D,E,C,-175.60400652383237,213.0546331570979,E,B,C,E,C,0
Male,Muslim,Veteran,33,A,B,3.7614759182382995,A,D,A,E,D,E,7.67674504840064,-26.377898655723296,C,E,D,B,A,1
F,Jewish,No,93,A,B,45.53418230582255,B,C,A,C,B,D,-51.19938598322006,-12.15381730733592,A,E,B,B,D,0
Other,Buddhist,Yes,98,C,C,-13.079483792201122,C,C,A,A,E,A,33.53025168912756,113.23022593667034,A,A,D,D,C,1
Male,Buddhist,Non-Veteran,29,B,B,-64.81144235136917,D,A,D,B,C,B,22.101046131480796,-60.96244759211249,D,B,C,B,B,0
Non-binary,Buddhist,Yes,96,A,D,-101.14160370612395,D,A,E,A,C,A,-32.5386336118931,58.00549529246881,A,A,A,D,E,0
F,None,Veteran,73,B,D,-25.749839281753466,C,E,C,A,B,B,-8.69780525668081,101.79094389581881,D,C,B,E,E,1
Other,Jewish,Yes,55,A,D,39.04947962930774,D,E,C,C,B,B,-130.29402278911164,-17.476426043132985,B,D,B,E,D,0
Female,Muslim,Veteran,90,A,E,85.42214282156793,D,E,B,D,A,B,-10.822438887227225,98.94862756419556,B,B,C,E,E,0
Non-binary,Jewish,No,83,B,C,-29.8722060860564,B,B,B,D,D,D,166.80992357019304,40.37079738566922,C,D,D,E,A,1
Male,Jewish,Yes,65,C,D,116.8452120012615,E,C,A,C,E,E,-20.130859425521503,233.64101878927923,E,E,B,B,E,0
Non-binary,Hindu,Veteran,21,A,D,-7.807789549673775,A,D,B,B,B,E,-33.31555900597179,-7.671083275260375,B,B,E,B,A,1
Female,Buddhist,Yes,46,D,C,122.6067336253743,D,B,E,B,B,B,-239.64550736156212,137.5397927016403,B,A,A,A,A,1
Female,Hindu,Yes,92,E,C,117.77703080351132,E,E,E,E,E,B,142.81839400701915,108.40930484374371,D,B,A,C,B,1
Non-binary,Other,Non-Veteran,24,B,B,70.37350409668268,B,E,A,C,E,A,80.97546523797496,170.8180802278239,B,A,A,B,E,1
Other,Other,Yes,66,A,C,-99.09506602404494,D,A,C,D,B,B,-146.0560584794202,94.48349473816964,A,D,D,D,C,1
F,Christian,Yes,64,B,C,107.47253607219616,C,B,E,A,B,C,43.83154390609871,4.389993711557059,B,E,B,E,B,1
Other,Christian,Yes,58,D,B,-53.66879249083615,E,A,B,B,E,E,-48.40779624225042,66.1588531200491,B,D,C,D,D,0
Male,Jewish,Yes,91,E,E,72.03158859052382,A,D,E,C,B,D,-47.73809285803705,-75.21163173316118,D,C,B,C,C,0
Female,Buddhist,Veteran,92,D,C,26.27479183986809,B,E,A,A,B,A,-130.23397895076138,50.09330012969164,D,C,A,C,C,1
Other,Buddhist,Veteran,48,E,D,-40.042119498167274,E,C,B,A,C,E,25.66654524439481,-17.926167351684878,B,D,D,A,D,1
Female,Jewish,Veteran,23,A,E,6.952619606795518,E,E,B,E,C,E,-98.12931063038579,68.2223729668755,B,B,A,E,E,0
Non-binary,Jewish,No,78,E,C,43.697385207435744,C,E,A,D,A,B,-28.77931518171451,-142.85980746634954,E,E,D,B,A,0
Male,Other,Veteran,80,D,C,-16.293978856080383,A,C,D,D,E,A,-45.35337720909977,-26.21502589685349,E,C,A,A,B,0
Other,Muslim,No,24,B,D,-43.44299946494253,C,D,A,C,C,C,55.39292502196203,-170.43306214098843,C,C,C,B,C,1
Other,Hindu,Veteran,53,B,C,-29.981907511087392,C,E,E,C,D,D,233.51394950030425,-66.69376315631007,E,D,E,A,C,1
F,Muslim,Yes,88,B,B,-79.74754469368554,A,E,E,C,E,A,11.291904508495211,-104.56661166369862,B,D,C,C,C,0
M,Buddhist,No,80,A,D,-21.158235214680136,E,C,C,D,A,C,28.687082016552417,9.4188080864893,E,D,C,C,A,1
Male,Christian,No,65,B,C,-6.770674930912179,C,C,A,B,B,B,-103.8326630755001,41.681269786411654,B,A,E,B,A,0
Other,Hindu,Non-Veteran,72,E,A,-158.28782620932753,B,D,E,A,D,B,54.98090740682999,-194.5322945408416,B,C,C,C,D,0
Male,Muslim,Yes,92,A,E,-47.190271782557694,B,B,B,D,E,B,18.52671087667242,99.64382425449443,E,D,B,A,C,1
M,Buddhist,Non-Veteran,93,A,C,-93.97560932363174,E,D,A,A,B,E,-21.56994384719871,20.22828562384144,B,C,E,E,A,0
F,Muslim,Non-Veteran,25,B,A,49.23590075911359,D,A,A,C,B,C,27.125643174730286,-41.99124148385536,B,D,C,A,D,0
M,Jewish,Yes,51,E,A,-0.5792378537176063,B,B,E,A,B,C,37.767961492844094,14.240552205366095,C,A,E,C,D,0
Non-binary,Hindu,Yes,25,D,B,-38.773641689149194,B,A,A,D,B,B,-21.948989925284057,-218.07630592653564,D,D,A,C,A,1
F,Other,Non-Veteran,56,A,C,52.97354150493937,E,B,E,A,D,B,161.3361325340531,129.67346169420705,C,D,E,B,B,0
Female,Hindu,Non-Veteran,98,C,D,33.9974784786298,E,E,C,D,E,D,-38.99763396866899,19.254796647550055,B,D,E,D,C,1
Non-binary,Buddhist,Non-Veteran,80,A,D,64.9505294123235,E,A,B,E,E,C,132.73721999899067,-33.403134214169484,A,E,E,B,D,0
M,Other,Yes,46,B,A,-93.17152773889302,D,A,B,E,E,D,58.09260119554841,-25.813643538661747,C,E,A,D,E,0
Male,None,Veteran,24,B,B,-16.617199245657154,A,C,B,D,B,A,86.30091857780863,-210.81893320509107,D,B,A,A,D,0
Other,Hindu,Yes,27,D,D,-20.050283190336973,D,C,E,B,D,C,-65.2419099718028,85.42366719094524,E,C,B,C,E,1
Female,Buddhist,Non-Veteran,45,B,E,83.23769651026561,E,C,B,A,C,B,-13.79408617637193,-66.40646183833839,C,C,D,C,B,0
Female,Hindu,Veteran,70,E,D,408.5686961686422,A,C,B,A,C,D,-103.89634890322212,-0.05066836531738314,B,D,E,E,D,1
Other,Muslim,Veteran,85,B,C,-67.1921279619503,C,E,A,E,A,E,-35.15285238218623,-60.31396933836314,C,C,A,E,D,0
Female,None,No,28,C,E,57.31668160348603,D,E,B,A,A,B,-2.6039167959680887,75.5287248606859,C,B,A,E,A,0
Other,Jewish,Non-Veteran,40,E,A,58.1650980132171,A,E,E,C,C,A,63.80908073373287,52.566021867330804,C,E,E,E,D,0
Female,Hindu,Yes,82,B,D,-254.1842324036103,A,E,D,D,C,E,32.00696304074148,61.55083347645359,A,A,E,C,D,0
Male,Hindu,Non-Veteran,85,E,D,-3.2384233517911345,A,D,C,C,A,E,-56.74261143231656,28.79591564125617,B,E,E,C,D,1
M,Jewish,Non-Veteran,78,E,D,33.63316994510861,E,C,D,B,E,E,57.709736478275275,105.703935222404,E,D,B,A,D,1
Non-binary,Other,Veteran,18,A,A,139.06444145260429,D,B,B,A,B,E,-114.77288678845106,36.62589861604971,E,B,C,B,D,1
Non-binary,Christian,No,36,C,D,-17.22848240535609,E,B,A,B,C,C,49.96413512711821,-105.28304974604117,A,C,D,C,C,1
Female,Buddhist,Yes,20,D,B,-98.28324928377049,A,C,B,D,E,E,35.19837257050715,108.25757069338154,D,C,C,E,D,1
Non-binary,Hindu,No,89,C,B,97.14240235649366,B,B,D,D,A,E,12.589239127880262,-102.19525739403552,D,D,A,B,A,0
F,None,No,85,A,E,20.950637112192712,A,D,D,D,B,E,-159.63319778535057,-70.82775794179668,B,B,B,C,E,1
F,Hindu,No,84,C,E,41.405076940693206,C,C,D,A,C,E,-125.07695990362254,27.550466609834263,E,A,B,D,E,0
M,Muslim,Veteran,53,B,C,87.08107783528035,E,E,D,A,B,D,136.46985160178906,-8.96363283480123,C,A,C,B,C,1
Other,None,Veteran,20,D,C,-64.55829698472841,E,C,A,D,A,D,-230.88137347586866,180.5495170027702,B,C,C,C,C,1
Other,Jewish,Yes,40,C,A,51.279508746609714,C,D,C,E,A,A,8.673623959428218,-69.42239070694572,D,D,B,D,A,1
M,Christian,Veteran,61,A,B,-52.87507356824317,B,A,B,D,E,A,154.12950538944915,124.13926818418688,C,C,A,E,B,0
M,Muslim,Yes,32,E,A,123.08344400897423,C,C,C,D,B,B,166.9647864808035,-22.60370678540989,B,E,E,C,D,0
M,Other,Yes,96,C,A,-66.08079214274292,B,E,C,C,A,E,47.096829797674374,-151.72649024457203,C,A,C,E,B,1
Non-binary,Buddhist,Veteran,18,E,B,-44.15906882408665,B,C,B,B,B,D,-14.391668201043654,90.88658770379108,B,C,C,D,D,0
F,None,No,93,E,B,8.744200396470818,C,E,C,C,E,D,142.16159752555814,102.56499402084587,C,E,A,A,A,1
F,Christian,No,54,B,E,76.06257646121271,C,B,A,D,A,A,-103.97056869232726,146.89509172346996,E,A,E,C,A,0
Male,Other,Veteran,34,C,B,65.38378688348527,A,A,E,B,D,E,-39.40483798218668,-100.56308189252479,C,A,B,D,A,1
Other,Hindu,Yes,95,B,B,-99.80862441733468,E,D,C,E,E,C,-69.25652241890275,-87.5915487882008,C,E,B,E,D,0
F,Christian,Non-Veteran,38,D,D,-101.8674880520791,B,D,B,E,A,B,67.81849213777588,48.781719360329824,E,A,E,C,D,1
Non-binary,Other,Veteran,71,B,C,-202.76118906951797,B,D,A,B,E,B,-11.417827917380848,157.48442046145277,C,A,E,E,A,1
F,Buddhist,Non-Veteran,77,D,A,94.98449516841279,A,E,A,D,C,C,43.74545899955085,-73.67993003401611,E,C,C,C,E,0
F,Muslim,Veteran,40,C,C,-85.94937588136692,A,E,E,D,D,E,34.688795872973934,102.81046933222588,C,B,D,D,B,0
F,Hindu,Yes,33,C,E,78.99489506092003,B,A,A,A,A,A,-100.90026616257894,-104.37091311850442,A,C,E,A,C,1
M,Christian,No,48,D,B,-40.75073624489464,D,C,E,D,D,C,-56.11118112938198,-168.66618971444635,D,A,D,C,A,0
Non-binary,Jewish,Veteran,75,A,E,-54.137725862728935,C,B,B,C,E,C,23.5541934675888,3.902658603198334,E,A,E,D,D,0
Other,Christian,Veteran,46,C,C,183.8094912723168,B,B,B,C,E,C,198.83076148115165,62.90671039875989,A,A,D,B,B,1
Female,Jewish,Yes,52,D,D,-143.32384334796023,D,D,D,B,D,D,-161.798256209473,-126.17020391461196,D,A,D,A,D,0
Other,Jewish,No,34,A,D,161.8369376258716,B,A,C,C,D,E,-75.89916316572368,112.52504335775102,E,A,C,B,A,1
M,Jewish,Veteran,53,B,C,-44.04914757584002,B,D,A,E,D,E,117.94018703186254,-45.549997175428686,E,B,A,D,A,0
M,Other,Veteran,31,C,B,-135.20735124128666,C,E,E,B,D,B,47.211570917509874,8.672376830033231,D,C,C,D,B,0
Female,Hindu,No,28,E,C,-11.83745785866534,D,B,E,E,A,A,153.96119528078435,-128.53992875985674,C,E,C,E,A,1
M,Jewish,Veteran,56,A,C,-39.2514986089956,A,E,C,D,E,D,-11.593215516582273,-59.587496748259426,D,A,A,D,C,1
Male,Buddhist,Yes,48,A,C,-5.357435160108872,D,B,C,A,D,E,69.71125063471302,-86.67771826384664,C,A,B,E,C,0
F,Jewish,No,34,D,C,154.47976902239006,E,C,E,A,E,E,55.950830787624795,-86.2435822923704,D,B,A,B,B,0
M,Christian,No,92,C,C,70.29101966413648,B,B,B,D,D,B,-41.38797370548854,-101.47842440269865,A,A,C,B,A,0
Non-binary,Other,Yes,32,C,D,242.22231476764856,A,E,E,B,C,D,22.44317219736329,46.90113936694482,B,E,A,C,C,0
Female,Other,No,29,B,E,-18.098286979766872,C,C,A,D,E,A,-47.791500184535415,-16.051004937784676,C,C,B,D,D,1
Other,Christian,Veteran,52,D,B,-89.64213366827832,C,C,C,B,A,E,-131.92343353896607,35.11732475973995,B,A,D,C,C,1
M,Buddhist,Veteran,92,B,B,85.87758639863598,C,E,E,D,A,D,-251.18445599426568,23.0840568633419,A,C,D,B,B,1
Other,Other,Yes,47,A,D,47.28989994062987,C,C,B,C,C,A,-3.6245351545183344,-41.82210474935143,C,E,E,A,C,1
Non-binary,Hindu,Yes,54,E,E,10.095288937272906,D,C,B,B,D,A,24.952641992764583,-52.31895998032592,D,E,D,D,B,1
Non-binary,Other,Yes,59,B,D,136.21167972603735,A,E,D,C,A,C,99.76801004628486,-30.801621388113077,E,C,B,A,C,1
M,Muslim,Non-Veteran,19,B,B,-83.99790183264554,D,C,D,D,E,A,-110.99170196433374,-29.565865769438908,E,D,E,A,A,1
M,Hindu,Yes,78,E,B,87.84953140571257,C,E,D,C,D,C,-3.8995945585626295,55.09225716218891,B,D,D,A,C,0
Female,None,Yes,19,A,E,-3.7837247325268373,A,A,B,B,B,E,179.53534759358953,-23.561022051964045,D,A,D,D,E,0
Female,Christian,No,23,A,D,112.38178180558387,A,D,C,A,B,C,2.245123947442112,-41.97565799803178,B,D,D,D,E,1
Male,Hindu,Veteran,80,A,B,-135.9889725007995,D,A,E,A,A,E,64.08932487319889,94.09042060835075,D,A,D,D,B,0
Other,Hindu,Yes,47,A,C,-20.569124998252704,E,E,A,E,E,A,25.73181467771162,-143.4493282212216,B,C,D,B,A,0
Female,Buddhist,Veteran,85,B,A,-41.04702332037174,B,A,C,B,A,B,206.07006167278462,58.246497957872315,A,E,A,D,D,1
Non-binary,Muslim,Yes,41,D,E,-107.79047422910773,A,B,C,D,A,D,83.68425511484533,89.43602444229606,A,C,C,E,B,1
Other,Buddhist,Veteran,82,C,D,15.501234024067198,E,C,A,C,A,B,50.41332030111211,-48.04845306964427,B,B,C,E,A,1
Other,Muslim,Veteran,96,A,B,-223.93049933214093,C,B,A,D,B,D,75.0631029284256,-25.854096951901735,A,A,A,C,D,0
Female,None,No,64,C,D,-18.930569170707194,D,A,A,E,B,B,81.8955475859996,118.82086334315001,A,C,C,E,C,1
Male,Buddhist,Non-Veteran,99,D,D,-39.07030703210521,A,E,C,C,D,C,17.622259174324622,-28.96840036091738,E,A,A,D,D,0
Other,Other,Yes,93,E,B,115.32427662854516,A,D,D,A,C,D,11.932635080974647,2.2868496949075294,A,D,A,D,D,1
F,Jewish,Veteran,29,D,D,-94.71836045547897,C,A,B,B,E,A,-84.72813403742099,-103.61161181747947,B,C,D,A,A,0
Male,Buddhist,No,94,A,B,-49.86196643324166,A,A,D,D,E,B,-176.46120883213314,-166.8866847815989,A,D,E,D,E,1
Other,Jewish,Yes,59,C,D,200.97076203568815,A,E,A,B,D,A,-128.65061668670813,-7.013837603847921,C,B,B,A,E,0
M,Jewish,Non-Veteran,88,D,A,-140.83858201754714,C,B,B,D,C,C,129.11360316264575,-126.5190087799456,A,B,D,E,B,0
Non-binary,None,Veteran,93,A,E,23.88945896746038,E,B,C,B,E,A,32.884320217210735,48.41563988620646,A,D,D,E,E,0
F,None,Yes,46,E,A,0.1866852287526595,B,C,E,C,E,E,52.227350400215265,-35.60980854494356,C,B,E,A,A,0
Male,Other,Non-Veteran,68,D,C,150.5305635557453,C,A,C,B,D,B,-165.81583969647286,-108.87883473590074,E,A,B,C,C,0
Non-binary,Christian,Non-Veteran,33,E,C,-127.22101439501515,D,B,A,B,A,D,-77.35817820263036,48.94239613129267,E,B,B,A,E,0
Female,Other,Veteran,79,B,E,-22.569834749773072,E,A,A,C,B,D,142.09349058310522,13.583026176689675,A,C,B,D,D,0
M,Other,Non-Veteran,18,D,B,-17.566399588663767,E,B,E,B,D,A,6.600994921291598,11.8440640709521,D,D,A,C,B,1
Male,Christian,No,70,B,C,104.33763471172742,B,A,D,E,A,B,127.14466325520475,-88.24210291595217,D,D,D,C,D,0
Non-binary,Hindu,No,66,C,C,89.3316203806674,B,A,D,B,E,B,70.47252374008312,69.85585958392514,C,D,B,D,B,0
Male,Muslim,Yes,71,C,B,-107.69993079473852,A,E,B,B,E,A,-85.08120434987568,-10.154667602413625,D,D,C,A,D,1
M,Other,No,33,B,E,-139.03814813139184,C,B,A,C,C,B,179.34857649539967,3.2853599343462463,C,D,B,C,C,1
M,None,No,52,A,D,102.43612457983136,B,B,D,B,E,E,118.94283213158555,-22.991423167391346,C,B,C,D,B,1
F,Hindu,Veteran,50,A,C,174.45516858065042,B,A,A,D,A,B,-17.265260817798797,-36.09551493688519,B,C,B,B,D,0
Female,Christian,Veteran,74,E,D,197.13762774314756,B,E,A,D,C,B,-131.51555618239652,-9.984076494120972,E,B,A,E,D,1
Other,Muslim,Veteran,96,A,B,115.27599852444598,B,B,B,E,A,C,-63.046163228444975,-112.5524415073948,D,E,E,E,C,1
