handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,75,Non-Veteran,Germany,E,C,-268.46568935346164,C,C,-97.89771920197798,-104.20313769402102,-145.5969603237039,B,B,1
Physical,37,Veteran,India,D,C,-9.240254389599793,D,C,-11.005223107415082,85.93133860960536,-3.9846720628368657,A,C,1
No,50,Veteran,UK,E,E,2.3099095824845444,B,B,26.221379898043523,-62.908479678336214,-11.445367697506773,D,A,0
Mental,29,Yes,US,B,C,-197.2178680981351,A,D,-113.20614886955175,-213.78228635480065,-17.856722743417453,B,B,1
Mental,71,Yes,Mexico,B,D,-37.69201174877105,D,A,-31.34093569948159,-47.34312443049689,-58.58244068380555,E,D,0
No,24,Veteran,UK,D,B,167.54506925792293,E,C,51.08521618916143,-94.74097026822278,-42.68836939013112,D,A,1
Yes,26,Veteran,China,D,A,130.26435151070234,B,D,163.71383857973706,-102.19539327664289,38.91904810578637,C,C,1
None,87,Non-Veteran,Germany,E,D,121.14638103597468,A,B,-192.26559365877645,-49.10696712617884,-103.3821683697954,A,C,0
No,63,Veteran,Mexico,A,D,-151.395263097842,A,B,-238.96739828933056,-109.5353482203534,38.477639515801506,A,A,0
Physical,64,Non-Veteran,Other,D,E,110.78544566203054,A,E,187.61266469355365,106.37873085370968,52.69306273300081,C,B,1
No,74,Yes,US,C,E,-177.77218737745545,C,A,-0.9825152218205065,-49.620753416989736,-6.099240613137534,E,A,0
Yes,90,No,Brazil,A,D,106.81514989703697,C,A,176.1509478543202,-29.434633331329753,-65.74451241406913,A,B,0
Mental,19,Yes,UK,D,B,104.99326467568169,B,D,21.465526400892664,-36.191216488009964,27.329949387944446,A,C,0
No,55,No,Mexico,C,D,-11.350209897201486,A,D,-14.433831979937828,68.35488505790636,64.57559343626173,E,A,1
None,20,Veteran,US,E,D,-159.27881434622023,B,C,32.336502693978744,106.2610483330212,19.543357586569574,B,A,0
Both,44,Veteran,Mexico,E,D,107.61556112220623,C,C,-95.66711519810956,47.28373356971281,-24.82020295974408,E,B,1
Both,65,Non-Veteran,China,B,B,41.18247453908867,C,C,-61.86022597015371,-79.89711886493296,-196.92249191624848,E,A,1
None,93,Veteran,Brazil,C,B,237.467724846627,E,B,-99.3988714644824,-7.6627103428520265,-110.66415090815451,D,A,0
Yes,31,Non-Veteran,India,E,C,115.03086266076188,E,B,162.62732576271722,85.69689332607996,-27.03922368667372,E,E,0
Physical,36,Veteran,Brazil,D,A,-55.6166840281123,A,E,-3.0712158502753373,-116.58602473323656,97.31327302750557,D,B,0
Both,83,Non-Veteran,Other,D,E,6.676101668947998,C,D,-33.24416353582741,14.689714584812897,-59.71189796447738,E,D,1
Mental,79,Non-Veteran,Germany,C,E,134.9135558739893,D,A,42.81697643471213,-241.1529536053414,216.97200691202352,E,B,0
None,67,Yes,India,D,C,-230.92011246388245,B,C,176.02442771285288,-186.87514910924304,-183.622703274788,A,A,0
No,33,Yes,Brazil,C,A,16.63657220133259,A,B,-40.66297520270283,61.07526060624776,14.596242268013246,B,E,0
No,50,Yes,US,A,C,33.859149628591965,C,A,27.594699320760153,161.42633524768695,-44.355628844195,E,D,1
Yes,93,No,UK,A,D,31.048935839252056,E,D,-89.232102819385,100.1883141709325,66.07644004479224,A,E,0
No,95,Veteran,India,E,D,-72.86055951758188,B,B,-80.65480443706225,46.693334335500815,-5.572830772326163,B,B,0
Yes,87,Veteran,US,B,E,13.660977795671226,C,D,-9.436916186504245,45.86167397566885,-29.70770921339746,D,A,0
No,38,Veteran,Mexico,C,C,-45.6200311237523,C,E,67.13931784745225,-107.4695024339535,-4.447750966500316,C,B,0
Yes,50,Veteran,US,C,C,-106.73832743068101,D,D,161.1892660077076,-24.78012943531446,50.09535869378718,D,D,1
Physical,61,Non-Veteran,Brazil,D,A,-39.32259622380642,D,B,82.4094157912559,-34.216283832686194,23.178890289097676,E,B,1
Both,23,Yes,Other,A,D,-99.9279074996212,E,B,93.77873352421526,78.34143385830149,-48.845692867909676,D,B,1
No,29,No,Mexico,A,A,98.67023425689936,D,D,-45.87282701286015,-82.4680785454226,-14.032466303109493,A,B,1
No,42,Veteran,China,C,B,21.849057224536487,B,C,19.380864177147377,8.306778965842181,-54.88824219826453,C,D,0
Mental,96,Yes,India,B,B,-62.99567333797429,C,C,149.7360105834369,104.22876996488843,-79.03612636859023,E,A,1
Mental,57,Non-Veteran,US,C,D,11.741837718078035,B,E,184.52959599887294,85.56057653051924,105.81368324107943,A,E,0
Physical,68,Veteran,Brazil,C,E,23.891627848846678,D,C,-25.37642653370842,-220.47538709937987,-94.94552312468875,C,A,1
Physical,48,Non-Veteran,Brazil,D,B,177.24349117998318,A,E,-118.2410050767638,9.600346121728268,-23.100037465507082,C,B,0
Both,24,No,UK,B,A,-44.95664159565638,A,E,-74.51220964126111,29.327170923320033,-127.45980169222229,E,D,1
Yes,19,Veteran,US,D,C,-0.5104428025148617,B,C,-150.82128566604553,-73.91977770434302,-78.36736623624735,D,D,0
Mental,84,Veteran,UK,D,C,-145.6629924759555,A,A,212.79445181412595,-141.60499633395688,-76.42078225384572,E,A,0
None,80,Yes,China,C,C,-23.769221450171198,E,D,118.47010936302527,-29.42960707033297,-31.0671326122408,E,E,0
Mental,53,No,India,E,A,148.09323238886134,E,C,-41.90473132531458,148.18819275820258,-70.46282381443531,A,A,1
No,84,Non-Veteran,Germany,A,C,-153.57643060730794,A,A,4.837702537218976,-37.53425033371342,-70.05047397743883,D,C,0
Mental,79,Veteran,Mexico,C,C,-86.77142901452262,B,D,-143.91551592860284,-306.51014537571587,39.27488548156257,C,E,0
Yes,29,Yes,Germany,B,E,0.9193419687021923,E,C,55.680350184500504,-188.07130573329314,-17.407338999470124,A,A,0
None,89,No,US,E,E,38.888303193095794,D,D,74.21483698875876,-10.248325059767796,12.464557540117083,E,C,0
Mental,84,Veteran,UK,E,D,-34.21635406740668,E,C,-184.1454051496813,166.30696333317363,-114.2587162522866,C,D,0
Mental,77,Veteran,India,C,A,-3.117500863458082,B,D,-5.58782507711674,60.706910091384756,33.6471002248684,D,A,1
None,34,Non-Veteran,India,A,C,-18.82053246096598,D,D,-154.02400013755394,33.44701416900938,75.7695830199634,E,C,1
Yes,99,No,US,D,D,-163.33639340353193,C,E,-33.43624009899081,50.99165211887451,108.86913571429702,D,B,0
No,46,No,UK,C,D,20.718755834644938,D,D,22.162662576818292,45.1929768310841,-152.23781536290218,E,E,0
No,88,Non-Veteran,Mexico,D,C,24.987432053637253,E,D,54.72515213614467,74.79839397501277,83.89379854847367,A,C,1
Mental,54,Non-Veteran,Other,B,B,92.30926509997342,C,D,122.58232546232581,35.23561882000791,93.63286462891857,E,B,1
Mental,76,No,US,B,E,50.662546654411464,A,B,-25.78128312324317,-133.00994121182802,-129.3935119008995,B,D,1
No,42,Yes,Brazil,B,E,-106.31888965052138,C,E,28.692710036131764,5.3331102334367495,-17.789881383771018,C,E,0
Mental,85,No,Mexico,D,D,25.454327862374477,D,A,-40.26747662361457,-104.49582927474306,-113.8165437945482,A,E,1
No,62,Veteran,Brazil,E,A,103.77366801468924,D,D,208.21416159802158,-113.77366034192072,121.80561718057244,E,E,1
Mental,96,Yes,UK,B,D,-25.229082053088785,B,D,-123.04079437034372,187.6229539269308,-50.043763654665774,A,A,0
Yes,67,Yes,China,D,A,-61.80489190870054,B,C,57.97224469740407,104.52627434621282,18.948052463651365,A,B,0
None,90,No,US,D,C,17.54824808214871,C,E,-21.30077369578452,70.57099238073276,-40.46481652278431,B,E,1
Mental,77,Veteran,Mexico,E,A,-3.0172622045683437,E,A,-88.61689199569679,47.583946473464984,-75.62001202835238,E,D,1
Both,39,Yes,Brazil,A,B,-13.677346965523324,D,E,-129.17729453305543,-65.18357872491478,-112.50144660505792,B,A,0
None,25,Yes,Germany,A,D,-90.49810504106539,B,A,-86.05807425493585,-126.63442791643504,-42.1863014695335,A,A,0
None,93,No,Other,D,E,-22.019167338952343,D,B,189.779753053631,3.2426181531472706,-9.92726074530179,B,D,1
Both,79,Veteran,Other,D,E,85.07553360998295,D,D,56.8021121793286,103.25423185824182,128.85099023816448,E,D,0
None,87,No,Germany,C,D,-86.7749682044422,C,D,27.37672058929144,20.48670025049529,110.22717873069926,A,A,0
Yes,98,No,Brazil,E,E,-19.24062497486468,C,C,173.42225878989436,85.81176471012321,94.56761640290088,D,C,0
No,23,Veteran,UK,A,D,-126.56794777612286,D,A,-252.13111392273348,-183.53281333879897,91.16751147848318,A,B,0
Both,56,Non-Veteran,Germany,A,C,-93.65547754888054,E,D,121.03286393108645,-17.043911922845993,-109.46914182151602,B,E,0
None,32,No,Brazil,E,A,-13.028011447475668,B,A,73.8070183383075,-111.51396514471628,-28.89079569635271,A,D,0
Yes,64,No,UK,B,D,14.571222518628598,E,C,-151.05861048438234,47.5133080568256,-29.319051419442133,E,E,1
Mental,67,Non-Veteran,Brazil,D,B,35.20358581770143,A,A,61.211890098356335,-53.73520671793695,-23.35892719419853,D,E,0
No,30,Yes,Brazil,B,B,-18.013613530020045,A,C,-153.38956383698837,-22.77168196010603,40.57433786176598,B,E,1
Both,55,Veteran,Brazil,E,E,126.3098941092232,E,B,118.9960220285926,71.35261956548503,-77.95379679031686,D,C,1
Both,59,No,Other,D,C,-25.193657370828763,D,B,-161.80977631425804,-53.929046264067736,-141.6278707434549,E,D,0
Yes,24,No,Brazil,A,C,127.76545049183848,B,A,211.52536470698303,251.8453388357604,68.96763643009875,C,D,0
Both,21,Yes,Mexico,E,A,-41.39720681297938,D,E,20.94183013842193,-27.725132833701636,-0.2788017886208871,A,A,0
Physical,86,Non-Veteran,China,E,D,-116.3937218947237,E,E,115.49399555358283,17.491289680037674,86.03848760633544,E,E,0
No,97,Veteran,China,E,E,110.98460749841766,B,A,21.269970372676557,-63.00326793569868,-9.919488675128969,E,E,0
Yes,97,Non-Veteran,India,B,B,-97.15284846599677,D,A,-17.01608099547866,43.96000707452017,-38.00702128636244,A,E,1
None,73,No,US,E,C,187.37555080376293,B,E,111.06778780744055,-96.38016607229159,-46.22207733145145,A,D,0
Mental,43,Yes,Other,B,C,-54.271754794598,A,C,88.2075577302051,158.8752796618894,-0.9268591627162478,E,D,1
Physical,34,No,Brazil,C,D,21.58971421120428,B,C,-33.73259175798943,-51.98022289083476,-174.06274273496848,B,C,0
Mental,49,No,Other,D,B,52.72897750457464,D,C,-9.798652147020697,-272.2410043432378,-115.52890514027496,D,A,0
Yes,66,Yes,Mexico,C,D,-214.39615410332715,C,C,-184.38590304945092,-49.2225727608191,63.288692119820034,A,C,1
None,65,Veteran,China,D,B,-146.76311098825013,B,A,49.5639669973104,49.23250271866745,81.56271367735887,D,A,1
No,25,Veteran,China,E,B,56.517805113457754,B,D,195.49664527956853,-7.9350979901632295,45.013389182549446,D,B,1
No,54,Yes,UK,B,A,-43.56850832777975,D,D,58.557770013553224,140.00997148444466,12.999013287603258,C,D,0
No,49,Yes,Mexico,E,E,112.8517397461886,E,B,-67.89205299442827,-41.78536227294371,-133.62377474358786,D,C,0
Yes,51,Veteran,Germany,E,C,-34.705096501406736,D,E,33.80931948697883,183.1483843919382,-106.22372771610446,A,A,0
Both,76,Yes,UK,C,C,-79.6026446718172,D,D,-62.018930685103676,1.3147852821783281,-83.68521271237763,D,E,1
No,86,Non-Veteran,India,E,B,-6.808815045388907,D,E,-239.51717827263695,-13.27137639387263,135.84226206400024,C,A,1
Yes,47,Yes,India,C,E,182.00017015669846,B,B,-92.82995134931159,-69.07028499563941,-114.62966158363328,D,A,1
Physical,99,No,India,D,D,-10.574193762984914,A,C,-104.19683756348384,-31.93717705522002,-34.4677228199296,C,E,0
None,23,No,Germany,A,B,-93.01527620595293,D,C,-40.52290566955238,209.03134298134364,-99.80930684678324,A,E,1
Mental,89,Veteran,US,B,C,-83.21224549185817,D,B,-90.36191596479138,80.89162897917377,-56.58994802949325,A,D,1
Both,77,Veteran,Brazil,E,D,34.38688442996893,B,B,-59.03107788081455,76.0749273417942,8.015476493245467,A,A,0
None,96,Non-Veteran,China,C,D,-68.75891798874805,C,C,-22.354680823956183,-133.98780574878595,-48.99467967236536,C,B,0
None,61,Non-Veteran,China,D,A,-6.079716518183764,E,C,-41.52897730016342,-4.00280765972665,4.168332964143568,E,B,1
Physical,74,No,Brazil,C,E,42.81539211797387,E,A,-4.044496396134541,171.77661897291648,-147.58424446817807,D,A,1
Both,35,No,Mexico,E,D,-42.53058383064417,E,A,-54.98429506127799,-44.927021158137606,156.82056200285348,B,D,0
No,89,Non-Veteran,US,D,A,-205.69239260238567,E,B,72.96324508562603,173.98969589499168,48.49929418813731,D,C,1
None,67,Veteran,Mexico,A,E,-31.109978511980955,D,B,102.32574148139402,-4.8035277549507,-100.22926753020766,E,E,0
Yes,95,No,US,D,C,42.10336861222627,C,D,104.87320596562625,-235.77799627347113,-42.80539797593274,C,D,1
No,99,Veteran,Brazil,E,B,-54.75294146638719,B,E,112.48227396475339,13.99693124940486,56.18537703856244,E,C,0
None,88,Veteran,Other,B,C,-27.380992289725715,B,B,-19.75709272100365,-52.80663442667054,-36.590464211229964,B,A,1
None,29,No,Mexico,E,D,-22.05548009995277,B,C,-74.22187642760149,83.85794156356856,34.656530484373185,C,C,1
Yes,40,No,India,E,A,33.70030072651233,A,D,-206.43391062436768,-30.84159616660823,89.24817768961722,E,E,0
No,36,Non-Veteran,India,A,E,-143.81199369304255,B,B,-112.1121261406262,70.21030559832273,20.37699170423291,C,A,0
Both,36,No,UK,D,D,-173.3778182136293,A,E,-31.927405109355036,-75.95598769342877,20.79717932152551,B,D,1
No,98,Non-Veteran,Germany,B,E,-30.011664997508785,E,E,138.35781306449323,-65.02412670280717,-31.04133076511803,D,E,0
Mental,80,Non-Veteran,Mexico,B,E,-193.51448435246658,D,E,115.57711133095646,26.699260038765367,-68.31014357590985,B,C,0
Both,20,Non-Veteran,UK,C,E,94.51088409409701,E,B,-98.5810694060601,-29.899015069649828,28.52753826318987,E,B,0
No,97,No,Mexico,B,C,108.64121112519025,E,D,-117.76710771822852,115.43890645284274,328.4959344151011,A,D,0
Mental,59,Veteran,Brazil,A,E,124.12344754928608,C,E,18.33244563758356,-186.67466587280379,132.39496797986996,B,E,1
Yes,60,Veteran,Mexico,C,C,83.01476783707119,B,B,17.83975626968633,58.92547723925337,59.96379788252506,A,A,1
None,84,No,Germany,A,B,35.978994478774695,E,A,-116.72421693510655,50.25934628685877,103.50613537806241,D,C,1
None,50,No,Mexico,A,D,-36.52822637049811,A,A,-122.12320049562268,-132.94377686286543,5.698295998532013,A,D,0
Both,91,Veteran,India,B,E,-135.9639658885887,C,D,-50.108539374241154,-38.36193078442963,85.17832150134504,D,E,1
Physical,28,Yes,Germany,C,E,175.52808742473954,C,E,-97.39498361661305,-61.396830578023476,-27.248858662787146,C,A,0
Physical,84,Yes,China,C,D,37.86790879663348,C,C,-15.455314768706815,45.15906919144843,91.0352513673821,D,D,1
Yes,68,No,Brazil,C,C,183.13149941971125,C,B,-10.055298205097776,-64.810751261041,-115.53273091208676,D,D,1
No,82,Veteran,Brazil,E,E,123.8532977376942,E,C,-55.641338237414004,-33.38893677211017,107.95995926363946,A,E,1
No,44,Veteran,US,D,D,157.5071459449273,E,A,43.81683908586566,-63.728923698242035,-135.76382267413166,B,B,0
No,81,Non-Veteran,Other,D,D,100.51402118396895,D,B,-12.370641835557972,140.54950657473856,57.383661457294366,A,B,1
Mental,69,Non-Veteran,Brazil,B,D,-51.88062371837579,B,D,-95.34204280641255,-145.19836975065428,-34.20175141445761,D,E,0
Both,29,Veteran,China,D,C,50.28400289071027,E,C,169.29383869098837,-32.80675671562506,56.52220515938653,C,B,0
None,60,No,Brazil,D,D,43.60914213842849,D,E,-101.64228173925784,-145.69546957729335,-40.46832870719663,B,A,1
None,69,Non-Veteran,Brazil,E,E,115.97807930429138,A,D,-84.47848916871737,-19.184359475747836,40.843773841198264,D,C,1
Both,76,Yes,India,B,B,152.38624301806288,E,B,-76.6689381641386,-72.41135423915983,3.971801678353145,D,B,0
Yes,69,Yes,UK,A,D,-145.9216296283921,D,B,-23.92724911036755,-39.38145415848929,42.64604123764681,B,B,1
Both,72,Non-Veteran,Germany,E,E,165.6942823035183,E,A,-51.27863868336282,-82.30366569299653,4.5935694017603375,B,D,1
Yes,78,Veteran,US,A,B,149.86856571961792,D,A,-107.03018864138218,69.1253075439242,60.31222339017517,E,D,1
Physical,68,Veteran,Other,A,C,-9.645624391454875,B,A,10.61101935224847,-68.12461485119492,-24.379022141931507,C,B,0
Both,92,Non-Veteran,US,B,D,-21.420722199253735,D,C,-179.5726030690801,23.985247421717794,5.7707844578135665,B,E,1
Physical,21,Yes,Brazil,C,B,48.96712868212924,A,C,-73.00595982744102,-86.30206026681331,-54.632297708253766,E,A,1
Physical,44,No,Other,B,B,-44.2027285875319,A,E,140.27650712670646,88.03236370646485,-156.02629663021628,C,B,1
Both,62,Non-Veteran,Other,E,E,-1.0899910998865934,D,B,-37.82611555137059,70.83591945427821,-91.6562966658937,B,D,0
Both,95,No,US,D,D,69.0334580498267,A,B,82.59885249148978,-76.03329565376,-60.546561355046656,C,D,1
Physical,57,No,Germany,E,E,-72.36332995619412,E,A,-184.12661990465077,89.93014970118638,-71.96478403099105,A,B,0
Both,31,No,UK,E,B,61.38256848221329,B,C,-162.22195965339003,-93.51728455736189,-159.73653920823537,D,E,1
Both,57,Veteran,US,D,C,-29.131848154216655,E,D,-10.493479433234157,-182.22656051724414,-52.06352690836068,C,A,0
No,69,Non-Veteran,Other,E,D,-1.2388673590055566,E,C,-13.598213796827274,-143.48613493816575,-28.69706517560648,C,E,1
Physical,43,No,Germany,B,C,-74.8213086965486,D,E,29.09491036909489,138.90436620805548,-44.737450671293836,A,D,0
Both,30,No,Germany,C,E,-29.733134871746152,B,E,-149.09984475793922,-110.68749106546593,-40.055712107951294,E,C,1
None,23,Non-Veteran,Other,A,B,-10.100953209072266,C,B,7.23771674487458,-69.86247669321605,96.90213080049698,D,E,0
Mental,18,Non-Veteran,China,D,D,98.57768404857407,A,E,-89.24479782830788,-139.18679202232016,81.01731192300244,B,C,0
Both,53,Yes,Brazil,A,C,-75.39279434943886,C,C,-13.120284881929562,-152.1683065034356,-157.673374668201,A,D,0
Mental,92,Veteran,Other,D,D,-83.51867790226935,C,C,-28.030624242140505,-146.04928103947458,-106.48317623961255,A,C,1
None,59,No,US,E,B,28.271938143195996,A,C,-144.43371737071598,113.03653527045424,-116.17729952406053,D,B,1
No,97,No,Brazil,E,A,24.044668229514283,C,C,22.442215482426906,-32.65097932750007,-84.7645565910676,A,E,1
No,55,Yes,Other,B,B,3.281200506398637,E,D,-71.02542003732736,37.763836207574144,-115.70779204831598,A,C,0
None,74,Non-Veteran,China,C,E,-128.39830589741618,A,C,-111.68276379145237,6.9816706439022935,141.27369952440395,E,A,1
None,52,No,UK,A,B,-77.5023739520769,C,E,133.80360943055697,156.51890079266653,95.16021061368347,D,A,0
No,23,Veteran,China,B,E,-81.88935122877268,C,A,108.91141180307942,77.46808680814958,-93.97768770453943,E,D,0
Both,47,Yes,India,D,E,151.56508232567154,B,B,-25.893838626782323,-42.857789608450055,18.84223558961057,C,D,1
Yes,92,No,India,A,C,-17.6802720579282,C,A,-10.80471016765809,-118.91834313612881,-26.081859872865405,A,D,0
Mental,57,Yes,China,B,D,130.9920337285644,D,E,-32.09188097714225,27.031362287946298,36.37592461330226,D,C,1
Both,41,Non-Veteran,Germany,C,C,127.47323303513565,E,B,102.17236624829906,9.769704683125493,-104.46409515083029,E,B,0
No,35,Yes,Brazil,C,A,60.25109928203874,D,C,43.60710762811071,-21.512420022386824,0.8313722020932095,D,C,1
Yes,95,Veteran,Other,E,D,-145.38310781001547,C,C,70.87564100771493,58.152412455822144,28.2485286637163,C,B,1
Yes,18,Yes,Mexico,B,A,29.000592748629128,B,E,-20.7630418461287,156.0150112493753,44.18996087201445,E,C,1
Both,43,No,Other,B,E,-208.31675641514167,D,A,174.65195141166654,117.84152422544942,58.48854942976056,E,E,0
No,66,No,Brazil,D,A,-28.53961598617067,B,C,-119.25728268039828,-99.71147760977016,66.70449933489616,D,E,0
Yes,53,Yes,China,E,D,33.30987392016904,E,C,-106.94152762533098,-128.31604586392027,28.637967135994202,C,E,0
No,85,Yes,Mexico,E,D,-62.139871050770935,B,A,186.41425690518858,-73.3363581219195,169.33721778284308,B,B,1
No,30,Non-Veteran,Germany,A,A,-40.19362632768278,A,D,-98.73862743459505,106.42234223789555,-76.00432801480724,B,A,0
Both,35,Non-Veteran,Germany,B,C,21.57002318919366,E,A,62.35823397835407,9.598959906855436,34.103494098769495,A,E,1
Mental,83,Veteran,China,A,A,-54.176691352853744,D,C,-154.0353577624943,-111.61283435786133,-37.79743651720832,B,B,0
None,66,No,China,C,C,38.921184203802376,B,D,170.98609293069393,-58.775459802685006,-16.261720563226852,D,B,1
Both,91,Veteran,Other,B,E,-167.27009170882158,D,E,75.92741859517352,15.11724026309707,15.717799133320323,E,D,0
Yes,58,No,UK,D,D,70.59018650904694,A,B,-106.19730861813501,-125.93956103917816,7.575365037669458,B,E,1
Yes,59,Non-Veteran,Brazil,C,E,-80.63486185755208,B,E,-56.59013445257817,2.413282781871643,-28.167921324467653,B,D,1
Yes,67,No,Other,A,A,-24.125432227379495,E,C,5.111385289197239,65.78635216429043,-18.560023380378716,A,A,0
No,72,Veteran,China,C,E,-53.540167523486915,E,A,-2.8567688688872614,13.439905947721348,43.82671098412944,C,C,1
Yes,33,Veteran,Other,E,E,-68.19532537146486,B,A,-35.122654157020946,77.9619257516196,129.94346579849406,E,D,1
None,33,Yes,US,B,E,52.99461506068314,E,D,-91.25191522063469,17.27594475070159,33.08064891292067,A,C,0
Both,85,Non-Veteran,US,C,E,77.21442911200079,A,B,-59.4015744912055,13.4941918239269,147.60812875070147,C,B,0
No,24,Yes,UK,C,A,5.576809329192011,C,E,108.28419439704145,117.40866260541172,-11.652704126129064,C,D,1
Physical,90,Veteran,Mexico,D,C,-45.435964635529395,E,D,138.45739887208748,-56.8428772032471,-2.4345191530819257,D,A,0
Yes,41,Yes,China,E,E,16.139332034986538,A,D,-82.40452739206721,-56.947520490620676,92.00046991283375,E,B,0
None,23,Yes,China,D,C,90.3489247443927,A,A,-130.43743891339585,-50.7842082331547,-119.57750546063085,E,A,1
None,33,Non-Veteran,UK,D,B,113.65093497519234,E,C,-4.822544361094973,-21.83069943654064,140.38803293519646,D,A,0
Mental,23,Non-Veteran,India,C,E,58.69606376755026,B,E,189.30703010451094,-40.536392828492716,-8.615346951297916,E,E,1
Yes,96,Yes,US,D,B,156.09626180889938,C,C,52.73548373268271,-14.830676470344553,101.32575233702813,C,D,0
No,94,Non-Veteran,US,B,E,164.81524954753866,C,E,-53.86274756398153,86.86244210065203,23.320559368437603,C,E,0
Both,18,Veteran,Other,D,A,-78.21167653951953,D,A,-144.75679789938678,-45.3136989201341,58.39470322337037,D,B,1
Mental,26,Yes,China,A,E,-62.18908948427813,B,C,-103.45528592794544,226.46623109149164,-43.20644341294578,D,B,1
Physical,95,Veteran,Germany,C,E,148.7463708354774,A,C,146.22107664805955,-1.9576155145711414,-59.766522680929825,C,C,0
None,28,Yes,US,D,B,92.45328486196158,E,B,-134.54301809672972,79.59019406466291,146.06352155927223,D,D,0
No,92,No,UK,B,E,46.61302865885336,C,B,-7.128322821900916,64.18846779369682,168.76113749398908,C,B,1
None,43,No,China,E,C,-43.87143068638192,C,C,98.49642000495491,98.75835378495054,193.75023075472214,A,E,0
None,26,Non-Veteran,China,C,D,91.79591750284912,E,C,148.08881587798496,-74.51433291359471,104.63944149876889,D,C,1
None,28,Veteran,Germany,B,C,65.10844551231664,D,A,63.184054422148336,-104.83263394310929,-34.7125424171977,C,E,1
Physical,37,Yes,India,C,A,-61.50000230846071,D,A,90.42125543805443,75.95324942512337,-12.77753329684281,C,B,1
Mental,31,Veteran,China,C,D,-59.06796476183204,E,C,-162.9491473773569,105.1607757196226,-16.73218715406423,A,A,1
Both,30,No,Other,B,D,103.7301794751082,A,A,12.290232247472876,227.4581288041837,-22.76655918811192,E,B,0
