civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Married,-89.70889194909671,-20.9978287222581,C,44.199813113216926,74.82175518883993,E,D,E,1
Married,149.4350307262298,91.83651018095992,C,-141.09880982103795,56.299320753407564,E,D,A,1
Married,131.92094213065897,-29.52248413887401,E,-169.18964720776125,-113.68871420936435,B,E,E,1
Single,-14.215383544327203,-21.1155805089691,E,130.78780371290898,-7.52116949802502,A,D,A,1
Widowed,-37.84858001806506,-131.80027861831906,B,-23.561841375425146,-5.442743288267399,B,D,C,0
Divorced,14.761283474897638,-97.00189302713746,A,-91.7014213269839,169.5851474535277,B,E,C,1
Widowed,16.06417308711773,-27.737365368355537,D,390.006082317167,-9.734259928505033,B,E,A,1
Single,41.89315292350704,-92.612347245382,B,-30.69076860373579,52.646104335796075,A,C,C,1
Single,29.146341835175587,166.14477741927814,A,-112.20266497235416,49.0363966160358,B,E,B,0
Married,54.923107248629435,-118.69138909981154,B,10.722275847589852,49.00352455683572,C,B,C,0
Married,-90.1733082089051,-55.51779220862686,E,194.02467253287097,91.6037001341837,A,B,B,0
Widowed,-55.92677583671496,-85.45979236627032,B,-29.88011942789603,-39.80959700006687,A,C,A,1
Married,-107.15026716512416,98.43886076515047,E,-117.52300255628086,80.80343510975806,E,C,A,1
Single,-160.90492154526598,-48.27603244977477,B,31.435406688136446,72.29041041416706,A,E,E,0
Single,88.54552355832124,262.2424413141077,E,0.47451793828136907,-192.33798416822694,B,C,E,0
Divorced,64.92327925986967,-20.769038053491954,B,1.1387182009321613,1.5756728486790006,E,A,C,1
Married,8.061434887398452,31.03429577372454,C,44.97149647059499,-94.41112849091105,C,A,C,1
Married,-29.884673106032256,89.26770029068282,D,60.01454790018255,43.060319740812425,E,B,D,0
Married,-62.77069343212594,-2.195534619285867,B,85.99458226391377,-14.338463762387226,A,B,C,1
Divorced,-19.962319780322517,-142.17494091017207,A,129.3927958008538,-44.73270856410475,A,C,E,0
Married,-94.92525496216854,-72.23873953858842,B,-37.69334199605021,140.28565687144393,C,E,E,0
Single,131.8895452459586,-228.67706647048087,B,16.533397430761408,59.26467082448757,A,A,A,0
Married,151.603708057392,-86.66676636162128,C,28.801252539390664,255.22862277986263,E,E,B,1
Single,-90.12126404416738,95.65501896727184,A,45.79696206786945,-65.1365267195994,D,A,A,0
Single,160.21131314869967,-85.78641070824673,E,-109.15506807273651,3.6013220897669034,D,A,C,0
Married,28.519464850607267,198.69621495787334,B,-99.9092548451506,-12.679290045065738,B,A,E,0
Single,97.12790843524559,117.3763129656308,E,-3.2003015760952747,186.5839812041175,B,B,A,0
Married,286.85869251285686,-7.482155608560155,A,97.8107863862306,214.35568507821108,D,D,D,0
Widowed,-112.06790175332169,23.893005616590145,C,-26.141282398312143,6.187712761330473,A,A,E,1
Widowed,-225.88060372028926,43.60603539466302,E,-127.32369709936337,104.36303350809087,B,B,C,0
Single,1.8455887316026738,-19.9963484644884,E,50.18333835624118,-61.877299946705946,B,E,B,0
Married,-133.74618122491856,101.61084128551079,B,52.64752304252731,43.81161107543622,A,A,B,1
Widowed,16.650917882287448,-13.049298564015416,A,70.46896268354402,-11.500904239571904,A,D,E,0
Single,40.68337800789866,279.9360766453101,D,61.15875625004939,-36.78500491163913,B,A,E,0
Divorced,-39.012071534386614,-31.13255699055924,C,-16.739213515920937,94.9020287553941,E,A,D,1
Married,61.27855133010461,65.30822477246497,C,113.8203786132711,-9.922066852598437,C,C,D,0
Single,-21.22897195734922,-125.97301223545753,D,356.32579009493816,-137.54409407118126,E,A,E,0
Single,-8.465708221504242,21.84909518167153,D,-72.83226201235695,-13.080202332149696,D,C,A,0
Divorced,155.4805163209269,19.691819050661564,A,39.88985930581002,-40.791850807498705,E,E,C,1
Widowed,66.5108191623997,6.282680068064043,D,-23.898655157142436,31.726218736192685,E,D,D,0
Widowed,-72.00111376685058,-35.550322813089345,B,44.30804907418406,-26.475856426807333,D,B,A,0
Divorced,-58.0895748166656,45.65935339613105,D,-6.425320482454625,13.20529608487705,D,E,C,0
Widowed,-138.50155303272584,71.02478277816635,B,22.90190840032556,69.7338062854294,B,B,A,0
Married,-7.257811810868662,-149.71189635088948,D,-41.56644096258022,31.28245293432427,C,D,E,0
Widowed,-196.09415386701593,37.487523832745076,B,222.4135811027959,35.11127273816785,E,A,D,0
Widowed,-28.192979714924455,3.2454728316082417,C,5.542342361480825,22.435929303946438,D,B,C,0
Widowed,-24.33064698149922,51.152475176560365,B,64.81513150434654,-68.44185614341916,A,C,E,0
Single,4.5809647724033935,54.60948870544161,D,-71.59854029637572,-281.46903238122263,C,E,B,0
Married,-62.01807862473413,25.172139719568776,A,-41.456473592370166,-20.89679928562786,C,E,A,0
Widowed,-82.06430347609309,-131.2320198606755,A,-174.37085612049762,139.5520191650637,C,E,D,0
Divorced,108.20934153947132,35.973859132137434,D,-108.94202564094356,-66.37719485154948,E,C,E,0
Divorced,286.0996075985215,-48.26748017152722,E,194.78175968099868,83.54385878784359,E,B,A,0
Divorced,34.39654593855022,-137.26358742188594,D,56.541833810645215,-77.50694102724968,C,C,E,0
Divorced,-85.40712267780336,167.52417264504982,D,-20.04140538775677,-86.58470006362957,C,E,B,1
Married,18.9256609644058,-201.38078599879324,E,73.10981890279416,51.78992628046737,B,E,E,1
Single,-244.1373409100008,-106.51945950737343,B,-51.610418990606775,-11.782054965633346,C,E,E,1
Single,-107.73672625875565,-30.224814644508303,C,35.352157547285735,-51.695589995647694,A,E,B,0
Single,-42.433380160753295,-43.1279561577134,D,13.949716519073055,-140.75161705559785,A,A,C,1
Single,127.92288246856496,78.84423045225194,C,-151.4239507131067,-69.68870527878148,E,B,D,1
Widowed,149.44102178156155,-32.55016850935108,B,151.3108289361029,-5.171412936021801,D,A,E,1
Widowed,1.6881585664673466,-259.0202113382469,B,21.207928680282677,10.96881210479976,A,D,D,1
Divorced,93.28593917067832,-99.93965610918508,C,-190.54495619681356,-103.53022675449608,E,C,C,1
Single,92.79386160664713,-16.45478210779139,D,40.27991312743035,75.33987757284153,B,A,D,0
Widowed,154.84031032202273,87.99108725715773,C,-92.00327521027721,-94.68735753851907,A,D,A,1
Widowed,-15.163468634432443,77.08943309056599,B,11.295215253492035,40.667012571217946,D,A,A,0
Single,-122.5496688966248,-55.11840930150341,D,-11.7827226320328,-23.206143506465004,B,C,E,1
Married,-74.15902117736611,9.867859715303911,D,169.64397851640533,-66.59386403137646,C,C,A,1
Divorced,-180.2921467208261,55.20905079220242,C,64.76767973654448,296.3874810141737,C,E,A,1
Widowed,86.83015666634059,-166.48636586079812,B,53.441400480434055,-58.444130799992486,B,D,C,0
Widowed,59.008956066001225,178.34681160701146,D,137.2726814591352,84.6026592321217,E,D,C,0
Divorced,-83.86966129618426,1.3017916347851046,C,-72.30776832653262,52.10047260741754,C,C,A,1
Married,4.308838053854068,154.64499089809925,E,2.433915106837062,-138.478948673587,C,C,A,0
Divorced,-153.63656281785993,10.511853761309863,C,-71.32778568215691,32.502563917572786,A,C,D,0
Divorced,104.26794791170471,-1.0149660233121152,D,-62.28180168133516,56.74432738364259,C,C,B,1
Married,86.14362522221953,-26.47361951259081,D,-191.03837526834528,72.02182868792046,E,E,B,1
Widowed,177.14718388796445,-191.77342697318224,B,-131.83530250194153,-74.63374669953478,A,D,D,0
Married,-34.65525856572233,34.85879921995023,C,0.7075464108047349,92.20916018387565,B,B,E,0
Single,17.77937199413585,9.634508350785097,D,177.2244634500436,-53.879000789314404,A,D,A,0
Single,-34.06632261527509,11.115302863066795,A,72.08496681468367,-85.76730623651603,E,B,D,1
Single,-64.53740887015464,19.035750023060615,B,58.01816152551935,117.2258474562004,D,E,A,0
Married,-53.48517903171134,-22.639065002468943,C,99.17618156083682,-162.25579996099404,E,B,B,1
Single,-147.5297270881081,-78.80767445214303,C,-30.903387749867395,94.07717927023211,E,D,E,1
Widowed,-269.25102665027964,29.922113842131893,E,31.44506761854831,-41.31852441362305,C,E,C,0
Widowed,-135.59796553253426,-62.69307366021757,C,-95.68134505003188,-94.15200059103542,B,B,A,0
Divorced,-145.63862677340927,-72.4441978961839,C,-131.92251833720613,-0.4398332477751719,A,A,E,0
Married,61.458911949180184,-34.02693500607731,A,91.4183861973635,73.34923952968538,C,D,E,0
Divorced,16.96342256454421,-75.04209697115898,C,-125.58366564994736,38.72863511990366,C,B,C,1
Single,-93.84773144518633,-37.7322983107009,B,46.08503394220413,-330.66327250747077,C,B,D,1
Widowed,-84.73367724692145,-142.24159644051522,C,-23.549198630253887,7.545247053270766,E,D,B,0
Widowed,184.17587195552278,-153.13725430247905,C,-19.722099446147748,105.07158412248047,C,E,D,1
Married,-249.27121559605746,25.53367055901596,A,78.36151931583845,95.06365995652463,C,C,B,0
Single,15.316443227185728,85.57084072686722,C,-146.07474500165046,-81.41124960861927,B,E,D,0
Single,113.42520515161523,-271.9095236054994,C,-122.3987713972625,-43.68552980794518,D,D,D,1
Married,-44.38514703760769,-45.24102820041298,B,38.142558554126225,-123.00992514621882,A,A,B,0
Divorced,58.98014698559305,92.76736891918782,C,0.8986408727760375,32.78620596418922,E,E,C,0
Widowed,-58.352145054484595,31.279094219208687,B,81.49902028920334,-33.56009923361685,C,D,D,0
Married,-36.99409258978738,-6.905258350643723,B,-7.939162324527584,-91.49448882722525,C,B,B,0
Single,-53.02628452951899,-200.10916057943652,C,-229.2455025099938,12.872254970976943,C,E,A,0
Divorced,93.55708958405118,80.99788589086396,A,176.55767405440804,-1.9712232239985101,B,A,C,1
Married,108.66004735679749,-47.845485511552155,B,181.5718249535503,80.01542743304687,B,B,B,0
Widowed,3.534140397472632,-118.47289360908506,A,-30.461580209529565,23.18938256823022,B,B,B,1
Single,-34.56263889278407,-184.71730531000313,D,136.99161137611515,42.14872305658742,C,D,A,0
Single,74.58235807954715,134.41518970384195,A,155.82157679945368,44.32725346335113,D,B,B,1
Single,61.8602560410528,41.13271455793954,C,184.96650553907278,-141.42484934764929,A,A,B,1
Widowed,-85.58576907067955,-32.60151809737411,D,77.36357532009468,-81.37062916779934,A,A,D,0
Single,39.79183118700526,231.5256369572853,B,-73.4168950712829,72.13986760268648,D,D,D,1
Divorced,13.599079373158723,-24.81415728209603,A,20.335719945048538,27.29957418070359,B,D,E,1
Divorced,45.35507776015556,-28.85041834160052,C,-32.00211720686474,20.354811711026958,E,B,B,1
Single,-40.28166071867028,133.0780780606026,B,42.54476132035805,-112.12165971381422,A,B,C,1
Divorced,-209.10871231813434,16.440971280440515,E,142.24845599801935,-65.79642104458863,E,D,D,0
Single,-31.306942411821037,-19.326974142570883,B,-3.0876713036481513,36.249195753203836,E,D,C,0
Married,-85.95636625771276,-118.22547929194474,C,-15.76470943664456,99.945389159249,A,C,B,0
Divorced,-33.59695991459985,29.500416759470642,E,-160.02950728511448,23.13615178902316,E,E,A,0
Widowed,33.78628737989287,-47.170532879921744,B,97.54355052087654,-92.36823248301197,E,B,C,1
Widowed,84.62538307917448,-206.10228859310106,C,-54.950454262373164,-69.69875929562836,C,D,D,1
Widowed,-149.28164014600435,134.3406878298334,B,137.68034476074286,100.60340820316245,A,C,A,1
Widowed,56.523190219912536,-32.0999600447771,C,34.06157596656894,-0.006195646019690792,A,C,D,1
Widowed,57.77585817818937,-67.59133636619076,E,1.7995633598042418,78.81298374744394,A,E,A,1
Widowed,125.40518793232782,31.99314310006207,B,-48.98883088165388,198.03690616719797,E,A,B,1
Married,16.899160967062908,89.84591165690715,A,-168.68799194252932,49.50455536774287,D,E,C,0
Divorced,24.40279565014522,64.82747710595592,A,-11.613929814963596,-159.85525370508378,A,C,B,0
Divorced,-59.572395658140664,119.9682377012885,A,-173.04360926974505,-52.079553232284745,C,E,A,0
Divorced,60.03079179038242,-76.0434696550634,D,-5.032569699429052,82.49634395712565,A,C,C,1
Single,211.54277467164272,-41.99313748304936,C,25.86675883976483,-46.61395879805014,D,A,D,1
Married,-41.840535624986565,-49.37954674584365,B,156.67398269608898,-149.5856803587068,E,A,A,1
Single,0.6160411127212286,27.42188895063893,B,190.69931666277105,71.87637314529204,A,C,C,1
Single,-2.5816444510785934,60.404350525843576,C,-147.97839802684393,-49.134084990800346,D,A,D,0
Single,99.56233306583862,-79.19140539387827,E,-9.54560329700535,10.748422998428625,C,A,A,0
Divorced,-67.51084856839587,34.606702518675625,C,114.78661684255191,41.13845610927665,A,C,B,0
Widowed,39.13563885385902,-166.08804862271435,B,-97.9927206995944,125.26936279974021,E,C,A,0
Widowed,-77.29118561663641,0.2712700144369001,E,-44.06227918058052,-60.75625178098558,E,D,D,1
Widowed,-114.20811079342354,2.8634134357684475,B,169.55837418485618,-83.10939567239882,D,A,E,0
Married,94.4011740490968,45.602980064096116,E,113.94576760807776,8.289293928021847,E,A,C,0
Widowed,-151.8299971217825,35.00305552020241,B,1.7740153310505133,-48.33671772884825,A,B,A,1
Single,107.6550543017506,152.81287143603896,D,21.629566861101544,21.46150317582223,A,B,B,1
Divorced,93.24247788615983,-224.9672016099073,C,-152.0098546820671,65.91678471816628,E,E,B,1
Married,-15.716458773388595,-71.1412511228566,A,59.15409548879431,122.277355781176,B,B,E,0
Married,49.11273812819838,-90.28886934417741,C,83.57431833325037,-83.02734024804856,A,E,C,0
Married,-96.3859878047708,-86.07908146151641,B,48.24180772317194,-35.22758160555434,C,C,D,1
Divorced,135.04277283636506,-46.36029814787353,B,-161.00591556764223,-42.26620629101962,B,A,B,1
Widowed,-186.9476256410464,6.417264434770916,A,102.13361027131309,-139.2500115423056,E,C,B,0
Single,87.80074698628788,-77.78246396317921,A,50.13658876034821,-168.54883152193622,E,D,C,0
Married,-77.04601001276481,15.057201619265175,B,-31.71035056009349,55.46909567046476,E,C,A,0
Single,63.422909816203855,76.57952099642785,B,-67.88561023979611,155.90276565179255,E,A,B,1
Divorced,81.7031380218786,169.79361418922002,D,-92.92771453854634,-201.4918672622258,A,C,C,0
Married,-3.0579291074400925,-256.4905549448572,E,141.62659743522062,50.86988764097099,E,E,E,1
Single,-12.471193600232255,55.921460664736045,A,19.333421817468345,-71.38785438285038,C,E,A,0
Single,-107.78435419695553,-9.553499069839939,A,-71.86956650385994,-96.89563597746547,A,E,E,0
Divorced,54.48067474371457,-42.17650152540605,A,145.03991131174368,-95.68006177508265,B,D,E,1
Divorced,-7.604481060253715,-84.4930548995411,A,82.81209174598933,182.75791168683423,E,B,E,1
Widowed,106.07480507617338,1.3162578588681175,A,-4.042275416905674,45.03980064609491,E,B,D,0
Divorced,43.65617816000087,51.70277259048478,B,-51.9196779988829,86.57016239776765,D,B,B,0
Married,191.5680228550893,-37.918427579086,A,-95.15422018535374,114.34029747302372,E,E,B,1
Single,-123.30774581436653,-145.61410245202268,B,-218.91782121331667,107.29969795773764,B,B,B,0
Divorced,-89.08008221968079,7.265934479274984,C,-13.629032083443212,114.93339747379258,E,C,C,1
Widowed,133.5451936635967,166.42019783654877,C,-53.27574367621401,270.5192479606957,B,D,E,1
Married,-76.20533032026924,-210.4137476135282,A,-12.82386957983632,221.32017923996332,B,D,B,1
Married,-39.61135230752937,49.70588678880931,D,4.177037372469624,48.48022819236187,E,C,D,0
Single,-110.63430587345766,-106.84271570660069,C,-21.01647836760174,43.54703420782197,E,C,B,1
Married,-87.31882628769034,153.17233329418934,A,-92.82609330060615,-72.33380787289504,A,B,C,1
Divorced,-98.43188209582107,3.6397804121973314,E,-47.0211501102236,23.28336944464784,E,D,E,1
Married,37.47092898952878,-19.61278434029878,C,44.04030573975789,137.9845239008599,B,C,B,0
Widowed,13.185986337604769,-0.9453745291196589,B,134.014591343848,-197.106546199518,B,A,C,1
Divorced,212.82775393616777,-27.836950080957372,C,164.71426450259108,137.18688581692692,E,E,E,1
Married,26.930353378209553,90.39562294702968,B,183.93553522070835,12.522675633993602,E,D,B,1
Divorced,33.627843879083464,-39.13191957031849,E,-56.46983095547827,-109.67757905222746,D,C,A,1
