ethnic_group,Gender,birth_year,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
African American,Male,64,Bisexual,-10.450627946868146,230.21335765768129,-127.43250443830524,97.51922354348326,A,178.51612029836932,1
Other,Female,62,Heterosexual,-44.01852356470688,99.77002193583424,-219.0697763764363,89.16150687128585,D,16.98916143456369,0
White,Non-binary,75,Other,-3.605354437235844,-188.7571260703376,1.4948888818751722,-124.01582809076568,C,-130.6745441818291,1
Other,Other,49,Bisexual,-130.68473615054828,-28.171579049348434,0.8748864107572474,-102.35072274907166,D,-54.940331742714655,0
Black,Male,68,Homosexual,-34.30372146916938,-15.93496119220015,15.67617932921112,39.25052334129761,E,-30.37337196703966,0
White,Male,65,Other,44.58219095709456,58.86913039309866,-158.4732390336193,22.75811957907487,E,96.87016124327859,1
African American,Female,49,Other,-172.35053138436317,-166.37201333468565,-81.71182897797145,60.586238864961075,B,173.13794683926588,1
Other,Female,20,Heterosexual,-110.14866827238879,208.7958736065556,115.050928439697,4.655519005111735,D,52.11098443339984,0
Black,Other,25,Homosexual,-105.77262687026574,35.023300583248016,65.29677993908506,47.81877363633781,A,33.95450393138645,1
Hispanic,F,57,Other,9.9557664146996,-56.98380261789669,-39.31139512082098,10.532309948035309,E,104.70301421504142,1
African American,Other,45,Other,50.75174229995224,-79.69181857516142,16.63075731923301,-27.115086592111314,C,-107.32608942185398,1
Other,M,47,Heterosexual,-45.921278908693544,52.07308913541993,-38.44552117754348,4.610826413799582,A,-78.53930764869034,0
Hispanic,Non-binary,61,Heterosexual,-20.81682303135275,-24.76227583598214,78.58464945073487,-97.36633047012872,C,8.754932865800177,1
White,Non-binary,55,Other,47.20726011727757,-58.46602092709177,47.09468998544656,-22.622698319058202,B,-169.3914757440059,0
Other,Other,48,Other,167.1343673340017,-184.60078649959698,-59.82385775356936,363.20001987803323,C,-122.16700546754883,0
White,M,56,Heterosexual,211.94039750154178,122.95523572254088,38.9781316967367,59.17476758321316,B,-11.433581859132499,0
Hispanic,Female,72,Bisexual,40.62657555194233,-1.45088300330283,-91.68362854117925,-48.525241174746334,C,50.30588423147112,0
Black,Other,46,Other,233.41232719215773,-2.3518920867461652,-16.881040395110904,23.096521054217323,C,125.70282313552362,0
Hispanic,Female,24,Bisexual,-106.97094459788299,208.28720833828726,-22.456504672120104,129.09986751942267,C,13.824692358730346,1
Other,F,65,Heterosexual,81.10382327351397,209.45492664356783,48.27620804895865,-77.42582220626007,D,-59.83132977863498,0
Asian,Male,38,Heterosexual,183.6789061860957,-62.93196051725174,-84.59427866788263,-211.4730484657929,E,-64.75514061847085,1
Asian,Female,53,Heterosexual,55.16742143257244,160.60732886657996,230.120302495123,190.1876267735165,B,-110.08439092771229,0
Hispanic,Male,75,Homosexual,63.272070599537585,-213.54012843419176,-214.45331115864815,-13.654761366167584,A,-41.50926005587951,1
White,Female,42,Other,-83.62251768386362,-55.470669001907034,-54.45055947763028,4.672488098627957,E,-113.22796114073626,1
Other,F,53,Homosexual,-57.91591689880495,-165.32627400256453,30.84898773804231,-142.01545316323444,E,-130.50437929999563,1
White,Male,48,Homosexual,112.78639492510993,-60.619177677422655,-75.24682841949361,-172.33828956887703,B,60.28934728523715,1
African American,Other,50,Homosexual,73.9308401420444,179.78026247156149,-98.41021291437652,-78.24641122110881,C,-61.19138586398726,0
White,M,24,Bisexual,-30.391212125048334,-125.00710637395089,-81.31328569430198,17.27043714844957,B,-84.30895903394241,1
White,F,22,Other,-44.01386368531192,-130.04150107447816,-19.860658638298386,-49.70648662659146,D,-140.9974958975131,0
Asian,F,18,Bisexual,79.48477129192722,11.032277731755027,-87.28376057468763,112.13856637778647,B,33.75130891849294,0
Other,Non-binary,59,Other,3.687029513708823,-8.745421617603172,131.1522935212031,154.18865740126563,B,-102.26607204131359,1
White,Non-binary,38,Bisexual,-28.507248879700537,-57.276775427796544,93.88293966006293,45.378274274211876,B,-59.22706948049816,1
Asian,Male,26,Homosexual,-224.52211281858618,-241.19498119693827,108.33507767493924,-75.46473898807194,B,114.21258600959654,0
Other,Non-binary,23,Other,-170.38574068116037,62.966878274296,-22.33653918543642,11.371538888436783,E,164.76535600217443,1
African American,M,54,Bisexual,-7.960822803222315,94.28645621868564,38.527692401136726,-22.73705888484277,E,93.72242519371167,1
White,Female,66,Homosexual,-20.67424030087504,-74.89607203215918,-154.67440861929435,4.498907834231839,E,152.11010911218608,0
Hispanic,Non-binary,22,Other,53.55139079187104,-137.78232749762287,-111.49717775697621,72.85238031787102,D,-4.675130972296509,0
White,M,55,Homosexual,56.292216340945664,26.389953897087487,75.81258945433133,102.60583302163519,D,-130.58890320422543,0
Other,Female,29,Other,17.609525862201448,126.64205425763309,-7.130285732766013,31.585050258346225,E,-93.93295104740557,0
Hispanic,Male,53,Bisexual,126.18727605614527,-67.41622515252845,-190.14846042659076,-90.58534737863474,A,-20.126807772635274,0
Black,M,68,Heterosexual,-142.57231548125796,-132.10015945089347,-61.19345229728687,-89.81106720825117,D,-33.48563230521103,0
Asian,Non-binary,44,Heterosexual,158.99433214664145,288.32742065256525,125.39650312869561,158.9258728450293,A,-121.63555987761916,1
Black,F,63,Bisexual,-6.717761489585232,125.13937758387364,16.979913378097255,-75.26767746932505,A,26.812951731393582,0
African American,M,65,Other,12.569518914398909,-63.375245069796826,-16.53635411494601,18.02822409101471,E,-3.7206211316961912,0
Hispanic,Female,50,Other,-0.22240973571676986,-262.4812058020263,183.2661927405976,-39.90600119044279,B,-28.880740254613336,0
White,F,25,Heterosexual,-31.614373401877067,128.20212115067835,35.93037225764502,47.39391222088019,D,-20.916868688423648,1
Black,F,23,Heterosexual,198.34921460393625,24.289839617795533,176.49608445508457,-72.82703064565521,B,203.25986098089462,1
African American,Male,58,Heterosexual,73.83143635317211,58.10315756851767,-67.93007444277349,-57.484963372779504,D,-137.03558862843684,1
White,F,75,Heterosexual,117.41411887313929,-100.89903976557699,-65.34424446108284,-123.59265751936626,B,35.544825468012355,1
Asian,Non-binary,41,Heterosexual,162.28105134519984,71.92044157696556,-123.22106186390258,159.93887907046954,A,39.50962061419142,0
White,Other,64,Bisexual,197.28347329464268,12.552014865960507,-63.460425521369025,167.54295222176646,B,5.633614069267006,1
Other,Other,25,Homosexual,-81.58469043444731,119.41857112771046,172.68711920111036,-61.104975244311056,C,229.00363167040786,1
Asian,F,36,Heterosexual,74.95384179854538,58.38634510308385,-32.52671919470549,-96.9111435366926,B,170.39681922242406,0
Hispanic,Other,36,Bisexual,-6.439009411824944,64.90380905189733,-90.2685431723889,-187.01826272210636,D,-38.03633346857531,0
Hispanic,Male,22,Homosexual,78.03028183964304,81.6931579456108,86.42575878995807,43.5520099979294,A,42.17677013894372,0
Black,F,55,Bisexual,64.32744264252375,-69.89450339217665,-62.02084602749619,-107.71771806983588,D,109.43602270163578,0
Asian,F,59,Homosexual,56.18203652366465,-35.70587976984739,-162.56445576190035,-16.116281142655946,C,-14.411520065826892,0
Hispanic,F,27,Bisexual,-41.22761350554649,22.042185224206943,223.31890816439883,-261.5057242375864,D,-3.006254627557787,0
Other,Female,18,Homosexual,145.6370734099264,-81.81164054856693,132.28573417177574,182.78274845422428,D,-57.145460170262496,1
Other,Non-binary,42,Bisexual,38.82923368891834,-73.14074376131911,66.00226321811967,22.61551181013598,D,75.77920967996583,0
Asian,M,48,Heterosexual,-21.175948245637656,0.23538738098343495,-49.79436307470419,171.13433233870958,A,-27.707082625888003,1
White,M,64,Other,-15.710845735653155,-29.802145489585996,-60.06921861137515,131.94188538654316,B,259.68451221011196,0
Asian,Male,68,Other,-57.5721242633407,-147.244165387105,90.14457587585173,8.793806691087338,E,-0.9787216267693044,1
Other,Female,43,Homosexual,-37.33028240788318,-1.3220138943505975,-138.26530748528404,-149.44851818600085,A,0.10620738803264226,0
Other,Female,62,Homosexual,-34.48664279508244,-140.30632479301462,-7.9282586490017755,42.986557292547424,B,64.69384566022059,0
African American,Female,45,Heterosexual,86.55943733371956,146.39131446011146,149.9031397545521,-125.6688393950417,C,-125.12804957943733,0
African American,M,41,Bisexual,57.46975859345471,179.09636326071495,-18.621578009331603,35.80695789816649,B,-141.67846337595716,1
Asian,Male,67,Bisexual,-57.06893995891913,17.570195744042174,-48.63933459110484,73.03794546706635,A,164.1718833828367,1
Hispanic,Female,52,Heterosexual,-45.77037133594816,109.19715179330187,243.5143891868038,114.82685199880436,D,44.77100309252315,0
Hispanic,M,25,Other,-188.512880537075,78.46732665019496,18.661814318961927,-125.00601771863245,A,0.0080109406914128,0
White,M,64,Homosexual,6.052960709451419,-18.81282800101479,5.306548198681214,-36.929498115324485,D,-78.44799920739649,1
Hispanic,F,71,Other,18.128506090447626,2.650856756382663,139.8847189111083,-36.03606844148121,E,-153.48346716008854,0
Other,F,60,Bisexual,-149.32421318945282,-14.907996369355727,-29.88355732982454,-61.46547863252441,C,119.52176804525246,1
Hispanic,M,74,Heterosexual,-33.39031182120285,-51.85954714269935,-57.102366985118366,-197.44511955166496,C,111.93435496199741,1
Black,M,77,Heterosexual,-56.38751847922057,-70.56551682111507,-67.844777509241,15.779734329689393,B,86.69694633215241,0
Hispanic,Non-binary,47,Homosexual,41.14098507715565,-5.364531128637169,-8.599162860097842,0.02335693391342,A,85.41366339153424,1
Asian,Other,48,Heterosexual,-106.80377144521098,32.715315351537555,-34.855621589610685,-64.24189745771062,D,152.6999647917067,1
Other,Male,37,Bisexual,61.41739424341043,34.14429252430438,-130.0574808364471,-66.37626244573548,E,29.016507438644172,1
Asian,F,60,Heterosexual,-97.47318608331493,-2.307908649044955,47.90760050373198,80.77616803464433,E,-3.6707615368273676,0
Black,Non-binary,52,Heterosexual,38.675398395661595,-19.38060663522232,-75.96109870707717,-159.96868273698078,B,107.88381146000066,0
White,Other,74,Homosexual,81.29630404399913,-70.69591878027454,-104.45237817349525,31.866906243887712,E,-59.53533878464681,0
Hispanic,Non-binary,71,Bisexual,192.2344305777246,-6.332166139338202,50.30094949325385,-10.82932587704433,A,4.09625677158527,0
Hispanic,F,45,Other,64.75760660930509,-29.43994057476734,-117.62389546271044,-5.113960143831695,A,-272.21736157856117,1
Asian,F,51,Heterosexual,143.87339814829016,90.75970632532348,219.00231824592197,30.761294946375017,E,156.3295723874477,1
Hispanic,F,23,Bisexual,-102.4069675787225,0.8077968306612874,57.89379149376978,66.71145889313384,C,-49.30275532784555,1
Other,Other,26,Other,15.725036705342617,-74.8578383306336,16.69063571023877,-26.5435403157902,D,91.33829358365455,0
African American,Female,36,Homosexual,76.33353408072865,12.7620285980615,-30.748924359800313,44.457677775576556,E,-13.575525784752843,0
Other,Male,73,Bisexual,-106.79251633995133,42.025563423959774,1.9962582715374106,-188.24235487623326,A,130.7253470515403,1
African American,M,20,Heterosexual,-83.07907455343823,126.7858075953052,-26.892603181942903,9.155251351100397,B,54.02705527512366,0
White,Female,43,Bisexual,62.67979888542511,0.4813873769320486,199.7647187310453,14.645367263444564,B,113.93543534882909,0
African American,Female,76,Other,-36.52224638382723,31.78856622283741,12.926723661097938,-115.48924816754769,C,-97.11178004476244,0
Other,M,53,Homosexual,-130.6294565152181,42.69658495324528,-4.002946452932877,-264.16821439571856,B,8.191186123766363,1
Other,Male,69,Homosexual,-3.5438203237500363,94.98006815722417,150.09944743465576,-90.09504119930564,D,-68.78772764038716,1
White,F,36,Homosexual,-215.9108446076441,142.85026495634472,91.73119070092027,53.5105838220556,C,-151.3965039489963,1
Hispanic,Female,71,Bisexual,-54.045885122690905,25.826108867261816,-66.60843736479897,-270.0048401942381,D,-78.21981623201691,1
Black,Female,52,Other,86.9888154008562,163.44561143235723,-54.53493359452952,81.1968559445436,D,46.76475729787989,1
Hispanic,Other,27,Heterosexual,-2.582961145944742,-1.909417933309219,66.45983817346382,103.48075486082993,D,14.164734116040933,1
Asian,Non-binary,52,Homosexual,-153.2202827181313,102.34822913353005,-107.40593773702088,60.64415508083988,C,155.68193867249784,0
Other,Non-binary,41,Homosexual,-32.10895444106601,26.867965321830518,-28.18075947229637,230.92067299391007,C,-169.89420135770726,1
White,M,31,Other,42.195867044474824,-208.11775675990165,-28.65438933032156,-61.447040308545944,E,123.6190681763965,0
African American,Male,79,Bisexual,48.629380628252854,-64.44956250161586,-67.24267909803834,-77.9474090899954,B,-29.697191230538223,0
African American,Other,77,Homosexual,-19.864536175461236,-73.39030566608055,47.43117489519046,114.0663441072753,A,-1.1669861082816744,0
African American,Male,51,Bisexual,15.495967702116525,-22.923141535086536,-99.01300753147756,67.63461486221406,C,-131.6945499179553,0
African American,Female,67,Other,50.70319122679523,9.588938020619576,-91.54700655847388,69.70980448224053,A,-82.86318380464395,1
Other,Non-binary,73,Other,-108.12648413205615,64.1350537472467,71.60051764835617,88.61402248794673,B,-49.34437338745755,0
White,M,38,Heterosexual,77.54391281040117,-32.0339666938054,-60.20107950909127,-48.267040057048675,A,63.378635489558235,1
Black,Male,48,Bisexual,-73.79112716695931,-12.257297838728423,56.02832725525314,-37.09099536580693,E,-51.12903894248612,1
African American,Male,67,Heterosexual,-2.2588739536635036,-73.4550433832785,31.635803112750427,44.3145027577818,D,-44.0402686653633,0
African American,Male,26,Bisexual,104.31114849996553,-29.061297130911605,122.95453383855532,-18.896676908334744,A,-40.22449624918834,1
Hispanic,M,42,Heterosexual,-1.7029117142168106,-9.399915358069688,-46.6454703956092,-59.842477296935236,D,188.08886667337106,0
African American,F,64,Bisexual,-134.29297366603575,-5.8557902194098626,201.5037444380373,-1.16239055488926,C,1.7127928080940966,0
White,Non-binary,64,Bisexual,-28.097411937106852,83.31674679833641,-305.6484178393856,138.02370777026783,B,-79.86634627337294,1
Other,Non-binary,59,Bisexual,149.6650895748799,11.017755650339216,32.223497964909555,67.74241604911559,A,122.39754962399441,0
Other,Other,59,Heterosexual,17.097572792626806,102.19033858491353,-19.39251206724195,81.8419677869582,B,-11.256281166890075,1
Other,Other,39,Heterosexual,17.339398294094146,-146.71531289684336,123.6063685860415,-210.9162443238077,D,-13.550032498624159,1
Hispanic,Other,70,Homosexual,-101.12346704856377,115.21305850516642,167.29935960139372,30.881697574015853,D,-124.32378999277651,0
White,Non-binary,50,Homosexual,81.77584187895602,105.87599826242284,-11.58102979893882,-149.88758371759505,E,-81.46142984704264,0
Hispanic,Female,22,Bisexual,-8.869065226991934,-52.714372291142695,-51.01281307002036,-154.32408058387216,B,111.35077817622847,1
White,F,67,Homosexual,-31.479855324527627,36.15999252923768,122.59139419667355,-36.575077657029524,D,-108.05983858633373,0
White,Other,19,Homosexual,2.181214167194337,197.97247388653025,-167.08585436561816,-30.7676613790977,E,-35.365044553893114,0
Hispanic,Non-binary,41,Bisexual,-243.17052523783883,121.7547140383021,10.032989324292231,-58.111046557541655,A,74.78091302124177,0
African American,Female,44,Bisexual,-78.90502066373305,-167.64603687208958,106.53536185819823,-105.8102355826266,C,27.625834876181937,1
Other,Non-binary,35,Other,-128.06950874541155,1.936853485974248,46.49518091631225,-211.79561490534354,E,12.35980122273047,1
Asian,Male,40,Other,-187.7687917313433,171.1427717448743,46.598928455409066,74.1366759553649,C,-78.11272755452585,1
Hispanic,Female,43,Bisexual,99.2189535394434,-44.808625771806234,106.04680825659796,-148.41537325854864,E,-119.90005142421192,0
White,M,45,Heterosexual,29.483473376476276,-182.27228333761184,-45.116818504153244,-181.898586115276,D,-110.04684503664772,0
Hispanic,Other,47,Heterosexual,-12.688099401063557,-288.9016276621605,-21.071743299833486,-42.749757720142284,D,-50.750895929961374,0
Asian,Male,69,Heterosexual,25.892542753375125,20.968519423436753,-114.10730467190002,30.036879675778614,B,-61.485380687342705,1
Hispanic,Male,44,Bisexual,-15.293766412681359,-107.51524525177621,-101.59690344364381,-26.759370145692895,E,-10.010685682478641,0
African American,Non-binary,75,Heterosexual,42.23698641387771,-261.0148498474254,-42.9314615365404,-150.79115609790634,B,79.12262941978126,0
Other,Other,19,Homosexual,75.16635567088396,-218.8879288311408,96.56075656142104,-102.29911837633682,E,136.40603392577415,0
Other,M,48,Heterosexual,-20.284704021596678,99.59376036905874,-27.364433273651308,-18.308539888778487,A,-128.55387215653684,1
White,Female,35,Homosexual,-58.059596655455515,-27.013614603903214,-70.71965118574802,104.73849868729219,A,13.525093637976443,0
Hispanic,Non-binary,34,Heterosexual,-114.36977379711011,-100.41537905555633,39.05418537967209,133.86389837315437,A,-159.2439423375036,1
White,Non-binary,25,Other,194.97297760155558,-73.50267730946199,-27.15062450800838,66.00486826002829,E,-157.81528328529438,1
African American,F,68,Bisexual,-44.43113309987408,13.900182760322924,-118.86371824456322,44.85997302606637,C,-55.44741072965523,1
Black,F,62,Heterosexual,-75.49959691437319,12.944902806560924,34.57412826354718,-55.53215687201095,D,46.455979259715384,1
Hispanic,Female,77,Homosexual,32.017873684074765,-4.433096661465567,-32.11152331993152,74.95988935466224,E,114.71913666027736,0
White,Female,22,Heterosexual,48.07247356740347,6.574356408334816,7.435657345331478,22.929988256165593,D,48.493565619523594,1
Other,F,63,Bisexual,-137.94958091850688,-28.375927632693614,-32.3834210293594,43.28417039623388,A,-207.93232596235646,1
Black,F,44,Homosexual,-251.06963327424302,128.4689091475546,-80.22465490305257,3.1379757494798954,C,106.51554256374433,1
Asian,M,32,Homosexual,116.76150177024272,69.88694102489355,-104.44618661307348,87.06346377418176,A,-79.33117039079188,1
White,Male,18,Heterosexual,25.561032733274008,31.363376932881625,-62.73011450174123,-66.85768762792182,C,-12.835058862054339,1
Asian,Male,44,Heterosexual,-10.259135732151437,105.67653807804783,-22.737701589929728,-71.58700445179818,E,52.606792078373374,1
Black,Other,75,Heterosexual,83.42184326969871,-114.26852406078636,-18.722224312737698,-6.071692578488728,E,-65.51972827771631,1
Other,Female,41,Homosexual,-83.35238074033992,122.08404794386949,-198.77940407435977,-171.13137748254005,E,35.151809085735295,1
Hispanic,Female,67,Heterosexual,1.932775518346677,-41.96590676965536,-100.64740638916439,-41.26367921678293,E,-96.1705474044924,1
Asian,M,19,Heterosexual,-6.710791381223781,17.758633156868907,135.2237697204795,-128.68922175511196,E,104.86946786326787,0
Other,M,35,Bisexual,-70.23175464602768,193.1701402394289,-104.65296301724112,-6.760071574308084,E,-28.11500192476811,0
African American,Other,79,Homosexual,-12.485603326973248,-109.04248185292633,-105.3295281550209,-305.43920545188064,E,-117.01537396261261,1
African American,Other,33,Other,139.80428688409597,81.65623353528366,-114.16278929774433,48.24146812290873,D,-20.119269441283112,0
African American,F,76,Homosexual,-61.6374990175492,-54.54324377608014,99.92533098864288,-40.39573292467052,A,-32.29033240222607,1
African American,Female,77,Heterosexual,-75.7342901771853,41.562153731147596,-6.2587729316602125,73.47981655514506,D,-164.5658577648042,1
White,F,60,Homosexual,-119.25067151427604,47.19740756348483,97.8051931724817,-85.66626457280574,A,85.56078758074304,0
African American,Non-binary,23,Heterosexual,107.23180327157709,-159.96759971354203,125.05720335710406,-16.836796333926667,B,-122.29119261001415,0
Black,M,66,Bisexual,62.670658948029846,-62.23707348424302,21.700015973033185,-198.1684683522422,D,-117.63088569493657,0
Asian,F,23,Other,-12.723748706092824,52.35020600614801,14.5663850347429,-37.85031442186848,B,13.263483819085614,1
Black,Female,64,Heterosexual,-47.222893982760276,93.0996985203179,134.32737222974765,-33.203898034820426,A,-54.458830416437074,1
Black,Non-binary,54,Homosexual,-9.287006715991541,-188.8986967640979,62.03702442651915,-128.81118489939846,A,-7.560790914585376,0
African American,F,67,Homosexual,92.77242403939596,-154.0234734865778,-43.92758632359904,37.79269310580201,B,129.68290713713117,0
African American,Male,73,Bisexual,6.829899675285235,-71.90324875119627,27.131993391660448,109.55554875827178,C,-163.5885539653452,0
Asian,Non-binary,41,Heterosexual,-126.08081190999742,148.63596779359563,81.71378790271368,59.884941859079696,D,350.091612528823,1
Asian,F,42,Other,105.44143917225814,181.3528400534933,-157.9557535960707,58.031873630852324,C,-14.904072824273706,1
Black,Female,38,Bisexual,-147.78353895743697,-42.5417633824747,13.358508732749902,5.388529247811054,E,-145.63471710587507,1
Black,Other,25,Heterosexual,-221.23411395020685,-36.55944949383876,-217.93912219491335,-80.74770370910468,E,-69.00246298275505,0
Hispanic,F,22,Bisexual,86.54526620269019,6.000468104999126,-108.26864783594925,-21.87757692470893,E,36.31218807729656,0
African American,F,51,Bisexual,-104.67540025097341,2.479047229442273,-70.95432084746243,34.535903130403526,B,158.4457507203765,1
Black,Male,76,Bisexual,53.76956690857401,101.0236763540979,-68.06519454323909,14.305392912469195,E,87.41799426397453,0
Black,Male,59,Homosexual,-61.498177046041505,78.78209944211963,-63.02160975272781,-72.89843411075715,E,92.78119997516595,0
African American,Male,20,Bisexual,198.0594891351965,-74.59627075130072,-137.0201183466785,-3.7154470743389525,A,-84.56941685941283,1
Black,Female,57,Heterosexual,0.17295171371425536,-56.12346696672318,150.6124010159273,18.99991579432409,C,-7.576946413115808,1
Black,F,66,Bisexual,45.80388549660496,41.23186659593666,38.22639566847999,78.73750368832503,B,159.34455745044255,0
Hispanic,Female,23,Heterosexual,-91.0636812244197,-42.97273401093956,8.1581163137442,51.318075665424615,E,-30.138313163958575,0
Black,F,46,Heterosexual,224.21292891824493,-42.24274302623306,2.171129987401115,23.43128226725157,A,-32.53967429180388,0
Other,F,48,Heterosexual,34.11705568256397,176.91342387290035,-151.4132421155386,-118.60446368107334,A,68.05635976953542,0
African American,M,18,Bisexual,45.96829349199401,-46.28230489789224,-70.00398212362798,26.96587276453043,C,-91.72029384442875,1
African American,F,53,Homosexual,11.198992435574597,83.2851389639887,105.45301256681809,97.71297883405917,C,-47.33911930855087,0
Hispanic,Male,42,Other,-73.08814252301586,-21.263345507769046,144.45357301288908,-0.15667881325827435,D,-79.22437245709331,1
White,M,54,Other,-50.40610484218426,174.4231780363891,77.73311573720805,-61.95480071224636,A,-118.56375641965376,0
Hispanic,Female,68,Homosexual,-29.85106747740914,-86.173182138472,-132.2987825250691,-34.780799474728354,B,9.65621149591325,1
