marital_status,age_group,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Single,18-25,Veteran,A,A,B,82.59383467476002,B,-19.31944979009465,140.56832363946157,C,D,E,26.506360402026765,C,151.9903279442469,-98.01578529035024,-205.9670727754519,C,A,E,-30.307183317441115,0
Married,18-25,Veteran,A,E,A,-35.208000483670695,C,116.95787209503399,96.88951994863054,D,C,D,-112.12039145148904,B,-41.83355801399269,-286.17752248865054,30.984275013552683,E,A,E,-37.334370875662344,0
Divorced,51-65,Non-Veteran,B,A,D,-80.34220451489817,E,133.3271378006685,86.04539324715665,C,E,D,156.43791236619427,A,-111.00444640576157,-90.89387135994667,106.68251332394235,E,B,C,-2.696078403530565,1
Married,26-35,No,E,D,A,9.975766670109877,A,-34.06134261665989,-96.63475274590665,B,A,A,205.63147589831013,C,-101.59807903828128,-200.35179025855868,147.03267855658692,D,B,D,-154.14737059332063,0
Married,51-65,No,D,C,D,-2.2764468141715586,C,22.821719796311026,-27.661342549168456,D,E,C,-7.234137224014393,D,-88.49159390075552,-66.61496180819202,-124.12668303301426,A,B,E,8.940174478572144,1
Single,18-25,Veteran,D,A,E,-9.737420053694157,E,139.39199370049334,57.01854087601221,E,D,B,31.070582760312043,D,-210.84198255123061,71.8193898049695,-24.28992912789049,D,E,D,-95.00913031200866,1
Divorced,65+,Veteran,E,C,A,93.40593152176878,D,-190.4069566166906,223.01916468913277,E,C,A,-136.69855806676824,C,58.45672189107357,99.99042312241019,104.45469913169451,C,A,A,113.205638828865,0
Widowed,51-65,Non-Veteran,B,A,B,-181.0502165801978,D,217.27305287479962,31.624991946626835,D,A,B,-175.2585009996764,B,180.37700431114808,37.14931139542948,120.94095629145801,D,E,C,-4.16989763097048,0
Married,51-65,Veteran,C,A,D,115.40033216334994,B,-12.75992683340438,62.00354253529077,A,A,A,22.669542654388067,E,36.609645625589934,-9.821129561526515,-119.37787500228943,E,E,B,-119.63270811372213,1
Widowed,65+,No,B,D,C,-166.85298487617254,C,155.1226769355731,91.40820527443239,E,C,C,75.56078004024508,C,-153.92734775040515,-3.0560823024212147,75.95959280370013,B,D,D,21.12806707556742,1
Married,26-35,Veteran,E,B,B,-26.76416132137695,D,-36.598852199369475,-50.29730024761992,C,C,D,-131.92654327139545,C,53.45154688143664,64.88006212872115,92.51192891760981,B,B,D,75.89107268296897,0
Divorced,18-25,Non-Veteran,C,B,D,-15.156283449485908,C,107.47733071918427,-68.28358900721811,C,B,B,-206.9158386027326,C,108.37206090924998,46.88539223324475,-24.991907107332857,C,D,C,-8.027215284944255,0
Single,36-50,Veteran,B,A,A,60.23680865871784,D,-121.2847676625581,89.42198017818167,B,D,E,-17.979445650398855,A,-96.7803760978009,-225.07383998736032,-101.94483873873214,B,E,E,-257.7521309239962,1
Divorced,18-25,No,A,A,C,-11.937314826948748,A,-27.883924051919116,52.74657026403767,A,A,A,-74.60710951882903,B,-66.81988618246581,-47.23786617838391,-17.405367428074165,E,B,C,155.68645416896956,1
Married,26-35,Non-Veteran,E,C,E,44.16634207839716,D,116.24181866114482,-88.26525265813964,E,C,D,38.339114671668824,C,-51.7389592797201,-21.075057494920117,9.770416189682333,B,A,D,0.05429014551774721,0
Married,26-35,No,C,E,D,-8.776485805671605,A,25.46355835178991,41.9347000434557,A,B,D,-19.221353114320507,A,93.16142311685707,112.98076072283307,-26.05382493741702,C,B,A,-64.39769156314358,1
Divorced,51-65,Non-Veteran,B,E,A,75.54364481418597,A,-141.15501534174757,27.745950304657622,B,B,B,80.67128459659334,A,-14.397426151451805,-109.14204511767625,67.03773135403664,A,C,D,5.058054881562372,1
Single,51-65,Non-Veteran,A,E,E,45.59311632128016,A,-10.707056761999395,80.86137474492327,D,B,C,96.74561986902427,E,59.57177825529628,60.23473012593442,130.62243684630837,C,C,A,-32.46836601401418,0
Divorced,18-25,Veteran,B,B,D,121.10022973743125,E,-133.52772600195598,-139.34494666591027,A,D,C,138.61159657257232,B,-80.24460256401528,-254.03788210273444,59.4884107352488,A,A,B,-13.596279546923936,0
Married,18-25,Yes,C,B,A,15.76670821214876,A,-147.5644887779153,-45.41366162035151,D,D,E,129.19152742178304,E,46.952579946631325,-51.91117568480797,50.727079500444205,E,D,D,-5.860219451018484,0
Single,18-25,No,B,B,C,109.78695730260328,C,-5.753162700911953,95.12666802451308,D,E,E,147.249251609948,B,-104.04512842882276,78.39413252968379,71.55422078211723,B,C,D,23.61175598796537,0
Married,36-50,No,C,E,B,199.4938101790222,B,-263.4123077532516,-2.692322447665896,E,E,E,-57.6588160790824,E,1.2472020624421356,139.21161090496793,-102.64391080911157,A,A,C,17.65681609397063,1
Divorced,51-65,No,C,D,A,-58.24184841958746,A,-8.396075795473616,79.20912708921966,A,B,C,162.30451935872028,C,-194.300313037555,108.61916218319925,-166.81450100014354,C,C,B,3.500182472900578,0
Single,18-25,Veteran,E,C,D,-20.986130996865928,A,78.11693393836411,131.78570436296343,C,A,A,15.986753839117156,A,-86.60044597073787,-21.422571671061107,-17.402948340552367,A,D,B,100.55093136893356,0
Married,36-50,No,C,E,E,-20.361168856479942,A,134.46154581086327,-36.38277263252458,A,C,B,-162.2157382605559,C,165.18598739205538,33.52744897109275,-32.25511935748225,D,A,B,-93.42634418915277,0
Widowed,18-25,Yes,C,A,B,-70.2552140492789,A,137.58404417619298,-59.4753485945928,B,A,E,-78.0782871244577,D,1.6547099454389522,27.984291556930334,-15.315598286061741,D,C,A,-36.59672891347531,0
Single,18-25,No,C,E,C,-119.50017297751003,C,-59.816320671964206,-74.42125036613028,E,B,B,-5.479527082182682,B,171.6146183804074,25.739996576168032,-103.37502519369393,B,A,B,129.43187317542834,1
Single,51-65,Veteran,D,C,B,-114.22479673616249,E,38.252803707899275,156.84041101400575,E,E,E,60.611189443089685,C,-11.96543142231738,215.23948878436414,-77.88304208019285,E,A,C,96.85490308029917,1
Widowed,36-50,Non-Veteran,D,C,E,-81.49277901630462,D,65.48153772245881,-231.74885383025972,C,E,B,31.027476664707876,A,84.35371779911172,62.66293432488506,-3.1253139839285473,A,B,D,53.76988033144519,0
Widowed,65+,Veteran,A,A,C,-52.66438304897145,B,-76.30250197952202,75.45731497016953,E,B,B,-147.49841345150162,E,268.09346351909625,-2.185635058403444,51.85022644870914,D,A,D,-52.507012604168054,1
Divorced,51-65,No,E,C,E,-232.59144349422917,B,155.07707447328752,173.01555815469735,B,B,D,58.59787072099718,D,170.45648779179288,-4.003646891900172,-56.95429251930653,A,D,D,19.05423637798306,0
Widowed,26-35,No,A,D,D,103.8563808451799,A,75.37282121870994,84.13349302132809,D,A,E,21.34410673764631,B,-82.82373884441037,-39.17950484850357,51.449977489600286,A,E,A,-62.91534697871876,0
Divorced,65+,Yes,D,D,B,123.22947013020615,B,-254.29986365815216,100.08735037434964,E,A,D,-101.68373832290808,D,-174.67632247854155,37.53554945866108,-99.51370617825724,E,D,D,-220.1725104767031,0
Single,36-50,Veteran,C,E,E,-148.34783299178798,C,186.99186412631806,-62.17937924739417,C,A,C,-0.32519383480279407,B,177.01444724277704,141.19938015406984,-105.89802129626122,D,E,C,-19.79710241451725,1
Married,18-25,No,A,D,A,161.1250113566579,A,-111.57269920200001,-54.62819273662184,A,B,E,-84.7172792912976,B,130.14369346093008,-79.76562349805079,-21.653334350125427,A,E,B,98.35814809850476,0
Married,18-25,No,A,E,A,-74.67573280900314,B,-115.36933418571932,-76.86208670858889,C,C,A,-77.45459091812738,E,3.256331569340534,10.690860534454243,-56.29622388450488,E,D,B,0.021476392968932594,0
Married,36-50,No,D,E,D,18.614841428189386,C,148.394079457169,57.59665091935773,A,B,A,68.76240169778207,E,190.08621392688332,-101.3928943843693,97.21687722774406,B,B,E,115.04491922286088,1
Married,36-50,Veteran,B,D,D,92.60090066218599,C,-208.05631824766303,-171.00995076398397,B,B,B,-26.00584331679147,B,130.96242236130826,-187.1997468368013,-71.23884343294704,D,A,D,-100.78094450891122,0
Single,51-65,Veteran,D,E,C,-85.48928742783673,B,14.938863175501883,60.71580551167736,E,C,D,-29.50748926150445,A,-89.0095971123235,-5.309880783706611,-66.35357975450614,A,E,B,21.46808404968084,1
Single,51-65,No,D,E,B,10.400479807257097,C,-228.19812412830748,63.823450480696145,D,C,E,3.427295812437562,A,167.97564884411418,37.70128204824545,63.5685583596576,B,D,C,70.8073501796827,0
Divorced,36-50,Non-Veteran,B,B,D,-103.24437477048893,B,-12.09752701355023,-159.96385864316395,B,C,E,-29.153313691335843,C,-96.88516839553675,-74.6926134620508,-186.21478473787752,A,E,B,-78.42009581060975,1
Married,51-65,No,C,E,B,-25.291167910297503,D,117.57415020897375,92.70575750470219,B,A,D,5.4946137557164185,B,-187.8659494368527,121.47632837472351,-55.99984354151726,E,B,D,-57.91392814829289,1
Divorced,36-50,Veteran,B,E,B,-9.355510818721134,C,176.07039228721965,-87.67679768305523,C,D,C,-109.73973587497127,B,-26.16040573969645,-93.51207874905619,-64.9183704758374,E,B,D,-12.342793052930789,0
Divorced,18-25,Veteran,B,B,C,-133.87815883067657,D,118.79567767644849,69.35977989199962,C,A,B,199.09971501265449,D,3.6708043831908266,133.29182109105855,16.080164525621544,A,D,E,-70.1777964528421,0
Single,26-35,Yes,A,D,D,-88.34639664824935,A,82.30860429865712,118.54307042706229,C,D,D,99.94302309498407,E,210.63587245145024,-45.67642535408313,-161.90579068913155,D,A,A,27.000902131077854,1
Divorced,18-25,Yes,A,E,D,53.16858107225711,E,108.79737035179795,14.177473189986415,E,A,D,-0.8175270877145946,D,17.096806268605963,93.81494424665942,27.31080923987024,E,A,C,52.62076503255374,1
Married,18-25,Non-Veteran,B,A,D,90.25981152279877,D,104.24619574533848,95.51380119721095,C,A,C,-107.55892564072444,D,14.184714044533289,-117.65503544521742,3.300683024898088,C,A,C,-30.100908451609897,1
Widowed,36-50,Non-Veteran,E,C,B,226.82047712901075,E,-4.672060475164742,214.19554394782944,E,A,E,218.2339186260533,B,-131.64064979556122,15.430036957352252,1.9808757215078874,E,D,D,82.3981861511118,1
Divorced,51-65,Non-Veteran,E,D,A,-65.34760612476263,C,215.6869858659778,44.987644176268375,E,B,C,224.7605517462715,D,-51.24305629002497,-18.254743936964203,11.907160181308592,E,A,B,-131.42396150367506,0
Divorced,18-25,Yes,B,D,C,-36.179198634796286,D,20.77399526925583,68.7725732234798,D,A,E,49.51971080121429,C,43.7100954438716,-10.480975899436737,170.52583767817686,B,B,A,-9.26494346810524,0
Divorced,36-50,Non-Veteran,A,D,B,28.787583489842124,C,-166.2368932508629,-21.262724862582,E,A,A,11.017601106963834,E,-38.14659339454699,10.549395366975475,-169.0644257804041,B,C,A,-151.60632622977596,1
Divorced,26-35,Non-Veteran,A,D,A,86.04817731278929,A,-59.4693558656014,125.38673173913011,E,D,D,-81.55620821571603,E,11.191215844096888,-10.027946081192162,-112.48791231509274,C,B,A,-79.34023598139171,0
Divorced,26-35,Non-Veteran,C,E,D,-54.38126398473082,A,-173.94709907340865,-86.60455905873027,A,E,B,220.6600357227144,B,160.63810133931952,-34.021066314658555,-44.17308820796641,C,D,C,-53.21408276175465,1
Divorced,36-50,No,A,E,A,-203.04294285186947,B,-168.38546413452468,-67.14843811581154,E,A,A,82.51529355935641,A,167.4494460074355,-111.5834589951823,-223.70314839686563,B,B,E,12.812653606766622,1
Divorced,65+,Veteran,D,E,A,2.299716195907798,C,106.96432356861156,-70.73697627420687,D,C,B,-10.799882591433295,B,-81.63234513682134,71.39199690674629,-60.159236171693976,E,D,A,37.60559757814309,1
Married,18-25,Non-Veteran,C,B,E,-188.51847927441665,A,61.852818602129,-37.19611330708247,D,C,D,46.73622247749197,D,-84.47431359524849,-73.46266505670528,55.25296333782184,D,D,E,161.8333407698757,1
Divorced,65+,Veteran,C,E,E,21.251995304077102,C,37.292535252443564,-46.652499631392246,D,C,D,207.28042524649925,A,42.6845928250049,-88.27774091046912,69.91278856658003,E,E,A,-54.189866086227944,0
Married,18-25,Non-Veteran,B,D,E,-41.92688276584083,B,-56.26804076123525,80.7371822703358,C,A,D,-27.10338340320368,B,-66.70275740069191,-4.3570865310440015,-109.62354306128417,E,A,B,23.986105692177475,1
Divorced,26-35,Non-Veteran,B,B,E,45.59396746734663,A,28.08567365711172,114.17680653138524,C,D,C,-45.63847800288552,B,-117.85430332014697,-21.486490664837866,86.13272557768009,C,D,E,171.85235907649982,0
Widowed,51-65,No,E,A,C,31.24543268670974,E,-5.042427292186932,-21.85488841025452,C,B,A,14.567171974076643,D,86.31479445874956,-66.01715990576515,18.296716045478895,D,B,B,-66.24153245222907,1
Widowed,65+,Non-Veteran,C,D,B,-80.62143942133362,D,-165.6486351507451,-131.27184473822746,A,A,C,4.979950427884766,C,-7.532633537791498,87.69562604564032,-99.7299188754515,E,E,A,-210.87939843885067,0
Married,65+,No,C,E,E,-27.354884188123503,A,-231.17461179181765,40.761349397251756,C,C,C,23.999169006646245,B,83.6954749210045,-69.70714057994391,-151.03288370288465,A,D,A,64.3035849578953,1
Single,65+,Veteran,B,E,B,-39.54641647075412,A,13.801471463840102,-39.3896967070461,A,C,C,70.63792928420844,D,89.90549734643736,-42.29915632506873,103.22173910160512,D,A,C,-9.711983720854274,1
Widowed,36-50,Veteran,A,C,E,-41.93040834500007,D,-3.664082563984563,58.72344055386483,E,D,D,-57.64909003170121,A,47.912750034236154,79.10965065433017,-81.62267287665456,A,E,D,59.86701915614297,1
Widowed,51-65,Veteran,C,B,B,179.55391737521677,C,-28.949231125609998,47.786226867766835,B,D,E,-22.448536324366472,B,-45.53029274868794,17.01534888914516,141.38834946090776,A,E,B,-39.77909812053067,0
Divorced,36-50,Veteran,A,A,D,-213.76489625507045,C,-84.08890541240488,-100.5374399647178,B,A,A,51.6245585516143,A,24.89999878824989,61.91747300058864,-49.55349443998441,C,A,C,-56.48760450632439,1
Widowed,36-50,No,D,B,B,-79.03433373833514,B,-117.74878689346646,172.01127401514296,E,B,A,67.7842355429295,D,47.628920332063224,-276.3039988216571,-127.6581925080247,E,A,B,31.98432788110443,0
Widowed,51-65,No,B,D,E,-114.96036849291158,E,218.53903041816625,-142.87538152382228,C,D,E,177.02490898828393,E,-150.11349908112317,147.10338180063283,-17.216291809525195,B,A,D,252.291268280368,0
Married,65+,No,C,D,E,-0.7298519652689333,B,193.11131492309278,-112.22978857499038,C,A,E,108.93116480096319,A,-82.10492692967314,23.77405723472352,-62.8254751521899,B,E,B,-30.21841024659833,0
Divorced,26-35,Yes,C,D,B,66.98404960496835,E,-6.078760146029533,-152.35185002348155,B,C,D,51.29917296036288,A,-150.7321576350256,80.39057811596368,-37.65027683014658,A,E,C,-20.77709935110134,0
Single,36-50,No,A,D,E,-80.3805839276566,D,55.66640992005377,-48.19576747804448,D,C,E,-26.47106671926349,C,37.135585853175876,-14.373002622578944,143.40078007019866,B,E,B,-47.01480070435609,0
Married,51-65,Yes,A,D,B,133.67231810439645,B,79.65145518697005,12.612295481859913,D,E,B,-21.49743567851757,B,81.84317495549483,6.742577890098891,8.295352149462643,C,B,B,-112.21954212420802,1
Single,18-25,Non-Veteran,A,B,C,-83.57915556189289,D,205.24008827875005,-23.11058954084948,C,E,B,-17.444895957880888,E,-118.55067938080106,142.44589436368557,-61.1327465493546,E,A,C,-71.62069384216329,1
Married,26-35,No,A,E,A,-24.285075267930054,E,-135.08280549962237,91.21266636268933,D,C,E,-118.57117039252995,A,-14.44221262986023,90.44235755158738,112.63448953622928,C,C,C,-31.846927452277647,0
Married,36-50,Yes,E,A,D,-43.887315785190054,C,-110.86219298053828,-11.326335133458567,D,C,D,-27.92430753795904,D,82.70362536869233,-103.77317873229757,49.677011533740725,B,E,A,58.19990344500491,1
Single,51-65,No,D,E,B,36.39908783247427,B,-6.87685793800274,-43.07837834042384,E,C,B,-77.54690479015153,C,-10.743064124041632,65.74617056318154,86.51517223619713,B,C,D,121.43695594736906,1
Divorced,26-35,No,E,C,B,36.408841569231626,D,-220.0352553774533,90.8140680246927,A,A,B,-27.53019282597241,E,-6.3447157570367825,48.88517857490482,-40.268510014210435,C,C,A,57.493599098971835,0
Widowed,65+,Veteran,C,C,A,-7.537487564791742,B,54.592125511499965,122.46492427955407,C,B,B,-123.58830191199178,B,-67.27374549345565,20.871151249540073,22.250810824791866,E,E,E,22.522059720344444,1
Married,26-35,No,A,A,D,28.199967634800664,B,38.01097837523943,285.56170915906256,B,E,A,36.72246428041666,E,48.58731702929877,-54.33462024240028,98.91209328532557,A,B,C,76.36918146719789,1
Married,51-65,No,E,E,C,-142.20246102865624,B,-34.48865633755946,-0.31461959267300643,B,D,A,-78.39864894598688,E,199.17922039096172,32.39796638356267,-17.139389015458136,D,E,A,-50.2687988076509,0
Single,65+,Veteran,B,C,C,38.65432160801971,E,4.808649417977471,37.26211567643662,D,B,D,1.7530613503737205,B,-117.59309627044394,-33.28152991976071,29.91173210414014,E,C,D,-70.47382530248964,1
Married,36-50,Yes,B,A,D,35.579407826117404,A,76.7628233083063,76.19377676684903,D,E,A,-86.90984402807243,C,68.97265140400359,-57.28126266078295,-12.974379671753056,B,C,A,61.85044105115111,1
Single,51-65,Veteran,C,A,C,-125.55400368197044,A,-43.725543404414765,34.830564046916166,E,E,D,158.110706037982,E,43.81561269806858,-80.55638403778075,-201.51972035427218,C,A,C,-74.84392545974386,1
Divorced,26-35,No,D,C,E,-145.1904775507991,A,-65.25456128218077,94.04310207933231,B,A,A,103.64718183058473,D,120.44854226074449,25.892982492058074,-62.3180554457019,A,D,C,16.22825804874436,0
Married,65+,Veteran,A,D,C,223.4585811962596,D,-102.59452084858232,101.89037877781992,A,E,D,36.64315362581182,B,-15.20518342483164,-43.3068760072056,-27.954024237385482,B,A,B,90.33122470748458,1
Single,26-35,No,A,B,D,114.4751363974536,D,43.67321203494256,-81.13992104549108,C,B,E,-23.58737557395716,C,-131.61477742742647,-2.794036863022612,-21.358981557736335,D,A,C,-91.87249869817788,1
Single,51-65,Veteran,E,D,A,118.18467763707832,E,10.891022534469448,-197.52101127453292,B,B,E,-183.00813819573406,D,74.57390147035981,-127.9873452071231,-76.33108525990606,D,A,D,-23.3268077555522,1
Widowed,65+,No,B,B,E,-35.50295644953947,B,46.77258892380311,-114.3095561502048,D,E,A,141.18896700682967,B,-74.87245576604624,37.73266128341208,104.23186494267142,C,C,D,-174.8862419786129,0
Married,51-65,Veteran,B,A,A,-43.92597190559545,D,-83.72623654503838,-28.999032470094388,E,C,A,-66.42485908940911,A,-65.1581376013849,78.57623663629002,-81.3398676295446,B,D,D,-91.45128278227213,0
Married,18-25,No,E,E,D,-103.09810500821608,A,-54.02087828726647,129.29586210486596,A,A,E,26.56950671875086,E,24.857679017567644,218.1255405724183,82.21553560302702,D,A,E,-30.429571533186323,1
Single,36-50,Yes,B,E,E,175.43526998487897,A,-77.6189088743998,-238.79355759439983,E,E,A,-52.80597750583193,B,-0.23127766018984194,113.10565681984608,43.007586418370195,C,A,B,134.26660532493594,1
Divorced,18-25,Yes,E,B,A,138.91235782361173,E,14.24092690118679,-1.161763173435454,C,B,A,1.1381848110892603,A,31.80091934840122,-211.34099857782576,12.786519799740908,C,D,A,6.570558134180585,0
Widowed,26-35,Yes,E,D,D,-11.065567547785404,E,6.338754978697121,-181.37167733844464,A,B,A,-20.759036112777,E,164.64144251600635,-64.56572454857232,-61.846922557895034,C,E,C,144.84564124119782,1
Married,65+,Yes,C,C,A,-39.0981841472778,C,-11.057009895849585,-213.32874438289107,D,A,E,25.137578133904864,A,91.57135416334829,-27.846747083008804,131.16113275050532,E,D,A,109.50594228046597,1
Divorced,65+,Veteran,B,E,D,-69.15158775453986,E,-47.126984557702606,62.28906573356622,E,B,B,109.21182725360279,A,51.454455266055135,30.228219600778232,41.035714868293276,D,C,D,-133.81128364073174,1
Widowed,36-50,Veteran,C,D,B,112.3708060192623,E,43.37909174168869,-68.21924126237853,C,E,A,-91.63975454818176,C,56.268397882003384,-24.750615423250977,44.34230680798593,C,D,B,44.71452248754175,1
Married,26-35,Veteran,E,A,A,152.2508397980325,B,144.39737362433604,73.4825686589046,A,D,D,-185.36873970712384,C,-8.86885821030846,36.83189460412187,112.21179250040254,D,A,D,-8.930561102136913,1
Single,36-50,Non-Veteran,E,B,C,231.97118294795814,B,161.60766840375766,-21.31851596076547,D,C,A,-27.90524671121354,C,-14.223678323259062,-34.1619712858911,77.59643665783726,A,A,C,-170.02985362934072,1
Widowed,51-65,Non-Veteran,C,C,A,48.42316651425846,D,-29.90880979532112,80.97852677079392,E,D,A,-78.27712350584657,B,76.86419169895706,-162.82212347467689,90.34975254057511,B,D,B,1.258675750969044,1
Married,26-35,Non-Veteran,B,B,A,-57.99906929690019,D,-86.98003727065522,-88.02701606802668,E,B,A,-51.30688820992854,A,80.66018029174347,-233.67061847931154,-321.69757410484016,A,B,A,-110.75726857265917,0
Widowed,18-25,Veteran,D,E,E,46.83327870305557,E,64.09396521872075,-92.47174817489817,B,D,B,140.12893155259525,A,-47.8966255047142,-62.76775253490017,-89.96497624282958,E,B,A,114.61549156549589,0
Divorced,36-50,Non-Veteran,A,C,E,-67.43371429935922,B,-63.96380493386168,57.160818039555785,E,E,A,154.7223107653719,C,-27.3761287273557,1.138614477100289,-101.94284336495004,A,B,B,-162.84412348112684,1
Widowed,18-25,No,B,C,C,112.03101622061817,B,-53.15549989446797,45.102046277723254,B,B,E,-23.481894928320855,E,115.37562625049922,56.958694417903274,-147.1879637071354,E,E,E,56.653953760995755,1
Married,51-65,Non-Veteran,C,E,A,-88.21205905556776,D,63.736940483741535,-74.60149542290189,B,E,A,-59.50725722353033,A,-41.29288518750317,9.841902832661013,-41.84142680806976,D,C,C,-140.05435950152233,1
Divorced,26-35,Non-Veteran,D,E,A,-26.157040909252505,B,42.53370785960933,-70.74698493919446,A,B,A,-11.911462871103875,A,-85.20579751515683,2.3052976257073463,-52.94812170086954,C,E,B,62.339691486195925,1
Married,36-50,Veteran,C,B,A,-36.93886666579692,C,10.012292327533718,-19.039642525298497,B,D,D,-106.12006174794062,B,53.862832896884115,93.1331495827752,90.37741786997142,B,A,D,-14.204634017991754,1
Married,65+,No,D,D,E,-128.7039374019549,D,-169.65576339178764,89.91587436527476,D,E,A,-110.92795008786682,C,95.17682117696312,-9.958735691253581,42.6283650055853,E,E,B,-64.64249539974607,0
Widowed,26-35,Veteran,A,E,B,69.62649090959779,E,-96.6215891146206,-5.349328379898098,A,A,D,17.944824224705297,E,-46.62199214790354,198.72693492765455,-10.808560937428002,E,E,C,-71.82357385097693,1
Widowed,18-25,Veteran,D,B,E,49.51624860479688,C,-61.39363073373125,-50.55463933872796,D,A,C,-0.4272153452087223,A,-39.43630134307623,-157.7178087115176,210.33929710083936,E,D,B,-105.31947724111512,1
Married,36-50,Non-Veteran,D,E,E,155.47929770165146,D,30.56751000639169,-45.18171140145559,B,B,D,-174.80454943165893,A,211.88567619698287,-367.68155710724426,90.83855951701713,C,A,D,20.02496793046948,0
Single,36-50,Yes,D,C,E,-14.128694982496521,E,48.02181860092266,0.2836906448798631,D,B,B,-110.69003259490806,E,42.61461351247803,84.43104717023769,-1.2160096453092528,E,D,A,154.55839565913112,0
Single,36-50,Yes,C,E,E,20.396862044036684,D,28.272036561090296,130.90087723381956,B,D,D,-115.70450124877331,B,-185.97797485899275,-30.180831751580044,51.973246441235275,B,D,E,-149.37455491004246,1
Single,26-35,No,C,B,C,-107.8133496583521,A,-99.04384205500597,-198.6548897745476,E,B,C,194.99731992199136,C,138.48505367654127,-6.895604604130848,-2.8376360556279576,D,E,A,115.43962454733231,0
Widowed,36-50,No,B,B,C,159.43927514464414,C,-23.989817228938442,-5.554679593908277,A,B,C,-116.3721178141172,C,275.8611477450313,-29.28152599534609,-121.36368658456675,B,C,B,-15.60942036423977,1
Widowed,51-65,Yes,C,E,D,13.654444430166132,A,44.75651839944138,-116.17548481842242,E,C,A,-69.16720633278612,D,84.21733974575935,60.533381511642034,-94.49328015850355,E,D,B,58.86888541144927,0
Widowed,51-65,Non-Veteran,D,A,E,145.7637594132079,B,-151.03765382060078,22.244573874649635,A,E,B,-67.73878387328108,C,-239.32262039724225,7.7801730636430495,-118.74622342217516,C,C,B,-81.62491229319598,1
Widowed,26-35,Yes,E,A,D,-101.65687662813896,A,-60.259733021073636,-25.390154032839174,B,B,B,-55.84400669903864,B,101.31583475808685,124.98950858251641,17.30065563343965,D,A,A,41.51506127919261,0
Single,36-50,Yes,E,D,C,102.63612451591295,D,-57.43907911333076,-83.00034222701044,A,C,D,-59.2304836641938,A,39.919528836847896,-182.90203725768856,-16.09684944443967,E,B,A,113.60774756900047,0
