country,orientation,age_group,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
China,Homosexual,26-35,African American,32.575269688290426,126.10354037350058,79.68621773631826,30.054376163713197,A,102.04617285681672,B,B,-9.562649660088738,-126.31201553611395,A,C,1
India,Homosexual,65+,Asian,27.650340646838096,14.263981278443493,-64.18739034538731,-9.770519527360506,D,-115.85910488268499,E,B,-68.30199530089051,-103.81939714653896,E,A,1
Brazil,Homosexual,65+,Asian,-99.60842527522634,-23.1701090690942,70.37420957059959,8.62363179023099,D,142.01404180963365,C,C,48.30938346394583,180.95991616304602,D,C,0
Germany,Bisexual,65+,Asian,-141.36180765376463,-25.700892789212105,136.3106583290253,94.28199630476144,B,88.68528878180462,C,D,-163.7093005987877,-62.103306359421836,B,E,0
Germany,Other,36-50,Other,-251.27350199553032,-30.413661217065375,23.40871739154824,56.51039547153404,C,-37.03786628969607,A,E,57.73331444099593,215.88458671975795,C,E,0
UK,Other,51-65,Other,35.939303729000926,-59.948659451134624,62.446405312229444,-57.043518614089095,E,-94.73396904288887,B,D,-51.60369052145937,54.42949395511302,D,B,0
China,Heterosexual,18-25,Other,116.56209884988522,57.81238818019161,117.80414764244331,49.60361967215368,A,59.049948241230986,A,A,-157.56385717013842,-107.21054342934757,A,B,0
Brazil,Homosexual,36-50,African American,123.12059998935561,-7.417769844295198,-67.4446225130073,-78.35148753652858,D,-162.79122131569008,A,E,-205.1273542491901,185.9955438565562,B,C,1
India,Other,36-50,Other,18.286366201183952,103.32220812977812,25.648586497375252,22.635386442810344,E,139.68793932470538,C,E,-206.83050347215266,-57.3064867944798,E,A,0
China,Homosexual,26-35,Black,-9.778483861708787,-161.5426408543269,-140.81807777140176,-283.54155584586,C,41.7355581080535,D,A,37.35720856700061,-117.91072627512158,A,E,0
India,Heterosexual,51-65,Asian,-21.36133885638427,128.22287434990344,-13.950431191235152,181.0113988371515,E,195.90889212259643,A,E,-79.37599800961462,54.11498463801421,E,D,1
Germany,Heterosexual,51-65,Other,178.90862043356358,79.93939812640095,7.3019656839259355,-149.18765395222366,A,-197.98373595201969,D,A,80.07185127114776,-119.12527700482613,E,D,1
Brazil,Other,51-65,African American,74.50084017402772,149.5634925899728,-22.259751471061932,99.76338968124918,E,-44.51249573464441,A,C,-33.42906381270858,45.76032616714421,E,A,0
Mexico,Other,51-65,African American,42.6315402579694,-129.95234421159893,54.100695486260655,107.67524566618046,A,-147.4614759418827,B,D,-37.933291295796344,-104.85186268325775,D,C,1
Other,Homosexual,18-25,Hispanic,58.71955840254943,-158.04905694545718,-47.90646343680331,50.54681667406822,D,-63.04680624672625,B,D,10.934899679864502,51.06631860761004,D,D,1
Other,Other,65+,Hispanic,241.46857710532328,-110.7382553565974,-119.21951545667365,-67.56676150446643,E,155.00749254698104,A,A,115.01358752912212,-204.3149836267971,B,C,1
Mexico,Bisexual,65+,African American,103.47704606043106,-104.91213648556752,-71.18548808352884,32.32952533480816,B,-20.544760576120407,D,E,-168.26914853934497,160.6250663746748,D,A,1
India,Bisexual,18-25,Hispanic,-49.0322948523839,14.013007247502651,-0.4984604006642265,62.43432222917152,B,15.8524094661118,C,C,186.45894644220144,-12.387953591777853,E,B,1
Germany,Bisexual,65+,African American,-56.16257461711277,87.97936267411528,95.02246410148314,67.64846926971413,E,11.911515585708164,E,E,1.2409036417195631,-12.97170056364493,A,E,1
US,Bisexual,36-50,White,33.903165871145646,-69.11911185387312,92.30760574174155,60.255905746871974,D,-51.34669448090003,D,B,-32.173114850476594,-55.53186968181787,D,B,1
UK,Bisexual,51-65,Hispanic,-129.46935578139994,45.375600264214974,-19.469113063841565,-92.76718570125558,C,94.3257668653323,C,A,31.42682484502042,-113.85264075117769,A,D,1
UK,Bisexual,36-50,Asian,-48.36814069715656,14.235666751966727,138.80222655797007,60.30463068960717,C,-40.12230648256633,D,D,-36.16148736501065,-52.5502820698008,A,C,1
Germany,Heterosexual,26-35,African American,-25.716376568121106,13.217692216899165,-34.33585115978229,-57.89014071271856,C,-82.72087273858293,C,A,-15.436412022223509,-24.905670074511406,E,C,0
Brazil,Homosexual,26-35,Asian,-86.98169421911498,92.19325252381218,-53.98795674486211,-63.31710628971406,B,141.0871011664501,E,B,-5.573761450584366,-81.26937300733236,D,E,0
Brazil,Bisexual,18-25,Black,5.651839121403149,22.996960260491495,181.14931119954787,48.913660542847445,B,-13.077779515333338,B,C,-82.47797821740363,168.58617413541214,C,B,0
UK,Bisexual,65+,Other,62.27396645412574,61.02011832818478,64.56828187860482,5.719362242841379,D,-106.98602194551154,A,C,-10.730932708226955,137.63722577011944,B,C,1
India,Heterosexual,18-25,Hispanic,-91.8982425948072,143.2911468314914,-98.40469988133333,-117.46614760225815,D,107.11227188650074,B,A,3.8969868392867513,32.0201812576023,B,D,1
China,Heterosexual,65+,Hispanic,50.19249989334808,23.92400119630841,171.6287094818855,-156.26419115900015,E,47.881275959636696,A,D,132.5978628565268,205.4301879529143,B,A,0
UK,Other,26-35,Asian,15.084784481326057,-84.68976667787447,-32.24255854354443,-66.81110018849931,E,-86.33720564030914,C,E,78.96423981242768,105.61863659151997,E,E,0
Other,Other,36-50,White,139.79634280709254,101.76796484753525,-169.37114289350438,10.894196080419045,E,65.0236414969814,D,B,15.267569357507824,19.65488432347107,C,C,0
US,Homosexual,36-50,White,-237.23714530208636,115.00273377104327,-90.6523994484243,-61.38818949346809,C,40.03999659425484,C,B,19.028471849585653,-165.6751408244239,E,C,1
Mexico,Bisexual,26-35,Asian,140.84739906361375,56.69737521950834,-128.20951096361404,-2.4472534749302866,D,-126.50979803162912,C,C,132.47194708920478,-24.02393191836704,A,D,0
Other,Bisexual,18-25,Other,-57.88235051284622,42.926008961075944,153.97060925789552,-143.18022886255173,E,14.7682628168712,C,A,83.93779788081739,49.73178003473198,E,A,1
Brazil,Heterosexual,36-50,White,-180.51249113254678,-31.514803361775428,-96.5202671608915,1.4240900000714465,C,27.427522022909688,A,C,75.80821989419093,69.14432411164655,B,B,0
China,Other,36-50,Other,-93.12278179453521,102.46825831598014,-57.846636239300075,150.51975926089253,B,-135.03253419441683,E,C,73.9603434530838,-94.53599184367187,A,C,0
Other,Heterosexual,36-50,African American,-119.18864748777982,95.28834780043647,-130.03518611324608,11.901446877963627,E,-51.96667261033255,D,D,4.395622733145603,-20.24946240619557,B,B,0
India,Bisexual,51-65,Other,-27.071019520697597,82.71045345190915,15.069806952616222,108.76849405669786,E,64.1210882332054,C,D,151.187016187973,89.62958472850734,D,B,1
Brazil,Other,18-25,White,-72.16178701455573,213.10450282177737,-153.95710563134278,-178.50147321460278,B,24.360406025016097,D,E,61.451484134300195,108.26296740043735,C,E,0
Other,Other,36-50,Black,-95.90295676534272,30.086173905735457,18.708275739014685,-101.82145557314885,C,16.483913101203573,D,A,72.75740132176671,6.01902641528169,A,B,0
US,Homosexual,36-50,African American,45.05377033998851,106.14067130307916,5.822587290261319,75.61909672072021,C,13.375748142757327,A,D,114.5561906430522,125.90863538417439,E,A,1
China,Other,36-50,Other,-75.97280605194292,152.57458002700312,75.22993839122861,66.60656655946995,D,261.0628988970088,E,A,9.155618069356699,-119.7994371289478,E,E,1
US,Heterosexual,51-65,Asian,-24.041046494579934,-15.412809708689071,-22.246447555227995,9.786620369633372,C,59.78621245996357,D,D,3.5271169012830033,-33.80911744856449,E,E,0
China,Bisexual,65+,African American,-50.61563678684033,118.10128122994045,-49.39005879364162,47.358476256368604,E,50.56833901019149,A,C,59.106998018363086,23.384553464839062,A,C,1
UK,Heterosexual,51-65,African American,82.87601749579588,28.978985100775418,144.09325020602694,-87.8445775724015,C,-1.4578274547418504,A,B,-40.565698304681106,-21.74740314488642,A,B,0
Other,Heterosexual,65+,Hispanic,170.2609333317235,-128.61780059537625,31.261822465558748,-59.233531111616,E,-156.64737349738567,C,D,-191.616061235043,7.6504195124887735,A,A,0
US,Other,36-50,African American,-108.70180035216733,-25.495655017617054,-77.70209493059606,16.01874449094968,A,-96.9112559748112,C,A,-169.58658713077287,-91.8031828118834,A,B,0
India,Homosexual,51-65,African American,66.94595836306443,-60.79428581903229,-52.3626869514297,81.97010003000028,D,-47.356172306018365,D,C,163.6645287757461,-28.55470834432384,C,B,0
UK,Homosexual,51-65,Hispanic,-70.74474963521197,215.58903382110395,-122.60061117944774,55.71893086912469,D,-16.090477582468548,C,B,135.1291247817701,-17.953127106828976,A,A,1
Brazil,Bisexual,65+,Other,-53.76609401192677,52.47017406613962,51.1401903946019,10.454383205187705,B,48.14875556967175,D,E,84.86109401040002,85.55790312281722,A,D,0
Brazil,Bisexual,51-65,Hispanic,-152.193264074244,79.30546983987217,107.01999516321527,-24.283687229596364,E,128.9356219171068,D,D,-98.66272617665554,45.861066798035615,D,A,1
US,Other,36-50,Black,-194.6691658503987,46.01329675034082,47.14845730910757,-0.5692985809935731,A,-53.72210200346726,C,A,183.9931802030072,-75.94904937599534,C,C,1
US,Other,26-35,White,-103.54905596251729,-36.46335015296259,38.506648464258866,-27.629864301603753,C,80.46327175720288,C,D,-92.72118404585513,-81.82703640944773,B,D,0
US,Heterosexual,18-25,Other,29.598352584519976,-21.272777436770056,-85.83994802406127,-77.77631194380076,E,-73.46210015202604,A,C,-13.400152772689722,93.08823808525126,C,D,0
Germany,Homosexual,26-35,Other,-181.0348149300254,78.95188899594439,39.35280083514993,12.85976368316473,B,-4.409899228996215,D,B,195.3813211849652,53.86989313041999,A,B,0
Mexico,Other,26-35,Hispanic,-12.017224628834017,-53.04181847507967,-4.060872928706489,-2.0388357236455112,E,16.266271611230867,E,D,72.54475271971216,15.838994180580935,A,B,1
Germany,Bisexual,18-25,Other,29.5813235362207,48.49411162900258,-81.67154778141462,138.48598759009042,A,-59.65285363136257,E,E,23.020509066478382,-5.470080859604366,B,C,0
UK,Other,65+,Other,-31.910394279587717,11.47594070486578,24.353960924063102,-27.872856415949084,A,1.9009385199261066,A,B,-64.0656014655747,219.8680212406526,A,A,1
China,Heterosexual,65+,Asian,35.22841210825395,-118.90161109066506,-46.77697889117155,92.09102856120681,A,56.3594073066629,B,B,203.22354573707955,-18.049808360306898,B,D,1
Mexico,Homosexual,18-25,Hispanic,-103.40465320954986,-102.62068899995027,-105.42586507508598,63.45679732302241,E,25.522622649400766,E,D,-58.28590083469424,3.296615596380148,B,B,1
UK,Bisexual,36-50,Other,0.3488889769993204,27.95384696610501,-29.455171106039984,-99.90751923712119,E,125.57879321521187,E,B,-195.22879051540673,22.598729728224626,C,B,1
Other,Homosexual,26-35,African American,-144.99383389935863,146.49275033287924,-129.43798652749172,-110.87254355682126,A,19.9868177458011,D,E,101.31614789519826,15.487436436115571,D,C,1
Brazil,Bisexual,26-35,Other,-72.70365726096804,24.639719463351124,-41.57624649620467,-114.17139283017784,C,-271.07449929962496,B,A,-43.264338215146196,2.666666498117115,E,C,0
India,Heterosexual,65+,African American,-15.813176974025522,15.356395389077552,-14.280337901904558,-23.953958085418172,E,-93.74002727874571,C,E,98.66616569586171,24.750785353004588,C,C,1
Brazil,Other,36-50,Other,-69.98032565048517,-180.69442547374436,137.16979050252024,-116.52163079127355,C,86.20688958281654,B,C,190.58626656895575,7.458141451524612,D,B,1
Mexico,Other,51-65,Black,-134.6174081863255,154.26550081922113,-174.78167676861784,-48.22550914185466,B,18.31958423349465,D,C,-60.53422000336957,-1.7389693712471022,C,C,0
India,Homosexual,18-25,Black,96.33503970649136,74.46210625828724,-10.481584840348358,-41.62742651194997,C,-87.53971685689717,C,A,-114.83998659623553,1.6754570421839101,D,D,1
Mexico,Heterosexual,26-35,African American,-50.341759741414904,48.80568343951465,-45.138764027247646,122.3621970360113,B,188.8930765881525,E,C,-101.95359027624893,24.044936274756303,C,B,1
India,Homosexual,26-35,African American,174.65007709973378,16.533711520430902,194.7877044642108,-70.70760658912512,B,42.73049245781033,D,B,-13.130079940492214,27.741175739973052,D,D,1
Other,Other,36-50,Hispanic,-29.668411264977674,-96.30090510607504,-43.519706319523564,25.829869554418757,D,10.609388380697798,B,B,28.005116100175982,-23.099379834290513,B,C,0
US,Homosexual,65+,African American,-261.3161853244083,83.1449069036657,-62.4685968386266,-20.66541299308848,B,20.457012232937995,D,E,-9.014373027862744,-120.06891208950361,C,B,1
India,Bisexual,51-65,African American,7.77802621934199,0.34800343243368187,211.1051772945217,-134.1325235266849,B,87.22915946498195,A,E,-252.62729197087074,148.63465713214555,C,E,0
Other,Homosexual,18-25,Hispanic,-25.94237458530672,-17.876329153786426,148.8991498619589,56.62081289585681,D,-32.00617409459974,A,A,-32.94148742822297,184.7638080703611,C,E,0
US,Heterosexual,36-50,Black,-46.87191935360339,8.252775860698211,-88.37883180875924,123.75164933937054,C,-60.37662666233597,D,D,76.41362927782389,-143.5454012329564,D,E,1
Brazil,Bisexual,51-65,White,-109.05815083361003,88.94497099712571,-29.662222094659946,-74.36495868084717,A,-66.92071563407059,A,D,-70.12508307345776,-32.63096316727733,B,C,1
Mexico,Heterosexual,18-25,Black,35.503716425746404,-182.61250902260286,17.286110533249822,-22.31491932103949,E,23.62485224510048,D,D,77.17927102396479,75.77191155104285,A,D,1
Mexico,Homosexual,26-35,Other,-192.24885577764624,-40.59613032076741,55.428073774580014,-65.42780195820721,B,-47.206919174288295,B,B,-27.06417751546629,-9.10393509501317,B,B,0
Brazil,Heterosexual,65+,White,-288.50059873722904,-96.45162910002092,31.82783248404807,92.13253186681048,C,171.06647697840648,E,E,-43.13693259144926,-87.77552218906467,C,A,1
Other,Other,26-35,African American,12.05628815051903,-162.86127662301305,-62.520306920684256,-53.67012981870035,D,-95.85530364001303,D,B,43.9258482741595,-98.5809042141185,A,B,0
Brazil,Heterosexual,18-25,Black,92.26368980357645,44.72668053698641,-103.45485920653607,87.87123925446257,A,-271.7540907124123,C,D,-161.12093288056857,-115.04735586745728,B,A,0
Brazil,Other,26-35,White,-87.86614812463958,83.97241956374151,9.900914033840394,76.93572444457531,A,-214.8071899536748,E,E,218.59360827670517,-115.49100075989944,C,A,1
India,Bisexual,51-65,Hispanic,28.461903690865924,-310.228619892438,98.79095269454936,81.17523281070862,C,167.79398304520205,B,B,105.20123887455992,-74.50508522281825,A,D,0
US,Bisexual,65+,White,2.485709156538387,-54.7012139690142,-69.80661436367217,43.9275478316516,E,-116.41671359004886,D,A,119.41894125545657,16.42300422671384,B,E,0
Mexico,Other,18-25,Hispanic,110.79403298545367,137.58593887839922,-165.5673689283818,112.96655469354909,B,-101.75636708168163,E,A,-153.2984893689029,122.76562733648781,C,D,1
Brazil,Bisexual,18-25,Asian,155.11138886148765,-175.4522125997246,-23.855087312436023,-55.91849179174698,D,-153.7923534082113,C,E,67.83819263866751,9.466608190726019,A,D,0
India,Other,65+,Black,-76.38269489593891,163.0585031980726,-76.29809060312238,12.667818967752972,A,-173.82080767355603,E,A,-7.782748062594254,-67.50074159028517,C,C,0
Other,Bisexual,26-35,Asian,-187.04767369859658,-97.10226052375457,21.510350994338147,56.85269599247009,E,41.97164498103331,E,E,184.65371287357226,-104.47146304624557,C,B,1
China,Heterosexual,26-35,Black,-160.82053860416318,-121.58173170006783,162.14998533338715,30.898942256329605,B,110.58070778543352,C,B,-96.86502702032016,38.12661739839989,C,E,1
Brazil,Heterosexual,36-50,White,-107.12463887566169,56.18410423522885,-26.081634659714126,27.73979197297951,D,52.956436546972554,B,D,174.80234201371997,-205.58646814144984,B,D,1
Germany,Bisexual,36-50,White,-4.8404898541453765,65.00079900645088,117.80459151634015,16.045847216998567,A,26.642487820018633,A,E,-89.23907647833369,194.35196715650375,E,B,1
US,Other,51-65,White,76.52374265920942,-144.11293402347255,44.38660261352203,37.31347535401589,E,88.58032042543257,D,A,-12.118799481557344,-303.13268883053246,D,C,0
Other,Homosexual,51-65,African American,58.00104682115431,61.69886909063632,-135.00886783160334,35.37281717102739,B,-29.916583286331498,C,E,52.73196754034907,91.80260462550173,C,E,1
UK,Heterosexual,26-35,Asian,129.09326133534003,-170.90625951734714,-119.36653852661381,70.73667579919551,B,54.70236369576838,C,C,-28.5789103868858,162.5393842132413,C,B,1
US,Homosexual,65+,Black,9.666098776105235,67.42146003168426,-174.6266745804625,-75.73051177025054,E,-143.2118772118044,C,B,-16.21321118009372,46.36943000111305,D,A,1
Germany,Bisexual,18-25,Hispanic,32.15713449020912,-44.43402108782886,11.764931549987232,220.5582482500819,E,29.05568018139986,E,E,-97.51381245706375,-116.29210349854955,B,A,1
Brazil,Heterosexual,26-35,Asian,50.412849924871836,-79.4245237753935,65.86534851739518,82.34782625890162,D,-84.54256009711423,C,E,32.34434308453805,-6.209586891735923,A,C,1
US,Homosexual,18-25,Asian,273.05393515668914,80.71596077196452,-6.468314627594009,-126.23683934502041,E,-82.36799320584467,D,B,-27.380806145686808,-5.240955665836853,E,B,0
Brazil,Other,18-25,Hispanic,100.97340636772769,-3.384070206943475,-119.51008471164097,32.60468133785062,E,206.95883666863776,D,D,-142.75505955088414,76.10176562893646,A,A,0
China,Bisexual,51-65,White,-7.370803240239342,70.8625503064421,23.363555027052733,-65.62704107466469,D,193.38726529729175,C,A,11.994242541402697,-85.96619032510519,D,C,1
India,Heterosexual,26-35,White,-24.265747133072868,-84.17668651621312,-168.7895764166368,44.05419396466527,C,-104.19565837381074,C,A,-6.844812887164036,-166.62061883107268,E,B,0
China,Homosexual,36-50,White,2.509376896261241,-66.03924087265142,24.207773045163293,24.29653724018975,A,35.23906874449976,D,E,37.46520580009466,86.79377159347747,C,C,0
China,Heterosexual,18-25,Other,27.520892936528774,10.926104416479378,-119.08043671442758,45.12694258544613,A,-153.3906874149045,D,E,-71.27115663541407,54.14414784666754,D,E,1
Mexico,Bisexual,36-50,African American,-78.9369477527149,-60.06762908695923,2.335803301274333,73.9969961493892,B,-101.32949655404504,B,B,-10.143033077422373,137.26345977726598,E,A,0
India,Bisexual,65+,Other,54.516760461797276,-75.94161426526436,-91.32662269014659,-29.111210867608833,C,-2.2285630091481554,A,C,-65.07663984278638,36.444225599351284,B,A,0
Other,Bisexual,36-50,Other,51.82760846028247,90.28255721824664,-107.3014292128485,30.528046744563888,B,14.98258403933602,A,E,157.92876589286993,-28.582996769761028,D,E,0
US,Homosexual,26-35,Hispanic,-211.01119379405318,-124.07793311676869,-113.79905946429531,-61.90593581765664,B,59.30656484045333,E,B,-39.175227926709425,94.93938404907418,D,E,1
India,Bisexual,26-35,White,35.7443613677929,-67.02132132747685,28.111644985911262,-1.5752758831367266,A,-148.857006112251,B,A,-55.05174509904741,113.83562507015654,D,B,1
Mexico,Bisexual,51-65,Asian,-7.36257820802344,20.58638356821493,-74.04172397296178,126.29336159781094,E,2.426356238336809,A,A,124.79989314110564,161.35570683032336,B,E,0
Other,Heterosexual,18-25,White,49.83221162656982,96.60363612376042,-2.152699520208289,86.26625701885332,D,-94.26507317121946,D,C,297.791786993001,57.09461893265555,C,D,1
UK,Heterosexual,26-35,White,-1.4175961217922752,-22.426719815532753,-84.66368846481348,-105.64907697436259,A,-28.522440384930782,C,E,83.42005131954596,201.11982552428339,C,E,1
US,Bisexual,26-35,Other,63.39424088838525,-32.54678867312799,70.72900661005919,-122.97640958311482,E,-89.52967117895963,D,B,-6.301510657818735,204.76959507978393,E,C,1
Brazil,Homosexual,18-25,Black,-187.17894089204913,-76.79728703832706,-91.60359202573632,-40.99366019358702,D,-30.15957077360158,C,B,-77.06236389429445,-29.12587122040586,E,C,0
India,Heterosexual,65+,Asian,-25.962967284130183,47.40547694217845,-105.05362166967393,-135.77316309115295,C,42.585035028574296,E,C,-30.93707135192088,-109.99135317282906,C,B,1
India,Homosexual,65+,Asian,206.39762141161927,61.69946773920357,126.02999195791604,-113.59395746459558,E,36.65062123897383,B,D,-85.91818156809252,-31.535466251941358,A,B,0
Mexico,Heterosexual,18-25,Black,87.25661265994663,-70.51090170244886,6.783703289454928,11.334799852582872,D,-151.2630131864613,E,E,-253.99891908288788,3.3533893699081023,D,C,0
Germany,Bisexual,36-50,Hispanic,136.72136505492173,-200.56386969658453,-40.22784950245866,149.34503835535253,C,2.862544085785803,D,E,35.24034677384273,-11.125101365487037,A,B,0
