anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
71,B,A,C,198.64338310176385,-8.562731799998646,-208.44386026025998,40.980796542950465,C,C,C,-83.22885312486822,-116.71967187323216,48.754878839415944,39.031117888955905,B,1
58,B,E,A,104.15159624368759,200.80935261851243,-11.786277646777277,79.97346935952406,B,B,D,81.80988054300907,59.81968037719049,-27.528904203172793,-101.14430266273551,D,0
49,B,C,B,88.77230541567481,4.028474606055752,-145.24157661165296,164.81200229983526,E,B,C,-3.6476425035271696,37.96627727867345,34.567502390520744,64.98482363759331,D,1
60,E,D,B,-112.18231518292785,-23.469899759659263,-69.89555014670414,143.72484857987752,D,D,A,-37.09027697994647,-30.03311013817188,-53.8027175474975,9.792967261359193,D,1
47,E,A,E,219.86677719029865,-165.43062471909758,132.99233706721273,-7.440049257120752,E,E,D,82.23881961566197,105.34352820535378,-17.34637169727395,155.93475100539928,E,0
64,C,C,D,-46.93881131518913,78.64240490087857,-243.96749375544942,58.05188129993469,B,E,B,35.160803434181716,-69.73428752696933,117.82789363899082,-105.43282625884909,A,1
73,E,A,E,76.08275437504717,-121.2898889289441,-133.7489761088165,97.34452057771506,B,B,E,91.24609192532654,-33.788777385992304,-13.129294036022618,41.61275613335932,B,1
44,A,A,E,-124.69145475684525,104.62294465688214,-224.30641678556808,127.9404612524006,B,A,C,-236.1635231465865,17.654174746838052,-25.77794673365591,30.344215146963982,A,0
61,A,C,A,-175.95325452371858,-9.307290437355743,227.54486454784973,-110.50745512177555,E,E,E,40.114248281056234,-115.67111349978431,-136.52748141010068,-82.78779325286058,C,1
49,A,B,A,-58.441878753640566,224.85719627694206,116.85673008901381,106.18893022192249,B,A,A,1.9371210613554408,98.28263558204428,118.25778891965261,-108.23828028231752,D,0
18,B,E,E,36.87938297267175,70.77146217999226,30.50099788023642,5.737291414762457,D,B,C,237.65204027055535,-115.94670456002676,-33.316194912165074,132.48365462385027,D,1
33,D,A,A,80.53344342113573,76.9569623820657,-7.283700513355868,76.16938123821387,D,E,A,24.18255710987532,-35.69953767244976,-54.95821169010657,119.22555488962203,E,0
47,A,C,D,44.818624485687344,41.29792966845744,122.18859420104411,121.14363541870199,B,D,E,-113.83441296165024,98.59920123325547,31.59685534035605,122.68702254906867,E,1
50,C,D,A,161.8274158242768,86.05468934390615,29.934616246237987,-45.22625219715969,B,D,E,-38.79295142512606,-99.6448091739224,-236.05450422673906,40.0704469910139,D,1
46,C,E,C,-41.29252423013285,182.8870209679262,87.73093845546977,-60.41274296926707,E,A,E,-51.396736505335284,-21.970494660379828,-24.22475744016328,146.44040302072054,A,0
61,A,C,D,-279.68462308895823,-181.22783754646196,29.359012269194174,-224.36233340666706,D,E,B,-91.09414172989864,-36.72003951493216,-138.96851597785977,-54.10590637576842,E,1
35,D,D,C,-53.833376250211664,43.9215578745251,-77.31984926772142,209.35215684001682,E,E,B,169.67792117640184,-292.07451964230404,-13.37848506123041,105.80389166552028,D,0
46,D,A,A,-72.89314496164835,18.783732187196726,24.06945828418308,52.56729985809312,D,B,B,111.20944787004716,70.57540946046895,-58.27313932902649,21.417857132308153,E,0
74,E,D,C,-27.752196476263,-74.33725914786578,-113.92427169844434,-55.90232058197802,C,B,B,-145.1768327761958,-77.97042232581964,5.179500587130677,15.828555191584456,B,1
44,D,C,E,104.5865444794294,165.08931197232636,57.90925598020761,-222.02444451618769,B,E,D,-122.99346738506154,-5.811672626820553,-154.82418489192847,15.851217435562093,C,1
72,A,D,E,24.45935902232209,-85.27501912020222,76.14268538488271,-69.98002036647173,A,B,B,46.75448696507336,1.2224055264952416,27.716123461446387,15.167941905024204,C,0
47,B,E,A,-186.66763588989787,186.24201587291572,-51.62651773657784,-34.26714196249237,D,C,B,-24.476690878029892,97.51448069198392,99.52088007317637,21.126164008013294,B,0
22,D,C,A,-42.606731296261614,-44.16236771228235,74.05826013588893,-67.42987277432039,E,A,C,-86.4341909227895,-7.01327315423717,85.67662656504884,-144.75006431325158,D,0
23,A,A,D,-142.11409331174113,73.44118855218565,70.46660179422044,-57.31497857492064,D,E,B,-120.65510848639569,-6.028629484378939,71.74183099645283,81.48006801583493,C,1
47,D,B,D,137.5413468895469,-47.11832613769615,44.81415459093497,60.80140947685474,B,D,B,-74.33566962109393,95.63517072661327,-138.28416011813187,200.93667533201182,C,0
45,D,E,B,152.9081624637245,-63.301766159393026,36.469255181359216,-34.76894005890882,E,C,C,-40.708667024764516,11.34800770564412,-132.40448080441354,56.26577341228873,D,1
76,D,B,C,102.6972934462729,-140.22901191397506,-116.46275937144716,-92.49076132744382,A,C,B,-19.88599536745727,62.440164839510494,-10.569604794808711,5.454754698038395,D,0
20,E,A,B,-100.65893978514721,99.78991662539228,135.8437688536545,-68.12203500238292,C,B,D,78.99157063648009,-84.80661587929544,-11.86815833467133,-42.27741332980859,E,0
23,C,A,D,79.78263174504517,-15.064234810792298,11.36555080798652,42.565192798178785,A,E,E,81.37348285917466,-29.56131522383279,60.193448411506324,-95.99548460799687,B,1
73,B,B,C,29.4312687496871,-101.63994221578531,-97.81738684026018,42.87559881894616,A,C,A,33.393428583015904,-48.71987851588354,-24.340970756610844,153.91632410386958,C,0
51,C,C,C,139.6697132335213,-32.732578734069044,-375.96193988494025,109.43178269908572,A,C,D,-75.348890288674,243.77915861963427,149.92367446899667,125.56610986933508,A,0
25,C,A,A,-11.898198710805701,-39.25062506132586,-132.09254246059473,6.6998865236450795,A,C,E,-90.36191644331694,-12.306718544931535,134.1183852581447,103.39808618522186,B,0
66,A,A,C,132.89593766346457,210.52232693145498,-168.20977850473093,70.58102024677034,E,B,E,-31.846279770607133,174.79303415416726,58.635743890393556,-3.084182792078782,C,1
73,A,B,C,27.677665195377383,70.75821417985816,-162.6053751250851,194.85073336095988,B,B,A,-12.03398012712331,4.3213593761136,77.07297952438252,-98.17661881959873,E,0
49,D,E,E,-44.44604503060396,103.66823531883665,147.60574223078754,-28.001062044145968,A,D,E,25.234331894001677,32.13037208158655,30.42823136735755,47.00768890849745,E,0
41,D,E,B,74.38738565250974,17.70364804081658,-50.59695823229442,81.92626878925448,D,B,D,105.5412008548678,287.83980340102596,-45.34634898689628,-61.4969897346021,C,1
44,C,D,E,79.80918644584006,41.57277646868118,-231.5435247014317,-94.56456561287393,D,E,E,134.19632551338375,67.03095615694856,42.66368067960698,93.86762856711974,A,0
51,D,D,E,47.76404252174517,-343.7310786588433,98.86805044724954,74.79467895478757,B,E,B,85.57359595744404,-38.79898742696543,92.42752832144926,-81.58962261783952,C,0
36,A,C,C,-41.75629831429741,24.534618187309913,63.907445483173554,-272.39112233913744,A,C,E,98.13664667735455,-62.75709390721439,-45.4591459478018,-66.14552230238738,C,1
58,D,E,A,-25.610486227376327,-69.85128305727757,-0.27200015121238774,16.807228052310915,B,C,E,44.84481485471111,-38.278913166676716,4.8521822998674375,-71.61060245555446,A,1
38,B,A,D,145.69782074631323,37.68570848279953,13.015289158670804,-79.36323245835904,E,B,D,0.5120282999864934,-23.464935349079806,-142.32769246744573,-21.424913210423178,D,1
19,E,C,D,111.75694245381003,0.6773086573505493,35.663103470577504,-33.1861826115222,B,E,E,2.9158671466431123,-79.79587631588562,44.65069449503422,-17.044550974356017,B,0
79,B,E,A,84.66811492255437,38.29337916740131,62.451237824004565,-72.59507971434626,B,A,B,-78.50252315540973,-5.500481651900922,64.34481337599311,26.418943871676433,D,0
44,D,A,B,-25.008803707892962,-61.02446498762525,-21.497871497837536,-19.34360892597114,A,A,E,41.409656092437054,-57.192935236572694,73.85820279539479,-88.16874833491018,B,0
30,E,E,A,72.23010009376199,22.03951754137995,-31.682468673020693,49.24223389735079,D,A,A,-212.25777765406923,-161.6847944309683,176.53307659013262,56.65068844536651,E,1
54,E,B,B,-17.165941110280635,-124.44995800807972,14.580381182200819,-0.5916253293549312,D,E,D,108.04251810886403,46.565501436525665,113.25933547610003,-73.83377410854499,E,1
37,D,E,C,-102.94795980120752,-44.90794554961804,-204.4130668006364,-20.186007620473188,B,B,A,-179.3435339244175,-48.687681161076185,23.68465297262726,-162.94238240993087,A,1
49,E,E,E,-81.34621983558097,30.468039190468104,51.3726570146199,-180.78531256146988,D,B,E,-21.71613798168774,-82.80897009973583,125.38085140551243,-137.522636409558,C,1
27,C,E,B,96.79126820798875,-89.91336321983114,-53.640001328810804,76.70886097623395,C,C,A,173.5049833525553,93.08346096854962,176.727246455334,-196.0028816300161,D,1
35,E,B,E,-31.55583830509185,79.06018057589617,-170.21913723601412,-47.894272391242545,A,E,B,70.91137208736035,85.4256817070371,116.85226203915673,-83.00358566545428,D,0
44,B,E,B,92.01533565521505,153.5112983501565,4.272615694333765,-156.25741599675044,B,C,D,7.384949139703899,-91.28664095325045,-85.11071068341943,46.788821583660805,B,0
66,E,C,D,-105.37787113194969,-13.564147006565369,-129.73441189286416,28.997440872735847,D,E,E,14.896060918187368,44.96786704803855,97.38872436021785,-158.46124496723831,E,0
40,D,D,C,-74.108506437899,73.11094731593579,-121.04728959149922,34.241315183935846,C,C,A,144.0469982060785,-11.52758225677518,-4.634105080046825,-133.62694295290353,D,0
51,C,E,E,-60.90368520963916,-86.09560670285484,9.153176671534013,101.9508961644092,C,E,C,-173.16117490837064,-38.34132910552656,-84.74362166043022,149.53717967878913,B,0
66,B,C,D,-120.61034114584963,-176.8130056806816,-57.90194425325693,-14.860689042703928,C,E,B,-92.80715570403896,45.55555046558512,-3.83318879480739,142.18758866249968,C,1
61,A,E,E,-180.03832510793487,-59.209927393310736,-34.705720856751945,76.04453014206945,B,A,C,3.4012119600752713,133.8461410030263,-2.201222230111283,-13.539890225252607,C,0
60,C,C,B,83.30639903220015,-96.72560387954974,71.37092910377584,17.50002220562405,C,D,C,-136.32005356448713,19.4946211773871,-34.98876204693858,-236.88108936414332,D,0
22,A,D,B,-22.858088018911666,132.4276775222301,-139.9781262553309,-9.334943344521044,C,E,E,176.41286540693804,-48.38420541188195,-40.053271467286805,-26.679445908946363,E,1
65,D,C,C,87.78050084051397,-45.61151043108329,117.19912472526532,112.35193709903612,A,C,B,-64.10038612979983,-2.205284557695319,20.30912846283945,-31.32306368438923,E,0
68,A,B,B,178.38845026044152,8.842870904585567,-27.76433204673456,94.01890046221789,B,E,C,-53.94207540266214,27.639592880726262,106.00474402789484,20.105756429400014,C,1
72,B,C,D,10.60954754289364,15.023605948455563,-113.44068709916783,-4.707963650621768,C,E,D,-214.03572407556425,-55.590849866148965,27.78591806284257,227.1410346173393,E,1
53,A,C,C,58.632313633568124,66.14737335127631,-108.02248255220859,82.3270215154169,D,C,E,12.417858633255658,-14.414066913683735,-182.66070263124283,53.404869545064884,C,0
78,A,B,A,78.25758446326115,-27.24558285246939,-240.0105928724431,-202.41885590512481,D,E,A,63.784160575209825,-117.1649766071417,103.9697382245506,-66.27312388762975,A,0
59,A,A,D,89.10634487974988,80.50053362970424,220.96530655031205,117.34717494769559,B,B,E,52.57688724742998,210.6006224618426,-28.968967845179105,-29.221214637490267,D,0
69,A,C,E,-55.71736409491351,-22.672753198964017,66.08000308453495,-76.36964205184326,D,C,B,136.06167109852598,147.71492895837966,-6.15491318384406,49.088432733966386,A,0
45,A,E,A,13.38147614167525,8.987919681794851,29.86996663433465,-19.03132437091914,D,A,B,35.08175601390473,58.46632569810444,-101.98500029114818,-13.555618120612667,B,1
57,E,B,B,-156.07910243340538,83.17307217827225,-33.16960107176929,-72.93076727904362,A,D,B,34.915067565126755,35.624496526229876,142.77848435283138,40.42963583000548,E,1
69,D,C,C,212.25636203350402,7.701248557456985,-52.769701578566774,93.60631275886355,C,D,D,-74.74102555540192,-138.2397311789217,114.93776811275269,-174.8749636269501,D,0
57,B,C,A,-44.916150900884155,-86.03844679354026,-129.1386369745259,30.751053104061928,E,D,E,-35.378018244235534,-162.54167372175115,54.814284286327066,-105.07813096119736,A,0
24,A,C,C,-147.0481648645773,-61.02279381641006,-145.6747929471332,268.6174762427262,B,C,E,-163.51742300234,-54.83224255766576,37.99744390296574,96.31816994362248,D,1
56,D,E,D,183.82540151455672,-208.99597127862216,-21.719303205713516,44.53023976550355,B,E,B,9.05149550607836,-51.26439873055403,-123.87896184847729,88.45769985930035,E,0
20,C,D,C,-48.85601203079013,-117.52966060551987,12.837305133554331,117.79282726767275,A,E,E,-196.62116297025884,-19.43539953694467,-70.27416344124673,-82.38415762716758,D,0
52,A,E,E,128.95180879583668,-246.05670881274548,14.623571465296397,-1.02005674954653,B,C,A,-2.014877479065103,38.27465694865005,130.1211967913273,-79.97404898932542,A,0
51,B,A,B,-102.9847774552892,44.62923827785673,-75.40846596878326,-27.601416348708558,B,E,C,-186.58837001773335,-157.24017639746506,83.9792206428176,69.43075060837856,B,1
47,D,E,D,107.88576634956726,10.287338958299024,104.25588365077137,35.173514093464576,B,C,B,-105.44124681980595,73.95475222380493,-109.56250292280272,58.97128247239137,D,0
74,D,D,B,-124.93236008463046,-94.49077011383001,1.6759013615522498,57.12388877878121,B,C,D,24.89721237528593,-172.67791268218434,-126.4822451698172,0.7576047222589938,B,0
75,C,B,E,156.03506249342178,160.8008776930688,74.41691160200806,59.753117493080346,E,A,B,-17.104471388212563,83.30705609892532,72.45524794879286,101.78629594817616,D,0
54,D,C,A,57.130663169561494,-59.01337697064558,-207.6544824955921,-22.610215805544694,C,B,A,86.82130397522187,48.96319674076872,-44.56464802547286,53.84544874322902,B,1
53,A,E,E,-31.51459251319023,49.397875341605456,-129.6486086329404,104.84914218504937,C,D,A,104.24238840831362,19.797321590368234,-37.46624756734283,-8.516533110098484,C,0
26,D,A,B,-116.54441306403058,211.0860674368462,0.24495924522924084,-46.412300589293785,A,D,E,-74.27239511677388,3.4060305362070107,-134.82406517420938,159.56772516023975,E,0
20,C,A,D,41.763985469757436,-102.29449991096007,83.92056353116759,-27.08018027497367,E,A,B,21.38876311450989,40.442609893327145,146.0683615444178,-71.74399859736546,A,0
31,A,D,E,34.55752487783066,2.642948835880964,108.37746790006149,16.967075820160666,A,A,A,154.44555233438084,82.81115650434515,26.815582806378302,69.89497809519624,C,0
22,E,E,B,62.94421891382393,63.48074757831426,111.97111099873005,-184.26071454624056,C,D,A,134.56206842207945,-38.642691883960566,40.96980765754202,6.894240179065858,D,0
19,C,E,D,11.577073345113313,-168.55652002009768,3.6134036528914804,-60.44236183425229,C,D,B,121.3496105646501,44.232654828100095,-47.907464733329945,-123.56871429104741,A,1
19,D,A,B,-120.61611135314003,-100.89324495022487,-4.567430250653023,47.773383927608485,D,B,A,53.05550937576945,-48.71225800035837,-33.489269647035044,29.867032609076926,E,0
22,B,A,E,56.779869422558285,-43.20641037326186,-69.75583887579081,56.864357733775286,D,E,A,-117.65860182303787,-53.40813274687264,-77.35487290958856,-71.20301035022152,A,1
54,E,B,B,-110.63767081139434,-151.84067897537085,-56.02230357302802,-149.22947427477627,E,A,A,81.85538188251597,31.472872329850826,77.67011634332752,126.11694893215552,B,1
45,D,B,A,-53.08564821285563,-29.034481380487097,75.29420561929396,-55.912022571087135,C,E,D,101.88291522699033,-136.90358541025037,-0.6622708239438327,34.38992030372889,B,1
27,B,E,E,100.67694812528627,90.80840953279316,123.2154857063233,-137.55189900354682,B,B,E,51.57702702755829,-65.45453513140654,82.57670683002505,89.76272252930147,D,0
73,B,C,C,-34.13652765257949,93.9346426068995,16.340425070973794,183.238118049781,A,A,A,-7.78443723148914,117.70206839906932,10.078457722114397,-45.00759972790148,B,0
64,D,B,C,107.28026747477759,-22.5727974270828,7.204507305850509,-101.12759802710143,A,D,D,56.868779111946196,69.94863177396266,-46.79128628450416,-36.65663408081825,B,0
20,E,A,D,12.384645327024144,-165.17264211285766,47.11384502618718,118.8912635083678,D,C,A,107.04360694010899,-10.53211581151528,-50.16119477814459,-32.69429501196489,E,0
33,B,C,A,90.9154284576679,60.46473676066828,-53.54053970175503,-43.93329573196134,B,C,C,-40.806508746906246,-68.77795627887171,152.29459831386552,42.500559075943755,B,0
64,E,B,B,-58.21000193872023,-129.12254854312587,-97.89131147798183,-22.97990533379764,A,D,D,-40.51248279676642,67.58168034743429,61.41884242647897,25.596400529963496,A,1
68,C,C,C,57.16537608928397,-172.46089804937864,-63.9093541517162,79.05394215875859,C,C,A,-34.140083212609724,66.37027567413904,-119.89851812740748,155.24024039248195,A,1
43,B,D,E,58.51844202947738,-3.398649004469071,-12.404972110195702,55.77677196359494,D,D,C,-228.62602764227492,-311.38694507413277,52.886793874512406,21.380978658264752,B,1
79,D,A,A,-89.20284709893347,21.083126895678745,-6.96167390922214,59.876482143606836,D,B,D,-90.16470639279574,71.47146316741384,67.02541901530542,-10.31485872105542,B,1
18,E,E,B,-0.03066830049676914,-18.87345661796764,-105.87252101903326,-119.01921463636675,E,A,B,-84.9559946011202,-19.93007131674517,20.82027047423188,-134.63278539124005,B,1
36,B,E,B,91.44590343647072,-166.5311869448631,-172.45595008350568,-91.71779695657266,D,A,A,-158.35858124049946,-114.6023152015117,126.73235167711434,36.57365676975528,B,0
57,D,A,B,6.987936109163058,-118.4970166407063,98.05947922818457,-139.75201060317494,E,B,C,-61.6998309851589,-35.85295033405746,239.75409775955225,97.22218975019192,C,0
75,D,E,C,-8.118258608998334,16.2151185787748,-27.736986242666458,-27.065297978323372,D,E,C,5.042721300162926,71.574223583009,253.20683109028468,32.467954176243296,E,0
29,B,D,A,-84.37561375944341,-81.10203403785536,60.17400820141505,-60.41706607037432,B,A,B,186.53555255221818,51.70313251454905,44.28575035878761,13.872078911285058,D,0
45,C,E,E,25.963961554821335,20.47597442240904,76.33154093974476,-85.959356165985,D,E,A,4.863684165104683,-144.94184261066013,-64.31197278869479,-45.406564018568936,E,0
63,A,C,C,-11.461640119460837,-149.35925992610123,-55.790239537379385,118.02265488846287,A,E,C,-48.46278608783229,61.00662361427822,-114.34500469551038,94.63506185026675,C,1
66,C,B,B,116.94661798130521,-27.623594518162665,-61.13532551629516,-37.4952640848407,C,C,D,110.47115871714965,-33.871894805545175,-74.52759548742995,-90.39566184529916,D,1
