Disability,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Both,32,C,E,-6.039806998476792,C,D,D,-189.55529056041115,63.259920984172645,D,A,6.888844213664166,B,C,C,A,-22.097221494018633,1
Mental,39,A,E,-93.16979479984771,D,D,A,54.32948214331861,17.47546676430294,C,D,-56.0608575582037,B,E,D,B,-190.71019240416797,0
No,44,B,C,-133.46927033184184,D,D,E,-35.56294598244622,-123.49878085300121,D,C,10.411132243509815,E,B,E,A,-67.8760123513108,0
No,71,D,A,242.4207161438897,D,E,E,111.37563792595768,11.886313710273681,D,A,43.094268632367374,C,B,B,E,-32.037605229788355,0
None,54,E,D,-70.69674190324669,A,B,C,-68.87384405165227,-87.62292842637511,D,B,129.85249547992774,D,D,C,D,-53.562684343390686,1
No,57,E,B,-107.2004162324861,B,C,C,44.38182671592865,32.2527356320957,C,A,-171.15796627799511,D,E,D,C,-80.0118864235458,0
No,55,B,E,228.58534983271554,E,C,A,-97.05015050577687,-12.447926246003737,D,B,40.851388558773216,E,E,E,D,171.40013101383823,1
Physical,58,C,D,-49.91675199243164,A,E,E,-102.51972499039421,-59.51482864976554,C,B,131.81395720749967,E,A,C,D,83.05134170732609,0
Mental,79,A,B,-60.569858132654474,E,E,D,242.96208492185812,-115.76669496396694,B,A,-63.70943074176958,E,A,A,A,87.63145342919246,1
Both,70,A,C,4.5172601811586475,A,C,D,-131.63070365570567,-92.19897778108813,E,E,136.10031559235964,C,E,D,C,38.430498894852185,1
Mental,78,D,A,168.50784901095332,E,D,C,-138.70392794629765,-33.77439777451263,B,C,159.72091320811325,B,A,C,A,-47.40484710363071,0
None,45,C,C,-62.063813348243066,D,D,B,113.7339486090836,108.10177734392134,C,B,28.18955462750545,D,C,A,D,173.99912654960715,0
No,58,B,A,-116.72762902734529,D,A,E,-123.83769676782703,-92.74493336887072,B,D,81.33782401835111,A,A,A,D,12.05631923912502,1
Mental,37,B,B,-129.60902692592262,D,E,D,-89.88128194146829,-211.59929890681383,E,D,41.59423594226466,B,E,B,D,-38.60368233072104,0
No,65,A,D,29.646353662545554,A,D,B,-217.66677945267062,-32.68049511564759,C,A,16.471174860509,D,C,E,B,27.068281919350433,1
Physical,27,E,A,-39.90390325358985,C,B,B,-46.60947792082887,59.29117928716132,E,E,-45.963486963530784,B,E,E,E,-157.90410297296134,0
Physical,70,A,B,-40.406069667260084,B,A,E,-115.80474705863237,52.45650749681412,D,B,76.46104081646008,A,D,B,C,-172.34460581305916,0
Physical,36,C,B,46.03583817183095,A,D,A,-152.5682263881415,-81.20903084140227,C,B,0.12208036419743608,B,E,D,D,-140.6971019167178,0
None,49,A,E,37.30026045698506,D,A,C,190.70877188446224,-163.13904306397805,D,C,87.3285831477866,A,D,C,C,116.113970367218,1
Physical,30,B,E,58.59124698140118,B,D,E,60.656388998377444,-183.58666980507374,A,C,-59.11457884902903,B,C,E,E,116.26441567062471,1
Both,30,A,A,4.499218341836161,C,B,E,-31.88176869081609,-99.6520685040545,C,B,-100.2201036421938,E,A,B,C,-142.7014549769637,1
No,22,B,D,-176.5108756700496,E,C,A,20.23262369659422,90.22708976302908,D,A,27.149541160300362,C,B,C,B,160.4517355877056,0
Physical,53,E,E,19.837502880274467,A,E,C,-37.12818322403065,-15.290377592650689,C,B,6.574102352286144,A,C,D,A,-66.10407122343348,1
Both,43,C,B,6.828216935595191,D,E,B,29.825412170996717,70.87743102063175,A,C,39.04909478599116,E,E,A,D,-85.37974531576157,0
No,67,C,A,-82.7363926346857,C,A,D,20.845315517113118,-32.39097927664558,C,B,4.147174512383666,C,C,A,B,33.07080706181187,1
No,46,C,E,-66.43920860260036,B,E,B,39.28489585770748,-42.06540253680274,B,D,49.15817683791659,D,A,B,B,76.84364450574563,0
Yes,44,B,A,-72.84918896751226,E,D,D,-46.8544856682062,27.984737615917,D,D,85.34003166656751,B,B,D,A,73.78353841196123,1
None,21,B,A,-86.86497547641619,A,B,A,-80.4805378019398,-157.03965107241154,C,C,-119.84102051784167,B,A,C,E,-235.0676061385084,0
Mental,79,C,C,23.655678576906407,D,A,B,-38.026532643713644,16.26573985759702,E,B,-170.32916241651498,E,D,E,B,80.72741921750004,0
Yes,47,B,B,-149.34710039148905,A,E,C,172.35632979026235,137.82017859458733,E,B,11.805915957892662,B,B,E,C,-111.71288242727917,0
None,35,B,C,-2.7481214581969713,B,E,C,44.64591215448989,-8.223080750886167,C,E,0.8523687817579506,B,D,B,D,-135.98422183358824,1
Mental,49,D,D,-49.190861506912654,C,E,D,-29.49537799846406,97.07517757855163,D,B,-78.12672318752354,A,C,D,A,158.8653337642366,1
Both,47,E,A,-181.68382209977668,C,C,B,-318.1018162249375,58.39888038996288,A,A,-53.134175577569785,A,B,B,D,-104.85062824832245,1
Both,66,E,C,78.38175137356563,E,C,A,30.61279161455626,-60.82531777914873,E,A,-72.63963998631402,B,B,C,D,-105.84041743403756,0
No,44,B,C,52.530294528273494,E,E,B,-142.72651037224048,37.12961682716088,D,B,-23.74264252636576,E,E,A,B,-88.05630806489428,0
Yes,43,E,E,-55.44990677891638,A,E,E,77.5797499041334,24.92246440245094,E,D,105.46990645342615,E,C,E,E,23.7604142040647,1
Both,45,E,A,25.730821773028655,D,D,E,64.4590233006203,114.15314811952216,D,D,15.008725684511937,B,E,C,E,-72.71673124438797,1
Physical,63,D,A,140.10279834551343,C,D,B,73.046533469456,73.24561393794684,C,E,-61.93583287392009,C,C,A,A,45.0593046170832,0
Both,29,D,D,144.0085354869023,A,E,C,67.42212527930447,-55.51331365081852,B,A,17.988936492339224,B,E,E,C,41.63167410073673,0
Both,26,C,E,42.754039726632435,C,B,E,183.26954088932322,-8.311316521330646,E,D,61.91894727949211,E,A,E,E,-50.80846867740095,0
Mental,50,E,A,-116.05547842132407,A,D,E,-16.057666707101557,-142.94490135868466,D,A,63.50629281862269,E,C,D,C,-89.27025970503443,0
Physical,45,A,B,-24.65903869660695,E,E,A,16.866995478174054,-137.14067226409264,E,A,85.82532144943816,A,A,B,C,-177.18750863057284,0
Both,65,D,A,-177.5195193488231,D,E,C,-120.6202465727458,-77.03276415943392,E,D,290.7720103436776,D,D,E,B,73.20510179091791,1
Physical,77,A,B,99.8378849088331,A,E,E,-40.42338856197181,-106.54111666166955,B,C,-183.6806063550209,E,D,E,C,-9.635558159787927,0
No,47,A,B,-44.77886621535747,B,D,A,-36.32843675186762,-8.018203027032232,E,D,58.57364011829328,B,C,E,E,-33.439482427330624,0
Mental,26,E,A,-34.288939276059885,C,D,E,6.790694347258378,156.46049568763146,B,A,-113.59523970864728,D,D,C,B,92.77683159463713,0
Yes,78,A,D,32.314118398559174,D,D,D,168.76297097498082,-161.87032449075014,E,E,-176.603283879,D,B,C,E,-18.45936131123098,1
None,55,D,E,206.00377242065505,B,C,E,-156.33069499553656,31.624939067868564,A,E,-109.15534854489304,C,B,C,B,1.4076789911156262,1
Yes,56,B,E,74.04547738487692,B,D,B,-17.431598876040454,236.60700106780018,D,D,-66.45022858670073,E,E,D,C,3.2053130218590438,0
Physical,42,E,C,283.79707246317844,C,C,B,-262.3191910742249,58.33206889348901,A,D,105.346990655216,B,E,C,E,-6.404280293702231,1
Physical,19,E,E,-88.38366223442858,D,B,A,-25.7933334340914,-8.287963152658355,A,D,-120.49972244977327,A,B,E,A,-106.47808247173269,1
Mental,69,C,D,-32.11924603768312,A,A,C,46.493061379448626,1.9417352304929365,E,E,19.829989124535974,A,E,A,C,-86.37261449626668,0
Yes,41,E,B,119.30521763403263,C,A,D,72.89367524981121,120.31810846908813,E,A,30.006451397137358,E,B,A,A,-64.77249224471275,0
Physical,21,D,D,136.36408062111067,B,A,D,0.3536570634704124,-79.26877943027806,C,C,127.54075560982045,A,E,E,A,-175.07252502117942,0
Mental,64,A,C,61.08481569936265,C,E,B,-127.04405181416696,159.03044058700857,A,D,-125.74237065081539,E,B,B,B,127.46875463369108,0
Both,49,D,D,79.46582660034225,D,E,C,27.733497711991546,-109.51538726459613,E,D,-194.56757665958807,B,E,E,A,-97.53025238255091,1
None,54,A,D,-93.30765987775517,E,B,C,-29.542733985914722,43.54380033640712,D,B,170.00981745966172,E,D,B,C,-63.13734456586726,0
Mental,45,E,D,-124.08435271731526,D,E,D,188.50436772097646,61.7538683336679,D,C,22.261167763294477,E,E,D,E,-24.563309401671493,0
Both,60,D,C,7.4481782049733285,A,D,A,58.1595993023373,75.6353801671707,A,B,-50.160669312574846,B,B,E,E,47.1542332985099,0
Both,45,C,E,40.77140790758395,C,D,B,-68.82298632541011,67.9030591907093,C,C,-75.61617671223495,C,B,D,C,0.9340565469135034,0
No,50,B,E,266.41115276954326,E,B,B,68.82764301716325,-71.25518574271022,B,C,91.08286745932466,E,E,E,C,8.333074552552961,0
Mental,44,A,A,20.31483460530449,B,B,A,-17.608899267501307,-66.18845592524829,D,A,-75.3352039707317,D,A,B,B,-8.148374908436635,1
Mental,41,C,B,-104.99627098633135,A,E,D,7.136783191103743,60.39778459659899,A,D,77.85009598434071,B,B,E,B,174.9594973786634,0
Both,55,E,D,-118.91576797259597,B,B,B,-158.84503473686718,88.4870624016332,E,D,-192.0813775389456,D,A,C,D,-70.32320311661528,0
Yes,26,C,D,156.90411744341333,D,A,B,-104.35104828109587,82.80625044889007,C,B,-164.9737661356587,E,B,E,C,-98.14778739567504,0
None,21,D,D,64.25337142266112,B,B,A,170.21311819329748,117.67911638233468,D,C,-113.77055678324868,A,D,D,E,-59.62759297656128,1
Mental,31,D,D,-115.67471702879868,C,E,D,-27.952119180013806,0.9275740039172862,A,A,-100.56400019401812,E,A,E,D,87.3516669010551,1
No,63,E,E,-24.008816195930876,B,E,A,-52.13733987621426,214.8665973609936,C,C,-1.1340556743484527,C,D,C,E,-170.48538609757932,0
Mental,54,C,E,92.97302038591984,C,A,E,-116.42572186317908,-18.465383074662707,B,D,-135.6510805578648,D,C,E,D,-7.37993747995092,1
None,45,E,D,96.64592590734317,D,C,D,44.673461831585115,-13.601703644099317,C,E,-21.891636561523374,B,E,E,E,62.50683319589879,1
None,59,E,B,57.20936623048757,C,B,E,-7.280963016812579,85.64831055034271,A,E,-37.97586488709259,E,B,A,B,-78.17632266832638,1
No,76,A,C,143.24718760004643,C,B,E,-136.59144102233498,25.412711774372497,D,A,13.033821006803523,B,D,D,B,27.627365308789344,0
Physical,48,C,B,-116.27289261786615,E,B,D,7.480184385310849,-25.147531415577507,A,B,136.28096478154578,C,E,C,D,-72.1841299669043,0
Both,63,D,D,-3.606300697285799,B,D,E,-80.11414493527919,-55.12404377834612,E,B,-168.28923701378113,B,D,C,B,24.068098396152248,1
Yes,39,D,C,91.82450872794367,A,C,A,140.53721995477585,28.518156830235412,A,B,6.616764131374649,A,B,D,D,101.27571887895688,1
Both,68,B,B,-148.7252986189008,D,B,B,151.19952415449154,-131.44668277336103,D,D,-43.620609578420364,E,B,E,E,96.21600082440419,0
No,79,E,C,-52.58448893646709,C,C,C,-105.56962518304015,76.49164017040061,D,C,-3.2731116785079193,E,D,E,B,56.40107202773655,1
Yes,18,A,C,93.71334190326313,B,D,A,-90.51576993062804,-81.12970863859613,C,D,21.038170713510297,D,D,A,D,-127.80156479381863,1
Yes,58,E,E,183.15804515030314,D,A,D,-65.38541589296139,-83.43163452001558,D,D,34.4401772900383,D,B,B,C,-151.8831201645193,1
Both,57,A,D,-72.58930065513835,E,B,B,-297.600487888912,-34.01717542245244,D,C,158.52472794316972,E,B,E,B,-14.964218494812515,1
Mental,68,E,B,-43.883049550767915,A,D,B,150.32734906765003,1.5195759920722258,A,C,86.77373914365941,D,D,A,E,9.529424657017177,1
Mental,35,C,D,176.3973812155619,C,B,A,-46.48896542254056,186.66054561600382,E,D,22.84766234917683,C,E,D,A,33.85204311452149,0
Physical,22,B,D,86.98356768568951,A,B,D,121.60084156830628,-117.08496355691224,B,A,20.576750744935378,A,E,B,A,29.749484771062995,0
Mental,65,A,A,-147.9957361975821,D,D,A,60.42455570122617,-113.80124834727626,C,B,117.25514672234951,C,A,D,A,-3.8638037135771275,0
Mental,51,C,D,132.17965508471917,D,A,C,-37.05409832085467,-41.99854709687783,A,E,-91.2227941147937,C,B,A,B,135.5526533120703,0
Both,66,E,C,-21.874448097694195,D,A,E,244.9215047162661,-202.13882406244323,A,C,-41.15252942037702,C,C,E,A,17.850179480757955,1
Physical,78,C,C,-181.5519891571736,C,C,A,-208.7727431602911,-57.1098513282988,D,D,142.69626348038815,A,C,B,A,-75.50463555524199,1
Yes,74,C,E,-196.9565135276013,C,A,A,-86.62870148372714,8.292433833686149,B,D,162.93165628353435,C,D,A,E,-6.447271919827395,0
Both,25,A,B,46.03319283064391,E,C,E,-11.763579737793245,112.63138119530196,C,A,0.8118904615662303,B,D,D,A,166.2911758928183,1
Both,60,C,B,13.114779881100707,C,D,D,-57.41226680995899,37.52275498482016,D,E,-124.46969448489472,C,C,C,A,98.26480951723698,0
None,51,D,C,-200.592049005088,C,D,B,68.03771977996081,-84.56304664857316,A,C,39.53506031991493,B,D,B,A,3.689184543737181,1
Both,37,D,A,12.409864615519444,E,C,B,-4.525411698748441,8.720720703122154,E,C,-1.9960491738282398,D,A,A,A,46.762806895031574,0
No,66,D,D,49.121056101101665,D,D,A,-115.34988340415113,-64.36256926032368,C,E,35.53259947034413,C,D,C,B,-50.096402001921035,1
Both,59,E,C,-110.51178473242524,A,C,C,77.04610180034844,157.410764362733,D,B,-77.28088781920722,B,E,E,B,42.70346468907442,1
Yes,58,B,C,190.12001639566324,B,D,A,154.75543713339354,-96.99750122131495,E,D,0.5959347492061888,E,A,C,A,-66.76321021158425,0
Yes,73,D,B,150.15973854965728,C,A,E,-180.24064342194643,-2.285991268569581,A,D,-32.335728688054786,D,C,D,D,-110.09973796405825,0
Both,25,E,C,38.077599139385605,D,A,D,45.91866501922854,38.62205264197979,E,D,-143.7367753652975,D,D,A,D,-52.06708076829847,0
Yes,34,C,D,-71.20848169078423,C,D,A,177.46797549406696,30.947750708471244,D,D,50.22373873782276,D,D,D,A,-156.41807788610757,0
Physical,18,E,C,-100.52434269094255,E,E,D,-61.49335378534867,235.66720336130103,D,A,6.790977225971765,C,A,C,E,-60.51965268174153,1
Mental,75,A,A,-218.6181543554729,D,A,E,-211.74163615799455,-34.09945460965862,E,B,-73.33272726147659,E,D,E,D,-56.87720994829618,0
Both,57,D,E,145.01734120043224,E,C,C,-59.23951579770066,-105.61278132910594,C,C,-98.4270841023281,A,E,E,D,-140.6490343767667,1
Both,43,E,B,-99.27803406147837,E,B,E,89.81797766866362,-92.70466841944848,B,E,-78.21456461890924,A,E,D,C,14.877957189712147,1
No,53,A,D,-130.57141242416955,E,A,B,-52.342369048808614,122.24836252996765,E,B,21.461109859484854,D,E,D,D,3.436639922976796,0
Mental,47,D,A,69.88083588264985,B,B,D,-103.60581299302463,106.27450173860804,A,C,-93.87209402665701,D,D,B,D,-37.35543557060241,0
Yes,33,E,A,78.94377450100228,C,C,C,119.9830359482115,54.71472036057325,E,A,-152.06792097926493,B,E,C,C,32.83640269402974,0
None,76,E,C,57.38418131328955,E,B,C,36.51691609347183,65.57167829450013,D,A,-88.22638522560503,B,E,D,D,108.96160802556953,0
Mental,40,C,C,-19.90588495403082,A,B,D,131.6619802068639,-10.92576997640088,E,A,68.28631437986533,E,B,A,C,-88.16586778571374,0
No,68,E,C,166.62018591041948,A,C,A,-49.25007068062291,51.88635211101541,D,D,128.10113596686534,C,C,A,A,-5.134677364283367,1
None,29,A,D,159.42153711083313,D,E,D,135.33453971495314,23.56156212595093,A,D,135.29406393368853,E,D,B,A,196.14559779274805,1
No,20,B,B,56.928688440560016,A,D,B,-91.747395296259,-40.9591743558793,A,D,66.26134187879705,A,D,D,C,43.320896852544294,1
Yes,54,B,C,34.366525447660585,E,D,C,19.59936473319828,78.4421529225366,C,C,148.5689679733134,B,B,D,C,-69.77921801937231,1
Yes,45,E,D,48.24293806618319,E,D,C,-56.901037323041884,-166.4849620559472,A,D,179.0327121445601,A,D,A,D,-52.91405449344605,0
Mental,67,C,A,20.489517464341915,E,D,E,-63.657819866088786,33.2079324264777,B,D,-110.52305146894412,C,D,E,E,-43.89335338952105,0
No,52,E,E,-41.66474041867978,A,D,C,-137.90731764434793,183.24717185175706,D,D,12.024607373761956,E,D,A,C,16.20945217844248,1
None,46,C,E,141.11728237783078,E,C,C,-111.51270731616876,37.67949916516248,C,C,-74.29308607737393,A,E,E,A,150.75607493945972,0
None,21,A,B,-108.6916035456956,E,C,B,-57.00407711361768,6.662395410538156,C,B,12.14694772469868,A,D,E,A,19.174000447744017,1
No,41,A,A,132.2451664143787,D,A,E,141.86835056147166,113.5489937404677,B,A,-62.131702839356464,D,C,B,B,172.99319575086224,0
Physical,28,A,B,-67.94183603863274,E,C,A,-125.7616513010535,-120.06437164607154,E,D,-168.40708175840118,C,A,E,D,51.23530031426866,1
None,48,C,D,26.329961640900446,D,C,C,63.62472460637228,-14.98019661415659,A,B,19.538893593705804,A,A,A,C,-164.7995459556556,1
None,32,E,E,45.64820357558621,B,E,D,63.49681589893649,-79.80938538740264,C,B,-44.913756049870436,D,C,C,D,20.79252367550788,0
Both,58,A,C,92.60525503222401,D,D,A,62.17328065571941,-97.15571327641528,C,A,92.84341363337828,A,A,C,C,96.88652789992173,0
Both,66,E,E,-60.745893068541854,C,B,C,-175.03320586651108,54.242101052042294,D,B,-40.435766666498715,E,A,E,C,-104.0696140496949,1
Mental,19,E,D,-3.117698133831919,D,A,C,-65.30640022224732,-41.42628855966044,E,D,123.6768538273395,E,A,E,A,-77.53461457257256,1
Yes,33,D,A,47.7691154412682,B,A,B,125.21815164415474,26.702342388568173,B,D,49.9900139869707,E,B,D,B,-110.4398448152009,1
Both,46,C,B,98.07655094199633,D,B,C,106.88290239425152,5.745450973915898,D,E,-111.69765677018727,B,A,B,C,-15.13955109013662,0
None,72,D,C,2.9274655163950145,A,E,A,109.6506535726547,13.646482461865567,E,D,59.34701497631244,E,A,D,A,-152.60051638284187,1
Mental,40,E,E,51.46480407496866,E,A,B,-43.371232432926426,134.83925455396135,B,C,189.86392109982927,C,D,A,B,-41.27870254910798,0
Both,79,C,C,80.5189687645328,E,B,E,53.56699653558433,-9.301223240499331,A,E,-0.2522404672708158,C,E,D,A,-43.33750606942035,1
No,42,D,A,-125.55849527646212,A,D,A,-2.9284793525723916,-80.86703290410426,D,E,-71.32627678527624,E,C,C,E,29.82973670531069,0
None,77,B,C,-25.704294559517216,D,E,E,-49.98371033856167,-118.06505767040434,D,C,-65.2279770460255,A,B,D,D,-147.6062026336043,0
Mental,67,D,E,-27.22391709529175,A,D,E,-29.973650885007096,-71.18038964899294,D,E,113.55486415897713,D,B,E,C,-183.47999761408985,1
No,49,B,A,-18.831253261793076,A,B,E,-28.627437754852856,-2.2411939706926147,C,D,2.4178158571474424,A,E,B,D,49.00025984103045,0
Yes,23,E,E,-47.26573190313092,D,D,C,217.81929438486918,-122.7034373056691,B,D,-104.40840768008243,B,E,A,D,-149.51816191638864,1
Both,18,D,E,-76.24221323216356,D,A,D,117.85863382190458,150.21818423756392,A,E,368.989444891008,D,A,A,A,-37.769202636548705,0
Physical,41,A,C,46.78295066808105,D,D,E,1.781775034878932,-27.997833749805558,B,C,-123.94150858516797,B,E,B,B,-19.121298483735398,0
None,53,C,E,107.75665857550595,A,C,D,71.19991614020572,123.64730136881916,D,D,-27.725271134168988,D,B,E,A,117.03640344961346,0
None,38,A,D,2.8629627089487455,A,B,B,21.08576161522608,81.22121414332507,E,A,66.92773339414848,A,A,B,E,-103.16102538143093,0
No,61,E,C,-36.40342082714094,A,C,C,-9.952853550484273,-83.11526654574612,B,E,-108.34094272246067,D,D,B,C,-60.75098207906803,1
Mental,43,D,A,65.64849744622404,D,C,B,68.33103610172246,33.4543253991377,C,C,-57.843726340927674,C,A,A,B,154.22678712119134,1
Both,73,C,C,-46.81234606634535,C,D,C,-136.15596966723976,-96.62139007205197,A,D,-54.75358063277916,D,B,E,B,2.89676577925233,1
Mental,19,C,C,17.05711845128601,D,D,A,21.940953653393404,-48.127965113694714,C,C,-124.19232308127674,A,B,C,E,33.26497113924929,1
Both,31,B,A,85.34815593851862,E,C,A,-38.588869878231144,57.753078361823526,E,B,-78.01170714016443,C,B,B,C,189.7921250820795,0
No,68,C,E,-14.91069833181349,A,C,B,65.98079340393154,37.158980120048774,D,D,-33.81447046519387,D,D,D,E,127.59321281031211,1
