orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Heterosexual,E,D,62.22246917378931,A,-185.08588907349602,C,A,B,B,-48.1870823022577,34.56900847420589,1
Bisexual,D,E,149.07432847721992,B,-193.2056562784617,E,D,E,D,-66.81889423600819,-32.2037072150219,0
Heterosexual,B,E,-28.639901655110734,E,-109.59868176957939,C,C,A,B,82.78457964001684,68.09254426655833,0
Homosexual,E,C,-17.545364300902413,A,-42.15290821489134,A,C,B,C,11.904659928530856,193.8995032940371,1
Homosexual,C,E,18.940196966254526,A,60.73357870390499,E,C,B,C,1.1990777266042723,22.68631251839233,1
Bisexual,E,D,51.480809551096876,C,-11.729476223420033,A,D,B,B,42.567562873952355,-55.12720580774586,0
Heterosexual,C,C,-31.223663538667218,C,98.90765103392692,E,C,B,B,37.11427429400969,-79.13751747148372,0
Bisexual,A,C,7.113236009215002,A,-77.34503773874071,A,A,E,D,-49.46703834168828,-80.73000956864956,0
Homosexual,A,D,63.83082755320264,A,111.4018114109847,D,B,B,E,123.95270990571365,-88.61464481479501,0
Homosexual,B,A,-80.7395803525165,E,-160.84773700852722,A,E,A,C,69.3671810102402,-48.042897408403014,0
Other,C,C,110.9732242672039,B,48.49675975675486,D,C,E,D,-83.05662337118659,279.26470051427526,0
Bisexual,B,E,70.83638570760853,B,-119.63522345000641,A,E,C,C,43.8122217246924,60.045634746711485,0
Heterosexual,E,A,-80.73786415711322,D,-84.90524025821469,A,D,B,B,-240.62059183101354,34.625103279896564,1
Other,D,D,51.05915833158271,E,99.6991349786588,B,D,B,D,140.62221281885715,-16.392967717748917,0
Other,D,A,-8.60129336692666,A,9.480284820788363,B,D,A,C,127.76391869969841,45.282161754719866,1
Other,A,D,20.187393301196813,C,2.241656777630805,C,D,D,B,150.57203045631243,47.632131405597214,0
Other,A,A,42.104162766865386,D,8.510344740043328,C,C,C,E,-68.85325227771946,-12.007586448186839,0
Heterosexual,B,A,-44.152850206681464,C,-26.13616943987737,C,A,E,E,72.15391321351,-17.705865569963162,1
Other,C,C,-160.37898200234756,A,74.47826061678904,A,B,C,A,-48.57249823063226,-6.276922990610669,0
Homosexual,D,D,-97.99321075537885,A,-55.49487123028478,E,B,D,A,-9.369612999892901,157.87702748741577,0
Homosexual,B,A,-114.98750559459113,D,33.1114962420707,A,B,B,C,-5.492110532105491,125.78548248759873,1
Bisexual,C,D,27.012608846561335,A,26.987088512060843,D,A,A,D,-106.69650407265073,5.866514526839365,0
Homosexual,B,B,71.83426410100566,B,50.5607022179973,B,D,E,A,-94.26590126609236,28.967319772185036,0
Other,D,C,-55.63730678847103,B,-154.83039952981346,E,D,D,B,-0.16548372931204214,-32.08698956403339,0
Homosexual,D,C,-54.20250355903858,A,46.78221713188817,E,C,A,C,113.51166625459193,-108.81842861712221,1
Other,E,C,150.18350492723144,D,61.013075040651465,A,E,E,C,38.81478108478803,-4.039096607762504,0
Heterosexual,E,E,137.3689305110422,D,-116.84623076381241,E,D,D,D,41.84897547746774,100.76680782577945,0
Heterosexual,D,A,-9.356755339769,C,87.64739579583292,C,D,D,B,-31.032232525164655,93.90015327802018,1
Bisexual,C,E,-10.155992598488082,D,50.34657271076759,D,A,A,E,120.29331552272546,16.45093989882518,1
Other,A,E,32.754673609087234,C,57.55971847888732,C,C,A,E,-85.89663684409027,-3.5275528562817855,0
Heterosexual,C,A,121.84641023334879,A,-59.025060687315815,D,D,B,C,-79.32483987475672,12.17225781312031,1
Heterosexual,A,D,-94.39992365989598,E,-181.98127052316727,C,E,A,C,45.061620085489416,75.96991930380776,0
Homosexual,C,D,49.748494603438395,B,47.59580624876511,C,C,A,E,-133.0743847230413,-36.268327429896615,0
Other,E,B,46.77430261031438,B,5.783786261794578,D,D,D,D,-72.92350369298124,44.14558756356803,0
Bisexual,E,A,-58.25427913654955,E,-6.70890279760725,B,B,A,D,-30.558746301992322,38.90019622021849,0
Bisexual,D,E,61.10909451655553,E,95.84369637780989,A,B,E,D,-10.940613545647642,-51.06450572844135,0
Heterosexual,C,C,-99.20106695584714,C,-120.4745605920157,E,A,B,C,68.65024720067919,25.1970114721177,0
Homosexual,B,A,-94.41932754235826,E,81.94619395090463,A,A,D,A,16.893235925450966,24.523308559984045,1
Heterosexual,C,C,122.16980887990326,D,-52.03785869973715,D,A,C,C,-111.0985524283622,-31.043474123979685,1
Heterosexual,A,A,73.64879097664131,C,-47.95927485134365,B,D,A,D,-62.782851516537555,36.27671139576405,1
Bisexual,B,A,-122.74515895001039,C,104.74863927242286,A,A,C,A,-35.027886494399105,193.6556950495007,1
Other,D,A,186.11850427762943,D,33.15853813143123,C,A,C,D,-60.557821614371576,82.56990709038308,0
Other,C,B,5.669216556960311,E,56.85759704226646,D,D,D,B,188.2881616840735,-71.28376826411731,0
Bisexual,D,B,184.06318831673488,E,-80.78098201423465,C,E,D,E,136.83996349660387,2.7969855777351316,0
Bisexual,C,D,-74.6114971615062,A,-77.85333856922693,D,B,C,E,13.805179332050333,6.33622725842751,1
Homosexual,B,D,-73.81272502172585,A,-30.57858085203286,A,C,A,C,-38.17486945183935,80.54807868683048,1
Other,D,C,-17.912419230058234,A,-83.68890813573006,A,A,A,E,9.41781292135536,-42.628472053978754,0
Bisexual,C,E,-38.213988332798166,C,74.4861794168216,A,C,D,A,-72.89071281735127,26.26050438915947,1
Homosexual,C,D,-105.17588363877964,C,142.00195387710167,D,E,A,E,-11.212660297984096,61.7921882464542,1
Heterosexual,E,B,-36.90475205408616,E,285.8257404606768,B,E,A,D,-1.567518821627047,-118.54096638132907,0
Other,E,C,112.73053439616265,D,-111.4695895551878,C,E,E,A,-14.109397054460256,77.61355031102572,0
Bisexual,B,C,-29.982828734571864,A,-58.28605999947708,B,D,E,E,14.013015164835318,16.92935362241044,1
Heterosexual,A,D,61.294187475647135,C,74.26815820726164,D,D,E,C,212.15865460603843,-183.25089586691567,1
Bisexual,E,E,-110.98472852364335,D,125.41760006858615,C,C,C,A,2.0384241204953453,-135.59749960762954,0
Other,C,D,-67.59663807475718,E,-127.9875041907491,A,A,A,E,-8.15822422774227,2.574948178953902,0
Homosexual,E,C,32.02436383983668,C,-25.315587088835407,E,D,E,A,12.176525781776318,6.626880116744033,0
Heterosexual,E,D,-189.69296287193868,E,-102.81241895255297,D,A,D,D,7.099181507618277,138.065580895205,1
Bisexual,B,B,-3.24268129615028,E,-150.31078227929487,E,C,E,C,148.1086993930915,22.395888307764803,1
Bisexual,B,A,19.909603269340472,B,209.75230190044712,D,A,C,E,-160.5930062203519,-248.81158923455072,1
Homosexual,C,B,-96.93033148092566,D,-46.91049403428302,B,B,E,C,-44.99321111217448,-77.3500017463693,0
Bisexual,D,C,145.93561159844256,D,51.331344124053636,E,A,A,E,-26.807488051800078,54.400341583657394,0
Heterosexual,A,A,179.51367880786518,D,-16.421280160947404,B,B,A,D,156.76627947449384,-211.3540294974516,0
Bisexual,A,C,112.94134268362946,D,-6.685430324413177,A,D,E,B,-31.291305131075113,154.07804446112738,0
Homosexual,C,E,-99.92610037495474,D,38.17408350489192,D,C,C,A,-54.065595663805176,-45.082325250916426,0
Heterosexual,C,D,-60.80506202443592,C,-28.415182768764645,C,E,A,E,73.11312090128781,-69.70428152744635,0
Bisexual,C,D,-61.55718322021989,B,29.075877854290173,B,E,E,A,-246.58095061256478,-39.81473943708701,0
Other,A,E,35.0346050826216,B,-74.86439827175582,A,E,E,E,152.46226411621737,184.68854850435378,0
Heterosexual,C,C,48.548620321108785,E,-7.5419601883605765,E,E,E,D,-62.51113702774899,135.89304171670346,1
Bisexual,B,A,5.762314166814761,E,-55.281988767631795,A,C,A,D,-199.8856513072352,7.522588369071285,1
Bisexual,C,D,-65.78136901026159,A,-128.50795004511312,C,D,C,D,-102.42464886120864,-20.0725324027025,1
Heterosexual,B,B,124.2202228508938,B,14.190528575655287,B,C,C,B,-34.479920751169104,104.22972250437725,1
Homosexual,B,C,-101.23865603851586,E,-0.2456768625115104,D,B,E,B,20.107495044702926,81.48436516518532,0
Heterosexual,A,A,-178.05334314028687,B,134.58589766736299,D,E,A,D,21.353133887208354,56.663917873721935,1
Bisexual,A,D,-205.38784428378136,A,2.559840977313704,D,A,C,D,-33.0799486283288,58.00771714557826,0
Homosexual,C,B,125.6502011009635,D,3.8300690058821107,D,D,D,B,35.507439584498144,47.72606700198331,0
Homosexual,B,A,83.86661163211049,E,-98.20114643489846,D,C,A,C,-114.75068788171127,-156.35269360018484,0
Bisexual,E,D,200.1443307041795,E,-69.52577836592673,D,D,E,B,72.27606478148134,-67.05839006694964,0
Heterosexual,C,D,10.008129677273017,C,-36.48118543813542,C,C,D,B,-206.74060553252778,138.68186090503016,0
Bisexual,A,E,-68.53044250669225,C,-94.94640940883104,A,E,E,E,4.7855577456666545,-252.12329965732937,0
Homosexual,C,B,93.0383706793499,E,-13.001643239713342,D,E,A,E,14.030265399684819,-164.27144210480452,0
Bisexual,C,A,-48.946526422178685,A,-33.81765197466843,D,E,C,D,14.433886613932223,140.66251372177425,1
Bisexual,D,C,-35.696300578570586,B,-40.53681405526518,A,C,A,D,-90.39652439746322,76.36419759763491,0
Bisexual,B,D,-95.93286860828623,E,-37.1370165894159,C,E,C,B,-226.95104828897647,32.83533366486392,1
Bisexual,E,A,64.45828329467311,D,17.05857811388689,B,C,E,C,-160.06830773192473,-56.16705582948295,1
Homosexual,A,B,-66.87704700462035,C,61.657066721488526,C,E,C,C,-3.4771051887355258,-152.12624509356684,0
Homosexual,E,B,-93.99274920853125,C,30.908528085617483,A,C,B,E,-238.30835721036502,11.335973025260424,1
Bisexual,A,D,-52.3814524740417,D,145.9674651404436,B,D,E,A,-125.63062595803329,42.42517213852741,0
Bisexual,C,E,188.5598113917393,B,88.64939261261408,A,B,D,C,-216.92385994151698,-2.0606079436477014,0
Heterosexual,E,A,63.171159408550125,C,176.67530957211744,B,C,C,D,2.510205085178547,-101.91234274102561,0
Homosexual,E,C,32.117069378421725,B,25.63206679114752,A,B,C,D,96.88536672325573,144.64790519422388,1
Heterosexual,C,C,7.491851991841409,C,60.54006769851855,B,B,B,E,-117.21237960004291,10.55367433440119,0
Bisexual,E,A,-83.58776055978598,E,13.095736438590563,C,D,E,A,-78.14782729511039,-124.71293517973648,0
Bisexual,E,D,14.279502782282878,C,-75.0104901073739,C,B,D,B,67.64798163068079,94.11320735789535,1
Bisexual,E,E,100.18199705877488,C,-27.74300562184959,E,A,D,C,-97.42478455374743,-11.488821878072356,1
Heterosexual,E,A,-194.49123047411604,E,-41.98457137082558,A,E,E,C,-32.22665617037016,114.6391967841351,1
Homosexual,B,A,-10.266244112602802,E,-89.56901478033892,C,E,E,A,49.829202195524644,58.14811105495491,0
Bisexual,B,D,-200.97478111641732,B,20.79307032021184,B,B,E,D,106.22592791255141,48.89229281194618,0
Other,E,D,-98.78556618113208,C,55.06627369172232,C,E,B,D,115.74749891753997,-25.080137998309155,0
Other,C,C,64.61579578386525,D,21.585559213094037,A,D,E,C,94.22195085700652,67.66101713835359,1
Bisexual,B,A,11.409954895186452,E,-224.30541328137033,B,C,A,D,12.75861585761347,20.29092432864891,1
Heterosexual,D,A,-37.486795294374616,E,158.43704885828288,C,D,B,E,-282.7932323805712,50.0992006008928,0
Homosexual,B,B,-200.71140749400698,B,145.74958486016206,B,D,D,D,79.45266849151321,162.4947163783722,1
Other,C,C,-65.7113782546907,A,-8.318606987309048,E,E,E,D,-123.01994683051329,9.855696063171155,0
Bisexual,A,E,-3.7603967204592825,E,49.84169361618408,B,D,A,C,36.97756840863914,-12.57372212845863,1
Bisexual,B,B,66.78633609230515,D,2.5760375495458177,C,D,A,E,161.27764378299923,24.32463599067704,1
Homosexual,B,E,-19.025804966517796,E,4.157132765313661,A,D,C,A,-64.3073501214531,17.64024522854805,1
Other,D,C,43.19645074466998,B,2.695476245841559,B,D,B,C,-73.99238559887317,-171.55178461743145,1
Homosexual,D,D,-145.0940922995539,D,250.6672165491165,D,A,E,C,1.7804593074534283,-18.7138789323903,0
Other,A,D,46.780376128620325,D,146.3373411923173,D,D,E,A,-163.33648646096572,60.31223233057852,0
Homosexual,D,D,113.81101488747665,D,46.78689180120437,A,E,D,C,-41.85472738996781,183.57751053481343,1
Homosexual,C,A,9.81744888986565,E,-7.296968301357247,C,A,C,A,-51.83101654088092,-88.90051045507231,1
Homosexual,D,A,-111.30010219612896,B,-175.9969506870437,A,C,C,D,-119.49594364870977,33.530925671787884,1
Bisexual,E,B,-56.262060445876635,A,-5.2263697004098235,C,E,A,E,-74.25711366835243,-2.3332038828705723,0
Heterosexual,C,C,12.054729555660918,B,-13.456201077130938,C,A,B,B,-139.7179656787663,-11.590869764634704,1
Homosexual,B,D,-30.219243198654432,E,94.65974917064375,A,B,A,A,-17.987030391097292,-50.25045520636352,0
Homosexual,B,C,-36.57179314839693,B,-97.01342245695362,B,E,A,D,-196.36777041370476,78.52363339986846,1
Other,B,A,27.324048510989087,A,-131.9760164707913,A,B,D,D,93.84253098170214,-2.226762869152254,0
Bisexual,C,E,8.635625097002903,D,-161.18464890560293,C,A,A,C,23.908067986195242,-137.37661536257605,1
Bisexual,A,C,-62.27957919576822,A,-3.4289481499246164,C,C,D,A,190.81217770886832,-140.0873982467778,1
Homosexual,B,E,125.01694164695327,A,-26.655347790517,B,E,A,D,-142.6723440455583,59.65981884053152,0
Heterosexual,A,D,-52.219139546208936,D,47.891033080912614,E,E,E,B,198.0720095937665,94.05684649950354,0
Bisexual,A,E,-46.101235856694665,D,-37.4982358562311,E,E,C,E,119.85670800774888,-299.54467938532565,1
Bisexual,D,C,-23.71485572786149,B,-82.55468843054983,A,E,D,E,64.4419412908217,149.14548773468738,1
Homosexual,B,A,-21.859248105691695,A,-50.404477220500475,C,B,B,E,63.295568064343335,-216.87021275217342,1
Bisexual,E,C,-8.127312918819891,B,21.365134379577086,A,C,B,E,88.39368445071554,63.64497918481064,1
Heterosexual,E,B,274.87875722709236,D,-14.590125467298284,A,A,B,A,-41.30978917303199,-57.47290026855494,0
Other,B,C,-54.242222731978714,B,-93.07446706474731,B,A,C,E,-113.53929722402178,-21.75591355512153,0
Other,C,B,63.181071081843285,E,-66.75795331275096,A,A,C,E,-138.91729269741612,35.40696835182595,0
Other,C,A,-32.57866876338413,D,-55.66277723951087,A,A,E,D,95.34762882725832,-111.68378817735301,1
Homosexual,B,E,46.41271210310751,E,93.20092357428635,B,A,B,E,-22.359266008626747,-83.89163838468441,0
Bisexual,E,C,23.208052484319317,A,-45.4822730731164,A,D,B,E,49.221346174365344,-109.05092537661156,0
Homosexual,B,C,68.34041116534326,B,-110.96506817480301,A,C,E,A,-136.82364264746587,-84.72028479784227,0
Heterosexual,E,C,12.985805335801311,E,-23.7693440407169,C,A,C,E,51.78060158278935,6.481355895343557,0
Heterosexual,D,D,-102.82462381360556,B,80.55093423190748,D,C,D,C,-24.522514765598068,-150.92966729953068,0
Heterosexual,E,B,137.15397822879305,B,-18.583728960804713,E,D,E,A,86.77517321824755,-46.4872044098922,1
Homosexual,A,A,-30.646492784991185,C,33.43835675388836,B,E,E,E,122.10497270787111,-139.30772409041882,0
Heterosexual,E,B,-32.740365430815125,B,119.00216088614921,D,A,E,A,-122.44696148952184,81.57793863243033,0
Heterosexual,C,D,-35.09515487319852,D,10.841798358306901,D,E,A,D,72.1634315162884,263.30720938573245,0
Other,E,B,11.14914406292795,C,-161.81141673526113,B,A,E,A,13.263641527182319,-184.2523389000783,0
Heterosexual,C,C,-163.819824096934,C,-45.15105715407773,C,B,E,E,-69.87195652902867,-44.41988033586717,0
Homosexual,D,A,36.48242237502598,A,-154.84345928009014,B,E,E,D,123.96288051925242,-151.5151305050987,0
Heterosexual,D,E,212.14647859525857,C,-75.04547996931788,E,B,D,D,10.694875331674673,-14.800676543772488,1
Heterosexual,C,A,-10.005320551321395,D,16.786830205478275,E,C,E,E,97.20128564974688,-90.40344231522933,1
Bisexual,D,B,34.500409829069156,A,132.81835297931985,B,A,C,A,-45.214881979032775,89.06769627660998,1
Homosexual,E,D,-22.523537239580538,C,36.24116888862628,B,B,C,D,-162.5536201830238,70.57012104461286,0
Heterosexual,C,D,148.48506959119806,B,83.10951031675309,D,C,D,B,114.30780825389934,152.5837950168445,1
Homosexual,D,B,29.786357302465138,C,-7.9854280843432575,A,C,D,E,40.44909157184822,-23.882225426480687,1
Other,B,D,34.37712593021979,B,-165.3457859775261,B,B,B,E,257.4905660551485,59.03291282160076,1
Homosexual,D,C,-43.25423379479821,B,104.54436787471508,C,B,D,C,192.45983046476815,-84.37549208193467,0
Bisexual,D,D,-34.635698893337285,E,-28.9249999231596,B,B,E,B,7.803284159894444,31.298500117581135,1
Heterosexual,C,D,-5.77787175319822,B,9.920946297181182,C,A,D,A,151.56101535967943,131.52068320747972,0
Homosexual,A,B,-103.96943356125148,A,58.46490546690433,C,A,E,B,89.64256562439614,-29.455226431183895,0
Other,A,D,99.27330801099308,C,63.30169339230045,B,E,E,B,-70.1341792180919,-176.2949602516416,0
Other,C,B,95.73290582298394,B,-111.11195191650405,B,C,D,D,30.556905586685428,-120.86127990174096,1
Other,E,D,7.010428447367807,C,-224.888699828925,A,C,B,C,-72.79702725497508,68.21670428321211,0
Heterosexual,A,C,174.99822542527133,C,51.32422814133245,A,C,A,C,-94.19522009968281,47.97979988697991,1
Heterosexual,E,E,-42.002486424853444,A,-21.141276147513416,B,C,B,C,-189.17158851740353,132.84036681358782,1
Heterosexual,A,C,-117.77639358795344,B,151.5867597604497,E,A,D,D,170.1528599084281,100.81752609764523,0
Bisexual,E,E,-95.81291348291401,E,8.118519188166358,B,A,A,C,-220.30792546231174,-100.42124008040881,0
Homosexual,C,D,19.591931852375787,A,203.5702180088916,D,E,E,C,-23.261003621190408,185.53859012716364,1
Homosexual,C,B,15.119042988348816,B,17.6793018411746,D,C,A,E,6.43869347497691,-101.4472555472088,0
Homosexual,A,A,-100.17376164588545,C,14.414751226823833,C,C,E,B,157.16095872363803,17.5872848978754,0
Bisexual,A,C,-108.0823770239844,C,67.5331835303804,C,D,C,A,-8.302723782801893,-194.6537896184641,0
Other,B,A,102.52826981698536,D,-0.990719572401669,C,C,B,C,73.37918496095898,-53.369512808889965,0
Homosexual,C,E,66.09743511034002,A,-25.663478027532094,D,E,D,A,-68.62945893272116,143.62813836243637,1
Heterosexual,D,E,-45.05021559817873,D,-61.56443832862525,D,A,D,E,-148.65325671541427,-34.405287183936714,1
Other,D,B,34.746131268792396,A,43.73697506168313,D,A,B,E,54.86802881767892,-96.85598513063303,0
Bisexual,D,C,108.37894731810734,B,-91.42637797396874,D,D,D,B,-65.06242075650867,23.609793530720303,0
Other,C,A,219.2619035003836,E,276.33688757733694,A,C,C,E,-96.84908332258587,63.11940351348978,1
Heterosexual,D,E,-37.73112310878067,C,95.85433979986054,C,C,C,C,-23.48406502927339,-4.635681799171599,0
Homosexual,D,B,-141.15119598399997,C,45.245625870246634,C,B,A,B,45.931934695671394,37.67155708335831,0
Homosexual,E,C,50.95048172503635,C,-175.17762475854073,C,A,B,E,-63.61808606765065,-4.496785942842756,0
Homosexual,C,E,6.026803015827357,D,1.1641247977958002,C,A,A,C,-287.2078501498145,121.98360602550923,1
Bisexual,A,C,-24.494285893647465,A,22.37673101133782,E,B,B,B,-228.8205943210304,65.74227154283629,1
Bisexual,E,A,68.24349545329653,B,-128.15024099442698,C,D,D,C,-20.98655081165991,7.684649822933968,0
Bisexual,E,B,-55.0795411001416,E,32.55239449548601,A,B,D,C,-96.32283227700154,57.74456876405968,1
Heterosexual,C,D,148.59318756896826,B,-32.615666186911696,B,E,D,C,108.25899228910671,23.953342211285296,0
Bisexual,C,A,2.17499511994876,B,170.68892903724745,B,C,C,A,-44.67920135734511,-73.31409553917783,0
Heterosexual,C,C,25.132097365020158,D,142.30168249360432,A,B,C,B,21.6407202392062,114.97155356144482,1
Other,C,B,-27.679653113568726,C,80.98919821840036,E,A,D,E,-43.54842820932007,-10.616676766512809,1
Other,B,A,85.84445108893858,B,170.77073462243538,A,D,E,D,21.054607655024142,6.963012989920508,0
Other,E,E,5.198522932877741,D,-55.49862863424434,D,A,C,E,-69.84101456313309,-233.10863115185492,0
Other,B,D,-74.67319872882334,C,120.88803009592246,B,D,E,D,-44.63264145267358,13.00064622795939,0
Heterosexual,C,A,145.31047198532073,B,115.67908637924089,C,D,E,B,-71.28309211945557,-160.26403665552112,1
Heterosexual,B,A,106.92202840362772,A,-109.69819085868355,A,A,C,C,-6.287399797065277,163.61649641735164,0
Homosexual,B,A,-18.556571249766247,C,-140.64748946940514,C,E,E,C,-37.056504342992106,-16.358162562364743,1
Bisexual,C,E,-67.74487175196519,E,75.83999635823483,D,B,D,C,67.79303167692382,44.43434204186632,0
Homosexual,C,C,2.4909020204436993,D,100.30083623528671,B,C,C,D,144.67971216773364,-9.57600858197357,1
Bisexual,C,D,-154.16727315655712,E,103.73899308373254,D,B,A,D,63.09177679965596,-44.3932406678996,1
Heterosexual,E,A,-71.07252920491233,E,24.378042471620848,E,E,B,D,133.62961626332373,29.064821130962788,0
Bisexual,B,B,105.2587859442672,B,39.55782571602361,A,A,C,D,-158.73259075021477,-153.89378902912418,1
Bisexual,B,E,42.903196069999964,C,-122.28009439958016,D,D,E,A,-102.26969730362521,133.57982848174706,0
Heterosexual,C,D,128.04750218656238,A,1.9827545193892868,E,C,E,A,-88.86381917302154,-56.0774030965192,0
Other,E,C,-172.86641071641097,D,132.95609416381566,B,A,E,A,43.87651233846089,-12.382771064868189,1
Homosexual,C,E,87.9324314378058,C,57.54128851032061,A,E,C,C,77.61057386819594,76.13605861572007,1
Bisexual,D,B,171.3244521103905,D,-55.31273218803536,C,C,D,B,32.58669774930157,-73.18033052375078,0
Bisexual,E,B,-206.06502631732764,E,-145.37152687798073,A,D,C,A,-124.87094570001031,-56.90088155886195,0
Bisexual,A,A,12.911414932565101,D,-28.991398872710512,B,C,E,C,-113.30526362796213,-48.00582046818314,0
Homosexual,A,C,-0.44683756878147524,D,38.76139291752191,C,A,A,C,96.70661487622063,-37.88044603845117,0
Other,C,B,3.643429980122148,C,-17.81644195467379,A,B,A,A,41.3082231696223,-107.72916888539905,1
Homosexual,B,C,13.429221889236281,D,35.37987142874784,B,E,C,D,48.123003242062296,27.50307028078361,0
Homosexual,C,C,-72.1616835305788,A,-22.07266492228978,B,C,D,E,-50.64654713199081,45.38585431327877,1
Heterosexual,E,E,-53.35882819633403,B,-23.508142374739325,A,D,D,E,96.69201960319025,-27.993454656013704,1
Bisexual,A,A,114.02700558409347,C,-129.69209294961004,A,D,C,E,-128.71038247438838,-29.76088859114259,1
Bisexual,A,D,60.17176633408282,D,-75.01594737766891,A,B,A,B,37.28755593119933,96.8992209992797,1
Bisexual,B,A,91.59018344521313,E,-75.30947730247438,A,D,B,B,-212.1316871866363,113.51614418228641,0
Homosexual,A,B,-93.44646846648621,B,-208.29049168686024,C,E,B,C,15.255199782055461,-64.08939199182528,0
Homosexual,D,D,71.38080761337324,E,112.8622347880429,A,C,A,E,14.970885466416261,239.40290146698226,0
Homosexual,B,B,59.236479172769805,D,3.06466790192309,A,B,E,B,154.95701592084933,99.01770824293537,1
Bisexual,B,B,90.09227527251414,C,-78.70425296155813,B,C,B,D,-55.810802386491034,-52.35818093796546,0
