sexuality,Veteran,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Homosexual,Veteran,None,-249.09202296753392,E,E,C,-74.52454957594702,E,A,139.21853484134127,D,70.46993435755057,D,-33.86372636153551,B,A,-70.47938392654265,A,C,1
Homosexual,Non-Veteran,Both,-79.90870700916577,B,D,A,-60.95204339103909,A,B,-8.542145751766776,E,225.5598620899328,A,75.70089571632536,E,D,-70.94360482805257,E,D,0
Other,Non-Veteran,Mental,28.353700419809513,E,C,C,-0.7284594161791164,D,B,43.78682952423607,E,-18.532782506254847,D,112.65180949309375,C,D,-13.564915553112858,D,A,0
Heterosexual,Non-Veteran,Yes,-19.608010174417803,E,A,B,-35.03371981722947,A,A,-145.01089121575558,B,20.583828056874847,A,-125.92385983665191,C,E,-134.70461962037652,C,E,0
Other,No,No,-165.22726074275081,B,C,A,5.916362359405615,A,D,-70.29865802015935,B,-144.9418811661187,B,86.01498616791868,D,E,40.00085012687979,B,E,1
Heterosexual,Non-Veteran,None,14.017382999772341,D,B,C,78.44023587904636,B,D,-6.927656973184244,A,130.75187071331004,A,46.34248637045555,D,B,36.653127056403854,D,D,1
Other,Non-Veteran,Mental,122.68206935756496,D,D,A,-68.07058659758758,C,C,62.78838935873765,B,-213.3017974549102,D,160.44789742984165,D,C,-13.120109385662987,E,E,1
Other,Veteran,Mental,-151.94606725892322,A,C,E,-36.63762556940476,E,D,-81.18310788696212,C,57.07777401184471,C,-39.04617450465503,C,E,-114.04614337363874,C,B,1
Homosexual,Veteran,Physical,-10.54258843822382,A,A,C,-72.07347393638143,C,D,71.29656348842829,B,58.775418110001254,E,193.99656263567883,C,C,132.9764471471879,C,B,0
Bisexual,Yes,No,-9.610164052629338,E,B,C,-140.8340951216319,E,E,175.20132739861853,E,-65.4339059300161,A,165.03375446865098,C,B,116.32718261518598,D,B,0
Bisexual,No,Both,-92.17648460719133,B,C,A,74.29699700441182,B,C,22.325677765588143,E,-149.40022060287447,C,-25.259223122862306,E,C,54.78649648109185,E,D,0
Bisexual,Yes,No,-118.61448665602441,C,D,D,0.9785794562309978,D,E,19.664969417191443,E,-29.919618905535295,D,-21.714074023980416,E,C,-70.76221975424897,D,C,1
Other,Yes,No,135.14006951557883,B,C,D,-159.21650596889864,E,E,-69.83332309351925,D,-54.70367284730793,D,64.36692560324767,B,C,-62.16656521261814,C,A,0
Bisexual,Veteran,Both,-26.39468489029647,D,C,B,86.59024740168644,C,B,-28.318221835842483,E,203.7167400792597,C,-236.99585939216342,A,E,12.08151770431992,C,D,0
Bisexual,No,Both,-98.08605244893063,D,A,C,-10.616983488410321,B,E,-122.82182756447995,D,64.33056808254344,C,23.928528589506907,E,C,-52.58239529550319,E,C,1
Heterosexual,No,Both,9.237406556147656,B,A,A,83.80873595513934,B,A,-11.255878574713055,D,35.369713486343784,B,22.341475014632593,E,D,-98.24215090713663,E,C,1
Other,Yes,Yes,-67.58730296151285,B,B,A,75.40630166116493,B,C,54.840765709002724,E,96.53285214364568,C,-66.40413826554094,B,D,-84.53629118434264,C,C,0
Other,Non-Veteran,Mental,215.79652608368707,C,B,D,-59.74412733397423,E,B,-26.18029043091155,A,-174.38996925877566,D,-159.2239417373616,E,E,31.381681611890343,A,A,1
Bisexual,Veteran,Physical,29.65483367378988,C,A,D,13.011706046729946,A,B,27.32966219963811,D,35.56149146878686,B,119.23206304701199,B,A,55.329490427262385,A,A,1
Other,No,Both,83.03803920202651,E,E,A,44.65200203985692,A,B,-9.780875769930471,A,-153.2796587945029,D,237.98615213402843,C,D,-39.32684337439955,C,C,0
Bisexual,No,Physical,-55.01171168977781,B,B,B,223.68483297786926,C,A,-126.21934638679267,B,-14.793737785022868,A,-48.2664548891572,E,E,-111.12155594927266,B,D,0
Bisexual,Veteran,Mental,-79.08147924954756,A,A,B,-32.11738466825535,E,B,30.95144338486775,E,185.19031987323353,E,-82.92843385419789,D,C,-147.8252782749024,D,E,0
Bisexual,Veteran,Physical,-69.46730348533761,C,A,B,-54.99716616024766,B,C,95.31118838768786,B,40.57022095444533,D,72.97201872658286,B,B,43.05471445653973,C,C,1
Homosexual,Veteran,Both,46.235463359370584,C,C,A,88.11546283524858,D,E,37.28512731435,D,-143.80440294490467,D,-136.42523622330424,D,A,-16.329613232103597,D,D,0
Heterosexual,Veteran,Yes,-15.461124690040334,C,C,C,-91.12505660730159,D,A,-53.55155548527279,A,25.69254914021308,C,-9.931566059712745,A,D,-92.441513311818,A,D,0
Other,No,Yes,-93.99058657928566,A,A,A,-21.39548805897769,B,E,45.53725289199658,D,99.18650968369633,B,-99.57968159932477,C,C,159.4905252052621,E,D,0
Bisexual,Veteran,Mental,41.325398913548746,C,E,E,101.70678653731105,D,A,22.278707135027616,C,-14.074167330535664,C,-20.259361576429388,E,A,-3.352612359875571,C,A,0
Heterosexual,No,Physical,95.04466940950371,E,C,E,-256.5107685237572,D,C,58.92736488797321,E,-61.3041099956091,E,32.69525835379515,C,D,146.32690929965446,C,C,1
Bisexual,Veteran,Mental,-140.80749278128073,E,A,E,55.96697596948545,B,A,-20.192982769978407,A,-380.3267694532024,A,-57.31372199106873,E,A,-57.69811563004831,B,C,0
Homosexual,Non-Veteran,No,74.38979130035148,C,C,B,-4.284518044225199,B,B,-170.06086928570582,C,-21.674036802835033,B,-48.11641607014828,E,D,0.6413543771682645,B,A,0
Other,Yes,None,-1.7946336453326563,C,C,D,142.56653659109017,B,B,-219.58539212189962,B,-15.759985401115676,E,-185.77502071123527,D,C,-104.13699846249351,C,A,0
Other,Veteran,Mental,-56.36940755765818,E,C,A,-126.27405378366814,D,E,-118.40030473314629,C,-68.20214717362536,C,6.134957217054734,C,D,-98.78115689852093,C,B,0
Homosexual,No,Physical,27.048555341704137,D,A,B,185.08831991083872,C,C,106.17886416013391,B,-98.99196259441666,C,72.44745417828827,D,A,20.945449035620996,A,B,1
Bisexual,Yes,No,194.56078759079782,B,B,B,82.57920660709583,A,E,-46.6237176361894,A,-213.97633014603605,C,78.85128763657774,D,C,12.431760311954633,A,A,0
Heterosexual,Veteran,No,-161.52735819650903,D,A,B,158.104579100797,C,C,-56.70933986188812,C,-112.07983964184523,C,-15.59396756085277,C,A,-13.169893019731656,C,A,0
Heterosexual,No,Both,36.6801637168922,E,A,B,-17.54394407926729,E,C,-89.51742813861264,D,-52.87473815855167,C,78.81494159088805,D,C,-95.73705972733319,E,D,0
Heterosexual,No,None,20.735307524199083,E,A,A,-27.322917551373944,B,D,146.66860737981176,C,-57.99830532229605,E,-52.470940424858014,D,D,44.04461899990428,D,E,0
Bisexual,No,Mental,158.13736554040287,C,A,D,333.46651376719956,A,A,15.655201003183505,D,-5.6481334479591485,B,-114.08910077072233,D,E,-47.830074232189105,B,B,1
Other,Veteran,Mental,-62.76661993287844,E,C,B,-26.454509542173877,C,E,115.39734993538279,C,-41.56809196135574,B,156.34727427466242,B,B,7.8872924416692385,B,D,1
Other,Veteran,None,-161.5887516038248,B,D,A,15.50758576176782,E,D,-164.49188588537106,D,162.1527822669192,E,-107.05340606163799,E,D,-104.00940990060693,B,E,1
Other,No,None,-103.35464488478448,B,D,E,90.61154213995357,A,A,-91.00790873901893,D,-104.4155028275775,C,41.63126457879186,B,D,117.23824243958705,C,D,1
Heterosexual,No,Mental,-11.23621790911708,B,B,D,-27.921429530111542,A,C,-125.70112650588257,D,-41.57540049456933,E,-4.129540983405356,C,E,4.568341061777621,C,E,0
Homosexual,Veteran,Yes,-37.0873906593962,D,C,E,-1.6564987589890727,B,A,-81.31650936442192,C,-276.8170084949553,A,83.68721437556098,B,E,248.58744284626587,C,C,0
Homosexual,No,Both,98.46233268464526,B,B,B,-32.25129004416164,B,D,135.18613595469898,A,-163.69606402620698,A,68.04297564631509,B,E,75.82782463928291,A,B,1
Bisexual,Yes,Both,138.99594948247727,D,C,A,-8.376000358043036,C,D,-88.18777637322968,A,-11.710601936264103,C,94.62640202834606,C,A,-75.85069215336128,B,C,0
Homosexual,Veteran,None,235.32467584967196,D,C,E,-32.85778728651642,D,A,33.50351000047167,D,50.43143009811286,A,-97.19732266854203,D,D,15.700040071446905,E,C,1
Bisexual,Non-Veteran,Both,62.811990804944394,D,B,C,41.604589242326036,D,B,5.280674811071942,C,98.01031456909583,E,69.9978902792998,D,B,-42.606329950402625,E,D,0
Bisexual,Non-Veteran,Mental,35.83426724627248,D,D,D,86.69288302367914,B,A,142.11196597570273,B,-155.71051531328445,E,71.94585968162653,E,C,-59.876384087010926,B,B,1
Homosexual,Yes,None,177.7774444883626,E,D,D,157.53757442998958,D,E,56.064983547900205,D,80.4491243998276,E,-13.40378441574996,E,C,74.6433240571821,A,B,1
Bisexual,No,None,196.76213549886887,B,E,A,50.42115569708637,A,C,-13.812194534261323,B,-189.69799909059302,B,-162.26783573344562,B,B,-98.17746198438597,C,D,1
Other,Non-Veteran,Physical,-96.8973026583354,E,A,E,87.88032877471474,E,E,7.972177826522045,A,-80.72815457863298,E,-21.792339564240724,B,D,94.07494751587801,E,A,0
Bisexual,Yes,None,-77.63002358551346,E,D,B,62.8039084505181,E,E,-51.346123417863964,B,21.874144246350482,C,-123.33145018034672,E,B,162.48791803155544,E,A,1
Other,No,No,24.918293880365457,B,C,C,159.26205185164136,C,B,-25.271114610777364,B,12.368618549063516,B,-143.2116453853918,A,D,-84.2546430042976,B,D,1
Homosexual,No,Both,-75.66938818861549,D,C,D,-10.68482768254078,B,B,128.35623138268923,B,55.087796516037656,B,-202.20373406145043,C,D,41.02972367016636,A,E,1
Bisexual,Non-Veteran,Mental,65.81926520236306,B,B,A,-6.355767267284995,C,C,130.0460028747979,B,108.66023930310642,D,-84.68343385398364,E,B,-66.97278395514275,B,C,0
Homosexual,Non-Veteran,Both,-139.07054864098097,B,A,C,82.57075575675292,D,A,-104.41974452456056,E,80.06878049545972,B,-114.51924640421277,D,C,-25.77761357240013,E,A,0
Other,Veteran,Both,124.50063501288089,A,B,A,-65.67861326599918,E,C,-75.9950363730562,B,-152.0226267722276,E,-74.32391713923958,D,E,82.34351188704451,B,D,1
Homosexual,Yes,Yes,61.86066877052659,E,B,A,-49.56427205015207,A,A,114.7582333118171,C,-152.31385695784752,D,-14.790430114221092,E,A,100.65739465449471,B,C,0
Heterosexual,No,Both,19.21313981940421,D,D,B,-140.3038136377988,C,A,-111.51467517398453,A,107.20915784325473,A,157.07738491604493,D,C,-108.20032161515867,D,B,1
Homosexual,Veteran,Mental,29.8548981431385,A,D,C,-40.79650928502196,A,B,53.77360741178451,D,55.557137544427036,B,-132.83469758433884,A,D,-263.4398575884159,D,D,1
Homosexual,Non-Veteran,Physical,-4.538956815728716,A,E,E,107.89040267239298,C,C,24.035503810951496,B,171.80502730004207,D,96.97432940670129,A,D,-214.3604754406916,A,E,1
Other,Non-Veteran,No,-115.4377347419486,C,D,A,-111.06979846052087,A,C,95.28299057696613,C,17.428003787046276,C,-40.46651877026709,B,D,-77.21958569974062,C,C,1
Heterosexual,Yes,Mental,6.17934583331515,B,E,A,-226.27004782385148,A,C,167.14996088395014,C,144.76698064468286,C,-210.75423521529558,B,C,-111.3384555802659,E,D,0
Other,Veteran,Physical,-107.70243621247957,A,B,A,-54.977378848802786,A,B,78.25226535266235,D,37.128279855780264,E,-50.852980438723705,E,A,0.2729700463693254,D,D,0
Bisexual,No,None,187.3721548377863,D,E,E,-142.86825125934462,E,E,145.8848565200718,E,54.36622816565095,B,-93.53376145118936,B,D,155.34291839153354,D,B,1
Bisexual,Non-Veteran,Mental,3.418453903877503,A,B,B,55.44967919278668,D,C,46.252122885744114,D,59.82671860469271,D,-55.275834567456016,B,A,-60.37983497992408,B,C,1
Other,Veteran,Mental,-211.96710422839251,C,C,A,-160.66602602869867,C,D,-79.87814591011269,B,154.51122565618545,C,30.060525303300718,A,B,-6.8890535745027766,E,D,1
Other,Non-Veteran,No,-205.13609724025596,E,D,E,40.985508005213134,B,E,-19.99351341578576,E,108.9585855881677,D,-106.85695004693225,E,E,-151.2495045902569,E,E,1
Homosexual,No,Yes,-22.469472962973164,A,C,A,46.77098434352035,E,B,-17.725790446787553,D,-228.13312267174223,A,-44.85370052411424,D,A,286.3692992295249,D,C,0
Homosexual,Non-Veteran,No,-54.40498766338071,D,A,D,-74.28810370104705,C,B,-22.910223097607975,C,-113.117346840341,C,-23.984929612954616,B,A,-29.288054590049594,A,A,0
Heterosexual,Veteran,Mental,-209.03616058383795,A,B,B,-70.24885758004505,E,D,89.33935041995731,D,-103.46267552851663,B,-160.49899809975386,B,E,57.68919070053728,D,D,1
Bisexual,Veteran,Mental,-137.5470188926113,B,A,D,-110.6816052792246,C,D,72.91001342431956,A,-176.81330590404454,E,-123.86662056523221,E,A,-113.9717527461803,B,E,0
Bisexual,Non-Veteran,Mental,76.22978502143242,E,D,B,-49.4928859632352,C,B,28.652826782369402,A,44.63339790524788,E,-145.7013785986928,D,C,13.747602527121156,E,A,0
Heterosexual,Veteran,Both,-105.26381045951578,A,A,C,-68.96347590502032,C,A,-135.2868298360813,A,-29.19263351921424,D,-41.05554243921414,B,C,-68.8468918487494,B,C,1
Homosexual,Veteran,Mental,-168.57689996882073,B,E,D,-14.70412820623321,B,C,4.934461149109302,D,-150.72513706872653,D,165.2013557237299,D,A,-88.03820488766524,C,E,0
Homosexual,No,Mental,-108.93340532965642,D,D,B,-147.02741570419514,A,B,-93.98407817530125,C,-138.6825154526081,D,-33.51596487458505,C,A,-13.793721907905649,C,E,1
Heterosexual,Veteran,Mental,-190.38348441670746,C,B,C,-91.00215310013316,B,B,20.72553491958965,B,-102.842858071941,A,-49.178694629271384,E,A,-67.4789524587285,D,A,1
Other,No,No,-40.405361618574034,C,A,D,94.92464867996846,D,C,-85.44281041988148,A,-75.11441758758689,D,-145.1674439639258,D,D,69.40708853960356,E,E,1
Heterosexual,Veteran,Yes,-86.42399763035964,E,E,B,28.784144993853616,C,E,-128.2426126903198,C,104.15156869453534,D,-154.55679073990552,A,D,-9.839087202000089,A,D,1
Bisexual,Non-Veteran,Physical,-72.02717252036297,E,B,B,-48.20850191343698,C,D,-74.4629612841717,E,17.734028456226156,D,-54.83469397573184,A,E,81.35858088234471,D,E,0
Other,Non-Veteran,Physical,156.10564949417406,D,E,A,-195.825844828092,B,A,57.74049617465175,E,14.257155387067233,B,98.98965593790354,B,D,144.21082184890594,D,B,0
Heterosexual,Veteran,Physical,15.065791940212488,B,B,C,26.059780179245912,A,C,-46.36222377850577,C,122.7472962959794,B,32.511770994262804,C,D,70.87371083625003,C,B,0
Heterosexual,Yes,Yes,4.659322475902133,D,C,E,-236.42456588732165,D,B,-171.5798834401211,C,-23.681686166639754,C,41.883120626172854,C,B,-18.32722146059316,D,A,1
Bisexual,No,No,-41.199638914906764,E,B,B,127.8115903640322,C,A,149.53615636296377,B,13.731940290806055,D,-71.78706965724042,D,A,-34.087191901195666,A,A,0
Heterosexual,No,Both,71.63314344979848,C,D,E,-22.699848194749634,A,B,59.85167918465294,E,62.60205315763216,A,-55.238569992078226,E,A,-25.811972826976177,C,A,0
Heterosexual,Yes,Mental,81.89120953941475,A,E,D,61.37583159623669,D,C,-117.56235275053125,E,126.57682540784366,D,-51.17550356420492,A,A,-11.823182664868344,C,A,0
Heterosexual,Veteran,None,36.34076074690095,A,D,E,-177.82537354426472,A,D,-30.84345728098833,C,-34.37428296861393,E,207.3467951247696,A,E,64.64058176814078,B,C,1
Heterosexual,Veteran,None,145.95878727731935,D,C,E,-135.52080266683944,E,B,-153.04195392871364,D,-134.09189021071535,D,-133.49782640056773,E,D,3.0596854177973203,D,E,1
Other,Yes,No,127.77815723156385,E,C,A,117.34682041504556,D,D,206.87734493847555,A,188.36084724189408,E,92.56493167008031,E,D,52.37596077057207,C,D,0
Homosexual,Veteran,None,21.581511373085032,E,E,A,100.35179605899287,E,E,1.7404013451384666,E,1.3561421003687029,E,-179.6180012188489,D,A,-54.63900746935434,C,A,1
Homosexual,Non-Veteran,Physical,52.31236426624047,A,C,B,-176.55653012724693,B,E,-73.40128897893153,E,110.51537479774531,A,-84.21279204140562,D,B,181.00313940036844,D,B,0
Homosexual,No,Physical,101.78230954257373,E,C,A,21.81646706596952,A,A,-77.2720254961198,B,-38.75790881511268,C,-23.295530990407745,A,D,15.652699592717997,C,A,0
Bisexual,Non-Veteran,Yes,108.46457935841438,B,E,E,-81.81254376192418,E,A,43.15979925317502,E,-194.89673261533932,E,238.48867160814908,A,B,-20.82874865851737,D,A,1
Heterosexual,No,Both,132.72149618827396,C,A,A,-78.26652411314349,A,A,76.25450147749278,C,143.44068773803377,C,136.3881919426826,A,D,-95.72061095574448,C,B,0
Heterosexual,Yes,No,-2.5008324674492135,D,A,D,-83.87384135077946,C,D,-95.66243257757797,D,131.38925239025647,A,-114.85548967020645,E,A,39.682527912298106,D,E,0
Other,Veteran,Yes,0.9634865574009256,E,D,B,-103.62258933062769,A,D,141.7000524194543,D,-26.253569536521415,A,148.67234612896942,E,A,47.55305437115014,C,E,1
Other,Non-Veteran,Both,-54.952050864671456,B,B,D,-4.514573955525442,D,A,56.34516800638657,E,158.64056062206782,A,26.25493663682576,E,D,-68.47238786901133,C,B,0
Heterosexual,Veteran,Mental,-95.29878021612967,D,B,D,130.67110723935548,E,A,-166.3505056318827,C,-37.00279083411624,C,64.4820597568439,D,D,-75.86314673491891,E,C,0
Homosexual,Yes,Both,-42.1999298951907,C,D,D,48.62952837977642,D,D,20.88150264482345,D,-55.294213337651776,E,-270.3227927788156,B,A,40.50350626256629,B,C,1
Other,No,Physical,0.62864552227807,A,C,B,16.798453009670187,E,B,4.817164619888194,B,-9.690785900699437,B,54.77764903234248,D,B,-55.75698414332574,C,B,0
Bisexual,Non-Veteran,Mental,-67.3232813962781,B,D,C,139.85107074749627,C,A,-57.049340716794376,B,45.22934266831644,B,-36.261141943508726,E,B,-23.446873953822823,B,B,1
Bisexual,Veteran,Yes,-4.03509020836613,E,A,E,-34.39255626312408,C,D,84.35875968384579,D,-84.87486439172855,A,128.38077221660674,C,C,48.92586204439506,D,C,0
Bisexual,Non-Veteran,Mental,184.271631603076,E,E,D,-44.160132897595005,A,D,78.83171479127815,A,-160.38665653397018,E,-9.21794449151528,D,D,-115.39851449126503,A,E,1
Other,Veteran,Physical,55.78721989172,D,A,A,-35.68478965965841,D,C,7.619386004243542,D,-8.801564010620615,D,-12.895658478185357,B,B,-102.85903040879927,E,E,1
Other,Non-Veteran,Yes,66.94233480486666,B,C,A,102.56856516957716,D,D,-131.71680374892517,D,146.22186701695549,C,-29.25250876540268,B,A,-71.28157366244629,B,A,1
Heterosexual,Non-Veteran,None,-61.77073590874613,D,D,A,-145.62389861073393,C,B,145.3610589467199,D,-134.00456540682808,B,22.924210171380693,B,B,284.70253853868587,D,D,1
Other,No,No,65.58243152163976,D,D,A,17.78607879119713,C,E,10.094095200282014,B,-12.425681830765726,D,123.20478433045598,A,C,129.87253742254222,A,E,1
