age_group,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
26-35,69,53.351888654315346,-170.04842489146816,D,A,E,-51.52880946737033,B,55.908067366603696,B,A,92.088447810724,A,0
26-35,53,-212.37885541565925,-118.91026064536017,B,E,A,15.123966825236263,C,80.18983145256315,C,C,-125.31173207709081,B,1
65+,28,-74.04680223614926,56.1027772065473,B,A,B,117.14378108686032,B,81.48321048798924,D,C,-149.37582406943056,D,1
18-25,32,-88.80024302950528,-5.0701016122670595,E,D,D,64.76496026545414,D,-228.70220981739732,B,A,-129.2303075447363,D,1
36-50,85,248.2052440409399,33.065647923457234,C,D,E,-2.9909730759908797,A,61.66508476357747,E,D,68.24837914227467,D,1
36-50,53,40.187291352199104,101.02553837530273,D,B,B,-59.75786436567737,E,-97.76171725842485,E,C,62.9191470998869,E,0
18-25,66,-72.77119120927107,-265.51427068739287,A,A,C,59.55777116813654,E,76.20826574564306,C,D,68.34084871846098,E,1
18-25,72,-1.3907194377747552,-12.519849731090227,E,B,C,-15.153014141970381,E,46.76318829871204,E,C,40.345541006010635,C,1
51-65,30,-49.28299604409529,98.39048484130748,A,C,B,127.73137725555802,B,-14.36089963210338,D,A,-82.32982988286962,E,1
26-35,84,-167.0059236644142,-57.68344232843325,E,B,C,50.61709095632813,B,4.897553768529351,B,D,-124.4834111070088,D,0
51-65,47,-19.819817421110965,-165.85672476600843,B,C,A,-108.2249509761263,B,-143.15655301092386,E,C,-211.50019637382863,E,0
26-35,48,147.67021182897844,-63.70890202026743,B,C,B,-6.060659563977623,A,-31.144813095594547,E,A,-24.597484122279106,A,0
51-65,64,294.9325039452602,-145.42059949912388,B,D,D,-52.04859325175857,B,6.241664016499689,E,C,64.64586902599963,A,0
36-50,20,99.54232046833087,-170.52248176734332,D,D,A,19.409277774879637,B,5.055415076008514,C,B,-37.820771767326164,C,1
51-65,19,57.58309878621254,2.9043998090161853,E,E,D,-235.0235278568256,D,-152.74379562343495,C,E,8.216938610888628,B,0
26-35,75,28.443014311445207,-53.71450233200291,C,B,E,112.56146250680786,B,-1.4143687341047015,D,E,-5.312771845078211,B,0
65+,83,-144.28299712461595,-50.35166336657,C,C,A,198.60073214555655,E,-224.55225548851877,A,E,134.51729915142622,D,1
51-65,18,-38.742836177718544,-111.41210980321536,E,C,A,-52.181785758874575,C,-76.608796921934,E,C,-76.58078800675028,B,1
18-25,34,142.6638972275629,153.99002238346208,B,C,C,-0.5459733301352254,E,-134.07406888076804,C,C,55.08894238616562,D,1
65+,45,-128.13042401311068,49.46857997267048,C,B,B,51.42805766218386,C,-95.91981117416717,C,C,14.394777770360212,C,0
36-50,69,-52.8717398490108,-83.86088905219397,D,E,D,100.42744339638794,C,-23.24465369534035,C,B,-92.64974987495243,D,1
36-50,44,38.62789042075145,56.2917762534519,A,B,A,-30.052494560702918,A,227.86148737001767,D,A,-4.502952882350564,D,1
65+,61,106.63433645754314,184.29792745115705,E,B,A,28.981922777201763,A,52.39884975753284,E,D,-137.5785153239125,A,0
26-35,47,-128.89458939856982,135.2955754854887,A,E,B,68.07281169689875,E,0.42103913560459955,D,E,-140.17808784431898,B,1
36-50,47,-20.93785272497041,102.17051089313065,B,E,D,169.9945507775144,C,175.13240977216734,E,A,2.4100259467679765,B,0
36-50,40,216.7311287513477,-76.8780910314334,B,A,B,-9.952601383970865,C,67.80156824327025,E,B,99.3722498104962,B,1
18-25,60,32.333344193578995,6.770391491660033,A,A,C,-1.3261597281815256,D,112.75028122101929,B,D,40.42617808272522,C,1
26-35,62,40.66089768011003,-113.54627324822557,D,D,B,-54.90778015794994,B,-243.2845137350166,E,A,-92.1301753280459,C,0
18-25,97,-19.396404431859477,-159.80430505690885,D,A,A,82.78477572052277,D,-222.53376262749902,B,B,52.33955725022983,B,0
18-25,74,-39.169594476767756,-108.2163103099005,B,B,A,19.079065834514413,C,196.29466181537535,E,A,158.79236196683115,B,1
26-35,41,-246.13202226494377,139.44068728880333,B,B,D,178.2237753801643,A,26.398400496285763,E,A,-82.84074836428722,E,1
36-50,62,-5.287796412388364,-71.77653397138366,A,E,C,-8.668120949458597,B,-24.12258753386637,E,B,193.21154880452784,A,0
36-50,37,-136.41039713324722,-49.57229572719619,C,C,C,118.55769743844937,C,206.4860919556855,C,C,36.03347058546935,C,0
26-35,58,-26.409796009370307,-222.61212015587017,B,C,B,-82.70240452926785,A,93.95829386752727,D,D,-45.742426388366646,E,1
18-25,18,-22.960148150015932,-125.32472611081089,A,E,A,-135.1295590145495,C,49.04289754901808,A,E,28.03087493399236,E,1
36-50,53,-152.78397257178028,69.7083071133496,D,B,E,-150.35211311813714,A,-21.751744600614177,E,D,-45.742323448892975,C,1
51-65,86,19.183978625608276,-98.31118027845346,E,D,B,-153.71948934030195,A,67.30946201815229,B,E,45.61652995143262,E,0
65+,54,-59.580790173367994,-37.15072543928161,A,B,B,-63.28654648334352,C,-100.3553365274723,E,D,-77.81957693218872,D,1
18-25,56,-110.95633792180273,75.17832364577677,A,A,B,46.87722120866485,D,-19.530780456001757,D,A,-77.98278317276215,B,0
51-65,80,45.23493259574644,62.3792157138744,E,A,E,-146.8217988452042,A,31.058460396033187,D,A,-5.279588619461686,A,0
18-25,26,-151.180065180558,64.66884166766633,A,D,B,29.357192397481825,A,71.88216695316807,E,C,-96.24607488811246,C,1
18-25,79,27.990526206738668,-43.15712938285516,B,E,B,-20.095376771857893,A,-184.32193719838546,B,A,45.28538336148614,B,1
36-50,58,-102.55840277442003,-38.05799514036902,B,B,D,-7.105650083410989,E,-271.2325699126619,B,B,-16.372508590596496,E,0
26-35,94,-306.61426150303816,-32.13703143214725,D,B,D,-102.77963105592112,D,53.71090217542037,E,D,2.4446336419714583,A,1
26-35,24,39.71353497376961,252.17859820865817,A,A,E,-47.30653712401535,B,17.012065463993522,C,B,-59.39974638493436,C,0
65+,22,52.54410876869736,-161.30308262479693,C,C,A,-109.82870529067912,E,53.60027048121832,B,E,-71.7132520869666,A,0
26-35,69,161.97136962775153,59.44623396269842,A,E,E,-57.81469478356841,B,61.23410410173422,C,A,-194.85155053247072,A,1
51-65,35,25.389069838557944,60.463454980645736,C,B,A,45.783181808163306,B,-76.27157581362738,A,B,17.079834561970035,C,0
36-50,43,12.460038598841741,5.119469359907248,C,D,A,75.13546967791453,E,-9.953035246007278,C,A,-14.328367283364951,B,1
51-65,45,-34.58912881119203,-135.82085233769163,A,C,E,86.98188704233549,A,-11.303538426596555,E,C,-337.217663486421,E,1
26-35,70,154.77494503344005,99.93818639979393,C,C,B,-18.528739830476738,B,65.18505560024654,C,A,53.7775077598679,E,1
51-65,54,-13.237720764238151,90.05530505422897,B,B,B,-7.804513681235665,E,-117.00210522310147,C,A,-21.22495842699297,D,1
18-25,96,16.382270767968592,-18.505713253842856,E,B,B,-136.90454474242296,B,-238.13080539973242,A,B,-26.26366689148332,A,1
36-50,66,102.52639347329342,0.3808730239268797,B,C,A,201.4581868006396,B,92.5240859136724,E,E,70.52309192786687,B,1
65+,30,22.960540425990654,96.37320429725362,D,B,E,-161.1629431001634,D,-109.55557014546532,E,C,111.00391526138537,B,0
26-35,61,34.46689901770977,-77.22570488517138,B,A,D,-57.65868255969882,C,50.602874047113765,C,E,-9.90795855472115,B,1
18-25,19,-141.4780305286954,54.029404815661586,C,D,E,-146.5445594943082,D,51.55953865647187,C,C,-40.88557848886645,A,0
18-25,27,15.601169157783188,-11.702075107874439,E,B,D,0.9532526489829968,C,122.80754634852616,E,C,11.73760298241656,B,0
65+,62,29.527021151568604,157.54824253919017,E,E,B,-74.66487834990258,E,117.22245668326015,D,D,-84.82687406802457,E,0
26-35,77,-161.50512428061248,39.63958494467204,E,A,E,228.17686490848544,B,56.28860813960914,B,E,209.7802140568076,D,0
26-35,68,3.8146714904043213,-154.46166471792327,D,C,A,-134.587459863982,D,-13.581186220703135,B,A,41.169965099291154,C,0
26-35,27,-16.390987840229446,11.10313678032025,D,B,E,189.55892820996382,C,151.29627200375361,C,B,30.79732602310869,E,1
51-65,18,70.68193168297778,-92.25106495632606,C,A,B,-125.42608127572676,A,202.37451002533305,B,B,41.14955694957704,B,0
26-35,32,31.783643917359406,-31.197419060284876,E,E,A,-27.098615887655946,D,-10.834832247666483,C,B,83.40890943175955,A,0
36-50,53,-18.90397518625274,-79.54505341234007,C,B,A,111.54104875994146,C,-50.1010611613263,E,D,27.434394100692174,A,1
65+,46,99.06117563263834,19.50355186070336,D,A,D,-120.9866883274656,A,-76.76775801481432,A,A,-113.13470404148333,E,1
36-50,74,-100.33021297804316,-54.17119174017358,A,C,A,-207.5700087356056,C,-5.981467616053542,C,C,-5.746924565356545,A,1
26-35,63,188.90521312751255,88.42185395494471,A,C,A,132.30258681231123,C,-36.09556475723423,A,D,42.8743232943076,B,1
51-65,28,-2.5039222559068732,-78.95734752026817,D,C,B,-100.57070633497243,A,188.6835424119019,D,C,-144.7040817788821,B,1
26-35,48,106.32339578100456,-65.04409363082466,C,B,A,-92.30107074218596,B,148.7951141652461,E,E,-2.054870071379519,A,1
36-50,81,-64.70445648901202,-75.0762609534139,D,E,C,38.17310483046548,B,48.45448405669997,A,D,140.32194248160258,D,0
18-25,19,-25.333445873433018,170.18607518380628,B,C,D,-189.62166123487162,C,36.959750882991855,C,B,37.75561643798157,D,0
26-35,90,-120.00952307940027,-24.486991169724334,B,B,D,-74.05540288621947,D,99.61409041535377,D,C,48.93760464659048,A,0
18-25,88,33.52650725100099,-86.92033568880325,A,B,D,-62.8852045946381,A,-55.09727241549557,C,C,-108.65742138036451,A,1
26-35,43,96.35382950851353,17.296446728349746,E,B,B,193.05772328680274,A,-92.27651121909526,B,E,-170.0070999144728,B,0
65+,22,82.71539856549485,138.8393160703593,E,E,D,-204.4817164873837,A,76.48761475263646,C,B,146.21400316529548,A,1
65+,23,-120.26728676223537,83.6021869575126,B,C,D,10.057243581882796,B,4.635202847903468,D,E,-119.10055498918264,E,1
26-35,50,-0.3421245965632184,-34.68329755454408,B,A,A,154.43262336938847,A,87.88523636402653,E,B,6.535750143742539,C,1
51-65,80,-170.7505453232814,-87.75633139254877,A,B,D,-146.31307218073232,B,-58.034581606067235,E,D,3.0996082463008126,D,0
18-25,39,-119.56341445324566,113.82921290655472,C,E,C,179.31573737858332,B,-203.66666205257417,E,C,102.85790481684458,C,1
36-50,25,76.45690747147736,-47.50617018085033,E,B,A,-61.3805136862544,D,67.77622699958289,A,A,-32.50916837802092,C,1
36-50,94,1.2848072818239429,101.27427845723287,C,E,C,19.513286098057016,D,46.292589878346114,D,B,47.24559852969595,A,1
51-65,38,-32.95174310864706,-43.62923156752465,D,E,A,9.95591364393354,B,146.30696865998215,A,C,-2.0528955422653627,A,0
36-50,19,-52.2742493915337,48.235634739152836,C,A,E,-8.662592925718538,D,-0.9980658846417964,A,B,115.3172995853393,A,0
36-50,18,33.21585930011472,60.544738938153166,C,D,D,113.5020011916714,D,91.45797200725801,D,D,118.29469176585212,E,0
65+,63,-39.132821050323926,-10.232362102633255,C,D,D,73.7006219441056,B,-59.01074519883475,D,B,139.55215628190908,B,1
51-65,38,44.618692438748674,292.45521682628794,C,A,D,92.45122329758559,B,158.22128057604294,A,A,96.29211149195352,D,0
51-65,25,-29.93079470227016,-35.267848871664874,A,E,A,-97.81854119891048,E,-49.28882897422086,D,E,82.62896589129747,E,1
18-25,78,-37.4367508696561,93.04265545418865,B,E,A,-148.8589573364114,A,91.487267798959,C,B,-3.5144747466204294,A,1
65+,91,194.07890879842574,-43.62208233212367,C,C,D,-192.04621167677433,C,-144.65601520256243,D,C,157.0647024402111,A,1
65+,32,52.18134905824597,37.81583018406109,D,B,D,-36.26353075718043,E,-111.71500226469257,C,E,22.368330700398953,C,0
26-35,95,6.802261893702939,-107.24888215586836,B,C,B,251.04968973241967,D,54.17804979253857,E,B,-54.52548167713701,B,0
18-25,90,-7.723605271560212,-111.8593394661781,D,E,B,-9.732554912485229,A,79.84015142737287,E,C,-94.4770926917407,B,1
51-65,46,-212.81739576629155,-22.349028391389492,C,D,C,-21.675813065910454,A,-158.60691383877952,D,E,-23.770086161107805,E,0
65+,70,-95.37216360979967,-38.94599945701748,B,A,D,-20.16717844541038,B,-139.9352520379286,B,A,50.83503570355576,D,0
18-25,71,70.09171335457467,0.8490074818072526,C,C,D,307.88317797158265,D,146.75661177679967,C,C,187.01031181922792,C,1
36-50,90,-6.841854740701934,160.70209742447935,E,E,E,29.229854463333076,D,204.08817004099853,B,B,80.94566806543111,A,0
65+,33,-23.499024772555217,-7.092645404196513,E,C,A,-42.273399051046106,D,121.36504335459554,A,E,-9.669223247414356,E,0
36-50,90,52.88443936635303,-13.162979201191336,C,A,A,98.65546971031837,E,-23.37986452420582,A,D,45.17746460144834,E,0
51-65,50,23.75461906339318,6.056052905322518,B,E,D,49.43585774167586,A,138.00582279808498,A,E,205.53681868643952,A,0
26-35,91,93.33314667497784,40.40434923156084,E,C,E,44.507779741509026,E,32.85501004790856,B,E,-144.09321454342543,A,0
51-65,31,-110.28701969117125,-26.42292685000674,E,B,C,-46.06286081737167,E,54.078183588344764,C,B,-5.293203840799297,D,1
65+,93,212.0776449700193,59.9819197180214,A,C,E,-53.63082958052128,A,167.24561844779976,A,B,25.44569776063737,B,1
26-35,32,-111.44694194872773,-10.0200733626928,D,B,C,24.80671152479809,A,57.411659156044756,E,A,31.435869435955176,D,0
26-35,66,-55.923169078452304,8.00125082138895,B,E,A,47.647800264854425,D,30.016031529696445,E,C,-8.549592593082481,E,0
26-35,26,21.435818018767467,115.75293938853206,B,A,D,-82.13466615284675,E,-14.901230157114664,D,C,-77.04119079248528,A,1
65+,78,32.3568270906059,125.97613301339514,D,C,E,-96.84808766219389,C,2.263061008843692,D,A,-4.112089139513055,A,0
26-35,61,44.47261425361856,11.13845057789331,C,B,B,51.17158474650807,A,70.61593281444812,C,B,-160.88237661726282,C,0
26-35,25,79.12817945121608,-198.09947433490268,E,E,B,-59.940892519593824,C,27.620231235112623,B,E,56.74323824726976,E,0
36-50,76,79.39022252270765,4.122691806545315,D,C,B,139.181718853282,E,134.53511979747378,A,A,84.75013141059553,D,0
26-35,92,-297.60135650651114,19.931582525191065,A,B,C,69.85838153526875,E,190.37991727434073,A,A,128.23403612626342,A,0
26-35,82,48.62061996134769,27.05194393463924,B,A,A,-149.02407512088462,C,14.519557523482243,E,D,-90.99067560635544,C,1
36-50,36,97.23309845915853,-26.690702482915025,E,A,B,-32.98240100527406,C,32.13693058297103,C,E,109.6336922005381,C,1
36-50,92,174.5809085333942,90.33476664764936,D,E,D,-138.9482172584384,B,52.252046385836906,D,E,-15.518891808040783,B,0
26-35,54,-236.05338407214796,149.48757393769517,C,C,D,118.8336604351222,A,120.83452296518111,A,A,-147.72458483474665,E,1
51-65,76,-51.69916625413816,-20.873044706871045,C,C,B,-84.5453061034317,D,-21.093622276245448,C,E,26.55888274094797,A,0
36-50,95,-30.607188291937476,28.256839603732065,A,C,D,-56.23386024536774,A,136.3917173007166,D,B,62.60931171486449,A,0
36-50,34,-57.906110532485975,73.06664639713354,B,A,C,-40.53189188207881,E,90.47738819084499,A,A,-49.361765637202424,C,1
51-65,52,-3.350108315528992,-7.84961738730115,C,B,D,203.51870244741298,E,-114.41672243562013,D,C,65.58397547247978,E,0
51-65,62,-67.02433750058128,-42.56026214312079,B,D,B,166.28543159568017,E,77.42515041970051,A,C,-235.75909179294308,D,0
65+,25,214.2091234249002,59.90709599719749,C,A,C,271.71891827134766,D,-46.346800837566924,C,E,-163.2929774154402,A,0
26-35,94,160.7415262011244,74.63056885843339,B,D,E,-178.27830541893087,C,121.51630497412694,D,A,-10.345431700838969,C,1
26-35,45,-47.41468909235124,-79.97624304535957,B,D,C,-50.37222866741576,B,16.374013206062635,A,D,-40.672200733358686,B,0
18-25,76,5.876453951994651,54.204228703953305,C,D,E,149.54446999149724,E,-50.758561611789446,C,E,-124.43677652923772,B,1
36-50,81,-143.83308370125158,32.90138653529897,E,B,A,-84.29093042500753,E,90.63670116548526,E,C,-191.94574133943186,E,0
51-65,36,26.408064776239815,62.44477300532184,E,E,C,-6.855184592688109,C,-142.32144975025977,E,A,80.36879223054116,B,0
26-35,96,-109.4032030927793,6.34954103318833,C,D,A,-146.23044263713103,C,177.93945448089318,C,A,49.59397109323278,A,1
18-25,66,-19.12897579358539,12.671981765261393,A,C,E,-21.749000181729368,A,-56.84191377843256,C,C,-13.742163638043122,D,1
65+,31,-46.540124844304906,72.69429756382858,D,C,C,84.58910321499746,D,-60.041324454332226,B,D,127.99342960751261,C,1
26-35,24,50.724141887181254,-103.54320141011087,A,B,A,29.439052011767803,B,20.48644660258046,A,B,157.9197408613824,A,1
26-35,22,115.81851237628426,191.02466289526825,D,C,B,68.80704830844677,B,35.81892853119992,A,E,10.937827082438725,B,1
36-50,93,-212.8858906198988,2.9537580910830608,E,D,D,-34.99508703226522,D,-54.54423822471559,B,E,-178.81733260813073,B,0
26-35,82,27.10599316197938,-38.59609550068503,E,D,A,-36.47798397882772,B,12.529696756039103,D,D,166.0203663493383,C,0
65+,99,32.35098608226117,138.08268144546346,C,D,A,-92.87849245768824,B,-58.40945627508336,D,C,-1.1859088937870825,D,0
26-35,39,-49.44727118000246,25.074571744217234,A,C,B,-167.67960221877559,C,-19.735558702979183,B,C,-60.41225691554456,B,0
51-65,23,-64.46032115650064,97.4411292675097,D,B,B,55.74702264692252,E,-58.62643478069206,D,A,92.443232051792,E,0
65+,26,107.58437196424559,137.03617397372548,D,A,C,-25.2241455818138,C,78.42463592934939,C,B,42.653396551757325,E,0
36-50,80,94.20238887371369,104.22601747069163,C,E,B,51.335272534736454,C,-52.40572310531644,D,B,31.68232224530692,E,0
26-35,68,-79.19938808275595,20.229864170130885,D,C,D,56.60971527210119,E,-73.63384957354948,E,E,-30.52567823938438,D,0
26-35,59,-148.54702861092355,154.89654779775572,C,C,C,-32.35914025144273,B,139.9730308007411,D,A,73.66440316574526,B,0
36-50,93,-128.4059192719494,-80.90462006987535,A,B,E,-120.37116366021219,E,10.318675409223506,A,A,-94.04422098601309,E,1
26-35,61,3.6895055251866613,-146.53947363657744,C,E,C,-63.559651889207636,D,-102.10917452860858,B,C,22.635624260478053,A,1
65+,50,56.748069183993685,13.7208609591707,A,A,E,94.86189773385027,C,-106.82879092482489,B,E,-54.99106671444083,D,0
51-65,87,-154.0886088012065,135.9063577235233,E,A,B,254.29493692015086,E,171.99263684393858,B,E,172.4488750880229,C,1
18-25,22,-32.808740388367674,-25.268612664632695,C,E,A,-74.87301444662512,E,-101.66673988267037,A,E,-41.96738145658646,B,0
36-50,55,26.987819395792396,-85.98780433862976,C,A,C,29.21547485788899,E,9.680315161848517,E,C,-208.38592672255243,A,0
26-35,71,48.959708775575564,-49.40391789115029,E,E,A,22.67139133293942,C,-46.35322498390897,D,C,13.497547926136019,D,0
36-50,34,-55.61624264914051,-97.63118189020409,D,D,E,131.04133287889636,D,70.59102728104986,B,B,-22.618376163244314,D,0
26-35,24,-67.95108597241243,-47.809197267237536,B,E,D,161.78002018614163,C,20.334953182394546,B,A,225.62184841944492,C,0
65+,18,160.12138354726522,30.283011796206022,D,D,B,57.35339358427495,A,-109.4668596735867,C,D,-235.49124479352957,D,0
