race,handicap,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Hispanic,Mental,Single,E,19.874315043559683,C,-211.73350690785,B,B,59.08066910581567,A,E,B,-47.17237413175593,E,E,0
Black,Both,Married,E,-68.18165996272367,C,-42.27375111432172,B,C,-112.9499530908394,D,D,C,-21.399527351002025,A,E,1
Hispanic,Yes,Widowed,A,84.84179733944728,B,-37.56252946013172,B,B,21.88505859568865,E,B,B,-38.65288720699181,C,A,1
Black,Both,Single,C,12.05538655356663,D,31.14373497041989,A,D,-4.254408551883046,E,B,E,52.60374342846611,D,A,1
Hispanic,Physical,Single,E,-23.14287793338206,B,-165.43341638526684,D,C,-82.17954262373428,C,D,B,98.02487142127848,E,E,1
Other,None,Divorced,E,195.3573236089699,B,139.74036193381832,A,B,37.27235803162531,D,C,E,-82.69196110499573,C,B,1
White,Physical,Widowed,E,-8.868686509926425,B,-37.87508470543575,A,D,-77.82755016070145,B,B,C,61.46426654701911,E,C,1
Other,Mental,Divorced,D,124.41577142033057,C,25.614303263456545,B,E,-17.039088919365668,D,B,A,-119.44560596421967,B,D,0
Asian,No,Divorced,D,141.1350115319033,E,13.668585974856267,D,B,75.26276164812293,E,D,B,-8.872749337419647,E,C,0
White,No,Married,D,-27.686407455262184,D,53.705530247780366,E,A,-59.33155496361937,B,D,D,8.543177484418923,C,A,0
White,None,Divorced,E,83.8011393752072,D,-45.4399923356069,B,A,28.092748962062487,D,E,C,46.432734736714345,B,E,0
African American,Physical,Married,A,-115.69127461865708,C,-29.424348052007893,E,B,-59.5608150028096,B,D,E,41.113517681293935,B,D,1
Hispanic,None,Married,A,110.95788819016381,E,5.683030041471928,B,A,-14.926599358574865,C,D,A,132.68220919472412,C,A,1
Asian,Mental,Divorced,E,-8.712390321350552,E,22.521112405173874,D,C,-37.42593894070145,B,D,E,-101.45879508845657,C,A,1
Black,Mental,Single,E,48.133894095133925,B,206.26884466129437,D,C,-163.2704235705813,C,B,C,27.127927021531285,E,B,0
White,Yes,Widowed,D,267.99153039638054,E,140.03813684626056,D,E,137.13193453570545,C,D,C,89.06743611401996,B,A,1
Black,No,Single,D,-166.9240696371838,C,-112.72853689844328,B,C,-128.1868846291355,A,E,A,96.5889362887254,B,E,0
Asian,Both,Widowed,D,-49.12182070898276,A,14.120354360006726,D,D,120.49855291303896,D,B,C,-26.4043977332386,C,E,1
Black,Mental,Married,B,37.98280705043518,E,-20.896859549118464,E,E,-27.04630479090057,A,E,E,-51.97178383161418,E,D,1
Black,None,Widowed,D,208.66206025721442,C,147.00940295842807,C,C,-80.11381827210595,E,A,A,-3.595958930948272,C,C,0
Black,Yes,Married,C,31.097867734434733,A,47.242335268639884,E,D,-88.00769935808017,C,E,A,7.158481393547069,B,A,0
Asian,None,Single,A,45.95111968870314,D,-70.64846308427715,B,E,-100.66684152679758,A,B,B,177.76141654721206,A,D,1
Black,Physical,Widowed,A,111.65821594315743,B,155.68241276744916,A,E,-61.15915788648402,E,C,B,10.830786423617223,A,C,1
Asian,Mental,Divorced,E,110.8973052441152,E,64.34421607902122,D,D,-252.85297232033827,B,D,D,-21.465727091615562,A,E,1
Asian,Mental,Married,A,171.96719200565377,E,108.381527199425,A,C,129.85268491165297,C,D,B,-59.29798106789958,E,E,1
Other,Mental,Divorced,C,-118.67642948469266,D,-179.23418325774867,C,C,-66.77585290615401,D,D,C,-29.72231303810507,A,C,1
African American,Both,Single,A,66.73125275379692,E,-121.43230095002944,A,E,84.34248834949015,D,C,B,-51.01102088869474,A,B,0
Hispanic,Physical,Married,E,116.46583652527596,B,188.489912529165,C,C,218.40944403145323,A,A,E,-1.1701257910110352,D,B,0
African American,Physical,Widowed,C,45.77442169435459,A,118.90634894649286,A,C,50.763448961393095,E,A,E,-50.89515234202647,A,C,0
Black,Mental,Widowed,C,48.12261401055696,D,-3.016204361857453,D,D,105.76387019462001,B,B,B,-3.097633005005431,E,C,1
White,Yes,Single,B,75.06012003190311,C,155.1726308871928,B,B,20.07549807951237,C,D,A,-50.194241951614096,E,D,0
African American,No,Married,E,-28.985192086591454,C,176.08015524253514,A,E,108.75659188848192,D,C,B,41.109659108109504,B,E,1
African American,None,Single,A,-74.92071647864074,D,116.98757472589855,C,E,38.79449917251432,E,A,D,-50.34972338324057,C,E,0
Black,Mental,Divorced,A,130.24341282914494,D,-0.38736018462446314,A,E,-64.17939391221145,E,D,C,99.57162962802536,E,C,1
Asian,Both,Divorced,E,-37.61018057319914,E,19.638239279864706,E,A,31.45384693127948,B,C,E,114.22745800086929,B,C,0
White,Physical,Divorced,E,122.04667722419555,D,-116.37548889107352,B,E,50.5720967051406,E,B,A,-228.97040467669544,C,B,1
White,Both,Widowed,E,-51.25282436796703,C,41.98212492743571,B,E,204.77663245708933,C,A,D,-0.25904512133938395,D,D,1
Black,Yes,Married,C,-140.61461497911208,A,-75.93318000292444,A,C,-121.78125331603333,D,D,C,-41.66589631464833,D,B,1
White,Yes,Married,D,43.04331770681877,E,-171.3273966181574,E,E,66.20765966157802,E,A,A,-178.076883879024,D,E,1
Hispanic,Yes,Divorced,C,-70.99126494201042,C,51.64108849454853,A,A,37.550561440959726,B,B,E,-130.29196450696375,D,A,1
Other,Yes,Married,E,-145.19265401518564,B,-109.53443866641418,D,E,20.500386331294404,B,B,D,34.82461908562224,C,D,1
African American,Mental,Widowed,A,34.77102707479667,D,115.97241044096751,B,A,-28.996271611861417,D,B,B,-36.675289209926135,A,E,1
African American,Mental,Married,C,-70.47906556930354,A,-214.96250862284666,E,D,194.28029334624276,B,B,C,-95.17139622993966,C,B,1
Hispanic,Mental,Widowed,A,39.666419694136806,B,-109.37495702591345,A,E,-91.26390409644704,A,E,B,74.48148385089995,C,E,0
White,Yes,Single,D,-19.895316349380494,A,-184.1041557278071,C,B,-62.878307710077394,E,B,B,-142.14560789263058,C,C,0
Asian,Mental,Single,B,65.67658449887385,E,34.89627747281537,D,E,-56.118500505023874,C,E,B,132.09156441565486,C,B,1
White,None,Widowed,D,-51.97963003162982,D,-6.650869473547266,B,D,-251.22039509028005,C,A,B,59.37948554424477,A,C,1
Black,Mental,Widowed,C,-9.354674716799178,B,-128.23938971916095,C,B,-17.584266967672228,D,E,B,-22.293021842628942,A,E,0
Other,Both,Divorced,A,105.50974948778196,E,-71.60343408005184,A,D,6.7451713742099075,D,D,E,35.34736108066996,B,A,1
Other,Physical,Single,B,-165.393548993688,D,-135.94645071627366,B,E,198.19616861963894,E,C,C,-188.61663046677904,A,E,0
Black,Physical,Single,D,66.39139628948514,E,7.969884033764847,A,D,129.45950762562825,A,E,E,-78.48818032312491,D,A,1
Asian,Mental,Widowed,C,59.87571733303577,B,-42.04775989871929,B,A,107.85145119301045,A,B,E,-145.5734185474143,E,B,1
Hispanic,Both,Widowed,C,-109.22030931747896,D,30.894778712234476,E,E,57.883256080422996,A,C,E,-11.609563972020943,C,E,0
Asian,Yes,Single,A,-30.02264295175173,E,5.658496716937986,C,E,75.97096455351758,C,A,D,71.62807217149827,B,D,1
African American,Both,Widowed,C,150.10693948875357,D,-186.5356787655102,A,E,-116.48034372079287,E,C,E,4.39738386772349,B,E,0
Other,Yes,Widowed,E,-39.874676595358025,D,-28.472268895567122,A,D,-85.42713935998819,E,E,D,-119.44119539917341,C,C,1
Other,None,Widowed,C,-9.06475800567914,C,6.294781038884202,D,A,-64.16609287298681,D,C,E,47.839358136135054,E,A,0
Black,Both,Widowed,B,36.72817552064537,E,-120.96391116199005,D,E,-72.73126294864831,D,B,D,94.11124582508418,B,D,1
Other,Physical,Divorced,D,54.061519055784345,C,52.886189982190444,B,E,-94.45658814636792,E,D,D,147.6035533238191,C,A,1
Asian,Yes,Married,C,77.97772967730627,C,36.135132036028374,B,B,-4.0359929047165215,A,B,D,100.4400079523752,D,D,1
Asian,Mental,Divorced,A,-18.677124074994047,E,-26.17047566609964,C,D,-7.755629903959374,B,B,C,-9.764941668875519,E,D,0
White,Yes,Married,C,69.25747449293227,C,-44.73112771040526,B,A,-62.65785467712048,D,B,E,-10.443408541303603,B,A,1
White,None,Divorced,D,111.84006654993304,D,-98.94039458099526,D,C,-48.04486435340283,E,E,E,45.201731566508975,B,D,0
White,Yes,Single,A,-3.4772196457182143,D,47.55244966609451,D,A,17.015596117793223,E,E,E,-15.542136954231387,B,D,0
White,Mental,Widowed,D,23.205265193143173,A,10.843280338966853,B,E,-109.310076618899,C,E,E,-2.1419300106373704,B,A,1
Black,Yes,Married,B,-130.97014107477105,C,-47.478096796520084,D,C,2.2927413224583413,B,D,B,54.75550109716922,C,E,1
White,Mental,Married,E,37.99614528877149,E,133.1900470984976,A,B,45.89764845890452,E,A,C,-72.7589048711886,A,C,0
African American,Yes,Divorced,B,67.21238870632568,A,-0.7417397471338155,C,C,-15.863943753800418,A,A,E,-72.81425150758577,E,A,0
African American,Yes,Married,C,-68.7836121888727,C,138.74408367054627,A,B,106.33923933173683,D,D,A,-189.91380129968388,D,A,1
White,No,Divorced,A,91.9586471868774,E,-44.472115523868254,E,C,85.14937331690251,E,B,B,59.90112337150032,A,A,0
Asian,No,Single,C,284.59729676998495,E,9.60528119535186,B,B,-146.28465464093432,E,B,E,22.376423104929792,D,E,1
African American,Mental,Single,D,5.13282057177347,E,49.177109182147674,D,B,-47.430636723116585,A,B,B,-106.57938189082357,E,B,0
Other,No,Widowed,A,-27.571927273866375,A,-130.12742073074043,A,D,173.15831117359963,A,D,E,-160.80822559011182,C,A,0
Other,Physical,Married,E,87.90253296417964,A,-11.352951614617899,D,A,-177.2540115635543,A,C,D,222.73969564728287,B,E,0
White,Mental,Divorced,D,14.915380476747197,A,-69.60157476896977,C,C,-115.5608874688882,D,B,B,-47.17787351754872,E,C,1
Hispanic,Mental,Divorced,B,-42.15246373855945,D,-29.999063472798387,B,B,-161.839719192541,C,B,A,57.17778485138684,C,A,1
Other,Physical,Married,E,-131.83326533540742,D,13.955315242616816,E,D,-75.01850236184063,D,E,C,72.34745741651231,C,E,1
Hispanic,Mental,Widowed,A,-31.54190584600106,B,111.36424668443921,D,D,-199.75265583688616,C,D,A,-72.91503935450672,E,B,0
Black,Mental,Married,A,-108.4268949944513,A,-61.98148471785543,A,A,-27.05969014200647,D,E,D,-137.3748195456641,B,D,0
Other,Mental,Widowed,E,-141.87119763124204,C,35.51276203162063,A,D,16.193183917307458,D,C,D,83.72675439749719,D,D,1
White,Both,Widowed,D,12.445722376873945,B,2.68805059341476,B,C,29.97469971602093,E,A,B,133.51996903523457,B,D,0
African American,Both,Married,E,-38.90424993384977,D,50.51879767555191,D,E,-21.92586836058807,D,E,E,7.283113183270855,A,B,1
Hispanic,Yes,Single,B,369.52272520788614,D,51.55273512473014,C,D,-170.45837432229723,B,B,B,196.4608250365158,D,E,1
African American,None,Widowed,A,148.30798922504115,E,-68.26354666279026,D,A,36.72698253066949,A,E,C,-151.63184243474024,A,E,1
White,No,Single,D,98.23106682124671,E,-121.53210636703567,A,E,99.7614029828886,B,B,C,11.234439267391325,A,C,1
Hispanic,No,Divorced,A,127.74841751881485,C,-54.67722304922157,B,E,27.931697151881103,E,A,C,132.2145355606054,E,E,1
Black,Yes,Married,A,-108.10073760793256,E,136.40605887063526,C,A,-81.96217209952484,E,C,D,-93.69058984917467,A,B,1
Hispanic,Yes,Divorced,E,78.54084882498023,D,-71.48443093497305,C,A,-134.82677190230567,A,D,D,12.400894061004179,D,C,1
White,Mental,Married,E,-70.21539871212748,C,-60.51147306126631,A,B,44.702157564800025,A,D,B,-79.54416889294863,D,A,1
Asian,Both,Widowed,C,-83.52934684812708,C,1.626837992396507,E,E,126.59027338875907,D,E,E,-131.7538968450919,D,C,1
White,None,Married,B,-54.4659056070068,B,115.51644125167797,C,C,-1.717803344184514,E,E,B,-12.638142296755797,D,A,0
White,Mental,Single,C,-62.93974459839418,A,17.283162970252317,A,B,17.645906885970096,E,A,C,-23.748348877658966,B,B,0
White,Mental,Widowed,C,-42.33633572070962,B,0.7537881784090834,E,E,96.61113126236923,D,D,C,-18.03069018765209,D,A,1
African American,Physical,Widowed,C,-60.477895036408135,A,4.440902020117419,E,A,-216.00636268947255,D,B,C,-157.16528420951892,D,E,1
Hispanic,Physical,Widowed,C,12.78140615857009,A,-71.36580524746311,D,B,21.180358038400477,E,B,D,78.79642362343328,D,E,0
Asian,No,Widowed,D,42.363055632167764,E,119.08481232996289,D,C,42.40177223550061,D,B,B,-1.7710464368311398,C,C,0
Other,Yes,Widowed,A,26.45559641439285,D,-112.825934486246,B,D,123.2234597366451,A,E,D,102.2141808925731,D,D,1
White,None,Widowed,D,-27.838407740274207,E,79.44831633146435,D,E,-157.8097487650304,D,E,E,-159.02937822616897,D,A,1
White,No,Single,D,-50.0676594083483,E,-111.31458777637894,C,B,30.978560715096787,C,E,C,165.27823566296104,D,C,0
Black,Yes,Single,C,28.05324819342021,A,30.696896554153565,C,A,-83.50252441593197,D,D,B,101.32027270044813,E,D,0
Black,Yes,Divorced,B,133.51027431105973,B,-57.26236031008123,B,E,-85.02714998195277,A,A,A,-63.201026239129774,B,C,0
Hispanic,Physical,Single,A,-110.13238546321296,C,-113.66374808697853,B,D,109.90118654821235,C,D,B,84.95235013207785,E,D,0
African American,None,Single,E,102.90513083753557,E,62.94970344960119,C,E,-25.524302349169165,C,C,B,33.088540856977936,B,B,0
Black,Yes,Married,B,60.064507706558565,E,-136.95387790332526,D,D,199.90229730974895,B,E,D,45.947216979947086,D,C,0
Black,Mental,Married,A,135.61166873068348,D,151.51661422310755,E,A,11.497902581581302,D,B,D,49.29462198491809,B,A,1
African American,No,Widowed,B,11.054495837997495,A,-22.011245043531243,E,E,60.75539918160068,A,B,E,-244.4777376036149,A,C,1
Other,Mental,Single,D,-26.867354258399175,C,-18.62221117212072,C,E,36.79769446386454,D,C,C,103.22561448211115,A,E,0
Hispanic,Physical,Single,B,-21.147864519762646,B,-96.22614865719903,E,C,71.20013165979879,B,B,E,-34.554836378809235,D,E,1
Black,Physical,Single,C,186.66427577503813,A,-62.646361131779415,A,C,40.142849022502105,E,D,E,-4.180889553431131,C,D,0
Black,None,Divorced,C,-79.78426552381723,B,-56.4935878891326,A,D,17.411894282967992,D,C,A,63.856016922314865,C,C,1
Black,Both,Single,A,-196.11482954875515,C,-69.87142203949804,A,D,-174.3727611262197,C,A,B,22.88698746983181,D,D,1
White,Mental,Married,A,104.18038799059607,D,-66.2830216874915,D,B,-123.67542778633207,B,A,E,134.56598991673243,E,E,0
Other,Yes,Widowed,D,-13.677656423622425,B,-90.83766728783863,A,B,120.96380572934065,B,B,C,4.046135695309633,B,A,0
African American,Yes,Divorced,C,221.8076097151968,D,-14.946095136179697,A,E,54.3977699716919,B,B,D,69.37745456973556,D,E,1
Hispanic,None,Married,E,-78.25609153915929,E,25.756908426438425,D,C,78.4235250344022,C,D,B,-113.48581423856814,B,B,0
Asian,None,Single,E,34.434284785660665,C,-6.643808488560301,B,A,96.46608829506029,A,C,B,41.207961779032914,D,D,0
Black,Both,Married,D,-222.12718117212344,A,40.13212947429324,A,E,-112.74196248904059,E,A,B,-38.41383009786972,B,A,0
Black,None,Divorced,D,-40.2043821141788,E,-48.935863857846925,B,C,9.734085441097369,C,A,A,-63.33165959586017,D,A,1
Asian,Both,Divorced,D,113.97025315398605,D,131.17181647487493,B,D,17.69142977581132,A,E,D,-60.199720105461886,E,A,0
Black,None,Divorced,E,-12.650134401637047,C,-5.064941250375526,C,E,-245.28941969942682,C,D,A,-253.7528172735506,E,A,0
Hispanic,Yes,Widowed,B,24.795501333423033,B,115.46782178759439,D,C,122.69136944658126,A,A,A,-11.633907454355604,C,E,0
Asian,Mental,Divorced,C,87.82016724340137,B,-119.79448634967822,C,C,-16.62396442616158,D,A,C,-99.51522599295379,C,A,0
White,No,Married,A,14.962199729570333,B,-56.078557497591184,A,A,-1.8546640716704241,D,A,D,63.274423703473936,A,D,1
White,No,Divorced,C,155.1094233271477,A,-100.53422197111539,C,D,51.93377518713619,C,D,E,-157.03150996286604,A,C,0
Hispanic,Physical,Married,E,35.06346970665666,A,36.744249869035116,D,D,49.197870206322605,A,E,B,-146.4164599588794,A,D,1
African American,Yes,Single,E,18.047848514514968,B,112.44293670737096,A,D,86.12352380216774,E,C,A,38.289316552463696,C,D,0
Hispanic,Mental,Single,E,186.66287466661788,E,85.22129287680936,C,E,-101.98794587625252,C,E,C,-233.90292329316523,B,E,0
Black,Both,Widowed,C,-98.54270897201062,A,-120.00487107266986,E,D,133.21039221269305,D,C,B,-187.1883967788703,B,C,0
Asian,Both,Single,E,-129.7123858737945,D,29.08121600702983,B,A,-11.156708120259005,A,E,B,-165.10392680761066,D,E,1
Hispanic,Physical,Married,B,8.37953162773324,D,-68.55172426107494,B,B,122.26373631232343,C,A,B,-52.74264089608385,B,C,0
White,None,Married,C,-95.77226019196006,C,23.852251379345006,D,A,-246.44425856990262,E,D,C,-135.4149483242352,A,C,1
Hispanic,Both,Widowed,C,24.884190727689507,E,-31.19276680140372,E,E,40.313514371992824,E,E,C,25.19126749457758,C,B,0
White,None,Married,A,115.00545232340566,A,27.55452907864629,C,B,-37.40153415356247,A,B,A,-31.331857155752285,C,B,1
Hispanic,Both,Widowed,A,-71.41438814219715,A,-115.17801762069557,B,A,162.20198649977493,C,D,C,12.795209871260619,C,A,1
African American,Yes,Single,A,70.51942320209544,E,-6.025933083314133,E,C,-51.80805991941023,D,D,C,27.20489776812712,E,C,0
Black,None,Widowed,C,-16.419465397669608,D,9.095127441976468,A,D,-49.62562886965022,B,C,B,-25.567115575186715,C,B,1
Asian,None,Widowed,C,-8.356687236927469,C,-155.89596659735895,B,D,-51.847005822470734,C,D,A,272.19076028553985,C,A,1
African American,Physical,Single,C,56.939259685073054,A,107.21719002593457,B,A,-52.6740982972556,B,C,B,29.15700257286762,E,A,0
African American,Physical,Single,C,13.114065924744569,B,-57.473163705581484,B,A,18.41676773387103,B,A,E,-70.57896545976295,B,D,0
African American,Both,Widowed,A,34.299889467075836,D,-50.020296872368505,C,E,-62.976245147704105,B,B,D,-182.0367911095392,D,D,1
White,Yes,Married,E,253.97122786371372,D,106.37636539677757,B,D,12.198151389707933,E,A,A,97.82990583243968,C,D,0
Other,Both,Single,B,64.92894865112089,C,30.90507973281939,D,E,-117.89557230983598,C,A,C,-115.66795511152672,B,B,1
White,Both,Married,B,-132.11101882273178,B,152.2512581426766,B,E,-87.90425548754486,A,E,A,-139.23868096067528,E,A,0
White,No,Married,E,-23.21159895436108,B,166.28981768625403,B,C,-16.099580552741543,E,B,E,-162.9430340516425,D,C,1
Black,No,Married,E,44.99237618039953,C,-93.00661674421494,E,A,-37.33343399929305,A,E,C,26.694342120281306,E,A,0
Hispanic,Mental,Widowed,C,35.55391878361153,E,-186.94979195256246,D,C,-3.617304033007968,E,C,D,43.13843711694291,E,A,0
African American,None,Divorced,E,105.4082272219007,E,63.077099038811525,D,C,118.45590740702985,B,B,E,-26.921995362239798,C,D,0
African American,Both,Single,C,-52.26354621881815,B,118.40170721156412,E,D,-258.4051174167137,C,E,E,-71.19164827362134,D,B,0
Black,None,Married,D,221.13659991668152,A,-50.04865412536085,B,B,-33.920420986180616,E,C,C,-18.03405326073626,D,E,1
Black,No,Married,E,-8.472741741070344,C,107.5277950406903,C,A,165.29939293368582,D,A,D,74.32332823312984,A,E,1
Black,No,Divorced,C,163.68205614356856,E,-14.544927618574999,C,D,77.28200997143117,C,C,D,40.57407066070637,B,B,1
Other,Yes,Widowed,C,79.0865685198234,E,-69.84777379476867,C,D,45.19770965351978,A,D,D,-75.66518406347032,E,A,1
Other,No,Single,D,17.749114334851342,E,92.47045713976036,B,C,-94.76744811831588,B,B,E,-80.02440096638568,B,D,0
African American,Both,Divorced,A,-87.53730183498833,C,27.374707345372034,C,B,-22.903552678146344,D,A,D,123.27226517778531,C,D,1
African American,Physical,Single,C,16.836817702590185,B,18.27878617844157,C,B,70.92926013104578,B,E,B,58.52462904155495,A,D,1
Hispanic,No,Widowed,D,-119.40335429852338,C,-29.086417700357757,E,E,-150.2184014426581,A,D,A,-72.90330544400831,D,E,0
Asian,Physical,Widowed,B,12.293023144634406,E,99.61224429874007,B,A,-14.149481369432099,C,D,E,50.02020349082166,A,A,1
Hispanic,No,Widowed,D,152.14513629160572,C,-8.035373985428256,E,B,270.086215188734,D,D,D,-73.57231251155724,C,B,0
Hispanic,Physical,Widowed,E,7.575368657562728,B,-6.773579159712104,D,C,113.97621464506156,E,A,A,1.752019667299876,E,E,1
Other,Both,Divorced,D,31.619268359509338,D,104.42360714945555,C,A,120.1905310297989,C,E,E,-99.29229539482093,C,A,1
African American,Yes,Widowed,E,82.09482037683883,D,44.53498583865186,B,B,45.793025485711496,A,A,B,161.26997000077455,B,C,1
Black,Physical,Single,A,-50.95748638893577,E,34.77550028846743,D,B,-77.0184227311008,B,A,C,-46.72857382143161,D,D,0
Other,Physical,Widowed,C,0.47561857075440306,D,-119.73495008166762,C,A,96.33983387838128,B,E,C,-2.8671500085949986,D,A,0
White,None,Widowed,C,72.30661660233092,E,4.362545676214225,E,C,28.950070309172915,E,A,E,53.125820960604344,C,C,1
Black,No,Widowed,A,-159.75682331595758,D,-71.17543078599118,E,E,114.6270490019438,B,B,C,223.14971352116368,B,E,0
Other,Both,Divorced,A,74.11268151458768,E,-36.82800198923208,D,D,-102.52099902535868,D,E,A,19.800420258614125,B,C,1
Other,Mental,Married,E,-69.12267274781935,E,24.78782728915783,E,A,210.8082932783462,C,B,E,-137.22163246953224,A,B,0
White,Both,Single,D,58.92261702834214,D,-6.067776809210381,D,C,-164.4031575195493,B,D,D,-74.60626755149549,E,A,0
Hispanic,Both,Divorced,B,5.9344521501284575,E,48.616368336518526,C,A,-9.197639299799157,D,B,D,0.09031187334447462,A,E,0
Black,No,Married,E,-117.15574374203028,C,-38.343730433585,D,A,-72.78046606545445,C,D,B,-129.42808008347492,E,B,0
White,Both,Divorced,B,3.324398536794077,A,79.76355717880526,C,E,1.5980920674675638,A,D,C,-87.8570843066327,D,E,0
White,Mental,Married,D,49.359661299963506,E,-60.4771478662933,E,D,20.04766578031895,C,A,D,-54.7149592948699,E,E,0
White,Physical,Widowed,A,57.62576686979715,C,153.96115479705557,C,B,74.59079239925836,B,E,A,-66.18278401754546,C,E,1
African American,Yes,Widowed,D,-216.02978360079894,E,-95.09828634291479,A,C,100.34330126356397,D,D,C,-272.79345534929297,E,A,0
Asian,No,Married,C,-37.69694399089505,A,-104.22871531471442,C,A,69.49909076251608,C,B,A,-135.1028523999069,C,C,0
Black,Yes,Divorced,B,21.04204202971446,B,60.60524245694222,B,E,-51.717888654964185,C,E,C,172.98128537771714,D,A,0
Black,No,Divorced,B,-48.19092902166615,C,-55.89411230679248,D,B,50.43717700676742,C,C,C,-196.11255244744032,E,D,1
African American,Both,Widowed,C,153.09047324210187,C,-95.744782722275,C,D,33.43129077693167,B,C,D,-122.41001137837841,E,E,0
Black,Both,Single,C,-21.040909389455773,C,47.23667804781934,B,E,39.00860904319055,D,C,D,-137.11334999723363,A,C,0
African American,Both,Single,E,135.74721682044418,E,28.019678802538593,A,B,24.75495446330404,B,E,C,174.40703431843428,A,D,0
White,Both,Divorced,A,-131.20440022917637,B,-31.21387798600473,C,C,155.51459349663835,E,D,B,-37.69189462544589,B,D,0
Asian,None,Married,A,117.15750054838605,D,-78.35100138897238,B,B,-90.3552011337195,A,B,C,6.463015951086261,C,D,1
White,Yes,Married,D,-149.64948603879128,D,-35.71330017548151,B,C,10.594928121522473,B,D,C,-93.49716040296681,D,A,1
Asian,Yes,Divorced,E,-24.336261029560223,E,-102.32459581303641,D,B,-118.50045286197089,C,D,D,-32.73329311744962,E,E,0
Other,Mental,Divorced,B,84.88060244133094,D,-77.8806815539015,A,A,178.45619227116896,B,B,B,-131.84838498864568,B,D,1
African American,No,Widowed,D,201.54941585454006,B,57.624482085947356,D,B,122.28295449081222,E,E,B,-57.65678440442865,C,D,0
White,Mental,Divorced,C,-207.82854530730188,A,198.6585387557097,E,A,8.366585780034585,E,C,B,115.88512800627488,E,A,1
Hispanic,Yes,Married,B,-8.201857337459822,D,121.12018383922864,C,E,39.620548506302974,C,C,C,-10.66553161385359,D,D,1
Hispanic,Mental,Divorced,A,59.93790642041592,A,-65.09977233872458,C,B,29.165088355644937,E,E,D,6.789677292470056,E,B,1
Other,Both,Widowed,A,103.64651838334986,B,1.1502373783540782,E,D,-94.33886388158473,E,D,C,113.00392949702385,A,D,0
Black,Both,Widowed,C,-58.00382251041746,A,-132.31082868838416,A,B,-104.36454691907554,B,B,C,-87.32081037490526,E,E,0
Other,None,Single,D,-14.071102531345128,A,38.4393497010789,A,C,-116.99449047570805,C,D,C,-11.834899002064246,D,C,1
African American,Physical,Divorced,B,-190.250339346239,E,43.455085219721404,D,D,-36.64016279833427,B,C,B,-57.9809867442446,D,C,1
