RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,119.36281954966583,A,E,57.26830510607714,B,-49.14692400284134,0
White,34.80410695955618,A,D,101.19785414363109,B,8.050053693591835,1
African American,-100.10259513028919,C,C,154.31047012292404,D,-7.576791591672183,0
Hispanic,-32.716554433798386,E,B,-147.9190224260996,B,108.3857556841656,0
Asian,41.84343117506968,B,A,-67.04284567242763,B,-10.682440434654787,0
Asian,68.23836693958714,A,A,-16.834485702459688,E,-82.70222598774176,1
White,-4.222952464555354,A,B,-43.11538801453732,C,64.39766354901289,1
Black,-232.0283740916847,C,E,126.69956942088211,B,-144.21960017252883,0
White,-192.84729254192442,B,D,-127.47013936105877,E,-51.35109176018313,1
Asian,43.826168365935985,B,B,-14.199566861059477,A,-17.865447335625372,0
Asian,-3.252792386633114,C,D,92.8430270450928,A,135.34268489767595,0
African American,113.1783665888366,C,E,-163.94580842352443,E,-74.8510797838968,1
African American,-16.639368543893315,E,B,-20.66502964443117,B,145.2363969128627,0
Hispanic,-73.3527103040461,B,A,-27.7492535497355,C,-29.116894365150912,0
Black,131.86746727316483,C,A,-90.72426210734747,C,-129.87947056150256,0
Other,256.4218521471483,C,B,-20.775764778470826,D,-98.09362518345085,1
Hispanic,109.98956494656922,C,B,-74.79697918467816,C,-108.54580121833403,1
White,13.522705093293414,A,B,179.87947321810026,D,33.67953349208998,0
Hispanic,-123.9020086168172,E,B,-85.23447188924325,A,-158.38063073092138,0
Asian,-12.643496167657165,A,D,40.497046929540744,C,-173.52291581837102,0
Black,148.2492767505925,D,D,-162.59521264639568,C,-120.4644483893802,0
Black,-101.15778205440978,E,B,22.191937283164958,E,-100.58610889926787,1
Asian,109.83609256524849,D,E,-17.351045025028778,B,103.19700776300012,0
Other,125.94284725973188,D,D,-103.4271791627995,B,13.58159873719836,0
Black,-5.346361655220114,E,C,-16.9812219780626,E,86.56468851295807,0
African American,-72.2238256057161,E,D,9.253150991385072,E,85.58366838720247,1
Asian,-22.976721386580596,E,B,-103.31992264251004,C,-147.26888895965732,0
African American,-45.92764986859139,D,E,187.6907219374669,B,10.663247184374091,1
Other,140.35369219743373,C,A,-157.61965805590683,A,-68.19933015902461,0
Hispanic,148.36614254236972,E,E,34.38658701225322,A,-93.80663166841495,0
Black,10.409996408981863,C,E,-17.26435758555033,B,134.27883792431973,1
African American,-75.46491410781822,C,A,2.622235134307569,E,-274.9471697811392,0
Other,-86.50567103888685,D,B,-20.310515818810686,E,131.44713303403074,1
Other,-78.42047595732583,C,B,-181.87034724069366,A,50.788315550086125,1
White,-88.94386178095432,D,E,112.97583598177125,B,134.59686206779125,0
Asian,-63.54953565598447,B,D,-190.91578413597546,D,151.1165139253793,1
Other,128.94794467510152,C,D,134.56180959388885,E,52.00054711933624,1
Other,-132.21710602144984,E,A,-57.57276499575027,E,-124.04991945506447,0
Black,165.3438203337873,D,A,-10.678163091490708,A,79.88190677915735,0
White,-92.14914037740292,D,A,-6.665207067825545,C,-20.033723996636013,0
Other,-195.44708383048166,A,A,15.916380491451514,B,-33.350244105864434,0
White,23.4441717030948,A,E,-19.879787451030516,B,-38.42340063763644,0
Hispanic,25.96769100248132,A,E,-98.71756558778938,C,-27.625273244026396,0
African American,138.49561072237918,A,C,-31.7877076085143,B,135.16402658048722,1
Hispanic,-56.21900962566156,B,A,-111.0858275736045,B,-56.13042062686954,1
Hispanic,49.06377242136315,E,D,22.111901912583264,C,-268.66982361606017,1
Asian,-113.26787920445658,A,D,77.75422373678902,E,207.42303848845833,1
African American,17.443297834311302,A,E,-46.50437982924098,C,82.52975848413283,1
African American,-8.635681095256196,B,C,223.28674091618188,A,143.68427409865907,1
Other,-58.13621498310128,A,C,212.58700036015844,E,143.4767595920494,0
Hispanic,23.725241232339965,D,E,-89.26271465979438,D,-42.633289873712805,0
African American,-100.54986586217541,D,C,56.9036481336036,B,23.49675174054397,0
Other,-12.136710771535816,A,A,58.31067572692821,B,186.77621239558476,0
Hispanic,-64.25268087910642,E,B,61.064855099859905,C,48.408836058258196,0
Hispanic,66.59084043475907,C,B,-5.346891637304281,B,-9.743466988418977,1
Hispanic,96.05107812632329,E,C,209.52497674727297,D,65.97582231232968,0
White,86.5852814218946,C,C,-141.27767424696523,A,-198.33302694061658,0
Asian,-160.9732170213952,B,E,71.4755852855327,E,-155.3821513840321,0
Other,137.71022636833274,C,C,-20.05163107391985,C,-47.54720737708492,1
African American,58.98280334579744,C,A,-110.55451050835856,D,-110.22309729994886,1
White,28.224553098016898,E,B,-71.11880856605917,E,-92.02912373457514,0
Hispanic,-24.496846800903217,E,A,-28.077796934408084,D,-85.70110296928853,1
Other,111.77408592813505,A,C,-39.05767802191483,E,69.51292799323568,1
Hispanic,-132.72386690933968,B,B,80.01751152239612,C,-104.10097801066662,0
Other,-31.255490745694175,C,D,5.600882803008936,A,14.835372732616584,1
Asian,187.6107209958736,B,C,-45.29231118507222,A,-21.199671718884147,0
Black,19.220618212389574,C,D,-38.534008677872016,C,-78.39298252412107,0
Asian,-9.97603754630872,A,B,68.5413208671821,D,68.90704556309267,0
Other,48.59058997708108,C,B,-165.54228358652068,D,-26.42327637418488,0
Hispanic,101.81446959679603,B,D,-15.847400237327989,A,-9.84320460198272,0
Hispanic,183.1832731548425,A,D,27.13576876576796,C,-12.940196428440576,0
Asian,-6.093165697179428,A,A,-90.50077110420908,A,100.75557160902902,1
Hispanic,-28.183770099183448,B,C,26.906982915462624,C,-4.015392843910902,1
Other,155.76258668124242,D,D,83.13527078576374,D,87.09474073701938,1
Asian,-24.72352234965426,E,E,-89.93021063489392,D,-4.1281221574905205,0
Asian,-141.63413421028667,D,E,21.152122626691686,E,-57.166051113990136,1
Hispanic,151.5284511665057,A,B,104.95300397275165,E,-106.51895572723562,1
Asian,-37.53860260025866,E,B,-30.977016958233357,D,-57.99686140258948,1
Other,293.91596108650594,E,C,145.97691957979907,C,-90.49036314712329,1
Black,-112.77527076772877,A,C,24.12343592810318,D,56.96547247406683,1
Other,97.00986588923807,B,E,-97.02550294199422,D,12.880113994210198,1
White,-91.98982092137668,B,E,84.97177085618343,C,-121.74451879130179,0
Other,60.37685114628816,A,E,-175.74636116249516,C,11.054508422833976,1
White,-55.53880469109662,C,C,51.71292316196593,E,23.07851905967641,0
White,108.49299964199064,C,B,72.79519006529677,D,32.92925452733863,0
Asian,-121.79546699968489,D,A,-133.27647586840706,D,-40.7362978996997,0
Black,104.71193182420929,D,D,-2.446146604397589,D,-143.79576602166733,1
Hispanic,81.80276124582691,C,D,140.96933910606893,C,-2.8418972143449026,0
African American,52.05631065103298,B,B,139.13280865608397,C,-0.13893332649027654,1
White,-125.13030048409726,C,E,39.173217653374536,A,80.91833996389747,1
Other,111.51918727291125,A,E,52.89594932855412,E,41.3445084659859,1
White,57.57844617929525,E,E,144.43170095350203,C,-81.01733711301847,0
Hispanic,40.581403395270634,C,E,39.351815114010904,B,-16.253349633558802,0
Black,-70.8573451705774,D,A,-78.05148399352586,A,59.89827909455872,1
Asian,-140.15555825687161,D,D,-90.3604739247305,E,-163.84996001742763,0
Other,261.79259675885436,E,E,102.8164849145023,B,-17.85259347295518,1
Black,94.48295361135845,E,A,8.17685969358082,E,-181.6683134400343,0
Other,-74.6365487551658,E,E,41.59120316272539,D,-4.803417948109309,0
Hispanic,-0.5577340634420129,B,C,-134.95535154017836,C,-64.93898776529596,0
Asian,-156.2142280883954,E,E,-17.327826394586314,D,-197.45514787006806,0
White,40.194867954741284,C,E,-24.358644140087215,C,-17.90028771281617,1
Hispanic,30.251340032832154,A,A,-95.09183334053995,D,-19.976916744824575,1
Black,51.24221803720387,E,A,-38.32387378254593,E,0.7413893193724095,1
Hispanic,-18.303226362058805,D,D,28.565512811091605,C,82.32890794975818,1
White,-106.30286889482312,D,C,-46.496142010233456,D,-50.6075880100954,1
Black,97.81877640116251,E,B,-17.85748642426,A,91.24043670100244,1
White,34.76174413233589,E,C,142.17225131016363,E,134.35273183117422,0
African American,86.50524357731626,A,E,-40.90982365573264,B,240.75087959868387,1
White,-149.84268791809438,D,A,-80.12386313136155,B,-205.471182585666,1
White,-149.4029983828977,D,A,-17.020465546215995,D,-25.269860671551942,0
Black,147.34393196449273,E,C,-20.849580214134424,E,29.376438195547323,1
White,-83.98871786453275,C,E,19.17838188903956,E,-26.432761081437107,0
African American,128.05004846345537,E,B,79.80609950063632,C,12.636152050173195,0
African American,25.24893275637013,E,A,88.06120484381572,A,-14.557589550050878,1
Other,-19.5638669769601,C,A,-94.10350536772194,B,253.58871713302867,0
Asian,-5.121555362203266,A,E,3.879472884977792,D,68.1139492724283,1
African American,-121.72152538848937,D,D,132.6692473521395,C,-36.77972668241981,0
African American,-40.68762822748029,B,D,22.633126744174206,C,68.75319841807159,1
Hispanic,-57.03533351059534,B,D,6.296225701899531,E,-6.284450552715263,0
Other,-207.5272352147027,B,A,7.668110096082836,A,-116.68275506968551,1
White,117.27118898573792,D,A,-182.3289790730352,E,-68.57523776597809,0
African American,30.739059228817762,C,B,234.8672293618967,C,146.99259665627116,1
Asian,-107.28107983898916,D,D,-91.50147464415068,E,-8.216279133397714,1
Other,79.17469689735114,D,E,-24.293407640259925,D,0.7250666620946993,0
Hispanic,-64.01012764141653,B,A,-12.313894629161224,B,13.213001793540435,1
Black,159.61026080749568,B,E,-127.0082393488808,D,-100.8013319942721,0
Hispanic,94.78278678074011,C,C,-63.50849275460495,E,38.63531738839228,0
Hispanic,15.448468438947804,D,C,43.22949640144229,D,35.99006998876581,0
African American,77.99040525043104,E,A,62.7841233946713,B,-122.59386106533918,1
Asian,11.426344744135369,E,C,1.7744959091425612,B,149.50701025375878,0
African American,56.37435848696404,E,D,-74.41099253712014,B,164.18870379446287,0
African American,-58.15541392836785,A,B,25.803324866902166,C,100.89262497525611,1
Black,-57.00040946099221,A,A,22.989380478171054,D,-116.00971855915867,1
Asian,-35.14485410135352,B,E,-105.86391309302795,A,-58.45053229560387,0
Other,-11.814091424948408,B,B,38.273301926967,E,-56.33517136045558,1
Other,107.81905280446588,E,B,-229.83554761069217,C,-80.65851168012185,0
African American,51.00142600620513,D,C,43.650522254789344,B,29.081894382274076,1
Asian,-61.063322717118965,A,C,-22.079164849771683,C,17.98394155251924,0
White,69.32192170170018,A,C,-63.92796310187582,C,136.7084935826276,1
Other,105.84730605883128,E,A,-23.03741050766291,B,-78.55896881513655,0
Black,15.512099243957087,D,E,-89.13746991445885,A,-57.65562223826801,0
Black,37.01938197589494,E,B,166.29811929497419,A,-5.438349262869897,1
Hispanic,29.946744844523206,B,C,-38.10256782855828,B,-64.48658899755605,1
Black,-183.1302452602916,C,B,-105.67322994321687,D,-24.977855291150185,0
White,-27.791794810896114,E,A,125.77522694966774,A,-72.73828894649328,0
Other,-44.93956252603707,C,E,-45.46443645106212,E,-7.494474832442672,0
Black,20.850516898445637,A,B,-81.7919145049234,A,-61.0544073584178,1
White,70.84574016961092,B,D,-18.937065482388533,B,109.51550760372153,1
White,6.166049179132362,A,E,-33.98568707164889,A,-216.3212862278063,1
African American,-57.937022240330464,C,A,-105.5431588110476,C,113.91939980207668,1
Asian,8.079030951693083,E,D,33.49649961898676,A,32.28068082585208,0
Other,-161.33245524378543,C,A,145.12028421796202,B,17.467930187513794,0
African American,42.89070694947605,A,A,-9.8659654427933,A,-18.571054740501282,0
Hispanic,59.76197139361869,E,C,51.239175606456065,D,4.218527308140983,1
African American,-70.8421419624081,E,D,-10.716924069248876,E,125.92565914910404,1
Asian,74.57683858850567,E,A,-155.5435775572645,D,-53.42590172258556,0
Hispanic,-122.50173718067376,A,E,135.4239843166764,B,60.85238564704425,1
African American,-31.1057181927268,A,D,49.97696558672227,C,36.154119804614396,0
Hispanic,142.8798646994401,B,C,-61.91405685092263,D,50.9818054087016,1
Asian,141.61312754481926,E,B,-147.11975529162936,D,-40.97740638878799,0
Asian,66.61858270103954,D,B,32.7718804218995,C,-31.14723742304182,0
White,-119.0615045591916,B,D,-219.56525341436915,C,34.4644886570447,0
Hispanic,-4.975749706230209,B,D,-25.780480032681215,A,90.31113823306474,1
Other,-114.71419917319663,B,C,-270.3176603685208,D,116.89635386871666,1
White,-17.995959022455494,E,C,-50.6894950534841,C,0.11699039424467056,0
Black,16.306490611030053,B,B,2.7873610510644866,C,61.92424675814247,1
Other,-44.645160876654764,E,E,131.21515286665522,C,-80.49241391105488,1
Other,191.89441029102488,E,A,-108.34236182073525,D,-40.4801447796961,1
Other,45.54180685948814,B,B,-71.52219136466744,C,-85.08467453992255,0
Other,86.36538506132514,C,A,-45.51598680313727,A,-91.32969020997217,1
Black,218.25045368847475,E,C,17.38725073034237,A,-64.04605815967895,0
Hispanic,-107.249571608902,D,A,41.394450232591616,A,65.26062718898986,0
White,105.02242845856497,B,C,78.98724915124981,E,-95.64573130288451,1
Black,-139.26331924953473,D,C,-6.956363011305654,A,-117.4197922871198,0
White,-56.36550868706409,D,A,94.41647196798995,D,116.18286927069221,1
Asian,-45.101129181578386,A,C,-10.46147138342845,D,-142.7789172703555,0
Hispanic,175.04269528221576,C,B,-221.6565325839752,C,-2.4507653939931093,0
Asian,31.45878346541054,E,E,-128.5098073456377,B,-30.737602927318402,0
Other,5.881104919297715,C,B,-12.65842588227157,C,-104.66778149243557,1
African American,10.261938887856694,A,E,59.58890580309203,D,60.8848446687101,1
Other,137.8596808672789,C,A,-181.19580599549002,D,104.2625757378869,0
Other,-38.11505133192761,D,A,149.20566322605674,C,37.74114627116852,0
Other,-43.63778098769831,E,C,-62.1756483737077,B,-6.55209254435344,0
African American,9.410114546920449,A,D,-128.72314854734714,E,-147.06960201226022,1
Asian,-64.28959832744141,E,C,7.377626900960683,C,167.0542314411089,1
African American,126.94910920746997,B,E,84.4799743737884,A,81.0236786932393,0
Asian,-65.45251468625777,A,C,-9.218532965240632,D,-27.988885106391727,1
Black,-20.835496812400297,D,E,-82.28189348235534,D,-77.8815237511893,1
Asian,-126.39210568527157,A,D,41.96087301075313,C,128.80939923303507,1
Asian,-116.10146410310082,D,D,42.840641205416205,E,-317.8307757887208,0
Asian,42.99821878925829,E,D,-71.01297089736448,B,71.51716793989284,1
Other,65.79958533798393,E,B,-2.6631809518734584,C,128.15073474801594,1
Other,57.50858001711466,A,C,-224.88627290465075,D,25.440122676221666,1
African American,-100.57769414619126,A,D,109.02758734769493,C,60.36917847825909,0
White,24.302191370652608,C,A,-48.519263597380856,B,53.25110589232758,1
White,12.817707791277844,B,A,18.7530271539168,C,-29.544525469867594,1
Asian,-98.43995482189165,E,A,151.61840325934122,B,-41.448768264037525,0
African American,-265.67170002052256,D,C,31.590833144590487,D,86.89769014091357,1
White,-109.94710472934311,D,B,80.02569731172771,B,-30.117296701199624,0
Black,96.74194730035775,C,D,143.66047984661225,E,95.44457190664353,0
African American,63.22475414304483,E,D,91.29543762525188,D,139.191556021395,0
Black,-17.34028555205093,D,D,43.2455555855091,C,127.48407761420914,1
White,3.8430280615975962,D,C,-8.336664652031567,B,140.03356503290277,1
Hispanic,-59.95963472763691,D,B,-64.93178988212117,C,89.40026912945727,1
White,-21.528548191785326,D,D,-342.99116101971737,C,-17.425274820516897,1
Asian,-13.54836952745512,B,E,102.93276312820272,B,167.6377313517275,1
Asian,-57.67192738467806,A,C,-29.26921339677373,D,-7.644589914244396,0
Black,68.93027815113017,E,B,120.99690969195318,A,-51.315236697749874,1
Other,145.92924832612172,A,B,-91.69027724549753,A,62.49683513224369,0
Asian,-24.122203411321046,A,E,80.39507034525492,C,6.961043190989701,0
African American,22.640511583895247,A,E,-38.58336262039978,E,-105.96837416883844,0
Asian,68.52845176906301,C,D,-157.87202310669693,C,-101.14728686400136,0
Hispanic,49.395138678182235,E,E,15.385419712390656,C,-104.02182551785116,0
Hispanic,-163.5595463093559,D,E,-42.08838917503323,D,81.4240109880789,1
Hispanic,41.46664940422973,A,B,134.51422210322428,A,196.5542730223969,1
Hispanic,22.773551013166227,A,B,10.916155580745578,E,16.570914299914914,0
Asian,-163.43215946460597,A,D,17.171598149730713,C,-50.71195816955044,1
Other,117.11846747199641,B,E,34.9177298507936,D,-62.72600751796191,0
White,-37.037641536301564,D,A,44.5061266902304,B,-125.29950788367148,0
African American,117.67118168889851,B,B,-11.719753085946644,B,24.437035857239707,0
White,1.0091303168750632,A,C,1.9355731860498708,D,23.01205626386211,0
Hispanic,-72.36406228952094,E,D,-130.9868858225655,D,-41.15943614724722,0
Other,-99.27402931979115,C,A,-1.1933593896438903,A,87.39228368895415,1
Hispanic,13.573456315263439,A,A,28.083072846717457,B,25.868643023790145,1
White,-60.21785199604162,D,C,77.84663971386115,C,-59.012535170074884,1
Other,-31.788445451329423,A,B,22.2234585588077,D,151.77606606986777,0
Hispanic,17.96588873574985,A,C,-51.93261996788291,D,-4.1068859636725294,1
African American,5.2607957653885045,A,C,-86.48571956112573,A,-159.96699639180773,1
Black,-36.567129312464495,D,D,-286.36895911862285,A,70.75580584418091,1
Other,53.21859450940707,C,C,-40.55605828234119,D,-25.572910483846112,0
Hispanic,-106.76318227033967,B,C,-152.5099819608822,C,158.05963284058814,1
African American,-119.98081357501282,C,B,41.41714888273324,C,116.26342035191443,1
Hispanic,-108.72028510950832,D,B,-79.7133423181669,E,46.95220194360465,0
Asian,1.507198656674018,E,C,-115.74433064034831,B,-30.062602562931712,0
Asian,-39.58561990259801,D,B,-119.91557676486484,E,72.40998622535415,0
White,58.623036372952896,D,B,-22.17813655056123,B,-46.869957061513325,1
Asian,198.19371891401616,D,D,-27.481422292060593,A,56.91787403441582,0
Asian,-91.72193258781274,B,A,-120.78412087254256,C,120.07805124663231,1
Other,16.647598367151367,E,B,66.84959439221983,B,-272.25061926417635,1
African American,31.70044902739505,A,E,13.290807660758325,A,-188.69488147181607,0
Black,80.19155812111109,E,B,27.61887729615495,C,-56.39936705030608,0
African American,78.54354663231176,E,B,-84.28711342892434,B,-97.96513835774073,0
Other,-138.67338774213823,A,A,-37.98483981396751,E,48.16839979527436,1
African American,166.2118935170337,B,B,80.94604754451031,B,68.47825274658422,0
White,-119.1578283717065,D,B,134.3214337212944,B,-87.65292234576253,0
Black,-70.56913346162862,A,D,-42.18300188150352,D,171.3345431009981,0
Hispanic,-94.1435012503078,A,A,151.69792692066412,A,-30.449273303912094,0
Black,20.4344928272851,B,C,234.99683123570458,D,27.609463343753966,1
Hispanic,-295.34432286412834,E,E,38.272667909768565,E,-152.02811003920925,1
Asian,-27.335013304696883,E,B,-134.64383165995758,E,-29.945956678228548,0
African American,195.08056922417532,E,D,-120.06706197202735,D,74.74708604021826,1
Asian,-54.275147167670944,E,E,-38.449126090033275,A,-87.30525422285474,1
Other,51.95607375147131,A,B,-47.003953476461966,D,-70.33383897399851,1
Other,-52.407256484000754,D,C,236.76637399976337,C,5.247430398531066,0
Other,-180.07502989250835,A,A,113.10244233719393,C,119.72457770402913,0
Asian,-98.5386815421859,E,C,65.6620295635923,A,-109.95893692998631,1
Hispanic,0.9725507169237769,B,D,13.931169000271574,C,48.85020677999615,1
Black,22.061098078063296,E,E,-86.14716658803209,E,0.2575774115587835,0
White,103.75031509870803,C,A,118.46581002557785,D,-53.00572861723837,0
Hispanic,7.406298488918509,C,C,117.60751016406714,D,107.39317644726243,0
Black,209.53197658532994,C,E,22.502943452892378,D,37.57794137971063,1
Black,106.76339932901533,D,E,68.14739924551279,A,-57.69279698322644,1
Other,43.44420595449091,E,C,-57.26319050719738,D,-7.444642944140457,1
White,20.954772838376197,C,A,-188.0535053276376,C,156.85672894000118,1
Other,-29.035562335814458,D,D,89.92024312001563,A,240.68051394116864,0
Black,-58.881262985967616,C,B,-52.903061827112154,B,-76.28454471432994,0
Black,-84.04958805373818,A,C,96.74410813753774,A,48.43455555610915,1
Black,-80.71781636418183,C,D,79.86255969403364,C,91.54554073228273,1
Hispanic,-8.127642962783966,A,C,11.25059569228046,E,-27.605967481748795,1
African American,-186.8596598958182,C,A,95.68052811108817,C,105.47579962945622,0
Asian,-72.00892193343175,A,D,134.05117442588917,C,-151.04624998753792,1
White,-71.63690474342994,D,E,-105.28364970136475,D,-82.62291066110112,0
Hispanic,147.4401523031142,B,C,96.55433492088214,E,30.708792274959162,1
African American,72.5718646869384,E,A,-94.24921762157098,B,102.45535140358383,0
White,-108.40826269286066,D,D,-102.34981486742274,D,-142.98518808485807,1
African American,170.36051609121154,B,E,48.427051414080495,A,-34.372442893540374,1
Hispanic,100.97590979419317,D,B,16.99648119027748,A,66.06446737047919,1
Asian,-135.69710753979555,E,B,-195.055734309742,B,120.3458217190717,0
African American,262.6544547053283,B,E,-71.42349981627602,A,-48.41697603361931,1
White,-169.1904666220916,E,A,-83.06811499024262,D,-29.85238671170034,1
African American,43.51119237032716,E,D,-122.69541226273486,D,5.304117603753164,1
Hispanic,-37.45685155110707,C,D,4.559298675299595,A,96.17802555470875,1
Other,215.20867512592537,B,D,-92.85643040086845,A,49.12022288085179,1
White,172.26107537727754,B,A,21.603371923345602,A,-157.7921428306054,1
White,-11.366068173293652,D,B,103.76077243554671,E,29.752221682927267,1
African American,-64.72740649510196,B,D,128.83381867665665,E,90.9871990406099,0
Asian,97.81933735525298,A,D,-368.618989162551,D,-35.160781668062484,1
Hispanic,-26.223805479657354,C,B,-113.63945252242101,D,67.44552024802147,1
White,105.93182730559576,A,B,-46.24137458694024,A,108.36841937045682,1
African American,-22.167794722474845,E,C,-250.73253426742315,A,6.671260582386947,0
Black,27.61741017628591,C,B,33.48660671603536,D,208.53185635352003,1
Black,-201.57183244159452,C,E,-7.089248402885766,D,-33.96107540122566,1
Black,17.45725784815932,E,C,-52.72256319476979,E,28.40101489376414,0
Black,-24.20593342881329,B,B,-13.81309732846791,C,-169.946019008297,1
White,-175.93447113371104,A,C,187.76788495034347,C,40.73400428650406,0
African American,101.6804229392286,C,B,4.969804755921844,B,43.825310081180916,1
Asian,-1.595584129960154,A,A,-32.33711163186081,C,32.18005920905563,0
White,243.09322771095046,E,A,-10.203422853024833,C,-23.773884491263868,1
White,-13.815163730107397,E,E,-16.81855428901716,C,-30.9164359274745,1
Hispanic,-44.3954571786632,E,C,-92.6375907053453,A,70.07522221112067,0
Black,-149.94039993111087,C,E,166.65517704174826,C,4.703643050158414,0
African American,134.95716439339816,B,E,35.8104223169936,B,-29.335600708420024,0
Asian,-29.914753256692407,A,D,-166.46947060353966,A,-44.24617044553814,0
Hispanic,-50.70240476293561,E,E,142.87026765230198,C,54.37724320795496,0
Black,47.31928072768717,E,E,82.70095233438536,B,50.47158043254261,0
Asian,-42.37863413810465,A,D,30.220937027608407,A,6.893363889274765,0
Hispanic,126.69120753781445,E,E,111.37364807323833,B,9.835111487794162,0
White,-91.58402220397069,A,A,67.59172769304732,E,83.11868885772455,0
Asian,-25.18151605059003,A,A,142.40027867046058,A,31.6596144292148,1
Other,8.146445646226008,D,A,-125.26147062105395,D,-56.31487156939373,1
White,-16.495863990742997,A,A,-31.2999005995361,A,-112.22578085623853,1
Asian,147.65906630525342,E,C,170.2319692944385,C,-224.84089570761503,1
White,27.44827042970946,C,B,-136.03977267725605,E,40.1351687209655,0
African American,-87.35923261432677,A,E,85.64398239372896,E,107.3976763417334,1
Hispanic,-169.98341328775842,D,C,-21.89198945884839,C,33.026293748072256,1
African American,116.58808706346464,E,B,-76.35932784330555,B,248.66719241533514,1
Hispanic,-40.53118328812495,E,A,11.066459115821225,C,113.03631671742349,0
Black,27.776067874792314,E,B,-4.741185007889869,C,-50.6750530970565,1
Other,11.94420561951142,D,B,-21.246283798718252,A,-74.24687247811596,0
Other,-47.52376491169052,E,B,-266.4329230235222,D,-57.37769152866258,1
Other,-43.819532014934936,D,C,-97.59545038079602,A,73.8037138359141,0
African American,-80.21016472348812,B,B,-3.601991106445295,C,132.11427209578508,0
Other,-51.20160076162803,A,A,4.672183242586244,D,123.23820096496505,0
Asian,-82.81478893847435,E,A,77.49134070047722,A,215.69705501507474,0
Hispanic,26.70309991306516,E,A,-34.8613807995765,C,-102.39374187678989,1
Black,9.809649609940262,E,A,-20.10700167634985,E,-96.05775949303008,1
Asian,89.24479623724515,B,C,-23.21283598973654,A,-121.34503537146615,0
Other,51.542989467925125,D,D,50.22178117561773,E,33.41011517217648,1
Asian,27.48111999779515,A,E,-76.92530315350396,B,-101.71196447763542,0
White,-108.14827091049699,C,E,-139.00026322398688,E,43.72546856330347,0
Hispanic,-32.83586624319256,E,A,24.121775747102536,B,-81.99004145836079,1
Hispanic,139.237466633607,D,C,-96.89293920762705,E,48.92984575077091,0
Asian,21.929148419528406,B,D,-20.19692843366615,E,-56.16142524288909,0
Other,-84.16820259517303,E,A,20.14219340636719,D,-9.98513531389128,0
African American,-7.552750640912436,E,C,178.04563871079438,D,-172.19757444674292,1
African American,89.27429460798788,A,A,-83.37009368676664,D,-104.02638166264857,0
White,-137.54280507654522,B,E,-0.3809524444234831,C,-51.038463573453456,0
Black,196.63909754362396,B,A,37.019203657653854,E,-30.233130224471534,0
White,59.81416468072547,A,C,135.0897053367675,E,142.6193128157341,0
Other,-41.457151933371776,E,E,134.95551259821616,B,-24.265692091695044,1
White,199.42616952189007,E,B,-130.20685964635496,E,-224.87109343555275,1
Black,-42.167402415566876,E,D,-10.800770851099948,A,36.760021852552114,0
