married,country,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
Single,India,26-35,A,E,-22.36014247180441,D,C,1
Single,UK,36-50,A,B,29.040467553491574,A,B,0
Widowed,US,65+,A,D,33.06491623136782,C,E,1
Divorced,UK,51-65,A,A,-36.900137549867395,B,C,0
Widowed,India,36-50,A,B,45.12812854811871,E,C,1
Widowed,Other,26-35,E,C,107.20474719910882,A,B,1
Divorced,Mexico,51-65,D,C,-91.10360062278818,A,B,0
Divorced,Brazil,18-25,B,D,-21.93232531683099,B,E,0
Married,India,26-35,B,C,-14.984644355074792,C,B,0
Divorced,Brazil,18-25,B,D,13.704205068474874,C,C,0
Divorced,China,36-50,D,E,-147.96021530449516,E,E,0
Married,Mexico,26-35,A,D,-34.79982082714352,E,D,1
Married,Germany,51-65,B,D,-178.85104982230803,D,A,0
Single,Mexico,26-35,D,D,59.50704893454437,C,B,0
Widowed,Other,65+,D,E,-7.14668387846003,B,D,0
Married,India,18-25,B,D,-206.60711281210533,B,D,0
Widowed,Other,36-50,A,D,-6.414405919298499,D,A,0
Widowed,China,18-25,B,E,142.0537341872713,B,E,0
Married,Other,36-50,A,E,161.94332746838006,B,B,0
Married,Germany,18-25,D,D,62.45326850958087,B,A,1
Widowed,Brazil,26-35,A,C,181.4770398028339,D,D,1
Widowed,Brazil,18-25,B,C,-52.279161515307294,E,D,0
Married,Brazil,18-25,D,A,-59.78033030810096,B,C,0
Single,Brazil,18-25,C,D,-16.053621915954817,E,A,1
Widowed,UK,18-25,B,A,231.287504320346,C,C,1
Single,India,18-25,B,A,-51.04032170226288,C,B,1
Widowed,US,18-25,A,D,86.24162020904522,B,E,0
Single,Mexico,51-65,E,A,-30.21066385786212,B,B,0
Divorced,China,36-50,C,C,-157.56485682231377,B,A,1
Divorced,UK,51-65,A,B,-126.94519027502747,E,B,0
Widowed,US,51-65,D,E,-100.18730146932546,C,E,1
Single,Brazil,18-25,A,D,152.2571822219909,B,A,1
Divorced,India,26-35,A,D,15.239870398662262,C,D,1
Widowed,Other,26-35,A,C,11.763799586846812,B,D,0
Divorced,Mexico,65+,A,D,151.54545688085534,A,A,1
Married,Other,36-50,E,C,-47.116578933611514,D,E,0
Single,India,18-25,B,E,154.3299202549933,A,B,0
Married,India,65+,C,B,-125.32647757466191,C,C,0
Married,India,51-65,E,D,170.34787810497232,A,B,0
Married,UK,36-50,B,A,-11.530175458306594,E,D,0
Married,UK,36-50,A,E,129.97817404775333,D,B,0
Widowed,Other,36-50,C,D,164.38320529496698,B,B,0
Divorced,Germany,65+,D,B,-21.05676169594958,D,B,1
Divorced,India,18-25,C,A,117.30387796163227,E,E,1
Married,UK,51-65,E,C,55.665020534626606,E,D,1
Widowed,Brazil,26-35,A,C,143.99958691942942,B,E,1
Widowed,Brazil,51-65,D,C,-3.375998179714996,D,C,0
Divorced,UK,18-25,E,C,95.00472585163874,B,A,0
Widowed,US,26-35,C,C,15.7719668933227,E,B,0
Widowed,Brazil,18-25,E,D,138.39474632986193,C,C,0
Married,UK,18-25,D,A,-50.62010110640993,E,E,1
Married,Brazil,26-35,C,A,-19.676019456138206,E,B,0
Single,Mexico,65+,C,C,25.87106080146242,C,E,1
Married,Brazil,26-35,E,C,151.62504867882836,C,A,1
Widowed,UK,26-35,E,E,-1.7242664234115226,B,B,1
Single,China,51-65,B,E,-71.36411762261001,E,A,0
Single,US,65+,A,E,43.454779900477035,E,A,0
Divorced,UK,26-35,E,E,11.704910454802407,D,C,0
Widowed,Other,26-35,E,C,41.40028726243878,C,B,1
Widowed,Germany,26-35,E,A,-76.00992671130878,D,C,1
Divorced,Mexico,65+,D,C,-84.93928152811948,B,C,1
Widowed,UK,36-50,B,C,5.504212395213559,E,D,1
Single,Germany,26-35,A,E,57.91917845127329,C,A,1
Single,Brazil,65+,E,D,12.541925943526635,D,B,1
Widowed,India,26-35,D,C,-145.236029489419,A,D,1
Widowed,Germany,65+,B,C,52.35874329026695,A,B,0
Married,US,36-50,A,D,-76.1543127437179,D,A,1
Single,US,51-65,D,D,-164.65950554238583,A,E,0
Divorced,US,26-35,A,B,-60.599219160182194,D,B,0
Divorced,Germany,18-25,C,E,-105.45770512360788,C,B,0
Divorced,Other,51-65,B,A,64.69701213012557,A,C,0
Widowed,Brazil,26-35,A,A,179.9698577122693,A,C,1
Widowed,UK,65+,E,D,390.85889802109733,D,E,1
Married,Mexico,26-35,C,B,60.6943329724187,C,D,0
Single,UK,51-65,B,C,-82.28980313912558,E,B,0
Single,Other,26-35,A,E,-105.08758451561214,C,D,1
Divorced,UK,36-50,D,B,-152.94043312077972,E,C,0
Divorced,US,51-65,A,D,121.04439787575659,D,E,0
Married,Other,36-50,D,C,6.760053438616974,E,A,1
Married,China,51-65,E,A,-87.55448754746764,B,A,0
Divorced,UK,26-35,B,A,-74.03073937289942,C,B,0
Married,India,36-50,E,E,-37.67054082702509,C,A,0
Married,Mexico,26-35,D,C,-10.448807517104113,D,E,0
Married,Brazil,26-35,B,E,-94.05607348387338,C,D,1
Divorced,Germany,65+,B,E,101.44665635096155,D,E,1
Widowed,Other,18-25,A,B,130.79379281867662,C,C,1
Widowed,China,51-65,B,C,-17.08084267884578,A,E,0
Married,US,51-65,A,D,173.34428531902378,A,C,0
Married,Brazil,65+,D,E,-154.4070966675478,C,E,1
Widowed,Brazil,36-50,B,A,134.6946094332145,C,C,1
Married,Other,65+,D,A,195.35464202257288,A,D,1
Divorced,Mexico,36-50,A,E,33.82877910510452,C,E,0
Single,Mexico,51-65,A,A,119.0137889849812,C,A,0
Widowed,Brazil,36-50,C,A,67.18224556988945,C,A,1
Married,Mexico,18-25,C,A,146.23953340702352,A,E,0
Married,Other,26-35,C,B,11.167443717118609,A,C,1
Single,US,65+,A,B,-170.77620983254548,C,C,0
Divorced,UK,18-25,C,B,45.24553688800378,C,C,0
Widowed,Mexico,65+,C,C,36.38847596262343,B,A,1
Married,Mexico,51-65,D,D,189.00748605985714,C,C,0
Widowed,Mexico,65+,E,C,-28.661779611276156,C,C,1
Single,US,36-50,B,D,-203.53939129328074,B,B,0
Divorced,China,18-25,B,A,-71.4471909735699,E,E,1
Married,US,51-65,A,C,-2.6468445957953923,E,D,0
Divorced,Other,26-35,A,E,100.9754107007339,B,B,1
Married,UK,65+,E,D,130.37946005919252,B,B,0
Single,China,65+,E,A,-28.234101886502817,B,A,1
Married,Brazil,51-65,D,C,211.95450442023773,D,C,0
Married,US,36-50,B,B,99.16050368913363,E,E,0
Single,UK,65+,A,C,-17.216916597201955,A,D,0
Widowed,Mexico,18-25,C,A,3.138519511158026,D,A,0
Divorced,India,51-65,E,C,-75.33667217887668,A,A,0
Married,Mexico,26-35,A,D,-43.953695815022634,C,C,1
Married,Other,18-25,C,A,-64.9009868398495,A,E,0
Married,China,65+,A,D,-66.57347191070212,C,A,1
Widowed,Brazil,36-50,E,D,175.13704639617796,E,D,0
Single,Germany,26-35,C,A,-1.340686617947571,B,D,0
Married,India,18-25,D,E,28.32000172213785,A,E,0
Married,Germany,51-65,C,B,238.8590620768754,B,A,1
Single,Germany,18-25,C,B,-49.06591521792483,C,A,0
Widowed,US,51-65,A,E,-73.55785100386511,D,E,0
Divorced,US,65+,A,D,-50.169775515221346,B,A,1
Married,US,65+,E,D,-103.71320522268157,D,B,1
Married,China,36-50,A,A,178.49455621922218,D,D,0
Single,China,26-35,E,D,-158.9561078075339,E,B,1
Widowed,Germany,65+,E,B,39.63505153028043,E,B,1
Divorced,Other,36-50,A,D,-25.090839745769177,A,A,1
Married,Mexico,65+,C,A,146.89140358170198,D,C,0
Divorced,Mexico,18-25,D,A,-244.56085840656607,B,C,1
Married,Germany,51-65,A,E,73.59415648002742,E,D,0
Widowed,UK,26-35,C,E,47.58105091779155,A,E,0
Married,Other,36-50,E,A,-122.47420615433866,A,B,1
Divorced,Germany,51-65,D,A,-106.0024247311997,B,B,0
Widowed,US,65+,E,E,43.69369235175161,D,E,0
Married,Germany,26-35,D,A,18.578188446340096,C,C,1
Widowed,US,51-65,B,E,-99.04663466314102,A,D,1
Widowed,Mexico,18-25,B,D,150.78659715824455,E,A,1
Married,Germany,26-35,E,D,-43.734793245055776,E,E,1
Widowed,Germany,65+,A,B,-103.39692071700904,B,C,1
Widowed,Mexico,18-25,A,A,-114.58839314950113,C,A,0
Widowed,Germany,26-35,B,A,35.696413065955994,D,C,1
Divorced,US,65+,A,B,87.95838625230203,C,D,0
Widowed,India,36-50,E,D,-167.85646515945186,B,C,0
Single,Germany,18-25,C,A,92.80920771795506,A,D,1
Single,US,51-65,D,E,-83.95481421728552,D,E,0
Married,UK,36-50,C,D,-7.954471535682271,A,C,0
Married,UK,65+,A,D,-33.49753708541216,E,D,0
Married,India,65+,D,C,29.402583220991502,E,D,0
Widowed,Mexico,18-25,A,A,6.844935307639711,D,B,0
Divorced,Mexico,36-50,C,E,-155.40674309473283,B,E,0
Married,Mexico,18-25,A,E,-29.981655755321988,D,A,0
Single,Brazil,51-65,E,B,-11.301257312764681,B,C,0
Married,Brazil,18-25,B,B,-2.41725363503615,D,A,1
Single,India,36-50,B,D,47.38656404129741,E,D,0
Single,UK,18-25,A,C,290.9397613248669,A,E,0
Widowed,China,51-65,E,B,53.095153204129716,E,C,1
Married,Brazil,65+,D,B,194.5977426636239,C,D,0
Married,Brazil,18-25,B,D,71.7754645846022,A,A,1
Divorced,US,36-50,D,D,168.62959833885645,D,D,0
Widowed,Mexico,65+,A,C,11.408412817380606,E,B,0
Married,US,18-25,E,E,-72.04552920128776,D,E,0
Divorced,Mexico,18-25,C,E,-36.18872179602418,D,C,0
Single,Mexico,51-65,B,E,-55.932608920087,C,D,0
Single,UK,51-65,D,C,-161.54165300149117,D,B,1
Married,US,18-25,D,A,-45.23854197190723,C,A,1
Single,Brazil,36-50,B,B,-116.37791664101191,C,E,1
Divorced,China,65+,A,A,-68.76345750312107,A,C,0
Widowed,Mexico,65+,A,B,16.88844906374108,C,B,0
Divorced,Germany,36-50,B,A,-1.9533071804409057,D,B,0
Widowed,India,18-25,A,B,-42.036562593804646,C,B,0
Widowed,Other,65+,D,D,-6.939714701451928,A,C,1
Widowed,India,36-50,E,E,34.33656506390467,B,A,0
Divorced,Brazil,51-65,B,B,-18.886923536727334,C,B,1
Divorced,Mexico,18-25,B,A,56.775751095670415,E,E,1
Divorced,India,18-25,A,B,-104.13364848663286,D,C,1
Married,Other,36-50,A,D,263.2559768808412,A,D,0
Divorced,Brazil,65+,D,D,-11.349204715107069,C,D,1
Widowed,UK,26-35,A,D,60.507676769350574,A,D,1
Single,UK,65+,C,B,47.05500511965246,A,D,0
Married,Other,18-25,B,C,136.49593416558784,A,B,1
Married,Germany,26-35,B,D,-101.86566319276808,B,E,1
Widowed,Mexico,51-65,B,A,4.483321389482943,E,E,0
Divorced,Germany,26-35,E,B,20.022527268089465,B,B,1
Widowed,China,18-25,E,E,-10.138138249304703,D,E,0
Divorced,Germany,26-35,A,B,-89.02681400729048,E,A,1
Divorced,Other,36-50,B,C,19.474970331164446,C,A,0
Widowed,Germany,36-50,A,C,-0.5210348047865554,B,B,0
Single,Germany,51-65,C,E,-97.94740413483349,B,C,1
Widowed,US,18-25,B,E,19.30947630585593,B,C,1
Widowed,Brazil,18-25,B,E,54.69978873064465,E,A,1
Divorced,Other,26-35,A,B,31.039487192099894,C,B,0
Widowed,Germany,36-50,E,B,-110.61795909740215,A,D,0
Single,US,36-50,E,E,226.06085821564434,D,A,1
Widowed,Germany,36-50,D,D,-116.65791342470571,B,E,1
Divorced,UK,51-65,B,E,41.397221196702795,D,B,1
Divorced,Germany,18-25,D,B,145.9841175848206,E,B,0
Divorced,UK,51-65,D,A,-56.18304477841025,A,B,1
Married,Brazil,36-50,B,D,-179.46242341942906,B,E,1
Married,Other,26-35,C,B,10.493702513159548,B,E,1
Single,Brazil,36-50,C,E,-63.156115116603054,A,B,1
Single,US,36-50,D,D,75.35058717845192,C,A,1
Widowed,India,26-35,D,D,9.339343430628313,E,A,0
Married,UK,26-35,C,E,134.6649270638582,E,D,1
Divorced,Mexico,18-25,A,B,-256.7264444672846,A,A,1
Widowed,US,51-65,C,D,86.94491025742802,B,B,1
Married,Mexico,65+,E,A,18.94659403122007,C,E,0
Widowed,US,36-50,E,E,-94.66624115101648,A,C,1
Single,China,51-65,B,C,137.56792442023416,A,B,1
Single,Germany,36-50,B,B,-19.777552730062556,C,A,0
Divorced,China,26-35,B,E,89.64891460859864,B,C,1
Widowed,Mexico,65+,D,C,349.0331038615142,E,E,1
Widowed,China,51-65,E,C,-32.88543375780242,A,B,0
Divorced,China,18-25,A,A,101.80740296452038,C,D,0
Married,Brazil,36-50,D,D,14.14246357429195,D,A,0
Single,China,51-65,A,C,79.4689744818999,C,D,0
Widowed,Mexico,65+,D,A,-50.82376916675866,D,A,1
Single,Other,18-25,A,D,-48.41770500555687,C,A,0
Widowed,Germany,65+,D,B,-136.32327797079589,B,C,1
Divorced,Germany,36-50,C,D,-4.5999649132723315,C,C,0
Widowed,US,36-50,C,E,92.2977796128291,D,B,1
Married,Germany,36-50,D,B,-114.75837244333486,E,C,0
Single,Brazil,18-25,B,C,10.163222340197514,A,A,1
Single,Mexico,18-25,E,D,62.711094532647124,C,C,1
Divorced,Germany,26-35,A,B,-100.74179623586461,E,A,0
Single,Brazil,65+,B,C,28.52833004463794,A,A,1
Widowed,Mexico,18-25,E,A,27.203564165825806,D,A,1
Married,UK,18-25,E,B,82.56590916546487,B,C,0
Married,China,18-25,B,E,117.58380017203807,A,A,0
Divorced,US,65+,B,E,-69.03454302992913,E,D,0
Married,Other,36-50,D,C,-29.637563509643194,E,E,0
Single,UK,51-65,E,D,-7.248504995630261,C,E,0
Single,Other,36-50,C,B,80.75533977945253,C,A,1
Widowed,Brazil,51-65,B,C,86.97713614321975,C,E,1
Married,US,36-50,D,A,46.01208784218375,A,E,1
Married,Germany,26-35,A,E,-68.16592354434941,A,E,1
Married,UK,26-35,C,D,114.82966295423402,B,D,0
Widowed,Mexico,65+,E,B,305.74341379390955,A,B,1
Widowed,US,18-25,D,B,9.159174247479205,C,C,1
Married,Brazil,36-50,C,D,-68.70635961268906,D,D,1
Married,UK,51-65,A,D,-29.53232935278739,E,E,0
Married,Mexico,51-65,C,A,-21.723249547314158,A,D,0
Divorced,China,51-65,A,B,70.41292412997676,E,D,1
Divorced,Brazil,65+,D,B,-72.28255624309894,D,D,0
Married,Other,51-65,D,E,-56.24921805730906,D,D,1
Single,Germany,26-35,B,C,-83.39583841172106,A,B,1
Widowed,US,18-25,C,A,-88.77969906185095,A,A,1
Divorced,Brazil,26-35,C,E,-163.16089000782367,C,A,1
Widowed,China,36-50,C,E,-53.118442894926844,C,D,0
Widowed,China,26-35,D,C,57.61121929380604,E,A,0
Single,US,36-50,B,E,26.603973754835035,E,C,1
Married,Brazil,65+,B,D,23.60657953711333,E,E,0
Divorced,China,18-25,C,C,-8.230024284121242,D,B,0
Single,India,36-50,B,B,53.41706010991894,E,E,1
Married,Brazil,65+,B,E,47.60445111209328,C,E,1
Married,Other,51-65,B,E,-106.06413235302026,A,E,0
Divorced,India,51-65,A,A,63.30444811787039,A,B,0
Single,UK,65+,E,E,41.80646995217242,D,A,0
Widowed,UK,65+,D,C,97.40498217068985,C,D,0
Divorced,Brazil,65+,E,D,63.57745363099049,E,B,1
Widowed,China,18-25,C,C,-172.04999288357183,C,D,0
Widowed,Mexico,26-35,A,D,-206.84806926011504,A,B,1
Married,Brazil,51-65,D,A,-10.666497939948108,D,E,1
Married,Germany,26-35,B,A,-50.991097355307055,B,C,0
Married,UK,18-25,E,A,-22.358516530068574,A,D,1
Married,Brazil,65+,B,E,41.366888440304855,A,B,1
Single,India,36-50,C,D,-277.5819079975979,E,B,1
Single,Mexico,18-25,A,A,-40.82957670751131,E,D,0
Married,China,51-65,D,D,16.174484558935657,B,A,0
Married,Brazil,18-25,D,C,2.837017947878478,D,C,0
Divorced,US,36-50,E,B,-17.144893014543882,C,A,1
Married,India,51-65,A,D,108.41788781663924,E,B,1
Married,UK,18-25,E,B,-77.82118673689834,B,D,0
Married,India,36-50,D,A,16.319153294087183,D,C,1
Single,Other,18-25,E,B,8.973189602688073,A,E,0
Married,China,26-35,E,E,183.80870020781603,C,E,0
Widowed,Germany,36-50,E,D,-121.52011528052856,C,E,0
Married,US,36-50,B,D,-59.12751850959167,B,A,0
Widowed,Germany,65+,E,C,222.87294351989462,C,C,0
Married,Germany,51-65,E,A,23.04455230672856,B,E,1
Single,Brazil,26-35,D,D,-76.57779969536182,C,C,0
Married,Germany,65+,C,B,-46.38393387581213,A,D,0
Divorced,Germany,26-35,C,C,-273.38552868348705,A,C,0
Single,Brazil,65+,D,B,6.113658595545639,E,C,0
Widowed,US,36-50,C,C,31.56898833497434,C,B,1
Widowed,Brazil,18-25,E,B,140.43296411659182,A,C,1
Single,Mexico,18-25,D,E,-77.72039400540038,D,E,0
Divorced,Other,18-25,A,C,-102.23258282743912,D,C,1
Married,Mexico,51-65,D,A,29.144820279065897,B,C,0
Divorced,Germany,26-35,B,C,-25.303148737234523,E,D,1
Divorced,UK,26-35,E,B,-35.7355725571689,B,A,1
Married,Germany,65+,E,D,9.264503379536619,A,D,0
Single,Mexico,18-25,A,E,133.93551894882626,D,A,1
Divorced,Brazil,26-35,B,E,15.240774624834275,D,C,0
Divorced,US,36-50,B,A,-182.3508438905493,E,C,0
Married,Mexico,65+,E,E,-62.6834656217907,C,C,1
Divorced,US,26-35,D,B,-76.0831838515961,B,C,0
Divorced,India,18-25,C,B,-71.79657170492038,D,B,0
Divorced,Germany,65+,D,C,-41.949460473471056,C,A,1
Single,US,18-25,D,B,-5.382175167684915,B,B,1
Widowed,Germany,51-65,C,D,-1.10759351342487,E,A,1
Married,Mexico,51-65,E,B,37.01969212065252,D,A,0
Single,China,65+,D,E,91.92568602143798,A,E,1
Married,China,65+,D,E,38.33970751876858,B,A,1
Divorced,India,36-50,A,E,-0.028671979307412297,B,D,0
Married,India,65+,C,C,-19.320200817186084,B,C,1
Widowed,India,26-35,D,B,51.36421670971744,C,E,1
Widowed,India,51-65,C,B,82.3730620286301,E,D,0
Divorced,Mexico,18-25,A,B,-35.58509176178388,E,A,1
Married,UK,65+,B,A,56.28893285500649,B,B,0
Single,Other,51-65,D,A,-60.088324742802634,C,C,1
Divorced,Other,26-35,C,A,-18.214226054005486,A,C,1
Widowed,US,26-35,A,C,124.8519036788591,A,D,1
Divorced,China,36-50,C,A,-62.153263198453644,D,C,1
Widowed,China,65+,B,C,169.40921051761094,C,B,0
Single,US,26-35,C,B,46.73719369697814,D,D,0
Divorced,Mexico,51-65,C,E,21.12915391663998,D,A,1
Widowed,US,51-65,C,B,-115.23500160640594,C,E,0
Widowed,Other,36-50,C,C,-7.482812392576031,C,C,0
Divorced,Mexico,26-35,C,E,-76.62501029842423,D,C,0
Widowed,UK,51-65,E,A,85.26349243775326,B,E,0
Single,China,51-65,C,C,-47.903581203246794,D,E,1
Married,UK,51-65,C,A,-173.7364455995309,E,D,1
Single,Mexico,18-25,E,C,63.07265479989933,A,D,1
Divorced,Other,18-25,D,E,36.89469955815189,A,C,0
Single,India,18-25,E,E,222.56600649573505,C,E,0
Divorced,Mexico,36-50,A,E,16.848146376644856,D,E,0
Married,Other,51-65,E,B,5.677133283637635,D,E,0
Married,China,51-65,A,A,166.43494128496818,E,C,1
Widowed,China,65+,D,C,136.65196039339224,B,C,0
Single,Brazil,51-65,B,D,8.111695044086352,B,B,0
Divorced,China,65+,A,E,84.69840466948561,D,E,0
Married,UK,36-50,B,A,-40.95282169000905,C,D,0
Single,Mexico,65+,B,C,137.35849035435612,D,C,1
Widowed,Germany,65+,D,B,-87.54566199472882,E,B,1
Widowed,UK,26-35,C,B,-95.27638378976306,C,D,0
Divorced,Brazil,51-65,B,C,-114.01745239607992,B,E,1
Widowed,Germany,36-50,C,C,34.16471179173299,D,D,1
Married,Other,26-35,E,A,-182.1353377015257,E,B,1
Single,UK,18-25,D,A,180.23856861469824,C,B,1
Married,China,36-50,E,A,2.530775075086709,D,A,0
Divorced,US,65+,E,B,-187.7355890401159,B,D,0
Divorced,Other,36-50,D,E,-13.514531606118348,E,B,1
Widowed,India,65+,A,C,46.36772716031483,D,B,0
Single,Brazil,65+,E,D,30.23897339331508,B,E,0
Married,China,36-50,A,E,155.58866243603725,E,D,0
Widowed,Other,36-50,D,E,117.34042193295909,E,E,1
Widowed,US,65+,E,C,-55.342270792337715,D,D,0
Divorced,Brazil,51-65,E,C,-28.692520822834116,D,C,0
