faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Hindu,-125.88355992473998,D,E,D,E,E,B,E,D,D,-15.508683030473916,D,E,1
Jewish,104.45880852901894,C,D,D,D,D,E,B,B,C,138.17321283337444,A,C,0
Jewish,139.6080322069285,C,A,E,A,C,E,A,B,D,-199.28335289829616,E,A,0
Other,12.16460069189431,B,B,E,A,C,B,B,E,E,-66.13121174166616,E,C,0
Other,-26.163686264703312,B,B,D,D,E,E,D,B,A,202.87551436678447,B,D,0
None,73.32837756524884,C,A,E,B,B,E,C,D,B,2.5179951230047046,B,A,1
None,-1.3617674907355952,A,B,A,E,E,A,A,B,A,73.53406462572973,D,E,1
Jewish,149.81416463462463,B,D,D,B,A,A,D,A,E,-57.735068856354246,D,D,1
Buddhist,-32.65933827512718,D,E,D,A,B,C,C,A,D,-5.159419213023165,E,E,0
Buddhist,-58.65449597294739,A,B,A,A,A,D,C,D,C,103.85349584043104,E,E,0
Buddhist,-198.70095574471105,D,D,A,C,D,A,C,E,A,-105.61798819745891,B,C,0
Jewish,-88.80569446931487,D,E,E,E,A,C,D,B,A,-106.57641242210651,B,D,1
Buddhist,-108.8184292289931,A,A,E,A,B,B,A,A,D,57.73532040395847,A,C,0
None,96.72155198978155,C,E,D,E,E,E,D,D,E,131.3467221568267,E,A,1
Buddhist,14.595398758973793,D,C,D,B,E,C,C,E,A,100.16973989397175,B,D,0
Other,-29.64979670538587,B,E,E,A,E,D,E,C,B,32.936180894043545,D,B,0
Hindu,28.055239313766105,E,D,C,B,C,C,A,B,E,133.99408113112437,E,C,1
Other,-5.323157020790026,E,D,A,A,D,D,C,B,D,125.57844953578186,D,B,1
Christian,-114.13010178582579,D,B,D,E,A,D,B,A,C,-125.0717011316168,D,A,0
None,-70.617687272672,B,E,E,D,C,C,A,E,A,9.41157480108566,C,B,1
Hindu,-84.58942963076231,D,A,B,D,B,A,B,C,D,26.973540804465557,A,B,1
Hindu,-74.85885549668019,B,D,B,C,E,E,B,A,B,31.475445599889195,A,B,1
Muslim,-7.285506288860779,A,A,A,B,A,A,C,E,D,45.969501798846224,C,B,0
Buddhist,112.09129543454024,A,E,A,A,C,E,B,B,B,-127.02637424152996,B,C,0
Buddhist,-18.398859907120535,B,E,D,D,D,D,E,D,B,101.91297864815996,A,A,1
Buddhist,-55.41881875418429,C,D,A,C,A,C,E,D,C,-43.46916626354816,D,B,1
Jewish,-11.278562867005714,D,D,E,C,D,E,C,C,B,50.94058474595107,E,B,1
None,173.7762474659152,D,A,D,E,B,B,E,A,D,-16.08481520430922,B,D,0
Hindu,51.28588558567131,B,D,C,A,E,B,A,A,A,-70.7998075301821,B,B,1
Christian,213.25037558013148,B,B,A,B,E,D,C,C,D,-232.96700838630647,D,A,1
Other,-31.08632198304042,A,B,C,D,E,C,A,D,E,105.20744578418247,E,B,1
Jewish,135.21000063152948,E,B,D,D,B,A,D,C,C,28.44844920936313,D,D,1
Muslim,116.31100972174717,A,B,A,C,B,D,B,A,C,107.04938730251025,D,D,0
Buddhist,-28.180684628101787,B,D,D,C,E,D,D,E,A,221.78690899043855,B,D,0
Hindu,63.04461790161589,C,E,A,D,C,A,B,E,A,-29.46002221923441,A,A,1
Jewish,-12.924772776788455,E,D,E,C,D,D,D,B,B,45.44139320786415,B,B,1
Other,94.853788629003,D,E,C,B,D,A,E,D,E,87.71255725667807,A,E,1
Hindu,90.43966137802663,B,B,D,E,E,C,A,D,B,-25.2530221527464,C,D,1
Jewish,328.06782512284525,A,C,B,C,C,A,E,A,B,125.33539327165207,C,C,0
Other,-45.60155969362709,C,D,D,D,C,D,B,D,B,169.10494462400663,C,E,1
Buddhist,-8.897336113607288,E,B,A,A,A,B,A,C,B,-46.1471314347066,E,D,1
Other,-103.84777598888854,D,E,C,C,E,C,B,B,E,-94.47804681568667,A,C,0
Jewish,150.95620358254266,D,C,C,D,B,A,A,B,C,-74.42810446839117,E,D,1
Buddhist,8.985972620641375,B,C,B,A,E,E,E,B,C,-66.55180514131366,C,B,1
Hindu,9.633760137071192,E,C,B,E,A,E,A,B,C,156.32003415284404,A,C,1
None,67.69863850236831,D,B,C,B,C,C,D,E,E,-119.75907855455279,D,B,0
Other,-34.41484953159554,B,C,B,A,B,B,E,A,E,61.36666593910558,D,A,1
None,-106.31611754989383,C,E,E,A,A,E,D,A,E,81.46848351898245,E,E,1
Hindu,-1.2875562721627833,A,E,A,A,A,A,D,A,C,25.17125831538814,B,D,1
Hindu,12.791127004217795,B,A,C,D,D,E,A,A,C,145.64317557419258,B,C,0
Christian,-66.1534801176504,E,C,B,B,E,A,B,C,E,-75.82521316174096,D,A,1
Jewish,-71.99638961594282,B,D,C,D,E,C,B,C,D,-55.755007589028835,E,B,1
Jewish,-189.947749888049,C,A,A,C,E,B,C,C,C,33.97545591004659,D,A,1
Hindu,68.87572541810769,D,B,C,B,A,C,E,C,C,54.244843961908394,E,B,0
Jewish,-30.772945374384264,C,B,B,D,B,D,D,D,E,71.54169065416926,A,C,0
Jewish,166.44113153167154,D,D,E,B,E,E,C,D,B,201.45013168846106,C,D,0
Buddhist,57.95432394063115,B,A,A,D,C,D,E,D,D,-74.83705403673966,D,D,0
Hindu,64.76848600930913,E,B,E,B,D,C,B,A,D,139.1488181671507,E,B,1
Other,15.56760691384094,A,A,E,C,B,C,A,C,B,106.84450306313038,B,B,0
Christian,46.1420432643103,E,C,A,C,E,A,D,E,A,-47.836586461435004,B,A,1
Jewish,139.3197585842113,A,A,D,A,E,B,D,D,E,-117.46945347536189,A,E,0
None,127.02920203109538,B,B,C,D,D,D,C,C,D,36.3500666239928,D,D,1
Muslim,11.997360359028328,A,A,D,E,C,E,B,C,D,47.08896286245326,B,D,1
Christian,-105.56603931360489,D,C,C,C,E,E,C,B,E,-143.91080865333322,B,A,0
Jewish,-113.17252621043976,A,A,E,E,A,E,E,E,D,195.19516188598593,E,A,0
Muslim,77.73221374523183,B,A,D,B,A,D,E,E,A,-207.98874072389316,E,C,1
Jewish,-25.682792515221337,A,C,C,C,C,A,B,A,A,47.54392642555125,A,A,0
Muslim,186.6861699678126,E,A,B,B,B,A,E,C,D,-78.49394257772782,E,D,1
Christian,35.48645031491656,D,D,E,D,D,A,C,E,E,13.298141864790312,E,E,0
Hindu,61.84518662066322,C,B,B,E,B,D,A,E,D,-47.15247249755305,A,A,0
Christian,-20.197721576355836,D,E,A,D,B,C,B,E,E,12.045560929249538,B,D,1
None,-131.30487198341052,C,B,A,C,A,E,C,B,B,13.632216585961862,D,C,1
Jewish,219.12560953825474,A,E,C,E,B,D,D,A,D,-71.52782251913243,E,C,0
None,-163.62981170709756,D,A,C,E,D,A,C,D,D,54.39195799976766,D,A,0
Hindu,-159.44074355161942,A,B,D,D,E,C,C,D,C,-54.71025621700822,A,E,1
Jewish,101.31803719269952,C,D,E,B,B,E,E,C,D,27.607631335023886,E,B,0
Hindu,-98.40437789506721,E,E,B,A,D,B,A,C,C,-4.589234751396111,E,B,1
Jewish,-70.45941149909306,C,C,B,C,C,A,E,E,C,168.50290067675118,B,E,1
Jewish,125.72626347696921,D,C,B,D,B,A,D,A,D,-103.60886366793494,C,D,0
Jewish,18.83124928620268,D,C,E,E,A,C,D,E,A,-54.24326848071465,B,A,0
Other,97.7358587731991,C,A,B,B,D,B,D,A,B,38.57303341460279,D,C,1
Hindu,-121.50943748996114,A,D,B,D,C,A,C,E,D,-75.22239776010592,B,D,1
