age_range,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
36-50,Brazil,E,E,B,C,-36.474373536688795,E,1
51-65,UK,C,E,E,C,-39.56322089368827,D,1
51-65,China,C,E,C,A,-156.57657543066654,D,0
26-35,US,D,A,E,A,158.25688187654157,C,0
51-65,US,B,C,B,B,98.70107171487334,A,1
18-25,US,D,D,A,B,91.3164159063722,D,0
36-50,Germany,C,A,D,C,-32.14173198136173,E,1
36-50,Mexico,B,B,D,E,39.684036050425355,C,0
51-65,India,B,C,C,A,117.45695810301481,E,0
65+,US,B,B,D,E,73.93477835296143,A,1
18-25,Germany,D,C,D,A,151.20124588951558,A,1
18-25,Other,D,D,D,C,74.40831378019071,E,0
26-35,Germany,E,A,D,C,-108.49765510691611,A,1
36-50,Brazil,A,C,D,C,120.14020164502864,D,0
18-25,US,E,A,C,B,186.33436746192186,E,0
18-25,India,A,D,E,C,74.69781853654062,C,1
65+,US,D,E,A,A,211.75456688188348,D,1
26-35,UK,B,C,A,A,67.90175993292358,D,0
65+,UK,E,A,E,D,65.88421009800643,D,0
18-25,China,B,C,C,B,-3.59688080820239,D,0
18-25,US,B,C,E,D,126.97005264975022,B,1
36-50,US,A,B,B,B,184.45283313708038,D,1
51-65,Other,B,E,C,D,72.71322476359092,C,1
36-50,Brazil,C,B,C,B,134.66568647990508,C,1
36-50,US,E,E,A,B,-25.160938587888403,D,0
36-50,Brazil,B,A,B,D,-39.42183150906266,D,1
26-35,Mexico,C,D,C,B,56.76553773068037,A,1
18-25,Other,E,D,A,B,-121.19876147542332,E,0
18-25,China,D,C,D,C,80.90933788280506,E,1
18-25,Mexico,D,B,A,B,38.31198030751648,D,0
65+,Other,B,B,E,B,46.21111808138687,C,0
36-50,US,A,A,D,E,-251.37103409422647,B,1
26-35,UK,B,E,A,B,-62.67891926397516,A,1
36-50,India,C,B,E,A,1.5663974862230015,A,0
65+,UK,D,B,A,D,-35.14918095107218,D,0
51-65,US,D,B,E,A,92.1199739506384,E,0
18-25,Other,A,C,C,C,72.6302041712847,A,0
18-25,India,B,C,E,B,61.72804326313835,E,0
65+,China,B,C,C,D,-41.33216420381422,B,1
36-50,Other,A,B,D,E,-26.87604353245206,A,0
36-50,Brazil,C,B,D,C,-19.24457251482041,B,1
18-25,UK,B,E,A,E,-221.7871731633183,B,0
51-65,India,B,B,A,B,144.4448327905501,B,1
18-25,Other,E,A,D,D,-146.88325923113996,A,1
65+,India,E,B,D,E,-133.3195310851633,C,1
65+,Brazil,E,B,B,C,11.950041874399748,B,1
65+,China,B,A,A,E,10.370755330137444,E,0
18-25,China,C,E,E,A,-14.262064317488116,A,1
36-50,India,E,D,B,E,76.52957563833243,A,1
36-50,India,A,A,C,A,112.49327854228565,E,1
65+,Germany,C,B,D,D,93.53319022389779,D,0
18-25,Brazil,A,D,A,E,-2.2607937693851277,E,0
26-35,India,C,C,D,D,182.3254754315066,A,0
26-35,Germany,B,B,A,B,-187.64435948890144,D,0
26-35,UK,B,E,B,A,19.168883131914207,E,0
36-50,Germany,C,A,D,E,-127.09579495447964,D,1
65+,UK,C,B,A,B,218.14520163839742,D,0
26-35,UK,B,D,D,B,-82.09365679638861,C,1
18-25,UK,D,D,B,B,87.24721639290387,E,0
36-50,India,A,B,A,C,-80.61363481685761,D,1
36-50,Other,D,A,E,B,-58.945431022287224,E,1
65+,Other,D,D,D,B,-59.35148897415713,B,1
36-50,UK,E,A,A,B,56.38936060273762,E,1
18-25,India,B,A,C,B,148.02520607371878,B,0
36-50,UK,B,E,C,D,159.27927420763274,B,1
36-50,Brazil,A,D,B,E,-13.7051611315498,E,1
51-65,Mexico,B,C,E,B,168.65213154461085,B,1
18-25,China,A,B,D,E,167.66686641383686,B,1
36-50,Other,D,B,B,A,42.711871106690765,B,0
65+,Brazil,A,B,B,D,3.5725192975261013,C,1
51-65,US,A,B,E,D,-79.04705673850452,A,1
26-35,US,E,A,B,C,-16.852745911010388,E,1
65+,Germany,E,E,B,E,-14.22921869876188,C,0
36-50,China,C,E,D,A,59.01965397685608,E,0
65+,Brazil,C,E,C,A,-107.66657183006951,C,1
26-35,Germany,A,E,B,D,-27.965394970531708,A,0
18-25,Other,D,B,D,E,-61.082662874326985,D,0
65+,UK,A,A,E,A,-197.61846473400456,C,1
65+,China,A,D,C,C,-32.83395870673244,D,0
51-65,Other,E,B,A,D,25.294600350508244,C,1
51-65,Germany,E,E,D,D,38.492594920141535,D,0
51-65,US,C,E,A,B,-36.65889189655162,C,1
26-35,Germany,B,D,B,A,153.15727115096274,C,0
36-50,Germany,D,C,A,E,134.10029473985378,A,1
51-65,China,B,C,D,E,12.205154415047781,C,0
26-35,China,C,B,D,A,-101.21292223749805,E,0
26-35,Germany,C,C,D,E,-65.57281296249536,C,0
26-35,Germany,E,D,A,D,-82.60744702977797,A,1
18-25,Mexico,D,B,D,E,-11.263972311555705,B,1
51-65,Brazil,B,C,A,D,44.84755836676917,A,1
36-50,China,A,D,D,E,-91.32781074953044,E,0
51-65,India,B,B,A,C,35.37256288149484,B,0
18-25,China,B,E,C,D,-24.01901222596402,D,0
36-50,China,B,B,C,B,-3.9445680743221656,E,0
18-25,Brazil,C,B,E,E,-41.49732663673175,B,1
26-35,Other,C,C,D,A,102.59809537146592,B,1
18-25,UK,B,C,A,D,60.76351732097977,D,0
65+,US,D,B,E,C,-102.15222912102617,B,0
36-50,Mexico,B,D,D,C,168.15234633704313,D,0
18-25,Other,B,A,B,A,-58.09521730915239,A,0
65+,Other,D,A,C,D,-51.491296856602496,C,1
36-50,China,A,B,C,A,100.55015060399263,D,1
18-25,US,A,E,E,B,95.64983930766151,A,1
51-65,China,B,B,E,D,49.95836206601775,B,1
26-35,Other,A,B,A,C,-2.8506113644463578,B,0
18-25,India,A,A,A,D,11.46205504837113,B,0
51-65,UK,A,B,A,D,-102.17007277636165,D,0
18-25,China,D,A,A,D,-71.2810884572206,A,0
51-65,Mexico,A,A,C,C,35.51422887649559,C,1
65+,Brazil,E,C,B,D,72.50578963949145,A,1
51-65,Brazil,A,E,A,B,-48.548088668266765,E,1
51-65,India,C,C,C,C,-56.85316663290163,B,0
51-65,US,E,C,C,B,44.51893915394341,A,1
18-25,Other,E,A,C,D,65.60674022730973,E,1
18-25,US,D,A,E,E,72.74975594309029,A,1
18-25,China,D,D,D,D,37.35123113832485,C,1
26-35,India,D,C,B,A,80.12951257798395,E,0
26-35,Brazil,A,A,B,D,97.39767028265447,E,0
26-35,US,C,A,E,E,100.35039899436005,D,1
26-35,Germany,C,D,E,B,-115.05233556282923,D,1
18-25,Brazil,B,A,D,C,-16.447437117283638,A,1
26-35,Other,D,E,B,C,40.649958921338744,D,0
18-25,Germany,E,D,C,D,-6.632349977102268,C,1
18-25,Mexico,E,E,E,A,-165.13949822747526,D,0
18-25,Mexico,D,C,A,E,-18.607989587564635,D,0
36-50,Brazil,B,B,B,A,109.48804245133307,B,0
36-50,US,A,E,A,A,40.0731950327878,B,0
18-25,US,B,C,D,D,-38.87721802148753,B,0
18-25,Other,C,C,D,D,-140.61325634215015,B,0
36-50,China,C,D,E,A,72.63939370118727,D,0
18-25,Mexico,D,D,D,A,-183.3664712275924,D,0
51-65,Mexico,E,C,A,E,37.83583589442028,A,0
65+,UK,B,D,A,B,40.44833039065539,C,1
65+,India,E,D,D,C,288.62251338961875,E,0
51-65,Other,D,A,C,E,51.20064721617522,A,0
18-25,Other,C,C,E,E,-87.98752397942881,E,0
26-35,Mexico,A,E,D,C,-33.31439412780397,A,0
26-35,Mexico,C,D,B,C,-2.0094568223399003,D,0
18-25,Brazil,C,A,B,D,-115.94539828224492,D,0
26-35,China,A,E,B,B,15.855863621381411,B,1
26-35,Mexico,A,C,D,D,-64.18248093218146,D,0
18-25,Brazil,D,C,D,B,12.118211515812826,A,1
51-65,UK,D,A,E,E,29.01813181687868,E,0
36-50,Germany,E,A,C,A,51.8421787519314,A,0
51-65,Brazil,E,C,B,A,102.87727158095569,A,1
51-65,UK,C,B,C,E,-29.916983807933118,E,0
26-35,Germany,A,A,D,A,128.47549198968284,D,0
36-50,Other,C,E,C,E,26.55611398964287,A,1
26-35,Other,C,E,A,B,-78.30963392555003,C,1
26-35,Brazil,C,E,E,A,80.81499799604572,A,0
36-50,Germany,E,E,D,D,-9.757844571302074,C,0
18-25,China,B,D,D,A,42.57517450674923,C,1
26-35,Brazil,B,D,B,A,11.715331480063298,A,1
18-25,US,A,D,D,E,49.11148951839376,D,1
18-25,Brazil,B,D,A,D,69.82979396732057,B,0
65+,Germany,B,C,A,A,96.90249336632203,D,1
18-25,US,C,D,A,A,15.330560686832904,C,0
26-35,UK,C,A,D,D,-60.51736380829475,D,1
36-50,Mexico,E,E,C,D,-120.3744926261792,C,0
51-65,Brazil,A,C,A,B,65.68557510506626,D,1
26-35,US,A,C,E,B,151.83683094372185,B,0
18-25,Mexico,D,B,D,A,21.503784715377446,E,1
26-35,India,B,C,C,B,-135.12488722283274,A,1
26-35,Other,B,A,D,E,31.742687342927834,D,0
18-25,US,B,C,A,A,109.37606642728797,D,0
26-35,US,E,D,C,E,178.6006323927775,D,1
26-35,China,B,C,A,C,93.42790805082957,D,0
51-65,Other,A,C,B,C,-160.01150572501336,D,1
65+,India,A,B,C,E,-98.10190304301962,D,1
36-50,India,E,B,E,E,79.45195126335094,D,0
51-65,Germany,C,C,A,E,-34.19799300114416,A,1
51-65,US,E,B,A,E,-110.71163426675672,A,1
18-25,Mexico,B,D,B,A,30.51541326339547,D,1
65+,Other,B,B,E,A,154.59134381585991,C,0
26-35,UK,A,E,D,D,124.11513695329943,B,0
65+,UK,A,E,B,C,185.246850275647,C,1
65+,US,C,E,D,D,-109.26674734901421,A,0
18-25,Brazil,C,E,B,A,-11.307102718813194,E,0
18-25,Mexico,B,D,A,D,-3.9404160166905946,D,0
18-25,Brazil,A,B,D,C,7.093067063860367,C,1
18-25,Germany,D,E,E,E,-23.023039413599953,B,1
51-65,Mexico,E,B,A,A,-87.59641141780776,A,0
26-35,Mexico,D,C,E,B,49.108760506480124,A,0
65+,US,E,C,B,A,-36.808923556538616,C,0
26-35,Other,C,A,B,A,146.74306493930033,E,0
18-25,US,E,A,D,B,63.19626129655076,E,1
26-35,Germany,C,A,A,C,-35.48271303606528,D,0
36-50,Germany,C,B,C,C,-112.22988244671963,D,0
65+,UK,E,D,D,C,56.59697931583685,C,0
26-35,Mexico,A,D,A,D,-43.785040925577675,B,0
26-35,US,D,E,A,C,-45.24362180141968,C,0
36-50,UK,E,D,B,A,-138.05820392103752,D,1
36-50,Other,E,B,B,D,55.377659959598525,E,1
65+,UK,A,A,B,D,-30.625945903461044,A,1
26-35,Brazil,C,C,E,B,53.493872263466415,B,0
51-65,Other,E,D,E,B,-188.89180633891897,C,0
51-65,India,B,B,E,E,-101.66451963431011,E,1
51-65,India,E,A,A,C,-168.97746856920784,E,0
36-50,US,C,E,B,B,72.99967928886178,C,1
65+,India,D,E,D,E,27.242898674400877,C,1
51-65,Germany,B,A,C,B,33.02933809072194,D,1
36-50,China,C,C,E,A,164.971640622266,E,1
26-35,Brazil,B,C,A,C,-86.72962167272001,A,0
65+,Mexico,E,A,C,C,39.36347373655084,A,1
26-35,Mexico,D,B,D,E,-129.44401322789702,B,1
18-25,India,D,D,C,E,141.35404694036765,A,0
26-35,UK,B,B,C,E,53.2897571374805,B,1
65+,Brazil,B,E,E,C,4.723288283500225,D,0
65+,Brazil,A,C,A,B,-25.829587012877226,C,0
26-35,Other,B,D,E,D,37.44184760676368,E,0
36-50,China,E,B,A,D,76.05930770565462,A,1
65+,India,B,A,D,B,-64.8075094051326,A,0
51-65,Mexico,C,B,A,C,-100.49719600896788,A,0
18-25,Other,D,C,A,A,52.1137475446518,B,1
36-50,China,D,C,A,B,64.26301953167076,A,0
51-65,Brazil,A,D,A,A,239.63072117320428,B,1
36-50,India,A,E,B,D,-67.10595101601595,B,1
18-25,Germany,D,D,B,C,-13.065449775078442,B,1
65+,Other,A,A,B,E,154.23652183692036,C,1
51-65,US,D,A,D,E,-5.250415100920704,E,1
36-50,China,B,E,E,B,-4.044099317941137,D,0
36-50,India,B,C,A,B,148.06207269475766,D,0
18-25,Brazil,A,B,B,E,-107.81569303314238,A,1
36-50,US,E,E,B,A,-62.2525576194026,C,0
26-35,Other,E,A,B,B,-53.43534525639962,C,0
51-65,Other,E,E,B,D,-164.55817198800054,B,0
18-25,US,B,B,B,E,-41.78765038741389,C,1
26-35,Other,B,D,A,B,95.11082149084612,A,0
65+,US,B,E,E,C,-51.055931490744285,C,0
36-50,Brazil,E,E,B,C,-10.900775706523406,D,0
51-65,UK,E,B,D,D,155.89392945193168,C,1
18-25,US,C,A,C,B,38.43375146858186,B,1
36-50,US,E,E,B,A,-66.10923365241533,E,1
26-35,India,A,A,E,B,-97.39966544998052,A,1
65+,China,A,D,B,B,-65.84233711557881,D,1
51-65,China,A,A,C,D,10.2469978030527,A,1
51-65,Brazil,C,C,E,D,175.2889660188135,B,1
36-50,China,D,E,C,D,-6.472964627250128,E,0
65+,Germany,B,B,A,C,-52.521071299083886,C,1
18-25,Mexico,C,D,B,E,-77.78039180069658,D,0
26-35,Brazil,C,D,E,B,236.7151807372347,E,1
36-50,UK,C,A,D,C,3.8453653186801615,E,0
18-25,Brazil,E,D,A,D,17.528191860788336,C,0
18-25,Other,D,E,B,C,-134.95287252375235,D,1
51-65,US,C,E,C,C,117.76400524115884,A,0
26-35,China,E,A,E,A,-248.91549113731588,D,0
51-65,US,A,D,B,D,18.65449468752656,D,0
36-50,Brazil,E,C,D,E,-57.170057446023115,A,1
26-35,UK,C,D,C,C,-52.69928349375363,E,1
65+,UK,E,E,C,B,-88.8963188624326,C,1
26-35,Brazil,C,E,E,D,-70.98264368877753,B,0
18-25,UK,D,B,C,B,61.798298026285316,D,0
65+,UK,B,B,D,E,-20.742832968863283,C,0
18-25,China,B,B,C,E,-189.45640435662574,E,1
36-50,Germany,C,A,E,E,-241.73775883657797,A,0
18-25,Mexico,E,A,D,E,-108.72726042684751,C,1
51-65,Mexico,E,A,C,C,39.27687271074742,D,0
26-35,China,C,D,E,A,41.233326426461126,B,1
18-25,Germany,E,E,D,E,-348.6774276501385,E,0
26-35,Brazil,D,B,C,A,-3.217455972664808,E,0
65+,Germany,A,A,A,D,-131.05366156133456,C,1
36-50,Germany,C,C,A,A,103.35486332752455,B,1
65+,US,C,D,B,B,75.09009352688362,E,0
18-25,Other,B,B,B,B,169.891767829366,B,0
65+,Germany,D,D,D,D,11.186843379946035,E,0
36-50,India,A,C,C,E,30.30889114006167,A,1
26-35,US,E,D,A,C,-79.19694726502881,C,0
36-50,Mexico,E,D,A,E,-141.74391170203492,B,1
51-65,UK,B,B,B,D,-12.464588659692996,A,1
26-35,Other,D,C,A,D,1.7635105259023718,B,0
18-25,Brazil,D,B,D,E,140.08460835405864,E,0
36-50,Mexico,D,C,C,B,-37.26626501647009,C,0
18-25,Mexico,A,D,C,D,-100.76821195293478,B,1
51-65,Brazil,C,E,B,C,47.80053515164575,C,1
36-50,Germany,A,B,A,C,-34.00152862104337,E,0
65+,Mexico,D,E,E,B,-3.590942396312878,A,0
51-65,Brazil,C,E,C,D,80.84306254401574,C,0
65+,Germany,A,E,D,D,44.96516514655359,B,0
36-50,US,D,D,B,A,-101.01243912111899,C,1
36-50,UK,D,D,D,C,-35.80942326570366,C,0
26-35,India,A,C,B,D,-181.1085512623428,D,1
65+,UK,D,B,E,B,165.38808817814314,B,1
18-25,Mexico,C,B,A,C,-187.52154236868833,E,1
36-50,US,D,D,B,E,202.49047051126894,D,0
36-50,Other,B,D,E,B,20.722215955965552,D,1
65+,India,A,E,E,A,139.82962423165947,E,1
36-50,India,E,A,A,E,-20.828731719579718,B,0
65+,Brazil,E,D,B,C,-98.37256502020827,B,0
65+,Germany,E,B,E,A,-13.894139965903406,B,1
51-65,UK,D,C,B,E,-71.52181127566674,A,1
51-65,Other,A,C,A,E,22.018278018950745,E,1
36-50,Mexico,D,D,A,C,-30.813409452467454,C,0
65+,China,D,D,C,B,88.90524093101668,C,0
36-50,Germany,E,B,D,D,62.63415349685519,D,0
36-50,UK,D,C,D,C,-139.25053850467276,D,0
18-25,UK,E,C,B,A,63.01576970935129,E,0
26-35,China,B,A,A,C,-32.034564012926715,E,0
36-50,UK,E,E,D,A,117.85840498180298,D,0
65+,India,A,E,B,B,9.326343278863149,D,1
65+,Brazil,A,B,C,C,-1.2672082181652424,B,0
18-25,China,C,A,C,D,92.78420414175218,D,0
26-35,India,A,C,E,D,11.239348926442885,E,0
51-65,China,E,A,D,C,-174.86901127699537,D,1
18-25,Mexico,B,A,C,C,-86.19949288484636,A,1
26-35,China,E,A,D,A,25.303484579873782,A,0
65+,India,E,C,B,A,85.63698635545643,D,1
26-35,US,A,D,D,D,-77.08197216948534,C,0
26-35,China,E,D,E,D,18.84356761556136,B,1
18-25,India,C,E,A,C,73.8423314298062,A,0
18-25,Germany,D,E,E,E,98.17945848847612,D,0
36-50,Other,D,D,A,A,-13.642245565325114,E,1
26-35,Brazil,C,D,C,C,36.659013760322715,D,1
51-65,Other,E,B,C,B,111.57124437691921,E,1
51-65,Germany,A,C,E,C,249.85096940868235,D,0
51-65,Germany,D,D,A,D,161.31090151549924,D,0
18-25,US,A,D,A,B,-60.49906606530329,B,0
18-25,India,C,E,B,D,-131.991640995193,E,0
36-50,Brazil,E,C,B,D,-176.57784076423624,D,1
26-35,UK,E,D,E,D,-124.1671356742015,B,1
36-50,Germany,E,A,D,C,82.93057582257039,A,0
51-65,US,C,B,A,B,-113.27193122009366,B,1
65+,US,B,A,E,B,-90.38150757140234,D,0
51-65,US,E,B,D,E,65.02350194079797,C,0
26-35,UK,B,C,B,B,-22.213229697413865,D,1
65+,Other,C,E,B,B,21.471166603300333,C,0
36-50,UK,E,D,A,A,-104.40608587037477,C,1
65+,UK,C,A,C,A,43.15363875343951,D,1
36-50,Brazil,D,C,D,B,-59.49648601983154,C,1
65+,Brazil,A,C,B,C,-7.67894368691695,A,0
36-50,Germany,D,C,E,B,172.8706577860747,D,0
26-35,Brazil,E,E,A,D,-30.055917103901464,A,1
65+,Other,E,E,A,E,132.61627151973767,E,1
26-35,Other,C,C,B,C,-33.768233151731685,B,1
51-65,China,B,A,E,A,-48.00697602857795,B,1
18-25,Other,B,E,D,A,69.68114970704107,D,0
51-65,China,A,B,D,D,-103.61102951501002,B,0
18-25,Germany,D,E,C,E,-10.595080543589205,B,1
18-25,Mexico,D,B,D,E,-18.504983064697253,B,1
26-35,UK,E,A,E,B,-19.975447942450618,A,0
18-25,Mexico,B,D,D,B,-9.104202534330605,E,1
36-50,Other,C,B,A,B,-12.277441535797342,D,1
65+,India,B,D,C,A,-145.44992236021545,C,1
36-50,Germany,E,C,B,D,-70.62538260104931,A,1
65+,US,E,C,B,A,-112.64007454494327,C,0
36-50,India,E,E,B,C,77.24121286700337,E,0
26-35,Other,A,C,B,A,-127.33737208354687,B,0
18-25,China,D,A,E,E,104.35791089486435,A,1
51-65,UK,D,C,E,A,25.147667920594387,A,1
18-25,Germany,C,A,B,A,-22.532700415614947,B,0
18-25,Germany,A,D,D,B,88.92638209323974,A,1
36-50,Other,E,D,B,B,43.13386793250165,A,1
26-35,Other,B,C,D,D,-78.43597672918038,E,0
26-35,Other,D,D,C,D,54.072051225538786,D,0
65+,Brazil,B,E,B,D,9.656130493025964,A,1
51-65,India,B,E,A,B,-102.10378237010724,C,0
36-50,China,C,A,C,A,-80.74837250385497,C,0
36-50,Other,D,E,D,E,-94.96983540258917,E,0
26-35,China,E,A,E,E,62.75364274241273,D,0
26-35,India,A,B,E,C,51.37356033638879,A,1
26-35,India,C,B,D,B,85.93571812555693,A,1
18-25,India,D,C,D,D,-257.91766323585705,C,0
26-35,Germany,D,B,D,A,-56.698699281107324,E,0
65+,China,B,C,A,E,87.7957916487297,C,1
65+,Mexico,B,A,C,E,122.60736284335661,C,1
51-65,UK,E,B,B,D,194.64038015362547,A,0
65+,US,A,A,A,A,79.02208064275341,D,0
26-35,Brazil,E,E,A,D,26.609316626128205,E,1
51-65,Mexico,D,D,B,A,-1.2600901480470386,B,0
36-50,Germany,C,D,B,E,-80.84772043589983,A,0
18-25,Germany,D,A,D,E,-88.71203460955932,B,1
26-35,Mexico,A,D,B,A,117.990241494913,C,1
51-65,UK,A,E,A,B,-32.76520771644036,C,1
18-25,China,E,E,B,B,-69.56582268353026,B,1
65+,China,E,C,D,A,30.946858787272514,A,1
26-35,UK,B,C,E,B,55.735762105321385,E,0
26-35,Germany,A,B,E,D,85.0358055467913,E,0
65+,UK,C,E,D,D,125.50181045141446,A,1
26-35,Germany,C,B,D,E,-55.88144207570942,D,0
65+,Brazil,C,A,D,A,21.944964868542616,D,0
65+,Germany,A,B,D,C,32.660176683232756,D,1
36-50,Brazil,A,C,A,B,134.84032708685623,E,0
65+,Brazil,C,E,E,A,-71.06333635135549,E,1
36-50,India,C,E,E,C,-62.78765879739967,D,1
36-50,China,C,D,D,B,18.098303285355964,D,1
51-65,Brazil,B,A,A,E,-111.03638990784266,C,1
18-25,US,D,A,D,C,-40.65673560490519,B,1
51-65,UK,D,C,A,D,18.465888965040133,A,0
26-35,Other,D,C,D,B,-144.64452636234842,A,1
65+,Brazil,E,D,B,B,-102.23245411267253,D,0
18-25,Brazil,D,A,B,A,173.780617283778,C,1
18-25,India,C,A,E,C,109.86501696543947,B,1
51-65,India,E,C,A,B,51.159731194245396,E,0
36-50,India,A,E,E,A,-70.62796305193021,C,0
51-65,Brazil,E,E,C,B,19.88148345518471,E,1
26-35,Brazil,B,B,E,B,-40.130633071578984,E,1
65+,Brazil,D,D,E,E,-176.69393268644794,E,1
18-25,UK,D,C,D,E,5.890771943159406,E,1
18-25,China,B,C,E,C,-256.932899069408,A,0
65+,UK,E,D,B,D,-80.53389483203115,E,1
18-25,Mexico,C,A,A,A,125.91561959808529,B,1
51-65,India,E,B,B,D,157.61171204876362,D,1
36-50,Brazil,E,E,D,B,-147.7780720305937,C,1
36-50,Brazil,D,E,C,E,77.49958920910017,A,0
65+,India,E,E,B,C,-104.50870193126597,B,0
18-25,Mexico,C,A,D,C,-161.40894396171043,E,1
18-25,US,B,D,E,E,-55.96986679031032,A,1
18-25,US,C,D,E,D,-99.2774124977749,C,0
51-65,Mexico,B,C,B,A,5.539800137685565,D,0
26-35,Brazil,D,C,A,B,164.67315565150378,A,0
51-65,China,D,D,E,A,-68.90780014000644,A,0
65+,UK,D,D,C,C,26.824553457545562,B,0
18-25,US,B,D,B,B,78.14078269674452,E,0
36-50,China,C,B,C,E,-102.23438664495892,B,1
65+,Brazil,A,B,A,C,-52.790493048442634,C,0
36-50,Brazil,D,D,E,E,-51.72046703476695,C,1
36-50,Mexico,B,B,A,D,58.46184722213624,B,1
18-25,UK,E,B,D,B,26.29944334860489,C,1
26-35,China,B,C,D,A,50.32244896432846,A,1
18-25,Other,A,C,A,D,60.02222801075169,B,1
36-50,India,A,C,A,A,154.21548268280964,C,0
36-50,Germany,C,D,C,E,-163.48697368163113,E,0
26-35,China,D,D,B,E,128.0518810423103,D,0
18-25,Mexico,C,B,C,A,-89.82456741712133,C,1
26-35,India,D,E,C,D,12.82806882108583,E,0
18-25,Other,E,D,A,C,-73.5621606099485,D,0
51-65,Brazil,B,D,E,C,-87.35681250579691,B,1
36-50,China,D,B,E,E,-72.25304221547769,C,0
36-50,China,D,D,A,B,48.99510488288048,D,0
36-50,China,E,A,B,C,-201.6437109681068,C,0
51-65,Germany,A,C,B,C,297.6911713792902,E,1
26-35,Mexico,B,D,A,A,-55.138124672621444,C,1
18-25,Other,A,E,C,B,-0.22689093515748923,A,1
26-35,Germany,E,A,B,E,-21.71036411113476,B,0
51-65,Other,A,E,B,A,52.60403949073766,E,0
36-50,China,D,E,D,E,13.470306929727464,A,0
36-50,India,D,B,D,C,151.88397496469844,D,1
65+,China,D,D,E,B,-42.67698630908518,A,1
36-50,UK,D,B,A,E,-1.2994081769676604,D,0
26-35,Brazil,E,D,A,D,-7.210671233260907,A,1
65+,Brazil,C,C,B,B,26.737680537808306,D,1
18-25,Brazil,C,A,A,C,83.88619626654005,C,1
51-65,US,C,B,A,E,-34.47706496092523,E,0
65+,Brazil,E,A,D,C,-47.008802826334446,A,0
18-25,China,B,D,B,D,104.92167388646749,E,0
51-65,UK,C,B,A,E,-60.50515160424694,C,1
65+,US,E,A,C,E,26.384561617659468,B,1
51-65,Brazil,D,E,E,B,26.701794693332186,C,1
65+,Germany,D,C,A,D,17.022844121122496,C,1
26-35,India,B,C,A,A,-50.41085346712475,C,1
65+,Brazil,E,E,A,A,84.0923390278813,D,1
26-35,China,B,D,E,A,22.564291818853857,C,1
51-65,China,E,E,B,B,72.17466535922222,C,0
18-25,Brazil,D,A,B,E,-28.657181610971982,B,0
36-50,UK,D,E,E,B,-11.735857929054996,E,1
26-35,Mexico,B,A,C,B,-38.31709675032736,C,0
65+,India,C,D,D,E,-2.908499002343553,B,0
26-35,China,D,E,A,D,67.48563404866637,A,1
18-25,Brazil,B,D,B,A,96.20351032131673,A,1
18-25,China,D,A,A,A,-21.674138399658734,E,1
65+,UK,C,B,D,E,-12.351847162610293,C,1
51-65,China,B,C,E,A,-130.55229747296247,B,0
18-25,China,D,E,D,D,-81.3711058791906,E,0
