disability,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Yes,African American,B,D,D,B,108.7798864819368,B,A,D,-75.41714243633727,E,-100.96100381063873,-107.09109062333073,-62.43260373400704,C,D,-22.473971721084304,49.960996543406615,A,E,1
Both,White,A,E,B,B,-7.621601637843274,C,B,E,41.46551955063675,B,36.55330650325683,-77.42042761378222,-75.51268073087691,E,B,13.948242433383001,19.74694550141339,A,B,1
Physical,Other,C,A,E,E,-60.08420488862634,E,A,B,160.8413403527013,C,-55.28249177802519,68.16256354980042,214.22401632756402,A,A,-105.42067376806948,-2.009267134333358,D,D,0
Both,African American,A,A,E,C,86.309967170762,D,B,D,179.49191791339933,E,-83.35904884947436,104.5821587054856,25.559208443386723,E,E,-130.51867887566993,-6.298738917434886,D,B,1
Yes,Asian,B,C,B,E,-163.90467135835883,D,C,D,-86.09311241901607,C,-102.78292591735108,-37.23126240401454,-228.0088524053241,B,B,182.97319040440303,-48.46465333771606,C,D,0
None,Black,D,B,D,D,106.04527575894873,E,B,D,-4.307976447119591,C,18.019024514929892,96.52256739567744,21.730915508567666,E,C,240.38424623468578,-64.5330664804927,C,A,0
No,Black,D,C,B,A,135.68009349499454,B,C,D,-99.72359365913067,A,-187.10132426841867,42.398246147691275,50.43655053671642,C,C,146.20814708097927,-48.06093947813654,D,C,0
Yes,Other,D,A,A,B,-114.05636607979844,E,E,A,-127.35764703848591,A,-89.91585407492066,115.85353214234084,142.8883353727049,B,C,61.35208642813625,77.41833205986381,D,C,0
Yes,Asian,D,D,C,E,85.4311583480942,E,B,E,63.86779700893089,C,10.46185917848762,-134.12575170972002,41.77405225865082,A,E,-98.91572725885828,-73.54806769489744,C,D,0
Physical,African American,A,B,C,D,110.38370896944774,E,C,B,215.87161003356061,B,-14.597027211139203,-25.915569654237245,65.72169423680577,A,E,-125.58215036708415,-94.41850885858335,E,C,0
Physical,Asian,C,B,C,A,63.38855621042531,D,B,C,-71.29263788484258,A,80.85858904612465,86.47131699392348,26.296817877151817,C,D,-71.38752640606698,144.6017849299787,E,E,0
Physical,Asian,E,B,A,B,28.151899847050892,C,D,A,-48.62845224274505,D,83.37287105350732,-69.77462405119343,-8.48227823407937,A,C,-46.42148169935606,-149.10123065437944,E,D,0
Physical,African American,C,D,A,D,26.929486049548796,D,B,C,125.71608213892243,A,-123.31680990684974,-23.803911249923683,22.050118237646238,C,B,16.77553216089421,-125.06467934836361,B,D,0
No,Asian,E,E,A,D,-45.57273836366985,A,E,C,-77.99391248540512,B,-11.458604521938023,-67.88490675770257,3.6926690284449,B,C,219.77494496467637,65.42935646257712,C,A,0
Mental,White,D,E,D,B,30.224523337991126,B,C,D,26.32848574942523,C,60.72488631749784,60.56815382379843,161.33512704930385,C,E,65.86757913387595,23.74210082465119,B,E,1
Mental,White,A,E,D,A,105.32887688063757,A,B,D,-174.5026219257889,B,27.43152745491132,-150.60390195657064,-77.28134964572904,E,E,-12.118479610670397,-35.438546464603824,C,C,1
No,African American,B,B,E,B,-127.19976612801727,E,C,B,-26.710231851593797,D,-224.94324129878063,-39.365903626568326,230.8089094761652,B,C,-97.57205919827466,205.79745949899646,A,C,0
Mental,Asian,B,C,E,D,52.45670713595534,A,B,C,-41.53549378745951,B,-25.19545952491371,39.703761543914325,-97.56762389326249,B,B,236.68185858896916,51.43965875184693,C,E,1
Physical,White,E,B,C,E,-197.23558907900505,E,A,A,-5.546895927064524,A,-153.37617942987865,80.10067796380244,34.288995392134154,E,B,24.229859667272603,-28.974744939894954,B,E,1
Physical,Hispanic,C,D,E,B,57.89915618383369,D,C,E,-47.0310276977502,E,-20.22326409760337,137.64398035550374,-178.6100826252443,B,A,10.154599363675795,36.82203741004705,D,A,1
None,Black,C,C,A,D,-41.31069838073367,C,C,E,80.30153182986804,A,-0.97520509554883,47.93815345660954,-103.14453160879007,D,A,-21.532526097671983,-7.6372492098885125,E,D,1
Mental,White,E,C,D,E,-55.20438075981032,A,B,E,36.621406222566875,C,-110.96308109158939,-113.05031667294449,45.93306873838235,B,E,123.50134027415831,15.886040510289876,A,C,1
No,Other,C,E,A,B,-8.740910384926663,D,A,D,164.1015204426417,C,34.13419799751588,-37.12672680791157,-118.27804785794555,E,D,-110.19460508306389,-58.283733630817814,E,E,1
Both,White,B,B,C,E,-167.07505495136783,C,D,A,3.7722102205048507,A,-84.50025470340694,-16.2271388941927,113.34710625441777,D,C,82.19227140595405,-24.906684147166047,C,B,0
Physical,Other,B,D,A,D,-124.39575648456031,E,A,B,107.26018531948075,A,26.413506279017856,-123.70931016804718,92.89124709868503,E,C,-94.68737441723727,65.40539072853092,B,E,0
Yes,Other,A,B,D,A,-95.7575759593895,D,D,E,-11.142030561993353,B,-19.343396488792784,-90.3467665056562,-238.53488200417124,D,D,-36.523231975067866,-32.68067148580215,B,C,1
None,Black,E,C,D,B,45.56414246813695,B,D,A,-41.29260601558841,C,42.70915198070565,-1.9157747015233466,-99.45048492173972,A,D,-39.29817434097416,-142.31153374028207,B,C,1
Mental,Other,D,E,E,D,13.907775154431668,A,D,B,87.38874012244634,B,-57.092855397712704,-11.198290659483726,52.1722136469234,E,C,199.6695045537186,72.83214574355188,A,A,0
Both,African American,C,D,B,B,-90.94136131102957,A,D,A,-42.189505661757934,A,39.219082225891945,-38.07626685033625,253.42654047994952,B,D,-17.57940837601848,-39.21489680321058,D,B,0
None,African American,B,A,A,B,121.44513348607597,B,B,D,-38.27185424663498,C,39.34683603967035,38.10561391352171,79.87936906760866,A,D,-54.426698052157796,-7.225200210672625,A,A,0
None,Other,A,A,C,E,-32.984031077016716,C,E,B,16.585021484247434,C,-108.34874799254777,-175.17694600791606,89.32146094494891,C,B,177.63299627255773,-85.16041930489396,A,E,1
No,Other,E,B,B,C,-153.0319285114567,C,D,E,66.67777081055138,B,-76.79526613392,253.33163505648707,-15.42705641137384,B,E,52.311922684789714,-60.440934249541456,B,B,1
Yes,White,E,C,C,C,104.40997089233221,A,D,D,100.13606227815919,B,53.8292167651653,-1.072563568433993,50.39585532232928,D,C,-1.7509200707869,-64.18128398490705,C,B,1
Both,Asian,D,B,C,A,87.18743127840928,C,B,E,75.34628851471783,A,129.96284069193013,205.75467264522004,120.69456855127609,A,E,-202.1162230236825,-88.14590881394574,A,C,0
Both,African American,D,C,B,D,156.11631957340683,D,E,C,161.2218732503962,C,148.55286646729937,65.35095144230932,26.470142914924526,B,C,266.2850389339641,-7.574287972650365,C,D,1
Physical,White,E,D,D,C,-39.16171946246536,E,D,C,-7.3544361535455405,A,-57.3018445756204,103.45946416849357,22.150837454558644,D,C,114.3991699919938,10.145206635712825,C,B,1
No,Other,A,D,C,D,1.5315143326345888,E,D,E,-175.38990273921556,C,-113.54711915777978,-74.80728713285023,131.03189796566772,C,A,-35.55253570820485,107.48223745009524,D,A,0
Yes,African American,C,A,D,B,-158.8743562706217,C,D,B,0.033567992833603136,B,6.003573474201273,45.00135850552433,76.1479783345055,C,A,-118.21661455337282,157.45407251880636,A,B,1
Both,Asian,A,E,E,D,-66.45068012467512,C,B,D,-57.23084523261236,A,96.27371692520317,-22.463138335547995,158.02123508158576,A,D,9.218299729975833,76.45636132884206,B,A,0
No,Other,B,B,B,C,23.19067925948188,B,C,A,20.75820669490106,C,-17.132085807404046,134.68306137017248,18.037094868187005,E,B,68.17971026582825,61.18471431576724,A,A,0
Yes,African American,A,E,C,A,54.722679329982405,A,C,A,-36.805320494895085,C,-99.77935716998549,-20.12574080207626,72.49780211726032,E,B,-52.13062924485763,5.031931505957295,C,B,1
Both,African American,E,D,C,D,-111.84663336875325,C,B,B,37.76497829505639,D,-198.78365389252656,-166.43413459736828,72.16536605706074,C,C,-153.1054491699912,-69.10227838510286,C,E,1
Physical,White,C,D,D,E,106.90650968391049,E,C,E,-192.53085965921818,C,61.594482057347776,-74.22726140800042,33.14205528629049,B,D,-51.42213877839684,70.26942606642471,C,B,0
Physical,Hispanic,C,C,E,C,0.854160644364032,A,D,E,196.73083738827165,A,19.840555265391462,-123.34361772186118,-7.804297077639356,E,B,-70.44048892719461,114.6133997430338,D,A,1
Both,Asian,C,C,B,C,-65.29936462954869,B,A,B,108.7067206972352,A,-101.59579101854148,153.41688169104748,-64.47216541645783,D,A,66.48337089816482,108.40884739813792,B,E,0
None,Asian,E,A,D,C,-3.162303560657212,D,A,E,101.67658924051463,E,-16.505752558482314,-53.12970664989389,-141.81426524297493,E,B,91.20089455461836,76.3886616538101,E,E,1
None,Other,B,D,D,E,-23.105845865778072,E,C,B,200.37644694614568,B,-66.30739833447728,-142.80887439467907,-26.066064879444973,B,C,-115.12034965983358,-56.55208333408987,E,C,0
Yes,White,B,B,B,A,172.73026890276427,E,C,A,-6.458367830971366,D,46.76383519475885,-122.71830166216265,-137.98046611828534,B,D,-0.08037903284623679,-30.338979908690295,A,C,0
Mental,Asian,A,A,E,A,50.71906893916229,C,C,E,42.44156131207021,C,105.39390699569901,74.69128845716718,-94.37443026878292,C,C,18.162906070273777,-54.9937328783296,B,A,0
Yes,Hispanic,B,B,A,D,66.05286735445998,B,D,A,37.45620808782269,D,-32.321775637128596,-68.58119437484126,33.27190017666074,E,A,43.7068552692794,-126.6328356491955,C,A,0
No,Black,A,D,B,C,-28.527236471827848,D,A,E,122.72953428746747,E,-102.74651659330077,-23.003868387426245,-219.29282742764732,A,E,-16.56184354491322,-51.003662131655915,D,B,0
Physical,Other,D,D,C,C,-168.75240192558653,A,E,E,-20.167422687742746,C,99.85365998968359,-147.2132512234382,-58.738135162145845,B,C,0.30995100289927435,-72.12248567108988,E,A,1
Physical,Hispanic,B,D,D,C,-157.54258235233954,C,D,E,92.9803226662863,A,-25.33652912067738,28.747266280558165,-199.61369465082305,C,D,126.02970126220453,24.922961041274075,E,A,0
Yes,Asian,E,E,A,C,85.65141233577562,A,C,D,-11.337691538296426,D,-53.310225939995746,31.89449908945371,-1.8373890491917608,C,B,160.0549143344113,-65.7114142037549,B,C,1
None,African American,A,C,C,D,-143.3533084817337,C,C,C,-115.38106525472898,D,185.1127556682812,57.758884504520516,39.28591687901168,E,D,-56.167814988019394,85.28328380852183,C,E,1
No,African American,A,C,A,C,174.8435788591088,B,E,A,53.88118673782832,C,152.98250315486038,-36.90789601226594,-34.63285454260829,E,C,7.952066000354646,27.1073843592389,E,B,0
No,Hispanic,A,E,A,E,153.55486061206747,D,A,E,16.29642230144211,D,55.480107284928195,15.053623780804184,19.35939805915871,A,B,-9.142446714217959,-55.66540189760705,D,B,0
No,White,C,B,B,A,-168.62508853912382,B,B,C,-209.0297861836469,E,52.63610404145486,-76.42339986496674,-83.45990921723754,B,C,-172.77795301783794,-161.8753658914012,E,A,1
None,Hispanic,A,C,B,E,49.9899521715681,D,E,E,64.22296383863271,B,60.08832763220353,-36.53135795316431,41.67989571574532,C,D,94.26599958986745,20.478784165115673,B,A,0
Both,African American,C,B,A,C,-168.35532027170726,E,C,D,-71.07126472223946,D,87.45535564921572,-12.815721965637003,51.31083553165837,A,E,139.70385847934088,-4.704941038658907,D,D,1
Yes,Asian,D,E,D,A,-114.76522540046193,A,D,E,-135.7603360155523,E,-76.72418994131213,184.14291986249995,-67.48336063364427,C,B,83.02527787260419,90.71991288090186,D,C,1
None,African American,C,E,B,A,144.79914366463078,C,A,E,165.6185777981425,C,8.493806916789355,-55.164438267243234,-44.342664090280394,C,E,-50.54548880621914,-101.37277803630411,C,C,0
No,White,E,A,B,E,6.551945666485228,A,A,C,-33.38084883988344,D,226.78579537950765,116.50554095006551,-20.604425248258554,E,E,2.9898925354687327,161.60185529785932,C,D,0
Physical,Asian,E,E,E,C,-35.534713668468534,A,B,D,-39.38494606539531,E,-144.84498015864745,4.930842123725441,-5.436881414914101,E,D,38.97100733219655,20.58770516893794,C,C,1
Mental,African American,E,B,D,A,-5.333324329977109,C,E,B,-38.52358913439225,D,15.722684474308227,-15.772394804801868,-127.16770120046081,A,D,-61.951715943492516,123.84304158433372,C,C,0
Mental,Hispanic,E,E,B,A,47.70845357567758,E,D,E,-21.20101842201279,A,-98.21964819794921,-20.660317250055556,-55.309230021986444,C,A,-57.901745154594494,157.30622156494178,B,C,1
None,Hispanic,D,D,D,E,158.1987593995143,E,D,E,13.813284003159698,E,103.49601201971888,43.64753522382961,-18.37267342334814,E,A,-95.26220074826296,-9.707328089599955,A,C,1
Yes,African American,E,A,E,C,62.03844727778778,C,B,D,-5.37101706125891,C,-75.099755858662,-102.36272164259141,13.359278173413932,B,E,-27.94067641150632,54.98964942088668,E,C,0
Both,Black,C,B,B,E,-31.036289472163762,C,A,B,-55.49966046609766,E,-52.66744570349592,250.33030535214635,51.2884112615742,B,C,-69.20615806873973,71.14629871563392,B,D,1
None,Hispanic,C,E,E,C,-83.2855345758692,D,A,B,174.84482114603074,C,265.5827571642707,-20.65201168347009,119.91312255511318,C,C,64.29402373468774,-160.20384045350124,D,D,0
No,Asian,B,D,C,B,-110.39993271276578,B,D,A,62.602953076549326,D,-33.0304711499515,-36.91474671006155,141.8984915211268,C,D,91.09946847758651,-1.3637188381028353,C,C,0
Physical,African American,A,C,B,A,143.0280020338087,E,C,C,8.681511257762201,E,-2.599801329808819,-71.46071965698299,-87.62036677999866,C,D,-111.49682946728213,-211.08797755597473,E,D,0
None,Black,B,C,B,A,-146.2441089013747,B,B,C,94.03249739757213,B,106.82865686381714,-40.25810077347076,-41.041313847521344,B,A,-118.63357594502995,86.15456229108354,B,D,0
None,Other,E,E,C,A,169.2316110794409,C,A,B,47.860297411550334,A,34.96849563859959,-69.01618653625569,-49.869707755323425,B,C,-86.77356794736006,-63.13581830830719,E,A,1
Yes,Hispanic,E,D,E,E,-101.25000983994015,B,E,E,-80.77478750778512,D,5.114249225508425,-27.745373645524722,-40.544238684980165,C,A,19.336577314887396,-2.3109547154829015,A,C,0
Both,Hispanic,C,D,D,D,54.64814824640587,A,A,D,65.70252154618738,D,-49.457981959824515,-28.242086820703083,-27.795185038491038,E,D,52.59100448716173,-158.24523672680735,D,D,1
Both,African American,B,A,C,B,-17.29419373116827,A,D,D,8.768607135469217,C,54.25733683229728,-178.98569449735245,55.36358421221272,C,B,-69.6774054728757,167.54118961058106,C,E,1
No,White,C,B,C,C,-10.417160112753628,B,C,C,165.57941357989858,D,-2.8974966547710896,67.39309165087546,-46.86912339234438,A,D,15.855886967003451,18.40985925719424,D,E,1
No,Other,E,A,B,D,29.747746421486244,A,D,E,97.33087179459234,A,166.87530476703563,19.427859512844616,64.86465705457442,A,A,29.61259489464183,-47.91980756697899,D,A,1
None,Black,A,C,D,C,-54.76844147858672,B,A,C,-64.01100926794875,B,122.15553235940457,73.4134591624807,65.20547412882576,E,E,67.37253550156245,-170.60438786534084,A,E,1
Mental,Hispanic,D,B,E,B,126.43106131358715,A,D,D,-53.00249800337428,B,77.8912037319359,-180.4689014432357,-110.16156738816542,D,C,-109.35621098153725,114.78653684887779,C,B,1
No,African American,D,A,B,C,-9.915734603121336,E,A,B,16.317291992335104,C,-72.04603396182347,92.88416768942396,-90.36545000868026,E,A,45.87709927819246,64.22334451058393,C,E,1
None,Black,D,A,D,C,89.93801188125764,E,A,B,190.42022991638413,E,108.01001861308852,159.10736961892508,-3.66837412127274,C,B,-83.21052927244583,159.12732090618192,C,B,1
Both,Hispanic,B,A,D,D,-184.5320104128196,E,B,A,-47.53723477530482,A,-98.19157433520373,89.97949437111328,-114.95626420273777,D,E,128.2063742298054,35.02699132779751,C,D,1
No,Black,A,C,B,E,46.415232744414645,E,D,D,-10.915349446687346,E,51.93169076311415,-161.8723878729726,-4.133917839545722,B,E,13.354375474108013,39.68587681023095,A,E,1
Both,Hispanic,C,D,A,E,-13.024765983765088,E,D,D,-92.6840523110366,B,-189.49770722704514,3.016283790141082,159.08406021445626,E,C,-15.003122110104577,110.05712524737609,E,C,1
No,African American,E,C,C,A,36.29455518999084,E,C,D,-114.64351287273954,A,0.9770118623408535,-38.58783066498415,-12.320447524169703,A,B,-29.43478434493726,29.367020346547534,D,B,1
Both,Asian,B,A,A,C,-93.03262115018687,E,B,A,355.08655133186477,A,-44.82103897329137,76.89368633734865,55.881176677231615,E,A,37.797669160364386,81.91693742071692,B,C,0
None,Asian,D,C,B,C,19.6392649195456,A,D,B,101.87628419066029,A,-41.934176735245266,41.1394013070906,-122.72920725745054,D,E,43.76433878015874,-26.873159082693732,B,E,0
None,Asian,D,C,D,B,65.82361395720447,A,B,C,-79.6264460481715,D,39.280742814631395,-238.43649029807864,-70.38940276610944,A,E,245.67481430067582,-16.11258224684288,E,B,1
No,Hispanic,C,E,C,A,19.267526072290593,E,B,E,-262.1889392938715,D,59.51495082516435,138.36037779429495,93.6971193650367,B,D,-224.86853027795303,121.56047392533702,D,B,0
No,Hispanic,C,B,D,E,-1.9172438382297399,A,A,C,25.562562781796004,A,-16.418581009645457,118.16491899783728,-42.211100420011185,B,C,82.03253942044621,-51.362269100705525,D,B,0
No,Black,C,E,A,D,53.051648787152104,E,A,D,132.8348612834621,D,-46.718371803063796,-60.852935180953,105.9388480409841,E,E,-7.729546380590491,88.71247078933084,B,C,0
Both,Asian,C,D,B,A,-34.89889087583988,B,A,E,27.77560775344417,E,-33.075535451139565,-23.047075323676307,-99.3103888095165,D,E,17.57974063967149,112.88196656483225,D,E,1
Both,White,D,C,C,A,27.63255743756885,C,B,D,-90.87743264513247,C,35.335680615993915,97.82535009775185,18.86805220174096,B,A,-55.265962087248774,105.1082511830413,A,C,0
Mental,African American,B,B,C,B,29.160461174334372,E,C,E,71.77463674754833,D,-196.18530152007898,-81.95070186019548,-88.00036037803885,B,A,-37.760532108757225,76.60624328037066,C,D,0
Both,Asian,B,E,C,E,-111.43670384331115,A,B,B,-4.546573894801894,C,-36.64519500635157,-64.08020907539523,-204.78803035566452,E,E,92.89293957630316,31.77451364846843,C,B,0
Physical,Black,A,C,D,A,-42.154068252932966,A,A,A,-167.58533523673646,D,43.33525196601051,19.92621603382137,-9.705300846243345,C,A,286.8714949769608,137.94820336653137,D,A,0
Physical,Black,C,C,C,D,-22.827348055142977,E,E,D,-4.602855402991839,B,-123.60512238452579,-65.78348332508607,-181.50270232636544,E,A,262.5934883108265,24.745282017471453,C,B,1
Physical,Asian,E,A,E,C,144.88306814791724,A,E,C,6.614438673829667,C,114.60897488610455,19.272906095843837,-160.46811264013886,D,D,30.97118624045158,11.388196566453262,A,E,0
Both,White,E,B,B,C,-130.8175058463428,B,D,A,-11.54778946453975,E,-156.39043824405684,14.838958843325395,-24.157452723957437,A,B,46.67559623950455,11.07127055921508,C,A,0
