military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Yes,A,28.613949395683363,C,A,78.53976122091805,A,-35.28359091427224,D,A,E,39.36489660790416,67.47616608232127,C,-73.42337941748968,76.57975796592031,1
Non-Veteran,C,12.593548192630422,C,C,-7.205122430626925,B,181.2983921570778,A,E,D,90.34228532809372,16.783994863504986,D,-94.39837275734675,-81.91530572236438,1
Non-Veteran,E,215.25176448671223,C,B,-103.00388649206018,C,53.49499788329054,C,E,B,21.089533122361058,-123.17503254147681,E,11.40291409086647,21.46767530445586,0
No,B,40.755148805609885,B,D,55.9257739668905,C,242.7979595915041,C,D,B,113.16047383894276,140.92291858250908,A,-86.99754969827947,-103.9125607694817,1
Non-Veteran,A,-214.0546294262581,C,E,164.24614377595867,E,129.64599346200885,A,C,D,-88.6808321844046,-153.9234464107881,E,-191.21546163083676,58.77556979582735,0
No,B,16.904646678108705,C,C,-147.0274794413108,A,-240.72796263225706,D,B,C,-2.2284472575223253,-52.488527876206035,B,-5.071989051357193,-146.8395980168316,1
No,D,121.97378408130174,A,B,-61.17591041466337,A,19.553626543788805,D,B,C,-127.4416915298357,1.2501321928685727,C,54.5813087397369,234.78608068024275,1
Yes,E,-69.16432121025157,D,E,-107.89244590491013,E,146.01756843956147,D,B,C,2.0757225158211168,-171.61035666962638,A,213.51359729551183,-118.87889805962699,1
Yes,B,136.0329004702751,D,A,-15.98097853570547,B,-207.86245750908486,E,D,C,49.61276056544764,-0.1320353588497285,A,-5.880082688049544,49.77826347102124,1
Yes,C,94.33025875317836,E,B,44.5417105534297,D,-11.275873296886232,E,B,A,141.18814858455016,-44.162639473577975,A,-49.42950859588169,-43.01921293885837,0
Non-Veteran,B,-94.2656026168573,A,A,70.16562177230017,C,16.34405083996088,B,A,E,162.04797479041088,-73.52822974558987,C,69.50406164635359,-75.6593413252615,0
Yes,C,-9.991892447006649,D,C,69.53268782407854,E,111.65816346194856,D,C,A,45.70323144335351,19.10283501285202,C,133.64984574742184,-68.41924189554793,0
Yes,A,125.7931873231222,B,B,25.78083382746096,D,100.43391606112937,A,D,A,118.23455077391509,17.426307629469072,E,77.10770042927005,74.46282325530854,1
Non-Veteran,A,-10.339791416622134,A,D,140.28647836425844,B,40.6452838639004,C,D,E,92.65789804860239,158.52298699039503,C,-82.16329779379183,-61.27975523345855,0
No,D,21.744773591698515,A,B,-8.524584954714209,B,-80.84412543987878,C,C,D,-81.21187913942197,-62.1756350869895,A,-11.672117205741344,13.559271922619335,0
Yes,C,-19.695283378018043,C,E,-34.29462733858273,B,58.06389339812124,C,A,A,-92.93319122058801,-13.97897883083042,E,-117.7384149575659,-17.566592368141833,0
Veteran,E,125.37687019843217,D,B,4.165700560668151,B,-121.60700988995023,D,A,B,-110.33477815978796,154.24414101992926,C,-39.28118427963292,-19.265468797077812,0
Veteran,C,37.958550394262716,E,A,62.04199973587608,B,172.1717247627886,C,B,C,139.77225313248206,88.02909322600378,E,86.82208418384577,-64.78811318800356,1
Veteran,A,61.55570912804901,A,D,-144.25292004035944,D,-7.328796207282156,C,D,C,-89.99935821290572,45.89900808388996,E,74.18901368031496,-55.84017066936789,0
Veteran,A,-20.853827971011814,E,A,-20.79339706149939,B,93.26019404855668,B,E,B,20.343393782268095,102.2876181901755,A,54.16872579248263,-131.31843026143787,0
No,E,-1.3619534135782234,E,D,51.24758848527032,D,-90.95136938701914,A,C,D,86.47711296835992,-64.99840322137945,A,39.34210886833913,-52.25645491011379,0
No,B,-218.02029738497208,C,A,-152.2454530871756,C,-117.3664755836484,B,E,E,2.1356090496124214,30.47392297109761,C,56.03502228215051,-79.50016728365713,1
Veteran,B,4.601767222061197,A,E,-234.0103867358787,B,14.76002237497547,C,C,B,89.45950056291,-158.6025473631909,D,7.002657215900604,141.95439440375074,1
No,D,-86.46359804001933,A,D,42.498755423296,E,61.34576181383859,D,A,D,-69.59823363011107,19.684964007059747,D,10.927968069352625,-5.253026238908638,0
Non-Veteran,E,83.99554989839729,A,B,-4.4840842042998545,D,-145.38466059242802,B,A,A,-125.40822158606413,132.85219496831638,C,99.01206858660606,-111.52805400459039,0
No,B,79.34103025814704,D,D,-18.167580340138876,E,109.94293480431018,D,D,B,-70.053224164364,-42.23551323938495,C,-2.476120385676529,93.93063130053162,1
No,E,118.60183062447716,E,D,-23.98649823573777,C,-72.22231241015075,D,A,E,-15.90636513761075,-0.14700400488033366,E,70.19225118892678,113.36262825616066,0
Non-Veteran,A,-15.401329897949795,A,D,-46.26904888403282,B,35.520156358234715,E,A,D,59.290954267572474,101.574290364483,C,-21.426448092690904,-47.572448613846944,1
Veteran,E,45.0680107994632,C,A,160.47704244699764,D,-27.083599701085355,D,D,E,24.979071796544343,55.428947322744094,A,-19.19296290257097,-113.68547989078881,1
Yes,B,-81.79373153296636,B,B,2.7152099697986833,D,69.91099021312105,C,B,D,96.14581542641243,10.08460962301148,B,-10.615265582447785,-176.57742692860543,1
Yes,C,116.10925899601008,D,C,-37.2712675305508,D,0.9676401138692465,E,B,A,105.14079234616038,-193.53488731009733,E,47.23157822926827,-38.59321557447216,0
No,E,-55.9059076892754,E,A,-70.24927835649316,C,113.84240093642237,C,E,E,-208.39138837689072,-15.911301975687067,B,4.932024450532724,60.33195773210587,1
Yes,A,50.59856532380274,E,E,33.377171644210215,D,-98.73637300319197,A,A,A,1.6484007366664772,-18.656003670430636,B,9.46492424659809,-151.78749841209378,0
No,B,-79.20245500448239,D,E,91.19524633417129,A,-40.522073595672325,D,A,A,20.619449016633283,-11.494202101699216,A,-103.53818475020769,-6.18240586305711,0
No,E,-19.960364848366012,E,C,-56.86700784354311,E,-59.97505433288603,D,E,E,-126.34998510036391,5.982984914423668,A,-31.001256119053355,-2.0675805198783337,0
Yes,D,66.62726027153046,E,B,100.7249472043966,B,124.6126635038882,A,B,D,-0.7417318595343962,110.00690090603693,C,-120.25207273735987,71.5785952587038,0
Veteran,C,81.37791130225312,D,B,-142.4169805263112,A,27.508109767627698,A,D,B,65.44616094859296,86.35936489639177,D,152.3925305017865,-1.6027314471012462,1
No,C,23.7453464690365,B,D,84.67887454945814,E,11.084837376151164,C,C,D,152.90517191308172,-4.124034700881367,C,34.065151024650056,-17.59932216583308,1
Non-Veteran,E,76.48126003560901,C,C,-14.143100045193405,E,64.45440187452508,D,E,E,121.66080930558012,22.06412108499609,C,-25.566693148690895,-145.11912716263666,0
No,D,143.19321482269808,D,E,-110.94011162328474,E,67.66543714024415,B,D,A,1.3907961672498546,71.13443649279854,B,20.691701426341027,-192.27258946986396,1
No,E,-16.66976777743825,B,C,156.0004986410168,A,-92.50338145784876,D,C,D,182.62318921683328,87.98308510777888,E,17.407730046648346,16.04214516274893,0
Veteran,D,-47.68266807895101,A,A,129.7569407206333,B,13.134106247197275,C,E,D,172.28771079483604,149.2265139409773,B,-2.6135214866888137,-97.1325678524043,1
No,D,-106.55611466596963,A,E,-269.26276022949475,A,-93.75640071386687,B,E,A,170.56317153381934,-58.79577379528212,A,-48.676263333092216,104.04804268927374,0
No,E,115.82575807710008,E,B,-66.29144488450703,C,-110.46354743806559,C,E,D,-21.744282533124178,-173.87528013709394,C,79.2122684563474,-152.54237518615153,0
Non-Veteran,B,-242.4206415969822,D,D,-62.082082909061356,D,96.90182190314309,C,C,C,-84.55220791266956,-280.5136291982399,B,1.7817546299266314,-55.38994519217763,0
Non-Veteran,D,86.74325427909147,E,D,-61.45265194026103,B,-37.43889547195451,A,A,B,220.44624360468944,-5.53085529430907,D,72.2699833748259,-4.640687387891228,0
Veteran,C,83.68148488105614,A,B,31.0435338640832,D,-41.86123582444559,D,D,C,-48.47823898835265,-100.67833584959489,E,3.017722772084076,-71.28640533766092,0
Veteran,A,194.74563187888972,C,D,-25.121664455341524,A,-137.71599318421897,C,A,C,-160.5700750906314,103.96216256318662,D,62.22964411147005,-47.76553603157168,1
Veteran,C,-19.69099175068033,B,B,-180.6277178083678,C,-22.641884501619923,D,B,B,108.8021023360467,-88.83316495407237,A,-104.82256864155761,108.24604454356638,0
No,C,-78.02527221227315,E,E,-4.7439845250517525,C,22.54716823937756,E,B,D,319.6348153257152,127.0787996458957,B,36.37832265814718,-133.7542496279901,0
Veteran,A,-117.36813178688499,B,C,-68.44264879264126,B,23.039784739058398,A,B,C,110.66099792733071,-213.77307321314913,E,-168.6189784015013,-44.094730919971056,1
Veteran,A,112.96007455264929,A,B,6.621934714442879,D,-1.285100217708079,B,A,B,52.69599437677003,104.44634409545523,A,-15.614260871839203,69.27955861923317,1
No,E,-3.6732120232409486,B,C,-83.25890120818734,C,79.0783970299228,A,C,A,-129.202758776032,-67.58470022556482,D,-31.099676630853253,55.57775454302584,0
No,D,133.0477902582387,D,D,-130.76520246540912,A,-60.28513782009165,D,D,A,-44.29434306956354,-134.09121862482945,C,-34.79835825289771,-35.30785880123253,1
Non-Veteran,B,-32.11202495619235,A,C,-32.11746066483551,C,19.6491350998578,C,B,C,-40.19430694779225,39.89781848767047,A,-137.9547649894498,61.458306518866856,0
Non-Veteran,C,-181.71832582066207,D,C,54.9578429713675,B,39.52079697258073,B,B,C,31.716439674186773,-113.83962256279926,D,-44.28242713563801,-189.73511403132645,0
Yes,A,-70.93809616753202,B,B,-54.90052515293327,C,36.59309864210881,C,E,C,2.77636004168269,50.764528531875655,D,52.343808801839145,168.1938729344489,1
Veteran,A,-71.53273372035699,E,D,156.43187148622187,B,223.59862633691446,B,D,D,-162.25836700035399,-114.11168563568883,C,47.55681107285689,105.44219875033505,1
Veteran,A,-99.22032847840505,E,A,60.733473401145,E,-118.14069763301478,E,A,D,-49.60320725732424,56.86522000242667,B,5.244402037742056,-4.874866461808024,0
Non-Veteran,E,11.981627499936826,D,E,12.742010571659282,B,-18.153479169700244,A,A,B,56.947983252003965,196.97645774422094,D,48.05899438821461,-14.696539276300976,1
Veteran,D,3.0997481692860176,B,C,-139.39057755018982,C,-48.08071390171842,C,D,B,-46.80514285137268,19.520066867620294,A,20.737201193971682,-29.656239996405986,1
Non-Veteran,B,16.54641162770041,C,D,-124.90829288128626,E,114.27492703136714,C,C,A,102.64286792974475,60.81000084017211,C,-14.781055690541814,90.07044369309772,0
Yes,D,236.11877949212592,C,E,135.37384595296476,A,63.17120192115868,D,A,A,93.70425549428319,-62.553620394981756,B,182.78263826757782,-60.784502657248204,1
Yes,D,162.50909764992397,D,E,-74.54009843942583,D,80.51886331274767,B,A,C,32.91510146563155,201.8377735746103,E,-114.243703795876,151.61610301138853,0
No,E,122.34912675444896,A,C,5.77098047233859,C,-2.05433761724962,A,C,C,-21.380268719274824,-96.67680995439387,C,-178.61742967606042,-68.98253778921001,1
Veteran,D,54.35848908983809,A,A,161.2603701342026,C,99.06347002591845,D,C,A,44.88456851849096,63.04378376488767,E,-57.16773576164235,14.132433036665029,1
Yes,D,-157.53121598286234,E,E,-41.683846692436326,C,-148.3160873458561,E,E,A,-104.12209616951932,175.22175387325254,B,-37.301801893520945,226.77956088566543,0
Non-Veteran,E,208.98579095718733,A,C,-13.820711192424099,A,83.6406137584526,D,A,B,-22.13330225530096,63.79722139897142,B,-37.17431629751389,-39.958466719446115,0
No,C,-112.1939406403537,C,A,25.43603934774488,D,-108.4267502700001,E,A,E,-161.96524842176518,-83.90121648953364,E,-15.578321636261983,29.122239353158857,1
No,C,-89.34166918623967,B,A,88.20937160678638,A,30.08182832514238,C,A,E,-31.203309081465026,-80.3120712822596,D,31.627120531341145,-54.36407015428988,0
Yes,D,-84.45361264496447,C,A,118.83919694564182,B,-142.98132721836816,E,D,C,41.64022219755215,98.30800151483723,A,13.439830726984022,-66.2213425544527,1
Veteran,C,76.83823315491848,C,E,159.28953592748348,D,0.31240905412054415,B,E,B,-231.52906690753258,-111.44651849917963,D,-25.12860133789475,9.059473868343114,1
Non-Veteran,C,99.65517844474184,A,C,-82.77661805722484,D,-67.6514919721665,A,E,E,13.001499973971917,84.1109729586342,B,-100.7260127774269,-130.5140490648776,1
Veteran,E,61.40088412591357,B,B,114.01351201181534,B,-43.77303277543907,A,E,E,-1.3443145080677228,66.51233402491758,E,-12.362866248553402,-151.69079899659903,0
Non-Veteran,A,-135.03043295255387,A,B,71.09932342458745,A,-117.39054872800685,D,C,E,-194.81338445477556,-154.73000866725218,E,146.11415242014502,83.48452048870577,0
Yes,B,-186.5869316458324,D,B,-28.124137856881852,A,-72.24320688467205,C,E,D,74.86456149929488,6.895301549410858,E,54.238608935806276,-115.00254009526228,1
Veteran,A,69.86403756016823,B,B,86.86987576459288,A,-97.4318361803021,E,A,E,-53.92162051114806,-5.691182500212974,D,129.33833381549204,24.2012221773276,1
Veteran,D,-74.28983551550117,B,A,-21.972483998153404,A,-15.29601849707335,C,E,E,166.68326728003132,-158.96617216927154,B,-201.80039398253479,59.5603291821923,0
Yes,E,-13.950104264075824,D,D,-34.56549765158602,D,-4.894224268385545,A,E,A,46.256726556211014,-58.625533288572804,D,-52.9406491790358,-144.42920660594243,1
No,A,61.49351583795307,C,A,-201.95044489947009,B,81.48852401427382,C,C,A,-81.5959688299958,47.782223147461636,B,-152.69635965202605,222.20367627871784,0
No,D,59.181715239845836,C,B,77.73923722415938,D,-12.533659601738659,D,B,B,-224.99439500771646,-249.7999816059487,C,-182.75265731250707,154.57849314249182,1
Non-Veteran,A,-47.966543228635025,A,D,11.242940890648786,C,23.523838679274377,E,D,C,-104.67288162069785,-18.997872185240297,D,83.44314380338106,11.494830949234649,1
Yes,C,-51.59412392841038,D,E,-35.772773210479784,C,-4.95193007459514,A,D,B,42.39142532635143,-52.23306499052159,A,-88.72668839790953,-53.2655577063673,0
Non-Veteran,A,-105.62127326255622,C,E,-49.29984036601287,C,23.571524560671655,A,D,D,-3.9452056494050702,126.97491354038233,C,116.28406163986014,14.464787294249978,0
Veteran,D,102.91814981826619,B,C,102.29957194057062,E,10.365437300474193,E,C,C,-66.2617226230521,-31.312771864298067,C,-186.92011251823567,48.36030685472492,1
Veteran,D,-96.04949526412331,C,E,78.80930298439779,B,-23.69155618921536,E,D,E,-43.451476600877925,22.67774371921753,B,0.3601408553749929,-108.05158221682841,1
Veteran,D,91.85662185251392,C,C,186.43992131223405,C,-96.83953060849201,E,D,C,-244.615565703277,69.02631215965701,E,66.97332073181056,158.87614699200182,1
No,A,29.179673307057204,B,C,41.70890457807002,C,71.03072461155531,D,E,A,247.07210037883743,-19.289759329845555,A,-8.221615128191608,30.524914954726885,0
Veteran,C,154.03603211443476,C,A,-117.86086164791388,B,8.711635665954322,B,E,B,-48.804258044367415,13.447794890978537,B,-38.22756493311516,-170.91029698185477,0
No,B,62.750774183121074,A,D,45.955888233773905,A,-109.32880987165427,C,B,C,11.925729709508516,-183.67001373498303,E,24.15892506145402,22.233157557415883,0
Veteran,C,-97.51896538709161,A,C,146.80022581242457,D,-68.59036521766924,B,B,B,13.872827447334437,-21.751759062712292,B,-30.29430625176197,2.917552050352814,1
Non-Veteran,A,-6.301161831762061,B,E,109.80490913518946,E,94.3827838824019,D,B,B,-3.312275819841433,-155.3209498457888,E,106.24276608215308,-73.2764388913637,0
Yes,A,-70.24237523851244,A,B,-56.69889776186802,E,-56.632907138622876,B,A,D,-190.8594112787085,134.0681251352618,D,-49.64835429724461,20.760797445390942,0
Veteran,B,-111.95388955170287,B,D,-13.571179107884529,B,45.178929132271506,C,A,C,-18.50642657724323,81.64359862615498,A,-205.4499329114048,-67.50758488785313,1
No,B,152.13336804187,E,A,-33.411401114570374,E,-19.326215371044647,A,C,C,-0.8250880075499636,14.603416165539015,A,85.40949539977007,46.01553051455842,0
No,D,72.85279790760859,E,B,-108.90599634686922,A,31.38417504396252,C,A,C,-48.93462459471246,25.339933103302492,B,-117.38737546397604,59.26445188130208,1
No,D,51.55006756080749,B,B,54.43356229946317,E,-7.026146571535993,A,E,C,14.375382378323437,-133.67990841080265,D,85.89097565394742,-73.65513300909558,1
No,A,0.9272679440121327,C,D,63.04852506428789,B,171.93368226920555,E,E,B,90.42317815379859,-100.57987522094594,E,43.594245062562045,15.298523612868983,0
Yes,D,74.42992090565816,C,B,54.31864454210547,B,127.02733556865273,E,A,C,13.711838385114197,-51.94386279588967,A,-26.15145282583925,181.01940712416624,0
Veteran,D,-5.396692504272095,A,E,29.86802769806503,C,114.83122669600587,E,D,C,208.85627037226214,304.0252965391595,D,23.221616766648324,72.77878176271724,0
Non-Veteran,A,-46.09776762247017,B,B,-3.9940377761877803,C,-33.77386484027403,E,A,D,120.65673803999928,37.45066310218644,D,40.361790718286045,-2.334053715995453,1
Non-Veteran,E,-146.22323886052862,A,B,27.722703362243045,E,-78.28496685003782,D,C,D,-57.54380357758709,66.71313187845203,B,-10.782223568943264,-16.96211489072342,1
Yes,C,-19.76977885864466,A,C,61.27422435828874,A,63.07121647513324,B,E,B,-78.88916441482179,77.49536820935577,A,85.884733453585,-124.27934534707093,0
No,C,22.369548415605816,B,D,47.07718453926435,E,30.498160415456788,B,E,C,-110.86215990845886,78.45193731008968,B,30.076597259238724,-26.322905601197128,1
No,C,48.166557352241284,B,B,172.78918933660955,C,-116.11614479011682,A,E,D,-62.91102032810451,-94.47909749370275,E,29.731969515412604,-8.968322703185171,0
No,C,-85.7562955928708,E,A,-220.43881297027426,C,-60.037218530709694,A,A,C,93.13202947407291,110.44155655078282,B,-10.916942282209122,14.548118415785849,0
Non-Veteran,D,186.427138895494,E,C,0.5925456912048038,B,97.23343857569671,D,A,B,-19.095553091520166,-37.820220995715715,D,-158.50103611389997,-78.9517194933078,0
Veteran,C,-190.2399644182897,D,D,-0.7844433868896081,E,109.6347847846804,C,C,D,-42.023120159741126,51.25197929127435,A,-14.420673164508354,-0.34539722102493786,0
Yes,C,-58.81237371532902,C,A,163.8879856680649,C,177.27281311742476,A,B,C,48.47460850707439,-0.04212996971779972,A,-63.07999501957446,52.72540273135602,1
Non-Veteran,C,-59.65306400003389,D,C,182.123361984173,C,32.94438570393746,B,C,B,120.23013910746614,148.04020469909142,C,-71.56638021442915,34.20330001184023,0
Yes,D,46.781724938808075,C,C,36.880169918235886,B,-138.41487214590288,A,B,C,-90.95414392021716,28.18398127731607,E,150.0767621965638,-53.69663305752399,1
Non-Veteran,C,208.81778237390014,B,A,-149.76712144325515,E,78.17524123234445,A,B,A,-14.235556383457295,-224.09876281755743,D,-82.63577868316231,134.2084440758542,0
Non-Veteran,A,-52.81712912534691,E,C,11.650231404857529,B,26.363335436270358,B,B,A,190.53890970658242,-86.64325454673283,E,113.06365877828422,32.45126599141816,1
Veteran,D,-62.23480024571253,E,C,83.938152403718,C,-120.40309803312455,B,C,B,-100.46212317156728,-20.15461520424788,B,-116.58207655205676,-24.17696156826425,1
Veteran,A,-40.38472922632962,C,B,-292.6282628744209,A,-12.363214630298828,A,E,A,144.7150934024236,-10.402736039931519,E,6.685324170113111,107.47728316009402,1
No,E,56.82788992091186,B,B,-53.377605099102134,D,-93.88419087221077,E,C,E,4.883216176095959,9.059686223836179,D,90.15711256309356,-132.36307510251385,1
Non-Veteran,B,67.75464772719401,B,B,-179.52284995696,D,-32.730401887069675,A,A,C,-128.4992570563175,-104.35808980052745,E,-47.54215615119358,128.2543597339367,0
Yes,A,-9.71405908692961,B,D,-2.7872406547206747,E,-6.171536400332908,D,B,A,44.101424802786745,79.24310088339512,D,184.73629308281028,75.40999813919733,1
Veteran,A,173.66969662464808,A,A,-66.24277132968994,B,-92.16370241095827,D,E,E,6.940773102921627,-122.2657501915476,C,-11.352922236885183,-30.669249174864483,1
Veteran,B,7.4346365158152325,B,B,71.92210697870594,A,-134.8168652626091,B,D,E,-145.06437341668493,-188.31526378722882,E,-204.83872836798005,22.04614598328758,0
Yes,B,9.661601427190043,E,D,-29.988396277440444,C,-40.9317696000823,C,A,B,55.37189989091076,-83.42623739962387,B,12.647976569334004,-56.291105719899804,1
No,A,121.51730197392465,C,A,-9.637831048780656,A,-83.30970260558608,C,D,A,-57.25195968855531,-387.871352216343,B,18.738113471691616,116.40814487410628,1
Yes,B,-27.772919186536537,B,C,-160.3313292967097,E,-62.00649981997047,A,C,D,131.1590560930578,2.1181050088832185,D,-136.7719895834501,46.51016811447317,0
Yes,C,159.23617663838579,D,C,-79.84392384412976,E,-12.761513710086906,C,A,E,-5.0931416466309685,-61.20558550846072,B,-50.50002625374197,79.13268120334361,1
Yes,D,-134.378340601113,C,E,14.151351958095123,A,-127.75711420676308,B,B,E,-45.46316694623116,16.30386304272015,D,105.23259609970009,-56.785654460389104,1
Veteran,B,-117.36281075652855,B,A,-135.4281957197397,E,-4.468245892185873,C,E,E,-19.412647212893337,-63.930212237919626,E,79.80724400417805,7.907654126009679,1
No,C,122.06686226841354,C,D,204.87980837212643,D,49.01874061858548,D,C,C,-98.71609117919562,2.441280677817826,D,-94.0507149244697,-33.08144558294316,0
Yes,C,27.351909980775435,B,A,-227.40342361419928,C,-10.915430882147318,A,B,C,-102.82977026711902,-71.12463301490233,A,92.237175006687,76.97038029225594,1
No,E,-53.633480797888645,E,B,-56.071672421928696,A,-27.40866351490882,E,E,B,129.46112155013225,-183.59435986523468,A,22.3953605264994,0.11164659435196063,0
Yes,E,-115.25421980547752,D,D,114.28936023549514,C,-134.38048191791427,B,B,A,235.98894470994424,120.74067571761114,C,-154.96128916528733,-117.4830134916274,1
Yes,C,-7.433166070805372,C,A,-104.48157658870034,C,24.915016676099803,C,D,A,37.50329403953791,-47.05231505554428,E,-49.32989314971248,-27.10802753583661,1
Veteran,E,-7.675885280985311,B,A,-69.02128457981955,E,-163.98512104508416,C,B,A,46.85946772964029,207.28453051109784,A,118.76264713764017,-18.349137248796307,1
Yes,A,121.21577496932905,B,D,-95.38777510483696,A,-31.470623768515697,E,B,D,-66.79003369527773,101.6877362511557,D,-120.0698030809969,109.7072379799875,1
Yes,C,-127.6563992150695,B,C,55.063001660797916,C,-92.14101597636304,E,D,A,-217.74624970560183,-57.477607557394286,A,-187.2340065728629,-98.63248689225753,0
No,E,206.21913801708277,E,B,43.70563057500629,E,95.97094060263368,B,B,E,-140.44227209858755,139.91685157220527,A,-96.12933893639217,23.963051789046546,1
Veteran,B,-191.74017597625155,B,B,-64.7172359271302,A,87.04226769203763,B,A,E,-68.44033374779733,32.54481853308415,E,-88.04758145877291,-17.238416423849756,0
Yes,A,-30.86415920020479,A,A,-93.15930522790423,C,-169.39364267950845,A,E,B,204.42469196867648,-90.41368889852276,D,-70.1319928830922,144.3011904361156,0
No,E,-43.85598653561759,B,B,-63.93552609552516,E,28.287512715708885,D,E,C,1.6871296936868638,-15.566588351487761,A,-58.812565520935564,-73.27986036948548,1
No,E,-20.686830918048297,E,E,57.32445803748429,B,-103.70458748889035,C,C,D,76.13360342056525,-59.970260708215186,E,6.958518790386418,51.689483805962574,1
Veteran,D,94.44578868119828,A,D,18.335857256979423,C,-165.09411376446658,A,B,E,163.91352434689279,-81.99050934451462,D,17.004127031657305,249.27342362337117,0
Yes,D,-36.709020472006735,E,B,80.46468023149495,B,-36.118528025407336,A,B,B,206.88718582702649,-5.631168066360241,D,68.29544297734745,-29.934424327366255,1
No,E,-95.66526145787729,C,E,-88.01349145206562,C,64.76466767397785,D,B,D,160.09225109326368,181.94101033187275,D,-129.08095695451556,-60.29690763404324,1
Non-Veteran,D,30.865382051057377,B,B,24.48078507723067,E,-73.5604166611944,C,E,A,109.56364532947075,-61.63157321501905,D,-60.371728072039,-130.05192997557174,0
