disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
No,D,14.779152583621414,A,E,B,B,-3.554987102757954,D,-101.49711762464098,0
No,C,-29.28968364450661,B,C,D,D,45.06348585482205,D,27.231083289985307,1
Mental,E,150.51202330392175,C,C,C,D,-19.974068643814082,A,17.1872418620485,0
Physical,A,-12.92611312717456,B,C,E,D,27.05392103307448,D,137.42525195571437,1
Mental,E,118.48086339708945,C,E,A,E,50.601616749243505,A,-74.53152391074373,1
Both,D,64.51333099855452,C,D,B,B,-45.64029086183329,B,-130.9775988607106,0
Yes,A,67.43665944260304,C,C,A,D,-62.122552499973374,A,-38.48695658266275,0
Both,B,9.655038079367712,E,E,C,A,93.74596293366741,E,-47.963775467368784,0
Mental,E,81.38930211102048,C,D,A,C,111.53458765954582,A,146.33741349357354,1
Both,E,169.435700825035,E,E,D,B,-147.4677549186052,B,-37.690223172495394,1
Physical,E,98.64256704518452,D,E,A,E,149.60845755088573,C,-19.05427746501464,0
No,B,119.5855777877861,D,D,B,E,-90.82899798669216,D,43.313575133119315,0
Both,D,-81.979091762212,A,A,E,D,52.396268966865854,E,146.44675380342647,1
Mental,A,72.59442973472025,B,C,B,E,-177.48390045914667,B,-27.887395383333725,1
Mental,B,76.88464800642727,E,A,D,D,-98.9048750453133,C,-41.23587503381865,1
Yes,B,89.78847827009291,D,A,B,D,-63.06719648279686,C,-155.62582378430665,1
Mental,B,-4.978325116710228,D,C,C,C,-44.03057181667328,E,113.05328256763048,1
Mental,D,-91.95563284408293,D,A,E,B,133.26468962911412,B,-221.16245230529964,0
No,A,-16.96051614302582,E,A,C,C,154.2805303829856,C,-126.1417929165557,0
None,A,-11.469849349774854,B,E,D,B,-52.14206684247452,D,-64.09478814104845,1
Mental,C,37.12417304246897,C,B,B,A,5.461097140360384,E,7.3986606256171354,0
Physical,A,-8.874576203986354,B,E,E,A,105.64342492235342,A,41.266578471138516,0
Physical,C,5.392720595995895,A,E,A,D,-93.49819949098234,A,140.01450545946125,1
Physical,C,-87.7224676511726,E,C,B,E,22.685134514082655,D,-5.6818059680105355,0
No,E,76.39538165124883,C,A,E,A,29.805460413685353,B,74.77970794979622,0
None,C,24.011566020991314,E,B,A,E,-201.9628293284808,E,-61.53055962706172,1
No,A,-137.6564079155183,A,B,D,C,33.32585265355915,C,58.3944941438458,0
Both,B,5.452201765841783,E,C,C,C,-26.54907180363647,E,-8.466085802593945,1
Mental,D,89.30046314939612,B,D,C,A,-76.38931061357603,B,-37.28584846694971,1
None,D,-119.5250738183223,A,D,B,C,-46.86010332308827,D,-88.79153258360864,0
Mental,A,-61.40760767910754,E,A,D,A,41.24799598826213,A,8.149898284833352,1
None,B,190.99290558339942,C,E,E,C,134.42789764965957,D,19.49119988418147,1
Both,E,-7.711697016834973,D,B,B,C,-30.382347310895153,D,-28.414483332592482,1
No,D,46.58446612227093,C,A,A,E,-34.36488702798166,C,24.694840112690695,0
Mental,A,-171.74167251053484,D,E,D,D,-155.63889238616872,E,183.15196538245237,0
Both,A,-195.75375629555148,B,B,A,A,103.45912738138104,E,-129.56712807311538,1
Physical,D,87.62968798904134,B,D,B,D,140.87784790244476,A,19.7317261318152,0
Physical,D,-57.66278403834012,D,E,B,D,86.21887823035888,E,-44.42645357859883,1
No,D,94.10987469662474,C,A,A,C,136.52492109482145,A,-37.21615702575705,1
Both,E,-9.005147835080573,C,A,C,C,32.63115584811393,D,-21.78007048926738,1
Both,B,39.433731290731195,B,B,E,C,-68.81110816048808,D,2.3171706688520097,0
None,A,207.00203021944597,D,C,E,D,-77.85443192284626,E,-119.07106420331863,1
Physical,A,187.7900219095923,E,D,E,A,-2.0552126559369785,A,-5.843097755951549,1
No,A,41.23580235365343,C,A,E,D,-19.50463724182983,E,-50.55608440659102,0
Yes,C,-51.54721006325499,D,B,C,E,-63.846039165735114,E,12.483607308220144,0
None,A,-79.34580358488526,A,A,E,B,34.564061056313776,E,86.14075425438074,0
Mental,B,-36.87843166169531,B,D,D,D,192.3730546892384,D,135.27175660150857,0
Yes,C,-15.784989604771294,C,B,D,E,-156.60753914111137,D,-69.39818163639205,1
Both,A,-140.74231253926578,A,C,C,B,7.256184992165664,E,-70.45748536942214,0
No,B,-19.148716750033344,E,B,D,C,-20.606741288848568,B,77.91433349438897,0
Yes,C,-45.74351855693321,B,E,B,E,80.07248691229454,D,98.70028191288353,1
Yes,D,77.06636147267405,C,A,D,E,111.42175578491317,B,-102.1292160314389,0
No,D,11.400527103692076,E,D,A,C,21.60090431435773,E,-26.65441394952634,0
None,B,61.15411926483182,A,A,B,E,-210.7955821369148,D,-103.51097256799022,0
None,B,-149.79532694428164,A,D,B,A,-15.94857088715049,B,15.179015624847562,0
Physical,A,-48.35263930662666,D,A,D,E,49.03729564369126,B,53.14685085617171,0
Physical,B,160.11389552010286,E,C,C,B,-55.32515315034535,E,47.115836313454665,0
Both,C,-271.1395986818539,C,B,D,B,152.94998231345713,C,58.920398997477704,1
Yes,D,-205.7935454287728,B,B,A,C,-43.99196889484253,C,81.53977236839242,0
Both,A,24.518918956866127,A,D,A,A,-79.04791536445983,B,-15.033942978401416,1
None,A,47.35802141709781,E,B,E,B,-246.70929626689565,E,63.84867605821894,0
Physical,E,116.74541889215881,D,D,E,C,-89.45358889638968,B,-63.361951294579285,1
Physical,A,-42.38167504265125,E,D,E,C,-1.1655524083793654,B,-73.81026739217467,0
None,D,-21.34572783465618,E,A,A,A,13.58367370694102,E,1.952775566068432,0
Physical,D,-93.2231109642207,B,B,A,E,14.443556832909286,C,-62.34795225596369,0
Mental,B,10.861180711695754,D,A,D,E,-31.861260538051784,A,6.275237972976597,0
No,E,-143.1403570851703,A,C,D,B,41.273101207137124,D,37.27404079002327,0
Mental,D,-98.73124984400312,E,B,B,B,83.22585301833308,A,84.20579246340559,0
Both,E,-17.836875964412464,A,D,A,E,142.59051152966404,A,-74.97588314511655,0
Physical,D,183.94025554971336,A,D,E,E,111.00576990313368,B,-10.823767070246955,0
Physical,D,172.88509229757818,C,A,B,D,-123.38679847715561,D,49.6446229964811,1
Mental,B,125.26539359733147,C,A,D,E,-258.02577987287304,C,-4.66452916975537,1
Yes,D,49.74165649582769,E,D,D,E,-0.4915704142714887,C,-45.62014742926995,1
No,E,-170.2813598631704,B,C,D,D,-79.1027875280284,D,-15.582436223965548,0
Both,C,2.7102373108441453,E,C,E,D,145.369041950049,A,25.365062434356737,0
None,D,53.059987630098924,D,A,A,B,6.221593133692344,B,-69.05509921657068,1
None,A,158.15942803367358,C,A,E,D,111.49195382526302,C,45.37881959892325,1
Mental,B,-7.531841993821748,B,E,C,A,128.9318751245469,A,-117.98683653006012,0
Mental,A,181.36479756538338,A,E,C,C,137.01359703334063,E,-21.19908325726354,0
No,E,-24.838453217325828,C,B,D,B,-38.84843010392597,B,-116.12368462288715,1
Mental,A,86.44748371432382,D,B,B,D,-39.44435642557574,E,39.834089231716774,0
Physical,C,84.74923828368888,E,C,E,E,70.8310466580216,D,-16.406682802698768,0
None,D,-44.60418768148659,E,E,B,A,-127.50397006119682,B,68.49378813674305,0
Mental,B,4.597384672897471,C,E,B,C,28.060853270121044,C,137.5720610362241,1
None,D,56.71568610080927,A,B,A,E,-59.42240697080463,D,19.769107004213105,0
Mental,E,-5.291478470483751,D,C,A,D,43.72008977675097,C,44.69030648870328,0
Both,C,-139.8232084846192,A,A,C,C,-75.54148346792415,C,70.34987866940283,0
Yes,A,26.03214223725076,C,D,D,D,69.50921964504161,B,10.975884250365562,0
Physical,E,-154.46632189741888,B,A,C,A,15.78734981700217,B,61.562590340153854,1
Yes,E,80.61390300482756,D,B,B,E,-139.58160948459036,A,19.06141094018519,0
No,B,-10.909050211936009,E,C,B,E,6.740988953326575,D,-147.13792052613712,1
Mental,C,45.98580299882084,B,B,D,E,16.38689654555334,B,40.7875473418802,1
No,B,-46.17474559925743,A,D,B,A,-26.72247407294856,B,127.70168238396025,1
None,B,55.30337745363556,A,D,A,B,83.13126484097086,B,-12.315126007869159,1
None,C,-18.525417732431535,C,A,E,A,-74.83370399230883,D,-31.02117511577347,1
Yes,A,-36.771812397816504,D,E,A,B,36.224533865231045,E,168.09748966433503,0
Mental,B,193.27831195113188,E,D,B,A,-188.64129078932814,E,-58.94842340107434,0
No,E,-144.81192131512054,D,D,B,E,-95.93425279462386,E,58.831176937058295,0
Both,E,63.97469487664304,A,B,B,A,-106.54432599677884,D,168.76220758884668,1
Yes,B,-1.5658675370763864,B,C,B,A,-32.46586498506676,D,121.45815126564501,0
Both,C,44.33799191695872,B,C,C,C,121.3243708734829,E,74.1994681787552,1
No,C,-53.29885905319816,B,B,C,E,0.3050095724228738,E,-99.60506625742993,0
Both,C,112.69469313431675,A,B,E,A,25.32283683209619,B,-57.05481758209399,1
Physical,D,-67.23354902191173,C,E,B,B,85.43821981612868,A,15.391672787000454,0
Yes,E,106.62499574331599,B,C,A,C,9.898460557639362,C,-53.745773056240864,0
No,C,-147.80646629162902,B,D,E,A,-146.20538393788252,E,48.50207987215791,1
Physical,C,29.294267965558607,A,E,D,C,-171.34015266059203,B,-114.22994363803014,0
Physical,A,-22.362140803780207,C,D,B,B,-4.382512891939874,E,54.02222580328376,1
Mental,E,28.601164218175022,A,C,C,A,-158.5819621987707,D,88.01429325915178,0
None,B,-83.52600016328408,A,C,A,E,-43.91642574125788,C,19.163770039803214,1
None,D,-89.90947293634966,D,E,B,A,-4.247388471045029,D,56.45556112884197,1
Yes,D,71.09586622776996,B,B,A,B,-203.13593640321508,B,-64.78542750207139,0
None,E,58.33425614948672,B,B,E,E,29.662244235683634,D,200.8111158540405,1
Physical,B,-25.08366406936266,A,A,B,E,-38.6102939260283,D,122.00148877146901,1
Mental,A,135.49928325094038,C,A,B,A,-83.46782002505519,B,-77.93110135702632,0
None,B,-25.361734241758832,A,A,B,A,77.095874054855,E,-117.70270610086699,1
No,B,15.622292807478328,A,D,B,B,147.80154657751442,B,-118.22301945787265,0
None,B,94.26854191678245,B,D,E,B,-11.320052443929859,A,-238.61164767072248,1
Both,A,75.35458944708263,A,E,C,C,-29.566867831538424,B,70.59578402533963,1
Physical,D,184.7154837232594,E,A,E,D,46.436796251718725,E,2.8620393578378995,0
Both,D,-101.47888242612939,A,B,B,B,-60.110186586684975,E,-50.2882663076194,0
No,C,253.60314349290712,E,C,E,A,136.62238163418735,E,-123.51210009599767,1
Physical,D,-63.23818313624344,C,E,D,C,-8.737347215745984,B,126.1827230505092,0
Yes,E,1.332369514077304,A,E,C,B,94.17321518879736,D,126.23079173930385,0
Physical,A,-75.87971165933749,B,E,C,B,118.23771586469638,A,8.927864399933569,0
No,D,126.93351322994675,C,C,A,C,-107.46325245084101,C,88.29902638903266,0
Physical,B,73.53875184245287,C,B,A,E,-86.92233018516158,A,43.569573675024756,1
Both,C,129.52046926923435,E,B,D,C,-10.220651049546252,E,50.96869212302487,0
Physical,D,73.5892474279399,D,A,B,E,34.587545535146155,D,-47.18033768493706,0
Yes,D,-35.79791842225703,A,C,A,C,-58.424528527996834,D,-38.69380649860738,0
Physical,B,-44.28523246010367,D,E,A,D,-144.00653412882477,A,-91.4061524837342,0
Physical,A,38.791524262028766,E,E,B,D,-52.20934428568225,C,-10.844962887224971,1
No,A,142.58254012786105,E,D,E,B,-158.6934012975726,A,-121.23217129697315,0
Yes,D,215.31277650732,A,A,E,B,6.662958310204056,B,-27.056836746584633,1
Yes,D,-50.936224003359385,E,E,E,A,77.22691241712718,C,-15.285427385427305,1
None,A,-110.39450522704104,C,D,D,B,-26.649422471464128,C,140.1983596301966,0
Mental,B,-13.52845225803585,C,C,A,A,5.333114731751199,B,-116.30582218470119,1
Mental,D,-160.64385890402582,D,C,A,E,-65.47822313256722,B,71.84532629931567,1
Both,E,-11.638789750879274,B,E,D,B,-122.7228485008405,C,80.47951894522515,1
No,A,-272.22992954067934,A,C,D,D,19.884175676123863,B,0.3821907827441594,0
No,A,71.62876072300372,E,C,D,B,30.992207580405424,C,-15.076229626574822,0
Both,E,11.590169883608766,D,D,E,C,165.80792408109474,C,-71.23302294030215,0
No,D,-77.51729073358213,C,B,E,E,-2.3971494134450246,E,-51.81212327212646,0
Physical,B,219.30011573373656,E,E,C,D,-86.54755147507002,E,175.00153511253927,0
Yes,C,-42.71999671644049,C,C,A,B,-75.10069161186155,C,-111.06987601300543,1
Physical,A,-143.15899025164148,E,E,A,E,-142.9501028907989,D,-10.121715338434962,1
No,D,30.11287911011336,A,C,D,D,94.70649325116807,E,115.85438608208966,1
No,D,239.31232223061903,A,C,E,A,-42.54386885822684,B,-1.2740418575158097,0
No,D,-57.927584212908165,E,C,E,C,-182.3273362029878,A,31.429861032629653,0
None,A,-40.598723155416224,C,C,B,C,-27.807268243349263,B,-144.2507466122929,0
Yes,A,16.243792938471525,C,C,E,E,-13.51818948419189,E,69.88001865377154,1
No,B,-47.613408342662666,D,B,B,E,-26.706489326028603,A,-63.22413767306077,1
No,A,144.42303368670247,D,C,A,A,31.41893918878573,B,-27.18975371819082,1
None,E,-12.97760736961013,E,E,D,A,36.862481989508375,A,-36.423384521310794,1
No,B,-46.07992633704059,D,B,A,D,60.22039193531472,C,-19.128408691063477,1
Mental,C,15.285397281700524,A,B,E,D,-8.062651126536347,D,84.01448226593638,1
Yes,C,98.41981370098671,E,C,A,E,-149.07936512165904,B,113.46124974148908,0
Yes,A,-49.04040905449696,C,C,C,C,-209.51715855230125,D,62.968592317481296,1
No,D,-154.75738059342126,A,B,B,B,-228.34841020515725,C,103.68295618038348,0
Both,E,275.5810091300687,B,A,C,B,-0.545044320428864,B,31.797899657271067,0
No,A,48.910261050507664,E,B,C,D,-4.478334276543676,B,38.2549834462787,0
None,A,-155.84819774701015,D,D,A,A,-28.162502079337926,E,10.24445819840213,0
Both,E,-4.740429304949954,E,A,E,A,129.07484832074886,A,-79.89428010245983,1
Physical,A,10.610763873264137,B,B,C,B,-72.8684001819635,B,88.62411951898518,1
Mental,A,26.8584293893329,D,C,E,E,-22.46295935074183,B,168.38117691055007,0
No,D,-85.16447994449068,D,D,C,E,44.31205835924044,C,26.364659249236094,1
Yes,A,-195.6600133501391,C,D,C,E,-13.044663948652376,A,24.619954730513705,0
Both,A,28.32038034317034,E,C,A,B,-38.21339677744296,B,-21.958277485269747,1
Both,B,-14.57294954117443,D,E,D,C,-161.84989212531178,C,146.825005267663,1
Physical,A,-14.720629635956827,D,E,D,C,-16.594026371185755,A,66.39780355805632,1
None,A,87.65186662145236,B,E,C,A,-0.16492914167195166,E,-53.69339073677316,0
Mental,B,-11.853242669569566,C,E,C,D,-0.6164740601934516,A,163.66444046610548,0
No,A,-3.958818985579634,D,B,D,C,-107.30753118953899,C,-138.7655772663486,0
Both,E,185.62897923071685,D,A,D,B,28.35232820316083,D,-161.0105941236037,1
Both,E,-174.49427216130934,A,A,C,C,39.83727939330492,C,-15.248900584972386,1
No,A,-64.30419782480425,B,B,D,B,236.11503953102164,D,-128.0262686449752,0
Yes,B,-89.36233380594281,C,D,B,A,113.41426399894605,A,-120.20613490674819,0
Mental,C,-77.93621700545114,B,D,C,E,79.67541419712342,B,-35.01900967156825,0
Yes,D,-31.579823178764755,C,E,E,C,-103.91378927395587,A,-194.19508941207724,0
None,B,76.36516829927675,E,D,D,A,74.22807188643282,E,-57.429481737288015,1
Physical,E,-38.95194269031265,B,D,D,D,71.19735045337332,E,27.320081020677012,0
Yes,D,24.66821155800277,B,C,D,B,32.163455698060226,E,178.6982802782557,1
Both,B,42.04838095187727,B,C,C,C,138.46910572601954,D,55.83889396409655,1
None,B,-32.276626802021745,C,B,D,E,-59.45991049173075,D,-98.54245028345812,0
No,C,84.85303326927212,C,D,C,C,-69.75177134050622,B,155.7328315386503,1
None,A,-265.57490208269405,D,C,D,D,-134.06595023720877,B,-113.64537221047777,0
Yes,C,-87.6631574646605,E,B,A,E,127.93124458367559,C,-29.32216483916446,1
No,C,-64.76813527728596,A,A,B,C,60.564597059416,E,-75.6861323493622,1
None,E,-22.343563888739258,E,B,A,C,-86.37530593553353,E,-37.732254838452036,1
Both,C,217.0093821705486,D,B,C,A,7.896041838316273,E,35.767040986367185,0
Yes,C,-184.8810197780969,C,C,D,E,67.71035303717755,C,109.98130384110098,1
Yes,D,33.95159075524556,E,A,D,A,-77.14732149029835,E,-43.680295523434374,0
Both,C,-43.317838202110885,B,E,C,C,73.92631548808572,A,-104.75476629484373,0
Physical,C,-15.796012102889762,C,B,D,A,-226.8112659251972,D,-14.897821297207054,0
No,B,50.997563500698675,D,A,D,D,66.13328557426387,C,71.60048374601465,0
Mental,B,-50.889867347332576,D,C,D,E,-138.80252289384748,B,131.01373167689448,0
No,D,6.823971259831123,D,C,E,B,-31.215497543941932,E,-22.92831322765659,0
Physical,D,-151.64315077325935,D,E,C,B,106.17560367859957,C,-56.11173003017503,1
No,D,42.36677661422926,C,C,A,C,39.50860107681374,A,-175.38066906852418,0
No,B,206.25288388473626,B,C,C,C,-0.5528319316954416,B,-52.38665596872726,0
None,A,194.9365193150365,D,A,E,E,-20.029971808927247,A,122.1683515367836,1
Yes,C,-13.387795307947542,B,D,C,E,-108.83817109200398,A,-79.08566810819813,0
None,A,72.76927001967243,C,D,A,D,155.48461999763123,D,-167.9397351842889,1
Both,C,27.308186127562433,E,A,E,B,-317.23135261149076,C,112.51024107846972,0
None,B,26.17883841832096,D,E,D,D,-155.4149838271118,A,-145.35898474241097,1
Yes,D,-80.59997923908908,A,A,C,B,-128.76072451727904,B,-12.801321583830891,1
Mental,A,-48.51467612167646,A,A,A,E,144.63622348587063,B,-39.887182648360096,0
Yes,B,-103.43499253684504,B,A,E,C,-77.65026972060996,D,54.34210574912447,0
Both,D,48.718631104175905,A,D,B,D,38.5541767680212,B,-16.12972729432328,0
Mental,E,-113.22644714574646,C,A,A,D,26.57894072827268,D,5.622091185420691,0
None,D,-163.85824859418898,D,C,C,C,-107.91925529618256,A,81.44517251321,1
Yes,C,-39.23566257030645,D,C,C,E,35.25387040499843,C,177.98575711897954,1
Both,C,0.48222005564969256,A,A,C,D,-108.68175467623216,D,-52.287391236679646,0
No,D,-31.945104685322352,A,D,B,D,14.621324729028503,A,-223.35296869339967,0
Both,C,16.41685890701131,E,A,B,C,135.76459138485183,D,-23.35993880223805,0
Both,C,54.64044752457481,E,E,E,B,4.646385689331178,D,-12.767893234566982,0
None,B,-129.61091188517184,B,E,D,C,-77.53552908002749,B,-68.93811887479927,0
Yes,B,101.55238667969138,E,A,A,C,-137.51048543725932,B,42.09123531430747,0
Yes,D,9.107099719057238,D,D,D,A,120.78444961343,A,-86.46110786681801,1
Yes,B,-104.5907389546771,C,C,C,E,-30.731829954366596,A,-9.06754560302801,1
Both,A,-50.77910084832789,C,C,C,A,113.20789733323582,C,243.25242264074694,1
None,B,-104.18697146118183,D,B,D,D,39.540844870353524,E,9.458168131140916,0
None,A,-17.328127019532136,B,E,D,B,12.459959654278894,A,36.88167364072944,0
Mental,E,-43.1531478244821,E,E,E,D,81.08058107923097,D,-152.18227999900236,0
None,C,-26.01851064815406,E,C,D,D,16.66935199054359,A,-97.01220373512234,1
Mental,A,31.628877278675123,E,C,B,A,121.99938221229225,E,85.97121222589878,1
Both,B,-8.046468883914265,D,C,A,A,148.52899940591087,D,-22.18530821967849,1
None,E,55.52273801177721,E,B,A,A,20.993785157396648,B,67.14907378239894,1
Mental,D,156.90002010254113,E,D,B,E,147.3465196239939,E,-53.3963984541809,1
None,B,-67.1141164379334,D,D,D,E,-43.26040991462957,D,59.115148104731354,0
Both,A,-28.55942108390886,D,D,B,A,77.52407959403558,B,270.2839413403363,1
No,C,170.48928119825322,B,C,C,C,46.24984922614834,D,67.98386086725348,1
Mental,A,52.91072539188498,A,D,D,C,43.77503489508197,A,-85.7239700354784,0
Yes,C,109.06319166804272,D,C,E,C,0.41201785583155476,C,74.7461345496618,1
Both,E,-158.63339834770787,A,E,E,D,41.49856656575787,D,96.36892155719275,0
Both,A,-85.47742925814677,E,B,E,E,-39.8709872382849,E,-130.69195826487214,1
Physical,B,3.348005562305639,E,C,A,B,-48.06971353545659,B,-118.00008623043774,1
Yes,D,111.17791971211074,C,A,C,B,131.88758352278475,D,-36.837589389118676,0
Physical,D,-28.813086876803094,A,C,C,D,-136.8097697058247,A,-59.559785225737514,1
Physical,A,-135.6894998070264,D,A,E,A,61.510219119122475,E,45.51146347541915,0
Mental,A,181.4874358248822,C,A,A,A,69.72047588752397,C,15.246027754247093,1
None,B,14.308502506072369,A,E,A,E,-64.38144466882673,B,-17.175517336159878,1
None,E,-3.690943214405361,B,D,E,B,23.2121629240312,C,34.9756509088938,1
Physical,C,-73.05537928597256,E,A,B,D,-156.49044126124417,A,-71.52117732348633,0
None,C,-123.43804049278143,C,D,E,C,-96.11883069783237,B,-48.357802102735036,0
Yes,B,-24.714507354290443,B,A,D,D,62.625409950531505,C,-43.08453114670747,0
None,B,27.92470101377337,D,E,A,C,38.131085160213054,E,110.6851852921648,1
Yes,B,15.471437744655198,E,D,B,B,-139.7233633064568,B,-21.22774981235251,1
Both,C,-51.85132169483813,A,D,E,A,-185.42867689232253,D,118.12714306082164,1
Mental,C,232.61414350039166,B,B,B,C,-42.54413587181356,A,73.99155958197038,1
Both,C,-4.438981425026543,B,C,B,A,-115.14935958523742,A,-89.93491162826275,0
Mental,B,59.19104345436349,B,C,D,E,-35.620455880014575,D,-113.85456392411115,1
None,B,88.3999655125099,E,D,C,A,76.49083612619378,D,-60.82520288368778,1
None,B,-2.899078144473156,D,D,C,E,33.170781691083185,C,-38.988584264124086,1
No,A,-6.774660480517369,B,E,C,C,-62.10903226368676,B,132.63358864668325,0
None,C,-313.33303722964996,D,B,C,E,0.8078190346846875,A,-49.38775049765106,1
No,E,14.029775964757075,E,B,A,D,104.49603366579264,D,198.30541141581165,0
Mental,B,-141.72723705827568,D,A,B,D,-59.85207759604805,E,3.391900400956123,0
None,A,-150.0985952035436,A,D,D,E,46.473473332646265,D,106.28963952091866,1
Both,E,-54.414760603339914,E,E,B,B,-71.86517704603766,A,66.33802853541783,0
None,D,31.613311113883423,A,B,C,A,-76.6060043871335,A,-38.444274775556586,0
Mental,A,-53.77861228734356,E,B,A,E,3.317057392602502,B,66.41928717272444,1
Yes,A,57.343043805570325,E,D,C,A,11.126998934245309,E,-65.25033825075599,1
None,E,-66.06743510190876,C,B,E,C,83.95645394863539,B,4.96281555632083,1
No,E,-122.91334583496129,D,D,A,B,13.077009792902317,C,-92.51690827457382,0
Physical,B,-226.01305133763304,E,A,E,B,17.145589243860265,B,16.932586496931222,1
Yes,B,23.04898054915667,C,D,E,A,-189.50455954799062,D,220.1843530194477,1
Physical,B,78.52212278407697,A,D,D,E,22.32453772676494,E,-46.58215737862069,0
Physical,A,26.83050372813916,E,D,E,B,65.75869109140778,C,-116.72622090108433,0
Yes,D,-13.56062586782464,B,E,D,C,18.545530860016303,B,147.41335412568935,0
No,A,-119.046201894402,A,D,A,A,110.79106562647748,C,-159.03716421151393,1
Mental,A,113.7628062618095,E,D,D,C,87.08579280710003,C,123.48910793110855,0
Yes,A,27.32108107375143,E,D,B,C,49.582038924134935,A,-11.182583148570146,1
Mental,D,-61.12103163279651,D,E,E,A,-99.96982023360142,A,65.60859139504979,1
Physical,E,-70.13924129421292,E,E,E,B,140.2041149855276,D,-68.70394239556582,0
None,E,-46.424450356725174,C,B,D,D,-8.231757894465215,C,-133.0973465529695,1
No,D,-21.572292509219135,A,E,E,D,-24.499429508237476,C,153.64744124282103,0
Physical,A,39.702016234253136,E,E,C,B,49.75231432921641,D,-172.29727234090163,0
Both,A,217.24763665970573,C,E,A,C,-51.75901336789905,D,-88.8543403587422,0
Physical,E,51.569397259125935,A,A,E,A,86.67266580667005,B,-76.20131653720769,0
No,B,40.32145014343022,A,D,A,D,-48.48761400066414,D,-77.55261752773217,1
Both,A,53.22787570852977,E,E,A,A,96.2439578653898,D,147.3848238400289,0
Physical,D,88.6595493955827,A,C,C,C,39.97262399296005,B,-7.036364321052921,1
Both,B,-61.667561286650496,C,E,B,C,-100.36245867705138,D,-40.53915146736063,1
No,B,7.199429237903823,D,A,C,D,-41.08010877366743,A,-7.780012024579533,0
None,B,-193.29595236734042,B,A,A,D,95.95513696968024,E,-118.52430967913328,1
Mental,D,17.417033267287906,B,A,E,B,-147.72852340096466,D,-67.66044332153122,0
Yes,A,85.07240862356633,A,D,B,D,-16.434231715728632,B,-245.38233329969708,1
Yes,B,58.86249731510775,A,E,E,D,-45.593384196929925,E,-238.91832629075077,1
Both,C,-23.2357138691123,E,D,C,A,-35.45638652729175,D,-6.701420970739888,1
None,B,-33.10775495682389,E,B,D,C,38.03337229471425,B,108.37087992966019,0
Physical,C,122.1850275152946,D,A,E,E,-50.552432845818394,D,203.86575602664928,0
Both,C,28.043191940013152,C,B,B,E,-122.02803414739529,C,197.8310236035171,1
Physical,E,-69.60550451654186,B,A,C,C,-172.06981433031493,B,19.407951981670738,0
Yes,E,77.80123188238672,B,D,D,E,-32.84722895531579,C,53.391415717779914,0
Both,E,128.2436044028301,D,E,D,C,-30.09165622418938,A,-4.7113671136972135,0
Both,B,-126.55077051050074,A,A,D,E,-216.0854101234767,E,-125.01083464249962,1
Physical,B,-30.274889441769325,A,E,A,A,-96.09438148921083,B,157.30012173644593,0
Physical,B,67.19921634381708,C,C,B,B,204.8215922018214,C,27.306682449367504,0
Yes,A,-1.0458237169555205,B,B,B,A,-76.21734376199036,A,-44.37789562458117,0
Both,C,133.15329472292396,A,D,D,A,-56.82456240260787,E,-67.06815186714412,1
Mental,C,-54.90676078343174,D,C,D,E,-5.122683318056485,A,-47.27512706299194,1
No,E,11.777410909923585,C,A,A,C,66.30104963510199,B,-92.7607977252366,0
