Gender,religion,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
M,Christian,Physical,115.91923699647381,-87.94633821667907,C,53.55502657571418,230.74820715759023,-14.85581870616437,1
Female,Muslim,Mental,17.168436393534662,-150.6803729070485,E,74.75422869416516,-22.90282082567916,119.381274171798,0
Other,None,Yes,-92.42914540103033,-225.57007284708263,C,39.7602388474617,-62.434485083534874,-36.88215866955768,0
Male,Jewish,Yes,87.79361171250216,-51.84750072839799,C,-137.41502178942724,-84.36877346420974,-13.977209918678707,1
M,Christian,Physical,-22.717193914745536,146.33156053353486,B,0.3227987442167416,50.93221148884039,37.19580724193095,0
Female,Other,Physical,-34.25251768035259,101.11641445410768,B,-102.93243655372154,117.38291986779488,-27.171045310363567,0
M,Muslim,Both,-116.83322459601726,72.35988347744079,A,-60.29616147567639,61.30890380670596,-137.86248870245282,0
Other,Jewish,Physical,-109.88830370809268,-21.219683371571282,D,21.1519472767988,80.21313509488486,73.28765132540829,0
Male,Buddhist,Yes,71.0695402252819,50.572997753640905,A,77.61045556713148,-113.93094373279953,53.35626074454359,0
Female,Christian,No,-122.03399023933967,148.8982672320341,D,-18.291161365338713,2.665302585713681,52.308194433477965,1
Non-binary,Muslim,No,14.11450697954617,84.5269913681119,E,-79.69219188125535,191.63720728736132,25.023126597597674,0
Other,Jewish,No,97.21389531395428,-80.34854528979388,E,176.25095342849517,137.49385379536872,82.84273565706918,0
Non-binary,Muslim,No,-141.06075799171475,299.48997814762055,D,111.62104087922825,116.62537427962873,-80.59898220484216,0
Non-binary,Buddhist,Yes,16.398167806462382,62.25422482740236,D,-42.204013438468756,-32.56174220627658,52.780543189256946,0
Non-binary,None,Physical,15.397228550543485,-164.5285363760773,D,83.45918185874834,2.0406996860098623,-67.51408750902837,0
Female,Other,No,171.4353850690627,0.025397500655683428,E,-61.13013214995874,-185.83262840605624,-83.6559730869203,1
F,None,Yes,29.325323465461118,-175.13668064754228,A,-51.04452712031108,-30.419265534771885,11.832692608035531,1
Other,None,None,-159.29068773305784,122.28203104300431,D,169.3895432555166,-107.38950710514294,-48.96516617243946,1
Other,Hindu,Yes,70.72506208991955,35.4707922084194,A,-40.89318400354649,-105.58115501510437,22.866359446398945,0
M,Hindu,Yes,48.69587697374209,-12.724054977620252,D,75.59218268179627,97.31024506526671,-20.74445096037301,1
Other,Jewish,Yes,54.322058274884746,-51.167616970923625,A,99.96052785357115,170.4625924215181,-40.612189772500045,0
Male,None,No,-40.32491839037172,-189.89959758164014,C,35.821387864937925,-134.18040159810369,-16.996294278126673,0
Female,None,Physical,33.91615620422909,160.8414100205063,A,-94.10175708870297,-99.42548647719252,38.81419124631408,0
Female,Christian,Yes,91.21859787072516,49.511215304360746,D,-170.4221706195721,-27.804295230076026,85.79849700421859,1
F,None,Physical,-110.29356468934559,58.07832416884828,A,-122.26212008964697,-110.8624572394118,115.37368043251294,0
Female,Buddhist,Mental,18.115563233671775,5.426814609462059,E,-123.79340122727336,-13.501418126535178,253.24792723476054,0
Non-binary,Buddhist,Both,63.75976896214893,-0.03916464939516823,C,-35.81365406410153,-88.60666431772017,-14.212367082783405,1
Non-binary,Muslim,None,154.70165633457506,-237.20275284487929,B,-12.829573035255038,92.93958334714083,121.02404964627509,1
Female,Other,No,121.95538082778832,-125.07858432845423,A,39.05878109278198,-38.91319838077108,-1.7644207781706445,0
Male,None,No,-152.39403127577265,107.44674470035389,E,19.04176412355566,-105.94171938144832,-115.94045128659678,0
F,Other,No,49.350664723587734,-13.469739747628475,A,60.93477549331059,8.602475124538232,80.44482492080482,0
Female,Jewish,None,94.54146876835429,-2.306469383137537,C,50.33458547889186,-101.43619259550904,18.651996944056766,0
Other,Christian,None,21.978322232086565,101.41079564784667,E,-116.46338690830808,-37.17711024117926,126.75942164188629,0
M,Other,Yes,-58.32209416222178,-235.00293946978323,A,8.317150156202647,142.14117211973743,-211.53833564093682,1
Other,Hindu,Physical,128.3210088703337,50.50904576820439,E,169.7122427111033,38.298796013553115,-59.73096444427281,0
M,Hindu,Yes,-46.70543040694017,36.29030248168536,E,181.26043554212725,40.7618589373776,-75.1429330989263,1
Non-binary,Hindu,None,155.44050185571072,-75.18625222734023,C,-13.630081697877161,-32.16823082464968,-21.792998083829897,1
Other,Muslim,Both,-41.041966897702245,-60.74763497747221,C,-201.61655027036667,0.27468588789964166,34.34112821489555,1
Female,Other,No,-97.19652598988714,-195.84508051578226,E,-102.22753770949922,-50.12065431152972,-42.36048640817192,1
Female,None,No,-3.6733559564674647,67.74598339943691,A,24.89365106751583,51.05334214526492,-32.60013461504313,0
Other,Other,No,199.79085182567366,112.81850846161878,C,-1.9497324649535348,74.53618661437473,161.5589512810481,0
Female,Buddhist,Yes,-303.0753309491779,-131.12877533030374,E,155.60984417847925,9.865388638959882,-37.34810306497698,1
M,Hindu,Mental,28.371503373971148,-5.990623523959986,B,82.80343043578144,94.3421525904911,-26.011861480029708,1
Other,Muslim,No,-27.91468918159603,40.59630415621866,D,-42.66549538670393,-22.003844319638414,33.58519917459681,0
Other,Muslim,No,-82.29485435881891,-23.04286018853465,D,17.273768131684555,179.63970423518236,80.90386389070652,0
F,Jewish,Mental,-52.026941255497505,52.34909991224078,B,-113.29763596684124,46.26531903803988,67.65318558212053,0
M,Other,Yes,92.25877566743476,-85.58485026447714,B,-200.81703320532839,-76.41949829209874,32.16937665889682,0
Non-binary,Christian,Mental,-95.63097264990304,83.41511598845197,D,-235.49291013189824,-135.80965340059888,67.71302179783558,1
Male,Jewish,Yes,-51.94582613023753,159.5239873563998,D,41.3873880265666,50.84576939073928,-119.06383294723277,0
Other,Christian,None,162.87728818488566,50.292223038868656,D,65.84599302691977,131.6165186102271,-40.94691969768884,0
M,Buddhist,Both,87.29082041385968,-69.34088210578044,D,-178.79928171215224,14.931052058258953,148.8894551205599,1
M,Other,None,145.21343596862027,-9.282468568229067,A,-41.18071394377363,119.8892064575254,33.09474369698088,1
M,Jewish,Both,245.5437100948256,-7.3709097994497,E,8.219075069362653,1.1107804939707713,-18.946827185624397,0
F,Buddhist,None,-155.73832666727702,-167.31223859426396,E,62.50368400182587,37.89357194793253,178.1568882395628,0
F,None,Mental,-86.04532586462086,113.04947132257351,B,57.1410596246719,21.376115503143946,201.71688679233287,0
F,Christian,No,74.94838105515903,96.0594749482614,D,-136.20044628204536,-91.86167460152717,-165.74179758363644,0
Female,None,No,-49.1808728776328,-66.50498577635064,B,87.5468595054751,-67.36955760180776,-225.79603493565853,0
M,Muslim,Yes,90.69154376856159,-194.7737039217724,A,157.25840072764777,-7.877839406328681,-192.7121304486885,1
Other,Other,Both,-132.23245764560974,52.92002584023495,B,-68.81048464490154,212.02098200057532,5.398748276141144,0
F,Muslim,Physical,-44.28175740843439,-9.715854947407982,E,-74.60541375127168,9.540477196283831,230.80330532336504,1
Non-binary,Muslim,None,73.49167606067807,-88.93056434919718,C,-194.09672003019904,0.8470116542918101,-63.799624197126825,0
Male,Christian,No,-53.10612790446323,61.675207483072434,D,1.8649646157852078,227.77639790988383,-201.17622243792485,0
Other,Other,Yes,-61.06928017689094,-114.32981696620999,E,53.40292642318529,-41.061303266634425,57.27522834037922,0
F,Other,Both,-12.967666621247764,60.431463471199855,A,50.42186952860588,-45.46164400233737,79.29224895226923,0
Female,Christian,None,44.342306070577244,-79.20389401121392,C,-79.5743121128042,93.5965985638458,-48.425281731898956,0
Other,Buddhist,None,68.94051610005408,10.621153901303755,E,-98.15217426533921,-34.91113499776154,-7.4661962457313,1
Male,Muslim,Yes,-11.835630958855695,-101.88364722780712,C,94.68086072824799,-41.1824423010999,143.17809656394996,0
M,Hindu,None,41.861979376189836,8.554313146019108,D,113.34354473238564,-9.18786208904725,230.19252831487614,1
F,None,Both,-82.45542402299225,166.53602897663953,D,-114.99708602552828,-35.86189283188732,131.08268240055696,0
Other,Hindu,Both,-31.489637968503953,-29.285157671560498,D,-108.32658809759307,-36.630236698424014,-47.92095897387022,0
Other,Other,Physical,72.60400634135429,-96.14149367282675,B,37.738500858310694,128.43720651922698,-22.746267937927772,1
Other,Hindu,Both,139.8891497321573,-147.13450223056796,D,149.02321873598817,98.99108679114717,-31.859258676569336,0
Other,Muslim,None,15.79363304921497,-22.05646140261047,A,175.30874586600734,-76.17895664594724,-51.621832526159025,1
Female,Muslim,Both,48.55463388359073,42.27624365251219,C,-5.04547335364392,-28.085808305096087,122.35438861247927,0
Other,Hindu,Yes,164.6689085812982,51.26411886657141,C,0.7430877886523823,-75.63461998967367,158.94258431814455,0
Non-binary,Other,Yes,-7.855136923753212,-61.271115213325054,E,-140.26555726783164,-33.325354170428504,-39.36801258602884,0
Non-binary,Christian,No,62.17831730921453,2.821667982003337,D,112.1100502048619,83.14869185768433,-27.094021467358527,0
Female,None,Yes,-5.785432532820624,88.93522236457527,A,51.30020973821071,101.90022222035702,-37.89576922782608,0
M,Hindu,No,-161.80994284960582,-5.646802274203141,B,32.7971963390504,-97.80730146092405,10.326060112442217,0
M,Buddhist,No,34.161549215191855,-13.551887156677342,E,8.36458377500557,-10.23116781807199,90.59291061582493,1
Female,Buddhist,None,28.772670211453306,18.047694318858955,C,216.73057589513266,-71.24036905427509,61.681552568511236,1
Female,Jewish,No,-19.4604946092633,-51.482783442806735,B,127.46838518575044,-179.52339422907406,-52.90926117175396,0
Other,None,Both,31.42887157237163,18.29402743723646,D,66.23658346879715,-42.644982917419114,70.76972234330266,1
Male,Buddhist,Both,57.307163638547976,75.46232063895566,B,182.32456818657334,65.57178221624,-79.74639658854576,1
M,Buddhist,No,73.26177315563885,274.99238758352715,D,-47.7679125900855,-62.28274263833439,-74.44630631545951,0
Non-binary,Other,Both,-87.20893873572167,-106.68951076522973,D,-49.050284136019634,96.80679933190832,-89.16050490955655,1
M,Jewish,None,0.9732873876508015,-58.305716548873,D,-50.53424640652741,54.58747066236038,-68.54144783532028,1
M,None,Yes,1.9127201063681547,156.47078345910003,E,143.45337250411745,60.74215351044714,211.42251933981524,1
Non-binary,Christian,Mental,-49.72558763281661,139.36662803508634,D,9.087661183938192,51.01407710133562,68.40299742581908,0
Female,Jewish,Mental,38.61099847282172,-30.100705350968827,A,2.110410689957797,-35.16627294680125,-94.22696428649697,0
M,Jewish,Yes,-160.00382945926856,-143.23680501501593,E,109.06147519664158,-38.197344766096485,-106.58887089750549,1
M,Christian,Physical,76.79450960431926,98.98043020309133,E,-148.87088906625735,-33.39169578334489,291.301449425596,0
Other,Jewish,Mental,-1.6260835091362886,70.51632145667205,B,-5.127678717155558,46.314918900255684,-24.816599825471233,0
M,Buddhist,Yes,91.18767971798894,181.86687226975005,A,-5.3879167346279395,102.32755956220147,-33.142297818318426,0
Other,None,None,-8.016753087792862,183.66505420973076,E,31.9429453203477,-14.113239506539454,13.313329121906397,1
M,Christian,Both,9.41323525366549,95.26930199285452,C,53.05819655518812,48.94292153752445,152.87452631923458,1
Non-binary,None,Both,-82.17666404065085,198.45251952091309,E,46.483266689242946,23.161031222229816,84.54269203536019,0
F,Christian,Mental,-71.42767631015478,66.6512429517698,E,-74.98719448183878,68.95111414457475,151.71920848710818,0
M,Buddhist,None,-49.71601570262916,-115.6421352574518,D,36.93831209939654,-49.54216144795295,13.298518370032141,0
Female,Muslim,No,6.069230740829874,16.214606960875976,E,-24.768917799385655,-44.49807930836602,-33.36709764382766,1
Female,Christian,Yes,77.44653670249758,-85.61154753895775,B,40.29271386701407,83.88610441471054,-26.846006324673503,1
Non-binary,Other,Both,69.81425727896952,43.31591788104433,E,-27.03621868946431,72.22847101436977,-32.88454945551816,1
M,Muslim,None,-131.2863326235939,-105.78017738581677,C,-153.28645158268606,14.367027066623232,-102.26020337851607,1
Non-binary,Jewish,None,135.79003730512719,-26.98847767430777,B,-253.47250661460953,-186.7612814649429,46.27252453667797,0
Male,Hindu,Both,-22.139528147066507,254.70281733744332,B,132.22556864790502,-10.045692059489811,-29.535145176452023,1
Non-binary,None,Physical,60.50092723065522,101.97827043292006,A,22.140626193035562,-139.59395401310297,17.18395161965636,1
Non-binary,None,Yes,115.51445476863793,-38.76286833351399,A,-20.58149777141604,191.97647989855002,9.289981682957961,1
Male,Muslim,Mental,36.229461453409456,254.3101151178569,B,-5.325408499051776,79.62876945617026,-161.54756511234314,0
Other,Christian,None,-75.54059253964576,82.97899645973881,B,159.4037597036541,-102.2195013357198,-40.66383600455671,0
Other,Christian,Both,136.1889724279901,5.168412433437486,D,-66.06792537451315,-1.2672402701070977,67.35306339194742,0
M,None,No,0.8404529812951258,-51.381357185355924,C,-53.87778878848396,24.75774696596541,-14.526587492753473,1
Other,None,Yes,23.79892243876953,72.87815808891862,D,-21.585042775348406,67.76938359416891,53.314978310795894,1
Male,Muslim,Yes,-18.109207515291274,-25.295058590416392,C,-24.66699006723939,-79.75066963135691,-7.6331093913778085,1
Male,Christian,None,133.72879183023508,-57.155273199390614,B,61.93625916136877,83.33263705508615,-192.17595238575237,1
Other,Hindu,Both,-41.9597087993015,-30.95347834842418,E,149.0077766501855,-50.671318126184595,-24.068169253980226,0
F,Hindu,Physical,23.176979446699146,76.38289986392773,C,2.9302409311312454,153.8134462327426,137.33717105395752,1
F,Buddhist,No,70.77330096688816,217.56712770190876,D,244.6699740041777,-85.57029268533496,25.602360534911455,1
M,Muslim,Mental,-10.463437829452335,-3.512948536704326,D,44.54424547364073,-5.983226240985476,-100.73778461978765,0
F,Other,No,23.29547183617543,-133.68735991467904,C,29.168159569389296,-20.741256303424265,-42.23519677764621,1
Non-binary,Other,No,-238.55370553502743,150.77894228540453,A,-142.9757972092394,-9.247131341978148,98.29826775288932,1
Non-binary,Other,Yes,-8.647367652761922,-32.560599510440234,B,-100.4851590093723,59.66209138702904,-211.0339987372447,1
M,Jewish,Yes,-7.524524710730736,-218.0802790812038,B,-2.992224844295198,-43.15317944644642,-36.88975672106916,1
M,None,Both,65.52706816600725,198.04882546441996,E,-205.85223112531855,21.843224219995676,-193.3192117896289,1
Female,Jewish,Yes,-51.965124392067985,12.643677109395288,A,125.34908524780302,-24.61081779549239,-27.59630064901958,0
F,Christian,Both,-53.290608739555836,-11.415543576862017,A,29.22326400737978,-30.396118806146337,-164.28260545061588,1
M,Buddhist,Physical,16.663094152439044,-118.71484520538725,B,-32.47592497705051,-236.522270078348,44.86837043585185,0
Other,Jewish,Mental,22.900804878669426,60.04845649321459,A,90.71299832775071,43.99403714731496,102.59855805566163,0
Male,Other,Both,40.35371795011508,-42.1306324669697,B,8.242629793825804,16.61726557281508,-187.85144638242969,0
M,Hindu,No,33.595547620075855,-118.78919819545564,B,126.80915509681105,65.93901775003641,-77.19997789334636,1
F,Other,None,30.296121518571482,-13.70487318091888,D,109.73857599500126,-85.92748596444152,67.66343444597845,0
Other,Hindu,Mental,-120.66862688941511,-1.0090257794418394,C,17.045700072922777,-134.05395305582581,-85.8078937687022,0
M,None,Physical,61.4206133988056,-106.08269874067989,C,-80.56955017385873,68.79814938287929,99.53583974211804,1
Male,Jewish,None,171.88191876562763,-84.92552872200008,D,-257.1182605452078,-30.624979094865072,-146.52699843300968,0
M,Hindu,Mental,-93.39306025524996,38.301222196476154,D,-32.58490807239772,45.793878716216646,-100.07859667591185,0
Female,Hindu,No,233.17542402238917,72.52821597240907,D,25.873991744363057,120.37980922447204,146.28637827516192,1
Female,None,Both,77.64124991065077,13.479081694442987,E,-63.857916265680416,86.50029652483948,9.089410332961439,0
F,Jewish,Mental,56.23938268352252,-11.816182794564483,E,-71.21402057522077,4.425856103578841,92.6861851075406,1
Female,Other,Yes,-89.03872446632937,-59.24996388518689,C,76.87787594335481,-90.51487697305649,63.45005535655864,0
Female,Other,Both,72.90393908838261,92.1121227098243,B,43.01868241598123,-80.59567393959163,135.42419410355774,0
Other,Christian,No,-41.90037323088808,-51.62450961883691,B,120.2460091694789,-66.51232475672234,-51.04807714598566,0
M,Buddhist,No,53.16216742503326,19.366930880888013,E,-150.90375513995173,-31.18135871425626,75.82842599896735,0
M,Hindu,Physical,52.854176475662584,62.49558947082412,D,30.629149590183115,68.5616390704617,-20.569901684242947,0
Male,Buddhist,No,-83.3850399010545,-138.3489260032776,C,99.09589130453877,-107.13736998683225,-72.40030317281543,0
F,Hindu,None,159.66566581991782,126.19240779436869,D,-254.42708644336412,76.96642974803449,145.08323333555865,0
Non-binary,Hindu,Physical,100.49305535573887,65.25393452841912,E,-221.8203437735804,143.0465120432066,1.4485559381236093,1
F,Other,Physical,-65.37751283323611,111.54378462131527,D,-31.939324816496896,-5.210578074535925,174.46035091023643,0
F,Other,None,-125.77510762524831,-141.28447865225033,C,-124.67234188608059,-2.2515982703920896,42.63293678486673,1
Female,Hindu,None,-38.99308421637735,70.3139569532103,E,97.11522429365378,29.855779469069088,-105.33491998206183,0
M,Christian,No,212.12375498558401,12.726314005216638,A,-13.50521728463704,-26.921182789364572,90.24393063343669,0
Other,Hindu,Yes,70.26383530290128,-59.93775395445079,C,13.729403498611006,-14.774126439129583,77.19589726064443,1
Male,Jewish,Physical,35.58551523951806,-124.6574233011073,D,-56.361180980094005,92.82282223899603,-25.99630982237481,1
M,Hindu,Mental,-90.3408608566383,-19.818557834866528,E,142.79268917251324,-76.02062032874706,-87.52267507493646,1
Other,Buddhist,Yes,-53.25043319101809,103.14670258169446,D,68.79910904264067,94.3332698495398,-149.38148898061695,0
M,Jewish,Both,-184.86711004564543,72.43736865966153,B,-9.649824438318571,-222.16282715394948,339.7507159347844,0
Female,Buddhist,None,112.96101972277634,-106.20646582516675,E,-68.71032352129606,88.6253895481245,-58.1563466078983,1
Female,Hindu,Both,62.69933363230808,-127.22177062888164,D,206.0457410971162,-27.988817328485453,-19.337372557304995,1
Female,Buddhist,No,-196.3448814389306,-85.77313891000584,D,12.231965992582492,-31.80836702426103,182.87052107901587,0
Male,Muslim,Both,-13.97277910735003,-85.55246316111766,E,23.905500553422524,56.53175725734325,50.335302865438905,0
Male,Muslim,Physical,-98.62819444653894,-79.92100080003121,A,-196.7074474028254,26.50891282703635,-142.27910287585618,0
Non-binary,Other,Both,26.377117443912873,-150.30574344800937,E,79.0084227844897,134.4151905171613,-92.31324667082369,1
Non-binary,Hindu,Mental,-140.4332844507496,194.52115553302968,E,66.80254163044353,-29.035390695917094,-160.51933530459044,1
M,Other,None,-137.20446278859745,62.56606484197326,C,-116.71585968279805,68.45218071374072,-115.95784133773171,1
Non-binary,Christian,Yes,-103.3030056765817,44.608461483531364,C,-59.98020697088017,-11.666464049306242,-16.963100700062412,0
M,Muslim,Physical,171.35392291483456,-53.82366775461892,B,-179.48497187408154,-62.624472987407074,37.88518280842376,0
M,Buddhist,None,13.284301452905964,-162.8622009963717,D,-104.86272209745222,-58.00748113200851,-126.31166627166763,0
Male,Buddhist,Physical,32.59809805664803,1.5114139521715804,E,-97.51526374287528,56.42812537925486,40.82867323517464,0
Female,Christian,Both,45.95177270640472,49.407365923460084,C,194.65875980032257,164.1000812068051,45.70936133848221,0
F,Jewish,Both,65.3073789783742,30.168902361141004,B,66.35057427195358,-81.19296512563635,-72.43556930229947,0
Female,Jewish,Physical,-166.54420015988677,-49.36316074212531,A,-65.87133829954395,74.83787126222155,9.850218212587777,1
Other,Jewish,Both,160.54480397982692,129.04407166209919,C,-4.800151771177701,-111.95220683428077,-61.11694182680733,1
Female,Other,No,39.86372015634709,-104.94869206419078,B,-75.5504229974791,-116.1701180967279,-29.158360190360828,0
Non-binary,Jewish,No,-197.05672047583607,-38.972762174629224,A,122.46787995111536,-98.57775109912194,24.456495974908986,0
Male,Hindu,None,-54.221575479495186,-95.73221035758377,E,32.156853733257826,-112.71163702713105,-37.495958216568724,1
Female,None,Yes,15.506032652431523,201.23391387047042,D,91.11394508590342,-43.538068716115816,30.124543529931273,1
Other,Hindu,No,144.86087662977744,47.70668736899524,D,29.685106094735474,118.25702847384218,128.36089677252758,0
M,Hindu,Mental,-42.589773677093525,-4.257703750262375,A,192.22539377566488,117.02268976342909,-90.07032743492512,0
Other,Buddhist,None,68.81401172720814,20.62178969251865,B,-62.4714050335197,219.37167897534547,27.645184347718732,0
M,Buddhist,No,-261.17907923533534,-52.20644720408143,E,106.673705694893,33.7866749029116,63.686568615137176,0
Female,Jewish,Physical,29.44027730163603,-69.4193984894089,A,-14.926177167670795,1.2875829419823042,-265.3125552443101,0
Male,None,No,-91.98946078654971,67.28972831374152,B,-109.76019329207823,43.88221021078387,26.051892481648597,0
Male,Other,Mental,66.85829276535664,-86.40752758560862,C,-38.83736138751349,28.1342360618496,-17.87299114860992,0
F,Buddhist,Both,110.56630050425544,104.88393350822587,C,-34.00594548977073,46.037210890080225,24.108905627893204,0
M,Christian,Yes,81.74822318846014,-19.170205737748745,C,-50.434714661222,-179.7710695624685,-11.057461432542217,1
F,Jewish,No,-69.95697935479771,30.832421717277782,A,-3.2230865137733766,66.8179999799132,28.103168096154306,0
Non-binary,Christian,Both,19.79924476006775,-66.0767469818867,A,0.6797348733614115,89.70552332317814,-37.72152407576887,1
Female,Buddhist,Both,188.2691803711946,114.23609985468852,D,-5.888125295163305,-69.11091936039765,7.810223834750881,0
Female,Hindu,Physical,187.46696230822332,-1.6186933445265586,E,124.59606450275658,-115.26886132707688,14.84904886614029,0
Female,Buddhist,Physical,-55.12205708887318,56.637008911780974,A,-132.8508039860135,15.11066101310069,-194.61132823244293,0
Female,Jewish,No,-12.231018819764227,-54.58952361247085,C,56.53716526762368,190.41183730073467,112.01826635118064,0
Male,Other,Physical,-47.218906295004274,-31.55910876767961,C,-119.3700716049174,65.5469836152555,121.88700608088743,1
F,Jewish,Mental,78.38987915493391,16.656778178794145,A,-193.4242691847444,111.72499972153777,-110.18250026502103,0
M,Other,Physical,-69.91556906279344,37.73741051120787,D,203.65927391654336,39.828932854876584,-149.8986199947435,0
Male,Christian,Mental,18.788111259898802,107.40726055088578,E,141.49407919391638,7.74863587652419,-82.7537676500345,0
Other,None,No,-87.91774007300424,-71.83814285903914,B,-22.153082691998137,80.88937008821785,79.37545731310048,0
Male,Jewish,Both,-81.12976358969,277.91677371484985,B,-53.23138170711417,12.311600480063259,-24.18986618551437,1
F,Other,None,164.99360856892918,22.780461264460385,B,-52.607101934355015,-92.01980864791899,179.65021737187675,1
F,Hindu,Yes,34.787818482294014,204.98241295903082,D,100.43192742261984,-51.37961481768446,0.2763325918131883,0
F,Christian,Both,50.25486787078549,-32.80881923750088,B,-99.55736411510718,-50.43183024870086,60.240549798011436,0
Female,Muslim,Physical,-154.57099274909598,37.81132832048675,C,0.9327026442002581,20.852665191176612,-168.53408270071,0
F,Jewish,No,-34.950444213551144,15.282596660069709,E,95.54186761118764,-149.877113553276,-51.73044984668742,1
F,Christian,Mental,-146.82494935606888,67.73123875291674,E,46.43814029719052,121.36880046069128,193.4669301246231,1
Female,Hindu,Physical,-191.0934873610817,130.51649115475178,B,25.044537064486466,-34.90303285415374,-66.42127945335716,0
M,None,Mental,60.74642268200091,-32.062817916831236,E,87.09459764159246,140.9403106872602,130.28162018572525,1
F,Buddhist,No,20.082931441226016,194.24860355062646,A,-259.785475866177,29.866208006942745,105.28452483983123,1
M,Buddhist,Physical,5.456252998078721,213.96431484275215,B,26.22491602008997,-108.38061943752496,-206.7172389197315,1
Non-binary,Christian,Both,-15.769665356683335,61.58415262193223,E,-151.72602647751555,139.25824169481848,187.8979811714468,0
Male,None,No,189.96929016267381,-58.84680377040898,C,97.92144059897473,-140.64310883494133,115.289139684655,1
Male,Other,Physical,139.28738002495214,-18.819723517889006,A,-17.343984997555907,-96.876781326953,41.23678176066715,1
