SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
M,D,66.67082056333855,B,-18.06173125570476,-85.38931156282513,A,209.14427490285442,E,103.30431243560486,119.68250307897893,D,C,D,D,-85.07125681783356,75.8971921192587,-110.34285544380482,1
Other,A,139.087771112684,C,173.7254290130091,-3.209993389516569,B,-89.92726387523876,B,-55.80522912454199,-1.270794166395152,E,B,B,E,-26.368702758308626,15.416185322828344,78.68820473521598,0
M,E,-19.995892933402203,E,-181.41022348586813,0.14736417677541797,A,103.1649335735872,D,-104.23851330208063,21.81520065610265,C,E,E,E,189.06351947968164,-6.541137149671979,73.62719246314548,0
Other,B,269.0312096591255,B,-54.709410444827164,120.59095791586843,A,114.87214617499117,C,58.323416532537586,-2.970555366470303,E,B,E,B,-21.47915131106622,-24.62865881734651,212.03918277154074,0
Male,B,3.887949277299109,C,-21.597953580408603,7.6692164854127745,A,52.419141584383446,C,73.77978193826452,-96.34039528848253,B,A,A,C,37.741568290968075,-62.626469646899864,90.18086989995787,1
Non-binary,B,146.05033887937867,C,-27.58749229621012,90.3865980243143,A,160.20650211059288,B,-139.23362404227788,32.92424106837019,A,A,B,C,70.61009669437449,23.7065725978989,103.34459425392215,0
Male,A,15.137606000965182,B,-17.14380468086996,9.218332434930229,B,-149.94811538466882,A,-89.23772708154382,-259.26925488157144,B,E,B,A,-91.86295647876169,102.09233732103324,146.09572364706716,1
Other,D,-95.65615984557427,B,-285.3855253769645,-78.31446518725491,C,37.86271111086693,C,55.68200975464499,-178.20093038304455,E,B,D,C,11.96411866955742,-50.260602843017764,31.921984569995672,0
Other,E,-61.95903579581896,A,-26.372521609532424,111.1651015519113,B,-14.893115433895607,A,100.14323355640948,25.43732957118521,A,B,D,D,-148.097459257456,116.52005937411256,60.516058933244764,1
Non-binary,E,-10.484944152011826,E,112.47956125372957,-44.7861544596665,E,94.10724101781932,E,87.79703942712452,38.78369945406849,C,C,B,D,-13.363178449917376,-55.75622225918296,15.50606753176024,0
Female,A,-106.91834729194683,D,35.98942042380703,-61.28183540000435,E,57.98685846578942,A,38.012625773250456,-109.53539353626162,D,A,A,E,-5.025755137485768,-0.22734991621798697,63.265922199583734,1
Other,E,-14.447719578404191,E,-69.89837811009653,146.02566605300217,A,70.68649317191273,A,-6.923465056994706,163.1867413327452,D,A,E,D,45.751644344734956,-61.23381079312331,-0.2979988233638634,1
M,B,-183.87459504945616,C,85.75209081301561,-207.83979639452616,C,-28.967813963356537,E,-154.6498716237811,60.42874497036513,B,B,B,A,58.390784401698404,-7.315679220593667,94.18784452233466,1
F,C,-151.17700592519884,C,-92.74756940970673,6.9969937490022405,C,22.426503672068215,D,86.251740471181,-26.196357027002083,D,B,C,D,54.063290730162095,65.0428634018471,-57.02719058323865,1
M,D,49.38637207578656,A,-94.39968962800798,-127.9267367145869,E,-131.6341807906363,B,-127.82759226244534,132.63894693812833,B,A,D,A,-244.9222932964763,-31.072128599332434,43.04966757076215,1
Male,E,88.71827108538658,B,-58.00761722461563,39.12217084616888,D,149.4568070409351,C,-39.90770324875175,-4.064422842383837,A,D,B,A,-7.1731206789856214,-55.49394409616916,152.3696600899716,0
Other,D,170.5769924565305,A,133.2829632193045,23.532592686186835,B,-31.232330170819655,C,-235.19391757855357,117.80446170139136,D,A,E,C,123.0896018428578,124.3188262330743,-89.64466835271759,1
Male,E,-107.49203654261844,C,-126.32197102359135,-18.81408707435875,A,-27.86824492720914,A,22.10266802338975,102.52484411043068,E,A,C,B,-84.43800646601144,-102.899453484971,8.143327481611463,1
Male,E,-12.42769100545758,E,-105.95602839268035,-173.93528646253634,A,-167.42952624011943,B,31.012399702735806,-16.41532437296601,E,A,B,B,142.58949261607935,27.479745320041477,52.2542046986684,0
M,B,-134.5120683173963,C,-25.261674002620083,-223.20801853936695,A,-75.45812416484918,C,-14.690098066769842,150.4076581066648,A,E,B,D,-100.85388803073263,12.714924991934215,-128.5706615621916,0
Other,A,-113.51875506486363,A,120.41004580117229,134.56099052948144,C,-173.52639404036972,D,196.09711537426801,127.19400099815006,B,A,B,E,-135.98258114728947,-37.584128028835586,-67.7127876123286,1
Other,B,-139.8570951165881,A,56.72467341309766,-93.74717985264881,A,38.80103306713682,C,55.00016202852586,-26.869189952128874,B,D,D,E,94.48547584458811,74.46921930523233,4.4954131299618965,1
F,D,201.18899187496888,A,142.97741780951722,-0.004357136172833728,D,-369.6550693972192,C,-221.3514808446638,45.006946658919205,D,C,C,B,114.80870248767219,134.29602417176824,-1.8093724627438328,0
M,A,57.43872143464876,B,91.82596497810903,7.029414793546433,B,12.393992482852276,D,-85.9832538512689,35.991133859395205,A,A,E,E,-105.97084736046753,85.82108334841712,16.296448245364918,1
Non-binary,D,-3.3826199477569574,E,67.3789499887898,-5.718428335959047,D,35.76082544006554,D,20.058380877147826,-75.31492589852013,A,E,B,B,92.84168881660058,-146.1831723568447,208.01416111023997,0
Non-binary,E,5.3697408571100125,A,97.08907228155628,117.1320166968639,C,-42.32903579858846,C,127.03612503086698,13.180850004156852,D,D,E,A,16.70129479097818,62.57770032952934,147.70117924277312,1
Male,E,37.871066691413574,C,24.07611939011102,63.24991557231645,B,81.01976794961352,D,-49.38987337744684,-14.452901252956163,D,E,E,D,184.42279696807597,-4.345156769789193,-25.919553106939713,1
Other,D,131.42572300028,A,-93.6563317086395,36.4847587351414,A,-11.582360720407543,B,10.325808439281827,79.29714731133264,C,A,A,B,-16.594089012857577,163.91987153528706,-0.857677545640796,0
Other,A,129.3129570601567,D,-73.43313943850231,122.86234450470826,D,158.76497372864443,A,-137.68209982533165,-4.655863546870549,A,E,D,D,-94.80170917752274,-54.964588576971494,119.16462131456878,0
Female,E,36.55851041798371,D,13.892013234012706,-140.5253024314541,D,-20.518259019814813,D,-132.10086875489168,-105.02440657930609,E,C,E,A,130.88843738348487,-88.46516029386832,117.80200700171906,0
Female,B,-15.766724522164417,B,-91.97622821626639,103.24237240829304,A,-47.653935928902314,B,-116.16921479782883,194.23695932306566,D,D,A,A,-76.10722431659734,-8.590773569800279,-155.91722249906925,1
Other,A,-106.50637936605487,C,70.43620591998676,16.2567870659094,D,-57.71021857945707,D,-47.66569484730091,-88.52226376425732,E,B,A,D,-22.87732895342377,47.69295753340457,19.453027909671455,0
Other,C,55.309874655720314,D,-58.97333294221656,-67.79994993287026,D,-43.98874124204236,D,-100.17578217415135,-15.490307561280856,E,B,D,D,-202.35717632369608,22.688539294381137,-1.3202288969247062,1
Female,C,-24.018227327079515,B,79.87737114911118,150.89588204358697,B,164.71768873791592,B,2.5608232133550435,-73.88503718205995,B,A,B,B,-147.80396091049636,-17.608002353894804,93.01574588212571,1
Non-binary,A,-39.681828220917495,E,-19.590814118761934,86.92393448961407,D,-140.26814762776146,E,-6.419273650801966,233.85523279245396,D,C,A,D,58.632989249359404,54.978260791932584,-108.44358989376228,0
Other,B,-31.24395034797412,D,-51.03502386036949,101.26721805825014,E,-89.27556177409186,D,27.52978358173917,-40.075228506052746,C,A,A,C,-22.11947661536815,181.72537611432273,95.58065976851509,0
Other,C,138.81172782296608,C,-148.0476221611505,53.47329522522407,D,32.64151692601245,A,20.463704608361788,79.38859562957863,A,E,D,A,-205.40391680361293,-75.46258444827707,-55.68024576972752,0
Female,A,-83.4723145561889,A,71.34369127195363,-49.88428811411566,A,138.97425596381527,C,-71.20592283666002,212.92144288150655,B,C,A,C,125.98546268576737,205.70953936761697,-16.613354093058252,0
Non-binary,A,22.354262552866274,C,135.49270707049178,-72.64669715954383,C,71.35101952751117,D,18.48050595040694,-86.70214289243818,B,E,C,E,-102.3306915857767,56.37265348168832,-15.675234144495928,0
Other,E,127.32615730599343,E,-89.57198258451695,-143.06211991381377,D,-1.6424445907026894,C,238.62590993346936,17.78296685439024,C,C,B,D,-45.72649756600269,168.51881039589108,5.169699644779007,0
Non-binary,D,-214.87044975286014,A,-371.54311097332504,178.47387086719988,C,150.6782877050419,E,184.22763234919464,51.39505399604361,E,D,A,B,-62.77027302366724,77.83808436508876,-36.48226949203078,0
F,A,53.88606633814214,C,5.933467499814669,68.48025532307138,D,-45.88395027679722,A,109.61453191104667,165.29659894979062,C,B,B,D,110.31226618639963,62.589330612526325,99.17561303189373,1
Other,A,-72.8371882136687,A,-24.618114284177153,-31.756423883008484,E,71.1427891881621,C,165.86806716462078,55.10678829443233,E,B,B,C,-168.16759328286022,90.3722634408521,50.849930685323926,0
Female,C,71.90139729246079,C,15.78247112799665,18.048959991604022,C,-18.85982587422729,A,-153.19628673335015,13.68046199399459,B,D,A,D,-132.1478578969212,135.01483361522847,-45.01417963005213,0
Male,E,114.21181034191366,A,-13.202565206382205,-49.85378291427114,A,74.00062707314193,D,35.2085439188755,-30.061057164258532,B,A,E,C,-224.92628306188104,-56.49521880915095,154.9103539249647,0
M,A,44.885146551619904,E,-19.096743957617527,47.12953138075457,A,-83.8868210838545,B,-41.47418560206825,70.03336457802696,D,E,E,B,-18.75459302455643,58.040402815210136,-84.7793032837926,1
Non-binary,C,46.74593442140866,D,-191.09030314495809,72.81389886256298,A,182.96527340557464,A,164.01297189947684,-34.67003263586837,D,C,D,E,129.81522301546147,-12.518122619412745,-49.22014930303495,1
M,C,68.22930612393573,D,-65.78455123626892,-104.5182518864745,D,161.6927213129186,D,93.05553973957008,52.79775657409861,A,E,D,A,-235.93339643428183,113.46602612417979,-141.29971223889376,0
M,A,-120.09895253237796,D,20.50474320493295,222.08746699836163,B,-137.37822385394279,E,-102.30387971302197,40.40105960526505,D,A,A,B,145.10260374371657,99.85440643992634,-222.51589497318201,1
Female,B,-32.144185029885776,D,-173.08204593387495,-30.869575578975933,E,115.12334182959496,C,-85.89996004712232,-143.9245255321926,A,A,C,E,155.82698720471916,6.959775341320061,94.43414507002817,1
Non-binary,D,167.45299468514904,C,-118.7671607792848,52.21943775536373,C,-115.94112263194509,A,-15.694063988585743,-47.80536810539995,A,D,D,D,-69.46637145536701,235.33787354987618,197.06669524673006,0
Non-binary,C,-12.123001451048703,A,50.96010384836792,207.89724308286551,C,-33.25549336508828,B,-27.129330315113886,17.369350592252356,D,E,B,A,319.28573258191284,62.524304852762405,111.23847953345978,1
Female,D,2.789456162159767,E,-109.48568914139875,-136.1119586152614,E,-31.208176587118704,C,25.570807870861877,5.150580566151187,D,E,D,A,105.79344005998064,109.60811722582105,-171.334563677712,0
Non-binary,B,215.91525720762826,D,7.0132274888885275,65.44241858118525,B,134.38263663986257,B,-210.74499693426398,-14.987359052094249,B,C,A,D,36.53779396008147,209.05483077758626,65.46470598294486,1
F,C,-72.88051155947312,E,13.515117290532475,-41.537095987954864,B,-100.33281953681778,A,44.52283932918839,119.87568939480333,B,B,E,E,-132.8346337812769,-51.777344309231474,-89.06573283911881,1
Other,A,-142.90374080441924,E,30.241816065008305,51.182345100067685,E,-68.0897639095976,A,-149.19396880617373,-100.5039909807693,E,C,E,A,-37.260302493432924,81.31634577673177,55.91204735973621,0
Male,A,234.07790875990787,A,-30.064867182827122,134.61408594026264,D,120.55872607046867,A,-26.960657152339078,25.865624550177202,C,E,C,A,158.01856972886446,112.74333410546478,102.6503901452054,0
F,E,-87.77989215347021,E,-130.9313672374414,-39.02862023812661,B,-32.21532945124474,E,-67.45467252873296,-40.609357555619056,D,D,B,C,73.11962868733707,42.24516849339937,-58.705435771837685,1
M,E,-72.33380750421216,A,-121.79816728826545,54.12724406758207,C,34.32665430413252,D,168.8614690923549,-93.37450420583305,D,B,D,C,-114.74709304508622,6.330338292186057,-0.7178966889355889,1
Other,C,-33.1544852170748,A,-48.168886934683265,-93.83736615405999,B,-71.88300619450142,D,64.6085339459016,69.21486876393449,E,E,C,B,7.4499089844749085,-51.97134525496432,46.45409882684473,0
Other,B,68.26233344849432,C,37.59099816709347,24.1740734561845,C,-31.59793754864205,A,34.09683664937841,-37.48919778873455,A,E,E,B,-72.30663863487449,-27.14313147044754,-11.214893840474097,1
F,B,-16.195670777921723,C,-42.4117501728373,-14.36848528319333,B,-48.8241862378541,E,85.89315672129271,-4.183559823911381,C,B,E,A,-207.248263120185,-36.808826148833596,-27.447175570032257,1
Other,B,-31.669841126681387,C,0.33444638789398456,170.5035768241594,B,134.91356019872117,A,-14.445391121870957,114.39044969464021,E,A,B,D,-59.065305480765254,-183.3534217660353,-115.87518112961995,1
M,A,-0.4445540202573838,E,-129.40764681057394,43.79926790285671,A,34.28434314209391,A,73.60755014380562,152.04351399850796,A,D,B,D,-183.18559037750842,-108.35113375647147,200.78657462315252,1
Non-binary,B,-100.00905800436304,C,53.80038398352469,-116.29078262785433,A,192.8376873161552,B,33.63314491161358,-170.70160797773926,B,D,D,A,-0.3076559813421713,15.392593154823228,-327.83483916611954,0
Male,C,-126.35015741324791,E,160.59771428839363,52.712413146736125,E,-153.29037576062666,A,-56.60176107204137,-134.7378913726905,E,A,C,D,176.34354246283777,-8.713234936656878,53.33026478176406,1
F,B,19.304735705306545,D,74.30981838043576,40.69976614772394,B,-66.8320363932222,A,149.26059772943796,117.98573196730509,D,E,D,C,-89.90056994163983,-81.583651513509,70.36253501227806,0
Female,E,70.14756418858215,B,-79.09398837442542,22.526563827442583,D,-111.4745270555722,A,-15.829753526047833,110.12954815267868,D,C,E,B,-62.50126662138602,26.16136601196719,217.3911502831806,1
Male,A,100.8855806484647,A,-165.06711460454858,38.85390327458645,B,17.522604795761428,C,-59.604663526121456,13.42766608144417,C,B,E,C,-25.765387815293323,95.74355878009823,-62.24427898391398,0
Other,E,-49.90635472762933,D,3.0828954324950555,-87.26724024579536,A,-192.6355026601886,C,-17.16283695657603,-8.410226527004001,D,D,D,B,73.13403937156654,-28.376119579288627,5.564069463047868,0
Female,B,103.6823045699195,C,5.865907132659218,-50.280575047940005,D,-98.00821541625035,C,-151.24432337256513,135.3401146391928,E,B,C,C,93.32033643414434,-57.98293402049375,110.08455625338145,1
F,E,-10.913217639401102,E,29.303816066988276,-98.60333160241919,C,-139.28585061300694,E,5.206371553274995,-19.184986194481432,D,E,B,E,53.543368676424016,95.60700162931109,123.67597658316214,0
Other,A,-31.430593620391157,A,91.79543504303105,-44.315120865913975,D,-279.603302342772,B,-1.1417337000596735,174.33560946030087,A,C,E,E,-26.563314730503972,-106.47546833095049,87.02450384513914,0
M,D,96.20269680713514,A,-224.1855596736504,-17.909390526668332,C,0.3496956510556316,D,-41.912726682173854,-131.83392395095132,E,D,C,A,-120.75176505368572,-110.47389123940037,24.487383978990778,0
Other,B,181.91524609931577,B,-41.27049020397269,135.91221060590263,E,9.729312904991954,D,-162.9064377772284,-133.62267312912647,E,A,B,C,71.4732484754675,-63.75399070184403,16.631322269831195,0
M,D,101.9838050877142,E,25.709030850875735,-92.75547535103009,A,-74.76865223583363,E,-41.45381144622969,-8.496261550212811,D,E,D,A,143.55163431951343,-53.57306925349269,17.527821529830366,0
F,E,37.86706884833738,B,-157.73682457866477,141.39617565293153,B,67.72092044977612,B,112.66094223713523,-136.86797226584216,B,A,B,C,74.86798500602785,74.03057137962743,14.94907656896049,1
Male,D,-7.439160925101862,E,73.84938678818976,-28.359471726636325,D,-27.423255206239855,A,-105.91347546601997,-40.852654609894415,E,D,C,A,95.15512634892505,-62.409899428357605,-61.58907807284789,1
Male,E,-163.03204378138238,B,-65.60353067041446,-79.75498159976064,C,4.5972487762629095,A,2.283162184207301,28.757003679782763,B,C,C,C,-97.68879766968175,-157.32863987445234,-12.176205257150825,0
F,C,39.91867801033783,A,1.9698148732754515,25.781881734245086,C,-175.06824492887188,E,56.631085363740915,-58.8534823332705,E,C,A,A,-69.58269719655092,-21.94449451141906,95.59470746454072,0
F,B,118.65022004917986,C,27.59837929875408,83.71388262431111,D,97.6629181415314,A,-15.436466724565523,110.20238491583999,D,C,A,B,-81.6612596744673,7.032701625222905,-33.233834125599884,1
Male,B,58.31857299393028,B,-148.17669337376626,123.77453428874439,D,124.72950298483995,E,62.40433551820874,-8.582541572044626,A,B,E,A,-165.41244375961932,-113.8449878499211,-55.16131009818507,1
F,B,-81.13741276844809,C,-152.9131786257422,-48.79920169853398,C,13.12580282461865,E,-192.74795677103523,96.54215545527416,E,C,E,B,-168.6605323716853,-39.074443556189834,-91.73768508557892,0
Female,C,37.91784200700704,B,4.378626781461092,-79.94443617183647,B,119.28571014988864,C,-47.75425700682508,-121.70282694104459,D,A,A,E,-69.92706108040751,-119.30974738612079,27.15078044820669,1
Non-binary,C,9.36485697006344,A,57.780122046172764,70.03226973903296,E,99.11915887501935,D,109.32348385636404,119.58407155735009,A,B,B,E,-11.225504667460676,60.2805858539443,-58.51163510504014,0
F,D,-265.5662002543903,C,47.090391954182735,72.06522012372643,B,134.80759891966292,E,-4.555983790926502,10.350856842133812,D,D,C,D,-160.91705727818677,89.13733980367488,103.41137170825687,0
Non-binary,A,-20.96079838441636,C,18.37882701197741,-30.415993960808475,D,-67.57399060689026,D,119.72194674370459,-95.0194323766589,E,C,E,D,-95.05187446188889,3.7776150808198903,-71.38320093700676,1
M,A,137.7657123349156,D,-13.974627251447732,88.94307710585522,E,-17.582873389355335,C,153.3409359168558,-22.939205324526775,C,B,D,B,62.043125668240066,-84.48584164767409,-227.621762200952,0
F,A,21.564450922865042,E,157.2348444376968,5.280305642360468,A,163.7453540648408,C,-114.38604595793926,-37.66352254272021,E,B,B,B,-45.317037131611244,-56.3777360859028,-83.8807303033031,1
F,B,-53.71403156450163,E,-45.81225761456251,15.163562291883443,E,-89.09700748977116,D,31.946944659195154,-225.65324113297902,D,A,D,E,68.01046114316001,-97.76676560556665,41.814382872362415,1
Other,A,-36.6585480783816,E,-102.94554851667468,160.76258793762244,B,-103.11889147309805,C,-74.47439235679278,58.32985122342045,B,B,A,B,154.24019921387767,-80.753701563713,37.514433849138825,0
Other,A,1.9860547796229748,B,131.59378264634654,-23.80168875200677,C,45.947043434155205,B,-24.52543096320918,211.21245040527884,C,B,E,C,-120.75780409716597,-32.955557886714246,32.672747921576764,0
Other,B,-124.85211558046913,B,128.4483057460168,-5.557216516421141,C,-20.004946595282444,D,168.38831235237143,-110.73144439700351,D,A,D,B,193.17291568977325,13.751887246166126,75.87655094571723,0
F,E,-38.6001370926126,D,20.926863028195992,-56.794497185752846,A,92.53387423470653,D,124.4081911821913,14.207756585984594,B,A,B,D,-9.507785054759447,25.458036660770254,80.1962802702936,0
F,D,154.17979775376415,E,-49.00606612370479,155.84739024401085,E,-73.0293701071431,D,38.54106705162923,-75.45578722335232,A,A,E,C,-24.88824080601496,32.955434525742504,90.82008791275003,0
Male,D,-152.4333553433023,B,116.85458249693521,-174.20413041667845,A,20.946947928470603,E,21.143535222859512,58.89062374871044,E,B,B,E,-148.97314384719118,-49.583536483202614,-35.181986290027,0
Male,B,-25.131801650103867,B,-22.358728013727998,142.43732351078475,A,39.98737702919185,D,9.719529539647736,-54.67974614091089,D,D,B,E,8.125664196222397,25.721308702794747,-149.55085397410647,1
Non-binary,E,54.01436506981889,D,-101.27128468949904,15.374783067334338,C,-59.96284562342177,B,-23.992762074952363,52.10645248222456,A,A,D,B,-45.918969907075095,-96.66855526423164,-11.48567780203109,0
M,B,-36.77249778122361,E,184.85887890020737,24.677895923600587,B,-82.20636785409981,D,86.10939694579258,-53.67767262929672,C,A,E,D,-151.4405741373664,-14.328844541328598,47.91781451588682,1
Female,D,-20.068962593860043,B,90.4668120996013,32.88822247697939,E,22.00805694447785,B,-72.78657690940233,-205.0470097685159,C,D,E,B,28.634993965791317,152.24397174432633,45.61081629305663,0
Non-binary,C,-221.8249352881132,E,-106.49141380796794,107.59517568500192,C,-57.95553676011493,D,-99.56062378883163,-152.28910921663913,C,E,B,E,87.68891157488945,130.1255038439087,127.08066884134514,1
Non-binary,A,-321.89852592955833,A,-46.81212611620484,-23.51360428273271,E,-72.96088208849997,A,152.32284235216963,-110.33115224221063,A,B,D,B,-37.37409249395226,18.509699535711967,97.68618576147577,0
Other,A,275.66884893073086,B,-152.37948920149978,-52.4658818698861,C,-55.17909409383176,A,-111.09676387201905,-50.774697855607464,D,C,C,C,-16.755840485915677,-99.29909974090062,62.53330724141259,0
F,E,62.795432403858655,B,211.68516322875405,145.74329874241428,C,-98.21579693140808,D,-153.6871305250242,-12.085907986394046,C,E,B,D,-95.77697038704456,-70.05580885619264,73.07348431094367,1
M,B,29.13559401131177,A,-17.31124921097592,-142.7466572594154,D,231.37580916331677,A,58.58496579132587,113.1480408661267,D,C,A,C,126.36177966669639,-68.52815964991345,-86.08668548354864,1
Male,D,-178.25258149029986,D,59.827712185404046,4.765607434326023,E,68.55421184341752,E,-117.06320712230354,-49.629199084414786,D,B,A,B,82.90254882341874,42.587389227707085,18.78106956168287,0
Male,D,-78.15080515607102,E,-1.0135940988989,87.99375797301117,A,-51.675040775469824,E,-19.763346027513492,-131.6979713828025,B,A,B,B,-39.49454046140804,-187.52941739015972,27.345281235693307,0
F,E,-49.19491884815363,C,35.846180328796045,53.75982798671799,C,57.90556396318528,C,1.2902514777757406,-102.02109495957423,C,E,B,B,62.30394371936136,-7.182843359544535,28.31765568843212,1
M,A,169.61049488225385,C,37.79794467770567,49.49767774371406,D,51.023387976000514,D,21.065164655471804,115.52705720335683,C,B,B,B,16.69127471379495,-71.4113081920705,-3.527281220631377,0
Other,D,72.40587981304424,E,-77.59146300021817,74.78794790088227,B,63.693267896829944,B,79.1146662388604,12.661081877214354,C,B,C,C,-113.95439141778567,180.28052049098508,44.9539387845204,1
F,B,-74.18869259950985,B,-47.066668640983835,-19.22162561634568,D,-10.487043608777093,D,164.07767861830894,51.23437075120977,D,C,B,E,-18.876441894464094,31.943499982133343,-46.533136941630595,1
M,C,55.1874244880012,A,73.29262039694423,128.08399854042025,E,111.01169157404871,C,-51.72992624326306,-13.078389411618952,B,B,A,E,-148.6317402149647,-20.730017324875888,86.0848273805079,0
Male,E,126.18650789664514,C,2.943520137012199,18.023113368856837,D,-254.89660326095736,C,-97.93836841189145,-39.516551387052765,E,E,E,E,-149.83344818248779,-154.78467914774953,-126.72994714682531,0
Other,C,-103.20498517903161,E,69.79768291782615,53.59661720274605,A,155.9123992676406,C,158.32225028589394,-177.36421975616048,D,E,C,B,36.25235356019223,50.50879021173974,118.14623418628042,1
Male,B,62.41409262840683,B,-18.03368704126064,-31.276158117177992,D,-96.3470477583076,C,154.92174291696966,-19.406034540646868,C,D,E,A,-53.39461581748493,-81.1776004547988,-49.78452473749604,0
M,A,77.61956619963156,A,-36.083384878351104,-187.7289784047623,C,20.12218968154727,A,-162.69033093440692,9.172568462988279,D,A,E,E,37.66193648417119,33.57366794688226,1.0299626482025945,1
Female,E,-103.20803404134809,A,58.180029769049455,-58.444613022611414,E,155.44753009493013,D,25.200517443038876,-174.90369218938238,E,B,B,B,27.73028709990499,-58.257499822007766,-33.890500612274444,0
Non-binary,A,64.01778941640596,D,-1.4444275608748094,-45.81431784159946,D,33.09298032855506,B,-40.430077377109654,-28.254780016079405,B,A,D,E,258.98502401762767,-22.712536213088203,221.9931575420407,0
Non-binary,B,-97.88528392104271,D,-107.19688876819961,159.2887641044096,D,-100.9721705722048,B,191.4424294914201,99.09743663156365,D,C,A,D,6.920225627739844,80.29866462725471,58.82546793435821,0
F,D,169.97729197655096,C,249.32335477233508,42.79102963003221,C,50.45251340420671,E,51.540550507162855,2.3771142349901493,B,B,C,B,-2.3925099371570324,48.1636433324129,-7.6283945161581945,1
M,E,66.51698470323235,D,-39.003657459631384,16.29004574955554,E,111.92548408239904,E,-107.50556526068966,-136.39134940323117,E,E,E,D,-9.589385372778356,42.30409020593539,-43.21143462011753,0
Female,E,145.45895708731052,A,-87.64529349246529,-104.17237284435798,D,4.732474026464964,C,-206.4353319625297,42.43412088741213,E,E,E,B,-30.487707762904364,-161.61871064903568,74.45492936821553,1
F,E,100.49583998405689,E,-42.11798314033319,-73.94593489619652,E,53.2592947152601,E,-202.70803852241553,-158.60051119133362,E,C,E,E,-87.62719937894992,199.5771509904984,48.26569297183726,0
