genero,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Non-binary,Divorced,None,A,-65.82427560323565,C,C,-38.61129596891494,36.89955798397891,192.54618083715883,D,C,-38.73648146667496,-113.45397421636987,B,A,D,-51.07568023790128,A,-34.28387383724125,0
Non-binary,Divorced,Both,A,-62.59770304669193,A,D,-41.779418449035276,-30.63261039363446,-154.01332144068897,C,A,158.8518021531225,-105.24432673174178,A,E,D,-97.00670189828483,B,30.833010688199895,1
M,Divorced,Yes,A,29.85332391776725,D,A,-31.62635212442334,-17.857558835011993,-183.9793253399779,C,E,19.812898612886713,-9.822869622499937,D,E,E,-56.081082550639735,C,-74.95051488472183,1
Other,Divorced,No,C,-36.667432827901074,D,B,-213.88510543197344,162.6895879790207,67.22969211462431,D,D,2.0499141350229952,174.09055023035776,A,A,A,-21.025537732191292,E,-94.05256478685547,1
Female,Widowed,Physical,B,-80.94566230031896,C,D,-29.917921912139562,12.547650993319387,141.11991056424446,B,E,100.55175857455004,-51.15051663443769,D,B,B,-9.511100354116184,E,95.10388430987314,1
Male,Divorced,Mental,E,141.69944898236636,C,E,-104.42709517832769,-151.8880085011903,-13.356849377660595,D,A,-24.56380370119,91.21707742239036,B,B,A,73.3337006396183,B,99.13907358253684,1
Other,Single,None,E,-82.00923836645805,A,C,-10.560900450872621,-55.33529840721285,-97.25563093417308,A,B,-30.816048174763832,193.59172768312908,D,E,C,70.9360313722355,A,-275.82482858583467,0
Male,Divorced,Yes,B,-40.20517253194157,E,A,123.41026909122932,-45.669908667165615,104.67734252716147,A,D,-82.22031587351704,-30.906390961430514,B,B,A,106.49057737234612,D,41.89478909100836,0
Female,Married,Yes,C,134.07095327014764,C,E,142.22209657232588,14.22392562848292,19.119690059570495,B,A,21.621283643845484,48.74326436557268,E,A,E,56.61096547620327,E,-52.168011967342586,0
F,Single,Physical,C,-37.3040899359525,D,A,19.999973295081016,36.573028225495555,-23.71849553367249,B,E,-5.170747679940029,-135.66703630749996,E,B,E,-58.652444497163124,A,125.97273570686602,0
M,Married,Mental,A,33.63481217423088,C,E,14.425497581006608,21.69075142498082,-21.052873098484454,C,C,-210.7810766005082,-96.7731765334575,E,B,A,181.84419131887023,A,41.49094909607719,0
Female,Widowed,Both,C,9.759715030816613,D,A,11.06837714439579,114.22971180193258,136.15899890409747,B,D,-30.368585472216548,-124.5878400649271,D,A,E,-87.64024618871589,C,-155.41079071016773,0
Male,Married,No,E,103.04802443130257,D,D,-66.90120580734819,-2.372599385558183,-121.45551253990614,A,D,159.72089178780283,-18.46286241524659,E,D,C,-60.64388062187479,C,125.17559224714051,1
F,Married,No,D,98.30308301930015,D,D,-75.09566145064773,-94.0932439366725,172.69736773097247,D,B,52.19070119919302,170.15544913857815,D,A,A,20.025085042871503,C,105.18834134768188,0
Female,Single,None,E,-7.0576852078666565,B,E,111.87083439093361,-30.080559075867896,136.34599665563658,C,A,-68.61925549741899,-25.740639984339087,A,E,B,-172.9430337463197,A,12.14510630757902,0
Other,Widowed,None,C,-83.49099432171879,D,C,195.00812800181257,6.267309580517753,-114.66769776840115,C,D,-131.37638031459952,-17.4690003884914,D,B,C,56.868686822491696,B,-40.52924158593255,0
Male,Divorced,Physical,A,7.771888026865156,A,D,-50.325826914445706,-49.727572744565016,20.753794790880626,C,E,11.296701377108484,94.69885592741598,A,C,D,-42.69370499321865,A,120.67738060666187,1
Other,Married,Yes,E,140.73191011896196,D,D,182.48456558698638,123.28083061472717,38.22782345421597,A,B,-217.79014634620418,-297.65747384388953,B,D,A,134.11364853592704,D,91.81526807227385,0
Non-binary,Single,Both,E,-54.575574015537086,B,B,-70.96043935627407,-80.08174845155219,197.6084286999094,C,B,-75.4463737718548,-57.13421993433903,B,D,D,-153.6774867248879,D,-166.6277141395676,1
Other,Single,None,B,20.050117663477078,E,A,-97.09513832805321,-38.35139962616232,15.442959540508669,C,A,91.50081964435064,78.81738317411697,A,C,B,-44.85744968445574,C,-71.96221529028854,0
F,Married,Both,A,57.21241481669782,D,D,-151.30464108074554,-58.877786337352376,96.05409234132698,C,E,322.1402401487866,148.4568000637861,D,B,A,-47.77190880239996,B,-19.72678816875382,0
Female,Divorced,Both,D,-4.523480790659446,C,B,162.66092075917544,-67.49604515022895,-4.274067848517426,A,E,-95.19845491843002,36.749733515832006,E,A,E,-156.24840984911674,E,-184.82835358469248,1
Non-binary,Single,None,E,-106.20854272704796,B,C,94.63821791552533,-117.38910495533695,157.23848349496268,B,B,49.22126636094406,32.00918324307504,E,E,B,128.45306793221042,D,-68.81681604374333,0
Other,Widowed,No,B,-20.523820301308096,B,C,125.4556866855375,53.0579263480414,-43.996203444161104,C,E,155.3682879402899,46.057945601426674,D,C,E,-80.04824126075047,D,-39.43314387270313,0
Non-binary,Married,Both,D,-137.4773609263223,B,C,98.00147690360176,-55.28768475695786,71.0616196639092,B,D,175.6846932201007,112.9082687579935,C,D,C,61.85680447899195,C,7.1452112889105,1
Non-binary,Divorced,None,B,-111.42617856753887,A,E,43.65767368290704,6.7073424650996545,-1.7588653834413652,C,B,153.49773649485851,129.2603235885218,C,A,D,38.7768491407744,B,-170.28185308117907,0
Male,Married,No,B,-192.20129742274594,A,C,-108.49959608520616,-48.29348059538928,-0.3806672247925581,E,A,176.71871849811137,47.44032678365624,C,B,C,-18.910020268660872,D,-190.43750000307105,0
Male,Single,No,D,-73.83456381499431,B,B,83.50496635329671,95.38227211776837,181.66696524406626,B,D,-32.84239143510768,-28.325384053117826,C,B,D,-21.751311476410777,B,23.775908399358585,1
Female,Divorced,Both,B,-86.27159950684177,D,B,113.03919591793408,-66.51840649387088,73.61472728660002,E,E,-46.14235397702256,7.622539594575948,B,C,C,398.9334890502709,A,-26.302289091252312,1
Other,Widowed,Both,A,-159.13395115452545,D,B,-14.285244128780464,6.646341564240196,-88.49132553260677,A,D,-93.58259027507508,-244.5614901082902,E,A,B,183.8765968510424,C,-87.75998929730412,1
Male,Single,None,D,-91.29413233822774,E,B,29.674623748047924,-97.69263053847948,109.79977332470756,C,D,48.50686201970087,-25.80548757176188,A,D,B,-19.8162917239572,C,-186.79455704021888,1
Other,Widowed,No,A,29.990704756620723,D,A,-140.15874964862388,-107.01542492969165,55.19925939710296,E,E,-1.2967495508293256,-78.672169381672,B,B,D,104.94795620285613,C,-54.809084007726504,0
M,Widowed,None,C,14.36583491099106,C,B,-33.865524399139474,-153.01856813738473,63.85646898437572,A,D,-58.658098533276146,106.74152044447676,D,A,D,141.23661534254555,B,81.67470813627557,0
M,Divorced,No,D,54.17061846138095,C,C,-110.4081661016587,116.65854401156199,-58.52223174626767,C,C,30.687749308377548,0.5160754725955294,C,C,E,-99.11397701685739,E,-45.123841093307036,0
Other,Widowed,Yes,A,129.03195003757938,E,E,174.4873905931181,32.88479488017537,-115.94657220463267,A,B,35.980717652027245,-133.68012591091323,E,D,B,182.42040465729502,B,-11.25416745065772,0
Female,Divorced,Yes,E,38.627537086004544,C,A,24.581543827504486,117.42420392829752,127.28989037230124,D,B,-52.09682820691136,-31.166075981430048,D,D,B,-33.96807465444127,A,112.96489420969951,0
M,Divorced,Physical,A,-0.5839223883458599,D,E,-83.22844072504273,-38.84471062148439,-117.46634277726862,B,D,-17.90069905356298,-124.89720294200552,B,D,C,109.09727083833485,C,78.94386956940707,0
F,Widowed,No,E,-90.05167847521544,B,A,-82.3564834084337,-84.23315483288644,2.832736193934755,B,A,0.6004890194492382,-68.04007558878958,B,B,E,60.52065860191508,D,-105.74972085030761,0
Non-binary,Married,None,A,40.66607990841333,A,D,31.636935523796033,34.51771758604897,31.557505256728653,B,A,51.057243741399894,182.95488316879334,E,C,E,29.79414092634856,D,-186.87828992271955,0
Other,Single,Physical,E,72.77647987489178,A,A,-100.02364857076896,38.60952217533523,46.67233141212466,A,A,245.95778227570273,-29.876672197293008,B,E,A,-30.991981603478752,E,-37.66901313489815,1
F,Married,Yes,E,-22.57828823768898,B,E,-73.78272202292585,-149.1934455470234,68.96997710667144,C,E,38.93792242935518,42.31787915897024,B,E,E,39.85462237515537,D,-58.54984768886088,0
Non-binary,Divorced,Both,A,-128.5590300481056,C,E,-157.0040619304017,101.27616053768378,-119.1437324887232,C,D,125.37901583258555,-244.6286460689822,D,A,A,97.60678861422424,C,116.72288635873191,1
Other,Married,None,C,-69.19943114619862,B,D,-132.17815702716237,-59.78587059225817,-104.07320371258272,D,E,-17.149791060859524,-28.45464598048447,E,E,A,111.91771568854863,E,13.081622909763563,1
Non-binary,Married,None,D,14.216701936435797,D,E,37.06482764601073,99.10785712308459,2.692547115360804,E,B,227.65758321627527,143.32208465876153,A,E,C,-30.810453327712267,E,42.24344103669311,1
Female,Married,No,A,43.98599297403517,E,C,47.759383875253356,138.03848241438962,-40.93752398533848,D,A,30.82047422483589,-38.618637919528354,A,C,D,51.646863073166884,E,26.36004902634989,1
Non-binary,Divorced,No,E,-71.70056525908144,B,C,155.60204904961182,123.17978561109595,79.48376693666684,E,D,207.67537290200363,-29.700371648893913,B,C,D,53.835858718775434,D,126.85168130480055,0
Male,Divorced,No,A,-97.41994013178325,A,A,-16.791541999082646,25.832816211734507,147.5228563590985,E,E,65.28338362539998,75.45212461506554,C,E,C,86.41941741797837,B,-21.64252914577515,1
Female,Divorced,Physical,B,-28.460763592504367,A,C,-90.58023150479781,89.90202609283742,-96.37856681456272,A,A,-105.62767701785292,132.26689850974935,B,E,C,-36.111814082392044,B,275.66079845709135,0
Other,Married,Mental,E,121.70971499049766,D,A,-16.75561540583929,232.85234282238622,26.283868439234414,E,E,118.0330389181854,21.775110214333377,D,A,A,103.65966752456816,A,-131.55473550540512,0
F,Divorced,No,D,-60.037687827860466,E,E,-132.8033709406362,102.83019793364461,84.43881801107513,A,D,31.353438662924017,-80.38643227965198,B,B,E,-4.760261700271856,A,72.58292413739764,0
Non-binary,Divorced,None,B,-71.01400894442489,D,E,95.44051042454541,113.70287841712117,236.19270691274562,E,B,137.96491281549078,47.15236519642842,A,D,D,-54.67826907321731,B,16.952541121152905,0
M,Divorced,Physical,D,-28.87630310694262,E,A,47.798979212722756,89.69340696761466,36.80750783227123,D,E,68.03854270420419,-69.06467901082435,E,D,C,-59.63334754887004,B,94.6353222603891,1
Female,Married,No,E,-39.18564610738029,D,A,-20.48044264758902,-89.2800083267923,-56.68937193803368,D,D,-160.11113856561855,87.03780074636954,C,A,E,53.568541572594576,B,-193.4345574138745,0
Non-binary,Widowed,Mental,C,-13.142039338660652,C,C,16.915143521956775,-167.3497161857079,3.8991341159174637,D,B,187.51240739627985,-22.838668154713453,A,E,D,-22.571585655883087,E,-43.407360474993716,1
F,Divorced,Yes,D,176.14224861705026,B,A,14.074633516842376,129.8874539188593,-20.43762890057045,C,B,-133.9632527323368,15.83124436148163,D,B,D,2.7151902942979094,D,-49.80744119923285,0
Male,Married,None,D,50.209878147403174,B,B,-14.282080162930955,-345.11589282902275,-145.65137718450947,D,E,49.764542275540954,-71.10730683663958,C,C,D,76.01718565175459,E,85.7902245418822,1
Other,Divorced,Mental,D,128.8890538362068,C,A,-21.241196528143185,-38.59679265801842,-18.39332547676416,A,E,-47.91431200062494,98.35258984346761,D,D,B,177.09860611028262,C,-67.76323662463926,1
Male,Divorced,Mental,C,131.1379655525022,C,A,46.2576624464896,-24.004129589780696,-8.160388258230492,B,A,175.8666807131877,110.39617896384675,C,C,C,-13.020314659617252,E,66.73352266108252,0
M,Single,No,A,213.08884023821264,D,D,9.040840459245784,49.13859861437611,38.115839922648036,D,C,-71.08436006000225,-30.91948167585497,C,A,C,-26.16046178880453,B,58.25887701822532,1
Female,Married,Both,C,75.29132588845412,A,D,-185.34449695292074,-91.88423096157541,18.552257997433905,E,E,-138.27634539521134,84.26443575486192,B,D,D,229.1432842664546,A,71.63135161502417,1
F,Widowed,Yes,A,37.9564602883889,B,B,61.82664341007128,-110.71523027922008,90.42020171074861,E,B,105.54837680758725,-202.623630109747,E,A,B,40.22737974296541,D,76.41087969010282,1
Female,Married,None,D,-113.37919889072381,A,B,100.91337062597725,75.98797541830429,5.494227120430157,B,D,-4.323743254867642,-119.24746178321253,A,B,E,-7.323500536737364,D,-39.18997576368965,1
F,Divorced,Yes,A,63.788392191554145,A,C,-183.3199048379393,68.95439505678372,32.93107556352822,C,B,-135.48508817359834,-16.90162318298432,E,C,B,95.37012866269993,B,38.84696556856815,0
F,Divorced,Physical,D,-129.43795358796757,C,C,179.89458144743278,-7.347666065770516,65.47714160179048,B,A,37.90266139356138,31.194655369282536,C,B,B,102.87970541707976,C,-66.91393482058167,1
Female,Widowed,No,E,-81.45960928754074,B,B,54.43535486314852,-157.30155496018008,-40.17717423096225,E,D,25.59043812498338,-101.674898270237,E,A,E,41.90570829945855,D,81.71701614699509,0
Non-binary,Married,No,A,172.91954509152046,D,A,3.4426391680838573,-83.46115312286103,-132.2437968149477,C,C,49.48236105112258,21.641554154094177,E,C,C,13.32975738600983,A,7.266296869078806,1
Other,Married,Yes,C,43.86913266433501,E,C,-90.74166415540593,18.834614421266572,134.37515432121282,C,D,14.02137598216891,-42.25475574730198,C,A,A,-145.96960257929385,A,-189.1460212819554,0
Male,Widowed,Mental,A,49.79282060793152,C,A,136.2805770561175,-68.62294165368695,33.635284371839965,D,B,223.25948521571362,189.23285468667135,E,D,C,36.1264835827813,D,34.287022141291516,0
Non-binary,Single,Both,E,-188.003979075945,B,B,24.09389253635577,91.40395630733846,114.7376721962036,C,D,59.22181061993241,144.48125468104354,C,D,E,-37.05519269983337,B,20.437361149223516,1
M,Married,None,E,-19.01630938029696,B,A,55.722177549040055,145.09803406142916,103.11637992306682,C,D,-184.84989363500753,-12.81717611430083,D,A,D,60.05810048739293,C,-19.309790926459296,0
Male,Widowed,No,E,20.51066652260916,D,A,-102.09201554856982,-87.09670064340948,45.78679508747223,A,A,170.99573361536332,-5.742933361585215,C,C,C,106.71475723595852,D,121.8698588707777,1
Non-binary,Single,Both,A,71.66675016679244,B,B,137.1538818141961,-59.938627773970886,61.57390845026076,E,C,-163.36968331740573,-18.68370634055542,E,C,C,-91.46906341386399,D,27.295350118670914,1
Female,Widowed,Yes,D,10.34578853920587,E,B,57.39893598891055,-34.80596171396284,-61.686260841466236,D,B,-3.678143191204107,101.31415179053846,E,A,E,174.2772706976345,B,-97.48981560440203,1
F,Single,None,E,-104.98952177436756,C,E,56.96993879257977,-106.94504792538935,-32.53776547403622,B,C,174.80790185826095,18.756960631042865,C,D,E,62.73734278410432,B,-93.25493437088188,1
M,Single,Mental,A,27.983434093978737,D,D,7.257023940403336,129.25952109760527,107.62071687143602,E,C,-181.97858366659122,-38.9207291469105,E,B,B,-4.793744876486456,A,-58.362849363417894,0
M,Single,Physical,C,82.91572143060212,C,A,-2.5914900357886403,32.08923259959966,-283.43415417541064,C,D,118.49152240711251,47.50982642922927,B,E,A,-4.978063664954986,E,-151.49801824340884,0
M,Widowed,Yes,B,-168.0452648382113,B,C,12.922828631097344,-21.106112435135817,-14.13924595654115,A,C,58.96385508860256,99.38449273669994,A,A,D,-6.502016167512642,B,-16.986448083226108,1
Female,Divorced,Yes,E,-97.30299523784693,D,E,80.56587845913788,47.20715156281377,-28.842752940585587,C,A,80.17300833153442,9.447699327335515,A,E,E,45.06886007728285,B,30.154040502813302,1
M,Married,No,B,-15.30463392376923,A,A,-8.69314789763763,-74.10086814113868,-44.96003848034321,E,E,-102.3032769561218,-50.90184499298629,B,E,D,122.98112297519933,D,-91.29465933816654,0
M,Single,Both,E,-0.32320470050441724,C,A,196.1406492496002,-23.065122519146332,136.89933709658786,E,D,47.30401477054428,87.42293105218764,C,C,B,-105.757860460229,B,-21.43596643971766,0
M,Widowed,Yes,A,102.93631838909441,A,D,30.50700787581181,78.52299860038978,68.2568893603836,D,E,9.734309399622564,-59.31441926640301,B,E,C,104.84596343534194,B,-72.06062731314398,0
Female,Divorced,Yes,D,126.80978942900447,E,C,69.91318021995998,-107.15307767566931,-106.23857846362263,D,E,-124.79729121426011,17.184365721299542,D,E,C,19.773627675817956,D,82.13070072693782,1
M,Married,Both,C,-73.1464492413267,B,B,-97.37672547304834,32.39996093205498,91.88099015326249,E,C,35.707485842156366,-125.5666556843549,B,D,A,65.37845905312292,C,108.834645291671,0
