age,nationality,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
41,Brazil,Heterosexual,75.63971672697537,E,C,E,D,A,D,A,-71.70083870685541,0
39,Germany,Heterosexual,-204.62083080090787,B,E,C,B,D,E,C,50.8613630578701,1
73,China,Homosexual,52.66409308511122,E,A,C,A,D,B,D,-18.519445848304382,1
79,China,Homosexual,91.1974031697213,E,B,D,C,E,E,A,-118.5887454790063,0
59,Other,Bisexual,-192.8927626818611,C,E,B,B,B,D,D,-29.456685930664683,1
69,China,Homosexual,47.3821385301433,E,A,A,C,D,D,A,14.617512741122615,0
49,US,Heterosexual,82.85383138936182,C,E,B,E,D,D,A,-142.40132899286064,1
25,China,Other,18.613832187512713,A,E,A,D,C,E,B,30.05196337847753,0
22,UK,Heterosexual,231.34215574928416,E,E,D,C,C,D,D,52.786832514768534,0
46,Other,Bisexual,35.39263021573238,A,E,B,D,D,E,C,-12.921171187146822,0
28,UK,Homosexual,14.079222429535495,B,E,E,E,E,D,D,90.72942324503549,1
46,Other,Bisexual,86.39820051454984,C,C,B,E,D,A,B,-22.81083694366735,0
52,Mexico,Heterosexual,10.485213629368857,E,C,C,E,D,A,D,50.88231380136515,1
72,US,Homosexual,125.59872074663996,A,E,C,B,B,E,E,-62.81410767451613,0
32,Mexico,Other,132.2351964785786,D,C,D,E,B,D,A,-62.91203182108765,0
71,China,Bisexual,37.33530959757704,E,B,A,B,B,C,A,-10.305652591279609,0
48,India,Heterosexual,-111.92571832733577,A,A,C,C,E,D,B,-0.2283669534271683,0
63,China,Homosexual,30.967632432466484,C,A,E,C,D,E,B,-120.69162664354494,0
48,Brazil,Bisexual,0.044268821199539905,E,C,A,A,D,B,C,124.95717456494432,1
58,Other,Homosexual,71.85247325781428,A,D,A,C,A,E,D,5.774961439080109,1
44,Other,Bisexual,-175.41401434680927,C,B,A,D,A,D,C,278.00854419279364,1
71,Mexico,Other,-55.820627989772255,A,C,A,D,B,A,D,-188.67435909424552,1
34,Germany,Heterosexual,0.05029861677696262,D,C,E,C,D,B,D,167.393507409441,0
27,China,Heterosexual,83.72478922581409,A,A,D,A,A,E,D,15.9176100443116,1
71,Brazil,Homosexual,-127.01015387154355,B,C,A,A,E,E,D,-1.9281627155367174,1
69,UK,Bisexual,-204.2936853582711,B,D,B,D,E,C,E,241.01808997139554,1
77,Germany,Heterosexual,-25.728136008592916,A,E,A,C,E,B,B,17.575959390455928,1
74,Brazil,Homosexual,-48.125987947503454,C,E,E,B,E,E,B,-111.3966944839718,1
75,UK,Homosexual,-73.77930042816561,B,C,E,B,B,C,B,-199.89035560511454,1
18,Germany,Homosexual,-44.88920785180537,B,B,B,A,C,E,D,6.788525046353835,0
50,US,Other,27.935542011319342,C,D,E,E,B,B,A,-10.214064693418644,1
63,Germany,Homosexual,20.31448080108777,D,A,A,C,A,A,A,12.13695819788494,0
39,Brazil,Other,274.4210294889359,E,D,B,E,C,E,D,52.43059980628112,0
36,Germany,Bisexual,7.719805831617396,A,A,E,D,D,E,A,26.9147921856583,0
48,UK,Homosexual,-19.507813345366863,B,E,E,B,C,B,C,90.78480170537759,1
39,China,Heterosexual,-17.85045282820031,B,C,A,D,C,D,B,-40.11845730574092,0
66,Mexico,Other,114.53213601562935,D,D,A,E,D,A,E,-59.73210095840451,0
29,Other,Homosexual,119.74803424297595,C,E,C,B,B,D,A,-111.14433381535372,1
50,UK,Other,-5.196812655991231,A,B,A,B,C,B,A,-215.92157680263085,1
33,UK,Bisexual,-72.56609139127832,C,A,C,B,B,E,A,99.84036456475278,1
39,Germany,Bisexual,-3.450169120626878,C,B,E,B,D,B,D,64.34881629008026,1
55,US,Homosexual,0.10705836080334606,B,E,D,C,B,D,C,-99.14764388009061,0
64,India,Other,68.614823845887,D,C,B,B,B,B,D,137.4685398769241,0
36,Brazil,Other,123.07488844470844,A,B,B,B,C,C,B,94.95387376592652,0
46,Mexico,Homosexual,200.0448885564166,B,D,B,E,A,D,D,-36.58944274730025,0
56,UK,Bisexual,5.099919044016209,B,D,E,E,A,E,B,-17.133303287964534,1
45,Mexico,Other,-18.252515681910577,D,B,C,C,D,B,A,125.04918865543162,1
71,Germany,Heterosexual,225.8322436257327,A,D,D,B,C,A,E,43.67179332324041,1
60,UK,Bisexual,80.99548272822106,A,B,A,C,A,D,C,-32.744696471300266,1
51,India,Heterosexual,-85.28261006922763,E,B,D,A,C,D,D,123.15921150995392,0
72,Germany,Other,75.28187220393345,A,A,B,D,E,E,D,27.06714479729281,1
24,UK,Homosexual,1.4721379869207505,A,A,C,B,D,B,D,-152.2574920718607,0
44,US,Bisexual,-50.773336609584895,C,D,D,C,B,D,A,-19.731666048089277,0
72,UK,Homosexual,31.67133291894334,B,C,B,A,E,B,D,-65.0533754240721,0
63,Brazil,Bisexual,135.26732067612465,B,E,E,C,B,E,E,39.08162897795446,1
28,China,Bisexual,66.88783631826843,B,C,A,E,D,D,C,-82.75858763323491,1
21,Mexico,Homosexual,52.81891509294003,E,C,C,C,A,D,C,-67.25356728509014,1
21,Other,Other,-18.37054501351882,A,E,A,A,D,C,A,87.63764710897746,0
38,Mexico,Heterosexual,75.24718888981702,B,B,E,A,B,D,B,170.123617804196,0
32,China,Heterosexual,8.61716748526176,B,B,B,E,B,E,E,-147.62117825344697,1
31,US,Homosexual,23.035093499292802,A,A,C,C,A,D,D,-73.37322883200483,0
60,Other,Homosexual,-62.78723133040267,D,B,B,C,D,E,B,15.122897488404313,1
34,Germany,Other,-142.90655474534213,C,B,C,C,C,E,D,-10.076598438045696,0
78,Germany,Bisexual,35.21694302569233,B,D,E,D,E,E,C,43.68981812564154,1
41,China,Other,72.34481626230053,D,C,C,E,B,B,A,68.5009543430638,0
72,US,Heterosexual,-176.4861590164514,A,E,A,B,B,A,A,267.9554462921914,1
23,US,Homosexual,34.71888175083501,D,D,D,B,A,A,E,-178.53203638600422,0
44,UK,Bisexual,-155.72494860755145,A,B,C,B,E,E,D,33.34547727380096,1
41,Mexico,Heterosexual,-6.913133275885501,E,C,B,B,D,B,C,-30.004184529411997,0
64,UK,Bisexual,175.13110296855928,E,A,C,D,D,C,E,76.20504526607087,0
48,Germany,Heterosexual,-4.783744022761278,B,A,B,D,D,C,E,116.5796931569637,0
68,India,Other,17.52971767511467,C,C,C,A,C,C,B,21.272936222973264,1
18,UK,Other,-39.94938005684196,E,D,B,E,E,A,B,49.62076529693604,0
46,Mexico,Homosexual,-134.71377208478964,B,C,C,D,B,C,B,59.34104695687049,1
26,UK,Bisexual,-41.23323265190671,A,B,A,D,C,D,A,-26.206017474262204,0
36,India,Bisexual,6.578998859720849,E,A,A,E,D,E,C,38.05034322074036,0
31,India,Other,-93.07366609763308,B,E,C,E,D,C,E,287.727915760775,0
28,US,Other,45.75326609714119,A,C,A,B,D,B,D,48.64077446786767,0
47,China,Other,-21.226268484925452,D,C,D,E,E,B,A,7.398517255348443,1
31,Germany,Other,-82.58007395164344,B,E,D,E,D,D,A,-101.3116646354046,0
48,Mexico,Other,25.291363057710996,E,D,B,E,C,C,D,36.26447373861213,1
75,Brazil,Heterosexual,81.35795318202116,C,E,E,E,D,B,E,98.778065798136,1
66,UK,Homosexual,82.79295722526918,D,A,C,E,B,A,B,73.46704722333664,1
41,China,Other,-66.59652713434994,D,A,E,E,E,E,A,30.213751971538045,1
39,Other,Bisexual,-11.504708312020815,B,A,C,D,B,D,E,-0.12335981946813364,0
25,Brazil,Other,138.47404068720667,C,D,C,E,D,E,A,-40.53625948935359,1
68,US,Homosexual,37.533065702167896,A,A,D,E,D,E,A,-139.8303563972646,1
47,India,Bisexual,-57.03506573891934,D,C,B,B,D,E,E,65.09715419320553,0
30,Germany,Homosexual,-220.54060130010322,C,D,A,B,A,A,A,119.34275380230375,0
59,US,Other,-95.55304907684148,D,A,A,B,D,C,A,-12.468668102836531,1
62,UK,Other,-211.99917724860114,C,B,A,A,B,A,B,57.32964276120121,0
26,China,Other,300.7273564570054,D,A,D,B,E,D,D,-14.827240014263001,1
32,India,Bisexual,77.84618564329365,A,E,D,E,A,E,A,28.860780530511455,1
18,China,Heterosexual,-188.78849657926827,D,B,E,D,D,B,E,-65.78053784757681,0
69,Brazil,Bisexual,84.33916049718819,B,A,D,E,A,D,C,-80.12307352015308,0
37,Brazil,Homosexual,67.53539001595986,C,A,B,E,C,A,D,99.1649982513297,1
43,Mexico,Heterosexual,34.83192843768151,A,B,C,B,D,A,E,-13.908424443794642,0
34,China,Heterosexual,-93.74432860007033,B,C,A,A,B,D,D,46.95607476638154,0
46,Germany,Homosexual,140.05122916732685,A,B,C,C,B,E,D,2.58402173482429,0
38,Brazil,Other,70.43863398249837,E,E,D,D,C,E,D,-30.460298666603286,1
76,Other,Heterosexual,117.49547868854418,D,B,E,D,C,A,A,-69.050632542069,0
66,UK,Other,-13.037151604716618,C,B,D,D,D,C,A,215.69586627798043,1
77,Brazil,Heterosexual,98.84980051905434,C,D,C,E,B,E,E,105.11228922520633,0
62,Other,Heterosexual,157.7613429161515,A,D,E,A,C,E,B,59.91743770956669,0
58,Brazil,Homosexual,-42.91545469336002,A,D,D,E,A,D,C,-90.75168926477771,0
45,India,Other,-30.768078264048203,C,B,A,E,B,D,A,169.11982730837036,1
64,Germany,Other,53.462812776767564,D,A,A,B,D,A,D,16.829836684670607,0
43,Brazil,Other,96.94595793952875,E,E,B,C,E,C,C,88.21409056854985,0
59,Brazil,Bisexual,-31.228019118942413,B,E,B,E,C,C,E,-48.39831579875239,1
30,Germany,Heterosexual,93.64961926461203,D,A,C,D,A,C,A,-40.110978528419935,0
73,India,Bisexual,-71.65177777874895,A,B,D,C,B,D,E,-180.3836220467965,0
69,Germany,Bisexual,-63.02094974511473,E,C,C,C,D,A,D,124.63780907386244,1
64,Germany,Other,-62.1984005500692,D,C,A,B,B,B,C,-226.33732575728743,0
18,Mexico,Homosexual,107.97832342182107,E,E,C,B,B,A,E,-65.58780427356822,0
56,UK,Homosexual,74.93711992076977,E,E,E,A,A,D,A,6.790980327005815,1
19,Mexico,Heterosexual,102.65674099194908,E,E,B,A,C,C,C,-161.43693509352852,0
20,Mexico,Heterosexual,-9.970231412213751,B,C,A,B,A,D,D,-7.422482831834862,0
51,Brazil,Homosexual,-93.93614871676436,E,A,A,A,E,B,E,37.941601306088806,0
61,US,Bisexual,-52.168066466835306,D,C,A,A,A,C,B,31.38266196269938,1
69,Mexico,Other,89.83794267242556,C,D,B,D,E,C,C,-21.369750380980648,0
42,Brazil,Heterosexual,114.803902797309,E,D,A,D,C,A,C,-56.47739744568147,1
58,UK,Heterosexual,-135.14471948067404,B,E,A,C,D,D,B,-27.250029206270554,0
43,Brazil,Heterosexual,-284.59881817888214,E,D,A,D,A,A,C,-88.23696726550205,1
20,UK,Heterosexual,3.5190964508153053,E,A,C,D,A,C,A,-150.62009545700246,0
31,Mexico,Homosexual,32.56218014683962,E,B,C,D,B,E,E,2.776308576900519,0
33,UK,Bisexual,70.67582357130638,E,E,A,E,E,C,A,154.36137466802643,1
53,India,Homosexual,-77.13160764693289,B,C,E,E,A,D,B,98.6002155140922,0
35,India,Homosexual,-86.3508416241927,E,A,D,A,C,D,B,76.21522601055413,1
38,Other,Other,55.95315165984993,D,A,C,C,C,A,B,-199.59419810711967,1
76,Brazil,Other,50.69902117262552,D,C,A,C,D,C,A,-3.4894641083279563,1
62,UK,Heterosexual,287.03264205756074,A,E,B,B,C,E,E,40.09041537181935,0
45,China,Heterosexual,-177.54234669021662,B,C,E,D,A,A,D,-118.77670928626675,1
38,Mexico,Heterosexual,-6.8862079799199964,D,D,D,C,B,E,C,-93.30718149340142,0
42,Mexico,Homosexual,-24.79224842385589,A,B,A,A,C,A,B,-85.10018827789766,1
20,UK,Bisexual,-1.7919577724509166,C,D,C,B,E,E,D,-203.32854567124573,1
39,India,Homosexual,-63.15909578206954,D,C,C,E,A,E,E,36.72375655203035,1
48,China,Bisexual,43.584162303042376,A,A,E,A,D,E,C,109.73008150033701,0
43,India,Other,77.20457688415243,E,C,E,B,B,B,D,-186.1144771511705,0
63,Other,Bisexual,-89.42324564022712,A,E,B,E,C,C,C,70.32282368067524,0
25,Mexico,Homosexual,-15.204103980959506,E,C,B,B,B,D,A,-14.353935344833724,1
28,India,Other,9.15732197186523,D,C,C,D,C,C,E,45.78609682607075,0
79,Brazil,Heterosexual,9.17611848301497,A,D,D,E,B,C,E,18.54840430810554,1
68,Germany,Bisexual,125.76035165753143,C,B,E,B,B,D,E,-13.474421757316032,0
20,India,Homosexual,141.22470053082515,A,D,B,D,D,D,A,43.88915075557435,1
27,Brazil,Other,31.524599572802607,B,C,D,E,A,A,D,-73.0274333031218,0
70,Other,Heterosexual,-37.40954992837203,D,C,A,D,B,B,C,56.22549479467228,1
52,Germany,Homosexual,-89.97897921520726,E,B,C,C,B,B,C,28.19001275633798,1
69,UK,Heterosexual,-118.11943341293711,C,A,D,B,A,C,B,-27.110760771107223,0
66,India,Heterosexual,-43.40125298875184,C,B,D,A,A,B,B,46.0055522623242,1
37,Brazil,Other,217.4113062042398,D,B,E,B,B,C,B,65.53706888476127,0
71,UK,Other,-27.147379344381918,C,C,D,E,A,D,B,-181.15247436638103,0
68,UK,Heterosexual,176.64411958674344,D,C,A,D,B,B,C,37.41702096881214,1
35,India,Heterosexual,37.40037284912346,D,B,E,E,A,D,C,-55.89586245266952,1
62,India,Other,-47.24851285926171,E,D,E,C,B,C,D,77.44893462584395,1
33,UK,Heterosexual,-0.4369476198927099,B,C,A,B,C,C,D,103.38407546486894,1
28,UK,Bisexual,-25.996576514592284,C,C,C,A,B,B,E,35.40678224916713,1
58,China,Bisexual,32.27606553576768,B,B,E,D,E,C,D,-5.99658743292695,0
20,Germany,Homosexual,-72.30409778093741,B,D,A,C,A,E,A,-182.6134108786285,1
22,China,Homosexual,80.71044530807092,C,E,D,E,D,A,B,-134.69715851932708,0
59,Mexico,Homosexual,-66.45656811250885,C,C,E,E,A,D,D,166.07175487595205,1
31,Mexico,Homosexual,33.47762570676017,B,E,E,B,A,E,D,-74.50166316692814,0
51,Mexico,Other,272.0266507607299,C,A,B,A,E,B,C,78.37553224606724,1
46,India,Other,-155.51503143207051,D,C,D,E,B,A,E,-37.98026711455813,0
30,US,Homosexual,94.27700163956808,A,D,D,E,A,C,A,-24.14955849662078,1
19,Other,Heterosexual,-83.60955593758862,E,B,C,A,C,E,A,86.6625424401657,1
47,Mexico,Heterosexual,72.5408708879019,D,E,A,D,B,C,A,8.752206421210534,1
62,China,Other,-86.92539063432841,A,D,C,B,B,B,C,119.0999861129189,0
79,China,Bisexual,88.10859489067859,A,A,E,A,E,C,E,6.272383785365217,0
26,Brazil,Other,-253.79823855509557,D,D,E,E,A,D,B,67.81804321638731,0
21,Other,Homosexual,-57.45997194554461,B,B,E,B,D,C,B,138.18048133950896,0
64,Germany,Bisexual,-23.057765392510685,E,E,B,C,D,B,D,-5.8330595871868205,1
53,UK,Other,17.3971382488184,E,C,E,E,D,E,E,136.2096395366601,1
29,Germany,Other,74.05171373655756,A,A,E,C,A,B,E,-57.95731915081135,0
18,UK,Other,62.54227918181427,E,C,E,C,A,B,A,-103.77902189555235,1
43,UK,Other,-214.22537369150535,B,D,C,C,E,A,C,107.60859939071345,0
46,Other,Other,34.662896371022676,B,B,A,D,B,A,D,-69.73963079722326,1
71,Brazil,Other,-80.19519494935794,C,E,C,C,A,D,E,-180.62084380095322,0
40,Brazil,Other,-79.40812166502272,D,A,D,B,B,D,E,90.81040634499213,1
58,Brazil,Heterosexual,-19.232902012895558,C,C,A,E,D,C,B,-19.08188952873603,1
51,US,Other,19.783368081786655,C,E,A,C,C,E,E,82.96658846475468,1
69,Other,Heterosexual,-64.53499053721481,D,D,E,A,D,A,E,-116.77622330830384,1
58,Brazil,Homosexual,11.764552898980499,E,A,E,C,D,C,B,85.25399034028065,1
41,Other,Homosexual,-23.81839567129401,E,B,C,C,D,B,A,36.5389239716378,0
23,China,Bisexual,-125.6589480359424,E,E,A,D,E,D,D,-55.3853329325003,1
43,Germany,Bisexual,-107.22563803002372,D,C,C,D,A,B,B,101.69550217204286,0
37,US,Heterosexual,-35.239962976399354,B,C,D,B,B,A,D,40.659505896180065,1
51,Germany,Other,-132.53323632517296,E,E,A,D,B,E,E,25.08456944213523,1
43,Other,Homosexual,-45.936126623262275,B,E,D,E,D,D,C,-50.19796566663172,0
54,UK,Homosexual,219.20342441983084,B,E,C,E,B,C,E,41.996692175772836,1
57,China,Other,-172.32152202845975,B,B,D,D,D,B,C,57.427782683730335,1
46,China,Bisexual,14.288453145676549,D,A,D,B,D,D,C,55.049320171572205,1
46,UK,Homosexual,153.25302437183302,E,C,D,E,B,E,C,170.22760185653553,0
69,UK,Homosexual,9.240085435182658,A,B,E,C,D,E,C,87.5149634406473,1
67,UK,Heterosexual,-98.83020414012893,D,B,D,B,C,E,A,62.675124161056736,0
26,Germany,Homosexual,44.990892322722736,D,C,C,B,A,A,D,-45.346745745876206,0
61,China,Heterosexual,29.41836834736698,D,B,A,D,C,C,D,-152.8239862494226,0
64,UK,Homosexual,75.54306857972313,E,C,E,D,D,B,C,-153.9620647785709,1
52,US,Homosexual,114.3225207467226,C,D,A,A,D,D,C,80.39670686855742,1
27,Mexico,Other,91.64273100320538,E,E,E,D,B,B,D,-98.18112977813956,0
49,Mexico,Other,24.68074530106906,D,A,D,C,A,C,C,61.60877520470894,1
71,US,Heterosexual,218.88055183469214,C,D,D,D,A,A,B,-169.38007601219897,0
56,India,Heterosexual,-83.93452172711287,A,A,B,C,E,A,D,187.51539648063581,0
24,Brazil,Heterosexual,-137.28977731000464,E,A,A,D,D,A,C,7.5136439496857,1
73,Germany,Heterosexual,-60.13278178103793,C,A,E,C,A,C,E,-34.993140768846736,1
18,Other,Homosexual,-204.45361422167164,D,C,E,E,A,E,B,108.13217892185259,0
49,Mexico,Bisexual,-42.79294101849771,E,D,A,E,A,D,D,168.10375452882346,1
76,China,Bisexual,306.52660994548853,C,C,A,D,C,E,E,75.22380485564895,1
45,India,Homosexual,-70.65205555642854,A,B,E,B,C,E,C,-147.954666738379,1
35,Other,Bisexual,-60.00368182591194,B,E,B,E,C,A,E,-5.712335383535582,1
40,Brazil,Heterosexual,-33.13519601505367,A,D,A,C,D,E,E,-68.51196648540613,1
69,Brazil,Other,16.13656346714801,E,A,C,D,B,C,D,-143.26681139020084,1
53,Germany,Heterosexual,-46.22705486026314,A,D,C,A,C,E,B,-19.866421761416813,1
42,Other,Other,35.95618814367187,A,B,D,A,D,A,A,-101.20769059884739,0
56,US,Heterosexual,161.80411769022223,B,C,B,A,E,C,B,-146.26300074285464,0
67,US,Bisexual,30.272569576201068,D,E,C,C,B,D,D,60.19318724962911,0
75,China,Homosexual,-39.116047536386816,B,B,E,D,C,B,C,-122.0752328213789,1
54,UK,Heterosexual,-17.512240990641047,B,B,B,C,C,E,A,-110.77059450761027,0
48,China,Heterosexual,-9.836825783593254,E,E,B,D,E,B,E,192.4163663888625,0
72,US,Heterosexual,-53.81109752176818,C,A,D,D,E,D,E,-84.12224743157158,1
18,US,Homosexual,60.157374574129086,A,D,A,C,D,E,D,-2.6907092922539717,1
30,US,Homosexual,-70.01195754028544,B,B,A,E,B,D,B,205.46102715482016,1
40,India,Bisexual,-36.27824702697858,A,E,A,B,A,A,E,-77.92501599033955,0
37,China,Heterosexual,204.34373223965966,B,A,A,D,E,C,C,121.65556364208436,0
39,UK,Bisexual,-1.2587726896731144,C,C,C,A,A,B,E,-38.81289726842964,0
37,Other,Homosexual,2.989757004828877,C,A,C,D,C,E,C,-223.1171079343462,1
50,Brazil,Bisexual,-21.23295844157603,A,C,E,E,A,D,B,102.07543394556973,0
70,Germany,Other,207.36627302210002,C,E,C,C,B,D,B,-19.438185182108796,1
22,Germany,Heterosexual,-217.72895150131598,E,A,D,A,E,C,D,86.00598975773589,0
68,Other,Bisexual,173.66664032828376,E,C,A,D,A,C,C,109.60957659370733,1
44,Other,Other,-10.196222212281961,A,D,C,E,E,B,A,17.614875871653766,0
60,Other,Heterosexual,-137.68404546195413,D,D,E,C,C,D,C,125.02770734375773,0
76,India,Bisexual,14.507620950207365,A,A,B,B,B,A,D,-5.246605940733016,0
30,Brazil,Bisexual,64.22820271357715,A,C,D,C,A,D,E,-167.08985190885898,1
45,US,Homosexual,-121.07316900178282,D,E,E,C,E,D,E,66.80797326788087,0
59,UK,Homosexual,81.61006647985525,A,A,D,E,C,A,B,-9.85420195260535,1
47,Germany,Heterosexual,-130.65769771577172,B,B,D,D,B,B,D,-8.475546899613299,0
21,India,Homosexual,109.21878717501374,C,C,D,D,D,A,D,-150.91210394979456,0
53,Germany,Other,92.75292629043604,B,B,B,C,C,C,B,-113.11463544061182,1
47,Brazil,Homosexual,-98.16108822496051,C,B,A,C,E,A,B,80.58184729969298,0
41,India,Heterosexual,108.66754744838501,B,A,D,B,E,B,D,-3.6754304234386423,0
31,India,Heterosexual,-79.03206815364419,D,A,A,A,D,A,A,-71.776793006969,0
67,China,Homosexual,46.47433667547931,A,E,E,C,C,D,A,199.36223555615143,1
68,Germany,Heterosexual,52.38170073690311,D,D,E,D,E,E,D,-61.427713602020226,1
19,Germany,Bisexual,20.956727649576614,E,C,D,A,D,E,A,121.0355124528976,1
21,Germany,Bisexual,-15.22539133111681,E,B,E,B,D,A,B,-6.390983626252029,0
53,Other,Bisexual,-164.3284859847233,C,B,A,B,B,D,D,26.83223859068999,1
56,China,Other,57.07178884044383,D,B,B,E,A,A,D,86.9288552347622,1
58,China,Heterosexual,-26.89117738338379,A,A,E,C,E,B,B,96.17912003584028,0
58,UK,Homosexual,-56.669331255087386,D,C,A,E,D,D,D,62.38126511227824,1
