faith,handicap,Nationality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Muslim,Both,Mexico,F,C,E,-175.1061514768964,A,C,-20.314807138006913,187.95642183795832,C,B,95.63767981945195,A,175.40038682608264,B,57.586663850857974,134.87995248750616,E,D,0
Christian,No,China,Male,C,A,-94.94753970185955,B,C,101.16175718567382,122.01015885592754,C,C,16.207298801330186,B,49.73973696435312,C,34.45877825820645,-11.205632637873176,B,B,0
Other,Physical,UK,Other,D,B,-77.59668585558546,A,A,102.22725149178137,238.61854713618652,E,A,-62.65244399031322,C,-42.93807254622009,B,30.39802426927254,145.48593756969396,E,D,1
None,No,UK,M,A,E,-62.57404951286946,D,B,-18.51909756702716,64.8415521007389,A,E,-40.480040202382526,D,54.83050300860023,D,15.946873433159492,83.49262263992989,C,E,0
Muslim,No,Brazil,F,A,E,3.136546092830881,A,C,-76.49957922693153,60.59724520301911,B,E,-26.74792529941709,C,-164.44579251748394,B,-23.874884124838815,52.75905475726898,B,E,1
None,Physical,Germany,Female,D,C,10.016664280212552,A,A,119.54756058750931,-34.33603381372162,C,A,-100.6571837928705,E,64.77070006801374,B,-59.747411097729106,26.0640341223965,B,D,1
Buddhist,No,Mexico,Non-binary,C,E,193.90389358281575,C,C,-85.29916004109909,-13.131359102973589,E,B,84.0636058025674,B,-12.139813269136726,C,-27.771871095475912,-39.75590759580691,D,B,0
Buddhist,No,China,F,C,D,-59.2312144054789,D,B,-58.80448127768416,-15.338552465762733,C,E,-37.611818704484506,C,-43.546221223682736,C,-36.85994251942141,-150.2127393576057,B,C,0
Muslim,Physical,China,M,D,D,81.734452016578,C,A,209.1510428518856,167.7895618769157,C,A,43.66417995216424,C,91.99431859390518,C,-63.62901157983723,53.677626056544135,A,C,1
None,Both,Other,Female,E,C,26.649808494779208,B,C,-26.42084959180358,-114.0312387610388,C,C,-166.63969543087535,B,-100.83706721534118,D,-45.99376440158719,38.39898893798847,E,A,0
Other,Yes,UK,F,E,C,-77.64969227477059,C,A,11.776541600033354,11.773402847496092,D,B,-73.51683426817333,B,147.14229194666186,B,44.98887712016022,-70.01025365513584,C,A,0
Buddhist,Yes,Brazil,M,E,D,-93.55345496240426,E,E,241.8302513890593,-39.302446329901535,C,B,-22.440609362530715,D,-66.04438784499413,B,-165.40651963170762,-106.0430159277676,D,E,1
Muslim,Mental,US,Male,E,A,32.684977689984514,A,A,82.97840960439636,-208.67587710317954,D,B,-163.78257964750705,C,101.73761802288314,B,-17.59628426220656,91.9566794930685,E,B,0
Hindu,No,India,Other,C,C,5.445696638064619,C,E,-31.53429780453566,-41.60912430721773,E,D,-157.37129629066234,A,65.599040232227,D,-10.109312607247139,27.434632325169638,D,A,1
Christian,Physical,Other,Non-binary,B,C,-122.61584142605206,D,E,-27.82993292565613,32.91026371478713,E,A,-8.551707137140884,E,86.86740683057805,A,-8.63541318859921,-61.949926842793936,E,A,0
Buddhist,Both,Other,M,B,C,-2.866692536942587,C,A,3.189271398448581,175.90057879373322,D,B,-2.3104270990387823,B,144.93328521815633,D,41.87646043096052,-3.2317330573540013,B,E,1
Buddhist,Mental,China,Other,B,A,84.14029660731451,E,D,18.677347186411343,49.20559980049207,A,B,-131.93721966844092,E,-123.16877990162374,A,48.28959053608086,109.9765554905701,C,E,1
Jewish,Yes,Brazil,M,E,A,57.56295428312259,A,D,-22.563728201948923,79.90953022880186,C,E,141.54753506959472,A,-41.61174761402261,C,29.471773229474472,165.22884147522697,A,B,0
Other,Both,Mexico,Female,C,D,60.47853908104113,E,D,70.61742765185907,-224.6978373014727,C,D,25.347417191259353,B,0.15778677718040243,B,43.46461318106837,48.70092904430088,D,D,1
Muslim,Mental,US,Male,D,A,39.59392130580077,D,C,182.68900621358216,47.810287214292266,A,E,115.99992841245597,A,21.90541303498666,B,-92.01855899815709,-32.638872898987906,E,E,0
Christian,Mental,China,M,B,D,-28.102179390700854,D,C,-33.816245104043595,96.34982055229304,E,C,72.22888277346466,E,55.125461804939555,D,-112.01635699381482,121.21031926920382,C,A,0
Buddhist,Yes,Germany,Non-binary,B,A,-173.58354494657416,B,D,-1.429689576485818,75.82792568597347,D,D,9.907335008010904,E,52.16534841899363,D,238.25305285166345,-188.5769582998697,A,A,0
Jewish,Both,Brazil,M,C,D,-16.172604941652843,D,E,144.29425781053445,-3.107333737214894,E,A,19.835180042119447,A,-192.42102545041527,B,85.24147810539681,-85.69423491555315,D,B,0
Jewish,None,Other,Other,B,B,229.52388577195725,D,D,-116.21244566871958,158.84938102771568,D,E,-143.13876928634778,A,101.14375496742822,D,-137.41637862115505,-106.61549140289743,A,E,0
Muslim,Both,Mexico,Other,E,A,61.65762814915515,D,C,9.543841204199618,-123.34618192523148,B,E,71.88046062010677,C,-72.08394679855026,E,-110.8809324105541,-113.48402270128008,C,D,0
Buddhist,Mental,UK,Female,D,E,-104.04175029638884,D,D,80.17472715662639,61.89480662767911,C,C,69.59898009092583,B,-46.711339590708,E,-37.85012454477011,-56.343358318516565,B,D,0
Jewish,Mental,Other,M,E,D,52.664478449647355,B,C,6.160083744923923,12.220958088267917,A,C,73.12277125729115,D,-17.723452782219052,B,-90.00308250535556,18.44232949639713,D,D,1
Jewish,Physical,Germany,Non-binary,A,D,-96.19000038656007,D,E,-32.49402149085301,-57.140167572741404,D,D,-86.39695085751417,E,-189.45578171656342,C,24.894775040194876,38.5248698083253,D,D,0
Muslim,None,Other,Non-binary,B,E,26.969669240509297,A,E,125.94444151243746,39.80819318720121,B,A,-122.9675377850745,B,-24.50668430884584,E,40.40841272224191,-1.62120109041332,C,B,1
Hindu,Both,Brazil,F,B,D,32.77373718858894,C,E,165.62543453137658,-86.33568957582033,C,C,18.439925129002425,C,-32.98657814855502,D,61.996102520038434,-1.518919971968945,B,A,1
Christian,Physical,Brazil,M,C,D,-221.90719087328299,B,A,-15.68279859917882,-165.47461674701407,D,C,-0.4988950368519554,A,-18.32839111792128,D,-79.04764192398973,68.60943104509364,C,D,1
Other,Physical,US,F,A,E,95.47783740116495,C,A,-22.65088551363993,-28.361440128065507,D,D,222.3659711986697,D,93.34827033915396,E,130.74771560427158,-95.83559329063485,E,A,0
Other,Physical,Mexico,Female,B,C,-23.940045007868957,C,A,-32.34171325874657,-62.314463812795125,E,C,-7.630250955454756,D,-124.95039150012768,D,106.38517483036112,57.54142189233018,E,B,1
None,Mental,Mexico,Female,C,D,-7.988176546281789,E,A,-21.764594771347788,-276.2784636586386,A,B,53.253774747793955,D,32.71225723841169,D,48.03722855828666,72.78355306977767,A,B,1
Muslim,No,Mexico,Male,E,B,65.61625350273997,C,B,-47.222564345853556,-41.67844941030042,E,D,-53.910526784875415,D,-170.6158449096301,D,82.32328953942918,-86.91021634852096,E,B,0
Hindu,Both,US,M,D,B,28.87482279978446,E,A,165.89596560481309,-79.58407965634102,E,E,65.20049660440938,B,90.73706788435925,B,111.9794808200905,6.197837670928133,D,E,0
Muslim,Mental,China,M,B,D,19.67636807456453,E,E,112.40708253915844,155.66618899376036,A,E,140.73397835767497,D,74.70181216756832,E,16.163171792024265,-0.8159200470661676,D,E,0
Hindu,None,Brazil,M,B,A,173.40624458368626,D,C,127.15345816708104,106.76152251736191,D,C,38.99235183689848,B,196.08590326235102,B,-106.6073147566245,19.090708067608546,B,C,1
Hindu,No,UK,Male,C,C,-186.57146320588225,B,C,361.9741337972247,38.53312101327276,A,A,51.5896950267416,B,-35.03423925778766,C,-106.43018305588734,107.61915919212919,C,E,1
Jewish,Mental,Mexico,Other,C,B,5.129416502243819,A,B,118.35337086263695,50.84663844628958,A,D,109.04671313938672,B,-113.3854974456491,E,271.251506277463,74.2927724505111,C,E,0
Christian,No,Brazil,Non-binary,D,C,68.10679818322744,B,B,-116.17620620851561,50.34299923306496,B,A,159.1680368483651,B,-12.90811691058156,B,39.45428113736365,-193.48184602760233,E,B,1
Jewish,Physical,Other,Other,C,B,44.424622690449056,D,D,-96.09870734009782,105.09384931153154,B,E,-36.88018622518087,D,126.05109486065307,E,3.8683274732810116,13.075551967314231,B,E,0
Buddhist,Mental,UK,Other,E,C,73.32536865924045,B,A,-62.828791982185884,60.52514053274567,C,B,68.8756681848968,D,-114.24738930538625,A,130.89362051335962,87.93709744760685,C,C,0
Hindu,Physical,UK,F,D,E,-64.00531817454437,A,D,162.39488415083204,130.26800767714747,D,C,107.94463650835915,C,93.33943460608974,E,-65.66033160017189,23.135187724106427,B,A,0
None,No,Brazil,M,D,A,-84.14685010097136,A,C,63.35409287862165,57.47826254788031,E,C,-22.95246028921088,C,67.52719763639901,C,-99.99418074382491,-145.46405445797598,B,E,0
Other,Both,India,Male,C,A,164.23744997502433,A,D,43.889219408018285,-17.346859839260006,E,E,-63.3614046750589,B,-79.39298005059314,B,-33.03781079225213,171.9950106075157,D,C,0
Buddhist,Physical,UK,F,C,D,-100.98412739248303,D,D,99.90959303837616,131.78017805059176,C,C,-11.04851578105639,A,-4.5608085042820194,B,-63.955509508354744,-154.761565233524,C,E,1
Christian,Mental,UK,Male,C,E,122.9120717013237,A,A,24.73644954757725,43.12237806328092,B,C,66.4022301577593,E,-48.80403064666419,D,-122.79922887762164,68.05771029719236,A,E,1
Buddhist,Physical,Germany,Female,A,C,172.00244750370507,C,B,-75.49548912428901,50.92910253025978,B,E,59.92543503164106,C,161.23593600931454,E,47.34765022347574,-29.697678103230935,C,E,0
Buddhist,Both,China,Female,A,C,-14.677462254506965,D,B,-141.68256591776586,-142.62914673962916,A,E,-3.1278931837778403,D,100.76369509231688,D,-44.36490318246018,-34.66540294399778,C,D,0
Christian,Physical,Mexico,Male,B,E,62.77206855700484,E,E,63.685835684887834,-77.2056653290092,E,B,173.41554077991614,C,2.293438801556547,C,54.44950851949565,42.441775348405834,E,B,1
Hindu,No,Germany,Non-binary,D,C,-221.91282701471553,A,A,-40.29385292293994,-3.379827355436106,D,B,22.843719575199813,B,-22.06252359081281,D,-97.38539585049936,-139.29043455465165,B,B,0
Christian,Physical,Other,F,A,D,-25.92904783499481,A,B,-85.71332169713803,-99.4658244512861,A,D,-46.10069821622337,B,-32.57664617027987,D,198.190853734288,126.9547585969468,C,C,1
Jewish,No,Other,F,B,A,-45.69724848614876,E,B,16.689713162285308,259.7089591138397,B,C,97.08841399340555,C,-50.210995292337934,C,-56.03151330922012,-72.07458441368024,A,C,1
Hindu,Yes,Mexico,Other,C,A,-106.08678883539227,C,B,30.591583697959678,152.14561369655672,D,B,97.63433409500556,B,-117.07632267139228,A,-31.838996651613037,-30.399117926889087,E,B,1
Jewish,Yes,Brazil,M,B,E,-13.15115613769132,C,E,21.40275553095705,-151.20728490326124,B,A,67.13355084343056,C,-15.493182738004732,E,207.49407345065637,-7.742851158842146,D,A,1
Christian,None,India,M,E,C,-69.57961497105318,A,E,-39.98650724486145,174.42436118379368,D,A,113.45158465645578,C,-88.31383915154622,C,8.15835564551541,121.0086293219415,B,C,0
None,Both,China,Other,B,E,9.613671436371499,D,E,-20.706284927806117,-28.390195668955887,E,B,130.66073080812416,B,105.17527194064331,D,-33.707434000103994,95.7399338830017,E,E,1
Hindu,No,India,M,C,E,-45.35332307025088,A,A,26.316025932090646,45.06165579867447,E,A,15.345924379104636,D,20.212361583455397,C,32.96969961852753,7.4183681398335795,A,A,0
Other,None,India,Female,B,A,-90.8757932615703,C,E,-14.637839044114074,204.7058160864143,C,B,115.8915930550501,B,46.36866445977104,B,247.09619693911478,276.91818566163715,D,C,1
Buddhist,Mental,Germany,Non-binary,D,C,-246.63054338755873,B,D,15.6742844822737,105.47143078587709,A,D,18.56751464673145,B,189.6672354673512,E,212.9868459703605,102.21518761618611,D,B,0
Jewish,Both,Mexico,F,B,D,-41.33814108059794,D,A,-14.446713971486275,-86.2436047687012,A,B,8.59070276191697,E,150.31466708940445,A,-28.016390507671655,80.01837679469482,E,C,0
None,Mental,Mexico,F,C,A,121.56326993292308,D,B,-116.19235702044304,-81.7265274965664,B,B,11.567231803645189,A,-26.633803056776777,B,133.33466117311121,-112.90941147718827,C,B,0
Jewish,Physical,Other,Female,A,B,-21.294525731398046,E,C,22.337643237547077,-160.6115059561163,B,A,-48.52969558625108,C,-69.34901748490971,D,-19.122868073982264,108.70178179139312,D,C,0
None,Physical,Other,Female,C,B,-174.5787897483026,D,B,172.91427540350512,-179.33648222587072,C,D,105.4574394533261,A,-49.668022446018064,D,-27.9338696951477,-108.78225631930324,B,E,0
Hindu,None,US,F,D,C,-182.63169626915058,C,A,68.88424117423435,40.826850088474494,A,C,-295.74864514714744,D,125.6850188137397,D,65.7370184735664,52.298131720920146,E,C,0
Hindu,No,Mexico,F,D,D,34.98252949005042,D,D,-8.350787277998307,190.42716080878358,E,D,-95.61483618307992,D,20.977254231193793,E,-4.493899299340629,-78.53736102386137,B,B,0
None,Both,UK,Female,E,E,-65.79254695112353,A,B,107.55201211668795,-25.45838644983857,E,B,43.83342236869912,E,-6.4882909714500805,A,24.36383887931702,129.28596599269548,E,D,0
Jewish,None,Brazil,Other,D,A,75.79927565594568,D,A,-202.91900690182194,0.12091421897016293,D,A,32.23417367918028,A,3.6451183324156458,C,127.39961810153446,-38.32483219276097,E,E,1
Muslim,Physical,Brazil,M,D,D,174.17134870395253,D,E,-49.111344131068755,-126.51511967505427,D,E,-99.14902768341366,A,-85.11887905427699,B,-159.57392879608935,70.15051197495006,A,E,1
Hindu,Yes,Mexico,Non-binary,D,D,-104.33146197120186,C,B,-125.92609790075191,70.76826898197827,D,D,-105.08829838522662,D,39.00415338937545,E,-15.291498434269934,19.821994242508616,D,B,1
Jewish,None,Mexico,Male,C,B,-89.77708892476417,B,B,34.95694256350796,192.79589193216174,B,E,144.80007311163038,E,-3.094985311438142,A,-143.05389820090144,76.9453984734117,B,A,0
Other,Physical,Mexico,F,B,B,86.72081359383581,C,B,123.99289398459834,74.59733891041212,C,B,-26.658847741656643,B,24.16557391074784,C,159.4767632957658,12.935629434832988,D,E,1
Other,None,Other,Non-binary,C,A,-178.46150109690998,B,C,-89.61197515459716,-69.77216233506857,B,D,-135.991809606731,E,-33.233776769303155,B,31.66714695905161,12.653996325519365,E,E,1
Other,Yes,UK,Other,D,C,66.52556746662522,C,C,115.09270435668624,-164.1137238864073,A,C,-99.56524025508364,D,-43.47880386621368,B,227.57693746501175,0.8117698146886242,E,A,0
None,Mental,UK,Male,B,A,-25.153115398702454,B,D,-112.42773355524143,-75.47949120604518,D,E,119.17647491271852,A,-16.26938753496069,E,75.34407226050807,81.66625736315723,C,B,1
Hindu,None,Other,M,A,D,-17.93393747952436,D,C,-150.89218100145118,-104.19190325232147,E,B,103.63615326498443,B,62.651118803322326,C,37.291468973022,-71.10497546665691,A,E,0
Other,No,India,Female,D,A,113.83662698276402,E,C,-6.525703573889485,-171.42753333592077,B,E,-181.56332480269003,B,-63.06616317186554,D,111.9664324782039,-109.66732406192187,A,D,0
Hindu,Physical,Other,Male,B,D,111.95675903073364,A,D,-39.56846057538171,24.554035826064098,E,A,-220.89111882944917,E,84.2583327024592,E,-38.48519663979732,-58.68820446856438,E,B,0
Muslim,None,Germany,M,C,D,-54.87109904522852,A,A,59.90141663615417,95.24319430503921,A,A,86.4143695540383,C,188.4593064233209,A,43.26359805800149,-75.47921713450776,C,E,1
None,Physical,Germany,M,D,A,-60.333041554823744,A,B,-62.16057085751614,302.45720562047467,E,B,-21.158861472980135,E,18.586470960329603,B,56.21460291658246,218.7499804205465,B,D,0
Christian,Mental,Brazil,M,D,E,54.41035548879402,C,C,134.47349470482385,195.90823849038296,D,A,-210.49388804484494,E,-79.3415323505515,D,-201.46273060843538,-72.7272509078349,A,A,1
None,No,Germany,Female,A,C,16.14579006273696,D,E,-104.15106923526692,172.76733022500736,A,E,163.0144582483548,E,86.07003947827945,C,17.059168832438928,-45.76179829317042,D,D,1
Christian,Yes,India,Male,B,A,95.40515441924813,C,C,-66.85539019174449,-53.20936554000615,C,E,-174.03543314322468,E,-183.25608316504386,B,-3.9736200562638073,22.947559281712085,D,C,0
Muslim,No,India,Other,A,E,-82.14652044153364,C,E,38.34277361365038,-53.03596361843282,A,E,24.927623276818096,D,30.065639318477626,A,74.60574678726701,91.1669137471815,D,A,0
Muslim,Physical,India,Other,A,E,9.756772994979885,B,D,-8.498269944760061,-161.0394559035737,E,C,51.333850890838505,D,72.6116611434187,A,144.58973723735753,-144.46083441812704,D,C,1
Hindu,None,Brazil,Female,E,C,-90.49572196043907,C,A,-6.170732402927503,-17.186664974788947,B,D,-53.11998538407051,D,51.26200173598656,D,-161.1323459854719,-94.32228087606399,A,C,1
Muslim,Both,Other,Non-binary,D,D,-51.80650857959637,A,B,-1.9742614477240208,20.830821403965633,D,B,-168.10131099762347,A,67.64527741381838,D,20.493027920359744,-43.46503648934264,D,A,1
Buddhist,No,Brazil,Female,D,E,-12.811212817232484,C,C,3.6743874802959757,-69.9020987412555,D,E,72.54056600491823,D,-19.40794895359691,E,-13.44710334575108,3.808921908138002,A,B,1
Other,None,Mexico,F,D,A,-9.069051350342464,D,E,3.988039173435461,53.21617627670305,E,E,-14.152683457197716,D,77.01967077715176,A,-32.493158441549106,-29.76453798595343,B,A,0
None,Physical,US,Other,A,C,-202.4449260595279,D,E,56.57409780486078,96.51291545983557,C,B,146.10362676479843,C,29.5187526410748,D,-13.353272994987533,-90.9590004169468,C,C,0
Christian,Both,US,Male,A,B,178.5809356332997,D,C,-75.12717112016742,-218.92621915838632,E,B,-100.79312736647591,D,-106.0987411466737,A,-56.69767768038799,-40.13835353453913,C,D,0
Jewish,No,India,Non-binary,D,A,-61.15792531746273,E,A,43.43505871814959,-138.6277670798598,C,D,-165.53892690438744,C,106.16696919804983,A,-1.6621661064862108,128.1388867749078,B,B,1
Jewish,No,China,M,C,B,-189.5530165064677,D,B,-63.63807335968418,69.6043155896987,D,E,62.89485255812962,E,93.05918069070874,E,152.98096934722727,-76.4732269148317,E,C,0
None,Both,India,Female,D,A,53.28105490889057,C,B,-23.99297685547769,14.05209452606819,A,B,128.74928861639052,B,13.415237878174718,B,-94.3166406135179,31.532000502207275,D,E,1
Other,Mental,Germany,F,A,D,-85.18419730946752,A,D,198.84185770115803,-10.622123742092676,E,E,116.6973343937437,E,81.30744699695605,A,-133.6178406413057,98.52795319623404,A,E,1
Jewish,None,US,Other,B,D,-56.9576830445891,A,C,-122.3239653381262,-79.33964734382944,A,D,125.8459849982042,D,51.99320065220753,D,75.68745657069486,-120.20602069672333,E,E,0
None,Both,Mexico,Female,C,E,-90.51446125783153,D,E,160.30796742878962,17.42917794964331,C,E,-0.9487236648869851,C,-37.170154046216894,C,-14.74738798990165,70.17529377015286,E,E,0
Hindu,Both,Other,F,D,B,97.53179429316985,A,A,23.48384633484528,-40.34614740498893,C,D,-128.8160947898305,B,-53.558761890566444,E,-3.192693017603006,-102.33580304060527,A,A,1
Muslim,None,Brazil,M,C,C,-136.02294570624505,A,C,129.01080180431023,-19.585007868786153,D,C,168.7626577206856,E,-82.25361762817903,A,-148.88947829947338,-112.00863657620481,C,E,1
Hindu,Physical,US,Female,C,B,28.809968223846415,D,C,-64.49981097276564,154.22254671533798,B,E,108.92647072059323,D,86.11613672247931,A,-118.47473299998023,-131.72076240463775,D,C,1
Buddhist,Mental,India,F,A,D,151.36565327378452,D,D,-45.59895452293271,65.92457142509069,A,A,-23.48655290055773,E,-118.25856113789864,E,112.78312367834722,75.83968081195971,C,C,1
Buddhist,None,Mexico,M,E,D,36.50557693103603,D,B,57.978474870747995,6.086483823430203,A,B,61.578525758782845,A,-77.94017076460933,B,-94.14485383476786,254.61646693383292,D,B,1
Buddhist,Yes,China,Other,D,E,80.06666140357727,E,D,-36.323914374242676,25.356654250796986,D,C,-78.70414547549815,B,122.90368235843263,A,-178.91602999230616,177.94325659035414,C,E,0
Buddhist,None,Other,Non-binary,B,A,-48.15699814083882,C,C,-76.75830698655656,0.6573796103029247,A,B,90.01321330886995,B,-45.095071574176075,E,-55.51325101103763,75.91113047315764,E,E,0
Muslim,No,Other,Male,B,D,143.57434228826557,E,A,-10.798545590533887,69.4954947548249,E,B,-58.317852555465464,B,80.46593714434569,B,-225.73402973778025,-10.87741722880778,B,A,1
Other,No,India,M,A,A,-82.63036767135871,B,D,-59.270556198970596,32.925941617553335,B,D,77.41080070996901,B,-196.50430616342967,C,-30.556810245104728,25.40631426306854,E,A,1
Hindu,Mental,India,Non-binary,D,A,-148.06131044976138,A,D,199.28871677401074,7.683697598166295,C,C,-71.82799836956805,B,19.276609859615398,A,91.669279845234,0.8616987378490895,D,E,0
Buddhist,Both,China,Non-binary,D,E,83.36195703739952,C,E,83.38973754442755,-131.3170668021387,E,A,-32.86268795233074,E,-28.99860002616448,C,79.11183854991557,-18.33261223259378,C,C,0
Hindu,No,Germany,Female,B,E,-36.58608772872848,E,D,13.418985313210815,-69.15600099371433,E,E,59.54854499004283,A,-156.26911511669178,D,28.888214355902843,89.5558705358141,E,A,1
Hindu,Mental,Mexico,Non-binary,D,A,-5.369158356571197,C,B,-11.872224621979738,-60.282748358549966,B,E,-0.19689269532164455,C,-26.902064268411085,E,63.32700955207892,237.29997857258044,B,E,0
Muslim,None,UK,Non-binary,B,E,-90.6916683003727,D,C,-63.11373072184961,-175.162568642248,C,C,-82.95066486764155,E,-11.625812842922894,D,28.357853850582394,-64.57636424404696,D,A,1
Other,Yes,Mexico,Non-binary,A,C,-75.95659749790266,D,C,67.59848861200079,-182.47165013169652,A,C,219.76964943649259,B,-163.62825445751528,B,-19.246478049017295,-112.05222705236525,C,A,0
None,Physical,Mexico,Female,C,E,-75.8214465280389,D,B,-185.39612297159914,25.920513851684472,B,E,-20.99920075509146,D,92.64090728891709,B,26.342041002650728,58.60551056481085,E,C,0
Buddhist,Physical,US,Female,D,C,-156.39822006665156,C,D,-281.4897047551334,102.86287525979263,D,D,10.605684248324451,A,-33.35426523389811,A,-66.52896814386976,-53.459519665562595,D,E,1
Hindu,Physical,Mexico,Non-binary,D,E,39.59089792571391,E,E,116.58701431569499,-16.31460820179324,B,D,42.45243983569595,E,-32.14148310688855,E,-89.43198362453441,262.4433031568733,B,B,0
Christian,Physical,Brazil,Male,D,C,15.163298817043305,B,D,27.30194975700757,124.4562761054907,E,E,46.48899061118832,B,-13.742646956303059,B,79.50013791178783,-62.56812271659926,D,E,1
Buddhist,No,Germany,Other,E,B,91.99998607456487,D,A,154.08945287483792,-75.9105045236617,D,E,103.84539569253441,A,155.1116431723821,B,-138.40133330857597,-73.75126843532946,B,E,1
None,Yes,Germany,F,C,B,-31.89415896813116,D,E,-179.77027624251264,-131.13097221286182,E,A,36.082723141292576,E,-46.65989210525237,C,-107.05418392969119,-20.37627135435825,E,C,1
Hindu,No,China,M,D,E,-115.21398447650168,B,B,79.2340766860869,-25.35920526071342,E,A,-60.94817773757559,B,-29.732570669043017,D,-66.03437911968395,-59.092504368622436,E,C,0
Christian,Physical,Brazil,Male,B,B,-127.71879273910803,E,B,37.93492159817476,-79.67979341484474,D,B,-272.31791282731615,C,-2.060252015025016,E,45.76657892400278,106.5611733950528,D,E,0
Christian,Both,Germany,Non-binary,D,D,30.185618747194265,E,D,-5.795301392425477,-146.96787145949423,D,A,-144.8681488383709,A,25.277860786734248,D,-31.542081608189896,123.73752378406107,C,A,0
Christian,Mental,Mexico,M,B,E,-26.180245237644094,A,A,-72.01711434157475,-71.58288218849187,E,A,-25.270324487892964,A,39.47773323825754,A,181.61001053588487,106.82971807544253,A,D,0
Jewish,Yes,Germany,Male,D,C,127.37676408597136,B,C,-110.84253153155072,18.16721331050547,A,B,-46.37541824763986,D,58.19756727715314,E,4.220114849876443,113.52474416993086,B,E,0
Jewish,Physical,India,Male,D,C,175.1139464671945,C,B,-11.074757538708582,103.35669499314281,C,A,-0.7976677833125303,D,-26.3543718701425,E,-312.99026475117125,36.281583705647016,D,A,0
Other,Physical,Brazil,Non-binary,A,E,15.333330330760589,C,D,-14.818739355901336,-1.3502245772530963,A,E,99.99419355699686,A,157.09332374916153,E,-40.89342933160696,18.448067232614733,B,B,1
Buddhist,Physical,Other,Other,B,E,124.74631909671037,A,A,4.302300717279444,18.340968505962653,B,A,46.7725619071422,E,176.21729106870714,A,-149.2387425766321,19.463148756007705,A,A,1
None,None,Germany,M,B,D,-28.599165292513938,D,A,-147.68028460338692,-3.3996031411187997,A,B,150.04902445168312,B,-29.548211484542712,D,64.7031748434867,22.659612900955185,C,E,1
Muslim,Physical,UK,M,C,D,25.205023027405073,E,A,15.695414401727598,63.58869304128804,D,D,-104.57786878667248,B,-33.63171960723176,A,199.8724361934783,30.082823613119707,D,C,0
Buddhist,Yes,UK,F,B,A,55.57516129986375,C,C,-166.31850091974368,-12.745474678143223,B,E,-139.39256761597292,E,30.921877616201865,E,-5.192972049859507,-50.29594922243439,E,C,0
Hindu,Both,China,Male,D,C,154.5838959437172,A,E,31.88339920676765,55.72369425142778,B,E,87.7269902494758,C,172.61995404654448,C,-57.04865173214188,161.10451458075704,D,C,1
Jewish,Both,UK,Non-binary,A,D,-27.131113277604424,A,B,59.490853065956486,211.08031430547157,D,B,-224.71684051167924,D,55.81917969986871,E,-81.54387286367991,-17.29627323035472,A,B,0
