sex,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Non-binary,45,D,E,C,D,D,35.61397501829342,B,304.3778793882634,D,4.63458565052926,-79.42512665130721,A,D,C,D,-148.5394156913169,113.97184738237746,1
M,66,C,B,E,A,D,-43.45663051783332,C,106.67224007917537,A,-104.06878342690061,-93.35554664093362,B,D,D,A,-75.7706740716665,-17.52836377194339,0
Non-binary,58,C,E,E,D,E,84.67130858611496,E,65.7253711487051,D,-82.02113320608889,-138.82509159390756,E,E,B,E,-17.022096032439507,-65.22695202563618,0
Non-binary,65,C,A,D,E,B,-8.753723377212358,E,36.74580788743641,D,64.00901990913475,-144.8984151756378,A,A,C,A,4.507597406687241,92.83607977174971,0
Male,61,D,D,D,A,D,32.882723457222355,E,58.11779446312039,D,15.98592984310818,55.9548599522943,E,B,A,B,-8.346466545033078,-33.737049305311274,1
Male,57,A,A,E,B,A,15.931824509595119,C,-0.19694075112979165,B,0.7331456690458789,-41.966938245109596,C,E,A,A,-90.97546000283083,72.22472150157586,1
Female,18,A,D,A,A,B,-3.984314848880768,D,59.9013445032053,A,163.998726073377,-174.79071700460003,C,C,A,A,-31.40434114320096,-185.8988427505804,1
Female,59,D,B,B,D,D,0.8999759064936198,C,-240.7862290414571,C,52.9660374477088,-140.50550559513172,D,A,D,B,119.62741630573477,-142.96990921288042,1
M,24,C,C,A,B,B,38.527756132412186,B,-177.24666265393546,A,-168.36890040394485,-118.44080959678666,D,D,A,A,48.623350282624095,202.73876537999328,1
Non-binary,57,D,B,E,D,E,198.01367646149754,E,-165.35965025243823,D,12.703685808381548,191.435395350049,D,D,A,A,-51.99253707041143,-104.61549067713017,1
M,52,C,D,B,C,A,-10.268449582167813,B,-121.83382871728534,E,-121.65747647443274,0.7508128848793211,D,A,E,B,-215.3034989515245,53.96797326555702,0
Male,62,D,D,C,D,C,45.04902369831324,B,137.27750696550208,D,77.9597077451067,101.63793610977017,D,C,E,D,-45.91986154296826,-22.630980423524687,1
Female,19,D,E,B,C,C,-11.012850441471144,D,-88.86351629852274,D,36.365531094222504,-101.55141859728074,C,D,B,B,-1.2884564259389646,25.808796089521802,1
Non-binary,38,E,C,E,E,A,31.66184182671555,E,26.33022281770897,D,-71.05610588464081,154.01922648630122,E,B,D,C,178.06739901154478,-69.99237455716198,1
Female,19,D,A,C,E,A,-45.77503124764939,E,74.85948936901158,A,135.60776989305927,11.981267040895519,A,B,A,D,7.329872897716816,-121.65900502072351,0
Non-binary,56,E,E,D,C,D,-34.7330950014033,D,51.23634024104481,B,151.028603440898,-130.2788079644906,B,E,C,B,-65.51121419071447,26.81678890163176,0
Other,75,B,E,C,D,D,-255.47735689967982,B,-29.95444951202011,E,-64.07098667406103,-84.508685867147,B,E,E,C,-156.92733783986895,-29.730106838473592,0
Male,33,B,C,C,A,C,18.524376099125575,C,-48.83410340869505,D,-48.48804603811367,46.36310722529112,E,D,B,C,-86.25816507204027,76.53920833271192,1
F,21,E,A,C,E,B,81.7693615478349,C,62.5993728845309,A,-83.08145240922777,126.84813501390546,C,D,D,B,-79.91921472806763,-103.49849653733033,1
F,78,E,E,C,E,B,-46.236042196547544,D,-166.32417826610563,D,29.025691624921535,149.5751919190339,E,A,C,C,-30.312753717133884,106.78911799893989,0
Other,23,A,A,A,B,B,24.64616846441092,C,13.004380086585595,C,-79.76453800950377,96.79778723930646,D,E,B,C,159.83991010912234,-15.252595046915873,0
M,22,C,E,D,E,C,95.87379442546407,A,106.71065083634117,A,34.514062355236305,-65.02074461021508,C,C,D,E,69.03047015300868,-114.30471311295254,1
Non-binary,76,A,D,A,D,E,-167.05036366026397,B,-24.94494487007756,B,104.639446382055,37.87077127442149,A,B,E,D,25.325035334969282,6.0409124380770205,1
Male,67,C,E,B,C,A,117.40907024303185,B,28.89032683684337,C,-44.03928365594821,-15.257351909814581,C,A,A,D,-74.6013641786432,132.8407194095207,0
Other,60,A,D,D,A,B,-31.767168571506378,D,38.60289360933347,B,-111.74267221351757,-33.072990315459535,E,A,C,C,133.39045819823846,88.08011719018658,0
M,62,A,B,E,A,C,-222.90025532022148,C,-30.500393339342292,E,-43.33797016123862,201.68205344514672,D,D,D,C,-92.48186100800324,-14.04807315179601,1
Other,40,C,C,D,A,D,18.843236259384586,C,125.00453321883116,D,143.26572569344856,-90.2703430870312,E,D,E,E,-123.8601013202433,53.30165397918184,1
M,67,E,E,E,B,B,39.161774611932515,A,-173.22774149672145,E,-102.20031533163898,229.87638219987224,E,A,D,C,125.69739691728905,176.52351885586384,0
F,57,D,D,B,D,E,63.480370858881706,E,-10.214111268390674,A,215.22059688030976,34.12939616279482,E,E,E,D,146.89993914407896,-60.20448788794525,1
Other,40,E,C,A,A,D,-5.8002997865402435,C,-30.66501429021171,C,-57.26886462628469,71.98893594125907,D,C,D,E,75.14090220768598,-50.157090870583524,1
Other,41,E,C,C,B,A,134.3721584572335,C,17.954008145335223,D,-128.409317858454,28.54312477654088,D,D,B,A,174.29695766707238,-23.158622434106448,0
Non-binary,20,B,E,B,D,A,-90.80984086641357,B,7.818694456925295,B,84.52897671676146,187.90397998201388,E,C,B,B,-50.190192533381705,125.45593372929773,0
Male,50,E,E,E,C,D,-40.13418948125063,B,72.74182693415622,B,-155.61010799283605,0.42220130771285885,A,C,D,D,82.72921538707142,-1.9747971230587569,1
Female,55,D,C,E,A,D,88.3157715322745,A,55.71144083463891,D,-37.0015447612803,9.525069067549833,A,C,E,D,54.718252794619126,161.8539186198534,1
F,57,E,E,D,A,C,8.763182142543162,D,-70.62673680473317,E,51.39927142469561,-83.33983791631765,B,A,E,C,-140.8848760087794,18.329892516087863,1
Non-binary,23,C,A,A,D,C,-106.55125165351167,E,-110.14236718829234,B,37.949073154991666,-211.20935533787858,E,D,C,B,81.83205225963205,208.64376186679445,0
Non-binary,73,D,B,C,B,A,40.930650854766576,E,-302.26689304218473,C,110.91115986605375,47.64270156517046,B,B,B,D,39.017902019164005,-50.11206303971044,0
M,27,E,D,E,B,E,-177.0449605688558,A,199.0038610790475,B,15.538715212698035,274.2303863067425,A,D,E,C,-157.99167927601428,-149.3293067571217,1
M,39,A,D,C,C,E,-67.75684942570172,E,16.292609229084082,B,-36.48860999217259,-15.287843159591228,D,A,D,B,-74.70274398314398,13.104399986942186,1
M,52,D,B,E,B,B,74.00653528213408,C,-192.27349833973616,A,-182.4606957739749,207.85534064465713,E,D,C,E,133.43293127430272,-152.85686631576786,1
F,59,D,A,C,D,B,-72.08528327085503,A,-33.84099862698507,C,207.67968896364016,-12.098644713413034,A,A,B,D,19.28048265545582,-133.17276230633448,0
Non-binary,19,E,D,A,A,E,-136.42370790877231,C,-171.58238179251435,A,65.38574241303186,21.66940319623366,A,D,A,C,-37.30656892199927,-71.79113935386059,1
Female,67,C,C,C,D,B,-191.52925816548506,B,-92.21777051554831,A,-85.90755758538852,-67.65486498907829,B,E,B,D,6.096162860626065,183.0370416453976,1
Female,79,C,C,A,B,A,-168.90394338070305,A,80.44354213701243,B,-58.59671591169804,41.27555324639754,C,D,A,C,130.99497331240605,-28.154358403862652,1
F,75,A,B,C,C,B,-190.71121591161688,B,165.09738191199202,A,-133.12309495580718,-96.57016258265445,E,C,C,D,-31.835821484598036,91.40071528928767,0
Male,62,C,D,B,A,C,78.63029288197458,A,138.66097611395747,B,52.55928817885703,-58.12277961820336,E,B,D,D,-91.0071372794329,41.06230842950395,0
Other,51,C,D,D,D,E,21.725215820814288,D,-163.16238690758323,E,54.97268519207567,-58.601324789993456,D,B,A,B,2.7350684453027836,45.60427535501732,1
Female,21,D,C,A,D,E,139.2428938029974,C,-61.49297608083878,C,-0.05388348925128842,-89.65271315737024,E,D,C,D,-4.8943245887687485,-178.60686197439338,0
M,20,D,C,A,E,B,-0.6727440183444322,C,91.7751381617659,E,-86.26307909455271,17.649456198495532,A,B,D,C,72.84480972742907,-2.0938606059005678,1
Non-binary,27,E,A,A,A,A,-116.52045353856619,E,-64.27817064165097,B,9.759830754102406,-107.75203966544262,D,B,C,C,44.24604179024609,-55.062969969099406,1
M,64,B,B,D,B,A,25.37475302700818,E,-12.145516598059286,C,26.1123169660517,-175.37316533430192,D,E,C,A,-182.98740737919795,-70.50483893486054,0
Non-binary,69,A,D,B,D,D,-10.504171481851614,C,-151.97064300906996,E,128.50720561993245,56.87673620000477,A,C,C,D,58.087954131454936,163.834932887587,0
Female,69,E,A,A,A,E,52.06671137300607,A,107.12804801878055,A,-58.187795497885,48.61554726910619,D,A,C,E,-54.129040525801166,-145.14754474910288,1
Female,77,D,C,E,D,C,-93.21892656714326,A,-250.56204707215008,B,13.543850090022683,127.14921221329112,A,D,B,C,-248.12720184168967,78.34695453960671,1
Female,73,C,A,A,B,C,-186.1081253118333,D,-211.97034849122613,D,-29.36568969796548,-72.59591133631915,E,B,B,D,157.86990383455716,-97.36536829833281,0
Other,77,A,B,D,C,D,218.73558131135252,B,172.52231696504668,A,142.6859102327291,-157.65155063320532,E,B,B,B,-136.1723461663074,-17.694097968129153,1
Non-binary,19,C,D,C,A,B,-117.49763788372208,D,-36.36120687962027,D,19.976343158925864,-48.39922917241046,D,B,B,C,231.24086442017523,50.17980677656303,0
Female,49,C,E,A,D,C,123.42829904092815,A,-4.739231887059189,B,-69.33757460799484,145.4562531208045,D,A,B,C,-67.88873651921821,94.83639186473044,0
Non-binary,69,A,C,B,C,B,-79.13847050590266,D,-79.30208038319275,B,95.11690207860633,-173.26112816447161,E,E,A,E,-150.29582717054143,5.692999734080975,1
M,65,C,A,C,E,D,-51.48830663816836,A,54.542309728026424,C,-76.46432474872614,157.2325945848827,B,E,C,A,33.828248006553544,14.922439171784802,1
Male,66,E,C,D,D,B,146.5308971311327,C,287.13060717807195,C,-60.28047125272392,-39.57595668829118,C,C,C,C,-158.2681226533013,77.15511387080818,1
Non-binary,35,B,B,B,D,A,-85.1812734890948,A,87.42833895929905,C,-21.20793942565595,-1.3752928010498648,B,D,C,D,93.5458815401864,-30.461420812882732,0
F,60,A,E,C,E,C,80.7269690055902,B,-153.58571655758266,A,-124.56108092271485,-38.54894053785249,B,A,A,E,-87.41192928077987,100.40736830023502,0
Non-binary,71,D,C,E,A,E,-171.9204631217537,D,-31.57574479999302,E,-91.39449916695874,-91.8834383496514,E,A,C,E,-83.70784367728524,180.2323879421324,1
Other,74,D,E,A,C,D,139.44201767277755,C,-191.17670276850654,B,41.15075528240889,-137.80127109159207,B,E,D,A,-213.1843721455486,-112.33149424619651,0
Non-binary,23,E,D,B,C,D,-4.831180281033809,E,-47.54236344539374,B,3.3971886488775715,-17.020568576348282,D,C,E,E,58.15519270655529,-92.97649592939207,1
Female,24,A,C,A,D,B,55.110697791456474,D,7.189287439218823,E,-45.3344930415297,23.991475255452198,C,E,C,A,-66.33481372290008,-78.65765542132868,0
Non-binary,43,C,B,B,E,A,-47.939191351690745,A,-34.71517084256895,C,-233.44301444295442,-55.07824264261456,B,D,C,D,-45.39917473490145,263.83964259998277,1
F,51,D,B,D,E,D,164.38204418219624,D,88.15333740539094,C,12.089389940880936,-29.124038094232546,D,D,A,A,1.8280390737271575,63.165809450244936,0
Other,41,C,D,A,A,C,41.16577159320489,E,33.55351463376987,D,-22.066895855499755,95.46185769848503,A,C,E,B,196.84697339784765,60.344971469548355,0
Male,40,E,D,E,A,B,-78.08513432046918,A,-104.19452732885563,C,-123.96903476289553,-104.94251420165708,C,A,B,A,-7.368124427554804,-59.61150927488398,1
Female,30,E,B,A,A,E,134.94576176807647,D,49.7636446529514,D,-156.53010950595137,-117.06390699002532,B,C,C,D,-14.941088810545592,72.89705723426772,1
Female,63,D,E,B,D,C,-96.08712083077057,B,54.633644737642065,A,290.5786002514136,19.35149400937135,E,D,A,E,19.85124891091935,158.3702475526052,1
F,62,C,E,E,E,E,-44.57422108706816,E,83.33651113565965,D,104.294517200446,-1.1670466536149786,C,B,A,E,146.16084829137924,-107.50045568401767,1
Female,62,B,D,B,B,B,7.185077684254006,C,103.87575519621848,A,98.6599007554798,-25.61021244513612,E,A,C,C,-86.4423156056826,-15.579510721128809,0
Non-binary,18,A,D,B,D,C,-119.45591503645277,A,-70.17779411784471,A,-34.79665906689911,-3.9323600815524773,D,A,B,E,-129.481143670024,-188.6366927303124,1
M,28,B,E,E,D,A,-33.98828178528932,C,33.76244801212806,A,-201.24566891352532,-113.69650861918454,A,B,B,E,37.48837683679915,96.43710704941168,0
M,73,C,B,C,A,E,-28.42166932952617,A,236.52742063168864,D,-96.65628457220711,-142.11682217907025,E,C,E,A,64.720753283111,87.84822812399385,0
Male,67,A,B,B,C,B,58.34743655175539,C,132.26977841641053,A,-33.78851064545906,-149.44691485443778,D,B,C,E,-55.637915232041344,-153.38459487224515,1
Other,34,C,A,D,A,B,19.641787641425484,D,25.74258131330702,D,-194.7097675181674,-10.118451527873377,C,A,C,E,-115.12587855843184,-107.90377719805035,0
Non-binary,28,B,E,C,B,C,116.52441079230013,B,-71.59708949316818,D,-201.61015641517085,50.309766711701364,A,A,D,B,-34.000114761198674,89.71942885205998,1
M,55,A,A,E,B,E,-45.793209288320185,C,-53.06189135905418,C,-83.88430711334884,-105.61679206088566,E,A,A,D,48.32399611129203,-139.6608044756897,1
Male,58,A,D,B,A,E,122.66426407352623,A,-191.3592655477352,B,15.807753177232334,20.636060291233203,A,A,A,A,101.45919994673925,-33.26607375313597,0
F,21,B,E,B,C,C,-66.45046227956358,A,-66.15217449807228,A,16.18364959533437,-59.852238671072044,D,E,E,C,61.45479425460726,-123.31246974202254,0
Other,70,B,B,A,C,A,-5.371389130430847,D,-16.5165218538113,C,-116.50180085923334,-43.856924217697355,E,A,A,A,224.2181624391874,-0.4125513694240681,1
M,67,A,B,C,E,E,-94.59223839947086,D,-102.63693710238331,A,-28.810185907640673,48.07734439698142,B,A,E,C,18.405004024418282,-60.020080834861844,1
F,44,D,B,C,C,C,45.34213179091004,B,237.09092275294967,C,-25.288012036306746,-7.751809541005747,E,D,D,C,65.54318682649297,-120.60519220618082,1
Non-binary,51,A,C,C,D,E,33.29567016336364,B,103.46646023123547,A,-29.579988262921226,111.76933894884739,E,B,C,C,-1.8551438798044426,-187.6283789053582,0
M,44,E,C,C,D,B,38.73443719776098,D,28.24570357852289,E,79.00121657816452,-34.11395138562735,E,A,B,A,-220.66431023750903,-42.87022115626635,0
Female,73,E,E,A,A,E,126.86055209637541,D,80.4496377670682,A,-23.63584738447905,-26.086096418935114,E,C,D,D,-101.1260460166797,-78.9507703123695,1
F,25,D,E,E,E,C,150.2117733759434,D,-159.4902011917343,E,110.2939401167559,-84.40652448235858,A,E,B,E,65.3835658728337,-68.00735065537037,1
