religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Hindu,Single,D,D,-72.19507237945614,B,139.9912604777503,E,-11.082629729943216,D,B,-70.42094179519245,E,A,126.59650438323997,A,0
None,Widowed,B,A,61.41046851249531,D,-94.12802008342493,D,-38.11304029359539,A,A,95.84912083852204,B,B,-125.35153972785405,C,0
Other,Divorced,D,D,116.05755456682061,C,-93.43852615631457,E,-18.423541330906637,E,E,-41.943070214465045,E,B,-58.259794387598596,B,1
Christian,Divorced,D,A,69.20356652286233,E,112.18854741629684,C,126.19758376961995,A,B,37.19627114009754,C,E,4.945737442655145,D,0
Other,Single,B,D,-170.51412497906472,E,16.082265045230542,A,-168.34167079427147,C,A,148.95386371152463,C,B,-29.82895708574718,A,0
Jewish,Single,C,A,154.6301954047261,A,-57.686474307673606,E,160.7965053785214,E,A,14.67808696413443,D,E,18.208839627558138,A,1
Jewish,Single,D,B,129.4707581536824,D,-190.2797373797917,B,-24.026938059051037,B,A,-164.13625595444822,B,B,-9.926600857132925,D,0
Christian,Widowed,C,E,94.85745012903243,C,-6.290954731325405,B,-273.32476447932993,B,E,-37.049003716170546,E,C,-165.65353920604008,A,0
Buddhist,Married,A,D,-12.763036047167967,B,-14.139759040849425,C,-15.112927934057705,A,D,-120.15150038707955,B,B,-64.7967974718193,B,1
Christian,Divorced,C,B,-33.05558427050734,B,-5.6284332630501295,E,-136.06687769243118,A,C,-176.97467899689687,E,D,-5.051458051674611,B,1
Hindu,Widowed,A,C,118.39255939437005,A,3.610273477436986,D,118.57307777665567,E,E,46.14075632220687,B,C,-173.01492156314094,E,1
Hindu,Widowed,D,E,-196.53864818850246,A,-7.971753438798812,B,32.068867380092165,B,D,214.0953490379548,A,D,10.647754477684831,E,0
Jewish,Divorced,B,A,78.28347248444523,A,-186.206286029309,D,25.859934798307567,C,D,-53.211714342695124,B,C,-85.70379666984557,E,0
Buddhist,Married,A,A,-64.34938339431147,B,1.994561218242739,C,-49.97480480091627,A,C,102.51101194653064,B,C,-96.2743161603372,E,0
None,Single,B,E,3.758676588694976,A,-62.89405110430103,C,-126.70796128782602,D,A,108.28258338328386,E,C,-16.643764247547242,E,1
Buddhist,Married,D,A,-23.048246904285747,E,175.96055862113315,B,-269.83647437647204,E,D,-115.37443669404428,D,E,-38.3573702861057,A,0
Other,Married,C,A,130.17407497246813,E,-74.29804339090515,E,-64.86010068660461,C,E,152.06909643644534,C,D,-12.023135554798381,B,0
Other,Single,E,C,106.56089055201734,C,93.58793862724116,C,-93.05250532362275,B,D,82.64576790302914,C,E,214.7400621337407,E,1
Muslim,Divorced,D,E,85.46792068135429,A,6.970448888392572,E,-98.53940800550228,A,D,157.871302988563,C,A,12.210392904254567,E,1
Hindu,Married,C,D,-115.05574582644475,C,-129.46232701226435,C,-54.8760162257668,C,B,-64.00762864177288,C,B,-109.81240124320102,B,0
Muslim,Married,C,E,256.554245261447,D,48.37360971459589,E,10.886466137624256,A,B,-209.1715203781704,C,E,82.32336882847318,B,0
Christian,Single,E,B,-107.21286879126315,A,113.43754690172823,C,101.32842516798223,E,A,-88.4292903562571,D,B,84.96530906919556,E,0
Hindu,Single,A,C,71.1417377990778,D,-79.47622756181786,B,-9.902129609682554,D,D,-136.01262556636803,C,A,-85.3867932829871,B,0
Hindu,Divorced,C,E,102.55349234110017,E,70.21811423203951,B,32.05058549285761,C,D,26.08026608322791,E,E,73.51155084319893,C,0
Other,Widowed,D,A,-23.087992111463084,A,97.96213710628939,B,29.16953407413745,E,D,14.044068452617402,D,B,-118.8028629502409,E,1
Hindu,Widowed,A,B,32.76515565401794,B,-136.78133391650178,A,37.213414585345845,A,D,47.15582353103007,B,E,193.64286830793282,A,1
Buddhist,Widowed,D,D,-39.5892523402088,B,-138.836076860639,D,-4.349235502102033,B,C,100.26025689898252,B,B,47.857025245754016,E,0
Christian,Single,E,C,-12.391317618719121,E,-67.90161814153745,D,-18.498036278422674,A,D,-216.0792906708465,A,D,-152.78117933932265,E,0
Christian,Widowed,D,A,-40.07411741032782,A,68.24593352206033,C,-4.622395683518054,E,C,-155.55658450336222,E,D,-27.861033903416143,D,0
Other,Widowed,E,D,16.77001326751368,B,-150.78475154964568,C,113.17947179058817,B,A,-91.7444848793729,D,A,48.40532743001796,D,0
Buddhist,Divorced,C,D,-141.62993983069506,E,9.411435734082978,A,156.9915990634343,B,E,-33.438355576454484,C,E,167.83048690126193,A,0
Christian,Single,A,D,-30.952326120618988,A,-56.24058182583769,A,-74.77612449854719,C,E,51.445404398065484,B,D,82.00838466704026,D,0
Jewish,Married,A,D,26.470578317137498,B,-29.511294424302747,A,-82.32684602807852,B,E,-1.8404210973494606,B,E,56.31117398244587,E,1
Jewish,Married,A,D,31.674525216777045,B,82.61996377883113,C,-43.796524786734295,E,A,-185.41035791322884,A,E,-32.885473587312234,B,1
Hindu,Widowed,E,E,-30.545152180088582,E,-28.85928743118336,E,-64.20586132310532,A,B,26.53523074978217,E,A,15.725363525225818,B,0
None,Divorced,D,C,18.86676628786843,E,4.567442691906145,E,-117.09065119992175,E,E,-11.75817789004436,E,B,134.8071724880733,A,0
Hindu,Widowed,A,A,-9.558113429769168,C,-108.5080821929726,C,105.63551388785963,C,E,74.91695237662545,A,D,-83.51609210958102,B,0
Jewish,Married,B,C,150.27894916591654,A,13.382037653514924,D,36.979364185889345,A,B,1.6337981891704638,A,C,-20.763702490667956,A,1
None,Widowed,B,B,1.3730066571345663,D,31.050388258247974,A,-25.49551636512349,A,A,-21.63906285674813,C,B,-36.10354969855644,E,0
Hindu,Single,D,A,-83.21618378745447,B,113.39883087187368,A,129.09982640527576,B,E,-77.29639391343727,A,B,89.93745127576096,D,1
Jewish,Divorced,D,B,-138.41303403350184,D,-29.44082946958803,D,4.375766788310332,C,E,47.73362070310942,C,A,33.15592769575059,C,1
Christian,Divorced,B,E,71.72618037409778,C,19.07018834685604,A,-156.27299058087664,A,B,16.723588497528542,B,C,-87.46646245746517,C,1
Muslim,Widowed,C,A,-37.093953674076296,A,-68.25782129031151,C,20.814701093943743,E,A,56.83138954525029,E,D,-91.48406122771438,C,0
Hindu,Divorced,D,A,-196.6812582577377,D,157.2044107493553,D,9.584904306487141,C,B,-252.53912171322978,B,D,16.15600366361286,D,1
Christian,Single,C,C,-119.6340524571283,A,83.47771064809399,B,78.11766950387944,B,C,71.57816648546375,B,D,179.2458492547662,B,1
Christian,Single,A,C,82.60703226103078,B,6.958639506380204,E,-68.07567042301528,D,C,-26.864379567602505,C,C,133.9383737155267,B,1
Hindu,Single,D,D,-29.644915911768184,E,-145.06432528133334,A,-11.756069446678206,A,C,-35.517824258168204,C,C,47.60168221006247,A,0
None,Widowed,C,C,15.438240141674356,D,42.461025233409785,B,-87.02715957437549,D,B,-18.88891713928315,D,A,96.22749587731593,B,1
Jewish,Widowed,E,E,-246.61452078186744,C,61.386639015414865,C,-139.94766163542695,A,B,46.32602605998997,A,B,-79.47892409749552,A,1
Buddhist,Widowed,B,C,-5.571754260912163,E,-184.08947083538717,B,96.33124512277834,C,D,30.910086627931378,B,A,-143.19903628275287,A,0
Hindu,Widowed,D,A,46.20202249212404,E,5.077853647073256,B,-58.38214556359963,C,B,-126.7221025452555,A,A,26.19784496610702,D,1
None,Married,E,D,5.625788011993575,E,34.38542051746488,B,-61.776125371447876,C,A,-160.99631818644465,D,C,119.51266550522976,E,1
None,Married,E,A,-48.01500052916911,C,149.28706691200793,C,41.3012280795655,A,E,-108.15701322303455,C,B,111.56139462404815,A,1
Christian,Widowed,B,D,-82.06800636395386,E,-137.54514576034458,B,-38.491347126138805,B,D,-37.52129671389807,D,A,72.02938097577346,D,0
Christian,Widowed,E,D,11.222085538417918,B,-150.427986574044,D,-362.17855274976614,D,A,5.036776251500614,D,C,187.37425002771195,A,0
None,Married,A,D,-4.153478858857805,C,-53.978145695416224,D,103.17127829664088,B,C,-0.8730984588555868,D,D,16.364620170423912,C,0
Christian,Single,A,C,56.401975037073925,A,-23.956731598684755,E,51.305034293702164,D,A,-83.35126853480386,D,B,77.97372947859544,B,0
None,Widowed,E,E,154.98265843146393,A,-91.76410402890143,B,7.305411792317559,C,D,-65.08517644407983,D,C,-137.3761511433659,D,0
Christian,Married,D,E,37.55382833517724,B,-27.98749201106675,E,-70.74968294964953,D,E,39.570950638099575,A,D,23.78145413760456,A,1
None,Married,D,D,-100.00428172919331,B,43.71729940469624,D,-79.07335303122754,C,A,57.23673629611136,D,C,76.62634475239095,A,1
Other,Divorced,C,E,23.64767948198631,E,60.59137120467884,D,124.35478766492129,E,C,-152.1145841972678,B,B,-76.42888077307019,B,1
Christian,Widowed,A,A,-34.236405720212005,B,73.58110852551934,B,102.41988568481311,B,D,-76.4804310734804,A,B,-20.534838950117408,A,1
Christian,Widowed,D,D,-73.07015691658692,A,-59.78145611765788,E,-60.13667052223054,B,A,128.63106517001808,C,B,-150.40429117211437,B,1
Other,Widowed,C,D,-145.1192459380396,D,35.539964339770314,B,8.635878429194314,A,B,16.46497130883725,D,B,125.86080679035972,D,0
None,Married,A,E,-114.34842494289106,A,-79.15526913474736,B,60.00137487829888,C,A,-50.91052545570114,A,C,44.73689743539083,C,0
Christian,Divorced,C,A,169.88057554651823,A,83.3758284887009,B,23.869618085404717,D,C,-64.3091270797194,D,C,174.0452323813676,C,1
Jewish,Married,D,B,-130.8188083954481,A,-153.65243527493274,A,-129.93067444274715,B,A,37.57566554573696,B,C,-39.49492225000426,A,1
None,Single,A,D,11.057371560395998,C,47.62295833616286,B,-135.95990147994945,B,C,45.724959834859455,D,C,109.32386084540869,A,0
None,Widowed,E,A,95.79925904957749,E,-11.861084051698771,A,-6.69969943694399,E,C,-178.5902528951575,D,C,32.8262568703999,B,0
Hindu,Divorced,C,D,-32.07386418805467,E,21.51091830957745,C,10.063786954113601,A,A,52.674749796579626,A,B,52.12289555314199,A,0
Muslim,Single,B,D,52.25519189272391,B,51.78666553111956,A,-38.877896067977645,E,A,-124.10493813284515,B,A,-171.09063271759112,E,0
Buddhist,Divorced,E,D,124.62573695845822,A,-144.35094823299585,B,28.953962395692205,C,E,25.690046187824418,C,C,79.21044245960138,A,1
Buddhist,Married,A,E,-55.18822981755142,C,-247.53073226720218,A,51.57643699652943,B,B,-4.96437662608691,B,A,135.38091647059994,B,1
None,Widowed,C,A,34.78675882257479,C,-40.37010591281934,E,-133.88822801329084,B,E,-102.8778908914616,A,D,134.93617575079537,D,1
Other,Divorced,E,D,61.5020036474875,C,-8.336154095021174,B,-23.673075660297048,E,A,-8.014151028119088,A,D,106.33357898606461,B,1
Buddhist,Married,D,B,47.634117618294766,B,221.9839344328171,C,58.87863512246243,B,A,-21.624422996175124,D,B,-29.754645657739964,B,0
Hindu,Single,C,B,-107.56160945963033,B,-76.4657801702497,C,3.046587411422394,D,A,-72.83828294306942,C,A,48.82206335408713,C,1
None,Widowed,E,A,-105.69020284303434,B,152.69984310055747,B,79.645042137525,D,C,-75.8503464185376,A,C,-7.180000895804496,A,1
Buddhist,Divorced,C,C,-55.430505963016984,E,-112.39860179818639,A,-135.15430868570303,C,E,51.551796719223006,B,A,-108.1472646632523,A,0
Hindu,Single,E,C,275.50266770460854,C,-73.0451421022527,E,-172.48079978730584,A,C,-81.31795527841152,D,A,108.10273720528917,E,0
Jewish,Widowed,D,D,-132.2306535571061,E,88.44696081589008,E,54.998849980511174,A,C,-108.75387467062214,D,E,142.83394843868976,E,0
Christian,Widowed,E,D,119.1812612640306,B,2.9343288165374117,E,-55.9961069782142,C,E,-42.148993470616986,A,E,1.0626332793253102,B,1
None,Married,A,D,-263.98135957774355,A,-82.0439214768218,B,-41.78812250308021,C,B,-94.58546591124538,C,B,-9.68005653633863,A,1
Other,Married,A,C,59.64474177468993,A,5.258587312140521,E,-25.96307693539822,B,B,121.58330147335663,B,C,6.1835597839691365,D,1
Muslim,Divorced,C,E,162.54869679410854,D,-87.61102193662533,B,42.50131044644932,C,C,2.1000240341206937,C,A,-47.3977904182369,C,1
Jewish,Widowed,D,E,100.08146642823512,A,80.63326816783461,A,9.1977334811427,B,E,-12.76376324343115,C,E,54.27269682231059,D,1
Other,Divorced,B,D,-64.92800697426313,E,164.52990111145945,C,-50.25757623567111,A,D,-28.64684613003277,C,C,18.338906974124384,A,1
Jewish,Single,E,D,-8.615836351708303,D,146.51294797857977,B,-24.951696458043276,E,E,187.22125279457862,C,D,-46.76144042992079,C,1
Christian,Single,E,B,0.11983152400327178,A,-85.53665633912459,D,208.32826147802135,B,A,-150.56790013571813,E,D,37.635668162179286,B,0
None,Married,D,D,-27.903295386960806,B,-43.724876152396426,B,-101.88248314292854,C,E,-42.36756803520559,B,B,-55.512377415872436,E,1
None,Divorced,E,B,66.2875687695649,A,-62.31908794230204,A,-87.81957987513348,D,C,76.62639135561218,E,E,-38.105048698715194,C,1
Christian,Single,A,A,0.3369509550281378,E,5.415836139040749,D,44.33152081395883,D,D,-100.63599610335254,E,B,-151.71791198434275,D,1
Christian,Single,E,C,-62.719495671756455,E,-119.40716053936991,E,51.952487749791196,A,B,-145.39456370766973,A,A,-35.07683718782529,B,1
Muslim,Married,D,E,18.603460198593623,B,-17.66249415635539,C,146.82983396417214,B,B,22.644299124233186,E,C,-238.33939191481073,B,0
Other,Single,D,E,-92.4526424280803,A,-192.96639278679916,C,-133.2074373610723,D,D,191.44724427349735,C,C,-66.97854750037754,C,0
Buddhist,Single,A,A,166.53099618400532,D,64.49058013858374,A,-205.6677041606744,A,D,-15.477754634865,C,E,102.61255079481285,C,1
Muslim,Single,A,C,59.56951828479609,C,-123.10870378029249,C,52.570957778566004,D,D,-223.21627740417668,E,C,108.91022852608319,C,1
None,Widowed,C,E,-64.25455526904318,D,99.09938402632702,C,-104.62550297250644,E,A,-2.89057307897985,D,A,229.40790613018657,E,1
Christian,Married,D,B,-37.392330197308574,B,-16.245263754177685,C,15.254833643123092,D,C,-29.084617747398212,C,A,-45.06082681003501,E,1
Other,Single,E,A,-0.07944843655745507,A,-89.01458310650673,E,152.59318128501783,D,A,-5.916811794503764,C,C,34.59971839797415,D,1
Christian,Married,E,D,-40.99807540262187,C,36.0476331832796,E,-153.4859677159309,E,B,-138.7970862228752,E,C,-98.35089746247681,D,1
Hindu,Married,D,D,-5.095148808333856,C,2.6271417827670485,C,-187.558351930116,C,A,42.547013906816936,C,D,-13.005990179303971,E,0
None,Single,E,E,64.60617942181466,B,-121.65791720176986,B,38.26733425045064,B,A,115.62943354538777,B,A,-39.19342024299263,E,1
Jewish,Single,B,E,0.3461368572476082,C,97.27625074839395,B,-73.23153346080659,B,E,-141.89769371945252,B,E,4.258608102224994,C,1
Hindu,Single,E,E,11.215882753645348,A,-104.39315775690672,A,-69.21203363596169,D,C,-116.60864336757236,A,D,-128.6478111699759,A,0
Christian,Widowed,D,C,14.483879107802167,C,-1.6443816703522753,E,-135.31544723527475,D,E,153.20625044512482,C,E,22.985440280718763,A,0
Hindu,Single,E,B,-81.13229536075968,C,11.618426631862166,E,-145.223164003327,D,C,362.82485835979253,E,E,-51.386348177907195,C,0
Christian,Divorced,B,E,23.11306888109763,E,-94.3606260009986,A,61.37865778406273,A,D,-185.81034548317479,C,C,55.96324080158627,D,1
None,Single,B,A,-113.46367574041739,E,34.24002583273065,D,-140.00669638343848,B,B,-44.128629788204876,B,D,-89.89790372138543,E,0
Buddhist,Widowed,B,E,119.19469787164401,D,-84.44797639170133,C,-42.12429642401382,B,E,-9.512886920161872,B,E,46.47392953107726,E,1
Buddhist,Widowed,C,A,2.948512375043797,C,-100.84012603304436,D,243.34887754280464,D,C,31.539412366732744,B,C,-33.03728655043219,A,1
Jewish,Single,A,C,-40.66485814289815,A,131.9199768235717,A,-20.299657392572563,C,A,13.450305138349917,E,E,17.201947739192956,B,0
Other,Divorced,A,A,-10.10377548128361,A,-186.84571082467107,B,-57.589812354426584,A,C,7.991189487582223,A,A,-58.57384461798139,B,1
Christian,Widowed,B,E,98.20513008495028,A,-113.19378254172389,D,-82.19706568109343,A,B,111.8785002554635,E,A,239.72324870718705,A,0
Hindu,Single,A,A,-41.33069718183999,C,-44.472729500236134,A,33.53941194328853,B,B,-113.16921718603416,A,E,-60.93737901556652,E,1
Hindu,Widowed,E,A,84.25909570229015,B,-134.36183158574457,E,-81.36393311549254,C,D,-65.61962182880607,E,A,-31.556728019157156,B,1
Jewish,Single,E,B,-74.14483980881212,A,-81.19737160551603,B,-36.14113536628113,D,D,-25.70576431063993,A,C,7.845321755436721,C,0
Buddhist,Widowed,C,A,-181.48841982051235,B,-284.5118164730535,D,-25.380942046869325,D,B,1.7052912608192066,E,E,41.385303916445736,C,0
Christian,Widowed,B,B,-123.41115075749734,B,-102.93175714136925,E,-43.481377376582614,D,A,69.94311922702616,E,E,-64.90442571005434,E,1
Other,Widowed,C,E,-24.20698772551981,C,20.206391804189156,B,29.046144720833883,E,D,21.457896889587968,E,E,88.22963793903432,A,0
Muslim,Single,E,C,-86.39131814682113,B,-31.36214972066987,C,116.35392284997836,C,E,-36.284804084251924,D,E,-103.85244460369594,E,1
Christian,Divorced,A,E,-29.22799033851623,A,-67.15869392573279,E,130.72522355518203,B,E,-3.080211732455364,C,E,175.94489521378912,D,0
None,Divorced,A,D,-153.79937989744775,A,-5.886973873422048,C,-162.18719320434766,E,C,92.95939260197358,B,B,-135.83821541350292,E,1
None,Single,A,B,-21.176363265369027,C,-63.114414976273295,E,55.9656987205255,B,A,53.75653950241751,E,B,94.18181339646253,E,1
Hindu,Divorced,B,E,-21.203415550319736,C,-25.2371068159287,D,34.62146640418756,D,A,79.45180808957413,B,A,-99.51975123214305,A,1
Hindu,Widowed,B,B,101.37229431102901,C,-117.10409237433856,A,-32.39876439128435,C,E,-23.9387503193417,A,E,106.01075270030347,B,0
None,Single,C,B,98.77556435878029,B,163.13204882284484,A,-57.22037707261727,B,E,21.627226495850536,B,E,114.57439552489038,E,0
Hindu,Single,B,D,-105.37454669118786,A,53.038426303103535,B,87.4418204189589,A,B,3.7021055931847138,C,A,-111.75141600126777,A,1
Buddhist,Widowed,E,B,67.49097454802482,C,111.10873671950488,D,-190.72955386644665,C,E,150.80493375069727,D,C,-147.3593243493738,D,1
Other,Divorced,A,D,29.415673987915508,E,74.72243505555568,C,-337.09053878717464,E,E,-12.868153427317806,D,D,-17.04075963925451,A,0
Muslim,Widowed,C,C,41.00992817349201,A,110.43422089998111,D,5.477932182616805,C,B,75.46685926158804,C,B,83.47640494943084,D,1
Christian,Married,A,B,93.7854895878102,E,1.600359190434121,E,-134.98601582534218,C,E,282.7972923287133,B,E,101.84585583736852,C,1
Other,Married,D,D,-262.9964806015257,E,-11.399884963393845,D,-72.48894365573705,E,E,-25.810491818521957,A,D,-23.52052624052746,A,0
Hindu,Divorced,A,A,-171.5013740802152,D,80.36103541007174,E,-157.10436644345378,A,B,-83.15634850953433,D,D,-116.44882203697642,D,0
Christian,Widowed,D,B,-136.97397544500743,D,-124.36342740373925,A,-157.39956729831104,E,D,-21.034698160305236,C,E,44.26163333411131,E,1
Buddhist,Married,D,B,-55.61280708077199,A,4.002318234458695,E,23.13596182615343,E,E,-69.45419039775908,D,E,9.224595281377772,D,1
Hindu,Married,E,B,17.607968704668924,E,-11.338920259618327,D,3.6393860025770226,C,D,40.23104148833649,E,E,-227.7995011066758,A,0
Muslim,Single,E,B,107.01367702056304,E,116.98039488183767,D,39.89058598410742,B,E,-65.65841307472108,C,D,66.01907036390655,C,1
None,Divorced,E,A,-29.92917122767051,A,138.82001493372613,B,-32.33003106425492,A,D,6.826380779249663,A,C,-91.93025060487379,E,0
Muslim,Divorced,A,E,83.80720905992548,B,-44.86800474821591,A,-16.649846584396514,C,B,18.953265336766297,B,B,114.22250990256224,E,0
Other,Single,E,A,-42.35057852546871,A,45.30204807970243,C,-227.64657604658663,D,A,194.0173616029651,D,D,28.775569220122176,B,1
Jewish,Divorced,A,D,-18.074156859941425,C,95.48137566219114,B,-113.37745558828107,E,B,142.4641397143531,B,D,28.021496739849,E,1
Buddhist,Divorced,A,D,48.925062785332244,E,42.35719782312461,A,-104.86978797433876,C,D,104.77392022449277,C,D,67.68112994125957,B,0
Jewish,Single,D,B,117.0864451883081,E,-55.33316343910425,D,-90.0639280701765,B,D,-112.66074404627702,D,D,-51.843051707568954,B,0
Christian,Divorced,D,D,50.255826521214075,C,-93.15603356104374,E,-307.61660259504396,B,E,19.66800555766545,E,C,-96.4301752568221,C,0
Christian,Married,D,A,-12.591492009157045,C,-111.28125303793175,E,113.21524419408813,A,B,-41.172476310605845,C,D,137.91336145022618,B,1
Other,Married,D,E,-68.49015385842247,D,-134.50117038037243,D,-4.790216453030474,C,E,-120.60171685310826,E,B,43.46945604640112,C,0
Christian,Single,C,A,29.125221546273227,C,-66.50736336808708,B,297.24219837820283,C,C,94.01236787227059,B,E,-34.853797794655094,E,1
Other,Widowed,E,D,-3.7584830895848134,C,51.48299766962698,B,-54.46896140339346,D,C,36.2231398116741,B,C,-22.68698074651154,E,0
Other,Single,D,B,-57.038488429030274,B,-116.91275727554711,E,40.101918518018906,E,A,114.61734309464353,A,D,-67.10143987945767,C,1
Christian,Widowed,C,C,-25.07751647299096,C,-99.51440376794308,A,51.89510716150861,C,D,-63.67046883153014,B,B,-96.97944653227295,A,1
Hindu,Single,B,C,-37.20384193473199,C,148.347801776472,B,60.033681754449916,C,A,4.767336520224874,D,A,-102.82089253911839,A,0
Other,Single,E,E,104.87858809020028,C,25.17162258579037,E,-99.00206439254639,D,C,18.960271453699857,A,A,-56.65681162794106,A,1
Muslim,Divorced,C,C,79.57748241094988,A,0.44862386520835623,B,149.3510921897674,C,E,37.092227974638526,D,A,-161.24049790454572,E,1
Buddhist,Married,B,C,-45.008018087434806,D,46.63843798683258,D,133.27425606815197,B,C,-83.37979654336122,D,E,-7.258949742816255,B,1
Hindu,Married,D,D,7.768358450492857,E,-119.76169989246641,D,-208.25390370016243,E,D,-43.354460210551515,E,C,-34.992132868590986,B,1
Hindu,Widowed,E,D,-74.59675783147907,A,56.554985686588196,B,108.52111918503253,A,D,57.3258144851682,D,C,1.3948721945859415,D,0
None,Single,A,A,-96.80269593571887,E,64.40380462574784,B,111.37246818179736,E,A,64.27712138113962,E,B,65.51882855394103,E,0
Christian,Divorced,D,D,108.63465311271663,C,66.48538426085682,C,-83.38491368138622,D,B,83.61006955609825,D,D,-213.64691483424863,A,0
Muslim,Married,A,D,3.0272988510945793,B,-10.569703228346993,D,33.57147365764102,A,B,-78.33393532384167,C,A,-69.58940206628525,D,0
Jewish,Widowed,B,A,15.852134626402728,A,-213.92916579456477,C,1.6866283652307288,C,E,66.81164652107036,C,A,-35.204674350636026,B,1
Other,Widowed,C,C,26.313091220124562,B,-84.07701908646278,A,98.74296992396077,E,B,11.295779979935034,C,E,49.83126172045396,C,1
Christian,Single,A,E,66.99683601444599,A,161.21943262193318,A,-17.896511118513494,E,B,134.41194456940434,C,A,-43.79941895078333,A,1
