nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
US,18.204575962109026,77.141370790304,47.43618844753195,17.310462024764377,-138.69784485313826,88.3272643858994,46.493679062851164,62.07869595585429,52.82902434398863,B,1
Brazil,54.7920768863201,153.60561431117085,35.20384070105677,-109.51131342892364,56.03922683873688,-25.611073064523858,-12.619627311961768,1.8812167344086903,-207.56444128424,C,1
India,-192.64661267199972,22.325385729994494,-100.52593255761496,34.68833112653293,-37.96949158139661,-71.76651085073922,-24.868423410146764,20.90282458512286,68.54744478970916,A,0
US,24.837148687664,13.890728019973592,108.4882623965392,129.24605583548404,66.10681425930586,238.3795145707853,27.260365018675902,-47.3686752021461,-27.25022400735128,D,0
Brazil,40.65713649751363,76.14018387052639,278.53623900922383,-142.09186822989318,41.84581161552373,13.632056275078147,22.988791842953702,-94.87082275846018,-88.81934353947301,D,0
US,16.617069679394138,-25.479397017190276,1.4552752851243287,65.43232722422968,44.56220332408986,-73.96303067177938,129.72380271567997,-66.31865442098355,-11.26262262989171,C,1
Brazil,-206.32300585079352,-63.689794189956196,-128.71088970393845,-184.1137764332787,88.00543509758913,132.62887108488258,93.50984168650821,-84.03808608788634,28.381810045011886,E,1
China,-13.073955974573682,109.81059215614815,0.021311302864081522,103.91850670101275,156.89089443797312,1.6011853657806712,-21.2677964503503,49.98490783483817,-137.07854046843795,B,0
Brazil,-81.80990279075681,10.761258127465416,57.616947474224624,-170.67007613296656,4.18995962168916,5.172245766795144,285.360668689973,43.858915937424605,-0.6039342653557193,A,1
Germany,53.977346842916454,146.4550321672279,84.10055117574228,-0.20093329665834256,25.484180800782053,-48.357168219005395,-49.249567881943285,-53.22950387222763,-42.608015864019535,E,0
Mexico,-74.87360155747004,204.35346603488364,48.81851598147377,-0.8106707628851372,87.64480344363085,36.99979226734948,189.23272988897497,-104.0037229430127,101.62934101550309,E,1
Mexico,77.95957031995476,32.19085680198465,99.52519235131521,-3.357394944369759,132.21664832709882,121.80618661457825,42.18111001847698,-50.771638276164445,112.97698495573223,B,0
Brazil,61.02583345822807,115.15473079003056,71.98024487426056,-83.54072050052164,28.32955769693576,96.24396632748126,89.23557975312235,-124.0159105591856,158.8875883491278,E,1
Brazil,-54.526483150645944,142.55857556674832,2.4312690727045125,33.81146724034314,-61.95184168469711,16.783336659808683,196.73993754476967,-155.58357089796274,-36.26051911174557,E,1
China,-25.41084133504345,73.29495237210018,-46.32272637095043,-24.456791326812528,93.16041996439863,22.45589508129884,88.35575358436398,-77.32957281115979,58.91788551753614,C,1
China,-5.5019475249003875,68.59968608054487,-4.78607915476108,75.10357061128417,-190.5626236028121,200.5887480292349,91.05403335926279,191.2393545978673,9.976499295808699,D,1
India,238.1700341619212,-100.7991910612474,-67.34528049856591,-60.27217905744365,49.90432064461876,216.30961805353,137.04818400387074,29.063611667555726,124.32842330977651,D,1
UK,54.778572547140016,-3.9897300994543174,90.57510047943461,-51.49252055417888,-39.037620771774286,-169.00788811160706,-74.39448315306038,-158.75554492210574,49.94136133834191,E,1
Mexico,102.62047007089524,-11.573511017886071,-43.411707072056494,-112.97673754824005,-75.83121515276385,-0.0881922684527145,182.91507200307836,-78.91014094682565,10.021606182071254,C,1
Other,-17.00474908304877,37.607759164308966,91.09649741197754,195.6854692552257,-52.47560735005391,-78.11857783629166,80.05877732985752,-109.4595663159853,53.21023219128702,A,1
UK,176.31704760261755,35.94786917630365,-137.99122427870273,121.12629125785604,25.009666571087113,-93.80854583166285,-3.631119778850975,-45.75541255979271,75.10009711507291,D,1
China,39.70994469050867,-79.2111260272171,79.38619579168058,-113.26807118908246,140.60999567680585,-245.79554696500918,-61.39468711197886,-41.403789712969704,-118.12313015714942,E,1
Germany,75.89710251631303,-33.35234290560254,-11.03329593186409,198.88439673567882,-127.26098920585287,84.01799404862338,3.9215221830741482,119.08960545116183,-92.45502119783595,A,0
UK,38.401917303359205,-42.935698869590645,-206.5364771287681,152.5585299214398,76.97484422100548,-117.2857349366797,-143.75024890463507,-136.3667168190517,241.80474797829766,D,1
UK,115.033713748564,-97.55913039361712,90.99306026552244,148.8457691417301,86.72542172299474,9.390645495056866,-39.00947616431683,-13.286633597645855,-100.57927759168153,E,0
China,47.80389938172272,147.65325203826188,57.01004656325372,42.53123456297702,3.631248855160274,-149.05292003863383,96.68930369417916,154.19812926602378,132.9105171972049,D,0
Mexico,57.609550786506844,46.09252633173544,-59.30229453611538,54.66468795308357,-103.7223803548876,-18.969227859395296,93.02918802083592,-78.55974291509429,90.31535369149199,E,1
Other,-146.14932088932179,-15.926374047298268,-183.07308882873357,-96.72987735576271,-137.5257199957974,96.05738513962035,101.42874790972627,-179.31694652318447,48.27233606517485,E,1
Brazil,-95.36267406101436,65.5436802234387,19.920035471180668,-94.81885065334347,-32.046053140220835,149.94388564428058,59.18930177819782,-25.308564742728677,-65.72296532377885,B,1
Mexico,-88.77737343962144,-102.33980192358068,3.4398838059979044,235.97273811387134,-51.76947696508583,91.43868957969393,14.550823832647646,-178.93047605744135,8.570454420209437,A,0
Mexico,87.38852070693113,25.257864569608664,114.94338977818282,179.29410915797177,218.08868058087495,37.3474010178547,-39.93942221516499,-191.02153405245795,-108.99443703777933,E,0
Other,-2.4414392870005366,69.63612256846639,-7.746635049614055,53.89993711057103,-39.477351375590075,122.87930469923147,-196.60343927405808,-15.762926070495348,168.46737582723142,C,1
China,-66.82637466574786,12.076478239193133,57.899978862354864,-98.06972401940783,-0.19101787732618572,58.97247372897826,215.5595469221831,111.50921056907899,-45.32963939874733,C,1
US,-162.62640712803932,-32.13648091835426,-152.8643764226784,-71.102033668136,114.94443509941999,3.2097324883786036,97.01882997560895,-90.0031121751643,-137.78664724709614,C,1
India,119.84190621254957,-91.6198633016211,32.60920745213889,123.08834272250692,-6.771355911349996,169.52399331308067,-92.31189294668528,159.13606301152544,-41.24243738232723,C,0
China,33.08060885511975,43.12136942129917,-0.1836210483590082,13.039352687562369,-117.05498584057995,150.82384796145365,206.83511355548615,25.225490663240613,1.7745436199277858,B,0
Mexico,146.00172103942393,-6.606411737241527,-22.065112614621224,14.249295600853124,164.28102825561345,-23.63166438644713,141.7339747806842,29.273354854437063,-5.33392599471498,C,0
Other,-87.66163803786527,51.677786883908816,-14.965025764186793,33.7119516193174,34.950901991945585,20.188295924767587,55.93757953540482,48.94088518874934,-65.71276864934192,D,0
India,-88.7899337926491,-104.62665997213982,-71.4144494025608,-54.77273732021322,5.927712087725663,-1.087440506755173,102.2817919326195,-76.0108674109354,-101.78696968095736,E,0
UK,122.4149375923623,-134.60102031805482,-150.75289896804028,56.60345475229882,-30.73953159200718,-105.83584795674614,-93.19253517265561,134.99861762339427,24.081391432000196,E,0
Brazil,-8.116356752776106,-29.51937131876746,249.76010321387415,-27.185726950688615,10.09788371629602,41.718323964215955,40.62640053796016,69.95441563525306,81.08848272617512,B,0
Brazil,-165.3790549558213,-35.54645360785677,137.53979951232452,-16.166116173539947,-190.11195634947063,-13.36512866398257,0.4322298301344988,-87.65334407473301,-62.96644284813529,D,1
India,-256.14722193616666,-86.48668700091982,-170.67700905030682,15.831169340094023,43.674495228283966,13.400677089736346,28.05051291050175,-138.65595920603528,-73.09199220027452,A,1
UK,-184.538979710645,49.759619775153254,-74.29731861989879,-64.59155826892253,-90.44185008523638,-51.69144515839852,44.793015738466735,51.18212565301865,-99.17155338781502,B,0
UK,-56.49492976641681,-0.9565548194920755,-138.31483825103763,71.86293527891358,107.44521484149034,31.706995515458324,44.629746311781965,-53.377036965459766,-103.02837255033911,A,1
Brazil,-51.18954400236818,114.14449084473961,-90.04313914310016,110.18164856825695,137.2527268301917,-92.48354072065095,11.337422605712305,42.65536004003269,-224.50161430153582,E,1
India,146.16023329684785,81.47142832173418,-142.6207008233239,69.23309428312712,11.536014849534864,68.01456591093212,-216.3173936194736,-85.79414782076032,91.8345146052845,B,0
China,-148.8562539534457,-172.46627219120685,-254.5530141473165,-19.379804753657222,-6.4561469957877025,-107.44396893026547,-49.42534552673789,22.85272659109972,131.06217949830435,B,0
Germany,-115.83433386496098,-4.5911346190098605,31.840586516579506,-18.924499825120105,124.48020111517648,78.57995384877651,32.89398262773721,108.0195785237232,69.98663214206864,C,1
China,-62.62312863726846,104.35437744854465,145.37368622187236,17.225859796138778,-11.925687552525432,-111.0933963411816,66.9855021003585,-79.69409928255227,-107.90108169645663,A,0
US,-79.81355331655779,-25.51589727875844,67.19386170500434,81.33023568256368,-25.214727913891604,-28.765501020124784,152.98436656474874,-56.68435530254704,160.64870151187313,D,1
China,47.505603166948376,16.732402448668754,12.883795510074696,-99.6042050956066,58.0954400333148,-37.56537100361234,83.18224148718613,-77.04017303589328,-156.85486153706964,A,1
China,-37.132265495958784,121.54603741140289,-14.052529496457462,-7.849327210870934,-57.67265002642602,50.6085902968995,-110.85640178964988,194.16779415023368,-128.96887310994705,A,0
India,-24.88051393883625,-57.51512845181905,-95.21066163288619,-19.6806374491253,22.204135900529444,-87.33149438294345,117.70740373126733,-56.72345842849782,-13.406571767472892,B,1
Germany,45.3157428590955,66.74459369277847,-21.649282142019885,83.27870370295744,8.149397366244441,120.76080301828418,19.144087605641726,-193.78494490306036,-62.01964262445585,A,1
Germany,66.95757716948835,-9.52477629587767,-180.12349050582267,169.34362762547116,-68.67481703398211,-58.10637891416939,-171.76102630136995,199.0913483777187,-45.626144884333534,B,0
Brazil,113.18011285957907,-120.89195023787265,-92.23424270792032,47.587304029390566,3.295521860415978,18.775673860157603,-34.10744211807948,57.33008211603191,32.28418025778502,E,1
UK,29.64815002394013,-180.80515550449084,94.51125302957296,-96.47035040125289,-27.426028480652125,151.3110704368695,63.7388568190437,-119.99283133058607,-19.9469506303361,B,1
Other,-68.41541962483682,-80.39642207572606,4.356435465766465,100.87164141871783,-40.59683432899508,-193.23057163594436,-94.4285344178401,51.446309233573174,-180.1190939507839,B,0
Other,-28.231858753559212,-2.515724978828552,-215.26076969552207,-100.14091971115047,100.4631006657847,79.55475103922393,112.88946830555038,-5.853868692449931,16.11203610596583,C,1
Other,132.11485344664865,43.849972070608274,-58.6370155950878,-132.3987642663726,-21.4549835508479,53.723584264735926,-74.12998276346977,73.98496918646616,17.891177012950937,B,0
UK,96.88421845247652,-58.85004503294229,-106.25030815637466,19.518604908416513,76.24582679999354,-33.93621389415621,-49.76018946899047,-13.408635912152755,-18.516084995192372,E,1
US,-108.67031326362849,-59.66202658611396,273.2982655044837,109.29267074388538,-34.256532337620335,101.41345109558482,-55.34091735598856,-84.77246622602537,2.2822753868088026,C,1
Germany,59.16291146900276,52.13543939388992,-60.715631711677034,-106.45217350736245,17.441190026710178,144.39347015025987,3.443879758976085,-17.91976424817431,56.873402148451234,B,1
Germany,129.27120743906175,-37.25319740951206,14.912897274777794,51.577409843947784,-209.61068500231767,-31.17048933441336,208.1597658881995,-128.2346568849378,211.26171374736492,E,1
US,19.568800461035245,-93.33660784670619,100.63880342786231,-5.775635227109564,85.91901851385309,38.72050515992784,39.18294104922405,-55.37026606143925,-74.98403921305503,B,0
US,49.0388052352512,140.71373404433302,86.1266388319321,4.781297096467824,-17.887942089210917,26.810065540276433,-17.566875995494925,-102.57442806070098,-95.35293616167722,B,0
