handicap,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Both,36-50,A,-28.14424458347903,48.02805059351486,-76.39472600637792,B,D,-136.39988211999224,C,-97.0112041723744,A,0
None,51-65,C,-56.460891747650656,-7.192907500402514,54.07446592442159,E,B,-7.866589309713083,E,30.072512269213004,D,1
Both,36-50,C,-47.110205788773,66.64444614632403,-8.377087694534005,A,C,25.150446357724228,A,-15.767210673204904,E,1
None,36-50,C,-128.28886464275263,-159.03102698532288,-57.39404985360572,C,E,97.80397320022414,A,96.8867745531731,E,1
Physical,26-35,E,133.7675873223192,262.4687426748412,127.77684956337794,A,D,-66.5384558725506,D,-47.676694783912204,C,0
Physical,18-25,B,88.50868255361934,-65.57766386378351,132.63563174593438,D,C,9.25061727139034,D,-98.58057089946917,D,1
Mental,36-50,A,-129.97234570174382,43.941014757845835,1.6096026329995103,D,B,61.29069497477231,B,93.13881601002414,B,0
Physical,51-65,B,-54.499207489061675,-81.47091751161003,40.820895896030684,B,A,17.634869869205215,D,128.1994193384352,D,0
None,51-65,C,54.12272922066849,55.576596642507035,48.97660139923457,A,B,-87.24859961430495,C,-5.393302366708955,E,1
Both,26-35,D,-60.59900023370305,-281.6693249695645,-221.530188204858,A,B,-31.163001453020282,E,104.08450011807848,B,1
Mental,36-50,C,-128.75193132811057,26.28927915640336,22.221219238169876,E,A,15.631345942858783,C,196.71092001409556,A,1
Mental,18-25,D,-97.79391761398206,-152.06471748522793,121.05078514809635,C,E,4.130443487411663,D,75.82314845171616,D,0
No,65+,E,-27.149271022678516,6.856082066133501,-87.59003486847134,A,D,-93.94921634299355,C,-81.17900933849775,D,1
Yes,51-65,A,-69.63007340786098,-5.971516727925342,-39.36497630474761,A,D,1.4710012752629338,E,93.5857959770895,D,0
Yes,65+,B,5.813933545845542,34.28355907388504,-136.49859974043775,D,C,-89.05608674263635,D,-188.7288770296592,A,1
Physical,65+,B,115.72935796688617,80.58188865358296,150.69294252966654,C,D,61.86081761605687,C,69.93165412833356,B,0
No,26-35,D,-26.622402584178218,-61.740161581981035,36.073486219280355,C,C,-73.3976715943081,C,33.046111029319356,D,1
Mental,26-35,C,15.892574754146585,-72.58325770135966,22.527385475903795,A,E,132.71712622378408,E,-258.58191791424304,B,1
No,18-25,C,19.691606080073175,108.87090665021017,11.554357669623226,C,B,12.741385989974152,C,-75.23458363767817,E,0
Physical,36-50,B,-6.1926294282628485,-183.55612938669134,-29.652869755644307,A,D,-69.07978178718356,B,-6.556584339081138,B,0
Yes,51-65,B,-129.0068927562916,-19.394186075433666,-58.213007192723445,A,C,33.54925215870283,B,-28.124252115336645,D,0
Physical,65+,B,136.82241313551123,4.085817680220703,96.48485620591265,B,A,-39.91569024942193,A,-32.21358937434965,A,1
Mental,51-65,C,53.00533167357441,-58.1492957293754,18.059130189854603,A,B,-41.71087163190126,A,-19.69636008635481,E,0
Yes,26-35,C,0.7567537672558873,-69.45128986902454,-16.83855434894918,B,B,116.39028869147201,E,0.05637045206580671,E,0
None,18-25,E,141.900789396717,48.00314299567952,80.80225800538966,E,E,91.69504699900158,B,-149.63976794230192,A,0
Both,26-35,D,-27.012413330000108,-63.57208825100993,-26.657422623092376,C,B,46.30606295797268,B,108.1765329994707,E,0
No,36-50,D,-112.1396728213422,-92.8994327132714,-78.88886216809816,D,B,75.57884970015141,B,49.805982677444796,D,1
Yes,26-35,A,-131.52736455079594,-115.23156241668471,22.858841324686647,B,C,-60.28948660004873,A,110.3143153615054,B,1
None,65+,E,134.38489553695968,35.26514629836092,41.669338267454876,A,E,66.32224519347653,C,-64.96900620236104,C,1
Mental,18-25,E,61.381457240018264,-16.6094586661921,-65.83326961611778,B,B,-68.63063607238618,A,-104.32433196830632,D,1
No,51-65,B,186.58761827773768,-9.88903097540267,-97.02385280759286,B,D,146.66197810134565,A,-50.620248448236325,C,1
Yes,36-50,C,-110.74937410188868,-115.40359772850111,-49.40970533639274,A,B,-1.9931465185001316,E,-137.3173390939888,E,1
Mental,51-65,B,-313.366478642664,-56.209508199879885,201.24216869731436,A,B,-50.51956506253305,B,204.6597725853934,B,0
Physical,51-65,A,87.69071756809326,9.345592348383674,159.11046481098944,A,A,52.53048370951906,C,44.21304914346897,D,0
None,36-50,A,47.48018538958518,-14.091352679738032,62.840317329984295,B,E,-119.77260039350763,D,77.31604860848856,B,0
No,65+,A,137.09016775319023,40.98447621496808,10.502554799597567,E,B,-2.4601088452531705,E,-109.38871770949137,A,0
Mental,36-50,D,-120.7364889927567,51.55494524623235,-191.14402753764386,C,E,-22.08050916969131,A,63.78217061129179,D,0
Mental,36-50,E,-98.31600828616625,1.4153110061666043,-135.14627603134088,D,C,-95.72965243061178,B,-8.620124687929188,C,0
Both,18-25,D,61.74556582657211,-9.835504571588661,38.111779727096,C,B,-62.024496079214586,E,-6.138748078826266,A,0
No,26-35,B,-99.05519766824152,4.235978219421507,117.94451051631594,C,E,-79.05428244938717,D,-105.23858237455075,E,0
None,65+,C,126.47172474716814,-36.05495823041029,9.21893598044963,E,C,181.35597462788326,D,-16.465339295188848,D,0
Yes,36-50,A,52.947255024135686,39.62615022782106,-23.7986904516133,D,B,154.66795092709117,A,-26.85333037289532,C,1
Yes,18-25,C,-25.678274560553426,-38.41469442287681,41.41123956727494,B,E,27.434488042516037,E,15.627743976698607,B,0
None,18-25,C,330.97925682395544,55.24845446134735,-89.36736611360664,B,E,70.15004190133244,B,69.90536523987615,A,1
Both,36-50,B,148.6748025775771,7.67481901473129,-19.044837319799544,D,B,132.65281210423748,E,25.975917949140097,C,0
No,65+,D,66.5404472544022,40.719196109612504,70.79059546359021,A,B,31.732943533210577,C,71.27131666714793,E,1
Both,51-65,D,-159.40954646542724,-176.2589758237753,125.4467954027915,B,D,-181.79465120801092,B,98.49308258872679,E,1
No,65+,A,36.35419621634909,7.81940550983413,127.60384446677332,C,B,102.86636995227146,C,-178.43622649447866,B,0
Mental,51-65,D,47.12318317033683,16.535158840749116,-1.709061213552728,D,B,-53.72708086369262,A,-7.496623956519623,C,1
None,65+,C,-120.65816790889257,-75.56008209776681,10.633381294247254,E,E,-1.9487400812890299,C,48.56162853723503,B,0
No,18-25,A,150.16840789171874,-26.551792850408734,139.69407496542775,B,B,-5.804393040944945,B,-68.04640271553005,E,0
Mental,51-65,A,-56.371756601975875,136.1969019334039,92.10654584014547,C,B,-108.29702266460632,D,-76.10592500128328,C,1
Yes,36-50,D,31.726103378281177,-239.45646796534032,-19.62925552224816,B,D,45.67723192942208,C,-198.4701238721508,B,0
No,26-35,E,-46.03407441685086,55.99064043253238,-8.795205672289818,A,E,-1.109583979480504,E,-15.161573781933585,B,1
Physical,65+,E,10.119218080373399,-24.5757326335524,-168.57583162267704,D,B,-28.635363927021967,B,115.59746109084135,D,1
Mental,51-65,B,-1.3235011948159074,-152.00522934199475,6.518969231698057,C,D,10.020112555344198,A,-182.04120323762893,C,0
Both,65+,D,-51.34928772109457,64.98933289192735,-240.39761305303458,B,E,149.8301786054514,B,-74.79037219691682,A,1
Both,65+,B,-17.721009303497734,37.30039656368021,3.550072535267944,D,B,-131.08579311504425,C,-51.466516131486316,D,1
Both,51-65,B,108.11338553585304,60.8779212829058,-1.7769342765400362,D,B,-1.1350946207273316,B,-54.03244274513974,B,1
Both,18-25,D,-85.59787958678496,-104.00173035431779,53.61267047261652,D,C,145.21025334146358,A,-209.65567805086417,D,1
Both,26-35,B,130.13012016623435,177.96443748254237,-136.02860752991748,D,D,-43.834219762763325,E,-138.8147821905336,A,1
Physical,65+,A,58.762239081980425,-5.911504716593716,-61.68827321397908,B,D,42.031725367269566,A,-95.03056638040374,D,0
Both,65+,E,39.21603146569378,40.14709473536352,-54.779541759492346,C,D,-46.75160066536201,C,77.9436557594611,B,1
None,18-25,C,-83.52950937463346,30.571534966017595,-21.488739037158936,C,B,-44.787607734432974,C,-52.91230684528504,D,1
Both,65+,B,69.34854409830908,4.353629030423126,-3.0382325277086797,E,B,-0.318611872003193,A,5.113453521926171,C,1
Both,18-25,E,-20.68445693567711,61.274905909176425,-64.68650104844347,A,D,46.13059912250863,B,60.16156610576224,A,1
Yes,65+,A,54.64158202171201,-119.22461369262759,107.79214863046835,D,D,33.92073636233737,A,22.10127533858948,E,0
No,26-35,C,59.00116612561887,115.88368491716238,69.45924630686504,E,E,-42.656377770305106,A,-48.22532706709555,B,1
Both,65+,D,70.1179720865329,121.68312380887126,46.384931200277855,E,D,13.456089118947236,E,14.063206050934616,E,0
No,18-25,A,12.132116203254519,-105.10535105260888,53.093874652059995,D,B,-25.693287323327397,B,-47.786559731686644,B,0
Mental,26-35,C,-39.02186032621312,51.04346774465872,-40.11311334404488,C,A,-63.89013153635585,E,-103.62925827301702,E,1
None,36-50,C,-47.09217974404486,64.89356662848145,148.4694825646778,E,A,72.41091383675955,D,19.45591572638578,A,1
No,26-35,E,-124.35638189080419,-25.649604688793804,-93.80663897694058,D,B,-113.8440664373695,D,-45.15026751534567,E,0
No,36-50,D,-90.6036192212561,-196.06754544255415,-37.4894473163617,D,C,180.93818771685352,D,42.24647776507667,D,0
None,18-25,C,-123.61663568853368,44.974933059843835,77.01488606619665,A,D,151.0352132033775,E,13.715204954851329,B,0
Mental,26-35,A,-48.44738199855647,-96.32317532761842,84.62212702674246,B,D,8.097132519105665,C,-169.9200075866339,C,0
Yes,65+,B,146.45181561978336,42.796919928121454,91.06432810284922,A,C,-106.66499181897456,D,-52.45612835715586,A,1
Both,26-35,D,36.01488883955276,102.65465813748513,-75.99492102612271,E,E,-1.451624116238747,D,119.54232380985759,E,1
Yes,65+,C,-104.54395947005533,78.72719772492039,117.33217378417251,A,B,41.9100120923211,D,-189.81629402532124,E,0
None,36-50,B,249.6606489074804,161.54597225379385,-15.656707381515798,D,E,141.9226831010455,A,144.74361146540454,A,0
Physical,18-25,A,45.12389396674708,-118.43781808474657,7.649685601468158,C,A,0.8050613839894404,E,-13.184070377752152,B,0
Mental,36-50,B,-14.486641062643702,-0.6873837949166706,19.278147117116067,B,A,172.28995250864122,D,40.5731033139419,E,1
Mental,18-25,E,-21.219170448154443,138.18884202586756,35.38209502635981,C,C,139.2432377062586,E,-100.97620274816472,E,1
Mental,51-65,A,6.2467884230778274,-74.40308601201974,-69.86696348922354,C,D,-152.45003419097267,D,40.154668708278784,B,1
No,51-65,D,-13.376208317278387,-323.2199318046892,66.52836506654359,D,A,73.68102368591657,D,-59.72577898594298,D,1
Physical,65+,B,185.30431209460377,-119.19322361755566,-78.62114944688275,C,E,9.038869118169789,C,-72.87916503439551,A,1
Both,36-50,B,-61.254644724184374,-67.33791501428969,-136.173120760261,E,E,45.69849184618195,E,72.93544319573614,C,0
Both,65+,E,42.43834509066462,137.91556278726125,-10.78910480915441,A,D,-53.6627698209631,A,-29.02669965230248,A,1
Yes,26-35,B,123.78726540922149,153.11493127904905,-64.63397894722944,D,E,70.9706962925621,B,66.59241356624882,B,0
None,51-65,A,73.08713327530208,-75.0274867945518,-4.427862389391036,D,D,1.0853802691080972,E,-41.35639853254298,C,0
No,18-25,D,-135.068542474388,-93.67479792368948,-53.60297572654069,D,D,-30.768613708492477,D,-140.2383752707143,C,0
Physical,18-25,C,-77.81978947549675,92.84686196160386,-41.996009770064305,E,A,-101.38258757741154,A,70.74566676709708,B,0
Both,26-35,E,127.21618130633136,123.64642504409231,-16.739801952138183,D,B,-67.23088532535473,E,-8.41647596487677,E,0
Physical,26-35,E,-259.8437584505593,-91.43415079111622,-55.04454942128516,A,B,121.53663738606522,D,-80.47694169153618,E,1
Physical,18-25,D,1.824000118934363,-82.87446237926073,-4.65521118733425,C,D,57.75474254085059,D,70.45368022970729,D,1
No,65+,E,-51.92192854109899,98.83236751470598,-31.122540342012062,D,C,33.85296120092441,E,25.52178019907656,C,0
Yes,18-25,B,-142.82383983175765,46.68926289133963,190.52076359316212,E,D,-244.66863110588454,D,70.84859243700137,B,0
None,36-50,A,-57.986225090276676,16.219173187965378,-13.179845014812097,A,B,118.92860383870601,D,144.61391350046915,D,0
No,36-50,B,-166.48541371441027,-167.0914929325624,34.26521810886808,A,D,-83.03007566547875,E,59.2971817688133,A,0
Both,26-35,C,147.38591768561506,7.291407905621121,-165.37607315385245,B,A,-71.5453907858037,C,72.2068261117185,C,0
Physical,18-25,B,2.911347592369359,-61.61313805154725,-61.577709242124875,B,D,40.30914054236651,C,-210.10304638946815,B,0
Yes,36-50,A,60.9725711886975,-8.945144551502999,-87.71607491410896,B,C,120.13123562258419,E,-144.1566488163926,C,0
None,65+,A,-111.29920165042786,77.15521409714725,-72.82792265783252,C,B,-129.83699523619177,D,80.02211926179564,A,0
Mental,26-35,A,-204.9448189357498,235.34579546595103,-81.80451830541894,C,B,154.2484541863828,A,153.4259651492958,B,1
Yes,18-25,B,114.48522392650413,22.866231635342746,78.68774052140107,C,B,30.66927583315741,A,-4.754934286724839,C,1
Physical,51-65,A,96.00868065007488,-78.13467178050227,144.0002015066318,B,D,-23.5675762093427,A,96.43533831318082,A,0
Mental,26-35,B,-137.0681119274263,54.9068382436944,103.71396046201377,B,A,-28.416411806332093,D,-4.447710257345999,A,1
Yes,18-25,C,25.10599214584705,-37.97152241986412,51.325268731338866,B,E,-1.8778201094336602,A,-154.44007383079202,C,0
No,26-35,D,43.5173669961857,16.237519444310202,51.78853154689074,B,C,-8.424231984483352,D,144.39096941014088,E,1
Yes,18-25,E,-53.14842644268002,31.559750545219202,-74.73531500242386,C,E,122.58682067213837,D,11.461132493395324,D,0
Yes,36-50,C,-138.04616483527403,64.88257752166658,116.58672290859695,B,D,2.3392503412660193,A,-140.88163021987407,A,0
Yes,36-50,A,106.26038759014915,102.61002334452844,119.94275013363959,A,B,-110.17089454879894,D,165.23840307272576,B,0
No,26-35,A,-19.1013665723634,-21.53089646431669,89.0306007371374,B,D,12.749482665300382,B,-63.23416978974965,C,0
Both,51-65,C,30.524740785037714,-169.1986544478554,-185.10528184672557,C,B,-2.9689495300861086,A,80.62810463567345,A,0
No,65+,B,13.669863117935725,-95.67742411256445,38.99073444476727,A,D,16.701968581530153,A,57.161387846789836,C,1
Mental,26-35,A,-82.97759998835463,-71.89922041626245,-120.26843479440763,C,C,-63.91543192313747,C,10.367418699258762,D,1
None,26-35,D,118.92258302623759,36.24738179713988,-76.78175084845239,C,B,137.43545422587007,C,97.00522724450089,B,0
None,36-50,D,19.591841663501246,124.43822000036411,28.19782624885304,C,C,-18.084312076296335,E,148.94831150520596,E,0
Yes,18-25,B,-23.907861618742672,35.135350313423274,96.2113623270173,B,E,-225.9006452658904,D,129.09164122538016,A,0
None,36-50,E,102.23888144710762,281.2075891898298,-68.75960274549807,D,A,80.85732906317922,B,95.97198464400681,E,0
Yes,51-65,E,58.48897312495291,67.53361201964842,123.57338013484875,D,A,119.06542672628511,D,52.120726763494275,A,1
No,51-65,D,-180.30417948467516,73.62139200509955,-25.859279057051747,B,A,87.85991733742279,C,49.72296621382972,B,0
Physical,36-50,D,92.00195014672225,13.953171529274119,-52.70223969641891,D,D,56.085786853457144,A,164.54047100621295,B,0
Yes,65+,B,-30.723579410153214,-42.20877657087983,-50.2710320148128,E,A,-15.412160162196308,B,-82.02715112794637,D,0
Physical,26-35,C,2.8700633058898593,-103.20330352021844,-145.20081656251605,E,A,-86.0260582565092,E,-122.00718181333698,C,0
None,36-50,E,43.588059579681186,189.9366329359099,39.35444579866906,B,A,60.77109461595248,B,98.42121586150121,D,1
Both,18-25,B,-61.90214153761533,148.33829113517334,70.74280449237875,D,B,57.178328926188115,A,-96.17406299682168,A,1
None,65+,E,-97.49325296294849,-32.446270541883706,-254.2686382134593,C,B,-80.72315461929493,B,40.67599819281617,B,1
No,65+,A,6.399119916016777,-68.5696707559363,-140.21614202195974,E,A,239.3631756603257,A,139.74493993165225,C,1
Mental,65+,D,97.2485304723353,133.8606673188192,-98.22481059822796,C,C,-69.88534003738313,D,81.46924398432186,C,1
Yes,36-50,A,-136.84192724448727,133.39425099158845,4.3990275422903835,C,C,25.62125503222297,C,48.61054825109217,E,0
None,26-35,E,19.203332898324895,-37.21536136975608,14.525834203358814,B,B,129.38780115596006,A,-178.8238902774661,D,0
Both,36-50,A,-49.9292290852695,100.72730928082115,-37.9741399466578,D,B,-3.3911788943691783,B,98.79669766165962,D,0
No,18-25,E,-50.00413042139039,146.60978397346764,-8.672476162714204,E,C,169.13692650144966,E,167.0650074274419,A,0
Yes,18-25,D,3.708751961041289,-156.57486005433833,15.332278760073784,B,D,-23.90182336609459,C,72.49416254744881,D,1
Physical,65+,D,-127.44599676556743,57.942196306377404,-24.993803437196355,B,C,-173.05843587802258,C,-85.30877370528464,D,0
Both,65+,A,-170.24467316890482,-69.46122295102482,-18.950972156322447,E,D,133.91033654991404,E,-70.3638085880472,D,1
None,26-35,D,121.52693255881628,154.83625932449092,45.17901220336205,E,C,75.07765468609168,C,134.93091841141475,C,1
No,18-25,B,-28.73353239953523,37.861248036686604,-28.863592765622826,B,B,49.341817613857216,B,-29.87663174709152,B,0
Yes,26-35,E,-153.70708507772855,-120.22205533152184,-84.32819799043772,E,E,134.10405823682927,E,-16.519968825854264,A,1
Mental,36-50,D,-62.741885533703666,-46.01416276330211,158.8676407798383,D,A,-191.68901838750267,D,-45.77319278018332,A,0
No,36-50,C,187.11637452047006,167.03577913539925,131.85549431590192,A,B,4.15724969115674,C,239.9462535830852,B,0
Yes,18-25,E,50.04162195118834,-173.4513748292029,83.66093142478334,A,A,77.79293197357619,C,-124.43345133862438,B,1
Yes,26-35,A,109.98505514713051,47.69644902390085,62.46706106190525,C,C,95.77644149078183,A,122.58508954077878,B,1
Yes,65+,A,19.439599492994137,84.6535120092678,60.47271963718315,B,A,210.6567222900392,B,-126.67432008129687,B,1
Yes,26-35,C,-142.2346087861669,-96.29893189352629,185.8898514704023,C,A,182.83001986556872,C,92.51924774344471,C,1
Yes,51-65,A,-28.574330157525978,32.333387605502416,-84.03705536712033,C,B,-138.27536726530283,B,-157.41068622478736,C,0
No,36-50,A,121.16653314369867,-59.39290945468627,-7.15991514800649,C,A,53.05718215177855,A,-99.12071030058333,A,0
Physical,26-35,D,-49.47091892532409,115.1801464372668,23.16175450492277,B,A,50.19011482102963,E,11.015063196430267,A,0
Yes,36-50,A,141.70821554737452,92.12253461393145,3.6836496153091836,D,E,39.1789214611264,E,-32.20976546382994,D,0
Physical,51-65,C,9.206222855874032,-152.5422312648296,62.417015772725684,D,B,-11.756739921221566,A,84.9761826308287,D,0
Mental,18-25,C,42.311094060895414,-129.30785431798552,-117.23720290944637,B,E,-28.947312142808524,B,-132.71649058965625,B,0
Both,26-35,A,-89.06475853011688,-106.29497089653019,-208.02680754599834,C,E,-103.39565328867728,D,-213.48653284691687,A,1
Mental,51-65,B,38.8493695750865,-77.79188786944957,-114.70716482260943,B,C,-132.84679571962397,E,142.1200266039805,A,0
Both,65+,D,-187.95474340958592,-91.26104384068454,-52.972829360661045,E,B,148.77733406241498,E,-117.10461776042584,D,0
None,36-50,B,197.02088230322096,35.609472496391255,-83.1819249587703,C,E,70.00954570973559,D,-187.8953014096227,A,1
Mental,65+,E,-74.84633066959961,-3.7827568073902125,5.277179595440265,B,C,123.83816894074072,B,126.50536406494307,E,1
None,51-65,C,130.12669133411922,-191.79025776733607,132.5004028822666,C,E,-149.4237926556285,B,-54.83315731317683,E,0
No,18-25,D,95.49115291081884,-6.936422030920429,-53.06609243649747,C,B,4.014107239914435,E,108.39508701885143,B,0
None,18-25,A,-46.57348928761473,-71.38580985387402,108.56585575493531,B,E,-98.48381186296663,E,-72.94828086836804,B,0
Physical,51-65,D,100.84446635453239,51.712316863191695,-11.343475049325846,D,B,21.642978242063258,E,-118.84439621656566,B,0
Physical,26-35,E,-177.1738636082116,6.281979128291171,-251.14814398152663,A,B,-102.49110942908206,E,-36.4936431068609,C,0
Yes,51-65,C,-219.41249178694252,277.7182817071048,91.86921584594624,E,C,32.25375355519419,E,191.6471555133544,E,0
Both,36-50,D,-16.367924502902508,1.4688687361959052,-89.60041128390027,D,D,37.77868782061452,E,-69.56288602778899,A,1
Yes,51-65,A,196.13038737213395,64.5866038188579,76.25409728463197,A,D,-189.88158395807048,A,-33.2204829543549,A,0
None,65+,A,97.00534040006313,44.86220405382442,-54.52559399128217,C,B,25.62378107025276,A,63.798951307912,E,0
No,26-35,E,-165.27497356486293,54.388413744433095,-256.07721635712176,D,C,58.54681786667829,C,115.8700199361419,D,0
Mental,36-50,B,149.6271049731252,-103.17522681470115,-15.346816841682609,B,D,-83.39606094227354,A,-45.40544104825883,E,0
No,18-25,A,7.1124398245225855,81.6218663656853,-98.92150237600083,D,C,-106.35256064041802,C,52.365687058455,B,0
None,65+,B,-3.7989578836106026,-128.28971988861795,-81.6730827237231,E,A,129.02992674420653,D,37.56620982029025,B,0
No,18-25,E,-26.725134741561696,51.23054442599728,12.021591425227856,C,E,29.151319543275946,A,22.043238736137617,D,1
No,51-65,D,61.58726857618292,-39.06852563361628,188.7253869638334,C,B,3.465774616935747,C,82.15651417048792,E,0
Both,26-35,C,-113.19975050302172,-28.545944010638273,-125.45944121192363,B,D,143.58832506266947,C,-117.31969557689075,C,1
Yes,51-65,C,4.561280259147743,115.71747200206543,0.5448140116609698,C,A,68.80399019452159,E,7.5747970468499775,D,0
Physical,36-50,B,53.457937919227625,60.04030325550864,60.98741795560265,E,A,20.473806441876356,C,-207.64497783772438,C,0
Physical,36-50,B,-93.21194057444822,-29.329267298088062,63.973153299064876,E,A,151.84045048375538,E,-80.82792791787149,C,0
Physical,18-25,A,-124.9897145145863,32.52702859991717,-32.78574593333094,D,E,77.26458386446741,E,-112.46735232410532,B,0
No,36-50,B,-30.54419215761719,51.06658556110576,88.16324862668539,B,A,209.3969321460206,D,8.435644463750654,D,1
No,51-65,C,39.17344070172524,-1.518026504178547,231.46729148688414,E,E,122.52683203859979,E,92.26879711661391,E,0
Mental,65+,C,68.2847568388131,98.18857016450173,70.23256309797378,C,B,15.072779050574905,D,-102.03031500606488,B,0
No,65+,B,-116.79998957124273,-39.0811683292942,-6.130657311959221,E,B,-137.04155822340266,E,-98.30559914422932,B,1
Yes,18-25,C,22.81698829160831,137.36599699798472,2.6095252823594492,E,D,91.6214240908549,E,-29.609157626246095,B,1
Both,26-35,E,-27.887210242956208,155.28882299711674,103.6264003940516,B,C,-82.74848232265575,C,-6.237836808972193,C,0
None,26-35,E,67.17469267104627,-35.56551533436011,-18.592379953382355,C,B,-182.57458857964033,A,35.35869015074453,B,0
Yes,65+,E,139.70520899485788,-247.1005485555434,-30.763867529414064,C,C,9.349079130450018,C,21.93875499152155,D,0
Both,51-65,C,73.4692745482176,96.3504108049541,111.65067507966164,A,D,102.07695077210192,B,-54.5503559734279,E,0
Physical,51-65,B,-188.61714630542488,0.47422794368570004,108.65142574982202,E,C,-82.74939098936855,C,113.88307729752385,B,0
Both,51-65,C,-63.65986487645734,-126.10857157708308,3.6820724305075667,D,A,65.93517755147576,C,-44.609517260897775,B,0
None,18-25,D,-43.82887205499401,-31.259110130381014,-34.77014733624851,D,C,-33.72800906758023,C,-10.704763509374477,B,1
Yes,36-50,B,23.71797786160362,135.3911800823238,-64.68904441954129,A,C,-78.15212055040766,C,-46.56051508689815,E,0
Physical,51-65,D,88.55830081649891,25.029446086524228,-23.19617705815723,E,D,-70.1525258411588,E,186.7886403611754,D,1
Yes,65+,A,199.9074913829961,12.5393607211573,70.36757461800882,E,D,61.80507516346913,A,11.867199051739918,B,0
No,26-35,E,68.01269946610773,1.9614558053825484,-55.31451916506091,E,B,103.22951573286319,D,-55.77061636184582,B,1
Physical,65+,D,-7.046096916750145,-174.41505404594758,61.74567557186429,D,A,193.36765250449696,E,54.146311781205334,B,1
Both,26-35,E,-150.31604132423158,-63.03188166151074,85.65389100012825,E,B,20.88798674694846,C,19.46378751320128,E,1
No,26-35,E,161.80360809120788,109.81389164223465,85.51402019093375,B,D,-76.2565287742707,B,33.3702624350991,A,1
Physical,18-25,A,38.554898688293015,-150.22386984203806,3.586929096253866,E,A,-117.0823549111197,D,2.609292092604048,A,0
None,51-65,B,80.86517206439619,107.1128716724959,93.7645849048159,A,C,-71.55483140536614,B,-52.58202210929844,C,1
Mental,18-25,A,-81.56243001193559,-44.60936190136128,-114.99792246173229,B,B,-79.56755598342615,D,5.905306523524639,D,1
Both,18-25,A,143.7230557766644,-43.641900899591704,-70.35066107149568,E,D,219.32531641512446,A,37.02333007855644,C,0
Physical,65+,E,-139.15728012103952,135.1729652520695,156.71183492976846,E,C,69.40998300131224,A,-87.90273677300212,E,0
Mental,51-65,D,-38.94935892879538,21.243544466191487,-25.21264583297379,D,C,17.56541274660757,E,-155.69044381372805,A,0
None,26-35,B,-53.569330320668705,-1.291170863038199,86.18688330858369,B,E,-118.0366368637018,E,-71.98512539837243,B,0
Yes,51-65,D,-69.28946457754611,-106.66181732275027,-70.49818448926509,D,E,176.4966017870195,E,149.36729725294,A,1
No,26-35,A,6.74142978017433,-192.25325264731092,-11.222231504164947,D,C,14.906402537076344,D,-88.20889486507589,B,1
Both,65+,D,-14.660573194125085,-38.14888470185041,-225.4618381014703,B,B,-34.95595926301611,B,150.1718255167836,B,1
Yes,65+,D,122.50516446302866,-73.63033848363453,-163.4563706367498,D,E,-90.67756904793707,B,42.96926652895726,A,0
