Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Mental,A,C,151.43739404892582,A,D,A,E,13.738879366327847,0
Mental,D,D,81.07436648744566,C,C,D,D,-110.76948501317077,0
Yes,B,E,112.50062277585022,C,A,D,E,-159.3766042214041,0
No,B,B,-98.30769474114709,D,D,A,B,5.024496614597162,0
No,C,B,80.96538162169723,A,A,E,B,68.27748498532833,0
Mental,B,E,40.74564673885621,D,B,A,B,-38.81812839507521,0
None,B,D,-28.664561015081436,E,D,D,D,59.768950036698875,0
Mental,D,E,142.79130111407912,C,D,B,E,-75.76722154811848,1
Physical,A,B,259.95082270887633,C,B,D,A,43.170647265315175,0
Yes,B,B,32.770215523673805,D,E,C,A,-101.04563455414872,0
None,B,E,-40.94336676848982,B,A,A,E,-104.16287462467797,1
No,D,D,117.67902902627438,E,A,D,A,61.295961438984826,1
Both,C,B,3.9817563416624973,E,A,B,A,-87.85459063462588,1
None,B,B,16.250804875828788,C,A,D,D,108.75530698591747,1
Mental,C,A,-47.58091830438684,B,B,E,D,132.18609439002756,0
Physical,E,D,-135.61412720459302,E,E,E,E,-107.06676182663446,1
Both,E,B,69.22562707740875,D,E,A,A,-42.911143381649616,1
Physical,B,E,2.6947476651870814,A,C,A,A,-10.311277217723843,1
Mental,B,E,-138.8041350888586,B,D,B,D,108.02210905676573,1
None,D,E,-48.682636500023925,C,E,C,C,95.4090452205274,0
No,C,C,142.74522424505503,E,D,D,D,79.33839306892126,0
Both,A,D,-21.725122158190597,A,D,B,D,-186.8573029555947,1
Mental,B,D,-42.46839017575667,E,D,D,C,-24.230568287057878,1
Physical,C,A,106.2515877128468,A,A,D,D,149.15288730224674,1
No,E,D,-119.07049640869177,D,D,B,C,90.55337797658191,0
No,C,B,7.278722943378768,D,B,E,D,62.073776963208104,1
No,D,E,-138.90601107277243,B,B,B,A,-88.04056056791507,0
Physical,A,D,-77.27377105110189,C,C,C,A,-17.255706675139272,0
Physical,C,A,-264.39370008707704,B,D,A,A,-42.67171266806303,1
None,A,D,-0.7269475539459462,A,C,D,B,105.91247715619477,0
Yes,C,C,-21.703634576552407,B,C,C,C,-4.3809766340647665,0
Yes,D,C,-80.62901154627629,B,C,C,C,-51.744803503375294,0
Mental,D,E,-14.730528394533241,B,A,E,A,-6.205371228987555,1
Mental,C,D,127.59012786396416,A,C,C,A,155.6253740537996,1
None,A,D,8.004704526093994,D,B,D,A,32.60671752227253,0
Physical,B,C,-26.761505744567867,E,D,C,C,103.34682983114749,0
No,B,D,-178.3479537449086,B,D,E,A,-130.7174086783036,1
None,E,E,133.1016120277241,A,A,C,D,56.113101598543935,1
None,E,D,236.03910161802716,B,B,D,D,-46.11533706128427,1
No,E,B,32.25765190211203,D,B,D,B,-73.86832060915779,0
Mental,B,B,174.06749545665255,C,D,E,D,-45.087054581228216,1
None,E,E,-28.90929552969133,A,B,A,B,-63.65180494339576,1
Both,B,C,181.46483246960102,A,A,C,D,-130.74600564980975,0
Yes,E,A,85.9944933563643,E,E,E,D,127.96708638729662,0
None,B,C,25.642169825248303,A,B,E,A,-138.70649625675716,0
Physical,D,A,-69.47369248835767,D,B,C,D,-17.48597669843398,0
Both,D,A,66.42676331312268,A,E,C,D,-69.16563772259609,1
Yes,A,C,200.13121595695443,A,A,A,E,-41.37352081160759,1
Both,B,E,-154.1395676028856,A,E,D,B,-113.83414798566523,0
None,C,B,-61.14604507491187,A,C,A,B,-8.671869387875718,0
No,E,B,21.48829763882891,D,C,B,D,-104.25772345004565,1
Mental,D,C,18.095769713807826,A,D,E,B,-19.630610544603083,0
Yes,C,D,-144.75190052490504,C,E,E,A,20.87189800673226,0
Both,C,B,-108.13412150201509,E,B,A,D,204.77871149275626,1
None,A,E,5.950693906815715,B,D,E,C,62.483621411447864,1
None,D,C,27.474762263952467,E,E,D,A,-103.20199588493443,1
Both,E,B,-159.25976267221412,C,C,C,D,-157.86969321205908,0
No,C,C,120.07347208014001,D,B,A,B,129.17801349239016,0
No,D,B,-20.59098949968019,C,B,E,E,72.81147843035423,0
None,C,E,0.0654868856871814,B,E,A,C,65.07370128126837,0
Both,C,A,25.928041135442076,E,D,C,D,-25.919425248551057,1
Physical,B,B,67.20701791818371,C,B,C,C,-17.197408882569288,1
Both,B,A,28.35775729705522,D,A,A,D,113.58563035815972,1
Both,C,A,-186.58692539551967,E,B,B,A,-30.17211206960505,0
None,C,C,-131.83961102985438,A,B,E,C,-138.37996644802317,1
None,C,A,-116.07525203516344,B,B,E,A,-0.044722029747842555,0
No,E,D,-79.40079136448865,A,D,D,C,-173.79343141361215,1
None,A,A,-91.43975024752204,B,B,E,B,-121.74718306730318,1
Both,B,E,15.804076435248252,B,D,B,E,-16.99800874441626,1
None,E,D,-266.3646539264882,E,E,C,B,-55.937704452529445,1
Physical,D,A,90.88327620559295,D,E,D,A,-45.70490995329982,1
None,E,B,86.59421260601262,E,A,A,C,-30.307040296534993,0
No,D,D,-19.11747618611746,B,B,A,D,-51.48170874282118,0
Yes,E,C,-55.70888372880367,C,E,E,C,90.5920551613981,0
None,B,C,-18.491881930349297,A,A,B,B,38.97729064375411,0
Both,D,B,18.87248706341934,E,C,E,E,58.01320220376692,0
None,A,C,32.559493071674176,D,C,B,E,50.96144015645101,0
Yes,D,D,193.93524248729085,B,A,B,A,-83.17916281911891,0
No,E,C,-64.08850776024784,D,B,C,E,-0.5839641520651616,1
Yes,A,D,135.48414888385642,C,E,C,E,45.69540247135193,1
Both,E,C,46.47221031284786,E,D,D,B,-190.3782656587374,0
None,B,B,-66.50046281035935,E,A,D,B,-59.31271221479971,0
No,D,E,80.45693407821787,C,D,E,B,-30.1880127344075,1
Physical,B,D,92.97367102902176,B,C,E,D,-128.05696175789944,1
None,C,D,2.2796933431579602,A,C,D,A,-119.34900071856032,1
No,C,A,16.469077457063307,E,D,C,D,61.347571354337674,1
None,C,E,105.49023137595022,E,B,E,C,188.1125252145849,1
Yes,C,A,-213.6050607501808,E,D,E,D,-6.950497088685315,1
Both,B,D,-81.63354314328302,A,B,E,D,3.7858054446142786,0
Physical,B,A,-95.11892034217662,D,B,B,B,17.093886559238207,1
Mental,B,D,25.419077422801767,E,B,A,C,83.20220398844134,0
Both,D,D,4.569122379783148,B,B,E,E,29.446696989029284,0
No,E,C,62.0803279716012,C,B,C,A,50.79355672475009,0
Both,A,D,1.711553318772138,B,C,E,E,7.410376580511688,0
Yes,A,B,-173.82026297494386,B,D,D,E,7.3720139917827385,1
Mental,A,C,-53.68284338965212,B,B,D,B,-134.16168410214314,1
Mental,B,A,229.52138122590125,E,B,E,E,-4.551842062539815,0
Mental,E,A,34.667504087353066,A,D,A,E,-37.150032051658116,1
None,C,C,137.2410274743288,D,A,E,B,-37.863899445005366,0
Both,C,A,19.703943478958745,E,E,C,E,-102.42302396200253,1
No,A,B,15.309353376939184,E,C,B,E,138.44095907341537,0
Physical,C,E,89.21782723236447,E,E,B,A,136.41035154241897,1
Yes,D,A,236.1616499708385,A,E,A,D,96.61297530547674,0
None,B,B,18.79475659852988,A,C,B,A,36.944127673185974,0
Physical,B,A,-148.08441101044835,D,A,D,A,-77.33916348382095,1
Mental,E,C,211.37347280704648,E,D,E,E,74.95506329513307,1
Yes,D,C,110.27014353416533,E,D,A,E,159.41748308428834,1
No,C,B,22.34033822470224,E,A,C,D,-22.768346107853993,1
None,A,A,47.70105683304678,A,B,C,A,-125.68186554593484,0
Physical,D,E,-33.21093899606756,C,D,C,D,-127.01290930417866,1
Both,E,E,115.04689073534496,B,B,B,E,-5.804918626326156,0
No,A,C,34.54475581088825,E,B,C,D,-39.128171224030474,0
Physical,C,A,-14.482759376994206,A,D,B,A,138.98688121347678,0
No,E,B,-69.37954103486499,C,A,B,D,128.16226418291683,1
Mental,A,A,8.491931315835807,D,E,B,D,43.31115696708258,0
Physical,C,B,-268.7301958922907,B,D,B,C,-115.53125714100445,0
Both,B,E,-27.92994867998854,E,E,B,B,-49.34960541119925,1
Mental,E,E,54.08542335572528,D,C,C,A,-62.3448241364879,0
Physical,A,C,96.65111346690946,D,A,A,E,32.80152644120593,0
None,E,E,-138.5696217597739,E,E,B,E,36.057215046760064,0
Both,E,B,49.46454495327082,E,C,E,D,63.81184047211275,1
None,C,C,-48.22642693102526,C,C,B,A,85.78801559684305,1
Yes,E,A,-155.6385027695302,A,B,C,D,-1.138959433645687,1
None,D,A,-23.98599407111085,C,B,B,C,-82.71957967089918,1
Mental,A,E,47.11154563154956,B,B,D,E,4.841852381225502,0
Both,D,A,29.308665474534205,A,B,D,E,-44.977954930105874,1
Both,D,D,-139.4349837773693,D,E,D,B,30.167197247511435,0
Physical,B,C,141.1869534490536,C,C,D,B,-176.41800296188813,1
Yes,D,C,-116.95855526460551,C,A,A,C,16.087142491528137,1
Mental,D,D,-106.61323136765499,A,A,C,D,189.30741456164895,1
Both,E,E,5.595412449975407,D,C,B,E,-81.89501196100993,0
None,E,E,-89.71016668621547,B,D,D,B,-4.635329188472472,0
Both,E,B,74.7687093151437,C,E,E,B,-71.54638937340006,1
Physical,E,C,124.12863665423566,D,D,D,D,-155.38215634067106,1
Physical,E,A,-9.801567776176508,C,C,B,D,-44.48268036812319,0
Both,B,B,89.34580009662709,E,B,B,A,-11.270605860223634,0
No,B,D,-10.613504225963052,C,E,B,C,-106.0652356571606,0
Physical,D,B,-50.90576094896638,A,C,C,C,110.66527276855736,0
Both,C,A,66.45819024484949,B,A,D,D,94.99492464766315,0
Physical,B,E,-26.572083046773525,B,E,B,B,-131.8684458730232,0
Yes,D,A,206.57749851290652,E,A,E,A,-35.87992952024936,1
Yes,E,A,-258.0365995941133,D,C,C,B,4.135888490965861,1
Mental,A,B,79.29964192778975,A,B,B,C,61.24206083658681,0
Yes,E,B,-100.55083239034634,B,A,E,D,1.8566375600105587,1
Both,D,A,-62.10711353055921,C,D,E,A,-74.89188347536262,0
None,D,B,-167.51677105307797,B,D,C,A,-17.33502748991074,0
Both,B,E,-203.6677022793422,D,D,A,D,-9.127949206175096,1
None,A,E,72.79489213597714,A,C,E,D,-81.29721139020887,1
No,C,E,-111.92839898975713,E,A,B,C,167.72056938470053,1
Both,E,D,52.43612111179179,B,A,A,A,-79.36772316381102,0
Yes,D,C,-47.7461213435642,C,A,A,B,210.3263756580117,0
Both,E,A,-54.75490560671765,D,A,C,E,-116.97679284047544,1
None,D,D,94.7884052312137,D,B,D,D,-42.929850876370324,0
No,C,C,-85.07835181859718,A,A,B,C,-148.26156851768684,0
Yes,E,C,-62.441081341668756,B,E,D,A,-68.18073498095427,0
No,D,C,-5.696964674433863,E,C,B,C,8.27009807060676,0
Mental,E,C,181.30205658416253,B,E,D,A,154.6031169310944,0
No,A,D,-242.33562379655734,D,E,D,A,-35.551784509842435,1
No,B,A,88.70789046389689,D,E,D,B,-30.524084965381583,1
No,E,C,156.6010770753124,C,D,D,B,-87.73202709483876,0
Physical,C,A,168.47694256143436,B,D,B,E,34.880777291131984,0
None,D,A,71.05775885466625,B,E,A,B,149.285142368347,1
Yes,A,B,-106.62297024840817,E,B,D,B,56.765537031818944,0
No,C,A,-24.88574420520699,E,C,C,D,66.21236057191562,1
No,D,C,184.30604419622117,B,B,E,C,-15.961940543412432,1
Both,D,B,-2.6587850538262208,A,E,B,A,8.783497251007716,0
Mental,E,A,-133.04166610725935,A,D,B,D,-67.69687132301078,0
Yes,E,E,-97.45401312619244,B,A,D,E,-135.4770240136569,1
None,D,B,-87.7382293157844,B,E,A,C,43.70662371417758,0
Mental,D,A,-34.2607743999643,A,E,C,D,132.14782128025402,0
None,B,D,-101.63341601198856,E,B,C,D,-144.6315675152333,0
No,E,A,-33.777722007144156,A,B,A,C,64.68336859951718,1
Yes,B,E,-15.547199408780152,B,E,B,E,-198.58124254502175,0
Mental,E,D,-136.25877510035994,C,D,B,B,-16.230908363757898,1
Yes,C,C,-108.54580281392185,A,C,A,E,-42.061225331892295,1
No,C,D,65.04164346334042,E,C,B,A,-49.001653005544874,1
Physical,D,C,-79.25716382587157,D,C,D,D,56.599472019862255,1
Yes,B,B,-138.81220765462425,C,D,C,C,230.4657343752836,1
No,E,C,136.4817230062045,E,E,A,D,-44.764830645492815,0
Both,B,A,-72.11667700008731,B,E,B,C,-48.32029899384484,1
Yes,B,D,13.425229590287557,C,D,D,B,-1.281275253653837,0
Physical,B,E,-102.06370520745718,C,C,E,D,-65.74193951602861,0
Mental,C,A,29.078446816857888,B,E,A,A,0.09850644617636234,1
Yes,D,E,-110.02475925113072,A,C,D,B,224.9965368095252,0
Mental,C,C,-26.86152081218277,D,B,A,C,-61.73836063169292,0
No,B,B,-76.98583563294287,D,C,C,C,-67.98116595912974,1
Mental,B,C,3.433071842414441,A,A,D,C,71.27055024888288,1
Physical,E,C,-112.13214689594557,E,E,A,E,45.565776965360946,0
Yes,A,A,-159.59096369877045,C,B,A,C,92.65552911583406,1
None,E,D,71.2175166788213,B,E,A,E,120.21150182700653,1
Mental,C,A,-21.913155299802188,C,D,D,E,-5.591846219291162,0
None,A,C,39.75727483208475,C,D,A,C,-108.23131677353845,0
Yes,D,E,-27.75780322007066,D,A,D,D,-26.918712487788255,1
Physical,A,C,-40.78436830625433,D,B,C,A,20.05753940128421,0
No,B,C,-29.22357677128366,E,C,B,B,60.22033327516323,1
Both,A,E,104.87727772321918,A,C,B,E,42.74155910003957,0
None,C,C,152.22749108057033,B,C,A,A,-29.910669109620123,0
No,B,A,-126.6708953269966,E,B,C,E,-84.82427560788011,0
Yes,B,C,158.53227410723935,A,E,B,A,58.567165788955386,1
Physical,B,D,63.11003891368529,A,A,A,C,152.85203485817834,1
Mental,B,C,-7.816921449090571,A,B,C,E,82.11695755470717,0
Both,C,E,151.08865532206545,A,D,D,B,151.61184178682652,1
Mental,D,B,3.295707424080295,D,B,A,D,-66.64412729650863,0
Physical,A,A,105.3301917802446,D,C,C,D,-157.48526064568094,1
Physical,B,C,-7.767806063778932,D,A,D,E,-2.761599537637707,1
Both,C,D,177.37837474174867,D,B,C,C,-15.130546054792932,0
Both,D,C,44.62084166876312,B,C,A,C,143.12971365715165,1
None,E,B,-70.4066194683792,D,E,C,C,89.80888979512183,1
Mental,A,E,-50.701419408956305,E,C,A,A,-48.60013777897783,0
Mental,D,A,-33.98819226183475,B,D,B,D,-58.964541743318385,0
Mental,D,E,264.29106673800925,D,C,A,D,122.50423180014305,1
Physical,A,B,-178.92648933805958,A,E,E,E,118.53947363993188,0
No,C,B,-23.731179839807066,C,D,E,D,83.73339287774085,0
Physical,B,E,-194.78626550893588,D,D,C,A,182.0830282547206,1
Yes,D,D,-52.60143129793512,A,A,C,B,-47.42192545815865,0
Mental,C,E,150.59196761560466,A,E,C,B,-58.123195175630215,1
Yes,D,A,-80.79365810008619,D,C,A,B,51.879696669940465,1
Both,B,D,17.287753154989524,C,E,D,E,-24.16036293981166,0
Mental,B,B,-8.710009275323284,C,A,C,A,-11.745705331780865,1
Yes,E,D,54.349939154783755,C,C,E,E,-57.093234980864615,1
Physical,E,E,-30.247210507446166,B,A,A,D,-66.00639650806474,0
Mental,A,E,-37.30152746910328,D,E,A,D,-23.597330355085536,1
No,A,D,90.41187777122403,C,E,E,D,137.97117033193226,0
Both,B,A,32.23006006093411,D,E,A,B,48.63977893513864,0
Physical,B,C,223.3749756623581,B,E,C,C,32.63274001818671,0
No,A,A,12.78664185016187,B,C,D,E,77.36453242660482,1
Yes,B,A,3.7188114862353094,A,E,E,C,52.91696968905855,1
Both,D,E,117.96271493027876,C,E,A,A,113.71835952145388,1
No,A,A,-40.14166488442487,B,A,C,C,-8.171112548928878,0
Physical,A,D,25.213447285432572,A,D,E,A,-170.8911660363818,1
Both,C,A,131.41209162783176,D,D,B,E,-153.24146086609417,1
Mental,A,D,-28.727555304085726,D,C,A,C,35.07566924226547,0
Mental,D,A,-126.43764699673552,A,D,D,C,138.4145071058925,0
None,C,E,-95.13188173356329,D,A,C,C,-140.48709172480116,1
None,C,D,70.83189182480565,B,B,C,E,159.27569691134516,1
Mental,D,D,49.42511642882682,D,D,B,D,47.603337021907,1
None,B,A,-100.32896778074722,C,E,C,C,-124.4976359330523,0
Mental,C,D,-88.53065526164313,D,C,B,A,195.6643228978704,1
Physical,B,E,-142.9048106631275,E,C,E,C,2.1710359313362053,0
Mental,D,D,15.33186310211008,C,D,E,B,-79.2385017224036,0
No,B,B,-14.383959040205596,B,D,E,A,-52.86187359198895,0
Yes,E,E,88.73268496219295,D,B,E,A,-40.26238579582337,1
None,B,E,-101.94631542791899,E,C,B,E,75.59293792113584,1
None,A,D,231.66541061078033,C,A,B,E,2.9528454891647127,1
No,B,C,78.94289866051075,E,E,C,A,-28.993648785819193,0
Both,B,C,57.13138965520951,A,E,C,A,97.4205442382321,1
None,B,E,300.4560617785047,D,E,B,A,-22.659707787453616,0
No,A,D,174.67138302876904,E,C,E,D,-96.49332711307159,0
None,B,C,-19.921692840740167,B,C,B,A,-43.61336737567928,0
Mental,A,A,41.623248347937704,A,E,B,C,-51.083053645035015,0
Mental,B,A,23.445029707855348,B,E,C,C,-39.891942542526564,1
Mental,A,A,-82.76976774032406,C,B,C,C,-13.241287688143158,0
Mental,C,C,169.30229217185314,D,D,D,E,88.86116435423797,0
Mental,C,A,-126.87891564425627,A,A,A,B,-63.98466304342934,0
Yes,A,E,-73.94499461458362,E,D,C,E,131.90806435747768,1
Both,B,D,105.4693082681218,E,B,D,D,-29.26684591810157,0
Both,D,E,-5.774736731775173,A,E,D,D,-44.804813594767275,0
Both,E,C,20.063515580106905,B,A,D,D,117.0475714553615,0
Physical,E,D,46.85407776958035,C,C,E,B,-31.063225753364094,1
Both,D,D,-60.475377672314345,E,E,D,E,33.435513594925034,0
Mental,C,C,111.22880278621217,C,C,D,C,-62.83535512689763,1
Mental,C,A,78.99062394666166,E,C,C,E,4.451072353272054,1
Yes,D,C,90.9225873372697,A,D,C,E,-192.29450126077353,1
Mental,A,C,44.125454943860866,D,B,C,E,-67.45267139406101,0
Yes,A,A,23.462782145411968,E,E,E,C,-0.47578241252891745,1
None,A,B,137.11287422673394,E,D,E,E,-120.30602890127062,0
No,E,A,-61.183739379488124,B,B,B,B,-57.12217488187197,0
Yes,E,A,46.169126029133395,A,D,D,E,-48.48784776351774,0
None,A,E,58.113268765244044,D,B,E,A,157.9568130524074,1
None,E,D,-22.667284629036168,D,C,A,A,25.826128191939496,1
Yes,B,D,-133.00913741554808,C,A,E,A,-181.1840772061283,1
No,A,D,-51.14581939370299,C,B,B,A,173.9062426935333,0
Both,E,E,84.09832022695903,C,B,E,C,84.29908884047923,1
Physical,A,A,43.167840877268574,B,C,B,E,-38.54093819939978,0
Physical,C,C,165.1091304244498,A,E,C,B,4.983420756268188,0
Yes,B,E,-9.27472856728519,E,B,A,C,37.45816483060539,0
Yes,B,D,-194.18286809849045,D,E,A,C,-183.15205195225462,1
None,D,C,23.451790123481892,D,A,C,D,83.30870591077525,0
Yes,B,C,-83.92921256257567,B,E,C,B,57.47783244544031,1
No,D,B,115.80237590576485,B,B,C,A,-118.69460689155397,1
Yes,E,C,74.47641430303834,D,E,B,E,80.71590900503726,1
Physical,C,A,-38.82202207797571,D,C,C,B,147.92476977572994,1
Mental,D,C,160.59517224874048,D,E,A,D,-140.3569642921235,1
No,E,C,68.40789722530243,A,C,E,A,237.76300952138013,0
Yes,B,D,88.32272523850907,B,C,C,D,99.72928769371973,1
No,B,E,17.381443466762146,D,B,E,D,-62.305544009726766,0
Physical,D,B,118.18950423040717,D,B,A,A,-99.57010530505954,1
Both,B,D,4.51108461394963,E,C,B,C,91.6189707407905,0
No,D,D,140.6658437826689,C,C,D,C,-115.41759431121068,1
No,C,D,-8.484294054497493,D,E,B,C,70.98748402067022,0
Physical,E,C,30.476327465216595,E,D,A,A,30.361582683564198,0
None,A,C,-16.444326220317006,B,E,D,E,-45.1658468610438,0
No,D,A,-34.91998269139481,D,B,A,C,67.05042344286463,1
Physical,A,B,-125.04958766078983,A,D,C,C,-47.001698080884225,0
Yes,A,C,72.00658790581129,D,A,B,A,-10.649519898603945,0
Yes,D,D,6.425910651391612,D,C,B,D,-42.42382226906482,1
Physical,D,C,96.20307509750143,D,D,C,B,47.551251565467965,0
Physical,B,C,91.05082578259382,B,A,A,E,31.241642269640412,1
No,E,A,-60.665408545113664,A,D,D,C,-96.92441379969732,0
Yes,C,C,61.26819966083362,D,E,D,E,-36.793040971579906,1
Mental,A,A,-7.135108991257375,C,A,E,E,-31.5191170545491,1
Mental,B,D,1.5703751207607142,D,E,B,C,71.27636334818563,1
Mental,D,D,-131.17791219325986,B,D,D,C,-72.2993290781296,0
Both,C,B,-107.97942820015112,C,C,C,D,-7.0545988240792585,0
Physical,B,C,-135.98972768070718,C,B,C,A,189.29070771995373,0
Both,A,A,78.01397947094692,C,A,E,A,190.57814096515403,0
Both,A,E,13.485957094423643,B,E,D,D,-29.669610677108665,1
Yes,D,D,41.8545132989206,C,A,B,C,62.26215290356154,0
No,C,C,26.286394555030064,A,C,D,C,-115.07770878343835,1
None,A,E,-86.17835900624033,D,B,B,E,100.44374331190534,1
Yes,E,C,200.96647666945606,B,C,E,C,138.45136968895878,0
Physical,D,D,9.620625432524093,D,C,C,B,-5.97350595258245,1
No,B,C,-55.150460513349294,B,D,A,D,-28.775092188159334,1
No,A,E,-56.90823003909989,A,A,C,E,-150.17991231098804,0
Both,C,D,-67.46508674180066,A,B,A,A,-18.659281451482826,0
Mental,B,B,-24.033680883674865,D,E,B,A,-117.4691332505889,0
Yes,C,B,42.31749935564791,B,D,A,C,-41.8512768927556,1
Yes,D,D,-91.0416476681283,B,D,E,D,109.07017366742188,1
None,E,E,26.79936728674069,C,B,B,E,50.92982787902167,1
Both,C,C,136.08223557947133,B,D,D,C,-24.207866421820672,1
Mental,A,C,58.7042200526374,E,E,C,A,-4.25789690230513,0
Both,A,A,-210.0452038110361,A,D,A,A,-23.82141485954234,0
Mental,E,C,-28.76006215200989,B,A,E,E,0.6094786727667784,1
Both,B,E,-30.454670785140024,E,E,E,E,45.430401726249585,0
Mental,A,E,121.0053608163185,A,D,A,E,89.18078616324622,1
None,D,D,-44.820060509018006,E,A,D,D,56.81330833993147,0
Mental,C,B,-42.37297231000274,E,C,B,A,-76.75000357214421,1
Both,C,C,-16.27759350929913,D,E,C,A,119.48801528641269,0
Both,E,B,185.11356374439373,D,B,E,D,-117.20505666641155,0
Yes,A,A,71.56748021120816,E,E,A,C,90.40871866787732,0
Mental,D,C,-18.914155517545115,D,B,A,B,11.010270366880833,0
None,C,D,11.794912972873153,D,D,D,C,-166.55212734767952,1
None,C,D,-24.18766612469499,E,B,D,E,-15.92025261624225,0
Both,C,D,137.3375593492045,C,D,D,A,-43.15502819054268,0
Mental,D,B,124.52720201876437,D,B,E,D,78.31827320434246,0
Physical,D,A,-112.51405632754647,A,D,C,A,188.1971905504931,0
Physical,D,B,-71.73504014341478,C,A,E,A,32.7873254708056,0
None,E,D,61.82509732646507,E,D,B,E,52.261530193614504,1
Both,D,D,181.5804488490972,A,B,A,A,87.11287287996063,0
Both,A,E,104.326928822767,D,C,D,D,158.25046170590892,0
No,E,A,99.66283757616631,A,C,A,C,13.083259268184966,1
None,C,C,142.0611023696031,D,C,B,D,-124.93722325148016,1
Mental,B,C,-66.18461967265075,E,A,D,A,-21.1853342430159,0
Mental,A,A,-38.50412667720082,B,B,B,B,65.1768208146843,0
Physical,C,E,-245.14625577188403,E,C,B,B,13.946643843726548,1
Yes,A,E,-101.2355140012466,B,D,D,B,-82.2798951955192,0
Physical,D,D,-271.85505756501755,C,D,C,E,88.99132860012168,0
Mental,B,D,259.93911506729546,C,A,A,D,-6.031264562514855,1
None,B,D,139.67870256614214,A,A,D,B,-8.095425808324075,0
Physical,D,A,332.7464124953718,C,A,D,B,-62.49185161828452,1
No,E,C,120.26799135113704,C,B,E,E,49.861933679364434,1
Yes,E,C,-23.420170311710837,E,D,B,D,-7.2128748794276,0
Mental,E,A,26.60196624906344,B,A,A,A,-104.17448159154202,1
Physical,A,A,-34.40811365682207,D,A,B,C,72.25352511275209,0
Physical,D,C,-218.87458264001575,C,D,D,C,-148.2504454013463,0
Yes,D,C,91.10745058838017,D,C,C,B,-56.89232219088852,0
Yes,E,D,-157.1780105670315,A,A,C,A,-44.81242777047249,0
Physical,E,B,-111.64794331394951,C,E,B,D,45.23309862232941,1
Yes,E,D,-60.840393073423336,C,A,C,A,-127.70753849104375,1
No,E,E,-47.01734151148649,D,C,E,D,-88.14086143912616,0
