genero,AGE,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Other,36,Veteran,156.36130277104309,A,D,-40.07262257809577,B,A,74.46268433574058,B,16.161804237445082,-29.656137017823987,0
F,28,Veteran,-100.86372673447119,E,B,217.3771140793435,C,B,-131.56839220590905,D,-186.55427424506678,-42.42029121480465,1
Other,95,No,-21.248666732728775,E,B,-67.90472683007924,B,D,-90.66619599266453,A,-36.59906757221296,120.90405629584748,0
Male,74,Non-Veteran,-59.39548503043145,B,E,-107.05823816267291,A,A,125.32890163764073,D,110.66976358201825,4.5072991147064965,1
M,64,Veteran,52.030895994595326,D,C,-80.70443991087251,B,D,-9.176016413912764,E,15.668681753873914,42.19302915031613,1
F,28,No,-29.371803343278806,A,C,47.33118916471719,C,E,-42.494779997251946,A,182.80984968526053,82.73628663619364,0
Female,78,Non-Veteran,135.87974218980662,E,C,11.831415010481942,D,D,-96.88425265547797,C,37.741662636642324,79.9207398596458,0
F,22,Non-Veteran,164.88227944433643,E,D,6.674017760945894,A,B,-117.88192957079688,A,-158.55219550152492,-115.75116954439477,1
Other,22,Non-Veteran,61.03838971195431,B,A,-30.837873949788975,E,D,80.02562303536583,B,-146.70866817748947,77.69488703344834,0
Male,23,Non-Veteran,327.88086542365204,D,C,29.265944900076434,C,A,-14.9144384573486,C,-56.19674855490361,214.18793725722472,1
Non-binary,77,No,-126.75518841746481,A,C,-128.22016726114984,D,B,-135.42861043900416,D,-55.50623326924292,85.69823397108317,1
Male,86,Non-Veteran,201.32301464311402,C,E,8.858044365606311,D,D,100.6354508017425,B,-21.177638609632194,-109.92064502331212,0
Female,65,No,84.93989430543921,C,C,-44.85991043917365,B,A,21.756000451501436,C,-196.2405270285496,-125.3355055902966,0
Male,74,Yes,-48.290752224606564,C,B,56.406328001772366,C,B,93.27858069069879,A,-132.71649840057188,-218.98274881003465,0
Other,74,Veteran,-51.55197020963595,A,A,-116.15691696236328,C,A,-95.3879718451393,E,-33.16589326793604,-44.2817257768546,1
Other,97,No,67.09967241053795,A,B,214.04302945048747,B,C,34.842543908188574,B,14.658637741944544,43.89377347130372,1
M,89,No,-201.53206343768932,A,D,136.34037905122474,A,E,-24.48418743262244,D,-99.06743333780864,-147.37787127620038,1
Female,52,Veteran,25.11883742942289,B,E,-106.13547785774202,A,E,58.33965700480911,E,114.84534134448658,-10.138061190984436,0
Male,38,Veteran,181.3293418479802,A,B,35.522096378608246,C,A,-108.75347307234196,B,-121.01117919326457,-147.37510860079527,0
Male,53,No,-64.71765205370077,E,A,-35.18152478331727,D,D,36.593307266096915,B,-58.9006533997719,-19.466939959778177,1
Male,75,Veteran,-29.695038451084944,B,A,46.257968196577096,D,E,-64.95684497963805,B,61.79322795846892,4.028815694575789,0
Male,64,Non-Veteran,-25.495920720648446,C,B,111.6675312783689,C,A,3.440609586268454,E,-48.936231591611715,-55.081494137713186,1
Other,70,Veteran,62.87318847550159,E,A,-118.67826204052878,C,A,-131.63346343188306,A,-63.82725566962403,-79.05456041370915,1
Non-binary,47,No,-71.5089529243249,E,D,-40.81732342595019,B,E,-114.69921091732039,B,106.1003977160252,78.92080450770776,1
M,25,No,-55.79330134887949,A,A,-98.54380197915327,B,B,-40.46855969431199,A,-157.96367768240108,146.29950036350698,0
Other,18,No,30.108235306914445,E,B,-45.73849956846661,A,D,-96.20491472232632,D,-71.34445345622943,50.561778588804096,1
Non-binary,24,No,-27.355082695612204,C,B,-78.17210915943903,C,C,76.48760624058728,C,-44.931022182491844,54.28571680073423,1
Female,52,Non-Veteran,-119.15030732555523,B,E,82.39297506633537,C,A,-32.0932434101031,D,34.763273548948106,-71.98536985693406,0
Female,51,No,-4.536138921619049,A,C,-26.79253478979678,C,A,-100.2989710216956,A,-37.35598771154011,47.5575599248942,0
Female,79,Yes,192.06163859354714,B,A,-27.591555750544938,A,D,-260.6666778951877,D,-134.43928974352406,31.045382803023188,1
Non-binary,61,Veteran,-138.86664444957015,D,B,-10.170558670142182,E,D,16.45676271730129,D,-95.46744795481034,103.52248308344925,0
Other,51,Non-Veteran,182.71333469747503,A,A,14.469494146207145,E,E,123.34326189849382,A,-1.47581742209946,-159.44486695628345,0
M,84,No,14.870572233191664,B,B,-63.00631279017056,A,B,29.279762684714385,A,-47.694208227326435,-46.6169078613919,0
Other,54,Veteran,55.60983750068984,E,E,186.2942631611244,C,D,-121.25347937034918,C,-32.22680281233459,-145.11837767143686,0
Other,26,No,-82.5358285970764,C,E,50.46436448850222,B,C,-0.1868868267752089,B,129.82330700999233,-19.448135404244617,0
M,26,Non-Veteran,26.944521997735333,B,E,-118.87142562275817,E,E,-219.3038370295517,C,85.55744528223383,167.05839725193587,0
Other,56,Non-Veteran,-43.285268137983444,A,E,137.01687147825444,E,D,-2.6754080676559173,C,-112.52377966938589,-25.481874331831094,1
M,30,Yes,127.90249790415594,D,D,-2.697209744854419,E,A,143.9316860319192,C,-65.3265556123403,17.017329389442516,1
Other,67,Veteran,-201.83207487883217,A,D,-2.302422818330165,B,C,115.01965128409462,E,155.19037136316308,-30.230957343243546,1
F,68,Yes,58.41719572810017,D,D,126.30471936970704,E,C,3.172761205008908,D,183.51800563268492,42.833190363242494,0
Female,85,Yes,-108.94737791537352,D,E,6.139919721744111,D,A,69.46013451302716,B,64.6601744564526,23.07828911649442,0
Other,92,Yes,47.349318238546694,B,C,-189.59795688465323,D,E,17.604617243553182,E,9.99832600849889,-16.56870689482468,0
Male,38,Non-Veteran,8.41141847386197,E,B,31.346886569271128,A,C,54.67095107927572,E,48.350428241092544,-107.61338187338585,1
Female,45,Non-Veteran,85.86001436267881,C,D,85.14686077694353,C,C,56.065792864990385,B,72.89339307466626,-75.2685847627627,1
Male,81,Veteran,-20.63038128499559,A,C,127.9680535958644,C,E,-15.734710746894143,D,-171.79143243890275,-103.38885040264726,1
Other,24,Yes,134.59566648081454,C,B,99.6104746229519,E,C,6.8315214276937315,E,-13.449627529933677,232.85400447570538,0
Other,63,Yes,5.666545932905582,C,B,4.250722492302205,E,B,44.42164866525168,D,26.548677888491078,73.77589134421191,1
Female,95,Veteran,-5.221639443248409,C,A,106.66455711634777,A,A,-31.48330621685853,C,6.884710507089572,-123.65362500778568,0
Male,62,Non-Veteran,76.47414778850377,B,E,5.806606005223089,B,A,199.46609266283284,E,-75.19707121986357,-129.61183488223645,1
F,56,No,-1.1925460245517252,D,E,11.08158997975459,B,D,-89.9410382013734,B,106.61897933420484,-52.62301419118689,1
Male,52,Yes,50.199409025960875,C,E,166.31007495998088,E,A,48.2187936831123,B,-179.19326174664963,18.7015818514499,1
Female,19,No,3.2840178054644666,E,B,1.5848701348262717,A,C,-61.683925871594795,E,42.463589171893574,-114.21817447279732,0
M,41,Non-Veteran,-47.695969071077556,A,B,-51.7994808857159,B,A,177.24653635541756,E,324.21050614159293,-52.653646182345156,1
Female,84,Non-Veteran,86.3388122631292,C,C,182.72981916328575,D,A,109.94997214676397,E,1.481076457162784,-129.71950176656185,0
Male,74,Non-Veteran,-51.5925907969862,B,E,-52.28632085742875,C,C,-3.422773591514732,D,69.27576148503128,83.05074539805287,0
Female,42,Yes,17.703759385467833,C,E,31.51276140690512,E,A,-14.076855799936846,B,-5.8727904209529145,62.98887243095339,0
Male,49,No,35.566305721051215,B,B,88.18962781083683,C,D,136.89838211177798,A,84.6973992144865,102.07715094580252,0
Non-binary,93,Non-Veteran,115.54317662695581,C,E,-3.7063339107385955,C,A,-115.6623223087574,C,111.02320598377572,-32.20218955835619,0
Other,59,Veteran,-121.46689707424268,C,C,-41.703476658782904,B,A,-50.55841206555392,A,-67.61453405206946,-67.25668579370088,0
Non-binary,67,No,85.55912756992224,C,C,20.255621904907585,D,B,-62.203106158001745,D,-42.000095381333594,18.979278011382124,1
M,56,Non-Veteran,33.1240754169292,D,A,202.6146266521604,E,B,-124.7367276333658,B,-54.7086427141639,52.213883639305855,0
Non-binary,54,Yes,-67.87403232333742,A,E,118.7217397849996,D,C,86.20487994790189,A,80.8141089600342,53.204460532551636,1
F,36,Veteran,92.28630382333492,A,C,86.07891318163807,E,B,3.161381463242585,E,-119.38617503374778,222.5601431729686,1
Non-binary,84,No,-83.77699294949328,A,A,92.03132915599149,D,C,9.314427933288444,B,83.64211185981324,-46.60889811779168,1
M,27,Non-Veteran,104.08068959344993,E,D,69.58340796569067,B,B,-99.62961145418468,E,-112.45750473980061,-41.12795686782094,1
F,59,No,-107.21163728375807,D,C,79.7185338076661,A,B,-43.25673755999514,E,9.209314480962203,144.47952857318384,1
Male,18,Veteran,2.146743305687232,C,B,34.16516959724072,D,A,-26.21395703543582,D,-13.931198140302781,-99.88513356353783,0
Non-binary,20,Yes,-203.21416055876642,C,E,98.3940618067588,C,B,26.76497397573544,D,-27.546729176728363,-2.226714691237279,1
F,24,No,-68.55081051747257,C,C,193.92271643078277,D,E,21.198194675724423,B,-70.72648451819677,15.946575657946232,0
F,35,No,-87.44960074422696,A,B,-14.581105542587352,B,A,-184.76311863848633,E,-12.22361051358256,-3.5084313265448177,1
M,38,Veteran,119.43643957615271,E,D,-68.17226318529237,C,C,-2.7048274722916608,B,80.78023789840519,121.63046506811412,1
Male,76,Non-Veteran,52.48437441471587,C,D,99.690411827844,D,D,-67.72452163137214,B,-39.28240233786263,-25.885942923855183,1
Female,74,No,-87.7522262245716,D,B,98.93046937958617,C,E,49.59426432916481,A,-137.61840567658888,-71.00848723950897,1
Non-binary,92,Yes,147.3221826238441,B,B,-88.54364416614796,B,B,168.89711933818646,C,-73.71529922363649,44.77596662669636,1
Non-binary,39,Non-Veteran,-207.14879220978273,E,D,-123.92409681034215,D,A,-68.22221292588137,E,91.35534030945917,188.4702482219682,0
Other,83,No,-25.90176178786373,D,E,104.20901604074713,A,E,7.446224040430867,A,67.28642041697476,14.431790398440853,1
Non-binary,77,Veteran,-40.32940683014147,D,B,72.14729375760645,D,A,69.50457381998919,A,0.1609399446830502,-91.24370644664228,0
Female,72,Veteran,56.04953845052568,B,D,53.354144558490724,C,D,-61.074938821020375,D,-231.81969473645782,-192.6743068490205,1
Female,96,Veteran,95.1679961208861,C,B,73.9790021705863,D,E,-43.246738820279305,B,65.84539345270997,65.04139894521602,0
Non-binary,22,Non-Veteran,2.991917586453142,B,A,73.92688636731849,B,C,-121.46191393129149,A,-220.20577435521184,-68.41727322998668,0
Other,31,Yes,-54.64903527478875,D,D,-185.47111312811498,D,D,-42.068644317704475,D,11.25774911338255,-55.319690855212954,0
F,19,No,-64.03085601569536,C,B,-3.410816365472111,A,E,-131.43140651972658,D,68.55823577896692,128.02882362832523,0
M,85,No,85.6178496365848,C,A,-40.81265803800704,B,A,59.960981465906826,C,-108.80617581323637,-115.20020072098016,0
Female,19,No,132.07748163548592,B,D,11.836571808172534,A,A,-111.1606359824389,A,-32.38485771686985,-8.2280358479948,0
M,63,No,-129.09770199923489,E,A,-121.4252824631793,C,B,-175.36510441946257,A,43.287204984638144,132.05888330607027,1
F,18,Non-Veteran,98.34982641728212,A,A,-3.6478706230671074,C,D,-9.186803384029906,D,-46.6724123359587,79.1900896122565,0
Female,87,Veteran,-108.00426257073849,A,B,128.56334368850938,D,B,11.462849743168295,A,-105.6445002545165,106.65751731310591,1
Male,70,Yes,-18.98222189297928,D,E,-73.42227852138859,D,A,113.10620705650634,B,-222.14849984313923,-53.58429728434019,1
Non-binary,35,Yes,-244.03111497026347,E,E,-7.728085429255399,E,B,-65.04684806219927,E,-81.78016493122638,-4.178374837165739,1
Other,52,Yes,-56.844883239091814,B,E,7.225041364613102,C,D,104.89847902938561,D,-59.85948460704492,-198.16433222285076,1
Other,78,Non-Veteran,-27.880839646434147,D,D,-208.11970211036885,C,B,17.911401782185457,C,-50.34520973267493,48.352068139993385,1
F,79,Non-Veteran,16.49838783203343,B,C,30.198161080413925,D,E,-130.9619863693894,C,89.72052165722502,-60.81214559447696,0
Male,18,Veteran,143.8821739187713,A,B,-19.662142932343265,D,E,-115.57476494617947,B,76.00099374613522,-93.06847336863527,0
Other,90,Non-Veteran,-144.1613501420938,A,A,-68.13621018145322,A,D,-15.746654026895849,A,-119.15296579246228,33.92967459454357,0
Non-binary,62,Veteran,12.330887647647778,C,C,1.5691357571898177,D,C,142.02845217980874,A,145.033098063451,21.053460764192437,1
Non-binary,91,Yes,20.565372497446464,D,C,-6.526627096918477,C,B,112.46206525602311,D,24.204973508320915,-23.587793969972328,0
M,32,Non-Veteran,-112.39606256477926,B,A,-46.71039184651542,A,E,188.23876281644542,A,-10.506598700203295,28.882855009196923,0
M,38,Yes,-14.744190858599271,D,B,144.66450291313353,C,C,-105.18499351795202,A,11.400115326904125,34.03839616326324,0
Male,44,Yes,94.79270111484051,C,E,-61.306452794766344,C,E,-112.05454175066376,B,152.63719326143035,-40.68117218141252,1
M,57,Non-Veteran,-102.03117667744283,E,C,-160.47960265595583,E,D,149.97484888431092,A,-29.608037300915495,65.47129236572343,1
M,53,Non-Veteran,-12.425694303804326,B,E,18.73690167824298,C,A,114.5349663616593,D,63.07072192294916,181.67113652899204,1
Female,94,No,123.01529846177743,C,C,21.84571142995911,C,C,-30.5688740017519,C,-13.512870577249789,40.08844719069367,0
Female,51,No,80.94173521608772,E,D,61.162148107191236,C,A,-22.278168838619703,E,78.04345969659252,29.90896033544289,1
Other,80,Yes,-108.30835320357892,B,E,60.54506139862038,C,C,-119.30633893768743,C,-57.2853707682439,62.66975784557087,1
Male,24,Veteran,54.486248115749106,C,A,-9.124679686355805,C,A,88.95807717540349,D,169.14302039946642,76.24680430325664,1
Other,37,No,-98.23790624283399,D,C,9.360896726609083,C,E,116.4851890741673,E,20.79539873217226,11.53891142202858,0
Other,39,Non-Veteran,-15.310574164008806,B,A,58.48679986369425,B,D,28.350499858079882,A,-85.19728352684535,104.56294348056478,0
F,41,Non-Veteran,-24.27778207362106,E,A,24.232859715355108,E,A,88.40713859226096,A,68.35056391517682,-25.455567960998614,1
Non-binary,23,Yes,136.3720452083497,D,E,-48.886404528573124,B,B,-61.91969898797963,E,-26.889475272853346,-29.054723994384318,1
Female,71,Veteran,139.03463707987643,D,E,-72.23641317643522,E,A,248.99804453389888,D,106.22639254868724,-81.94484275031573,1
Other,93,Veteran,-254.56405502997973,B,B,-98.49204125925006,A,A,-60.31898242354114,C,91.09028797953972,-91.9533058856138,1
F,73,Yes,-76.00358037881895,D,E,-152.3731527015586,E,B,101.85293284778851,D,37.347825226666615,119.59397604100045,0
F,19,Yes,47.74964111768495,B,C,32.311011586229284,D,A,-73.90942373324114,B,52.039280348253804,-105.47405793052282,1
Male,81,Yes,-38.867474604447665,A,A,-72.25504633792234,C,B,35.5278576558052,B,49.54104143875971,53.324441119741415,0
Non-binary,73,Yes,-108.31216568807831,B,A,31.841298743325286,E,B,135.84412526767107,C,150.05660145313465,-51.42477802846589,0
Female,39,No,102.74092064130467,D,E,65.5058471644663,A,E,-18.955255338036068,A,-89.44892059667256,-18.289003102293126,1
Other,90,Yes,-25.320914119937093,B,D,123.27600555270945,D,D,-4.485120197135922,B,119.28049380683616,-29.695691005296215,0
Non-binary,20,Veteran,-97.25528354466537,D,D,-56.34437768369748,E,B,-41.82990004494938,A,-78.49780990955604,7.9134232774977535,1
Other,80,No,202.99825549446612,A,D,-120.38347547325205,C,C,-40.881523412188855,A,-13.278607598237869,-64.55571631184108,1
Non-binary,97,Yes,-91.49175920720008,B,B,8.876216639668241,D,C,79.11147612462428,D,-68.70732573633161,-62.979072801683735,0
Female,50,Yes,-89.54955521037714,E,B,60.454546107505415,A,B,38.2455910987293,B,79.89853009486248,-33.61673243107658,1
Male,85,Veteran,117.52352740338952,B,B,58.49991879806247,C,C,43.932557288183745,E,-164.51263025345898,-10.939574519429629,1
M,32,Non-Veteran,-61.0115090790777,B,E,139.92702224659746,C,A,-82.73689718987511,B,361.17101626659604,20.161615173864345,0
Other,20,Non-Veteran,60.85580550649481,A,C,52.072596834284134,D,A,-44.92640284582014,B,-58.156597073654204,-46.02652057073891,1
Male,73,Non-Veteran,45.15448791541321,B,B,-137.20625181504244,D,B,-49.75712109466039,D,87.06791004573455,69.06965017949793,1
M,36,No,93.36819077568286,E,E,78.58015035914914,C,B,63.32755054122189,C,80.28233981670847,-87.13040850339186,0
Female,52,Yes,102.13507432974338,E,D,-68.64312202145834,A,D,66.61529665763592,C,14.981376158930848,-23.751153905561143,1
Male,45,Non-Veteran,-122.39112485027373,A,C,-39.65480683117832,B,E,36.101740343818854,D,-177.06999443885272,-75.28341861260509,1
Non-binary,69,Yes,-8.852558709494062,D,A,-68.72889725052876,E,A,-73.35775770175648,A,114.74888211938128,-97.30951914273437,1
Other,80,Veteran,109.60055088212832,B,E,114.12533396520628,A,B,62.46490741431367,E,116.81116776973451,-136.80697340531103,0
F,55,Yes,-75.50142200292278,C,D,-45.10623118671275,D,A,79.72624851313348,C,-76.06767642666155,-0.5020645190952778,0
F,76,Non-Veteran,-25.494006981765192,A,C,-57.0397670390827,A,A,-164.7799212211571,D,-78.9874562071867,-111.865147166729,0
Male,22,No,31.57817665603592,A,D,-42.48558609057729,E,E,188.87957660177344,B,23.229193656647695,27.75525307706308,0
Male,27,Yes,125.52834233692505,D,A,30.44133402696304,A,B,28.829722308228877,E,13.888495247577373,48.4568972886613,0
Non-binary,37,Non-Veteran,209.14524137513445,D,A,-176.88202596009475,E,C,-37.95883753018241,B,-36.8165807625714,137.27044392605566,0
Other,87,Non-Veteran,6.092541810689698,E,B,-14.730241573678207,B,B,78.3590333406767,C,45.92445499449999,107.53646805866101,0
Male,68,Veteran,49.63182092218721,D,E,-116.62502888806705,D,A,-140.35658108689836,C,88.25667495441685,-2.5140267570853476,1
Female,40,Yes,154.5980171968824,C,C,-88.31102332169284,D,E,61.502892825148,B,-118.13108890392519,-85.31037339583546,1
Female,34,Non-Veteran,189.04121004957437,A,C,-75.57696896182044,A,D,-50.305641058001115,E,96.80229733779997,-165.1265993305674,1
Male,59,Yes,27.737301272549065,B,E,231.95041691696522,E,A,204.1626553748025,E,23.27905114517439,63.08944093776526,1
Other,80,Non-Veteran,41.56174687821213,E,A,123.50200794981028,B,E,38.61709487514288,B,151.9755889396504,-121.54723021744498,1
M,18,Non-Veteran,-116.57118009768669,B,C,-183.17391670547394,B,E,-13.63827949658553,D,-27.404314713360712,-29.42225500970295,0
M,96,Non-Veteran,109.88783339583715,A,E,-145.76564688839017,E,E,70.26332969835791,D,71.4320235358441,-17.17032468096677,1
Non-binary,95,Yes,-56.91298410408279,D,E,-154.67925326945937,C,D,17.193127393746053,B,21.69490218008337,80.9479263774054,0
Female,54,Non-Veteran,79.70037601464159,A,D,-61.67768171853296,A,E,241.31152158241832,C,90.88881711359814,66.9902847284022,0
Non-binary,59,Yes,-207.92326466046225,B,B,-127.96564848255511,C,B,-271.7784492032112,E,100.52425281257243,-101.56023224305268,0
M,42,Veteran,110.32789118993054,A,A,136.8249489409359,C,C,-94.59910360388088,D,-63.750140360014065,99.89167348801405,0
Female,35,Non-Veteran,-147.6387403640638,B,B,-68.60748908704849,B,D,-59.98992648967475,C,149.76695966559487,129.93086388471477,1
Other,86,Non-Veteran,73.09726238538934,D,E,-46.52703709084845,B,B,89.5805114416652,C,140.37517710200223,70.45264681874819,1
Male,88,Non-Veteran,-21.764543796492273,E,A,85.05687338618787,E,A,18.312104870640518,A,35.49973579166358,-58.19732177831482,0
M,37,Yes,-11.545634104685448,E,E,-85.95212150721093,A,D,17.135245398330156,B,-20.304952291943387,111.62594530935341,1
F,34,Non-Veteran,-6.236840725023084,A,C,-83.16313705494757,E,D,104.66044592238374,E,-96.43183956989434,15.140316800602172,0
M,36,No,211.96152419167626,E,B,-12.317800420797708,E,C,-210.76794958582235,C,-38.31314602377679,-42.5627957102645,1
Male,23,No,28.205588672651054,D,C,93.35739433478334,B,D,-48.42901512191368,E,30.13357744300011,173.6514001000193,0
M,33,Non-Veteran,-79.25252240526657,D,C,10.659309448359343,D,D,91.66052562688469,A,-17.756530281175067,-50.519127897571245,1
M,98,No,-9.83398475073041,A,A,-25.877015291193068,E,A,-0.5284903866763702,A,-80.51443240037426,-108.83603132256461,0
M,61,Veteran,6.030171738266055,E,C,-168.32554438992577,D,B,316.484107994234,A,-119.69316161015311,81.04406590204111,0
F,35,Non-Veteran,70.32426155013968,C,C,-136.90459458283766,A,A,54.08175270653531,E,-75.81985942134763,-153.40226795426904,1
M,94,Yes,5.205340939386916,B,B,-9.94939030789424,D,D,283.6298774292675,A,9.726289878275002,-7.8028890738860825,1
Female,51,Veteran,169.32142262836564,B,E,150.12382967303841,B,B,56.36269286766817,A,179.91314786979282,-3.872461275429363,0
Female,64,Veteran,1.4770727387669607,B,E,-19.342383534864027,A,D,117.0525062933752,E,43.57998412440891,46.72798066674021,1
Non-binary,38,Non-Veteran,-39.48576822697535,D,D,15.70879122744162,E,C,-12.41891280838678,C,70.79819748570644,52.764860971469616,1
Male,46,Non-Veteran,0.40797622763788105,A,D,114.98903448784273,E,A,-93.84033328442123,A,211.9247996415269,-6.791000238803391,0
M,76,No,252.75290189272627,A,E,-36.55984353310025,C,B,-72.9893074380778,A,-102.58601132971279,-50.46014579804058,0
M,56,Veteran,104.30252656523355,A,B,-56.1486588607114,E,C,-189.06435451174158,D,-117.90131752762927,-116.48529755230086,0
Non-binary,87,Non-Veteran,-102.05736496217224,B,A,-24.156588846016103,E,A,-50.678871200502776,C,-113.23498578789994,107.01030984144238,0
