ethnicity,SEX,age_range,religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Hispanic,Other,36-50,None,-63.08370400082164,-121.74419868188791,D,B,E,1
Asian,F,26-35,Christian,90.85039949519066,80.98964051354173,E,C,E,1
Hispanic,F,65+,Jewish,-46.75906544384515,94.1762268205818,D,E,B,1
Hispanic,M,36-50,Buddhist,-25.645224978657016,-53.328707610456696,B,E,D,1
Other,M,26-35,Christian,-83.88977118282817,114.10605964183316,C,C,D,0
Black,M,65+,None,-65.18160114178926,-32.53068642354236,D,B,B,1
Hispanic,M,65+,Christian,12.409246547858727,72.95084639610143,C,D,E,0
Hispanic,Other,26-35,Hindu,13.860347707583204,-42.779931915520166,E,A,A,0
Hispanic,F,51-65,Christian,17.773453789487554,42.0189496004501,E,A,A,1
Other,Non-binary,51-65,Hindu,-62.88242883761295,-255.49222590913763,B,E,C,1
Other,Male,18-25,Buddhist,-177.07485870870116,-91.80124959876443,B,C,B,0
Asian,Female,26-35,Muslim,-62.971485924553626,26.99695369251383,E,A,C,0
African American,F,18-25,None,-100.77880325753783,-155.87659935545477,B,A,D,1
Other,Non-binary,36-50,Jewish,-40.76469710790294,92.22812465222525,A,D,C,0
White,Non-binary,51-65,Jewish,-89.84839383877213,76.96873104846983,E,A,A,1
Other,Male,36-50,Hindu,-40.795805747675864,146.21524471478912,A,A,A,1
Other,F,65+,Other,90.68313888832266,-16.750661253588152,E,D,D,0
African American,Other,36-50,None,-63.28040791237618,-85.06271964415906,D,A,C,0
Other,Other,65+,Buddhist,-129.32607146587182,167.15195106967982,D,C,D,0
Other,Male,36-50,Muslim,-65.22665498717932,27.377752382127348,D,C,A,0
White,Non-binary,36-50,Buddhist,-139.81622119574365,33.92317333888108,B,E,E,0
Other,F,36-50,None,111.83967157820331,153.9163287602365,E,C,A,0
Other,Male,18-25,Hindu,3.1639085620570264,-78.66067430452995,E,C,D,0
Asian,F,26-35,Hindu,29.272502861347494,60.2534680603727,C,C,B,0
Hispanic,Non-binary,51-65,None,112.94350592638527,100.26284528861822,B,D,A,0
White,Non-binary,26-35,Hindu,-92.4928028874688,53.533715608127295,E,C,C,0
African American,F,18-25,Muslim,-12.594635290310672,-123.3769394097984,D,E,A,1
Other,Other,51-65,Hindu,-96.10600325835948,-1.03876645871538,C,D,B,1
Asian,F,51-65,None,47.237371009255234,108.76864119704548,B,C,B,1
Asian,Non-binary,65+,Muslim,-182.20083751986812,79.61199980349043,A,A,C,1
Black,Other,36-50,Jewish,-93.03227448084466,-30.475034711115068,E,D,E,1
Asian,Male,36-50,Muslim,-327.11047291925513,-100.05089756364028,A,B,B,0
Asian,M,18-25,Other,-149.1958948646222,15.301851992416019,D,B,C,1
White,Non-binary,65+,Other,-131.8262698761155,23.622800302961572,E,D,A,0
African American,Non-binary,18-25,Christian,-108.29307062242981,-120.80864141695717,B,C,C,1
African American,M,65+,Jewish,239.44371677116698,-149.2843858774239,C,E,D,1
African American,Female,18-25,Christian,-74.0796201919174,57.63308735107475,C,E,E,0
Black,Non-binary,36-50,Other,156.09937713888783,44.898444379331295,A,B,C,0
African American,Male,51-65,Muslim,40.188215284970056,-13.873077938434447,A,A,C,1
Other,Male,18-25,Jewish,8.727060285833208,-51.036063058581625,B,A,E,0
Asian,Non-binary,65+,Jewish,31.227718422696523,-150.65321829788263,D,D,E,0
Other,Other,51-65,Hindu,235.6449451623562,37.20947189710226,C,B,D,0
Hispanic,Other,18-25,Hindu,-94.71790918528669,176.81046204570333,B,A,E,0
Asian,M,65+,Jewish,33.28224613154403,0.6991307900443954,C,E,D,1
White,Non-binary,18-25,Buddhist,178.89477280657923,114.63983175957502,E,B,D,0
Black,Male,26-35,Hindu,-210.39875581071436,13.578752463621434,E,E,C,1
Asian,Female,18-25,Christian,-26.22575622039478,-30.0957494474775,C,C,A,0
Hispanic,Male,65+,Christian,-113.62086224938056,-12.959981025714528,C,E,A,1
African American,Non-binary,36-50,Christian,114.72489011699072,21.043373834683475,D,D,C,0
Other,Male,36-50,Jewish,-86.55135934780259,-94.96848350090768,C,E,C,0
White,Non-binary,36-50,Jewish,-3.532305527164772,-150.6089847240258,E,E,E,1
Other,Female,18-25,None,-76.49195932170119,6.253199622627408,B,D,B,1
Hispanic,Male,26-35,Muslim,8.5972465058004,-44.04461385055945,D,E,D,1
Hispanic,Male,65+,Muslim,10.379593196320915,149.98792179713655,D,E,B,1
Hispanic,Female,18-25,Other,-98.02786255665103,-90.17682382635289,A,A,B,0
Asian,M,36-50,Other,-67.59984034055134,67.75354623081455,A,C,D,1
Asian,M,26-35,Jewish,-34.66999457195025,-24.305716961988807,E,C,E,1
Hispanic,Non-binary,36-50,None,-127.64982079369658,206.07487679982924,E,D,A,0
African American,Female,51-65,None,93.69334739633555,30.972927953994823,D,B,B,1
White,M,18-25,Other,26.861552757337066,-216.2479793585714,E,B,B,1
Asian,Non-binary,36-50,Other,89.85995930473759,32.70154891566206,C,C,E,1
Asian,Non-binary,65+,Buddhist,-22.853038399703944,103.16101398022049,B,D,B,0
Hispanic,M,65+,Buddhist,-70.88930592826708,-78.26570625418296,D,A,A,0
Other,Non-binary,36-50,Jewish,-121.11388444145628,51.94088439805338,D,D,B,0
Asian,Female,51-65,Muslim,112.64603514925207,-1.6248759409296463,E,D,E,0
African American,Female,51-65,Jewish,27.83671083275475,-104.5847462602091,B,C,B,1
Hispanic,Non-binary,18-25,Buddhist,4.133739825330573,-191.69329422323636,E,A,D,1
Hispanic,Male,65+,Jewish,-14.691473816796321,68.73349473153161,B,A,C,1
Asian,Male,36-50,Jewish,-36.11877624040605,26.114895841502552,C,A,D,0
Black,Female,51-65,Buddhist,59.66787937209862,61.56115345154623,D,A,C,0
White,F,36-50,Hindu,109.48700001418146,34.675251149927114,E,C,D,1
White,Male,18-25,Hindu,118.16487770246236,83.10751752626221,E,C,A,0
Other,Female,18-25,Buddhist,133.4814491970319,-179.27861650989684,A,A,B,0
Hispanic,Female,18-25,Buddhist,18.410855949330738,-163.7441128942578,C,E,A,1
Asian,Non-binary,51-65,None,-93.82596126893769,-46.55875301619488,C,B,B,1
African American,Other,36-50,Buddhist,-81.00565005047127,73.58238583511495,D,A,E,0
White,Non-binary,18-25,Muslim,-53.47236163753104,128.46332014452608,E,D,E,1
African American,Female,18-25,Muslim,14.846487611394782,-78.46999808694949,E,C,A,0
Black,Non-binary,65+,Christian,-49.54277742899229,51.673621697128766,E,A,E,0
Asian,Non-binary,51-65,Hindu,66.68178150242875,19.371451868152356,B,D,A,1
Asian,F,36-50,None,89.29882424613707,-131.58031852674966,A,E,D,0
Hispanic,Other,18-25,Christian,31.868987608274104,-52.023381615768,E,C,B,1
Other,F,18-25,Jewish,1.36482801378211,121.97829799337036,E,B,B,1
Black,Female,26-35,Jewish,171.92750639837877,-4.80071831085862,D,E,E,1
Black,Female,26-35,Buddhist,121.64893650082351,80.47969973591817,E,E,B,0
White,M,26-35,Other,55.20037278094655,285.12655014511097,A,E,A,0
Hispanic,F,51-65,Hindu,69.49542862817577,-133.09902050953013,A,D,C,1
White,Female,36-50,Buddhist,-15.7006003402646,-27.187492714644137,B,D,C,0
Hispanic,M,36-50,Christian,-156.74272869966657,43.0084788683419,A,E,E,0
Black,M,18-25,Hindu,172.76491135229475,-147.88923273085416,A,D,A,1
Hispanic,Non-binary,36-50,Jewish,-180.623385840436,-4.660810084304499,D,B,B,1
African American,Non-binary,65+,None,-5.566651965757308,123.41271897591398,E,B,D,1
Asian,Non-binary,36-50,None,71.89267638501022,36.01926297231343,C,D,B,0
Hispanic,Other,51-65,Other,34.43835513827632,-112.45814174115851,E,A,D,0
African American,Other,65+,Jewish,45.805440811385054,-162.77997591716488,D,A,A,1
Hispanic,F,18-25,Jewish,35.97332781535702,159.73030680483174,C,E,D,0
White,Male,36-50,Muslim,-38.767821078458105,-60.7466499704344,D,D,A,0
Asian,M,26-35,Jewish,89.7181118125077,-154.39983550940136,A,A,C,1
Black,Male,26-35,Hindu,115.05216946518951,-215.09183248285143,C,E,B,1
African American,Non-binary,51-65,Buddhist,144.73259316479988,-116.56855584355401,A,C,D,1
Black,Male,18-25,Jewish,35.748673684072244,-75.41697674034346,A,C,D,0
African American,M,65+,Christian,-161.73292060871418,25.07965090719692,C,A,A,1
White,Male,26-35,Other,158.8839402725563,56.65513943022692,D,B,D,1
Hispanic,F,36-50,Hindu,-14.455707606079162,-55.75572838773971,D,A,B,0
African American,Female,65+,Buddhist,-119.33417638767077,-88.39500425431962,E,C,C,0
Black,Other,18-25,None,89.9308462303274,60.459576198920516,B,D,D,0
Asian,M,18-25,Muslim,38.73252530898371,3.9952119841207416,E,A,A,1
Asian,Other,65+,Buddhist,138.4232963490267,-75.69541293440955,A,A,C,1
African American,Male,18-25,Hindu,-83.83027656410128,8.988268843473337,E,B,E,1
Black,Male,36-50,Jewish,64.56201678393103,-32.869749229379245,E,C,B,0
Other,M,65+,Other,-20.038128257379284,67.34243713099501,A,C,C,1
African American,Male,65+,Muslim,12.232237611977508,-6.567226790127828,B,A,B,0
African American,F,18-25,Hindu,-5.154166134866731,-59.54556115300864,E,D,C,1
African American,Non-binary,65+,Jewish,81.86909499254197,34.86997263820512,C,A,D,1
White,Female,26-35,Jewish,14.607502703077396,-1.7823668497387548,B,D,A,1
Asian,Female,26-35,Other,-34.34018635783218,57.8502274728638,E,A,D,0
Other,Non-binary,36-50,Hindu,-32.36623331635484,37.48438301738236,B,C,A,1
Other,Other,26-35,None,236.2310048586603,-106.22006067474155,B,A,E,1
Other,Male,36-50,Other,21.87536954284915,68.88278270584469,E,B,C,0
Hispanic,F,36-50,Other,133.6708993589496,-36.292464011265565,C,B,C,1
White,Other,18-25,Buddhist,-99.21098288335332,-164.4387767460751,A,B,A,0
Black,Male,36-50,Other,-64.43928936564868,-62.12319427822145,D,D,A,1
African American,Male,51-65,Jewish,92.82169222531485,75.52549872143112,E,A,D,1
Other,Non-binary,65+,Other,37.83396023634446,13.55363768859589,A,E,C,1
African American,M,51-65,Hindu,-85.45991212331484,57.98075931735601,D,D,E,0
White,Female,36-50,Buddhist,84.93089196218972,-144.04952679934138,C,C,B,0
Black,Male,36-50,Muslim,-42.61401451249563,13.676360939862642,C,B,E,0
Other,M,51-65,Other,11.848326286173354,118.04833615208776,E,E,A,0
Hispanic,Male,51-65,Hindu,92.322480896509,-84.1610719354746,D,D,E,1
African American,F,26-35,Muslim,318.20037568911465,-102.87928587178511,E,A,A,0
White,Female,18-25,Christian,-23.898480506333513,-53.8069634515415,B,D,B,1
Asian,Non-binary,51-65,Hindu,-93.54555773271956,126.1661495108963,E,C,C,1
Black,Non-binary,26-35,Buddhist,120.71248049771167,2.7093831583471952,B,D,E,0
Asian,Non-binary,36-50,None,112.69191198418768,-39.96402302949897,C,C,B,1
Asian,Other,65+,Muslim,117.49848966611867,7.048086378073065,C,C,B,0
Other,Non-binary,18-25,Buddhist,57.469796471587344,-17.99766303862125,D,E,E,1
Hispanic,Other,36-50,Muslim,196.73705272234943,-102.0032944650117,E,C,C,0
Asian,Male,18-25,Buddhist,-111.34923136166843,100.67989890783227,C,E,D,1
Hispanic,M,26-35,Christian,-4.788975388950314,-22.40558771538704,B,C,A,0
Black,M,18-25,Christian,62.54557359973278,-152.90016542905002,E,D,E,1
Other,Other,51-65,Other,-141.69922557830265,155.00196774239603,B,D,E,1
White,M,65+,Other,112.33867976278944,31.732627520256862,D,D,A,1
African American,Female,51-65,Muslim,-74.6933021316578,154.09252178516357,A,B,D,1
Other,Female,51-65,None,27.093132994884694,31.20129615684596,A,A,C,0
Black,Other,26-35,Christian,-89.05077918871676,138.2519815314103,A,D,B,1
Asian,F,65+,Buddhist,-88.72812066126649,-69.27322147769077,B,E,E,1
White,Female,36-50,Other,302.4696880968982,-24.98741954866718,D,C,C,0
Other,M,65+,Muslim,-99.73547413548752,-19.043245111249718,D,D,B,1
Other,Non-binary,26-35,Muslim,-184.58253424658028,12.985715765694897,B,D,A,1
Asian,F,18-25,Buddhist,-99.03895031064002,102.53522328023462,A,B,E,0
Asian,Female,65+,Jewish,-112.28266974510919,31.232923834356136,C,B,A,0
Black,F,51-65,Other,39.32887192052693,181.41107228249254,A,D,C,0
White,Female,26-35,Jewish,-174.99164566679704,23.792795938979022,C,D,E,1
White,M,65+,None,0.4114185423962426,-11.104694358261309,B,E,A,1
African American,F,65+,Muslim,65.88673631615521,-144.81776671236895,C,B,E,0
White,M,51-65,None,-22.511161913728518,-8.732716295260047,E,E,A,0
Other,M,36-50,Christian,187.75934920881076,178.12196743302022,A,A,B,1
White,Non-binary,18-25,Buddhist,-107.97147756639652,-56.98130124672204,A,C,D,0
Other,Female,36-50,Jewish,11.432652485324796,-107.75213968368914,D,C,E,1
Hispanic,Male,51-65,Other,-247.1408240093695,-39.49590235669091,D,C,C,1
Asian,F,26-35,None,50.76825690477972,-77.50246750150687,B,A,A,1
Other,Other,51-65,Hindu,-240.47414305854576,21.291938191533475,B,A,C,0
Other,M,18-25,Jewish,131.86863013824944,28.595889438749307,E,C,A,1
Asian,F,26-35,None,-127.86970735762611,19.187912468853373,E,D,B,0
African American,Female,65+,Jewish,-118.3810984652416,-2.842043753875478,A,D,B,1
Hispanic,Male,51-65,None,-53.40684014163235,-136.87618341307527,E,D,B,1
White,Female,26-35,Buddhist,-44.56838361991095,83.15551834680188,A,D,C,0
Black,F,26-35,Muslim,128.33677269149882,-154.85149764435593,D,D,B,0
Other,Male,36-50,Jewish,31.315034955261428,25.64973052954171,C,C,D,0
White,Other,36-50,None,52.59491179129523,-57.69680480432371,C,A,C,1
Asian,Female,26-35,Christian,11.688193610487522,136.988706380895,B,C,A,0
African American,M,36-50,Hindu,27.38953187272677,-110.52225090749268,E,C,E,1
Black,Female,18-25,Hindu,-34.232482793589206,-75.48811929363464,C,D,D,0
White,Male,26-35,Jewish,108.18921917522755,53.258924515618176,D,D,E,1
Hispanic,Non-binary,18-25,Muslim,-66.85554572192683,77.6305297601491,A,C,D,1
African American,M,18-25,Christian,8.865434728811957,-21.35517503185915,E,A,E,0
Other,M,65+,Jewish,16.162496652586196,17.202345378530577,E,C,D,1
Black,M,51-65,None,-1.1066632640494813,-91.86165311003532,E,D,E,1
African American,M,18-25,Christian,-6.024386013319553,-78.49981132387074,A,D,B,1
Hispanic,Non-binary,26-35,Jewish,-113.50705955818773,45.09627578268223,E,D,A,1
Other,M,26-35,Muslim,16.55518415521267,12.118025389564872,C,D,C,1
Asian,F,26-35,Muslim,54.287876908996246,-47.49929195229895,C,D,C,0
White,Male,26-35,Buddhist,-13.73248257997327,104.85393648708082,B,D,B,0
White,M,36-50,None,-79.04077033544348,-12.788618399822852,C,B,A,0
Asian,M,51-65,Other,25.568948885101157,0.6055620676955418,B,E,E,1
Asian,Other,18-25,Christian,-88.93272334903601,-65.87394779068828,D,C,C,1
African American,Non-binary,26-35,Jewish,14.025705142958792,48.17092517818805,C,A,E,1
Hispanic,Other,36-50,Muslim,-61.73217527948416,5.83354839087965,D,B,E,0
African American,F,65+,Buddhist,-5.140549418246926,-89.97080139890318,A,C,D,0
Asian,Non-binary,18-25,Jewish,12.609743058065526,147.5197957300908,B,D,E,1
Black,Other,51-65,Jewish,-93.3260609500867,230.5297472440516,A,B,D,1
White,Female,26-35,Jewish,39.45668051325004,75.97592825423588,A,C,B,1
Hispanic,M,65+,Muslim,12.40063734049834,147.5832809560929,B,B,C,1
Other,M,65+,Hindu,-133.57664208086626,92.24833472347585,A,A,A,1
White,Male,65+,Muslim,-256.3071032570183,-79.58798516167286,E,A,D,0
White,Male,36-50,Other,-21.84700043982533,92.31020639917082,C,E,A,0
Black,Other,26-35,None,64.33243763289572,29.657743413549483,B,D,B,0
African American,F,18-25,Other,130.39702705528322,-174.22453485183925,C,D,E,1
Other,F,18-25,Christian,-116.04580071086063,-28.076419841312905,D,A,A,0
Asian,Other,65+,Jewish,18.146321255410967,159.64921044739035,B,A,A,1
Asian,Female,65+,Other,103.47165980222914,8.220210539739593,D,A,D,0
Black,Other,18-25,Buddhist,-197.98105114500518,-197.58058863022305,D,C,E,1
White,F,65+,Muslim,-58.40850979925406,80.78195563503488,B,C,A,1
Hispanic,Female,26-35,Buddhist,-79.23062534785328,-61.63784822241168,C,E,C,1
African American,Female,65+,Jewish,8.735829164200386,79.29319039230312,B,E,B,0
Hispanic,Non-binary,26-35,Jewish,18.044217425559612,-59.871134805113954,A,B,A,1
African American,F,36-50,None,7.676296130222022,158.0615423917449,C,B,E,1
Black,M,26-35,Other,-68.19506091709489,49.11217107612249,E,D,B,0
Asian,Female,36-50,Jewish,-248.01215463326778,-114.08284021882753,E,A,B,1
White,F,36-50,Hindu,-41.556392798889526,82.15345810787336,C,A,D,0
Black,F,51-65,Buddhist,52.307088755557295,157.82915107040614,A,E,E,1
Other,Non-binary,26-35,Other,18.007106245425216,101.52663146911401,A,A,E,1
Asian,Other,36-50,Hindu,43.58199556208081,1.2803596236855408,D,B,E,0
Hispanic,Female,18-25,Buddhist,-7.694058086705901,-2.7614270124775655,E,D,C,1
Hispanic,M,18-25,Other,2.061125094068886,-39.07161894598904,A,B,B,1
White,Female,26-35,None,59.39186688610631,-169.55236954769472,C,E,D,1
Asian,Female,18-25,Hindu,-271.7417455675535,39.59888503214259,D,E,E,0
Other,Non-binary,26-35,Muslim,-60.62659567392612,4.574491018610406,A,A,E,0
Hispanic,F,26-35,Other,105.88986849636484,-124.44363944650567,A,A,C,1
Other,Male,18-25,Other,145.99554978405405,-56.67190347082224,C,B,C,1
Hispanic,M,65+,Jewish,45.97476594671257,-16.474142469464596,D,D,E,1
Other,Male,18-25,Buddhist,207.02369072466263,166.2253759426917,E,E,E,0
White,Other,51-65,Buddhist,-77.71849373765654,-45.620385458812,B,A,D,0
Other,Male,36-50,Other,-64.12489487421114,53.86464867998956,C,A,B,0
Other,M,65+,Muslim,38.283891703628086,-41.035200434294644,E,E,D,1
Asian,F,51-65,Jewish,178.1749830323223,-15.78413884629082,C,D,E,1
Other,F,18-25,None,58.035614631507485,77.47203160548574,E,A,C,1
White,M,26-35,Hindu,-101.09494824780363,-44.60094412202918,D,E,C,0
African American,Female,18-25,Hindu,-160.95740326566656,31.171860756536752,A,D,C,1
Hispanic,Other,65+,None,-47.788503144122416,-73.04047931938749,C,A,B,1
Black,Other,26-35,Jewish,-24.434770089436917,-59.31621790036482,B,A,A,1
Other,Female,26-35,None,-73.90514641404015,-106.9519230656666,B,A,D,1
White,Male,51-65,Buddhist,169.7870263533335,172.64989415549502,D,E,D,0
Hispanic,F,36-50,Muslim,44.78226422821182,170.89815054254552,A,D,C,1
Hispanic,Male,51-65,Muslim,-126.5207023574187,-140.7027336704744,A,B,C,1
African American,Female,51-65,Muslim,-23.58771754953141,132.32074072431826,E,B,B,1
Other,Non-binary,65+,Hindu,124.21181605630096,187.35947501006802,C,D,A,1
African American,Non-binary,51-65,Muslim,103.48687997641062,-103.7460220799423,C,A,B,1
Black,F,36-50,None,-79.43363979182472,-163.50829054345007,D,A,B,0
White,Female,36-50,Hindu,-77.75200611660757,-52.31358337503828,D,B,C,0
African American,Other,51-65,Muslim,58.1667385778292,-98.12967604927452,E,C,D,0
Hispanic,Male,26-35,Jewish,-97.18362312108462,133.1913109770697,E,E,D,0
White,Other,51-65,Muslim,29.384103869726008,-55.06224173818879,D,D,A,0
White,F,51-65,Hindu,39.96439719327045,51.894997382800355,A,B,D,0
Asian,M,65+,Jewish,16.290564927579585,-8.532764350327664,D,C,D,1
Black,M,65+,Muslim,-41.8685866232252,-5.037277485063651,B,E,B,0
Black,M,51-65,None,-62.70088446739126,-50.07541661186623,B,E,A,0
Black,Non-binary,36-50,Buddhist,99.37551261061004,-31.633563065144305,C,A,A,1
Black,F,65+,Jewish,-34.139464421330345,171.59965538610294,B,D,C,1
Asian,Female,51-65,Christian,119.44820682468485,-96.80847626337287,D,A,C,0
Asian,Male,65+,Jewish,169.01027795951512,-66.52715772621303,B,A,E,1
African American,Male,18-25,Jewish,-30.657241304565087,150.96139589354937,B,D,E,0
Asian,Female,18-25,Buddhist,-12.321095535004483,105.85455635039258,C,D,C,0
Other,M,65+,None,103.73821966597585,49.24234294075621,C,B,E,0
Black,Non-binary,36-50,Christian,-40.86547429665332,-26.050937397445693,E,B,D,0
Asian,Non-binary,26-35,Hindu,85.0911536581929,-220.36498560205206,B,D,C,1
Black,M,65+,Christian,-159.9622261202536,80.17743629717692,E,D,D,1
African American,Other,18-25,Buddhist,-170.89227793571652,-37.8587640397347,B,C,D,0
Other,M,51-65,Hindu,-1.8982862332965689,56.59349009956818,B,A,A,0
African American,Male,51-65,Jewish,45.517225703573864,123.32563408331909,C,C,D,1
White,Other,26-35,Other,129.2456513896101,66.68923214032348,D,A,A,1
Hispanic,Non-binary,51-65,Christian,58.69472511120569,114.59304842698262,B,E,A,0
White,Non-binary,36-50,Hindu,-113.09315377523832,81.02192074230499,C,E,A,0
Hispanic,Female,51-65,Christian,46.05620128177111,-4.432559526387349,C,D,B,0
Other,F,36-50,Christian,138.50906631540923,62.76545710974138,E,E,E,0
Black,Male,36-50,Buddhist,8.272070992840353,-69.42349458010045,C,D,C,1
Hispanic,M,26-35,Other,30.72297068451845,142.3898520226538,A,E,A,1
African American,Male,36-50,Muslim,-33.31198046857466,-136.55306210286295,A,A,B,0
Other,Non-binary,18-25,Muslim,54.007613972597134,58.50222272369855,C,C,C,1
White,Female,51-65,Muslim,92.91176250576642,-92.81211702968817,C,A,C,0
Asian,F,26-35,Jewish,50.571952240224036,4.190439400484661,D,A,E,0
African American,Female,36-50,Christian,98.06195211860579,125.09698712109459,B,E,C,1
Black,Male,65+,Christian,-60.778376235331535,50.07921910147234,E,C,B,1
African American,Female,36-50,None,37.49047171383214,94.97906100271695,C,E,C,1
Asian,Male,65+,Muslim,91.48282029583169,-185.5326693603481,B,D,E,1
Other,Non-binary,26-35,None,25.67638625373802,43.447353398251174,B,E,D,0
Black,M,36-50,Other,133.93155515786592,155.94783834359785,D,B,B,0
Hispanic,F,26-35,Christian,-24.70932743743095,-103.6726493732824,A,A,B,1
Other,Female,51-65,Buddhist,79.30899086566208,-54.81735971891032,A,B,E,0
Hispanic,Female,65+,Muslim,149.59533585416708,38.79592244324355,E,D,E,0
Other,Female,65+,Christian,111.57013127099063,-0.5235875708488524,C,B,A,0
White,Other,65+,Muslim,53.8544353366925,89.54305370341223,B,E,E,0
Other,Non-binary,18-25,Muslim,-22.125655632137402,38.18448749631542,B,D,C,1
Hispanic,Non-binary,51-65,Jewish,27.99274991627321,-60.548641604026955,A,B,A,1
White,Non-binary,36-50,Other,63.81982609173854,-16.434364001914084,B,D,C,1
Other,Female,65+,Muslim,-126.20422374293176,76.89324733052143,E,D,B,0
Asian,Other,36-50,Muslim,-27.234647328220525,55.22035044969162,E,A,C,1
African American,F,65+,Buddhist,-25.207117531240918,-17.75376150475521,C,E,D,0
Other,F,18-25,Buddhist,-286.6093946310735,71.41189597087504,D,D,A,1
Black,M,65+,Muslim,74.99403149129901,120.76300782805444,E,E,E,0
Other,F,18-25,Jewish,31.834050001660525,-13.971601647286775,E,E,A,0
Asian,Non-binary,65+,Christian,54.17412411503161,78.48276535694507,C,D,D,1
White,Male,36-50,Jewish,12.783235246836233,81.08294708454723,E,C,E,1
African American,Male,65+,Other,7.385212099564647,15.790261176284377,E,C,A,1
Other,Other,26-35,Christian,-34.92449963923536,-166.29525334821795,B,A,D,0
African American,F,51-65,None,-181.3936868459398,132.19840197179565,C,C,B,0
White,F,26-35,Buddhist,-7.657361591109928,-13.833720780666162,E,D,A,0
African American,Male,51-65,Muslim,139.5849566905787,77.98907456931559,B,C,C,0
Hispanic,F,18-25,Jewish,268.87034884673596,64.09599219958584,C,D,B,0
Asian,M,26-35,Jewish,48.851764843082414,33.56412861119044,B,E,B,1
African American,Male,51-65,Hindu,20.30890405917657,121.90578965033383,B,B,C,0
Other,F,26-35,None,67.71381655265303,45.5588485445298,D,D,A,0
White,Non-binary,65+,Hindu,74.33124469570525,-16.18242328514893,D,B,A,0
White,M,36-50,Hindu,-26.71678918791499,22.704682315956166,E,D,A,0
Asian,Female,26-35,Buddhist,197.6708057442341,-179.12758405942986,A,E,D,0
