SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Non-binary,D,68.07672950974458,B,137.55276535334718,D,D,117.99341034623261,C,E,1
M,E,144.04814980992012,A,-90.4522557287803,E,B,108.82511062051083,A,E,1
Non-binary,A,151.81064345794903,D,107.89745054012343,B,A,99.09579608021731,B,A,1
M,B,13.822190917931435,C,-148.42027643607105,D,B,-30.493653496939476,A,A,1
Non-binary,A,-40.71048330205477,B,116.31025559517774,B,A,32.269798143983614,C,D,1
F,D,-112.49143723255037,A,24.868300755365023,D,D,9.475955842201165,C,E,0
M,D,-3.9398110037763097,C,35.34317658353313,B,B,-57.046228800115074,E,E,1
Male,E,-24.355252017528276,A,-103.56230528802183,B,C,-29.76601030297175,E,C,0
Male,C,42.77900292778456,B,54.899490511455504,E,A,115.53434597537881,C,A,0
Male,B,8.796172937106077,B,125.05698211501301,A,D,-114.73249369011317,C,D,0
Non-binary,E,-92.77661249929484,C,-30.402075430699345,B,C,71.06344994504764,A,B,0
F,D,-78.66124371985183,D,-137.4036513835957,E,D,148.87611644432934,A,D,0
Female,B,-120.93637488805422,D,69.74475713711958,C,A,-41.76288191150816,C,B,1
Non-binary,B,-131.03731193175997,A,-42.46981683717379,C,E,35.90679964582126,E,C,1
Other,E,121.4530542765134,D,-0.6232878101721298,B,A,-25.792228065556728,B,E,0
Female,A,87.00300396856309,B,135.4645543615167,A,D,-39.19399551037742,D,B,0
Male,E,-170.89392614194904,B,-20.698753882437305,D,E,-34.619164157378016,B,A,0
Non-binary,C,-2.6629656217918463,E,-26.63067806347917,D,B,82.36389059063097,C,A,0
F,B,-16.950450042987246,D,-90.70355315076671,C,A,-111.59079939566303,E,B,1
Non-binary,D,7.504368340504026,D,32.20313102672801,E,E,-135.27764092163383,A,A,0
Other,C,-97.27870311971988,D,135.775228240616,A,C,53.659994512084616,E,B,0
M,E,-57.65510299687221,D,-70.40781226279486,A,E,-74.37787922423685,D,E,0
F,C,-39.419528047764544,D,226.76612416865436,C,C,93.39738286591064,A,A,0
Other,D,26.23794145598795,C,115.25265240097593,A,C,-56.357450995604594,C,D,0
Non-binary,C,-9.368941032131936,B,-168.7701194240862,C,A,28.400212896751185,E,C,1
Other,B,18.09381417376505,A,-18.405156650720834,D,B,-101.41246790208764,E,A,0
F,D,4.615631399411735,A,-167.80311449913933,D,B,-145.86388885085907,E,D,0
Male,D,34.94768582340501,D,80.39003205019843,A,E,52.76297696334413,E,B,0
Other,A,-22.07716812551345,B,-5.075912154821229,E,C,-47.66028542793509,A,B,0
Male,D,58.96230795916443,E,65.00232083788796,C,B,-0.6526834653715482,A,A,1
Female,B,175.21561381613714,E,19.991022756981817,B,D,-119.98500968911313,A,A,1
M,A,75.82832224469325,B,94.82647790721572,D,D,89.75083126312758,C,D,0
Other,D,-11.837897614008297,A,-43.09855120996,B,E,-60.17229814598397,D,E,0
F,E,-193.23963141233799,D,14.51559439236022,E,C,18.914420859122956,E,D,1
Female,C,-53.11759166328466,C,38.5051734076897,C,D,-156.03378911454394,E,A,1
Female,D,30.66217995642053,B,-54.840109689851126,B,B,141.23048654184757,B,A,1
Female,B,11.406122169117323,E,-91.24745183573283,C,A,-126.97304269565252,A,B,1
Other,D,36.44535666846687,C,-70.69692114756523,E,E,20.117400704886023,C,E,0
M,A,-55.100684781530106,D,16.905643481567672,C,B,-78.97213002730798,A,B,0
F,D,63.26938281468223,E,6.285015655240689,A,C,156.5706670058308,D,E,1
Non-binary,A,-197.54775151296457,E,-211.09414763680067,B,E,-11.554007769108258,B,A,0
M,C,-10.724937526827874,D,150.42814834146026,C,C,-86.31695082240634,C,A,1
Male,D,-66.76683765147668,E,44.04269067973961,A,C,97.30795188294607,A,A,1
M,C,3.5274049823640627,A,-30.921928129976905,C,A,-68.18558262720308,B,D,0
M,D,-85.76766632254409,D,-110.0973477381676,B,E,87.48841889395884,B,D,1
Other,E,85.10978976536413,B,190.77935357192038,A,E,35.83049808946932,A,D,1
Female,D,27.73585384530891,B,-46.4591673972708,D,B,-84.71514682139971,B,D,0
F,C,28.32020424397253,C,-92.58536195180181,B,B,-118.24375204296021,E,B,0
Female,C,-236.12249190036195,E,-26.08757308681359,A,D,60.576449075212544,B,E,0
Male,B,40.97689664294116,E,1.0164668030317594,E,D,40.96046128299986,A,C,1
Other,E,21.72836181269897,E,-10.95419106866589,D,B,75.11650043815968,B,D,0
F,D,9.054953071070686,D,167.77434415274084,A,B,-198.78330503784827,D,A,1
Non-binary,B,-178.76523252623565,A,-142.18802852984467,A,B,96.92263694192374,C,C,1
M,B,15.39389263421623,C,-70.95634323299203,C,A,22.596911123385503,E,D,1
M,E,68.49715365067993,A,29.35442485342019,C,D,-92.15020217289911,A,C,1
Female,A,-69.63478584778589,D,118.51740526981467,E,C,-44.466347657067224,A,A,0
F,A,-20.16495417745339,A,-50.512390932039395,D,E,54.99384338896179,D,E,1
Male,E,22.16109629094296,E,49.55244340579493,D,B,6.521904650440124,A,E,0
Male,C,-92.58741950327065,E,-89.88311994923166,A,C,15.263387764871242,A,C,1
Female,B,-41.09613482866721,B,-64.52334838486676,C,D,136.4854229856554,E,C,0
F,D,-192.1036670104452,C,163.83904333511938,D,A,-88.24482868123981,D,E,1
Male,C,-215.2810104312689,D,-172.61743412951998,D,B,-32.739001459196146,D,B,1
Male,A,85.84766758632499,B,-91.40532125508656,A,A,-90.61802390420416,A,C,0
M,B,87.27067036899024,C,80.74780937688129,B,C,80.9940103466949,E,A,0
M,A,-16.517147976726644,A,95.5350498998512,D,A,43.48085469442351,C,D,0
Non-binary,B,-79.79516280329607,D,67.79911090618522,C,E,-55.51215069964511,B,D,1
M,B,43.44020355177342,B,107.64570104902585,A,E,-9.093688699442579,C,A,1
F,E,-91.6218366354997,B,-79.29063739076884,E,A,8.023178385293434,E,D,1
Female,B,217.99589544679088,C,36.444660419335854,C,A,-180.5894048198126,C,D,1
Female,B,1.3877276013021,E,55.79445984736806,D,D,-126.37058663565293,D,A,1
Non-binary,B,-31.926706819046295,E,62.61363292823122,E,D,41.20559022934134,B,C,0
M,B,61.27017314914682,B,-88.59921982692694,A,B,-10.268122196822858,D,C,1
M,B,-137.7343650104955,A,-2.8180287358747105,B,A,-17.655045056469397,E,C,1
F,C,-16.74525922678572,C,-8.587788567130909,C,C,-106.63008721895126,D,D,0
Male,D,11.165716151536024,B,22.17088081162305,C,E,204.81860566809965,A,B,0
Female,B,-221.63381109777865,D,-0.6623032108809918,A,B,87.72562033342417,A,C,0
M,D,-42.52920283495389,A,-148.29281708487974,B,C,52.91470363328743,A,B,1
Male,C,13.093737512145948,B,23.97635576519118,E,E,-230.27732413916658,E,E,0
Female,D,-123.70330763754434,A,-149.5583850830223,B,E,137.0737752807001,A,A,0
M,D,-29.713441320734564,C,-0.2851549739881843,E,B,-27.287199286258407,C,D,0
Other,B,-154.02439090254146,D,-9.861251985730316,D,B,-1.224640462892,B,E,1
M,C,-158.33612435338495,C,22.828119931658552,C,C,21.210868827572636,C,A,0
Male,A,33.554193281527546,E,-168.81879874214704,B,C,81.51553931333069,B,E,1
M,B,-79.14661663241955,A,93.75378477466258,D,C,48.39070136677477,D,A,1
Female,C,19.104082411722835,D,-93.06643228529798,A,A,182.05000230584275,C,C,1
Non-binary,A,-23.897379815963244,D,-194.73732137050487,B,A,14.13000781052374,E,A,0
Other,C,-33.75759924236666,D,-183.1873915828702,B,A,118.36973956670536,C,E,1
M,B,19.80288930998513,C,104.93830032338667,B,A,22.688708565355526,A,D,0
Male,A,-282.1803308983224,A,66.16903770586023,D,D,-55.94668418473226,A,D,1
Other,E,45.70740934561993,A,-70.25459059933334,E,D,176.5176971594677,E,C,1
Male,B,73.37675621925281,E,60.32422833850581,B,C,-1.6005042170293253,D,C,1
Non-binary,A,-34.534189633721894,A,-53.83459077095705,E,E,-48.65441246486113,D,B,0
F,C,45.904758106342285,A,-23.004068897453248,E,D,53.843618085959676,A,C,1
M,E,0.38144064779730474,C,-220.62320242956073,B,B,90.78960393365618,C,D,1
Male,C,-71.2651822104839,E,108.49143260149958,A,D,-148.0128507123528,B,A,0
Non-binary,B,-72.94991337761299,C,82.53063483276574,A,D,2.400463156947301,B,B,1
Other,C,29.712053194160948,B,34.42810859659132,E,E,-133.979834796229,A,C,1
Non-binary,D,76.44556202157321,E,-47.12241177231865,D,A,99.97255354586432,A,B,0
Non-binary,E,-66.90529990368812,C,175.96521859992689,E,E,-234.67795227988734,C,A,1
F,C,19.02268416136435,E,-231.00087886055766,C,A,72.88952446410444,D,E,0
Non-binary,B,-27.66581929765792,A,-159.05557963510316,A,C,15.633333655671558,A,A,0
Non-binary,B,48.92130546890916,A,78.13121981622295,E,D,-102.09932448073135,B,C,0
Male,D,-215.80492559466893,E,13.28901566928869,C,E,235.81713880732127,B,B,1
Other,D,32.92278136282732,D,-8.363234238898263,A,C,139.65026947486345,D,A,0
Non-binary,E,39.693539622183636,D,-44.22054269630072,E,A,-40.042658416486724,D,B,0
Other,A,-15.55766149987346,B,17.781773484453453,B,C,97.9363349122571,D,D,0
M,A,-202.60618500417925,D,115.4368769422852,C,B,116.06162267918376,C,C,0
M,E,-101.89106691199711,A,9.373441694140602,E,A,74.3470756907136,D,E,0
Other,A,21.44668347627113,C,91.79019240525986,E,E,-131.53763206153576,A,E,1
M,C,163.2360857376402,E,47.91769110468911,B,E,11.541613124019689,E,A,0
Other,E,-124.15282948817743,D,-29.552625688894864,B,A,-20.285232824658905,D,B,1
F,B,52.87561508553803,E,25.12679122124534,A,D,-52.15259788460285,A,E,1
F,E,88.88737368182207,C,-76.84756706700627,A,B,30.26739649409771,B,B,0
Female,A,41.351634858848364,A,66.95064823471233,D,C,-1.8439668635050679,C,D,0
F,D,-74.99966915084482,E,-67.10584422066235,E,B,-38.76402160294603,E,D,0
Male,B,-24.40643745603161,D,-5.483099844102776,B,A,-148.6984345158606,A,D,0
Non-binary,C,-27.662231013862947,A,-13.929754593250271,E,C,29.308711962389843,C,A,0
Male,E,120.87467550329643,E,-95.52490588061785,E,D,10.26411586687996,C,D,0
Female,E,27.138135711232486,B,68.13214127199431,E,B,37.92900003089248,C,B,0
Female,C,49.02310145053736,C,-6.280477097143332,E,A,133.9369185821154,C,B,0
Other,D,15.995572144410133,B,-253.91350115457797,A,A,51.12428957743317,D,E,0
Male,E,28.650901291250598,A,108.34263074574089,C,A,45.547091178909135,A,D,0
Male,D,75.34023928226038,E,155.19924540415798,E,A,-105.22410987728937,E,B,0
M,B,-140.90352876595097,A,-83.88840061451525,C,D,177.93634825274586,B,A,0
Female,B,-115.35781088335553,E,1.50044812846612,A,A,-55.94985022076433,C,A,0
Non-binary,E,244.39704777628307,A,-56.75076974326385,A,D,-78.7835020429796,B,E,0
M,B,221.30917447628238,B,230.14191517577106,A,D,19.846521333935794,D,E,0
Other,E,95.80348289686881,B,-129.54874379667268,C,D,-43.90562288134746,C,C,1
Non-binary,A,26.85689887130676,C,54.33418787961144,C,E,-82.98818864413762,D,A,0
Other,E,69.83737224825515,C,-33.42503218256703,A,C,-146.446258814821,B,C,0
Non-binary,D,-109.2458381865892,D,-78.59769653937072,B,E,-92.52783714061503,C,B,0
F,B,-79.41452535944777,E,-48.07846876562699,A,B,-2.798412034531134,B,D,0
Other,B,-48.76538758413688,D,-14.43703835351397,A,D,-168.09236071741657,B,B,0
Other,C,121.54892438621066,D,7.305281277684375,A,D,-89.54593772368695,C,D,0
F,C,136.41688447930983,E,29.36481648077413,D,E,-81.02348048876836,C,E,1
Female,B,-79.74983170384492,E,-246.86772346635925,E,D,-5.258232889153717,B,D,0
M,A,35.10030131800164,A,9.854730846220857,C,E,86.08002425230104,E,B,0
F,A,5.416192373637559,E,-170.88982927781174,A,C,2.432149646647155,B,B,1
Male,E,-30.09480630929232,C,-89.93720946649547,A,A,-187.0055734685357,A,E,0
Female,D,-45.459728149252655,C,-151.7931068754036,B,E,203.60106897374413,E,C,1
M,D,-129.35891947482975,B,-16.125783241352824,B,E,70.95507174952903,C,C,1
Male,A,73.89999250106742,D,-61.55724222209443,E,C,41.75895227791099,E,E,0
F,A,111.88705393951632,E,-159.59352241593456,D,C,-105.885480028279,C,E,1
Male,E,-21.5607243212734,C,152.64264976911082,D,C,-115.38023040059488,D,B,0
F,E,29.952019398082584,D,-11.950317689894383,A,C,-59.589089994092106,C,C,0
M,B,-191.45549599066047,D,26.70996058026876,C,D,-104.9170332673793,C,A,0
Female,C,-82.16615884990688,E,-48.35042186161305,B,A,-53.15854957010727,D,E,0
Female,B,5.22901533248255,A,109.69266101114788,B,E,-66.3464541056841,E,C,0
F,A,82.24868664109846,B,109.11319414374788,D,B,-284.6803184189056,A,D,1
Male,A,-165.120586652487,A,210.5826767416488,B,A,128.80931204122595,C,E,1
F,D,-68.98766592296755,D,-221.0138390337328,E,D,17.763486611455118,A,E,1
Non-binary,D,46.98527876974951,E,-28.970306736865698,E,B,56.551932260599436,C,D,0
Non-binary,C,56.04483233192816,A,80.98723401372672,A,C,0.5406166553886643,B,D,0
F,D,115.2055818233925,E,-150.69433154647209,B,E,-106.7651025104577,A,A,1
Other,B,38.349995682234415,E,-8.584609089879674,A,A,-36.56153714736428,E,A,1
Non-binary,C,-26.89698824490001,B,-17.038796803513048,E,E,178.66832413417592,D,A,0
F,E,83.61993727110372,D,-56.63477209707983,B,D,12.942305966484483,A,D,0
M,E,90.66867839953832,A,-6.671183718095492,C,B,64.06619300824457,C,C,1
Other,A,-151.22716527698992,A,-123.52064733336402,B,C,-19.732121936357252,D,E,0
Male,D,-19.689895763520425,A,105.55167456894863,C,E,-96.90553414968085,A,C,1
Male,C,95.69175660386257,B,-9.003668325044718,B,B,186.8646235474837,E,A,0
F,B,-80.01912744733917,A,97.94617887296954,A,A,49.76535801931607,E,B,1
M,A,184.31699678854136,C,-20.09221135112017,A,B,-108.50507391676551,E,B,0
Other,A,-125.09319823509853,D,143.83637705653314,A,D,-60.13419715964804,C,B,1
F,B,-104.71812925798916,E,60.87525830816609,D,A,66.73422062316034,E,D,1
F,A,69.52518830676696,A,155.18417018249843,E,E,201.7933676086747,A,E,0
Female,D,-43.952265485323935,C,40.56880347973547,C,D,180.73880735699612,A,C,0
Male,C,-136.4978722942122,E,177.25513442957345,D,A,151.7594247545367,E,B,0
Other,D,-133.5909703464909,D,-86.82734141016685,E,E,144.34050640404482,D,A,0
F,D,-19.560933466430107,D,-51.33018621640566,A,A,68.1945534914084,A,C,1
Non-binary,D,63.958346141577934,C,-76.49203054903006,C,A,-71.60236957102903,D,A,1
F,C,154.48690947799577,B,77.90619890647086,C,A,10.68171977254878,D,D,1
Female,B,-174.40201765604414,B,85.03087066877488,A,E,11.960680662819087,E,B,1
Non-binary,B,-185.71649294845952,C,93.58483586709903,D,E,106.74323879485443,D,B,1
Female,C,38.136301081014004,B,-3.8575028124517097,E,A,54.29746583645263,B,A,1
Male,C,-6.045088895573566,E,74.87065427375622,B,E,-2.116217926422627,C,E,0
M,C,-16.553287648078054,A,185.91851638594176,A,C,-252.09871235450044,C,C,0
F,B,-29.699930802051753,A,-27.289251838783933,C,B,-18.478337850109316,C,B,1
F,A,95.97337691634436,C,-115.68360487565523,D,A,27.719863855750816,A,B,0
Female,A,85.71521092060142,E,-50.39070807286754,E,C,-185.08545945551037,B,A,0
Non-binary,C,-38.80010797059267,B,-146.1098827655042,E,A,177.26088763416774,B,E,1
Other,D,5.330142841045383,D,-91.4161308344644,B,A,68.63315695465832,B,E,0
M,E,53.22239752977425,D,-245.802305512824,C,E,77.74752170421847,E,B,0
Female,E,-81.60680554040721,C,57.73581285505184,E,D,-106.53397731205212,D,A,1
Female,A,103.85332306509574,D,-46.60227747311744,D,D,166.2208654811916,A,D,1
Non-binary,D,-14.95675077864775,E,-22.104008583705912,C,B,-31.756893903334255,B,A,0
Other,E,-110.947012080822,D,-56.07246906965775,A,B,128.0791016848704,D,C,0
Female,C,88.73517476322529,C,2.1846023600205893,E,E,-134.31089009735024,D,E,0
Female,B,-104.94282161135462,A,-154.25659755621018,E,A,-222.5187112688897,E,C,1
Male,E,106.98731697955554,D,37.30472979115777,E,A,42.79598837715201,A,B,1
Other,B,101.56127572088565,A,-27.702192933032233,D,D,23.092579306712356,D,E,1
F,C,-196.69960726820653,E,-12.80194222729752,C,A,1.5970172939801777,A,D,1
M,B,-112.6179709250846,D,60.95026053502684,D,C,51.92973232729462,E,A,1
Non-binary,E,-56.043489622879896,D,131.06681759433667,E,A,5.2551794788376345,C,D,0
Female,E,-85.22219036066369,E,83.27099637902725,A,E,13.042017960697683,B,E,1
Non-binary,A,-72.40524323380458,B,66.81165802994472,A,A,-21.44759625579937,A,C,0
Female,B,-232.54533308021723,E,123.08396925294535,D,C,-117.7387114574878,D,C,1
Non-binary,E,-73.79168509826542,E,-82.71695287836636,A,E,29.332244355294247,C,C,1
Non-binary,E,-249.13474894693078,E,-91.78464141823285,C,C,-43.02974015238091,B,E,0
F,D,-52.08171718728959,D,-22.42765814381714,B,E,95.22944081493416,A,D,1
Female,D,62.53995725270607,C,-38.567182477106286,A,D,-222.46543567470556,C,B,0
Female,B,114.04978815615618,D,88.33253023237887,D,B,-27.965783029619608,C,D,1
M,B,-26.868090972110316,B,11.537618236547605,B,C,168.5099259936122,D,A,0
Male,D,-92.46378320735816,D,-30.11524838092287,D,D,84.75501191368672,C,D,0
M,E,-118.59215335127541,B,-37.012297225266,A,B,2.9588119850414976,E,D,0
Other,C,-53.95486263402076,C,11.828441850668536,E,C,-65.46774286736604,E,A,0
Non-binary,B,-126.8950290448452,B,-75.92657088742538,D,C,-86.17269419056188,E,C,0
Non-binary,D,-33.82705777819898,E,-119.28974726992405,D,A,96.39509339428997,B,B,1
M,C,-74.36180138341405,E,-43.61343344241006,E,D,-207.18197913780892,D,A,1
M,D,-59.05207490911874,E,25.624341543353157,C,B,-28.825450536374113,B,B,1
Non-binary,E,177.60924232997942,E,31.92485453062327,D,C,90.65450359926601,D,E,1
Female,A,87.14608944456656,D,57.05105223560704,E,A,-87.6029528174272,E,A,1
M,A,-81.54000547806443,B,-179.71697301662294,B,E,-86.08514285051349,B,A,0
Other,E,50.15020002680725,E,-157.8361036613546,A,A,-158.63845321077414,A,B,1
F,C,-115.98725647608661,C,128.23080689434738,E,D,71.56725957167131,E,B,0
Non-binary,E,-37.99146570344657,B,-41.40688048611113,D,A,60.0765582016598,A,D,0
Non-binary,B,-102.31429961383769,E,62.672525894162945,E,B,20.10646088149302,B,B,1
Non-binary,E,60.72517307561508,A,-177.98608242173339,D,C,-207.9677689108774,E,A,0
Other,D,-34.1871844488899,C,101.4472178776387,A,A,-11.266465465719557,B,B,0
Male,E,75.94714690019336,D,116.06652764143921,D,B,-83.49219018487751,B,E,1
M,C,-72.29659226835756,B,21.351494607590613,D,A,110.00319900325866,B,B,1
Non-binary,D,160.52918723003162,E,-51.58584190895827,C,C,31.418197509340168,C,D,1
M,C,-112.5621424793139,C,23.117491970714962,C,A,-101.24331544555565,E,C,1
M,E,-143.92854036245316,C,36.88502038920996,D,A,149.49302527115438,C,A,0
Female,D,44.95996667426576,A,-18.953756322717823,B,B,-1.7583197768213705,B,E,1
Male,D,26.550449975003076,C,-59.40921630810314,D,A,-49.91081162294052,E,C,0
Other,D,59.97259477388121,C,82.3850245469049,A,C,49.32861399462165,D,D,1
Non-binary,A,-158.29599861364522,A,-15.989143157230739,E,D,97.33964401744197,E,E,1
M,D,156.29563525811173,C,25.20061986480965,B,D,-227.38155131743625,D,A,0
Male,C,-108.34693073577766,B,-108.28634169026196,B,E,41.03495043794995,D,A,0
Other,C,61.0196375474355,B,107.1465863123062,A,C,19.949642241699415,C,A,0
Female,C,-96.8694820351537,C,33.628649967997795,B,D,50.14350327925876,D,A,1
M,B,142.7160540812178,C,105.55762230406351,E,B,-14.848578295343412,D,B,1
Other,B,-0.5955879889328568,E,126.75116429795554,A,E,90.03695754957111,A,C,1
Non-binary,D,64.63202321387422,A,-143.45704522887655,A,B,70.9202237782205,A,C,0
Non-binary,C,-23.296558719394152,B,118.14292336553495,C,B,-4.804766668200585,C,B,1
Other,D,-35.242526134989454,E,-181.17075612178866,D,B,152.71814116124497,E,A,1
Female,A,124.66803016605128,E,65.95079503727918,D,D,-43.45647172394329,E,C,1
Non-binary,E,19.465752948923335,B,9.20416143057367,A,E,13.243502264223489,C,B,0
Female,C,-177.26044913945498,D,-45.489033915402885,C,B,-94.48987505615763,B,D,1
Male,B,-43.33185273434853,E,281.99312942729654,B,E,88.3712029947306,B,A,0
Non-binary,B,-231.25741845508162,E,-248.11780213982843,B,E,88.20470837197435,D,E,0
M,A,14.05644846272959,A,95.00969679452828,A,C,40.42879624449284,E,A,0
F,C,57.07951755110084,A,172.3469755426832,B,C,1.9309214899088336,E,C,0
Non-binary,C,64.16097798329162,D,-5.713089291327288,C,A,-119.9421152103412,E,A,1
Non-binary,E,148.686659598333,C,-32.200080799833586,B,E,-121.91331025145399,D,D,1
F,A,-14.568529175451852,E,-89.82305644555375,E,D,157.39312433305116,A,C,0
F,E,20.40243600158159,C,47.01534204604515,A,A,151.36131322878552,B,C,1
Male,B,148.05742344749862,E,56.46054281496448,E,E,76.38057022179764,B,E,0
Male,C,-8.143954083956565,E,-105.06795170390812,E,B,-35.473912022526626,E,B,1
F,A,35.39782497493516,A,-13.152101093898244,B,A,122.12000613403198,A,D,1
Non-binary,B,-0.2661681237825864,C,56.23804663318357,A,A,9.896694346977014,A,E,0
Non-binary,A,-44.952695786228716,D,-42.06620288262775,A,A,-135.56731458715612,B,B,0
Female,D,48.09225334630419,D,11.326757525886416,A,A,-37.88572912296078,A,A,0
Non-binary,C,-149.46264875162538,B,45.23531390785662,D,B,67.79618715014931,D,D,1
Male,A,-64.46657303655155,A,-80.75834964319391,E,D,-37.64364488406488,E,E,0
M,B,-1.005118933457406,E,58.57539427657148,C,C,-110.22880020228583,D,D,0
Female,E,19.678649474268703,E,-119.4154281131819,D,B,167.10565847700826,D,D,0
Female,C,93.59254270236944,E,-25.708647744794494,D,A,-138.29310275976317,D,A,0
Male,E,-168.33383035694743,B,81.16745345438042,E,C,42.404485933606914,E,D,0
Other,A,179.27487327389767,B,135.64164217405553,A,B,-168.95068638368133,B,B,1
Female,C,-89.4451519344098,D,41.3963055307777,B,B,80.47738491305675,C,C,1
Non-binary,E,87.17958327750173,D,131.42505557752136,B,D,78.61918626861952,B,A,1
Female,B,-13.645522792538022,E,-123.5862071193902,C,D,87.08880367329964,E,A,1
F,E,-47.26249434825745,A,16.198672759669645,E,C,35.00687655295912,E,C,1
Female,B,-11.07841940312601,A,-113.54029433875559,D,E,112.41452110047538,D,A,0
