age_range,religious_affiliation,military,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
51-65,Christian,No,White,B,E,196.8594845869727,D,E,E,-81.62052788127897,-6.49703458214331,A,-59.49687142110237,B,E,-9.687894036472034,-157.45225857513375,0
36-50,Other,Yes,African American,A,C,151.7891158010039,E,D,C,-133.3862243146235,51.429440101248545,C,170.92220188051036,E,B,-37.10263395411399,13.621089516250429,1
18-25,None,Yes,White,E,E,-63.711599550188225,E,C,B,-160.5042186017049,40.60939171500916,B,4.912514110406646,A,A,-91.48353337440754,-144.36352006418088,0
18-25,None,Non-Veteran,Other,C,D,15.887916274348237,C,D,A,111.51418673796296,234.5674267761873,A,73.43107236036597,A,D,-58.88431071828622,-6.903594733697164,1
26-35,None,No,White,C,A,109.26432349597634,B,B,A,16.834641942082342,52.93670761090373,C,126.7819390044882,C,D,-214.18272654606426,30.495060791551342,1
51-65,Buddhist,Non-Veteran,African American,D,B,154.02656472395194,B,A,D,61.33981156625564,-77.25708718988442,D,130.04268186521836,A,B,-179.46153949224848,31.038523254463986,0
18-25,None,Yes,Hispanic,D,A,-34.024174146570175,E,E,C,116.42279403737541,-179.6534949210274,C,191.03152871933096,B,C,-123.80753877433153,65.05072393481719,1
36-50,Other,Veteran,Other,A,C,2.3527242133605397,B,A,D,51.849654872606564,105.96792032772862,C,44.36989493443016,D,B,-10.081916316105879,-103.76598994889417,1
18-25,Buddhist,Veteran,White,C,A,-134.81150401833062,D,A,D,-65.79992787628248,-42.126584808041095,C,-64.8099995395431,B,A,61.89137802026807,5.274596068144949,1
51-65,Other,Non-Veteran,Hispanic,C,A,25.17447905661213,B,A,B,50.850876032724855,-9.02728760434202,E,34.13578328622203,C,A,-178.45566332789,-79.80826234302324,0
26-35,Jewish,Veteran,Asian,B,A,131.67478266840692,D,E,D,34.57515789867575,-37.76685043512894,D,-57.85972827539872,C,C,-8.527283181811269,-54.61532253889363,1
26-35,Hindu,Veteran,Black,E,D,-85.04372971207933,D,D,D,-53.24047001532097,-101.91632167704654,A,-27.439697620045234,B,A,124.8204010787082,40.181620189577856,0
51-65,Other,Veteran,White,A,B,-142.10878862387244,C,E,E,-53.05199193929725,180.41616501188594,E,249.6851716988771,B,D,-12.185674975298323,-101.31685854319348,1
26-35,Other,No,Asian,B,B,32.434309623278516,E,A,B,106.7373173731873,56.59179751857912,C,-62.67509399583431,E,A,-86.12702097123515,18.848422859951008,0
26-35,Hindu,Non-Veteran,Black,B,A,117.1872541894727,A,B,E,90.6819108156859,191.98137415343007,B,75.36984463068005,C,E,-38.40009530664937,-166.01588927813125,0
51-65,Muslim,Veteran,Other,A,A,94.47897609559703,D,D,E,-41.78066743916647,0.8491199472322221,A,-158.75524955112454,B,C,-66.5834397591179,-17.134424445576,0
65+,Muslim,Non-Veteran,Hispanic,B,A,162.86284116421484,E,D,A,179.5496429142113,25.35879883203091,D,-20.5108905250191,A,A,-18.7547740112482,-166.04525023574234,1
65+,Christian,No,Asian,B,B,-106.98932124919016,E,C,D,-121.07923762137492,198.16422509947805,B,10.440231735516022,D,C,-7.5399143431926845,-151.08446521801116,1
18-25,Jewish,No,Black,A,C,7.322943209248166,B,D,E,-4.016915563359203,-21.692953805644244,B,245.08359142030739,A,A,-76.03212631758586,-92.90519147969053,0
18-25,Buddhist,Veteran,Other,D,C,-21.90644811772182,E,A,E,12.995008592554628,12.180591800559373,D,-60.64808878822823,A,A,188.89249032551413,117.54320089338002,0
65+,Muslim,Veteran,Black,A,A,-23.010142844178084,E,C,D,45.96440931132622,-70.93082199817654,A,-161.15552828588983,B,C,118.57894262266232,-8.968993037770542,0
18-25,Other,No,Black,A,D,-122.94219458182032,A,C,B,181.03663917892914,-19.812343609933794,B,-98.62346844877396,D,E,149.07864170222135,-217.91351625254504,0
18-25,Buddhist,Veteran,Other,A,A,118.9756119776868,D,E,E,46.68612132714478,-11.616026869297677,D,84.30420096304795,A,D,59.798859052917265,-0.7916663109457911,0
26-35,Christian,No,African American,C,A,169.47699778285855,A,E,C,21.966216760689054,-132.44515680982983,D,67.2504528308989,C,A,17.024747011883786,27.72474279166967,1
51-65,None,Yes,Other,D,E,-240.48369497320797,C,E,C,-128.6517719309722,20.896040151944927,C,-64.36577849030508,C,A,110.4018434498508,179.4404223915659,1
36-50,None,Yes,Asian,C,A,115.51261354996907,D,C,B,97.49382547653356,-115.68634951217594,B,-37.64424053972914,E,A,-57.874401991487225,-183.7056863232622,0
65+,None,No,Black,D,B,-82.10001313997473,A,B,E,159.52850295391426,-93.6652918072033,E,-12.699968681471526,E,E,13.372314508109515,179.65325373924526,1
18-25,Other,Veteran,Other,A,A,136.15912253017598,A,C,E,-94.09517725561516,-93.42722676174587,C,147.95963688877504,C,C,36.49227036275672,-29.048819557750182,0
36-50,Hindu,Yes,Black,A,D,77.84570816680716,A,D,E,-0.9202546791702987,-60.84986045754148,E,156.34304258299895,D,B,20.361535542010117,126.83707549368432,0
36-50,Christian,No,White,B,E,117.00251160862717,C,C,E,-31.044027781362658,-100.43838590052381,C,79.33513602272873,D,B,-110.08912394106373,239.99114638287028,1
65+,Christian,Non-Veteran,Asian,B,B,-151.79172602748824,C,B,D,-32.26515806340226,-8.094553912234797,E,56.834875944896424,C,A,-43.82965075280157,133.81045597975546,0
36-50,Other,No,African American,D,C,109.70581109192369,E,D,C,45.92698664249641,168.8033998229479,B,-0.6621629800609357,D,D,15.266705132359446,107.2784214219662,1
26-35,None,Yes,White,E,B,106.85619628214928,C,C,B,-64.74806318670021,-23.262735809926905,B,-146.4804392388774,A,C,-176.22186674687362,8.27701858687898,0
51-65,Jewish,Veteran,Hispanic,B,E,-109.3450975970723,A,D,A,-37.04172101309194,-115.62555066850084,A,-86.0041584488304,C,B,3.7301078610833316,-132.23719269428196,0
36-50,Other,Veteran,African American,D,B,125.44146955454418,A,A,D,-50.244683043538075,-79.80537374483274,D,171.7987308928155,E,E,15.463807484973097,24.964199691846865,0
51-65,Other,Non-Veteran,Other,A,C,-59.06537713579748,B,E,E,184.2889657401065,102.62629546177658,B,15.144566549144534,B,A,-15.06235962775578,-22.802148290539908,1
36-50,None,Non-Veteran,Other,B,E,33.03589897186998,D,E,E,-271.61559194197713,76.11244412988071,C,129.06764141146604,A,B,100.35092898744524,-69.76861494543593,0
18-25,None,Veteran,African American,D,E,75.86811951324991,E,C,B,49.35310510075969,59.571811456975496,D,-3.2671274906240626,C,D,61.04496389608207,-66.46886340580697,1
51-65,Buddhist,Yes,White,D,C,93.96068661325808,E,E,C,58.04535946604512,61.01813359668083,B,-42.08415753184675,B,B,-148.962454728024,21.155246410355094,1
65+,Jewish,Yes,Black,D,B,102.25459442991361,C,B,B,15.492123941372851,154.67335159130698,D,-3.5284097503354332,C,A,7.124893263575398,-52.02223663834962,1
36-50,Other,Veteran,Black,E,E,49.01212770766004,B,E,B,79.07648363802107,141.32988402710473,A,137.64820393020904,C,D,69.31444073846383,52.046157713002216,1
18-25,Other,Non-Veteran,Asian,A,D,78.45925226609722,C,A,C,-46.579416243611554,12.63554924209144,E,-160.67845354053625,E,C,-33.55276299084988,-2.950998295292496,1
18-25,Buddhist,Non-Veteran,Asian,C,C,-112.91022181190667,B,C,E,57.06164110851285,-7.290931337493575,B,-112.19238960251998,C,E,-55.37003713755381,-44.19843438782137,1
18-25,Other,Yes,White,B,A,-28.778790975546347,D,D,C,50.52014120910289,70.4535928323512,A,150.6288251139357,A,A,17.8362475429158,65.1895729813072,0
65+,Buddhist,Non-Veteran,Black,A,D,116.88040090492728,E,E,A,106.32076149642211,7.821481335990351,A,-116.32032730463987,D,C,-18.923370188147718,72.79821305979854,0
26-35,Christian,Veteran,Hispanic,E,A,-6.669659418076121,A,D,E,-116.17916867392839,-55.26453435553469,B,-50.03674762717839,B,E,222.2256199714784,3.3067405874157094,1
51-65,None,Veteran,African American,B,D,-85.16938913302637,D,E,B,92.77101875026052,-19.00637490011103,D,170.27222346022901,E,A,75.09531528835625,-7.194451476143955,0
26-35,Buddhist,Veteran,Hispanic,B,A,-88.18586659838246,A,D,E,84.9396935533652,61.70590336498497,E,-37.32075719658346,D,B,-57.858155805411904,-88.3142058191063,1
18-25,Jewish,Veteran,African American,E,B,27.0476326350023,B,A,E,-32.31981364183795,-136.7456219527763,E,-194.4800264823658,E,C,-46.65353428592929,91.94577028897868,0
18-25,None,Veteran,Other,B,B,41.54600732040959,E,A,B,27.98682053246539,109.68070661870652,D,-152.21487016693936,A,B,-123.27758072399855,-108.34579387793238,0
18-25,Hindu,Veteran,Black,B,D,-50.25641806597218,D,C,C,-128.40403339453377,272.5826937703034,E,-277.1391515401274,D,C,-203.8235273321389,86.47742056228095,1
18-25,Christian,Non-Veteran,Black,A,A,98.72627654256327,A,C,D,170.22184362027053,73.31385447313362,C,-85.6804977775729,A,B,91.43546638620113,23.13347543813845,0
36-50,Muslim,Veteran,African American,A,E,119.22163935883492,A,A,E,-90.68208228451351,-11.071459032764034,E,-17.822471676691613,A,B,-163.54955785222185,-64.46910209146368,0
51-65,Other,No,Asian,A,D,-22.343790770916762,A,A,A,204.18057964562385,25.374366764857893,E,190.73864692005208,B,C,33.35032169586293,-97.86315057189435,1
51-65,None,No,White,E,A,131.6790504985505,B,C,D,124.55191218507657,51.367536897685305,D,42.298648211739305,A,C,-218.95340114625824,129.94334602902535,1
18-25,None,Veteran,Hispanic,E,C,-40.23091994862889,A,A,C,-43.28225078042062,-16.28848559453764,B,-18.319784177698914,A,D,-34.07601286559997,42.650140253618076,0
36-50,Jewish,Yes,Other,B,E,-18.25595722586371,B,D,E,62.471967922127405,159.0602386351828,C,-159.76606416849327,A,B,0.5897450229202342,-106.62636872935278,1
51-65,Muslim,Veteran,White,D,C,140.32820010679393,E,C,E,-100.00854499882831,124.79560263114963,E,-52.897235340217605,D,C,79.18042513085368,-61.192610858638844,1
65+,None,No,African American,C,E,53.65541047703467,A,E,A,102.69312187444496,54.99039017237447,D,3.7136096029667556,D,E,-45.36688811660133,11.931533883818265,1
51-65,Buddhist,Veteran,African American,E,B,-79.82574396827091,C,C,E,53.737324440414014,163.79804730728233,C,-43.64620981660072,E,C,-33.81226985796795,-17.289361791619292,1
26-35,Buddhist,Veteran,African American,C,A,116.57030886206272,E,A,E,46.940376506036515,-136.24029485941895,D,-86.37814109821481,D,E,103.73477722554124,163.04020399448424,0
26-35,Jewish,No,White,D,A,-160.79746731640904,A,E,C,59.43204538833841,160.0825424468203,B,-48.34899200307757,C,C,-25.604552201531256,-11.097684794740887,0
65+,Muslim,Veteran,Other,B,D,14.453378302231693,B,D,D,92.81483071367771,-18.761684065518665,A,-2.6032299327404917,B,E,5.088910945962523,35.17446852869022,1
18-25,Buddhist,Veteran,Other,D,B,-54.86327014347553,D,A,B,-11.899729296117263,-60.05241071449612,B,-9.181316148415561,C,E,-98.50021779259055,107.36831176197923,0
65+,Hindu,Non-Veteran,White,C,A,99.49583300890036,C,C,A,-125.31163069140906,-83.61848062089794,D,91.61578335931783,A,E,52.1183862762822,62.66766962631327,1
36-50,None,Non-Veteran,Asian,C,D,-30.45136891668451,E,A,E,223.67813791079533,-9.964503624968863,E,-114.94388799676814,C,A,-6.502349436373965,102.89122532264284,0
18-25,None,Veteran,Asian,B,E,-153.84067609436522,E,B,D,21.6736754561831,-33.21231645035816,E,46.99779249771953,B,B,-110.67312341646034,71.54602896428752,1
26-35,Muslim,Yes,Other,D,A,101.52230248539296,E,B,C,187.8065537967653,-48.672287947171434,D,77.32787128693808,D,B,-4.717276279129631,-113.83221626902184,0
51-65,Buddhist,No,Asian,A,B,-39.551467283042804,A,B,A,-114.20821392906903,-152.43236521994035,A,-110.13958376478512,A,C,-134.32037997184264,-264.31210144367583,1
51-65,Hindu,Veteran,Other,C,C,31.17191308146668,A,B,B,24.36065521700469,-232.7034156139795,B,101.66925911787861,C,C,-154.147987655048,55.56267540204859,0
26-35,Buddhist,Veteran,Asian,B,C,156.8323248726493,C,D,B,26.987483543726498,118.44340930244014,D,-27.356776488630807,C,C,92.37706342265722,158.54357605943082,1
36-50,Christian,Non-Veteran,Asian,A,A,-66.57579051301866,B,D,A,-204.80436842529426,-70.05731586449936,E,-320.8384512503526,E,E,50.71558718742283,-5.950640537899847,1
65+,Muslim,No,Hispanic,B,A,-39.086685422618174,D,C,D,-126.28240651068685,-62.99560890354899,B,-132.6998442024526,E,D,-74.16898845042746,40.45987120088531,0
18-25,None,Yes,Other,E,C,84.72450629046463,C,D,B,-38.95357424209648,54.52933824352635,D,-42.75870946338459,C,A,-34.55241125494989,-46.605448974811466,0
65+,Hindu,No,Hispanic,A,A,124.08887649096256,B,C,C,-34.904679115066585,106.68909209057259,C,-93.04900157915313,D,C,100.06170297359051,14.110124762552884,1
36-50,Christian,Yes,Hispanic,B,E,-78.57143690113365,C,E,D,13.9005330909548,54.58014808877796,E,168.781318712329,C,D,-40.6655253274492,116.21838607860853,0
65+,Jewish,Veteran,Other,D,E,-100.4039115738893,B,E,A,71.78638496423457,-195.7448976974728,C,-94.79606532969156,D,A,97.48426188837963,-212.04060225565803,1
65+,Hindu,Non-Veteran,White,B,D,70.24408435448487,B,E,C,186.6789315002477,-25.013252513811747,D,-102.62548019425202,D,C,126.88201196602951,16.842235653096242,1
26-35,None,Yes,Hispanic,A,E,-44.17527656147172,A,A,D,0.5515504326484775,175.08766422623273,C,137.73662689038576,A,E,-4.6002728704533835,28.033744293300828,0
26-35,Other,Veteran,African American,B,B,-71.06676200532569,A,A,E,-202.7759063146684,44.013376857813014,C,47.20093166339307,C,E,90.2906647550009,-1.6648318239905657,1
18-25,Jewish,No,White,B,A,-35.93943783738961,D,D,D,-46.3461408491112,-105.8026813541638,D,7.392568606269428,C,B,227.52342957796387,-56.68788371996696,0
18-25,Hindu,Non-Veteran,Other,A,B,198.93184034061497,B,E,C,-71.54187249186943,-203.90206903601563,C,33.6758626173219,D,D,112.63994919139957,148.92613764533428,0
36-50,Jewish,Non-Veteran,White,A,D,-10.053981426154815,B,D,C,43.41586908126352,205.47324349168537,A,59.11871312339966,A,B,-33.81142090423373,115.64245038099313,1
36-50,Other,Non-Veteran,Asian,E,D,-259.86180743229875,C,C,D,-138.2034063855445,-85.18175682749225,A,-230.94101483190053,A,C,61.7214240689365,64.67503213806494,0
18-25,Christian,Yes,African American,A,C,33.278429082823166,B,B,D,-76.03723512976546,-78.84519572712716,E,33.52355175261692,D,A,-4.552345712812532,-37.46342762332658,0
65+,Jewish,No,Other,C,E,-16.212676924468326,E,A,B,-66.67576304140641,-79.37577036144573,D,195.10138603873753,C,E,78.44321458226166,21.96962929644925,1
65+,Other,No,Other,C,D,-99.77301327059922,D,A,B,-164.59900871320028,54.37874923228156,C,-13.243102688639954,D,A,26.264800567995465,-139.69114318171893,1
65+,Hindu,Veteran,African American,E,C,193.26786246524313,A,E,C,63.4946804445045,-117.85680491726704,E,123.97558969632895,D,B,268.2980860422008,58.82050071506746,0
18-25,Buddhist,Veteran,Hispanic,C,D,206.7734019925362,A,A,C,97.61372754750192,69.93234454541332,C,140.9812406345239,D,A,64.53680570868474,-5.536904611303446,0
26-35,Other,Veteran,White,C,A,-101.84211945344606,B,E,B,53.863152922477376,51.57211485966771,B,55.36120925801714,E,D,168.80647179791086,-60.60109712227717,0
26-35,Buddhist,Veteran,Black,E,D,-100.92128795484811,B,B,C,82.38324541464802,99.41773576844437,E,-191.93276778242625,D,E,66.89025072802472,19.88390507395132,1
26-35,Muslim,Veteran,Other,B,E,40.55022212134586,A,D,B,-111.72891954640191,8.496543063908824,B,22.924614929489756,D,A,-68.28802051390457,86.64245291986049,0
36-50,Hindu,Yes,Black,D,B,-52.34829302570444,A,A,A,61.14808039663563,10.11832996824135,E,-7.788123285478256,C,A,-123.70571704208429,97.26333749358531,0
51-65,Christian,Non-Veteran,Asian,B,E,49.83856441084346,B,E,B,20.36838675560294,64.05306679867685,C,-35.76782893277225,A,D,-32.49196988388928,-40.525671613971646,1
36-50,Hindu,Yes,White,D,D,-66.46303669889635,A,A,A,-3.836675159064915,60.889662625379515,A,47.69054047746787,B,D,-48.41651509279971,-143.99336328089373,1
51-65,Christian,Non-Veteran,Hispanic,B,E,7.730538101721179,D,E,C,109.5006395985992,20.32592236801973,C,-27.166218267169622,C,D,102.75162015978336,131.6330975801417,1
65+,Christian,Yes,Asian,A,A,-148.84811794884075,A,E,E,36.02334646075078,138.18943648928848,A,-1.4486935067626154,E,E,92.39770401639127,-29.425312927704727,0
51-65,None,Yes,Other,D,A,-43.26119392518422,B,A,A,-276.6125986881161,-11.536148414620301,D,-144.22140069563847,B,C,-2.591855059046156,23.206753046496313,1
26-35,Other,Non-Veteran,Hispanic,B,D,-45.65499256071852,E,D,C,-53.231010833790506,157.33819735767327,A,-66.1913713701438,E,D,-145.9691120879532,35.643818512887634,0
65+,Christian,Non-Veteran,White,A,B,63.41569846296748,C,B,E,172.19738535594732,151.43507107395862,E,-93.65308093178477,D,E,-28.059125516571694,-40.80219312464543,1
51-65,Christian,No,Hispanic,B,B,64.89589421358187,C,E,E,135.22613757522313,-121.17023601151686,C,-1.9838904690933756,A,C,-99.70291049525582,-25.232721372187566,0
51-65,Buddhist,No,Asian,C,A,54.385625800810246,B,A,A,-37.251311657712115,-235.17071016338687,A,-34.485890267912076,B,B,-239.4142411086981,-59.19707928162437,0
26-35,Muslim,No,Asian,D,D,44.55172646302617,D,E,E,-75.80523861830284,-27.420312429426914,C,120.36248485171417,B,E,-135.243769721485,179.13379543221293,0
36-50,Other,Yes,Asian,C,D,-179.3453401598341,E,E,B,73.20009797661281,49.160192027269694,D,40.10700027719759,B,D,-128.3500081000398,-85.0488699559321,1
51-65,Jewish,Yes,Hispanic,B,B,-94.76488927710007,E,B,B,85.95150603333656,109.06987189298303,D,42.2854707346175,A,E,-83.44334136388305,69.11913555898266,1
51-65,Hindu,Yes,Hispanic,D,D,0.9745235253310854,E,C,B,-95.32133439362855,60.01743129760628,C,-11.421673065049168,B,D,-119.08610737719468,-37.459075407166004,0
51-65,None,No,Black,B,B,62.32948082993174,B,D,B,-66.42457339074672,-14.927809253642435,C,39.725959125645986,B,D,-11.955131476025963,-123.526386111664,1
26-35,Muslim,Non-Veteran,Hispanic,D,A,30.62843149658419,D,C,E,1.304810706088361,113.71582058279071,B,-130.4906789049919,B,B,44.297994458830125,122.53226902585095,1
36-50,Other,Non-Veteran,African American,B,B,30.627392329906204,A,D,A,-23.62048902994799,-6.182302487707384,B,-15.16988070841844,D,D,-23.909754220969518,-72.80633824069115,1
36-50,Buddhist,Veteran,Hispanic,D,C,42.516911521094194,E,A,C,-80.83502180956273,-33.405563290044284,D,-224.35661633074915,E,E,167.23458342955792,116.62295010743142,1
18-25,Christian,Yes,Asian,E,B,130.74481027743838,C,D,C,58.59231040716112,-101.19272846543497,D,-59.79551452032674,C,D,-66.60986058171981,-58.337274138757365,1
26-35,Hindu,Non-Veteran,African American,B,B,107.33903651750127,B,A,D,38.75790305966888,41.74570013574689,C,45.79396860194002,C,B,39.51540641652163,44.782980533679876,1
65+,Jewish,Veteran,Asian,A,B,-33.43494325648151,E,A,E,-13.415545499757423,14.897128377520138,C,-96.77537118342258,E,B,215.4466017435121,186.33950564432743,1
51-65,Christian,Yes,Hispanic,B,B,148.89374823856375,C,E,A,136.45973469729427,138.4483618023404,C,151.8681839610499,E,E,-91.08995017209996,-146.08516958396825,0
26-35,Buddhist,Yes,African American,C,B,-52.28004368856111,B,B,C,81.04415715604675,38.20616836060901,E,-13.344824083066023,C,E,26.685617973175756,100.45530345488054,1
36-50,Jewish,No,White,C,C,37.34637800442851,A,D,E,121.97560777251802,-267.859965229914,C,53.84079939205242,B,B,-73.70814163206191,24.607000598906573,1
65+,Christian,Yes,White,B,A,-153.41260616159275,E,A,C,-141.5489107888619,-118.59620676866321,D,30.347353734196652,B,B,12.01964716470369,100.31666920652289,1
36-50,Christian,Non-Veteran,Asian,E,B,38.253878038738435,E,D,E,-66.12616822490807,39.91403633088074,A,-8.199653125427268,E,A,12.850320874001703,-3.2849853072614907,0
18-25,Jewish,Veteran,White,B,A,-53.79032048626631,D,E,D,-99.57185533989343,141.90293138300163,A,84.408667993148,B,A,-104.66451780593545,-20.195806121357254,1
51-65,Buddhist,No,Other,C,B,5.294724518971784,E,D,D,-46.53681814927045,-139.99231038826832,A,-22.049877704394955,C,C,93.88481230864114,-11.432781066530826,0
51-65,Buddhist,Yes,Hispanic,E,A,62.047269549250196,E,A,D,-139.85062418840235,67.44435354832564,A,18.03870948509426,D,A,18.469412256971456,-91.44083171295728,0
18-25,Other,Non-Veteran,Other,C,A,-23.268636326131457,A,E,D,-22.950524238108937,38.27498064958232,B,-171.34272534502404,B,E,74.34691564332125,-160.13479028750976,0
65+,None,Non-Veteran,Asian,A,C,8.197984975698722,E,E,E,-135.29062437451927,-110.82461619987608,D,-56.61569096921083,D,D,41.26875625815665,-38.264215872342575,1
18-25,Hindu,Veteran,Asian,E,A,54.776117583847295,C,B,C,140.1818867083607,-32.67700827479406,B,149.6591779588398,B,A,51.83140241075961,161.3232016596289,0
36-50,Hindu,Non-Veteran,Asian,E,D,-136.36671173000764,D,B,D,54.049144486032006,-33.2356184938403,A,-15.406873704579638,B,D,-114.96505750050308,-21.288481433885057,0
26-35,Muslim,Yes,White,D,A,5.633748470751427,A,C,A,-2.1970873243609286,1.1771236602358262,B,63.65028407088664,E,D,71.28866077801645,-75.01850306334006,0
65+,Hindu,Veteran,Black,C,A,-90.9576132102394,B,B,C,83.33314349341681,-91.98820505060976,B,98.92942888067697,C,B,71.81730011978733,-90.90845249819607,0
51-65,Christian,Non-Veteran,Black,C,E,-40.09445318806177,D,E,E,11.74475983238873,126.94058295908323,B,-97.9255018029237,B,E,120.27525700651643,69.24567940669513,0
26-35,Jewish,Non-Veteran,Hispanic,B,A,98.27918788206262,A,B,E,-121.99391297120653,-44.4304422328685,B,-106.34902891694422,A,A,0.07708554010137234,92.16782603681999,0
26-35,Muslim,Yes,Asian,D,B,-18.805499961832894,A,B,E,148.70862379907098,-170.40314628535617,A,-25.624423774319276,C,D,66.67117813041973,-68.76969123499413,1
