faith,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Jewish,Married,D,E,B,C,13.936371215854493,-36.3164082962254,133.69458264899416,C,17.09750623453188,1.0533366359784633,C,-230.31009684867047,A,E,C,D,E,B,-77.32239886873562,0
Muslim,Married,B,E,D,E,17.493963762784453,83.50806353656718,35.07989225389665,C,-121.72449671550166,55.51166312024481,B,137.1310289631451,B,B,A,E,B,D,-58.60657955729349,1
Christian,Widowed,A,D,B,A,-126.62673632135291,-78.41500491799187,-10.081059325519421,E,11.756798991662645,5.933866741880725,C,-124.81239676119107,E,B,E,E,C,A,-141.92103258749103,0
Buddhist,Single,D,E,C,B,135.59392407468042,33.194679662526624,165.56982389430507,A,-184.18133785541352,88.85219074126829,B,-32.60478872677756,E,A,E,D,E,D,-111.92469183492433,0
None,Married,A,B,B,E,88.68461017776248,30.079657405969968,47.41970236727086,B,15.400493735205789,-34.93739749440848,B,-5.462841461899186,D,B,A,A,A,A,88.22830367722294,1
Hindu,Single,A,E,E,C,50.161607616175175,-165.4584579797426,63.49201533490867,B,146.05074647472873,-140.56242907262094,A,-156.17137812914288,D,A,C,B,A,E,-88.11417697026862,1
Other,Married,E,E,D,C,-100.68270357562893,115.44926058557326,85.8284205090985,C,180.83037495955995,98.02902826014017,A,20.06505316613085,B,E,B,C,C,C,0.9749254878431229,0
Jewish,Single,D,B,A,A,-21.248533659370285,-136.32541528393384,-92.8378502877261,E,13.650015093676185,-42.999878310703224,E,0.4776762238800367,A,A,B,A,C,D,50.10114197662965,1
Christian,Married,A,E,A,C,-170.11136667649828,-170.3669791871434,-15.805390060049088,A,30.105387083022006,29.70350328873198,D,28.17177527664368,A,A,C,A,D,A,194.80505076970195,0
None,Single,B,D,E,A,45.25240453629827,38.88563030664451,-66.22547485415257,A,24.22172273386555,83.81597400607731,A,-173.14192920193153,E,E,E,E,A,E,68.66954985136472,1
Christian,Widowed,B,A,D,A,24.709525925798328,16.587480845534593,-111.32595561909298,D,-29.248737304504207,130.47923203565875,C,187.08576292387352,C,B,A,A,B,A,-166.16315350059543,1
Christian,Married,E,D,B,A,42.45969449502625,-208.08987507063173,15.72521598668661,E,21.666592128488166,85.23302119336951,E,-123.45685094695409,B,B,B,B,D,D,-78.30513753431364,1
Christian,Divorced,D,A,B,D,2.5548742429294853,-58.77180540777306,6.333325646839244,B,-133.45796894650513,-42.573255688663956,E,-31.83595262328176,A,A,E,D,B,A,173.55180390723254,0
Buddhist,Divorced,E,D,C,A,117.56238476083792,-98.85789877863309,6.382842669693852,C,-8.356006025601596,10.353806656292127,A,7.919104301078421,A,A,E,E,C,D,0.2709711506231787,1
None,Widowed,A,B,D,B,1.3514417682518982,-6.09489303834314,134.89934831715794,E,-80.31876767230773,-159.36245979348632,B,-196.3958151189273,D,C,A,B,E,D,6.045964978859191,0
Buddhist,Single,B,C,E,A,70.40727227221909,17.226948378966792,-44.59503255144823,A,238.14443270349096,-10.787868343608062,A,-73.19142209167943,A,C,C,D,B,D,-90.43570115382197,0
Jewish,Single,C,A,A,A,76.49250040293245,94.20134014971178,-17.854324074721767,C,-112.94490913213342,26.905708846256214,B,-100.61015099510249,A,C,A,B,C,A,218.73909122323622,0
Muslim,Widowed,E,E,C,D,11.676399166183083,98.29232022714992,82.9164061948933,C,75.54373358165785,-105.47003495434528,C,-51.92206306897997,C,B,E,D,D,E,-136.67841257084285,0
Hindu,Single,A,E,D,D,-64.73630207053858,-51.496059345035185,114.13614748507597,E,77.21039718291591,-138.4213398364527,E,39.68480668483835,D,C,A,B,C,E,35.71126140614251,0
Other,Widowed,C,A,A,A,-180.95376323663325,-7.0815943108089545,-132.94514343175038,E,-230.74546059370235,151.6745604030586,A,20.761921892233406,B,B,D,A,C,B,110.75747050342457,1
Buddhist,Married,A,E,E,A,139.3166824418737,-54.54522397170562,70.95653675307618,E,75.25888173758777,-27.410715076333105,C,-136.24735441173422,D,A,C,A,D,C,108.87393898083076,0
Buddhist,Widowed,D,A,D,A,13.717781135012274,-158.534459440774,-192.777709971284,A,96.54071665366453,9.024747043263107,E,-72.93651488211731,D,C,A,E,B,A,85.20297541026474,0
Hindu,Single,B,B,B,D,104.62464642023757,35.734130065057165,-105.41626801497692,D,-254.3928727989107,108.21748758573351,A,167.25348758675136,E,D,B,D,D,D,-129.49653844466718,0
Christian,Widowed,E,B,C,A,57.918411980517504,19.16645164524974,-88.76607634010126,A,-124.52527182779993,-122.90948317913377,A,-14.941916752385595,E,B,B,B,A,A,-3.1856002144255853,0
Christian,Widowed,B,D,D,E,-156.8731924476742,-126.98814844075117,23.757131400579762,A,-57.224869858129125,268.12087086832076,E,-8.035340422645863,A,E,A,B,A,D,168.90912128464893,1
Muslim,Married,B,D,B,E,-40.91422353906336,168.9371057763873,7.606735338999769,B,-6.384389708068373,-33.60842644774466,A,-46.30701019634985,D,A,B,A,D,B,154.82167536974967,0
Muslim,Single,C,C,C,C,46.087212620450366,134.47235627123806,-43.75616780775039,A,-9.494031603775928,84.71036713947386,A,-54.675549856871655,C,C,E,C,C,C,71.54153850125505,1
None,Single,C,E,C,A,-147.56124575645566,-33.03253837221193,49.28325513039062,A,13.645772925794317,-72.79050475795951,E,101.11910914285738,A,D,C,C,E,A,-65.31195829999606,0
Christian,Married,E,C,B,C,17.69589806242513,92.90659254529803,-82.50392909486288,E,21.839828240759733,101.00489166548175,B,-93.44915615408122,C,D,C,B,E,A,9.36951224021189,0
Muslim,Widowed,D,D,A,D,-95.31847242200318,-52.07595934200698,88.38192580398884,E,-13.257913710355936,-25.78256786757115,E,-107.2148785580357,E,D,E,C,D,D,0.5553929565410163,0
Christian,Married,A,D,E,E,40.91718399745531,2.9595457355542414,192.48892102295198,B,-52.284066239571246,31.492827848706412,C,117.92968598062117,E,E,A,A,E,B,-239.15787789782388,0
None,Married,D,D,D,E,-23.458183104061337,-118.17970108059437,1.9529795819816922,B,-92.86078365156766,-106.39823787542211,C,-137.81109567583297,C,A,A,E,B,C,-91.5291148289017,1
Christian,Divorced,A,C,A,E,138.2353679910447,43.87215332822916,48.925162126233104,A,20.22918473072368,-53.44180801275188,A,58.386865726547455,E,D,A,C,A,B,28.086632785026833,0
Buddhist,Single,E,C,B,C,111.70577660404612,-12.213323267061819,25.5965548509245,A,-116.56132764110261,11.71492639194879,B,176.68222098404522,B,B,B,D,A,D,42.736641416284016,1
Muslim,Widowed,A,B,C,C,126.68240150890742,-87.43654022766229,4.102954897694691,E,93.57783658521073,-9.857015195941917,E,-38.368036131947946,D,D,E,E,D,A,-113.23654755369112,1
Muslim,Widowed,C,A,B,E,131.04235016489184,109.6719806607641,-64.75454859826162,B,-164.4445611337238,-54.84926342234895,B,-57.66720294407577,D,D,B,B,E,A,-6.599665460508756,0
Muslim,Widowed,D,B,A,E,216.38827327318714,-10.567785337542656,123.40131423293413,A,43.123726956073234,143.67781796377963,A,175.9651035765959,C,B,A,C,E,A,-107.04863534452886,0
None,Married,B,E,E,B,39.63962549392512,-38.49093965859952,-163.52625269344296,C,-52.880541678514916,82.03150345426626,E,-27.200042854182634,A,B,D,E,A,B,-169.2310809990255,0
Buddhist,Divorced,A,C,B,D,25.534662097907297,-31.55638575756195,55.22720155218366,D,124.38308128735171,26.27830989844795,C,-91.7352800757532,E,D,C,E,A,A,-132.15266812895678,0
Christian,Widowed,B,D,E,E,106.64593207380668,-83.91553520007069,-51.503919399773245,D,135.32726327651218,18.587333070172374,D,116.95538388711584,E,E,B,C,E,D,-142.5951372095189,0
Other,Divorced,A,B,A,A,-68.43694661374538,-248.43446389650558,-30.66320331212245,A,142.07835488853217,-22.308222600885088,B,-244.58912461010186,C,E,D,A,B,B,-37.85983176078525,1
Hindu,Widowed,E,A,B,C,-39.20516218741958,89.15968743931776,-17.842981440507273,C,-4.670065205829788,-147.6246819552517,B,126.10853141646545,C,A,D,E,C,C,136.62917823271795,1
Muslim,Divorced,A,B,C,E,34.53321684578631,-11.765933766677803,23.52169054298999,E,36.64191875646194,-200.16009439456087,D,-82.18076786187316,E,A,C,C,D,A,10.27712748828572,0
Jewish,Divorced,C,D,A,D,24.846995608899878,-53.855968186185024,107.21175558565179,D,-205.6376768847533,120.56284501511266,D,-130.0901257179764,D,C,B,A,B,B,178.9335087776261,1
Hindu,Widowed,C,D,B,E,85.94486749437617,-89.51432861943552,-192.56417860024254,D,71.43698773247455,-158.46258551367308,A,-184.6025667312894,C,C,B,E,C,B,-61.11068578716187,0
Christian,Single,D,B,E,B,-291.5508412340747,311.6087288835429,30.43128770501261,C,-107.47129809067036,-58.66721924378899,A,-41.87768566801605,D,B,C,D,D,D,-78.15739269498322,1
Muslim,Widowed,C,C,A,C,70.4554042868175,-95.59898391784863,123.94156177068052,E,-118.29822943741549,-84.0572056381238,D,-32.08074099881945,A,A,C,E,C,C,137.4494747567165,1
Hindu,Single,B,D,A,B,15.368058980849266,167.2135636598245,67.07698002336991,E,26.69581855767461,27.095603042266763,C,25.693579303625093,C,C,E,D,A,D,-56.96282715487351,1
None,Married,B,C,D,B,43.060868523796145,-8.073130386181163,-103.48879911966485,C,29.783688787938495,-45.05106656251764,C,8.113198237667921,E,B,E,A,D,A,-44.310596310106156,0
Buddhist,Widowed,A,B,E,C,239.35209937097807,51.808405623482265,22.411729347906633,E,116.85644141264821,351.49042903245646,B,-109.96476098293596,B,E,D,B,C,D,96.72957105227673,0
Christian,Widowed,A,C,B,E,84.44350373181716,-6.176973120080904,-150.07634104105588,E,-87.84940040002492,-103.55725712157418,A,-63.81261136246228,D,C,E,E,A,D,-49.40767194691085,1
Buddhist,Single,E,A,E,E,74.21737705002148,126.07753665607487,-74.60982219488496,E,-92.21210770377537,25.596831880598174,A,-88.89739909157561,E,E,C,C,D,B,-102.64887936659252,0
Buddhist,Married,D,C,A,E,119.24854754941849,-80.88764640584299,-35.59140761563409,B,-93.30402697413719,-89.23220632335364,E,3.584430572231951,D,E,D,E,C,A,-39.165724798545696,0
Hindu,Single,C,A,D,A,148.62129716894262,-10.717127544734163,-176.3224553167169,C,144.88730944507304,-146.13991586835593,E,-16.101217233632504,E,D,B,D,C,B,-55.43469442084954,1
None,Widowed,C,D,B,D,-80.89442693594728,-169.7253302855038,-9.406819902926117,B,138.84939120805257,-198.18773968820307,E,296.0565762478449,E,E,B,C,A,C,-57.813664222045745,0
Buddhist,Single,C,D,D,D,163.84525380385594,-3.6839889715087297,55.695962043189716,C,-24.567448659978915,22.00606944797215,E,-125.39128520858584,B,E,B,E,C,E,4.1917747776264775,1
Hindu,Divorced,A,E,A,E,76.43297059857467,-6.5811680659689165,-87.44476132402806,A,-1.9619345951314326,4.778696027303725,C,81.74908503864893,B,B,E,C,E,C,43.290468991299214,1
Other,Divorced,D,A,D,B,86.53789473672444,142.74395341224465,-0.31228178656751554,D,83.27633429077149,-15.68872027884478,D,8.0083845084984,A,A,C,C,D,C,57.45204061129574,0
Muslim,Married,A,C,C,E,54.182888800286754,-63.993713962985844,88.1328035892799,D,28.435004562064346,42.442454092814046,C,-35.458940085736295,A,D,C,E,C,C,145.59317323895692,0
Jewish,Widowed,C,D,B,D,137.11275653440006,146.53269833030555,192.34401379094197,D,65.95800280834206,-64.01009001041278,C,120.22349030957231,B,A,B,A,C,D,-38.88245779152283,1
Other,Widowed,E,B,C,A,-82.52577251344623,-100.6202029038661,-100.4329181331252,C,-48.59823156957159,114.99865597782562,E,-12.024197960445225,C,C,C,D,E,E,-50.210130467689055,1
Buddhist,Married,C,A,A,C,-8.497079161159197,65.8183934995378,-54.70553232485722,D,-85.14488208969928,25.680911296155667,C,78.52795188820451,A,B,B,D,C,C,-183.71099093911133,1
Jewish,Single,C,B,E,D,42.44477326002043,-167.4710670123815,15.273268982904064,C,-84.63008260752912,93.2160282595254,A,105.61666519005864,D,A,D,C,D,C,67.76234036077115,1
Buddhist,Divorced,D,B,D,D,98.53843561366628,95.91234185261737,-104.28197925875028,A,-367.86097963964056,-17.110523996504252,D,85.53161228611455,B,B,A,D,B,A,-50.76004022629122,1
Christian,Single,C,D,C,A,-145.82009768188138,-18.916264026892556,85.74625649176271,C,-69.54419498957495,141.32898729231871,A,74.6569726528731,B,B,B,D,D,A,-4.745882145480596,0
Jewish,Single,E,B,D,C,116.61657453650783,-0.6432664582034668,-115.55782872967562,D,109.14144855435912,74.11397525750178,A,93.64377397922243,B,D,B,B,E,B,31.58262380289995,1
Buddhist,Single,E,C,C,E,25.590829652151232,-55.86892100952669,63.427964843036335,B,103.54209390867697,22.293535348623085,A,-11.854963193315692,E,B,C,D,B,A,-136.21019903356378,1
Jewish,Married,E,B,A,D,-133.29538291553462,-17.43409940608707,81.08015614572804,C,0.5740257119091096,-80.26537950941261,D,162.47178407840912,A,A,A,D,B,C,206.43243862681842,0
Other,Married,E,A,C,E,74.31853629674683,-20.655163002293033,-72.66126071463674,B,201.04818122903873,43.61452512861458,B,47.077997265237485,D,E,C,B,A,D,-70.98576937475517,0
Muslim,Single,E,B,A,B,-115.49388300121588,-120.61957623415587,43.71165868338222,B,55.43022583900672,-147.06248498342916,E,99.8814085856583,D,B,D,E,C,E,82.73639222915902,0
Buddhist,Divorced,D,C,C,B,132.32145073788246,-20.71078164197681,-6.1902475522385805,D,-192.07518762473154,-173.14908785431263,C,-26.78391794881855,C,A,C,D,A,D,-59.70841424902149,0
Other,Divorced,B,E,E,C,-79.91010846470948,-115.88417826809048,-94.66647565910812,B,-43.805421435509906,-43.123841264701966,B,35.861389180385096,B,C,E,A,B,A,-66.33641934819434,0
Christian,Widowed,B,A,B,E,4.144456706025272,115.52869253057803,-155.52493847613843,E,55.930225979233505,50.67895303185335,C,40.271187318663074,E,A,B,A,E,D,-75.09296812792398,0
Buddhist,Married,B,B,B,E,0.8400394059901931,-86.91436674550538,-102.38060334102295,D,-5.513048428537397,136.4116584771309,C,31.46670185262826,E,A,D,C,D,C,151.8776874901131,1
Hindu,Married,D,B,A,C,4.941628709073835,81.48582656221761,242.99764132585452,D,78.36714020934103,11.066416871259968,A,234.0628779981242,C,B,A,B,E,D,-98.94026433568534,0
Other,Married,E,D,A,E,-124.42544578485484,25.436428466400727,-11.780727517723431,A,11.002604642288533,-45.513179133536305,D,-44.40397093416918,C,A,E,C,D,E,-86.51597613464715,0
Buddhist,Divorced,A,B,C,E,87.60376255011623,-198.0657877215165,-65.36660136706065,A,123.69652975791725,61.193148696946395,A,-31.44908631238878,A,E,B,B,A,D,88.66886065311613,0
Hindu,Married,B,E,D,C,49.963220072755874,45.16096598510881,81.22022170581282,A,143.4420618566901,-54.02431419230245,A,99.88078485199131,D,D,E,A,E,B,87.98312598543288,0
Jewish,Divorced,C,B,D,B,128.09443723323662,-25.477325332591512,159.1455490660969,D,-165.39523666979434,-22.020376468858206,D,-26.65164114117493,E,D,C,C,E,D,72.20304261786701,1
None,Divorced,D,A,C,C,-13.879541725120653,-30.865516322894198,-74.29856596941673,C,-24.61640580259593,7.952896503475781,B,-63.35488930006803,A,A,A,B,D,D,-24.01794505895779,0
Hindu,Single,C,B,E,C,-94.68541237652074,68.58714328851461,148.76311933757086,B,98.92339487969438,-28.49980578204216,B,3.8746225399332723,C,B,E,E,A,A,41.41889999870488,1
Muslim,Single,D,B,D,A,39.75910964906701,19.140352517684352,-36.29348231095175,C,-46.266131833699006,104.6866098818486,A,-26.359360504488727,C,A,D,A,A,C,-8.511417562607363,1
Hindu,Widowed,E,D,B,A,-89.43317929834522,-54.5508803943451,-36.346781105264185,C,34.8722180604201,39.96408537332469,A,189.1087401157031,C,C,A,C,A,A,-15.95121735628357,0
Christian,Widowed,D,B,E,A,177.09089430899635,-83.13906821580173,243.30694345232962,E,52.52590068445029,24.025034443867266,E,62.87476588747856,B,A,A,B,B,B,-7.13174532479636,0
Other,Single,D,A,E,A,-145.03083648062594,6.658870369544477,145.0900184470064,E,-11.142497422570603,-37.89106477701327,A,175.01701059639,C,A,A,D,D,A,-45.86374531764225,1
Christian,Divorced,C,E,D,B,30.410039087680772,-191.8854827899809,-43.328680658047936,A,18.45203276833062,-45.15079501820564,E,163.29256706759156,A,D,D,B,D,B,-32.32045139410307,1
None,Divorced,A,A,D,B,-88.88096303172883,-30.070536094380145,-101.4198723942663,D,-17.440414055100728,69.21207255004674,B,-108.42058024607336,B,C,B,D,D,D,-113.13296812514066,0
None,Married,B,A,B,D,58.6443948197554,-147.3985315515699,-175.81028891186855,B,-45.22764982111181,88.93211105981545,A,60.0141943774458,C,B,A,D,D,E,-148.495064787924,1
Muslim,Divorced,E,B,B,B,84.76429852478492,180.4519604612721,89.6051840054527,A,137.50584110219026,-212.88114339148177,B,-95.0454464411814,E,B,B,A,B,A,-20.374950463360722,1
Buddhist,Single,D,E,B,A,-41.41385853794585,180.0961628385664,33.435390822826946,D,-46.249716140122224,148.36192352083054,A,-43.5740685171217,B,B,E,E,E,E,31.406886687700037,1
Muslim,Divorced,A,B,B,A,3.8719828019982576,-197.46706202193187,-231.2750034249463,A,-124.08569966165466,-0.41061097423098725,A,34.482116987402584,D,C,C,A,C,A,58.87043311089006,1
Muslim,Single,E,C,E,B,-31.873872370416063,11.32565563459917,-57.35738362797651,E,-171.39225224670406,-108.87486975202701,D,-198.02365886201548,D,E,C,C,B,D,-154.95723941365162,0
Muslim,Single,B,A,A,B,51.93615817923748,-114.79777451528726,53.45842211214485,C,-25.273295890668386,-34.351733463769456,C,145.98113013316154,C,C,E,A,C,D,-80.22249504186021,1
Buddhist,Married,C,A,E,D,58.68163701564063,54.4641112089612,175.36421639150927,E,43.81291246908024,-139.93717913994524,D,-108.629446530237,A,B,A,E,A,C,48.307928157028954,1
Hindu,Widowed,D,B,C,C,18.389198594660915,-53.489342681496424,76.19540157142465,D,91.01826518038374,-67.32494838282149,C,-87.70035522981881,D,D,B,D,C,D,-162.45003230110171,0
Buddhist,Married,C,E,D,E,-15.863710931784269,117.5357446159305,-54.26711198313372,B,60.96431586171887,53.49923109333407,C,-5.0255900298148966,C,C,B,E,D,E,150.98890416333143,1
Christian,Widowed,B,B,E,D,-26.181998967342203,-167.6157799747505,-153.09921286014574,C,53.09049937029716,-107.0486701299683,A,-8.231990450219119,A,E,B,C,B,C,-0.4316565847204401,1
Jewish,Divorced,B,E,B,B,-2.466443079189675,73.60993860768565,61.69356348785712,A,44.55751417582263,-131.5313835515844,C,13.88247949951997,C,A,D,D,C,E,18.823547344178664,1
Buddhist,Married,B,D,B,D,29.300244152158513,-92.48262073015584,3.8913860903573267,D,133.9915964120899,187.59264423575735,C,-64.7382518246947,A,A,D,D,B,A,-10.235626850778099,0
Other,Divorced,E,D,D,D,-108.97438012584064,-122.35353794779171,-29.071642244310276,A,-23.926574168123352,-53.690244011513656,B,-12.710405730559296,C,B,B,B,D,C,215.3233076573292,0
Hindu,Single,A,B,B,B,33.2066773138267,-130.2144037118133,-0.3854700498372547,C,-94.55356609805953,-89.79820073982832,A,-14.348632065264496,E,B,B,D,A,A,7.385155192283924,0
Hindu,Widowed,B,C,D,C,46.65382428536621,-19.330371433360593,-25.01048229267793,B,-271.53088074625134,255.23051364901264,E,117.83722517162111,B,B,A,E,C,A,-183.56401606063827,0
Other,Divorced,D,D,C,B,13.682796264544553,-64.50235293320367,-77.85337501454192,B,-126.18583923844065,-5.413799447023546,C,6.211093961882036,E,D,B,E,D,B,83.76168924001202,0
None,Single,B,B,B,B,34.62944020104176,52.31977033999223,55.23137962575173,E,-102.77598119429359,-129.42786004830623,C,24.334949335407853,C,A,C,B,B,C,-8.64970763103534,0
Jewish,Widowed,E,D,C,C,-141.4591082301345,-109.54350892445146,87.39272860886138,D,-71.07802436950386,-146.9123558431541,E,-1.1354548576253678,A,E,B,C,C,E,-188.34470367416145,0
Buddhist,Widowed,E,E,E,E,-193.23440741255362,-374.255271113662,48.633342243683444,E,56.25971690307069,16.295765229436203,E,-30.890458315943754,B,D,C,D,A,C,-18.88556019132084,0
Other,Widowed,A,C,E,D,-59.341936411343575,65.48377291432416,98.36058758161195,C,-55.69610651522453,-76.48474107292989,E,-201.65259660745517,E,C,A,C,D,E,-58.62991688772805,1
Muslim,Divorced,C,E,C,D,150.0818311634753,49.391023789526955,-111.63948366946413,E,92.49481886159606,-13.580373091796357,B,-169.85839368360277,A,A,B,E,B,D,120.7254478503885,1
Christian,Single,B,E,D,D,5.826563587721556,118.06409690791936,13.736896517383487,E,-128.27533159523196,-34.834687835448875,E,108.33496520184873,E,B,C,B,D,A,-84.49980545570041,1
Buddhist,Divorced,B,B,B,E,-297.29229125898655,-93.26976252564812,-13.23665960277306,D,49.244750464404476,-105.7507332744883,A,123.72244158604009,E,A,A,C,E,A,-89.18698142736494,1
Christian,Single,A,C,E,B,120.72901573665924,-100.37114706356256,-91.24411443100779,C,-22.40687180449287,-31.484342721277827,D,-132.72737138421877,B,C,E,E,A,B,140.47836850394225,1
Jewish,Married,E,B,E,E,-177.92877661339367,76.10854094565504,83.0586717089691,B,32.46605292056364,-14.043047794565503,C,-19.498025108994913,D,A,D,D,D,E,63.98287532088241,1
Buddhist,Married,C,B,A,C,22.666519005641632,112.64366129669254,49.07178584898414,C,170.1484001498282,71.25479669359555,D,18.31458558713604,E,A,D,A,D,D,-37.560809040340274,1
Christian,Married,C,E,C,C,-117.65773247786791,23.50985716744788,-47.2384128981295,E,-51.28185867997431,78.98317237301433,E,-1.3608409554926155,B,B,B,D,A,A,-32.838541553796446,1
Muslim,Divorced,C,C,B,C,108.6396709225558,-5.285820485114965,-38.81340809485041,A,-63.30244442667302,-168.9690581067657,D,-115.94425004797091,C,E,A,D,B,D,97.95833034409888,1
Hindu,Widowed,A,C,B,B,-83.70575232858386,66.4258832966614,2.8255647831283626,B,23.28178190388633,-37.881530524932266,B,81.39977192060888,E,E,A,D,C,C,50.754644279476224,1
None,Divorced,C,B,B,B,14.75646313711404,142.9412536193851,-33.28120312508297,D,-107.1669959537374,-32.865120769033844,D,23.763969161234222,D,D,A,E,B,A,143.47524473326837,1
Hindu,Single,A,C,B,C,23.74475367127061,-182.75392667522226,-24.95379918795504,B,-67.81628972044129,-14.667039163544501,D,136.911689623346,D,A,B,D,C,E,52.963982468185,0
Hindu,Single,C,E,B,E,74.39290224763192,-20.088929534534536,26.679947453074615,E,-9.098486071851074,-35.415006181336224,A,46.36328792493838,E,B,A,C,D,B,-6.814630065151725,1
Hindu,Widowed,D,B,D,A,126.52591220223002,-18.048518919006117,-86.09179115502387,D,89.0205415915723,3.3639960066899075,E,-87.53305909568823,E,C,C,B,C,B,-109.24000854110662,1
None,Married,C,A,B,B,196.71110804385728,51.45267751173708,-41.33484916469364,C,62.39357717359527,-42.85396246783563,B,137.73885745979774,B,E,D,E,D,C,74.10481859193234,1
Muslim,Married,B,A,C,B,0.9115042377905885,65.47364116192817,5.559444627486573,B,116.74232816280374,63.16076074906225,B,-50.83108826224999,B,B,A,C,D,C,-160.36588683252705,0
Buddhist,Single,B,E,B,D,-5.007611355122584,157.78928097309765,10.005438423280383,C,25.24616306762893,-16.71164060493924,B,-6.52647363667035,C,C,D,D,C,A,35.91364760925384,0
Muslim,Married,A,C,E,D,21.479751248033732,-90.82425624140274,-84.08993813364573,C,-59.47720900953335,-44.38402138934926,C,12.989253285172959,B,B,D,B,D,B,105.20650815276092,0
Other,Widowed,A,C,B,A,-182.2919139505778,69.79744795444068,-16.859316591519338,B,188.23532947533312,140.82768351613245,C,-96.42570204683024,B,E,E,D,A,E,11.56226656983632,0
Other,Married,B,C,C,E,-78.39787967611915,-33.20185428240624,110.197061559216,C,171.40035196742912,-31.108138922551266,B,94.75624960609248,E,A,B,A,C,B,-10.924053543579946,1
Jewish,Widowed,A,A,A,D,68.68085525762538,237.30874491305016,-82.6838168256597,D,98.70477908154687,112.56171088203477,B,57.08068476428538,E,A,A,C,E,D,152.79753066544578,1
Muslim,Widowed,D,D,E,D,50.98886619315635,-23.270241544966048,-47.95681520758593,E,11.301609918954883,70.87954059656562,A,-33.37004011991796,C,A,C,E,E,C,196.47131104352403,1
None,Single,A,E,E,B,-103.0027096563146,40.37812895171601,-16.060124923248168,E,61.11127669939361,-70.4610973510559,B,98.24061047656181,E,C,B,D,B,E,-45.94829465308195,0
Hindu,Widowed,A,A,C,B,3.583028841334115,-127.89536922072531,-112.88559886672489,B,129.23514494552052,-102.21238827507075,C,4.237694115381339,E,A,A,C,C,A,25.434150688660296,0
Hindu,Divorced,C,B,D,E,-167.1036685336102,-85.01188116930753,-57.2193554506632,A,112.65143787533725,64.89245617628306,D,33.433100132122675,D,D,D,A,B,E,92.23156599093862,0
