sexual_orientation,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Other,24,E,A,-53.22710243472819,-105.45761100605529,A,C,B,D,B,9.43204215446783,0
Homosexual,49,B,B,114.79830634249896,71.21089010563998,E,D,A,B,E,-108.5820492494673,1
Heterosexual,53,E,B,245.86533477689935,80.38067741269795,E,D,B,A,D,116.70811184659323,1
Homosexual,78,C,E,-124.81615025835654,-112.84006988707293,D,D,C,B,D,-1.0349782691504021,0
Heterosexual,23,E,C,-27.12468305032364,58.57123595885593,B,C,B,B,C,130.1308683536721,1
Other,71,A,D,54.90361635026919,141.52020490594415,B,D,D,B,B,-33.41372931826969,1
Bisexual,86,E,C,4.454809302078654,66.04962809988291,E,E,D,D,E,16.984382569859644,0
Bisexual,32,A,A,-13.930863368661466,217.88387916993534,B,E,C,E,B,72.01974259055089,0
Homosexual,38,C,B,34.14007579244541,50.8470922571851,D,B,D,C,D,-70.07750940965646,1
Other,68,A,A,-55.66617378846013,-172.75320731143918,A,A,C,A,C,138.69269047898368,0
Other,38,B,E,-168.9098400684627,71.20566285171613,A,A,D,A,D,16.790507449783515,1
Other,22,E,D,-89.8237755795649,-92.46702582114669,A,A,B,D,C,-47.1974349762167,1
Homosexual,96,C,B,174.4419866300737,65.50867774431504,C,C,A,A,C,-20.301535174867443,1
Heterosexual,33,C,A,20.6563744969876,-229.17129877150916,A,C,D,D,D,-93.5570185061166,1
Other,90,A,A,79.90435939134238,82.07279874442807,D,E,A,C,B,-105.47256399669511,0
Heterosexual,59,D,E,-21.560966365377855,-25.911221357606994,B,D,E,D,D,-80.26746002543119,1
Homosexual,77,B,B,159.02344785913,139.92698037515933,C,E,E,A,D,114.53445449885953,1
Bisexual,43,E,D,108.66348614070466,-63.01863174195955,C,E,C,E,A,-28.796048329103108,0
Homosexual,58,D,D,-10.780786113028235,81.12323219512263,D,A,D,D,E,-77.13027844757376,1
Other,62,A,C,-120.93314423122226,10.999104399864972,D,D,E,A,B,100.19895061550343,0
Other,38,C,B,49.189359361584046,-86.9558420701605,E,D,B,B,A,-55.76298786815386,1
Bisexual,22,E,A,37.37727067264064,-57.286668028693136,C,C,E,D,B,205.6654941088634,1
Heterosexual,20,C,C,38.02308025033604,39.72815763387284,A,A,B,E,B,-35.982142975566795,1
Homosexual,71,E,B,-246.59599631828507,168.93890595181006,E,B,B,D,A,-101.71940062179485,1
Other,44,C,D,-191.827712694364,-118.66180342117207,E,B,B,A,C,-20.028702039001434,1
Other,58,D,A,87.69323731243345,-26.776100251887126,C,B,B,E,D,-14.101171405800422,0
Heterosexual,59,E,C,255.12391746078023,-45.13084304560853,C,A,A,A,C,105.12583850180481,1
Heterosexual,38,A,A,-39.03810335957054,-68.69247758064692,B,E,A,A,D,54.66824794767105,1
Other,33,E,A,26.322436367321274,-40.146730821323274,D,A,C,E,B,128.45707811773502,0
Other,26,E,B,-123.5931826907538,142.72058045126883,D,E,D,D,C,46.573931872882774,0
Heterosexual,58,E,A,89.00802096721272,-29.761338757834864,E,D,C,D,B,73.10425249030072,1
Other,66,B,D,143.90375184697996,28.541160659113267,C,C,D,B,A,-93.47403223373036,1
Homosexual,25,C,C,29.427496279975763,-8.51202981624675,A,E,D,B,D,93.27469500557693,1
Heterosexual,51,A,C,-1.052350066270094,22.687485735382463,A,B,B,B,E,65.16324090259562,1
Heterosexual,38,C,B,29.37581491316677,148.15480086188794,B,E,D,E,B,-120.4065739115449,1
Homosexual,42,E,E,0.9625593215050431,38.00383532367101,D,B,D,B,E,210.56402601857363,1
Homosexual,44,A,B,-149.7189846080912,-17.460056827982434,E,A,B,B,D,104.81319750808487,1
Other,36,A,D,75.26361110017288,-120.36083427343056,C,D,B,C,E,-68.20781861248973,1
Other,73,B,D,-37.14351411436622,27.95535415892873,C,C,A,E,A,-140.62318676192808,0
Other,61,D,E,-1.5380870043263317,95.38244422100195,A,C,D,C,B,-76.88955078082023,0
Homosexual,25,B,B,-94.09726440966195,-39.686245452746896,C,D,B,E,B,-51.28623527822469,1
Heterosexual,76,B,E,-119.84132555469678,46.43310550585855,A,A,A,B,C,189.14715448439435,1
Other,65,E,E,-191.37915425390398,-61.25780367785841,B,B,D,C,A,-65.00442645869074,1
Bisexual,98,A,D,47.17954928383449,81.20422851599882,D,E,B,C,D,38.77960722312245,0
Bisexual,71,A,A,98.34398336178968,-4.267534129727085,E,E,E,B,C,9.88824443168294,1
Other,38,E,D,99.12392994680097,164.4029680834685,B,E,B,A,A,62.08862660271619,1
Heterosexual,56,C,B,-18.407188711775927,14.59687923872051,B,E,E,C,B,-41.7028477199591,0
Heterosexual,74,C,D,-19.14849700513564,-67.82109821527561,A,E,E,C,B,-56.83004176927784,1
Heterosexual,87,E,B,8.914416161339433,67.33742392610671,D,A,E,B,A,128.78079225993787,0
Heterosexual,87,D,C,38.08695066635062,-102.85946100720331,C,C,A,C,B,19.013253006500467,0
Heterosexual,78,B,E,-166.37150137010897,27.780452518438732,A,C,A,A,B,8.474625829187662,0
Heterosexual,21,D,D,-50.07163445206773,-82.09346548423012,C,E,B,C,B,-79.90760491783576,0
Other,74,A,B,-126.48079253871644,122.38165619870875,A,E,E,A,D,-118.70503425292026,0
Heterosexual,92,C,A,155.87956121922178,10.134147839657034,E,C,B,E,A,-10.102185324812757,1
Heterosexual,85,C,D,30.283981918408028,282.5602827550802,A,E,B,B,A,-41.03977122147241,1
Bisexual,20,C,D,87.14145316378519,153.8380493797264,C,D,C,B,D,65.45508887825171,1
Bisexual,73,D,E,-59.8619366939551,4.949376119851539,B,A,D,B,E,125.53396898863116,0
Homosexual,73,A,E,58.31695071376014,162.24237579635235,B,A,A,E,C,20.166988283343457,0
Other,27,A,D,47.1009148254276,-111.2060224018512,C,C,C,E,C,120.0062133819191,0
Homosexual,39,D,B,-35.97966802288171,-86.95804012615123,C,A,C,D,D,18.845574949305746,0
Homosexual,99,B,A,-6.756808481298759,27.14085548565436,D,A,B,B,C,7.888782959235704,0
Homosexual,83,D,A,46.68842527730114,192.33072989604483,B,A,B,B,D,1.4235282744630757,1
Heterosexual,34,D,C,-39.66951068602788,-29.309216154961494,E,B,D,D,E,110.31371145349944,0
Heterosexual,62,C,D,33.569198181574734,3.320244647361724,B,A,C,B,B,-126.42250703923654,1
Bisexual,18,B,C,68.68172800411831,-23.019075118349985,C,E,A,B,D,-146.5320784225478,1
Bisexual,19,D,E,-45.494408350940304,170.02078684348598,E,A,B,A,D,68.12781021090727,0
Heterosexual,88,A,E,-103.35269178986766,10.526156090598711,A,E,C,A,C,163.76540882976954,0
Bisexual,97,D,D,230.41722463318095,119.07515142298011,A,C,E,C,E,-8.093058291570879,1
Heterosexual,95,E,B,-139.47031975977166,37.763432898827645,D,B,B,A,C,6.281328214455495,0
Homosexual,84,A,A,110.38434009291787,78.22513787164205,C,A,C,A,A,68.05256221427658,1
Heterosexual,79,C,B,74.51276501533548,98.778669326552,C,E,D,C,B,65.78791803397515,1
Bisexual,65,D,D,-10.41275563109924,17.67384075977882,D,B,B,E,E,57.374650141639606,0
Bisexual,83,D,C,47.65082488076142,-115.98185117676958,E,C,B,E,C,-71.79195759733177,1
Bisexual,34,E,B,-139.04923461819328,-50.82243994499619,E,C,A,B,A,-74.5407508762677,1
Heterosexual,84,B,B,5.913064928526125,-101.58722371110287,C,D,E,C,B,-68.57789304655097,1
Other,66,E,B,116.19315931629164,53.13238504580139,A,E,E,A,C,7.287666316387378,0
Homosexual,72,B,E,96.21129380756653,-30.773127873827693,A,C,E,A,D,83.01012017260902,0
Heterosexual,65,B,B,-210.69424937371272,-170.19732410197412,D,B,A,D,C,152.839911373447,1
Heterosexual,78,D,E,12.103964639055546,-7.215221903950679,C,E,E,B,C,-52.24872339326952,0
Bisexual,46,E,E,112.60053776841205,-130.73246923151908,A,A,B,A,C,-157.04300370989606,0
Homosexual,57,D,A,-13.35994328077192,-38.5276125542905,E,C,A,B,E,-84.84757007246108,0
Bisexual,36,E,C,44.03472702061843,25.36029163165564,D,B,A,B,D,56.94070354465231,0
Heterosexual,54,C,A,39.58429290880051,56.94304344845706,D,D,E,B,B,-0.14384495289117363,1
Heterosexual,19,E,D,72.09375027438665,-95.47478459602337,A,E,E,D,E,99.38012741174657,0
Bisexual,99,A,B,-46.86922904667339,31.299958224535267,D,A,C,A,B,-4.786677966706893,1
Heterosexual,72,C,E,55.242385888556925,87.82712540260584,D,A,E,E,C,21.628368187104986,1
Other,48,B,D,-96.27703421503338,-13.695430162542824,C,E,B,B,B,-43.79708898657873,0
Bisexual,73,A,E,101.11515870125768,80.24312612316635,A,C,A,E,A,-4.98055190393054,1
Heterosexual,55,A,D,-143.99148617685896,-44.33042727580687,B,B,B,E,D,167.89610707294366,0
Other,54,D,D,-30.54718480171776,23.91488155973473,D,E,B,C,B,-186.46035365900883,0
Heterosexual,51,B,A,20.75138011488494,167.53595340295342,D,C,C,E,C,25.26034868671802,1
Heterosexual,39,D,D,131.61200965396534,27.31374766924837,B,E,D,D,A,-32.38986190636343,0
Bisexual,38,D,E,22.668010609312372,46.44989106287586,D,A,E,B,B,-119.41347139421083,0
Heterosexual,25,A,E,-115.55532079913083,25.193305854813747,A,D,E,C,A,-24.7960157045668,1
Bisexual,46,C,E,35.26151100836159,-152.5898897308792,D,C,A,A,C,67.10502406049038,1
Other,37,B,E,-49.37820483226224,4.33655124307902,E,C,C,D,D,-138.34232025447065,0
Other,38,D,E,63.36497695148163,65.75599724287211,C,B,B,B,C,166.8263706292856,0
Bisexual,35,D,B,217.2280351717995,-134.89164034653356,A,C,B,D,C,-128.16002110860748,1
Homosexual,85,E,D,58.39872537830004,-79.11020854417521,D,D,E,E,C,107.30002779381824,0
Heterosexual,30,C,A,-101.2166862137937,72.56630155139831,B,D,A,C,C,-86.80468801122572,0
Homosexual,95,B,D,-81.75010416402823,-8.354331656227401,E,E,B,C,A,26.70850483868235,1
Homosexual,89,A,E,-235.45898585911283,195.1420502012754,B,B,D,B,A,-21.73087949575676,0
Other,94,B,A,188.59927743286394,84.20370876938183,D,B,D,D,D,108.05822128047325,0
Heterosexual,53,B,E,253.9568035045263,-25.742570387197368,D,D,E,A,C,17.602604103546074,1
Heterosexual,51,E,B,84.88015947603482,77.4685358432873,E,E,D,A,A,17.66290252405725,0
Bisexual,68,C,C,-25.52993396593121,-54.13954873908664,B,D,C,E,B,-120.0593729870928,0
Other,95,A,A,-169.99230229288895,-44.89814809342409,B,D,D,D,E,73.43314430837783,1
Homosexual,81,B,C,-51.8056454185475,0.27554460521830293,A,E,A,B,A,-70.47719798793071,1
Bisexual,79,A,E,-43.95472602632326,21.072449989437423,A,C,C,D,A,-57.82154058224125,1
Heterosexual,28,A,B,-49.960704503255506,-36.69943747013603,A,D,A,C,A,20.629754303757654,0
Other,63,A,B,-74.54155573835412,135.4803062269501,D,C,A,C,C,-81.6193010984375,0
Bisexual,81,A,C,65.06500153506049,-25.056759174073783,D,A,C,C,B,-180.88522043201814,0
Bisexual,85,A,D,-54.509403141890935,11.225354610297163,B,E,C,D,B,-26.578307428448785,1
Homosexual,56,D,D,55.6685162937502,-78.47800158764659,D,E,A,D,C,75.72154981305857,1
Homosexual,56,C,C,-132.8656272070176,-90.57486199936143,E,D,B,C,C,-166.22426338616455,0
Other,29,C,E,-104.25649783847544,-105.03858745408388,E,C,C,E,B,9.774038716949109,0
Heterosexual,84,B,D,22.739812579542594,-9.944395634467245,D,E,A,C,A,57.77778857661119,1
Heterosexual,64,D,A,7.636076610436443,27.358627557418664,C,B,C,B,B,-40.138412656573585,0
Heterosexual,77,B,A,198.35484297117893,56.87858965698812,E,D,C,B,E,72.30636032479545,1
Other,43,D,C,-113.60163001549601,-47.27048607854222,D,E,D,C,A,68.0440991660154,1
Homosexual,19,D,E,57.673920171135826,188.2599603138591,C,D,E,E,B,143.56539321304436,1
Other,75,C,C,-149.1561137395671,-37.78552933373936,B,B,C,B,C,64.37263333726187,0
Other,43,C,B,5.774220328761177,16.17047449089977,E,D,B,D,D,139.4503620937294,0
Other,91,D,B,55.79043997059879,307.45357795864646,C,D,A,E,E,34.363931006818255,1
Other,29,E,B,-181.94342032515482,103.91909188746466,A,C,C,C,E,74.67365796681148,1
Heterosexual,42,C,B,-25.54299977862759,117.19103782153812,D,B,A,B,D,127.86322712748903,0
Homosexual,77,C,E,65.05040375147352,-160.38778461442706,D,A,B,E,C,22.578217946041974,0
Heterosexual,56,A,A,-83.87799977560488,-4.555374144137358,D,B,D,D,D,-35.8212531199991,1
Bisexual,32,A,B,-4.461095039522456,210.80018536874553,D,C,B,A,E,-56.46716560165703,1
Other,46,B,D,87.66477044176966,-10.799033450923146,D,E,B,C,A,73.0648076861589,0
Other,41,B,E,27.658123558751512,-13.763430513994324,E,B,D,B,A,222.12863578283208,0
Heterosexual,31,E,C,-81.62165968923088,144.97825058512404,E,E,D,A,D,156.3744445045786,1
Heterosexual,73,A,B,-58.85080309320138,85.08462718368142,A,C,D,E,D,174.56061834201236,0
Heterosexual,90,C,B,102.69913690317236,62.50791657076042,D,A,D,D,D,-36.378556256580744,1
Heterosexual,50,C,C,99.19031382671601,-61.55389138071349,E,E,D,C,C,-99.73381638635232,1
Other,59,E,E,-159.79695321352298,164.95735635967085,E,E,C,B,E,26.52008414706572,0
Heterosexual,78,E,D,-90.11117032554604,11.041790832686395,D,C,A,B,D,-150.13362302502946,0
Other,45,A,C,128.36486272706827,141.61774464160953,B,B,E,C,D,-58.8304048190659,0
Homosexual,19,D,B,-195.6550412645478,-144.09254201103343,C,A,C,E,C,69.79986540457399,1
Heterosexual,75,D,E,98.7343782668136,77.38802678351398,E,C,C,D,B,126.80691753066762,0
Heterosexual,28,E,D,-7.433813035799738,10.07283105034809,E,A,E,D,D,95.40789302882735,1
Other,57,D,E,7.40947020407785,-123.31774590003373,E,E,E,B,B,38.115453347218455,1
Other,98,A,E,38.76880893702575,178.41765971892409,B,C,B,A,B,94.02863755751422,1
Homosexual,31,A,B,136.358262658663,154.4294498368207,B,D,B,A,D,-75.22695161152781,1
Other,88,B,D,-206.44013303192006,97.34563912023452,D,B,D,B,A,-113.13139826031575,1
Homosexual,40,C,B,-6.404775849338081,-258.21567239434927,D,D,A,B,C,-93.494271366591,0
Homosexual,73,A,E,100.78477482981678,66.89151637238805,C,A,D,D,D,-34.35855489589015,1
Heterosexual,28,A,C,-28.373453340307144,181.13702148062183,C,A,D,B,C,-122.24235277503384,0
Other,25,D,E,-180.67006618127655,-49.64337437051249,B,A,C,E,D,-87.1202482299474,1
Other,37,A,A,-101.55287252282723,29.35937865556337,A,A,B,D,B,-199.7909771002175,1
Heterosexual,82,D,C,-136.92637328055787,138.47389702373397,D,E,B,B,C,-38.70397872223712,1
Heterosexual,75,B,A,-182.47955929609518,-23.15466248592879,A,A,C,E,B,48.77346882644577,0
Other,22,D,D,-132.28652114901473,4.615317539551601,A,C,A,A,C,-61.57509332819415,0
Bisexual,93,A,E,5.441998180750182,-0.04440979060861469,D,E,C,C,C,17.12211771958366,1
