veteran,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
No,Both,44.80895151928533,109.92300917171445,E,-108.98899978235714,D,A,27.578365125058024,E,A,-33.995917854548516,E,B,D,E,23.00230521966573,E,-52.01057218111944,-40.89601814153075,0
Veteran,No,-145.1886476607799,-9.913682575338271,E,35.31071252529777,C,D,118.02253708138714,C,E,76.30523551575604,B,E,D,B,94.97612237711483,A,0.21020244385319478,10.450044326463887,1
Veteran,Yes,-17.210912716570437,-127.94222448024047,E,105.04524326051659,C,A,111.47160328701555,B,D,67.46396644790875,E,C,C,A,121.67302041146169,A,249.5417431859467,-3.155772986712763,0
Yes,Yes,79.32681340260702,-30.578870368407003,A,-117.3913148265189,A,B,-68.94045168244668,B,C,86.63483707486566,E,D,E,E,20.84339633214548,C,37.74473481381001,29.14277489548972,0
Yes,No,-97.3201835270365,103.97660635319599,D,-189.38471609769644,B,C,-132.49452255233,A,A,28.775448737961856,E,E,E,A,37.15124872283701,C,-86.82656540860272,169.6667737606441,0
No,Physical,123.89320606958655,-101.35039231386192,A,-28.458771307174857,B,B,-252.1391201192972,C,A,121.82696857225996,A,A,E,E,217.41588595287388,A,-105.87303204254997,-143.39048280644712,0
Yes,None,65.24592995511827,-68.48495269083367,B,51.696094063170314,A,D,-134.98224884181235,E,A,-145.05296245470095,E,C,A,D,-69.81077346382516,E,-61.161041522526396,-85.91244782116006,1
Yes,No,97.62547755426996,-34.661533493668514,E,57.791340840608285,B,E,-132.88733243706562,B,D,-78.64773934600984,E,C,A,A,54.59482867242764,C,22.452869714985813,-137.6040021591084,0
Non-Veteran,Physical,-113.570759382402,27.800506725814948,E,-147.18425370387703,D,D,-69.56032132989921,E,A,129.9868881628312,D,D,D,D,-41.85082542283639,B,-14.078681239108773,-158.71289647263993,1
Veteran,Both,52.11531090705934,84.57517528425005,D,15.516036051431184,B,D,66.34067400874429,B,B,-79.21703234554536,D,B,E,B,150.34329810633182,B,-153.45497879533426,-34.45088616627762,1
No,Mental,-134.73926315633008,-102.13136113550856,B,-153.46644712453656,D,A,-192.9060250208457,B,D,-80.6068752456407,D,E,C,E,38.12665263113229,B,-11.586056997684102,-98.71198413753454,0
No,Mental,-49.00353003443533,183.9232458335346,C,41.65707704168856,B,B,-105.84780184892533,C,B,-125.0648774465446,B,E,A,B,61.28196400038177,D,-81.13097270414772,38.28349691232986,1
Yes,No,-80.27926498918791,-38.2086518162566,C,20.9731522986561,D,E,-1.1919422573873915,C,C,20.880940591885118,C,E,C,E,-153.6997187277715,D,82.78173258945307,-144.02950996830174,0
Veteran,None,28.195904185074532,3.977132244223084,C,-34.6690892346165,E,C,-136.4296583555871,E,A,-67.7819485036246,E,E,D,C,-106.11928524882961,C,-6.706497553569779,-27.72117603618518,1
Yes,No,118.96194378427936,-52.372932403922924,C,-83.49458851090095,C,C,195.41096898908953,E,D,-149.0607216326965,C,C,D,A,-67.77178129718575,C,-36.901644530431106,127.25366917822136,0
Non-Veteran,Both,-78.04382137643694,119.95578407649829,B,-109.41320041544927,E,E,83.52406417685145,E,B,109.60449612116247,E,C,A,A,74.45717963417991,D,62.346726635758955,-58.62907327415077,0
No,None,-98.24340773083229,17.57937287136804,B,-65.07130787793307,A,D,80.03101745606675,C,A,4.3712122962142335,E,D,D,B,65.54707907141616,E,98.80546373851682,-138.75558037295406,1
Non-Veteran,Both,78.60497407561166,89.7589568567507,B,9.669587232246721,B,C,71.40738982228868,B,E,13.229770042596506,B,E,A,E,131.52672627842134,C,13.978751953744101,150.17524148378584,0
Non-Veteran,None,66.47336532097387,12.00708951834441,B,-107.2052467710685,C,C,-116.73710413885739,D,E,40.66393407546126,D,B,E,A,-34.91360336909736,C,33.99080138009036,-17.841176539022978,1
Non-Veteran,Mental,-187.03261132141995,-43.68277137856589,A,-35.55555174157965,D,D,-94.44644849221127,B,E,189.22270143246365,C,C,A,D,-72.33163175045902,A,-87.11569508759769,-80.46863622878514,0
Yes,None,-95.48260032335808,24.774723819934287,B,14.441394469511215,E,A,42.52222450846555,D,D,80.84548266995202,C,B,D,B,-9.94676354373972,E,-151.17358435424939,80.33063591014083,1
Veteran,Mental,-211.89246613445727,-105.63467352026805,E,158.65618024779545,D,A,61.78933462966353,D,B,-60.46337902390469,C,C,A,C,266.4319460111772,A,-38.2226366430643,-55.29406911732283,1
Veteran,No,-59.00540773182475,101.6153550501065,C,35.8584287096732,A,B,208.71576670401856,B,A,0.12219506347936845,A,C,C,D,-8.174671938955257,C,10.671646616578407,89.84559286924288,1
Yes,Mental,50.53804127836885,-138.50097835136515,A,98.03929734608654,D,A,146.09413331361583,A,D,-125.0049768829073,A,A,B,E,-72.98497958290132,B,-129.94065698410762,147.13345968345405,1
Veteran,None,97.91365325066187,-35.509772346085704,D,108.8166009731933,D,E,-72.39871431612514,C,D,-26.420194904295524,E,C,B,D,50.26707509151777,C,-49.99081263870818,-165.35192481813152,0
Non-Veteran,Mental,-155.82228499480766,-165.8384628518308,D,11.735137909299151,C,C,-31.78349860727173,D,D,-145.38681291666146,B,A,C,D,16.263217166068376,C,-158.21588480754585,-155.99706907168658,1
No,Physical,162.55101685913255,-59.43953623699776,E,145.20234451602633,B,E,-159.2577459361294,A,C,-166.38900586662504,E,D,B,A,156.4641910650893,E,-190.47807009770833,91.15427727093255,1
Veteran,Physical,-35.933364686609536,-5.764055213092027,A,-203.22651396681502,A,E,50.045457675746086,A,D,97.58104177965173,C,A,C,B,-7.072377550845238,B,14.158391761838763,129.99917837897522,1
Veteran,Physical,132.69570636252237,-55.903275006219154,C,-112.0520557982089,C,B,192.98150889897704,D,C,-170.71619093049551,A,E,A,D,16.775004598047552,C,171.07453066086487,149.49466392565955,1
No,Physical,-151.61450170514212,31.089861978751106,A,100.21196555766679,E,C,-72.7847201921836,C,D,44.19966166192833,C,C,C,E,-81.2103891575929,C,-36.73032298538148,9.657216903792019,0
Non-Veteran,None,30.7757312374154,152.2057440233143,D,17.770383626741904,E,C,157.99126772466954,A,D,78.39018917760725,A,B,E,D,-1.5404911698807153,E,76.98412562657654,230.71813678234471,0
No,No,24.48956524798815,90.54734798298857,B,-94.97688295779196,D,D,-19.69135924071452,B,C,-49.057826352204486,C,A,C,D,-84.30709959523344,E,-1.6589602669600967,-73.33577521821375,1
Veteran,Mental,26.66638942918851,-182.81768635920392,A,-39.15865396813105,D,C,-94.3385410065312,E,B,34.24002991191386,E,D,C,D,71.31458499617516,E,23.804850559832115,-148.06193863472512,0
No,Yes,124.0410649112058,-36.999299172167916,C,76.16592571412004,D,D,-95.42769782093752,B,C,98.18815403657469,D,D,B,D,-44.26525078355718,B,-194.75778009981016,52.657800170341886,0
Non-Veteran,Mental,-56.23019580822384,-131.60544688405636,E,-15.105811165348108,B,E,-62.74660200778902,B,A,53.551880459120206,D,A,A,D,-131.6709474335059,B,1.293312215785457,140.829833970243,0
Yes,No,-4.318124988409446,-76.38706026392099,C,7.425125295301606,B,C,68.99594453392807,E,A,44.19310654970951,B,A,D,A,9.007083526736647,E,-4.351159524861881,61.62923706732448,1
Veteran,Physical,85.23373200665765,93.04473894928869,D,-101.71376345347716,C,B,25.19719530305766,C,B,-2.8347106314700032,B,D,E,C,28.451855106529635,E,-20.69076549144564,-77.36023498352398,0
Veteran,Yes,-182.03950059147047,-36.27488868414259,C,-126.08826688396972,E,E,-91.91880341941385,A,A,106.49083555125665,B,E,D,E,-58.69203445727792,E,-74.300336203195,133.99411217678107,1
Veteran,Physical,-20.423207279595932,52.70723716246655,A,98.37988486587852,E,A,155.90807821796687,A,B,-174.62074508451076,A,D,C,B,-58.42895049987064,D,-106.02847649522222,-131.73822751446676,1
Non-Veteran,No,82.30683859956609,-24.75500831320578,E,-45.856731030267994,C,C,-84.14805502544999,C,C,43.035935895039316,B,A,B,B,43.21607593285457,D,-6.08586514676884,-84.95101351902655,1
Yes,Physical,-92.4561594617969,21.179814787566087,B,-173.17433831825673,D,C,217.32676895156325,E,E,-95.57958550504993,E,D,A,D,-5.269048158235739,A,62.438143764091805,23.846598659142987,0
Veteran,No,14.072455370062567,27.127810327581088,B,-112.4653704967867,D,A,-3.9248758684658465,B,D,-201.04686536439917,D,B,A,A,-79.8390208781505,E,165.31642338793873,2.8354133549531166,0
Veteran,None,-106.90010478678158,-93.45301749131335,A,34.78076916651515,A,D,138.06735954187084,B,E,-95.31544218513872,A,A,D,E,206.28772249572202,B,63.88031609621548,-62.97188420107659,0
Yes,Both,202.096846335653,18.06926685480023,A,-92.37914144545023,E,B,42.4646566179596,C,E,113.78263925918255,C,C,C,C,-254.63679208447581,B,38.87906463918223,6.012566855565479,0
Veteran,Mental,-90.73809857464758,-8.27214133498513,E,-144.54453770635186,A,A,-53.29248443268623,B,A,193.4281902873311,B,B,A,D,92.12196078449776,E,23.028464426167353,-71.5951295573224,0
No,Both,-101.55734253608398,44.98794756075162,A,114.76732675633986,B,E,22.379878340778152,A,B,63.05138649559654,E,A,E,C,109.20194717244102,A,-48.36327849880333,100.35828780027471,0
Yes,None,-28.375554346450677,-11.44259493052803,E,-18.637078151963163,E,A,119.2616188862919,C,E,-45.01727042598437,D,A,A,E,27.409305933095563,C,-47.7840621237595,59.7247772571355,1
Yes,Physical,31.289556023990283,-93.48743680483655,B,147.82970323995784,D,B,81.64393424981084,A,E,-64.19735227023077,D,C,C,E,-0.20071091336343094,E,-42.20437345387847,-46.94325318249427,1
Yes,Yes,-41.58897006685881,96.65543313060647,A,7.265754305163023,B,E,155.1305900686952,A,D,143.08513600247753,B,D,D,E,-195.7352754904931,E,48.306564505900326,-32.05443467256781,1
Non-Veteran,Yes,-129.4820254881859,-23.006811204822963,A,113.93842891777552,B,A,29.22375192348831,D,E,286.38731511480154,A,B,D,D,205.7846506419913,E,34.28116071809023,-46.566806907492605,1
Non-Veteran,Yes,-64.5969818581031,96.98356485110745,A,90.11452123807499,C,B,29.25169345871054,D,A,-44.33405278735334,E,B,B,C,-29.172142041894922,A,-62.39942843108466,-140.50339267048415,1
No,Physical,19.294984966114967,-74.12015148001458,D,7.8780927642309875,C,C,17.52606526174504,B,C,137.50934164297976,A,C,C,A,-54.58217640674343,E,-84.40849160592037,-105.63449342645524,0
Yes,No,84.00965432327254,-141.59890824655182,A,132.56256487824015,B,C,-97.69480692681918,C,D,28.306206712641924,A,D,D,A,-68.78081210567738,B,90.66723034835378,-140.97673205965572,0
Non-Veteran,Mental,-23.20465124323665,48.45399753482831,E,-113.45365865077204,E,C,103.85768928649146,E,E,133.72217360046977,E,A,D,D,119.82925922620815,A,-52.025500384412105,-151.04985180658326,1
Yes,None,-96.88546843255097,20.023302702132366,A,-32.538571553636274,E,B,-86.3425970978746,A,E,3.360467734491031,C,A,C,A,72.58723977875212,E,0.9999796090590114,17.79539989618206,0
No,None,-101.52318336287638,13.320934054238007,E,261.8390095549406,B,E,-97.67114193156094,E,B,-163.5727524595374,C,D,D,B,114.35383957940634,E,-24.93779749360676,-73.88186667193033,0
No,Mental,12.57348418400723,4.958123495508211,E,-21.57325446774985,B,B,63.92738048642915,B,C,-67.65943269259547,D,B,E,E,-57.101543389330836,D,-59.33034876569897,-76.09552920538718,0
No,None,-156.99264253871354,-35.60339725388222,B,-12.02003541635789,E,D,-43.4380832452462,A,A,-134.91513402313407,B,C,E,C,-19.85918879838163,E,21.30850195824256,-141.24123914238217,0
Non-Veteran,No,75.6516995034838,-42.41125993290097,A,46.59749953309447,A,A,-130.43521963542506,A,B,99.26512412044679,D,A,E,A,24.323475739276287,B,108.12411911019615,-76.74993879896081,1
Non-Veteran,Mental,-58.904606914255666,-17.615637677543987,E,5.007280178942449,A,A,-26.864931548180852,E,B,-108.0598503869967,B,B,D,A,55.68631976958546,C,14.571501622678543,66.34818224965106,1
Non-Veteran,None,-33.775944511622264,75.00309857439642,C,-220.505502324249,A,C,28.68342177928213,C,A,-17.42153162023525,C,C,C,C,123.63189976076727,D,152.9264601077056,34.9520073117507,1
No,None,63.50264846378475,-259.38889441202934,B,-61.37269191967296,D,A,18.854333104823777,A,A,155.66861692650343,D,E,C,E,33.2830776311362,D,5.769482990128118,223.288372134451,0
No,Both,15.381664295351536,-186.80027729182015,A,68.11307582874917,D,D,52.36772165170682,E,C,67.28090993795206,B,E,A,C,52.85896277069651,D,-20.40558710594724,-16.81332813920453,1
Non-Veteran,No,36.209721811746114,-96.73713850187747,C,41.540399354758684,B,B,-24.046645618182076,C,D,76.44768033450961,A,A,B,D,85.0602192006606,C,11.565761435601447,178.63567612767167,1
Yes,Mental,-66.84269877981325,-39.59312547282497,A,-92.1929297270845,E,A,104.43405403378456,E,E,51.61981820487932,D,D,D,A,-127.81240122716677,B,-36.41222931403403,230.13879326920613,0
Veteran,Mental,-45.801067874106685,-106.05556008673081,B,-112.35632357390845,C,A,-66.47246473046484,D,C,15.197786246124934,E,E,D,B,70.16149776790527,C,71.83339553807532,43.33712301727346,1
No,Both,-62.036079216607796,-171.8070677942633,D,44.24124240628977,D,C,36.12224025539029,A,E,-7.245074319702505,D,E,C,D,30.05622561493686,A,-23.815304915703315,60.538164633227,1
Yes,No,-67.22397191139581,34.541150130765594,D,-62.44828414736935,A,B,193.25179000263822,E,D,5.927049603646743,A,D,A,D,-122.84679343184146,A,16.71772707119642,2.088943028550214,1
Veteran,Mental,8.169694474179758,-21.94260375006812,B,-38.713628728566334,C,B,-184.80160632308315,D,A,-9.32126108593732,C,E,E,C,-118.76100232316598,C,3.6522156287573027,24.132085702026025,0
No,Physical,32.19483751789442,154.0647993019994,E,218.38414494779948,A,C,13.347150104540814,C,C,61.09007632035323,C,B,B,B,73.53215114645687,B,-40.379504533533236,33.55594722187064,1
Yes,No,-50.262537422443664,156.99837279740615,D,26.235174056246606,D,A,-67.85998102066193,C,C,101.61744219876259,D,A,A,A,-9.778509643813482,A,4.176606547801415,-46.864508746339354,0
No,None,-34.934288503590395,17.116263324549113,C,-15.313999755079037,E,A,154.43248929769607,B,B,66.38450199096286,D,E,C,A,-61.98234413693776,A,50.13555016031512,-11.914895163384703,1
Non-Veteran,No,-165.53563474610755,75.66363224902382,C,89.52458845015772,C,E,165.88765858925396,C,B,153.2698064961757,D,E,B,C,-32.846121156607545,E,-31.15379313500839,-81.20544290641656,1
No,Mental,-41.34528630964432,100.56944494035616,C,52.68305943870348,C,A,146.27866532415027,A,D,-21.012407154128756,B,E,C,A,-84.19542799614412,C,-41.224797990565364,-76.64298680913954,1
Yes,Mental,0.9988551719109433,-73.8135982916806,C,-74.30275000534135,E,B,-54.4928699610971,D,D,43.88119339712476,C,A,B,E,-90.11469225379058,D,25.811522694369295,-59.86990961361508,0
No,Mental,-78.43933251612313,-102.35785637549763,A,270.086472652966,D,E,-115.1239405781173,A,C,-139.15164832592043,E,B,A,A,-131.1026205614439,C,-63.6345726004827,-214.15549252658903,0
Yes,None,-10.923854043853355,29.54561504352026,E,87.16384818498788,C,C,86.52119040108963,A,E,-3.6131313271519367,A,B,E,C,11.512674322916967,B,-96.40859575594406,18.994177004504145,1
Non-Veteran,Mental,-33.42475178484766,-14.043490672322681,A,118.46546158790436,D,E,-47.751153419124776,D,A,95.04634794175718,B,C,B,E,7.396119973473471,D,57.075942747350936,67.8802156487489,0
Veteran,Physical,66.46653835287592,-74.07904382629874,C,25.92884212246179,E,C,35.31883151074067,D,A,-6.058355878996075,E,A,E,E,236.32792635517026,B,115.84211891079343,90.84049387772272,0
Veteran,Both,159.2542037293607,6.868128333921324,D,50.657562247723796,C,B,-48.31252336594425,E,C,-47.976322924438264,D,E,B,C,108.74844714687806,D,-56.349315197144975,28.656574147622845,0
No,Mental,89.19872822305935,87.80829292418846,D,30.574606687126117,C,E,-59.6584817442626,D,A,-60.7543952010011,E,C,C,D,-7.9381400795477965,A,45.585795118028415,88.65419410300403,0
Non-Veteran,None,-72.66099859861498,-153.03391155972477,D,-255.0162626571363,E,B,62.93335353420477,B,A,-270.14470706254383,B,C,A,B,-12.476876119188049,B,-44.22783021141832,-48.96785162293945,1
Veteran,Yes,141.50422594349243,-138.29789437503155,A,176.33684806561413,A,D,124.15335676236995,A,B,-30.90325255027686,A,C,C,C,-94.30952363760329,E,-41.14861398524613,46.78311482867784,0
Veteran,Yes,-55.481309918146195,30.179431971308446,C,92.5005776962766,E,E,-95.28657086427195,E,B,-88.8003150487348,E,D,D,E,-31.43574723564472,B,62.29910661544451,56.60101120261313,0
Yes,None,-54.66648710903892,-19.807704567140448,B,13.578407711801772,B,C,11.46712803412501,A,A,-91.31191763250987,E,D,C,D,29.634406112125138,C,130.54536275851072,-51.46245101827053,1
Veteran,Yes,32.769499394521894,-114.95956990876861,D,-60.659969967945415,C,D,41.47291971997959,A,E,132.40481457540355,D,A,C,B,0.29228787765776726,C,55.05783640437316,130.70824010875154,0
Yes,Yes,42.88904116190613,45.89273718872082,A,102.82800927206021,E,D,4.236172342826325,E,A,-199.3432524860137,E,A,C,E,-67.50074603937006,C,-0.5886404438825791,-125.81532228393056,1
Non-Veteran,Physical,87.34550754561474,-9.488510569202974,D,43.34121767578535,B,A,5.162411242035038,C,B,10.385451159945179,C,C,A,E,-105.30312054555442,A,-16.800922161028424,41.45379964306466,0
No,None,-206.733048132941,62.18687691081911,C,164.06448982614157,C,E,153.91652193555112,B,A,31.13189479173241,E,B,D,B,41.37577702543655,B,-36.55630505286744,-21.033633224654547,1
Veteran,Both,37.11834775521224,14.77365105159541,E,-106.09189059581297,E,D,106.66343869847425,C,C,37.73623089888509,C,E,E,E,85.65074116557344,B,138.9598241140403,-45.49856719118317,0
Yes,Physical,140.45458892694168,-84.1109324506144,A,-56.34370990479402,A,E,79.38445207387373,A,B,-92.74828860920735,C,E,C,C,-92.6388204271273,E,29.42508252421389,69.77718288188728,1
No,No,13.967295601667729,192.26221121256032,D,191.61968240827906,C,C,-60.24424390838365,D,C,83.19994830631637,E,D,E,D,-58.418301856085655,C,36.710355868098866,134.5772854830485,1
No,Yes,-16.040520333481272,-125.74639246843053,C,41.39416125411297,B,C,12.49064482008753,B,A,21.30564577781971,C,A,C,D,-149.0069027451487,A,48.582094081163525,67.71449054827035,1
Veteran,No,-73.18540001665812,83.67733995387303,E,-98.48236586646857,E,D,-16.780003725757272,E,E,124.98787566225454,D,E,C,E,70.14478630203321,B,-94.78242761757036,186.21081018587148,0
Non-Veteran,Mental,108.9818648210971,-52.5390170710945,E,82.29903434345029,C,B,61.93129994985915,C,D,-17.569363024977793,A,B,B,E,109.78554583588691,A,-18.559601353154306,137.2578456348569,0
Non-Veteran,Yes,-14.656941534337639,168.42919699854838,E,-21.306117309033805,D,C,-81.963873001182,C,E,87.39938219788303,D,D,E,A,161.9481901489338,A,89.14478981541424,-52.681849112277455,0
Veteran,Mental,82.90883685320014,-68.18947847424359,E,157.24032330187848,B,A,-113.50305515537936,D,A,-127.82105549062337,B,B,E,B,161.44150319951333,A,-227.67618656360463,-71.83334664956791,1
No,Yes,-73.6881685374413,-96.89502993246958,E,-174.17282828725442,B,B,-210.69204049960217,B,D,-100.25249331281817,A,A,D,B,-7.8309470582810095,D,-196.25858793570913,-89.85182669639572,1
Yes,No,-47.24386157655323,22.76824898785176,B,-103.63607357993152,B,A,-5.375078771816195,E,B,-7.23753329965621,E,E,D,B,67.80551602382197,B,-38.563041555812646,-96.01322918784385,1
Veteran,Mental,-161.63819119107546,15.367078774293057,C,5.587960000183553,E,D,113.60173806455245,A,D,2.6738191308076127,B,B,C,A,111.9296842450754,E,206.21416389832697,71.17903445461914,0
Yes,No,-193.165393805924,174.6552299644986,C,-50.127729018845244,C,A,-199.58581461566672,C,D,-40.604038974876076,E,D,B,A,50.87567684049662,C,40.10351235051427,49.615400506457895,1
Yes,None,62.28252734705756,71.24535833636088,D,28.82831027269305,E,D,52.36005386677586,B,D,-41.97119954264906,D,C,B,E,17.48813931230657,C,-111.43699258049739,-90.10375137458207,0
Yes,Yes,-117.32241788186137,264.5323650476555,B,17.222868537882853,C,E,-134.91949858621658,C,E,247.13547920545048,D,B,A,E,93.9719221512388,D,21.47488141894412,31.7831932714813,0
Non-Veteran,None,18.298345742312424,-45.4730979446078,B,153.07649841090299,D,E,246.0870779880177,E,A,98.23883772657828,D,E,C,B,-169.68847814616262,C,-147.9337148495585,-90.65979334191643,1
Veteran,Yes,43.04060229610666,7.29597746390821,B,-106.80551772867177,E,C,155.10412406249299,C,D,147.98661024104976,D,D,A,A,348.8288797456118,B,145.6237055647916,-128.6874925885067,1
Non-Veteran,No,-83.68709253400422,-65.7897076390379,B,-144.02095317184057,D,A,71.71121295980527,C,D,-48.93576200718673,D,C,C,C,56.110315073135,C,-49.39737443636043,16.01074290379028,1
Yes,No,64.90943075189772,19.374845981091994,A,156.1472556922041,C,C,-27.928467339135583,D,A,-167.17547001743435,B,E,E,B,-13.516482078597662,A,41.1748355913803,96.45379904545253,1
Veteran,No,17.80303909179092,-57.77616449436741,B,64.40982484533927,E,D,-57.23217308766883,B,E,80.33201958592905,E,E,A,A,-29.82734580458544,C,179.68580572417363,-1.2543370047093694,1
Yes,Both,19.60932278246036,212.79084429092623,C,63.97116027941374,A,C,-86.91657340828353,A,A,38.56349090539519,D,A,E,C,-120.39648691602851,A,-32.426964993022466,147.9425952087456,1
Yes,Yes,-3.0508196300513193,71.55284438371137,B,30.038273768401037,E,D,86.1846571425493,A,B,-1.926762455523161,E,B,C,A,-77.23398235644372,B,97.1812459978773,122.07458939398703,1
Yes,No,-18.82955888346974,210.52469216296566,E,93.16696072391,C,C,79.73861425510613,C,D,-31.39056581354744,A,B,E,E,16.705665544818523,C,-39.00985927370363,119.29607877651,1
No,Mental,16.103560226218324,39.05496290781923,B,-96.26800984368799,E,D,64.24802803542097,A,A,-343.25676768858636,E,E,D,C,-113.5976903633648,A,70.98590278168143,-28.044996159288054,0
No,Physical,-90.96786166083768,88.05850701498844,D,-125.23752666877441,A,E,194.7477066205803,E,D,53.2817908075865,B,B,D,D,60.27967894045085,C,-277.8467222915134,-58.23685995478416,1
Yes,No,-16.522422234630245,31.163969674070778,E,-81.44831467141543,B,A,99.48280447149617,B,B,25.462614556027834,B,C,E,E,-67.89724106506938,E,11.724626788076495,-92.1234486871993,0
Veteran,No,69.31672333109769,167.19750767616466,C,189.76073522349358,D,D,-107.55739477447959,B,E,-92.97040590001765,D,C,B,B,87.45579514925585,A,-18.681637830621284,55.920663561346075,0
Yes,Yes,12.685292027837203,-36.64243599187718,D,-92.85970771584667,B,A,-145.18143412892454,A,D,108.95352629590317,C,A,D,D,-47.84818517830844,E,50.59040950947894,150.6261153680951,0
Non-Veteran,Physical,110.06994342559602,-27.165500533858744,E,219.94709725084243,C,E,-77.06421073158181,E,B,183.49412695498063,B,A,E,D,-16.82350387023181,D,-79.34973557495948,-76.16228515760477,0
Yes,Physical,23.023132893525812,-195.9197350016601,E,-49.501131235458914,E,E,-89.15310612220584,D,B,-111.32747253365214,A,B,D,B,-43.35387375350385,E,-58.993804247381185,57.17612013687582,0
Non-Veteran,No,113.30159063552252,105.28199408668164,D,-38.74184689225629,A,E,-1.556240986528985,B,B,-60.53343240750284,A,A,A,B,29.120317318389187,E,-33.58981520498368,102.24719545631113,0
Non-Veteran,Physical,-26.927282529756237,189.4839484020926,D,-73.57326050984236,D,A,98.13365231437868,E,A,-65.61116313763044,E,E,E,E,59.25058200216687,C,-108.36666444527991,34.40318679654146,1
No,Yes,-212.44049194610017,-212.8226279256876,B,18.13390864784481,A,E,-106.28409036998157,A,D,53.08133225701606,E,C,B,B,-144.88920482084953,E,61.278096620449965,-80.63328140542075,1
Veteran,Mental,87.32030390536232,-39.308030881183186,C,-59.41470764632826,C,C,-20.15656376556081,C,C,100.01791999427054,E,B,D,D,42.12360911939517,E,-91.345710725168,-45.673430327116385,0
No,Yes,-131.6352064214803,-52.99330806858815,C,89.4206246248168,A,E,29.6083232118114,B,B,88.82967209025723,C,D,C,C,-18.250455030696397,B,71.56802051112086,75.9313483519366,1
No,Both,-7.444292570015428,-53.11492551394173,A,401.38690338915507,C,B,-10.884295568092009,D,E,-33.13103657604069,E,E,E,B,-88.09515504961837,C,21.488610098893552,212.85482359461363,0
Yes,Yes,56.29200824143506,-21.493178926742438,C,-55.839107907496256,C,C,-3.4125463607069535,E,A,22.880531756144475,E,B,C,B,143.54589566709924,A,28.633393461284072,-66.12458562830342,0
No,Both,19.844954386450606,47.364499302153995,D,-25.647265194540513,A,D,-25.421346329275156,E,E,-163.17775000879635,A,A,E,B,-217.94770720008648,B,-92.73879560859257,-105.7358179542788,0
Non-Veteran,None,19.30913964595335,-90.68774125874373,E,-42.948873366681475,D,A,76.52979798613887,C,D,-20.149287159460773,B,B,A,A,40.92856806375264,B,-116.38515408747934,43.99511626919436,1
Yes,Yes,-34.28736884778614,-117.08837336793529,C,65.97321294053577,B,C,38.210229840567905,E,C,59.76221282707238,B,A,C,E,88.02427920437799,B,192.56813268459132,115.4019841741429,0
Veteran,Mental,-135.07962521497043,123.77701842688072,A,-8.284134072062963,E,D,-153.15659632654678,C,C,178.76768324944857,D,E,B,E,-29.745900829562455,C,-116.55725997163336,152.5558530141235,1
Yes,Mental,-74.62464063569861,-1.936158901809254,C,-11.182079958757168,E,A,-141.33057994916072,E,D,35.58367869021721,A,D,E,D,-166.9678136207811,C,164.26438303484866,100.14639018380345,0
