Gender,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Non-binary,26-35,Hindu,C,-42.14690950805552,C,B,-5.73535954737289,-107.76424256829227,B,D,B,187.2529342377957,C,82.74064743534075,0
F,36-50,Buddhist,C,-241.03423715777953,D,E,-103.31596121223143,-117.05680294096447,E,B,E,-87.043118538188,B,-87.54039221289803,1
Other,51-65,Buddhist,A,-197.15767532466867,C,C,-24.57860436397855,-73.50134214425728,A,E,A,53.07705844579007,A,86.07741069077052,0
F,51-65,Buddhist,E,-20.66078539734823,A,E,-130.00831960859182,-35.02849662076145,C,C,D,-53.944073169139116,D,-3.445244885882373,1
Female,36-50,Jewish,C,21.81340874173597,B,E,71.40600629797412,-17.634611763988463,B,D,D,-52.43775945564101,B,51.73031806462768,1
F,65+,None,A,-30.484616161859236,E,D,74.17179021914114,11.762639736396837,D,D,C,53.30555370373384,B,183.5468267165607,0
Male,51-65,Christian,C,-22.83481520761622,C,D,-179.26753713548393,-90.36285336917899,D,E,E,-29.915227281997158,D,-115.11399905841246,1
Other,36-50,Hindu,B,-56.9511835590339,D,C,-96.15175506525817,-66.40030072900723,B,D,A,-20.956536046932303,D,-179.97660734728063,1
M,18-25,Buddhist,E,-91.79193125180836,C,E,1.1327378739673033,-135.58473823787156,A,A,B,52.55148797857956,E,13.186346729489685,0
Female,26-35,Christian,E,-59.31824079307789,B,B,51.24541411264952,-50.757613837415896,D,C,D,-87.15491830353189,E,0.12099961979683665,0
F,18-25,None,B,39.449300141456376,C,C,-84.64724452132506,-98.36096391543717,D,B,C,-60.475997826869666,E,10.094629012845669,1
M,36-50,None,B,-103.11232157184298,A,C,33.67539155351323,-56.83550511708627,A,E,A,-56.871517105040084,A,35.20439660587645,0
F,18-25,Other,D,-54.097167067030625,E,C,-41.97309986608446,78.07659742332488,D,D,B,-22.140137242245732,D,-115.48861272797843,0
Other,65+,Muslim,C,-64.16653670565913,B,E,-5.907086014193477,-174.91180919767876,A,C,E,-101.57912840507154,A,13.862233159806529,1
Female,51-65,Muslim,E,-95.08690709438314,B,E,19.184863855609663,238.50512604968122,C,E,D,85.90213730823496,B,117.09080354765126,1
Male,65+,Christian,D,73.73518530489008,A,D,-45.08001663976998,196.804026221363,B,B,C,-13.995960014573988,D,-100.04707922374743,0
Other,36-50,Muslim,C,-96.47779723710329,B,A,-158.80994421289432,28.215843963525444,C,C,C,4.48646436639735,E,229.00352243028746,1
F,51-65,None,A,-2.245849091180857,E,B,118.50318340003747,-43.167669078961005,D,A,E,64.9469810919989,C,-40.205492440802075,0
M,26-35,Buddhist,B,-128.39445806010255,E,A,68.74159813525263,-10.380756937915065,D,C,E,15.566385971087515,E,-123.80509620331179,0
M,26-35,Buddhist,B,77.50361057817243,E,A,-155.35921858704273,-52.08558596774379,E,E,E,-188.5794030748635,B,15.631377224602794,1
Other,51-65,Buddhist,C,147.0554008669758,D,E,-112.25200055516524,-72.57690875633223,A,B,E,-56.78561544262774,C,-15.296030226658702,1
Female,36-50,Muslim,B,3.92401425122371,B,C,100.55238489351797,-160.75928609894203,D,C,A,124.65824264055844,E,69.81812907459768,1
Other,18-25,Jewish,D,33.38754848453799,A,A,-56.10740627579249,-41.03629986994071,B,A,B,58.51812921303542,D,19.670004011558714,0
M,65+,None,D,13.242373456755436,D,A,61.757468540726066,-25.732698718874403,A,E,C,38.43333848078112,E,100.10391634886153,0
Non-binary,18-25,Christian,B,-36.08638577552204,E,D,-13.13665288373901,206.41980337312344,D,D,E,-140.90167383535598,D,119.45809721670655,1
Other,51-65,Buddhist,C,63.692683933443625,E,D,26.023821037746565,-78.84896874272111,B,B,C,126.61614045793239,B,-130.5327367640927,1
F,65+,None,A,-143.46518315794333,C,C,-54.90350721732551,85.7852056201249,C,C,B,-113.34629530325621,D,116.09248993955691,1
F,26-35,Jewish,A,-29.786952807359217,E,D,26.282771865931437,-37.48215804654282,E,E,D,93.80516818726767,B,-19.666267299144277,0
Female,26-35,Muslim,D,99.01813563011824,E,B,-161.74504842664155,-40.611632198932234,C,B,A,59.92735069439807,C,-98.18931878526564,1
Non-binary,36-50,Hindu,B,86.76018778668141,E,E,-5.461225001537393,-141.05067933271593,D,A,A,86.84292519229211,A,4.825639207851074,0
Non-binary,51-65,Other,A,214.07565042122135,A,E,-51.3389727759676,145.21061472181754,D,B,B,168.67958007048406,B,79.92516870409744,0
Female,65+,None,E,51.82455291840641,A,B,152.33686089388286,-4.759552297155305,A,C,E,-129.4138591409608,A,-153.62936240501728,0
Other,18-25,None,E,-50.015657464124175,A,B,4.415683848280196,21.844762630785596,C,A,A,101.40339743692985,B,7.861275497306014,1
Other,65+,Other,C,55.80551038998524,B,C,39.695518926738046,81.53798117566248,C,A,B,6.574739258253367,C,8.068260065977155,0
F,26-35,Other,E,78.14254891832952,E,C,25.410214799501368,-43.602795089628984,C,D,A,156.25844686207336,B,248.66341182563986,0
M,51-65,Jewish,B,-172.1076049357962,C,B,-29.831374856138115,63.2477880385796,B,C,B,-59.602388704418,A,58.000631723237525,1
F,51-65,Muslim,A,108.48933033398376,C,C,-80.1622841040572,-97.41622542071924,D,D,C,-29.97688526354148,A,104.2437367204802,1
Female,36-50,Christian,B,-77.37842105050488,D,E,-76.0978092714845,-129.94304382011015,A,D,B,-59.44370746350363,A,71.71847640984353,0
Non-binary,51-65,Hindu,B,40.07225182677358,C,D,-75.04678915867542,-44.59483303590407,C,D,B,-17.49991936904537,E,-21.162896802287268,0
F,65+,Other,E,58.04298743952189,C,B,-74.7667464721409,-43.53738587382232,A,D,C,-126.73211616203287,C,-220.04312616165734,0
Female,36-50,Jewish,C,-64.53235398955593,A,C,3.887800680119269,84.33012333774087,D,E,B,41.906268777971576,C,-60.957677598282935,1
Non-binary,26-35,Other,C,-55.724462064938606,A,D,-19.565269451209844,90.59253699908446,A,C,E,-42.56193833059469,E,-74.88137119427589,0
Other,36-50,Other,D,97.79339541866263,B,B,33.20687193754154,4.511247373807104,A,E,A,121.52686819945787,C,207.76137361521188,0
Non-binary,36-50,Hindu,B,-7.373857308421505,B,C,95.43184052183513,84.9382343238584,E,A,C,29.641515121968133,A,-178.90953742133593,1
Other,65+,Jewish,A,67.48490774657249,E,B,59.378389036540966,106.85540188772428,C,E,B,-59.099114814458474,A,135.72909684244394,1
Female,26-35,Jewish,B,136.28310587161786,B,D,-11.030608427673192,-88.90544596403427,D,D,E,62.536915800142786,E,-12.781039103975944,1
M,26-35,Muslim,D,72.04599380558298,C,E,133.80574061873185,-7.43037427948521,B,A,C,61.23431402171102,A,-92.08043363242845,0
Non-binary,18-25,Buddhist,C,49.00883682384778,A,E,18.385022908864432,-94.50667901340725,A,A,E,124.08377956112591,B,-48.49159610411945,0
M,26-35,None,C,6.534125470445559,D,A,82.1046972446639,165.5365663523613,B,B,B,44.100736846354586,A,55.17160810108944,1
F,36-50,Buddhist,D,-51.69206467320283,C,A,29.358049842375998,8.417290072535563,B,C,E,9.72623976197851,A,75.97003353041481,1
F,36-50,None,A,-120.35580114841751,E,C,-13.311007489485533,-161.3316313293223,B,B,E,-112.39423479673825,B,24.67752300353912,1
M,26-35,None,B,-55.40163287411259,B,D,118.54476613428659,13.471312265421084,A,A,B,-66.74381683693304,C,-0.8093397777435001,1
M,51-65,None,C,87.35671233111691,A,E,-0.02921545599385683,-148.47962122275206,A,A,A,17.182672708054202,D,-30.14470551920066,0
M,26-35,Jewish,A,12.957415658254353,D,A,23.025051361717257,-54.55369690184868,B,A,C,208.73010626121277,C,-28.797356601407564,1
Other,26-35,Other,C,73.17078010620463,E,C,-62.525111596757576,37.13393560011598,E,A,D,105.42989007299339,D,79.45778167270143,0
M,51-65,None,E,-31.43590598783102,C,E,-99.04209545988763,-105.80548209462557,E,E,E,20.36761133656934,A,-210.44295477201516,1
Male,51-65,None,B,201.45267916060482,B,D,30.229002091294387,100.31700202109724,B,C,B,-71.79998530092273,D,104.23846266037005,0
Male,36-50,Other,E,137.2018220828038,C,C,45.556292224922636,-61.54333501960989,A,E,C,114.82714794068758,B,20.976102556361074,0
Male,51-65,Buddhist,D,103.35354919959879,A,B,-213.42752865305806,-121.83898877406286,D,C,A,169.10772015660902,B,-141.04524685774467,1
F,65+,Jewish,E,99.98044774609014,E,A,-69.72297111844334,166.1582999923281,A,D,B,38.0904790657501,B,35.541874959076324,0
F,65+,None,A,40.223184234414084,D,D,-186.80303919365093,18.147749239133194,C,E,C,-144.80696524741512,A,-15.08702507495804,0
Non-binary,26-35,Hindu,D,126.72285455414769,E,C,35.36244376518269,-146.69798236633426,B,C,A,48.569011306795105,A,36.88727833454011,0
Female,36-50,Jewish,D,108.13559568201092,C,D,55.04309304651797,-76.43885499798593,E,B,A,45.64035579081743,C,-112.24018140239285,0
Other,18-25,Hindu,B,-52.50595465178495,E,E,21.968486325788046,-201.0602702759139,E,E,C,-95.34838041530216,A,-163.32594772044376,1
M,26-35,None,A,68.69408506459173,C,B,70.23994666042806,-34.07408075293647,C,A,A,-20.57183065101708,B,106.629029219548,0
Non-binary,51-65,Jewish,C,161.78292782747042,E,C,-83.3380802409387,-118.43791052937571,E,C,C,-41.67149427257254,B,-83.23864931251089,1
M,18-25,Christian,E,88.91872643464748,C,E,5.5464466407085125,42.62284737992964,C,C,D,37.644598556526006,C,-100.19146664534534,1
Female,65+,Christian,A,32.97935917724279,E,B,-20.31954055804767,-16.18028672113072,C,A,A,-1.7331290360792617,D,25.779083526959635,0
Female,26-35,Buddhist,B,94.11754329665422,C,B,-62.71301193262846,195.49447514344934,A,C,D,-241.3619310625977,A,-65.62495414169076,0
Female,18-25,None,E,-92.3001028793649,D,B,84.99936226005566,30.710530637133683,B,B,B,-40.676341087595794,D,-26.229830236921565,0
Other,18-25,Muslim,B,-48.70158590865651,E,D,62.91125170231776,-59.51356853360794,B,E,C,9.357249845828026,E,-111.84989152614779,1
Male,36-50,Buddhist,E,234.5367615883069,E,E,-33.192458660176605,-68.17700752581763,D,A,D,84.11845767537308,B,118.04672192089016,1
Female,18-25,Buddhist,D,12.770127818970838,D,D,-16.883033419423356,23.964685210881996,B,E,E,84.38171135147958,E,-162.10634455606802,0
Other,65+,Buddhist,D,-85.14297671716233,D,A,123.53420386786725,105.59601138681201,B,C,A,-94.44472626786875,D,104.35560629204932,0
F,26-35,Hindu,B,34.50256340425941,A,B,5.553129471012495,-35.04614541488772,C,A,E,-188.6112279805307,A,25.39800091387799,1
M,65+,None,C,-128.2902324176159,C,D,134.40708800251113,-56.62297832360004,D,E,E,70.31120808135387,D,-117.86578742156912,1
F,65+,Hindu,D,-21.23349751178861,A,D,-94.84935607279716,22.697388055954203,D,B,D,-64.49926840074495,D,-32.849291747948364,1
M,18-25,Hindu,C,22.040415408689935,E,C,-32.1924935212731,-90.46485095459184,D,E,E,-46.243539878034994,A,-204.20658641100337,0
F,18-25,Muslim,A,-160.86606552616865,E,B,-202.80529119607112,-39.65878312369103,E,B,A,43.066839771110565,C,-105.50687754252029,0
M,51-65,Other,E,3.4151039185108445,D,A,115.26180746134706,56.43983028553866,A,A,C,13.902186447337666,D,198.3353961728984,1
Other,36-50,Jewish,A,-98.83991676406426,B,D,-273.04049292162034,-10.534857553550218,E,A,C,-14.00739480914993,D,92.96517795273029,0
F,36-50,None,A,47.359810643974804,C,B,-20.993907962198584,36.18942504665458,C,C,D,38.03009339566334,C,-93.80825588434661,0
Female,65+,Jewish,D,186.5954601835964,B,B,217.6534650798492,69.7198295474219,B,D,C,201.09585642998545,B,27.91233922691386,0
Male,36-50,Other,B,-124.621126508567,C,B,18.93936369238344,16.6730831320851,E,D,D,-76.73417733987394,C,-138.55678722361822,0
M,51-65,None,B,156.30398554960706,E,C,34.527087530772334,-90.43614708139886,A,C,A,-173.63228957077246,C,-20.971925047999097,0
Other,65+,Other,E,-34.47375957459713,A,C,32.0528345642205,108.36021675606398,E,D,E,33.12353654769576,E,-32.8796572149833,1
M,36-50,Hindu,E,104.490601202668,D,E,-1.6059480138785398,-217.35798501952667,E,B,C,-160.8788933588667,B,-47.181280192617045,1
Female,36-50,Buddhist,E,35.959274136709205,B,B,159.52196793027673,-69.59678797978177,E,C,E,-69.3745694681701,D,16.573517987908346,0
F,36-50,Hindu,E,-242.24003731574868,A,D,81.43458318840754,16.92710048542481,A,B,C,41.39180622164332,A,-138.8799307363509,1
Non-binary,26-35,Christian,C,-113.20326226042323,A,D,-26.82890665331002,161.14299186798476,D,C,E,69.4112196596218,A,12.401778443421405,0
Female,51-65,Jewish,A,81.78902120166447,C,E,10.425274353695722,-32.29648809729863,A,B,A,3.1507642105361984,C,169.71705505652614,1
M,18-25,Other,C,1.0272391649354333,D,C,-81.79841494880887,44.02711938815891,A,D,A,26.89233077122124,E,-29.35711118669067,1
M,36-50,Buddhist,D,-168.86284913213998,C,A,-15.843980117289538,2.4749184005001292,B,C,B,-80.68755569620872,D,26.077384772402358,1
Other,36-50,Buddhist,D,12.330012973662786,D,B,56.23952654196786,48.13602258103247,C,C,D,-22.86293176301326,C,-16.65641803299696,1
F,26-35,Jewish,E,-99.01528025770511,E,D,49.47607286617323,106.72668389156676,E,A,C,116.21112766690248,E,139.3217305826698,0
Male,51-65,Hindu,B,-64.40448650216975,D,B,123.94298815902883,82.44793366994921,C,E,A,-10.017424747674458,C,79.07562030781034,0
Female,36-50,Muslim,E,-83.07902988918266,C,D,47.41580268634687,176.15574085561562,A,D,D,-8.829758494069692,B,-58.88198549110015,1
Male,36-50,Muslim,B,-181.75810533746346,B,D,167.21061490560228,97.90401165847553,C,A,C,-164.29644133216115,D,85.0340477096256,1
Non-binary,18-25,Hindu,C,84.35158502007431,A,A,2.6445448421786137,-1.7820072669182514,D,B,A,-125.77819166238318,B,19.936722699881667,0
F,36-50,Muslim,A,46.878152415534544,A,B,5.990016504021524,-4.536524716060129,A,E,D,-129.32205856771716,D,-13.275054483667656,0
Female,51-65,Jewish,E,-77.29457349479543,E,C,-1.2020268308990656,-11.700993543392453,D,B,B,-140.70528951180833,B,65.63772486180504,1
Female,18-25,None,B,76.34629265266294,D,B,165.77863543489525,101.45116253651165,C,D,D,-100.42547014439383,D,-9.769416423469906,1
M,36-50,Other,D,12.319926466112635,A,B,-91.59575105461403,-39.83982617734004,A,B,A,-63.18124021055536,C,51.03524439403182,1
Non-binary,26-35,Buddhist,E,135.22296921493069,C,D,193.45285451091686,-150.33139563286386,C,B,B,-15.628948839529688,A,-5.119225687393095,0
Male,65+,Buddhist,D,-58.97094530068239,A,B,-155.63816848005828,15.60908310461106,E,E,C,74.23382420077385,C,113.55299918341919,0
Female,18-25,Other,B,108.12781129568528,C,A,49.22578909414595,-67.69245730346438,E,E,E,-83.50730272765614,A,-71.7981608063738,1
Other,65+,Other,A,-41.12445199662441,D,A,79.3232240412002,5.827498175145864,C,B,A,235.05417949491934,C,23.612673763239407,1
F,18-25,Hindu,D,86.60551273696771,C,A,-130.61525095014494,14.62954213690837,D,D,D,26.876803162470082,D,22.140386131748404,1
Male,26-35,Muslim,B,205.68944805038436,C,C,-123.68358345142482,8.731555890746955,D,B,E,37.30909946483998,D,172.29112315573866,1
Female,36-50,Christian,C,-97.02984175768846,C,C,-69.83916571604169,110.69447227413345,A,A,C,181.49359277463307,D,96.88201468648127,1
Female,51-65,Hindu,D,-61.15284730965374,D,B,4.343637887300159,-64.28545180650485,D,C,C,56.7818221341067,C,50.77625538595419,1
Other,65+,Muslim,E,65.56075495418196,E,D,-230.15038777365712,-21.619461588385843,E,B,B,-106.30908636219552,C,138.54088177453468,0
M,26-35,Buddhist,A,-137.76100744265162,A,D,-111.27813816364862,-51.53041515203856,E,C,D,-195.2220461198459,D,84.24033218291083,1
Female,36-50,Hindu,C,222.97521366670128,C,E,-30.420842205703053,105.07106218123923,E,E,C,85.39965657223507,C,-62.063531313949795,0
Female,18-25,Christian,A,53.0499295152956,D,D,139.82067307918032,35.27678923114604,C,A,E,-75.8067435746371,C,-155.85987346897102,0
Male,36-50,Jewish,A,93.97233877322435,A,C,107.61886245620633,105.08077778940223,D,D,C,-40.711061438654134,E,89.64137870456497,0
Female,26-35,Muslim,D,30.93392416440604,C,E,37.14473809264663,88.455053595115,D,B,A,96.73186423409422,D,44.615393943496905,0
Male,65+,None,A,46.76987548364529,E,B,-60.09061184745783,-76.86516235935042,A,B,C,11.010727975072692,B,95.82745497269143,0
F,36-50,Buddhist,A,42.07159413004634,A,B,13.599264547455157,164.42712669544665,E,C,E,-104.6061465215688,C,-30.1276003141298,0
Female,51-65,Christian,C,-47.10053462914263,C,D,54.96227509928055,26.895013003974228,D,D,D,57.11540244016793,D,-184.03917035767,0
F,65+,None,E,-25.41793592714904,C,E,-42.89538454800982,-33.11311064374548,C,B,A,-34.09186057582531,A,43.55517671368126,1
Other,36-50,Other,D,-11.205947755235892,C,D,-133.15924089997304,225.95410445860392,B,D,D,-47.90830884113849,C,93.32974552825779,0
Non-binary,26-35,Jewish,B,116.65093337520437,D,D,206.94158609948863,72.59393859088107,B,B,B,39.86478641994219,A,-153.41296134690117,1
F,65+,None,A,93.61409688925539,C,E,-160.5102645192308,-3.712047721202975,E,A,A,198.87335276259287,E,114.8024179676425,0
F,18-25,Other,E,-109.93312836067311,A,B,22.563630646620002,-68.78416365998457,B,C,D,202.45109257952788,E,-38.870867914392825,0
Male,65+,Buddhist,D,-46.574990527094954,E,A,74.93894477710712,-197.521770423649,E,C,E,-135.01379314553728,D,-46.773170108705195,1
Other,51-65,Buddhist,B,-36.792362255243034,D,A,-15.501695155633602,41.27822164007803,C,D,E,18.4478478092829,E,2.9754835977029255,0
Other,36-50,Hindu,A,97.93917838077037,D,B,89.45265713446379,23.38390660078588,A,A,E,-0.13248658279193312,E,11.671893196524238,1
Male,26-35,Muslim,A,-127.02774030824997,E,B,-55.27168979583548,13.317730005084055,C,E,C,-24.616461655714765,E,-123.39769979436011,1
F,18-25,Jewish,B,-141.71886756298164,C,B,110.31007484441446,87.10500703032793,C,A,B,-119.163933655486,B,87.36825763941758,0
F,26-35,Hindu,C,165.64980271854395,D,D,132.32825066210984,9.065471671202092,A,E,B,98.02792917359018,D,-11.078669998250975,0
F,51-65,Hindu,D,85.7695341134116,C,C,-8.671983035055565,18.649368526317495,D,D,A,-5.375499542680392,B,66.30392119001772,0
M,65+,Christian,D,99.94020028574425,D,C,-178.50981658181558,-237.1894710470562,C,C,E,4.779337927900096,C,28.236569381718507,0
Non-binary,18-25,Other,B,140.36200511342304,C,A,68.33172281089698,140.486110136278,A,B,E,30.321744323439503,E,34.699917701452335,0
Female,36-50,Buddhist,B,36.83694387601221,D,B,-66.9471253342379,-272.74433904058,D,C,C,-4.330775746865989,E,-75.71442520411865,1
Other,65+,Buddhist,A,106.2610899464006,C,A,124.43328131083457,103.31931826188334,B,C,C,8.22001962389905,A,-144.19888545723026,0
Other,51-65,Muslim,A,-163.25097477323547,C,A,-45.30271279434519,-11.917833871610984,D,C,D,-36.65577856085609,C,66.58452891765366,0
F,65+,Hindu,C,-45.20633002045521,C,A,95.50700318578976,-35.90650299581259,D,B,A,80.5106098927689,D,111.69087898043696,0
Male,26-35,Jewish,E,-75.66197585682029,C,D,-200.03185666421675,121.67612893520503,E,E,D,-31.486652845346885,D,-49.21785013585978,1
F,65+,Buddhist,D,-7.149251785394382,C,B,43.41750932416906,44.303104754018705,C,B,E,-147.61095116751025,D,-12.44223684319349,0
Male,26-35,Buddhist,D,-108.36789628302694,B,C,51.39443008605424,127.0701155534246,A,C,D,-51.3748539109682,C,8.54040733068756,0
Other,26-35,Muslim,B,19.072516266893032,D,A,129.34945213496113,113.81997022648542,B,A,E,-23.10123150113909,A,87.18519210837937,0
M,65+,Jewish,D,-9.350155251412462,C,B,-50.69969551167053,-59.227270083177515,B,D,E,-19.176895588628426,D,3.685132108356591,0
F,36-50,Jewish,E,117.57253251918016,C,D,59.64464455021204,82.90849842586525,E,A,B,90.97686973218035,D,-134.36890200065486,1
M,26-35,Jewish,C,95.75596012584484,D,B,-14.44620151049702,78.93662736950702,C,D,B,-34.914987812449624,D,39.080041431058056,0
Non-binary,65+,Muslim,B,-139.74487928632647,C,B,49.9989039998743,16.583486410700143,D,E,A,11.674109015135608,C,11.846461537813228,0
Female,51-65,Hindu,C,320.7258536798299,E,A,102.14047960142479,204.3992367318349,A,A,A,-174.14204645891803,B,104.84860595018391,1
Female,51-65,Buddhist,A,-93.435496915626,D,D,13.666401281497102,-56.34571019818667,C,D,D,38.59979417082122,B,-106.65052302660607,0
F,18-25,None,B,-2.307588561565406,D,A,-179.13392047587766,51.836556542145296,E,C,A,-84.03931783584046,D,6.2670879937561415,0
Female,65+,None,B,-79.44363816748714,D,A,-19.154009788476735,18.36398899715452,C,D,E,-9.549089992224271,E,-45.52529538129347,1
M,26-35,Jewish,C,47.680764565234014,C,C,-49.3541866490521,67.96970073235366,E,C,D,15.990424004609041,B,12.979866428448805,0
Male,36-50,Hindu,C,22.822779988575075,B,A,-57.534514912066705,-29.459849747149924,C,A,D,99.85480761551067,A,-98.12652000898564,1
Female,36-50,Buddhist,C,10.678507643290915,C,C,59.26420536547865,-5.174056771619204,A,A,B,-100.56673589464098,D,-14.907953368089021,0
Female,65+,Other,B,-1.3275079192001658,C,C,154.77653759723674,97.09961029173311,A,D,E,36.98058319497516,E,-169.9507964046085,0
F,65+,Christian,B,7.158166451888367,D,A,-23.477883386459542,142.4676673337624,D,B,E,128.06779471695936,B,-9.40585208686659,0
F,65+,Other,E,21.06965892290679,C,B,-66.83552774613662,-35.502584496651075,E,D,B,-46.43854754603199,E,116.52577358421293,1
Other,65+,Other,D,-45.78294258185818,D,D,196.31106634405313,52.61475543131701,B,B,A,-121.55039712490637,B,80.61723047509484,1
Female,51-65,Jewish,B,-39.815022010317556,C,C,106.27509884123528,57.39170855160722,E,C,A,-18.3695919537411,D,-180.76340275448115,0
F,18-25,Hindu,B,-66.79217453225237,B,B,38.433752451745455,-68.56223042727919,B,D,E,33.35539690621401,A,105.158919539819,0
Female,36-50,Buddhist,C,13.452281877013556,B,E,-126.40411783206547,-109.5963902399252,B,A,E,6.621325638458724,C,-11.091718611478422,0
M,26-35,Christian,C,-44.59198745174048,C,D,-43.59639997302019,-29.867563402205004,A,A,A,32.68123777928754,C,94.16704496732358,0
F,26-35,Other,A,-7.808445959859907,B,D,-26.400192978048825,-140.0648535293234,A,A,C,41.9191318435708,E,-96.02312719455105,0
M,65+,Hindu,C,-162.29395900310206,C,C,90.1754207460538,-25.61122471775814,A,E,B,89.19305735399394,E,171.1464417498005,1
M,18-25,Muslim,D,26.96810007816207,E,A,160.40790332676062,-100.6416310120565,E,B,D,-58.47637313425247,C,162.48412115320886,0
Other,36-50,Muslim,E,-138.97790986579756,B,B,-50.17396846962843,-21.49304045906645,D,A,B,6.355577678539197,B,-4.10645119004509,0
Male,36-50,None,D,31.978213288460182,B,E,139.6700510199742,130.24362136108928,B,C,E,6.074503712950227,D,-124.60541150398686,1
Male,18-25,Muslim,C,-22.198812994853906,A,E,173.80341557593283,-58.49897086728323,E,B,D,83.70369927644182,A,-28.70648787555714,0
