faith,Disability,age_range,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Other,Mental,65+,M,D,E,A,E,30.59990612723803,16.118029680570693,-124.60540205384572,18.191623008089955,-171.6771280243387,E,-82.32823458268695,D,1
Muslim,Yes,26-35,Male,D,E,B,E,-203.09972167487268,83.91575844471541,0.7826728923491775,-11.55847919857756,13.89069356628741,C,-54.4201603492732,B,1
Hindu,Mental,18-25,F,A,C,E,A,-25.78460999046609,-17.328793857167536,-163.796608144481,-90.20076177008839,75.74979173712966,C,25.40128185277438,E,1
Hindu,No,65+,Male,D,A,A,D,50.62289509559118,254.98458319528297,-73.54333008804012,47.78965682319388,109.82982965833847,A,-71.8465286591541,A,0
None,Physical,36-50,M,D,C,C,E,-90.60662838539285,65.98418135877621,210.9395343310411,23.174772286456818,54.19008025436028,B,55.20593249401976,D,0
Buddhist,None,18-25,F,B,D,E,A,194.22940001931693,80.14504376392851,50.43120641734017,63.84392918368148,-133.0874038006903,C,-101.34633776629332,A,1
None,Mental,36-50,M,C,E,D,D,-99.10588629235473,-59.854471218290364,122.93834937309276,149.47261418632806,29.608879515209235,A,-117.46716173491262,D,0
None,Physical,26-35,Female,B,C,C,C,-104.36465864695113,75.05893775321864,121.84039813384109,21.346126581694737,-197.63968345589032,C,-85.02912092663705,D,1
None,Physical,65+,F,D,A,E,D,38.527363104750236,61.83555905995124,0.9735279054174725,-50.403207743607005,34.64383714979921,C,-146.20735639255767,E,0
Buddhist,Physical,65+,F,D,A,C,E,-37.3172802388069,-88.89269699728419,158.81295384274458,51.5085098757214,-20.90923939901219,C,58.9996038279356,E,1
Other,Both,26-35,Male,B,C,C,E,131.31899833100437,-93.58756074964359,-49.863444924808235,38.25301547454553,-34.71709594279328,E,18.050266015840613,E,1
Jewish,Both,51-65,F,E,B,A,A,35.26815923818795,-55.50973516002764,7.044700456911701,3.7745765665463495,-36.48233836127107,A,56.5362181278243,B,1
Buddhist,None,18-25,Non-binary,D,A,A,B,49.07258956331499,69.22240479442175,84.66237492780422,-2.0978608998431323,-2.284343489131781,D,87.66248657978927,E,0
Jewish,Both,18-25,Non-binary,E,E,A,B,-75.0564026948978,20.52827202281042,-93.13097348163753,157.4753064532053,-11.368129166232235,E,-101.06245961256832,E,0
Jewish,Mental,65+,F,E,C,A,B,-19.58081800901285,-29.603468738482746,-134.50841765405798,-119.26903437129451,-61.6248735880629,D,24.06959527258521,B,0
Other,No,36-50,Non-binary,C,D,B,A,-108.24540133030003,64.10617967700155,23.70949281797358,-22.09414204373605,-53.38421289073754,E,-154.7818959487981,A,1
Buddhist,Physical,18-25,Non-binary,B,E,D,C,-36.72112256153085,218.38027932392623,-36.972951737914265,134.1173731995308,-83.71639982672914,D,94.95533088837381,D,1
Christian,Yes,51-65,M,B,E,A,C,-97.22666780448117,-42.94065083072978,-48.143015752044015,26.675554121134056,-65.54250518899214,A,-98.51910951839498,E,0
None,Yes,65+,F,A,C,E,D,-8.005444929114653,-27.118356715461715,34.49277097834752,29.301082758581632,-23.94012441131494,A,11.23165015709299,D,1
Muslim,Physical,65+,Female,B,E,A,C,-150.17447492918797,40.94861524509177,125.89380718415832,81.11016191292374,137.9980031995738,E,57.98650557884398,D,1
Christian,Both,36-50,Male,C,A,D,A,67.06879283468416,64.11369027592724,-135.1960582458113,141.02857240662223,96.41778228283421,A,-66.42617416898652,E,0
Buddhist,None,36-50,Male,C,C,D,E,13.996043510325668,-3.148951232204826,-86.0664723843998,64.8259206779983,36.195655224522746,E,-133.80259185622322,D,1
Other,None,65+,M,B,D,E,A,-140.04526359698517,18.17710584570349,7.765767597031115,15.67495013549191,12.57848717772099,C,92.6993633732755,B,1
Other,Mental,51-65,Male,C,A,D,E,-5.195058324471056,-135.2148564928408,91.36792401232756,-107.6750944198251,132.7295442359349,C,114.20933629757522,D,1
Jewish,Mental,18-25,Other,C,B,D,B,156.16738762051622,45.831793668494406,314.28784271973916,71.98612733125432,-69.23019019049975,B,-46.818682980736725,C,0
Jewish,Both,36-50,Non-binary,C,A,D,C,148.2365333444767,-97.69023468460206,128.2339740436305,53.0164585894888,69.11845283871418,B,-22.93637995784963,A,1
Buddhist,Both,51-65,F,B,C,C,C,-190.7581848604201,216.86010276278012,88.87717092132814,52.28522812338217,-53.733968007005096,A,-45.26380921334038,D,1
None,Physical,26-35,Non-binary,A,A,A,E,-163.09892166475936,-138.92247798432177,-63.57136474279999,-173.90889007020138,46.45996667464563,D,-108.09370096864241,D,0
None,Yes,18-25,M,D,E,D,D,-48.15596872705921,-59.529890439958145,-55.364530953002024,-13.182391099700094,78.70121068577815,A,-14.904873956973514,B,1
Muslim,Yes,51-65,Non-binary,D,C,E,D,135.06842512906306,-35.08823777028255,-112.7790606873044,28.35067688405734,-44.65334204697619,B,205.6385612681812,A,1
Christian,Physical,18-25,Other,A,E,B,B,118.23646720691177,-8.268486582714399,-83.81565047299216,-98.25431515211125,27.323672932547783,A,-188.65707428028628,D,1
Other,No,65+,Other,E,B,B,C,-14.679593547851145,13.14131194245485,-61.41742398848547,133.70139202069257,-35.47577296385608,E,-84.14378662643554,B,1
Jewish,No,18-25,M,D,C,C,C,-88.64079285923397,-99.81879850302228,45.32118427855029,-26.498210391305815,-178.39854985506926,C,-55.99532589792736,A,0
Buddhist,None,26-35,Non-binary,D,A,B,C,-277.81442952225814,18.57535170042141,30.9545476929058,-99.18667217230927,-251.90960158972774,E,-79.88171359455286,A,1
Buddhist,Mental,51-65,Other,B,D,C,B,128.12744654635463,-96.87778002374041,88.09938543203752,23.846060842866024,8.305445621322152,A,25.762529992088684,C,0
Hindu,Yes,26-35,Other,D,E,B,A,-100.15901799671896,42.89195863589414,-132.8175960876163,0.18111305075736697,51.121204685607765,C,-123.97692741785147,B,0
Hindu,No,18-25,M,A,C,B,B,12.125557622148063,-135.7806809128672,-16.28388887573972,76.94869582436084,147.71191832703977,E,150.04083081725483,B,0
Hindu,None,26-35,Other,E,A,E,A,-128.30762211335065,21.878919138525116,-39.12044075129538,-71.27458664197323,44.349843858959076,A,-196.18511465741068,B,0
Other,Both,26-35,Female,D,C,A,E,-99.84516568810376,-29.407198087294134,63.740442069303484,-105.09821817502649,-40.32144092632609,E,-47.206572754319055,D,0
Other,Yes,36-50,Male,A,A,D,A,-93.20496149830534,74.30652891575397,-55.317547875418306,60.80635603185039,54.97651459179227,A,-57.030731596469955,A,1
Hindu,Yes,36-50,Non-binary,C,D,E,C,271.75908734084936,-1.3357152955831442,-196.37365354898066,-79.60607976502257,-16.224839707504092,C,-22.902985533105497,B,1
Other,Yes,36-50,Other,D,D,C,B,28.354778968446087,174.70778430549586,21.935337153456206,-1.163889164938429,136.62077844345188,A,216.40689650847892,B,0
Hindu,Mental,36-50,Other,C,A,C,D,0.16023165015662869,-1.3479351194236413,98.58495539294118,-61.47913288744938,-192.6092394649329,B,24.35510079137883,D,0
Other,None,18-25,F,D,D,D,E,-165.32274399638138,31.371461762786307,33.807014784771866,-67.83092007438101,-71.30940462305992,A,-105.74410347991707,E,1
Hindu,Mental,26-35,Male,A,C,C,C,-98.05673362278529,30.376551473063508,-114.07568349960779,-125.58623721440068,-82.12758805474458,B,-33.9248543576211,D,1
Buddhist,Yes,26-35,Female,D,D,C,C,50.499038963358224,-142.18415617249167,-51.623244941488686,-214.26787632798624,-5.465597241550047,A,-39.914631759822164,E,0
Jewish,Both,65+,Other,C,E,B,D,-22.207186051092457,26.658512983520843,37.00601801825357,20.905770518714164,-36.37715691523592,D,16.96153809789197,A,0
Jewish,No,65+,F,E,B,B,C,175.8902962704304,-22.22252397745499,-27.79308350859708,68.09588333929082,-58.952673608007736,C,-180.32171988037442,E,1
Muslim,None,36-50,Non-binary,B,B,A,D,4.593654932847955,33.36191460214267,-63.1207441469108,101.28557496338814,113.971652418188,A,27.338401057881214,D,1
Other,Physical,18-25,Non-binary,A,A,A,E,-230.63901528361663,-169.44323496874375,80.04796042440209,116.04734032750534,-11.672272728636756,C,62.35271430721983,A,1
None,Mental,36-50,Male,A,D,B,D,-30.694363017405745,48.84208374411823,-84.45980447046632,40.83315203939826,57.694823129306485,E,49.07996111012774,B,1
Other,Both,26-35,Non-binary,B,A,D,E,32.69735497027475,-8.552108336714534,-110.45210228267021,-60.64497480480425,-159.1968192163672,E,-3.3667331855631097,C,0
Muslim,Yes,26-35,Other,D,C,B,A,77.32831483867457,-10.59532316946382,-151.25695902347013,-158.09881890373572,-165.1011005602629,B,44.62189449448396,A,0
Hindu,None,36-50,Non-binary,E,E,E,A,22.6392407486341,-30.937224378174914,-3.9366219354998027,-144.80249671470796,-33.6219180124788,E,25.066209465414552,B,0
Christian,Both,65+,M,D,C,C,E,-139.83414286479325,-46.2392021467543,-153.14120699434244,-246.39238717340785,59.479942979570275,B,-4.115820310982701,D,0
None,Physical,36-50,F,B,E,B,C,104.33677230564982,-65.28287982367546,31.55510412451548,-106.36386666381506,70.34224475182228,A,0.17702764072425167,D,1
Christian,None,18-25,Female,E,C,D,D,82.26467497348858,-122.08916819758625,109.38648931679953,32.343179869441,-80.29616114176723,A,-195.8137622301481,B,1
Hindu,Yes,36-50,F,C,C,E,D,51.125585428008016,-64.32495221128042,60.17099939121078,29.719077538464724,-205.48558019535133,D,3.0579323609846902,D,1
Christian,None,65+,M,E,D,C,D,243.62556045269503,72.03602740645299,-113.48927651717284,129.07399811274965,89.0833583343168,D,-52.29278317866879,E,1
Christian,None,26-35,Other,E,E,E,D,179.4025190229167,-280.18005785725035,-94.84837659743786,37.01459153995256,120.56022913973501,B,51.261558209031875,D,0
Other,None,51-65,F,E,A,C,C,75.69774829256197,-69.9144823354493,-69.9685388950602,6.513812266891829,-91.6406311834421,C,85.30874888232619,D,1
Christian,Mental,18-25,Non-binary,D,A,B,B,21.28457643457456,170.87849058338298,-22.45914713672894,15.266086025026619,128.41529167766865,E,-100.59702290502412,E,0
Muslim,None,26-35,M,E,A,E,D,47.13662510468393,-144.39252342865058,64.54506437783905,5.646775392728862,-22.400204804600108,A,51.24119087975013,B,0
Hindu,None,51-65,Male,A,E,A,E,40.24565966563885,-56.65302191114711,121.70103275260304,-141.4667725869987,94.45873412872592,E,-30.451689558132873,C,1
Muslim,Physical,26-35,Non-binary,A,C,A,A,30.219800994340414,145.0418568627357,61.31687061706391,-3.5263769626057804,-8.76053388390435,A,84.20550914620456,A,0
Jewish,Both,26-35,Non-binary,E,C,D,D,90.08724915998118,-157.938345763155,-2.1223837181425456,-58.74753936415682,83.74249167675804,B,37.20609122572549,C,1
Hindu,Mental,36-50,Female,B,E,E,D,-146.28910062477024,-108.18282933054546,-200.5055647674772,9.789426203144298,92.38597584179806,C,-2.9660024897116366,D,1
Muslim,Mental,65+,F,A,A,A,B,-112.76755468765569,-127.84902046900493,-108.43943331645205,-37.20942677403965,71.03723867044167,A,-40.61017332952164,B,0
Hindu,Mental,65+,Male,B,C,D,C,130.68065543986378,51.1436560024109,14.582938523709327,159.38597095623794,189.9968298536671,C,-116.02437522279136,A,1
Jewish,No,18-25,Non-binary,C,E,C,A,43.800687447359955,-76.33791430426261,209.82661545492763,-105.64329114320313,-58.15228884739631,A,15.515550141086573,A,1
Buddhist,Yes,18-25,F,B,C,C,D,-95.97508344857837,64.82675339158234,26.658067133544876,21.726565057225898,137.31344130316506,D,-24.334499192703458,B,0
Buddhist,Both,65+,Other,C,B,C,E,120.00666255809527,45.82844719983544,-38.28963728470989,40.62053585334324,43.74695674051692,E,38.13517399490466,B,1
Hindu,Yes,65+,Female,C,A,D,B,24.518780354918597,21.403044476632207,-144.6501313374559,-92.85147580005501,124.42411545640235,B,11.01159236023992,A,0
Hindu,Both,18-25,Male,E,D,C,E,-195.70650703699744,-17.786458453013072,-15.97006658493624,-103.67742866075145,-14.140964073140601,D,196.0883640871042,C,1
Other,No,36-50,Non-binary,A,B,E,E,-24.619960044853187,35.3212860654852,64.24733072116575,-28.96984779337497,-110.13118780653485,B,75.91662117021646,B,0
Christian,No,18-25,F,A,E,D,B,88.95226024316909,208.51067688271877,-35.035449885299606,70.44942792560349,12.540082305435662,B,9.964498843741607,E,1
Christian,No,36-50,Non-binary,D,C,C,C,-82.31795029822041,93.16359212597358,26.255323317450806,86.70844062659329,9.65490379637894,D,-13.32908643847566,B,1
Christian,Both,51-65,Male,A,E,C,D,-99.01118501718153,228.79282328140235,19.122540082976446,85.73084373134317,88.85008741388269,C,-55.52619887096629,D,1
None,Physical,36-50,Male,D,B,B,B,-90.08029255587839,2.9431670291426197,225.2872354202566,62.23465999876734,163.56404582432594,C,211.01574490620453,B,0
Buddhist,Physical,26-35,Female,A,A,D,A,130.11229268125993,55.43466366843675,-11.75810291014968,-127.28531850852553,147.4805220726712,C,-201.29424431923852,B,0
Christian,Physical,36-50,Non-binary,D,A,B,C,-138.01817118775153,-59.624250211513896,37.96615461530053,-109.70436370455556,-183.38582144670906,A,36.77312307809352,E,1
Jewish,Mental,26-35,M,D,E,C,A,-11.609127310640767,-133.30199702992934,-40.60088229196623,-14.985932838635815,-190.5420090921823,B,5.350364399840938,B,0
Christian,Physical,18-25,Other,D,A,D,C,89.71516602026195,28.324223025772348,-61.88415199336459,104.10844042656196,138.31473948136662,B,16.225839275217055,A,1
Buddhist,Yes,51-65,Female,D,C,E,C,151.6425734803306,-94.12888402592255,189.1860789252337,-15.693194661963602,60.573888003805045,B,76.13475426229648,C,0
Jewish,None,65+,Non-binary,C,D,D,A,-17.24323427226408,-83.28214985919053,-23.95865461503778,182.73803760682932,55.048416962406044,E,28.932788471831916,C,1
None,No,18-25,Male,E,B,E,B,70.54989212046368,127.45806678565532,-67.87506041438807,-47.760150737370026,-126.96634509245848,A,100.39171287747344,B,1
Other,Physical,65+,Non-binary,E,A,E,E,-153.58898963653195,-15.325475998447194,-14.192536624905328,-70.04945227314269,92.60639905681418,D,66.17536484230688,E,1
Jewish,Yes,51-65,Non-binary,B,C,E,E,134.81016044269188,131.7240277329216,11.793786753495352,106.29783635394729,-1.8939689723587214,B,-44.69055840851357,B,1
Jewish,Physical,26-35,F,E,D,A,C,-100.34559269904955,125.69398675623952,-77.51686525901026,111.30479139537633,-180.57308050195664,E,52.55715505340446,D,0
Christian,Physical,18-25,Other,A,C,E,D,-28.909974778435842,110.82467936389708,20.378471777371736,91.55307759441925,-40.79412046562438,D,128.13341352400496,C,1
Muslim,No,18-25,Non-binary,D,A,C,E,45.26145256629584,-45.72563722841168,-28.770458308677966,-214.78401446180584,-119.43220932153822,D,20.826058456436947,B,0
Other,No,36-50,Female,C,B,E,C,-60.432704737279444,-126.80257507071147,100.82434231041988,-97.44488372883671,34.89856291849577,D,7.3360782021620805,E,0
Muslim,Both,18-25,Male,E,A,E,D,63.002826482629146,74.93654816606461,-45.00268754794069,-13.272043515405665,-155.54623803194295,A,64.03179215878873,B,1
Buddhist,None,51-65,Other,A,E,B,B,-83.32505223369294,21.77757726851066,-32.95107078423579,-12.112205215851638,61.5133592385275,A,86.71951069576075,C,1
Buddhist,No,26-35,M,D,A,C,B,5.068793469666055,170.04530707916737,42.722316899449844,-46.82909608032088,-138.65493669930498,D,213.26748409256965,A,1
Buddhist,Physical,51-65,Non-binary,C,D,E,E,-50.87743680255103,-162.02231337693584,-36.13006918477073,42.213231339706844,80.26661208170674,A,63.12610023610837,B,1
None,No,36-50,Male,A,D,C,D,-25.313836294523313,-98.41321270669161,130.01892527048398,31.550717103203073,155.38070881431537,E,-71.6790932975486,C,0
Hindu,Physical,18-25,Non-binary,A,A,B,E,-75.52540631746861,-42.66409605946496,65.85589631520325,78.8622183436103,66.40087223437618,C,-223.66360000129686,C,1
Other,Both,36-50,F,C,E,D,B,33.138035263022296,-118.82072647789792,-157.0878940034664,-43.905138254055885,77.35176596792152,A,49.08000341635146,D,1
Jewish,Both,26-35,Non-binary,E,D,D,C,-226.38210698214363,97.23148221823085,-125.20137243588627,-12.834385817262728,-34.41401090311426,B,41.631279041928245,A,0
None,Yes,36-50,F,A,B,B,E,31.742302751786905,23.099243151141202,127.06202364156829,-12.746591400567025,-6.994235327502257,E,-19.04137394006564,C,1
Christian,None,26-35,Other,B,B,D,B,-78.26634970028154,-29.013977601714725,-2.5025687879909824,-217.05208605176676,117.64511181342587,B,-35.819843364617356,A,1
Other,Both,18-25,M,D,B,E,C,60.92084296094779,79.22339556358865,54.419686326693316,-44.034582655289476,-122.43805846423923,E,30.05981797229952,C,1
None,Mental,26-35,Non-binary,A,C,B,A,-192.41947005291277,68.31414228284555,100.35644343850917,25.239603799881376,-129.58977056097353,D,-134.33142181046733,B,0
