military,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Veteran,65+,A,-31.45875736325649,E,-63.33767547756879,E,140.42840109850428,-48.36002626950282,-90.56851325999338,34.299988912252914,-196.09495945957016,-8.787516024148232,-110.25112681128995,B,-49.53813068798749,73.50153569747523,27.427556374332973,C,C,-46.747006823940964,1
Non-Veteran,51-65,B,107.91568381933334,C,51.082402881979135,D,-49.920185646544475,-6.029300363508786,54.40189219382202,-20.584923130317545,-57.62797960958233,55.26987713325207,-97.36201788862722,A,-79.99757050671079,-158.34454482420034,-62.83482659612425,B,C,-105.26981127307606,1
No,51-65,B,-114.9750301725061,A,10.197184810038742,B,25.35531196215989,71.57181394372284,-62.09747639455693,-77.31700960818205,148.08991061605744,14.160593236008829,83.1154064882442,D,-119.62193683965587,-21.961038271194937,281.892275801469,E,C,59.86272251883149,1
Yes,36-50,E,45.350523872242206,D,78.1626637997237,D,99.03219423719649,117.72582744997086,73.58594114940692,-20.612181478821235,-91.42437519346163,61.87558624786051,149.71448102655737,A,-47.177819380378445,13.803737142251348,-20.389360748917525,E,D,82.4099660988873,1
Veteran,65+,B,76.0980772906203,D,-15.60842435754077,A,73.86208719716663,78.106502630894,67.47246528355014,-37.55513215733731,-178.3139775895241,54.62579324907993,1.5074656686275423,E,-47.70305650574704,-220.4924135979792,-56.683090294946304,A,C,-34.465840600436195,1
No,18-25,D,61.86354731624786,D,-84.76995797139756,C,2.2833500788786605,59.538191444287094,-3.2959766248952715,186.51547579977407,-20.266608521564937,256.8101653305005,-35.61807523376881,A,-1.668422681434957,109.55465547788035,175.807424939178,D,A,-72.96246881273176,0
No,26-35,A,57.52260076638001,D,-49.75919456266428,D,77.03232299646344,-58.05763206610889,30.85825190675892,4.890149591913214,-111.55652291722001,-63.04665736957155,-100.64092821708837,C,-190.00516886834055,38.75874270102943,50.47637043627452,B,B,2.739270322006144,0
No,65+,D,87.27743488495138,B,-61.17004897495381,C,0.5279540562943816,22.090969426283706,70.31344951399066,-14.326825774104696,97.09671911748586,188.19760552024346,90.26285011019269,D,-69.97035090744897,-11.03333926813482,190.89941913798944,A,E,-82.66840896433712,1
Yes,65+,A,-52.677100779707786,B,-6.088937906070807,E,38.41188628775763,31.287963249535615,74.23870901132696,92.8046125629089,92.0400132008182,-49.58457342272098,-64.58047197817706,B,-35.64746420872493,-72.1464328256642,-70.06887877966285,E,A,60.6154284587509,0
Non-Veteran,26-35,D,124.09795028553772,E,-27.609716114198168,D,-39.0646239778113,21.107319027321843,80.65489774934777,-18.160965944722214,-150.87027381509458,164.80707548151622,188.8082899282767,A,-103.25696052611424,-39.792821872033294,-185.1252951508922,E,D,-270.4348434563688,0
Yes,26-35,E,186.9227328284045,E,-31.79098943766869,C,28.138463489793462,-66.53803411670305,-145.5337686729382,149.96436800915714,-62.24465102706957,7.497771174008775,59.52551835471057,E,85.17540408292007,-74.43411958539795,-24.29732465323862,D,E,126.84631612752442,0
Veteran,26-35,E,62.520175127999565,E,-76.26048667338881,C,-48.88067623974756,81.02732032273721,-27.605729533581595,-83.92669796153534,217.37004500811642,-6.973665471669316,17.35166055304812,A,101.60866189950804,-69.6125042204742,-34.39102948630335,E,A,-128.18021602396576,0
Non-Veteran,65+,B,144.15477895781697,A,184.83618483754202,C,-61.78302908226052,138.66842523033867,7.768046157783423,184.59372939376496,35.92141334459033,-66.42212547736025,-139.93606929480768,A,-195.91659078349468,95.70308009909797,23.818934498887224,A,E,-88.25997235243251,1
No,26-35,E,76.00666419819267,D,-126.97563212337779,D,-11.417634645155307,-113.87672497286935,-72.1561859378665,-72.8980356535609,48.717087605765535,111.69296583744925,-89.62251309296474,C,15.765086637392656,30.133555018819276,226.41669527973116,E,D,19.791575510150107,1
No,51-65,A,66.91367647571504,E,41.11187208022321,E,253.34551844298798,146.5207946686588,-77.92209762946611,-8.429043928178839,130.0043457215834,-70.65193599213859,55.47074394346059,C,81.36660137864031,-54.3799676065874,138.53164254625452,A,D,13.913648609275208,1
No,36-50,A,-162.07287961588227,B,-138.80971946815538,C,62.34446203084004,90.98162296541037,29.57037248353312,91.33838772004025,58.77658433623818,120.77369936571525,84.16412704418363,D,21.486498418496375,25.60192366986834,-84.35267620794941,C,B,148.73575482851228,0
Yes,18-25,B,63.65053979103512,C,-65.69206763453286,D,9.45575294921171,-129.69551706479743,12.043323988024833,-259.8364334166414,-43.494490736597726,-45.91942241004818,-1.6637589583372743,D,-3.360576086435897,73.93344576529915,-11.661553094136893,A,A,-60.62858459211896,0
Veteran,65+,D,138.1096834038581,E,10.845269601242634,C,-187.36573554010403,-223.27433131319899,-16.912784638855815,104.92036575286912,96.42364852936514,-92.10626912274823,27.162595995023477,D,18.378141853118777,-126.02331109519764,29.03453671350863,A,E,46.36003187268296,1
Yes,36-50,E,6.686360643090017,D,54.95769229530456,A,-35.3380468092726,92.21031199002702,15.094581526255881,76.13322530336734,-97.74355885931766,83.27531580631066,-116.84819671658668,E,24.195426621812572,-139.93025272456418,-219.41671430314406,A,C,15.07713234748187,1
Yes,26-35,C,71.80063460310309,B,45.452024884225864,C,-157.96832818256112,126.57923915774406,245.51592883897638,-129.53824281477432,-141.26577694407683,168.0822467799391,80.19124170848832,C,16.36289217949718,240.60552099238154,130.71290777963748,C,B,-54.88427292231633,1
Non-Veteran,36-50,C,-73.52342219755876,A,-214.16707510148174,D,72.7079538775406,40.45297271269991,30.1864009785704,27.15335462490403,44.4695311867011,-62.01434528191905,-91.59121780706776,A,-138.607228330294,-65.75281283326238,19.082233774048827,C,D,-59.41668565461491,0
Non-Veteran,18-25,B,128.32653892387506,B,-3.900037701158125,C,-145.10329292004843,11.425433914538392,55.35606238991879,-43.48259468609233,267.10002806974245,27.080520591610913,-67.78280428757849,C,13.073148035019416,-121.12815895726597,47.8283989242277,C,C,-11.641480113013378,1
Veteran,18-25,B,15.45545977199454,C,-87.07349959142638,A,-144.88163659999407,8.14489875017968,78.82808334527437,64.9852350605925,25.50244636817276,32.749823332788466,200.84661484924027,D,34.99387787941231,-108.46813971736331,-91.43600742062016,D,B,-33.018453672995044,0
Non-Veteran,26-35,B,16.43067941978555,E,-135.70185396538963,C,-48.17686423288347,-91.67682193004978,137.35999614483546,-156.88549154444956,13.174242845334946,100.18754098780992,99.2540303575018,E,155.1194373109061,94.12476943851713,-128.8747321017625,E,B,76.90147984181858,1
No,36-50,E,-45.26031792465993,C,-31.651979409526078,E,114.19023723816846,-5.612562704751181,-33.6830147302661,80.24447380924366,50.246161544822975,-15.499285715956265,-93.7895271362031,D,28.18519369720212,-65.93510677290963,-124.13782680328265,D,A,35.32335688638006,1
Non-Veteran,65+,E,-179.73280509615867,C,-171.19831610978332,D,39.17162562347749,126.85797082534252,-21.631525408939865,-69.31871689902177,-27.899603154410652,-125.62172634147693,-4.613518162180523,D,70.93997457595889,-40.95676144535963,48.47893287234364,D,E,70.85648256340318,1
Yes,65+,A,137.90734544158255,E,249.98207265308193,C,-36.87073380381508,-24.876392102806324,-105.57614272328266,95.04317745169392,48.18834670094312,180.2665457009864,21.075756528184503,E,-89.68368938196093,-32.55935564577922,-23.515509107174438,D,B,91.92223692922036,1
Non-Veteran,26-35,E,157.08656205445385,C,-51.91430381801172,E,14.384989715689835,-62.93195183359629,-106.8026930262319,-94.32034532759384,186.22062184037466,25.966479967513358,-84.89567080923106,B,-33.929772757390744,-27.439057801029556,-93.02888390758116,B,C,-98.68571213498055,1
Yes,51-65,C,96.81759633398612,D,-7.790297333164144,D,-43.602880178131755,-8.80623378771381,228.90209211397016,45.09376138831562,100.58867760144612,4.287652886355914,82.62346725254463,D,52.493627637213045,58.92048737345436,-21.316644834204133,A,D,26.695617101236675,0
Veteran,36-50,B,-95.71838076193006,C,113.61824770236191,E,35.18189856200548,23.737323873172553,-0.014943589308537251,176.9970719668966,-78.72468971957429,71.19926185168592,-97.82328285736365,C,207.9414395061614,-30.842998534459227,-13.172692413744713,A,E,11.888250734738797,0
Veteran,18-25,E,20.057742126177196,E,-140.6065448692195,E,-7.567930131148583,-23.150906932279742,-119.36293695723037,-37.4572724342467,37.38481997225153,73.00927326753926,-59.67383912262586,A,199.17074978013213,139.98511898137897,38.55739107424926,A,C,-44.9637150796897,0
Yes,26-35,A,112.88090510648894,B,168.6166046494103,E,2.061762771458383,14.601665548138126,-32.50287336236728,-37.53895120114025,74.55069794898644,40.90661541965628,9.948784208555947,A,-19.635910059434007,-22.134459274166236,60.771660438555855,D,C,-101.26395005299176,1
No,18-25,A,152.37369869968887,C,-248.8019369397064,C,-98.86196919213099,-56.82561734345083,-6.675071525968885,-156.22049844929685,-68.67319117695163,-132.88995147167446,-40.48427102362954,E,-29.941787149441506,-230.743275750356,135.00493563065476,A,D,-205.15608993437132,1
Non-Veteran,26-35,D,103.61830029941596,A,98.12629343576594,D,92.60478453573795,-134.8820879423238,-64.95918637491901,-31.27662639090747,-117.41130893319736,-78.16426080052898,-30.557549773615474,B,-247.0011791518556,-246.822501460176,25.001778190496164,E,C,-47.92215995330446,0
Yes,36-50,A,132.03577716374758,E,-16.038048472373763,C,-25.28316681415842,-0.7877939993762092,-50.379369526270125,166.0562546644453,-45.45305879871642,93.87081975583783,-168.18150031383445,B,105.07988850278132,71.60731401104854,-49.15948758805578,E,E,65.61150553479742,0
Veteran,26-35,B,27.03126688758996,D,47.37210825790137,D,157.9611268791078,-54.77534738848288,-3.908615760880005,58.917721078410445,-88.55488527632257,-41.873221752895226,-63.70034302791263,C,-21.330599839889064,-37.39799462690947,32.22599187159839,A,D,232.64204611912626,1
No,51-65,D,-42.16989223561715,B,-67.80581420764938,E,-4.0249604041202725,116.17197473748773,44.08621380897705,-34.97246634696882,-128.9755072359851,-3.867038836598375,116.92049080510316,C,-213.5679465642455,32.15620777551573,105.8516414084876,D,D,-68.56065200302483,1
Non-Veteran,18-25,C,-39.78652114270894,E,168.16180115084475,D,-91.21048184197518,63.033559690699406,-179.3793637121947,-6.541462282135107,-47.71848881276704,-90.75657353872279,146.1778258817367,B,209.47964437516583,-1.0630651577337316,203.3708204312738,C,D,-18.38846514955418,0
Yes,36-50,A,58.452204741500324,C,-134.37976081988546,C,46.01467059486262,-27.739335034844213,-14.890311176663207,-111.29830305686342,8.64045150083223,81.09945178795762,118.29731563950219,A,103.3243368227221,-11.4094334975181,-223.54658944213614,D,B,123.5132180368534,0
Yes,51-65,C,-59.4036698589273,C,96.23211747330645,B,-185.5967578431409,-5.851678303218769,52.64831474163244,-71.14270057542515,89.3754969097077,-96.66435032667103,-37.85128498204371,A,43.77865630321436,54.2326596594496,-151.81855620280172,A,C,20.269807647327752,0
Veteran,51-65,B,88.30531731411483,D,-3.79031284377793,C,65.06427415801748,-22.501904825591794,34.297885992121266,-58.19980959971514,-29.180689462886743,114.3591336666606,-68.2521243816013,E,-206.60567467807672,112.64268401304417,78.13508002559931,C,B,-18.539849519309797,0
No,51-65,C,141.868555185894,E,-147.51317058825643,C,-13.463668927029332,-1.4986519338807496,-97.19610118979892,-61.98519727078169,-116.65131991137552,-73.38027378170318,77.96817441135101,B,-2.086041395256425,-163.2213802661556,153.95658318494853,D,E,-47.21613179149783,0
No,36-50,E,-149.04463218717862,E,83.85335312878345,C,39.25308139653201,-135.95248546079083,-169.0219807089946,-25.65015903578283,-32.37619153569317,-256.8770248760053,-59.73469831936155,D,29.616023911654114,140.1185747199707,-125.92583351668199,D,B,-140.43963885717807,0
Non-Veteran,26-35,D,14.933436215317187,C,205.08968979968608,C,-162.22082792256344,59.88027900997719,-138.366658587908,58.842677296914246,75.23819651721422,33.018671888641585,46.922864643205585,C,-84.10544948798545,22.022323887653922,144.58937363027866,B,C,-64.59536203284225,0
Non-Veteran,18-25,D,87.88645144449806,D,-88.60409281777676,A,115.44078246820393,60.16968412252059,68.37849609265572,-42.565053266989196,111.43482078341297,-11.766536961754849,53.315478991970586,C,12.967745042078798,124.69243836375885,-60.706487025888265,C,E,-75.57541654267354,1
Yes,18-25,B,92.18843935442864,D,-197.97409812344472,E,-114.99012353509943,140.22859246132015,-98.62622454054019,72.94863842119254,-120.42868178678387,101.12249060993544,-54.58575488041224,D,-23.905867388879994,83.24395020319724,-134.31382771683084,E,E,17.305386484561012,0
No,18-25,A,9.095197999137767,A,2.9401852701528197,D,153.40576342457607,-97.73935527359929,-126.6258405051578,-66.01613284513454,-91.55719564562855,2.1470224633353947,-149.74937917402613,D,12.050499208972258,-116.34657285213355,-50.08372757908754,E,E,169.50053862882305,0
No,26-35,E,85.41459077090113,B,-38.63429194468086,D,104.6560073016562,-44.590664755658786,0.14397820304103978,66.65867778459942,-6.397104115035675,38.44048027514801,-74.86917652474324,A,101.85348309346602,100.04970539063747,23.276926079946936,E,C,-63.42421051075937,0
Non-Veteran,36-50,E,-31.991115124125674,C,-102.38969143891585,A,39.328760012034394,-37.312246331432824,42.8953854308323,122.331360093161,-47.04245211633195,51.752210323906475,-56.00166878287143,A,-15.367525719723865,112.99832929577695,-158.0402272439955,A,C,47.989578809997106,1
Non-Veteran,36-50,C,-95.74045828159463,A,-38.742602924807144,A,108.39163987508502,150.03313605647267,-146.93531752626072,-32.707170712401656,14.0029328533983,-49.37201147697077,-6.356796995405427,D,-147.96936889010698,-94.54760672621792,-90.33588277366745,E,C,-87.19573248225146,0
No,51-65,D,68.52169418451028,D,181.0789570287112,B,-92.32717375376453,-56.322501729287936,-34.21316800317628,-129.9540102639628,13.478347613175265,-155.6046887175256,86.07386394098666,E,-24.37271252956957,27.815946083594245,-27.58523040578083,C,B,-104.91366404693268,0
Yes,36-50,C,96.0770585942677,C,267.88204637827675,E,-64.67623976835249,-24.238994048415808,-178.34422059229325,-157.37862582203738,92.77708299728036,-55.006820199663174,-3.4823536583382193,D,28.940611709025234,65.41811561936922,115.01192592482168,B,D,130.353741013891,1
Yes,26-35,B,127.30553812997816,B,166.3589140055155,E,-106.06977300364807,-87.38739123933387,-3.337160278268872,41.775237716926625,-32.579045429940855,-67.39871992557056,82.02909924460238,E,-145.76184459148632,9.267463023708327,170.44011560292083,D,D,68.37483190587605,1
Non-Veteran,26-35,A,39.00220158886299,B,125.49630027571135,B,-51.59010560556365,-18.91264053484474,-41.005172043676225,10.626292710142932,-18.017463481573557,-46.04087225971047,21.637058918785016,C,94.29125252690434,-11.972716098323914,32.922129936740426,B,D,2.5523949654930282,0
Non-Veteran,26-35,B,62.18315983245098,B,-80.14566457143368,B,-151.00612741352316,-78.26918434956607,23.795732255160008,-148.0310473698139,91.60486061675577,-39.27092224769579,-222.02647056184998,A,47.09297342571021,-266.36383175930905,21.758303252968474,D,A,74.80688401765804,0
Yes,65+,B,123.6737185749793,B,128.65284719041293,B,-46.536690729435946,21.235817840195583,-80.02050403710894,-87.59088938332258,-173.3517328725493,-35.039975056206075,-112.09987005145796,C,-83.96633038754602,-155.2684916870875,-250.17857278627397,D,B,-54.53505580875777,0
No,36-50,C,127.25575837651158,D,-137.19207049936753,E,-48.7906576056085,-89.06525971966134,26.857004598402344,91.4254215950077,149.67426499682176,20.527407078754738,-173.11553223093406,D,-56.874111586649114,60.37491644388665,144.60205694430348,D,B,120.12809032750724,1
Non-Veteran,51-65,C,-11.026116370501677,D,23.05204175110996,B,-106.50003588229218,13.706930226706996,9.184797475460728,-26.598508064563127,76.9931843312197,50.71923677510952,74.91321798065053,A,90.2261695705525,83.8608123061541,132.02165708769954,C,B,-34.11485741624953,1
Veteran,18-25,C,-19.981633545544987,A,69.31425832595448,E,-48.19138786914781,-84.68457695127822,36.112550441264524,-142.82081150213142,114.94809177106129,39.39176241115476,22.223648838586087,B,159.74965511411295,68.82983172438905,-46.77284935813097,C,E,-156.21053267712963,0
Yes,26-35,E,31.874199464283965,A,-55.89319283285861,A,-14.071780731891808,-80.22674332315648,106.0194407623088,-17.955796361619758,-94.21451174615508,-121.81532811669138,4.114999230944397,C,-70.29827005743513,-136.33633927977647,152.69187652509265,E,E,110.94157141805671,0
No,18-25,E,25.40576642577473,A,-160.30205322071077,E,11.776453913875926,-30.755103255176504,69.82615679607174,-67.17180026018754,57.6556584822876,-152.97690881729756,9.938246861092113,D,-186.1974262095857,193.19825535003824,-213.81521854163813,B,A,-17.436085958943217,0
Veteran,36-50,C,90.65699453046163,B,106.13003952055324,E,-82.84557400473051,60.08159981353687,-35.54615209169225,-144.08616130128357,67.82963491531585,-128.31988103198506,-164.376724787745,D,51.21045823145472,-52.97040126049776,15.528413803791718,B,E,-153.14297700166793,0
No,18-25,E,100.19627127448328,A,-49.86544360165338,C,-38.14602317601574,91.21530217283255,-95.94386499737378,95.19331513756427,92.21800534208356,33.322107945579546,-143.74914810167368,C,89.15912184935932,132.00555480321478,135.29926345990825,B,E,64.65367257551489,0
Non-Veteran,26-35,B,104.60753394315361,C,76.51590414868134,B,66.09123466167611,-22.559289309021363,75.77078592749164,41.42690527459699,14.155575928663755,63.177056709149014,166.50084696405222,E,-65.29710110556375,111.37974150657367,56.41706999476395,A,A,159.8349480884528,0
Veteran,26-35,A,-50.230904445878835,A,-46.31611068325722,B,117.97761354381629,45.00318879653959,177.36232318084902,-139.16347040662856,-94.82785221768563,-109.05684558122577,-100.74036715029884,B,29.102239991398722,-26.60745607047628,-47.187446651191856,E,D,68.80777585812893,1
Veteran,51-65,A,96.52781773806402,D,-66.17513553598748,B,-23.715145393224358,-5.665512920249915,25.12575876133591,-121.62187467020354,-146.70824990207598,-26.80505265561544,-165.28730501591036,D,-150.22328426026854,-7.479042748404225,76.86045454027212,A,C,32.38097187561812,1
Veteran,51-65,D,-73.05780502283166,D,-100.26135872788697,E,-144.62363249551794,-18.653101045763552,180.83117286888887,-126.07290915061469,-13.550272621720655,2.443749204865576,-152.06095318710547,B,-163.6101525796736,29.972502553739567,108.58007832274536,B,E,-30.646038331299614,1
Yes,26-35,B,-80.98044384165844,C,40.73712146485654,C,-86.61305678575255,11.930593864602134,101.19609932628141,-156.99471057645738,5.087409296424557,187.4106945319688,96.88338715741752,E,-86.79122676686399,98.16774838125811,0.4229982837393529,B,E,57.496496577437405,1
No,36-50,C,-80.05204477207181,C,145.2331040436744,E,78.77865236729254,-66.33565445698085,-7.82722023537066,96.62086943849677,-67.14823304133667,-47.36517203223314,56.209972629283435,E,181.29052183807192,-73.91631908751027,8.682711845538108,C,B,-254.865296612629,0
No,26-35,D,8.409958534836829,A,-54.70537989675661,A,48.08233915500858,85.26431319697497,104.29804107277825,28.669932857335624,-28.726649149404356,-9.119964694435662,-3.8572564141689587,C,-155.96307979801267,-58.248287561543364,-87.64351387663825,C,E,-65.7887151504485,1
Yes,26-35,E,-14.741333770963783,A,10.832449890737443,E,-266.21583615875767,197.99013484442366,-23.83996673217926,134.1129407586453,-24.52551175721012,-68.07740572416759,131.7125359262344,A,29.495036432293116,-10.81399704105281,35.44303965989191,B,B,122.66132547802036,1
Non-Veteran,65+,D,54.82482700584994,D,64.89791445415939,B,13.863526674579807,-23.23176785089779,39.63606625254649,-33.46452780197251,99.98580403394244,-124.31185157159732,-1.7143511052193725,C,-14.466180090148054,28.849485347025922,-203.3636527834652,A,B,24.53694240633673,1
Yes,18-25,C,-113.35523306951802,D,18.889420416855174,C,56.8204632498072,-134.46494566234122,-91.04718941237681,-52.80361228077847,-72.94051063270867,8.569146084884878,-9.536407710029723,B,-170.13903893790544,51.82710671588763,61.040947052791935,E,A,62.31426247398167,0
No,51-65,C,-51.13600905466925,B,-38.293830213096975,D,-72.6765613856885,-16.708537099927348,31.515878172012137,-77.3544232849564,130.01385383604253,85.42095819438944,41.079961288101956,B,44.348756078674896,163.6145026892942,-79.56091781395305,E,D,39.87277423571463,1
No,26-35,C,8.238248585360108,C,-38.481611803629,B,92.17765779105028,-102.09333499754518,-8.93506037595811,-156.093703664896,106.07790082120641,-99.5170697059825,-35.58499711057262,A,-41.728754915054836,190.90692207250348,-73.04011273282902,D,A,-87.53437984250803,1
Non-Veteran,18-25,D,75.98626987726476,D,106.54732788800378,B,-89.44798047654355,-54.54577933765623,-20.480250926180368,13.687610342103628,-70.82310065310779,-30.87165504054477,103.93289380936453,A,-32.54275520085203,-6.966153439832891,27.149706550862014,E,A,-57.03155544472248,0
Non-Veteran,26-35,E,-186.30788989800118,B,-66.1957600663038,C,-33.68476453719333,71.6444397071708,37.783048943971764,24.232709140938063,-7.7265145607870584,-106.07260919693915,-111.88471511873905,D,-9.227469502662295,131.9877486304183,-108.96088102729311,A,C,17.945340370581718,1
Non-Veteran,51-65,C,-0.4543036919604046,E,24.51868050517713,A,-19.390037109048293,-309.96939867793736,144.42427206155884,113.46575623203591,-42.266724083041765,-214.0017981170439,-47.8188108987309,A,20.843981852064665,190.93682157942857,-149.9510092303893,D,E,56.727340243799,1
No,26-35,B,96.80819474652803,E,26.43988562951754,A,-139.2051205647958,7.945083650907912,-180.6913600655838,13.125100605100847,117.27822105177836,-37.1322944243679,1.616086810963239,E,61.30232948880893,14.901394730647203,73.05387555015777,B,B,95.05805069499226,1
Veteran,36-50,A,-145.42612939518585,D,27.69732996920385,A,28.58791401254428,16.874644082286082,38.710623883322,62.797251000748254,-144.02797622378705,-174.91938636638383,11.240717752638938,C,-142.08475799858323,90.86255119324679,61.63832718524803,A,A,-106.74355248967835,0
Non-Veteran,51-65,A,12.885235688846736,C,14.944344596014375,D,49.21323127463323,119.48803946641513,-127.78843020614406,-289.2920676271356,20.69855328889893,-100.98844314372195,178.419035286084,C,37.75549880197765,-77.51427208471813,-318.29545231384134,B,A,81.75765839297046,0
Veteran,18-25,B,56.29335973790174,E,-104.80430262194824,A,12.23903437742202,50.8080760442046,5.2686228856328405,154.03906902366327,-24.80832561663657,-187.4133885317938,24.45160686437335,D,11.262779352289103,15.399768095559802,120.03450852752107,A,E,-75.38768709919026,1
Non-Veteran,26-35,D,41.87629581026171,D,-41.18943716198472,C,-146.78792669161308,-133.65381715280756,-45.88108587511459,-54.97549792220396,-21.406986963173903,96.59144972987703,2.90467483067177,D,-70.63433159060011,-13.766144176275052,-196.95521626105418,E,C,-156.17506883185908,1
No,18-25,E,-7.616501703052377,C,41.47307852092963,E,-81.67194105525675,-147.3421690048539,44.51612260803678,-34.29261395520279,45.55338555320159,-101.28538309905831,-73.1778699174199,C,-108.93169914250547,170.4601082077447,-173.35675898892538,E,B,88.60866771271112,0
No,51-65,A,17.591823120618404,A,11.091728124039152,B,132.4280556268996,-7.892249896455482,32.91191445503665,-7.015498514520421,-36.73001404091921,-108.21531570804343,-205.02040154283767,A,-40.737033859404114,-47.121620299511676,-142.48477287968274,C,A,-68.02926061750955,1
No,26-35,B,26.303100968612547,B,-35.25840585970641,E,-43.41161635074775,-65.56946319136503,70.07768681654605,44.37040388358062,-25.584463922833077,-66.9617541145401,78.50398704485991,A,82.80399935741109,-48.60007886092277,43.92972249436243,A,D,-9.752100958315316,0
