veteran,civil_status,age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Non-Veteran,Divorced,26-35,Hindu,E,E,45.66360540152124,-7.1161239114701,A,-43.05918554702111,C,A,D,A,0
Non-Veteran,Divorced,36-50,Buddhist,B,C,83.41978357203155,48.11248299852697,A,53.07398824224532,B,C,D,D,0
Veteran,Married,26-35,Jewish,D,E,171.0351230679106,-77.91550538427659,D,-143.33048028798822,B,E,C,C,0
No,Single,26-35,Hindu,C,A,-9.984340228826733,-57.5882002877632,A,-192.60294122361316,B,C,E,E,0
Yes,Married,26-35,Muslim,C,D,-33.53039081831439,-4.844089260741072,B,-72.7372220961304,A,E,C,E,0
No,Single,18-25,Hindu,D,E,7.899482470936162,76.4753315206179,C,128.19232536144676,B,C,D,E,1
Veteran,Divorced,18-25,Jewish,D,C,20.492745678104836,-51.31645200361456,C,-55.23267549184334,C,A,A,B,0
Veteran,Widowed,18-25,None,B,E,-63.9043819323889,-57.17202125459318,E,-74.72599787310186,D,E,D,D,1
Non-Veteran,Divorced,26-35,Buddhist,D,D,-35.97536353232428,-20.868151803244846,E,69.266806381161,B,C,A,D,1
Veteran,Single,26-35,Muslim,C,A,-91.91770972931262,-19.548733606077466,C,107.99945686753148,B,E,B,A,0
Veteran,Married,36-50,Hindu,A,B,33.263834544000034,44.651308768035555,E,-57.71685431309573,C,A,A,A,1
Yes,Married,18-25,Hindu,D,C,-167.52410893978885,3.33468720150835,C,106.95269715823417,D,B,A,A,0
Veteran,Widowed,51-65,None,C,A,111.00278570000384,-1.878832748342782,B,116.55879713298121,C,B,B,C,1
Veteran,Married,18-25,None,B,E,-12.69380453100524,-54.586490597639504,E,-39.01042997332891,A,D,C,A,0
No,Divorced,26-35,Jewish,D,C,-45.76061445812348,191.36907664097376,A,156.2204737242548,C,B,B,D,0
Veteran,Married,18-25,Hindu,D,E,45.58714163590781,-249.86701808230825,D,243.1363067657205,A,D,A,D,0
Non-Veteran,Single,36-50,Buddhist,A,D,-9.124919569134418,71.96105340455269,B,-141.78790044798865,D,A,C,A,1
Yes,Divorced,51-65,Muslim,B,B,-5.5302462325352195,-51.688464896317186,B,10.158071920019749,E,C,E,A,1
No,Divorced,51-65,Christian,E,E,-21.43998001175144,-33.14524433645901,B,84.88748814588128,C,C,B,A,1
Yes,Widowed,18-25,Jewish,A,B,-49.5180459849446,-54.87168434483492,E,22.943573337900297,B,E,A,A,1
Yes,Widowed,36-50,Muslim,D,A,-45.81613155882174,163.7767537111255,B,24.866965565767956,A,D,E,B,1
Non-Veteran,Divorced,65+,Hindu,D,E,-3.9442963034862597,88.35905542480005,A,-52.382897537439845,B,E,C,C,0
Yes,Single,18-25,None,C,A,51.38847919988167,105.32207060781695,A,51.64042280787551,C,D,B,B,1
Non-Veteran,Married,26-35,Jewish,B,E,-85.67425814954215,-3.4553884854015657,B,-75.68389231482769,E,B,D,A,1
Non-Veteran,Married,65+,Buddhist,D,A,-13.7443500740134,-10.111550246652385,D,160.64474926761847,C,A,E,B,1
No,Married,36-50,Hindu,A,B,-176.3724860643203,-116.91686602469737,E,-109.9337267330278,E,D,D,E,1
Yes,Divorced,26-35,Christian,D,C,-65.3515208318792,2.2450983168248295,C,98.3131063714162,B,B,A,D,1
Yes,Divorced,26-35,Christian,C,D,95.81341372203885,24.213817470522518,A,89.13944515528631,C,C,A,B,1
No,Single,36-50,None,B,C,7.860551472779699,-23.7392573169808,A,2.662615685782004,E,D,D,E,0
Yes,Single,36-50,None,E,D,69.82980144121917,115.3613370451765,E,-126.11709996583326,E,C,C,C,1
Non-Veteran,Single,65+,Christian,C,B,1.2134231770313344,212.50194222869544,B,124.4685268132691,A,D,A,D,1
Non-Veteran,Married,26-35,Hindu,D,D,-41.36124745347442,176.51206692107354,B,-99.27732231672577,B,D,A,E,0
Veteran,Widowed,65+,Jewish,B,D,6.198725009858093,-46.029540332758536,B,-203.4306198091663,A,B,D,B,0
Veteran,Married,18-25,Muslim,A,C,-30.20881124133098,-44.071429062920025,E,-21.496407926856158,A,D,D,C,1
Veteran,Divorced,65+,Hindu,C,E,-250.41042782140312,-28.44420185171303,E,70.76200749376457,B,D,A,A,1
Yes,Married,65+,Hindu,B,B,-144.2603845437371,-202.16979468437933,A,-10.8029907135009,C,C,B,E,0
Veteran,Single,18-25,Buddhist,A,C,337.2078930322631,72.76301685603146,C,-154.66014422934606,A,B,C,D,1
Non-Veteran,Divorced,51-65,Other,D,C,64.79966994482795,-51.00780870611078,C,-47.093244089438045,C,B,C,E,1
Veteran,Single,18-25,Hindu,C,A,44.73305311672727,141.54369505755278,E,81.97029151174604,E,C,A,B,1
Non-Veteran,Single,36-50,Christian,A,B,48.19688090975174,-43.067577242329016,A,20.775911757109903,D,A,C,E,0
No,Married,26-35,Hindu,A,B,-165.6597954331825,50.35373990642804,C,48.74685296319735,D,A,A,D,0
Veteran,Single,36-50,Muslim,E,D,-198.12616652899766,84.37415075243658,E,-82.37092252791376,C,D,E,B,1
Non-Veteran,Divorced,26-35,Buddhist,D,E,37.67139330956242,-13.61908047730045,D,-115.72065460517977,A,E,D,B,1
Veteran,Single,26-35,Hindu,C,D,-64.27442673812686,135.34410022681152,C,86.31625713553825,C,C,A,D,1
Veteran,Widowed,65+,Muslim,E,B,-7.312744114127151,-28.625762710130502,D,-10.492342899497146,A,B,E,C,0
Non-Veteran,Single,36-50,Other,B,C,-4.037440133276279,67.2993920131288,E,-199.26516726035678,D,D,D,D,0
Yes,Divorced,51-65,Muslim,A,B,-17.17394138737333,69.37756342004077,C,-63.71371723220891,B,A,D,D,1
Yes,Single,18-25,Christian,E,E,-34.72226576002731,-110.49338362800565,A,84.92620517621035,B,E,A,E,0
Veteran,Married,36-50,Christian,C,A,-177.1414566771839,-79.43367127127308,E,42.64352440387994,A,B,E,A,1
Veteran,Widowed,36-50,Jewish,A,B,-20.28375445274739,62.59540027342131,C,23.118634494575176,C,E,A,C,1
Yes,Widowed,36-50,Buddhist,B,C,-124.68508956286526,93.92758524530646,E,172.31819410420374,E,D,B,A,1
Yes,Single,26-35,None,D,B,-230.26514535672396,-71.73325697345872,D,-209.86833863650546,B,A,D,E,0
Yes,Married,18-25,Muslim,C,D,-102.61407207041398,-197.30741262039558,C,-60.58786741049833,A,E,D,B,1
Veteran,Single,51-65,Buddhist,C,B,13.227459973321892,-69.6217441642605,E,115.08670896875832,B,D,B,B,1
Veteran,Divorced,51-65,None,A,D,68.80956416341986,117.14482770694818,C,-84.43962960533838,B,C,D,C,1
Yes,Single,51-65,None,A,C,-33.32369911246215,-38.12921109170427,B,22.57726714363776,E,E,B,C,0
Yes,Divorced,51-65,Buddhist,D,B,62.6315290308812,78.21157770232662,C,112.49617431924968,D,D,D,C,0
Veteran,Widowed,18-25,Hindu,C,D,-276.8490916172756,124.54840415791068,A,-149.90064710025518,B,B,B,B,1
No,Married,18-25,Christian,E,A,8.373424795918645,43.44847431308195,B,84.00968735292308,C,B,B,A,0
Non-Veteran,Widowed,18-25,Buddhist,E,E,-227.63598956336432,-90.44792859572763,B,164.28050669672373,B,E,E,E,1
Non-Veteran,Single,51-65,Hindu,E,A,82.65152903351063,211.81545682286264,E,40.49651711415926,D,C,B,A,0
No,Single,18-25,None,A,D,-176.9838808567119,172.942251343748,D,-156.39818646016178,B,E,C,E,1
No,Widowed,26-35,Buddhist,A,C,95.36340884374452,146.44683521370303,B,5.4177147259922345,D,E,B,E,0
Yes,Divorced,36-50,Other,B,C,115.66425121093565,-111.32130745899696,A,-131.96569390714572,E,D,C,D,1
No,Divorced,65+,Christian,C,A,173.32802529315282,101.95593963810961,D,64.76954316853674,A,A,B,B,0
Veteran,Widowed,36-50,Buddhist,D,E,1.8510488521191117,-65.23977068288785,A,185.47356372353374,B,B,A,C,0
Veteran,Divorced,36-50,None,A,E,-94.07285723775252,-62.562631489633745,E,-144.14708625383074,B,C,E,E,1
No,Single,26-35,Hindu,A,B,71.07391291701126,-88.74306243998149,C,150.57153360376586,D,C,C,D,0
Non-Veteran,Divorced,26-35,Christian,C,C,2.6001836854394114,19.16767052966973,B,-47.3605088311694,A,E,D,D,1
Non-Veteran,Divorced,51-65,Other,B,A,19.500838186446135,-97.00836877349201,C,-150.83034379162658,B,C,D,A,1
Non-Veteran,Married,51-65,Christian,E,A,-291.36150445003113,13.783631061459683,D,-68.65618676678726,D,B,C,E,0
Yes,Widowed,26-35,None,C,D,-144.09304837976717,104.26158080152064,D,-31.05411944258571,B,B,A,C,1
Yes,Married,36-50,Hindu,D,A,86.37592861251967,-106.59314569191758,D,14.385674251660166,E,B,B,C,0
No,Married,26-35,Jewish,B,A,-72.56037682528884,8.282740818357986,E,-140.86010997081607,B,B,A,C,1
Veteran,Single,51-65,Buddhist,C,D,-26.559258512325172,20.36204554998136,A,9.975777984626603,D,B,B,C,0
Veteran,Divorced,18-25,Hindu,C,E,-26.58188283995125,-16.636619179703505,D,0.9331419471117464,D,C,D,D,0
Yes,Married,18-25,Muslim,B,C,-140.5553686083402,-32.072382019938836,C,-35.41995404827472,C,A,B,A,1
Veteran,Widowed,65+,Hindu,A,C,-5.241342081152704,-99.61944743987978,C,-25.02045442740336,C,A,B,A,1
Non-Veteran,Widowed,65+,Hindu,B,C,40.65871836743212,6.199928591221095,C,-28.41951055848418,D,D,B,A,0
Non-Veteran,Divorced,51-65,Muslim,B,B,-42.656475995531,-41.08354773673588,A,4.785472444988432,B,D,B,D,1
No,Single,65+,Muslim,E,A,63.97279166259402,-15.867976394240305,E,-134.90304576321594,A,A,C,A,0
Non-Veteran,Widowed,36-50,Hindu,B,D,-52.272909301184086,15.314553956185378,D,-153.4585153420445,D,B,C,B,0
No,Single,26-35,Jewish,B,A,-6.680061849518975,7.920992872554404,D,183.04904865450789,B,B,B,C,1
Yes,Divorced,26-35,Jewish,E,C,-170.2311603797514,73.68535998387229,D,109.01626015036886,A,A,C,E,1
Veteran,Widowed,26-35,Buddhist,A,A,-8.428685462140654,177.1103712783916,D,-128.51214739093945,E,A,E,C,1
Yes,Single,36-50,Other,B,E,69.85273004709161,-93.53649933825572,D,-29.464958344684444,A,C,D,C,1
No,Married,51-65,Christian,A,B,104.14806318959302,192.54235628289658,C,48.14277477199874,D,A,E,C,0
Veteran,Single,26-35,Buddhist,A,A,-8.830935162094649,-25.002286391896,C,-92.33475072678213,E,A,A,C,1
Veteran,Single,51-65,Jewish,B,B,-17.12710600390904,-9.247890004056178,E,92.65493309029591,E,A,A,D,0
Veteran,Married,18-25,Hindu,D,C,33.55432793347231,118.79748401525998,B,-227.90477727392528,C,E,C,C,1
Non-Veteran,Single,26-35,Buddhist,D,B,-28.59957825471136,214.62495208482065,B,129.44658461612045,D,B,E,C,0
Veteran,Single,26-35,Other,C,A,66.88604407133818,-37.65790754882293,D,-39.42833485436637,D,B,A,D,0
Yes,Divorced,36-50,Hindu,D,C,-22.328463462020483,24.484464089050718,D,151.11272029912917,C,B,E,B,1
No,Married,18-25,Other,B,B,160.396314368869,-44.82236609389038,E,1.9966740552663125,C,C,A,E,0
No,Single,26-35,None,A,A,2.382730851285788,-15.36099727871138,A,-20.589951947101245,E,E,E,A,0
No,Widowed,65+,Other,D,A,-54.699682986595214,113.02683413228173,A,-211.46449805602083,E,D,E,D,1
Veteran,Widowed,65+,Buddhist,E,B,42.71628547645589,20.28577353994605,A,159.57076031466553,D,C,C,C,1
Yes,Divorced,51-65,Jewish,C,A,-81.25870079807866,34.34827610898804,D,124.16376822747455,B,B,C,C,0
Yes,Single,18-25,Buddhist,C,C,-8.557025530060875,14.764189351494675,C,-44.20679868722638,A,E,C,A,1
Veteran,Divorced,18-25,Hindu,C,C,159.32158784038597,-98.70015729457636,C,-98.34342302741624,B,D,E,B,0
Non-Veteran,Divorced,65+,Buddhist,A,B,-81.87968283545659,27.710291699840823,E,-85.32718758004853,D,A,D,E,0
Non-Veteran,Married,65+,Muslim,E,E,36.08119399244626,97.82716764061685,D,-54.42873280634457,E,A,A,E,1
Non-Veteran,Widowed,36-50,Christian,B,C,60.382708211077066,-151.28414187721168,C,9.637351614803675,E,C,C,A,0
Veteran,Widowed,51-65,Jewish,C,B,-8.478793915303996,-120.97455568706172,A,-4.340133848594747,C,E,E,D,1
No,Widowed,26-35,Other,D,C,67.77235097812458,24.21287545483493,B,32.37966786920838,D,E,D,B,1
No,Divorced,26-35,Muslim,C,A,180.485406618483,70.20164023816568,D,34.877882621136635,D,E,C,A,0
Veteran,Widowed,26-35,None,C,D,171.48902876273226,74.1377548727821,C,62.85079873600623,C,E,D,D,0
Veteran,Single,18-25,Christian,D,A,165.8971660193661,-60.4851814770884,D,0.8150732243451709,C,A,B,C,0
Yes,Married,36-50,Other,A,D,-50.47651333402814,-116.80764473025,D,-11.02256530093512,E,B,B,B,1
Veteran,Married,65+,Muslim,D,B,127.22467350954388,72.74237289514475,E,89.45686361314301,E,E,A,E,0
Non-Veteran,Single,36-50,Hindu,A,E,46.964318966588635,81.94685028174875,B,-43.944394179806636,A,C,E,A,1
Yes,Widowed,36-50,Other,A,E,-23.728084185912266,122.07717909170854,E,-39.75761309000412,A,A,B,D,0
Veteran,Widowed,18-25,None,D,B,48.861282633529356,137.55119711962507,E,-83.55288943668214,D,E,D,C,0
Yes,Single,26-35,Hindu,E,C,26.11393759442478,0.7933150303108198,A,-129.99897337521605,B,B,E,C,1
Yes,Divorced,26-35,Muslim,D,A,-36.21421789980674,32.149163458804914,C,23.92858520816542,C,D,B,E,0
Non-Veteran,Widowed,36-50,Christian,A,D,8.184393086179611,-152.71188922143608,D,120.51888814461,E,C,A,D,1
Yes,Widowed,65+,None,C,D,-118.54890161944611,15.520797527008941,B,167.53771282621062,E,D,A,A,1
No,Married,51-65,None,A,B,49.11590885943313,7.489442457158145,E,88.3688150639768,D,C,A,D,0
Veteran,Single,18-25,Hindu,E,C,40.93471549432919,16.929472777482026,A,39.38164174111399,E,B,B,E,1
Veteran,Married,51-65,Muslim,D,A,-14.977370149517908,70.5437178658663,E,-97.18990150858252,C,A,C,E,0
Non-Veteran,Widowed,26-35,Buddhist,C,A,21.49329140157759,35.17198203123405,E,151.96319537590466,D,C,D,D,0
Non-Veteran,Divorced,65+,Jewish,A,C,125.91282444872948,185.16868768755765,D,-90.93784750981305,D,A,D,A,1
No,Widowed,65+,Buddhist,D,B,-69.79380884554838,-135.30799380479348,D,32.10513773868136,B,E,C,E,0
Veteran,Widowed,51-65,Other,E,A,-52.85859327997311,97.60960072979313,A,-126.3419742227408,A,D,D,A,1
Yes,Single,36-50,None,B,A,58.04330222778319,-14.71417043705718,E,0.5329466230709566,C,E,D,D,0
No,Married,51-65,Other,A,A,-61.83754956636518,136.38921742375632,D,60.23574097211001,B,C,E,E,0
No,Widowed,18-25,Other,C,E,82.58131996085397,147.45209434675687,E,-80.60017991068382,E,E,D,A,0
No,Widowed,26-35,Muslim,D,C,64.33186137589928,-16.710389955254122,C,107.14701313595644,D,A,D,B,1
Veteran,Single,65+,None,E,E,-82.54501729917052,92.15805443160286,E,114.71665667589428,D,A,E,C,0
No,Married,65+,Muslim,E,D,170.92273101822394,103.71340954994368,E,33.83833534683728,C,B,C,D,1
Non-Veteran,Single,36-50,Hindu,E,E,-1.052575716680885,69.86384235612097,D,-35.23100487840708,E,E,D,A,1
No,Single,65+,Muslim,C,E,-38.63445983985174,24.6306666219042,A,-85.92501158091554,E,E,B,E,1
No,Married,18-25,Christian,A,D,130.82776879571182,200.04688196975496,B,61.59420879991093,E,A,A,C,1
Yes,Widowed,26-35,Other,E,B,-10.560535118892561,15.415538702284753,C,-42.960772580790604,E,C,D,E,0
Non-Veteran,Single,18-25,Hindu,E,A,-30.637485589903257,112.56965134486047,C,91.95128663780167,A,D,B,A,0
Veteran,Widowed,26-35,Jewish,B,B,28.727099003601076,13.455506195619495,C,-285.05351621393976,D,D,A,A,0
Non-Veteran,Widowed,51-65,Christian,D,B,13.291905450467029,-1.3772581187015767,A,-94.68998540075937,B,D,E,B,0
No,Divorced,36-50,None,C,A,-70.70907901018681,-55.0118685712883,E,-49.22127176243947,C,C,E,B,0
Yes,Single,36-50,Christian,A,C,115.18892830204153,34.791176996167565,B,-96.12071565552057,E,C,D,E,0
Non-Veteran,Single,18-25,Buddhist,C,A,-19.32168063553708,-2.132419495553314,D,73.26540378524513,B,E,E,C,0
No,Single,18-25,Muslim,D,A,7.673201571230553,27.162998405160454,E,31.395146773831396,C,D,A,E,0
No,Divorced,51-65,Muslim,D,C,32.32909346555825,-37.327367491583445,C,-31.34954012632523,C,A,C,E,1
Veteran,Widowed,51-65,Hindu,C,B,6.832506432984424,-210.67496712950899,D,74.35263192262155,C,D,C,E,0
Non-Veteran,Divorced,18-25,Jewish,D,D,38.27328911416336,125.63480531929582,C,-2.9329173377836186,C,A,E,C,0
Yes,Single,26-35,None,C,A,78.33060161252928,-41.30807308364162,B,-121.29423824045608,B,C,C,E,1
Yes,Divorced,26-35,Other,B,B,-107.74801764051576,257.76353782892943,B,-23.10455977278916,A,E,B,D,1
Yes,Widowed,26-35,Other,D,C,101.78907215375807,139.53867401470802,C,77.09818979115423,B,D,D,E,1
Non-Veteran,Widowed,26-35,Hindu,A,A,176.20347079576467,-103.69252994999903,C,-106.97992085357595,D,E,C,B,0
Veteran,Widowed,36-50,None,A,B,132.7489490971094,-118.40048137531699,D,-42.834295747661464,B,D,E,A,0
Yes,Married,26-35,Muslim,B,E,-19.86412960675767,-104.21705846159182,C,8.87958166098031,C,B,A,A,0
Veteran,Married,36-50,Christian,B,D,18.73868450532802,-81.95118146653564,E,27.21870008871297,B,B,A,C,1
Veteran,Single,65+,Muslim,A,A,-31.194767427713867,-75.67430512999326,A,87.58593651461017,D,A,B,D,1
No,Single,26-35,Other,B,D,-160.90397857574618,-5.21202260126101,E,87.76293094191898,D,A,C,E,0
Non-Veteran,Married,36-50,Christian,C,A,138.45920125005597,12.279672854543062,E,-158.68309572634837,C,B,D,A,1
No,Single,26-35,Christian,D,C,-20.972973982414956,-63.38683091106665,C,-77.60001369512632,E,C,C,B,0
Veteran,Divorced,36-50,Christian,E,D,-213.1889713894547,146.8922333016627,E,-114.49866975226274,D,B,B,E,0
Veteran,Married,26-35,None,E,C,3.9210481782928075,81.62262162604517,E,42.581934062985745,B,E,C,A,0
Yes,Widowed,51-65,Hindu,E,D,-4.644391941672654,51.36734312900195,A,46.0499208490155,B,B,B,B,0
Non-Veteran,Widowed,51-65,Christian,E,C,-103.68950446314791,111.78411051553165,D,-121.1363130485368,D,E,D,D,1
Yes,Married,65+,Buddhist,E,D,-68.67842961198042,-14.239929143692853,B,-1.1232793423664045,B,A,B,B,0
Yes,Divorced,36-50,None,A,C,18.099559737427015,192.8279690581402,B,-162.02849161138914,E,B,B,E,1
Yes,Married,26-35,Muslim,A,D,15.331892656386623,69.38222420956481,B,39.38756478826025,D,B,D,C,1
Veteran,Widowed,18-25,Hindu,E,D,75.6906623434876,77.67545621629995,E,-5.7187554384145685,D,C,A,A,1
Veteran,Single,51-65,Hindu,D,D,3.550391853519235,65.28699973105222,E,-148.81759316386214,B,D,C,C,1
Yes,Married,51-65,Buddhist,C,E,-214.8906093271321,-60.1023323089945,A,84.78609588686496,C,A,D,B,1
Yes,Married,36-50,Jewish,E,A,4.919245513221022,64.58514750905027,E,-139.11668742736111,C,C,E,C,0
No,Single,51-65,Muslim,A,C,33.31596434771876,44.52933294445982,B,-19.403736068235066,B,B,A,E,1
Veteran,Divorced,36-50,Buddhist,C,B,192.4412006537402,-78.25143769344834,C,-29.774072998025343,D,C,D,E,0
No,Divorced,65+,Jewish,C,A,142.29678500416622,-13.13968274483533,C,-81.6548592619648,C,C,E,E,1
Yes,Single,26-35,Hindu,B,D,133.87576190725875,-82.80526941478368,C,-162.90995550604904,B,C,D,B,1
Veteran,Single,65+,Buddhist,E,E,45.54257078141879,196.6195393970021,D,-228.3416932935062,D,A,B,C,1
Veteran,Single,51-65,Christian,A,E,118.79438115513281,-57.98445264896193,B,-98.93908934162418,D,B,A,D,0
Veteran,Widowed,36-50,None,C,D,84.77540441647909,64.87582025266092,E,-85.54260515473987,B,D,E,A,1
Non-Veteran,Divorced,51-65,Hindu,D,B,-88.15755034220926,-42.34430165703335,B,28.85158822802541,A,E,C,C,1
No,Divorced,51-65,None,E,E,-182.42539357199107,10.614517062714711,E,76.75956616490602,C,D,A,C,0
Non-Veteran,Widowed,65+,Muslim,C,C,15.838151329814282,-107.74604887136006,D,-56.147605659779906,E,E,B,D,1
No,Widowed,51-65,Jewish,D,D,-48.08353197875949,-11.896588665490473,D,-93.34697284556347,D,B,E,A,1
No,Divorced,26-35,Hindu,D,E,81.53862700275936,-93.03999526173085,B,43.46069098473484,C,B,B,C,1
Non-Veteran,Married,26-35,Christian,C,B,-25.555989265976613,22.648939556536956,C,-109.66480964468279,A,C,A,C,0
Veteran,Married,26-35,Muslim,D,E,-0.024384920900727157,16.821031225434744,E,-6.560073266225676,A,C,A,C,1
Veteran,Single,26-35,Hindu,D,C,-83.58687576705873,-129.6163838501124,B,-93.02857189847154,E,D,D,C,0
No,Divorced,26-35,None,E,D,-41.61569429452529,-87.49614524118176,E,8.129726737849962,E,C,C,B,0
Non-Veteran,Single,36-50,Other,A,A,10.474685692392603,-33.00897046517103,E,-21.937987767610746,E,E,D,B,0
Non-Veteran,Divorced,18-25,Other,B,A,105.85065556840345,47.84817280230054,B,120.57815271847578,C,E,C,D,1
No,Married,18-25,Muslim,C,D,76.97474442477667,-12.706203705652053,C,169.5182220772657,D,B,A,C,0
Veteran,Married,18-25,Hindu,D,E,151.4691550699617,-113.82112745054394,B,-54.9673404341654,A,D,C,E,0
Yes,Widowed,18-25,Christian,B,A,-118.97286052822331,197.69547354005365,D,-118.79877376352886,B,A,C,D,1
Veteran,Single,36-50,Other,B,B,135.35155518495083,131.6395893555762,B,-30.992207044017917,B,C,B,A,1
Non-Veteran,Married,65+,Other,E,D,30.259136307333296,-10.480239369251484,D,87.39442568176435,B,A,C,A,1
Non-Veteran,Divorced,65+,Christian,B,E,-76.10784209131893,-89.30159231472456,A,-113.82594429084487,A,E,C,B,1
Non-Veteran,Single,26-35,Other,D,C,-81.46664334543847,-17.078048157052958,E,-65.83988935557214,E,B,B,B,1
No,Widowed,65+,Jewish,A,E,-100.88586579528116,-102.17044251339745,E,-11.074877590987409,B,C,D,C,1
Veteran,Single,51-65,Other,C,B,31.315895468794015,-115.7503991265941,B,110.12692125804702,D,C,A,B,0
Yes,Single,36-50,Hindu,B,A,145.25314163631887,-129.77316717156782,A,105.3833025354516,D,D,D,A,1
Yes,Widowed,36-50,Muslim,A,B,-106.1856884580173,51.59839873136184,D,-51.365249570538275,D,A,A,D,0
No,Single,65+,None,C,A,-145.13994238542412,-6.292457596610479,B,-96.51253269862086,D,C,B,D,0
Veteran,Widowed,51-65,Jewish,B,B,207.25364412943375,26.253968077656186,E,91.30238687307121,D,A,B,A,1
No,Single,26-35,Buddhist,E,E,115.09971101596952,-16.2089398399531,A,-5.600653812377366,C,B,E,E,0
No,Divorced,26-35,Hindu,A,D,-47.815423169645975,-26.989411579014348,C,-23.80818399724086,A,C,A,A,0
Veteran,Single,26-35,Buddhist,B,D,52.756792068003655,-27.273436300404963,A,83.65898224197423,A,A,E,E,0
Veteran,Widowed,26-35,Buddhist,D,B,-147.19242504113345,-11.925125555992942,D,115.87324415227853,C,B,C,B,1
Yes,Widowed,26-35,Other,E,B,50.180801732266175,-143.7787808797076,B,84.01967305344003,A,C,A,D,0
Veteran,Married,18-25,Other,A,E,55.875476311341856,63.07669540160293,A,118.05315487014123,B,D,A,B,1
Veteran,Divorced,65+,Buddhist,C,E,-26.50803748011159,67.67295091683359,D,2.5992514476018047,D,B,E,A,0
Non-Veteran,Divorced,18-25,Christian,E,C,-136.11712185512386,244.57885790735162,D,-236.75603756414034,E,C,D,B,0
Non-Veteran,Married,26-35,Jewish,A,C,-10.408710121996789,151.96395180295465,A,-122.7431390344947,D,D,D,B,0
Non-Veteran,Widowed,65+,Jewish,C,B,-177.2969431242754,-45.50470130217049,A,26.921886842076393,D,D,A,C,1
Non-Veteran,Divorced,26-35,Jewish,C,B,-114.7331550616814,26.74962969528898,B,-251.51659388350924,C,A,A,B,1
No,Divorced,18-25,None,A,C,105.84861460547484,163.87480255062994,C,91.17226529449273,B,B,C,E,1
Veteran,Widowed,51-65,None,C,C,-37.31099243779649,-78.21760561226807,D,115.23180776056034,B,E,D,B,1
No,Widowed,26-35,Muslim,E,A,16.92527324697499,262.4409859266666,B,107.49918871284436,D,A,C,E,1
No,Single,36-50,Hindu,B,D,126.42750046482325,-65.22945186227874,B,-89.18094059699897,E,E,A,D,0
No,Married,51-65,Hindu,C,D,142.08140170395583,-37.57099102830646,A,-0.32488288042064817,B,D,A,D,1
No,Widowed,65+,Jewish,E,C,-132.6908055277971,-16.90493437928492,D,102.3249374705363,B,B,A,E,1
Non-Veteran,Divorced,51-65,None,A,C,-19.754876160431348,-110.31715389410553,E,12.078549237564246,A,E,E,B,0
No,Widowed,36-50,None,E,C,-83.53866004081507,164.80052466892704,A,-168.21695342725008,E,C,D,C,0
Veteran,Divorced,65+,Hindu,D,C,114.98215147117463,-6.837370310366826,E,-27.49019587390904,B,C,D,B,1
Veteran,Widowed,51-65,Hindu,D,D,-63.469988749844056,-36.95669114528389,B,-15.088657238701867,E,C,C,C,0
Veteran,Widowed,65+,None,E,E,-9.940910391352158,109.91522104944877,A,-238.32626109538418,A,D,C,D,0
