Gender,age,sexuality,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-binary,73,Bisexual,Both,73.77507269719132,E,-26.67089334141704,-101.18082509092345,C,27.548655843301418,D,E,A,C,12.566958365364162,-42.22935487261274,D,1
M,47,Homosexual,None,19.500017262021963,C,30.80513960034374,-11.9391261656469,E,-85.0386319292557,B,C,E,D,-104.30803021705111,-163.6719427620056,A,1
Female,79,Bisexual,Mental,-23.400895057813152,E,134.86704865807755,-88.07327754949385,E,-27.882085527707844,E,D,B,E,131.13289595954814,-42.54153966169344,D,0
Female,64,Heterosexual,Yes,-57.570376034152304,E,-107.34039431368147,9.133168327796962,E,-7.6948864231705425,D,D,C,B,-70.36020248187806,-118.50134714771214,C,1
M,67,Heterosexual,Yes,-23.91320122612342,A,19.32101020150976,-115.43223067046151,C,36.19118518535426,D,D,B,C,51.28972108379725,-45.26790664710654,A,1
Non-binary,70,Heterosexual,Yes,56.547113213461046,D,110.0929714109233,-93.1535848986409,A,-17.59863113983898,B,D,E,E,-108.4383409414597,50.163838647591305,C,0
Non-binary,65,Heterosexual,None,104.09556598219308,B,79.67240900270492,-103.64850147025717,B,-51.242219415323056,E,B,E,A,-81.62664546911562,95.76201148388057,E,1
Other,71,Bisexual,Physical,-123.89860324312778,B,-98.53112568636581,228.88702424045812,A,24.580254722082902,B,A,B,E,-99.95941104982167,-39.56678651891672,D,0
Female,47,Other,Physical,128.7574445054706,E,-2.8293905764597045,-20.348598145642622,B,36.55305925599082,E,E,D,C,49.32959509630473,-6.224875178242787,A,1
Other,58,Homosexual,None,82.06398831793945,E,-235.12309447661067,-59.30704062926239,E,22.83977124375545,B,E,A,B,-348.313049222938,46.53479243994078,C,0
F,59,Bisexual,Physical,-58.89538250133711,A,90.71846061806417,-99.68935047222121,B,99.1720386995169,D,B,D,E,-163.74084083010615,86.77290029742201,C,1
Non-binary,18,Bisexual,No,-92.72733433169229,E,76.8877976088977,241.77700092132378,D,-115.28402601443246,D,A,D,A,18.873493288998173,-48.354408751548796,C,0
F,76,Bisexual,Physical,-3.6781308813743725,C,80.83001421994925,120.1842150582771,C,2.3840423790488194,D,A,C,D,16.03667942796052,-250.16377695288497,B,0
F,70,Homosexual,Yes,4.639511748093978,B,-10.711364386805343,-48.20546542963828,A,58.637061351191875,E,D,C,A,139.718143497505,187.23764588732038,A,0
F,19,Homosexual,Yes,-35.85742920434915,B,113.9508727020252,17.777989555496685,A,78.30018527920711,A,A,A,D,199.65496762401006,64.04989830731101,A,1
F,38,Other,None,164.1714549132694,C,-25.57901085458131,-33.37526890970642,B,94.7443185447696,A,A,B,E,-64.55691773960599,104.73347076615191,B,0
M,55,Bisexual,Physical,-198.99129927599614,E,107.82906250773014,-95.54910852233863,D,3.312702141583842,D,E,A,B,-14.360618998864119,32.986283627906076,A,1
Non-binary,73,Bisexual,Both,86.93238430822504,B,44.32867291585631,32.99854130816264,C,-84.6125827411601,B,E,E,A,19.075433416310897,-73.57854859587796,B,0
Female,67,Bisexual,None,17.894404928178812,A,190.22255739507014,-172.73393212958126,B,-40.763683892347316,A,B,D,A,17.266621173260607,0.43508243069956587,C,1
Male,64,Bisexual,Both,-89.04235120099693,C,1.4146633657542471,-83.17536405880334,D,35.043076345026954,E,C,D,E,97.3628975341897,-182.66443732512144,A,1
Male,63,Heterosexual,Physical,-13.858427015586486,C,24.977371670297487,86.74595357197076,E,-17.887404702420266,A,D,A,E,8.740309105981586,-90.63109438358269,E,0
Other,50,Heterosexual,Physical,-109.5940156434948,D,55.45796680013544,19.383105279740175,A,204.9534041691751,E,A,E,D,104.92184797612455,-45.947952521851384,C,1
F,59,Homosexual,Mental,39.64732013606956,A,-190.48356768188043,92.62295619982557,E,88.48542710918915,C,C,A,D,-31.2005415247049,-186.7119086196594,E,0
Non-binary,64,Other,Mental,104.62500532245755,C,-57.99343515207786,134.38708655682623,A,128.34176176249917,E,D,B,C,-18.45601394985966,-10.918269220455592,C,0
Female,66,Other,Mental,-105.10702542655339,C,16.877221933152676,-19.528490660277757,D,52.94431804078922,B,D,E,E,-59.913663008807795,-50.176616849970266,B,1
Female,33,Bisexual,None,91.27379808650251,C,112.30819233405481,-30.27588307427227,C,-37.15441341894443,C,C,B,A,74.02694968651807,11.867786796165058,C,1
Other,45,Homosexual,Physical,113.38651761531007,A,-29.039594784670246,-76.5197294833356,A,107.418420077892,D,D,A,C,3.3827292793906527,277.72521748165053,A,1
Male,23,Bisexual,Physical,78.45509693073043,D,-87.76251721451258,-60.321081510256,D,-75.51859906191547,C,C,B,B,93.20688215132242,109.65922096885406,D,0
Non-binary,54,Homosexual,Physical,54.15020516013348,B,79.84471423986385,-65.02048883802918,C,38.53550616466508,B,C,B,D,40.363448959792684,165.06001022555904,D,0
Non-binary,37,Bisexual,Mental,-81.31000925255667,E,-23.9111616674095,-215.01267058224977,B,73.70229641913411,B,B,B,B,115.69507492879892,-75.15524172910334,E,0
F,67,Heterosexual,Yes,124.60758853860226,A,-135.79276043685073,11.127967165555248,D,-141.64146349649224,C,E,E,C,6.2184246614565435,-6.927071876802623,A,1
M,73,Other,Both,-15.195477144190026,E,23.823986642203828,26.749607632174556,C,-180.3345717347985,D,D,D,E,58.5545050632054,53.6923796708793,B,1
F,43,Bisexual,Physical,95.89660891322582,D,8.764445293356578,-161.87440792698717,A,-103.7215904058548,A,A,D,E,153.40932352559005,32.27873872404984,D,1
Other,67,Other,Both,-181.4464095701538,C,-3.4015053185901443,-34.5300510334042,D,-200.12751624450527,E,E,D,D,88.12741145996279,-5.539222802742818,C,1
M,38,Heterosexual,No,33.31336748730527,D,-53.795881925117314,205.968243935013,A,7.52734926923508,E,D,E,B,-29.21416499936223,-18.063457326956698,D,0
Male,52,Other,None,6.880299984579347,E,-136.24217435300568,-40.26116501447582,B,84.06278809425056,B,D,E,A,6.239798897742723,-8.382488080828972,A,0
Other,52,Homosexual,None,112.95887373336801,C,74.87694065504957,-131.36899983310352,B,-4.149812386631912,D,C,E,A,-73.87454045143657,247.0619834229098,C,0
F,54,Bisexual,None,91.53782009242138,A,13.464110636323575,68.54818208382265,A,62.47284707055864,C,A,E,A,45.7537600773865,69.2335537093688,A,1
Other,67,Bisexual,No,17.01182534983984,B,-12.942535366587013,47.27419324246158,D,34.600069640655384,D,A,C,C,-173.34023211791316,69.03436833942229,A,0
Non-binary,44,Heterosexual,Yes,155.42004731702866,E,58.29585746377413,-59.560781233288516,B,-153.70466107475755,E,E,E,B,-172.54614335406058,33.93023775467702,C,0
Female,20,Bisexual,Yes,110.09130180195426,A,-108.28830823181912,-103.37009980404655,E,-51.956172539843784,C,B,D,A,-176.62697378205078,167.71654303512688,D,0
F,26,Other,Mental,121.21998841395268,E,-57.245484715460314,104.33947353137386,A,-21.00992304549849,C,B,D,A,90.914541656928,17.59353820256876,A,1
Male,58,Bisexual,Physical,-167.20780046104713,E,160.50875276842288,-165.75189739996532,B,-50.03661643150852,C,A,E,A,-157.91497765078594,-43.74901957922092,D,1
Female,55,Heterosexual,Both,0.9978101802649744,A,-10.640708886556293,19.50653570396936,A,54.119914477858025,C,B,A,E,102.55847130609588,47.6015999067576,D,1
Male,52,Other,Mental,-217.08220517931437,C,51.65298116903606,-173.14986725451902,C,-41.74159852292022,C,A,C,D,107.60926674062299,-3.170243312069268,D,1
F,25,Bisexual,No,122.04529386306288,C,-23.67356918633817,127.2998131039738,B,-64.23442808835273,A,D,E,E,144.5091244909968,22.28998101238019,C,0
F,23,Heterosexual,Physical,-88.99725239772273,D,-61.23806900799924,-150.79829806087153,B,52.21585054239618,E,D,C,E,113.21168172932472,95.49800381092271,D,0
F,41,Bisexual,Physical,-37.60605608203434,B,-20.96784634339221,-46.83741908513336,A,-39.6795013740949,A,C,C,A,-7.8150536899998,0.10083109438348001,C,1
Male,30,Other,Mental,55.15618889681364,B,-85.82801514191239,-1.7375883510705896,A,11.658437935471174,E,D,C,E,85.78766508005077,-87.39220651541648,D,1
M,24,Heterosexual,Physical,67.8632238300019,B,-4.1734864091377535,-17.973050964021347,B,-4.037754424077948,A,C,A,B,-105.18927473298739,131.87630533537336,E,1
Non-binary,71,Homosexual,None,78.3796507148513,E,-114.76168393854987,36.02239373744908,E,-21.692842934224842,C,D,D,C,-166.62954542408562,-32.98519505461165,B,1
Non-binary,36,Heterosexual,Mental,-127.15431134499626,D,114.45687003850047,-16.752330405179674,E,93.38860875231846,D,A,A,A,132.8517085788691,-84.02381210792423,D,0
Male,57,Other,Yes,12.251242662616283,D,126.1539564472227,36.40567530925229,E,-144.0054046364768,E,C,D,B,42.11124538531285,183.08897166802927,E,0
F,78,Homosexual,None,86.4997507763299,B,60.87309472459824,-89.34283817633396,C,-22.185231129827454,A,B,D,C,30.54927233979271,2.346874357437082,C,1
Female,69,Heterosexual,No,-59.78907659904606,A,-58.749071252279215,-85.30801039263443,B,49.70052633103523,E,B,B,E,228.22671939368476,65.60202053857665,C,0
F,65,Homosexual,None,-16.90066513035063,E,138.99515452143362,145.55806678300712,A,28.05163116455514,C,E,D,A,205.0006834207661,-12.354528279667539,E,0
Female,63,Bisexual,Mental,-147.50293659621997,A,119.06368689070055,-17.96883537560173,C,-15.54472536235145,D,D,A,B,45.56788219371659,89.8126634077295,C,0
F,27,Heterosexual,Yes,-41.90856994029885,C,58.862495525883084,27.8789729389517,A,-12.821417010783186,E,C,C,C,-139.14803803659703,-41.63085069274807,A,1
Other,75,Homosexual,Yes,-49.61386641928468,E,-66.92060085119103,-66.43805787382846,E,33.690177740996155,A,B,D,D,300.7444305842026,167.86743034004468,A,0
Non-binary,69,Heterosexual,Yes,-37.91248025064836,A,3.8445327834763137,-27.46218754602677,D,-157.276781379317,B,A,A,E,-118.06814295811432,-159.81560533145012,B,1
Male,39,Other,Yes,-154.25292537731374,D,68.88727965463366,-154.02022443858374,E,-54.27559000202885,D,A,B,B,19.802399502744702,-133.5621324658454,C,1
Male,79,Other,None,-116.01134031037263,B,74.2955835404016,24.437049706970964,B,12.760642205072264,B,B,A,E,-65.16323557290188,1.2842109645384856,B,1
F,20,Homosexual,Both,106.77396948309126,C,95.80412004091336,-37.59764436638543,D,25.3268948844756,B,E,A,E,74.44957003317022,184.77482770610257,A,1
F,28,Homosexual,Physical,-97.12863131182387,A,-144.0320727379009,-2.4534734437695676,D,-34.205919128413534,A,E,A,B,-160.76742308248245,-20.08597126227569,B,0
Male,29,Bisexual,Both,38.18853365048303,D,-103.55191500848181,-36.56440492400584,B,-25.78420071940392,A,A,B,E,-92.41306176035974,56.131449174002036,B,1
M,75,Bisexual,Physical,32.569410721382994,E,-61.912459624987356,152.48571817181463,B,18.38901773010477,C,B,C,A,-26.141787115006448,-54.92936484717236,E,1
M,47,Heterosexual,No,-0.6895045876484256,B,-145.537944008169,40.781348006627304,D,174.2209705177426,A,C,E,A,-148.80003949612274,94.43732399962549,B,0
Male,45,Bisexual,Yes,264.58910870623356,C,9.483728028256579,12.320144620615054,C,22.99706534851885,B,A,D,B,26.97970265153884,0.035802187587175356,C,1
F,39,Homosexual,Both,111.8595498549173,E,-41.19934624318823,160.54261238489806,C,-124.40424275543896,C,C,B,C,-51.30025331690933,-143.0913543167655,E,0
M,63,Heterosexual,Yes,131.19946631005462,D,55.27711792836642,32.45014854049593,B,68.13375649627308,E,C,A,C,7.238514686732798,-117.36938080284443,A,1
Non-binary,33,Other,Both,58.2065630370426,B,-153.02981613788626,-7.2870614405030425,B,182.29117482246028,B,C,C,E,-130.77668813314077,-3.2900266273760534,B,0
Female,76,Homosexual,Yes,-56.80741909157564,B,-82.27621885008335,-46.66693062501878,E,-35.21710276381333,C,A,E,C,49.171910470886914,167.94284556679207,E,0
Other,30,Other,No,167.29023861662014,E,65.41716066478756,52.594858477015826,B,61.329945196387804,B,E,E,B,-35.19427538357532,120.34401895996653,A,1
F,54,Heterosexual,None,-105.18271803139514,A,-288.52451979524704,-161.6641256675068,D,-165.38768438510988,B,E,D,C,102.03550884529716,60.1728225879321,B,1
M,57,Other,Physical,29.4090066315081,D,-151.94317208811665,-89.12973758415437,C,2.908154784049616,B,B,B,C,69.29345813353859,26.417904487028043,C,0
Male,24,Heterosexual,Mental,22.54136484989064,E,5.303281602906051,-44.88065127302418,C,101.12271669804811,D,E,D,A,67.66164239917872,-128.00789165590544,E,0
Female,21,Heterosexual,Both,74.20904774506398,D,26.92426201842561,166.6563965605998,C,81.84108063771532,B,C,D,E,-46.319523884595384,61.0205278879166,E,1
F,26,Heterosexual,Yes,-23.72663818771169,E,-23.7359283058634,19.009795946027698,E,-15.628168289597443,D,E,E,B,-107.68778167305588,-31.228594380094854,B,1
Non-binary,37,Bisexual,Both,-133.4152199057125,A,-15.271646618443215,-110.08634056093531,E,-64.03271611706003,D,C,C,D,14.074881364761133,65.4656919516939,E,1
Other,77,Heterosexual,No,-187.03290207229097,B,55.68977576413927,330.23762626633334,B,-157.35226601830738,C,C,A,B,21.084079472606255,87.95017371426243,C,1
Other,37,Other,Physical,24.63908060678411,B,64.4316001017402,-171.7332800973415,D,16.21345233532799,D,B,A,C,-31.47591015922216,26.615474459665485,D,1
Non-binary,43,Heterosexual,Mental,-126.27430003109087,D,-163.05478648937134,-54.79029572155193,A,-81.80118613396067,E,C,A,D,-138.2478263543147,77.34457830182741,D,0
Non-binary,45,Homosexual,None,24.682998218596026,C,-97.49024202048857,-83.69964829507174,B,123.87534410415854,E,B,D,C,104.34438584790283,-60.86567951598785,A,0
Non-binary,27,Homosexual,None,-1.9403862934514329,B,-111.2846775479901,-151.7197864256225,A,23.561211328682802,A,D,C,E,-113.17502245796003,-69.83123815998132,B,1
Female,48,Heterosexual,No,69.41730073655457,C,-8.508858588948016,-78.60125086992625,A,-148.837692176769,D,D,E,B,111.86780891988226,110.35495032841868,D,0
F,41,Homosexual,No,34.12028419586666,A,-21.975290001087362,-22.07252308728153,E,-53.271276333397566,C,B,B,C,0.6163513429317543,-150.81400262580692,B,1
Male,42,Homosexual,No,40.06456406104592,E,99.9833048998263,-96.36465075002062,E,130.17135272959243,E,A,D,A,114.63269934287486,136.29085246953235,A,1
Female,31,Other,No,110.72504380414077,D,66.1252490598386,60.414505516769765,B,-30.431088501631535,E,C,B,A,129.52727296311792,-15.581248239402415,B,1
Non-binary,20,Bisexual,Yes,55.10241885314764,B,84.05369587390223,-54.559398589919496,E,-51.08362144194438,A,B,B,A,-78.26583171376444,-11.973779852540343,B,0
Other,39,Homosexual,None,-122.17966749989093,E,182.55037424202663,129.62608418882803,C,40.01142132346931,E,E,A,E,67.09671333001344,-26.137980106069346,D,1
Female,34,Bisexual,No,-103.53532754134658,D,48.08721591582777,-60.338852486065754,C,37.42435733348238,A,B,B,A,197.67398277906779,94.57408171816029,A,1
M,67,Homosexual,Mental,-49.49149047033289,E,-90.1945207457587,-36.221968094991084,D,68.54796225257694,C,B,A,D,-118.3378703848203,145.24336537304544,E,1
Female,59,Bisexual,Both,46.32473882143782,C,-118.53095793950352,-67.71555246460193,C,-5.728148302595797,E,E,D,D,33.08646479358986,-86.5046983978445,B,1
M,73,Other,Yes,-43.93762329318736,D,174.03936645599788,-18.86403377127949,D,57.80339756503922,E,A,C,B,-45.66242077399618,-33.22351324852342,A,1
F,61,Heterosexual,None,-67.94659911363709,C,-169.6239641238206,32.990876739759464,C,67.21383782721766,B,B,B,D,18.36288020296451,38.294842737301614,A,1
Non-binary,22,Heterosexual,Physical,33.069486628036074,C,-58.41561521765757,-86.79252366989284,B,1.0746250595196842,D,E,E,C,-189.7525324510822,55.939581395822266,E,1
Non-binary,71,Heterosexual,None,11.936132237164026,E,-155.78760466106624,107.55795266712926,C,-155.02668386622983,C,E,B,B,28.840889124702457,37.90975595291605,D,0
Other,67,Other,Both,173.63863942751962,D,139.87989414544273,-14.309392128599589,E,-94.70348847869448,A,B,A,B,-98.3540339383606,28.246060464173816,C,1
M,76,Heterosexual,None,43.32867178644618,B,-116.89682207952579,-69.37386225068123,D,42.22122894802959,C,C,A,C,-77.07108968810591,25.39130650471127,E,1
Non-binary,55,Bisexual,No,-63.657863636139126,D,-70.56144533724574,-180.97054542525782,A,-61.44213473308615,C,D,A,A,51.49691162056011,38.82092100682871,E,1
Other,68,Other,Yes,-187.99793015481077,A,29.3282137946112,-35.71408204709105,C,69.78970936974075,A,A,C,E,42.261821617146026,5.113523458682286,D,1
Male,60,Other,None,-18.907289428951433,D,-97.2587994373216,-140.21927889262372,A,49.09261522085656,E,B,C,E,15.337356760993886,-14.504689773422566,C,1
Male,63,Homosexual,Mental,-18.146920347064942,E,-65.65170682434875,164.0833149947609,E,83.304922506846,C,D,C,B,-108.2846495241637,195.96134123077783,A,1
Female,48,Bisexual,Physical,-16.704678667632884,B,31.385301384500426,-26.561660608156252,B,93.50325109242348,D,C,D,D,29.98652706685393,-61.53108891719522,C,0
M,78,Other,Yes,100.43737557908847,D,80.28987293904169,25.91216008601633,B,17.85578320388452,A,E,D,D,86.88158332033305,41.21926424185676,D,1
Female,66,Bisexual,Both,-58.41343615758352,A,-21.503240641231248,-83.34528952732416,A,26.0789327117664,E,B,C,A,-116.99240626595456,-51.03337476221543,C,1
Non-binary,69,Heterosexual,Physical,173.22618645322527,D,-256.7233308398061,138.15223182825525,D,-15.380594594749445,A,B,D,B,-19.037187173965858,1.00363871598526,C,1
Male,23,Homosexual,Physical,-41.49855412055638,E,43.42566501439274,106.39464486266792,D,119.29578516116086,A,D,E,D,166.06981899561072,89.84623431934887,C,1
Male,44,Bisexual,Both,-84.63435925795922,E,-113.79869461066102,-12.470882286140746,E,69.72389303511113,D,A,E,D,87.24581152277314,43.10606073065763,D,1
Non-binary,26,Bisexual,No,-27.8289747605342,E,30.564546736414012,-2.1004330185756004,E,-54.37863225804698,C,D,B,C,-42.3617751806449,-60.10146035883999,D,0
Female,20,Bisexual,Both,120.93530432487714,D,-72.52099372861387,21.767756159223964,D,-39.56072307662954,B,A,B,B,-1.191823427063895,123.63982695386923,D,0
Non-binary,45,Homosexual,No,100.06936310500107,D,-397.01801035072776,-52.796509799459415,A,141.09175992800206,A,D,B,C,156.1288615555425,-128.7183211305122,B,0
Other,27,Other,No,105.01158831226003,C,38.24076912165594,118.59732280299112,A,54.00173691395595,E,A,C,A,70.39917120475225,-88.28989183501567,A,0
Non-binary,38,Other,Yes,-100.35753706448838,E,-2.189551975008795,-7.974134029981251,D,138.06597364522085,E,E,A,A,-63.80076150547866,-122.70215787498644,A,0
Non-binary,52,Other,Both,9.803520226599685,E,25.500633291115033,12.814407350621423,B,-35.01843160795104,B,D,A,C,-128.47163232694467,52.02534131367664,D,0
Non-binary,44,Homosexual,Physical,87.45276213296162,C,-59.99869708443817,26.136809828322928,B,-123.40220071299728,C,E,D,E,41.61016476927635,50.11329551636612,B,1
Other,52,Other,No,-209.1979545705258,E,-89.37799612991653,156.5233101561644,A,-23.822707438487857,D,E,B,C,-89.16967664106272,-67.6162652441561,E,0
F,28,Bisexual,Physical,160.03748929984604,C,84.80342647836414,-65.70523404036855,E,-59.293289758031605,B,D,D,A,34.54591855531093,-106.19236426384329,C,1
F,28,Homosexual,Both,-103.85530808013095,D,92.6431371976279,-95.37828881035301,D,-20.251774325130427,D,E,E,A,-138.20505630175876,109.62236762908543,D,0
F,77,Other,No,-22.372684571979974,C,48.36505852613692,38.43840735298606,E,84.56056355988079,A,A,C,B,39.84458579643923,-22.217207714328808,D,1
Male,21,Homosexual,Both,-50.84351016452523,B,-68.09915762070408,158.0353651283922,A,40.98326093393672,E,C,A,C,-11.971642546756023,47.97010860430178,D,1
Male,32,Other,Physical,138.14848906947697,B,-18.516091070694348,18.638056634491587,E,109.72526079998389,D,A,D,A,-170.113873826685,-78.29333383817949,D,0
Other,67,Other,None,-12.879593900126263,B,49.350121611592314,-73.54600405719262,E,-127.40023962580962,B,E,D,B,53.65593319770976,-43.14669538707921,C,1
Female,72,Homosexual,None,116.09198260681426,E,-131.6031903466387,-119.31627225657546,C,-69.11320682753595,C,E,B,E,-42.37404330305782,-72.12071549974777,C,1
Other,66,Bisexual,Both,-30.685986082726398,B,-72.67197078641038,-48.57493799285287,E,19.56036572020721,B,A,C,E,-52.55643374255302,-205.36782510545825,D,0
F,73,Heterosexual,Mental,-68.98388735286959,A,-36.73385438795522,-76.34837299132394,C,-31.886275852340894,E,D,D,D,25.640497002068628,88.13858363877745,E,0
Female,43,Heterosexual,Physical,66.67872772554566,B,22.252884834734925,156.46373412964462,A,154.9767231474471,C,B,A,E,23.89422496840218,-93.67370794185418,A,1
M,68,Other,Both,174.04774412179302,D,-2.459092423313957,99.92169388530212,D,145.65020786769506,D,B,B,E,-72.52695450721033,-261.89716487846175,A,0
Male,20,Homosexual,Physical,-0.41231897101678694,E,-47.89193448100739,194.19395541951064,A,-124.58105460648005,E,C,B,A,123.5814309879457,25.01171594261415,E,0
Female,25,Homosexual,Yes,-86.28002945984836,B,17.999761586795735,-181.67685074974437,D,-20.00301354057669,B,C,D,B,-26.21263319375175,34.931041189397014,D,0
Non-binary,73,Homosexual,No,-191.33636022924318,D,55.835696051824904,110.21854911003783,A,103.15824770399405,A,B,B,C,-81.3434571372139,0.7253816430719551,B,1
M,74,Heterosexual,Physical,37.42848013805339,B,-28.73892961660882,29.16206123305452,A,130.04438221144926,E,E,A,C,225.07219096219285,97.34201826101582,B,1
Other,34,Other,Yes,-60.85285335091651,B,66.1514708133116,-1.636663475507838,C,-160.24413744392626,C,C,C,E,82.63761748102074,82.26418806124211,E,0
F,21,Other,Yes,75.53581917758069,E,-163.99770141389254,47.322071367776175,E,-129.10192840281516,A,E,E,B,-101.2465248160512,156.0504922223599,A,0
Male,69,Bisexual,Both,-9.793786929964607,C,47.09357264225575,-120.83374057742556,E,-107.12001287310073,E,D,B,A,-67.3074144533129,-98.52939439257106,A,0
Other,67,Homosexual,None,-35.80346159906158,D,148.8014591134529,53.63212271814799,D,8.947286413139825,D,B,B,A,92.02748404811027,90.26237648195503,E,1
Male,68,Bisexual,None,57.4491424688082,C,23.745738354076742,53.8442020733465,B,-55.12859010322637,E,B,B,E,6.598358108086846,83.29057810765585,C,1
F,74,Heterosexual,Both,138.9042089202348,E,136.3866120128332,12.710944517121318,E,-123.35858570034944,E,A,D,B,-132.2269160431222,-90.12673638819076,E,0
Female,51,Homosexual,Yes,151.38830820036796,D,54.214699379460896,5.1818847028717645,D,4.25032886735946,E,B,D,B,-104.30247587006924,53.28372408872208,D,1
M,22,Heterosexual,Yes,-19.14386052453291,D,-30.417473212728503,-157.74357880887507,E,-38.245520696472504,E,A,B,B,-19.485162977007047,11.457923513750272,D,1
Female,28,Other,None,111.52574210042174,D,61.917793537956236,-50.52750440352863,C,-38.00696901853517,B,C,C,D,8.543781916668987,-30.581155332611953,E,0
Other,22,Bisexual,No,-96.09683551626976,D,15.632294947352232,-7.68570120832717,C,-94.69095971544286,E,A,E,E,-24.121238182888526,-169.9897465887868,A,0
Non-binary,61,Bisexual,Both,129.32020199946527,E,-15.841921017812183,-35.13279412196356,D,42.81928686833359,B,D,A,E,161.5289551652641,84.89228402693513,A,0
Non-binary,64,Homosexual,Yes,76.34046555215195,E,198.16197378216006,-97.09209727548925,A,62.62511443880425,B,D,C,D,-62.23247535720158,121.04130949049974,C,1
Male,27,Heterosexual,No,2.4299419422348056,E,2.694155555700497,-17.775251026373837,E,-74.63593419336463,B,A,D,E,127.00765999411064,76.08819840590387,E,0
M,29,Heterosexual,Both,33.619827176552775,C,47.99537309622501,28.308632556249542,E,-36.85508331278772,D,D,B,B,-89.09271370845464,115.83350853462694,A,0
Non-binary,35,Other,Both,-16.206218378939845,E,48.34738399533361,-75.6850258605702,D,-155.5361232310953,B,D,C,D,-40.078884755715364,335.20293006381615,E,1
