ethnicity,Nationality,age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Black,Germany,36-50,Other,D,92.77283138965751,B,A,B,-7.316433413331418,B,C,191.9714093553621,E,B,0
Asian,US,36-50,Muslim,A,103.16910888237429,E,C,B,142.70421313236773,C,E,130.5789679007307,B,B,1
Black,US,65+,None,D,-3.424257396822225,C,A,D,81.215340334485,D,C,116.6529312450153,B,D,1
Asian,UK,36-50,Jewish,B,-188.967198078647,B,C,D,45.345746931715745,D,D,15.911325954078215,A,E,1
Asian,China,26-35,Hindu,A,-30.26995743892349,C,D,A,-79.7434926635345,D,D,-30.441020777806738,E,C,0
Asian,China,65+,Other,C,123.31431678025014,E,A,A,-261.0172631560316,D,E,-93.40774830443607,E,D,1
White,Other,36-50,Hindu,A,-98.5515380638711,D,D,C,-186.54591486743297,E,C,-221.65510091628008,C,C,1
Other,Mexico,26-35,Other,B,79.6912698775635,E,E,A,100.268355389069,C,C,-37.75400379277946,C,E,0
White,Germany,26-35,None,D,-28.075835209970617,A,B,A,-11.14953620422997,A,E,-100.92830625802327,C,D,1
African American,Germany,26-35,Muslim,B,-100.20631161436337,A,B,E,-204.87551330163458,A,B,-32.292449795460776,C,B,1
Black,Other,65+,Buddhist,D,-107.39757897816867,A,C,C,69.27726302850363,D,E,-36.67829572145757,D,A,1
White,Mexico,51-65,Christian,A,22.672565555922095,C,C,D,34.546278041491995,B,B,-63.99769457646989,A,D,0
Other,India,51-65,Jewish,D,-117.55457083512508,B,D,D,92.09978580630883,A,E,-106.20868984851751,D,E,0
Asian,Other,26-35,Christian,D,-53.15051360744366,B,D,B,6.719112950628448,A,C,89.34111443370337,D,D,0
Black,Germany,36-50,Other,E,-23.504038200970804,A,B,D,3.972015831854545,A,E,42.14005530368112,D,C,1
Asian,Mexico,65+,Hindu,E,31.9796525563534,D,A,A,-81.13125025790029,A,E,82.99533503008234,C,E,1
African American,UK,51-65,Christian,A,25.96424528305863,B,C,A,230.52868660483955,A,E,-59.465334229967105,C,A,0
Asian,Germany,65+,Jewish,A,-48.690204054518524,B,D,C,-97.92935550004744,B,E,-71.96077164955103,C,D,1
Black,Other,65+,Other,E,177.39054475754395,A,B,B,-33.40602517745198,C,C,-75.96897837483905,D,A,1
African American,US,65+,Hindu,E,-66.51478107099406,A,A,E,-95.62344428606227,A,B,-91.4239704544982,B,A,1
African American,Brazil,26-35,Other,C,36.610485567133416,A,E,C,60.91364191679857,B,B,-178.41750067690003,E,C,1
African American,Germany,65+,Muslim,D,-56.925446764252044,C,E,B,-48.20864470692939,D,B,103.42362844248949,D,D,1
Asian,Germany,65+,Buddhist,B,-185.9095765937253,D,C,C,126.38161093453242,A,A,-115.37966402951693,D,C,1
White,China,65+,Hindu,E,145.507907683739,D,D,C,-70.40278735479939,E,D,-3.4614167579993596,D,E,1
Other,UK,26-35,Hindu,B,-78.9193526623324,C,B,A,-43.979304399503285,C,E,-40.6846247330207,D,D,0
Black,US,51-65,Hindu,E,-21.13139549003293,B,A,A,-52.926815423328875,A,A,67.29754036965129,C,E,0
Other,Other,36-50,Buddhist,D,-79.22112454649553,D,A,A,21.86373554102441,C,A,52.78313810567998,E,D,0
African American,India,65+,Buddhist,A,8.3558604502676,D,D,A,-23.962110584126453,C,A,-137.89654777795468,C,A,0
Black,India,26-35,Other,D,-121.8754721024568,D,C,B,-27.563550178753495,B,B,43.929910428820904,C,E,0
Black,India,51-65,None,C,-32.205122077039476,D,C,C,78.0987904469597,D,D,-6.810928788076306,E,B,1
Hispanic,UK,26-35,Hindu,C,8.1546121288245,E,C,A,0.053382240855280136,B,A,10.780323175155848,D,B,1
Other,UK,36-50,Christian,D,-152.81920071136315,E,D,E,27.72824897737526,D,B,44.82090373710344,B,D,1
Other,India,51-65,Muslim,A,-36.2542575078839,E,A,D,-188.09300892921308,E,C,17.366443596091628,E,E,1
Hispanic,Germany,51-65,None,C,-102.96944558269685,E,E,D,-76.73961000105723,B,E,-68.9359914994054,B,A,1
White,Other,26-35,Muslim,D,-30.953886440628192,C,B,E,-158.02753860645987,E,E,4.785821970119661,E,D,0
Other,Other,18-25,Jewish,E,99.99948334231729,C,C,B,-16.12258244157539,D,B,53.67126354802835,D,E,0
White,Germany,51-65,Hindu,B,-11.569124215619997,D,C,A,140.13244905661222,B,A,-25.929833154519123,E,A,1
Hispanic,Germany,26-35,Buddhist,D,-54.504788876658594,B,B,D,47.340223140499205,B,B,168.44270870433704,B,A,1
Asian,Other,18-25,Muslim,A,-92.12433551854008,B,D,E,-166.51682793538248,A,B,36.76385165436919,D,C,0
White,Germany,26-35,Christian,A,248.03638735160249,D,C,A,195.94593443814844,E,E,187.57593870564327,D,D,1
Other,UK,51-65,Christian,A,-174.92122929717112,E,D,A,-136.6246028396149,D,B,-19.500646857728448,C,E,1
Asian,Brazil,26-35,None,A,-60.22289839202733,A,B,A,-40.48151712934309,E,D,-130.21320709836536,B,D,0
Black,India,18-25,Other,D,70.7831231328222,E,E,D,-121.27622390103777,E,A,-134.6456761506772,A,D,0
Other,Brazil,36-50,Buddhist,A,197.9516442518763,A,E,B,107.49037497107972,B,E,-52.69100725690195,E,D,1
African American,US,65+,Muslim,D,68.86127170260751,E,B,B,44.2784922612972,E,D,-43.57930273653556,C,C,0
Asian,US,51-65,Christian,D,-41.72099124372667,C,E,E,-58.83400674702498,A,A,48.24597954199331,C,B,0
Black,Brazil,26-35,Other,B,24.263897655025794,C,A,E,47.73367151674806,E,A,237.30405846539742,A,E,1
Black,China,65+,Christian,B,-59.29821865936476,C,B,B,79.60135051137446,D,B,162.0748362984727,E,A,1
Black,China,26-35,Hindu,E,53.91148065216884,E,A,E,160.49521471702099,B,A,62.66172794951412,D,C,1
White,Germany,36-50,Buddhist,D,56.38527397098893,D,A,D,124.13981248801844,E,B,-251.41647352847687,C,C,1
African American,Mexico,36-50,Muslim,E,46.98632108663852,E,C,A,-126.23240608858151,D,B,198.84081874971184,E,B,0
White,Mexico,51-65,Jewish,B,-3.461927467056167,E,B,D,-135.13822698672234,C,B,-131.78065377583857,A,D,1
White,Other,65+,None,B,-0.6405437001455174,E,B,C,39.10583360535273,A,A,-27.183633223032366,E,E,1
Black,India,51-65,Other,E,30.906103153856296,C,A,A,108.39101551403286,E,E,-145.93766297310762,D,E,0
Other,Brazil,26-35,Hindu,B,-167.91968136099365,C,E,B,160.60983820575822,D,D,-50.78644122257114,D,C,0
African American,China,26-35,Hindu,E,62.25661145644645,E,D,A,-23.033801120242913,B,B,22.889126684370463,E,B,1
White,Brazil,18-25,Muslim,C,284.82161449137465,A,E,B,-182.20903791435643,A,B,220.19054312372668,C,C,1
Other,India,36-50,Buddhist,A,-15.43715705674985,B,A,B,-90.64336024435718,E,D,93.84819148435228,A,B,1
Other,Germany,26-35,Muslim,C,20.632583355872868,E,D,A,106.90531743166079,B,E,-22.535510820247573,C,E,0
Hispanic,Mexico,18-25,None,A,69.39235470185031,B,C,B,-7.1434069429347975,C,E,46.12923715007582,A,B,0
White,US,18-25,Buddhist,E,117.25629417612433,E,E,D,27.382216816306503,D,A,56.46574702555949,A,B,0
Asian,Brazil,51-65,Muslim,A,13.58570646176796,C,D,C,-18.98090012827128,E,D,-63.422143107740546,B,B,1
White,China,26-35,Hindu,B,45.31885934210487,B,C,E,-89.45890144444932,E,C,3.8632589727875692,E,A,1
African American,Mexico,65+,Christian,E,-230.16245974008166,D,C,C,-125.90003810976447,A,C,-95.4715659146499,D,B,0
White,Mexico,65+,Buddhist,A,139.0920557866238,C,C,E,-39.03002532262442,E,C,58.45296128178264,C,C,0
Black,Germany,65+,None,B,34.62540276507479,E,D,A,-151.1373014506663,E,A,58.34680501665053,E,D,1
Black,Brazil,51-65,Christian,C,167.14540791226918,B,B,A,208.7224336836544,D,A,-6.466088575624079,E,C,0
White,Brazil,36-50,Muslim,D,-64.15495506610607,A,E,B,28.791081757133497,E,C,167.08310151149394,B,D,1
Hispanic,Germany,26-35,Christian,A,182.20719063924432,E,E,A,4.67622360216864,C,D,5.641435223880297,B,B,0
Asian,Germany,65+,Buddhist,E,208.5290525348684,A,C,D,-9.049415799664605,E,E,-24.461458462460058,E,D,1
Other,Mexico,51-65,Other,B,-77.5672880108198,D,C,A,159.34974968148853,D,A,-88.72259473815453,A,D,1
Hispanic,China,51-65,Christian,C,112.76376040982483,B,B,B,185.179042154015,B,E,45.30870081688907,E,A,1
Other,China,18-25,Other,C,95.21561734708239,C,C,D,66.70998608434296,B,E,6.421098006570518,E,B,1
Other,Mexico,36-50,None,E,-82.84165330397528,D,B,D,226.54191018200166,B,D,51.39576631358068,E,B,1
Black,US,18-25,Other,B,26.513438984757826,B,E,E,16.195574938147892,B,A,-182.2895830626994,D,B,1
Hispanic,Germany,26-35,Buddhist,D,51.51956081587122,A,B,C,-107.86672585742849,B,A,5.24137921068589,C,D,1
Hispanic,Brazil,36-50,Other,C,-153.03872358785625,C,B,E,80.02653901235036,D,A,-55.13233432291539,A,E,0
Asian,Brazil,65+,Other,B,-17.24430433042908,A,A,A,174.91413055640788,C,C,-47.000185331437585,E,C,1
Asian,Germany,51-65,Jewish,E,60.001964625176704,B,C,A,126.95582111467014,D,D,-99.7010874834488,B,A,0
White,Other,51-65,Other,E,12.489892087680117,C,C,E,6.335933415189278,A,D,-43.09935436460936,D,C,0
Other,Mexico,65+,Jewish,D,-36.04158510766962,C,E,D,-5.315787686481948,A,C,184.17479226600375,E,D,1
Asian,UK,65+,Other,B,98.1790164050078,E,D,D,-276.4781766012836,C,C,5.660294992332913,D,E,1
Hispanic,India,36-50,Muslim,E,-156.1503447152262,E,D,C,-60.11217690285244,D,A,-20.8557764083969,A,A,0
African American,UK,18-25,Muslim,D,140.99044780866018,C,A,E,-29.39122186876316,C,B,-63.399869168249836,B,B,1
African American,Germany,51-65,Christian,B,79.20008120739915,D,C,A,-79.80695058699155,A,B,9.063892965791545,B,C,1
Asian,Other,26-35,Jewish,E,165.84656161613717,A,E,C,-122.96063362899562,D,B,-125.04712483335516,A,B,0
Other,India,18-25,Jewish,A,145.99798511904706,D,E,B,188.18773013095128,A,C,-14.050409801250538,A,D,1
Hispanic,US,18-25,Buddhist,D,12.159270843821282,C,D,A,38.85468261974688,E,D,95.28492825602694,A,A,0
African American,Mexico,65+,Other,C,-38.5412040930839,D,E,D,-35.49655388544191,D,E,74.16073547889546,B,B,1
Other,US,51-65,None,E,42.961301228436234,C,C,E,12.835098925784955,B,E,-113.27666889479218,B,E,1
White,Germany,26-35,Christian,A,-50.16267771936237,B,A,A,-120.57942916164843,A,E,46.49752278371634,E,D,0
Other,Other,26-35,Jewish,C,-52.01973812311611,D,C,A,-137.67241634889652,D,A,-15.257091169862372,C,A,0
White,UK,36-50,Other,C,10.687787433203818,E,C,A,-83.41464750262003,E,D,237.66772460751025,B,C,1
Other,China,18-25,None,D,123.43099077968651,A,A,E,-21.437126044191295,A,C,87.28403177179997,A,B,0
Hispanic,Other,36-50,Other,B,123.88421506443845,E,A,B,-3.837904147912937,B,B,-168.82024754871426,B,A,1
White,US,51-65,Jewish,E,28.153769213782432,E,E,A,149.6793145740366,C,A,-24.445278265612888,A,A,0
White,Germany,18-25,Buddhist,A,28.073145479088474,D,D,E,-26.082625495108246,B,E,-166.78936392139408,E,D,1
Asian,China,65+,Buddhist,C,-17.966288259868417,D,A,D,-143.5658754044559,A,E,-78.51324483391696,E,E,1
African American,US,36-50,Muslim,E,-231.62752709942205,D,D,B,-106.15123830300526,B,C,58.596018019978416,B,D,1
Other,Germany,36-50,Hindu,C,57.67189559966752,C,C,D,-67.70945104656421,A,D,46.41872151613731,D,A,0
Black,China,65+,None,D,-180.31542178840587,B,D,A,-208.01105521665195,D,D,-109.31784101012522,D,C,1
African American,US,36-50,Muslim,C,8.372497969372725,B,C,D,19.925032570688273,B,B,-225.09146866005375,A,E,0
Hispanic,Other,36-50,Hindu,B,-111.92797294048056,D,D,D,-58.88744508379449,A,A,-3.1817535799550702,C,E,0
Asian,China,51-65,Jewish,A,62.166517501690585,D,E,C,46.31206895974886,D,C,-163.39167774551208,A,A,1
Asian,UK,18-25,Other,A,9.927827907628254,D,C,B,-42.71513231674468,A,A,9.454472987585774,E,E,1
Hispanic,UK,26-35,None,E,126.8770324315201,A,E,C,91.74829201889445,D,B,-145.82310820549756,B,A,1
Asian,Other,18-25,Muslim,B,-8.183573354737085,C,A,A,-47.94468144053437,D,D,110.60231352837498,C,E,1
Hispanic,India,51-65,Jewish,A,-133.23633180908078,A,D,B,32.428226131510925,A,C,104.41369252751103,B,C,1
Hispanic,Mexico,65+,Other,C,52.537446898609375,D,E,A,-0.49460844163478995,C,C,-108.9460805937301,E,D,1
Asian,Other,51-65,Other,A,-43.27932514776517,A,C,B,29.525914503115345,A,B,179.6560948770411,B,B,0
White,Germany,65+,Muslim,B,227.0372750714784,D,B,E,-46.581093053480735,E,C,-211.7781641050593,C,D,0
Asian,US,51-65,Christian,B,-241.84722691232986,B,C,C,-66.01609424006998,C,D,8.57163614255123,A,E,0
Hispanic,Mexico,18-25,Other,C,-76.66879461268043,C,E,E,41.673281702129884,B,D,-19.577568007632376,E,A,1
Other,UK,18-25,Christian,E,-63.18502224550981,C,E,B,-23.525266774757664,A,A,-14.662312325164493,A,A,0
Black,Mexico,26-35,Hindu,A,54.61160651565168,C,C,B,223.84085419138867,E,E,19.13373146202601,D,D,1
African American,UK,51-65,Other,A,-90.80398416576305,D,D,C,-156.64734293413466,B,A,-38.9689376512463,A,A,1
Asian,US,65+,Christian,A,-28.84930589300867,A,C,D,13.361987820692143,B,E,-68.07923396282382,D,C,1
Asian,Mexico,51-65,None,A,14.244976880329732,B,B,E,-28.73142352979142,D,C,123.29060013816225,E,A,1
Black,China,65+,Muslim,C,-163.01934778979344,E,C,E,194.86049165380638,B,B,58.97179395761587,E,A,0
African American,UK,26-35,Hindu,B,12.31937606309522,E,A,A,-135.6268214729765,E,A,-42.69997524074177,C,E,0
Asian,Germany,26-35,Buddhist,A,45.291226498293256,A,A,B,183.1779687823836,A,B,41.21506719093754,B,A,0
African American,Mexico,18-25,Buddhist,B,-67.18256692514694,B,B,D,-116.08640162771071,B,E,-1.4973691805507252,B,A,1
White,Brazil,18-25,Christian,A,70.30305312163463,E,A,A,32.851278365531336,C,C,-19.10555812145217,C,A,0
African American,Other,36-50,Other,E,-21.08491662968108,D,E,D,104.12400513543754,A,B,-58.058224780722654,B,A,0
Hispanic,UK,26-35,Hindu,A,186.36704599792807,C,D,D,25.74918380695114,A,E,-43.61205963832288,A,D,1
White,US,36-50,None,D,-110.67884875488248,B,E,B,-114.53587432250221,E,E,-14.23523139871028,A,B,0
Black,India,26-35,Jewish,E,64.06519509105308,B,C,E,-141.43309622443184,C,D,20.418665525822192,D,B,0
Black,Mexico,51-65,Muslim,D,9.40299260134924,B,B,C,27.86068743138731,E,E,-74.38289649674894,B,B,1
Black,India,36-50,Buddhist,B,-158.52347819261303,D,A,D,132.38644702748022,D,B,69.98374902873373,B,A,1
Asian,UK,18-25,Jewish,D,50.343034825510266,A,A,A,42.654165855125186,B,E,-95.898675994256,E,C,0
Other,UK,65+,Jewish,C,-14.34090864847154,E,A,A,95.89964323957321,D,E,-114.14092098158753,C,D,0
Asian,Germany,18-25,Other,D,-47.17653025150635,A,C,B,-140.5005449560705,E,D,-85.71656729254957,D,C,1
Hispanic,Brazil,26-35,None,A,-29.577786119426396,A,E,A,-109.90542705071118,B,C,-41.13442278303259,E,C,0
White,Brazil,18-25,Other,D,-125.30956838929328,D,C,A,-2.779625670652492,B,B,15.3350130360081,C,C,1
Asian,Germany,36-50,Jewish,A,-49.25079709657808,B,C,C,31.48046646036426,C,A,-49.406847717698376,D,D,0
African American,Germany,26-35,Christian,B,35.79052890859889,D,B,D,36.440096586137265,E,C,-94.60367817472593,D,A,1
Black,US,51-65,Jewish,D,-61.70975859573882,C,D,E,-90.05210226144116,B,C,-5.904013596638872,A,E,0
African American,India,18-25,None,B,-10.882590221129707,A,A,E,10.302609982818042,D,B,157.29469945963555,D,C,0
African American,China,26-35,Hindu,D,-96.08752314877988,A,C,C,55.968274178077635,B,C,97.98046628541933,B,D,1
Black,China,51-65,Christian,A,118.46380744631986,D,C,C,-159.51746178353036,E,D,199.24061989627833,E,B,1
White,India,26-35,Christian,A,-34.794274733454145,D,C,D,38.738880487727464,B,C,-60.76757990718327,D,B,1
Asian,Other,26-35,Jewish,B,-10.656064279919011,A,E,C,-98.42790060381198,B,C,43.28560741976536,C,D,1
Black,Other,18-25,Muslim,A,-30.58122106327782,B,D,A,111.6267348961739,C,D,-105.68506233844661,A,E,0
African American,Germany,18-25,Other,D,-22.68034317081196,C,E,E,-53.044648133279615,C,A,-8.01755935376454,B,D,0
Asian,Mexico,65+,Christian,A,-25.35170969612316,A,D,B,10.073238271975807,D,E,-236.5223433775085,D,B,0
Hispanic,US,18-25,Buddhist,C,-49.13790072091219,B,D,C,-45.03136225969816,A,E,-58.69106460089868,D,E,1
African American,China,36-50,Jewish,B,27.423569252528317,C,C,B,-152.72698514100077,C,D,8.92852029977171,C,D,0
Other,Germany,18-25,Christian,B,-157.54071078509432,A,D,B,3.894219642959535,C,E,-24.709318603680824,B,B,0
Asian,India,36-50,Other,A,80.90804561362297,D,C,C,25.017020547988167,A,B,215.02091767816327,E,E,1
Hispanic,UK,18-25,Jewish,D,75.85616734071776,E,E,A,-92.751782911539,E,D,-68.07693326690173,D,C,0
Hispanic,UK,18-25,Hindu,E,-90.7924124825741,D,D,E,31.528735600086343,E,A,40.637303315307264,B,A,1
African American,Germany,51-65,Muslim,D,-185.25435233419628,D,D,B,98.19570689301106,B,D,66.12701239265857,D,E,1
Other,US,51-65,Other,A,43.66416198730767,B,B,C,-51.786928739397396,E,E,-97.98116503261603,B,D,0
Black,US,65+,None,D,65.94753175078829,D,C,E,-161.99354983339109,C,A,-79.40027510370128,A,A,0
Black,China,18-25,Jewish,A,102.15388551863644,D,B,E,-57.97528193733803,D,D,-97.46291158590034,A,C,0
Black,Brazil,65+,Christian,C,-28.410633182425716,C,C,B,35.44386028141155,D,A,72.87449341200742,B,A,0
African American,Mexico,51-65,Christian,B,159.80534206606018,C,C,A,108.65942363426997,B,A,-53.83097467252732,E,E,0
Black,Brazil,26-35,Jewish,C,-156.25514087298754,C,C,B,40.48814222310683,E,A,-159.97674714179936,D,A,1
African American,China,18-25,Buddhist,A,-23.971760540515746,D,A,C,17.226700039375093,B,B,-116.6723361824808,C,C,0
Black,China,36-50,Muslim,C,-33.898320333088584,C,A,A,69.05439188811832,A,A,-165.3372545470934,D,D,0
Hispanic,Other,18-25,None,E,-25.92080928085298,D,C,E,117.03449735611193,C,C,74.63703251688457,A,D,1
White,UK,26-35,Muslim,B,39.3145928680717,A,B,B,102.7783183613747,B,A,-35.924593212198886,B,E,1
Other,Mexico,36-50,Jewish,D,-85.0537572876039,E,C,C,7.763401410748119,B,C,144.66656231551255,A,B,1
African American,India,65+,Other,C,90.0507474859581,A,D,C,39.5428649628837,E,C,217.6150674494726,B,D,1
African American,China,51-65,Muslim,A,14.3226263701696,C,A,D,234.25716470850944,B,C,-83.72498211032206,E,B,1
Asian,Mexico,51-65,Muslim,B,45.8388402213665,B,A,E,-44.51365428980252,E,E,-14.043991238077874,D,D,1
African American,India,65+,None,A,-75.4657284122901,B,C,E,-85.32792763495345,C,B,2.374580574377035,E,C,0
Asian,Mexico,51-65,Other,A,34.45609288571467,A,A,A,-2.188955567659127,D,C,-58.580379597290666,D,B,1
White,Other,26-35,Jewish,A,129.6907400221229,B,C,C,173.21849172148669,E,A,-69.8763199489056,C,E,1
White,India,18-25,None,D,-181.61394066705182,C,E,B,13.882923432005652,A,E,-18.071304831248618,E,E,0
Black,UK,18-25,Other,C,56.891938261226386,B,A,C,127.99388951098858,C,A,114.33466201887879,A,D,0
Asian,US,18-25,None,D,167.24498767897185,E,A,E,-37.29165482560432,C,C,65.63882849509667,C,B,0
Black,Other,36-50,Jewish,E,120.18569620929189,E,D,D,-11.32512574150364,A,B,2.2466945844574737,C,B,1
Black,China,26-35,Christian,D,84.39900361523803,D,A,B,146.32971407190178,B,B,-1.7474357791401873,E,D,1
White,India,65+,Jewish,B,-21.889721997260185,E,C,E,-70.81515660692406,D,C,-93.40849042408162,E,C,1
Other,US,36-50,Buddhist,E,-62.14687494369622,D,D,C,-73.00253290487194,D,B,64.70165814453193,D,A,0
Black,Brazil,36-50,Other,C,98.0867540433592,E,B,D,141.6165144550428,B,B,85.01600204362383,C,D,1
Black,Mexico,18-25,Christian,B,-83.9457391491228,D,D,B,-63.47607648628839,D,E,-45.23608963592761,E,C,0
Other,Brazil,51-65,Other,C,25.378682069425874,C,C,D,-18.02033764221833,D,C,-23.576638884030004,B,E,1
African American,Other,65+,None,E,-36.58040650857915,B,C,A,137.2137060695235,A,B,68.3679101484548,E,E,0
Other,Other,26-35,Jewish,C,149.64643360894172,D,D,D,58.98925103683642,E,E,-71.50696739967127,A,B,1
Hispanic,China,18-25,Buddhist,B,25.220938690791854,E,C,C,127.25841349481549,C,D,-25.697520697395817,E,B,0
Black,Mexico,65+,Hindu,B,-49.70091701519677,B,D,B,79.22196591344932,C,E,94.58407827483471,D,D,1
Other,India,36-50,Other,D,-76.95685415654306,B,E,B,-6.378640797659485,A,D,-24.723094165038003,C,A,1
African American,India,65+,Buddhist,A,95.87599425601677,A,A,D,181.3617054541269,E,D,-104.159232967589,D,B,0
African American,Mexico,51-65,None,A,131.85086692918858,A,B,D,-0.6804975482829151,E,A,-34.33672988485962,C,A,1
Black,Mexico,65+,Jewish,C,2.6007435650058217,C,A,B,-59.10705193866952,C,C,151.4315618232863,C,A,1
Asian,Other,65+,Jewish,D,122.99852300690584,E,A,A,-86.22251196887967,C,E,-63.999916643429664,A,D,1
African American,Other,51-65,Hindu,C,310.1011727772504,D,E,B,-53.91478082982511,A,D,-208.25867528124508,A,A,1
Black,US,65+,Hindu,D,-214.4161973805076,B,B,B,-157.13287079751905,C,A,-68.2830887424302,A,A,0
African American,India,26-35,Muslim,E,-19.948650986736705,C,E,D,362.2540607558718,D,E,139.68427283368752,E,B,0
Hispanic,US,65+,None,C,-102.16942525161929,B,C,E,71.37970683699285,A,C,175.74420333537418,D,A,0
Black,US,26-35,Buddhist,E,272.50953176177273,D,A,B,-62.20988560437269,C,B,-92.04422974916717,A,B,0
Hispanic,India,26-35,Buddhist,E,-93.77227896833527,E,C,A,-39.759792715456,A,E,-78.03452245675246,B,E,0
Asian,US,36-50,Muslim,E,-78.03469348436018,B,C,C,4.3325122837046,C,E,-3.2078540349560245,E,B,0
Hispanic,Mexico,51-65,Other,A,-128.63514682257053,A,D,C,-15.912599333997997,B,E,34.90420696984614,E,A,0
Asian,Mexico,51-65,Hindu,C,-97.07545852773258,C,B,D,26.299615197971505,E,D,15.998106697754741,E,A,0
Hispanic,Germany,51-65,Other,D,-25.31609645631902,D,E,C,-287.4549187074061,D,A,-97.5160886247259,E,A,0
African American,Other,51-65,Jewish,E,-121.1590479243873,D,A,D,150.71836649728928,B,A,-30.817186661257445,C,E,0
African American,Other,51-65,Other,B,5.6698742895388925,A,E,A,-60.39634910745041,D,C,-79.59191361685794,C,A,0
Asian,India,26-35,None,C,-96.49505647999833,E,E,A,-10.64166266129136,A,C,-203.6145189665531,B,C,0
African American,Brazil,65+,Hindu,D,12.833657984840876,C,B,A,-43.53880709545997,C,A,59.002965046783984,D,A,1
Other,India,36-50,Other,D,-120.67731203952246,A,C,A,156.90244862516965,C,A,-65.67209842164576,B,C,0
Other,India,18-25,Other,B,-28.149735764768458,D,E,A,3.2683502774414315,B,D,105.25663640522849,E,B,1
Asian,UK,36-50,None,D,56.494525656151616,D,E,A,-125.4179716343747,B,A,-36.767580156581744,D,D,0
White,Mexico,26-35,Jewish,C,139.39213684293193,D,D,D,-43.31664051741584,B,B,-118.31581896038594,C,E,0
African American,US,18-25,Muslim,C,33.408903098463526,E,D,C,116.94143495740752,C,A,-34.184010494029465,B,E,0
Hispanic,India,18-25,None,C,-125.06419019271293,D,D,B,-153.30240512960384,D,C,-146.85756137954274,E,E,1
White,Mexico,18-25,Christian,C,175.88800115755788,B,D,B,144.45081105620213,B,C,13.834189945525189,A,E,1
Other,Mexico,26-35,None,D,-31.314825597552186,A,E,B,-50.0597063647169,E,E,155.8736183709416,E,C,0
Asian,Other,26-35,Christian,A,-83.53730422483227,D,D,C,-20.980501320423237,C,B,29.084023986143237,B,A,1
African American,China,26-35,Buddhist,E,-174.29034823858206,A,C,C,116.75544795784603,C,C,27.254729717979632,B,A,1
Other,Brazil,51-65,Christian,C,-20.763858602364486,E,B,E,37.79751471593747,A,B,81.68249600881126,A,D,0
Black,Other,18-25,None,C,218.78877418136128,D,C,B,95.68532112263148,B,B,25.666820806193215,E,E,0
Other,UK,65+,Jewish,A,1.592033856592676,B,B,B,-14.794566404725956,D,D,-85.27062939444146,E,A,1
White,Brazil,51-65,Buddhist,D,-197.54445502343614,B,B,D,-94.38573687793794,A,B,-56.53802387416634,C,A,1
Other,Brazil,36-50,Jewish,E,-107.52467741698821,B,B,C,-171.39652909016323,E,C,-101.5528317997124,B,A,0
Other,Other,26-35,Hindu,C,-15.049833753745279,C,A,C,103.57320352963112,C,E,3.4970369203310385,C,A,0
Asian,Brazil,51-65,Christian,D,-29.47970903310806,B,B,E,136.55507759539066,C,A,-23.990021976159024,B,D,0
Other,Germany,65+,Christian,E,-108.5556464709994,C,A,E,-130.92690971325806,C,E,-138.15761436875883,D,A,1
African American,Other,26-35,Hindu,B,98.70282401993711,B,D,A,-27.430701595407385,C,D,-142.93828853728556,A,D,0
