orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Bisexual,-25.47195131502701,D,B,C,-66.85773615134599,C,-80.06458383240717,0
Heterosexual,49.81708467708788,B,D,D,71.26620695710754,C,-95.4026142700987,0
Heterosexual,-24.449594234273427,E,E,E,61.002336525453785,A,37.86392051522416,1
Other,-129.59749850166762,A,E,C,83.47390742414534,B,-117.84883132606822,0
Heterosexual,-36.81523848122849,B,B,A,144.60087992695733,A,-6.374088570494138,1
Other,105.88724607656452,C,B,D,-32.01189625908045,A,-97.30447397909701,1
Bisexual,81.42450498119558,B,E,D,-29.110273926746327,D,-240.32555330570494,1
Other,-69.26267143524663,B,D,C,11.33348682787049,D,126.62723881760529,1
Bisexual,39.821372260590735,D,D,D,-197.06585356075973,B,-131.43779013970988,0
Other,-2.11673405058602,A,A,A,-105.1665544019591,D,22.34967356012498,1
Heterosexual,-6.026608446396153,B,C,E,-119.73836925305356,B,-160.25194789128656,1
Other,156.46106882584266,A,E,C,30.11976820003745,C,-69.33703051022452,0
Heterosexual,131.80611205389047,A,D,D,99.05499388285347,B,202.7339174236821,1
Other,182.70693966622474,E,B,D,26.594596086962586,B,-104.24236933955288,1
Homosexual,-43.18198358553399,D,B,D,-16.263434591608934,E,0.20370970050517043,0
Other,130.8231694994015,D,E,C,-13.320012060131988,E,18.27919680190377,1
Other,-36.139499582052885,A,B,D,69.48652105029291,C,43.170793703318964,1
Homosexual,27.622412760461206,A,E,C,-116.72420303717206,D,-273.7957750168165,1
Other,-6.600123959686035,C,C,C,57.23897428668708,B,-29.72537574097254,0
Other,129.0111209178921,A,A,D,55.57074218244891,B,70.17539595319153,1
Homosexual,-38.73626210280351,E,E,B,-71.82133439483054,C,244.51075741499878,0
Other,-6.566743350795323,A,B,E,188.4235564830887,C,-122.53024959501234,1
Bisexual,1.3217580587094528,D,C,C,55.703225122371194,A,55.51532336143515,1
Bisexual,69.88215419396111,C,B,D,-304.3161040924618,C,-60.80098002888761,0
Homosexual,-147.77787291665817,D,E,D,47.79920296194679,E,-154.6273483419364,0
Homosexual,153.470917730634,A,C,D,-49.71940657273305,E,-196.29236371372536,1
Heterosexual,83.22921507621317,C,E,B,89.6593885342744,E,29.04961158400976,0
Heterosexual,-92.44869528392034,E,D,E,51.84683267734817,E,-87.61378094267644,0
Other,23.549892783943484,A,C,B,162.16467981937978,E,-123.08704244560612,0
Heterosexual,-4.0910999215172055,C,A,D,159.81914729282124,C,-38.14482510387832,0
Bisexual,0.9363039732303041,E,A,D,52.25996973018293,A,129.77682484159442,0
Bisexual,-1.7196181937559687,E,A,E,-160.620218852704,B,105.94458901797732,1
Homosexual,-101.77938123861396,B,D,C,64.45305844842505,E,1.9074268117916422,1
Bisexual,-156.42739090435157,C,E,D,-15.489940496059296,A,117.79116158623606,0
Other,-31.988787901904796,C,C,B,-37.195041321524094,A,9.129206901956627,0
Homosexual,-108.3985202808299,E,C,A,-114.02678007128104,E,-38.37276305120414,0
Other,-8.130621355202729,C,D,E,10.41365448582805,E,78.29354353468301,0
Bisexual,-52.26816399386387,E,B,A,102.27555371586851,D,-196.6028855353552,0
Bisexual,10.705843811943563,E,E,B,94.45472757646867,E,232.11276187120137,1
Homosexual,83.34149221618523,E,C,B,-237.26209235992997,A,145.77712980425704,0
Heterosexual,50.27093653784595,B,B,A,-91.3601594694356,B,-64.25099847737027,0
Homosexual,-3.254706195310899,D,D,C,-2.2450924353714727,D,-200.80379014822327,0
Heterosexual,77.70825669943346,C,D,D,0.8210645240519614,D,55.107057362638834,0
Other,93.7224371975779,E,C,C,126.22537180789146,D,-128.13108332990964,0
Homosexual,-91.49798060988094,E,E,A,83.44131899159532,D,-41.877085786971385,1
Homosexual,-0.8070658678431866,D,E,E,-122.42315113059699,D,24.775940250266068,0
Homosexual,-79.83932066056853,C,C,E,0.315323818578457,C,-4.062337073122293,0
Homosexual,-160.3301708940418,D,B,D,99.8150052794688,A,-205.35399170449912,0
Other,-31.39845939909261,E,E,D,16.714991655201775,A,0.732569719643975,0
Bisexual,-149.94741605628127,D,D,D,-35.68638972847652,A,23.651025473092062,1
Homosexual,-167.32747032831594,B,D,A,-7.645349261254575,A,48.91502386193553,1
Other,-237.66164135591947,D,D,A,-70.67137604321319,B,9.111447115375196,1
Homosexual,153.12595878944236,B,D,A,-55.13300653296941,D,3.2829115774469946,1
Other,94.9493157383795,D,E,C,-110.70294627717836,E,-130.0795075048062,1
Heterosexual,25.958170103155894,D,E,E,169.63837090837376,C,-33.061333526731886,0
Homosexual,-73.45856754167134,D,B,E,-51.25937487256746,D,18.294725733108574,0
Heterosexual,-58.44124019486709,D,E,A,0.013441161547332213,B,165.59637144311233,0
Homosexual,-92.70233595021932,B,C,D,58.41265934716353,C,126.58780980856017,0
Bisexual,43.74454816716605,D,C,D,-9.854262750208507,D,-84.29646722837603,1
Other,-145.94839397168985,B,B,D,-131.34861089833166,E,1.375160649990634,1
Homosexual,98.75120707393063,B,E,B,-44.12213480002593,C,-200.86020656086862,0
Homosexual,31.853336116383733,B,B,D,95.53755149839766,D,-0.14919598436367126,0
Other,-66.52703686543745,D,E,D,105.4140679184828,E,-106.6023264115949,1
Homosexual,39.86151069372416,E,D,B,45.677399821055026,A,-61.53537880015383,0
Bisexual,-97.04994704824622,A,C,A,70.53206063508179,A,-55.68758724621022,1
Heterosexual,-71.33590882709206,A,D,D,15.435389711217528,C,-106.46402750579942,1
Other,53.9308312728769,C,C,E,104.89006243670627,D,-72.97748894102858,1
Other,108.91161975096102,C,E,A,-127.69415635687962,C,68.3696686255625,1
Homosexual,2.4216693775548355,B,A,B,55.67059186354169,B,-135.9635893937172,0
Bisexual,155.91098565130784,A,A,D,-73.10537562203763,E,-51.32155557566739,1
Homosexual,85.30894583330644,E,C,A,-64.49425371069071,E,-153.84601858616372,0
Bisexual,182.7243508285843,A,B,B,-41.32950458389736,D,-73.21039832003046,0
Bisexual,168.94732463540737,B,C,E,150.57477060298703,D,104.99953083058725,1
Heterosexual,114.41016660069074,E,B,E,143.2181824107628,E,103.55227717169984,1
Bisexual,-144.04601624160708,D,E,D,366.74793214584065,B,-118.85355047571022,0
Other,61.06061120947663,D,B,A,-1.4449104055171318,C,-74.87493637389089,1
Bisexual,120.47794154955871,A,D,A,71.93143151264574,A,1.017730904687353,0
Other,6.976443825313969,E,B,A,137.43576263692043,D,-50.10378869331078,1
Other,32.657550491889445,E,E,D,97.02650733346833,B,-45.17245013161272,1
Homosexual,13.923283136744569,A,D,B,-94.33531637187109,E,-97.96403424148113,1
Other,78.22406026834045,B,D,A,37.79043844261712,D,162.24098651805,0
Homosexual,-98.39063309464306,A,C,E,29.633294343043293,B,37.21622302101437,0
Heterosexual,-22.372076512819334,E,E,A,-30.174041114014393,C,87.42194238301289,0
Homosexual,83.96438733017513,C,E,B,91.14835834584642,B,28.091941077795273,0
Other,-54.995391812333,E,E,C,58.18807290795787,A,-31.474648506155116,1
Heterosexual,87.74379758235314,D,D,E,-75.78988567362298,E,122.00514747085369,1
Bisexual,-23.545291531452992,D,D,B,10.357615045730158,B,40.78712745163295,1
Homosexual,-2.918387505504324,C,B,E,-59.68716931886511,B,-147.57829244355804,0
Homosexual,65.70734335898707,B,E,B,-206.947041729774,A,124.43251690268609,0
Heterosexual,14.035060220372209,E,B,B,-23.48150070055034,D,66.74443685496443,1
Other,-102.62360070666251,C,A,E,-128.62341513396692,E,27.579947014453605,0
Other,-143.51628561090558,D,C,C,107.93600636994508,C,-90.98608634199333,1
Bisexual,15.750248411546124,D,B,C,45.58513354312617,A,137.80775112475047,1
Bisexual,-127.24518674161335,D,B,E,-122.52075656232566,C,175.19504859702778,0
Homosexual,-20.00993188536024,C,C,C,-39.54839083009469,A,-182.03701916495044,1
Homosexual,-119.77513145342107,E,E,B,110.32552366337758,E,-88.02924454369716,1
Bisexual,11.868089968973432,E,A,D,-186.43304227823342,C,-215.42707174962374,1
Homosexual,117.94097927751149,E,D,E,-41.83034842131528,D,248.37733591597967,1
Homosexual,33.76484320211821,C,D,C,19.382746123745267,B,85.94409346435168,1
Heterosexual,-87.98935819694911,B,B,B,30.872434049125552,E,21.124427794686625,1
Heterosexual,-58.828401381265586,A,A,C,-130.67887238500467,A,33.87521068002566,0
Other,100.58713802648056,A,A,A,-25.84405636769213,D,27.54403050469911,1
Bisexual,241.0267714650268,D,C,D,27.065935914112295,A,-14.915356643653938,0
Bisexual,-124.32571609545953,E,D,D,6.947559746820688,B,-65.57644936361443,1
Heterosexual,174.2981068754984,D,C,A,115.42352111841909,B,79.38735569514964,1
Homosexual,-40.71872710542364,A,E,D,69.76788375519885,A,28.07981805766421,0
Heterosexual,-52.12773293647789,E,D,E,90.09222908816609,E,174.18882169393834,0
Heterosexual,222.0320699154247,B,D,D,236.37459290081244,C,7.0584684007678575,1
Homosexual,-68.23666697939227,E,A,A,10.3184262024386,C,-80.88323654193799,1
Heterosexual,-114.13718107759811,A,A,B,-64.8074883806342,B,189.2117130644082,1
Homosexual,-26.46648324534471,A,A,C,10.032682899540369,B,-200.16955804081823,0
Heterosexual,174.32627295895108,A,E,C,10.493548391949501,D,-66.48065806297183,1
Homosexual,-68.81162989386522,B,D,C,-133.221407231278,E,-9.407055988868947,1
Heterosexual,-87.65302105234585,D,A,C,-195.62349087203785,C,24.682394657654857,1
Heterosexual,-141.53212640551064,A,D,D,99.36055979850661,B,-16.395380299171386,1
Bisexual,56.32049063136395,E,E,C,-95.34166541830284,A,-48.756984359701235,0
Heterosexual,-56.96226982750585,C,E,D,97.84063121358079,B,27.237933121138113,0
Heterosexual,15.5448851521093,C,E,C,-81.59676574612944,A,62.609077042727236,0
Bisexual,13.459212721254874,B,D,B,71.65873999756487,E,3.9200275566692957,1
Heterosexual,79.33651601469384,D,D,B,-121.06217196986661,B,-36.20666346736549,1
Heterosexual,-117.76585004375795,B,A,A,-58.26158460913864,E,-179.80990410521028,1
Heterosexual,82.3833209012935,A,B,E,-209.22790712436222,D,25.454564781740586,1
Other,94.34514253751071,B,B,D,85.86780674208525,E,138.5513858458964,1
Homosexual,-51.61791483197431,B,E,D,-74.20346711043621,C,66.24072102523134,1
Bisexual,-8.670996435568199,B,C,C,152.5245769672685,D,36.97002471911735,1
Heterosexual,130.69391953501113,C,E,D,-99.85514261225214,B,-95.04058755725929,1
Bisexual,-77.28370477720078,D,A,D,132.5408053922971,D,4.466018109186427,1
Heterosexual,77.07936373405309,D,B,E,-94.37528050217995,A,127.41341932276733,1
Bisexual,58.86182642902822,B,A,C,3.1164742142037434,B,37.68864967195186,0
Bisexual,-113.61877043141932,B,A,B,-19.305634437104153,D,5.878846969714611,0
Heterosexual,-228.83936958607137,B,A,C,184.39082011371534,D,-99.97192078911465,1
Other,-101.62952832270571,E,E,E,15.378387612482229,C,-23.730338428894683,0
Bisexual,71.25294787410797,D,E,A,22.154682525492795,A,56.745768520887765,0
Other,131.45430269006923,B,C,A,306.21081223639527,E,122.22025807755033,1
Heterosexual,-112.57163804656449,E,D,C,-3.5570890028664848,E,3.1767829120991595,0
Heterosexual,-107.6313826378136,A,A,A,7.072078403614814,A,-38.85178154334753,1
Bisexual,66.1127079014436,A,B,B,6.800309231753602,A,-142.9840050874123,0
Heterosexual,10.443260994678802,A,E,D,-185.17786630852368,D,-28.11436021201596,1
Homosexual,-46.88449337589463,E,B,E,-80.4384643331425,C,-90.61187796769725,1
Heterosexual,-197.11432739042843,C,C,E,54.02355438854769,B,-69.62779283551818,1
Bisexual,126.64378707367085,A,A,C,2.7671915475520388,C,285.0266930351433,0
Bisexual,-66.80378252331668,B,D,A,-43.006401650632554,A,22.211859670719736,1
Bisexual,-132.15444159679876,B,E,A,-56.09665385789402,B,-74.26725559560802,0
Homosexual,-61.707666855466655,E,B,B,196.29458331875531,C,-22.946251164086856,0
Homosexual,-13.958892475266365,B,E,E,-92.36890627408175,A,-32.94069195190332,0
Bisexual,-158.07607764844556,B,E,C,-26.952230968806813,A,-16.92177535909791,1
Other,-132.52799363404583,D,D,B,-126.6320538192691,C,-144.56730892436278,0
Heterosexual,38.95094304616759,A,D,D,73.68405014848811,E,-148.03265935237587,0
Heterosexual,86.91567252867169,A,A,A,98.78264516414367,B,70.94497221575654,0
Other,-34.648189144851045,B,D,D,31.460855606055603,E,-58.48947800977358,1
Homosexual,24.479121872528612,E,D,A,75.01056693924544,E,-102.21415352312866,0
Bisexual,69.88966459400949,D,C,E,-114.89763429941449,A,84.03994107188572,1
Heterosexual,142.49427425047745,C,D,B,7.499484987754402,E,85.48370372945726,1
Heterosexual,66.97428563828353,B,B,E,5.243279255775244,E,6.549253720895782,0
Homosexual,-109.97597185110095,A,B,B,194.49111199648914,C,-11.585838167442592,0
Other,-199.60608732855272,B,C,C,168.99444957299409,B,61.32452495357489,0
Homosexual,218.25056227866116,D,C,D,50.98704544016378,E,73.59797767416579,1
Bisexual,19.761316367413787,B,D,B,37.638360187486,B,3.222958413759134,1
Heterosexual,120.45210572224757,E,A,A,38.50128194484277,E,-61.634130597811996,1
Other,-46.1017136679858,D,B,A,-45.91352594914714,C,33.19755993287022,0
Homosexual,-89.02778535062708,D,A,D,119.41489847832119,C,149.6301697440249,0
Homosexual,-73.37430619957973,D,C,A,23.827887700415403,C,-63.056919805811184,1
Bisexual,-166.001920395011,B,E,C,162.95479598548997,E,-80.36037703020644,1
Other,-4.603578287398512,A,B,E,-206.64177539400472,D,-75.16672811482509,1
Homosexual,33.99107258220592,D,A,A,283.47132960000204,E,130.11255587896636,1
Heterosexual,159.88825871252956,A,A,D,-170.58431659426068,B,1.0852121914747703,0
Homosexual,63.35234269575213,A,C,E,-65.79258636040399,E,60.08535996601333,1
Homosexual,7.680870283492858,A,B,A,1.506941848276642,B,55.527699974979114,0
Other,71.79634279009146,C,A,E,-137.92226413415776,A,-194.55370526251448,1
Homosexual,37.793622478307,D,E,E,-55.62566403355367,A,-30.639918320353093,1
Heterosexual,-103.45383007441309,C,E,C,-55.60520677418672,B,1.8069076025947994,0
Homosexual,52.43948108038528,D,B,A,-63.812578991604916,A,-108.91686465526622,0
Heterosexual,-36.37074191646419,D,B,C,-27.740817479118334,A,93.18331835877403,1
Homosexual,-15.047743082778666,A,C,D,92.12403421270984,D,-71.31316906743552,1
Heterosexual,-10.276138673026619,C,C,E,49.71539656207397,E,31.31212042837776,1
Heterosexual,-77.24108562544207,C,D,A,-36.24887279695561,B,32.76289058380048,0
Other,65.11561709369451,D,A,C,137.9046891565799,A,67.92316881435892,1
Heterosexual,-160.77678272581193,E,B,A,-79.08817554814624,B,31.565425756919506,1
Bisexual,-52.100509877038945,D,D,A,-192.9452255018868,A,-165.05272911065444,0
Homosexual,0.12453196145204132,E,C,A,103.76811177414321,C,76.06111230665307,1
Homosexual,-19.458041548880317,B,D,A,7.7254976561085025,C,99.76734921581418,1
Heterosexual,15.277215283497373,B,E,C,-59.58283011813948,D,84.84547176179596,0
Homosexual,-160.67849637535215,D,B,E,45.14471221571871,E,-104.56485121867341,1
Homosexual,28.20520926312397,B,D,D,-14.765515617997615,E,-42.58756180009557,0
Bisexual,169.29371409750274,A,E,E,-149.47977502911306,A,64.68643878756608,1
Homosexual,-31.569714093987315,A,C,C,-22.279030428513774,D,102.15886445709339,0
Bisexual,-46.85908886108775,C,C,E,10.833788983935966,E,0.48548970187271623,1
Heterosexual,-44.442320792029335,E,C,D,123.0375548341144,D,-61.17846299585937,0
Other,-76.09684011067624,C,C,E,123.29905535833635,D,-77.99115328120284,0
Bisexual,-12.519443150500894,E,A,A,50.12435240764328,D,-7.341967279118619,1
Bisexual,59.27556190903607,E,E,D,83.18378114973162,D,-120.48548552367085,1
Heterosexual,32.70768344586564,A,D,E,4.301824489952305,E,-9.94693950652022,1
Other,-67.517061894447,A,C,D,-63.213224537129854,D,55.18106103321133,1
Bisexual,69.26357613927023,E,C,C,-27.922794773649244,D,101.6531489309776,1
Homosexual,21.832224122199058,D,D,B,177.5765859329278,B,75.02586366832205,1
Bisexual,-69.89437399545598,C,B,E,-122.01462271655876,D,-146.01639202181673,1
Heterosexual,-9.331126473707887,B,A,A,51.809614077744556,B,2.2921400676201684,1
Heterosexual,100.9046867049205,D,E,D,-42.77783893516352,A,-25.181352879923775,0
Bisexual,156.16950059274765,A,E,D,-128.32332185030305,B,-23.63338025002342,1
Homosexual,59.096057337555585,C,C,D,131.27469996543158,A,31.246757516155434,1
Bisexual,63.79410379856837,A,B,D,-135.2185174369178,A,-305.0676854844465,1
Other,85.06615135982697,B,C,B,-17.90271943466069,B,147.85657990705582,0
Bisexual,75.9230881895163,A,A,E,-34.670554255170195,E,90.42333105601107,0
Homosexual,-17.06793681193732,E,E,E,-91.38963759534056,C,-112.85079310738277,0
Heterosexual,-21.466753757211432,D,E,A,69.43062514333154,C,-95.28741144403793,1
Bisexual,17.347418671303494,E,A,E,31.830733257981127,D,143.77393802286147,0
Homosexual,-123.57269630711254,D,E,B,144.13252127937977,B,187.4619203874,1
Bisexual,-15.640458305299163,E,E,D,62.68963431874079,A,67.2264408251205,0
Bisexual,-79.80081319164023,E,E,C,191.31741678118817,E,74.48991550620283,0
Heterosexual,-99.23376329604301,D,C,A,-179.63631080467437,C,17.252653895021588,1
Homosexual,14.972563433163957,B,C,C,-62.79158317950456,C,-101.05476593546983,0
Bisexual,-22.220917967298895,E,A,B,115.70094284002133,C,-36.252977984070455,1
Heterosexual,-64.44931625702114,A,E,A,18.877097274962455,C,130.97527414953797,1
Other,-18.465067965505323,D,D,B,-40.64841746522039,E,102.93129211424909,1
Homosexual,27.073655269063835,E,E,B,27.045060060676494,C,83.45002548025761,1
Bisexual,140.23485755801786,D,E,D,-14.291522305516235,D,-37.87451480585001,1
Other,118.81646299711508,D,C,B,-108.16303679920081,C,37.033320812923776,0
Homosexual,84.97603603554487,B,C,B,-110.18060330127764,C,-43.261143522348824,0
Heterosexual,-10.252119096963058,D,E,D,136.0223903020497,C,-17.82783028928638,0
Bisexual,47.345987458272724,C,B,A,39.02729268806143,B,-160.03830254108124,0
Bisexual,-31.774728827562615,E,C,D,-22.751514596356813,B,19.51735077558952,1
Bisexual,100.1534088794489,E,B,E,-123.64915411836105,A,74.52648408354528,0
Homosexual,-23.494077899099565,E,B,B,145.4905721466438,A,133.66902389408776,1
Bisexual,-21.226950271032578,B,E,D,-7.473663415021373,D,58.60408923351935,1
Bisexual,31.294384475444865,E,B,B,37.93785917485617,D,-16.99177835454236,1
Homosexual,136.87930352649568,A,B,D,114.66333881505948,D,-66.80634489566661,1
Other,-52.35432485428129,B,D,B,-77.09796117481213,C,47.284438865876744,0
Other,-87.34767118908728,D,A,A,-150.67247142992898,C,-120.42715086677921,1
Other,-110.02141644643876,B,C,B,-60.470983752472165,D,-48.44732454123915,0
Heterosexual,129.3086915689242,C,B,B,115.83355742485637,A,-42.26221077483126,0
Heterosexual,-113.05184737473478,C,A,B,70.14513585870085,C,-81.78863385782704,1
Homosexual,112.72954078961735,D,E,B,23.161451513078944,E,-89.9986938383489,0
Heterosexual,-75.01268840486281,E,D,D,12.060634588155992,D,-45.72376657374455,0
Heterosexual,19.363345587000815,D,E,B,46.03399754694687,B,11.641130930932238,1
Other,-106.00058674357815,B,B,C,50.03170901769282,B,65.28133771916154,0
Heterosexual,178.25083775037888,A,A,A,-21.765165565715254,D,-69.67821305008277,1
Bisexual,-46.38799170721386,A,B,E,-112.97388053263808,A,-54.592367802002265,0
Homosexual,-69.82803677175262,C,E,C,38.87157225523632,A,-86.51212156065478,1
Heterosexual,-72.61678666115256,D,C,C,66.55978018136211,D,-126.46494751522452,1
Other,-47.61740168405797,A,A,C,-48.30203717367059,E,86.2025882798512,1
Heterosexual,105.39087493719191,C,E,E,-333.39453734509306,B,25.760589182462713,0
Bisexual,-96.91534970280233,D,D,D,13.903265023450691,D,68.93613089083776,1
Homosexual,181.5208248812993,D,A,D,-172.04666620091632,E,-43.59430187137852,0
Other,109.19289661666922,D,E,A,-32.49836846930315,C,36.38581341453561,1
Homosexual,-67.1493398931976,B,A,E,-54.45796281979397,E,-13.932351832520629,0
Homosexual,-19.33978980646997,B,E,B,-41.893798281280894,E,75.85198954184266,0
Bisexual,37.96930212480281,E,B,E,-57.88039156722882,D,11.263171499390324,0
Homosexual,-20.647918595577316,B,C,C,-74.71950767446822,C,68.05347345553082,0
Other,5.3572033884304755,E,A,C,-12.778550271499109,E,75.43668608140733,1
Bisexual,-144.33156066184944,C,C,E,-129.40657549169435,C,301.27223039740204,1
Bisexual,55.878646401181996,E,D,E,62.07627251657628,D,94.03737853066912,1
Bisexual,9.705817373955295,B,E,A,-22.14872118917752,B,-156.68362999037873,1
Bisexual,-52.49132787470181,D,B,B,10.047381537859447,C,-47.72655656368816,0
Other,-74.88572182445267,E,A,B,-37.15160097645364,C,157.2972739138037,1
Heterosexual,-7.1162296496432145,B,D,E,-45.77736806258709,D,-119.51274064234605,0
Heterosexual,44.51672809762462,E,A,E,-25.26372359206222,E,-120.53314614657316,1
Bisexual,-41.18641522697377,A,D,D,157.63704942043228,D,147.8068576730546,0
Bisexual,-13.34934054773384,A,A,B,-2.8244362645561196,E,-84.80405446840396,0
Bisexual,67.85506370951697,B,C,C,-77.24667963186491,E,-128.857246786023,1
Homosexual,-24.423894170752956,B,B,E,225.41987520895827,C,139.326250031157,0
Bisexual,110.01600414909636,C,E,D,-22.65862982043105,A,4.219781320619951,1
Bisexual,62.377527973439086,E,D,A,-134.8850792740197,A,-1.5989688837174314,1
Heterosexual,-184.4267775694351,B,C,B,84.71477179667451,C,-87.5813518354618,0
Homosexual,3.5830245387990214,B,D,C,182.85178171479393,A,-150.36061924376926,0
Homosexual,22.969981876807967,B,A,B,-197.58610448246074,D,-198.11537312294456,1
Homosexual,-84.56403849157496,D,E,D,-162.2682402703498,C,-66.92735326089478,1
Other,130.08624622565534,B,E,C,-104.01475873837236,E,-56.525985652878916,0
Other,104.3725152544823,A,D,C,66.50534086911082,D,138.25828996394972,0
Homosexual,29.89841872719035,D,C,A,-9.002959242777502,A,11.53323334287612,1
Bisexual,-38.59734487561967,B,A,C,3.507547206775123,D,-39.6830485271,0
Homosexual,-72.00175390397204,E,B,B,58.87371765080841,D,46.01785161203066,0
Homosexual,32.71684655362533,E,E,D,40.7752384824039,D,-76.29194561878705,1
Bisexual,57.23840787018881,D,D,C,12.340231284158984,E,-78.8645804512872,0
Other,-82.12690528069596,B,C,A,-87.99866541762304,C,33.31138808362286,1
Heterosexual,118.81933334961059,E,D,E,123.76402510697481,E,158.6251570275581,0
Bisexual,50.391441946501025,C,E,C,25.76966983027583,B,96.65393015246288,1
Homosexual,57.17966675464763,E,B,C,51.77070245720793,B,-2.0266547944435174,0
Other,-137.67788370192733,E,A,C,-281.6406961253482,C,-320.2862650326028,0
Bisexual,5.498520677995725,B,D,C,-139.3931909054684,B,-13.03340518970273,0
Other,-6.308913565612756,A,A,C,8.075866848831009,D,-15.682163562873155,0
Heterosexual,-52.161803600747255,D,B,B,120.84905197552173,C,-27.62609204603242,1
Bisexual,35.30690784024144,C,B,E,-69.58650135522178,B,166.82324441345827,1
Bisexual,137.788091602458,A,C,B,145.3616777117397,E,57.57974643457611,1
Other,-144.56580160004285,D,C,E,100.54064966198213,B,-4.241940087295142,0
Heterosexual,43.56145323308066,E,D,E,77.89609914304397,E,29.613517642096948,1
Other,-0.9475386575635238,E,C,C,43.399055425803894,C,151.65622166226424,0
Heterosexual,153.51338430018538,D,B,E,11.230379098198332,C,-94.5208918910276,0
Homosexual,15.96086629147476,D,C,D,-47.15690046384099,B,-83.9685540656299,1
Homosexual,109.97124439141912,D,E,C,95.9983541128838,A,238.84578040086848,1
Other,-63.512365001117956,A,D,D,-66.10366412682072,B,-13.567757012744472,1
Bisexual,136.46015465070118,D,E,C,68.49802131331779,D,-104.52083350864005,0
Heterosexual,-125.98920967524225,E,C,B,115.68561763080028,D,12.25269561499664,0
Homosexual,-57.44898693278743,B,C,D,-68.40140110893267,B,-87.032732843746,0
Other,163.73365870978554,D,C,A,-14.955391288523645,D,78.95097527381311,0
Homosexual,-24.8232866746747,D,A,D,191.32777397269842,B,34.15075769137078,0
Heterosexual,93.14060122418222,B,E,C,-16.646122187816115,D,-61.98813756547222,1
Bisexual,-52.79190536887104,D,D,E,113.20662359013818,D,139.3615656140121,1
Other,-138.43235427031016,A,D,B,-137.17475110028977,C,71.33497164891601,1
Homosexual,-50.368070937883104,E,C,E,-15.231093017504193,C,95.34823386910058,1
