Disability,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Physical,Jewish,D,-31.469905064461916,E,C,D,A,A,C,A,C,32.58138892718296,178.60630444964778,-52.137723666145874,0
No,Jewish,E,43.891405827195726,B,B,E,C,B,E,C,E,-61.29538142225167,46.088134806548645,83.137753468435,1
None,None,C,132.53882113333302,A,B,C,D,B,A,D,C,-49.39861313682971,13.437555550127101,-103.27031862156934,0
Mental,Jewish,C,-106.01209416214326,A,E,C,C,A,A,D,C,41.42111771731509,-46.06790814553806,140.98821256785112,1
No,Other,E,-96.01941183807381,E,D,B,B,D,E,A,E,-60.96588300289163,-70.07508139340139,-189.8611455973807,1
Physical,Christian,A,-177.33144729248946,E,C,C,E,A,C,C,B,4.904473713037047,39.023613717359986,-78.34923120276,1
Physical,None,D,229.75666455449905,D,A,E,B,D,B,A,E,143.11740865253262,-48.539442506967966,67.4686086978343,1
No,None,E,190.80860228216355,E,C,C,A,E,D,B,A,141.76076989156806,-11.475611935108127,-182.9124207224491,1
Yes,None,B,-15.299306679368865,B,D,C,C,C,B,A,E,70.33655121093238,152.43137921313473,-139.59646434881375,0
Mental,Buddhist,B,30.559620929011693,C,D,B,E,A,B,E,B,-8.794498821913281,157.42104222118434,35.957651031946384,0
None,Muslim,E,-62.60187722376025,C,E,E,A,B,E,C,A,-46.75712455365022,51.30118380360904,-123.3968725585529,0
Both,Hindu,A,-138.59227469534187,B,E,D,A,A,A,D,C,-69.49387598077269,54.66936814655832,26.375811688049687,1
Physical,Hindu,A,-37.58627233990248,B,A,A,A,B,E,B,A,116.22228094527603,18.749306413152276,17.341770297998774,1
Yes,Hindu,E,-1.2184435131216043,A,D,E,E,B,C,E,A,185.23731186435327,-113.39151430868306,34.69679341021043,0
Yes,Hindu,E,126.05306022389591,B,A,D,B,B,E,C,C,239.20143841835707,15.990853473772598,-22.920891116711328,0
Mental,None,B,32.4805088152447,E,C,D,D,E,B,C,D,89.41423062264268,-51.72746622742118,98.71684656344311,1
Mental,None,A,74.444715612201,B,D,C,C,C,E,B,B,154.1883172556449,-87.00230549250573,29.62176433194231,0
Physical,Muslim,A,-119.38145548056775,A,C,E,E,C,A,B,A,-176.8605408216715,-87.25070193063618,-76.79083629184295,0
Yes,Muslim,A,-4.764613704089141,D,E,D,C,A,D,B,D,20.28074789005513,-65.58228923342052,41.80760336240384,0
None,Jewish,E,155.43528352444616,B,D,E,A,C,B,B,C,-25.487362923204422,96.486144407535,47.13857212091008,1
Both,Buddhist,A,-43.07702007683267,E,C,A,E,E,D,E,D,-0.47580867751892797,-6.338431706678148,-55.73280307898209,1
No,Buddhist,D,-60.00477675862034,D,A,A,E,C,C,D,A,30.274117956205053,10.877042057675522,86.88397393149556,1
Physical,Christian,A,-3.8616492959994893,A,B,C,E,D,E,E,D,-98.919797476402,-119.87544665715984,46.099705349031645,0
Mental,None,D,-102.62170263075645,E,A,A,B,E,C,E,D,59.948257754030806,124.949839782071,114.56589347190625,1
Yes,Christian,D,-83.13468324895038,B,A,A,A,E,A,B,C,-11.709515201963667,143.58788684116914,-81.89016694931172,0
No,Muslim,A,-75.10785090462528,E,C,B,E,A,D,A,C,57.21387831591919,175.82796786160986,-25.5240164480306,0
Physical,Jewish,E,36.33511182454088,E,E,A,D,B,C,D,C,90.90532726283026,46.131164931899676,-53.524566663167924,1
Physical,Other,B,124.11618272814455,A,E,E,E,A,A,C,A,-123.21494861349298,11.072784154864888,-71.51857883204254,0
Physical,Jewish,B,-54.60929435095615,C,C,A,B,B,A,E,C,21.143561728537676,-111.24872887171738,-39.846447503482636,1
Physical,Buddhist,A,-0.15625389159840772,C,C,C,B,E,B,D,A,96.77947864273796,-226.15607776790787,42.680746005049436,1
Mental,None,B,-106.25826262185257,A,A,D,B,B,E,A,C,-46.78749273376639,-54.38481950499147,100.14031887909984,0
Yes,Hindu,D,24.42247312859539,D,D,A,A,A,C,E,B,84.65797165128262,63.59838759460076,164.96647445390434,1
None,Christian,A,-160.20837904488283,A,E,A,A,D,C,C,B,31.149361295071742,-114.58560509021349,-100.40903443089273,0
No,Jewish,C,-29.097973236037188,B,B,D,D,B,E,C,D,-28.64191485657706,12.659906356374892,65.99792529436415,1
No,None,D,96.43920584691179,A,E,A,E,A,B,D,D,-18.67343803265239,47.3148629544572,-145.13426988373334,1
No,Hindu,C,25.879599302474077,D,A,A,C,E,D,E,E,226.83411905318448,-58.91666746934724,-181.01296041610385,1
No,None,E,-179.75545195265815,E,A,E,C,D,E,A,B,26.87028866620223,110.98440381032037,132.39660309509838,1
No,Other,B,108.40138094291683,B,D,B,A,A,A,A,C,-30.72594919805935,51.712179502478584,-23.57527289018485,1
None,Hindu,D,-42.293153342447795,D,B,C,B,A,C,B,D,41.74279735077994,-94.20022704940963,74.01181806037744,0
Mental,Other,C,-128.62425220767005,A,C,D,D,B,A,C,A,-80.12163943659864,-84.05701888615914,-6.458554981206648,0
None,Buddhist,B,93.43978543209853,E,A,C,B,A,B,B,E,-2.7706619238287864,-4.396634681409446,-67.53545651987194,0
Both,Buddhist,D,-42.62533584325786,A,D,A,B,A,B,E,A,104.39987586341782,-63.394413492886336,-24.176018948006742,0
Both,None,A,-26.360363985937685,C,D,E,A,C,A,C,C,94.36698102944007,-27.12946648946207,-63.6332729344641,1
None,None,A,-51.16809957866727,C,C,B,B,E,D,A,E,-32.57780538011921,92.48172147601916,66.32640376424723,0
Mental,None,D,2.364380431235947,C,A,E,D,C,A,B,C,-200.24221793653453,157.45568850421355,-81.69057781472297,0
Both,Buddhist,B,53.87378705730362,A,A,C,C,A,B,B,E,93.34615988640482,49.102883259697485,-132.65145348422442,1
None,Other,D,-14.708029585979363,E,D,B,D,B,A,B,E,-153.65067209159176,-38.57698114464673,-47.616117474672194,1
Yes,Jewish,A,174.1212089390617,A,E,A,D,A,B,C,A,84.1122093998707,-20.56337295046067,-49.12085745144971,0
No,Jewish,A,5.876866860339654,E,D,E,B,A,A,A,A,79.11102464442206,24.61398522618895,-169.59547507684775,1
Both,Jewish,B,-67.9946931272931,E,C,E,B,D,A,B,D,-63.98990733177325,-43.41403374623807,-45.697435169666974,0
Mental,Christian,D,-57.888936003265115,D,C,C,D,A,C,E,C,32.007215577472934,-63.661989574911004,42.69684827574709,1
Mental,Hindu,D,195.60544427471893,B,A,C,E,B,C,C,B,-67.65291960098983,117.92887088192228,-118.58984684529992,1
Both,Muslim,C,-108.9627016989797,C,D,B,D,E,D,C,B,-133.6498894612955,-2.4452961887266875,113.39796300832839,0
Yes,Christian,E,-96.78552080606879,C,E,E,A,B,E,B,D,12.38960059302255,-74.17495661583118,-107.3247491819342,0
Physical,Hindu,E,-136.38504083279057,D,A,B,A,D,B,D,A,-50.70831921115063,-116.93312143280951,-58.82497997602677,1
No,Buddhist,C,36.55624453607478,D,C,C,C,E,E,E,E,1.9736536007725254,-271.8166967630173,-67.62611525208229,1
Physical,Other,C,-166.7389247077019,D,B,C,C,B,D,A,C,13.339854939474066,72.24750413749328,170.63905941246648,1
None,None,C,-74.33852098492885,C,D,A,D,D,D,E,E,48.41768157656398,-145.13769552603887,-100.16701702312834,0
None,Jewish,D,4.5535085724454625,B,C,B,D,B,D,B,C,21.103512962400043,73.23977883271763,-82.40409080316084,0
Both,Muslim,D,-103.46269637690217,C,E,B,D,C,C,C,B,100.05185902597565,-189.54019161851724,-91.63767238868229,0
No,Buddhist,E,-31.502316199141443,C,C,C,C,B,C,E,B,-52.9910143158873,-178.37792026313488,204.52596480957732,0
No,None,D,-114.2246363841871,E,C,A,C,A,B,E,D,-112.96139011494897,-41.26844214436327,64.46629688303062,1
No,Muslim,B,-41.12046458829292,A,E,B,C,D,A,C,B,-137.56875093375598,-31.227342578897684,70.09616379177062,0
Yes,Christian,A,-110.2701567546206,B,E,A,E,B,E,A,B,35.59987579451092,183.88463044875445,154.48012170693866,0
None,Muslim,B,227.31764208379545,B,A,E,C,A,E,D,D,-41.81764406933244,60.046039809301654,-146.20713049649808,0
No,Other,C,-117.54750727677468,D,B,C,E,C,D,E,B,54.670292077290895,51.30071809787541,-213.93924926661242,0
No,None,C,24.854242106417907,A,A,A,B,A,C,A,E,3.2176156501063717,71.66151993335794,-130.6236603534356,0
Both,Other,E,139.63657480404285,C,D,D,A,E,D,B,A,-164.72194072537823,-68.02767017207054,56.09404031136827,0
Both,Christian,D,106.22394386460992,B,E,B,C,A,B,B,B,12.144976509042605,56.653661759144924,-7.146366512718713,0
Yes,Other,E,-107.12761722265131,A,C,E,B,B,D,D,D,-61.70536424454296,84.97115568469222,74.96911563076019,0
Mental,Jewish,B,56.2533809420808,C,B,C,C,A,B,D,A,117.51654664522275,65.73887762747134,58.572310277679826,1
No,Hindu,D,67.17886823271391,D,A,A,E,E,B,B,D,182.54127531594168,97.38309856160883,80.62545685796553,1
Both,Jewish,B,-31.52096063374493,D,E,E,E,D,E,B,E,12.333082329126297,-49.45694920301494,27.309227893145177,0
Both,Muslim,A,-10.657230770437216,E,B,C,A,B,B,A,E,-91.03624041004856,6.108086238831626,68.85677938075118,0
Yes,Muslim,E,26.904108799809222,D,A,D,E,C,D,B,D,-141.64175549163264,80.40873221418192,101.92668640061345,0
Mental,Christian,A,-104.20527460866649,C,B,D,D,D,B,A,C,71.3368518349078,-71.1513228910407,-188.61709490724087,0
No,Other,C,-152.46091570753256,D,D,C,B,A,A,B,D,-62.45433261836716,63.12100809243706,-74.34801996657178,1
Physical,None,C,-74.38934783745434,B,A,B,A,D,D,B,C,80.77225763226437,14.455591849263449,-56.54935309188136,0
Both,Christian,E,-56.963229750749655,C,A,B,A,D,E,A,B,197.34707100355962,-63.33176271505205,-125.80702214076985,1
None,None,D,-48.731912670446214,D,D,C,D,A,D,B,D,11.159364768797099,-7.532738906476258,-37.82987033560583,0
Both,Hindu,C,-14.86597220595833,B,B,E,C,C,B,B,A,-69.03901492418333,-12.517796649726986,-48.43988759801928,0
Mental,Hindu,D,23.052818262647136,E,C,A,E,A,D,C,E,213.0993489287944,-29.94164568973245,-32.962401669684844,0
Both,Muslim,E,5.329244427298032,B,B,D,E,A,D,B,C,-173.27476016220072,-36.3640348569438,80.04651243936561,0
Yes,Other,A,-98.3752383287294,D,B,D,D,A,B,E,C,56.61547852055345,-284.0977665990779,208.2551059033542,0
Physical,Other,E,55.199319545466075,A,E,B,A,A,E,E,D,20.537768034704452,64.24200771380356,12.765452925856557,1
No,Muslim,C,-154.76317938207606,C,E,A,C,B,D,E,E,61.66787063289265,24.389071139138572,166.26747570673427,1
None,Muslim,E,77.75404664475197,E,E,A,D,B,B,C,B,-68.83803225577495,29.935557828205166,79.21100447373838,0
Physical,Christian,B,83.89343736747871,B,B,D,B,E,B,B,D,-118.95955994016789,122.33952299719732,-96.7012909283356,0
Physical,Other,B,28.896487149860405,D,E,D,E,C,C,E,E,-37.45746608695352,-86.84061306113065,-97.39937679767667,1
No,Buddhist,E,-31.305434583945633,E,C,D,E,C,A,A,C,-20.280271605906627,39.60269113196221,-80.94195332497168,1
None,Buddhist,A,-12.404897510924785,D,B,E,C,C,A,B,E,48.137622475845745,-48.66885466828615,56.011559059188286,1
None,Christian,D,-23.298068501815028,E,C,C,B,B,B,D,B,63.64365030503987,-108.9947519802045,-128.9962032983714,0
Both,Muslim,E,-198.90025323582944,A,B,D,D,D,B,E,A,-73.45710339583033,-13.70556823271018,-180.99425544614883,0
Yes,Muslim,B,-87.22173760693785,A,B,B,A,B,B,D,B,79.67980520688613,73.78316498704581,106.64515052542953,1
Yes,Christian,C,26.33467627947836,B,A,D,B,A,E,C,E,-76.5133097607018,50.968762586974506,-160.0383771104528,0
No,Christian,C,-117.00757103957258,D,C,C,E,E,D,E,B,-218.1994865786677,154.57189266289276,43.08471226670984,1
Yes,Hindu,C,19.79593876281348,C,C,E,E,B,B,E,A,-163.78592426346395,-88.73446167567576,29.635963983168295,1
No,Muslim,B,96.28547504806319,A,A,D,C,C,A,A,B,-26.44806143337609,6.958819384823592,14.867625703446274,0
None,Buddhist,D,-106.65351204863136,D,E,D,D,A,B,C,D,47.30434125568745,-81.26461505845785,37.01077263846848,0
No,Other,D,62.08667938950938,B,D,C,E,D,C,D,A,53.28081419409093,84.57333656582054,27.685720071729776,0
Mental,Hindu,C,40.871043343688676,A,A,E,D,C,C,B,D,-38.465273110604144,-39.83399185469325,-40.18774127048872,1
Mental,Muslim,C,-69.20913982866918,C,D,D,C,A,B,A,B,-95.49218395686631,55.85672571950987,-73.8105269954313,1
Yes,None,A,46.89634283756992,E,B,E,A,D,D,C,B,-17.860128605726906,-12.602208590132626,115.32169795898508,1
None,Jewish,B,105.35922287273883,C,C,A,B,E,B,D,C,-34.560742153860666,67.63322315553701,1.7777840981211712,1
Both,Muslim,A,-40.32606759190681,E,C,C,A,E,B,C,B,-68.72231408645763,-45.602508511955314,-146.34543622030165,0
Yes,Muslim,E,19.11157912997516,A,A,D,A,D,D,E,A,-11.344040863979602,65.53996125629467,14.86518846774206,1
No,Other,C,34.797237234002985,E,D,E,D,B,D,B,A,-36.695630112663395,4.660380623782892,188.40952348855703,0
No,Christian,B,96.34095363198554,C,E,D,A,A,E,A,B,37.69773748553582,161.6040360627722,28.854807202337014,0
Physical,Jewish,A,225.47400097437767,B,C,C,A,B,E,C,C,-171.78630024107224,35.065845328137954,-3.312822288209834,0
None,None,A,-93.5950891381686,D,C,C,B,E,D,B,E,42.695525385058374,68.58008402158215,167.13675572950075,0
Yes,Jewish,C,51.36950348232146,A,B,B,D,A,D,A,B,-94.60490308715038,-30.14811458775683,-2.6688710093796018,0
Physical,None,B,-166.18609943212417,B,B,E,C,E,E,E,A,119.44209793366123,-77.5418040722996,-77.19654755231106,1
Mental,Other,D,7.183184506813838,A,A,A,D,B,B,D,D,65.29058425649407,34.92544108926163,-67.66609531452903,1
Physical,Buddhist,C,-56.38250309745533,A,E,B,D,E,B,A,D,-47.952521473371476,-96.62062322678115,40.52719498172866,1
None,Muslim,B,-170.24069070359982,C,B,C,A,C,A,A,B,79.29131172301123,-8.668169667547069,97.54247120561004,1
None,None,B,173.5079588013314,B,E,E,B,D,E,D,B,-107.91555121399001,-62.891522128547415,99.19854741077202,1
Mental,Other,C,66.71411274612812,B,B,D,D,C,A,A,B,-35.08547855540473,-29.63782259703505,-38.6719378095972,1
Mental,Other,B,-95.18398558116449,C,A,B,E,D,A,E,D,-87.51135324505644,-92.81222944052861,32.2636366044343,0
None,Buddhist,E,118.647029287719,A,D,D,B,A,E,A,B,-16.914888633425853,-137.77445734010604,87.42366439433873,0
Both,None,D,-2.301739530019664,C,E,E,B,C,B,B,C,36.92389857707961,12.606668273758176,-12.238887896632344,1
No,Muslim,D,-177.89429617874615,C,A,D,D,A,D,E,E,120.05180993762816,62.52002065638413,184.38863543017342,1
Yes,Muslim,A,105.10129107556222,C,D,C,A,D,E,C,B,51.04909570154119,15.53082596647375,190.18479360020675,0
Both,Muslim,B,-122.13035347371554,E,B,D,D,D,B,E,C,-105.69625076188257,-99.62517417295567,163.14423380437572,0
Yes,Other,B,-58.4118444293598,D,A,C,D,B,C,B,B,47.57224455774542,124.80124154976335,-140.5687355156191,1
No,Buddhist,C,-32.47548397035228,A,D,D,D,A,C,E,D,-21.20283504274532,-91.79832376893484,43.83890923723662,1
Mental,Christian,C,188.37422922492078,E,B,A,B,C,D,E,E,-10.057090375978586,85.14936184500438,-41.74688990951941,1
Physical,Jewish,B,-57.216247623961195,D,E,C,C,B,C,D,A,64.01106967870277,-47.31729808992083,106.12584602233794,0
No,None,D,115.42861199124262,E,D,E,B,B,C,A,D,-76.95419544376283,36.577842854045365,22.228492248030175,1
Mental,Muslim,A,60.81115531558535,D,E,C,A,C,B,C,C,0.30987069966446257,-43.102075548749674,-205.336227312576,0
Both,Muslim,C,-258.2039975817167,E,E,B,C,B,D,C,E,-74.61673544798607,3.9107295246263893,-38.10900235027341,1
None,Muslim,E,-67.55755701997468,D,C,D,B,E,E,C,C,-85.0132163191763,-76.3787824339945,119.3695797684331,1
No,Muslim,C,-193.49663086889882,A,E,E,C,B,A,D,D,78.66977146176899,2.061325355275451,19.09410256291267,1
Mental,Christian,A,0.3301148324890319,D,B,C,B,C,E,D,C,7.262579520116047,-27.39674004871514,72.84751993550894,0
Mental,Hindu,C,22.17113474304823,E,D,B,D,B,A,D,A,140.9306902167839,117.07796367016698,21.94132490512769,0
No,Buddhist,E,63.55621480475314,D,C,C,D,A,A,B,B,81.68160435823522,-112.96541343547419,0.6998289455710557,1
Mental,None,A,-49.08307321988764,B,A,D,C,B,C,C,B,80.50255005161019,64.77017828137535,-59.19865795143908,0
No,Buddhist,A,18.478745494002023,A,E,B,B,A,C,C,E,-134.7477663079887,-135.28357881405333,-105.67101434670916,0
None,Other,C,84.60418709595095,B,C,B,D,C,C,B,A,-185.18374617813024,88.39153995508903,-136.57190799478312,0
Mental,Buddhist,A,-25.946313073522624,B,B,A,A,E,A,D,E,-85.12801163298832,-270.8062404392895,-73.86251708416235,1
Both,None,A,126.7510945688885,D,C,D,E,D,D,D,B,-80.04879949023017,11.470141818409738,-75.89961746238438,1
Mental,Other,B,76.76780670227437,A,C,E,B,D,C,C,A,104.96796116860858,-24.775576095629678,-107.7957127987898,0
Mental,Muslim,D,-189.0369773152668,B,C,B,E,E,D,B,E,170.15993577660262,-85.2587409825683,-56.40943161356713,1
Mental,Christian,E,8.586910450342252,C,B,D,E,A,D,D,D,50.94243012206741,63.85669017642319,-50.26444395820838,0
Both,Buddhist,D,0.749927706092264,B,A,E,C,A,C,A,A,-30.19923451216927,-71.1156633677271,-31.207067681992683,1
