AgeGroup,orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
26-35,Other,No,E,B,84.62353562353667,-192.1351723425504,D,B,A,D,-68.32379710555804,C,35.63306750267449,1
36-50,Heterosexual,Both,C,D,-19.218509799499408,54.49782716441083,B,A,D,B,139.87734267405588,D,2.7467259121541425,0
36-50,Other,None,E,A,-5.964276055520842,68.27943427638843,C,E,C,D,230.12343118711254,A,-26.60401635015905,1
18-25,Heterosexual,None,B,C,34.538184097536515,27.113677296037324,E,E,A,B,-104.4719889334246,D,-74.70871456079547,1
26-35,Bisexual,Both,A,C,-46.4042947158692,114.57970786067078,B,C,D,B,14.690781577767048,D,-157.90870770797773,1
18-25,Homosexual,None,B,E,-29.064578462812886,61.68333896627972,A,C,E,A,188.1309605242496,D,-35.11072613212817,0
65+,Bisexual,Physical,A,C,120.62805070896196,-194.3590028166658,C,E,E,E,-24.372412949484623,D,-18.574848576518004,0
36-50,Other,None,B,A,106.45129708012932,-51.826621456387336,C,C,B,E,-279.3398757428931,A,94.57311866987065,1
51-65,Other,Physical,C,A,62.74572316275333,-221.94461706920086,A,D,E,E,58.17224620931019,E,40.56046975221679,1
18-25,Bisexual,No,A,C,5.200055144474517,91.09628929466479,A,A,C,D,71.02393575849287,D,-18.63700914031517,0
18-25,Heterosexual,No,B,D,-76.97093686657436,-30.914892501616208,C,D,D,A,-31.396392343976398,D,24.39105300669773,0
36-50,Heterosexual,Yes,C,B,196.2764260919265,24.734193210575288,E,B,C,D,110.98805168352892,C,-5.26929078556432,1
36-50,Heterosexual,Physical,D,A,-12.072726719281889,154.78242026677367,C,C,B,B,-60.05566928268442,B,-271.1835355092596,0
18-25,Bisexual,Both,D,B,-92.68698640981302,51.14585093630183,A,B,C,D,198.87962834426307,A,-124.96215131742095,1
26-35,Homosexual,Physical,D,B,-88.05590513340567,-250.86708859685686,A,E,C,D,78.69057760842885,E,-41.71398634473037,0
51-65,Homosexual,None,B,B,-49.416584834035575,-69.03080877409485,E,E,B,B,-135.33078881925326,E,16.320390743035368,0
65+,Homosexual,Yes,C,D,57.117715015776646,92.5137949144255,C,D,B,C,131.59264896054043,A,10.587026652535352,1
51-65,Bisexual,Yes,C,A,-118.27589763670849,-79.41102482460182,A,E,B,B,-11.707462188659896,E,150.14619756998263,1
36-50,Heterosexual,Physical,E,A,-46.796149217650374,102.20911860971675,B,D,C,B,-39.63368855422789,B,159.1013588005975,0
26-35,Other,Physical,A,B,-7.875121283608931,-97.95173636951924,A,E,B,D,-26.622156121564604,D,202.06087085753146,1
36-50,Bisexual,Yes,E,B,-23.47310035272755,-51.55701011818735,B,E,A,C,-33.455702620234455,B,92.30395408093666,0
65+,Other,Physical,C,B,-69.7865544462386,-21.2645378317059,A,D,A,B,136.2140623921617,A,26.50061932671895,0
65+,Heterosexual,Physical,B,B,14.703435212819757,-45.06356625541063,B,B,E,B,179.7017779018762,D,150.54289815558653,0
51-65,Other,Physical,A,A,-17.817703330717414,-95.64742621639175,B,D,B,B,-141.41298863824247,A,-122.02941355258989,1
51-65,Homosexual,Mental,A,B,59.29197671812925,-101.78487253446968,D,A,E,B,24.825394303890892,D,-70.71577460978378,0
26-35,Heterosexual,Physical,D,D,88.15097546307813,151.3600112634969,C,C,E,B,199.9154829701094,D,-4.471683536774938,1
36-50,Homosexual,Mental,C,B,70.52904798819989,-32.897656282265636,B,D,C,E,-207.77208074756518,E,17.327070412795816,0
65+,Bisexual,No,D,D,77.97362663287328,-42.35819442612318,A,C,B,D,-21.349021869742536,B,-93.6484163627495,1
18-25,Bisexual,Mental,E,E,119.18979477553651,-46.1234053486589,B,D,A,B,153.8951814538753,E,138.22765886430264,1
18-25,Other,Mental,E,D,-151.43546927448347,214.96203193860035,D,D,E,B,-13.778821599786031,C,-131.83837621558447,1
18-25,Bisexual,Both,E,B,207.8911568437046,163.55269077893402,A,C,E,E,272.8182066107655,C,138.87281407073155,0
18-25,Heterosexual,Both,C,A,22.800504621484098,134.4998492508669,D,B,C,D,-42.81067557857866,A,97.76830333181348,0
36-50,Bisexual,None,D,B,65.09906280446265,1.0616284411444488,C,E,B,D,82.14303061887456,E,61.011585238622025,1
18-25,Heterosexual,No,E,A,-27.06169977748005,-104.67112406508645,B,E,E,C,8.531155906157865,B,-32.52930633423166,0
51-65,Other,No,E,E,2.5455617829384263,-16.282062207835178,D,D,D,E,34.55114757403798,B,-81.04754179719976,1
18-25,Bisexual,Mental,E,C,76.35609241190235,68.14894239310189,E,C,B,A,53.52282681282294,C,63.557958359306134,1
26-35,Homosexual,Mental,A,E,28.17405785063063,-38.91022175099769,E,E,D,D,-121.34297954385411,D,-85.0555469547156,1
65+,Bisexual,Mental,E,D,-91.71253322297098,-49.817599845751474,C,B,C,E,-49.98999106911236,A,149.7725584534671,1
26-35,Homosexual,Both,B,D,59.55324575993202,-177.61980831807574,B,A,E,E,-195.72561034800947,D,43.901046761184816,1
36-50,Bisexual,None,D,B,187.61209922065657,230.12205440140843,E,B,B,D,51.00608490341537,B,11.192584393034629,1
36-50,Other,Both,D,E,126.75923363677641,-56.694809818279865,D,C,D,C,-44.25561956868536,A,12.603346347331748,0
18-25,Homosexual,Physical,C,E,3.6204325329728726,-157.240386770505,A,E,C,A,-227.51144599701965,D,103.87600398473955,0
18-25,Heterosexual,No,B,A,66.9305646790049,-103.7190244788124,D,A,E,D,15.686771593061138,A,-62.40201337498179,1
51-65,Homosexual,Physical,E,B,-154.15123138465034,-74.16888773167224,A,E,C,B,173.8686253934583,C,126.76638434057523,1
51-65,Heterosexual,No,E,E,5.823571460488385,-101.92571994201892,C,D,B,B,5.686088641302401,E,132.81155962296452,1
26-35,Bisexual,Yes,E,C,-45.113418715962,6.169237953747646,E,B,A,D,-13.617896830813653,C,144.38972965128366,0
51-65,Heterosexual,No,C,E,-239.96934459573623,64.58222999028732,C,B,A,A,190.97689580865347,C,-16.639992135680572,1
51-65,Other,No,A,E,42.37244658216564,25.076716198192017,D,E,A,B,-166.47300775620963,B,-46.095362424074665,1
36-50,Homosexual,Yes,C,E,-23.48230176525004,119.53807861802541,A,D,E,B,45.88983353674851,D,133.14384620230462,0
18-25,Homosexual,Yes,B,D,210.61383076857095,-62.28622075192087,D,B,E,C,27.491608512137105,C,2.5110404183545243,0
18-25,Bisexual,None,B,B,-14.126803784203194,59.72360280296727,E,C,E,A,-117.50556393447621,C,-50.442957777866404,1
18-25,Heterosexual,Both,D,B,155.02055409803876,153.46229167170077,B,E,B,E,-75.04472010781397,E,-28.884961637345214,1
36-50,Bisexual,Both,D,A,109.24134018175491,112.81007889625478,A,B,A,E,-13.163910531574913,D,-55.56380503655518,1
65+,Other,None,A,C,-18.231668374406418,-64.68989248372937,A,C,D,C,-139.72756627838376,E,-10.90132052852269,0
51-65,Other,Mental,C,B,-4.9342095058358755,7.52946435724534,D,E,B,A,-42.862197578470195,B,-17.849415246186247,1
26-35,Bisexual,None,C,E,-73.5340967570037,66.15765451614607,E,D,E,B,19.006363395211288,C,24.783572905971788,0
36-50,Heterosexual,Mental,D,B,64.20721536479952,21.403125786229914,A,A,B,A,3.5149017702663494,E,-41.63684188302656,0
51-65,Homosexual,No,D,D,-96.7988815074625,64.35206036846188,C,B,E,B,61.106745133482434,B,11.714452348526704,1
36-50,Bisexual,Yes,B,C,0.21416273589205298,92.29095735819932,B,E,A,C,-16.19285719176381,C,58.91569962166844,1
26-35,Bisexual,Mental,B,B,-14.098918249341926,-66.85121546610989,B,D,D,B,126.32360886929459,A,80.91375240756193,0
36-50,Other,Physical,C,D,-43.12654483876661,-71.34645800343556,B,E,C,B,69.03000939967346,D,-83.60078253420691,1
51-65,Homosexual,Physical,E,A,93.778510162124,154.099088548603,C,B,D,B,-20.187386229094916,E,32.98928276579386,0
51-65,Bisexual,No,B,B,-32.0390325000192,27.462050734601945,D,E,A,B,-79.92031963830325,C,4.135507773445829,0
26-35,Other,Yes,A,E,57.00306801581636,-114.58961100134215,C,B,A,E,-7.425052343122113,C,4.4533259360530275,1
51-65,Bisexual,Yes,E,D,-99.11648387330324,-137.8069879068494,A,D,E,D,-23.412467971330166,C,4.180069297613049,1
36-50,Heterosexual,Mental,D,E,-60.31518364135759,-6.747787728697223,D,E,A,D,-99.02407000559681,A,-106.0919894976109,0
36-50,Heterosexual,Yes,D,D,185.60296893009587,161.40526430621853,C,B,C,E,112.97322777561187,B,13.385149243745595,0
51-65,Other,Physical,C,E,9.857219549311571,-177.65274779084652,D,A,B,D,-18.440354620857406,E,-119.15907438671378,0
18-25,Heterosexual,No,D,B,-73.16546134987165,-75.37974265464513,D,D,D,E,-29.942323841606928,E,-39.830887543665604,0
65+,Other,Both,D,B,58.14339067717616,90.53778127869381,B,A,C,D,-1.0372626804275504,B,117.98418524860277,0
18-25,Other,Physical,A,B,-81.83851017058973,-7.39235876426656,A,B,C,E,-9.318733335344435,D,-127.336573677476,1
36-50,Heterosexual,Mental,B,D,-75.56299085617998,-195.56902229912467,E,C,E,B,55.26755921176613,E,-48.51014371424111,1
18-25,Bisexual,Mental,E,E,68.339003818161,4.728530482148411,D,D,E,A,-88.59773478835542,C,72.5542083903299,1
26-35,Heterosexual,No,E,D,42.74268763144946,-38.13816291651299,B,C,D,A,-47.904818054585654,C,-94.04238725548795,0
26-35,Homosexual,Physical,E,A,127.65304710914683,176.47854368597032,E,C,B,B,-4.828620861676733,B,-45.54138667567571,0
26-35,Other,Physical,A,B,-20.069334313811325,-105.32388734850633,D,C,D,A,136.91004995648305,D,-64.47545949022488,0
26-35,Homosexual,No,D,B,-88.47959008988701,-203.96788260107758,A,E,B,D,-48.21622726845609,D,-69.55156164499215,0
51-65,Homosexual,Yes,C,C,112.46380404729064,-177.69340823643057,D,D,B,D,17.176265354052862,B,-122.96025931078192,1
18-25,Homosexual,Physical,D,B,-60.911509461624355,132.39223188889503,A,B,D,E,-101.4962075773585,B,-0.8929204394846629,0
26-35,Other,Yes,E,D,21.921495981194656,-187.67251502463807,D,B,E,D,127.62821158737891,C,66.30242055463698,0
18-25,Heterosexual,No,B,B,1.013109845221859,-229.73283370173695,D,E,E,D,136.53688314321116,E,8.576684429234108,1
51-65,Homosexual,Physical,E,A,178.74425774181105,51.34780461273568,B,B,A,B,-31.568666831084656,A,-54.30457183361109,0
26-35,Homosexual,Yes,A,D,-3.4555814672213567,-195.80866149458421,A,C,A,E,-90.67583304818127,E,-64.54070451622569,0
51-65,Heterosexual,No,A,E,75.71349905169905,-34.625097276880304,C,B,D,E,-8.94493581332858,E,100.85930478381341,1
18-25,Heterosexual,Both,A,C,-29.881991452702746,160.7265692123306,B,E,B,E,51.83677795245812,C,100.35510787255204,1
51-65,Homosexual,Mental,E,C,39.55284662637092,111.3551269991013,C,E,D,A,82.18879681792723,A,70.91226476077634,1
26-35,Homosexual,Both,C,E,-72.83483217627817,-30.46013752988051,E,D,E,A,-97.35978009063537,B,-52.53143880744561,0
51-65,Homosexual,None,A,A,-7.350913137168395,111.56903191483948,C,B,B,A,-2.892719740671739,B,266.5887978627132,0
65+,Heterosexual,Yes,B,D,196.56571750703762,267.6574953496332,E,D,A,D,-31.7178423273711,B,81.77769246527575,1
65+,Heterosexual,Mental,A,A,-37.684993494886875,4.647560446243914,D,B,D,A,-30.14283443671461,A,-87.1174584810381,0
36-50,Homosexual,Physical,D,B,49.197665315105844,-82.9449771725288,B,D,D,D,-62.27988021681189,A,-94.17057953283117,1
18-25,Other,None,C,B,197.80291553516093,-4.923736677728771,C,D,D,A,56.120041242532594,C,-180.9725411011001,0
26-35,Homosexual,Both,B,C,-174.86641858176532,-163.07588643986094,D,C,B,A,237.3726554481836,C,142.1120664102814,1
36-50,Bisexual,Physical,C,D,-59.60008487794691,50.492812523477006,C,A,D,A,-17.211628248881258,E,22.770040031013913,1
51-65,Homosexual,Yes,E,E,66.39268172406092,-49.38296681755078,C,B,B,A,-123.90637758677944,E,89.54881415908656,1
26-35,Heterosexual,Both,D,C,158.728310783323,-144.8292919885749,B,A,B,C,9.45671574495965,E,-24.58655677861306,1
18-25,Heterosexual,No,A,C,-67.43332474287396,41.390955459009064,D,E,C,A,-136.97049704419112,E,28.755489489303347,0
51-65,Heterosexual,Physical,C,E,-27.261040945245007,-42.79441714459636,A,A,B,A,100.39327354458982,B,-113.55463732755173,1
65+,Heterosexual,Yes,C,B,-16.271481001154303,6.580517274790811,D,A,C,E,191.97742382909277,A,131.91518258256863,1
36-50,Homosexual,Physical,C,E,46.37117518727807,-116.86446047072336,C,A,B,B,115.03280254099255,E,-121.06510126427847,1
51-65,Other,Yes,D,B,-1.1932806054266498,-86.14850208550004,B,B,B,C,-83.0298298062399,E,172.7721399888802,1
51-65,Homosexual,Both,E,E,28.13253758043297,-77.42870986682567,D,E,D,C,19.615208265916017,C,8.57471133474917,1
36-50,Bisexual,No,B,A,-14.780565544305919,-10.820001198666384,E,A,B,A,53.95040606882778,D,117.17193977545821,0
65+,Bisexual,Yes,A,B,110.51652188720453,39.38576969787636,A,E,E,E,61.24224740286625,A,216.35958210086227,1
18-25,Bisexual,No,C,C,4.613731687152025,45.583333245589614,B,B,B,A,8.927145116766978,C,215.46793543029062,0
36-50,Homosexual,Mental,D,E,152.77418518089632,-18.173750461452368,E,B,A,D,-28.410533294212964,B,64.6798275962491,1
51-65,Heterosexual,None,E,A,94.38057575965689,-114.88108180163823,D,C,A,E,-94.13498659281949,E,160.52198932907623,0
18-25,Heterosexual,None,B,E,34.695790125634375,-133.35602361396545,B,E,E,C,-18.490440258369684,B,-67.47863014519109,1
65+,Homosexual,Physical,E,A,71.11519301215414,30.547949735378886,A,E,B,D,-106.39000214784582,A,1.8507152557896744,0
36-50,Bisexual,No,A,A,28.804106920597306,-211.0818834669463,C,A,A,A,-44.437918986978886,C,-35.97722937631452,0
65+,Heterosexual,Both,B,B,-157.75911791066656,68.75779931932449,B,E,E,A,7.501118415205503,E,-90.03603666454981,0
36-50,Bisexual,No,E,C,-8.420702146931369,35.512258718122105,D,C,B,A,146.79309128846515,E,-50.71569812617652,0
18-25,Heterosexual,None,A,E,112.55557838111379,161.79075540801836,A,D,C,B,-243.2650433640551,A,-22.380896662373427,0
18-25,Bisexual,Mental,A,C,-179.0193015392765,11.292898547587804,D,B,A,C,45.862640371807615,E,-99.94726466290271,0
65+,Other,No,D,A,-7.994408544685328,146.9947240489815,A,A,E,D,-49.92211688730781,E,158.2063951541691,0
26-35,Heterosexual,None,A,A,-10.476362516095225,106.30729003316219,A,A,E,B,103.34604021767105,A,64.94043949938893,0
65+,Other,Mental,B,A,-42.38939878946028,-92.40720477885894,E,B,C,E,4.909649665042504,A,-45.204908211295795,1
51-65,Homosexual,Both,D,A,-34.13316230125029,-35.49313701954976,E,D,E,E,43.211688108269236,A,155.16768299743478,0
18-25,Heterosexual,No,C,A,-212.7525302267712,57.44336294270093,C,C,C,D,-7.287700960267661,E,98.71520715018112,0
26-35,Other,Physical,B,E,-213.65664625611763,4.0842611024515945,E,E,E,B,-73.72462023818244,E,149.079354164259,1
26-35,Bisexual,No,C,C,83.66398169078741,163.78889505440165,B,A,B,D,194.8538546718697,A,-171.7386927190635,1
18-25,Homosexual,None,D,D,-141.23241848864853,158.95700350235953,C,C,C,C,23.74994842060026,A,160.37969993321593,0
18-25,Homosexual,Both,E,A,-44.128310058210076,-89.71315339229021,D,E,E,E,15.98317090388763,D,-188.83542819324174,0
65+,Heterosexual,Both,B,E,74.22906681134937,-73.00314138004282,C,A,B,A,-10.842400441553176,C,-87.19839013684401,0
51-65,Heterosexual,No,B,B,159.16172042580922,-182.81772805044204,B,D,A,C,85.50686194499811,C,45.75865154752288,1
36-50,Homosexual,Physical,A,B,64.37728132427833,6.837982073379924,C,D,B,D,64.3439778664288,B,4.346415064807861,1
26-35,Heterosexual,No,C,C,-71.07474205644644,-92.40483236365682,E,B,B,B,-117.61120273173611,E,164.05677754387003,0
36-50,Heterosexual,No,B,A,112.25030990810852,-65.0249884569902,A,A,E,D,3.57761454497679,B,119.54493074948233,0
18-25,Bisexual,None,E,B,3.5265654528961945,-130.88792460925157,E,E,E,B,-67.6172085905138,B,-30.402292706925294,1
26-35,Other,None,A,A,-55.0157558302224,-93.13420068404136,E,C,B,C,-86.09447331955916,E,-112.5748714871902,1
51-65,Other,Both,B,E,-27.054977581981994,29.42911415998531,E,D,A,B,-95.27962326865247,B,-70.40115237057594,1
65+,Other,Both,C,E,-112.9402904317033,-8.66073215544388,E,A,A,E,2.5563394716405674,A,57.10720993934911,0
36-50,Homosexual,None,A,B,73.18161134010302,81.59851538319081,C,C,B,C,76.25922737357794,B,-14.069804208482692,0
26-35,Bisexual,Physical,E,B,-77.67106647952214,50.403815963800504,E,A,E,D,-40.211047266363245,D,88.80942139810757,0
26-35,Heterosexual,Yes,B,B,60.08008834202555,94.92076755015243,C,E,A,E,-129.86764902088987,B,117.89443866943421,0
26-35,Homosexual,No,B,B,76.54382033172436,157.30167232681,A,B,D,A,195.5513166951678,E,-104.38775416695437,0
36-50,Homosexual,Mental,E,B,-78.6412171349847,-146.25061842700228,E,B,A,C,53.0661005668443,B,109.147653025675,1
26-35,Heterosexual,No,D,E,-1.1966702997704162,108.8222581627829,C,B,B,A,-15.260187852759588,C,142.37424346998708,1
26-35,Bisexual,None,B,C,-26.7087113067954,-87.00849799642796,C,D,D,E,147.04610206162994,B,-179.4551132224569,1
65+,Bisexual,Mental,E,C,-43.91194160976034,-45.243923365332606,C,D,A,A,-50.88524747538581,C,-284.2289139055033,1
65+,Other,Mental,C,B,205.2587145031045,102.61097416827896,D,A,C,B,20.28080221403494,C,-193.3739880131842,1
36-50,Heterosexual,Physical,A,C,24.72277427477962,-310.1666991787694,C,D,B,A,44.67372738149101,E,-20.923303057636613,1
26-35,Homosexual,Both,D,D,-4.180321045163752,129.98220481304196,E,D,E,E,45.0356932308751,E,54.292976879065,1
65+,Other,Both,C,D,7.973252490237795,-31.830622367893035,C,A,E,D,-41.02271035845898,D,-13.333781069934089,0
26-35,Heterosexual,None,B,C,33.353097119654414,-69.57811871285938,A,C,A,D,99.14654699520784,E,-3.0779764167156745,0
18-25,Other,Yes,D,D,-28.53254311384717,23.228655591148744,E,C,D,E,92.98384767049282,C,-43.70701256575842,1
36-50,Homosexual,Mental,C,A,-174.34557578458575,120.73722695004014,C,A,A,D,123.2737112790977,B,79.49985791739664,0
18-25,Heterosexual,Both,C,E,83.59668980174216,42.372204165388574,E,C,C,B,43.181144508569844,A,-42.31864857689346,0
26-35,Bisexual,None,A,D,31.940172788744192,140.5665158678872,D,B,D,A,57.843454583907985,A,195.85320759925847,1
51-65,Bisexual,Both,B,C,8.905290978161071,30.860419042876874,D,E,A,D,99.51697399743796,D,-18.14042178184119,1
26-35,Homosexual,Mental,D,B,96.12504428812284,115.95898405932365,E,E,B,D,-46.64875589040668,D,-64.88468484100737,0
36-50,Bisexual,Both,C,B,60.514581855461735,-66.56723674806948,C,E,E,C,-84.01341836443676,B,-13.26109486740427,1
18-25,Heterosexual,Both,E,D,39.16721186650244,93.19360688578315,E,E,C,D,-79.16214895189412,D,142.99894790499764,1
18-25,Heterosexual,None,A,C,149.0331516188974,0.9160714387212526,E,A,E,D,106.94612822597291,B,-151.47618792150283,0
18-25,Other,No,E,C,29.08543215775411,-211.94070435272633,C,A,A,A,-149.75025451043504,D,22.847210076340506,1
18-25,Bisexual,Mental,B,B,-127.10932121828415,-57.10321654874653,C,E,B,A,180.7124119439142,B,42.394922466444065,0
65+,Homosexual,Both,D,C,-49.94315841908165,-45.64713258388651,B,E,C,A,-122.81828186741899,B,48.5269699659717,0
18-25,Other,Both,E,B,-59.329531452923604,52.834169476797086,A,A,B,E,78.2397588976389,B,275.75265075115715,1
18-25,Other,None,E,C,158.73536768678034,140.85199623088593,D,D,C,C,-107.79162504399034,B,-165.18040629364307,1
18-25,Bisexual,No,E,B,-110.99225333839875,-129.56616372539267,D,B,A,B,-7.291821491692771,C,75.31046516599835,0
65+,Heterosexual,None,D,D,-64.75940984582958,-91.25754499913756,E,C,A,E,8.246719320711362,A,-56.20268453246773,1
36-50,Heterosexual,None,D,D,37.264736211942825,39.6618382639365,B,B,C,E,42.393067316310024,E,-93.85336313913226,0
18-25,Homosexual,Yes,B,C,-43.45530511538161,45.967747032994794,B,D,C,A,-72.00001127684287,E,-3.679976586570312,1
18-25,Heterosexual,None,B,A,62.903250313947,-82.12510400624554,E,A,D,E,-8.094694757963973,A,-14.841408226270863,0
51-65,Other,Yes,C,C,5.970046277164901,62.94081305501431,E,E,A,C,34.8033112862142,C,-218.33580857495204,1
65+,Other,No,C,E,-28.935942785331942,30.44996069762359,B,E,C,C,-125.3644780183642,A,-38.10543282672998,1
36-50,Heterosexual,Mental,E,B,241.83849654089676,-42.75613878021629,C,A,C,E,-115.18545671674174,C,36.52115450845631,1
18-25,Other,Yes,E,A,123.3382879835907,-15.194196309641598,E,E,E,B,26.306516978899978,C,-126.09099393208926,1
18-25,Homosexual,Physical,A,E,131.20605175296717,-110.78911001026042,D,A,C,D,-115.77135062769841,B,-11.897025260442124,0
26-35,Homosexual,No,A,B,102.30938736559041,107.00300006552767,B,C,E,B,-44.78439396421044,E,-99.95381900707653,1
36-50,Bisexual,None,A,D,134.9624438114176,-8.874558894506599,D,E,E,E,-66.04895700292853,C,-147.82996264611572,0
65+,Heterosexual,Physical,E,D,242.23279367629488,155.14776642479805,A,C,C,D,-125.11607229932058,C,30.73530586170324,1
18-25,Other,No,A,C,-154.26535532597885,63.34059805637673,E,C,D,B,126.22413933190317,C,-29.268702669650743,0
36-50,Other,No,D,D,-14.749874695716267,-5.889195907469409,B,B,C,D,-41.97554100455402,E,-68.9968102342839,1
26-35,Other,No,B,C,-50.57133990397378,90.70236620778324,C,A,E,A,141.9571080251699,B,-52.32632435285436,0
65+,Heterosexual,Both,A,B,-45.314622806482284,133.025465481747,E,B,A,B,34.70414340791829,C,-61.88075533853981,1
36-50,Other,No,B,D,-32.37813943019461,-88.12737714085196,E,D,D,D,225.5152273246023,B,-42.49091759956708,1
18-25,Bisexual,None,B,A,213.3207914316622,-31.025701409657795,B,C,A,A,43.31098777669576,E,5.317630256402663,0
65+,Homosexual,No,D,D,147.98590605502707,-75.84849258546284,A,B,A,A,187.56324927467696,B,-107.5281551143827,0
36-50,Bisexual,None,B,C,110.89549631185119,33.35200094407811,B,D,E,C,33.23949859591827,D,159.64963856827146,1
65+,Homosexual,Both,A,E,28.0739039923688,14.742368886718419,D,C,D,A,80.38758213223545,B,-24.267685338539117,0
